8/1r6/1P2p3/P1k5/3p4/8/5P1K/1R6 w - -,h2g3
4r1k1/3p2p1/1Rb5/4P1p1/2RBPrKp/5P2/PP6/8 w - -,g4g5
3r1r2/3R2R1/p3pB1k/2b1P3/2p5/2N2b2/PP3P2/4K3 b - -,d8d7
1q1rrk2/5p1Q/pp1b4/3Pp1Pp/2Pp4/1P3P1B/P1R4P/4R1K1 b - -,d6b4
r1r1b1k1/1q2bpp1/np2p2p/p2PP3/3N4/P1NB4/1PQR1PPP/1K1R4 b - -,a6b4
2rr2k1/pp3pp1/4pb1p/q3N2P/2PP2P1/5Q2/PP6/1K1R3R b - -,f6e5
r1b2r1k/2p1q3/8/1pPPp2p/p3Ppp1/P1RN1P1P/5QP1/R5K1 w - -,h3g4
3r1rk1/3b3p/1q1pp1p1/1pn5/3N1P2/1P4P1/P2Q2BP/R2R3K w - -,b3b4
r1b1k2r/ppq2ppp/2n1pn2/3p4/1b2P3/1NN1BP2/PPP1B1PP/R2Q1RK1 b kq -,d5e4
rnbqk2r/pp1pbpp1/7p/2pQP3/8/5N2/PPP2PPP/RN2KB1R w KQkq -,b1c3
rn3r1k/3b2pp/2p1p3/5pq1/1p1P4/1B1RPP1P/1PQ1N1P1/5RK1 w - -,c2c5
r1br1nk1/1p2q1pp/p3pp2/4P1BQ/Pb1R4/1N1B4/1P3PPP/R5K1 w - -,e5f6
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq -,b8d7:e8g8
r2qr1k1/pp1bppbp/2n2np1/1BPp4/3P1B2/2N2P2/PP2N1PP/R2QR1K1 b - -,f6h5
r1bqk2r/pp3p1p/2n1p3/2bpn3/3N2p1/2P5/PPBN1PPP/R1BQ1RK1 w kq -,d1e2
8/kp3pp1/pN2pn1p/2P4P/P2Q2P1/5Pq1/1P6/1K6 w - -,b1a2
r2q1rk1/1b1nbpBp/p2p2pP/2n3P1/1p2PP2/3B1QN1/PPP5/2KR3R b - -,f8e8
6k1/5p1p/1R1p2p1/p1nP4/5QP1/P1P2PNP/6K1/q7 b - -,a1a2
1r2qr1k/4n1b1/1p1p1pp1/2PPpb1p/7P/2NPP1P1/2QB1PBK/1R3R2 b - -,b6c5
r2q1rk1/pp1nppbp/2pp2p1/3P4/2P1P3/2NQ3P/PP1B1PP1/R4RK1 b - -,a8c8
r1b2rk1/1p2ppbp/3p2p1/q2P4/p1P1N3/6PP/nP1B1PB1/1R1Q1RK1 b - -,a5a6
8/8/3pk3/6p1/2PK4/N2R2P1/1q6/8 w - -,d4e3
r4rk1/pp3ppp/2n2p2/3N1b2/2B5/8/PPP2PPP/2KR3R w - -,c4b5
1r3rk1/4ppbp/3p1np1/1pqP1P2/p3P2Q/P1P2R2/3N2PP/1RB4K b - -,e7e6
8/PR6/8/5k1p/7P/r4PK1/8/8 w - -,b7h7
8/8/1k2Q1P1/6KN/1p3P2/1Pb5/8/3q4 b - -,b6b5
8/ppk3R1/8/4p3/2P2n2/1PN5/PK6/5r2 b - -,c7c6
r5k1/4b1pp/p3Pp2/Bq6/5P2/2pR4/n1P1Q1PP/4R1K1 w - -,e2e4
8/p3kp1p/1p2p1p1/2p5/2Pn2PP/1P6/P4r2/1B2R2K b - -,d4f3
6R1/8/8/6r1/p5k1/6p1/4p3/4K3 w - -,g8e8
3rr3/1pn1qpkp/2p2np1/p4p2/PB1P4/4PP2/BPQ1N1PP/3RR2K b - -,e7b4
2r1kb1r/1bqn1ppp/p2pp3/1p4B1/3NP3/3B1P2/PPPQ2PP/1K1R3R w k -,h1e1
r1b3k1/pp3rpp/6n1/P2P4/1q2pP2/4B1Q1/R3B1PP/5RK1 w - -,g3f2
8/5p2/8/8/5kpp/8/5K2/8 b - -,g4g3
2qr1rk1/pp2ppbp/2p2np1/3bN3/P2P1B2/2PB3P/1P3PP1/R2QR1K1 w - -,a4a5
1q1r3k/1b2p2p/pQ2p1pb/1p2P3/1N6/P4P1P/1P4PB/2R3K1 w - -,f3f4
r4rk1/ppq1bppp/2n1bn2/2p5/2P2P2/3P1N2/PP2B1PP/RNBQ1RK1 w - -,b1c3
r5k1/3b1ppp/3p1n2/p1pP1q2/2P5/1PN3P1/4rPBP/2Q1R1K1 w - -,c3e2
r1bqr1k1/pppn2n1/3p2p1/2PPppbp/1P2P3/2NN1PP1/P3BB1P/R2Q1RK1 b - -,d7f6
8/8/R5pk/4bp2/8/5KP1/7P/8 w - f6,h2h3
8/5pkp/6p1/p7/1p1R4/1P1R2P1/1PP2PKP/4q3 w - -,c2c3
8/2R2pk1/4p1pp/8/5bP1/1r3N1P/4K3/8 w - -,c7c4
5B2/8/2n1PKN1/1p1p4/p1k5/8/5P2/8 b - -,b5b4
2r1r1k1/pb1nqp1p/1pp2np1/3p4/NP1P4/P2BPN1P/2Q2PP1/2RR2K1 b - b3,f6e4
1r1q1rk1/1p1nnppp/p2p3b/3Pp3/P1p1P1PP/1P3Q1B/1BP1NP2/R3K2R b KQ -,f7f6
b1r2rk1/3nqpbp/p1p1n1p1/NpP1p3/1P2P3/P1N1B1PP/2Q2PB1/R4RK1 w - -,a1d1
3q1rk1/3rbp1p/p2p2p1/1p1PpP1n/8/P2BB2Q/1PP3PP/4RR1K b - -,e7f6
8/p1r1k3/R3p3/N3PpPb/3p1P2/2P5/2P2K2/8 b - -,d4c3
8/1pk1R1p1/3p2B1/2pP4/3b2P1/8/PPP4r/3K4 b - -,c7b8
rn1qk2r/ppp1bppp/4pn2/3p4/3P1P2/6P1/PPPN1PBP/R1BQ1RK1 b kq -,e8g8
2r2bk1/5p1p/R1n3p1/3p4/8/1N2PNP1/P4P1P/6K1 b - -,c6b4
4r1k1/pp2n1b1/2b4p/2p5/2Ppp2N/PP4P1/4B2P/R1B3K1 w - -,c1f4
qr4k1/5p2/2p2bp1/2P1p2p/pN1BP3/P4P1P/2Q3PK/3R4 b - -,e5d4
2r2r2/1ppb1pk1/p2q3p/3Pp1p1/1PB1P3/P4Q1P/3R1PP1/3R2K1 w - -,g2g4
8/r4kp1/3Rp2p/5p2/rN2b1P1/P3R3/5K1P/8 w - -,b4c6
3r4/2b4p/1pPk2p1/1B3p2/1P3P1P/6P1/4RP2/6K1 b - -,h7h6
2kr3r/pp3ppp/2p5/q1nP1n1P/8/1BP5/PPQ2PP1/2KR3R w - -,c2f5
r1b1k2r/pp1nq1Bp/2p2pp1/2p1p3/4P3/2NP1N1P/PPPQ1PP1/R3K2R b KQkq -,e7g7
r3r1k1/1pp1npp1/1b1pqn1p/p3pN2/P1P1P3/2P2QPP/1PB2P2/R1B2RK1 w - -,g3g4
8/1p1n1p2/2pn1kpp/p2p4/P2P1NPP/1PPB1P2/5K2/8 w - -,h4h5
r2q1n1r/3n1kp1/p3pb2/B2p2p1/R2P2P1/1P1B3P/2Q1NP2/4K2R b K -,d8e8
r2r2k1/1p3pbp/1q1p1np1/p2P4/2Pp1B2/1P1B4/P4PPP/1R1Q1RK1 b - -,f6d7
8/p7/4kp1p/1pp4P/3p2r1/P2P4/1PP1K3/7R w - -,e2f3
r4rk1/pppb1ppp/1n1p1q2/3P4/2P4b/1PNQBPN1/P5PP/R4RK1 b - -,f6g6
r4rk1/pbpq1ppp/n7/3pP3/1N6/2N2Q2/PPPB1PPP/R3R1K1 b - -,a6b4
8/p5k1/1p6/1Pp2K1P/P7/8/5p2/4bB2 w - -,f1c4
2r3k1/5pp1/p2r1b2/3P3p/2p3P1/2P4P/PP1RN3/1K1R4 b - -,h5g4
rnb2rk1/pp2ppbp/6p1/2q5/1QB2B2/2P1PN2/P4PPP/2R1K2R b K -,c5c6
1r4k1/2pnbp1p/6pP/p1pPp3/Nq2P3/1P3P2/P2Q2P1/3RK2R b K -,c5c4
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4PBP1/2NP3P/PPPQNPB1/R3K2R w KQ -,f4h6
2brr1k1/2qn1p2/1ppb2p1/p1n5/2P1P1P1/1PN2P2/P2RNQB1/3R2K1 w - -,d2d6
5rk1/3nqpbp/p2np1p1/Pp4P1/1P1Pp2P/1Q2P3/3NBP2/2B1K1R1 b - -,f7f6
2r5/p4kpp/5p2/8/2n1PP2/P7/2p2KPP/2B1R3 w - -,e1e2
r2qr1k1/pp3ppp/3p4/3P4/1bP1Q1b1/2N2B2/PP1B1PPP/R4K1R b - -,e8e4
rq2b1k1/5p1p/1rp1P1p1/2Np1p2/pP6/P7/3Q1PPP/2R1R1K1 b - -,b8d6
2rq1rk1/p1n3bp/1pP5/5p2/5Pp1/3Pn1P1/P2Q2BP/1R1NR1K1 w - -,d1e3
6rk/1R5p/1p1p4/2p1p3/4P3/6P1/P1P4P/6K1 b - -,g8a8
7k/6p1/p4p1p/4p3/p3P3/P6P/1r4P1/2R4K b - -,b2b3
8/2R3pk/p3p3/6r1/2pP4/7P/P4PP1/6K1 b - -,g5a5
3r2rk/1b2qp1p/p2p1p1Q/1p2pP2/1P2P3/2N5/PP4PP/3R1R1K b - -,g8g4
8/5kn1/5p2/6pp/5N1P/6P1/5K2/8 w - -,h4g5
r1br2k1/p4ppp/1p6/3PP3/2PBP3/7P/P7/R4B1K b - -,c8a6
r1qn2k1/1p1b4/pB1p2pb/P2Prp1p/3N4/6PP/1PP2QBK/R2R4 b - -,d8f7
2r2nk1/pp1bbpp1/4p2p/q7/5N1P/PP1Q1N2/1B3PP1/RB4K1 w - -,b1a2
r3r1k1/pp1nbppp/2pp1n2/q3p3/3PPP2/3BBQ1P/PPP1N1P1/R4RK1 w - -,e2g3
8/1k5p/7P/p7/8/1p6/1P3RPK/1r4B1 b - -,a5a4
8/p7/3p2pk/4bp2/2r4r/2PK4/PP4R1/6R1 b - -,c4g4
r5r1/ppb2k2/2p3pB/3n1p2/4p2P/4P1P1/PP3P2/R2R1BK1 w - -,f1c4
rq3r1k/1p1n2pn/3p3p/p2Ppp2/1PP5/P1N1Q2P/4BPP1/R2R2K1 w - -,a1c1
r3k1nr/pp3ppp/2n1p3/3q4/1b1P4/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1g1
3rk3/1pq3pp/p2p1p2/3R4/3QPP2/6K1/1P3P1P/8 b - -,d8d7
8/8/r7/2kp2p1/4p3/4P1P1/2RK1P2/8 b - -,c5d6
r2q1r2/2p1bpk1/p3pp1p/8/bpRP4/1B2PN2/PP3PPP/3RQ1K1 b - -,a4b3
R4n1r/5pbk/p5pp/4p3/b3P1PP/P3BPN1/6K1/2R5 b - -,a4b5
3rnr1k/pp1qbppb/2n1p2p/2p5/4PP2/2P2BP1/PP1NQR1P/R1B1N1K1 w - -,d2f1
r5r1/8/1p2p2R/pkpbP3/3p4/P2P1P2/1P1NK1PR/8 w - -,e2d1
6B1/7p/1R2nkp1/5p2/pP6/4r3/7P/6K1 b - -,f6e7
8/3k2K1/2q2P1p/4Q2P/8/8/8/8 b - -,c6g2
1Q6/1B2q3/8/2pn1pk1/4p1p1/1P2P1P1/4KP2/8 b - -,d5f6
2r1kb1r/1b1Pq1pp/pn1p4/1p2p3/4P1P1/P1N1B3/1PP2Q1P/2KR1B1R b k -,b6d7
5rk1/1pR2p2/4p2p/3bP1p1/1p1P4/3K2P1/1P2BRP1/7r w - -,e2f3
8/2p3k1/3p1p2/2pP2p1/2P1P3/1P4K1/r3bN2/1R6 b - -,g7g6
8/6p1/6k1/p2q3p/Q7/7P/6P1/7K w - -,h1h2
1r3rk1/1p2Rppp/pN1Pbn2/5q2/7P/5BP1/PP3P2/2RQ2K1 w - -,f3b7
1r3rk1/1p2ppnp/p2qb1p1/2pp4/P1P2P2/NP2PB2/3PQ1PP/3R1RK1 w - -,c4d5
2r5/3kp3/3p4/3P1ppp/PR6/4P1P1/5P1P/6K1 b - -,c8c5
8/6p1/5p1p/2k3P1/2p2P1P/2K5/5P2/8 b - -,c5d5
4k1r1/6p1/Nqp1PnN1/p5Pp/Pn5P/5Q2/1P6/R4R1K b - -,b4d5
6k1/4qp1p/8/b1p2Qp1/P4p2/2PB1P1P/6PK/8 b - -,a5c3
4r3/1bp3kp/p5pN/2p3P1/2P5/1P5P/P3R2K/5R2 b - -,e8e2
rnN2rk1/ppp2pbp/6p1/8/4P3/2PB4/PP4PP/RNn1K2R w KQ -,c8e7
2q2bk1/5p1p/p3p1p1/1p1p4/1n1P4/1P2P1P1/P2B1P1P/1Q3BK1 b - -,c8c2
6rk/4Q1p1/7p/2pP2R1/2Pq4/5pP1/8/5B1K w - -,g5h5
1r6/4qpk1/2rp3p/1b1RpPpP/4P1P1/1P2QB2/8/3R2K1 w - -,e3d2
5k2/1p3p2/1p5p/8/3Nb3/5p2/6rP/2R2B1K b - -,g2d2
7k/7p/4p3/4P3/2p2r2/2P4B/1P5P/6K1 w - -,h3e6
r1bqk1nr/pp1nbppp/4p3/2Pp4/4P3/1N1B4/PPP2PPP/R1BQK1NR b KQkq -,d5e4
r4rk1/1pq1bppp/2p2nN1/p2p4/Q2P4/4PPP1/PP1BB2P/2R1K2R b K -,h7g6
3r2k1/pb2bpp1/1p5p/1B1n1N2/4p3/4P2P/PP3PPB/2R3K1 b - -,e7f8
8/5p1p/7k/2N1n3/2P5/4P2P/P4K2/8 b - -,e5c4
Q7/1r2r1k1/5ppp/2p5/pnP3qP/N4N2/PP1R1PP1/K2R4 b - -,g4g2
8/7p/nk4p1/4pp2/4N3/5KP1/5P1P/8 w - -,e4f6
r4rk1/1bq1bpp1/p2p1n1p/np2p3/3PP3/5NNP/PPB2PP1/R1BQR1K1 b - -,f8e8
r4rk1/q3bpp1/8/3Pp1p1/4P1P1/3Q1P1P/N1n1B3/2R1K3 w - -,c1c2
r1b1qrk1/p2n1pp1/3p3p/1P6/2p2P1B/2PBn2P/P2QNKP1/R6R w - -,d3b1
r4rk1/2p2pp1/p6p/n3pq2/2P5/b1PP1N2/PRQ2PPP/2B2RK1 w - -,b2b1
1R6/5pp1/1p4nk/pP6/4BP1P/6K1/8/3r4 b - -,d1d4
rnb2rk1/pp2pp1p/6p1/q1pP4/4P3/2P5/P2Q1PPP/R3KBNR w KQ -,g1f3:h2h4
r2qr1k1/ppp2pp1/1nnp1b1p/5b2/2PP1B2/2N2N1P/PP2BPP1/2RQ1RK1 w - -,f1e1:b2b3
r7/5kb1/1p1p1pp1/1PpPp1n1/4P1Pq/P4PR1/1P1B2K1/3B1Q2 w - -,f1h1
5r1k/p1pBQ1b1/3p2qp/1P6/2Pp4/3b2p1/P6P/R1B3K1 w - -,c1f4
r2r2k1/pp4pp/4bB2/6Q1/2q1p3/8/PP3PPP/R3R1K1 b - -,d8d7
3r2k1/p3rb1p/2R3pb/2N1pp2/3q4/1P3BP1/P3QPP1/5RK1 w - -,e2c2
r1bq1rk1/pp3p1p/2p1nbp1/3p4/1P1P4/2NBPN2/P1Q2PPP/R4RK1 w - -,a1b1
8/1b3k2/3bp2p/1P6/2pB1p2/2N1K1P1/7P/8 w - -,g3f4
8/5p2/p2k2pp/3p4/PP1P4/4P2P/3K1P2/8 b - -,g6g5
2kr4/pp3p1p/1np1p1r1/5p2/P1PP1B2/1P4P1/5PKP/2RR4 b - -,a7a6
r2r2k1/3n1pbp/p1p1p1p1/2P3q1/Np1P4/1P5P/PB2QPP1/3RR1K1 w - -,b2c1
6k1/3n1ppp/2p1p3/3b4/3q2P1/1P1N1P1P/r1PQB1K1/2R5 b - -,d5b3
r1rq2k1/1b1nbppp/p2p1n2/Np1Pp3/1P2P3/2N1B3/P3BPPP/2RQ1RK1 b - -,c8c7
8/1r6/k7/1pQpq1P1/5R2/P1P3K1/5N1r/8 b - -,e5g5
8/6Bp/6p1/3r1k2/2p2p2/8/6PP/4R1K1 w - -,g1f2
7Q/4q3/5kp1/2pB1p2/p1P3n1/2P3P1/P4PK1/8 b - -,e7g7
5r1k/1p1qn1p1/7p/p1p4b/2PpBr2/PP1P1P2/2Q4P/4RRNK w - -,c2d2
r3kb1r/ppqn1ppp/2p1p3/3pPn2/3P2b1/1N2BN2/PPP1BPPP/R2Q1RK1 w kq -,e3d2
4rrk1/pppb2pp/3p4/3N2n1/2P1Pp2/5Pq1/PP2Q1B1/R1BR2K1 b - -,e8e4
2r3k1/4qpp1/4pnp1/1p1p4/1PrP4/3Q1NBP/4NPP1/1R4K1 w - -,d3b3
r4k1r/ppnq1pp1/2pbpnp1/6B1/2PP4/P1N2B1P/1P3PP1/R2QR1K1 b - -,f6h5
r2q2k1/3b1p1n/rp1p1b2/2nPp1pp/1RP1P3/2N1BN1P/2B2PP1/1RQ3K1 w - -,c3b5
B7/2rR3p/p1P5/p1k3p1/P3pp2/3p4/6PP/3K4 b - -,c5b6
r1r3k1/pp2q1pp/3bp3/3pnp2/3Pn3/1P1BP3/PB2QPPP/R1R3K1 w - -,d4e5
r1r3k1/3n1ppp/bpn1pq2/2Pp4/8/BN2P1P1/PPQ2PBP/R2R2K1 b - -,c6e5
1r4k1/4ppbp/1r1p2p1/2p5/p1PnPN2/1P2BPPq/P6P/1RRQ2K1 b - -,h3d7
4rr2/pp1b2kp/2n1pnp1/q2p4/5P1Q/P1NB1N2/1PP3PP/4RR1K w - -,h4g5
8/8/1n6/1P3p2/6p1/3k2Pp/5K1P/1N6 w - -,b1a3
r1b2rk1/1p3ppp/4pn2/8/p1N5/6P1/PP3PBP/R2R2K1 w - -,c4b6
2R5/8/8/4r3/8/2k5/2p2K2/8 b - -,c3d3
5rk1/R2R1p2/5K2/5P2/p1r4p/P6P/8/8 b - -,c4c6
8/4k3/p5pp/1r6/RpK1P1PP/8/8/8 b - -,b4b3
2r2n1k/4Q1r1/p3p2p/2p5/4R3/P6P/1P3PP1/6K1 w - -,e7f6
8/2pnq1k1/2rr2p1/1Q3p1p/P2P3R/4P1P1/1P2KP2/R7 b - a3,c6b6
r2r1b2/2q2ppk/2p1p2p/p1PnP2Q/PpR5/5N2/1P1B1PPP/4R1K1 b - -,g7g6
rnbqkb1r/pp3pp1/2p2n1p/4p3/3pP3/3P2P1/PPP1QP1P/R1BNKBNR w KQkq -,f1g2
r1bqkbnr/1pp3pp/p4p2/2p5/3NP3/8/PPP2PPP/RNBQ1RK1 w kq -,d4b3:d4e2
8/P6R/8/4k1p1/6P1/r7/1K6/8 b - -,a3a6
1r2r1k1/6bp/1Qnqpp2/p2p2p1/P2P4/1NP2N1P/1P3PP1/3RR2K w - -,b6c5
8/pp1k1pp1/4p2p/2p1P3/2P2PP1/1P2K3/P6P/8 b - -,b7b6
2r2rk1/p3p1bp/3pb1p1/2p2p2/2P1n3/Pn1BBN2/RP1N1PPP/5RK1 b - -,e4d2
r4rk1/pp3ppp/1n1p4/3Ppb2/2P5/3P2P1/1P1N1PBP/R4RK1 w - -,a1a3
1rb2r2/4qpkp/p2p2p1/1ppPn3/4PR2/1PPB2NP/P2Q2P1/5RK1 b - -,b5b4
r2qk1nr/ppp2pbp/2np2p1/4P3/2P5/2N1PQ1P/PP3PP1/R1B1KB1R b KQkq -,d6e5
3r2k1/p3Rrbp/1qp2pp1/2pp1b2/2P2B2/Q1P2N2/PP3PPP/R5K1 w - -,a1e1
8/4k3/1p2P3/2r4p/PKB3pP/1P1R2P1/8/8 w - -,d3d7
r1b1k2r/1pqnbp2/p3p3/4n3/3B2pp/1NNB4/PPP1Q1PP/3R1RK1 w kq -,c3e4
8/8/R7/1p5r/1P4k1/P7/8/4K3 b - -,g4f4
2qr2k1/1rp2pbp/p3p1p1/1p1nN3/3P4/2P2QBP/PP3PP1/3RR1K1 b - -,d8f8
1r1qrnk1/1p1b1pbn/p2p3p/P1pP1Pp1/4P2P/R1N5/1P1BBNP1/2Q1R1K1 w - -,c3d1
8/3r4/5R2/2P1p2p/2K2k2/P7/1P6/8 b - -,f4g4
r3kb1r/1b1n1ppp/1p1q1n2/pPppp3/P7/3P1NP1/1BP1PPBP/RN1QK2R w KQkq -,e1g1
6k1/1pp1B1b1/3p4/1N1P4/2P5/1P2p2b/r3RK2/8 w - -,f2e3
8/1p3p1p/4pk2/1P4p1/P3R1P1/4K3/4PP1P/7r b - -,h1h2
8/5pk1/6p1/6P1/r3PP2/1R3K2/8/8 w - -,b3e3
4rr2/ppq3k1/2p3p1/2P2p1p/2NP2n1/1P3QP1/P6P/4RRK1 b - -,c7d7
2rr1nk1/2q1bpp1/pp2p2p/8/P1PN2PP/1PQR1P2/1B4K1/3R4 b - -,f7f6
8/3Rrkb1/2R5/8/1pP1P3/1r4P1/5K2/8 w - -,d7e7
5k2/4bppp/p3p3/1p1n2B1/3P4/1P3B2/1P3PPP/6K1 w - -,f3d5
q1r3k1/3n1pp1/1p2rn1p/p1pp4/P2P4/2P1PP2/1Q1N1BPP/R1R3K1 w - -,c3c4
r1bq1rk1/1pp1npb1/3p1npp/4p3/1PP5/2NPP1P1/4NPBP/1RBQK2R w K -,c3d5
8/p4pk1/2p1ppr1/6qp/3P4/2PP2P1/2Q2P1P/2R3K1 b - -,h5h4
r7/1p1rk1pp/p1p1b3/1PRpPp2/P2P1P2/4P3/7P/1R3BK1 b - -,a6b5
6k1/p1q2r1p/1p3bp1/5p2/Q6P/1P4P1/P3NP2/2R3K1 b - -,c7d7
3rk3/7Q/3qp1p1/r7/3pbN2/P7/1B4R1/5RK1 b - -,d6e7
8/8/3kp1pp/p2r4/2K2PP1/1P2R2P/8/8 b - -,d5c5
3r1rk1/p3qpp1/1p1p1n2/2p5/4P3/1P1Q1N2/P4PPP/R3R1K1 w - -,a1d1
8/5p2/6p1/8/2kp1rPP/1p3P2/1K6/5R2 b - -,d4d3
8/5pkp/6p1/4p3/R3P3/6P1/P2rrP1P/5RK1 w - -,a2a3
8/p2r1pkp/1pNb1np1/8/P7/4PBP1/2R2P1P/5K2 b - -,h7h5
3r3k/p5p1/3R3p/5Nq1/3b4/Pb6/1P1R1PP1/1B4K1 w - -,d6d8
8/7k/5R2/2r4P/5pK1/5P2/6P1/8 b - -,c5c2
r2qkb1r/1p2pppp/p1bp1n2/2p5/3PP3/2P2N2/PP3PPP/RNBQR1K1 b kq d3,c6e4
2n4r/5k2/1p2p3/p3P3/P3KP2/BPR4p/7P/8 b - -,f7g6
2q2rk1/Q5pp/p3p3/1p1p4/2r5/P1P5/1P3PPP/3R1RK1 b - -,f8f7
2r1k2r/1p2B1pp/p1b5/P3pp2/8/1N6/1PP2PPP/R2R2K1 b k -,e8e7
8/7k/1R6/7N/1P4p1/1r4P1/6K1/3b4 w - -,g2f2
3r4/4kpp1/b1B1p3/6pP/6P1/5P2/1N1b1RK1/8 w - -,c6e4
5bk1/1R3p1p/4p1p1/r3P3/1p1B1PP1/4P3/7P/6K1 b - -,g8g7
2r3k1/pp1bbppp/n1q2n2/3p4/1P1PpB2/PQN2NP1/4PPBP/5RK1 w - -,c3e4
N7/8/2K1p2p/p4pk1/P3p3/4P3/4b1P1/3r3R w - -,h1h2
3Qb1k1/5p2/2p3p1/pp5p/3B1P2/P1P3PP/3nq1B1/6K1 b - -,e2e1:c6c5
2r2rk1/2q4p/p1bppnp1/2p1b1B1/Np2P3/PP3B1P/2PQ1PP1/3RR1K1 b - -,b4a3
2q5/pb3pkp/1p4p1/2r5/2PQ4/P1n5/1bB2PPP/1R1R1K2 b - -,g7g8
3rk2r/pp1b1p1p/1bn1p3/5p2/3N4/1N4P1/PPP2PBP/3R1RK1 b k -,c6d4
6k1/5p2/1bPqp1p1/1B5p/1P1p4/6PP/4QPK1/8 w - -,e2c4
6k1/p4p1p/1p2p1p1/3nB3/3P1PQ1/P7/1PR2KPP/3q4 b - -,d1c2
5Q2/7k/5n2/7p/3Pp1p1/4PpP1/5P1P/1q3BK1 b - -,h7g6
r2q1rk1/pb2nppp/1p2pn2/2pp4/3P4/1P2PNP1/P1PN1PBP/R2QR1K1 b - -,a8c8
8/8/8/3k1n2/p4B2/3K3p/P7/8 w - -,f4h2
2r2b1r/1p1k1p1p/p3p1p1/3pP3/1P1N1P2/2PBB3/6PP/5RK1 w - -,f1c1
1r4k1/2p3pp/2n2p2/p1Pp1n2/3P3P/1rP2N2/R2B1PP1/4R1K1 b - h3,h7h5
2k1r3/pppbBp1n/3p2p1/3Pp3/4P3/2PB1N2/P1P1KPP1/7R b - -,e8e7
