7r/4R2p/8/1B6/P4k2/7P/3n4/4b2K w - -,e7e1
1r6/3knR2/p3pP1Q/q1p4P/6P1/2PP4/P5b1/6K1 w - -,f7e7
r5k1/8/2p3p1/p1P4P/P2Q4/2B2P2/qP6/2K5 b - -,g8f8
rnbqr1k1/ppp2ppp/3p1n2/4p3/2PPP3/5NP1/PP1N1PBP/R2Q1RK1 b - e3,a7a5
br2r1k1/5pbp/qp1ppnp1/1N2n3/P1P1P3/2N3PP/5PB1/BQ1RR1K1 b - -,e8d8
6rk/1p4bp/8/P2qp2Q/1P1pR3/5P2/3B2P1/6K1 b - -,g7f6
r5k1/2p3pp/2pb1p2/4P3/2q2P2/P4BPb/1B5P/3QR1K1 b - -,f6e5
8/1pk2p2/5p2/RPP4p/4p2P/1r4P1/3K1P2/8 b - -,b3f3
r3rb2/pp2q1k1/4bN2/2np3Q/8/P1P1P3/4NPPP/3RK2R w K -,f6d5
2r3k1/2r4p/4NPbP/4P1p1/pp6/8/PP5P/K2R2R1 b - -,c7c2
2k4r/pp1bnrp1/2n1p2p/q2pP2P/2pP2PN/P1P1B2B/2P1Q3/R3K2R w KQ -,h1f1
3r1bk1/2q2p1p/p3p1p1/1pP1p1Pn/1P4QP/P1N1P3/1B3Pb1/3R2K1 w - -,g1g2
r1b1rnk1/p4ppp/2p2qn1/3p4/3P4/2NBPN1P/P1Q2PPK/1R3R2 b - -,f6d6
r3k2r/ppqbn1pp/4p3/b2pP3/P7/B1P2N2/2B1QPPP/R4RK1 b kq -,a8c8
2rq1rk1/pp2ppbp/4b1p1/n1p5/3P1B2/2PQ2P1/P1N1PPBP/R2R2K1 b - -,d8d7
8/3bk1p1/6Rp/2p5/2Pp1K1P/3B4/5PP1/4r3 b - -,e7f7
r1b1k2r/1p3pp1/p1nqpn1p/3p4/3P4/2NBP2P/PP3PP1/2RQK1NR w Kkq -,f2f4
r2qr1k1/pb3pb1/1pp2np1/2Pp2np/PP1P1N2/2N1P1P1/2QB2BP/1R1R2K1 b - a3,b6c5
8/p3kp2/1p1pb3/2p3p1/2P2P2/1P2K1P1/P1P1B3/8 b - f3,g5f4
4k3/5pp1/R6p/pPr5/P1P5/5KP1/7P/8 b - -,c5c4
3r1rk1/1p4pp/p7/3PR1n1/2P5/3B1qP1/PP4K1/3R3Q w - -,g2h2
rnbqk1nr/ppp2ppp/8/4p3/1bpPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e5d4
rn1qk2r/pbpp2pp/1p2p2n/5P2/1bPP4/2N2P1N/PP4PP/R1BQKB1R b KQkq -,d8h4
r3k2r/p2p2p1/1pbPpn1p/5p1q/2P2Q2/P2B4/1P3PPP/R1B1R1K1 b kq -,e8g8
2kr1b1r/pppq1ppp/4p3/3NQ3/8/3PB2P/PPP2PP1/2KR3R b - -,d7d5
rn2k2r/pp2nppp/2p2q2/3p1b2/1b1P1B2/2NB4/PPP1NPPP/R2Q1RK1 w kq -,f4e5
rnbqkbnr/pp2pppp/2pp4/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq d3,g8f6:e7e5
3q4/5pkp/p1n3p1/1pp1p3/P3P3/1PPr3P/4BPP1/2QR2K1 b - -,d3d1
1kb4q/1pp5/p1np4/4rpp1/P7/1PP2P2/1KP1RBP1/3Q1B2 w - -,d1d2
2r5/4k2p/p3p1p1/1p2pp2/P3P2P/1BP5/1KP5/3R4 b - a3,f5f4
2r1n3/5k2/1Rp3p1/4p3/6P1/6K1/R7/8 w - -,a2a6
r2qkbnr/pp1n2pp/2p1p3/3pNp2/3P2b1/1P4P1/PBPNPP1P/R2QKB1R b KQkq -,d7e5
8/2b5/1r3kp1/1p6/2p1BP1R/P7/1PK3P1/8 w - -,c2c3
1r6/4bk2/3p3p/Rp2n1p1/2p1P1P1/2P4P/P2BB3/5K2 w - -,a2a4
8/pN6/6k1/4K3/8/1Pn5/P7/8 b - -,c3a2
4rbk1/1p3p1p/p1p3p1/P2r2q1/QB1Pp3/4P2P/1PR2PP1/5RK1 w - -,b4f8
2rb2k1/1q3pp1/1n2p2p/p1n5/1p1NP3/5PP1/QP1N1BKP/3R4 w - -,d2b3
r2qrbk1/ppp2ppp/4b3/2p2n2/5B2/1PNP1N1P/P1PQ1PP1/4RRK1 b - -,a7a6
r1q2rk1/p1p1ppbp/1p1p1np1/3P1b2/2P5/2B2NP1/PP1QPPBP/R4RK1 w - -,f3d4
r1b1kb1r/pp1npp2/1qp2n1p/3p2p1/3P3B/1P1BPN2/P1P2PPP/RN1QK2R w KQkq g6,h4g3
r2qkb1r/1p3ppp/p1np1nb1/4p3/3PP1P1/5N1P/PP3P2/RNBQRBK1 w kq e6,b1c3
8/4bk2/8/3pP3/3P2K1/5N2/R7/5r2 b - -,f7e6
b5rk/4qp1p/p2p1p1Q/1p2pP2/1P2Pr2/P1N4P/1P2R1P1/3R3K b - -,g8g5
2k4r/ppqr2p1/3bpn1p/2p5/2PPN2P/2B5/PP2Q1P1/2KR3R b - -,d6f4
rnb2rk1/1p2ppbp/6p1/pPpq4/P2P4/4PN2/1B1Q1PPP/R3KB1R b KQ a3,c8g4
q7/8/2R5/2R5/6pk/8/5PK1/8 w - -,g2h2
r1b1kb1r/ppppqp1p/2n2np1/6B1/3NP3/P1N5/1PP2PPP/R2QKB1R b KQkq -,f8g7
3rr1k1/pq1nbppp/p1n5/2p5/8/2N2BB1/1PP2PPP/R1Q2RK1 b - -,e7f6
r1b1rnk1/pp2qpb1/2pR2pp/2P1P3/1PB2p2/P1N2N1P/2Q2PP1/5RK1 b - -,g6g5
rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq -,g8f6:b8a6:e7e5:e7e6:d8a5
2rr4/pp1knppp/1b6/3pP1B1/8/5N2/P1P1K1PP/2RR4 w - -,c2c4
2brr3/p4pk1/1ppq1npp/2p1p3/4P3/3PQ1NP/PPP2PPN/4RRK1 w - -,e3c1
4K1k1/2Q5/p5p1/3qP2p/P7/5r1P/2p4B/8 w - -,c7c2
5rk1/3qp1b1/3p2p1/2rP1p1p/1p3P1P/1B1Q4/PPP3P1/2KRR3 b - -,g7f6
4r1k1/5pp1/p3p3/4P2p/P2R4/1p6/1P3PPP/7K b - -,e8c8
r2n1rk1/pp1bq1pp/2p5/2RP1p2/4p3/6P1/PPQ1PPBP/3R1NK1 b - -,b7b6
r1b1r1k1/1p4Pp/2p3q1/p4p2/P2B2Pb/1PP1Q1NP/8/R4RK1 w - -,e3f3
rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/2N5/PP2PPPP/R1BQKBNR b KQkq -,f8g7:d7d6
r3k2r/pb1nqppp/1p2pn2/3p4/1Q1P4/P4NP1/1P2PPBP/RNR3K1 b kq -,e7b4
1q2r1k1/1r1nn1bp/3p2p1/2p2pPP/1p3P1N/3P1QN1/1PP5/R1B1R1K1 b - -,d7f8
r5rk/pp2pp1p/5n1Q/3p1R2/2qR4/2N1P3/PPP3PP/6K1 b - -,c4c6
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq c6,d1g4:c2c3:f2f4:d4c5:g1f3:b2b4:c1e3:f1b5
3B4/1b5p/p2k2p1/4b3/4P3/3BK2P/P5P1/8 b - -,d6d7
r1br2k1/1pq2pbp/2p3p1/2P5/n1B1P3/PR2BP2/2Q1N1PP/2R3K1 b - -,c7e7
5b1k/r3r2n/1p1pPp1p/p2B1PpP/P2P4/2P5/3B4/1R3RK1 w - -,b1b6
1nr5/5k1p/1pp1rpp1/p2p4/3P2PP/1P2P1N1/P1R2P2/2R2K2 b - h3,e6d6
2r2r1k/pp2bp1p/1qn1p3/3p1p2/3P1PP1/2N1P3/PP2Q1BP/R4R1K b - -,f5g4
2rq2k1/3n2pp/p1br1b2/2pNpPB1/1pPnP2P/1P2Q1NB/P2R4/5RK1 b - -,h7h6
rnbqk2r/pp1pbppp/4p3/3nP3/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,f1c4
2Q1Nbk1/5p1p/6p1/P1pp4/5q2/1n6/5PPP/1R4K1 w - -,a5a6
2r4k/8/1p6/pP1qP2p/P1pP1ppP/2R1PbP1/5K2/2R2Q2 w - -,c3c4
r2qkb1r/pb3ppp/1pp1pn2/8/4PB2/P1N5/1PP1BPPP/R2QK2R b KQkq -,f8c5
r1b1kbnr/1pqn1ppp/p2pp3/8/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 b kq f3,g8f6
1r6/8/8/4r1k1/6R1/6PK/8/8 b - -,g5f6
8/2b2p1p/p1k5/2Bp1p2/PP2rP2/6P1/5K1P/2R5 b - -,c6d7
rnbqkbnr/ppp3pp/3p4/4pp2/8/3P1NP1/PPP1PP1P/RNBQKB1R w KQkq f6,f1g2
2rqkb1r/1b1p1ppp/4pn2/1N2P3/2nB1P2/3Q4/PPP1B1PP/3R1RK1 b k -,f6d5
r1n1nrk1/1pq1pp1p/2p3p1/p2PN3/P7/1QN5/1P3PPP/R1B2RK1 b - -,c7e5
3n4/1b3rk1/3p1p2/2pP1Pp1/1pP1q1Np/1P2N2P/1Q4P1/4R2K w - -,h1g1
rnbqk2r/p3bppp/3p1n2/1PpP2B1/8/5N2/1P2PPPP/RN1QKB1R b KQkq -,e8g8
8/1r6/2pp2p1/p3kp1p/P1P2RrP/1PK1P1P1/6R1/8 w - -,f4d4
r3k2r/ppp1qppp/3pb3/4n3/1bP2B2/4P3/PP1NBPPP/R2Q1RK1 w kq -,d2f3
r1b1k2r/pp1nq2p/4n1p1/1Pp2p2/2Pp1P2/3P1NP1/P2N2BP/R2QR1K1 b kq -,d7f6
3r1rk1/1p4p1/7p/pq1p1pb1/3B3P/5K2/PP4Q1/3R3R b - -,g5f6
6rk/1p1n1p1q/2p1p3/3PPp1r/Pp1P3p/1P1B1Q1P/5PP1/3RR2K b - -,c6d5
r1b2rk1/ppqnppbp/2pp1np1/8/4P3/2NP2P1/PPP1QPBP/R1B1NRK1 b - -,d7b6
1n2n3/r5k1/3r1ppp/NpP1q3/3pP3/P2P4/BQ3RPP/5RK1 b - -,d6a6
rn3qk1/3b2p1/p3pr2/3p3p/1p3P2/3BQ3/PPP2NPP/4RRK1 w - h6,f2h3
8/4k1p1/1p1p1nbp/1PrPp3/4P3/6P1/3N3P/1B2R1K1 w - -,b1d3
2br1k2/2r2p2/p2p2np/1p2n2N/4P1pP/1P4P1/PB3PK1/1B1RR3 b - -,c8b7
3q1r2/3b1pkp/1p1p2p1/2pP4/1pPp4/R2P2P1/3Q1PBP/5RK1 b - -,b4a3
1k5r/1q1nb3/pp3p2/4p2p/8/4N2Q/PP3PPP/2RR2K1 b - -,d7f8
r3kb1r/2qb1pp1/p2ppn1p/1p2n3/3NP1P1/2NBBP2/PPPQ3P/1K1R3R b kq -,b5b4
2kr3r/pp1q1p1p/2n1bQ2/2p5/3p4/3P2B1/PPP3BP/R4RK1 b - -,h8g8
1rbq2k1/1pp1n1b1/p2p1r1p/3Pp3/2P4N/3Q1PP1/PP1B2B1/2R2RK1 w - -,f3f4
r1r3k1/ppB1bppp/4p1q1/7n/4P1nP/P1N3P1/1P2BP2/3RQRK1 w - -,d1d7
r2q1rk1/1bpn1ppp/1p1pp3/p7/2PPN3/P4NP1/1P1QPPBP/R3R1K1 b - -,b7e4
8/1k6/2n3p1/7p/8/4BPK1/7P/8 w - -,g3f4
4k3/R7/3r4/1p2pp2/p1pB1P1P/P1P1K3/2b3P1/8 w - -,f4e5
6k1/2pq3p/p2p1pp1/1p1P1bP1/1P3P2/P2rb1NP/B5QK/2B1R3 b - -,e3c1
r1b1k2r/5pp1/p1np1q1p/4p3/1NP1P3/8/PP3PPP/R2QKB1R b KQkq -,c6d4
8/1b3p2/pk3K2/1P3N2/R1P5/1r6/8/8 b - -,a6b5
1kr5/pp1b1p2/1q2p3/nP1pP1B1/3P4/P2B4/1Q3PP1/R5K1 w - -,a1b1
rn2r1k1/pp6/6p1/2pPB3/5pP1/1P6/P2N1P2/R4RK1 b - -,e8e5
r3nr2/3N2kp/p6R/2b1p1p1/p3P3/7P/BPP2PP1/R5K1 w - -,d7f8
r2qkbnr/ppp2ppp/2b1p3/8/3PP3/2N5/PP3PPP/R1BQKB1R b KQkq e3,f8b4
3r4/1p4kp/n1p1b1p1/p4p2/P1Pqp3/P3N1P1/4PPBP/R3Q1K1 b - -,b7b6
r3r1k1/3b1pn1/2pq2p1/p1Rp4/Pp1P2Pb/4PPN1/3Q2KP/BBR5 b - -,g7e6
8/8/2b1k1p1/2P3P1/2P5/4K3/2Bp4/8 b - -,d2d1q
8/ppp4p/3p1k2/2rP3P/4n3/1P6/P3NP2/K2R4 w - -,a1b2
r1bq1rk1/pp3pbp/n5p1/2n1p3/2Pp4/1N1P1NP1/PB2PPBP/R2Q1RK1 b - -,f8e8
b7/2q2k1p/1B1p1Pp1/pP1Pp1P1/P7/6P1/7P/6K1 w - -,b6c7
r2q1rk1/1p2ppbp/2np1np1/p7/P3P3/1PN5/1P3PPP/R1BQRBK1 b - -,f6d7:e7e6
6k1/5ppp/4p3/3qP3/1n2nPP1/3r4/1P2Q1NP/4R2K w - -,e2e4
r1bq1rk1/ppp2pp1/2nb1n1p/1P2p3/3P4/P1NBPN2/2QB1PPP/R3K2R b KQ -,e5d4
6k1/3n3p/1pN2pp1/2b5/bB4N1/6P1/1P2PP1P/5K2 w - -,b4c5
8/3k1p1p/6p1/1N6/P4pP1/2Pr3P/6K1/8 b - -,g6g5
r1bqk2r/ppnnppbp/2pp2p1/4P3/2PP1P2/2NBBN2/PP4PP/R2QK2R b KQkq -,c6c5
1rbqnrk1/3n2bp/p2p2p1/2p2P2/NpP2P2/1P1PB2P/P2QN1B1/4RRK1 b - -,f8f5
6k1/1b6/pQ1p2p1/3Pq3/8/7P/6P1/6K1 b - -,e5d5
7k/5pp1/p1pq1n1p/1p1p1P2/PP1B1b2/2P1QP1P/2B3P1/7K w - -,e3e2
8/8/8/PpK4p/4kp1P/8/8/8 b - -,f4f3
r2r4/1ppb1pkp/3p1np1/2n5/3N2P1/1P2P2P/1KPNBP2/3R3R w - -,e2f3
7r/pr3p1p/2Qb1kp1/B2n3q/3P4/4N1P1/5P1P/4R1K1 w - -,e3d5
r1bq1rk1/ppp3b1/3p3p/3Nnpp1/2P5/4P2P/PP2BPPB/R2Q1RK1 w - -,a1c1
1r1r4/3n1kpp/p3b3/Np2np2/3Bp2P/2P3P1/PP2BP2/1K1R3R w - -,h1f1
8/5R2/2r3p1/4p3/4k2P/6P1/4KP2/8 b - -,c6d6
6r1/3k4/2p4p/1p1r1p1P/p1n2Pp1/2PR4/2P3PB/4R1K1 w - -,g1f2
1k1r3r/ppp4q/8/2b5/3NRpP1/P2p1P2/1P1Q3P/R1B4K b - -,c5d4
8/6p1/2p5/p4k1P/2B5/2P1K3/8/8 b - -,f5g5
3rkb1r/p1p1qp1p/bnp3p1/4p3/2P2P2/1PQ5/P3B1PP/RNB2RK1 b k -,f8g7
1r1q1rk1/pBp1n1b1/Pn2b2p/NP2ppp1/2Pp4/Q5P1/1B1NPP1P/R4RK1 b - -,d8e8
7k/p1p3p1/3p3p/1pb1r2P/2P5/1P4K1/PN6/3R4 w - -,d1d5
rnbqr1k1/pp3pbp/3p1np1/3P4/2p1P3/5N1P/PPB2PP1/RNBQ1RK1 w - -,b1c3
6k1/2q2p1p/4p1p1/1P1p4/3Nn3/3Q2P1/r3PP1P/3R2K1 b - -,c7c5
3rr1k1/bp3p1p/p5p1/4B3/3P2Q1/Pq4P1/1P3P1P/3RR1K1 w - -,e5f6
4r1k1/1q3p2/p2pr1p1/1p1Nn3/1P2PN1p/P1Q2PP1/7P/2R3K1 b - -,g8g7
2r5/1pr2pkp/1n2p1p1/3p4/4PP2/PP1B3P/2P3PK/1R2R3 w - -,a3a4
r1q2rk1/p2pbppp/1pb5/n1p5/2P1NB2/6P1/PPQRPPBP/5RK1 b - -,a5b7
4b3/8/5b2/4k3/p3p1Bp/2P1N2P/P3K3/8 w - -,g4c8
1r1rn1k1/4bppp/pp6/n1pPP2b/4Q1q1/N4NP1/PB1R1PBP/2R3K1 w - -,f3e1
2kr2r1/1p3p1R/1np3p1/p2qPpP1/PbpP1P2/1PN1B3/2Q2K2/1R6 b - -,b4c3
rn1qk2r/pbppppbp/1p3np1/8/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq -,c2c4
1r2r1k1/3n1pbp/1q1p2p1/2pP4/1p2PP2/1Q3BB1/1P2R1PP/R5K1 w - -,b3c4
2N5/5pkp/pR2p3/1nB1P3/4nP2/8/6KP/8 b - -,e4c5
3r1k2/1R2bppp/4p3/3n2N1/8/8/4BPPP/6K1 w - -,h2h4
r5k1/1p1qpp1p/6p1/p7/P7/3rP1P1/2Rb1Q1P/5RK1 w - -,f2f7
r4rk1/pb1nqppp/1p2p3/2p5/1nQPP3/3B1N2/PP1N1PPP/2R2RK1 w - -,d3b1
6k1/p2r1p1p/3b1p2/2pb4/N7/1P5P/P4PP1/3R1RK1 w - -,d1d5
1q6/3br1kp/3p1pp1/1rpP4/4PP2/4R1P1/6BP/Q3R2K w - -,a1c3
rn1qk2r/pbp1bppp/1p2pn2/3p2B1/2PP4/P1N1PN2/1P3PPP/R2QKB1R b KQkq -,b8d7:e8g8
q5k1/1n1n1pbp/3p2pN/1p1Pp1P1/2p1P3/2P1BQ2/1PB2PP1/6K1 b - -,g7h6
8/pp2rk1p/2p1p2q/4Bp2/P7/1P5R/2P1R1P1/6K1 b - -,h6c1
5rk1/ppR5/2p2Q2/2P5/3P4/P6P/1Pq3r1/KR6 w - -,f6e6
2r5/6k1/5b2/p2pp3/1p1P2Pp/2PR1R2/PP3PK1/3q4 b - -,d1b1
8/5k2/2N3pp/2n5/3R2PP/2r2PK1/8/8 w - -,c6b4
2rqk2r/p2pbpp1/2n1p3/2p1P2p/2P1Q3/6P1/PP1B1PBP/R3R1K1 b k -,f7f5
r3r1k1/pp3pp1/2p2Bq1/3n1N1p/2pPR1P1/2P2Q2/P4P1P/4R1K1 b - -,e8e4
r2r2k1/1b3ppp/2p2n2/p3n3/Pp2P3/1N2BP2/1P2BKP1/2R2R2 b - -,b7a6
2r5/7p/1R6/4PP2/p7/kp1P4/3K3P/8 b - -,a3b2
5rk1/2Q2ppp/p1p5/1p6/4b3/1B5P/PPP1q1P1/2R4K w - -,c7g3
2r2rk1/2q1bppp/p1n1b3/1p2p3/4B3/N1P2Q2/PPNR1PPP/1K5R w - -,h1d1
6k1/5p1p/2q1p1p1/1p1rP3/3R1P2/2P5/1Q3KPP/8 b - -,d5d4
rnbqkbnr/pp3pp1/2p1p2p/3pP3/3P4/3B1N2/PPP2PPP/RNBQK2R b KQkq -,c6c5
r1bq1rk1/ppp1bppp/2n5/3p4/3Pn3/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,c1f4
r1b2rk1/4q1pp/3bp3/p4p2/2BP1P2/P3P3/1BQ3PP/2R2RK1 w - -,a3a4
r3kb1r/1bq2ppp/p2ppn2/2n5/1p1NPP2/3BBQ2/PPP1N1PP/1K1R3R w kq -,e2g3
r1b1k2r/1p2qpp1/p1p2n1p/2b1p3/2P1P3/1Q1B1N2/PP3PPP/R1B2RK1 w kq -,c1d2
r7/1q2p1kp/p2pBnp1/1p6/3Q4/1P3PP1/P3P2P/2R3K1 w - -,g3g4
3r2k1/1p2rp2/4pqp1/1PPp4/2nP1N1p/2Q3PP/5PBK/2R5 b - -,e7e8
3B2k1/5pbp/5np1/1Bp5/8/2P3P1/1P3P1P/6K1 b - -,f6d5
6k1/R1p4p/2p3p1/8/8/5P2/P2r2PP/6K1 b - -,d2d7
r3kb1r/pp2p1p1/n1p2p1p/2Pp3P/3PnB2/1q3NP1/1P2PPB1/1RQ1K2R w Kkq -,e1g1
r3k2r/p4ppp/5n2/2bbp3/3n4/5NP1/PP3PBP/RNB2RK1 w kq -,f3d4
2r3k1/3q3p/1r2p1p1/1p1pBbb1/3P4/2P4P/BQ3PP1/R3R1K1 b - -,d7c6
3rkb1r/5ppp/p1q1b1n1/1p1p4/N2B4/1P1B1Q2/P1P2PPP/R3R1K1 w k b6,a4c3
6k1/1b3Rp1/2p4p/1pP1N3/r2P2P1/7P/P3p1RK/4r3 w - -,e5f3
5b2/p2R1k2/7p/5Np1/6P1/2P4P/r7/6K1 b - -,f7f6
r3q3/1p4bk/5pp1/3p3p/P1QP1B2/P5PP/5P2/3R2K1 w - -,c4d5
r2q1rk1/pppb1p2/3p1bpB/2n5/2PNP3/5PP1/PPQ3BP/R2R2K1 b - -,f8e8
r4b2/2R2pkp/b2p2p1/1N6/2P1P1P1/P4P2/1P5P/1K1R4 b - -,a8d8
r4rk1/pp1qbppp/3p4/2p1n3/8/1PP1BN1P/P1P1QPP1/2KR3R b - -,d7c6
8/5p2/3Rb1p1/1pkpPp1p/8/1r3P1P/6P1/3RK3 w - -,e1e2
3r3k/5p1p/3q1p2/1p1P1Q2/2P2P1P/4R3/6PK/8 b - -,b5c4
r3r2k/2p3pp/2pb2q1/p4p2/1PQPp3/2P4P/P4PP1/3RRNK1 w - -,a2a3
rnbq1rk1/pp2bppp/4pn2/2pp4/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 w - c6,d2d3
r1bq1rk1/pp3pbp/3pnnp1/2p5/2P1P3/2NBBN1P/PP3PP1/R2Q1RK1 b - -,f6d7
8/4p3/2P3P1/p7/3b4/8/2k5/1R5K b - -,c2b1
2rqr1k1/p4p1p/1p2nbp1/4N3/2pPR3/P5P1/1PQ2PBP/3R2K1 w - -,g2h3
1r1qr1k1/1pn1npbp/p1p1b1p1/2N1p3/1P6/P1BPP1PP/2Q1NPB1/1R1R2K1 b - -,d8c8
1r3rk1/R4q1p/1Q4p1/3pn3/4p3/1NP4P/1P3PP1/4R1K1 w - -,a7f7
6k1/1b1r1ppp/p1p1p3/4P3/2B2P2/b3N3/P1P1K1PP/7R w - -,h1b1
r2qr1k1/1p6/p3P3/2ppBnPQ/8/2P5/PP3P2/2KR4 b - -,e8e6
rnbq1r2/pp5k/2pp1bpp/3Pp3/2P1Pp2/2N3PN/PP1Q1PBP/R4RK1 w - -,f2f3
8/pR3p1k/8/3P2p1/3N2b1/2P3r1/P5P1/6K1 b - -,g3c3
4n3/4N1k1/p2p4/1p1Pp1K1/1Pp1P3/P1P5/8/8 b - -,g7f7
r4r1k/p5pp/Pp3p2/n2p4/3P1Bq1/8/1PQ1RPPP/R5K1 w - -,f4d6
r3k2r/1p1n1ppp/2p1p3/p6P/Pn1P4/3B3R/1PPB1PP1/R3K3 w Qkq -,d2b4
2rr4/1R1p1kpq/p2QpnNp/2p4P/2p1P1P1/5P2/P7/5RK1 w - -,f1c1
r2q1rk1/1pp2ppp/p1n5/3p3b/3Pn3/2B1P2P/PP2BPP1/2RQNRK1 b - -,h5e2
2r1rnk1/pp3ppp/2pb4/3p1b2/PP1P3q/2N1P1P1/2QN1P1P/RR4K1 w - -,c2f5
r3rbk1/1p2qb1p/2pp1pp1/p1n1n3/2PNPB2/1PN2P2/P2Q2PP/3RRBK1 w - -,f4g3
rnbq1rk1/pp4pp/2pB4/3p1p2/3Pn3/2N1PN2/PPQ2PPP/R3KB1R b KQ -,d8d6
8/6rk/3p3p/2p1p1p1/Q7/1P1q1PP1/P2r3P/2R2RK1 b - -,d6d5
r2qkb1r/1b1n1p1p/p2ppp2/8/4P3/6NP/PBP2PB1/R2Q1RK1 b kq -,a8c8
r1bq1rk1/1p3ppp/p1n5/1B1p1n2/8/1N3N2/PPP1RPPP/R2Q2K1 w - -,b5c6
3k4/3n1p2/p3p3/4P1pp/5P2/8/B5PP/2B3K1 w - g6,g2g3
r4rk1/pb2bpp1/1p2qn1p/2ppBN2/1n1P4/2N3P1/PP2PPBP/1Q1R1RK1 b - -,a8d8
7k/2b2pp1/p6p/2p1PP1n/7q/1B2QP1P/P3R1KB/1r6 w - -,b3f7
b2r2k1/3r1pp1/4p3/pN3n1p/P2P3P/1P3PNK/3R2P1/2R5 b - -,f5g3
r2r3k/1p4pp/p2p3b/n3p3/2P1PpBP/1P5R/P1N2PP1/3RK3 b - -,b7b5
r4rk1/pp2bppp/1qb1pn2/n1p5/3PP3/2NQBNP1/PP3PBP/R2R2K1 b - -,f8d8
1b6/8/6k1/5p2/3B2p1/3B2P1/4K2P/8 w - -,d4e3
4kb1r/1rp2ppp/1q6/RN2p3/8/2P2Q2/1P1P1PPP/2B1K2R b Kk -,c7c6
2r1r2k/p5p1/2RRNn1p/5p1b/4p2P/P5P1/1P3P2/5BK1 w - -,f1a6
r1b2rk1/p1b1q1pp/1pp5/2Pp1p2/1P1Bn3/4PNP1/PQ3PBP/R4RK1 w - -,c5b6
3R4/1q3p1k/ppr1pnpp/8/P1P5/1PNQ1PP1/7P/6K1 w - -,d3d4
7r/1R6/p4pk1/4p2P/4P3/8/PP3P2/1K6 b - -,h8h5
r3rb1k/1bp2qp1/1p1npp1p/pP6/P2PPNP1/1Q2BP2/4B2P/2R2RK1 b - g3,a8c8
4R3/2k2ppp/1pB2b2/2pP4/8/7P/rP3PP1/6K1 b - -,a2b2
