8/6p1/p7/Bp6/1P2b3/1k3pP1/5K2/8 w - -,f2e3
r1r3k1/3bppbp/3p1np1/qBpP4/Pn2P3/2N2N2/1P2QPPP/R1R1B1K1 b - -,a5d8
1r6/b4k1p/P5p1/4P3/2p1K3/2N3PP/RP6/8 b - -,f7e6
r3r1k1/ppq1bppp/4pB2/2n5/3N4/2P3N1/PP2QPPP/3RR1K1 b - -,e7f6
rnbqkbnr/ppp2p1p/3p2p1/4p3/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,b8c6
5k2/4Nppp/4pn2/2QpN3/1P3P2/q3PK2/4b1PP/8 w - -,f3e2
3r1nk1/pb2qppp/1p6/4pB2/1P6/P3PPB1/4Q1PP/3R2K1 w - -,d1d8
5rk1/5ppp/3p4/3Rb3/rp6/8/B1P2PPP/3R2K1 w - -,a2b3
3r1r2/6kp/p1qp1p2/2p1pnp1/2P5/1PQ1PPP1/P4NKP/2RR4 b - -,h7h5
3n2k1/p5r1/2pq4/3pN3/3P1pP1/P2Q4/2R2P1r/2R2K2 b - -,d6h6
8/2r1q1bk/2r3pp/3pp3/PR4Q1/6NP/6P1/4R2K b - -,h6h5
r4rk1/2q2ppp/2p1pn2/p2p4/1b2PP2/2N2Q2/PPPBR1PP/5R1K w - -,e4d5
1r2r1k1/3n1pp1/1pp2n2/3P1q1p/P2Pp3/4P2P/2QB1PP1/1RR2BK1 b - -,c6d5
1r2q1k1/pb1rbppp/1pn1pn2/1Np5/2P3P1/3PP3/PB1RQPBP/3RN1K1 b - -,e8c8
1r4k1/2q1pp2/b2p2p1/p1pPn2p/1rP1P3/1PQ3PP/3N1PB1/1R1R2K1 w - -,f2f4
6r1/pp5k/1q2p2p/4p1P1/1b1pPp2/3Q1N1P/PP3P1K/6R1 b - -,b6a6
2k4q/2r2p2/3N4/p2P4/P3PK2/2P3Q1/7P/8 b - -,c8b8
r2qr3/pp3pk1/5n1p/3P1np1/4p3/2N3PR/PP1Q1P1P/R4BK1 b - -,e4e3
r4rk1/1p1nbppb/1qp1pn1p/3p4/p1PP1BP1/P4N1P/1P1NPPB1/R1Q1R1K1 w - -,c4c5
4q1k1/1r3ppp/3Q4/p1n2B2/1bP2P2/5P2/5P1P/1R4K1 b - -,c5e6
6k1/p5pp/2q2p2/4p3/3p2P1/2r2PKP/P3Q3/1R6 b - -,e5e4
2r1r1k1/p2q1pbp/b2pp1p1/N2Nn3/2P5/4P1P1/PP3PQP/R1BR2K1 w - -,d5c3
8/pb5k/7p/3p2r1/1PpqnP1Q/P5N1/2B3PP/5RK1 w - -,g1h1
r2rbq2/1pb2p1k/2p1p1pp/p3P2P/2P2B2/P3Q1P1/1PB2PK1/3RR3 b - -,d8d1
2r5/p1pQ1kp1/8/4qp2/2P1p3/4B1P1/P1K1BP1r/6R1 b - -,e5e7
1r1nn1k1/1r3pbp/p2pq1p1/4P3/5P2/6P1/P2QNN1P/B1RR2K1 w - -,e2d4
7R/4k3/2n1p2p/b3Pp2/N1P2PrP/8/4NK2/8 b - -,g4h4
r2qkb1r/1b1npp1p/2pp1np1/pp6/3PPP2/P1N1B2P/1PPQ2P1/R3KBNR w KQkq a6,e4e5
1r2kn1r/pp1bqp2/3p1n1p/2pPp1p1/2P5/2PBP1B1/P1QN1PPP/1R2K2R w Kk -,h2h3
8/5k2/8/2R4p/pP5P/2K1rP2/1P6/8 w - -,c3c2
r4bk1/1q3pp1/2N1p3/p2B3p/Pp5P/3QP1P1/1PR2P2/6K1 b - -,e6d5
rn4nr/ppkb3p/2p3p1/5pP1/2P1p3/4N3/PP1NPP1P/2KR1B1R w - -,h2h4
2rq1rk1/pp1bppbp/2np1np1/8/3NP3/2NBBP2/PPPQ2PP/2KR3R b - -,c6e5
8/4k2p/2Bnp3/5pp1/p7/b1KNPPP1/P6P/8 w - g6,c6a4
r2q1rk1/5pb1/2p1b1pp/3p4/2Pp4/2NP2P1/2Q1PPBP/1R3RK1 w - -,c4d5
8/8/8/p2k2R1/P1r4B/5K2/8/8 b - -,d5c6
3r4/6bk/B1p1b1pp/P3p3/4Pp2/B1P2P1P/3r2P1/R3R1K1 b - -,d2c2
5rk1/pp6/2pb3p/3p2p1/1P1P2b1/P5P1/3B2BP/4R1K1 b - -,g4d7
8/8/6R1/8/2pr2p1/8/2k5/4K3 w - -,e1e2
r5k1/1pp2rpp/1pnpb3/5p2/1PP2P1q/P2BP3/1BQ3PP/R4R1K w - -,f1f3
r1bq1rk1/pp3ppp/2n2n2/3p4/2PN4/P1P5/4BPPP/R1BQK2R w KQ d6,e1g1
4r1k1/1pp1r1p1/1b1p1pbq/p2P4/P2P2QP/2P4N/1P3R1K/6RB b - -,g6h5
2rq1rk1/1b3pp1/pn1bpn1p/1p1pN3/3N1B2/2P1P3/PP3PPP/1BRQ1RK1 w - -,e5g4
r2r2k1/3P1pp1/2p1n2p/pB6/1P6/P3BP2/8/3R1K2 w - -,b5c6
r3qrk1/1ppb2bn/3p2pp/3Ppp2/NPP1P2B/5P2/3NB1PP/1R1QK2R b K -,d7a4
r2r2k1/3P1p1p/p5pB/1pbR4/4R3/5P2/6KP/8 b - -,c5a3
1r4k1/6bp/1pQ3p1/p1p1pb2/2N3q1/P1NP2P1/1P2P1KP/5R2 w - -,c4e5
8/p3pk2/1p2b3/3pP3/1P1B3K/P4q2/7P/6Q1 b - -,f3f4
3r2k1/2qrbppp/ppn1pn2/2p5/P1P2PP1/2NPP3/1B1R2QP/3RN1K1 b - -,c6b4
3R4/5pk1/6p1/5r1p/4N2P/4K1P1/8/8 w - -,d8d7:e4d6
r1bq1rk1/4bppp/p1n1pn2/1p2P3/8/1BN2N2/PP2QPPP/R1B2RK1 b - -,f6d7
8/8/4n1p1/P1k4p/5P2/1P4K1/3N1P2/8 w - -,d2c4
4b3/pp2kp2/2n1p2p/4P1P1/3r1P2/2R3P1/PP1N4/4KB2 b - -,h6g5
r3kb1r/pp2pp1p/2n1bnp1/q7/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,c1e3
1q2r2k/r5pp/2bbnp2/2pNpP2/1pP1P1QN/1P4P1/7P/B2R1RK1 b - -,e6d4
r1bq1rk1/1p1nppbp/p2p1np1/2pP2B1/2P1P3/2N2P1N/PP4PP/R2QKB1R w KQ -,a2a4
1q1rr1k1/p4pp1/1p1b1n1p/4p3/1PP5/P3NQP1/1B3PKP/3RR3 w - -,e3f5
8/5k2/6p1/5n1p/5K1P/2B5/8/8 w - -,c3e1
7r/kp4p1/p7/2p1p3/2PpP3/PP1P2Pr/4Q1RP/2q2RK1 b - -,c1a3
r3k2r/1bq1bppp/2nppn2/p1p5/Pp2PP2/3PB1PP/1PP1N1B1/RN1Q1RK1 w kq -,c2c3
r1b1k2r/pp3ppp/1n2p3/3pP3/5P2/2N5/PPP3PP/R3KB1R w KQkq -,c3b5
3bkr2/5pp1/pr1p4/4p2p/2B1P3/3R1P2/PP4PP/1KR5 b - -,f7f5
4r3/1p1br2k/1p1pq1pp/2p5/P1PpPPpP/1P1P2P1/4R3/2BQRK2 b - -,d7c6
8/4k3/3p3p/2pP3B/3bK3/4p1PP/r7/5R2 w - -,f1f7
8/4bk1p/p1q1npp1/2p5/2p4P/1P1R1NP1/PB1R1P2/6K1 w - -,b3c4
5rk1/4pp1p/3n2p1/1p2q3/2p5/P5P1/P3QPBP/1R3K2 b - -,e5c3
4r1k1/3rb1pp/pq3pb1/1p1pB1PB/2pP1P2/P1N1P3/1P5P/2RQR1K1 b - -,f6e5
8/7p/r4k2/5p2/4bB2/7R/1PP3P1/1K6 b - -,a6c6
8/p1p3R1/1p1k4/3Pn3/1KP5/8/PP6/8 w - -,b4c3
r1b2rk1/ppqnbpp1/2pp1n1p/4p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 b - -,g8h7
r5rk/p1q2ppp/b4n2/1p1PPNN1/2p2P2/P5Q1/1P4PP/R3R2K w - -,g3h4
r2q1rk1/pppb1pp1/2n1p2p/4N3/3P1P2/P1PBP3/2Q3PP/R4RK1 b - f3,c6e5
1r2r1k1/n1qbpp1p/pN1p2p1/B3b3/1P2P3/4QPP1/7P/2R4K w - -,c1c7
1r3rk1/2qbbppp/p2ppn2/1p2n3/4PBPP/PNN1QP2/1PP1B3/2KR3R b - h3,e5c4
r1bqkb1r/1p2nppp/p1N1p3/3p4/4P3/2PB4/PP3PPP/RNBQ1RK1 b kq -,e7c6
3r3r/5R1p/pp4pk/n1bBp3/4N3/4P2p/P4P2/3R2K1 w - -,f7f3
r4r1k/pp1bNp1p/3Q2p1/n7/3NqP2/7P/PPP3P1/R4RK1 b - -,d7e6
2r2rk1/1b1q2p1/5p1p/p2p1P1P/1p1PnBP1/3B1Q2/PP6/2R2R1K w - -,c1c8
r2qk1r1/pppb1pbp/1n1p2p1/3Nn3/4P1PP/2B1QP1N/PPP5/2KR1B1R b q -,h7h6
r1r3k1/ppqbppbp/3p1np1/3P4/Pn5N/R1N3P1/1P1BPPBP/1Q3RK1 w - -,a4a5
8/2r1k3/5ppp/p1p1p1b1/P1BrP1P1/1P4R1/4K2P/3R4 w - -,c4d5
1rr2bk1/p1q2pp1/2npbn1p/P1pBp3/4P3/2PPNN1P/Q2B1PP1/R3R1K1 b - -,e6d5
8/4r1pk/5pb1/1PQ4p/8/2B3RP/2q1rPP1/5RK1 b - -,e2e1
2r1rn1k/p2q3p/1p1P1bp1/8/1N6/1Q2B1P1/PP3PBK/3R4 b - -,g6g5
2kr1b2/1p4pb/2q2p2/p1p2P1p/1nNp3N/1P1P2Q1/PBP3PP/1K2R3 b - -,h7g8
2r3k1/q1r3bp/b3p1p1/1p1pP3/pNnP2PP/P1NR1B2/1P2Q2K/2R5 b - -,c8f8
r2qn1k1/3b2bp/1p6/pN1P4/2B1ppr1/QP6/PN3RPP/1R4K1 b - -,d7b5
6r1/pb3pk1/1p2pp2/2q5/1PP2P2/2Q5/P5PP/1B3R1K b - b3,c5h5
6k1/1q2b3/b2p1pp1/1prP3p/3QP1P1/1PB2P1P/5N2/R5K1 w - -,g4g5
4k3/6R1/5p2/7K/5qPP/8/8/8 b - -,e8f8
rn3rk1/pp2ppbp/2pqbnp1/8/3P4/2P2NP1/PP2NPBP/R1BQ1RK1 b - -,e6d5
r2qkb1r/4nppp/p1npb3/1p1Np3/4P3/N2B4/PPP2PPP/R1BQK2R w KQkq -,c1g5
2rkr3/3b1pQN/2n1p3/ppqpPP2/8/PP6/1NP3PP/1K1R3R w - -,h7f6
8/p7/3k1pbp/2pp2p1/1P3P2/P1P1K1P1/7P/5B2 w - -,f1e2
8/r7/1p1p1k2/3Pb3/2P1R1BP/8/5K2/8 w - -,g4e2
r1bb1rk1/2q2pPp/p2pp3/1pn3P1/3NP3/1BN5/PPPQ3P/2KR3R b - -,f8e8
8/5Pk1/2R1P3/3KN3/8/1q6/8/8 w - -,d5e4:c6c4:d5d6
1r2q2r/pbnn1pbk/4p1p1/1p2P2P/2pP3Q/2P2N2/PPB3P1/R1B2RK1 w - -,h5h6
r1bqkbnr/p4ppp/1pn1p3/2ppP3/3P4/2P1B3/PP3PPP/RN1QKBNR w KQkq -,g1f3
3k2Q1/8/6p1/p3Pp2/1pp2P2/Pb5P/1P4PK/3q4 b - -,d8c7
r1b1k2r/1pq2pp1/p1p1pn2/2b4p/2P1P3/2NB4/PP2QPPP/R1B2R1K b kq -,f6g4
8/2r3k1/3p2P1/3P4/3bB1Rp/pPp5/P1K5/8 b - -,d4f6
8/3R2p1/5p1k/4p3/3p3P/5PP1/8/3n2K1 w - -,d7d6
1r3r2/1q1Bpbk1/p2p1pp1/2pP2P1/2P1PN1P/1P2Q3/5R1K/R7 b - -,b7d7
r2r3k/1p2p1bp/3q1pp1/pP1b4/Pn1P4/3NB3/3QBPPP/1R1R2K1 b - -,b4d3
6k1/p4p1p/1p6/2p1n3/2P2p2/PPQB2q1/3P4/5R1K b - -,g3h3:e5d3
r5k1/p1p2qp1/1p1p1rnp/3Pp3/4Q3/P5PP/1PP2PK1/3R1RN1 b - -,a8f8
8/6N1/8/p7/4k2b/1P3p2/P7/5K2 b - -,e4e5
q3r2k/3n2pp/pp1Np1n1/3b2P1/1P6/P5BQ/3b2BP/2R3K1 w - -,g2d5
r2qk2r/p2bbppn/3p4/4p1Pp/2P1P2P/4BP2/P1P1B3/R2QK1NR b KQkq h3,e8g8
8/pp2k3/2p1p1p1/2P2pP1/5n1r/PB2R2P/1P1K1P2/8 w - -,b3c4
r1bqrnk1/pp3p2/2pb1n1p/3p4/3P2p1/2NBPNBP/PPQ2PP1/3R1RK1 w - -,f3e5
1k1r3r/pbpnqp2/1p2p2p/2p3pn/Q2PP3/P1PBBP2/4N1PP/R4RK1 b - -,e6e5
2b2n2/5k2/2p1pP1B/1pP4N/1P2p1P1/7P/5QK1/q7 w - -,h6f8
q2rn1k1/2b3p1/b1p2p2/2Ppp2p/1P5P/N3PN2/1Q3PP1/B3K2R b K -,a6d3
2rr2k1/p5p1/1p2pb1p/3q4/3nR3/P2Q1N2/1P1B2PP/5R1K w - -,f3d4
n4rk1/5ppp/5n2/1qb1p3/1B5Q/3P1PP1/4P2P/R2R3K w - -,d1b1
4br1k/p3q1p1/1p1Np2p/4P3/3PQP2/P3K3/1P6/7R w - -,h1h2
5bk1/pp3p2/3npn2/3p3p/3P2P1/4P1P1/PPB2P2/1N2B1K1 b - -,h5g4
r1b1r1k1/3q1pbn/p1Np3p/1N1Pp1pn/2P1P3/5P2/3QBBPP/RR4K1 b - -,h5f4
6k1/p5q1/5bBp/1pB3p1/2p2p2/6Nb/PPQ5/1K1R4 b - -,f4g3
r2q1rk1/pp3pbp/n5p1/2pPn3/P3N1b1/2N3P1/1P3PBP/R1BQ1RK1 w - -,f2f3
r1bq1rk1/1p2bppp/p1np1n2/4p3/4P3/2N1B3/PPPNBPPP/R2Q1RK1 b - -,b7b5
8/6k1/3q2p1/4b2P/4Q3/6PK/8/8 b - -,g6h5
3r4/k5p1/1p5p/4n3/1R1pB3/P2P2PP/5P2/6K1 w - -,f2f4
1r6/5pkp/B1p5/6p1/4P3/2N5/PPP2PPP/6K1 w - -,b2b3
8/4n3/3kPK1p/P5p1/8/6P1/7P/8 w - -,a5a6
r2q1rk1/pp3pbp/2n2np1/2p1p3/4P3/2PB1N1P/PP3PP1/R1BQR1K1 w - -,c1g5
r1bq1rk1/1p1n1ppp/p1p2n2/2Pp4/3P2P1/1PN4P/P2QNPB1/4RRK1 b - -,a6a5
3rr1k1/1p2qpp1/2pbpn1p/p7/2PP4/PPQ3PP/1B3PB1/R2R2K1 b - -,d6c7
rn1qk2r/p1p1nppp/1p2p3/3pP3/P2P4/2P2N2/2P2PPP/R1BQK2R w KQkq -,h2h4
r1bqk2r/pp1pnpbp/6p1/4p3/1n2P3/2N2NP1/P2PQPBP/R1B2RK1 b kq -,e8g8
3rqr2/pp4kp/1npQb3/4p1b1/6p1/1BN1P1P1/PP3PP1/2R3KR w - -,d6e6
8/6pk/5p1p/1P6/2p5/P1Q5/1KP3qP/8 w - -,c3c4
8/5kn1/5b2/1R5p/5R1P/3r1PPK/8/8 b - -,g7e6
r2qkb1r/pp3ppp/2npbn2/4p3/4PP2/2N4P/PPP1N1P1/R1BQKB1R b KQkq f3,d6d5
r2qr1n1/1pp2pbk/2n3pp/5b2/1PPp1B1P/3N2P1/2N1PPB1/R2QR1K1 b - -,a8a1
r1bqkb1r/ppp1nppp/8/3Pp3/4P3/2P5/P4PPP/R1BQKBNR w KQkq -,g1f3
r4rk1/pp1bqpp1/2n4p/2b1p3/2PpP3/3B2BP/PP1N1PP1/R2Q1RK1 b - -,a7a5
r1b3k1/p2n2pp/1ppqp2r/3p1p2/2PPn3/1P1BPN2/P1Q2PPP/R1R2NK1 w - -,f1g3
2k3nr/1pp3pp/p1bR1p2/2p5/4P3/2N5/PPP1NPPP/R5K1 b - -,c7d6
r3kb1r/pp1npppp/2pq1n2/8/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 w kq -,f1e1:c1g5
2n5/2k5/5p2/1PK2N1p/5P1P/8/8/8 w - -,f5g3
1r1qr1k1/1pp1nppp/p3pn2/4N3/2PP4/BQ4P1/P3PPKP/2RR4 b - -,e7f5
1q4n1/2pk1p1r/p1n1p1p1/1pPpP2N/5PP1/PPPQ4/1K3B2/3R4 w - -,f2g3
3r1bk1/p4pp1/qp5p/2pr1N2/P1n5/5QP1/R3RPKP/2B5 b - -,c4e5
8/8/5p2/p3p1k1/8/r4PK1/P3R3/8 b - -,g5f5
3r2k1/5p1p/1nq1p1p1/1p2P3/1P3P2/2P1N1PP/2Q2K2/5B2 w - -,f1g2
8/7k/p3p1p1/3bQ2p/6qP/1P6/P1B5/1K6 b - -,g4h4
q3nr2/3n1pbk/1r1p4/2pP3p/5BpP/2N1N1P1/PP1Q1PK1/3RR3 b - -,d7e5
r4k1r/p3npb1/2p1q3/7p/3pPB2/1N3Q2/PP4PP/R4RK1 b - -,a8d8
r1b1rnk1/1p3pbp/pq2p1p1/3pP1P1/Pn3P2/1PN4R/1BPQN1BP/3R3K w - -,b2a3
r2r2k1/ppqnbppp/2p1p3/2P1N3/3P1B2/8/1PQ2PPP/R3R1K1 b - -,d7e5
8/p4k2/1p4p1/4Qp2/5P2/P6K/1P5P/6q1 w - -,e5c7
1r6/6k1/pb1pp1pp/4p3/4P1PP/1qPKQP2/3RN3/7R w - -,d2b2
rr4k1/1bnnqpbp/pp1p2p1/2pPp2P/P1P1P1P1/1PNBBPN1/3Q1K2/R6R b - -,d7f8
8/2p1bb2/2k3pp/p1p1B3/1p4PP/P3KP2/1PPN4/8 w - -,e5g7
2r1rnk1/1bq2pbp/p2p2p1/5pP1/1n2P2Q/1NN1B2R/1PPR2BP/6K1 w - -,e4f5
r3r1k1/pbn3pp/2n3q1/1p2PpN1/2p5/B1P5/P1B1Q1PP/3R1R1K w - -,f1f5
5nk1/6b1/p2Bp1p1/1p2P2p/2q1BP1P/6P1/PQR4K/2r5 b - -,c1c2
5r1k/3r1qb1/3PQn1p/p1N5/2N4P/P3P3/1P4R1/2KR4 b - -,f8c8
rnbqk2r/ppppp1bp/5np1/5p2/1P6/5NP1/P1PPPPBP/RNBQK2R w KQkq -,c1b2
8/2k4p/6p1/1Bp1Pn2/2K4P/1P6/8/8 b - -,c7b6
5bk1/1p3p2/p4Qp1/1b1p4/3B2P1/1PP5/P2q2K1/8 w - -,g2g3
rnbqkb1r/pp3ppp/1n1pp3/2p1P3/3P4/1BP2N2/PP3PPP/RNBQK2R b KQkq d3,c5d4
5k2/R4p2/5p1p/1p6/1P5P/p3P1P1/5P2/r5K1 w - -,g1g2
4Q1k1/5p2/1p6/2q2p1p/3p1K1P/P5P1/5P2/8 b - -,g8g7
r1bqk1nr/1p1nppbp/p1p3p1/8/2PP4/2N1B3/PP1Q1PPP/R3KBNR b KQkq -,g8f6
2r3k1/1pr2p1p/6p1/P4n2/1P2QP2/2R1b3/7P/5R1K b - -,c7c3
8/8/2R1pkp1/Pp6/3r1PKP/P7/5P2/8 b - -,d4a4
2rr2k1/3n1ppn/R2R3p/4p3/1P6/3N3P/N4PP1/6K1 b - -,h7f6
6k1/pp3p1p/2nbp3/3p4/3P1p2/3NP2P/PP1BKPP1/8 b - -,f4e3
r2qkb1r/1p1b1ppp/p1npp3/8/4P3/1P6/PBP1NPPP/RN1Q1RK1 b kq -,b7b5
r2q1r2/ppp2pk1/1n4pp/4n3/4P3/2N2B1P/PP3PP1/R2Q1RK1 w - -,f3e2
r1q2rk1/p6p/1p1p1np1/n1pPppB1/Q1P5/2P3PP/P2NPPK1/2R2R2 b - -,c8e8
8/5p2/5kp1/1p6/1P2KPPp/R1P4P/3r4/8 w - -,g4g5
1k2Q3/p7/2p3p1/1p3pPp/5P2/1R6/KP4P1/3r1q2 b - -,b8c7
2r3k1/5pp1/2r1b2p/p2p4/Pq2B3/1P3R1P/4NPP1/Q2R2K1 b - -,d5e4
8/1pkr1p2/pR2p2p/P1P2r2/2PP2RP/4K3/5P2/8 b - -,f5h5
4r3/6pk/2Q1p2p/3pPp2/4nP1q/7P/6PK/5R2 b - -,e8e7
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/N1P3P1/PP1PNPBP/R1BQ1RK1 b kq -,g8e7
2r5/4bkpp/p7/1n2B3/1P3P2/1KPR4/P6P/8 b - -,e7f6
1nrr1bk1/pq3p1p/1p2p1p1/2p5/3PP3/1QP1B2P/P2N1PP1/1RR3K1 w - -,b3b5
r2r1nk1/2q1p2p/2p3pP/p2Pb3/1pP1N3/6P1/PB2Q1K1/2RR4 w - -,e4g5
8/pp3R2/1k1q4/8/1P1r4/2QP1p2/3K4/8 w - -,d2c2
8/p4rk1/7p/R5pP/3K2P1/5P2/8/8 w - -,d4e5
2n1rrk1/p1p3p1/1p1p3p/3Pp3/P1P1N3/2P2P2/3K2PP/3R3R w - -,h2h4
rnbq1rk1/pp2ppbp/3p1np1/2p5/P2P4/5NP1/1PP1PPBP/RNBQ1RK1 w - c6,b1c3
2b3rk/4n1rp/pp1bpp2/3p4/1P1P4/PN3NP1/2B2P1P/3RR1K1 w - -,f3h4
r2qk1r1/pp1n1p1p/2b1pn1Q/2P5/4p3/P1P3N1/2P2PPP/R1B1KB1R w KQq -,f1e2
3rr3/1p3pk1/1q1P1bp1/2p4p/p1Pn1Q1P/3BR1B1/PP3PP1/4R1K1 b - -,e8e3
8/pPb1r2p/2P2kp1/3r1p2/P3p3/7P/5PP1/1R1R2K1 b - -,d5d3
1r3rk1/2p2p1p/2B1p1p1/1p2P1q1/n2P4/2P3P1/Q4P1P/1R1R2K1 w - -,a2c2
2k5/2bn3r/2p2p2/2Pp1nr1/3PpNB1/4P3/3B2R1/5KR1 b - -,f5h6
6k1/p4p2/1b3rpp/3R1Nn1/8/2P1P1q1/PP2Q1P1/5K2 w - -,e3e4
8/R7/8/8/5p1p/4r3/4k3/6K1 b - -,e2f3
8/pp5p/4k1p1/P4pB1/1bN2P2/1n1R2PK/1r5P/8 b - -,b2b1
3r1rk1/1p5p/2bp1q2/p3pB2/2P2p2/5P2/PP1RNQPP/3R2K1 b - -,f6f5
1rbq1rk1/p1nnbppp/1p1p4/2pPp1PP/P3P3/2N1BP2/1PPQ4/R3KBNR b KQ -,a7a6
1n2n1k1/1q3ppp/rN2b3/p1P5/4pB2/6P1/4PPBP/2RR2K1 w - -,d1d8
r2qk2r/pp1n1b2/2pb1pp1/3p1p1p/3P1N1P/3BPQ2/PPP1NPP1/2KR3R b kq -,d8a5
8/1p1k3p/1r2pp2/1r1p1P2/2p5/P1P5/1P2R1PP/R5K1 b - -,e6e5
7r/1bk2p2/3p4/1Pppb3/1p6/4PB2/RPP3P1/5NK1 b - -,c7b6
6k1/3n1p1p/pn2r1p1/2R5/8/1P2P1P1/P4PKP/2R5 w - -,c5a5
6r1/8/pK3k2/8/8/1P3pp1/P5R1/8 w - -,g2g1
8/3k1ppp/8/Nb1n4/4p3/PP2B2P/5PP1/6K1 w - -,a5b7
8/pp6/1n6/4Pk1p/5Rp1/1p4P1/P1r1R1K1/8 b - -,f5e6
1rb2rk1/1p2ppbp/p2p1np1/2pPn3/1qP1P3/1N2BP2/PP1QB1PP/R2NK2R b KQ -,b4d2
r1b1q1k1/1p2r1np/p2p2p1/2pPNp2/2P1P3/1PN3P1/P1Q3BP/4RR1K b - -,e7e5
1kr4r/1pn1bpp1/1qn1p2p/p2pP2P/Q2P1PP1/P1RBBN2/1P6/2R1K3 b - -,c7a8
r4rk1/pb1qn1b1/1p2pppp/3pP3/1P1P1PP1/P1NQ3P/4N1B1/R4RK1 b - -,a8c8
6k1/1p3pp1/p1n1r2p/3q4/3p4/P2P2BP/1PQ2PP1/2R2K2 w - -,c2c4:c2c5
r4rk1/1pq1bpp1/p2pbn1p/4p3/4P3/1PNB1Q1P/PBP2PP1/R3R1K1 b - -,f6d7
r6k/1p1b1rbp/2pp1n2/2nPq3/p1P1pN2/P1N1B1RP/KPQ1BP2/3R4 b - -,a8c8
8/4R1k1/7p/p1rB4/P3P3/4PKP1/8/1n6 b - -,g7f6
1q1r1bk1/6pp/6r1/pp3p1b/2pB1P2/P5PP/1P3QB1/2R1R1K1 w - -,e1e5
r2r2k1/pp3pp1/2p1p2p/4R3/3PQ2P/qPPR4/P4PP1/6K1 w - -,e4e2
8/p1b2kp1/Pp4p1/1P2p1P1/4PpKP/5P2/5B2/8 w - -,f2e1
r1b1k2r/1ppp1pp1/p1n2q1p/3Q4/1b2P3/1B6/PPP2PPP/RNB2RK1 w kq -,a2a3
6k1/3R2p1/pP1P1r2/4p2q/1PP1bpp1/8/3Q2PP/2R2BK1 b - -,f6h6
6k1/3r1p1p/3pb1p1/1pr1q3/4P3/5B2/PR4PP/1Q1R3K w - -,f3e2
r3k2r/2qnppbp/p5p1/1ppQP3/4NP2/P6P/1PP3P1/R3K1NR b KQkq -,e8g8
k2b4/2q2p2/p7/3Qn1pr/P6p/4BP2/6PP/3R1NK1 b - -,e5c6
5k2/pp3pb1/3p2p1/7p/3P4/1Pr1P1PP/P3RPK1/4N3 w - -,e2c2
2kr3r/ppqb1n1p/3bp3/3pn3/1Pp3p1/P1P1N1B1/2B1QPPP/RN2R1K1 b - -,h7h5
8/5p2/2K1bk2/4R3/1R3P2/8/8/3r4 b - -,d1c1
r2qk2r/p2p1pp1/1p3n1p/n1pb4/7B/2QBPN2/PP3PPP/R3K2R b KQkq -,e8g8
