8/3k4/8/p2pBp1p/3P4/2R2P1P/Pq6/7K w - -,c3c7
r4rk1/pp2q1bp/6p1/1NR1p2n/1nP1Ppb1/BP3NP1/P2Q1PBP/5RK1 b - -,e7c5
r6r/1p1k1pp1/1ppbpn2/3p4/2PP3p/P3PP2/NPbBBKPP/R6R w - -,a2b4
rnn2rk1/4pq1p/3p1ppQ/PppP4/4PP2/1P2N3/4B1PP/R4RK1 w - -,e2b5
8/1b3p2/p2p1k1p/1pnP1P2/2p1PN2/P1P4P/2B3K1/8 b - -,b7c8
6k1/p1p2pp1/1pq1n2p/3p4/3P4/2PP2BP/PQ3PP1/6K1 b - -,f7f6
8/p3r1k1/6p1/rp2pp1p/P1R4P/3P1PP1/4P1K1/2R5 w - -,c4c7
8/1r5k/1p2PQpp/1Pp2p2/4b1P1/4P2P/5K2/8 b - -,e4d3
3r1rk1/4qpp1/3p3p/3RpP2/1p6/1P4Q1/P4P1P/3R2K1 w - -,g3g4
rn1q1rk1/pp2bppp/2p2n2/3p4/8/2NP1bPP/PP2PPB1/R1BQ1RK1 w - -,g2f3
1k6/7r/2K5/8/8/8/Q7/8 w - -,a2b1
r3k2r/p3qpbp/1pp2np1/2p5/4PBb1/2NP1N2/PPPQ2PP/2KR3R w kq -,h2h3
5b2/1r3p1k/1P4pp/4p3/1pN1P3/4B2P/5PPK/8 w - -,h2g1
8/1q3k2/3ppnp1/Q3n2p/NpP1P3/1P5P/P1B3P1/7K w - -,a5d8
r1bn1r2/ppp1qp1k/3p2pp/4p2n/4P2N/1BPPN1P1/PP3P1P/R2QK2R b KQ -,c7c6
8/6qk/6p1/6p1/6P1/5B2/1r3PKQ/8 b - -,g7h6
r1b2rk1/p2p1pbp/1pnQ2p1/2p1P3/q7/2P2NB1/PP2BPPP/R4RK1 b - -,f8e8
5rk1/5ppp/2RNb3/8/3rP3/6q1/5PPP/5RK1 w - -,h2g3
r2r2k1/5p1p/p5p1/2bbP3/Pp6/1B5P/1P4P1/R1B2R1K w - -,b3d5
8/8/5p2/2nk1P2/8/6K1/8/8 b - -,d5e5
r2k4/1pRn1p2/1r2p1p1/1p1p3p/1P1P4/P3P1P1/1KR2PP1/1N6 w - -,b1d2
1b3r1k/1p1q2pp/p1n1p3/3p2N1/3P1r2/4Q2P/PP2BPP1/3RR1K1 b - -,e6e5
4R3/bp4pk/2p2p1p/p4q1b/2P3P1/1P2P3/PB2RK2/5N1r w - -,g4f5
rnbqk1nr/ppp1p1bp/3p2p1/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,h2h4
1r1q1r2/1p1b2kp/3p2p1/pP1N1p2/2P3n1/3PQ1P1/4P1BP/3R1R1K w - -,e3a7
r1b3k1/p3qpp1/1p2p2p/2b5/1nB1N2P/P3PN2/2Q2PP1/2KR4 w - -,a3b4
rnbqkb1r/4pp1p/p2p1np1/1p6/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQkq b6,f2f3
r3kbnr/pppq3p/2n1bp2/8/1PPp4/P4N2/3NPPPP/R1BQKB1R w KQkq -,c1b2
8/p4k1p/1p4p1/1B1P1p2/P4rb1/2P3K1/1P5P/4R3 b - -,f4f3
2r2k2/5p2/R4p1r/p3p3/4P3/2P2R1P/6P1/7K b - -,c8c4
r4nk1/rb2q1pp/1p1p1p2/1Pn1pP1B/p1P1P2N/B2P2P1/R6P/3Q2RK w - -,a2g2
r1b3k1/pp1n1rp1/1qn1p3/3pP1bQ/3P1N1P/6K1/PP4P1/R1B4R w - -,h4g5
8/8/1kp1p3/3pPq2/1b1P3r/pP3R2/P4QBr/3R1K2 b - -,f5h5
3r2k1/pb3p1p/4pp1b/2q5/Pp2P3/1P1B1NP1/4QP1P/5RK1 w - -,e2c2
6rk/2pQ2q1/p1Pp4/1p1Pp2p/1P2B3/P4PP1/8/5K2 w - -,d7f5
2rq1rk1/1p1bppbp/2np1np1/p7/2P1P3/2N5/PPNBBPPP/2RQ1R1K b - -,c6e5
r1bqk2r/bp3ppp/p1n1p1n1/3pP3/1P6/PN1B1N2/1BP2PPP/R2QK2R b KQkq -,d8c7
8/8/8/8/3k1p2/8/2KNn3/8 w - -,c2d1
r1q2rk1/p3bpp1/1n3n1p/1p1pNQ2/2pP3B/4P3/PP1N1PPP/2R2RK1 w - -,f5b1
1r3r2/pb3pk1/5qpp/2pp4/8/1P1B2QP/P1P2PP1/4RRK1 b - -,b8c8
r3r1k1/1p3ppp/2pq4/p2p1b2/3Pn3/PP2P3/1Q1NBPPP/R3R1K1 w - -,b3b4
4b1rk/2b4p/2p1p1q1/1pP1P3/pP2pPP1/P2p2RQ/8/1B3RK1 w - -,f1f2
rn3rk1/pbq1bppp/1p2p3/2p5/2P5/1P3NP1/PBQ1PPBP/R4RK1 b - -,b8c6
r5k1/2n1ppbp/3p2p1/2pPn3/2q2N1P/PrB1P3/1PQ1NPP1/1RR3K1 w - -,c2d1
r1bqk2r/pp1pnpbp/2n1p1p1/2p1P3/8/5NP1/PPPPQPBP/RNB2RK1 b kq -,d7d6
r1k2b1r/2pb1pp1/1p4np/p1p1P3/P7/1P3N1P/1BPRNPP1/R5K1 w - -,a1d1
8/8/P6p/8/4K2k/7P/8/6b1 b - -,h4h3
r5k1/r1qn2pp/2pb1p2/ppp1pPPb/P3P3/1PBPNN1P/2P3Q1/R4R1K b - -,h5f3
3r1bk1/5r1p/4q1p1/p1p1p1P1/NpP1Pp1P/1P1P1R2/P3Q3/4B1K1 w - -,e1f2
5bk1/p1p2rq1/1p1p3p/3P1n2/1PP2pp1/PN1Q4/5PPP/2R1R2K w - -,e1e4
r3r1k1/1pq1bppp/p4nb1/3p4/3Nn3/2P1BN1P/PP2BPP1/2QRR1K1 b - -,e7d6
r1q2rk1/p1p2ppp/np2pn2/8/3P4/P1P1PN2/4QPPP/R1B2RK1 w - -,e3e4
8/4b3/4P1k1/2p2p2/1pPp3p/1P1P3K/3B4/8 b - -,g6g7
r3k2r/pp1b2bp/1qn1pnp1/3p4/1P1P4/P2B1N2/4NPPP/R1BQ1RK1 w kq -,b4b5
r3k2r/pn2bpp1/2p1p2p/3nNb2/3P4/6P1/PP2PPBP/R3BRK1 w kq -,e2e4
r1bqr1k1/pppp1ppp/3n1b2/8/3P4/8/PPP2PPP/RNBQRBK1 w - -,c2c3:c1f4:e1e8
r2b1rk1/pppqn3/5p1p/1P1Pp1p1/3pP2N/3P2PP/P4PBK/R2Q1R2 w - g6,h4f5
1rbr1b1k/1pq3pp/p3pp2/8/4R3/1QN3P1/PPP2PBP/4R1K1 w - -,e4c4
1rb1r1k1/2q1b1pp/pp1ppn2/4n3/P2NP3/2N1BB2/1PP2QPP/R4RK1 w - -,f3e2
r1b1k2r/p3nppp/1p1p1n2/q1pPp3/2P1P2N/2PB4/P1QB1PPP/1R3RK1 b kq -,e7g6
2R5/5p2/4p1p1/4Pb1p/r4P1P/1r4K1/k1p5/2B1R3 w - -,g3g2
r5k1/1p3Bpp/p1p5/2b1r3/4N3/P4P2/1PPQKPq1/R1B1R3 b - -,g8h8
r1bq1rk1/ppp1ppbp/1nn3p1/8/3P4/2N1PN2/PP2BPPP/R1BQ1RK1 b - -,f8e8
2r2rk1/3R2bp/p5p1/4Pn2/4N3/1P3N2/P5PP/R5K1 b - -,h7h6
3r3k/4q1pp/R3pr2/1p6/4Q3/1P4P1/1bB2P1P/5RK1 b - -,g7g6
2b5/5pkp/4p1p1/Bpn5/3bPP2/1P4P1/6BP/4K3 w - -,g2f1
5k2/6bp/1p1pBnp1/1PrPp3/1p6/1P3PP1/3NRK1P/8 w - -,d2c4
5Nk1/5p2/1n1p2p1/1p2p3/p3q1P1/P7/1PrQ3P/1K2R3 w - -,d2c2
3q2k1/5pbp/pN4p1/3p1b2/2p1r3/6P1/P1QB1PBP/1R4K1 w - -,g2e4
5rk1/p2PQ3/6pp/q3pp2/8/4P3/6PP/5NK1 w - -,e7e6
4rrk1/pp2b1pp/3p2q1/2nb1p2/3NpP2/BP2P1PP/P5BK/R2Q1R2 w - -,d4b5
3b2k1/r4pp1/p1r2n1p/2p5/R4BP1/2N4P/1P3PK1/R7 b - -,g8h7
8/1p6/p2p1kp1/3Pp2p/P7/1PPB3P/3b2K1/8 w - -,c3c4
3R4/k6r/2PK4/8/8/8/8/8 b - -,h7h6
r3qrnk/1ppb1pbp/3p2p1/p1nPp3/2P1P3/PPN4P/3NBPP1/1RBQR1K1 w - -,d1c2
2kr1bnr/pp2p1p1/n1p1Pp2/3p3p/3P3P/3QB3/PqP1NPP1/RN2K2R w KQ -,e1g1
r1b2rk1/p1q2pbp/1pn2np1/2p1pP2/4P1PN/2P4P/PP4B1/RNBQ1RK1 b - -,c8a6
r4r2/2p3bk/p1Pp2pp/P3pp2/1PB4q/3P1Q1P/R4PP1/4R1K1 b - -,h4d4
r2q1rk1/ppp1bpp1/3p2np/2nP4/5PP1/3BQN1P/PPPB4/2KR3R w - -,h3h4
5r1k/1pp3pp/1q1r1P2/pPbb2B1/4p1BP/2P3Q1/P4P2/3RR1K1 w - -,c3c4
8/N1k3pp/2p5/2nP1p2/2K2p2/P7/6PP/8 b - -,c5a4
1r3k2/5r1p/3n4/3P4/P2K1p2/1P1B1R2/7P/2R5 w - -,c1c6
4r1k1/p3qpb1/2Q3pp/2N2r2/1P6/2P1p3/P3R1PP/4R2K b - -,g7c3
rn1q1rk1/1p2ppbp/3p2p1/1Nn5/p1P1P3/P3BP2/1P1Q1RPP/2RB2K1 w - -,e3d4
8/3R4/5k2/r4pp1/8/1n2P1P1/P4PK1/8 w - -,a2b3
r5k1/pp3pp1/2q1n2p/3pB3/4n3/P6P/1P3PP1/R3QBK1 b - -,a8e8
8/2p3B1/4k1p1/1p3p1p/1P1K3P/P5P1/5P2/5b2 w - b6,d4c5
3r2k1/p1q2pb1/1p1p2pp/2pRr3/4P3/2P2BP1/PP3P1P/1Q2R1K1 w - -,e1d1
1rb2rk1/3nqpBp/p2p2p1/1ppP4/4P3/1PPB2NP/P2Q2P1/2R2RK1 b - -,g8g7
2r1rbk1/1pq2ppp/2bpp3/p1n5/P1PBP3/1PN2P2/1Q4PP/R2R1B1K w - -,d1d2
r2qrbk1/1b3ppp/p2p1n2/np6/3NP3/7P/PPB2PP1/R1BQRNK1 w - -,f1g3
r3r1k1/1ppq1ppb/p1nb1n1p/8/2BP3N/P1N1BQ1P/1P3PP1/3RR1K1 b - -,f6e4
1k6/p1p2r2/1p3p1b/5n1p/1P2B3/P5P1/8/4R1K1 w - -,e4f5
rnbqkb1r/pp1pp1pp/5n2/2p2p2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq c6,c2c4
r3kb1r/1b1n1ppp/p2ppn2/q5B1/1p1NP3/1B3P2/PPPQN1PP/2KR3R b kq -,f8e7
r7/5k2/1r2p1p1/p6p/P1pPpP1P/2PbP2K/R2N4/6R1 b - -,a8b8
r2q1rk1/pb4pp/nppb4/3p1p2/3P1n2/2NN2P1/PPQ1PPBP/3R1RK1 w - -,g3f4
3k3b/7P/3P1p2/5B2/2N2P2/2n1K3/8/8 w - -,f5e6
5n2/R6p/1p5r/8/PkpKN1PP/6B1/1PP5/8 b - -,f8e6
3r1rk1/p1p1npp1/1pnqb3/2p1p1N1/2P3p1/3PB2P/PP1QPPB1/R3K2R w KQ -,g5e6
r7/4n1kN/p2pb1p1/1pp5/4P2R/5P2/PP4P1/2KR4 w - -,h7g5
3Q2N1/3R2qk/1p6/7p/6pP/6P1/4K3/1r6 b - -,b1b2
1rb1n1k1/2qnrpbp/3p2p1/1ppP4/4PP2/2N2B1P/1P1N2PB/2RQ1R1K w - -,b2b4
5rk1/1r1bb1pp/1n2p1q1/3pP3/p1pP1B1P/PnN2NPB/1P3R1K/3Q1R2 b - -,g6d3
2kr3r/Rbqnbp1p/3P2pB/2p1p3/1pP1N3/1P1B4/4QPPP/5RK1 b - -,e7d6
3rr1k1/1pq2pp1/p1p1bb1p/4p3/2P1P3/1P2QNNP/1P3PP1/3RR1K1 w - -,c4c5
8/R7/4p1p1/p4r1p/1k5P/1P4P1/1K3P2/8 w - -,a7b7
6k1/2Q2pp1/4pq2/p2r4/8/P4RP1/1P3PKP/8 b - -,f6g6
4rn2/p2r2p1/1pR1p1k1/1N1pP1p1/1P4P1/4BN2/5P2/5K2 b - -,f8h7
r1bq1rk1/1ppn1pbp/3p2p1/p1nPp3/2P1P1P1/P1N1BN1P/1P3P2/R2QKBR1 b Q -,a5a4
6k1/1b1q3p/p2Pp1p1/1p2B3/1P2p3/P1Q1P2P/5PP1/6K1 w - -,e5f4
r2q1rk1/p1pbBppp/2pp4/8/4P1n1/2NB4/PPP2PPP/R2Q1RK1 b - -,d8e7
r2qk2r/1p1n1pbp/p2pp1p1/8/2PnPN2/N6P/PP2QPP1/R1B2RK1 w kq -,e2d1
r2qk2r/p1p1nppp/1pn1b3/3p3Q/3P4/P1PB4/2P2PPP/1RB1K1NR w Kkq -,g1f3
8/8/6k1/1p3p1r/1R2P1KP/1P6/5P2/8 w - f6,e4f5
4b3/8/1k1p1Pp1/1Pprp2p/7P/P2BKP2/8/2R5 b - -,d5d4
r1bq1r2/ppp1n1bk/6pp/3Ppp2/4PP2/4B1P1/PP1QN1BP/R4RK1 b - f3,e5f4
2rq2k1/5p2/1p2p1p1/4P2b/1PP2Q1p/2RB3P/6P1/7K b - -,d8e7
r6r/pp1kp1bp/6pn/4q3/3N4/1QP1B3/PP3PPP/4K1NR b K -,e5e4
r1b2rk1/2q2pp1/p1Np1b1p/1p1P4/5P2/8/PPP1Q1BP/2KR3R b - -,c8f5
2rqk2r/3nbpp1/p2pbn2/1p2p1Bp/4P3/1NN2P2/PPPQ2PP/1K1R1B1R w k b6,g5f6
2b2r2/r1p1q1kp/1p1p1pp1/pP6/P1PQ4/4P1P1/5PBP/2R2RK1 w - -,f1d1
