8/1pr4p/p6R/3pk1P1/7P/1P2K3/P7/8 b - -,c7e7
r1bq1rk1/1p2ppbp/2n3p1/p7/PnNpP3/BP1P2P1/2N2PBP/R2Q1RK1 b - -,c8e6
4qk2/p1r3b1/bp1p4/2rP1p2/1RP1pP2/1R2N1P1/P2Q1KB1/8 w - -,g2f1
r4r2/p5pk/7p/1p1pP3/2pPpP1P/8/PP6/R3R1K1 w - -,e1f1
6k1/4r2p/p2pNqpQ/np3p2/7R/1P4P1/P1r1PPBP/3R2K1 w - -,g2d5
3r2k1/1p2q1pp/2n2pb1/4p3/2P5/PN2P3/1B3PPP/2R1Q1K1 w - -,h2h3
2k3r1/1pqn1p2/p2pb3/8/4P3/2N2Q1P/PPP3r1/2KR3R w - -,f3d3
4r1k1/4rpp1/pn1q1pbp/8/1ppPP1P1/2P4P/PP2RQN1/1B2R1K1 b - -,b4c3
2r2b1k/3r1p1p/4pP2/qp1p4/1p2BP1Q/6P1/PPPR3P/3R3K b - -,h7h6
r4rk1/1p2bppp/4b3/p1p5/3BP3/P5P1/1P3PBP/R4RK1 w - c6,d4e3
r4rk1/1p4p1/pPp1p3/b1Pp4/P2PpP2/4P3/1B2R2P/5RK1 b - -,f8f5
r2qk2r/pb2bp1p/1p2p1p1/2ppP1Pn/5P2/1PNP4/PBP2Q1P/R3KB1R b KQkq -,a7a6
1rb5/pp2k1pp/2pN1p2/P1P1p3/1n2P3/1PR3P1/5P1P/5BK1 w - -,f2f4
6rk/p4pbp/4P3/2p2p2/5PbP/2N3P1/P1R2P1K/3R4 b - -,g7c3
5r1k/p4p1p/2Q3p1/q2B4/3bP3/1R4P1/5PKP/8 w - -,b3b7
r1b4r/p2qk2p/1p3np1/2np1p2/1P1N4/6P1/P1Q1PPBP/R1B2RK1 b - b3,c5e6
r3r1k1/1p4b1/p1p4p/N1Pn1p1P/1P1Pp3/P3P1BR/5K2/R7 w - f6,a1g1
7r/6kr/1p1p1pp1/pP2p3/P1P1PnPP/1B6/3K3R/7R w - -,b3c2
2r1r1k1/1b2bppp/pq1ppn2/1p6/2nNP3/PBN2PQ1/1PP3PP/2BR1R1K w - -,d1d3
2r2rk1/pp1bbppp/3ppn2/8/2q1P3/2N3PP/PPP2PB1/R1BQR1K1 w - -,c1e3
rn1qk2r/1bppbppp/p3pn2/1p6/3PP3/3BBN2/PPPN1PPP/R2QK2R w KQkq -,e1g1
3Q4/8/6p1/5qk1/7b/8/5P2/6K1 b - -,f5f6:g5g4
2rb1rk1/1pq2pp1/pNb2n1p/P1p1pP2/4P2B/3B1Q2/1PP3PP/R2R3K b - -,c8b8
8/1prn2p1/2pk1p1p/2R5/pP3P2/P3P1P1/2B4P/6K1 w - -,c5c4
r2q1rk1/pppb1ppp/1bnp1n2/1B2p3/4P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 w - -,b5a4
5k2/p7/3p2pp/1p3p2/1P1Ppn2/P6P/5NP1/2R3K1 w - -,g1f1
rn1q1rk1/4bpp1/1p2p2p/p2pP3/3P3P/5NP1/PPQB1PK1/2R4R w - a6,c2d3
r3k2r/1bq2pb1/pp2p2p/2ppN3/3P4/2P2N2/PP2QPPP/2KR3R b kq -,c5d4
r2r2k1/1p3ppp/5qb1/nBRp4/P2Q4/1p6/4NKP1/2R5 w - -,d4f6
8/R7/3r1p1p/1p6/1P3kP1/P3N3/2K1nP1P/8 b - -,f4f3
2bqk2r/pp4pp/4p1n1/b2pPp2/3P3P/PP1B1NP1/4NP2/2Q2RK1 w k -,b3b4
r3k2r/ppp2ppp/2p1b3/4Pn2/8/2B2N1P/PPP2PP1/R2R2K1 b - -,c6c5
8/5R2/3k1P2/1p4p1/p1r3P1/8/1K6/8 b - -,c4g4
r1r3k1/1b3ppp/1q6/p2pPp2/1p1Nn3/P2BQ3/1PP3PP/R4RK1 w - -,f1f5
3b1r1k/5ppp/6n1/3BPN1P/pq1P4/6Q1/Pr4P1/R3R2K b - -,g6e7
rnbqkbnr/pp3ppp/4p3/2pP4/8/5NP1/PP1PPP1P/RNBQKB1R b KQkq -,e6d5
5rk1/1p4pp/pB1bppb1/P7/4P3/5P2/1P3KPP/2NR4 b - -,d6b8
r4rk1/pp2bppp/4b3/8/3q4/1PB3P1/P4PBP/R4RK1 w - -,c3d4
8/8/b2n1k1p/4p3/6p1/4N1P1/5K2/8 w - -,e3g4
5B2/7p/2r5/3r1p2/1pp4P/1knp1PP1/3R1K2/2R5 w - -,c1a1
8/5R2/p3p3/1p5K/1P6/2k5/8/8 b - -,c3b4
6R1/8/1n6/pBk5/P7/KP6/3r4/8 w - -,g8g5
r1b2rk1/1pp1qppp/3p1n2/p1nPp3/2P4N/PPB3P1/2Q1PPBP/R3K2R w KQ -,e1g1
r1b1rnk1/pp2qpb1/1npp2p1/6Pp/P2PPN1P/1PN1B3/2PQ2B1/R4RK1 w - -,a4a5
1nr3k1/1R5p/1p2p1p1/2b2p2/2P2P2/1P2N1P1/2P2B1P/6K1 w - -,c2c3
5rk1/2P2p2/6p1/p2Q3p/8/P3PKP1/5N2/2q5 w - -,d5d7
r4k2/1b1q1p2/pp4pp/2pPRn2/P1B2Q2/1PN3P1/5PP1/6K1 b - -,f8g7
2r1nrk1/1p2q1pp/pPb1p3/4Pp2/2P5/2N5/1P1QB1PP/3R1R1K b - -,g7g5
8/6p1/2kn3p/P7/1PP5/3B2P1/6KP/8 b - -,g7g5
5rk1/p2r1ppp/8/1p6/bP1N4/3RPP1P/6P1/2R3K1 b - -,g7g6
1rbq1rk1/p5pp/2n1pb2/1N1p4/2pP1P2/4BN2/PPPQ2PP/1K1R3R w - -,b5c3
r1bbqnk1/6np/2p1p1p1/1pPpP3/1p1P2PP/1N1BB3/P1Q3N1/R5K1 w - -,e3h6
3rk1nr/p1p2p2/2p1b2p/2b1P3/5Q2/2PB4/PPKN1PRP/R1B1q3 b k -,e6d5
r1bq1r1k/2n1p1b1/3p2pp/2pP2N1/P6R/2Np4/1P1B1PPP/1R1Q2K1 b - -,h8g8
rnb2rk1/ppq1bpp1/2p1pn1p/4P3/8/1N1B1N2/PPP1QPPP/R1B2RK1 b - -,f6e8
8/8/1R4p1/7p/2p3rP/2k5/8/1K6 b - -,g4h4
r3rn1k/1p2bbpp/pBp5/5N2/4p1P1/1PN4P/1PPR1P2/3R3K b - -,e7b4
1k1r3r/1p1bq3/pnn1p1p1/3pP2p/PP5P/3P1NP1/2N3B1/R1Q2RK1 w - -,c1e3
8/5p2/2p1p1k1/2r5/8/2r2PP1/2PRR1KP/8 b - -,g6f6
r4rk1/1pqnppb1/p2p2pp/8/4PP2/1NN2QP1/PPP4P/2KRR3 w - -,c3d5
r2q1rk1/pbp1bppp/np2pn2/3p4/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - d6,f3e5
r2q1bk1/1pp3r1/p2p3p/2PPp3/1P2Ppb1/5P2/PN1B2P1/2RQ1RK1 b - -,g4h3
rn3rk1/1b1N1ppp/1p1q4/p2p4/Qp1P4/3BP3/PP1N1PPP/2R2RK1 b - -,b8d7
1rb1kb1r/2q2ppp/p2np3/1p6/2PB4/1P4P1/P2N1PBP/R2QR1K1 b k -,d6f5
3rq1k1/pp1r1pp1/3n2np/2pP4/2P5/1PN3PP/P1Q2RBK/5R2 b - -,d7e7
r2q1rk1/p2n1pp1/b2b1n1p/3Pp3/Np5B/1B6/PP2NPPP/2RQ1RK1 b - -,a6b5
6k1/1p2rnqp/p2p2p1/3P1p2/1P3N2/3P3P/P2Q2P1/5R1K w - -,f4e6
2r1r1k1/p2q1pb1/1p2b1p1/3p1nPp/3P1Q1P/2N1P3/PP1B2K1/2N1RR2 b - -,g7f8
r2q1rk1/2p1npp1/p3n1bp/1pbpP3/7P/1BP2NN1/PP3PP1/R1BQR1K1 w - -,h4h5
8/1p1r1p2/p7/4k1pp/P3P3/3pK1P1/P4P1P/2R5 w - g6,f2f4
r3k2r/pp2nppp/2n5/4bb2/N7/3B1P2/PPP2KPP/R1B3NR w kq -,c1e3
r4r2/1p5p/3P1k2/pB2R3/5P2/1P2K3/P6P/8 b - -,a8d8
5k2/5pp1/2p4p/6n1/1p2b1PP/1B2N1K1/PP3P2/8 b - -,g5e6
8/8/1p2r1p1/1k6/1P1K1R2/8/8/8 w - -,f4g4
8/P7/2p5/4pkp1/2R5/1P3P1p/1K6/7r b - -,h1h2
r1bq1rk1/pppp1pbp/2n3p1/8/2P1P3/2N1B3/PP1QBPPP/R3K2R b KQ -,d7d6
8/8/3p4/2pP1N2/p1P1p3/n1K2k2/8/8 b - -,e4e3
r6k/ppp4p/2qp4/8/4Pr2/6Q1/PPP4P/1K1R4 w - -,g3f4
r2qkb1r/pp3ppb/1np1pn1p/8/3P1N1P/1BP3N1/PP3PP1/R1BQ1RK1 b kq -,f8d6
8/8/1R3n2/8/1P3k1p/2P1rBpP/2K3P1/8 b - -,f6d7
r5k1/p4p1p/1p4pb/2pRp3/2P1P3/6PP/PP2BP2/2qQ2K1 w - -,d5e5
r1bq1rk1/p3bppp/2p1pn2/3p4/4P3/1P1B4/P1PN1PPP/R1BQ1RK1 w - -,c1b2
6k1/1bp1ppbp/1n4p1/1B6/4P3/4BP2/PPK3PP/r5NR w - -,a2a3
4r1k1/1p1r1pbp/2pp1p2/p1n5/P3PP2/1BN2KPP/1PPR4/3R4 b - -,e8d8
8/1pR2pk1/1Nn5/p7/3r2P1/4KP2/8/8 b - -,d4b4
5r2/p5kp/1p3n2/3p1R2/3P4/4r3/PP4BP/R5K1 w - -,a1f1
8/6pk/1p4qp/p3n3/P3PQ2/3p3P/1P2R1P1/6K1 w - -,e2d2
rnbq1rk1/1pp2pbp/1n4p1/3P4/8/P1N1BN2/P1Q2PPP/3RKB1R b K -,a8a3
7k/8/3p1RQP/3Pp3/KP2P3/2r3N1/5P2/8 b - -,c3a3
r4rk1/1q1nbppp/p2Npn2/6N1/2p5/1P3PP1/PB2P1KP/2RQ1R2 b - -,e7d6
2rq1rk1/1pp1ppb1/1n4p1/p5B1/P2n4/1B6/1P2NPPP/2RQ1RK1 w - -,e2d4
3q3r/2Qnp1kp/3p1pp1/8/3BPP2/8/P4P1P/2R3K1 b - -,h8f8
6R1/2r5/8/3n4/4k3/PK2b3/1B4P1/8 b - -,e4d3
3r2k1/5ppp/2n1pn2/8/2NPP3/6PP/1R3PB1/6K1 w - -,e4e5
1r2r2k/p5pp/2p1pn2/2P2p2/q1B5/P4PP1/1b2QB1P/1R3RK1 w - -,c4e6
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,d7d6:g8e7
2r5/p4kp1/5np1/B3Rp2/3P4/6P1/2r2P1P/4R1K1 w - -,e5e7
rnb2rk1/ppp2pp1/1b2pq1p/3P4/1P1P4/P1NQ4/2P1NPPP/R3KB1R b KQ -,e6e5
r1b2r1k/ppp4p/3ppnq1/5p2/2PP4/P4PPN/1PQBP3/2K2BR1 b - -,f8g8
r1bq1rk1/1pn2pb1/2p3pp/p2np3/2N5/P1NP2P1/1P1BPPBP/1R1Q1RK1 w - -,c3e4
8/1p2rp1p/2p1k1p1/p1n1p3/Pn2P3/2N2P1P/1PPR1KP1/4N3 b - -,e7d7
8/5p2/p2k2pp/3p4/PP1P4/4P2P/5P2/2K5 w - -,c1d2
8/8/p4Pk1/P5p1/1PpB4/2P2K2/2r5/8 w - -,f3e4
2r2r2/pp2b1k1/6p1/q2p1pp1/P2P4/3B1RQ1/5PPP/1R4K1 b - -,a5c7
5rk1/r1q1bppp/p2p4/1ppB4/P2pP3/3P1Q1P/1PP2PP1/R4RK1 w - -,b2b3
5rk1/1pq1npbp/2p1b1p1/r7/4PP2/2P5/1P2QNBP/R1B2RK1 w - -,a1a5
8/3nr1p1/1kb2p1p/4p3/PP2P3/5P2/1N2B1PP/3R2K1 w - -,a4a5
8/Rb1r1pbk/3q2pp/2pPp3/1p2QPPB/7P/1PP3B1/6K1 b - -,e5f4
r1bqr1k1/bp3pp1/2p2nnp/pP1pp3/P3P3/1BPP1NNP/5PP1/R1BQR1K1 w - -,d3d4
4rnk1/pp2rpp1/1qp4p/3pP2b/5P2/2PB3P/PPQN2P1/2R1R2K w - -,d2f3
r1q1k2r/4npbp/p2p4/3P1p2/4p3/1BN5/PPP2PPP/R2Q1RK1 b kq -,g7c3
1r1q1rk1/1p3p1p/pNn1b1p1/2Pp2Pn/8/1N6/PP1QB1PP/2R2RK1 w - -,e2h5
4r1k1/1q2r1bp/6p1/1p4P1/1PpPp3/2P2NQP/R7/2B1R1K1 b - -,e4f3
8/3b1kp1/3B1p1p/7P/1P2PKP1/R7/1r6/8 b - -,b2b1
r1bq1rk1/pp2bppp/2n1pn2/3p4/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,c4d5
r4qk1/2pn2pp/8/1P2p1P1/pQ1pNr1P/3P4/K1P2P2/1R5R b - -,f8f7
8/5p2/5kp1/p2Qp3/P3P2P/6P1/1bqN1PK1/8 w - -,d5a5
2rr2k1/pb2qp1p/1p2p1p1/2pP4/8/n1N3P1/P3QPBP/1R2R1K1 w - -,d5d6
2r1k2r/2bp1p2/p1n1pn1p/1p4p1/4PN2/4BP2/PPP3PP/2KR1B1R w k g6,f4d3
2r2rk1/2qnbppp/p2p4/1p1P2P1/n2N1B2/7B/PPPQ3P/1K1R3R b - -,d7b6
1rr3k1/6pp/2q2b2/P4p2/4pP2/8/RN2Q1PP/3R2K1 b - -,b8b4
r1bqr1k1/1p3pbp/2pp1np1/p7/2PBP3/PP3nNP/2B1QPP1/R3R1K1 w - -,e2f3
rnbqk2r/pp2nppp/2p1p3/3p4/3PP3/5P2/PPPQN1PP/R3KBNR b KQkq -,e8g8
r4rbk/p1p1q1bp/Pp1p2p1/3Pnp2/1PPNp3/4P2P/3QBPPB/2RR2K1 w - -,c4c5
8/k7/8/5b2/1P6/1K2N3/1P3p2/8 b - -,f5d3
3r2k1/3q1p1p/1p2pQp1/p7/P1P5/1P3R1P/5PP1/6K1 b - -,d7d2
r3kb1r/1bqn1ppp/p3pn2/3p4/PN1NP3/6P1/1PP2PBP/R1BQR1K1 w kq -,b4d5
1k6/8/2K5/7p/6p1/5pP1/4pB1P/8 b - -,b8c8
1k6/p7/8/2R5/1p3K2/8/2pr4/8 b - -,b4b3
r1b1rbk1/3q2pp/pBNp4/3P1pP1/5P2/P2Q1B2/1P5P/2R2n1K w - -,d3f1
7k/6Rq/4pQ2/1p1pPp2/pP1P1P2/n6P/8/5N1K b - -,h7g7
3r1k2/p4p2/3b1q2/Q7/4R3/P5PP/1P3PK1/8 b - -,d8c8
r1b2rk1/ppp2p1p/3p2pb/4n3/4PN2/P1NB2PP/1P4P1/R4RK1 w - -,d3e2
8/8/6p1/p1kp1p1p/P3r2P/1P2P1P1/1K4R1/8 w - -,g2c2
2R5/8/3k2p1/p2p1p1p/P6P/1P2r1P1/1K6/8 w - -,c8a8
7r/p1p1k1p1/1pp1p3/3rPn1p/8/2N4P/PPP2PP1/3RR1K1 b - -,d5d4
7R/1p1r1k1p/p1pb2p1/5p2/P1PB1PP1/4K2P/8/8 b - -,d6f4
2r5/pp2ppk1/6p1/3pPq1p/2rP1P2/2P4R/P2Q2PP/5RK1 w - -,h3g3
2r1k2r/q2p1np1/p3pp2/1pb4p/4PB2/6P1/PPP1QPBP/3R1R1K b k -,b5b4
rn1qk2r/pb1pbppp/1p2pn2/8/3PP3/3B1N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
r2q1rk1/1b2bppp/p3p3/3p4/1p1Pn3/1P1BPN2/P1R1QPPP/1NR3K1 b - -,d8b6
7r/p5p1/1pb1k3/3Rp3/2P5/5B1P/PP4P1/1K6 w - -,f3g4
r4rk1/p2p1ppp/b1n5/2pQ4/1bp1P2q/P1N2P2/1P2B1PP/R1B2K1R b - -,b4c3
8/5pkp/4p1p1/4P3/5P1b/1P5P/1q1r4/1B3RQK b - -,b2b3
6k1/8/p3p1p1/1p2PP2/1P1B2P1/P1P2K2/r7/8 b - -,g6f5
4r3/8/2R2Bk1/6b1/1pP1P3/1r4P1/3p1K2/3R4 b - -,g5f6
5qk1/1r3p1p/Q3p1p1/2p1P2P/2Pp2R1/1b1B4/5PP1/6K1 b - -,b7e7
rn2k2r/pbqp1ppp/1p2pn2/2b5/2P5/1PNBPN2/P1Q2PPP/R1B1K2R w KQkq -,c1b2
8/1p2k3/2p2p1p/2b1PK2/2P2P2/1P5P/8/3B4 b - -,f6e5
6k1/1p3p2/1p1q2pQ/8/1P2p1RP/3r2P1/7K/8 b - -,d3d2
8/p2r3p/1p2kp2/4n1p1/P1R5/4BP2/1P3P1P/5K2 w - -,c4c3
2k1r3/pp3p2/2p1nP1b/4PB1p/2P5/2P4P/P1K4B/6R1 b - -,c8d7
2r2rk1/4b3/p2n4/3Pnpp1/4p1P1/BNp4N/P6P/3RR1K1 w - -,h3g5
8/5pp1/4p3/3b1k1p/3B1P2/p2KP1P1/7P/8 w - -,d4g7
5r1k/1p1nR2p/p1b3p1/2pp4/5q1P/2PBQPN1/PP4P1/6K1 w - -,e3f4
4K3/8/8/8/8/6qp/Q4k2/8 b - -,f2g1
r3kb1r/1p1bpppp/1pn5/1B1p4/3P4/4P3/PP1B1PPP/R3K1NR w KQkq -,g1f3
r4rk1/3n1pb1/2qp1npp/1pp5/4P1PB/2P4P/1PNNQP2/R4RK1 b - g3,d7b6
4q2k/1p2r1p1/p1p2p2/3p2r1/3P2Pn/Q3PP2/PP3R2/3R1N1K b - -,g5g6
r4nk1/5pp1/4p3/2P5/p2PqP1p/6PP/1B3K2/R3Q3 b - -,e4d3
8/8/8/7p/5K1P/5N2/r2R4/5k2 w - -,f3h2
rn2kb1r/pp3ppp/1q2pn2/2p1Nb2/Q1pP4/6P1/PP2PPBP/RNB2RK1 b kq -,f6d7
rb1q1rk1/1p3pp1/2n2n1p/pN1bp3/P2p4/1P1P1PP1/1BPQN1BP/4RR1K b - -,b8d6
2r2rk1/ppp2ppp/4pn2/3q4/1PnP4/3BPN2/P1Q2PPP/R4RK1 b - -,c4d6
b4rk1/2pnq1p1/1p1p3p/3Ppp2/1PP5/4PB2/2Q2PPP/3RB1K1 w - -,d1a1
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,e7e6:a7a6
rnbqk2r/ppb2ppp/3p1n2/2pP4/4P3/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,b8d7
3rk2r/pn1bpp1p/1p4p1/2p5/2P2PP1/1NPBP1nP/P3K3/R1B1R3 w - -,e2f2
rn1qk2r/pp2bppp/1n1pp3/3P4/2P3b1/5N2/PP2BPPP/RNBQ1RK1 b kq -,e6e5
4br1k/p6p/3p1b2/2p5/q1P1BP2/3P1QB1/P3R1KP/8 w - -,e4d5
8/3q4/Q2p4/2pPp1k1/2P1P3/8/8/4K3 w - -,e1d2
3q4/n2b1kn1/1p1p1pp1/3Pp3/1P2P1P1/3BBP2/7Q/4N1K1 b - -,a7c8
2r3k1/pq3pbp/6p1/1p6/5Q2/PnP3PP/5PK1/3RR3 w - -,f4e4
1r1r2k1/2qnppbp/p2p2p1/P1p5/2N1P3/2P1BP2/1P1Q2PP/3R1RK1 w - -,e3g5
r4r2/ppp4k/2bppn1p/4p1p1/4P3/2N1R2R/PPPB1PPP/6K1 w - g6,e3g3
8/2r2k1p/6p1/5p2/8/1P2P1P1/1b3PK1/1R6 w - -,b1b2
r2q1rk1/1p3p1p/1npb2pQ/3p4/p2P1B2/P2BP2P/1P3PP1/1R3RK1 b - -,d6f4
8/2p3k1/2Rb3R/pr3pp1/8/1P2P3/2K2P2/8 w - -,h6h5
8/q4pk1/5r2/3P4/6b1/4Q1P1/1P3PB1/4R1K1 b - -,a7a6
3r3k/3r1q1p/1R3pp1/3p4/p4BP1/PnP2Q1P/1nN2P2/4R1K1 b - -,b2c4
8/4kpp1/p1b1p3/4P1P1/1K6/pB3r2/7P/4R3 b - -,a6a5
1r3rk1/pb2qp1p/1p1pp1p1/2p5/1PP1PP2/P1QP2P1/6BP/1R3R1K b - -,e6e5
r1q2rk1/pb4pp/1pBbpn2/2pp4/3P1P2/2N2N2/PPP1QBPP/R4RK1 b - -,b7c6
2r2bk1/1R3b2/p1p2p1p/6p1/r1P1B3/3N2P1/P1R2P1P/6K1 w - -,e4h7
2rq1rk1/pp1n1pb1/2p2np1/3p3p/3Pp3/2N1P2P/PPPQBPPB/R3R1K1 w - h6,f2f3
3r2k1/1bq1bp1p/1n1p2pB/4p2n/4P3/1P2NN1P/2B2PP1/1Q2R1K1 b - -,e7f8
1qrr2k1/1p2npp1/p2pbn1p/4p3/2P1P3/1PN1Q2P/P1NRBPP1/3R2K1 w - -,c3a4
8/1R6/1pr5/2ppkp2/7B/2P1PK2/2n5/8 w - -,b7e7
4R3/3k4/6p1/4P3/6Pp/7K/5r1P/8 w - -,e8g8
5rk1/4bpp1/pr6/1q2pQ2/4P1P1/2pN4/R5K1/2N2R2 b - -,b6g6
2r2rk1/1p4pp/p1nq2N1/4pp2/3p2P1/1P1P3P/P2BQP2/R3R1K1 b - -,d6g6
5rk1/R4p1p/Q3p1pb/4q3/4N3/6P1/P1r2P1P/3R2K1 w - -,a6d3
2r5/1R3Nk1/2n2b2/7p/3PpB1P/2P5/5PK1/8 b - -,g7g6
r2q1rk1/ppp1ppb1/3p2pp/5b2/2PPN2B/4P2P/PP2BPP1/R2Q1RK1 b - -,f5e4
2r2rk1/pp1qbppp/2n1p3/3pP3/3Pb3/PQB2N2/1P2BPPP/2R2RK1 b - -,a7a6
rn1q1rk1/4bppp/pp1pp3/8/2P1bQ2/5NP1/PP2PPBP/R2R2K1 w - -,f4e4
1r6/1pq2kp1/4pp1p/1RPn4/B7/5QP1/5P2/6K1 b - -,b8a8
r3k2r/pp2bppp/n1p5/3q1b2/3P4/P1P2N2/4BPPP/R1BQR1K1 b kq -,a6c7
1rb3kr/p4R2/2B4p/2pP2q1/P1N1P2n/4PNb1/2P5/R5KQ b - -,g5g6
rnbqkbnr/ppp2ppp/8/4p3/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq e6,g1f3:d4e5:f1c4
4r3/1p4pp/2pk1pn1/p7/P3PP2/6P1/1PR4P/5B1K w - -,f1d3
r2qr1k1/1ppb1pbp/3p1np1/p1nPp1B1/2P1P3/1PN5/P1QNBPPP/R4RK1 b - -,c7c6
r2q2k1/3n1ppp/r3pn2/P1pb4/4P3/2Q3P1/1B1N1PBP/R2R2K1 b - e3,d5c6
8/R5b1/3P1pnk/5Kp1/3B3p/6P1/PP2r2P/8 b - -,e2d2
5rk1/3q3p/2pp2p1/2n5/2P1pp2/2N3PP/6K1/QR4N1 w - -,g3f4
3rr1k1/2pN1p1p/p1p3p1/4q3/8/1P2P2P/P1Q3P1/2R1R1K1 b - -,d8d7
r4rk1/pp2bppp/q1bppn2/6B1/3NP3/2N5/PPPQ1PPP/1K1RR3 b - -,f8c8
3k4/2pq2p1/1n1n1p2/p1p1p3/P1P1P2P/2PB2P1/1NQ4K/8 b - -,d8c8
5k2/pp1r3p/6p1/4Rp2/7P/P7/1P3PP1/6K1 w - -,g2g3
