8/8/5k1p/PR3pp1/8/2P3P1/r4PKP/8 b - -,g5g4
2r3k1/5pbp/6p1/pB6/P7/4B3/1nr2PPP/1RR3K1 b - -,g7e5
6k1/p5pp/5b2/Pppr4/5Bb1/3P1NP1/1P2P2P/R5K1 w - -,g1f2
2kr1b1r/p1ppqp1p/b1p3p1/3nP3/2P5/1P6/PB1NQPPP/R3KB1R b KQ -,f8g7
5q2/7Q/p5R1/2p1k2p/3p4/1P2p2K/P1P5/8 w - -,h7h5
3b4/5p1R/p1k1p3/4P3/1PP2P2/7p/1KPB4/7r w - -,d2e3
rn1qk2r/pb3ppp/1p2pn2/2pp4/3P4/2P1PNP1/PP1N1PP1/R2QKB1R w KQkq -,f1d3
2r3k1/5pb1/p2n2pp/3N4/q3P3/5P2/6PP/1Q2BR1K b - -,g8h7
r1b1k2r/2q1bppp/p1p2n2/4p1B1/4P3/2NB1Q2/PPP3PP/R4RK1 w kq -,g1h1
3K4/4Rpk1/7p/3B3P/8/8/5r2/8 b - -,g7f8
rnbq1rk1/pp4pp/2pp1n2/5p2/2PPp3/B1P1P3/P1B1NPPP/R2Q1RK1 w - -,c2b3
5r1k/pp5p/8/1Ppr4/P2q2P1/R4p1P/Q3pP2/4R1K1 w - -,a2c2
r1b2rk1/1p3ppp/p1n5/q7/Pb1p4/3B4/1PPB1PPP/RN1Q1RK1 w - -,c2c3
1r3rk1/3q1pp1/pB1ppn1p/8/bP2P3/RN3P2/1P1Q2PP/3R2K1 w - -,b6d4
5rk1/5ppp/p2Rb3/2Nn4/8/2p5/PqP1NPPP/3Q2K1 b - -,b2b4
2rqkb1r/1p3p1p/p2pbp2/4p3/3nP3/2N1N3/PPPQ1PPP/R3KB1R b KQk -,f8h6
rnb2rk1/pp2bppp/4pn2/7q/2N5/4BNP1/PPQ1PPBP/R4RK1 b - -,b8c6
5k2/5p2/6p1/4R1P1/5PK1/r3P3/8/8 b - -,a3b3
2r3k1/4b2p/2r3p1/1pp5/p2ppP2/P2P1KPP/1P1B4/2RR4 w - -,d3e4
r1bq1rk1/ppp2pb1/4pnpp/3Pp3/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 b - -,d8e7
8/3k2p1/4p2p/2P1p2P/2b5/3BK1P1/2P5/8 b - -,c4d5
2b2rk1/p3qpp1/5n1p/2p5/2Pp4/1P1B2NP/P2Q1PP1/R5K1 b - -,f8e8
r1q3k1/p4n1p/2p2pp1/3p1b2/N2P1b2/BPQ2N1P/P4PP1/4R1K1 w - -,f3h2
6k1/pp1br1rp/1q2p3/6Q1/1PR5/P7/5PPP/1B3RK1 w - -,g5e5
2n5/p3b3/8/2P2kp1/1P3pN1/5K2/P2B4/8 w - -,d2c3
5rk1/1p3Qp1/n1p4p/p1bN1p2/2P5/PPB3P1/5P1P/4R1K1 b - -,g8f7
rnb1kb1r/pp2pppp/5n2/3q4/3P4/5N2/PP3PPP/RNBQKB1R b KQkq -,c8g4:e7e6
2r1r1k1/1p1q2p1/pRb1pp1p/2Pp4/P2P1P2/2P2N2/6PP/1Q2R1K1 b - -,c8c7
6k1/2Nq4/1p1pN2n/3Pp3/1r1nP1pp/8/3Q2PP/5RK1 b - -,b4c4
8/k1p2rp1/1n2B3/p1Q5/q7/7P/6P1/1R5K b - -,f7f4
r4rk1/ppqn1ppp/2p1p3/3p4/2PP2n1/P1PQP1P1/3N1P1P/R1B2RK1 w - -,f2f3
r4rk1/1p1bpp1p/1q1p2p1/p1nPP3/5P2/2N2B1P/PP1Q2PK/2R1R3 b - -,d7b5
8/3r2k1/2Rp2p1/3P3p/4p2P/6P1/5PK1/8 w - -,c6c4:c6c8
r3kb1r/1p2pppp/1np2n2/p2B1b2/P1p5/N5P1/1PQPPP1P/R1B1NRK1 b kq -,f5c2
k1r5/1p6/p1rb1pq1/7p/3p4/3N3P/PPPQ1RP1/1KR5 w - -,d3f4
4Qr1k/1p4pp/8/2p5/2Pn3P/P7/KB3q2/4R3 b - -,h7h6
r3r1k1/1pp2pbp/3p1qp1/1NnP4/p1P1P3/P4Q2/1PB1RPPP/R5K1 b - -,f6f3
8/7p/2kp1pp1/2p5/2P5/r3B2P/2R1KPP1/8 w - -,e2d2
r4rk1/3n1npp/4p3/p2p4/1p1PPq1P/1P1Q1P2/P1N2RB1/R5K1 w - -,e4e5
3r4/p2r1pk1/2p2qp1/2P1p2p/3p3P/1QP1P1P1/PR1R1PK1/8 w - -,c3d4
3q4/2b2rpk/1p2b1np/1Pp1pp2/2N1P3/3PBP2/1NQ3PP/R5K1 w - -,a1a7
r2q1rk1/ppnnppbp/3p2p1/2pP4/P1N1P3/2N5/1PP1QPPP/R1B2RK1 w - -,c1f4
5k2/pp1b1p2/3P1p2/7p/1P1N1P2/P3K3/3R3P/2r5 b - -,c1a1
4n3/1r1bk1pp/3p1p2/1p1Pp3/1P2PPP1/R2BK2P/4N3/8 w - -,f4f5
7k/8/4p1p1/8/4qQ2/6KP/6P1/8 b - -,e4f5
r4rk1/pp1qppbp/2np1np1/8/2P5/2N1N1P1/PP1BPPKP/2RQ1R2 w - -,b2b3
2b1r1k1/5pbp/p4np1/q1P5/1r1p4/2N2P2/PP1QBBPP/3RK2R w K -,f2d4
3r4/5p2/1b3p2/1kp1pN1p/R2pP3/1P3PPP/P1P1K3/8 w - -,g3g4
8/R7/8/8/2PK2r1/6p1/3k4/8 w - -,d4d5
r2q1k1r/1R3ppp/4p3/3pP1b1/p2N1PQ1/8/PP5P/K6R w - -,f4g5
1R3b1k/p5r1/8/2P1Q3/6p1/8/P4PPK/2q5 b - -,c1h6
1r4k1/1P3pp1/3q3p/8/1Q1p4/8/P4PPP/1R4K1 b - -,d6d5
5rk1/ppp3p1/4Q2p/3P4/2Pb3q/P7/4R1PP/2B4K b - -,g8h8
8/8/5p2/3B2p1/3kP3/p1q5/P5RP/1K6 w - -,g2c2
2r1r1k1/3n2pp/p3p3/q1n1p3/7R/2P1N1P1/5P1P/1QB2RK1 b - -,e5e4
8/5pk1/3Rbn1p/2r1p1p1/4P3/5PPP/1r1N1K2/3R1B2 b - -,h6h5
r1bqk2r/pppp1ppp/2n5/8/1BBPn3/5N2/PP3PPP/RN1QK2R b KQkq -,c6b4
r2r2k1/4ppbp/5np1/p1pP1q2/PpQ5/5BB1/1PP2PPP/3R1RK1 b - -,a8c8
r2qkb1r/pp1n1pp1/2p1p3/3n1bN1/3P3p/1B5P/PPP1NPP1/R1BQ1RK1 b kq -,f8e7
6k1/8/Pn2B3/5pp1/1P6/7P/8/4K3 b - -,g8g7
r1bqkb1r/pp1n1ppp/2p2n2/3p4/3P1B2/3BPN2/PP3PPP/RN1QK2R b KQkq -,f8e7
2b1rrn1/2q2pkp/5Pp1/p1p1P3/2Pp3N/P2P4/4Q1BP/4RRK1 b - -,g7h8
1rbq1rk1/2p2ppp/1pn1pn2/p7/P1pP4/2P2NP1/2Q1PPBP/RN1R2K1 b - -,d8e7
2r1b1k1/ppq1bp2/n1n1p1pB/2PrP3/4Q3/PN3NP1/5P1P/1BR1R1K1 w - -,e4f4
3q1rk1/p1pn1r1p/1p1p4/3P2p1/1PP1Rp2/Q5P1/P5NP/5RK1 w - -,g3f4
r1b2rk1/pp5p/8/4p1P1/3Np3/1q2B1P1/PP4KP/R6R w - -,d4b3
3k4/4pp1p/2p3p1/8/Rpb1P3/4BP2/1bp2KPP/8 b - -,b2d4
rnbqk1nr/pp1ppp1p/6p1/2pP4/2P5/2P5/P3PPPP/R1BQKBNR b KQkq -,f7f5
2r5/5p1p/4pkp1/2p5/4P3/5P2/P2RKP1P/8 b - -,f6e5
6k1/5ppp/4pb2/1pn5/2Nq3P/1P4P1/2Q1PPB1/6K1 w - -,c4a5
8/5pk1/1R4p1/7p/3r3P/6P1/5PK1/8 b - -,d4c4
2b3k1/p5pp/1p2n3/5p2/1PB2b2/2R3P1/7P/5K2 b - -,f4d6
8/4b3/ppp3k1/6p1/1PPPK1Pp/1P6/3B4/8 w - -,e4f3
r1bqk2r/pp1p1ppp/2n1p1n1/4P3/1bB5/P1N2N2/1P1B1PPP/R2QK2R b KQkq -,g6e5
1r2b1n1/R3p2k/4p1p1/7p/N7/4BP2/Pb4PP/5BK1 b - -,b2f6
2b2r1k/p4rnp/2p3q1/2PpRp2/1P1N1P2/2Q3P1/P5BP/4R1K1 b - -,a7a6
2b5/3q1rk1/p4ppp/2P1p3/1p1pP1PQ/3P3P/PP6/2N2RK1 b - -,d7b5
r3r1k1/pp3ppp/2p5/q4bb1/2P5/2N3B1/PP3Q1P/K2R1B1R b - -,e8e3
8/3k1p2/7p/4p3/4PbPP/P1R1N3/1r1p4/3K4 w - -,c3d3
1k1r3r/1b1n3p/pq2p1p1/3pP3/pP1N4/2PB4/5RPP/R3Q1K1 w - -,a1a4
rn1q1r2/pR1n3k/2p3p1/5pPp/2PP3P/4B3/2Q3B1/5RK1 b - -,d8c8
r2q1rk1/1b2bppp/p3pn2/1p1nN3/3P3P/3B1N2/PP1BQPP1/2RR2K1 w - -,f3g5
r3qrk1/pp1R1ppp/2p1p1b1/2b5/P1B1P1P1/1Q3P2/6NP/3R3K w - -,b3b7
q2r2k1/r7/np3Q1p/p1pB4/2p5/P7/1P3PPP/3RR1K1 b - -,d8d5
6k1/r5p1/4p2p/3q1pb1/6n1/1RR3PP/PQ4K1/8 w - -,g2g1
rnbqkb1r/1p2ppp1/p2p1n2/7p/3NP3/2N1B3/PPP1BPPP/R2QK2R b KQkq -,b8d7
5r2/3b1pkp/p3rRp1/1p6/2p1P3/P1PP2P1/1N2P2P/5RK1 w - -,f6e6
1n3rk1/4QNpp/b7/8/2q5/4P1PB/7P/5NK1 b - -,c4f7
1r1q1rk1/1pp1ppbp/p5p1/n1pPPn2/5P2/P5P1/1PQ1N1BP/1RB2RK1 w - -,b2b4
8/pp5k/7p/2P1NK2/PP1pn3/4r3/6R1/8 b - -,e4g3
5r2/1k1bqr1p/1p1p2p1/p1pP1p1n/P1P1pP2/1PQ1N1PB/1K2PR1P/5R2 w - -,e3g2
r1bq1rk1/1pp1npb1/p1n3pp/3pp3/B3P3/2PP1N2/PP2QPPP/R1B1KN1R w KQ -,f1g3
2r2rk1/pp1nbppp/1qp1pn2/3pP3/8/3P1NPP/PPP1QPB1/R1B2RK1 b - -,f6e8
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/4P3/2PP1N2/PP2BPPP/RNBQK2R b KQkq -,d8c7:d7d6:d7d5
6k1/5p1p/p5p1/4n3/3bB3/7P/1r2QPP1/2B2K2 b - -,b2e2
r5k1/5pp1/2pR4/7p/P1P5/8/P1n1NPPP/5K2 w - -,d6d2
r2bqrk1/ppR3p1/3n1n1p/3Pp2P/8/4B1P1/PP1NQPB1/4K2R w K -,c7c2
2rqkb1r/pp3pp1/2n1pnN1/1B1p3p/3P2PP/2N1P3/PP3P2/R1BQK2R b KQk -,f7g6
4b1k1/6p1/4p2p/3pPp2/Pq1p1P2/rPrP2P1/1R1Q2KP/1R1B4 b - -,g8f8
5B2/1r6/5P2/1p1k2p1/p4bP1/8/2K5/1R6 w - -,b1e1
3r2k1/p3bp2/4p1p1/n1PrP1Pp/1pRP3P/qP3N2/P3NPK1/RQ6 w - -,c4c2
q2brk2/5p2/1p4n1/p2pP3/1Pb5/P2N1BQP/7P/2N3RK w - -,d3f4
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 w - -,c2c3:h2h3:a2a4:a2a3
1k2rr2/pp4pp/8/2n2b2/2N1p3/P1N1P3/1P3PP1/2KR3R w - -,c4d6
r4rk1/pb3ppp/2nRpn2/2p5/Q1P5/2q2NP1/P3PPBP/1R4K1 w - -,b1b7
r1bqr1k1/pp2bppp/1n3n2/3p2B1/3N4/2N3P1/PPP2PBP/R2QR1K1 b - -,c8g4
8/7p/6pk/4q3/P3p3/3rp1RP/4Q1PK/8 w - -,h3h4
8/pp2kp1R/4p3/4r3/1PR3KP/3P2P1/5r2/8 b - -,e5d5
r1bq1rk1/p3n1bp/2pp2p1/4p3/2P1B3/1P3NPP/PB2QP2/R3K2R b KQ -,d6d5
r1b2r2/p1p1qpkp/2p2np1/3p4/4P3/2NB4/PPPQ1PPP/2K1R2R b - -,d5d4
2k2r1r/1p1b1pq1/p2p2n1/2pPp2B/2P1P3/2N3P1/PP1Q4/2K2R1R w - -,d2g5
2R5/3r4/4r3/1p4p1/P1kBp1Pp/2P1K3/8/8 b - -,c4b3
1k1r3r/ppb1qpp1/2pn1n2/3p4/3P1PP1/P1NB3P/1P4Q1/1KBRR3 b - -,e7d7
r7/8/6k1/5pR1/4p1pP/8/5PKP/8 b - -,g6f6
1q1r2k1/pp1rbpp1/2p1pnnp/8/2PP4/1P4PP/PBQ1NPB1/3R1RK1 w - -,f2f4
rnbqkb1r/p2p1ppp/5n2/1Npp4/8/4PN2/PPP2PPP/R1BQKB1R b KQkq -,c8b7
rnb2rk1/pp2ppbp/6p1/3q4/3P1B2/4PN2/P4PPP/R2QKB1R w KQ -,f1e2
6k1/1R4p1/2p4p/b2r1P2/r5P1/4B2P/5R2/5K2 b - -,a4e4
r4rk1/ppp1q1bp/3p4/1P1P4/3Pn3/4PNnp/PBQ5/2KR2RB w - -,c2h2
r4rk1/2pb2p1/pp3bq1/3Ppp2/2P1n2p/2PN2P1/PQ1BP1BP/R3R1K1 w - -,g3h4
r4rk1/pp1b2pp/1qnbpn2/3p4/3P1B2/3B1N2/PP2NPPP/2RQR1K1 b - -,d6b4
2r1rbk1/p2b3p/1p4p1/3Pp3/2P1P3/5qP1/P2B1N1P/R2R1QK1 w - -,f1g2
5r2/2R5/3p4/3P2kp/PP4n1/8/5p2/5BK1 w - -,g1h1
kr6/p7/Qbq4p/2Pp2pP/4p3/4B1P1/5P2/1R4K1 b - -,c6b7
rn1qk2r/pp2bppp/2pp1n2/4p3/2B1P1b1/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq -,g4h5
2r5/4bpkp/4p1p1/1qrpP3/pp3P2/3P2P1/PPR2K1P/2RQN3 w - -,c2c5
r2r4/q3b3/2p1b1k1/p1P2pp1/Pn1N1p1p/R4B1P/1B2QPP1/3R2K1 b - -,e6g8
1r4k1/2q2p1p/2rp2p1/n1p5/7Q/4P3/P2RBPPP/5RK1 w - -,f1d1
r5k1/p1R2pp1/2p4p/2B1p3/2n5/2P3P1/r3PP1P/1R4K1 w - -,b1b7
rr4k1/2pn1pqn/bp1p2p1/3Pp2p/1PP1P3/1NNBb1PP/1R1Q1P2/4R1K1 w - -,d2e3
r4rk1/pp3ppp/4pn2/n4b2/2PP4/P4N1P/4BPP1/R1B2RK1 w - -,c1e3
r2qkbnr/1p3ppp/pnp5/3P4/1P6/3B1N2/2Q2PPP/1RB2RK1 b kq -,b6d5
8/2k5/2p1p3/1pPp1p1r/pPq2Pp1/P2N2P1/4K1R1/6Q1 w - -,g1e3
1r3r1k/p3p1b1/n2pbnpp/q1pP1p2/2P5/P5P1/1BQNPPBP/1R3RK1 w - -,d5e6
4q3/p4kpp/1pb1p3/2p1P1b1/2B1P3/1P5Q/PB4PP/6K1 b - -,g7g6
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/1P2PN2/P4PPP/RNBQKB1R w KQ -,c1b2:f1d3
1q1rr2k/3n1pbn/R2p2pp/2pP2P1/1p2PP1P/4BB2/1PQ1NK2/4R3 b - -,d7f8
2r3k1/5ppp/2b2b2/pq2p3/1p2P3/5N2/PPQ2PPP/1B2R1K1 w - -,h2h3
r1b4r/ppknqpn1/3p2pp/2pPp3/Q1P1P3/2PBN1P1/PR3P1P/2B2RK1 w - -,f2f4
r3k2r/1p1bqppp/p2b1n2/2p1pP2/P3P3/3BB3/1PPN2PP/R2Q1R1K b kq a3,d7c6
1r1R2k1/5pbp/pp4p1/2p2b2/PnP1nP2/1PN1B1PP/6B1/5RK1 b - -,b8d8
5rk1/5pbp/4p1p1/8/Qn6/8/Pr3PPP/2BR2K1 b - -,b2b1
8/6k1/5p2/p1b3p1/P3B3/6P1/5PKP/8 w - -,e4f5
r1bqkb1r/ppp2p1p/2np1np1/8/4P3/P1N5/1PP1NPPP/R1BQKB1R b KQkq -,f8g7
4r2k/8/4r1qp/1P1QP3/p1P3p1/6P1/1P2R1K1/7R w - -,d5d4
6k1/p2b1ppp/2n1p3/2R5/8/5N2/P1P2PPP/1r3BK1 w - -,g2g3
5rk1/ppq2ppp/2B2n2/2p3rb/2PPp3/P3P2P/1B1N1PP1/R1R2QK1 b - -,b7c6
8/1p3kpp/p2rpn2/2rp4/2n2P2/1PNR2PB/P1P4P/1K2R3 b - -,c4a3
r1bq1rk1/ppp2pp1/1bnp1n1p/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQ1RK1 b - -,c8e6:c6e7
rn1q1rk1/p1p1bppp/bp3n2/3p4/3P4/5NP1/PP1NPPBP/R1BQ1RK1 w - -,f3e5
3rr1k1/2qb1ppp/1p1p4/2nPp3/1RP1P3/4QPP1/3N2BP/R5K1 w - -,a1b1
r3kb1r/1pp2pp1/2p1b2p/3nP3/p2NN3/P6P/1PPB1PP1/3R1RK1 b - -,c6c5
1k5r/pp4Rp/4rp2/2Pn3P/7N/4P3/PP3P2/1K4R1 b - -,e6c6
rnb1k2r/ppq1n1pp/2pp1p2/4p3/2BPP3/2N1B3/PPPQ1PPP/R3K2R b KQkq -,b8d7
2Nrk3/p4p2/1p4p1/2n3P1/8/1P6/PB2nP2/1K5R w - -,h1h8
8/5pkp/1b4p1/4p1q1/2P5/5P2/7R/3Q3K b - -,g5e3
4k3/5b2/3Q4/2Pp4/3Pp3/4P3/2q1BK2/8 w - -,c5c6
r2q2k1/5p2/2p1nbpp/p1P5/R6P/2QN2P1/2N1PP2/6K1 w - -,c3a3
r2q1rk1/p1p2pbp/1pn1p1p1/4P3/2P5/2B3P1/PP1NQPKP/R4R2 w - -,d2f3
6r1/3n1kr1/bp1p1n1p/p1pPp3/P1P1Pp2/3Q1B1P/1P3RP1/5NK1 b - -,f7e7
r3k2r/pp1qbppp/2n1p3/8/3Pp3/5N2/PP2QPPP/R1BR2K1 w kq -,e2e4
2r2rk1/1nqb1pb1/p2p1npp/PppPp3/1P2P3/1BP1BNN1/5PPP/R2QR1K1 b - -,f6g4
2r2rk1/1b1nbpp1/4pn1p/qp1p4/3P3B/1BP1PN1P/4QPP1/1NR1R1K1 b - -,f8e8
5rk1/pppq3p/3pp2p/4P3/4P3/P1PP1P1P/1P1N4/4RRK1 b - -,d6e5
2r3k1/1R3bp1/4p2p/3pB3/3P2PP/8/5P2/6K1 w - -,g1g2
r7/p2R2p1/1kP1R2p/1p6/2p2PP1/2b4P/8/6K1 b - -,a8c8
r2qkb1r/p2n1ppp/2ppp3/2p5/4PP2/2NP1Q1P/PPP3P1/R1B2RK1 b kq -,f8e7
1r4k1/p4ppp/4p3/4P3/8/q3n2P/4QPP1/2R3K1 w - -,e2e3
3R4/1k6/p3p3/5p2/2pP1p2/2P5/PP4RK/5r2 w - -,d8d7
rnbq1rk1/pp2b1pp/2p1pn2/3pNp2/3P1B2/2P1PN2/PP3PPP/R2QKB1R b KQ -,c6c5
6k1/1p3p2/2pp1qp1/6rp/p1P5/P3bB1Q/1P1R2N1/3R1K2 b - -,e3d2
r1bqk1nr/pp2bppp/2n5/1N6/3Pp3/2P2N2/5PPP/R1BQKB1R w KQkq -,f3g1
4R3/2b2p1k/7p/8/1p1p2q1/8/5B2/4K3 b - -,c7g3
r4rk1/pp2ppbp/2n3p1/8/Q4B2/2Pb1NN1/Pq3PPP/R2R2K1 w - -,f3e1
r1bqk1nr/pppnppb1/3p2pp/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,e7e6
r1b1k2r/3nnpp1/p3p2p/q1bpP1P1/1p3B2/2NB1N2/PPP1QP1P/2KR2R1 w kq -,c3b1
5rk1/pN4pp/2p3b1/4p3/Pb2P2P/1n4P1/N4PB1/3R2K1 b - -,b4e7
8/3b1p2/3p1kp1/p1pPr2r/PpP1Pp1p/1P1B1P1P/3R1KP1/4R3 b - -,e5g5
1br3k1/p1r2pp1/1p1qbn1p/nB1pN3/P2P2P1/1P5P/1B3P2/1NRQR1K1 w - -,c1c7
8/1pQ2qkp/6b1/p2p4/3P4/7P/P4PP1/6K1 w - -,c7a5
2r5/p7/5p1R/r3pk2/2P5/2K3R1/P4P1P/8 b - -,a5a2
r2qk2r/2p1bppp/p3b3/1p1pN3/8/1BPnB3/PP1N1PPP/RQ3RK1 b kq -,d3e5
1rb1rbk1/pp3ppp/2p1p3/2P1Nnq1/PP1PB3/4P3/1BQ2P1P/R3K2R w KQ -,e1c1
8/p4p2/7r/6RP/1N2kpb1/8/1PP3K1/8 b - -,g4h5
8/3r4/1R1P4/4pkp1/pN6/P3RK1P/1r6/8 b - -,b2d2
8/5pk1/4n3/4r3/1R5P/1P3P2/6PK/8 w - -,g2g4
r5k1/4Bpp1/4p2p/qp1b4/4n3/8/1Q1NNPPP/2R3K1 b - -,a5d2
r1bqr1k1/pp1n1ppp/2n1p3/2ppP3/8/2PBP1B1/PP1N1PPP/R2QK2R w KQ -,f2f4:d2f3
8/5kp1/p2Kn1p1/Pp2P1Pp/2p1BP1P/2P5/8/8 b - -,e6f4
1r1r2k1/bq3pp1/4p2p/8/1p2n3/1P1N2P1/2R1PP1P/1N1RQ1K1 b - -,d8d3
r2q1rk1/1b2npbp/p3p1p1/1pp3B1/4P3/2NP1N2/PPP2QPP/4RRK1 b - -,d8c7
7r/6k1/p3b1p1/1p1pP3/3P3Q/P3q3/1P5P/5B1K w - -,h4f6
k5r1/5p1r/2R1pP2/3p3p/2pP1Q2/P1P3PB/3nq2P/2R3K1 b - -,d2f3
8/5k2/1R6/P7/6PK/8/8/3r4 b - -,d1a1
1r1r3k/1p4p1/p1n2q1p/2Nn1p2/1P2p3/P3P2P/3BQPP1/2RR2K1 b - -,c6e5
8/1p3k2/p1pR3p/6p1/3B1p2/1P3P2/1PP1r1PK/8 b - -,e2c2
6n1/1Q2bpkq/1R6/P1p1P1p1/3r3r/3pN2P/1P1B1PP1/2R3K1 w - -,b7c8
8/pk1p1r2/3qp1p1/Q1p1Rr2/2P2P1p/1P5P/P5P1/4R1K1 b - -,d6d4
3b1r2/pp1q1Rk1/7p/3p2pQ/2pP4/2P5/P1PB2PP/4R2K b - -,f8f7
r1bnk2r/ppp1q3/3p4/3Bp1b1/1P1PP3/1NP2pPp/P1QN1K2/R3R3 b kq -,c8g4
8/2pk4/pn1pq1p1/1p5p/3P3P/PP3QP1/2PN1P2/3K4 b - -,b6d5
8/6p1/R2nr3/5k1p/2P5/1P2BKP1/5P2/8 b - -,g7g5
rnb1k2r/pp3ppp/2pp1n2/4p3/2B1PPq1/2NPB1P1/PPP1Q3/R3K1R1 b Qkq -,a7a5
r3kb1r/pq2nppp/b1p1p3/3pP3/1P1N4/3BB3/P1P2PPP/R2Q1RK1 b kq -,a6d3
8/p5k1/2P3p1/5p1p/3Kn3/1P1N2P1/P7/8 b - -,g7f6
2rqbrk1/1p2pp1p/3p1npb/pN1P4/Pn1BP3/2N4P/1P2QPP1/1B1R1RK1 b - -,h6g7
r5k1/1prbqpbp/n2p2p1/p1nPp2P/2N1P1P1/P1N1B3/1PQ1BP2/2KR3R w - -,c4b6
7k/pp1rn3/3b3N/6P1/8/1P3B2/7P/6K1 b - -,e7g6
r2qk2r/1p2bppp/p1npbn2/4p3/P1N1P3/2N5/1PP1BPPP/R1BQ1RK1 b kq -,e8g8
8/2r1kp2/R5p1/p1r5/P1p4P/4P3/2R1K3/8 w - -,c2c3
1r1q3k/pp3rb1/3pb3/1P1Np3/P3P1pp/2NP1pPn/2R2P1P/1RBQ1K2 w - -,c1e3
r3r3/pp4kp/2pRbpp1/4n1B1/2P5/1P5P/P3BPP1/2K4R w - -,g5e3
8/2q1k1pp/1pp2p2/p1n1p3/P1P1P3/1P3PP1/5K1P/2NQ4 w - -,d1d2
