8/7R/8/8/8/4p3/2K1k3/5r2 b - -,f1f5
3r2k1/1q3pp1/3pb3/1pr1p3/4Pb2/1P2NP2/P2R2QP/3R1N1K w - -,d2d6
r2q1rk1/ppbb1ppp/2pp1nn1/4p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 w - -,d2f1
rn3rk1/ppp1qpb1/3p2pp/4p3/3PPPb1/1QPB1N2/PP2N1PP/R4RK1 b - -,b7b6
1r5b/3kpp2/8/1r1p2P1/2p1P2P/3n2N1/1P1K1PB1/1R5R w - -,e4d5
r3kb1r/ppqn1pp1/2p1pnp1/6B1/3P4/5NN1/PPP2PPP/R2Q1RK1 w kq -,f1e1
4k1q1/8/4p3/1Q1pP3/2r2p1p/2b2R1P/5BP1/7K b - -,e8f7
r4rk1/pp1bppbp/1qnp1np1/8/3NPP2/2N1B3/PPP1B1PP/2RQ1RK1 w - -,c3a4
r1bq1rk1/pp3pbp/3pnnp1/2p5/4PNP1/2NPB2P/PPP3B1/R2Q1RK1 b - -,f6d7
qrb1r1k1/2Q1npbp/p1p1p1p1/2Np4/2P1P3/1P2B1P1/P4PBP/2RR2K1 b - -,g7f6
3rbnk1/rp4p1/p3p2p/3pP3/8/P1N3q1/1PB2PPP/R3R1K1 w - -,h2g3
5bkr/R4b2/5p1p/1R6/p2p4/P2P3P/2P2PP1/6K1 b - -,h8h7
rn2k2r/pp1b1ppp/4pn2/2pq4/3P1B2/2bB1N2/PPP2PPP/R2Q1RK1 w kq -,b2c3
r2qkb1r/pb1n1p2/4pP2/1ppP2B1/2p5/2N3P1/PP3P1P/R2QKB1R b KQkq -,d8b6:d7f6
8/8/8/1p6/2pK4/4N2k/8/8 b - -,b5b4
r1bqkb1r/p4ppp/n2p1n2/1ppP4/1P6/6P1/P3PPBP/RNBQK1NR w KQkq -,b4c5
8/1k1b1pp1/rpn5/2BpPp2/3P3p/5N1P/2PK1PP1/1R6 w - -,f3h4
r2q1rk1/ppp3bp/1N1p1p1n/Q7/2BPP1pP/8/PPP3P1/R4RK1 b - -,g8h8
1r2k3/4P1r1/6p1/4Rp1p/p1K2P1P/2P5/2P2P2/4R3 b - -,b8a8
2r4k/p5p1/2nN3p/3p4/5r2/P2B2Nb/1P5P/4R1K1 b - -,c6e5
8/8/5r1r/R6p/5k2/6R1/5PKP/8 b - -,f6g6
3r4/p1r1qbkp/1p4p1/2pn4/Q3N3/PP3B1P/5PP1/2RR2K1 b - -,c7d7
5nk1/3q1ppp/3Qn3/1p2pN1P/8/P3PP2/5BP1/6K1 b - -,f7f6
r3k2r/pp3ppp/n1p3b1/q2p4/3Pn3/P1NBP1b1/1PQ1NPPP/1R2K2R w Kkq -,h2g3
3r1rk1/1q4pp/n3p1n1/1p3pBQ/8/P1N3P1/1P3P1P/R4RK1 w - -,g5d8
r1b2rk1/p4ppp/8/1Nn1n3/1bp1P3/2N5/1P1B1PPP/R3KB1R w KQ -,c3d5
rn1qk2r/pb1p1ppp/1p2p3/2p5/1bPP4/P1NBPN2/1P1Q1PPP/R3K2R b KQkq -,b4c3
1r3rk1/p1nqp1bp/1p1p2p1/1Pp2pP1/2PnPP2/P1NP4/3B2QP/1R2NRK1 w - f6,g5f6
5qk1/5p2/4N1b1/p2pP3/1p1P2RQ/1P3PKP/P7/3r4 b - -,d1g1
rnbq1rk1/ppp2pbp/3p2p1/3P4/8/2PBBQ2/PP1N1PPP/R3R1K1 w - -,f3g3
6k1/4r1pp/1p3b2/1B6/p7/5NP1/Pn3P1P/2R4K b - -,g8f7
1k4r1/1p3p2/4bp2/pB2q2p/P3P2P/5Q2/1PP3R1/1K6 b - -,g8g4
4rbk1/1p3pp1/p6p/P2r1P2/6P1/4p3/1P1nB2P/R3BR1K w - -,f1f4
r5k1/p5pp/bpr2p2/3p4/3P4/1P2PN1P/5PP1/2R3K1 w - -,c1c6
8/R7/2p1k1pp/3nB3/4N2P/P4P2/bP4PK/2r5 w - -,e5d4
8/2k1n3/pp5p/3p1p1P/PPpPpP2/2P1N3/5K2/8 b - -,c7d6
r4rk1/1p1n1ppp/2p1pq2/p2n4/P2P4/2PB1QN1/1P3PPP/3RR1K1 w - -,f3f6
r1bq1rk1/pp3pp1/1nnpp2p/4P1N1/3P4/P2B4/1P2QPPP/RNB2RK1 b - -,h6g5
rn2qr1k/2p3bn/1pNp1p2/p2PpQ2/2P1P2P/P1R1B3/1P3PP1/4K2R w K -,h4h5
r3rb2/ppp2k2/6np/3pp3/2B4q/P2PP2P/1PPK2Q1/R6R w - -,g2d5
2br4/p1r2k1p/p1P3p1/4ppP1/BR6/4P3/5P1P/2R1K3 w - -,c1c5
r3kb1r/3b1p1p/pqNppp2/1p6/4PP2/2N5/PPPQB1PP/2KR3R b kq -,d7c6
r2q1rk1/p4pbp/2p1pnp1/5b2/2pP4/2N1B2P/PP2BPP1/R2Q1RK1 w - -,e2c4
r3k1nr/2q2pbp/1pp1b1p1/p1p1p3/P1N1P3/3P1N1P/1PP2PP1/R1BQ1RK1 w kq -,b2b3
4r3/3b1rkp/p1p2np1/Pp1p1pq1/1P1P4/3BPP2/4RQPP/4RNK1 b - -,f7e7
rn1q1rk1/pb3ppp/1p6/2PpP3/4n3/P1PB1N2/2Q2PPP/R1B1K2R b KQ -,b6c5
2R2r1k/5rpp/8/p1Qp1nq1/3P4/1P5P/P5B1/4R1K1 b - -,g5f6
r4rk1/ppqnbpp1/4pn1p/2P4P/8/4NN2/PPPBQPP1/2KR3R b - -,d7c5
rnbqkb1r/pp2pp1p/6p1/2p5/3PP3/2P5/P4PPP/R1BQKBNR w KQkq c6,f1b5:c1e3:c1g5:f1c4
r1bqk2r/pp1p1pb1/2n2npp/4N3/2PPp1PP/2N5/PP3PB1/R1BQK2R b KQkq -,d7d5
r4rk1/ppp1n1pp/3p2q1/2b1nb2/3N4/2P1BP2/PP2B1PP/RN1Q1R1K w - -,b1d2
2rr2k1/pbn1qppn/4p2p/4P3/1ppP1Q2/P4NN1/1PB2PPP/3RR1K1 w - -,g3h5
r1bq1rk1/3pnppp/p1nQ4/1p2p3/4P2P/2N5/PPP2PP1/R1B1KB1R w KQ b6,h4h5
8/6p1/7b/3N2kP/8/5K2/6P1/8 w - -,d5f4
rn1q3r/p4pbk/1p1p2pp/1PpPpPP1/1P2P2P/P3B3/3QB3/1R2K2R b K -,h6h5
5k2/8/5N2/8/3r1p2/8/4K3/8 b - -,f8f7
1r1q3k/1p2p1bp/3pb1p1/p4r2/P1P5/1P2B1PP/3QNP2/1R3RK1 w - -,e2d4
1kr1br2/npq4p/p3p1pP/3pN3/1P3P2/P1N1Q3/1KP3P1/3RR3 w - -,e1e2
8/8/6p1/3k2B1/2b2PP1/6K1/8/2b5 w - -,g3h4
1r6/5p1p/3P1k2/3K4/8/1P4N1/P6P/8 b - -,b8a8
5r2/pp2pr1k/3p3p/3P1pn1/1PPR2Pq/P3RB2/1Q3PP1/6K1 w - -,g4f5
r1q3k1/2p5/npPp4/1N1Pp2Q/RP2P3/5p2/5Kr1/R7 w - -,f2f3
8/7p/8/p2ppk2/P6p/1P2PP1K/8/4bN2 b - -,d5d4
3Qn3/q4pk1/3P2p1/1p2r3/3pP3/1B1P3P/6P1/5RK1 b - -,f7f5
4r1k1/5pp1/2RP3p/1R2p1b1/3r4/4N3/5PP1/6K1 w - -,e3d5
1r2rbk1/pp3ppp/2pp4/4n3/P1P5/1q1NP1Q1/1B1R1PPP/3R2K1 w - -,d3e5
r1bq1rk1/2n2pbp/pp1p2p1/2pPp2n/P1P1P3/2N3P1/1P3PBP/R1BQNRK1 b - -,f7f5
2r2rk1/pp3ppp/3pbq2/2np2Q1/8/2PP4/P1P1BPPP/1RB2RK1 b - -,f6g5
r1b1k2r/1pqp1ppp/p1n1pn2/8/1b1NPP2/2NBB3/PPP3PP/R2QK2R w KQkq -,d1d2
2rr1bk1/5ppp/p1nqpn2/1p6/1P1P4/P1N1BB1P/2Q2PP1/R2R2K1 w - -,c2b3
2r3k1/2Nbbqp1/7p/8/1Pp1Q3/6BP/5PP1/1R4K1 w - -,e4b7
r4rk1/5pbp/1qn1pnp1/1p1p4/3P1B2/2PQ1N1P/1PN2PP1/R3R1K1 w - -,f3e5
6k1/5p2/Q4p2/3K4/pN4Pp/P2P3P/1r3q2/8 b - -,f2f3
rnbq2k1/pp3ppp/2p1r3/3nN3/3Pp3/B1P5/P1PQBPPP/1R3RK1 b - -,e6h6
r1b2rk1/bp3ppp/p1n1pn2/8/8/1BN1PN2/PP1B1PPP/2RR2K1 w - -,d2e1
8/7p/3R4/2pP4/2P2r2/1P2Kp1P/2b3k1/8 w - -,e3f4
2r5/p2q4/P2p2k1/Rp1Pr3/1P2p1p1/2P1QpPp/5P1K/4R3 b - -,c8c4
rn1q1rk1/pp2ppb1/3p3p/2pP2p1/2P1P3/2NB1bP1/PP1Q1PP1/R3K2R w KQ -,g2f3
8/1R3k2/7R/3q1p2/8/7P/7K/8 b - -,f7g8
rn1qk2r/ppp2ppp/3bpn2/7b/2BP4/4PN1P/PP1N1PP1/R1BQ1RK1 b kq -,b8d7
2rqr1k1/pb2ppbp/3p1np1/np1P4/1P2P3/5N1P/P1BN1PP1/1RBQR1K1 b - -,a5c4
1r3rk1/2qn1ppp/B2bp3/P2b4/1p6/1N2BP2/1PP1Q1PP/3RK2R w K -,b3d4
8/6N1/4p2p/2n1kp2/p1P4P/P4KP1/8/8 b - -,e5d4
3r2k1/pp2q1pp/2p5/2Pp1p2/1P2rP2/P3PR1P/1Q2R1PK/8 w - -,b2b3
r1b5/1p1n3k/2pP2qb/4ppp1/1p2N3/3B3Q/P4PPP/2B1R1K1 b - -,d7f8
rr5k/3bqn1p/n1pp2p1/4pp2/1PP1P3/2N2P2/1Q1NB1PP/R3R1K1 w - -,b4b5
3r1rk1/P3b1pp/1q1pp3/NNn5/2P1b3/4B2P/3Q2P1/R1R3K1 w - -,c1f1
5rk1/3rn3/2qbb1p1/1p2p1Pp/4P3/1pP1BNQ1/1P1N1P1K/R6R b - -,e6g4
r4rk1/1p1Bpp1p/3p3Q/pP1PPP1p/P7/7P/1P3qP1/3R3K w - -,f5f6
5rk1/p1qbppbp/3p2p1/1pr3Pn/3NP3/1P2BPN1/P1PQ3P/1K1R3R b - -,f8c8
1r4k1/2qbb1pp/Q2p1pn1/1p1Pp3/2p1P2P/2P1B1P1/1P1N1P2/R2B2K1 w - -,d1e2
r2q1rk1/5ppp/1p2pn2/pN6/1nPPN3/5PP1/1P2Q1KP/R4R2 b - -,f6e8
rnbq1rk1/ppp2pbp/3p1np1/4P3/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQ -,d6e5
r1b1kbnr/1p1ppppp/pqn5/8/2P1P3/5N2/PP3PPP/RNBQKB1R b KQkq -,d7d6
r2qk2r/ppp1bppp/1nnp4/3P1b2/2P5/2N1BN2/PP3PPP/R2QKB1R b KQkq -,c6e5
3r2k1/5pp1/p2Np2p/3bP2P/1n3PP1/1P4Q1/P2q1N1K/2R5 w - -,c1c7
r1bqnrk1/pppn1pbp/3p2p1/3Pp3/2P1P3/2NBBP2/PP2N1PP/R2QK2R b KQ -,g7h6
8/2k3p1/p3pn1p/1p2b2P/1P2P1P1/P2KBB2/8/8 b - g3,f6h7
3r2k1/q4p1p/2r1p1p1/1pP1P3/1P3PP1/1Q1p4/7P/3RB1K1 w - -,d1d3
4r3/r4p1k/p2pbbpp/npp1p3/4P3/2PP3P/PPB2PP1/R1B1RNK1 w - -,c1e3
8/p7/2K2kp1/1P3pNp/2n2P2/6P1/7P/8 w - -,g5f3
r1bqk1r1/1p2bppp/p1n1p3/2npP1B1/7P/2N2NQ1/PPP2PP1/R3KB1R w KQq -,e1c1
q5k1/3r4/6p1/2N5/6PQ/7P/5P1K/8 b - -,d7d1
5r2/1p3kp1/1bpq4/5PB1/1P1Np1n1/6N1/2P2P2/1R1Q1RK1 w - -,d1g4
5rk1/7p/R2pr1nB/1p6/2pq1p2/8/1P3PPP/1Q3BK1 b - -,f8e8
2R5/3r4/6kp/1b4p1/1P6/1N3P2/6P1/6K1 b - -,d7d1
r1q3k1/4pp1p/1p1p1np1/1Nr5/2P1P3/1P3PP1/PQ5P/R2R2K1 w - -,b5d6
1B6/5k2/2B1b3/8/5K2/3r4/8/8 b - -,e6d5
3bnrk1/6pp/pq2bp2/1pp1P3/4N3/P3B1Q1/1PP1B1PP/5R1K b - -,d8e7
6k1/1p1nqppp/1pp2n2/4P3/1r1B4/5BPP/rPQ2P2/3RR1K1 b - -,f6e8
1r2n1k1/p2bBp2/1p4pp/2p1P3/3bBP2/1P1R2PP/P2N3K/8 w - -,d2f3
5rk1/n5bp/1p2p1p1/8/2BP4/4B3/4N1PP/6K1 w - -,c4e6
r1b2rk1/4qp2/p1p4p/1pn1p3/4Pp2/PBP2N1P/2P1QPPK/R4R2 w - -,f1d1
2r1q1k1/2r2pp1/2Pp1b2/1P2p3/7p/R2QBPnP/6P1/4R1K1 w - -,a3a4
6k1/5pp1/4p2p/2n5/8/5PP1/2N3P1/5BK1 b - -,h6h5
1r2brk1/2p1b1pp/2q5/5p2/QpPPp3/4P1P1/1P2B1NP/R4RK1 w - -,a4c6
r1b1k1r1/1p2pp2/pqnp4/4n1Bp/P3P3/1NP5/2PQBPP1/R3K2R b KQq -,c8g4
2r1R1k1/2p2pp1/p2n1q1p/1p1p4/3P2b1/1PPB1N2/P2Q1PPP/2R3K1 b - -,c8e8
2r5/R4pk1/4p1p1/1pn1P3/3B4/4PK1P/5PP1/8 w - -,a7a5
8/p1p5/5k2/5p2/P1B1q1p1/1P6/7P/5RK1 b - -,f6g5
R7/5pk1/pr6/6Pp/5K1P/5P2/8/8 w - -,f4g3
r7/1p2n1kp/5pp1/1P1p4/3N4/2rPPNPB/5P1P/1R4K1 b - -,a8a2
8/8/1pk1p1R1/3p4/PPp2K2/2P1r3/4r3/2R5 b - -,c6d6
1r2qrk1/p1p1b1pp/4pn2/2ppN1B1/3Pb1P1/P1N5/1PP1Q2P/2KR1R2 w - -,g5f6
rn1q1rk1/p3bppp/bpp1pn2/3p4/2PP1B2/5NP1/PPQNPPBP/R4RK1 b - -,b8d7
r1bqrbk1/ppp2ppp/2n2n2/2Ppp3/1P1P4/P1N1P1N1/4BPPP/R1BQK2R b KQ b3,e5d4
5B2/8/8/5k2/p3n1p1/P5K1/8/8 w - -,g3g2
r6k/7p/3q1bn1/1Q1R4/5pP1/4pP1P/1P6/4BBK1 b - -,d6b8
r3kb1r/pp1npppp/1qp2n2/8/2BP4/2N2Q1P/PPPB1PP1/2KR3R b kq -,b6d4
8/3R2N1/2r1p2p/6k1/6P1/3K1P1P/2P4b/8 w - -,c2c4
8/6k1/R7/3r3p/4pPp1/4P3/6K1/8 w - -,a6e6
8/5k2/2p1p1p1/2PpP1n1/3P4/8/4NPK1/8 w - -,f2f3
2r5/P2R1kpp/5p2/8/8/P6P/5PP1/6K1 b - -,f7g6
rn1q1rk1/pp2bppp/2p2nb1/3p4/3NP3/2NP2P1/PP3PBP/R1BQ1RK1 b - e3,d5e4
r2qk2r/pb3ppp/1p2p3/3pn3/1b1p4/1P1P2P1/PBP1NPBP/R2Q1K1R w kq -,e2d4
r5k1/1p5p/3p4/P2Pp3/2P1Pr1q/6n1/1P2B1P1/R2Q2K1 w - -,e2f3
1rbq1rk1/pp2npb1/2n3pp/4p3/1P1pP3/2PP1NP1/3NQPBP/R1B1R1K1 w - -,c1b2
r3r3/p2k4/3B1p2/R1Pb1pp1/1Rp4p/P3PP2/3K2PP/8 w - -,b4a4
7Q/8/1p4p1/4p3/2Pq2kP/2K5/8/8 w - -,c3b4
r2qk1nr/pppb2bp/2np1pp1/1B2p3/3PP3/2N1BN1P/PPP2PP1/R2QK2R b KQkq -,g8e7
r1bnk1nr/ppppqppp/1b6/3Pp3/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,g8f6
r4rk1/q3b2p/p1p1b1p1/1p2Pp2/8/P1N1B1Q1/1PP3PP/3RR2K b - -,a7c7
r3kb1r/pp3pp1/n1p4p/q2p4/3Pb2B/P1N5/1PQ1PPPP/R3KB1R w KQkq -,c2d2
q2br1k1/1b3n1p/pQ6/1p1p1Np1/6B1/4PPB1/P1R3PP/6K1 w - -,g3c7
8/R4pk1/p3r1pp/1p6/3B1nPP/8/PP6/6K1 b - -,g7f8
8/8/7k/4P3/1p3PP1/5r2/R6K/8 w - -,a2a6
7r/p5k1/8/8/P4PP1/5K1P/8/4bB2 w - -,g4g5
8/7p/4k3/6R1/4K1P1/4P3/r7/8 w - -,g5h5
r1bq1rk1/pp2bppp/2n1pn2/3p4/2PN4/P1N1P3/1P2BPPP/R1BQK2R w KQ d6,c4d5
r6r/p2kbpp1/4bn1p/3p4/N7/6P1/PP3PBP/R1B2RK1 w - -,c1e3
8/1b3p2/p2kn1p1/1p1p3p/3N4/P1K1PPPP/1P4B1/8 b - -,e6d4
3rr1k1/1p2qppp/1Qpp1n2/p3pP2/P1P5/1PN4P/2P2PP1/3RR1K1 b - -,e7d7
2r1k3/3nr3/1p1B3p/pPpR2p1/4q3/P5QP/5PP1/3R2K1 b - -,e7e6
rr4k1/p1n2ppb/2R1p2p/3n4/3P4/N3P2P/PP1NBPP1/3R2K1 b - -,b8b2
r7/n1k5/6p1/7p/1R6/4BP2/7P/7K w - -,b4a4
r3k2r/ppp1npp1/2nb1q2/3p3p/3P4/2P2bNP/PP2BPP1/R1BQK2R w KQkq -,e2f3
r5k1/pp3ppp/2nb1q2/3r4/8/1N3P2/PPQ1B1PP/R4RK1 w - -,g2g3
r4rk1/1bpnq1pp/1p6/pP2ppn1/2P5/P3PP2/1BQ1B1PP/3RNRK1 b - -,g5e6
8/8/p7/7k/P7/6R1/r2N2p1/3K1b2 w - -,d1e1
rnbqkb1r/1p1p1ppp/p4n2/4p3/4P3/1NN5/PPP2PPP/R1BQKB1R b KQkq -,f8b4
2kr1r2/pp1bq2p/1bnQ1p2/4p3/4N3/2P2N2/PP2B1PP/R3K2R w KQ -,d6e7
2r1k2r/1p1nppbp/p2p1np1/q2P1P2/8/2N1BP2/PPPQ3P/1K1R1BR1 w k -,e3d4
2n1rbk1/1r1q1p1p/4p1p1/Rp1p4/1P1P1B2/2PQ3P/1N3PP1/4R1K1 b - -,f8d6
8/2pQ2qp/1pPp1rk1/3P2p1/1PP5/4RpKP/5P2/8 b - -,f6f7
r1b1r1k1/pp2qpbp/2pp1np1/2n5/2P1P1P1/2N1BP2/PPNQB2P/3R1RK1 b - -,g7f8
8/1p3r1k/p2Kp1p1/3b3p/P4P1P/1PQ3P1/8/8 w - -,b3b4
2r5/1p2kpp1/4pn1p/p1r5/3R4/2PB4/PP3PPP/3R1K2 w - -,d3e2
2kr3r/pppb1R2/2np4/4q3/1PB1P3/2PP2p1/P1N3P1/4QNK1 w - -,d3d4
4rrk1/pp1q2bp/2np2p1/2pNp3/2P2p2/1P3PP1/PBQPP1KP/R4R2 w - -,d5c3
rn1q1rk1/1p2bppp/p2pb3/3np1P1/4P2P/1N2B3/PPP1BP2/R2QK2R w KQ -,e4d5
r1bqk2r/pp1n1ppp/4pn2/1Bb3B1/4p3/2N5/PPPQ1PPP/2KR2NR b kq -,e4e3
r4k2/p3bp2/1p2b2q/3pBp1P/8/3B4/1Q3PP1/4R1K1 b - -,e7g5
r4rk1/pb4pp/4p1n1/1pbq1p2/3p1P2/1P1P1N2/P1P1BRPP/R1BQ3K b - -,a8c8
2n3k1/1p2b1pp/p1b1p3/3pPp2/1P1P4/P3PN2/1B2BKPP/8 b - -,c8b6
5r1r/p1pk4/1p1p4/3Pp1p1/3nB3/5P2/PP4PP/2KR3R b - -,c7c5
q3r1k1/p3p1bp/1p3p2/2nb2p1/1PB5/Q4NBP/P4PP1/4R1K1 b - b3,c5e4
r1bq1rk1/pp1n1pp1/3b1n1p/3N4/3N3B/3BP3/PP3PPP/R2Q1RK1 b - -,f8e8
8/8/8/5BR1/3b4/2kP1K2/8/4r3 w - -,f5e4
5r2/5k2/1p4p1/p2Pb3/P4p2/1P2pP1P/4N1P1/5RK1 w - -,f1c1
1r4k1/5pp1/1r1ppb1p/p3P3/q4P2/1N1Q4/PPP3PP/1K1RR3 b - -,d6e5
8/7p/1Np3p1/2Pp1kP1/3P3P/P1K5/8/3b4 w - -,c3d2
r5k1/2b1rpp1/p2p3p/2pPP3/2Bq1P2/1P3QP1/4R1KP/5R2 w - -,e5e6
5r2/8/1p2pk1p/p7/P1P1B2P/1P2R1P1/3r1PK1/8 b - -,f6e5
b2q1rk1/3nbppp/4p3/1Q1nP3/8/6P1/3B1PBP/1NR1N1K1 w - -,d2a5
5k2/8/8/R7/p4r1K/8/8/8 w - -,h4g3
4B3/1R3pk1/4p1p1/7p/P3P2P/4nP2/r5P1/6K1 b - -,e3g2
2Q5/8/8/1p3qpp/6k1/8/P5P1/6K1 w - -,c8c3
1k3r1r/pbp3b1/1pnppq1p/6p1/2NP4/2PB1NP1/PP2QPP1/1K1R3R w - -,h1e1
2r3k1/5bpn/5p1p/1p1p1q2/pN3P2/P1B2PQP/1P4PK/3R4 b - -,h7f8
8/p1k5/5p2/2p5/p7/2PnN3/1r3PK1/R7 b - -,b2f2
2rqr1k1/1p1b1p1p/p1N2bpB/2Pp1P2/6B1/1P5P/P5P1/2RQ1RK1 b - -,c8c6
8/8/4k3/p1P1b3/P5K1/1P6/8/8 b - -,e5c3
r1bqr1k1/p3bppp/2pp4/6Pn/2pNPP2/2N1BQ1P/PPP5/2KR3R b - -,g7g6
r3k2r/1pq1bpp1/p3p1p1/3n4/3P1PP1/P1P2Q2/3B2BP/R4RK1 b kq -,g6g5
2r1k2r/1pqbbppp/p2ppn2/6B1/2PQP3/2N2N2/PP3PPP/2R2RK1 w k -,b2b3
r1bqr1k1/1pp1bp2/p4n1p/3PR3/7B/2NB3p/PPP1QPP1/R5K1 b - -,d8d6
5r1k/ppp3bp/5n2/2pP1P1q/2P3p1/2NB4/PPQ4P/1K2r1R1 w - -,g1e1
r2q1rk1/1p1b2bp/3npp2/p2p4/P2P1R2/1PNPB1P1/3Q2BP/R5K1 w - -,a1f1
3r2k1/2R2n2/B2p1qp1/3P1b2/PB5p/5PnP/3Qr1P1/3R2K1 w - -,a6e2
4r1k1/2p2q1p/5r2/1Rp5/P1Np2p1/P2P1PPK/2Q1P3/4R3 w - -,h3g2
k1br3r/pp3p2/2pq1np1/3p4/3P1PP1/2NB1PQ1/PP6/1KR1R3 w - -,e1e5
r1b1kb1r/pp4pp/1qn1pn2/3p4/3P4/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,a7a6
8/p3k3/1p1pp2p/4r1p1/2P5/1P2KP2/P2R2PP/8 w - -,e3f2
6Q1/1r6/3k1p2/1q1pp2r/1p4RP/1P4R1/1PP3PK/8 w - -,g3f3
8/3R2p1/1p3pk1/5b2/5P2/2P5/1P1B1K1P/8 b - -,f5d7
1R6/8/5pp1/3k4/8/2b1P1P1/2r2P2/5K2 w - -,b8c8
rn1q1rk1/pp1nbppb/2p1p2p/3pP3/8/3P1NP1/PPPNQPBP/R1B2RK1 w - -,f1e1
5r1r/1p3pk1/p2b3p/3np3/3p2N1/1P1P3P/1PRB1PP1/4R1K1 b - -,f8e8
r4rk1/2q2ppp/2p1p3/2Qn4/2P1N3/8/PP3PPP/2KRR3 b - c3,d5b6
2r2rk1/1p4bp/p1n2pp1/3np3/3p4/NP1P1NP1/1P1BPP1P/R1R3K1 w - -,a3c4
4k3/8/P4Kp1/r3B1P1/8/5P2/8/8 b - -,e8f8
6k1/2p1b1rq/1p1p4/3Pp3/pPP1Pprp/P2R4/1R2Q1PP/5N1K w - -,h2h3
8/P1R1K3/8/3k4/r7/8/8/8 w - -,e7d7
5k2/1R6/4P3/5K1P/7r/8/8/8 w - -,f5g5
r2r2k1/1p1n1p2/1pB3p1/2p1b3/2P5/P3P2P/R2N1P1B/3R2K1 b - -,b7c6
R3r3/5k2/2pnnbpp/2N2p2/1PPp1P2/1N6/1B2PK1P/8 w - -,a8e8
8/4r3/5k1p/3R1pP1/8/6PK/8/8 b - -,h6g5
7k/4q2p/p2r1p2/4pR2/2prP2Q/7P/PPP3P1/2K2R2 w - -,f5f6
8/4kp2/1b2p1pp/p7/P5P1/3NP2P/5PK1/8 w - -,e3e4
7R/8/8/4pr2/7p/4k3/4P1K1/8 w - -,h8h4
6k1/4pp1p/1B4p1/P7/6P1/2pK2PP/1r6/8 b - -,c3c2
5Q2/p1q3p1/Pr2p1kp/1P1bP3/2pPp3/2P1R2P/5RP1/6K1 b - -,b6b8
r1b1nr1k/p2nq1bp/Pp1p2p1/1BpPpp2/4P3/2N1BP2/1PPN2PP/R2QR1K1 b - -,d7f6
r4rk1/pp3pp1/2n1b2p/2q1p3/2Pp4/6P1/PPQNPPBP/R1R3K1 b - -,f7f5
2rq2k1/pQ3ppp/8/3p4/3P4/P3P2P/5PPK/5R2 b - -,c8c7
R4bk1/1bq4p/3p1pp1/1pnPp3/2p1P1P1/2P1B1P1/1PBN1P2/3Q2K1 b - -,b7a8
