8/4k2p/R5p1/8/3K1P2/7P/P5r1/8 w - -,a2a4
1rr3k1/3qn1bp/4ppp1/p1ppP3/n1P2PPP/3P4/P1QB2B1/2RNR2K b - -,f6e5
bq1r2k1/5ppp/p3n3/P1ppP3/5P2/Q1N3PP/4P1BK/5R2 w - -,f4f5
r2q1rk1/pp1n1pp1/2pbpn1p/3p1b2/1PPP4/P3PN2/1B1NBPPP/R2Q1RK1 b - -,d8b8
2kr3r/ppb5/2p5/4pq2/2PPn1R1/P1K5/1P4B1/R1BQ4 w - -,g2e4
5rk1/R4ppp/6q1/2P2R2/4P3/5Q1P/3r2P1/7K b - -,h7h6
3r2k1/p1r2ppp/5b2/8/4B3/1KN2PP1/R2P3P/8 w - -,b3c2
2r3k1/1p3p1p/p5p1/3b2P1/1n1NB3/3P1P2/1P1K3P/7R b - -,c8d8
5r2/p1p3k1/1p1pnq1p/4p1p1/2PPP1b1/2PQRNP1/P4PKR/8 b - -,h6h5
r1b1kb1r/pp3p2/2p5/3nB1p1/3p3p/8/PPPNBPPP/R4RK1 b kq -,h8h6
rnbq1rk1/pp2npp1/3b3p/3pN2Q/3P4/3B4/PP3PPP/RNB2RK1 b - -,b8d7
3B4/3r2k1/p1R4p/2P5/4KPP1/8/1b6/8 w - -,d8a5
r3k2r/1pqbnpbp/2ppp1p1/p7/PnPPPP2/2N1BN1P/1P1QB1P1/R4RK1 w kq -,a1c1
8/3k1pbp/3pp1p1/8/N1K1P3/1P3P2/P5PP/8 w - -,b3b4
r1bq1rk1/p3ppbp/2pp1np1/8/2P1P3/2N5/PP1BBPPP/R2QK2R w KQ -,e1g1
3b1rk1/1q3p1p/p2pp3/6P1/1P2P2Q/6N1/2r2nBP/1R3RK1 b - -,b7b6
r1b1k2r/ppp2ppp/2nnpq2/8/1b1P4/2NBPN2/PPQ2PPP/R1B1K2R w KQkq -,e1g1
r4rk1/1b3ppp/1q2pn2/p2p4/Pn6/2N1N1P1/1P2PPBP/RQ1R2K1 w - -,b1c1
1n6/k2q4/1p6/2r4p/3NQ3/6P1/P3PP1P/1R2K3 b - -,b8a6
3k3r/1b6/p1q2p1p/n3p1pQ/Pp1pB3/1n3PB1/1P1N2PP/4R1K1 b - -,c6e6
2b1r2k/5qp1/3Q3p/1P6/3N1p2/P6P/6PK/2R5 b - -,f4f3
r2qrbk1/1bpn1p1p/p2p1np1/1p2p3/3PP3/2P2NNP/PPBB1PP1/R2QR1K1 b - -,f8g7
1k4r1/pp2qp2/1n2p3/7R/4BP2/2P2Q2/PPK5/8 b - -,g8d8
2r3k1/p3ppbp/2B3p1/8/8/B1P3P1/b3PP1P/3R2K1 w - -,c6b5
6k1/1p2q3/pB1pp1n1/P4P2/3P1Pp1/6pP/1P2Q2K/8 w - -,h2g1
8/8/3k1p2/3p2p1/3N2P1/4R2P/r3K3/8 w - -,e2f3
2r4k/p1q2pp1/3bp3/1p6/5P2/P1rBP3/2Q2P1P/R1R3K1 w - -,c2c3
r1b1kb1r/pp3ppp/1qn1p3/8/2Bp4/2N2N2/PP3PPP/R2Q1RK1 w kq -,c3b5
8/p7/1p3pk1/r7/7P/P1p2KP1/1P2R3/8 w - -,b2c3
rn1qkb1r/pbpp2pp/1p2pn2/8/2P1p3/2NP2P1/PP3PBP/R1BQK1NR w KQkq -,g1e2
r1bq1rk1/ppn2p1p/4p1p1/3nN3/P1BN4/2P5/1P2QPPP/R2R2K1 w - -,d4b5
r1bqr1k1/2n2ppp/pb1p4/1PpPn3/5Q2/P1N1B1PP/4NPB1/1R1R2K1 w - -,c3a4
8/6pp/2n1p3/1pP1P1k1/1P1p2P1/7P/3B2K1/8 b - -,g5g6
1k1r4/ppqr2p1/4Q2p/8/2PB1b1P/8/PP4P1/1K1R3R w - -,e6e4
4n1k1/2r2pp1/3pp2p/8/qP1QP3/3B1P2/6PP/3R2K1 w - -,d1a1
8/4kp1p/3p2p1/1n1P4/1Pp2PP1/r1P1p2P/1K2N3/5R2 b - -,a3b3
6k1/pBp4p/7P/2Ppn3/3r4/8/PP6/3K3R w - -,d1e2
8/8/2p4p/6p1/pP1k1pP1/1b5P/1n1KB3/R7 w - -,b4b5
4k3/5R2/2PK4/3B4/8/8/3r1p2/8 w - -,f7f5
2rq1rk1/pp2pp1p/3n2p1/2nPN3/3Q4/2N5/PP3PPP/R3R1K1 w - -,e5g4
2r1r1k1/3n1pp1/pQ2pn1p/3bN3/p2P4/6B1/1P2BPPP/2R1R1K1 b - -,d7b6
3r1r2/1pq2pk1/p1n2pp1/2Pp1P2/1P6/P4N2/1Q4PP/3R1RK1 b - -,f8h8
2r1rbk1/1q3pp1/p2p3p/p2Np3/1PP1P3/3Q1P2/6PP/R2R2K1 w - -,a1a5
4rnk1/1b2b1pn/1r6/2p2Pp1/3pP3/1P1P1N1N/3B2R1/R4BK1 w - -,h3g5
2r2rk1/5ppp/1p1R4/p1n5/N3B3/6P1/1PR2P1P/6K1 b - -,c5e4
3r4/1r3p1k/b1p3pp/4b3/p1p1PN1P/P2p1PB1/1P1N2P1/1RK5 w - -,f4e6
r4rk1/3qbpp1/2np3p/2p4n/4PB2/2N2NP1/PP3PKP/R2QR3 w - -,f4e3
q4rk1/4ppbp/1n1p2p1/2pP4/1p2PPB1/1P5P/2PQN1P1/5RK1 w - -,f4f5
rnbqk2r/pp2nppp/4p3/2ppP3/2PP4/P1P2N2/5PPP/R1BQKB1R b KQkq -,b8c6
1r2k1n1/8/p3p1nP/1pPpq1B1/7p/2N3bP/PPP3Q1/3R1R1K w - -,h6h7
r3r1k1/1bqn2pp/p4p2/2pnp3/PpN5/3P2P1/1PPBQPBP/R3R1K1 w - -,a4a5
r1b2rk1/1pqn1pbp/2pp1np1/p2Pp1B1/2P1P3/2N2N2/PPQ1BPPP/2R2RK1 b - -,d7c5
r1r3k1/1b1n1pbp/1q1ppnp1/pP1p4/NP1N4/1Q4P1/PB2PPBP/3R1RK1 b - -,b6d8
rnb1k1nr/pp2qppp/2pp4/2b1p3/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,d2d4
8/4n1kp/5pp1/p3q3/8/Q5NP/6P1/6K1 w - -,a3a4
rnb2rk1/ppp1qppp/3pp3/8/2PP4/2N3P1/PP1QPPBP/R4RK1 b - -,b8d7
r1b2rk1/1p2qpp1/p3p2p/2npP3/3NnP2/1BN5/PPP3PP/R2QR1K1 w - -,c3e4
8/8/4k1p1/4p3/6PP/2NK1P2/8/4n3 w - -,d3e4
3R4/8/4r3/1K6/2P1k3/3pb3/4p3/4B3 b - -,e6b6
r3k2r/pp1nppb1/1qp2npp/3p1b2/3P1B2/1QP1PN1P/PP1NBPP1/R3K2R b KQkq -,g6g5
5rk1/5pbp/N5p1/8/1P1p3q/8/PQ3PP1/2R3K1 b - -,d4d3
r2r1bk1/p4p1p/1p2p1p1/nB1bP3/q2P4/4B2P/PQ3PP1/R1R1N1K1 b - -,a4a3
r1r5/p3ppkp/1q1p2p1/4n3/3NP1b1/1P4PP/P2Q1PB1/R4RK1 b - -,g4d7
r3r3/1p1q2kp/5pp1/p2N1b2/3Q4/5P2/PPP3PP/R4RK1 b - -,e8e5
R3bk2/4p1b1/4N1pn/7p/P7/4BP2/r5PP/5BK1 b - -,f8f7
r3rnk1/4bqpp/ppp1b3/3pP3/1P1P1p2/P1BB1PP1/2Q4P/4RRNK w - -,c3d2
r3k1nr/pp1q1bp1/2nb1p2/4pPP1/2ppP3/3P1NN1/PPP3B1/R1BQ1RK1 b kq -,f6g5
r3r2q/2pQn1kp/pb1p1ppN/1p2p3/4P3/2PP2P1/PP3PK1/R1B2R2 w - -,f1h1
8/5n2/8/3K4/4p1N1/3k4/8/8 w - -,g4f2
2r5/5ppk/p7/3P1P2/3q4/1P3QP1/4R1K1/8 w - -,f3e4
8/2R2p2/p2b1kpp/1p6/n2N4/3K3P/P1P5/8 w - -,c7c6
2r1r1k1/pb3ppp/1p6/8/2B5/PP6/6PP/2KR3R b - -,b6b5
r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,c1d2:c1g5:b2b3:f3e1
8/p4k2/1p3pp1/4r3/1PP3P1/1PR5/8/1K6 w - -,c4c5
8/p7/1p2k3/2P1q1pp/1P6/P1Q5/K1P5/8 w - -,c3b3
r3kb1r/pp1qpppp/2p2n2/8/3P4/4P3/PP2QPPP/RNB1K2R b KQkq -,e7e6
r3kbnr/pp2pppp/2n5/1q2P3/3Q4/2N2P2/PP3P1P/R1B1K2R w KQkq -,c3b5
r4rk1/1q3ppp/2n1p3/1p1pP3/8/PP2QP2/5NPP/1R3RK1 w - -,b1a1
r1b1r1k1/p1q1bpp1/1npp1n1p/4p3/3PP3/1PN2N2/2P1BPPP/R1BQR1K1 w - -,c1b2
r1bqr1k1/pp3pb1/6P1/2pPn2p/4N3/3B4/PP4PP/R1BQ1RK1 b - -,f7g6
8/2p1k3/4P3/3Bp2p/1b2Pp2/5P2/5K1P/8 w - -,f2e2
8/p4q1k/7p/3Q4/8/1PBp4/1KR5/8 w - -,d5f7
5r1k/1ppr3p/1pnp2qP/1N2n1p1/1P2P3/P1Q2pP1/1PBR1P2/1K5R b - -,g5g4
8/8/8/p1K5/P1P2k2/8/7p/8 w - -,c5b5
r2q1rk1/5ppp/bpn1pb2/p2n2B1/3PR2P/PB1Q1N2/1P3PP1/RN4K1 w - -,d3d2
4r2k/2p3p1/p5np/1pbq2NQ/3p1BP1/2P5/PP3PP1/RN4K1 w - -,b1d2
r1b3k1/ppr2pbp/2n1p1p1/4P3/2BP3P/4BN2/P4PP1/2R1K2R w K -,c4d3
r2qk2r/1p1nbppp/p3p1b1/P2pPn2/3N4/2P2N2/1P2BPPP/R1BQ1R1K b kq -,f5d4
2r2rk1/1p2bppp/pBbpq3/P3p3/2P1P3/1P1Q2P1/5PBP/3RR1K1 b - -,f8e8
8/1p1k4/p7/5P2/8/1KP1Bn2/1P6/6q1 w - -,e3g1
r1bq1rk1/pp2bppp/2n2n2/2ppp3/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 b - -,h7h6:d8c7
r7/6pk/4pq1p/3p3P/2p2PQ1/8/6RK/8 w - -,g2e2
6k1/5pp1/7p/3N4/bp2P3/3B4/4KPPP/2b5 b - -,b4b3
8/8/1pk5/p2R2P1/P1P1p1KP/2r5/8/8 w - -,d5d4
8/8/3K4/pk6/8/1P5p/6bR/3B4 b - -,b5b4
2r1k2r/2q1n1p1/p2bpnp1/1p1pNbRp/2pP1P1P/P1N1P3/1PPQBB2/5K1R w k b6,e2f3
1r3rk1/p4pbp/4p3/2pq1p2/5P2/2P5/PP1BQ1PP/1R3RK1 w - -,c3c4
2r2r2/3q2bk/1p1Bpnpp/pN1p4/P1PPp3/1P5P/4QPP1/2RR2K1 b - -,f8f7
r4rk1/p3ppbp/1qppn1p1/3bP3/3PN3/5N1P/PPQ2PP1/R1B1R1K1 w - -,c2c3
2r2rk1/pb2npb1/1q2p1p1/1p5p/3pPP2/PR4N1/BPP1Q1PP/R1B4K b - -,b6c6
8/3R1pkp/4n1p1/8/1r3PP1/6K1/2B2P1P/8 w - -,f4f5
r3r1k1/p2n1pb1/bp1p3p/2pP2p1/P3Q3/5NPP/1P2PPB1/2BRR1K1 b - -,e8e4
2r2b2/2NRnk2/p2B1p1r/Pp4pp/4P3/8/1P3PPP/1K1R4 b - -,g5g4
b1q1rbk1/6pp/2pp1n2/3Ppp2/2P1P3/5N1P/1PBB1PP1/1QR3K1 b - -,c8a6
8/8/3k4/Pn1p4/1N1Pp1p1/1P4P1/3K1P2/8 b - -,b5d4
2r2rk1/p3npbp/1p1qp1p1/1P6/3p1P2/P2B3Q/2PP2PP/R1B2RK1 b - -,e7d5
rn3rk1/p4ppp/1pNp4/1b1P4/8/Q5P1/PP2qPBP/R3R1K1 b - -,e2d2
4r1k1/p2q1bnp/7b/Q1R2p2/3p1P2/B2Pn1N1/P6P/3N1RK1 w - -,d1e3
4r1k1/pp3pp1/2n2np1/2p5/2P3P1/2B2PqP/PP4B1/2QR2K1 w - -,d1e1
8/3R1pk1/8/6P1/5P2/5K2/8/6r1 b - -,g1f1
r3k2r/p2nppq1/1p1p3p/2pP4/P1P4R/3QP1B1/5PP1/2R1K3 b kq -,h6h5
r5k1/1p2p1b1/1B1p4/1B1Pn3/5pP1/P7/1PR3P1/2K5 b - -,g8f7
r4nk1/6pp/2N5/P2nPp2/1p3P2/4B3/1P2K1P1/2R5 b - -,f8e6
3r2k1/b4p1p/2p1b1p1/q3p3/3rP3/P1NB2QP/1PP3P1/3R1R1K b - -,a5c7
8/1Rnk1p2/2r3pp/P7/4P2P/B2K1P2/6P1/8 w - -,b7b6
2r3k1/p1Nn2pp/5p2/PBq1p3/2p1P3/5N2/2Q2PPP/5RK1 b - -,c8c7
4r2k/p5pp/1bq5/4pp2/1P6/P2RP2P/4Q1PB/6K1 w - -,g1h1
1r2k3/4r3/p3PR1p/5p2/3Pb3/B1K2N2/2p2PP1/R7 w - -,f6h6
4r1k1/1b3n1p/1q1p4/4r1p1/1R1NPp2/2P2B1P/5QP1/3R2K1 b - -,b6a7
5r2/P3Rppp/4p3/4k3/2P5/7P/5PP1/6K1 b - -,e5f6
r3k1nr/1ppq1pp1/p1npb3/4p2p/4PP2/3PN1P1/PPP1N1BP/R2Q1RK1 b kq f3,e6h3
8/1p1k1p2/3b1Pp1/rp1P3p/4N3/3R1K1P/6P1/8 w - -,f3e3
5r2/pp1qnrbk/2n3pp/2p1pp2/2PpP2P/PP1P1PP1/1B4KN/R1Q2RN1 b - -,g7f6
r2r2k1/4ppbp/2pp1np1/p7/1qP1P1b1/1PN1BP2/P2QB1PP/2RR2K1 b - -,g4d7
8/3n1k2/1pp2p2/p1b2P1p/P1N4P/1PB5/2P3K1/8 b - -,f7e7
8/KP5k/6p1/4Q2p/q6P/6P1/8/8 w - -,a7b6
4rrk1/pp3pbp/3pn1p1/3Pp3/4PnP1/4BP2/PPB1N1KP/4RR2 w - -,g2f2
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,c4d5:g1f3:e2e3:b1c3:g2g3
6k1/p2n1p1p/p1p3p1/5b2/3R4/2N2B1P/1PP2PPK/4r3 w - -,f3c6
r1b1kb1r/pp3ppp/2p5/8/2B5/8/PPP1KPPP/R1B4R b kq -,f8d6
2r1r1k1/2q2pbp/p2p2p1/1p1Pn1P1/3B1Q2/P7/1PP2RBP/3R3K b - -,e8e7
6k1/pp2pp2/6p1/5b2/4pP1P/1P1Q4/P7/K6R b - -,e4d3
rn2k2r/pbpp1p1p/1p3qpb/5p1P/2PP4/2N1P3/PP2NPP1/R2QKB1R b KQkq -,b8a6
2k5/pp3p2/2p1pp2/4n3/4B1r1/2P3K1/P1P2P2/4R3 w - -,g3h3
r7/1n6/2p1k1p1/p3pp1p/P1PpN1P1/R2P3P/2K1PP2/8 w - -,g4f5
2k3r1/2p2pp1/2n4p/4P2N/P5P1/7P/P2R2K1/8 w - -,d2d5
1r3rk1/1p2qpb1/p2p1npp/2p1n3/2P1PP2/1PN1B1Pb/P2QN1B1/R4RK1 b - f3,h3g2
8/6k1/5R2/5pPp/5P2/6PK/8/2r5 b - -,c1c5
r1b2rk1/q3bp1p/p1N3p1/Q2R3n/2B1P3/5P2/4N1PP/5R1K b - -,a7b7
8/7p/2Q2qk1/1p1P4/1P6/6P1/6K1/8 b - -,g6f5
r3rk2/1pqb1pp1/p1nbpn2/4N3/2PP3Q/P2B4/1B1N1PPP/R3R1K1 b - -,b7b6
8/2Qnk3/2B2p1p/1P1p1q2/8/7P/7K/8 w - -,c7a7
1NRnk3/4b3/1Bp1p2p/4Pp2/8/7K/3r3P/8 b - -,e8f7
r4r2/pp1q1p1k/7p/2pnPPp1/P2p4/3P2NP/1PP3Q1/R5RK w - -,g2e4
8/8/1pk3pp/4K3/PR5P/2r3P1/8/8 b - -,c3g3
5r2/2pb1r1k/1p1p1qpp/1N1Pp3/P1P1Pn1b/4B3/2N3PP/R3QBK1 w - -,e1d2
3r3k/p2nqp1p/1p3pr1/3PpN2/2p3P1/P4Q1P/1P2PP2/3R1RK1 b - -,e7c5
2b2r2/p3npbk/1r2p1pp/8/3pN3/3P2P1/P1P1NPBP/1R3RK1 w - -,b1b6
rn3rk1/4pp1p/6p1/2p3N1/2B2P2/8/PbR2PPP/4K2R b K -,b2d4
3rk2r/1p2b1p1/p1p4p/P5pn/2BPP3/2N2PPP/1Pn3K1/3R1RB1 b k -,e7d6
r3k2r/2qn1pp1/p1pbpnp1/1p1p4/2PPP3/1PN2B1P/P1QB1PP1/R3K2R b KQkq -,b5b4
7k/3b1Bb1/3p2Pp/8/p2PrBP1/5n2/1P6/1K1R3R w - -,f4h6
2kr3r/1pp3p1/p2bppB1/3n4/6PP/8/PPPB1P2/R3K2R w KQ -,g6e4
8/7R/2pk4/p1p5/P1P3r1/1KPP4/8/8 b - -,g4g3
8/8/p7/1kp1r2p/3p3P/1P1K1R2/P7/8 b - -,b5b4
5bk1/1r4rp/p2p4/B1p1p2q/2P1Ppb1/1PNR4/P2R1QPP/6K1 b - -,g7g6
3r2k1/r2nbpp1/1q2p2p/pn1p4/R6P/1P1NP1P1/PB1Q1PBK/2R5 b - -,e7f8
r1bq3r/pp2bkpp/n1p2n2/3p4/3N4/2N3PP/PPP2PB1/R1BQ1RK1 b - -,h8e8
8/8/3R2p1/pP1Pp3/7p/3k3P/1r4P1/4K3 b - -,e5e4
2k5/8/7R/5pp1/P1P4p/3P3P/6PK/4r3 w - -,h6h5
8/p1p2k2/1p1p2p1/7r/1R2P3/2P1KP2/P1PR3r/8 b - -,h2d2
5k2/7p/1pp2np1/8/P4P2/1B3KP1/7P/8 w - -,g3g4
4r3/5kpp/8/8/8/BP3pP1/P5rP/3R1K2 w - -,d1d3
2r5/1p2Rpkp/p4np1/8/3n4/2N2P1P/PP4P1/5BK1 b - -,b7b5
r1bqkbnr/pp2pppp/3p4/2n5/4P3/2N1B3/PPP2PPP/R2QKBNR b KQkq -,c5e6:b7b6
2r1kb1r/5ppp/p1n1p3/P1qp4/Qp2P3/4BN2/1P3PPP/R3R1K1 b k -,c5b5
r2qk2r/pp1bb1pp/4pn2/1Ppp4/3p1B2/P4N2/4BPPP/RN1Q1RK1 b kq -,e8g8
r1bqk2r/ppp1bppp/3p1n2/8/1n2P3/2NBQN2/PPP2PPP/R1B1K2R w KQkq -,a2a3
8/5k2/7P/r6p/7P/3N1KB1/8/8 b - -,f7g6
8/8/p7/1k6/2p5/8/P1K5/8 b - -,b5b4
r2qkb1r/1p1nppp1/p1p2n1p/2Pp1b2/3P1B2/2N1PN1P/PP3PP1/R2QKB1R b KQkq -,e7e6
3r1rk1/p4p1p/1qQ2np1/4p3/2P5/1P5P/P5P1/4RR1K w - -,c6b6
rn2k2r/3qbppp/1p2p3/p1ppP3/3P4/2PQRN2/PP1B1PPP/R5K1 b kq -,b8c6
1r6/p5rk/7p/b3pp2/2Pp1nPP/3PP1R1/P1R2N2/6K1 b - -,b8b1
8/5k1p/2R5/8/8/2P3PK/2r5/8 b - -,f7e7
6k1/3RR2p/1p1p1p2/3b1P2/2p2P2/6P1/r6P/4K3 b - -,a2a1
3r1rk1/1bqnbppp/p1p1p3/1p2P3/5P2/P1N1B1Q1/1PP1B1PP/R4RK1 w - -,c3e4
2rq1rk1/1p2ppbp/p2pbnp1/n2N4/2P1P3/N3BP2/PP1QB1PP/R4RK1 b - -,f6d7
r1bq1rk1/pp3pbp/2pp1np1/4n3/2PNP3/1PN3PP/P4PB1/R1BQ1RK1 b - -,d8b6
6k1/1b2bpp1/2q1pn1p/1p6/3pPP2/1PrN2PP/2P1Q1BK/R3R3 w - -,a1a2
r4bnr/ppqk3p/2n2p2/3pp3/2pP4/P1P2NP1/1P2QP1P/RNB2RK1 b - -,a8e8
5rk1/5p1p/p2rb1p1/3p4/1P6/PR4P1/5PBP/3R2K1 w - -,b3d3
r1bq1rk1/1ppn1ppp/3ppn2/p5B1/2PP4/P1Q2N2/1P2PPPP/R3KB1R w KQ -,e2e3
4r2k/1b3rp1/p3p2p/1p1pPp2/P2N1P2/2P1R3/1PBn2PP/R5K1 b - -,d2c4
2r3k1/p1r1pp2/1p4pp/4P3/q1n2n2/B4R1P/BQ3PP1/2R3K1 w - -,c1c4
r1r3k1/pq3ppp/2pbp3/3p3b/N2P4/P2QP2P/1P1B1PP1/2R2RK1 w - -,b2b4
6k1/5p1p/6p1/2p5/8/1P6/r4PPP/5RK1 w - -,f1b1
5r2/1N4k1/p6p/1P2p3/P4p2/1RP5/3r1bPP/2R3K1 w - -,g1h1
1r3rk1/p1p1q3/P2pp2p/2Pb2p1/4N3/5B1P/2Q3PB/R6K b - -,e7g7
8/8/2Q5/8/7K/8/2kr4/1q6 b - -,c2d1:c2b2
1kb3Q1/8/2pN1p1P/1p1p1P2/8/PKbB4/2P5/4q3 b - -,b8c7
4b3/1p6/1P2k2B/3p1p2/3P1P2/4K2B/1P6/8 b - -,e8d7
r5k1/pp3pbp/6p1/q5B1/2P1Q3/1P4P1/P4P1P/3R2K1 w - -,e4b7
6k1/5p2/8/4Pb1p/3K1P1P/1r1p4/2pB4/6R1 b - -,g8h7
r5kr/5pp1/p1QPp2p/3pP3/1P3q2/2P2P2/P2N1P1P/R4R1K b - -,f4d2
1k1r2r1/1bpq1p1p/1p2p3/n2n4/P2PpN2/2Q1B2P/2P1BPP1/RR4K1 w - -,f4d5
r1b1kb1r/1pp1nppp/p1pq4/4p1B1/4P3/3P1N2/PPP2PPP/RN1Q1RK1 w kq -,b1a3:b1d2
r1q3k1/ppb2ppp/2p5/3r4/3P2b1/P1BN2P1/1PQ2P1P/2R1R1K1 b - -,g4f3
8/1q1k1p1p/3pb3/P1p5/7p/1PQ4P/5PP1/1R4K1 b - -,b7e4
r1bq1rk1/pp2bpp1/2n2n1p/3p2B1/8/2N2NP1/PP2PPBP/2RQ1RK1 w - -,g5f4
3q2k1/1p3p1b/5n1p/4N1p1/2Pp2P1/3P3P/5PB1/Q5K1 b - -,d8d6
2q3k1/2b2bnp/3p1Qp1/p2Pp3/PpN1P1P1/1P2B2P/6B1/6K1 w - -,c4d6
r2q2k1/1pp2rpp/pnn1bb2/2B1pp2/1P6/P1NP1NP1/2Q1PPBP/2R2RK1 b - -,c6d4
2r2k2/p3R3/1p2pBr1/2n4R/8/P1P5/K1P5/8 w - -,e7a7
rnbqk2r/1p2bpp1/p2ppn1p/8/3NP1P1/2N1BQ2/PPP2P1P/R3KBR1 b Qkq -,b8d7
2r1k2r/3n1p2/pq2b3/1p1pP3/3p2p1/6P1/PPBQNRP1/R5K1 w k -,e2d4
r3kb1r/pp1bpp2/3p1p1p/q7/3QPP2/2N5/PPP3PP/R3KB1R w KQkq -,f1e2:e1c1
1rr3k1/3b1ppp/pb1p4/1p1Pp3/4P3/3B1P2/PP1BK1PP/1R1R4 b - -,a6a5
8/2B5/6p1/5p1k/3K4/7n/7P/8 b - -,h5g4
1r2r1k1/6p1/2b2q1p/1NP2n1P/4p3/4B3/5PP1/R2QR1K1 w - -,b5d6
8/1pR2p2/4pp1P/3k3r/p4P2/8/P7/K7 b - -,b7b5
4r2k/4q1p1/R4n1p/5Q2/3N4/1Pp4P/b1B3P1/6K1 w - -,a6a2
8/8/2k3pp/8/4K3/8/3B1P1b/8 b - -,h6h5
8/8/4Q3/8/5kp1/5r2/5K2/8 w - -,f2e2
r1b2rk1/2qn1ppp/pp1ppn2/2b5/P3PB2/1N1Q4/NPP1BPPP/R4RK1 b - -,e6e5
8/8/PR3pkp/r5p1/6P1/6K1/8/8 w - -,g3g2
6k1/6pp/1B6/2p1pP2/2R5/P3b1P1/r6P/6K1 w - -,g1h1
6k1/1b3p1p/P5p1/3p4/P4b2/N4PqP/B5P1/6QK b - -,b7a6
