8/8/8/5p2/5Q2/3qp1P1/8/4k1K1 b - -,e1d1
rn1qkb1r/ppp2ppp/3ppn2/7b/3PP3/3B1N1P/PPPN1PP1/R1BQK2R b KQkq -,f8e7
2R5/2P2r2/6p1/4p1k1/1K4p1/6P1/5P2/8 b - -,g5f5
8/5p1p/4b3/3pk2P/1R4P1/2P2K2/3b4/8 w - -,b4b3
R7/3n2pp/2kp4/p7/1pP5/6P1/1P4KP/8 b - -,d7b6
r4kb1/4N1br/2p2pQ1/p1B2P2/P1n1P3/3R4/1P3RPq/5K2 b - -,g8f7
4r1k1/3RbN1p/2p1p3/p7/6P1/3K1R2/PPP3r1/8 b - -,e7f8
2krr3/1p2npp1/p1p1pn1p/4P2P/2PP2P1/1P3BN1/1P6/2KR3R b - -,f6h7
4b3/1pb5/p3pk2/4N2p/3K4/5B2/PP6/8 w - -,e5d3
5k2/4p3/1p1p2p1/1B1P2P1/1P2KP2/P6b/8/8 b - -,e7e6
1r4k1/2p3pp/p1p1r3/2Bp1b2/8/1P3P2/P1PR1KPP/R7 b - -,b8e8
8/2k3p1/2p1p2n/2Pp4/3PpP1P/2b1P2K/1R3B2/8 w - -,b2c2
6rk/pB1P1p2/5b1p/8/1n3Pq1/8/1P2R2P/3Q3K w - -,e2d2
4rrk1/1qp3pp/p2bb3/3pQ3/8/1PN1B2P/P1P2PP1/4RRK1 w - -,e5h5
2r5/7p/P3k3/6p1/1P3b2/1KP2R2/7P/8 w - -,f3h3
r1q1r1k1/3n1ppp/p1p2b2/1p1p4/5BP1/P1P3Q1/BPP2PP1/3RR1K1 b - -,g7g5
6k1/1p3pp1/p2n3p/3P4/6B1/5KPP/PP3P2/8 w - -,b2b4
5r1k/7p/3p1b1Q/2q2p2/4p3/6P1/5P1P/2R2BK1 b - -,f6g7
1k1r3r/pp3p1R/4p3/4P3/3P2P1/3Q4/PP4q1/1K1R4 b - -,h8h7
5rk1/Q4ppp/3Rb3/2p1q3/8/P4BP1/1r2PP1P/R5K1 w - -,d6d1
4k3/5pQ1/4p3/4Pp2/4r3/5KP1/8/8 b - -,e8e7
r1b2rk1/pppnqppp/5n2/4p3/2P5/P1B1PN2/1PQ1BPPP/R3K2R b KQ -,e5e4
8/2P5/1B1k4/7p/1N2n3/5p1P/4nP1K/8 b - -,d6d7
2r2rk1/1pqnbppp/p3p1b1/P2pP3/1PPN1B2/5P1P/4B1P1/2RQ1RK1 b - -,e7b4
r1b1k2r/5pp1/p1p1p2p/q2pP3/1b6/P1NB4/1PPQ1PPP/R4RK1 b kq -,b4e7
8/7p/2PR2b1/2r2pk1/1R6/5B2/6PK/2r5 w - -,h2g3
2r5/2b1Bk1p/1p2p3/2n2p2/8/5PP1/P2R3P/7K w - -,e7g5
8/r1k3pp/1pP1p3/1P1r1p2/1R3P2/6KP/2R3P1/8 w - -,c2e2
2r3k1/pq4pp/1pbBp3/4Pr2/2P5/1QR1R1P1/P4P1P/6K1 b - -,b7f7
r4rk1/pbqnppbp/2pp2p1/8/1PP1P3/6P1/P2N1PBP/1RBQR1K1 b - b3,d7e5
r1b1r1k1/1p3pb1/2pp2pp/pP4q1/2PNP3/5Q1P/P1B2PP1/3R1RK1 b - -,g5c5
r4rk1/3qppbp/6p1/p1Rn4/1p1PN3/3Q1P2/PP3BPP/2R3K1 b - -,d5f4
r4rk1/pppn1ppp/3q2b1/b2Pp3/2B3PN/2P4P/PP3P2/R1BQ1RK1 w - -,a2a4
6k1/1r1n1ppp/3Rn3/2p1p3/2N1P3/1P3P2/1B4PP/6K1 w - -,c4e5
r1b2rk1/ppq1p1b1/4pnpp/6N1/2N2Pn1/1BP5/PP2Q1PP/R1B2RK1 w - -,g5f3
r1br1n1k/2q1b1pp/p2ppp2/2p5/2B1P3/N1P3P1/PP1RQP1P/3RN1K1 b - -,c8b7
6k1/p1Q4p/6p1/8/8/1P2P1P1/P4PPK/3q4 w - -,c7b8
r1r3k1/1p1nppbp/p1np2p1/q7/2P1PPb1/P1N1BN2/1P1Q2PP/1BR2RK1 b - -,b7b5
r2qkb1r/pp1nnppp/2p1p3/4Pb2/2BP4/P1N5/1P2NPPP/R1BQK2R b KQkq -,d7b6
r1bqk2r/ppp1bppp/2p1n3/4Q3/8/5N2/PPPP1PPP/RNB1R1K1 w kq -,b1c3
6k1/5p2/6p1/p7/P2Q2P1/4P2K/6P1/4q3 w - -,d4f4
8/8/p3pp2/1bn1k1pp/8/1B2KPP1/PP3N1P/8 w - -,b3c2
4r1k1/2p2p1p/r5p1/pp1pP1B1/2nP1PN1/b1P4P/P5P1/1R2R1K1 b - -,e8b8
r2r2k1/pp1bqppp/2pbpn2/4N3/2PP4/1P4P1/P3QPBP/R1B2RK1 b - -,d7e8
r1b2qk1/1p3pb1/2pp1rp1/p1n1n2p/P1PNPN1P/1P2BPP1/3Q2B1/1R1R2K1 b - -,g8h7
3r1r1k/ppp2bpp/5q2/4pPp1/4Q3/2PPR1N1/PP4PP/R6K b - -,f8e8
3r4/3Pp2p/P1K3p1/3Pb3/4p3/3kR3/5PPP/8 b - -,d3d4
r2q1nn1/1b2b1k1/p1pB2p1/1p2P3/3PN3/1Q6/PPP1NPP1/R3K3 b Q -,b7c8
1N2k3/1n4pp/4pp2/1P6/3K4/5PP1/7P/8 b - -,e8e7
2b2k2/3nq1pp/p4p2/P3p3/1pB1P3/4QN2/1P3PPP/6K1 b - -,c8b7
2R3k1/p2qpp1p/1p4p1/3Pb3/4P3/1Q2B3/P4PPP/6K1 b - -,d7c8
8/7R/3k2p1/5p2/7P/P3p1P1/1KP5/5r2 w - -,h7g7
8/8/2n1k3/3p4/5K2/1B6/8/B7 w - -,f4e3
r1bqkb1r/p2n1p1p/2n1p1p1/2ppP3/1p1P1P2/2P3PB/PP1NN2P/R1BQK2R w KQkq -,d2f3
8/5pk1/4b1pp/pR2p3/3pP3/r2P1PP1/4BK1P/8 w - -,b5e5
1R6/6kp/p5p1/2p3N1/2Pb4/7P/PP3r2/1K6 w - -,g5e6
1r1q1rk1/3n2bp/p2pp3/2p2p2/1pPn1P2/2NPBB1P/PP3QP1/3R1RK1 w - -,c3e2
r1b1k2r/p2n1ppp/2p2n2/1p2p3/4P2B/1BP2N2/P1P2PPP/2KR3R b - -,c6c5
8/7p/8/1kP5/7P/4q3/P1PR4/2K5 b - -,b5c5
8/1p6/3k1K2/pP6/P5R1/7P/6P1/4r3 b - -,d6c5
2rqnrk1/pp2bpp1/2npb2p/3Np3/2P1P3/1P2BN1P/P4PP1/R2QRBK1 b - -,f7f5
2kr3r/pppqn1pp/2np4/2B5/4pPP1/1PN4P/b1P1Q3/2KR1B1R b - -,d7e6
r1qn1rk1/p2p1p1p/1p1R2p1/2p3N1/2P5/6P1/PPQ1PPbP/3R2K1 w - -,g1g2
8/1p1r3k/p4R1p/2P5/1P6/P5p1/6P1/4K3 w - -,e1e2
3R4/4pk2/1r3b2/4p1pp/p1r5/P1B4P/1P1RKPP1/8 b - -,h5h4
r5k1/p1q2ppp/bp2rn2/3pN3/1B1Pn3/1P4P1/P4PBP/R1R3K1 w - -,c1c7
rn1q1rk1/pb2bppp/1p1p1n2/2pp4/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f3g5
7k/p7/1p4KP/3p2P1/8/1P1Bb3/P7/8 b - -,e3d4
5rk1/3nQp2/p5p1/2BN4/3bq3/8/7P/4RRK1 w - -,f1f2
2k4r/ppp5/q7/3n1p2/1P1Pp3/P3P3/2QK1pBb/5R1R w - -,g2e4
4k2r/r3bpp1/pn2pnp1/qp1p4/3P4/1QN1PB1P/PP3PPB/2R2RK1 w k -,c3e2
2r1qrk1/2nnp2p/p1B1b1p1/1pN1Pp2/PPp5/6P1/1BQ1PP1P/2R2RK1 w - -,f1d1
r3r1k1/1pq2p1p/n1p1b1p1/p1P1p3/Pb2P3/2NBBP1P/1P3QP1/R4RK1 b - -,c7e7
2n5/4pk2/p2p1p1p/1p1P1P2/1P2PPK1/P7/5B2/8 w - -,g4h5
5r1k/3q2pp/2np4/p2Np3/4P3/1PPQ4/6PP/R5K1 b - -,d7b7
5r2/2r3k1/1pBR2pp/pPb2p2/P1P5/6P1/4R1K1/8 w - -,d6e6
1r1r2k1/1B2n1bp/4Pn2/2p1pp2/2P5/2N3P1/P4P1P/1R3RK1 b - -,d8d4
r2Q1rk1/pp3ppp/2n1b3/4P3/1Pp5/4BN2/P3K1PP/R4R2 b - -,f8d8
r1bq1r2/ppp2pk1/2n3p1/4p3/3PP2R/1QP2N2/P4PP1/2KR1B2 b - -,e5d4
rn2Q3/bpnq1P1p/2k4B/3ppP2/p1rP4/P5PP/1P1R2B1/5RK1 w - -,e8g8
6k1/5pp1/2n1p2p/2N1P3/r1n4P/5NP1/5P2/1R4K1 b - -,a4a3
r4rk1/p3qpp1/1n1p1n1p/2pPp3/R1P1P3/1NP3P1/4QPKP/2B2R2 w - -,a4a3
r1r3k1/p2qb1pp/npb1pn2/1N1p1p2/P2P4/1Q3NP1/1P1BPPBP/2R2RK1 w - -,f3e5
rnbqkb1r/ppp2ppp/5n2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq -,c8e6:c7c6:f8e7:f8b4
4r2k/3p3p/p1bB1p2/4p3/2P2rPP/1P2KP2/P4R2/3R4 b - -,h8g7
r5k1/5pp1/4n3/1p3qp1/8/1P2B2P/4QPP1/2R3K1 w - -,b3b4
3q1rk1/4p2p/p2p2p1/n1pPnb2/2PbN3/Q4PP1/P2NK1BP/1RR5 b - -,a5c4
r2qr1k1/3b1pbp/3p1np1/1BpPn1B1/8/2N2PN1/PP1Q2PP/2KR3R w - -,b5d7
8/8/8/6K1/4k3/4R3/8/8 b - -,e4e3
3bk3/1p6/1P1R2p1/2P2p2/2K3p1/6Pp/5P2/8 b - -,g6g5
2r4k/1q2bppp/p2p1n2/1pr1nP2/8/P1N3Q1/1PP1B1PP/2BRR2K w - -,c1e3
2r3n1/1b3pkp/pp2p1p1/4P3/2R1B1P1/7P/PP6/4R1K1 b - -,c8c4
1rb2rk1/p3pp1p/2p2npQ/8/1q2p2P/1PN2P2/PKP3P1/3R1B1R w - -,h4h5
6Q1/8/1p3qpk/p6p/P7/1P3PP1/6PK/8 w - -,g8b8
r1b1kb1r/1p1n1pp1/p2ppn1p/q7/4P2B/1NN5/PPP1QPPP/2KR1B1R b kq -,a5c7
r1bqr1k1/pppn2bp/3p2p1/3Ppp2/2P1P3/2NNBP2/PP2Q1PP/R4RK1 b - -,f5f4
6Q1/q7/5k2/2pB1p2/4p1p1/1P2P1P1/2n2P2/5K2 w - -,f1e2
1rb1k2r/1pqnbp1p/p2pp3/5N2/2n1PpP1/2N4P/PPP1Q1B1/1KBR3R w k -,c1f4
r5k1/3r2b1/p2p2pp/1p1P4/1P2pp2/R1P2P2/1P3BP1/R5K1 w - -,f3e4
8/8/r1p1R3/5p2/8/1P2p1P1/2K1k2P/8 w - -,e6e5
b7/3r1pk1/p3p1p1/2rp4/4PPpP/1P4P1/P2R2B1/3R3K w - -,h1g1
r3k1r1/pp3p1p/8/2ppbP2/5Bn1/2PP2P1/PP4BP/3R1RK1 b q -,e5f4
2r2rk1/p2q1pb1/1p4p1/2pP3p/2Q5/P2P2P1/1P1B1P1P/1R2R1K1 b - -,b6b5
r1b1r1k1/ppp1qpp1/3p1nnp/4p3/2PP3B/P3PN2/1PQ1BPPP/R4RK1 w - -,h4g3
r3r1k1/1pp2ppp/2n5/3n2PN/p1q1p3/P1B1P3/1PQ2PP1/R2R2K1 w - -,d1d5
r2qkb1r/1ppbnppp/p1n1p3/3pP3/3P3P/2N2N2/PPP1BPP1/R1BQK2R b KQkq h3,h7h5
r3r1k1/ppq3pp/2p1pn2/3n4/8/1QN1P1b1/PP2BPPP/R2R2K1 w - -,h2g3
3q1rk1/pp1bppbp/5np1/4p1B1/2r5/2N2P2/PPPQN1PP/2KR3R b - -,c4c7
8/4kp1p/1R6/4pP2/8/1P1p1KPP/1r6/8 w - -,b6b4
4r1k1/5pp1/1NQbq3/3p4/3P3p/4P1P1/5P1P/2R3K1 b - -,h4g3
r3k2r/1bp3bp/pp4p1/2pnPp1q/2P5/1P1N1P2/PB1P2PP/RN2QRK1 b kq c3,d5e7
3B1rk1/p4ppp/bpr1p3/3pb3/2P5/1P2P1P1/P4PBP/RN2R1K1 w - -,c4d5
rnbq1rk1/pp3ppp/5n2/3p4/1bPN4/2NB4/PP3PPP/R1BQ1RK1 b - -,b8c6
8/3k2pp/1p1bpn2/1p2p3/pP2P3/r2N1P2/2R1K1PP/2R5 b - -,a3b3
r3n1kb/1q1b1p1p/3p2pP/1prPp3/pN1nP3/P1NBBPP1/1P4K1/2RQ1R2 w - -,d1e1
r1b2rk1/p2n2pp/2p1p3/3q1p2/PppPnB2/5BN1/1P3PPP/R2QR1K1 b - -,d7f6
3r1rk1/p1p1pp1p/2p3pb/2N2b2/8/PP2P3/RBnP1PPP/2K2B1R b - -,d8d5
rnbqk1nr/4ppbp/2pp2p1/p7/1p1PP3/PB3N2/1PP1NPPP/R1BQK2R b KQkq -,b8a6
r1b1kb1r/1pq2ppp/p1nppB2/8/4PP2/1NN5/PPP1Q1PP/R3KB1R b KQkq -,g7f6
8/4k3/3R4/3NK3/8/8/8/r7 b - -,e7f7
5q2/7p/p2p2pk/1p1P1r2/1P5P/3PQP2/P4P2/4R1K1 b - -,f5f4
rnbqr1k1/1p3pbp/p2p1np1/2pP4/P7/2N2NPP/1P2PPB1/R1BQ1RK1 b - a3,b7b6
4rqk1/p1pp1npp/1pn1pr2/2P5/3PQ2P/2PN1P2/P5P1/R1B2RK1 w - -,c1f4
7k/6pp/8/4B3/8/5P2/rp4PP/3R3K b - -,h8g8
r2qk2r/1b1nppb1/p2pNnpp/1ppP4/4PP2/2NBB3/PPP3PP/R2Q1RK1 b kq -,f7e6
r2q1rk1/ppp2ppp/2bb4/3Q4/3Pn3/3B4/PPP2PPP/RNB2RK1 w - -,d5h5
5r2/1bp1r1k1/1p1p2pp/pB1Ppp1n/P3P3/2P2PP1/1P1N3P/R4RK1 b - -,e7f7
8/4Q1k1/6b1/p1pnp1R1/8/P1nP1BP1/Pr3PKP/8 b - -,d5e7
2rr2k1/p1q1ppbp/1p4p1/2p5/P2P4/2P1PB2/Qn3PPP/2RR2K1 w - -,a2b2
3R4/7p/4n1pk/4B3/3PK2P/2r2P2/8/8 w - -,d8d7
2rN2k1/p1q3pp/bp2pn2/8/1bnP4/6PB/PB1NQP1P/2RR2K1 b - -,b4d2
r1b3k1/1pq1r1bp/2p3p1/5p2/NRPBnP2/P1P3PP/5QBK/1R6 w - -,g2e4
2r1qr2/1p4pk/p6p/2nPpp2/P7/4QN2/5PPP/2RR2K1 b - -,e8a4
r3rnk1/ppq2p2/2pp1np1/1P2p2p/2PP4/Q1N1PB1P/P4PP1/2RR2K1 b - -,e5e4
1r6/2R5/pP2k1p1/P2b1p1p/4pP1P/6P1/4PK2/1R6 w - -,b6b7
8/4Q3/6pk/3qp2p/7K/6P1/3N4/8 w - -,e7f8
r1bq1rk1/ppp2pbp/3p2p1/3Pn3/8/2P1BNQ1/PPB2PPP/R3R1K1 b - -,e5f3
1n1q1rk1/r3bppp/pp2pn2/4N1B1/2QP4/2N2b2/PP3PPP/R4RK1 w - -,e5f3
rnb1kb1r/ppp1pppp/3q1n2/8/3P4/2N4P/PPP2PP1/R1BQKBNR b KQkq d3,c7c6
r6k/ppp5/2n3Qp/4P1p1/8/4q3/PP4PP/5RK1 w - -,g1h1
r2qk2r/pp1nbpp1/2p1p1bp/N3Pn2/2pP4/5N2/PP1BBPPP/2RQ1RK1 b kq -,d8c8
4r3/4rpkp/8/3RnR2/Np6/1P6/P6P/1K6 b - -,e5c6
6k1/5p2/3p2p1/2pPq2p/4P3/4QP1P/3r2P1/1R4K1 b - -,d2b2
2bqr3/1p3kpp/5p2/2pPnP2/4P3/8/1B2B1PP/Q4RK1 w - -,e2h5
r2q1rk1/pb1nbppp/1p2p3/2p5/3P4/1PB3P1/P2NPPBP/2RQ1RK1 b - -,b7g2
8/5k2/3R1p2/7p/4PK1P/r4P2/8/8 b - -,a3b3
2r2r1k/1p1npqbp/3p4/5p2/1PPB4/5P2/3Q2PP/2R1RB1K b - -,d7f6
8/7p/2r2k1R/5p2/4bB2/8/1PP3P1/1K6 b - -,f6g7
3r1r2/Np4kp/3n2p1/3ppp2/PQ1PP1q1/6P1/1P3PKP/R3R3 w - f6,d4e5
8/8/p7/kr1nR3/6PK/6Q1/1q5P/8 b - -,d5c3
5r2/1n1b2nk/3p1ppN/2pPp3/1q2P1Pp/1P2QN1P/2B2P1K/6R1 b - -,c5c4
r2qk3/1p3p2/p1bp1npr/4p2p/4P3/1NP3P1/PP3PBP/R2Q1RK1 w q -,d1d2
r1b1k2r/pp4pp/2n5/5p2/1q1P4/2N2P2/PP1Q2PP/R3KB1R b KQkq -,b4d4
5k2/3n3p/1p1R1p2/1P2pP2/4P2P/r4B2/4K3/8 b - -,f8e7
r1b2rk1/1pp3pp/p2p1nq1/1P6/2P2pP1/P2P1N1P/2Q1P1B1/2KR3R w - -,a3a4
r3r1k1/3b1pp1/2pq1n1p/3p4/3P2n1/2NBPNP1/2Q2PP1/1RR3K1 w - -,b1b6
r1bqk2r/1p3ppp/p1np1b2/3N1p2/P1B1P2P/4P1P1/1PPQ4/R3K2R w KQkq -,a4a5
5r2/6k1/2bp2pp/1p2b3/1R6/2P2PP1/1P4K1/5R2 w - -,g3g4
r2r1bk1/1p3p1p/p1p1p1p1/8/1PnP4/1NP2B1P/1P3PP1/3RR1K1 w - -,e1e2
1r6/p1p1kR2/8/4b1Np/7P/P5P1/4K3/8 b - -,e7e8
6k1/p3b1p1/1p2P2p/8/7P/3r2P1/P4P2/5BK1 w - -,f1d3
r3kb1r/pq1p1ppp/np2p3/4P1N1/3P4/2PQ4/P4PPP/R1B2RK1 b kq -,f7f6
r1r3k1/5pp1/1n5p/pqNp1b2/1n1P4/1Q2P1B1/5PPP/R2RN1K1 w - -,g3d6
8/1p3R2/8/2p5/2P3k1/1P3p1p/2K1r2P/8 w - -,c2d3
8/p2bk3/1p3p2/3p2p1/1P1P2P1/P2BKP2/8/8 b - b3,e7d6
r3k2r/ppqb1p1p/4pp2/8/8/3QB3/PPP2PPP/R4RK1 b kq -,d7c6
3qkr2/b1r4p/p1ppb3/4np1Q/1P3R2/P3P1N1/1B1P2BP/6RK b - -,e8d7
r2r2k1/2q2ppp/2p1bn2/p3p3/Pp2P3/3BN3/1PP1QPPP/R4RK1 b - -,d8d7
1r2br2/1q2p1kp/pn1p1pp1/2pP1PP1/2P1P2P/1PN1Q2B/5R1K/R7 w - -,f5g6
2r1r1k1/1p1q1pbp/p1n1p1p1/8/1P1PB3/P3BQ2/5PPP/3RR1K1 w - -,d4d5
8/8/3n4/pp4pp/3k4/1P5P/P2K1N2/8 w - -,f2d1
4r1k1/ppq3pp/2pp4/4nP1n/5p2/P4P2/1PQB2PP/1B3R1K b - -,d6d5
r4r2/5p2/6k1/3p2pn/p2N4/3P1R2/PP3PP1/1K1R4 w - -,d1e1
3r3r/p1kn1ppb/2p1pn1p/4N3/2pP3P/2P3N1/PP3PP1/R4RK1 w - -,e5f7
r3k2r/ppp1qppp/2n1bn2/3p4/P2P4/2PB4/2P1NPPP/R1BQ1RK1 b kq -,e7d7
5R2/ppk2pp1/2p1p3/3n2P1/5N2/5P2/PPb2K2/8 b - -,c7b6
6k1/2nbq2p/1p1p1bp1/p1pP1p1n/P1P5/2N2N1P/1P1B1PP1/3BQ1K1 w - -,e1e7
r2q4/1pp2pk1/p5p1/3Pb3/1P5r/P1N2Q1P/5PP1/2RR2K1 b - b3,d8d7
1q1r2k1/1br2pb1/pN1pp1pp/P3n3/1QP1P3/1N2BP2/2P3PP/1R1R2K1 b - -,g7f8
8/3b1pkr/2p1pBp1/3pP2q/3P1P2/PPR3Q1/1KP5/8 b - -,g7f8
2r2k2/R5p1/2p2nbp/1p1pB3/6P1/2P1KP2/BP4P1/8 w - -,b2b4
7k/n3n1pp/1p3p2/p2qp3/P6N/P1P3P1/4QP1P/2B3K1 b - -,a7c6
2kr3r/pp3R1p/2p1p3/2n5/2PP4/P4q2/1P2N2P/R6K w - -,f7f3
6k1/p4pNp/1p4p1/2np4/P7/6PK/1R3q1P/1Q6 b - -,f2f3
8/5r2/2Q3p1/p3pq1p/P5k1/2P3P1/1R3P1K/8 b - -,h5h4
1k2rr2/ppp4p/6p1/2b1n1B1/8/2P2N2/PP4PP/R4R1K w - -,f3e5
r4rk1/1p1n1pbp/1pb3p1/2p1p2n/2P5/P3PN1P/1P1NBPPB/R4RK1 w - -,g2g4
