1R6/1P4k1/1r5p/8/6PP/4p3/8/2K5 w - -,c1c2
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQ -,c7c5
r4rk1/ppqbnpp1/2n1p2p/2ppP3/P2P4/2P2N2/2P1BPPP/R1BQ1RK1 w - -,c1a3
3k1b2/1p1r3p/r1p1ppp1/8/P1RP4/1R2PPB1/4KP1P/8 w - -,e3e4
r6r/2pbq1k1/1p1p2pb/p1nPp2n/2P1P3/1P3PP1/P1Q1BN1R/R4NBK b - -,a8f8
4r1k1/3q1pb1/1r4np/2pP2p1/2Rp2P1/P2P1N1P/3BP1Q1/5RK1 b - -,d7d5
5rk1/p7/1pp2r1p/3P2pn/7q/3QB3/PP4P1/3RR1K1 w - -,e3d4
r1b3k1/1p4p1/p1p1pr2/5q2/3P1P2/P3Q1P1/BP4K1/2RR4 w - -,d1h1
r2r2k1/pp2b1pp/n3p3/PNP2p2/8/4P3/1P1B1PPP/2RR2K1 b - -,e7c5
4n1k1/2r1qp2/6pQ/p2Pp3/1p2P3/3R4/PP2B1PK/8 b - -,e8d6
r1bq1rk1/1p3ppp/2n2n2/2P1p1N1/1pPp4/6P1/PPQNPPBP/R4RK1 b - -,c8g4
4rrk1/1p5p/2pp2pb/p1q2p2/2PpPP2/3P1B1P/PP3QP1/4RRK1 w - -,f2h4
8/q7/6pk/5p2/p6p/K6P/1RR3P1/8 b - -,h6h5
r4rk1/p2q1pbp/b1p3p1/2p5/8/P2PB1P1/1P2QPBP/1R1R2K1 b - -,f8d8
4R3/r7/3k4/5b2/3K4/2B3P1/7P/8 b - -,a7a4
5r1k/1br2pp1/p1N1p2b/1p6/3PB3/7Q/1P3PPP/1K5R b - -,b7c6
8/8/1P2pk1p/2K2p1P/2R5/p7/8/5r2 w - -,b6b7
rnq1nr1k/5ppp/1pp5/p1Pp2P1/3P4/1PN4P/P2Q1PB1/4RRK1 w - -,c3a4
3r2k1/2R3p1/5p1p/2K2P2/6P1/8/2nB4/8 w - -,d2c1
2Rb2k1/p4pp1/7p/q7/3P4/1r2BQP1/5P1P/6K1 w - -,f3e4
3r2k1/p1q1pp1p/4bnp1/2p5/Q1p2P2/2N1P3/PP3PBP/3R2K1 b - -,d8d6
8/3R4/2pbk1p1/6P1/2b2P2/6K1/3B4/8 w - -,d7d8
4r2k/p1p3n1/1p5p/1P1B1pp1/P7/5PP1/3R3P/4Q2K b - -,e8e1
8/6R1/4k2p/B2p2p1/4p1b1/4P1P1/5rnP/6NK b - -,g2e3
4q1k1/p3rppp/2p1n1b1/2p1PB2/2Pp3P/1P1P2Q1/P4R2/4R1K1 w - -,g3g4
3R4/2r2p1k/4p1p1/4q2p/3nP2P/5BP1/5PK1/4Q3 w - -,e1e3
2r3k1/p1r2pp1/4b2p/1PRp4/P2B4/5BP1/5P1P/2R3K1 b - -,c7c5
8/4Q3/6p1/8/1p4k1/1P6/P7/1q4K1 w - -,g1g2
rnb1k2r/pp2bppp/4pn2/2q5/8/2PB1N2/PP1N1PPP/R1BQK2R b KQkq -,e8g8
3r1kq1/p2r1p1p/2bppQ2/2p5/2P5/5PP1/PP1RPKN1/3R4 b - -,g8g7
8/pK2k3/1p3p2/1P3Bp1/n1P3P1/8/8/8 b - -,e7d6
5B2/3k2p1/4P3/3P2b1/3NKn1p/8/8/8 b - -,d7e8
6k1/p4p2/2p2rp1/2pP1q1p/3b4/1P1P2P1/P3R1QP/2B4K b - -,c6d5
5r2/5r2/p2pb2k/2p1p2p/PpPn2P1/1P1P1P2/3N2K1/1R1BR3 b - -,e6g4
2rr2k1/1q3pp1/pn1Pp2p/3n4/Pp1P1B2/1Q3B2/1P3PPP/R4RK1 w - -,a1c1
8/R7/3b4/3k1K2/P2P4/2n5/8/8 b - a3,d5d4
8/4k2p/p1R5/P7/r1PKpP2/8/5P2/8 b - -,a4a5
3r2k1/pp4p1/2p2p1p/8/3Pn3/4P1B1/PPR3PP/5K2 b - -,g8f7
2r1qrk1/1b2ppbp/p2p1np1/1p6/3BP3/1BN2P2/PPP2QPP/3RR1K1 b - -,e7e5
rnbq1rk1/1p2ppbp/p1p2np1/3p4/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,d1b3:a2a3:c1d2:h2h3:a2a4
8/1P4kp/3p4/q7/6p1/7P/1Q4P1/7K b - -,g7f7
1k2r1r1/pp2Bp2/4b3/3pPp2/2qP1Q1N/2P1R2P/5PP1/4R1K1 b - -,e8e7
4Qbk1/5pqp/b2B2p1/2pP3n/p3P3/5NPP/1n3PBK/4R3 b - -,c5c4
2r5/p5kp/1q2p1p1/4p3/2p5/2P3P1/PP2Q2P/3R2K1 w - -,g1g2
3rr3/p3ppkp/1pp3p1/q3Pb2/8/2PPRN1P/P2Q1PP1/R5K1 w - -,f3h4
r1b3r1/2q2kPp/2p1pppB/pp6/3PN1P1/1B3N2/PP3P1P/1K1R3R b - -,a5a4
8/5p2/1p4p1/p2n1k2/P2r3p/R2N3P/1P2KPP1/8 w - -,a3a1
3R4/5k2/p1r3pQ/1p2rp2/1Pq5/4PP2/n5PP/5RK1 b - -,e5e7
8/3kp2p/1r1n1pp1/8/1pp1P3/5PP1/PR3K1P/1R6 b - -,b6a6
6k1/1b4p1/2q4p/2P5/4p3/4QB2/6PP/6K1 w - -,f3e2
3r2k1/5p2/P3b1p1/8/4Pp2/2QB1P1p/1PP4q/2K2R2 w - -,b2b4
r2r1nk1/1b2qp2/p1nN2pp/1p2P3/3p1PP1/7P/PP1Q1B2/1B2RRK1 w - -,b1e4
rnbqk2r/1pp1bp1p/p3p3/5p2/3P4/3B1NN1/PPP2PPP/R2QK2R b KQkq -,c7c5
8/6p1/1kqQ3p/1p3P1P/p7/P7/8/6K1 w - -,d6b8
8/K1R5/3p4/7p/8/4k3/6PP/8 b - -,d6d5
8/P1R5/4p1p1/1kPb3p/2r2B2/6P1/2K4P/8 w - -,c2d3
8/8/7R/6p1/3k1Pn1/6P1/4P1K1/1Br5 b - -,g4h6
1r1r4/1BQ2pkp/p5p1/2p1nq2/2P5/2P1P2P/P4PP1/1R3RK1 b - -,e5c4
r3kbr1/1p1b1p1p/pqnppp2/8/4P3/1NN5/PPP1BPPP/R2Q1RK1 b q -,e8c8
r2r1nk1/1p1q1pp1/p1p1b2p/8/1B1PQ3/PB6/1P3PPP/3R1RK1 w - -,b3c2
8/8/5kp1/2bB1p2/2P4P/3R2K1/2r5/8 b - -,c5d6
2n3k1/pp1r3p/3P1pp1/P1B1b3/8/1P5P/4K1P1/3R4 w - -,c5a3
1k4q1/1b2n3/pp2rp2/2p2BB1/3p2Q1/3P2P1/PPP5/5RK1 b - -,e6c6
2kr1bnr/pppb1qpp/2n1pp2/1B1pP3/3P4/P1N2N2/1PP1QPPP/R1B1K2R w KQ -,c1e3
r3qrk1/ppR1b1p1/3n1n1p/3Pp2P/8/4B1P1/PP1NQPB1/4K2R b K -,e7d8
r2q1rk1/1ppb1pbp/3pnnp1/4p3/1PP5/2NPPNP1/5PBP/1RBQ1RK1 w - -,d1b3
1r4k1/6pp/Rb2p1p1/3pPq2/3P3P/1r3N2/4QPP1/5RK1 b - h3,h7h6
2r2rk1/1p1bq1pp/2nNnp2/p1P1p3/3p4/PP1P1NP1/2Q2PBP/R3R1K1 b - -,c8c7
r1b2rk1/p1q2pbp/1p2pnp1/2p5/3P4/2PBBN2/PP1Q1PPP/R4RK1 w - -,e3f4
2b2rk1/1p1pppbp/2n2np1/qN6/B3P3/2P1B3/PP3PPP/R2QK2R b KQ -,f6e4
8/b1p2q1k/p1Pp2p1/P3r2p/8/7P/2Q2PP1/1B3RK1 w - -,g1h1
2Q2kr1/1pN2q1p/1P1r1p2/p2p4/P2Pp3/8/2P3PP/5RK1 b - -,f8g7
r2qkb1r/2p2ppp/p1n5/1pnpP2b/5B2/2P2N1P/PPB2PP1/RN1Q1RK1 b kq -,c5e6
1r5k/p2nppbp/2p3p1/q1Pp4/3P1PP1/2N1P2P/P2Q2B1/1R4K1 w - -,b1b8
k7/1n1r3p/p2qN1P1/8/P7/4Q1P1/5PK1/1R6 b - -,d6d5
r4rk1/1bp1qpb1/pp4p1/2n4p/P1B5/2P1PN1P/1P1RQ1P1/3R1NK1 b - -,b7c6
2b5/1pr2nkp/pR1p1pp1/P1rPq3/2P1P3/3B3P/3QN1P1/1R5K b - -,g6g5
2Q4k/ppp4p/3p4/3P1r2/2P3q1/8/PP4P1/4R1K1 b - -,h8g7
8/1p2rpp1/p2kn2p/3p4/3P3P/PP1KR1P1/5PB1/8 b - -,e6c7
8/5kp1/3b4/2pPpPB1/2P3KP/8/8/8 w - -,h4h5
4rrk1/1p1b2n1/p2p1N1p/6p1/2PPP3/6PP/PP4BK/3R1R2 b - -,f8f6
r4rk1/ppq2b1p/2nb1pp1/3p1p2/1P1P1P2/2PN1Q2/PB1N2PP/R4RK1 b - -,a8e8
2r2rk1/pp1qppbp/2p2n2/N4p2/PP1P4/4P3/2QB1PPP/2R2RK1 w - -,f1d1
8/8/5rk1/4Rp1p/5P1K/7P/8/8 b - f3,f6b6
r3n2k/6bp/2Pp4/4p1p1/1P1QPp2/1B3P2/P5PP/2R4K b - -,e5d4
r6r/1p1bkppp/pb1pp3/4n3/2P1P3/2N5/PPN1BPPP/3R1RK1 w - -,g1h1
Q1R2r2/4b1kp/4P3/3n2q1/8/P5p1/6P1/6K1 w - -,c8f8
4r1k1/3q4/3P3p/4Bpp1/1P1Qn2P/1b4P1/4P1BK/4R3 b - -,d7e6
r1b1k2r/1pq2pp1/p3pn2/n1p4p/4P3/1P4PP/P1P1NPB1/R1BQ1R1K w kq -,c1b2
8/5pk1/8/3R4/1r3nPK/3B4/5P2/8 w - -,d5d7
2r3k1/1bnrb1p1/1qn1pp2/p1p5/1pP2B2/3P1NP1/PP3PBP/2QRRNK1 b - -,e6e5
2rqk2r/1p2nppp/p2p4/3Qp1b1/P3P3/1NP3P1/1P3PBP/R3K2R w KQk -,d5d3
r4rk1/bp3pp1/p1p1b3/6p1/4P3/1BP1N1P1/PP3P1P/2KR3R b - -,e6b3
2r3k1/7p/5pp1/4p3/PP1pn3/3N2P1/5P1P/2R2K2 b - -,c8c1
3rkb1r/ppp2ppp/8/4nn2/2P5/P3B3/1P2BPPP/RN3RK1 b k -,f5e3
4rr1k/4q1bn/1N1p3p/pPpPNbp1/2P2p2/P7/1B4PP/Q2BRRK1 b - -,g7e5
2B5/4k3/7p/4P1p1/8/4K1P1/2b4P/8 b - -,c2b3
7r/p3R1p1/1p6/6k1/1PP3B1/7P/P5b1/1K6 b - -,a7a5
2kr1b1r/1pp1n2p/p1b2p2/2p3p1/4P3/4NPB1/PPP1NKPP/R6R b - -,f8g7
4rrk1/2pq2bp/p5p1/1p2pp2/1P1P1Q2/1P3N1P/5PP1/R3R1K1 w - -,d4e5
5r1k/2p3b1/7p/2P3p1/1P2P3/P1q4P/Q2p1BP1/4R1K1 w - -,e1d1
r2qk2r/ppp1npp1/2nb2p1/3p2B1/3P2P1/5N1P/PPP1QP2/RN2K2R w KQkq -,c2c3
8/5k2/3Qp1p1/4n2p/NpP1q3/1P5P/P5P1/7K b - -,e4f4
r6k/3b1r1p/p2ppbn1/4q2Q/1p2P3/1NN3R1/PPP1B2P/1K4R1 w - -,c3d1
rn2kb1r/pp3ppp/4pn2/2pq4/3P2b1/N1P2N2/PP2BPPP/R1BQK2R b KQkq -,b8c6:a7a6
r1b2rk1/pp2bppp/1q2pn2/8/5B2/1NP3P1/PPQ2PBP/R3R1K1 w - -,a1d1
2r3k1/2q2pbp/p5p1/3R1pP1/1pn2P2/5Q2/2P2B1P/3R3K b - -,c4b6
r5k1/2pR3p/8/1p2r3/2n1P3/P5P1/7P/1KB2R2 b - -,e5e4
r1bqk1nr/1p1nbppp/p2pp3/8/4PP2/1N1BB3/PPP3PP/RN1QK2R w KQkq -,d1e2
8/4nQ2/3q2P1/1p2p1k1/pN1pP3/P2P4/1P4K1/8 w - -,g6g7
4r2k/r5b1/1q1pbppp/1p1P4/5N1P/1Q1p1PP1/PP4B1/R4K1R b - -,e6f5
8/5kp1/2b2p1p/2B1p2P/1P2P1P1/2R2PK1/8/1r6 b - -,b1b2
r1bq1rk1/p4ppp/1pnbp3/3p4/1PPP4/P5B1/3N1PPP/1R1QKB1R w K -,d2f3
8/8/2B5/6p1/5nPp/7P/5k1K/8 b - -,f4e2
5rk1/1ppqnrb1/p1npb2p/4p1p1/4P3/1PP1BNPP/P3QPBK/R3RN2 w - -,e2d2
r3r1k1/pR3p1p/3p1bp1/R1p5/8/2P2NPP/1P3P2/7K w - -,b7d7
8/6k1/3N4/4R3/1p2P3/3pKPP1/2r5/2n5 w - -,d6f5
4k3/1p1r1p1p/p7/2ppP3/P2n2r1/4B3/1PP2RPP/5RK1 w - -,e3d4
6r1/1p1b4/3pNr1k/p1pPb1pp/P1P1Pp2/1P3P2/4B2R/6KR b - -,h5h4
r2qk2r/pp1n1pp1/2p1pb1p/5b2/3P4/5NP1/PPP2PBP/R1BQR1K1 w kq -,c2c4
2rqk2r/1b2bpp1/p3pn1p/1p6/2pP4/5NP1/PPQNPPBP/2RR2K1 b k -,e8g8
r2q1rk1/1p1bbppp/p2ppn2/8/2PnP3/2N1BP2/PP2B1PP/2RQ1RK1 w - -,d1d4
r2qn1k1/pp1b1rb1/3p2n1/1N1Pp1pp/P3Pp2/5P2/1P1BBNPP/R1RQ2K1 b - -,g7f8
3r2k1/5p1p/R4p2/P3p3/4P3/5R1P/4r1P1/6K1 b - -,e2e4
1rq2rk1/pp2bppp/3p4/P1pR3n/4P3/1B3PB1/1PP1QP1P/R5K1 b - -,h5g3
1k6/8/1P6/5rpp/2P5/2K4P/4bpB1/1R6 w - -,b1a1
2r5/p6k/1p4b1/4p2p/8/P2B2KP/2P2R2/8 w - -,f2f7
r3kn1r/p4p2/2b1p3/3pPnNP/q1pP4/N4Q2/1PP1BP2/2KR3R b kq -,f8h7
8/1b3pk1/pp1r1bp1/2qp3p/P6P/1QPRPBP1/4NP2/6K1 b - -,a6a5
r1bq1r2/2p1npbk/p1np2pp/1p2p3/4P3/PB1P1N2/1PP2PPP/1RBQRNK1 b - -,f7f5
q7/8/1KQ5/1P6/6k1/8/8/8 b - -,a8b8
8/1p1k1pb1/1n4pp/Bp6/7P/1P4P1/P3rPB1/2R3K1 b - -,e2e6
1r5k/p4pbp/3p2p1/1P6/4P3/1P2BP2/2P4P/1K5R w - -,c2c4
r1br2k1/1p1qb1pp/4pp2/pPn5/n1PB4/P4NPB/2QN1P1P/R3R1K1 w - -,d2e4
r1bqr1k1/5nbp/1npp1pp1/1P2p3/2P1P3/1QN2N2/3BBPPP/2R2RK1 b - -,c6b5
8/2Pk4/7p/3n2p1/8/6BP/5KP1/8 b - -,d5c7
k1r5/3N3R/8/3n2p1/PnN5/1Ppp2P1/2P2K1P/8 w - -,c4b6
r3kn1r/2qbbp2/4p2p/3pPP2/pPpP2p1/P1N1B3/2QN2PP/R4RK1 b kq -,c7b7
rn3rk1/q4pp1/2p5/1pb1p1Np/p3P1n1/P4N2/BPP1QP2/R1B2RK1 b - -,b8d7
2r5/3b2k1/pr3pp1/1p1Pp1n1/2p1P1Pp/P1P1N2P/1P1R2BK/5R2 b - -,g5f7
2R2bk1/3n2p1/3pN3/8/4P3/8/r1PBK2P/8 b - -,g8f7
1Q6/3bkp1p/2Bp4/p1b1p1r1/4P3/2P3P1/P4P1P/5RK1 b - -,d7c6
1n1r1r1k/5pbp/pN4P1/4p3/4Q3/3qBP2/1P5P/R4RK1 b - -,h7g6
4q3/2p5/1p3pk1/p1PQ3p/P2P4/7P/2P3PK/8 b - -,b6c5
4r1k1/qp1b2bn/2ppn1p1/5pP1/1PP2P1p/1Q1P1N1P/rB2N1B1/1R3R1K w - -,e2c3
8/7p/7P/5k2/1pK1N3/5P2/8/8 b - -,f5g6
3r3k/5b1n/3p4/p2PpP2/4P2R/P1N5/KP6/8 w - -,c3b5
4n3/6k1/2b3p1/B7/p7/P7/B6P/6K1 b - -,e8d6
3R4/1p4kp/p5p1/P4p2/8/r3P2P/5PP1/6K1 w - -,d8d7
6nk/1p2qp2/p2p4/2pPpP2/P1P1Pn1p/2N4P/1P5K/4QB2 w - -,e1f2
1k2r2r/1b1nq2p/pp1pN1pQ/2pP4/P3P3/2N5/1P4PP/R4RK1 b - -,d7e5
r3k2r/p1qn1ppp/2p1N3/3pb3/8/3P2P1/P1P2PBP/1RBQR1K1 b kq -,f7e6
3r2k1/1p1r1ppp/4p3/2n3Pn/p1BNQ3/2P5/PP2KP1P/1R5R b - -,c5e4
3B3b/2p2p1k/1q3Pp1/3pQ2p/p1b4P/2R5/6PK/8 b - -,b6f2
r1b1qrk1/1p2bppp/p3p3/3n4/6N1/3BQ3/PPP2PPP/2BRR1K1 w - -,e3h3
5rk1/3b2pp/4p3/p1qpP3/2pN4/P1PnQ1N1/3K1PPP/7R w - -,f2f3
rnbq1rk1/pppn1ppp/8/3pP3/1b1P4/P1N2P2/1P4PP/R1BQKBNR b KQ -,b4c3
5r2/2qb3k/6pp/4pp2/p2p2P1/3P2NB/3NPP1P/R5K1 b - -,c7c3
q4rk1/r4pbp/1p2pnp1/1Q1p4/2NP1B2/4PN1P/P1R2PP1/2R3K1 b - -,d5c4
3q3k/p4prn/1p1n2pQ/3Nr1P1/3P4/2P4R/P4P2/6K1 w - -,d5f6
2bB4/6pp/8/Pkp1Pp1P/8/4K3/5PP1/8 w - -,d8e7
8/5pk1/1p2p2p/1Pb3p1/6P1/1R6/r3BP1P/5K2 b - -,f7f5
8/ppp1kp2/2p1bp1p/8/4P3/1BP5/P1P2PPP/2Kr4 w - -,c1d1
r7/pp1k1pp1/2p4p/3n4/2P5/1P6/2PB1PPP/4R1K1 b - -,d5c7
r1b2r2/p7/2pkp2R/3p2p1/5p2/2PP2P1/P4P1B/2K4R w - -,g3f4
1R4k1/3n1pp1/2p1p1qp/p7/2PPR3/P4PP1/7P/2Q3K1 b - -,d7b8
8/4k3/4R3/6b1/4K1B1/r7/4p3/8 b - -,e7f7
8/8/p6R/2p1pk2/6p1/5r2/PPP1K2P/8 b - -,c5c4
3r4/2rpknpp/4p3/8/R1PRpP2/2P3PP/2N2K2/8 w - -,d4e4
R7/2rbk3/4p3/1p1pPp2/3K3p/2PB4/6PP/8 b - -,d7e8
3q1rk1/1p1r2p1/2p1R3/p2n2pN/P2p2P1/1P1P3Q/5P1P/4R1K1 b - -,d5f4
r2q1rk1/pbp1bppp/1p2p3/8/1nPPN3/4PN2/PP2BQPP/R4RK1 w - -,e4c3
4bk2/b1p5/p7/2p1N3/2P5/4NPP1/PP3K2/8 b - -,a7b6
8/4k3/7q/1B1Q1p2/8/4pN2/6K1/8 b - -,h6g7
1r2r1k1/1pq5/p2p2pn/P1pP1b2/2N1BP1p/8/1PQ3PP/4RR1K b - -,e8e7
8/5p2/4b1p1/4k2p/1R1p1p2/1p2rP1P/1K1R2P1/8 b - -,e6d5
8/8/1k6/R7/p6r/1pK5/8/8 w - -,a5a8
r1bqk2r/ppp1bppp/2np1n2/8/8/2N3P1/PPP1PPBP/R1BQK1NR w KQkq -,e2e4
r2r4/1p3k1p/2b3p1/1p2p1P1/n1p1P3/P1P5/1PBN2P1/1R1R1K2 w - -,f1e2
r1q2rk1/pb2bp1p/1pp3p1/2n1P3/4B2P/P1N2N2/1PQ2PP1/2KR3R w - -,h4h5
R7/7k/8/4pN2/3pP2P/p2P4/1q4PK/8 w - -,a8a7
6k1/pp3pp1/2bN1n1p/8/2P2P2/2PBQ2P/2PK2P1/7q b - -,h1g2
5rk1/1p3rbp/pBp3p1/P3PpP1/3P1R2/2q5/5Q1P/4R1K1 b - -,f8e8
2b2rk1/r4ppp/2np4/p1qNp1b1/1pP1P3/1P1Q2P1/P1N2PBP/R4RK1 w - -,a1d1:d5e3
r1bqk1nr/pp3pbp/3pp1p1/2p5/2BnPP2/2NP4/PPP1N1PP/R1BQ1RK1 b kq f3,g8e7
2r1k2n/1b2qpp1/p3pb2/1p2p1p1/2n2P2/PNN5/1PP2QBP/2BR3K w - -,f4g5
5k2/8/7p/2p2rp1/2P3P1/r7/8/2K1R3 w - -,g4f5
2rq1rk1/pb2pp1p/1pn3p1/2p5/2P2P2/1PQ2N2/P2PBPPP/2R2RK1 w - -,c1d1
r4rk1/pb1q4/3p4/2p1p1pp/Pp2PpP1/1PbP1P2/2P1QBBP/1R3R1K b - -,f8f6
6k1/3qbp2/1p4pp/6N1/5P1K/1p2Q1PP/r2B4/3R4 b - -,h6g5
r1r2qk1/1b3p1p/p3p1p1/3pP1Q1/3P1PB1/R7/1P4PP/3R3K b - -,c8c2
8/2r1kp2/4p1p1/3pPb1p/1P5P/1P3PP1/N2R4/3K4 w - -,d1e2
8/4r3/5kp1/3R4/5PP1/5K2/8/8 w - -,d5a5
r1b2r2/ppq3kp/3p1np1/1Q2pp2/2P5/1P3NP1/P3PPBP/R4RK1 b - -,a7a5
8/2p5/8/k7/2K3p1/4RbP1/8/8 b - -,a5b6
4R3/1p1r3p/p7/3pkp2/3Rb3/4K1P1/PP5P/8 b - -,e5d6
6qk/7p/5p2/pR1n1P1r/6p1/PP1QP3/6KP/5R2 b - -,d5c7
8/3Bn3/8/pNp1k3/1bP5/1P6/PK6/8 w - -,d7e8
r1bqk1nr/1p3ppp/p1n1p3/2bpP3/8/P2B1N2/1PP2PPP/RNBQK2R w KQkq -,b1d2
r1b2rk1/pppn1pb1/3p2p1/3PqnBp/2P1N3/1Q4PP/PP2NPB1/R4RK1 w - -,e2c3
5k2/1R6/6p1/6Pp/3r4/4NK2/8/8 b - -,f8g8
3r3k/pp4pp/4Q3/4qP2/7b/7P/PP2p1P1/1R2R1K1 b - -,e5d4
r2qrbk1/1bpn1ppp/pp3n2/3p4/3N1B1N/3P2P1/PP2PPBP/R2Q1RK1 w - -,a1c1
r5k1/4R1pp/r4p2/2B4b/5P2/1p4P1/1P1R1K1P/8 b - -,a6c6
1r3r2/p5pk/1p3n2/5RRP/2Pp4/3Qp1P1/4PPBK/q7 b - -,a1c3
r2q1rk1/1ppb1ppp/p1n1pb2/2Pp4/1P1P1P2/P1N2N2/2B2PPP/R2QK2R b KQ -,d8e7
r4r2/2k2p2/1nq1p1p1/2p1Pn1p/1pPpNP2/1P1P2P1/R2BQK1P/R7 w - -,a2a7
3q1rk1/1p2ppbp/p1rp2p1/2P1n3/3BP3/2N5/PP2QPPP/R2R2K1 w - -,f2f4
r1b1kr2/pp1p2pp/2n1p3/q3P3/8/P1P1QN2/P4PPP/2R1KB1R b Kq -,b7b6
r3r1k1/1p3pqp/2pp2p1/p7/2PNn1P1/1P6/P2QB1RP/R6K w - -,d2d3
8/1p6/2p3n1/1p1k2Bp/3P4/PP2K1P1/8/8 b - -,g6h8
r1bqk2r/pp2nppp/2n5/8/1bpPN3/5NP1/PP3PBP/R1BQ1RK1 b kq -,e8g8
2k5/2p3R1/p1n5/1p6/1Pr2Bp1/K5P1/P4P2/8 b - -,c6b4
8/8/8/1p1k1p2/1K1Pn3/5NP1/8/8 b - -,e4g3
1q1rr1k1/pb1nbppp/1pp2n2/1N1p4/3P4/BP1BPN2/P3QPPP/2R2RK1 w - -,a3e7
8/4q1kp/p2p2p1/1bpPb3/6BP/1r2P1P1/R4Q2/4R1K1 w - -,g4e6
r4rk1/p1qb1pbp/1p2p1p1/3pP3/2P3n1/1P1B1N2/PB2QPPP/2R1R1K1 b - -,c7d8
k2r4/p7/1p1P1ppR/4p1P1/5n2/P1B5/1P3P2/1K6 b - -,d8d6
3rq2r/p6k/1p3Qn1/2P3P1/4B3/2P2P2/P6P/4R1K1 b - -,d8d7
8/Q3kr2/1p2pr1P/8/2P5/1P4PK/8/8 b - -,e7e8
2rr3k/pp4pp/6b1/q7/1P2pQ2/P1N3P1/3B3P/R1K4R b - b3,a5d5
1nq1nrk1/r3b1p1/pp1p2pp/2pPp1P1/P3P2P/2P5/1P3P1N/R1BQRBK1 w - -,d1g4
7r/p7/4k3/8/2P5/2KR4/2P5/8 b - -,a7a5
r3k2r/ppqn1pp1/2pbp2p/8/2PP3P/3Qn1N1/PP2NPP1/1K1R3R w kq -,d3e3
8/1p5p/p2k2p1/PnpP4/5K2/1B5P/6P1/8 b - -,b5d4
1krr4/1p1b1pp1/p1q1p2p/2npPP2/3R3P/P1N3P1/1PPQ2B1/1K2R3 b - -,d7e8
4k3/pn2n2p/1p3Qp1/4p3/1P2P3/8/P1q3PP/2BR2K1 w - -,f6h8
6k1/6p1/4q2p/2rp4/P2R4/2p3BP/2Q2PPK/8 b - -,e6f6
r1bqk2r/pppnbppp/4pn2/8/3P4/3BBN2/PPPN2PP/R2QK2R w KQkq -,e1g1
8/5k2/4n3/3rPppp/2R2P2/1P2B1P1/2K5/8 w - -,f4g5
