8/3n1K2/2kb1B1R/2p3RP/2r5/8/8/8 w - -,g5f5
3r4/2pr1kpp/1p2np2/p2b4/P1NP4/1P2RN2/5PPP/4RK2 w - -,c4d2
6k1/5pp1/7p/p2qp3/6Pn/2P5/5PP1/R4QK1 w - -,c3c4
r1b1r1k1/1pq2pbp/2pp1np1/2n5/p1PNPP2/2N1BQPP/PP6/R3RBK1 w - -,e3f2
r7/1pp1prbk/pn2RnNp/3P4/6PP/1q3B2/PP3P2/2BR2K1 w - -,a2b3
3r1bk1/1R5p/6p1/1Qq1Pp2/2pr1P2/5BP1/7P/5R1K w - -,b5a6
r2q1rk1/1bpn1ppp/p2bp3/1p6/3P4/2N1QNP1/PP2PPBP/R2R2K1 b - -,d8e7
8/1p6/pB2kppp/1b3p2/5P1P/4K3/PP3P2/8 b - -,g6g5
3rkb1r/1p2pppp/p1q2n2/2p5/3P4/2P5/PP3PPP/RNBQR1K1 w k -,c1e3
2r5/k4K2/b3R3/3pP3/3P2P1/2P5/5P2/8 b - -,c8c3
2k1r3/1pB1q2p/2pR2p1/P1P2p2/8/8/1P2p3/2K2Q2 w - -,f1e1
r2q1rk1/pppn1pbp/4pnp1/N2b4/3P4/1P1B1N2/PBP2PPP/R2Q1RK1 w - -,c2c4
2kr4/pp1b1p2/1b2p3/5prp/3N4/2P2P2/PP4PP/3RRN1K b - -,f5f4
r1bq1rk1/2p1bp2/1p1p1np1/p2PpPPp/2P1P3/P1N1B1PB/1P2Q3/R3K2R w KQ -,g5f6
2N5/p4kpp/5p2/4p3/3n4/6PR/1P1K3P/5r2 b - -,f1f2
r1bqkbnr/pp1ppppp/8/nBp5/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq d3,a7a6
8/p3k2p/1ppqbnp1/5p2/2PQp1P1/1PN1P2P/P4PB1/6K1 b - -,d6d4
r4r1k/ppqbbpp1/4p2p/n2pP3/3P2QP/2P3PN/P4PB1/R1B1R1K1 w - -,c1d2
r2qk2r/p2n1p2/1pp1p1pb/1b1pPn1p/3P1N2/1BP1Q3/PP2NPPP/R1B1R1K1 w kq -,e3f3
8/1p4pp/p1nr1p1k/8/2Bp2R1/PP5P/2P2PP1/5K2 w - -,g4h4
2rr2k1/1bq1bpp1/p1n1p2p/1pp1P3/5N1P/PPpPQNP1/2P2PB1/R3R1K1 b - -,a6a5
r4Bk1/p1Qb1ppp/4q3/1p6/4P2P/5PP1/P3B1K1/4R3 b - -,a8f8
r1b1r1k1/1p4bp/2pRnpp1/p1n1p3/2P1P3/2N1B2P/PP3PP1/3RNBK1 b - -,g8f7
5rk1/p1p5/1p5p/4r1p1/3N2b1/2P3P1/PP1R1B1P/5BK1 w - -,f1c4
8/1p5r/p1p5/4k3/1P2P3/P4P2/4K3/3R4 w - -,e2e3
1Q6/8/6pk/5pb1/8/2q3PP/8/7K b - -,g5f6
rnbq1rk1/pp2npbp/6p1/2p1p3/1PPp4/3P1NP1/PB2PPBP/RN1Q1RK1 w - c6,b4c5
8/8/6p1/4Q2p/P1q4P/3p2P1/4k2K/8 b - -,e2d1
8/p2p1kp1/4p3/2p5/5P2/2N3q1/PPP2RPr/R5K1 b - -,g3h4
2r3k1/R5P1/1Bpp3p/P3b3/6P1/2P5/1PP5/1K6 w - -,a5a6
r1bk3q/ppp5/2p3n1/8/1b2Pp1P/2NP4/P1PK1PP1/3Q3R w - -,d1a1
2r2rk1/5ppp/p2bp3/1p2Bb2/3P4/1P6/1P3PPP/R2R2K1 w - -,e5d6
rn1qkbnr/pb1p1ppp/1p2p3/2p5/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,c2c3
7r/7r/3pk1p1/ppnNppp1/4P1P1/2P2P1P/1P1R2K1/7R w - -,e4f5
3RK3/4N1pk/r6p/7P/8/8/8/8 w - -,d8d7
8/8/8/1p3k1p/1P5P/5PK1/2rB4/8 w - -,d2e3
5rk1/1r3pp1/1q1p3p/p1pP1R2/1p1pP3/1P2P1QP/P1R3PK/8 w - -,e3d4
5k2/8/2R3p1/3pPn1p/5P2/7P/5K2/3r4 b - -,f5e7
r1bqkbnr/pp1ppppp/8/nBp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,a7a6
r1b2rk1/1p3pbp/1q2p1p1/p2Pp1B1/2Pn4/2NB4/PP1Q1PPP/1R2R1K1 b - -,f8e8
5rk1/pb3ppp/1n2p1q1/1pQ1P3/2p1PR2/P5P1/PB1r2BP/5RK1 w - -,c5b5
8/4k3/4p3/4n3/r5p1/6Kp/3R4/8 w - -,d2e2
r4rk1/p1pqnppp/1pn5/3p1bN1/3P4/P1PB2Q1/2P2PPP/1RB2RK1 b - -,e7g6
4r1k1/1p1r1p2/p1nP1B1p/3R2P1/1P4Pb/P3P3/2N5/2K4R b - -,h6g5
rnbq1rk1/1p2bppp/p2p1n2/2p5/P3P3/1NN5/1PP1BPPP/R1BQ1RK1 b - -,c8e6
2r1r1k1/pp1q1pp1/n6p/6b1/P2PN3/1Q3P2/4N1PP/3R1R1K w - -,e2c3
2r2rk1/1q1p1ppp/pp2pnn1/8/2P1P3/NP2NPP1/P3Q1KP/3R1R2 b - -,c8c5
6k1/p4p1p/1pbR2pB/2p5/4r1PP/P7/1P3P2/2K5 b - -,e4c4
1r1r2k1/pB3ppp/1p3n2/1N2n3/P7/4P3/5PPP/R2R2K1 b - -,d8d7
2r2r1k/1q2n1bp/p2p2p1/1p1Pp3/1P2B1P1/3QB2P/P4P2/2R2RK1 w - -,g1g2
r4nk1/1q2bp2/1np3p1/R2pPpPp/3P1P2/1PQNB2P/2P3B1/6K1 w - -,d3c5
1r3rk1/1bq1bppp/pp1pp3/4n3/P3PB2/2NQ2PP/1PP2PB1/3R1RK1 w - -,d3e2
2k5/1b2b1p1/p3p3/4qp2/1P5p/2P1QP2/2N2NPP/7K b - -,e5d5
4k3/3R4/2K5/8/8/6b1/8/8 w - -,d7d3:d7a7
2r3k1/p5pp/5p2/3rp3/2Nbn3/1P4P1/PB3PKP/1R3R2 b - -,c8d8
2r3k1/5pp1/1q2p3/1p1pPNp1/1r3P2/3Q2PP/R4BK1/8 b - -,b6c7
rnbqkbnr/pp2pppp/8/2Pp4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq -,b8c6
r1bqk1nr/p3b1pp/2pp4/2p1pp2/4P3/3P1N2/PPPN1PPP/R1BQR1K1 b kq -,g8f6
r2q1rk1/ppp1bppp/2n1b3/3p4/2PPn3/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,c4d5
8/1p1Q2k1/p2p1bp1/8/P1P1q3/1P6/5B2/5K2 b - -,f6e7
r2kr3/1p3p1p/p1nb1p2/2p2b2/P7/N1PP1N2/1P2B1PP/R3K2R w KQ -,e1f2
r1r2k2/pp3ppp/4pn2/4N3/2P5/2R1K3/PP3PPP/3R4 b - -,f8e7
2r2rk1/p6p/3ppq2/2p2pp1/2P1b3/1PN1P1P1/PQ3P1P/3R1RK1 w - -,f2f3
r1br1bk1/2qn1ppp/p1np4/1p2p1P1/4P3/1P4NP/PBP1NPB1/R2Q1RK1 w - -,a2a4
r2q1rk1/pp1nbppp/3p2b1/2pP4/2P5/4BB1P/PP3PP1/R2QRNK1 b - -,e7f6
8/8/6p1/Pk2n3/3p3P/1P6/4K3/4B3 w - -,e1g3:e2d1
1k6/3b4/Q7/1ppP4/4N3/1P6/P3qPK1/8 w - -,a6b6
b4k1r/3r4/p2pQ1p1/2q2P2/2P1Pp1p/3B1N2/8/4R2K w - -,e6d7
3br1k1/1p3pp1/p1qpr2p/P2NpR2/1PP1P3/6P1/4QPKP/7R w - -,h2h4
r1bq1rk1/ppb3pp/2p5/2PpPp2/1P2n3/P1NBP3/1BQ2PPP/R3K2R b KQ -,c7e5
8/pp1b2bk/6pp/2P1p2n/2PpP2P/P2P1qP1/3BR2K/4Q3 b - -,f3d3
2Q5/1p4kp/3p2p1/5P2/8/5q1P/Pb3P2/5RK1 b - -,g6f5
3r4/7R/5kp1/3p4/2n1p1P1/2N4P/P1n2K2/2B5 b - -,e4e3
r1b1k1r1/p4p2/1pn1p3/4Pn2/3p1PPq/P1pQ3P/2P1N3/1RBK1BR1 b q -,h4f2
4r2k/1p3qp1/p6p/b4p2/P2rpPP1/1PP3RP/5RK1/1Q6 w - -,c3d4
rn3rk1/1p2qppn/p2p3p/P2Pp3/8/4B3/1PP2PPP/R2QKB1R w KQ -,f1e2
4n3/1k1qr3/2p1p2Q/pp1nP3/3B1pP1/PP3B2/2R2PK1/8 w - -,a3a4
r1q4r/1b1n1k1p/p2Q4/1p6/4N3/8/PPP2PPP/R1B2RK1 b - -,b7e4
r4b1r/pb3kpp/1np5/3p1P2/2P5/2N5/PP1BBP1P/2KRR3 b - -,f8c5
2r3k1/7p/q2b2p1/1p1Pp3/4Pp2/3Q1P2/3N2PP/1R5K w - -,g2g3
8/4p1kp/3p1pp1/8/1r2P3/1p1R1P1P/1P4P1/5K2 w - -,f1e2
r1bq1rk1/1pp1b1pp/3p4/p7/1nPpQ3/6P1/PP3PBP/R1B1NRK1 w - -,e4d4
r1bq1rk1/pp3ppp/4p3/3pP3/1bPN1B2/2nQ4/PP3PPP/R4RK1 w - -,b2c3
r1bqk1nr/pp1nppbp/2p3p1/8/2BPN3/4B3/PPPQ1PPP/R3K1NR b KQkq -,g8f6:d7b6
r1r3k1/4R2p/4N1p1/1p3P2/4P3/1P2K2P/p5P1/8 w - -,f5f6
r5k1/2p2p1p/3np1p1/1rN5/1P1R4/p5PP/2P2P2/R4K2 w - -,c2c3
r1bqnrk1/1ppn1pbp/p2p2p1/3Pp3/2P1P1P1/2N1BP2/PP1QN2P/R3KB1R b KQ g3,f7f5
8/3q3k/r5p1/8/P4Q1P/4B1P1/5P1K/8 b - -,h7g7
2q3k1/p3rppp/1p3p2/3B4/3PN3/1Q4P1/PP3P1P/6K1 b - -,c8d8
1r6/2r4k/2Bb1ppP/p2Pp3/1p2Pn2/1P6/P1PR1B2/1K5R w - -,f2e3
2r1r1k1/5pp1/2qp3p/2B1n2n/4P3/1QN2P2/4N1PP/1R1R3K b - -,d6c5
8/8/4nk2/3p4/7P/2bB1KP1/5B2/8 b - -,e6d4
r2q2k1/1pp1bp2/p3pPn1/4B1PQ/8/P3P1R1/1P3P1P/4K3 b - -,g6e5
3r2k1/5p1p/pn4pb/2Rn4/1p6/5P2/PP4PP/3NRBK1 b - -,h6f8
r3kr2/3npp1Q/1qp3p1/3nP3/p2PN1b1/1P3N2/PP4PP/2KR1B1R b q -,a4b3
8/2N5/p3kppp/8/1P3n2/P6P/5KP1/8 b - -,e6d6
8/3k4/p2Pp3/4P3/1p3P2/1Pn1K2p/3B4/8 w - -,e3f3
8/6k1/2p5/1p1b2pp/1P6/P3RN1P/2r3P1/6K1 b - -,g7f6
r3qrnk/2pb2bp/1p1p2p1/p1nPp1B1/2P3P1/2N2PN1/PPBQ3P/4RRK1 w - -,e1e2
2rqrnk1/1b2bppp/p2p4/1p1PpPP1/4P3/3BBN1Q/PP5P/4R1RK b - -,d8d7
r1b1n2k/pn3r2/1p1p1q2/1NpP1p2/1PPbp3/P6P/2Q1BPPN/1RB3RK b - -,e8g7
r2qrbk1/2p2ppp/b2p1n2/np2p3/p3P3/2PPNN2/PPB1QPPP/R1BR2K1 w - -,e3d5
6rr/kp1q4/p2p4/P2p1Q2/3P3p/2P2Rp1/2P5/4RBK1 b - -,d7a4
r1b1kb1r/p2npppp/3p1q2/2pP4/Np2P3/5N2/PPP2PPP/R2QKB1R w KQkq -,f1b5
3r1rk1/ppq2pp1/1np3p1/8/3bn3/Q3P1P1/PP2BPKP/2RRB3 w - -,e3d4
r1bq1rk1/2p1n1bp/3p2p1/p2Pp3/2P1pn2/B1N5/P2NBPPP/R2QR1K1 w - -,d2e4
8/p3k3/1p2p3/1P1p1p2/3P1P2/3BK3/1r4P1/4N3 w - -,d3e2
6k1/4bppp/r1n1p3/3p4/1p1P1B2/2PN1P1P/1P2RKP1/8 w - -,e2c2
q2r2k1/p3bp2/bn4pp/3p4/1P1P4/P1R1P3/3N1PPP/2RQ2K1 b - -,b6c4
r2q1rk1/p2nbppp/bp2pn2/2pp4/2PP4/1P3NP1/P1QNPPBP/R1BR2K1 w - -,e2e4
8/pp1k3p/3pp3/2pPn3/2P1nBP1/2P4P/P3N1K1/8 w - -,f4e5
2r1r3/2q2pkp/p3pnp1/1p4N1/5P2/P1P3Q1/1P4PP/3RR2K w - -,g5e4
8/np4r1/p1k1p1p1/2Pn4/R2P1BPP/3B2K1/1P6/8 w - -,f4e5
8/R4p2/1pr1nkp1/7p/2B5/3K2PP/P4P2/8 w - h6,h3h4
8/6bk/6pp/3Q1p2/2p5/2q2N1P/6P1/r2R3K w - -,d1a1
r5k1/1Np2pp1/p4nqp/4R3/1P1Pp3/2P3Pn/1P3P2/3QR1K1 w - -,g1g2
3r4/4k3/4pp1p/r2n3P/1pR3P1/1P6/PK3N2/4R3 b - -,d5c3
6k1/3npp2/p2p1bp1/1n1P4/1Pr2PNp/3R3P/5QPK/8 w - -,f2a2
6b1/6P1/8/1pk1N3/p3BK2/8/1r6/8 w - -,e5d3
4r3/p1q3pk/5rnp/1Bp2p2/P3n3/2b1BQP1/P1P2P1P/1R2RNK1 b - -,e8d8
6k1/p2q4/1p3pp1/4p2p/8/1P2B1P1/P3PP1P/2R3K1 w - h6,c1c4
r3r1k1/2Rnpp2/3p2p1/3P3p/5P1P/6P1/1P2R1BK/8 b - -,a8d8
b7/B4p2/5Pk1/1p1N2p1/4K1Pp/1P3PbP/8/8 b - -,a8b7
6k1/2p3pp/p3p3/P1R1P2r/1p3P1q/4P3/1P4K1/3Q4 w - -,g2f3
rnbq1rk1/pp2bppp/4pn2/2p5/3P4/2N1BB2/PPP1NPPP/R2QK2R b KQ -,d8a5
R3r1k1/6pp/3p4/5p2/1pP5/1PnQ2PP/3N1qBK/8 b - -,e8a8
8/1p2qpk1/8/2Pp2pp/3P4/5QPP/8/6K1 b - -,e7e1
r5k1/1p1q1rbp/1B2b1p1/1n1pp3/1P6/P2Q1PP1/4N1BP/2R2RK1 w - -,c1c5
6k1/5p2/1r5p/8/4B3/n5PP/3B1PK1/8 w - -,g3g4
5rk1/2R2p1p/p2QpP2/3bP3/6PK/4q3/4p2P/4R3 b - -,e3f2
N1bk1b1r/pp3p1p/8/4p1p1/6R1/2N3P1/PP1P1PP1/n1BK1B2 b - -,c8g4
1r3r1k/3b2pp/3p4/1P1Pbp2/1qB5/1PN2R2/6PP/2R1Q2K w - -,e1f1
r1bqkb1r/1p3p1p/p2ppnp1/8/4PB2/2N2n2/PPPQBPPP/R3K2R w KQkq -,e2f3
r1b1kb1r/pp1ppppp/2n5/1N6/4n3/2P2PP1/PP5P/RNBK1B1R b kq -,e4f2
5n1k/1p5p/p1b2b2/P3pP2/8/1NN1B1rP/1PP2R2/5K2 w - -,f1e2
3r3k/2p3pp/6n1/R4p2/8/N1P2K2/PP3P2/8 w - -,a3c4
8/2K2k2/2P5/6p1/2R5/4r3/8/8 w - -,c7d6
8/2R3p1/5pk1/7p/3q3P/6P1/1R3P1K/8 w - -,b2e2
r3k2r/pb1nnpp1/1p2p2p/2p5/2PP3B/P2BPN2/3K1PPP/2RR4 b kq -,f7f5
8/2p5/P1b2k2/2Np1P2/3P1K2/8/8/8 w - -,a6a7
4r1r1/k1nNp1bR/2p1P1p1/1p1p2B1/p1nP1PP1/q1PQ2K1/2B5/4R3 w - -,h7h1
4rnk1/1p1nqbpp/p1p2p2/8/4PP2/1P4PP/PNQ2BB1/3R2K1 w - -,b2c4
6k1/p4pb1/2p3p1/q3pnPp/1B5P/2P2P2/PP1N1Q2/1K6 b - -,a5d5
r2qkbnr/pp1npppp/8/3p4/6b1/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,e7e6
r1b2k1r/pp1n1ppp/2n1p3/1N1pP3/1B6/3B1N2/q1P2PPP/1R1Q1RK1 b - -,c6b4
k7/1p1r4/p2P1Q2/2q4p/4p2P/P5P1/3R1P1K/8 b - -,e4e3
r1bqk2r/ppp2pp1/2n2n2/3p4/1b1P3p/2NBP1N1/PP3PPP/R1BQK2R w KQkq -,g3e2
r2qr1k1/pb1n1pbp/3Bp1p1/1p2P3/2pPp1P1/2P2N1P/PPB2P2/R2Q1RK1 w - -,f3d2
r2qr1k1/1p4b1/p2p1np1/2pPnb1p/P3N3/R1NBBP1P/1P1Q2P1/5RK1 w - -,d3e2
r1b2rk1/ppqnppbp/2p3p1/8/3PN3/4P3/PP1BBPPP/R2Q1RK1 b - -,f8d8:d7f6
r2qkb1r/pp2pppp/2np1n2/2p5/4P1b1/2P2N1P/PPBP1PP1/RNBQK2R b KQkq -,g4h5
5r2/5p2/2n1pBpk/2pnP1N1/p7/P5P1/1r3P2/3RR1K1 w - -,d1d5
r6k/1pp2qpp/p1pbNr2/5P2/2Q3P1/8/PPP5/4RRK1 w - -,e1e3
rnbqr1k1/pp3pp1/2pn1b1p/3pN3/3P1Q2/1BN5/PPPB1PPP/3RR1K1 b - -,c8e6
r2r1qk1/5pp1/6bp/2p1B3/2Pp2Q1/1P6/3R1PP1/4R1K1 b - -,f8e7
8/7k/3b3p/5pp1/P2n4/3R1PP1/4PK1P/8 w - -,d3d4
rnbqkbr1/ppp4p/8/4B3/4p1P1/1P6/P1PP1P2/R2QKBNR w KQq -,h1h7
8/5p1k/4p1p1/Qp1p2P1/2q5/P7/5N2/5K2 w - -,f1g2
r7/p1pR4/1p5p/2p1kP2/8/7P/PPP2K2/8 b - -,a8f8
3rrk2/p4qp1/1b1p1p2/1p1R1P2/2p1nBQ1/4P3/PP4B1/3R2K1 b - -,f8g8
3r4/p4k2/5pp1/1p6/2nP2PP/8/P2bNB2/4R1K1 w - -,e1d1
rnbqkbnr/ppp1p1pp/3p4/5p2/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,g8f6
4r1k1/p1p2rb1/1pbp3p/6p1/2P5/1P3nB1/P1NQ3P/2RR1BK1 w - -,g1h1
r2q1rk1/1p3ppp/pQ1bpn2/n2p3b/N2P1B2/3BPP2/PP2N1PP/R4RK1 b - -,d8b6
2rq1rk1/1p4pp/p2p3b/3b1n2/5pN1/2N3P1/PPP2R1P/R2Q2K1 w - -,d1d5
4rrk1/1p3p1N/5Pp1/p2p4/P4Q2/n5PP/1qP5/R4R1K b - -,b2c2
3r2k1/3r1p1p/pq2p1p1/2b1P3/1ppNQP2/2P5/PP1R2PP/3R1K2 w - -,h2h3
6k1/3n1ppp/2p5/1p3P1N/1P3q2/r3r3/4R1PP/5R1K w - -,h5f4
2r2rk1/p1n3pp/b1p1pq2/2Pp4/1P2pN2/P3P3/1Q1N1PPP/2KR3R b - -,f6b2
8/8/P3ppp1/5b2/2B2P1K/r3k2P/7R/8 w - -,h2a2
r6k/4B1bp/2B2pp1/3P4/8/3b4/5PPN/6K1 w - -,c6a8
r6r/pp3p1p/2nbk1p1/1B1p2B1/8/8/PP3PPP/R2R2K1 w - -,d1d3
2r1b1r1/5pk1/p3pn2/np1pN1p1/3P2P1/q1PBPPB1/P2Q2K1/1R5R w - -,b1c1
r1bq1rk1/pp1n1pbp/3p2pB/2pP3n/4P3/2NB1N1P/PP3PP1/R2Q1RK1 w - -,h6g7
4r1k1/rpp1nppp/p1bp4/8/4PP2/2P1N3/PPB3PP/3RR1K1 b - -,a7a8
r1bq1rk1/pp2nppp/2n5/2B5/2B5/1N6/P3QPPP/2R2RK1 b - -,c8e6
5Rk1/3n4/2p4p/2bpp1Pb/8/PqNP2BP/1P1Q2PK/8 b - -,c5f8
r6k/R2p3p/1pbq1p2/4p3/4P3/1P2Q1PP/1P3PB1/6K1 w - -,e3b6
8/k1p2R2/ppP3p1/3P2b1/1P1r4/8/PR2pP2/4K3 b - -,g5f4
1r4k1/2R2p1p/1Pb3p1/P7/1P1p3P/5PP1/3prNK1/3R4 b - -,c6a4
3r2k1/p1B2qnp/2R3p1/1P1n1p2/5P2/6N1/Q6P/7K b - -,d8d7
3r1k2/pb2b1pp/1q2Pp2/3p4/1r2N2P/1B1Q4/PPP3P1/1KBRR3 b - -,d5e4
5rk1/2P2p2/q5p1/p2Q3p/4N3/P3PKP1/8/8 b - -,a6f1
rnbqk2r/ppp2p2/4pn1p/3pP1p1/1b1P3B/2N5/PPP2PPP/R2QKBNR w KQkq g6,e5f6:h4g3
8/1b3k2/p4P1p/1p1p4/1PnB1K2/1B5P/8/8 b - -,b7c8
r7/1pp1kpp1/2b1p2p/1p2P3/5PP1/P1P5/1P1KB2P/6R1 b - -,a8a4
r2qr1k1/1bpp1ppp/p1n2n2/1pb1p3/P3P3/1BP2N2/1P1PQPPP/RNB2RK1 w - -,a4b5
