8/Pk3p2/6pp/4p3/1P6/6PP/4KP2/8 b - -,b7a7
rnb2rk1/2N1bppp/p2p1n2/4p3/4P3/3pBN2/PPP2PPP/R4RK1 w - -,c7a8
6k1/8/3Bn1PK/p7/1p2p3/8/P4P2/8 b - -,e6d4
r3r1k1/1p3ppp/p7/4n3/4b3/2B5/PP3PPP/R3R1K1 w - -,e1e4
r5k1/p6p/2pr2p1/1p1pR3/3P2b1/2N5/PPP3P1/R5K1 w - -,a1e1
3r2k1/2R2p2/4p2p/pq3r2/Np2Q2P/1P4P1/4Rb2/6K1 w - -,g1g2
2b2rk1/1q3ppp/pb4r1/1p1QR3/1PpN4/2B1RP2/1PP3PP/6K1 w - -,g1f1
1r2k2r/3pnppp/p2b4/P2Pp3/1pq5/6P1/1PP2P1P/R1B1RBK1 w k -,f1c4
5k2/p1rprpp1/1p5p/3Bn3/8/PP2P1PP/3R1PK1/3R4 b - -,f8e8
6k1/8/3p2p1/8/3np2P/P1K1p3/2P5/4N3 b - -,d4f3
rnbq1rk1/4ppbp/pP1p1np1/2pP4/8/2N1PN2/PP2BPPP/R1BQK2R b KQ -,b8d7
3r1rk1/p1q3p1/6np/Pppn1p2/3Pp3/2P1P1PP/1P1N1QN1/R4RK1 w - f6,d2b3
r1bq1rk1/pp2nppp/8/2bp2B1/P2p4/1B1P4/1PP2PPP/RN1Q1RK1 b - -,c8e6
1rbq1rk1/p2p1p1p/n2P2p1/1pp3N1/4P1Q1/6P1/P4PBP/2R2RK1 b - -,f7f6
2N2r1k/1p2b1pp/4p3/8/7P/PQ4B1/KP4q1/2R5 b - -,e7f6
r3r1k1/p1ppq1bp/bnp2pp1/4P3/2P2P2/1P4P1/PB2Q1BP/RN2R1K1 b - f3,f6e5
r2qk1nr/pppb2pp/2np1b2/5p2/2PPp3/2N1B1PN/PP2PPBP/R2QK2R b KQkq -,g8e7
r1bq1rk1/2p1p1bp/ppnppn2/7p/P2PN3/3BBN2/1PP2PP1/R2QK2R b KQ -,c6b4
r4rk1/1b2qp2/1p2p1pp/2p1P1P1/2P1pP1P/1P2P3/3N1R2/3QR1K1 w - -,g5h6
8/PbNk2pp/1p6/4pp2/2p5/5P2/r5PP/2R3K1 w - -,c1c4
8/1R2pk1p/4p1p1/8/P1PN4/bP4PP/5PK1/4r3 w - -,b7b5
r1bqk2r/3nbppp/3pp3/p7/4PP2/PpBP4/1P2N1PP/R2NQR1K b kq -,e7f6
r2q1rk1/pbpn1ppp/1p1p1n2/3Pp3/1PP5/P1N1P3/2Q1BPPP/R1B1K2R b KQ b3,a7a5
8/1p6/p2p4/4k3/1PP1p2P/8/4Kp2/8 b - -,e4e3
7r/p1k4p/1n3p2/1P1r2p1/1Pn2PP1/7P/2R2B2/R5K1 w - -,f2b6
r3r1k1/pp1nppbp/2pp2p1/8/2PP2P1/1PnqP2P/P2N1PK1/2RQNR2 w - -,e1d3
1r3r1k/B7/p2p1PQ1/1pn2n1p/5P2/2P2q2/PP6/K5R1 w - -,a7b8
r1bqk2r/bp3ppp/p1nppn2/8/4P3/1N1BB3/PPP1QPPP/RN3RK1 w kq -,b1c3:c2c4
8/p3r3/1p4k1/2p1b1p1/2P2pP1/1P3K2/P7/3R2B1 b - -,e5f6
rnbqkb1r/ppp3pp/4pn2/3p1p2/3P2P1/5N1P/PPP1PP2/RNBQKB1R w KQkq -,c2c4
4r1k1/R5pp/3r4/5p2/2b5/B1P2nP1/4PP1P/1R4K1 w - -,e2f3
8/p6p/5Qpk/8/5PK1/1q6/8/8 b - -,b3d1
r3r1k1/ppn2ppp/2pb1p2/8/3P2b1/2P2N2/PP1BBPPP/R3R1K1 w - -,h2h3
1r1qk2r/p2b1pp1/2n2n2/2bpp3/8/P1NPP1p1/1P1N1PBP/R1BQK2R w KQk -,h2g3
5r2/2b5/3p4/pPpPp1kp/2P5/5NP1/6K1/R7 b - -,g5f5
r2r4/pp4k1/2b1qpp1/4p3/2PpN1Pp/1P3P2/PQ2P2P/3R1RK1 b - -,c6e4
5b1r/3kpppp/rpP5/2B2b2/2p5/2P1Pp2/PP3PPP/R3KB1R b KQ -,d7c6
1k1r3r/pp2qp1p/2p1b1p1/3p3n/Q2P4/3BPN1P/PP3PP1/1KR4R b - -,h5f6
5B2/1p1k1p2/5P2/4p2R/3p4/4rn2/5K2/8 w - -,h5h3
8/4nkp1/1q6/4pp1p/8/3QP1PP/1B3P2/6K1 w - -,b2e5
7k/ppp1qB1p/1r5r/2b1p1P1/4P3/6P1/PP3PQ1/2R2RK1 b - -,h6c6
r3r1k1/pp3ppp/2p5/3p4/1P1PN2q/4P2P/P1Q2PP1/1R3RK1 b - -,h4e4
r2qkbnr/4pppp/p1p5/2pNPb2/8/2PP4/P3QPPP/RNB1K2R w KQkq -,d5f4
r1bqr1k1/pppp1ppp/2n2n2/8/1b2P3/2N3Q1/PPPB1PPP/2KR1BNR b - -,e8e4
8/r5pp/2k2p2/3pP3/Pbn3PP/2NbPPB1/4NK2/2R5 b - -,f6e5
4r1k1/4qpp1/1pp2np1/r2p4/Pp1P4/1P2NPP1/3QPK1P/2R1R3 b - -,e7e6
r7/P6p/8/3k4/2pp4/5P2/R3K1P1/8 w - -,a2a5
4k3/1p1n4/p1pbp1p1/P3p2p/KPP1P3/3NB2P/5PP1/8 w - -,b4b5
r2q1rk1/pb2bp2/2p3pp/n3pB2/5B2/3P1QN1/PPP2PPP/RN3RK1 b - -,e5f4
b2q2k1/p4rpp/1p1b1n2/4p1B1/4P3/5P2/PPP3PP/R2QK2R w KQ -,d1d3
4rrk1/p1pq2pp/3p4/2pP4/2P1Pb2/1PBR4/P4PQP/5RK1 w - -,g1h1
4r1k1/1q2bpp1/Q2p3p/4p3/4n3/2P2N2/1P3PPP/R1B3K1 b - -,b7a6
r2q3r/1np2ppk/p2b1n1p/1p2pN2/4P2B/2P4Q/PPB2PPP/R2R2K1 b - -,h7g8
8/qB6/P7/6k1/R5p1/6P1/5PK1/8 w - -,g2g1
r1b2rk1/pp1pq1bp/2n1p1p1/2n2p2/2P5/1P2PNP1/PB2QPBP/RN3RK1 w - -,b1c3
8/5p1p/p7/1p3pk1/3Np3/2n5/P2K1PPP/1R6 b - -,c3b1
8/6R1/2k1p2p/5r2/8/6P1/5K1P/8 w - -,f2e3
r3qQk1/p1p1p3/1p3b2/3PPnpp/5p2/B1NR4/PP3PPP/2R3K1 b - -,e8f8
8/3k4/1prnrp1p/3Rp1p1/p3P1PP/P1P1BK2/1P6/3R4 w - -,h4h5
4r3/p1R2bk1/6p1/1P3p1p/8/3Q1P2/q4NKP/8 w - -,d3d4
r1r3k1/1pq1ppbp/p2pbnp1/8/N1P5/1P4P1/PB1QPPBP/2R2RK1 b - -,f6d7
8/5k2/5R2/5pK1/5P2/r5P1/8/8 b - -,f7g7
r1bq1rk1/1pn1bppp/4p3/p1npP3/2P5/5N2/PP1NQPPP/RBB2RK1 w - -,f3d4
r1bq1rk1/3n1pbp/p2p2p1/1p1P4/5N2/2PBB2P/PP4P1/R2Q1RK1 b - -,d7e5
4rr2/1p3kp1/1bpq4/3p1PB1/1P4n1/6N1/2P1NPB1/1R1Q1RK1 w - -,e2d4
8/5R2/1p1r1n2/2p4p/P3k2P/1P6/4BK2/8 w - -,f7e7
r1q1r1k1/ppbn1pp1/2p1pn1p/6Bb/2PP4/1QN2N1P/PP2BPP1/3RR1K1 w - -,g5h4
4r1k1/1p3p2/1np3p1/7p/p2PbB1P/P4BP1/1P3PK1/2R5 b - -,e4f3
b5k1/6pp/1B2pr2/1N6/2P5/Rn5P/3r2P1/6K1 w - -,a3a8
1q4r1/2RQ2bk/3p2pp/3r1p2/1P1Pn3/4P1P1/5PBP/R3B1K1 b - -,d5b5
r1br2k1/1pq1bp1p/p3pp2/8/1np5/2N1N1P1/PP2PPBP/R1Q2RK1 w - -,a2a3
3rr1k1/pp3p2/5p1p/2P1b3/3Bb3/1P2P1PP/P4P2/R2R2K1 b - -,e4f3
8/8/5Kp1/4Q1Bp/k6P/3q4/8/8 b - -,d3a6
R7/4k1p1/8/4K3/4PP2/6rp/8/8 w - -,a8h8
8/r4pp1/7p/2pk4/8/3K2P1/P2R1P1P/8 b - -,c5c4
r1b1nrk1/p2p2pp/1pn1pq2/2p5/2PP4/P1PB4/4NPPP/R1BQ1RK1 b - -,g8h8
2rr2k1/1p2ppbp/p1n3p1/q1pP4/4P1b1/2P1BN2/P2QBPPP/2R2RK1 w - -,f1d1
3r1rk1/pb4b1/1p1pp1p1/2p4p/2PnQ3/P1N1P1P1/1P3PK1/R1BR4 b - -,b7e4
r4r2/p2b2p1/1qn1p1k1/1p1pPpN1/3P4/6Q1/PP3PPP/2R2RK1 b - -,b6d4
8/pPp1Q1bk/2Pp2p1/8/4pp2/q7/8/2KR4 w - -,c1d2
8/pp3kp1/4p2p/2p5/n7/PPPN3P/5PP1/6K1 b - -,a4c3
r4r2/pb1qnpbk/1p1pp1pp/2p5/3nPPP1/2NPB2P/PPPQN1B1/1R3RK1 w - -,e2g3
3r1rk1/p2qnpb1/1pnp2p1/2p1p2p/2P1N1bP/P1NPP1P1/1PQ2PBK/R1B2R2 b - -,f7f5
1rb2rk1/2q1bppp/2np1n2/2p1p3/1p2PPP1/3P2NP/1PP1N1B1/R1BQ1RK1 w - -,g4g5
1nkr3r/1bpqb1pp/4p3/p2pP3/1p1P4/2PB4/1B1NQ1PP/R4RK1 w - -,a1a5
8/pb1r4/1p1nk2R/5p2/1P2p1p1/4B1Pp/4BP1P/5K2 b - -,e6d5
2b5/5nk1/p3pp2/1p4p1/n3P1N1/P2q1P2/BP3BP1/4Q1K1 w - -,e1c1
r1b1kb1r/2q1pp2/p1np1npp/1p6/P3P1P1/1NN1BP2/1PP2Q1P/R3KB1R b KQkq a3,b5b4
2r3k1/5p1p/p5p1/8/q1pRP3/2Q3P1/P4P1P/6K1 w - -,d4d2
1k1r3r/pp6/6pp/2bPpp2/7q/P2Q1P2/KPP1B2P/3R3R b - -,h8e8
2r1rbk1/2q2p2/3p1p1p/1p1P4/4P1P1/1B2QN1P/P6K/R7 b - -,c7c3
r1r3k1/3bbnpp/3ppp2/pp6/2qQPP2/PN4B1/NPP3PP/2R2RK1 b - -,d6d5
2r5/3b4/3P4/1p2n3/1Pk5/5p2/P2Q1P2/6K1 w - -,a2a3
4q1k1/pb3p2/2p3p1/1PP4p/P7/2Q4P/8/2K2n1B w - -,a4a5
r3rbk1/1b1n1p1p/pqpp1np1/1p2p3/P2PP3/BPPB1N1P/2QN1PP1/R3R1K1 b - -,f6h5
r3r3/pp2nk1p/8/2p1R3/4N3/8/PPP5/4R1K1 b - -,e8g8
rnbqr1k1/pp3pbp/2p2np1/3P4/3NP3/2N1BP2/PP2B1PP/R2Q1RK1 b - -,f6d5:c6d5
r1b1k2r/1pp1qppp/2nppn2/p7/2PPP3/P1B2N2/1PQ2PPP/R3KB1R b KQkq e3,e6e5
2kr1b1r/pp1bpp2/2np1pq1/8/4PP1p/1NN2BP1/PPP1Q2P/R3K2R w KQ -,h1g1
1rbq1rk1/3n1pbp/p1pp1np1/4p3/1pP1P3/1PNPB1PP/P2QNPB1/R4RK1 w - -,c3a4
r2r2k1/2q2p2/p6p/1p2nQP1/6p1/PPNp1b2/1BP1N3/2KR4 w - -,g5h6
r2qkb1r/ppp3pp/2n1bp2/3p1p2/3P4/2NBP3/PPP2PPP/R2QK1NR w KQkq -,a2a3:d1f3
3r1rk1/pp1qppbp/2n3pn/1B1pP3/N2P1B2/8/PP3PPP/R2Q1RK1 w - -,a1c1
r1r3k1/pp1b1ppp/2n1pn2/q2p4/2PP1N2/P1P2P2/1BQ3PP/1K1R1B1R w - -,c4d5
3r1rk1/4Rp1p/8/1p3p1P/3P4/p3P1P1/2R2PK1/8 b - -,d8a8
5r2/4qrkn/p2p2pp/1Pp1p3/1P1bP3/P2R1BPP/3BQP1K/5R2 b - -,a6b5
r1b2rk1/pp1n1ppp/1qn1p3/3pP3/1b1P1P2/5NP1/PP3K1P/R1BQ1BNR w - -,f2g2
4rnk1/rp4qp/p1p1p1B1/2PpN1P1/PP1P1P2/4Q3/5K1R/7R b - -,h7g6
8/8/1pR5/p4pp1/1r3k1p/1P6/1PP2KPP/8 b - -,g5g4
8/PKn5/3k4/8/3p4/8/5p2/5B2 b - -,d6d7
rnb2rk1/1pq1bppp/p2ppn2/2p5/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,d1e2
3q2k1/1p6/1Np1b1pb/2P1p2P/1P2P3/6PP/P4RBN/6K1 w - -,h2f1
r1b1r1k1/5ppp/pqnp1b2/4p3/1pRPP3/1P1Q1N1P/PB3PP1/1B2R1K1 w - -,e1c1
r1bqnrk1/1pp1bpp1/p3p2p/4B2n/P1BP4/2N1PN2/1P3PPP/2RQ1RK1 b - -,f7f6
r2q1rk1/pbnp1p2/1p3np1/2b1p3/QPP4p/P1N1P3/4BPPP/R1BR1NK1 b - b3,c5e7
r2r2k1/p1pnqnpp/1p2p3/2P1Pp2/4b3/1NQ2NPP/PP3PB1/2R1R1K1 w - -,f3d4
8/3k4/p3p3/1p3q1p/4Nb2/P1P2P2/1PK2Q2/8 w - h6,c2b3
r1r3k1/ppq1ppbp/4b1p1/8/Q7/3BPP2/PPP3PP/R1B1K2R b KQ -,b7b5
r5k1/ppp3p1/2pbb2p/5p2/8/3P1N2/PPPB1PPP/R5K1 w - -,a1e1
r2qkb1r/pp4pp/n1pp1n2/3Ppb2/2P5/2N3N1/PP3PPP/R1BQKB1R b KQkq -,f5d7
5k2/8/8/1p2pQ2/2p1P2P/q4P1K/8/8 b - -,f8g8
8/8/8/6K1/8/R3nk2/8/8 b - -,f3e4
r4rk1/pp1nppb1/3p2bp/2p3p1/1nPPN3/NP2PP1P/1P2BBP1/R3K2R b KQ -,f7f5
5k2/5p2/p1Np2pp/P2P4/4n3/5NP1/1b3PKP/8 w - -,c6b8
rn3rk1/1p2bppp/p1pp1n2/q3P3/2P5/2N1BP2/PPQ1BPPP/1K1R3R b - -,d6e5
r4rk1/pQ3p1p/1p2p1p1/2n5/2PN4/6P1/PP3P1P/R3R1K1 b - -,c5b7
3r1k2/5ppp/8/1p6/R2P4/8/4KPPP/3R4 b - -,b5a4
2kr1b1r/ppp3pp/4bn2/4N3/q1P5/8/PP2QPPP/RNB2RK1 w - -,b1c3
8/4kp2/2K5/2N2P2/4P3/6b1/8/8 b - -,g3f4
1nq1r3/3npk2/p4bpp/1p3p2/1Nr5/PNP1R1B1/1P4PP/3RQ2K w - -,b3a5
r2q1rk1/p1pbppbp/1pnp1np1/8/2PP3N/2N1P1P1/PPQ2PBP/R1B1K2R b KQ -,e7e5
rn1qr1k1/1b3ppp/1p1b1n2/p1ppN3/3P4/PP1BP3/1B1N1PPP/R2Q1RK1 w - -,f2f4
r2qk2r/ppp3pp/4p3/1PPp1p2/2nP4/4P3/PBQ2PPP/R4RK1 b kq -,e8g8
1r1qk2r/2pb1ppp/1bnp1n2/1p2p3/3PP3/1BPQ1N2/1P3PPP/RNB2RK1 w k -,b1a3
rnb1k2r/pp2ppbp/2pp1np1/q7/3PP3/2N1BN2/PPPQ1PPP/R3KB1R w KQkq -,f1d3
2r5/p1r1k3/1p1pp1p1/1R3p1p/n1PB1P1P/P2PP1P1/R2K4/8 b - -,e7d7
r2q1rk1/1bpn1pp1/1p1ppn1p/8/1pPP4/P1B2NP1/2Q1PPBP/R4RK1 w - -,a3b4
2nr1r2/1pk3p1/p1pNp2p/2P1P1nP/6P1/1P6/1PK3B1/3R1R2 b - -,c8e7
6k1/p4pp1/2p1p2p/1b2P3/8/3rNPP1/P2R1K1P/8 w - -,d2c2
r6r/1p1kbpp1/2b3n1/P2p3p/2pP4/2P2BBP/3N1PP1/R3R1K1 w - -,e1b1
r4Q2/pb3ppk/8/8/1p4p1/6K1/1P3P1P/R3R3 b - -,a8f8
3r4/p1r1n2k/1p1q2p1/2p2p1p/P3P3/2PP2bP/1B3QB1/3R1R1K w - -,f2e2
1r6/p2bkp2/1p2p1p1/1P2P2p/P1NKB2P/B7/6P1/8 b - -,e7e8
r1bqkb1r/pp1npppp/2pp1n2/8/3PP3/2N3P1/PPP2PBP/R1BQK1NR b KQkq -,e7e5
4r1k1/5p2/1pN2bp1/3P1p1p/5Q2/q2P2P1/5P1P/2R3K1 w - -,d3d4
r4rk1/2q2ppp/1n2p1b1/pp1n2N1/2pP4/2P2PN1/PPB2QPP/R2R2K1 w - -,c2g6
1r1r1bk1/8/1pn1ppp1/p6p/P1NPb2P/1PB1P1PN/4BP2/2R3K1 b - -,c6b4
2r2bk1/3q1p2/2p3p1/p2p3p/P2P2bP/1P1BB1P1/3Q1PK1/2R5 b - -,f8a3
4rrk1/pb1q2b1/4p3/1p3p1p/3P2pP/1PP1RpP1/P4Q1K/4RNN1 b - -,b5b4
5rk1/pppq2p1/1b5p/3pB3/P2P4/2P4P/1Q3PP1/R5K1 b - -,c7c6
r2qkb1r/1pp1pppp/p4n2/P2Pnb2/2B5/2N2P2/1PPP2PP/R1BQK1NR w KQkq -,c4b3
1n1q1rk1/2rbb1pp/3p4/N2Pp3/2B1p3/1PQ1B3/5PPP/R4RK1 b - -,d8e8
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq -,g8f6:e7e5:d8c7:g7g6
rq1r2k1/pp2bppp/2n1pn2/1N3b2/3P4/P3B1P1/1P1NBP1P/2RQ1RK1 w - -,e3f4
4r1k1/r3npp1/P4q1p/2Np3P/1pnP1BQ1/b5P1/5PB1/1R1R2K1 b - -,c4b6
r3k2r/ppq2pp1/2pbpnp1/8/8/1B1P4/PPPBQPPP/R3K2R w KQkq -,g2g3
8/8/1p6/1r3kpp/R3p3/P3K3/6PP/8 b - -,b5a5
8/1p1b1pk1/6p1/4p2p/1N1bP3/1B3P2/P5PP/4K3 w - -,b4d3
2r2rk1/pp3ppp/3q4/3p1bPn/1b1B4/2NB1P2/PPPQ3P/1K1R2R1 b - -,f5d3
2r3k1/4R1pb/2p2n1p/1p1pB3/6P1/1BP2P2/1P3KP1/8 b - -,f6e8
r2qkbnr/ppp2ppp/2n1p3/3p3b/3P1B2/P3PN1P/1PP2PP1/RN1QKB1R b KQkq -,f8d6
1Q6/5k2/p3qb2/PnB3p1/1p2b3/7P/1P1R1PP1/6K1 w - -,d2e2
r1bq1rk1/p3npp1/2pp3p/1B2p3/2P5/3PPN2/PP4PP/R3QRK1 w - -,b5a4
2r2r2/p4p2/5kp1/2p5/1n6/5NP1/bP3PBP/R1R3K1 w - -,f3d2
rnb1kb1r/pp1p1ppp/1q2pn2/8/3P1B2/2N5/PPP2PPP/R2QKBNR w KQkq -,g1f3
2B4k/4Q3/2r3pb/p2Np3/2PnP3/P4rP1/5PK1/8 w - -,c8d7
1r6/p4r2/RN1p4/1Pp1pk1p/2P3p1/3P4/R3KPPP/8 b - -,a7b6
4rrk1/p2qn1pp/1p2bp2/2p5/3pPR2/PP1P2NP/2PN2P1/R4QK1 w - -,f4f2
8/1b5p/p1k1p1p1/Pp1n1r2/1bp1N3/5PB1/1P3PKP/2RR4 w - -,c1a1
r3kb1r/ppp1qppp/2n1b3/4P3/3P4/2B5/P1P1Q1PP/R3KBNR w KQkq -,a2a4
8/p4k2/1p3N1p/1n3Q2/1P1q4/P5P1/5PK1/8 b - -,b5d6
r1bq1b1r/1p1knPp1/p1n4p/2p5/P1pPP3/2N2N2/1PP3PP/R1BQ1RK1 b - d3,g7g5
r1bk1b1r/pp3npp/2p1p3/4n1N1/4PB2/2N4P/PPP3P1/R3KB1R w KQ -,e1c1
8/p3q1kp/1p4p1/4p3/3rP3/1PQ4P/P4RP1/6K1 w - -,c3c6
1rb2rk1/p1q1pp1p/3p2p1/2pP4/2P5/1B6/PP1Q1PPP/R4RK1 b - c3,e7e5
r1bq1rk1/pp2npbp/2n1p1p1/2p5/2P5/P1NP1NP1/1B2PPBP/R2QK2R b KQ -,b7b6
8/3q1k1p/Q2b4/1p1PpP2/2p5/2P2P2/5BP1/5K2 b - -,d7c7
8/3N1pk1/3p2q1/p2P2b1/4r3/2P3Q1/PP3PK1/6R1 w - -,g2f1
q3r1k1/5pPp/3B2p1/3P4/2pQ4/2P3PP/5PK1/8 b - -,e8d8
2rq1rk1/1p1nbppp/p1n1p3/3p4/3P1B2/P2BPP1P/1P2NP2/2RQ1RK1 w - -,d3b1
2N5/1p1n4/3Bp1p1/3pP2k/p2P1P2/1b3K2/8/8 b - -,d7b8
r1bqr1k1/1p3pb1/1npp2pp/2n5/p1P1PP2/2N1B1PP/PP2N1B1/R2QR1K1 w - -,e3c5
1k5r/1b2R3/1r5p/3p4/Bp1P3p/PR6/1PP3P1/6K1 b - -,h8g8
r1b4r/4Rpk1/3R2p1/Pp2p3/1P2P2P/1K2N3/7P/8 w - -,e3d5
1r2b1k1/5pp1/1Bp2b2/p1Q1p1q1/8/8/PP3RBP/6K1 b - -,e5e4
2r4k/1q5p/1R1R4/p7/P3p3/4QpP1/1P2n2P/7K b - -,b7c7
3r2k1/p3ppbp/1p1qn1p1/1P6/PNQ1n3/4BNPP/4PPK1/5R2 b - -,e4c5
5n2/R3n1kp/6p1/4p3/1pN1P2P/1P6/P3N3/1K3r2 w - -,b1c2
r4rk1/1p2nppp/p7/q2pb3/2pPnPP1/2P1NQ2/PP5P/R1B2RK1 w - -,d4e5
rn2kb2/pp2ppp1/2p2n2/6N1/3P4/7r/PPPBNP1P/2KR3R b q -,h3h8
1r3rk1/1pp3pp/p2p1n2/P3p3/2q1P3/1RN1Q3/1PP2PPP/5RK1 w - -,h2h3
2kr4/pp2n3/2ppPQp1/6p1/8/7P/PP3P1P/4qBK1 w - -,f6e7
r4rk1/p2qn1bp/1pn2pp1/1N3b2/2Pp1B2/3P1NP1/P2Q1PBP/1R2R1K1 w - -,f4d6
8/5p2/6p1/pp2Pp1p/5P1P/Pr1k2P1/1PR2K2/8 w - -,c2c7
2r1k2r/pp1b4/1qn1p3/3pP3/1P4Pb/P7/1B1QBP2/RN1R2K1 w k -,e2f3
r1b3k1/1pPr1ppp/p5q1/8/8/3pB3/PPPQ1PPP/2KR3R b - -,g6c6
8/1p3pk1/3R1np1/1Pn1N2p/2P2P2/6PP/6BK/2r5 b - -,f6e4
r1b1k2r/pp1n4/n3p1pp/1Np1b1B1/2P5/5N2/PP4PP/2KR1B1R w - -,f3e5
3r4/1p2k3/p2p2p1/2b1p2p/P3P3/1BP5/1P3PPP/2q2R1K w - -,f1c1
rnb1kbnr/p1pq1ppp/1p2p3/3pP3/3P4/P1N5/1PPB1PPP/R2QKBNR w KQkq -,g1f3
r4rk1/1bqnbppp/pp1p1n2/2pP4/P3PP2/1PNB1N2/2Q3PP/R1B2RK1 b - -,f8e8
8/ppp5/3r1k1p/8/2PPR1P1/1P4K1/P7/8 b - -,c7c6
2b2rk1/r7/p2p1q1b/2pP1ppp/PpB3n1/1P1NPNP1/R4PP1/3Q1RK1 b - -,a7g7
3k4/1p3bp1/p7/P1K1pP2/1P1pP3/3P2R1/7r/8 w - -,c5d6
8/8/8/4p3/4Pkp1/R1N5/2r5/4K3 b - -,c2h2
1r3r2/p2bppkp/1q1p2n1/3P1p2/2B2P2/2N1P3/PPQ3PP/R4RK1 w - -,a1b1
6k1/8/1p2pq2/2p4p/2PPR1pP/p5P1/4Pr2/3R2K1 b - -,c5d4
4r1k1/pbq1rpnp/1p1p2p1/2p5/P1P1P3/1P3PP1/2Q2KBP/3RRN2 w - -,f1e3
5r1k/1p6/p4rp1/5p2/2Pbp3/1P4P1/P3N1KP/3R1R2 b - -,d4e3
