3Q1b1k/8/6P1/8/2PpBq2/p7/5P2/5K2 w - -,d8d4
2qr2k1/p3b1pp/1p2pp2/8/2rPP3/P2R2BP/3Q1PP1/3R2K1 w - -,d2e3
4r1k1/p2r1pbp/1p1q2p1/2p1n3/P1PpP3/2P2NP1/1PQ4P/R1B1R1K1 w - -,f3e5
2rqkb1r/1b1n1ppp/p2pp3/1p6/2BNP3/4BP2/PPP1NQPP/1K1R3R b k -,b5c4
2rr2k1/pbq1bppp/1p3n2/3p4/3n4/1PN1P1P1/PB2QPBP/2RR2K1 w - -,d1d4
r2q1rk1/pppb1ppp/3pnb2/8/3N4/2P1B3/PPPQBPPP/2KR3R w - -,g2g4
3rr1k1/pbb2qpp/1pp1pn2/5p2/1PPP1P2/2N2BQ1/PB4PP/3RR1K1 b - -,c7d6
r2q1rk1/1p4pp/2n1pPn1/p1b5/2PpR3/3Q1N2/PPNB1PPP/R5K1 b - -,d8f6
8/3Q3p/5pp1/P2k4/8/4K2P/6P1/5q2 b - -,d5c5
r3k1nr/1p2bppb/p1n1p3/q2pP2p/2pP1P2/2P1BN2/PP1N2PP/R1QB1RK1 w kq -,e3f2
8/p5k1/1p6/6P1/3p1p1P/8/PP4K1/8 b - -,g7g6
2r1nr2/1b2bkp1/p3p2p/1p1pPp1P/3P4/3NB1P1/PP2BP2/R2R2K1 w - -,d1c1
r2qr1k1/1bp1bppp/p1np1n2/1p2p1N1/4P3/1BPP3P/PP1N1PP1/R1BQ1RK1 b - -,e8f8
b2r1r1k/2q3pp/p2Np3/1p2Pp2/3P1P1Q/2P1R3/P5PP/4R1K1 w - -,a2a3
8/5k2/2P4p/3n2p1/3B4/7P/6P1/7K w - -,d4e5
r1b2rk1/pp1qppbp/5np1/3p4/3P4/2N3P1/PP2PPBP/R1BQK2R w KQ -,e1g1
2bBqr1k/p2r2pp/2p1p3/1pPn1B2/3P3P/P4NP1/1P2QP2/R3R1K1 b - -,f8f5
r2q1rk1/pp1n1ppp/2p1pn2/5b2/PbBP3N/2N1P2P/1P3PP1/R1BQ1RK1 b - -,a8c8:d7b6:f5g6:a7a5
8/6k1/3N2p1/7p/4P2P/R4P2/P2b2PK/5r2 w - -,d6c4
2r3k1/1b3pp1/1p2pnp1/3p2P1/q2P3Q/r2BRN2/2P2P1P/4R1K1 b - -,f6d7
r1bqr1k1/1p1n1pbp/2p2np1/3pP3/1BP5/4PN2/P1QNBPPP/R3K2R b KQ -,d7e5
3rr3/ppq2pkp/6P1/8/1Pn1N3/2P2Q1P/P5P1/R4RK1 b - -,h7g6
4rrk1/p1qbbpp1/1p1p1n1p/2pP4/3NP3/P5P1/1PQ2PBP/R1BR2K1 w - -,h2h3
1r3rk1/2q1bppp/p3p3/2p1P3/P1P2P2/n2RB1P1/1p1NP1QP/1R4K1 b - -,a3b1
4r2k/8/3B4/5p2/8/3p1B2/r2K2P1/8 w - -,d2c3
r2q1rk1/1b1nbppp/pp2pn2/2p5/2pP4/1PNBPN2/PB2QPPP/R2R2K1 w - -,d3c4
5rk1/pp2qrb1/nn1p2p1/Q1pPpp2/2P1P3/PPN2Pp1/3B1NKP/2R2R2 w - -,h2g3
6k1/p1q2pp1/1p1bp2p/4N3/3PQ1P1/P4P2/1P2RKP1/2r5 w - -,e4a8
2r1r1k1/3n1pbp/q2p2p1/p1pP4/1p2P3/1P1NBP2/P2Q2PP/2RR3K b - -,a5a4
2r1r1k1/1p4pp/p1b1qp2/2R5/3Bp2Q/1P2P2P/P4PP1/2R3K1 b - -,c6d7
r1bq1rk1/1p2bppp/p3pn2/4N1B1/1nBP4/2N5/PP2QPPP/R2R2K1 b - -,f6d5
2r5/4k3/rp1p3p/1R1Pp1p1/6P1/1R3K1P/5P2/8 w - -,b5b6
2kr1bnr/ppqb2pp/4p3/2ppP3/1P3P2/P1P5/6PP/RNBQKB1R w KQ -,f1d3
r1bk1b1r/1pN1nppp/p1np3q/3P4/4Pp2/5N2/PPP1B1PP/R1BQ1K1R b - -,d8c7
r1b2rk1/1pnnqpb1/p2p2p1/2pPp1Pp/2P1P2P/P1NBBP1N/1PQ5/R3K2R w KQ -,a1b1
1r4k1/2r2pp1/p7/PPbPp3/4P1qp/3Q2P1/1R1B1PK1/1R6 b - -,c5d4
2b1r1k1/Qppnqppp/1n6/1P1Np3/2Pp4/3P1NP1/4PPBP/5RK1 b - -,b6d5
8/p5R1/3kr2p/2p5/1pp2Pq1/2P4P/PP4PK/8 w - -,g7g4
8/3b4/1B1p4/1p1Pp1b1/pP2P3/P1N2pk1/8/4K3 w - -,b6f2
8/1p4k1/p1b5/3p1Rp1/3P3p/4K3/PP6/8 b - -,g7g6
4Q3/5p2/p3q1p1/3Rpk1p/2Pb3P/2r3P1/3R1PK1/8 w - -,e8d8
r2qrbk1/3n1ppp/pp6/2pn1N2/3P1B2/1Q4P1/PP2PP1P/2R2RK1 w - -,b3d5
1r4k1/2q2ppb/5n1p/8/3N2P1/2p1N2P/Qb2PPB1/3R2K1 w - -,d4c2
2n2r1k/1r5p/4q3/PNpR4/2Q1p3/1P3pP1/3R1P1P/6K1 w - -,d5d8
6k1/pb6/1n1pp1p1/2b3Pp/4P2P/6N1/P3BrK1/2B4R w - -,g2h3
6k1/2p5/bb3B2/4n3/4p3/8/1p3PPP/3R2K1 w - -,f6e5
3r1rk1/1p3ppp/p3b3/3np3/8/2P2PP1/PP5P/R1B1KB1R b KQ -,d8d7
5bk1/p2q1p2/4p1p1/3p3p/3P3P/P1Q1P1P1/1P3K2/3B4 b - -,f8d6
rn1qrbk1/pbp2ppp/1p6/3p4/3PnN2/2NBPQ2/PP1B1PPP/R4RK1 w - -,f1d1
1q4k1/p4pbp/6p1/3rP3/b2p1P2/3Q4/P2B2PP/1BR3K1 b - -,a4d7
2b3k1/3q1p2/p2pp1p1/1p4Pp/3QPP1P/3P1N2/PP6/1K6 w - -,d4f6
1r1q2k1/5p1p/pp1p2b1/2pP3n/P7/4NQ1P/1b2N1P1/3R1RK1 w - -,g2g4
2r3k1/6b1/R1n4p/2pbP1p1/2p5/2P1B1P1/7P/4RNK1 b - -,c6e5
1r1q2k1/4pp2/pP1p2pp/2nP4/1Q3PP1/7P/2P4K/1R3B2 b - -,c5d7
rnb1k2r/ppp2ppp/2q2n2/8/3P4/3B1N2/P1PB2PP/R2Q1RK1 b kq -,e8g8
r2qkb1r/pp1n1p1p/2p1p1b1/5p2/2BP1P2/6N1/PPP3PP/R1BQ1RK1 w kq -,c4b3
r7/2q4k/4p2p/1pBn1pp1/1P1Q1P2/4P1PP/7K/3R4 b - -,c7g7
2krr3/ppp2p1p/6p1/7n/1bPP4/3BBP1P/P4PK1/3R3R b - -,f7f5
rnbqkb1r/1p2pppp/p4n2/3P4/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,d1a4:c3d4
6k1/p1rr1ppp/1p6/2b1B3/2P3Q1/1P4P1/P4PKP/8 b - -,f7f5
4b3/p5kp/R3nqp1/2p1Np2/P4P2/1PQ1p1P1/3r3P/5BK1 b - -,d2d4
r2k2r1/3b1pp1/4p2p/pp1pPP1P/n1pP4/2P2BR1/q1PQ2P1/2RNK3 b - -,d8c7
r1b2rk1/1pp2pbp/p2p1np1/3P4/2P1q3/5N2/PP2BPPP/R1BQ1RK1 w - -,e2d3
r1bq1rk1/1p1nppbp/p2p1np1/2p5/B2PP3/2P2N2/PP2QPPP/RNB2RK1 b - d3,c5d4
r3r1k1/1pqb2p1/p1n1pnNp/b1p2p2/2P5/P1N1P1P1/1PQB1PBP/R4RK1 w - -,a1d1
r2q1rk1/p2nppb1/2p2npp/1p1p2N1/4P3/P2P2N1/1PP2PPP/R1BQ1RK1 w - -,g5h3
6r1/1p2k3/p1p1pn2/2Pp2Q1/3P4/5R1P/PPB3P1/7K b - -,g8g5
r1bqk2r/pp1pbppp/2n1pn2/2p5/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f6h5
r2qk2r/pp1b1pbp/2npp1p1/2p5/2P1PP2/2NP1N2/PP4PP/R1BQ1RK1 w kq -,c3b5
r2qk2r/1b2bpp1/p2p1n1p/1pp1pP2/3nP3/2PP2P1/PP3NBP/RNBQ1RK1 b kq -,d4c6
r3r3/1ppq1p1k/p2p1npp/P3pN2/4Pn2/1QPPN2P/1P3PPK/3RR3 w - -,f5g3
8/2kb2p1/8/3N3p/4B3/8/prP3PP/4R2K b - -,c7d6
r2q1rk1/1p2bppb/n1p1pn1p/p2pN3/2P5/PP1P2P1/1B1NPPBP/R2QR1K1 b - -,f6d7
8/4kp2/4b1p1/1p2P2p/pP5P/P2RR1P1/2q1B3/4K3 b - -,e6c4
r1bqk2r/pp1nBpp1/2p1p2p/3p3n/2PP4/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,d8e7
2r3k1/pp1n3p/3r2p1/q2p1p2/2pPP3/2P2P2/P1Q3PP/2R1RNK1 b - -,f5e4
8/K7/PP6/2k5/7r/8/7P/8 w - -,b6b7
3rr1k1/1p3ppp/2pB1P2/1p5P/2N5/2p1PP2/PP6/R4K1R b - -,b5c4
rnbq1rk1/ppb2ppp/2p1pn2/3P4/1P1P4/P1N1P1P1/4NP1P/R1BQKB1R b KQ -,c6d5
r4rnk/ppp4p/3p2qb/3PpbN1/2P5/2N1B2P/PPnQ1P2/2KR1B1R w - -,h3h4
b3r3/2Q1nkp1/P3p3/2B1P1P1/8/4K3/8/8 b - -,g7g6
3r1rk1/p4p1p/2npb1p1/1pp1n3/2P1N2N/1PQ1R1PP/P4qB1/R6K b - -,f2e3
r3rq2/pp3pbk/1n1P2pp/1N1n1b2/3B4/5P2/PPNQB1PP/3R1RK1 w - -,e2d3
4kn1r/pp1r2pp/1qpPp3/b2P2B1/6P1/1B3Q2/1P4KP/R4R2 b k -,b6b5
5bk1/p2r1ppp/4p3/4PP2/2p1P3/6P1/R4NKP/2r2B2 w - -,a2a4
3r2k1/2qn1ppp/1pp1p3/1bP1P3/1P6/2Q3PP/3N1PB1/4R1K1 w - -,d2b3
8/1r4pp/4pk2/RPBn1p2/3P4/4P1P1/5P1P/6K1 w - -,b5b6
rnbqkb1r/ppppp2p/5np1/5p2/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,f8g7
2r2qk1/pp3pbp/4N1p1/8/1n1pP3/3B4/P3QPPP/R4RK1 b - -,f7e6
r2qkb1r/ppp1pppp/2n5/3p3n/2PP1Bb1/4PN2/PP3PPP/RN1QKB1R w KQkq -,f4g3
r5k1/2q5/p2p2pp/8/Pp6/2p3P1/5N1P/Q3R1K1 w - -,a1b1
4r3/6p1/2r5/2nN1Pk1/p1P1pRPp/1P1pK3/P6P/6R1 w - -,b3b4
3q1rk1/p5pp/1pr1p3/8/4P3/1P6/P1p1QbPP/2R2RK1 w - -,f1f2
r3r1k1/pp2qppp/3b4/1b1p4/3NnP2/1P2P3/P1QB2PP/2R2RK1 w - -,d4b5
1k6/2rb1p2/P3p1p1/1B1p2P1/3P1P2/8/3K4/R7 w - -,b5d3
8/8/PK5p/6p1/2k5/1p3P1P/8/8 w - -,a6a7
2r2k2/p4ppp/8/8/2P5/P2r4/R2p1PPP/3R1K2 w - -,d1d2
r5k1/pp3p1p/2b1r3/4n1Q1/4Pp2/1P1B3P/P1PP2P1/5K2 b - -,g8f8
2r1q1k1/1p4pp/p1nBp3/3RPb2/B2P1prQ/P4N2/5PPP/3R2K1 w - -,h4g4
6R1/5p2/4p3/3pk3/8/5rP1/r4P1R/6K1 b - -,d5d4
r1bq1r2/p1p2pbk/3p2pp/2PPp3/4Pn2/3BB2P/P2QNPP1/R4RK1 b - -,d8h4
8/5p2/p2p3k/2pP1p2/2P4P/5q2/P1K5/2Q5 b - -,f5f4
r2qk1nr/ppp2ppp/1b1P4/4n3/2B1P3/2P2Q2/PP3PPP/RNB1K2R w KQkq -,c4b5
r1bq3k/5rp1/p1p2nRp/1p1Pp3/7P/1PNPB3/1PP1QP2/2K3R1 b - -,c8f5
1rq1nrk1/pp1bppbp/2np2p1/2p5/2P1P3/2NPB1PP/PP1QNPBK/R4R2 b - -,e8c7
6k1/1p2q1p1/p3P2p/3p1Q1P/1P6/n2N4/6P1/6K1 w - -,f5d5
2rqkb1r/3bpp1p/p2p1n2/4n1p1/3NP3/N1PB3P/P3QPP1/R1B1R1K1 b k -,e5d3
3r2b1/5k2/p4pR1/2B2P2/r3PK2/1N6/P6R/8 w - -,h2g2
4r1n1/2kbr3/1p1p1pnq/pPpP2N1/2P1P1Pp/1N2Q2P/P5B1/4RRK1 w - -,g5f3
r5k1/1p3pp1/5b1p/1q1p1Q1P/p1p3P1/P7/1P2RPK1/1R6 b - -,c4c3
2b3k1/3rq1b1/p3npp1/1p2p3/4P2p/QNP2PPP/Pn2BB2/1N3RK1 b - -,h4g3
r2qk2r/pp1nbppp/2p1pn2/5b2/4P3/5NP1/PPPN1PBP/R1B1QRK1 b kq -,f5g6
3r1rk1/pp3ppp/1qp1pnb1/8/Nb1PPB2/1B2Q3/PPP3PP/R4R1K b - -,b6a5
8/1k4bp/2Rp1pp1/1P1p2P1/3P3P/r2K1N2/5P2/8 w - -,d3e2
5rk1/p2n1rpp/1p1Q4/2p5/2q2P2/P1B1R1P1/7P/4R1K1 b - -,d7f6
3rrbk1/pp1n1ppp/2p1pn2/6q1/2PP4/PP3QNP/1BB2PP1/R3R1K1 b - -,g7g6
r4rk1/ppqb1ppp/1n2p3/4b3/4PB2/P1N3P1/1P2QPBP/R4RK1 w - -,f4e5
2r4k/2P5/2R5/p4p1P/P2K1P2/8/8/8 b - -,h8g8
3r2k1/1p2q3/5b1R/Q1p1p1p1/2P1NnP1/5P2/PPB5/1K6 b - -,f6g7
r5k1/3bbppp/2r2n2/3pp3/8/P1NBB1P1/1P2PP1P/2RR2K1 w - -,d3b5
3rk2r/4bppp/p2pbn2/1pq5/4PB2/N6P/PP1Q1PP1/1B1R1RK1 b k -,e8g8
3B2k1/5p1p/1pq5/p1p1r3/8/1P2P1P1/P4P1P/2RR2K1 b - -,e5e6
3n4/3P1pk1/3q1bp1/7p/3B4/1B1Q2P1/4K3/8 w - -,d4f6
r2q1rk1/pb2nppp/1p1bpn2/2ppN3/3P1P2/PP1BPQ2/1BPN2PP/R3K2R b KQ -,e7f5:d8c7
6k1/5ppp/p3p3/3bQ3/1q6/4P2P/P4PP1/2N3K1 b - -,f7f6
1br1r3/1p2npk1/p1b1p1p1/3pP3/1P1N2P1/2PBPKB1/1P6/R6R b - -,e8h8
r2q1rk1/pb1nbpp1/3p1n1p/1ppP4/4PP2/6PN/PP4BP/RNBQ1RK1 w - -,h3f2
r4bk1/pb5p/1q2p1p1/4P3/BPpp4/3n1N1P/P4PP1/2RQR1K1 w - -,c1c4
r1bq1r1k/6bp/p2p2p1/2pPpp2/1PP1P3/R4QNP/3B1PP1/4R1K1 b - b3,c5b4
8/p4pk1/6p1/1p3q2/8/P1p1Q3/1P3KpP/R7 w - -,f2g2
4rrk1/pp4bp/3p3q/3b3n/1P3p2/1R3NP1/P4PB1/2Q1BRK1 w - -,b3d3
3r1r2/7k/1pp2ppb/p1p2b1p/3qP2P/1P1P4/P1PBQPP1/2R1R1K1 w - -,d2h6
r5k1/3b4/2n1pqp1/2Rp1n2/1p3BQ1/1P4P1/5PB1/4R1K1 w - -,f4g5
8/ppp1k3/2p1p1p1/4P3/2P2PpP/1P4K1/P4R2/4r3 b - -,a7a5
4r3/1rpR1k2/pp3p1b/4p2p/4RP1P/1P5N/P1P3P1/1K6 b - -,f7e6
8/1k6/8/6p1/1r6/3B4/1P2N3/2K5 b - -,b7c6
r2qk1r1/pp1b1p1p/4p3/4P3/1Ppb4/P4Q2/3N1PPP/3RRBK1 b q -,d8h4
1r1r4/5pkp/4pbp1/pNp5/P1n5/3R4/2B2PPP/3R3K w - -,c2b3
5r2/ppp2pk1/7p/4n3/1P1rP1pP/1B4P1/P5P1/2R2RK1 b - -,c7c6
r4rk1/2p1qppp/np2pn2/p2p4/2PPb3/1PB2NP1/P2QPPBP/R4RK1 w - -,a1c1
5rk1/p3npb1/3N2p1/2r1p1p1/6q1/1Q3NPP/4PP2/3R1RK1 b - -,g4h5
8/6k1/5np1/1p2pq2/pP1p3P/3P4/1P1Q1PNK/8 w - -,d2e2
rnbqk2r/pp2ppbp/5np1/2pp4/3P4/2PBPN2/PP1N1PPP/R1BQK2R b KQkq -,b7b6:e8g8:d8c7
2rq1rk1/1b2bpp1/2p2n1p/pp1pn3/3P1B2/P1NBP3/1PQ2PPP/R3R1K1 w - -,f4e5
r7/4kp2/4p3/3pPnRP/2bP4/pNP1N3/K1P2P2/8 b - -,f5e3
8/1pb5/2p5/p1k2K2/P1P2p2/1P4p1/8/3R4 b - -,c5b4
3r2k1/p1qn1pp1/4p2p/2P5/3N4/4Q2P/P4PP1/2R3K1 b - -,a7a6
7r/5p2/1p1k2p1/pb1p1pPP/3P1N2/PP3P2/3K4/7R b - -,g6h5
3r2k1/1p2p2p/pq2prp1/2pPQ3/8/4B1PB/PP2P2P/3R2K1 w - -,d1d3
6r1/4k3/1R2b3/p7/5P1p/P3PN2/7K/8 w - -,f3h4
2r3k1/1p4pp/p4r2/3p4/1P3P2/P7/1R4PP/5RK1 b - -,c8c4
2r2rk1/pp1q1pbp/2n1p1p1/8/3P4/1QPB4/P2B1PPP/R3R1K1 b - -,d7c7
3r4/1p2rppk/7p/p4R1P/P1NPp3/1P1n4/1K3PP1/3R4 w - -,b2c3
8/1pb2kpp/1pn1p1n1/3pP3/1P1P2P1/P1NBB2P/8/5K2 b - -,c6a7
1r1q1nk1/p1b3pp/Qr2p1p1/3pP3/3P4/BP3N2/5PPP/R4RK1 w - -,a6e2
6k1/4q1pp/2B1b3/ppn1B3/8/PP4pP/2P1Q3/3r2K1 w - -,e2d1
rnbq1rk1/4bppp/p2p1n2/1p2p3/4P3/1NN3P1/PPP2PBP/R1BQ1RK1 w - -,h2h3
2q1r1k1/2r2ppp/ppN3n1/3B2n1/1P2P3/P4P2/3Q2PP/2R2RK1 b - -,g5e6
7R/5k2/4pp1p/5p2/4rP1K/6PP/8/8 b - -,f7g7
r1bq1rk1/3nbpp1/p3pn1p/1pppN3/3P1B2/2PBP3/PP1N1PPP/2RQ1RK1 b - -,c8b7
8/5pk1/1p1r2p1/p1p1p3/P1b1P1P1/2P1QP2/q3B1P1/5NK1 w - -,e2c4
7k/1p1n2p1/1r1P1n1p/4pP2/1b2N1P1/7P/1B4K1/1B1R4 w - -,b2a1
r1b2rk1/pp3pp1/5n1p/8/7B/2P5/P3BPPP/3R1RK1 b - -,f6e4
rnb2rk1/pp2ppbp/2pp1np1/q7/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 b - -,a5h5
2rr2k1/p6p/2p1ppqB/3n3b/7Q/P6P/1P1N1PP1/2R2RK1 w - -,h4g3
1r6/4ppkp/5np1/8/3q4/6P1/3N1PbP/3RQ1K1 w - -,d2f3
5k2/2R5/1p3r1p/pbp4p/4Pp2/1P1P1P2/P2BK2P/8 w - -,a2a4
r3kb1r/pp2pppp/1nnqB3/8/8/N1p2N2/PP3PPP/R1BQ1RK1 b kq -,d6d1
r2r2k1/pQ3p2/5q1p/3P1N2/6p1/2P2bPn/P1B2PK1/R7 w - -,g2h2
1kbrr3/1pp1nppp/p7/2p5/3qPP2/P1NB4/1PP2QPP/3R1RK1 w - -,d3e2
r1b1rnk1/pp2qpb1/2pp1n1p/6p1/2PPp1PP/1PN1P3/PBQ1BP2/2K2NRR b - -,a7a6
8/1p6/p1b2k1p/P1N5/5K2/8/8/8 w - -,c5b3
r2qrbk1/pppb1ppp/3p1n2/4p3/2PnP3/P1NP2PP/1P2NPB1/R1BQ1RK1 w - -,e2d4
8/p1R5/5p2/3P1P2/4pk2/3q4/P7/4K3 b - -,e4e3
r3kr2/ppq1bpQp/2pn1p1B/4pB2/8/7P/PP3PP1/3RR1K1 w q -,f5g4
r1bq1bk1/5r2/1p1p1nn1/pN1Pp1pp/4Pp2/5P1N/PP2B1PP/2RQBRK1 b - -,f6e8
r1bq1rk1/ppp1nppp/5b2/3Pp3/2P5/P3BN2/1P2BPPP/R2Q1RK1 b - c3,e7f5
1rbr2k1/pp2qpp1/2pbpn1p/4N3/2PP4/6P1/PP2QPBP/R1BR2K1 w - -,c1f4
r4rk1/pp2qp2/3p2pp/2pPn3/8/1P2P3/PQ2BPPP/2R2RK1 w - c6,d5c6
8/7p/1Q6/p2p1qpk/4n3/1P4P1/5P2/4R1K1 w - -,g1g2
8/2p2pkp/1p3qp1/p7/2Q5/2P1P2P/P4PP1/6K1 b - -,f6d6
