8/7R/1k4B1/8/3K4/5r1n/7p/8 w - -,h7b7
r1br2k1/ppq1bppp/8/2p1n3/3pNN2/3P2PP/PPP2PB1/R2QR1K1 b - -,c5c4
5r2/2R1b1k1/3p3p/pp1Pp3/6p1/4B1P1/PP4KP/8 b - -,f8f7
2b5/7p/2k1n1p1/1p1N4/1P1BP3/4K1P1/7P/8 b - -,c6d6
8/7p/1Pk3p1/2n3P1/3B3P/p1P2p2/P7/6K1 b - -,c5d3
r3k2r/ppp2p2/1b1pbqnp/4p1p1/B2PP3/2PNB3/PP1Q1PPP/R4RK1 b kq -,e8f8
rnbqkb1r/pp2ppp1/2p5/3P2B1/3P4/2N2P2/PPPQ3P/2KR1BNn b kq -,c6d5
8/6R1/P7/5pk1/6p1/r7/6K1/8 b - -,g5f4
r4rk1/2qb1pb1/p3p1p1/2n3Q1/1p1N4/1BN1R3/PPP3PP/1K1R4 w - -,c3e4
r2q1rk1/1p2bppp/p1b1pB2/P3N3/1nBP4/2N5/1P1Q1PPP/R3R1K1 b - -,e7f6
5r1k/pb1p2p1/1p5p/1P1PQ3/2r5/5qP1/7P/1BR1R1K1 w - -,c1d1
r4rk1/5pp1/p1q2np1/1pN5/2Bn2P1/3PBP1P/PP4K1/R2Q1R2 b - -,c6c5
2br2k1/5q2/p6p/n2p2p1/3P1p2/P1N2P2/5BP1/1Q2R1K1 b - -,a5c4
4Q3/6p1/3p1q2/6k1/4p3/7K/8/8 b - -,d6d5
3r2k1/5pp1/4p3/1pr1P2p/8/2P5/1P2RKPP/R7 b - -,d8d5
8/p2b2k1/1p4pp/3P4/1Q2NP2/7P/q4K2/8 w - -,f2e3
8/4k3/3p2n1/B2Pb3/2P1K3/7B/8/8 w - -,h3f5
rnbqkb1r/p3pppp/2p2n2/8/PppPP3/8/NP3PPP/R1BQKBNR w KQkq -,e4e5
1r5k/2p3p1/3p2q1/2p1b3/2P4P/1P3PB1/2b3KP/3QR1N1 w - -,d1d2
2r1rbk1/1bqn1ppp/pp1ppn2/8/2PNPP2/1P4P1/PB1NQ1BP/3R1RK1 w - -,g3g4
3r4/pp2kpp1/2pnp3/4K1PR/3P4/3R4/PP3P2/8 b - -,d6c4
r4rk1/1ppn4/p2p2p1/3P1p1p/1PP4q/P3PPNb/1Q2BR1P/R6K b - -,a8e8
4k1nr/p2p2bp/3Bp1p1/4P3/2B1N3/8/P2r2PP/2R1R1K1 b k -,d2d4
1r4k1/5p2/p2q2pb/2pP3p/2Pp1P1P/P1nQ2PB/3NR2K/8 w - -,d2e4
7k/1b3Qp1/6np/1Nb1q3/3N4/4B3/1P1K4/8 b - -,b7e4
7k/8/1p1RN2p/pP1n1r1P/P7/8/6K1/8 w - -,d6d8
r1bq1rk1/ppn1p1b1/2pp2pp/5p1n/2PP4/1P1BPN2/PBQ1NPPP/R4RK1 b - -,g6g5
2r1k3/2P4p/p3p3/B3pp2/PP1b4/4rKP1/2R4P/3R4 w - -,f3g2
4Q3/p4pkp/1p2n1pq/2p1P3/7P/2P1B1P1/PP1r2B1/5RK1 b - -,h6e3
n1R5/pp6/3k4/P5p1/6N1/5pPP/6r1/6K1 w - -,g1f1
7k/2b1Q2B/2p5/2p5/1P1q1P2/6PP/7K/8 w - -,h7e4
br1r2k1/2q2pbp/p2p2p1/n2P4/P1p1N3/B3P1P1/2Q2PBP/1R1R2K1 w - -,b1b8
N6r/pp1b2pk/P3n2p/2bpP3/2p5/2P5/3N1PPP/R3RK2 b - -,h8a8
8/1R1bkr2/8/1p2Kp2/p7/P2r1P2/1P5R/8 w - -,e5f4
8/4k3/3pN1pb/p1pPn3/2P1P3/1P4K1/4B3/8 b - -,h6d2
r2qkb1r/pp1n1ppp/5n2/2Pp4/8/4PN2/PP3PPP/RNBQK2R b KQkq -,d7c5
1r4k1/2pnnqpp/3bbp2/BP2p3/N2pP3/3P1PP1/2Q4P/1RN2RK1 b - -,b8b7
4rrk1/pbq2pbp/1pnpp1pB/8/3P4/2PBQ2P/PP3PPN/R3R1K1 w - -,h6g7
1r4k1/3Rrp1p/2n3p1/p3b2n/P3P3/5P2/1P3QPP/4R1K1 w - -,d7e7
4k3/3n2pp/2P1pp2/1P6/7P/1n1R4/6P1/r4NK1 w - -,c6d7
3rr1k1/4qp1b/2p4p/1pP1b1p1/3pP3/PQ1R2P1/1B3PBP/4R2K w - -,b3b4
1r2n1k1/2qb1pbp/pr1p2p1/2pP4/4PBP1/2N4P/RP1Q1PB1/4R1K1 w - -,g2f1
2r2rk1/p1q3b1/1p2bpp1/2N5/2nP1pPB/2PB4/P3Q3/2R2RK1 b - -,e6f7
8/r7/3R4/5kpp/2N5/2PK2PP/5P2/b7 w - -,c4e3
r1br2k1/pp1pnppp/1bp2q2/8/3PP3/2N1B1P1/PP2BP1P/R2Q1RK1 w - -,f2f4
r4r1k/pb2qpbp/1pp1n1p1/3p4/2P1P3/5N2/PPB2PPP/R1BQR1K1 w - -,e4d5
1r3rk1/pbqn1pbp/1pp2np1/P3p3/1P2P3/2P2N2/1BQNBPPP/R4RK1 b - -,b8d8
r1b2rk1/pp3pp1/3bpq1p/4n3/4B2Q/2N5/PPP1NPPP/R4RK1 w - -,h4f6
8/1p2kp2/p2bp2p/4Nn2/7p/2P2N1P/PP2KPP1/8 b - -,d6c5
r2qk2r/1p1b1p2/p3p3/3pP3/P2b1pPp/2NP3P/1P4B1/1R1Q1R1K w kq -,d1e2
6k1/1p3p2/p4n1p/3p2p1/1PnP4/P3BP2/2r1NKPP/R7 w - -,h2h4
r2q1rk1/pb2bp1p/1p2n1p1/3pP3/3B4/2N5/PPPQB1PP/3R1R1K b - -,e7g5
8/5pk1/p4p2/1p2p2P/1P4P1/P4Pq1/4Q3/5K2 w - -,e2f2:e2d3
rnb2rk1/pp3ppp/2pb1q2/3pN3/8/2PB4/PPP2PPP/R1BQR1K1 w - -,d1h5
3r1rk1/1pq2pp1/2pbpn1p/p7/2PP4/3QB2P/PP2NPP1/1K1R3R w - -,g2g4
8/5kpp/p7/1p1b4/8/P1P2P2/2P3PP/2K5 w - -,c1d2
4r1k1/5pp1/1n3n1p/2q5/2p5/2P3PP/1N1N1Pb1/4RQK1 w - -,e1e8
r1b1kb1r/pp3ppp/1qn1p2B/3pP3/1P1p4/P1P2N2/5PPP/RN1QKB1R b KQkq -,g7h6
r3r2k/1pp2bp1/p7/3PnBqp/P1P2R2/2Q4P/1B4P1/5RK1 b - -,a8d8
8/5p2/5k2/8/2NbPPK1/8/8/8 w - -,g4h5
1rbqk2r/pp2npb1/2npp1pp/2p5/2P4P/2NP1NP1/PP1BPPB1/1RQ1K2R b Kk -,e7f5
3rn2r/2kn2bp/1pp3p1/4ppP1/5P2/2N1B3/PP1RBP1P/2KR4 w - -,c3a4
6k1/6p1/6p1/pp2q3/8/2P1BQ2/1P4PP/7K w - -,e3f2
rr4k1/4q1p1/b1p1pn1p/1pPp1p2/pP1P1P2/P1NBP3/1Q4PP/2R1R1K1 w - -,b2e2
8/1k3p2/8/6R1/4K1pr/4PP2/8/8 w - -,g5g4
6k1/2q2p1p/Q2b2p1/p7/3p4/3B1PP1/PrP4P/R5K1 b - -,g8g7
8/3Bp1kp/4Pn2/3p1pp1/1R6/1P2PPP1/1P5r/4K3 b - -,h2b2
8/r2k1pp1/8/1P1K3P/8/8/7P/6R1 b - -,g7g6
r4k2/p2b2pp/2Nq3r/1pR5/1P3P2/3PP1R1/P2Q3P/6K1 w - -,c6e5
3b4/5pk1/4b2p/4P1p1/4B2P/R3B1P1/4r3/7K w - -,h4g5
3r2k1/R6R/p3r1p1/1p3pP1/4pK2/P3P3/1P3P2/8 w - -,h7c7
r4rk1/2q3bp/1pp1b1p1/p3pp2/P1NpP3/1P1P1PPP/2PBQ1K1/R4R2 b - -,f5e4
8/p4p1k/1p2pQ1p/2q5/6PP/8/P5P1/2r2RK1 w - -,g1h1
r2r2k1/2p2qp1/p6p/1P1N1p2/p1Pbp3/P5P1/2Q1PPKP/1R2R3 w - -,c2a4
r1bqk2r/1p2npb1/p1n1p1p1/3pP2P/3N1P1P/2N1B3/PPP5/R2QKB1R b KQkq -,c6d4
rnbqk2r/pp1p2b1/4pn1p/2p1P3/3P1Q2/8/PPP1BPPP/RN2K1NR w KQ c6,d4c5
r1b1qrk1/p2nbppp/1p2pn2/3pN3/3P4/6P1/PPQBPPBP/RN1R2K1 w - -,b1c3
r7/1ppb1qk1/n2p1npb/1N1Pp3/N1P1P3/8/PP2B1QP/R5BK b - -,h6f4
4r3/p4pkp/3q2p1/2pPp3/1rP2P2/2Q3P1/P3R2P/4R1K1 b - f3,d6a6
8/8/R4pk1/8/6p1/2r5/5PK1/8 w - -,a6a5
8/5p2/3k1PNp/2p1p2P/8/3K4/8/8 w - -,d3e4
r2q1rk1/p5bp/2npb3/4p1p1/2PnB3/2N3B1/P2N1PPP/R2Q1RK1 b - -,a8c8
1r1q1r1k/pR4np/3p4/2p1bp2/5N2/3P1Q1P/P1P3B1/5R1K b - -,b8b7
8/8/5p2/7p/5k1P/8/4P1K1/8 w - -,g2f2
3r1rk1/p5qp/1p6/5b2/8/2NP3P/PPn3BQ/R4R1K w - -,g2e4
2r3k1/4p1bp/pBq1P1p1/Pp6/8/8/P1r1QPPP/3R1RK1 w - -,e2e3
r1b1kb1r/4qpp1/pn2p3/8/1p1NP2P/1P5B/P1P1N1Q1/2KR3R b kq -,c8d7
3r1k2/5p2/p3p2p/1b1pP2B/3P1P2/6R1/1r4P1/4R2K b - -,b2f2
2rr2k1/1p3p2/p3pQp1/6R1/5PpP/P1N5/1Pq5/K3R3 b - -,d8d2
5rk1/pp6/4p2p/3p2p1/5N2/2BB4/PP3PPP/4n1K1 w - -,f4e6
r2q1rk1/3bbppp/p3pP2/7P/1p1Np3/1P2BP2/1PPQN3/1K1R3R b - -,e7f6
1rr5/p4p2/R3bpk1/2p4p/P1p5/2B2PP1/1P1RPK1P/8 b - -,c8c7
8/R1p2ppk/2Pp3p/5r2/2r5/6PP/R4P2/6K1 w - -,a7c7
4r3/1p2r2k/3p3p/1PpBqb2/2P2NpP/3P2P1/5P2/Q2R1K2 w - -,b5b6
5r1k/p2b2pp/7b/3NPp2/4n3/P2R1N2/Pr4PP/R5BK b - -,d7c8
3r2k1/pp1r1ppb/n1p1pn1p/3PB3/1bN1P3/1PN3PP/1P2RPB1/3R2K1 w - -,d5d6
r1bqr1k1/3n1ppp/pbp1pn2/1p6/3P1P2/P1N1PBN1/1PQ3PP/R1BR2K1 b - -,c8b7
2q1kr2/3n1p2/2p1rP2/pp1pP2Q/3P2R1/1P1N3P/P5P1/5RK1 w - -,d3f4
b6r/6k1/8/3p1p2/3R2p1/1BpKPqP1/P1Q2P2/8 b - -,h8c8
r5k1/4pp1p/2p1n1p1/1pPpP3/1P6/2B1PPPb/7P/R5KB b - -,a8a1
6k1/pp3ppp/8/3p4/bP1Bn3/P3P1P1/2B2PqP/Q3K2R b K -,g2f2
8/4kpp1/6p1/8/1p1P1nP1/1K1n1P1P/1P2r3/1R1R4 w - -,b1a1
r2q1rk1/1bpn1pp1/1p1ppn1p/b7/P1PP4/NQ3NP1/P3PPBP/2BR1RK1 b - -,d8e7
3r2k1/p4pp1/2pbr3/5p1q/3P2n1/2NQP1P1/P4PB1/1R2R1K1 w - -,e3e4
3r4/4kp2/pq2n3/1p1p2b1/4p3/P1P1NrRQ/1P1R1P1P/3K1B2 b - -,d5d4
4r1k1/p1p2RpR/1p1pP3/5nN1/7r/2P4P/P5P1/6K1 w - -,h7h4
rn3rk1/6p1/2Pqp2p/pQ1pNp2/3P4/7P/PR3PP1/2R3K1 b - -,b8a6
r3r2k/pp3pp1/2p5/q2bP3/4BPPn/4p1BP/PPQ5/3RK2R w K -,e1e2
8/2knb3/3p1pp1/3Pp2p/1BN1PP2/3K2P1/7P/8 w - -,f4e5
8/4b3/4k3/3bpp1p/2p5/3P1P1N/2PBK1P1/8 w - -,d3d4
8/5pk1/R3P2p/7p/5P2/6PK/8/1r6 b - -,b1b7
3q1rk1/1Q3pbp/2p3p1/4p3/2rpP1b1/2nN2P1/1R2PPBP/2B2RK1 w - -,f1e1
3r3r/5kp1/p1q5/1p1p3p/4QP2/1BP5/P5PP/3R2K1 b - -,c6c5
r2qr1k1/1p3p1p/nnp5/2Pp1p2/1P1RP3/1QN1B1PP/P5B1/6K1 w - -,c5b6
4r3/1p3rkn/6p1/1P1Np1Pp/2P1P2P/2QP1b2/6B1/6K1 b - -,f3g2
1nr3rk/1qb2ppp/4pn2/pP1pP3/p2N4/5P2/P2QB1PP/1RR3BK b - -,c7e5
1r4k1/R6p/3Nb3/1B3p2/5n2/3pr2P/1P4P1/3R1K2 w - -,a7a4
1q2r2k/4R2p/1r1p1p2/2pP1N2/1pQ1P3/6PP/5P2/R5K1 w - -,e7e6
r4rk1/1ppbqpb1/p1np1npp/4p3/3PP3/P1P1BN2/1PB2PPP/RN1QR1K1 w - -,h2h3
6k1/5pbp/6p1/8/2N1r3/2n1B1P1/5P1P/4R1K1 w - -,c4d2
3R4/5ppk/p1b1p3/8/P1r1P2p/5P1P/6PK/8 w - -,d8c8
r1b2rk1/p2R4/2p1pBpb/4PnNp/4N3/8/PPP2PPP/4R1K1 w - -,d7h7
8/3R4/3p2k1/b2PpNn1/4P1K1/4NP2/8/r7 b - -,a5b4
r7/1p4kp/1B2rpp1/pb1P4/1p6/6PP/PP4BK/R7 w - -,d5e6
2rqr1k1/pp1nbp2/4p1pB/2pnP3/4Q3/2PB1N1P/PP3PP1/R4RK1 w - -,h3h4
rnb1kb1r/1p1n1ppp/pq2p3/3pP3/8/1N1B4/PPP1QPPP/RNB1K2R w KQkq -,c1e3
2bqr3/2nn1pbk/pr1p2pp/2pP3P/4PNP1/2N1BP2/1P1QB3/R3K2R b KQ -,g6g5
5rk1/2p2p2/1b1p3R/pb2p3/4B3/1N6/5PPP/4R1K1 b - -,a5a4
8/5pkp/4p1p1/3qP3/1b3P2/2R5/6PK/2Q5 w - -,c3f3
8/3b4/8/4Q1p1/1p3n2/1P3P2/P1kr2PK/8 b - -,d2g2
1nb1rbk1/1r3p1p/p3p1p1/B3N3/N2PpP2/4P3/1P4PP/R4RK1 w - -,f1c1
r1bq1rk1/pp3ppp/5n2/3p4/2pP4/PnP1PPP1/5NBP/R1BQK2R w KQ -,a1a2
7r/Pk2ppb1/q7/3rn1p1/1P1Bp1p1/2PbQ3/1N2NPPP/2R1K2R b K -,a6a2
2r1rnk1/pb2pp1p/1p3npb/q3N3/2PP4/P1NB4/1B2QPPP/3RR1K1 w - -,c3b5
2b1qr2/5rk1/pp1p1pp1/2pP2b1/P1P1P1Pp/1P1n3P/2Q2RB1/2B2R1K w - -,c2d3
r2r2k1/1b4p1/1b3pNp/pp2pn2/3P4/P1R1B2P/1P2NPP1/3R2K1 w - -,c3d3
6k1/1q4pp/1n2pp2/8/4P3/3N1PP1/6KP/2Q5 b - -,b6d7
r2qkn1r/p3p3/2p1p1p1/3pQ2p/P1pP3P/2N2P2/1PP3P1/R3K2R b Qkq -,h8h7
r1q1kb1r/p2n1pp1/Ppp1p3/1N2P1Bp/2P5/5Q2/1P3PPP/R4RK1 w kq -,b5d6
r2qr1k1/2p2pp1/pb2b1np/1p1pp3/4P1P1/2PP1QN1/PPB2PP1/R1B1R1K1 b - -,g6h4
7r/1bk2p2/pp2p1p1/2q1P3/P1Pp1PPP/1B1P2K1/3Q4/5R2 w - -,f1f2
3rr1k1/4bbpp/8/p2p2P1/qPpPpPB1/4P3/1P2Q2P/1NR2RK1 b - -,a5b4
r5k1/pp1qrppp/2n2n2/8/2Np4/1P3PPP/P2Q1PB1/R3R1K1 b - -,a8e8
2r5/6kp/4qpp1/1p2r3/8/2PQb2P/PB4P1/4RR1K b - -,c8e8
3rr3/pp3k2/2p2ppp/8/2P3P1/1P6/P6P/3R1R1K w - -,h1g1
8/6R1/4k3/2b5/4PP1p/6P1/2r5/5K2 b - -,h4h3
6kr/p4rn1/3p2q1/2pP1p1p/1pP2PpB/1P1B2N1/P2QR3/3K4 b - -,g8f8
8/R5p1/4bpk1/8/3B4/6K1/8/2r5 b - -,c1c4
rnbqk2r/2p1npbp/pp1pp1p1/8/P1BPP3/2N2N2/1PP2PPP/R1BQ1RK1 w kq -,d1e2:c1e3:f1e1
8/1Bn3p1/1p1k1p1p/4p3/1PP2PP1/2K4P/8/8 w - -,f4f5
8/8/8/5Bp1/2bp1kP1/8/3K4/8 b - -,f4e5
4q3/7k/Pp2Qbp1/1P3p1p/3p1N1P/3R1PP1/1r6/6K1 b - -,e8f8
1rnr4/ppq1n1bk/3pbpp1/PPp1p2p/2P1P2P/1QNP2P1/3BNPB1/1R2K2R b K -,e7g8
1r1q1rk1/1p1bp1bp/p2p2p1/n1pP1pN1/P1P3n1/1PNQ2P1/3BPPBP/1R3RK1 b - a3,h7h6
3r1rk1/4b1pp/4q3/1p2Pp2/2pP1P2/8/1PB3PP/R2Q1R1K w - -,b2b3
6k1/6n1/1q2prp1/3pR1N1/2pP3P/2P5/6P1/4Q1K1 w - -,g1h2:e5e2
2r3k1/q1r2pbp/b3p1p1/1p1p4/2pP1N2/P1R1P1PP/1P1Q1PB1/2R3K1 w - -,c3c2
r1b4R/1p1nkp2/p7/2n1p1pp/4P3/1B3N2/PP4PP/3R2K1 w - -,h8h7
r2q2k1/2p2pp1/b1P3rp/p1Q1P3/3NR3/3p2PP/PP4P1/R5K1 w - -,g3g4
8/2k4p/2p5/p1P2p2/PP1K1Pp1/6P1/7P/8 w - -,b4a5
1R3rk1/5pbp/8/p1qBn1p1/4P3/1Q1p3P/5PP1/4RK2 w - -,b8f8
2r3k1/p6p/bp2p1r1/8/3Pq2B/2P5/5PP1/R3R1K1 w - -,e1e4
8/4B3/1pk3p1/4Kp2/1PP2PbP/8/8/8 b - b3,g4e2
b1rq1r1k/4b1p1/1np1Q2p/1p2N3/1P1P4/4P3/4BPPP/2R2RK1 w - -,e5g6
r2q1rk1/1b3pp1/p3pb1p/1p1p4/3NnB2/P3P2P/1PP1BPP1/R2QK2R w KQ -,d4b3
2brk3/p3p3/2p5/2N2p2/8/4bPP1/PKR5/5B2 b - -,d8d1
r3r3/1p4bk/1qpp1p1p/p2PnRp1/4P3/1PN1R1P1/P1PQ2BP/6K1 w - -,h2h3
3b3k/qp3rpp/2bpn1n1/3N1p2/pPP2P2/P1BPP1R1/1Q4BP/R6K w - -,a1g1
8/4k3/4pp1p/3p4/1pqP4/4P1KP/1P1Q2P1/8 b - -,b4b3
r1bq1rk1/ppp2ppp/2np1n2/2bNp3/2P5/3P1NP1/PP2PPBP/R1BQ1RK1 b - -,f6d5:h7h6
5k2/5pb1/2p3pp/p1r5/P3RNP1/2p1P2P/2P2PK1/8 b - -,h6h5
1r1qbr1k/pp6/4p2P/4P1p1/7R/P2B1pQ1/1PP5/2KR4 w - -,h4g4
8/3k4/6p1/2pP2P1/1bP5/3K4/3B4/8 b - -,b4a3
1r4k1/pb1n1r1p/np1Pq1pb/P1p1p3/4N3/BPN3P1/2R2PBP/3Q1RK1 w - -,a3c1
8/p4pk1/1pr4p/1B4p1/PB1b4/1bp5/5PPP/2R1K3 b - -,c6e6
6k1/2R5/p5p1/1p4r1/2nB4/7P/8/7K w - -,h1h2
3r2k1/bpp2pp1/p1n1b2p/2n1p3/4P3/2P1BNNP/PPB2PP1/R3K3 b - -,c5d3
1k6/1p4p1/5pn1/1p3b1p/5P2/P1N3P1/3r3P/4RBK1 w - -,f1b5
6k1/3nbpp1/q2pp3/7p/4P3/3NBPP1/PQ4KP/8 w - -,b2c2
r1nqrbk1/1bp2pp1/p2p1n1p/1p1Pp3/P3P3/1BP2NN1/1P3PPP/R1BQR1K1 w - -,a4b5
r2r2k1/pb3pp1/2pqpn1p/1p6/3P3Q/2PB1N2/PP3PPP/3RR1K1 b - -,a7a6
rnbq1rk1/pp2ppbp/3p1np1/2pP2B1/4P3/2N5/PPPQ1PPP/R3KBNR w KQ -,f2f3
