8/5k2/6p1/7p/4b3/PR5P/2r2BpK/8 w - -,f2g1
3k4/6p1/1p6/2pP4/P1P3QP/7K/8/1q6 w - -,g4f4
r1bqr1k1/ppp1npbp/3pn1p1/7P/4PN2/2N3Q1/PPPB1PP1/2KR1B1R b - -,e6f4
r1b1rnk1/pp2qpbp/2pp1np1/8/1PPPp3/2N1PN2/PBQ1BPPP/4RRK1 w - -,f3d2
r5k1/4r1p1/4n1pp/2p5/pb2P3/1B3PP1/1P3B1P/2RR2K1 w - -,b3d5
r3n1k1/1bqn1ppp/2pN4/2Pp4/1P2p3/2B1P3/2Q1BPPP/1R4K1 w - -,d6b7
1qr3k1/1p4b1/pB1p3p/Pb1P2p1/4NQ2/R4P2/6PP/6K1 w - -,f4f5
r1bqk2r/pp1nbppp/4pn2/2p5/3P4/2PB1NN1/PP3PPP/R1BQK2R b KQkq -,d8c7
2b2r1k/p5pp/7b/3NPp2/8/PR3N2/P1r3PP/R5K1 w - -,b3c3
r1bqnrk1/3nbppp/p2p4/1p1Pp3/4P3/2N1B3/PP1NBPPP/R2Q1RK1 w - -,a2a4
4rrk1/1bq3pp/pp3N2/2pPb3/3n1N2/3P2PB/PP5P/R1BQ1RK1 b - -,f8f6
3r4/8/6p1/2N3k1/1PK4p/R7/P7/8 b - -,g5g4
8/8/k1pQ4/7p/p6p/P7/4q3/6K1 b - -,e2e3
r1bq1r1k/pp4pp/3b4/2nNn3/2BNpp2/1PP5/PB3PPP/R2QR1K1 w - -,f2f3
1RB5/5pkp/P3p1p1/2r5/3p4/2n5/5PPP/4K3 b - -,c5a5
2r3k1/r4ppp/p4q2/1pnPp3/2p1P3/2Pn2P1/R4PBP/1Q1R1NK1 w - -,f1e3
1nnr1rk1/1pq3p1/pp1pp2p/1P6/P1N1P1QN/2PP4/6PP/R4RK1 b - -,c7d7
r1b2rk1/1p2q2p/p1n1pbp1/2P2p2/2BP4/P5P1/1BQ1NP1P/1R1R2K1 b - -,g8h8
8/3n4/p3kp2/P3p1p1/6P1/B2K4/5P2/8 w - -,d3c4
r1bq1rk1/pppn1pbp/2P2np1/3p4/3N4/1PN3PP/P3PPB1/R1BQ1RK1 b - -,d7e5
3k4/R4pp1/8/7p/1P5P/4PKP1/pr3P2/8 w - -,b4b5
8/3b1pk1/5qpp/1B6/P2r2P1/2Q4P/1P2RP1K/8 b - -,d7b5
r4rk1/2p5/1p1p1bp1/pP1Pp2p/P1P1p2q/4B1R1/4KP2/1Q4R1 b - -,f6d8
rnbq1rk1/p3bppp/1p1ppn2/8/2PNP3/2NB1Q2/PP3PPP/R1B2RK1 b - -,c8b7
2r2rk1/3qbpp1/p2p1np1/np2p3/4P1P1/1BNQBP1P/PPP5/3R1RK1 w - -,c3d5
3r4/p4kb1/1p5p/8/4NpP1/1P3p2/P4P1K/2R5 w - -,c1c7
r1bb1rk1/3n1p1p/p1R1p1p1/3pP3/N2B1P2/P2B4/1P4PP/2R3K1 b - -,d8e7
8/6pk/2r5/p2pPp2/1p1Q1P2/6P1/PP2q2P/3R2K1 w - -,d4d3
6r1/pb2k2B/4pr1b/1ppp4/5P2/2P5/PP1N1RPP/4R1K1 b - -,g8g7
r3brk1/1pp1qpp1/n4n2/p2Pp2p/2P1P3/3N2PP/PP1NQ1B1/R4RK1 w - -,f1f5
4r3/5P2/3R4/3KPk2/8/8/8/8 b - -,e8f8
3n2k1/nppq2bp/4rpp1/P1Pp4/3P2P1/3B2BP/Q4P2/1R2N1K1 b - -,a7c6
5k2/1p3p1p/5np1/p1r5/PP1p4/3B1PPP/2PK4/1R6 b - -,c5g5
1B1r3k/pR1b2bp/6p1/2q1p3/2nN2P1/2P4P/P3QP2/4R1K1 w - -,b7d7
r3rb2/3k2pp/2p1qp2/1p1p4/1PnP1B1P/2NR1QP1/2P2PK1/1R6 b - -,g7g6
r1b2rk1/1pqnppbp/p1p2np1/2Pp4/3P1B2/2N2NPP/PP2PPB1/2RQK2R b K -,c7d8
6r1/8/4k3/5R2/4PKP1/8/8/8 b - -,g8h8
8/5k2/2R5/6P1/2pK4/3b4/8/8 w - -,c6f6:d4e5
2r5/pk3pp1/Npn1p1b1/1P1p2Pp/1B1P3P/1P2PP2/5K2/2R5 w - -,b5c6
6rk/1Q4p1/5p1p/4p3/4P2P/p1R3P1/q4PK1/8 b - h3,g8d8
r1b1k1r1/pp1n1p1p/4p3/2P2p2/8/1NP3P1/P1P2P1P/R3KB1R b KQq -,d7f6
r5rk/1p1b4/1nn1pq1p/p2p1p2/3P3P/1PN2NR1/P2Q1PP1/1BR3K1 b - -,f5f4
r3k2r/pp2qpp1/2pb1n1p/3p1B2/3P4/2N1P1P1/PPQ2PP1/R3K2R b KQkq -,g7g6
3R4/8/2p5/4rbp1/6kp/2PB1p2/1P3K2/8 w - -,d8d4
r7/4kp2/p1r1p1p1/Pp1pP2p/7P/2PP4/3K1PP1/RR6 w - -,b1b3
3b2k1/6pp/4b3/1p6/1p1Bp3/P1N1P1P1/7P/6K1 w - -,a3b4
r1b2rk1/ppp1qppp/2n2n2/3pp3/2P5/P1QPPN2/1P3PPP/R1B1KB1R w KQ d6,c4d5
2kn4/R7/1pbqp3/1P6/2QPp1P1/4P3/4K3/8 w - -,b5c6
3r1rk1/2q3pp/2p2p2/p1P2P2/Rb1B4/4N3/3n1PPP/Q2R2K1 b - -,d2b3
r1b2rk1/1pp1qpbp/p1n2np1/4p1B1/4P3/2P2N2/PPQNBPPP/R4RK1 w - -,d2c4
1rb1kb1r/R2pqppp/8/1P1P4/1np1B3/2N1P1P1/1P2Q2P/4K1NR b Kk -,e7c5
1rb3qk/6rn/p2p1ppB/2pPp3/2P1P1PP/1PQ3R1/2B5/5RK1 b - -,g7f7
3r4/2kr2pp/1p1n1p2/p1p1p3/4P3/2PB1P2/PP2K1PP/R2R4 b - -,c5c4
r2q1Rk1/pp2n1bp/6p1/3pp1N1/3P2b1/1QN1B3/PP4PP/R5K1 b - -,g7f8
1rbr2k1/4p1bp/1Np3p1/p4p2/4P3/4BP2/PPP3PP/R3K2R w KQ -,a1d1
1r3rk1/p1q5/2pbb2p/3pp1p1/5p2/2P2QB1/PPBN1PPP/1R3RK1 w - -,f3h5
2rq1rk1/pp3ppp/2nbpn2/7b/1P1P4/P1N1BN1P/3QBPP1/R4RK1 w - -,f1d1
8/2kr2p1/p1n1pb2/6N1/2q5/2N3RP/1P3PP1/4Q1K1 b - -,c6d4
r1bq1rk1/pppnn1b1/3p2pp/3Ppp2/2P1P3/2N1B3/PPQNBPPP/R4RK1 w - f6,f2f3
1n6/6p1/1p1k1p1p/1K2pP2/1PP1B1P1/7P/8/8 b - -,b8d7
2r3k1/p2nnppp/qp2p3/3pP3/1Q1P4/2N2N2/PP3PPP/5RK1 b - -,e7g6
r4b1r/ppk2Bpp/3p1p2/2p5/3nPBb1/5P2/PPPN2PP/R3K2R b KQ -,g4d7
8/8/p1b3k1/P1P3p1/3P2Pp/2B4P/5K2/8 w - -,c3d2
3rr1k1/2pn1pp1/1pq1p2p/pR4N1/P1PP4/2P4P/4QPP1/4R1K1 w - -,e2e4
8/pp2kr1p/2p5/8/2r5/8/PP1R3P/6RK b - -,c4f4
rnbqkb1r/pp3ppp/3p1n2/2pPp3/8/2N2N2/PPP1PPPP/R1BQKB1R w KQkq e6,d5e6
r3rk2/1bqn1pbQ/pp1pp1p1/6P1/Pn2PP2/1NN4R/1PP3BP/R1B3K1 w - -,c1d2
8/4kpbp/4b1p1/8/2p4P/2p3P1/2B2PK1/1N6 b - -,e7d6
7k/p5p1/7p/8/2P1QP2/1P6/P4KBP/3q4 b - -,d1d6
r2q1rk1/4n1b1/ppnpb2p/2p1pp2/1P6/PNPPBNP1/4QPBP/1R3RK1 w - -,e2d2
8/r3kb2/2R5/4p1Rp/2P1p3/p3Nr2/K7/3N4 b - -,h5h4
3r2k1/3r1ppp/2p4P/4p1q1/1P2n1b1/1Q2P3/2B2PPR/R1B1K3 b - -,g4e6
rnbq1rk1/ppppppbp/5np1/8/3P1B2/2PBP3/PP3PPP/RN1QK1NR b KQ -,d7d6
5r1k/pp5p/2pp4/4b1B1/2P1r3/8/PP1R3P/1R5K b - -,e4c4
4k1r1/n2nb2p/r1q1p1p1/p3P1BN/2pP4/2P2N2/2Q3PP/RR4K1 w - -,h5g3
r2nkr2/1b1n1p2/1p2p2p/pB1pP1qQ/P2P4/5R2/1PN3PP/R1N3K1 w q -,h5g5
6k1/bp3pp1/p1b3qp/2Np4/P2Pn3/1P4PP/1B3PB1/4Q1K1 w - -,b3b4
3r1bk1/1pq2p1p/6p1/6P1/2PrPP2/PRR5/6BP/2Q4K w - -,g2f3
7N/kp6/p3p3/q2pP3/b2P1p1r/P4Q2/1PP5/1KN4R b - -,h4h1
8/6pk/3bp2p/1p3p1P/1P1N2q1/4P1P1/5P2/5QK1 b - -,e6e5
r4rk1/1p1b1ppp/p1nqpn2/3p4/3P4/2PB1N2/PP1N1PPP/R2QR1K1 w - -,f3e5
5Rkn/1p4p1/4p2p/p2pN2P/Pq1P1rP1/1P1Q1P2/6K1/2R5 b - -,f4f8
r1bq1rk1/pp2ppbp/5np1/2nP4/2B5/1QN2N2/PP1P1PPP/R1B2RK1 w - -,b3a3
rnbqkb1r/pp2pppp/3p4/2n5/7B/5N2/PPP1PPPP/RN1QKB1R w KQkq -,c2c4
r4rk1/pp1q4/3np1pp/3pP3/8/2P5/PP1B2PP/R2Q1RK1 b - -,d6f7
r7/3k1p2/4pBp1/3p2P1/2n2b1P/8/1PK1B3/7R w - -,h4h5
r1b2rk1/1p2qpp1/p3p2p/3pP3/3NnP2/1B6/PPP3PP/R2QR1K1 w - -,c2c3
1r2kn1r/4q1bp/p1bpp1p1/1p3nN1/4NP2/P2BB3/1PP1Q2P/2KR2R1 w k -,e3d2
4nr1k/3q2pp/pr1p2b1/2nPpNR1/p1p1P3/2P3NP/RPB1QP1K/8 b - -,d7f7
2r1r1k1/p3bp1p/1p2p1p1/q2b4/2BP2N1/P1PQ1P2/6PP/2BRR1K1 b - -,c8c4
r5k1/ppp1rpp1/3q1n1p/1B1Pn3/6b1/1NN1P2P/PPPQ2P1/R4RK1 b - -,g4d7
2r2rk1/pp1qppbp/1n3np1/3p4/3P1B2/1QPB3P/PP1N1PP1/R3R1K1 b - -,e7e6
r1b1kb1r/1pqp1ppp/p1n1p1n1/8/3pP3/2N2NP1/PPP2PBP/R1BQR1K1 w kq -,f3d4
r2qr1k1/pbp2pBp/1pn3p1/3np3/8/1N1P1NP1/PP2PPBP/R1Q2RK1 b - -,g8g7
4r3/6k1/p7/1p1p1B2/3r1P2/1R4pK/P7/8 b - -,g7f6
2rr2k1/pp2bp2/1q2b1pp/2ppP3/5P1P/1NP3P1/PP3QB1/3RR1K1 b - h3,h6h5
5R2/8/P5p1/5k1p/2Pbp2P/1P6/r5P1/3K4 b - -,f5e5
r1q1r1k1/bpp2ppb/2np1n2/pP5p/2PPp3/P1N1P1PP/2Q2PBK/1RB1NR2 b - -,c6e7
8/P4R2/8/5kPK/8/8/8/r7 b - -,f5e6
2k4r/pp1rqpp1/2p2n1p/2N1nP2/8/PP2P2P/2Q1BP2/R3K1R1 b Q -,d7d5
8/8/p1kr4/Pp3pp1/1Pp5/6P1/3R1P2/2K5 b - -,d6d2
2kr3r/pp1n1pp1/2p1b1np/4P3/3BP3/3B4/PPP3PP/R2N1RK1 w - -,d3e2
r1r3k1/1p1bqpp1/p1n1pn1p/b1p3N1/2P5/PPN1P3/1BQ1BPPP/R2R2K1 w - -,c3e4
2rr2k1/1p3ppp/3Npn2/p7/8/P3P2P/1P3PP1/2R2RK1 b - -,c8b8
r4B2/1b3P2/2k1p1Bp/Pp1p4/2p5/4P3/2K2P2/8 b - -,a8f8
1kr5/1p1bbp1p/pQ1Rpp2/4rP1q/P3P3/1NN3P1/1PP5/1K4R1 b - -,e7d6
r5k1/1p1b1pp1/7p/p2p1P2/P2B4/3P1P2/1PP2K1P/R7 b - -,a8c8
r5k1/3n1ppb/4pB1p/2bp4/2P5/5NP1/3NPPBP/2R3K1 b - -,d7f6
8/7k/p2p3p/1p1n1b1p/1P6/4P1P1/3R1P2/2r2BK1 w - -,d2d5
2q2k2/pb3p1p/1p3np1/5r2/2B1pR1P/1P2Q3/P4RP1/6K1 b - -,b6b5
r1b3k1/pp3npp/4p3/5p2/8/2N1P3/PP2BPPP/3R2K1 b - -,g8f8
3r2k1/2pqpp1p/p5P1/3r4/3P2PP/Pp2Q3/1P6/1K1R3R b - -,h7g6
r2q1r1k/ppp1p1bp/1nn5/6R1/3PP3/2N1B3/PP4P1/2KQ1BN1 w - -,g1f3
8/2R5/1p5p/1P3p1k/P5p1/5nP1/3rB3/5K2 w - -,c7c6
r2r2k1/p1Rb1pbp/1p1q2p1/3Q4/4PP2/1P2BB2/6PP/2R3K1 b - -,g7f8
5rk1/p5pp/1pp3q1/5p2/3P4/P1nB1Q2/2P3PP/4R1K1 b - -,g6d6
8/4k3/1p4p1/pB1p1p1p/Pn3P1P/1Rr1P1P1/3R1K2/8 b - -,c3b3
8/1pk3r1/p1bp1p1p/4pP2/4P1PP/5B2/PP1K2R1/8 b - -,c6b5
6r1/3k1p2/p5r1/1p1Pp3/P3P3/1R4P1/1P4K1/R7 b - a3,b5b4
3q1rk1/2nbp1bp/pr1p2p1/2pP1p2/2P3n1/RPN3PN/3BPPBP/2Q2RK1 b - -,d8b8
r4rk1/5p2/1p2p1pb/p2pPn1P/3P2Qq/2PR3N/P4P2/1B3RK1 w - -,g4h4
rnbqk2r/p1p1bppp/1p2pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,d2d4
3r2k1/5p1p/6p1/p7/1p3PP1/1Pb2B1P/7K/1R6 b - -,d8d4
2r5/p1k2pp1/qnp1p2p/P1BrP2P/5P2/R7/1PQ3P1/1KR5 b - -,b6d7
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,c4d5
rnbqkb1r/ppp2ppp/1n1p4/8/2PP4/3B4/PP3PPP/RNBQK1NR b KQkq -,b8c6:f8e7:g7g6
r1br2k1/ppq1bppp/2p2n2/2Pp4/3P4/P1N5/1P1NBPPP/R2Q1RK1 b - -,c8f5
r2qkbnr/1p2ppp1/p5p1/3p4/1n1P2PP/2N1B3/PPP2P2/R2QKB1R b KQkq -,e7e6
2k4r/ppp1r1pp/8/4p3/4b3/2P5/PP3PPP/3RR1K1 w - -,e1e4
r1r1q1k1/pbpp1ppp/1p1b4/4n3/2PN1B2/P3P3/1PQ1BPPP/3R1RK1 b - -,d6f8
2r1k2r/3bbp1p/p2ppp2/1p6/3NP3/1PqQ2P1/P1P2PBP/R1R3K1 w k -,d4e2
3rr1k1/1b3ppp/p4n2/qpb5/8/PBN1B3/1P2QPPP/3RR1K1 b - -,c5e3
r2q1rk1/1p2ppbn/2p3pp/3pP3/2nP1P1B/1PNQ1N2/P5PP/1K1R2R1 b - -,c4a5
8/pp1q2k1/2pnrpp1/3p3p/3P1b2/2PQ1N1P/PP1NRPP1/5K2 b - -,d7e8
1rb1k2r/2qp1pp1/p3pn1p/bp6/2BNP1PP/P1N1BP2/1PPQ4/1K1R3R b k -,b5c4
1kr4r/1p2qp1p/p1b1p1p1/2npP3/3R1P2/2N1Q3/PPP1B1PP/2K4R w - -,c1b1
8/p7/2p1k3/1pP1n3/1P2p2p/1P2P2P/2K2N2/8 b - -,e6d5
8/1p6/2p2kp1/2Pp2r1/4p3/1R6/4KN2/8 b - -,f6e5
r1b2r2/p1qn1pbk/2p2npp/1p2p3/4P2N/1BNR2B1/PPP1QPPP/2K4R b - -,a7a5
6k1/1p2bpp1/p1r1pn1p/4B3/2P3P1/1P3P1P/P3B3/3R2K1 b - -,b7b6
r3r3/1ppq1pk1/p2p1npp/P3p3/4P3/1QPPN2P/1P2RPPK/3R4 b - -,d7b5
1q4k1/4ppb1/5npp/Q2P4/2p1P1b1/5N2/1rBB1PPP/2R3K1 w - -,f3d4
8/pr1r1pk1/1q2p1p1/7p/R2p3P/3B2P1/2R2PK1/4Q3 b - -,b6b3
rq3rk1/p5bp/1p2p1p1/5p2/1PPpN3/3P2P1/4PPKP/1RQ2R2 w - f6,e4d2
6k1/5p1p/1n1p2p1/1p1Pr3/1P2R3/2PB3P/3Q2PK/q7 b - -,b6c4
8/2r1k3/B4p1b/2N3pp/p1Rp1PbP/P5P1/3KP3/8 w - -,e2e3
8/pr3pk1/6pp/2Rpn3/8/1P1B2P1/P3KPP1/8 b - -,b7d7
3r2k1/5pp1/4b2p/R3p1b1/4P3/3B2QP/1q2N1PK/8 w - -,a5b5
r1b2rk1/p1q1ppb1/1pn5/2p3pn/2B1P3/2P1QN2/PP1N1PPP/R3R1K1 w - -,e3g5
r4rk1/1p1nb1pp/p2p2b1/q1pPp1Bn/2P1N3/2N2PP1/PP1QB2P/2KR3R b - -,e7g5
r4r1k/ppp1bp1p/2n1p3/6p1/2PP2q1/PP3N2/1B1QBP2/R2R2K1 w - -,g1f1
1rbq1rk1/4bppp/2np1n2/1pp1p3/4P3/1BPP1N2/1P1N1PPP/R1BQR1K1 w - -,h2h3
rnbqkb1r/pp2pppp/2p5/3pP3/8/2nP1N2/PPP2PPP/R1BQKB1R w KQkq -,b2c3
8/8/8/1p4pp/1P1Rk3/8/1B3KP1/1r6 b - -,e4f5
2r1k2r/pp3pp1/2nqpnp1/3p4/3P4/1PP1Q2P/P2NBPP1/R3K2R b KQk -,e8g8
5bk1/1R6/6KP/8/8/8/8/8 w - -,b7b8
2k5/8/3P3p/p2P1p2/2p2Pb1/N1P1K3/1n4Br/6R1 b - -,c8d7
rn3r2/pp1q2kp/1n1P1p2/4pp1Q/8/6N1/PPP2PPP/2KR1B1R b - -,f5f4
r1bq1rk1/ppp2ppp/2n2n2/2b1p3/2P1P1P1/2Np1N1P/PP1P1PB1/R1BQR1K1 b - -,c6b4
2k3rr/pbqn1p2/1p2p3/2pp4/1P3bp1/P1PP1NP1/4QPB1/2R1RNK1 w - -,f3d2
8/5pp1/R2n1k2/6p1/2B3P1/5K1P/5P2/4r3 b - -,f6e7
r2qr1k1/1p3ppp/p1nb4/3p4/1P1Pn1b1/PN3N2/1B2BPPP/R2QR1K1 b - -,d6f4
r4rk1/1b2bppn/pq1pp2p/1p6/2n1P1PP/PNNR4/1PP1QPB1/2B1R1K1 w - -,g4g5
8/5p2/RP6/2N2bk1/2P3p1/6K1/1r6/8 b - -,f5c8
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/P1N2NP1/1P1PPPBP/R1BQK2R b KQkq -,g8e7:a7a5:d7d6
3rrb2/1b3ppk/pP3n1p/4p3/P7/2P1P2P/1P1NQPP1/R5K1 w - -,b2b4:d2c4
rnbqk2r/4p1b1/p1ppp1pn/1p4Np/3P3P/2N2Q2/PPP2PP1/R1B1KB1R w KQkq -,f3e4
8/3k4/3b1p1r/pp6/3P4/P4R1P/1P2R3/6K1 w - -,g1g2
r3r1k1/1b3pbp/ppq2np1/P1pNp1Q1/2P1P3/1N3P2/1P2B1PP/3R1RK1 b - -,f6d5
5bk1/R7/7p/1p6/2p1r3/5KP1/PP3P1P/8 b - -,e4e1
2bq1rnk/1p3p1p/r2p1bp1/1NpPp2n/P1P1P2N/R5P1/5PBP/2BQR1K1 w - -,h4f5
1r1q1rk1/1p1b1pbp/p1np1np1/2p1p3/P1P1P3/2NPB1PP/1P2NPB1/R2Q1RK1 w - e6,f2f4
5rk1/6p1/8/3Q4/p2P4/1P1qP3/KR6/8 b - -,f8f7
3qk3/5p1p/p1b1p1pP/1pp1P3/4P3/2PQ1PP1/P4K2/5B2 w - -,f3f4
8/1p2kr2/p6R/P2P1p2/bPpB1K2/4P3/8/8 b - -,e7d7
3rrbk1/pp1q2pp/4pn2/3p4/8/1PN2BPb/PBQ1PP1P/2RR2K1 b - -,d8c8
3r4/pp2pQkp/6p1/2q3N1/6P1/4P2P/P4PK1/8 b - -,g7h6
5r1k/3rn1p1/bp3q1p/p1p2p1P/2P1pP2/P3P3/NPQ1BP2/1K1R4 w - -,d1d7
r5k1/5pp1/1nrbb1q1/p2p3n/1p1PpP2/1P2P1P1/PB1Q2B1/2R2NKN w - -,c1c6
rn1qkb1r/1pp2ppp/p3pn2/8/P1BP2b1/4PN2/1P3PPP/RNBQK2R w KQkq -,h2h3
8/8/1R6/1p1k1n2/1Bp5/P1P1P2r/5K2/8 b - -,f5e3
r1bqk2r/p3bp2/2pp1nnp/4p1p1/1P2P1P1/2NB1N1P/P1P2P2/R1BQ1RK1 w kq -,b4b5
1r6/b4kp1/p1R4p/8/P2r3P/2n3P1/R1B2PK1/8 w - -,c6c3
4k3/4P3/3p1R2/3r1p1p/6p1/6P1/5PPK/8 w - -,f6e6
r3kb1r/p1qn2pp/2p1np2/1p2p2b/4PP1N/4B1PP/PPPN2B1/R3QRK1 b kq -,f8c5
3qr1k1/p2p1p1p/2r5/2P1p1bn/NPQ1P3/5PP1/4N2P/3R1R1K b - -,d8e7
