8/1r5R/6n1/1kp1bKP1/2p5/8/1P1R4/8 b - -,b7h7
3r4/3r4/4p1k1/1p4p1/3P1np1/1B2KP2/1P1R4/R7 w - -,f3g4
rnbqk2r/ppp2ppp/8/3p4/1bPPn3/5N2/PP3PPP/RNBQKB1R w KQkq -,c1d2
k7/1p6/p7/3p3Q/P3pP2/1P4P1/4R1K1/2rq4 w - -,g2h3
Q7/4ppkp/2Np1bp1/3P2P1/4P3/2pn3K/5q1P/8 b - -,f2f3
8/5pkp/6p1/2R5/4PP2/3b4/6PP/6K1 b - -,d3e4
r1bqkb1r/pp3ppp/2nppn2/8/2BPP3/5N2/PP2QPPP/RNB1K2R b KQkq -,d6d5
rnbq1rk1/p5bp/1p2ppP1/3pP3/3N1P2/2NPBQ2/PP4P1/R3K2R b KQ -,f6e5
r1b1kb1r/1pqp1pp1/p1n1p3/8/1P2P1Q1/PRNBB1P1/2P2P2/5RK1 b kq -,c6e5
r3k2r/ppq5/2p1pnp1/6n1/2PP1N2/P3P3/1P3KBb/R1BQ1R2 w kq -,f2e2
3q4/1pp2bkp/2n3p1/4p1b1/1pP1Q1P1/P3B2P/3N1PB1/7K w - -,a3b4
3r1rk1/2q2pp1/p3p2p/1p2n3/2n2Q2/P1N2N2/1PP1R1PP/5R1K b - -,f7f6
8/5pkp/8/p1Np3P/3n4/1P1N3r/1P4R1/2K5 b - -,g7h6
2n5/5B2/P7/4k3/2K5/8/8/8 w - -,c4c5
r5r1/4k1p1/p1b1P2p/1p3Pp1/3B4/2P4P/P6K/5RR1 w - -,g1g3
8/8/3p2p1/8/4k1P1/Bp1np3/2b1R2P/6K1 w - -,h2h4
8/5R2/3k1p2/p2p1K2/3P4/r3PPP1/8/8 b - -,a3e3
8/7p/2RN4/kp6/p1p1K1P1/P7/1PP1r3/8 w - -,e4d4
r1bqk2r/1p2bppp/p3pn2/6B1/8/2N2n2/PPP1B1PP/R2QK2R w KQkq -,e2f3
8/5kp1/1pr1p2p/pR2P3/P7/4P3/P5PP/6K1 b - -,c6c2
3rr1k1/2q2p1p/1p3bp1/p2B4/2P5/6P1/PP1Q1P1P/3RR1K1 w - -,b2b4
r4rk1/p4p1p/1p2b1p1/4nnP1/8/1NR1BP2/PPP1B2P/2K4R b - -,e6d5
r3r1k1/1p1qbppp/2p5/1n6/pBQp3P/P2P1BP1/1P2PPK1/1RR5 b - -,h7h6
8/5p2/2kp1r2/4p3/1PB1P3/6Nq/4NK1p/7R w - -,g3f5
8/p6k/3p4/1PpP1bqp/p1Pbp3/6R1/5P2/3B2K1 w - -,g3g5
r5k1/1p1r1pb1/p2q1np1/6B1/4R3/3B4/1P3QPP/5R1K w - -,e4f4
3r1rk1/ppp1q1pp/4p3/3bPp2/5P2/3BP3/PP2Q1PP/R4RK1 w - -,f1d1
r3r3/2p2pkp/1pp3p1/p1n2Pq1/P1P1P3/3P4/2P3NP/R2Q1R1K w - -,f1f3
8/5k2/p1q5/Kp2Q1P1/1P6/P7/8/8 b - -,f7g8
7k/p4Bpp/3b4/1p6/P2Pb1P1/1P2Kp2/1B5P/8 b - -,a7a6
r4r2/2p2pk1/pp1p1np1/3PpPq1/b3P1Pp/5R1P/1PP2N2/3RQBK1 w - -,d1a1
rn3rk1/pb3ppp/1pqb1n2/4p1B1/2B5/1N3N2/PPP1QPPP/R2R2K1 b - -,d6c7
8/b7/8/Pp3p1p/5P1P/2kBp3/4K3/8 w - -,d3b5
2rr2k1/1bp1n1pp/1p2q3/p2p1p2/Q2Pn3/P1N1P1P1/1P3PBP/2RRB1K1 w - -,b2b4
5rk1/4bppp/4B2q/2p5/2P2P2/6P1/3B3P/1Q3RK1 b - -,h6e6
r1b2rk1/pp3pbp/2n3p1/q3p1B1/4Q3/2PB1N2/PP3PPP/R2R2K1 w - -,e4h4
3r2k1/2q1bppp/p3p3/1pp1P1P1/1nb1NP1P/P3B3/1PP2QB1/K2R4 w - -,d1d8
5rk1/3R1pp1/2p1p2p/pp2P3/1P2Q1P1/2q5/P4PK1/8 w - a6,b4a5
2r2rk1/1q3pbp/p3p1p1/1pp1P1P1/P1Pp1P2/1n1P4/1P3Q1P/1RBNR1K1 w - -,e1f1
r1b2rk1/5p1p/3q1np1/3pp3/Pp2P3/3N1P2/1P3QPP/R3KB1R w KQ -,f2c5
8/6p1/7p/2p2P1k/4N3/1n2K3/8/8 b - -,h5g4
5rk1/1bqrbp1p/p3p1p1/2p5/Pp3PQ1/1P1BR3/1BPP2PP/5R1K w - -,g4h3
4rr1k/7p/Rp1pnb1q/1PpBpp2/2P2p2/3PP1P1/3B3P/3Q1R1K w - -,e3f4
6k1/p2n3p/3NNrp1/2p4n/3p3Q/P6P/1P2qPP1/R5K1 w - -,g2g4
8/8/7p/5rk1/3r1p2/5RPP/5R1K/8 w - -,h2g2
8/8/1P6/2PKp3/n7/4Nk1p/8/8 w - -,e3f1
3r1k2/2q1rp2/pp3p2/8/P3p2Q/1P5P/1P2B1P1/4R2K b - -,e7e5
2k1r2r/p2q2pp/1p6/3Pn3/1Qp4P/P1P3P1/2P2B1K/R3R3 b - -,e5f3
5r1k/N4pp1/b6p/P1pBn3/8/R5P1/4rP1P/2R3K1 w - -,a3e3
3r2k1/pb2qpp1/4pn1p/1Bp5/3rP3/P1N1QP2/1P4PP/2R2RK1 w - -,c1c2
5r2/4b1k1/3p3p/pp1Pp1p1/8/4B1P1/PP4KP/2R5 b - -,g5g4
3r1bk1/1p2q1p1/nNp2p1p/2P1p3/1P2P3/2Q1B2P/5PP1/R4K2 w - -,f1e2
r3r1k1/p1qb1ppp/5n2/1p6/2pPp3/P1P1PP2/BB3QPP/2R2RK1 w - -,f3e4
8/p7/k1r5/4K3/8/1Q6/8/7q w - -,b3d3
r2q1rk1/1bpp2pp/1p1n1b2/pNnP1p2/3N1B2/6P1/PP2PPBP/2RQ1RK1 b - -,d6b5
r1bqr1k1/bpp2pp1/p2p1nnp/4p3/4P3/1BPPBNNP/PP3PP1/R2Q1RK1 w - -,d1d2
4kr2/pp1r1p2/7p/4n1P1/4pN2/2P5/PP3PP1/3RK2R b K -,h6g5
r4rk1/1bqnppbp/pp1p1np1/2p5/P2P4/2P1PN1P/1P1NBPPB/R2Q1RK1 w - -,d1b3:d1b1
2r3k1/5ppp/2BRp1n1/p1P5/8/1r4P1/4PP1P/2R3K1 w - -,f2f4
1n2r3/p2R2k1/1p2p1p1/4Pp1p/5P2/2P1B1P1/PP3K1P/R7 b - -,b8d7
r1bqk2r/1ppp1ppp/2n2n2/p7/2BNP3/P1N5/1PP2PPP/R2QK2R b KQkq -,e8g8
4r3/6kp/4qpp1/4r3/p1P5/3Qb2P/1B4P1/4RR1K b - -,e3d4
5Nk1/pp1r2bp/3p1n2/2pP4/2P5/1P3B1b/PB5P/R5RK b - -,g8f8
n7/P3kppp/1ppN4/8/1p6/8/1BK4P/8 w - -,d6f5
5B2/1p5p/p7/P7/1P2kp2/8/5K1P/3b4 w - -,f8e7
7k/6p1/4Qp1p/2b4q/1pN1p1P1/1P6/4nPKP/2R5 b - -,h5g5
2r1r3/2PR4/p4kpp/4pp2/3K1P2/3R2P1/P6P/8 w - e6,d4c5
1rb2r1k/5nbp/pp1p1q2/n1pPpp2/P1P5/1PNB1P2/3QNBPP/1R3RK1 w - -,b3b4
8/4Rkbp/1p6/1p3Pp1/4N3/P3K1P1/1P5P/8 b - -,f7e7
1rbq1rk1/4ppb1/3p2p1/2p5/1PPnP3/2N1B1P1/3Q2BP/1R3RK1 b - -,b8b4
8/1R4p1/1p1r2kp/p7/8/1P3KP1/P4P2/8 b - -,d6e6
5k2/pp3p1p/1np2bp1/5P1n/4P2P/1B1rB3/PP2NP2/1K4R1 w - -,b1c2
R2R4/6pk/5p2/7P/4p1r1/5b2/5K2/8 b - -,h7h6
8/2k1B3/4K3/p3pP2/3bN3/8/1p6/1Br5 w - -,b1a2
8/4k3/r1b2p2/p1Rpp3/P2P2p1/1P2P1N1/3K1P2/8 b - -,e7e6
6k1/1pq3p1/p1n1pr1p/3p4/1P1P4/P4N2/3Q2PP/2R3K1 b - -,c7b6
1k6/1bp5/1p6/4p3/3r2p1/R3QPP1/3R3q/4K3 b - -,h2g3:h2h1
r2r2k1/pp2qpbp/2p2np1/4n3/4P3/P1N1B2P/1PQ1BPP1/R4RK1 b - -,e7e6
rnb1kb1r/pp2pppp/2p2n2/q7/3P4/1BN5/PPP2PPP/R1BQK1NR b KQkq -,c8f5
8/3b4/pp6/4k2p/1P2PN1P/P3KP2/8/8 b - -,d7e8
R4k1r/1bqnbp2/4p1p1/1p6/2pPP2p/2P1BP1P/2B1N1P1/1Q1R2K1 b - -,b7a8
8/5k2/3R3p/2pP4/p1Kp2p1/Pr4P1/5P2/8 w - -,d6h6
r1bq4/pp3pbk/3p1npp/2pPr3/2P5/2NBB2P/PP1Q1PP1/R4RK1 b - -,c8f5
2rq1rk1/pb1npp1p/1p1p2pb/3n4/3P4/2P2N1P/PPQN1PPB/R2R1BK1 b - -,d5f4
8/p3R3/3k2p1/5p2/3b1P2/1P4r1/P1P1K3/8 w - -,e7e8
8/4k3/4p3/8/6R1/4PK2/1r3P2/8 w - -,g4a4
r1bq1rk1/1ppnbppp/p1np4/4p3/B1P1P3/2NP1N1P/PP3PP1/R1BQ1RK1 b - -,d7b6
1rr3k1/1p2ppbp/p2pbnp1/6B1/2P1P3/1P3B2/P2qNPPP/2R2RK1 w - -,g5d2
5k2/1p3pp1/p4n1p/4pP2/3rP3/P1N3qP/1P2R1PK/8 w - -,h2g3
r1b1k2r/pp3ppp/2n1pn2/q2p4/1bP2B2/P1N1PN2/1PQ2PPP/3RKB1R b Kkq -,b4c3
5n2/r4k2/1p3p2/pR1P1B2/P5P1/2P5/1P2K3/6b1 w - -,e2f1
r2q1rk1/pp1nbpp1/4pn1p/2p4P/3P4/5NN1/PPPBQPP1/2K3RR w - -,g3f1
6k1/1p2r2p/p2pN1p1/2pP4/4P3/P4rPP/1b1nR3/1R1K4 w - -,d1d2
4r1k1/5q2/p2p2p1/2pNP3/4R1Qp/3P3P/5r2/5R1K w - -,f1f2
3r4/5k2/p6R/1p3p2/1P1r1P2/1P3K1P/8/4R3 b - -,d4b4
3r2k1/B5p1/2pq1b2/5p1p/4pP2/1P2P1P1/P1Q4P/2R3K1 b - -,h5h4
r3kbnr/1pqb1ppp/p1npp3/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 b kq a3,g8f6:f8e7
r1b1qrk1/pp2b1pp/1nn1p3/3pP1N1/3P1N1P/4B3/PP4P1/R1Q2BKR b - -,e7g5
3r1k2/R2bp2p/3p1p1P/3P2p1/1qP3P1/1B2QP2/2P2K2/8 w - -,f2g3
4r1k1/3q1pb1/3p2p1/3P4/1pN1PPP1/1PpQ1K1p/7P/R7 b - -,d7b5
3r2k1/1Rp2ppp/5P2/8/2n5/6P1/5PBP/6K1 b - -,d8d1
r1bq1rk1/ppp2pbp/3p2pn/8/2PpP2P/2NP2P1/PP3PB1/R1BQK2R w KQ -,c3e2
5r1k/6bP/3p4/2p5/pr6/1P6/P2BKP2/2R4R b - -,b4e4
8/K4p2/3kp1p1/P6p/5P2/4P3/R4P2/1r6 b - -,d6c7
6k1/1p3p2/p1bpr1p1/7p/3B4/6RP/6PK/8 w - -,h2g1
rnbq1k1r/pp1pb1pp/2p2B2/5p2/2BP4/2N5/PPP1QPPP/R3K1NR b KQ -,e7f6
6k1/5pp1/4p2p/R1q5/8/8/5PPP/R5K1 b - -,c5c3
1r2r1k1/pp2ppbp/n1p3p1/6Nq/2P3b1/Q2PBBP1/P3PP1P/1R3RK1 w - -,f3g4
r1b1k1nr/pp2bppp/1qnpp3/2p5/2B1P3/P1NP1N2/1PP2PPP/R1BQ1RK1 b kq -,a7a6
r3r1k1/p2b1p1p/1p3n2/n2p2p1/3N4/2PBPP1P/P2K2PB/R6R w - -,d4b3
r3k2r/4p2p/p1p5/3bP3/3R2P1/4B2P/1PK5/5R2 b kq -,e8d7
2r1k3/1p3q1p/p3p1p1/1b1pP3/3B1PQP/bP2P3/P4K2/1B1R4 w - -,d1h1
r1b1kr2/8/1qn1p2b/pp1pPp1p/2pP1PpP/2P1N1P1/PPQBBR2/R5K1 w q -,e2f1
5k2/r4p2/P1p3p1/1p1p3p/3P1P1P/3b1BP1/PR3P2/5K2 w - -,f3e2
r2q1rk1/pp1bppbp/2np1np1/8/Q1P5/2N2NP1/PP2PPBP/R1B2RK1 w - -,a4d1
r4rk1/1pq1ppb1/p1bp1npp/P1p5/2N1P3/2BP1N2/1PP2PPP/R2QR1K1 b - -,e7e5
1r4k1/5p1p/p5p1/4q3/4p3/2P5/P3QPP1/K1R5 b - -,a6a5
r2qk2r/1ppb2bp/p1n2ppn/4p3/B3P3/2P1BN2/PP3PPP/RN1Q1RK1 w kq -,e3c5
3r1rk1/p1q2nbp/1pp3p1/2p1pb2/8/P1NPBN1P/1PP1QPP1/3R1RK1 b - -,f5c8
r1bqr1k1/p4p2/2p2n1p/3p4/1b4p1/2NQ2B1/PPP1BPPP/R4RK1 b - -,a7a5
r1rq2k1/p3bpp1/4p2p/1p2Pb2/2p1pB2/2P1P3/PP2BPPP/R1QR2K1 b - -,d8c7
6k1/2r2ppp/8/8/1p1PB3/6P1/P2K1P1P/8 b - -,c7a7
k3r2r/pp6/q2p4/2pP4/P1n2P1p/2P5/Q4KP1/1RB2B2 b - -,e8e4
3r1rk1/pq3ppp/1p2pn2/8/1P2n3/1QP1PN1P/1B3PP1/R2R2K1 w - -,b3a3
8/5pk1/5Pp1/2R1K2p/6P1/3b4/7P/8 b - -,g7h7
r4rk1/pp2q1b1/2np3p/2p1pbp1/2P5/P2PBNP1/1P3PBP/1R1Q1RK1 b - -,e5e4
rn2kb1r/1p3p2/2p2pb1/p2p3p/3P3P/2N1P3/PP2NPP1/R3KB1R w KQkq a6,e2f4
rn1qk2r/pbp2ppp/1p2pb2/8/2pPP3/P1N2N2/1P3PPP/R2QKB1R w KQkq -,f1c4
2r5/3n1k2/p1r1p2p/1p1pqp2/2P2Q2/PP3P2/2R3KP/2R2B2 w - -,f4h6
r1b2rk1/ppp1ppb1/2n2qp1/3pN3/3P1P2/2P4P/PP1N1P2/R2QKB1R w KQ -,d1f3
8/1pk2p2/p5pr/2N1n3/8/8/PPP3RP/2K5 w - -,c5d3
rn1q1rk1/pp1b1ppp/4pn2/b1p5/2BP4/P1NQPN2/1P3PPP/R1B2RK1 b - -,d7c6
r1bqk2r/pp2bppp/2nppn2/8/4P3/1NN3P1/PPP2PBP/R1BQK2R b KQkq -,e8g8
8/4kp2/4p3/pp1PKpP1/2p2P2/P1P5/1P6/8 b - -,e6d5
8/8/2pk3p/4p1pP/2P1P1P1/2KNb3/8/8 w - -,c3b4
1r2r1k1/pN1R1pp1/4pb1p/7P/4n3/4PN2/PPP3P1/1K5R b - -,f6b2
2k1r3/6pp/1K1rbp2/1p6/2P2Q2/q2P4/5PPP/3R3R w - -,b6b5
r2r4/1p1np1k1/p1np1pp1/3B4/1PP2PP1/P3N3/4P3/3R1RK1 w - -,d1d2
1r6/4npk1/3p3p/p3P1p1/3nP3/1Pr1N1P1/P2R3P/4RQK1 b - -,d6e5
6r1/4b1r1/p1k1Ppp1/1Pp2P2/3pR1P1/1P3RB1/P4K2/8 b - -,a6b5
r1br2k1/pp1pqppp/2n1pn2/8/2PN4/1N2P3/PP2BPPP/R2Q1RK1 w - -,a1c1
r1b1r1k1/pp1n1pp1/2pb1q1p/4p3/2PP4/4BNP1/PPQ2PBP/R3R1K1 b - -,f6e7
4r1k1/R6p/3R2b1/4p1P1/1p4PP/p1b5/P2NK3/8 w - -,h4h5
r5k1/p2q1pp1/2b4p/8/2Q1N3/5PP1/PP1R2KP/8 b - -,d7c7
r2q1rk1/ppp1ppbp/3p1np1/3Pn1B1/2P1P3/2N5/PP2BPPP/R2QK2R b KQ -,c7c6
r1bq1rk1/ppb2ppp/2p2n2/3p4/8/1P1BPN2/PBP2PPP/1R1Q1RK1 b - -,c8g4
1rbq1rk1/3nppbp/p2p2p1/P1pP4/N1N1P3/8/1P1nBPPP/1R1Q1RK1 w - -,d1d2
4k3/npRr1p1p/p4pp1/P7/8/1P2P1P1/5PKP/7B w - -,c7c4
2b4k/1p3p1P/1R2p3/r1rp2P1/8/p4BP1/P7/K6R w - -,b6d6
k1b3rr/4q1p1/p2p2Pp/2p1pP2/1PPnP3/7R/6BP/3QBRK1 b - -,e7c7
2r1r3/pp2ppkp/2bp2p1/2q4n/4PP2/1BN2Q1P/PPP3PK/3RR3 b - -,b7b5
2r3k1/pbr1b2p/1pn3p1/4pp2/2B1P3/1N2BP2/PPR3PP/5RK1 b - -,g8g7
rnbq1rk1/pp2bppp/5n2/3p4/3p4/4BNP1/PPP2PBP/RN1Q1RK1 w - -,f3d4
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,b4c3:f6e4
8/7B/2k2Kp1/2P3P1/5r2/8/8/8 w - -,f6g6
2b1rrk1/1pq5/3b1p2/2p3pp/2PpPPnP/1R3QP1/6B1/R1B2NK1 b - -,e8e7
8/k3R3/P7/1K6/8/8/5b2/8 b - -,a7a8
8/1B1b4/1b4pp/pp2k3/2p2p2/P1P2P1P/1PN1K1P1/8 w - a6,e2d2
5B2/8/8/1p1kn3/2b5/2K5/8/8 b - -,e5d7
3rr1k1/p3q1pb/2p4p/2pp1p2/2P3P1/1P1n2BB/P4Q1P/3RR2K w - -,d1d3
1rn5/8/6k1/P1RBp2p/1p2P1p1/3PK1P1/5P2/8 b - -,c8e7
1r6/p1R2pk1/4N1p1/3b4/3P4/P5P1/1r3P1P/4R1K1 b - -,g7g8
6k1/1q3p1p/4p1p1/p1bp4/5N1P/1P1QP1P1/P4P2/6K1 w - -,d3d2
r1bqr1k1/pp3pp1/2nb1n1p/3pN3/3P1P2/2NBB2P/PP4P1/R2Q1RK1 b - f3,d8b6
6k1/1p2q1pp/2p5/p1Np3n/3Pp3/4P2P/PP3KP1/1RR5 w - -,f2g1
1r3rk1/5qb1/6pp/RpNn1p2/1P1pp3/1Q1P2P1/3BPPKP/R7 b - -,d5f6
r1q1r1k1/pp1n2pp/2p2p2/3p2B1/3Pn3/2PNR2P/P1P1QPP1/4R1K1 w - -,g5f4
rnbq1rk1/p1p2ppp/1p2pn2/3p4/1bPP4/2N1PN2/PP2BPPP/R1BQK2R w KQ d6,e1g1
1rr3k1/1bq2ppp/p2pp3/2P3P1/2BbPP2/P1N5/2PBQ2P/2KR3R b - -,c7c5
1r3rk1/2pn1p2/B3bq1p/4p1p1/P2b4/1pN3BP/1P2QPP1/3R1RK1 b - -,d7c5
rnbr2k1/1p3ppp/p2b1n2/3Pq3/P1BNp3/2N1P3/1P3PPP/R1BQK2R w KQ -,f2f4
r2r2k1/pb3pbp/1p2pnp1/3qN3/8/2BB3P/2PP1PP1/R3RQK1 w - -,d3c4
6rk/1p2p2r/pN1ppn2/7p/4P2R/2P2P2/1P3KP1/7R b - -,g8g5
2n5/6p1/4k3/p1p1p2p/P3P2P/1PKR2P1/3N1r2/8 w - -,d2c4
r3kb1r/1p3ppp/p1npb1q1/4p3/4P3/N3B3/PPP2PPP/R2QKB1R w KQkq -,f2f3
1rb1kbnN/1p2p1pp/pN3p2/8/2B5/8/PPn2PPP/R1B1K2R w KQ -,e1e2
r2qk2r/pp3ppp/1npbp1b1/8/3Pp1P1/1B2BP2/PPPQ3P/2KR2NR w kq -,h2h4
3rr1k1/1b3pp1/1p5p/p1b3q1/2QBp3/1P2P1P1/P4PBP/2RR2K1 b - -,c5a3
2rq1rk1/5pp1/pp2p1bp/P1npP3/1B1N4/2R5/1PP2PPP/Q4RK1 b - -,f8e8
1R6/8/8/p1k1p3/2p5/8/1K6/4r3 w - -,b8c8
2kn1b1r/1pr2pp1/p3p2p/1q1pP2P/2pP4/2P1B3/PP1NQPP1/RR4K1 b - -,b5e8
