8/6k1/P7/2q5/8/5K2/6B1/5Q2 b - -,c5c6
3r1k1r/1p2p3/p3pbNp/3Pq3/2B5/5RP1/1PP3P1/1R4K1 b - -,f8g7
r1b1k2r/3nqpp1/1p2p2p/p1ppP3/8/2PBP3/PP1N1PPP/R2Q1RK1 w kq -,f2f4
4bb2/p1r2k1p/Bnp1p1p1/2NpPpP1/3P1P1P/1PR1K3/P1R5/8 b - -,f7e7
8/1R4p1/2r4p/p2kp3/P7/6P1/6KP/8 b - -,g7g5
r1b1r1k1/1ppq1pbp/1n4p1/p1nP2B1/8/P1N2NPP/1PQ2PB1/R3R1K1 b - -,e8e1
3r2k1/1bqn1pbp/p2pr1p1/1p5n/2pNP1N1/2P1BP1P/PPBQ2P1/R4RK1 b - -,e6e8
8/3r2kp/R7/5p2/4p3/P5P1/4rP1P/2R3K1 w - -,c1c3
r3k2r/1bq1ppb1/pp3np1/2pPp2p/P3P3/1PNBB2P/2PQ1PP1/R4RK1 w kq -,c3d1
4R3/1p4k1/2n1P1pp/p1P2P2/8/1B5P/Pr3P2/6K1 b - -,g6f5
rn1q1rk1/pp2bppp/3pbn2/2p1p3/2B1P3/2NP1P2/PPP3PP/R1BQKN1R w KQ -,f1e3
8/7R/1p6/1p2k3/1Pp5/r7/1KB3PP/8 b - -,a3a8
r1bqkb1r/pp3ppp/2n1pn2/3p4/3P4/1P1B1N2/P1P2PPP/RNBQK2R w KQkq -,c1b2:e1g1
8/5k2/p2b4/1p1P4/5pPP/1P1B1K2/8/8 w - -,g4g5
r2q1rk1/1p1nbppp/p2pbn2/3Np3/4P3/1N2B3/PPP1BPPP/R2Q1RK1 w - -,d1d3
8/5pk1/r5pp/3q4/1p3RP1/1Pb2NP1/2Q2PK1/8 w - -,g2h2
n1rrn1k1/ppq1p1bp/2p1P1p1/P2N1p2/3P4/1Q2BBPP/1P3PK1/2RR4 b - -,d8d5
r2r2k1/1b2qppp/p1p2n2/1p2b3/P3PP2/2NBB2P/1PQ3P1/R4RK1 b - f3,e5c3
r3k2r/1bqnbppp/pp2pn2/6B1/2PN4/2N5/PPQ1BPPP/R2R2K1 b kq -,e8g8
r3kb1r/1pqn1ppp/p1p1pn2/3pN2b/2PP4/1Q1BP2P/PP1N1PP1/R1B1K2R w KQkq -,e5d7
8/4kpp1/1p5p/p2BpP1P/P5P1/1P3K2/8/b7 w - -,f3e4
8/2pk2b1/p3p2p/n3p1p1/PK2P1P1/B1PN1P2/7P/8 b - -,a5c6
1r6/4kpp1/4b3/pp1nP3/2pPB3/P1P2R1P/3B2P1/6K1 w - -,g1f2
r3q1rk/1p1b2b1/3ppn1p/p2P4/2PN4/1P2B1R1/P1Q1B2P/2R4K w - -,d5e6
Q7/4k2p/3pn1p1/6P1/8/p4BKP/P7/2q5 w - -,a8a7
6k1/5p1p/4p1p1/3p4/R2P4/2P1P2P/3K1PP1/1r6 b - -,b1b2
r1bqnrk1/ppp1n1b1/3p3p/2PPp1p1/1PN1Pp2/B1N2P2/P3B1PP/R2Q1RK1 b - -,h6h5
8/1p6/1p1k1p2/1B1n2p1/P3K2p/1P3P1P/2R3P1/3r4 w - -,b5e2
r2q1rk1/pp1b2bp/1nn1p1p1/3pNp2/3P1P2/2N1P1P1/PP3BBP/R2Q1RK1 b - -,d8e7
2kr3r/pp2bpp1/4q3/2ppP3/P6p/5Q1P/1PP2PP1/R1BR2K1 w - -,a4a5
4r2r/p2b4/Pp1B1k2/1P2pP2/3p2B1/2pP3P/2P4K/R3R3 w - -,e1e2
r3rnk1/1q3ppp/4p3/3pP2P/bp3BQ1/bN1BP3/5PP1/1R1R2K1 b - -,a8c8
3r1k2/1p2Npbp/p3b1p1/P6n/3P4/1P4P1/4PPBP/2B2RK1 w - -,c1a3
8/6k1/6p1/5p2/6n1/6P1/Bp2KP2/8 w - f6,a2b1
1qr1k2r/4bpp1/p3p3/Bp1b3p/8/5P2/PPP2QPP/1K1R1B1R w k -,f2b6
5b2/7k/4q3/p2p1N2/1p1P1Q2/1P3P1K/P5P1/8 b - -,f8g7
r1b1k2r/5pbp/p7/np1Pp1Bp/4P3/8/P2NBPP1/1R2K2R b Kkq -,c8d7
4r1rk/p3bP1p/1q4pB/3p1p2/1Pp2P2/2P5/P3PK2/2R4Q w - -,f2f1
1rr3k1/2n2pb1/3pP1p1/p1p3P1/4PP2/2P1B1NR/PPK5/7R b - -,f7e6
r3kb1r/p1ppqpp1/7p/2p1P3/1n3B1P/P4N2/1PPQ1PP1/R3Kb1R w KQkq -,e1f1
r3kb1r/pq2pppp/4bn2/P2p4/1N1P4/5Q2/1PP2PPP/RNB2RK1 w kq -,b4d3
r2qk2r/pb2npbp/1pn1p1p1/2pp3P/4P3/3P1NP1/PPPN1PB1/R1BQR1K1 b kq -,d8c7
8/1p3ppk/2p4p/5b2/2P1p2P/P3P3/1P2P1B1/5K2 b - -,h7g6
r2qkbnr/pp3ppp/2n1p3/2ppP3/3P2b1/2P2N2/PP2BPPP/RNBQK2R w KQkq -,e1g1
5k2/7p/1p6/p2p4/5P2/2q2N1K/P3Q3/8 b - -,d5d4
5k2/pprr1pp1/2p3p1/b7/P1RPP3/6P1/1PR2KBP/8 w - -,b2b4
r1r3k1/3qppbp/3p1np1/2n5/3N4/P1N1PP2/1PQB2PP/R1R3K1 b - -,e7e5
2rq1rk1/5pp1/pp2pb1p/3bn3/4N3/4PN2/PP2BPPP/1Q1R1RK1 w - -,e4c3
1rbq1rk1/4p1bp/p2p2p1/3Pnp2/1R2P3/P1N4P/3BBPP1/2Q2RK1 b - -,b8b4
2k1r3/Bb5p/1Q6/3p1pp1/3P4/2P5/P3q1PP/1K5R w - -,h1c1
1r6/p2pkp1p/bnp1p3/6p1/P2P4/1B2P1P1/1P1N1P1P/1R4K1 w - -,a4a5
3Q3k/8/5npp/BBpp1p2/3b1P2/4q1P1/7P/5K2 b - -,h8g7
r4nk1/1b4bp/2Np1qpn/1NpP4/6P1/Q5BP/1P4B1/4R1K1 w - -,a3b3
rn1q1rk1/pbn1bppp/1ppp4/5N2/4P3/6P1/PP3PBP/RNBQR1K1 b - e3,b7c8
r1r3k1/3q2pp/1p1pp1n1/6B1/pQPP1p2/R1P4R/P4PPP/6K1 w - -,h3h5
r2q1rk1/2b2ppp/2b1p3/p1P1n3/N7/8/P2BQPPP/1BR2RK1 w - -,a4b6
r5k1/5ppp/1bpp4/4p3/PqP1P3/6P1/P3QP1P/3R1BK1 w - -,e2c2
b2qnrk1/3n2bp/3p2p1/2pPpp2/2N1P3/3B1P1P/3BN1P1/RQ4K1 b - -,f5e4
r7/p1k2pp1/4b2p/1R1p4/2pP4/4P3/P1BK1PPP/8 w - -,d2c3
8/pp1k1Np1/3b1pp1/1n1p4/1PrP4/P3B1PP/5P2/2R2K2 w - -,f7d6
4kb1r/1bqn1ppp/1n1pp3/1N4P1/4P3/2P1BP2/P1P2Q1P/2KR3R b k -,c7c4
r3rnk1/pp2q1pp/2p1b3/5p2/3P4/2N1PN1P/PPQ3P1/4RRK1 b - -,a8d8
3r2k1/p2q2p1/7p/3rbp2/P1Rpn3/1P3RPP/1B1N1PK1/3Q4 w - -,b2a3
r2qk2r/1b1nppbp/p2p2p1/1p4Pn/3NP3/4BP2/PPPQN2P/2KR1B1R b kq -,d7e5
2r2rk1/p3ppbp/3p1Bp1/q4P2/2p1P3/2N5/PPP1Q1PP/R4R1K b - -,g7f6
r1bq1rk1/1ppp1pbp/2n1pnp1/p5B1/2P5/P1NP2P1/1P2PPBP/1R1QK1NR b K -,h7h6
8/3r1p2/2k1p1p1/7p/5P1P/1R3KP1/8/8 b - -,c6c5
3r2k1/p3pp1p/1pb3p1/2q5/2p1PP2/P1N4P/1PP1BrP1/2R2R1K b - -,f2f1
3r1rk1/1p2bp1p/1qp3p1/p1n1P3/P1P2BB1/R2p4/1P3PPP/1Q1R2K1 b - -,d8d4
1BR3k1/p7/P3p2p/3b2p1/4N3/5B1P/1q4P1/7K b - -,g8g7
8/8/p7/P1b5/2P1kP2/2K5/4N1p1/8 w - -,c3d2
6k1/5p1p/p3b1p1/4P3/P4P2/5BP1/1r1p3P/2R3K1 w - -,c1a1
3k4/4r1p1/1pR2p1p/3P3P/1PK3P1/5P2/8/8 w - -,c6b6
r3k2r/4ppbp/1Bp1b1p1/8/P7/8/1PP2PPP/2KR1B1R b kq a3,e8g8
2r1r1k1/1bq1bp1p/pp1p2p1/2n2PPn/2P5/2N1B2Q/PPBN3P/2R2RK1 b - -,e7f8
1r2r3/p4pkp/6p1/8/N2nB3/7P/b4PP1/2R1R2K b - -,a7a5
r4rk1/pppn1pbp/3p1qp1/3P4/2PpP3/1N3B2/PP3PPP/1R1Q1RK1 w - -,f3g4
6B1/8/1bPk2p1/1P5p/5K2/8/8/8 w - -,f4g5
2q2rk1/1br3pp/p1pbp3/1p2Np2/1P1PnP2/P3PB2/2R1Q1PP/4B1RK w - -,e5d3
r2q1rk1/p1pp2pp/1pn1pb2/5p2/2PP1P2/2N2Q2/PP2BPPP/2KR3R w - -,f3e3
3q3k/p2rnBpp/3b2n1/2p3B1/8/2P5/PP2Q1PP/3R1RK1 w - -,e2h5
3R1bk1/1N2pp1p/p4np1/8/4P3/P1r2B1P/5PP1/2Q3K1 b - -,c3c1
5Q2/r1kb4/p3p2p/4P1p1/1p1q3P/5B2/2P3P1/2K1R3 b - -,a6a5
1n3b2/1p3k1p/1n3pp1/4p3/1P6/P1P1BN1P/5PP1/6K1 w - -,e3b6
r4r1k/pq1n1pp1/R1p2np1/4p3/1b1P4/1BN1P2P/1PQ2PP1/2BR2K1 w - -,a6a1
1q1r1b2/1rnn1pkp/pp1p1N2/4p1P1/2P1P3/2R5/PP1Q1BBP/4R1K1 b - -,c7e6
r5k1/2R2pp1/p2P3p/1p6/4R3/8/1P3nPP/5BK1 b - -,f2e4
r4rk1/p3ppbp/n5p1/1qp5/5B2/1Q2P3/PP1N1PPP/R3K2R b KQ -,a6b4
6k1/2P1nppp/B3p3/4P3/1p1b4/1P5P/6PB/5K2 b - -,g8f8
8/1pp2k2/p2n4/7p/1P3p1P/2P2P2/1P2K3/3N4 b - -,d6f5
rnbqk2r/p3ppbp/2pp1np1/1p4B1/3PPP2/2N5/PPPQ2PP/R3KBNR w KQkq -,f1d3
6k1/pp6/2p2r2/3pq3/1P1n1P2/P2R2NQ/3B1K2/8 b - -,d4e6
r2r2k1/5p2/1p4p1/pR1P3p/5q1P/7Q/PP3PP1/3R1K2 b - -,f4c4
q3r1k1/2p2p2/1p2p1p1/p3P1P1/2P4Q/1P2PP2/6K1/7R b - -,g8f8
3r1r1k/8/2np4/p2Rp1bp/1pP2p2/1P5P/P1N2PPN/R5K1 b - -,g5e7
r1bq1rk1/pp1n1ppp/2pbp3/3p4/2PPn3/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,a2a3
2r2r2/bp4k1/p2Nb2p/1P2p3/P4p2/1BP5/5PPP/R1R3K1 b - -,e6b3
2Q2rk1/p4ppp/2r1p3/3p4/3P1Bb1/4P3/PP3PPP/R3K2R b KQ -,f8c8
8/5pk1/3Q4/2p5/2P2p1p/PP6/3P4/4q2K w - -,h1g2
rn1q1rk1/2pbbppp/p2p2n1/1p1Pp3/2P1P3/PBN1BN2/1P3PPP/R2Q1RK1 b - -,f7f5
1r2k2r/4bpp1/bqn1pn1p/2p5/1p2pP2/2PPB1PP/1P1N2B1/R1NQ1RK1 w k -,d2e4
3r1rk1/pp1bbppp/1qn1pn2/1N6/2B5/P3BN2/1PP1QPPP/R2R2K1 b - -,e7c5
8/6p1/3kP3/5P1p/p1RpK1bP/8/8/8 b - -,d4d3
Q1nr3r/1pkq4/1p1b1p2/2pPp3/6pp/R2P2P1/P4PBP/1R2NK2 b - -,h4g3
r4rk1/ppq1bpp1/4pn1p/2p1N3/3P4/2P3N1/PP2QPPP/3RR1K1 b - -,a8d8
r1b2rk1/p3npbp/2n1p1p1/7P/Np2P3/4B3/BPP2PP1/R2K2NR w - -,g1f3
4r3/1p6/p3bpk1/3p2p1/P2B2P1/1PP2P2/5K2/7R w - -,h1d1
r3rqk1/1p4p1/2p2npp/p2bP3/P7/1PP1B1NP/5PP1/R1Q1R1K1 b - -,e8e5
2Q5/8/6p1/4qp1k/8/7P/6K1/8 w - -,c8d8
8/3k4/4p3/2R1B3/1PK5/8/r7/8 b - -,a2a8
r1bqr1k1/pppn1pbp/3p1np1/4P3/4PB2/3B1N1P/PPP2PP1/RN1Q1RK1 b - -,d7e5
5kr1/RP3p2/4p3/4P1K1/4rPp1/1RP1n1P1/7P/8 w - -,g5h5
8/8/5n2/6k1/8/4KBP1/8/8 w - -,g3g4
r1bqkb1r/pppn2pp/3p1n2/3Pp3/2P1p3/2N3N1/PP3PPP/R1BQKB1R b KQkq -,d7c5
3r2k1/p1q2pp1/1p2p2p/2p1P3/4b3/5Q2/PPP2PPP/4R1K1 w - -,f3e4
2r1rk2/B1PQ1p1p/4pbp1/2Pp4/8/4P1P1/4KP1P/8 w - -,a7b8
r1q2rk1/5ppp/p1nb1n2/3p4/2BPb3/P1N2N2/3B1PPP/R1Q1R1K1 w - -,c3e4
2k4r/pp4pp/2n5/3r1p2/8/4n1N1/3N2PP/1R2K2R w K -,d2f3
4k3/8/1p2p3/p1b1P3/P1P1r3/1P1R1NK1/8/8 b - -,e8e7
r1b2rk1/1p2ppbp/p1n2np1/6B1/P7/1BN1PN1P/1P3PP1/R3K2R b KQ -,h7h6
8/5B1k/p3P2P/1p2Kp2/1P2r3/8/8/8 w - -,e5f6
r5k1/p1pqnppp/1p2rn2/3p4/1P1P4/P1N1PQ2/1BR2PPP/R5K1 b - -,f6e4
r3qr1k/1ppb1pb1/p1np1npp/4p3/3PP3/2PBBN1P/PPN2PP1/R2QR1K1 w - -,d1d2
r2qr1k1/1ppb1ppn/pb1p2n1/3P2Pp/3NNP2/P6P/1P1Q1BB1/2R2RK1 b - -,g6e7
r1rq2k1/1p3pbp/2bp2p1/p2Np3/1PPnP3/1B1QB3/P4PPP/1RR3K1 w - -,b4b5
6rk/2p4p/1p1pb2r/1Q4p1/1P2P3/2P1NpP1/P4P1q/R2RK3 w - -,b5d3
r4rk1/2q1b1p1/1p5p/pp2pb2/Q3N3/6PP/P4PB1/R3R1K1 w - -,a4b5
2r5/1p2b1k1/1q4p1/p2pP1p1/3Q4/P5B1/1P3PP1/K2R4 b - -,b6d4
1r2r3/3q1pbk/3p1ppp/1p6/1N2P3/1P3R1P/2PQ1PP1/4R1K1 w - -,f3d3
1r2r1k1/3n1ppp/3q1n2/p1bP4/2N5/P5PP/1BQ2PB1/1R3RK1 b - -,d6g3
5rk1/1bq2p1p/4pnp1/p1r5/1pN1P3/3B1PP1/PP2Q1KP/R2R4 w - -,b2b3
1r1r2k1/1p3pbp/p5p1/2RN4/bP1pP1P1/3B3P/P1R3P1/6K1 w - -,c2b2
2r2r2/pR3bkp/2n2N2/2q3p1/8/2P2QP1/4PP1P/R5K1 b - -,c6e5
8/p2r4/1p3R1P/2p2KPk/2P5/8/8/8 w - -,f6f8
2r1k3/1pqbbpp1/2n1p1n1/p2pP2r/1PP5/P4NP1/1B1NQPB1/R3R1K1 b - -,a5b4
6k1/p4p2/5Pp1/3P3p/1p3Q1K/1Pr2BPP/P3q3/8 b - -,e2f3
2r3k1/1n3pp1/1pp1b2p/p3p3/2P1P3/P1N4P/BP1R1PP1/6K1 b - -,c8d8
r3k2r/pb1qb1p1/1pn1p3/2p2p1p/5P2/3PB1PQ/PP1NP1BP/1R3RK1 w kq f6,d2c4
6k1/5p2/pr4p1/r6p/2pN1P2/P3P3/2R1K1Pn/2R5 w - -,c2c3
4rrk1/pp4bp/5pp1/2p1n3/3pPB2/3P2PB/PPP2R1K/3R4 b - -,e5f7
5rbk/7p/1r6/3pR2p/P2N4/1B1K1P1P/8/8 b - -,h5h4
8/p7/1pb1kpp1/3Np1p1/2P3P1/4KP1P/PP6/8 w - -,d5c3
8/6k1/p1R4p/B1P2K2/3r1PP1/8/1b6/8 b - -,d4a4
1rr1q1k1/3b3p/1p2p1p1/2b1Pp2/5PP1/4N3/1Q1P2BP/R1R3K1 b - -,c5e3
r1b1k2r/ppp4p/4ppp1/n3N3/3P4/6P1/PP2PPBP/R4RK1 w kq -,e5g4
4b3/1p4kn/2p1P3/2P3p1/3P2p1/2K1R3/8/8 b - -,h7f6
r2q1rk1/ppp1b1pp/1nn1pp2/4Pb2/2PP4/P1N1BN2/1P2B1PP/R2QK2R w KQ -,e1g1
1rb2rk1/2qn1pp1/3bp2p/1p6/2p1PP2/2N1B1P1/1PQ1P1BP/2RR2K1 w - -,e4e5
2kr1b1r/1pqn1pp1/p1pp1n2/4pb1p/1PPP4/P1N1PN1P/3Q1PPB/2R1KB1R b K b3,f8e7
8/5R2/8/4r3/P5k1/2K5/8/8 w - -,f7b7
6r1/6P1/5R2/4B3/5p2/2K2k2/5P1p/8 w - -,f6f4
q1rr4/2p2pbk/1p2p1pp/p3P3/PnRPN3/1P2nN2/3Q1PPP/2R3K1 w - -,d2e3
2r2b1k/2r4p/2P1q3/NQ2p1P1/1p2N3/5P2/P1R3PK/8 w - -,c2d2
8/1p2k1p1/2p1b3/p3P3/P1P4r/1P2R1p1/2B5/6K1 w - -,e3g3
r3k1nr/pp1qppbp/2np2p1/2p5/2P5/P1NP1NPb/1P2PPBP/1RBQ1RK1 b kq -,h7h5
rn1qkb1r/p2p1ppp/4pn2/P7/1p1N4/6P1/1PP1PPbP/RNBQ1RK1 w kq -,g1g2
8/5pk1/3p2p1/3Pp2p/4P2P/3pb1P1/4rP2/4RK2 w - -,f2e3
2r1r3/pppqkpbp/2npb1p1/3Np3/Q1P5/3PP1P1/PP3PBP/R1B1K2R b KQ -,e7f8
r3k2r/pp2qp1p/2p2np1/2p1p3/4P3/3P1N1P/PPPQ1PP1/R3K2R w KQkq -,d2c3
8/pp3kp1/3bqn2/3ppp2/1r6/4BP2/PP2QP1P/2R1R1K1 w - -,e3c5
r3kb1r/pp1qpppp/2n2n2/2ppNb2/5P2/3P2P1/PPP1P1BP/RNBQ1RK1 b kq -,c6e5
r2qkb1r/p4ppp/b4n2/8/Pp1pP3/1P2BQN1/5PPP/2RRK3 b kq -,a8c8
1rbqr1k1/1ppn1pbp/3p1np1/p5N1/P1PPp3/2N1B1PP/1P1QPPB1/R2R2K1 b - -,d7b6
r1bq1rk1/1p3pbp/p2p1np1/2p1n3/2P1P3/2N3P1/PPN1QPBP/R1B1R1K1 b - -,f8e8
r1bqk2r/ppbn1ppp/2p5/3np3/4N3/1P2PN2/PB1PBPPP/R2QK2R w KQkq -,b2a3
r2q1rk1/1pp2pp1/p1n2n1p/2bbp3/8/2PP1N2/PPBNQPPP/R1B2RK1 b - -,f8e8
2b5/ppk1p2p/4P1p1/3K4/5Pp1/8/PP2B2P/8 w - -,e2g4
8/1p3pkp/p2p2p1/3Pb3/4B1P1/1Pr5/P3R1KP/8 b - -,a6a5
2k5/1p6/p1p5/K1P1Bp1p/2bP3P/P5P1/1P6/8 w - -,b2b4
b1rq1k2/p4p1p/1pnrpPp1/2p2nNP/2P2P2/2BPP3/P2RQ2K/6RB b - -,h7h6
2rq1bk1/1p3r2/3p2pp/p2Ppb2/2Q1N3/2R2N1P/PP3PP1/2R3K1 w - -,c4e2
8/1pp4k/6n1/p2P2P1/2Pp2p1/PP3r2/6NP/4R2K w - -,b3b4
2r3rk/1pp1qpp1/3p1n1p/pP1PpP2/2PbP3/P4P1P/2BBR1RK/2Q5 w - -,d2a5
1r3rk1/4ppbp/6p1/2pq3n/2NP4/2B1PP2/P3QP1P/R2R2K1 b - -,f8c8
r1bqk2r/pp3ppp/2nbpn2/3p4/3P4/5NP1/PP1NPPBP/R1BQK2R w KQkq -,e1g1
r3r3/p2b3k/1p5p/3Pq1n1/5p1R/2N2B2/PP1Q1P2/5K1R w - -,h4h6
2r1rbk1/1q1n1ppp/2b1p3/p1ppP3/5PP1/BP2P2Q/2P1N1BP/2R1R2K b - -,c8a8
1r1qnr2/1p1bnpbk/p2p2pp/2pPp3/2P1P1PP/2NBBPN1/PP1Q4/2KR3R w - -,d1g1
2r3k1/2rq2pp/1p2p3/3p4/1P1npP2/2P4P/1R4P1/2R1QNK1 b - -,d4b5
r4nk1/1qp3pp/p2rpp2/1P1b4/Q2P3P/P3BP2/1PB3P1/1KR1R3 b - -,d6b6
1rb5/2p2k2/2Pp1q2/pp1P1nbp/5N2/P2Q3B/1P5P/K3R3 w - -,f4e6
2r2b2/2r1k1p1/R1pnp3/1p3pPB/1P1P1P2/4P3/6K1/2R1B3 b - -,e7d7
6k1/1p4p1/p6p/3p3r/6qP/2Q3B1/PPP1rPRK/8 b - -,d5d4
r1bqr1k1/1p1n1pbp/4p1p1/p1ppP3/2P2P2/PP2P3/1BQN2PP/2R1RBK1 w - -,c4d5
rnb1k2r/pp2nppp/4p3/3pP3/3P2Q1/P7/2qB1PPP/R3KBNR w KQkq -,g1e2
r1b1nk2/3n2pp/p2p1b2/8/1p5q/6Q1/PP1BNPPP/3RR2K w - -,g3h4
r1br4/1p3kpp/p1nBpp2/8/3P4/5N2/PP3PPP/R4RK1 w - -,d6c5
6k1/1R3pp1/7p/4P3/3rBP2/1P6/r5PP/5R1K b - -,d4e4
r3rbk1/pp1bqpp1/1n1p1n1p/3Pp3/4P3/2N1B2P/PPQNBPP1/R1R3K1 b - -,e8c8
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/6PN/3PP2P/PPPN1PB1/R1BQK2R b KQkq -,f8c5
r3k2r/ppp2ppp/5b2/8/5B2/5b2/PPP2PPP/2KRR3 b kq -,e8f8
1r1k4/p6r/5p2/5P2/2R4p/2K3pP/P5P1/2R5 w - -,c1d1
5k2/5pp1/7p/3pP3/5PP1/5K2/p5r1/R7 b - -,g2b2
8/ppR2ppk/4p2p/8/P3r3/1P4P1/5P1P/6K1 b - -,e4b4
rnbq1rk1/ppp1ppbp/6p1/3n4/8/PQN1PN2/1P1P1PPP/R1B1KB1R b KQ -,d5b6
r3r1k1/5pp1/p2bbq1p/1ppp4/3P4/2PB1NP1/PPQ1RPP1/R5K1 w - -,a1e1
8/5pk1/4pnp1/8/3r3p/2R2KPP/4BP2/8 b - -,h4g3
2r5/6k1/P1n3p1/2pN4/1p2P3/1P1BK3/2P5/8 b - -,c8f8
8/p7/2R5/1P1k4/5Kp1/P4p2/5P2/r7 w - -,c6a6
8/2bk2p1/2p1p3/2Pp1n1R/3PpP2/4P2P/3B3K/8 w - -,h5g5
r3kb1r/ppp1pppp/2n2n2/3q4/3P4/1P6/P1P1NPPP/RNBQ1RK1 b kq -,e8c8
4r3/5R2/1P1B2pk/4p2p/6nP/P2n4/6P1/6K1 w - -,b6b7
rn1qk2r/pbp1npbp/1p1pp1p1/8/2PP1B2/2N1PN1P/PP2BPP1/R2QK2R b KQkq -,e8g8
8/5k2/3p1pp1/2nP3p/5P2/P3RKP1/3r1N1P/8 w - -,f2e4
8/2p5/2k5/7K/5BPP/1n6/2p1r3/2R5 w - -,c1f1
2R3k1/3n2pp/3b4/3ppr2/8/3P1NP1/rB2PP1P/1R4K1 b - -,g8f7
r1b2rk1/ppp1qppp/2Pp1n2/b3p3/2B1P3/B1P2N2/P2N1PPP/R2QK2R b KQ -,a5c3
6k1/1p1q1pp1/p1r1pnp1/3p4/Q4B2/3P2P1/Pb2PPBP/1R4K1 b - -,c6c1
1r5k/4q2p/p1nNN1p1/1P1Qn3/5R2/4P3/2P3PP/6K1 b - -,a6b5
3r4/5p1k/1N3Pp1/p2P3p/1p5P/8/PP4P1/3R3K b - -,d8d6
r4rk1/2q1nbpp/3bnp2/1pp1p2P/p2pP1PN/P2P4/1PPBQPBN/R5RK w - -,h4f5
r3rnk1/ppq2ppp/5n2/3p4/2pP2b1/P1P1P3/1BBN1PPP/R2QR1K1 w - -,f2f3
8/7p/1k1nb1p1/p1npN1P1/1p3B1P/1P6/P4KB1/8 w - -,f4e3
rn1qkbnr/ppp1pppp/8/3p1b2/5P2/1P3N2/P1PPP1PP/RNBQKB1R b KQkq -,e7e6
3rr1k1/1p3pb1/p3bqpp/4p3/2p1Pn2/P1P1RN1P/1PQ2PPB/3R1BK1 w - -,f3d2
1r2q3/2p3k1/p1pp1pp1/4r1p1/PPPQ2P1/5P1P/1R5K/5R2 w - -,f3f4
4R3/5kp1/b1p2p2/2Pp4/p2P2qN/7P/P4PP1/6K1 w - -,h3g4
8/1R3nk1/5pp1/1p6/1P2P3/1r5P/6P1/5K2 b - -,b3b4
8/2pk2p1/2p1p3/pp2Pn2/2PN1P1p/1P5P/P3K1PB/8 b - -,f5d4
r1b2b1r/1p1kq2B/p1n1p1Q1/3pp3/5P2/6P1/PPP2B1P/RN2K2R w KQ -,h7g8
r3kb1r/pp3pp1/2p1nnp1/4p3/2P1N3/1P2B3/P1P1NPPP/3RK2R w Kkq -,e4f6
r1bq1rk1/1pp3bp/p2p2p1/3Ppp2/2P1P1PP/2N1BPn1/PP1QB3/2KR3R w - -,h1g1
