8/8/1P1k4/3b1p2/3K1P1p/6pP/4N3/8 b - -,d5f3:d5g2
1q1r4/1k4b1/1p5p/3p4/1Q1Pp1B1/4P3/P2N1rP1/K1R5 w - -,b4e7
8/8/8/8/5k1P/7K/6r1/3B4 w - -,h3g2
2r3rk/ppq2ppn/4p2n/1Q5P/3R4/1N2N3/PPP2P2/2K3R1 b - -,h6f5
r4rk1/1ppqb1pp/1n2bp2/p2pP3/P2P4/1BN2Q2/1P1B1PPP/2R2RK1 w - -,f3g3
8/1p1r2kp/p3bp2/2Rp3q/1P2BP2/P5P1/3Q1P2/6K1 w - -,d2d3
1rbqk2r/2p1bppp/p3Pn2/n7/1pp1P3/5NP1/PP2QPBP/RNB2RK1 b k -,c8e6
1r1r4/p2n1kb1/2B1p1pp/1p2P3/2pP4/2P3P1/P4P1P/R1B2RK1 w - -,a1b1
6rk/p3Q1pp/8/5p2/3PbB2/8/q4PPP/4RK2 w - -,f4e5
r1bqk2r/pppn1ppp/2p5/2b1p3/4P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,c1e3
8/3r4/pr2kp2/6p1/1PRR2P1/3K4/5P2/8 w - -,d4d7
6k1/7p/2B2pp1/R3p3/1Pb3PP/P3K3/1r6/8 b - -,h7h5
1r3rk1/bppQnpp1/3p1q1p/P3p3/2N1P3/2PP1N2/5PPP/R3R1K1 b - -,f8c8
2nq1rk1/3n1p1p/1p2p3/pP1p1b2/N2P2pb/P3P1B1/1Q1NBPPP/5RK1 w - -,g3h4
8/8/2Pk1p2/P6P/5K2/8/4b3/8 b - -,e2d3
2r2rk1/5pb1/p5pp/qp2p2P/4Q1P1/5PN1/PPP5/1K1R3R b - -,c8c4
r1b2rk1/1pq4p/n1pp2p1/5PN1/1PPpP2Q/6P1/6BP/1R3RK1 b - -,g6f5
5rk1/4bppp/pqn1pn2/3p4/P1rP4/1p1NBPP1/1P2P1KP/R2QNR2 w - -,e3f2
r3kb1r/pp1n4/1q2pp2/3p1bBp/3P3P/2N2N2/PP1Q1PP1/R4RK1 w kq -,g5f4
4r3/5pk1/4bp1p/1R6/4N3/3n2PP/1P3PB1/6K1 b - -,e6c4
rn1q1rk1/pp3ppp/4bn2/2bp2B1/8/2N2NP1/PP2PPBP/R2Q1RK1 b - -,b8d7
R3r1k1/2rq2pp/2p2p2/1pQp4/1P1P4/4P1PP/5P2/R5K1 w - -,a8a6
r5r1/pp2q3/3R3p/4P2k/Q7/2P1pR2/PP4PP/2K5 b - -,e7e5
r1bqk2r/pppnppbp/3p1np1/8/3P4/1P1BPN2/P1P2PPP/RNBQ1RK1 b kq -,e8g8
1b1k4/8/2B1pnpp/1N3p2/1P3P2/2K1P2P/5P2/8 w - -,b5d4
6k1/1p1br2p/R1p3p1/5p2/1nPN1P2/6P1/4PKBP/3R4 b - -,b4a6
r3k2r/1pq2pb1/p1b1p1pp/1n1pP3/1P5P/PN1B2Q1/1BP2PP1/R3R1K1 w kq -,e1e3
r1b1k2r/1pqnbppp/p2pp3/4n3/3NP1P1/2N1B2P/PPP1QPB1/2KR3R w kq -,c1b1
8/p1nk4/4p3/1p1pP3/2pP1Bp1/P1P5/1n2KP2/2R1r3 w - -,c1e1
rn1qk1nr/pp2b1pp/2p1p1b1/3pP3/6P1/2N3N1/PPP2PBP/R1BQK2R b KQkq -,b8d7
8/8/8/1p5p/pp5P/1P2kPK1/P7/8 b - -,a4a3
r1bq1r2/ppb2pk1/2p1p1pp/3nN3/3PNP2/PB4P1/1P2QP1P/2RR2K1 b - -,f7f6
2r1k2r/1p1n1pp1/p1pbpnp1/3p4/2PP2P1/1PN1PP2/1P1BBK1P/R6R w k -,f2g2
r4bk1/p1n3n1/1p4N1/2p5/3p2P1/5R2/PP3PKP/R7 w - -,h2h4
r1bqr1k1/1p3pbp/2pp1np1/p3n3/2PNP3/P1N3P1/1P2QPBP/1RB2RK1 w - -,h2h3
2r3k1/2r2pbp/6p1/2B5/8/1P2P1P1/5PK1/2R2R2 w - -,c5a3
r1bqk2r/p2pbpp1/1p2p3/7p/3BP3/2PQ4/PP2NPPP/R4RK1 b kq -,e8g8
8/1b4k1/6p1/p2q4/Q1p3P1/p1P1p1K1/4RP2/8 b - -,d5f3
2rq1rk1/ppn2pbp/6p1/2pP4/4PQ2/2N5/PP3PPP/R3KB1R b KQ e3,b7b5
r1bqk2r/pp1nbppp/2p1pn2/2Pp2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8g8
3r2k1/ppNr2p1/1nb2pNp/7P/3P1BP1/P3RP2/1Pp5/2K5 w - -,c7e6
2rq1rk1/1b1nppbp/p1np2p1/1p4B1/4PP2/PNN2B2/1PP3PP/R2Q1R1K w - -,f3g4
8/8/1pN3p1/6b1/2k1p2p/7P/4K3/8 b - -,b6b5
r1b1k1nr/ppp3p1/4p1np/2b1P3/2B2P2/2N2N2/PP2K1PP/R1B4R b kq -,g8e7
2r1q1k1/pb2r1p1/1p1bp1R1/5p1Q/5P2/3B4/PPPB3P/1K4R1 w - -,h5h4
r1b2r2/1p3pk1/2n3p1/p1P1p1N1/3p4/PP1P4/5PBP/R3R1K1 b - -,f7f6
r1b1k2r/ppq3pp/2nbpn2/3p4/3P4/3B1N1N/PP3PPP/R1BQ1RK1 w kq -,f1e1
r2q1rk1/pp2bppp/2p1pn2/6B1/1NpP2b1/5NP1/PP2PPBP/R2Q1RK1 b - -,e7b4
r1b1r1k1/1p1nqp2/2pb2p1/p2p3p/N2P4/P2NP3/1P1QBPPP/2RR2K1 w - -,g2g3
3k4/7R/2pN4/7n/2P5/7r/4PK2/8 w - -,e2e3
3N1k2/1p1b4/p2p2Bp/P1pP4/1bP5/1P2K3/7P/8 w - -,e3e4
2r2rk1/Np4p1/2n1bp1p/3pp3/1b6/3P1NP1/1R2PPBP/5RK1 b - -,c6a7
2kr3r/ppq2pp1/2p1pn1p/4P2P/2P5/8/PP1BQPP1/2KR3R b - -,f6d7
2r4r/5k2/3Bp1pp/pbPq1p2/P2bp3/1P1p4/2R2PPP/2Q1KB1R b K a3,b5a6
r1bqkbnr/ppppppp1/6n1/3P3p/7P/2N5/PPP1PPP1/R1BQKBNR w KQkq h6,e2e4
1b6/8/k3r3/1R6/K1P5/8/8/8 w - -,b5b8
6k1/p4pp1/Q1pq3p/3p4/8/1P4P1/PN3P1P/r4BK1 w - -,b2d3
7k/b6p/P5p1/3N4/1rp1P3/6PP/RP4K1/8 b - -,b4b5
6n1/2B5/8/1p1kp1P1/8/2P2K2/8/8 w - -,c7d8
r7/p1pk4/1pp4p/4rP2/8/7P/PPP5/R4RK1 w - -,a1d1
r4rk1/2pbqpbp/p1n2np1/1p2p3/4P3/1NP1BN2/PPB2PPP/R2QR1K1 b - -,f8d8
2r5/8/3k1ppp/p1p1p3/P1BrP1Pb/1P6/2R1K2P/3R4 b - -,c8c7
2rq1bnr/pp3kp1/2n1ppp1/1B1p4/3P2PP/2NQ4/PPP2P2/R1B1K2R w KQ -,b5c6
5k2/8/N3np2/2p1p3/2P1P3/1bK2P2/8/5B2 b - -,b3d1
2rr1bk1/pp3ppp/4pn2/2q5/P1N5/1P2P1P1/1BQ2P1P/R2R2K1 w - -,b2f6
2kr3r/1pp2pp1/2p4p/p7/1P2Pq2/P1N2P2/2b4P/R3QRK1 w - -,f1f2
r1bqk2r/ppp2ppp/2np1n2/4p3/1bP5/P1N1PN2/1PQP1PPP/R1B1KB1R b KQkq -,b4c3
r2qr1k1/pp1b1pbp/2np1np1/4p3/3P4/2PB1NN1/PP3PPP/R1BQR1K1 w - e6,d4e5
8/8/3k1p2/6pp/2R4P/4N1P1/4KP2/7q w - -,e3f5
R5r1/1k5p/3p4/2nPbP2/1P6/5B2/2P4P/1K1R4 b - -,g8a8
2bqr1k1/p1pnrpp1/1p1n3p/4P3/1P1P4/P2B2N1/2QB2PP/4RRK1 b - -,d6b7
r1b2rk1/ppq1ppbp/2n2np1/3p4/2N1PP2/2PBBN1P/PP2Q1P1/R3K2R w KQ -,c4d2
rn1qkbnr/1b1p1ppp/p7/2p1p3/Np2P3/6PN/PPPP1PBP/R1BQK2R w KQkq e6,d2d3
rq3rk1/1p1b2bp/p1npp1p1/2p5/2P1P3/2NP1N2/PP4PP/R1BQ1RK1 w - -,c1e3
2kn2rr/pp1b4/4p3/q2p4/P1pPpN1p/B1P4P/R1PQ1PP1/4R2K w - -,a3b4
r1b1r2k/1p5p/p1p2ppb/2P1P3/P2q2P1/8/4BP1P/1RQR2K1 w - -,d1d4
8/1r4kp/6b1/p3p3/4p3/2P1Nr2/2K4R/3N2R1 w - -,h2d2
5r2/pR2Qn2/7k/5P1p/3r4/2Pq1P1P/P7/7K w - -,e7f8
r3r1k1/p2q1ppp/bp3n2/nN1p4/P2P1P2/3B1P2/3Q2PP/1RB2RK1 w - -,f4f5
r7/p3pp1p/3pbk2/1pr4p/4PP2/1B6/PPPR2PP/1K5R w - -,h1e1
r2q1rk1/pb1nbpp1/2Pp1n2/1p2p1N1/4P3/1BN4P/PPP2P2/R1BQK2R b KQ -,b7c6
rnq1kb1r/pp3pp1/2p1pn1p/3p1b2/2PP1B2/1QN1PN1P/PP3PP1/R3KB1R b KQkq -,f8e7
r2qk2r/pp1n1ppp/2pbpn2/5b2/P1BP4/2N1PN2/1P2QPPP/R1B2RK1 b kq -,f5g4
r1b2rk1/pp1n1pbp/1qpp1np1/4p3/2PPP3/2N2N2/PP3PPP/R1BQRBK1 w - -,c3a4:h2h3
r1bq1rk1/pp1n1pbp/2pp1np1/3Pp3/2P1P3/2N1BP2/PP4PP/R1NQKB1R b KQ -,c6d5
1r2r1k1/2b3pp/p7/2p2p2/2bp4/BP1P2P1/2P2P1P/R3R1K1 w - -,d3c4
r2qkb1r/1p1np2p/p1p1bpp1/2Pp3n/3P3N/1QN1P1B1/PP3PPP/R3KB1R b KQkq -,d8c8
r2r2k1/1pp2pbp/p1n1qnp1/4p3/4P3/3BB2P/PPPQNPP1/R4RK1 w - -,d2c3
2r4r/pp2b1k1/1qn2p2/4p1Np/1P2b1pP/1QPn2B1/P3BPP1/R4RK1 w - -,b3f7
3r2k1/3r1pp1/1p2pq1p/pN6/PnRPQ3/1P4P1/5P1P/R5K1 w - -,a1c1
r4rk1/2nq1bpp/3p1p2/p1nPp2P/1pN1P1PN/1P4R1/P1B1QP2/R6K b - -,c7b5
r1b1q2k/ppp3pp/n2b3r/3Np3/4P2N/6P1/PP2QPBP/R4RK1 b - -,c7c6
5r2/1Br2ppp/P3p3/1Rn1P3/2PR2PP/1P2nPk1/8/2K5 b - c3,c5b7
4r1k1/6pp/1pq2p2/p7/2pPnRP1/2P1Q2P/PP4K1/5R2 w - -,e3f3
5r2/1p3rkp/p2p4/q2Pp3/2R2pP1/P4P2/1P2Q2P/2R4K w - -,e2d3
1b1r4/p3k3/8/1RN2p2/1P2p3/4K3/P7/8 b - -,b8d6
r2qkb1r/1p3ppp/2b1p3/p1PpPn2/3B4/2P2N2/PP3PPP/RN1QK2R w KQkq a6,e1g1
r1b2rk1/pp2ppbp/2np1np1/q7/4P3/2N1B1PP/PPP1NPB1/R2Q1RK1 w - -,c3d5
8/1n6/1P6/5KNk/7p/8/6P1/8 b - -,b7d6
8/5Rpk/6r1/7p/4P3/6P1/1P3Q1P/3q2K1 w - -,g1g2
3r4/p1r2q1k/1p4p1/2P2n2/P3R2p/2P3bP/1B2Q1B1/5R1K b - -,b6c5
8/7K/8/6Q1/8/2q5/5k2/2q5 w - -,g5h4
1r1q1r2/p2bppkp/2np1np1/2p5/1p2P1P1/3P3P/PPPQ1PB1/R2NK1NR w KQ -,g1e2
r1bq1rk1/3nbppp/2n1p3/pBppP3/1p1P1P2/4BN2/PPPQ1NPP/R4RK1 b - -,c8b7
3r1rk1/1b4bp/p7/1p2pp2/1P2p3/P1N4P/1P3BP1/4RRK1 w - -,f2c5
8/p4Rpk/1p5p/8/5P2/P6P/1r6/5K2 b - -,b2b3
2r2rk1/pp5p/1n1PN3/4B3/4pP2/1P6/P5KP/4RR2 b - -,f8f5
1knq4/1r3b2/3p1b2/1p1Pp2p/1Pp1Pp2/P1N2P1Q/3NKB2/7R b - -,f7e8
1k1r3r/pp3pb1/1q6/1b2p2p/8/P1P1Q1P1/1P1NNPP1/1R2K2R b K -,g7h6
3r4/5pkp/p5p1/1p2p3/PP2Pnq1/2Pr4/R1Q3PP/1N2R1K1 w - -,g2g3
2k5/p3r1p1/1pp1p3/2Nr1p2/1P2p3/2Q3P1/P1K3PP/8 w - -,c5b3
rn1qk2r/pp3ppp/2pbpn2/3p4/4P1P1/2NP1Q1P/PPPB1P2/R3KB1R b KQkq g3,d6b4
r6r/ppp1k1pp/2nbpn2/4p3/4P3/2N1BP2/PPP1N1PP/2KR3R b - -,h8b8
r1bq1rk1/pp1pp1bp/2p3p1/3P1p2/2P1n3/4BNP1/PP2PPBP/R2Q1RK1 w - -,e3d4
r2q1rk1/3bbppp/pn1p1n2/1pp1p3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - -,f1g3
r1bq1rk1/pp2bppp/2p1n3/1P2p3/P3P3/1B3N1P/2P2PP1/R1BQ1RK1 b - -,d8d1
1r4k1/2p2pPp/p2pb1p1/8/1pqBQP2/8/PPP5/1N2R1K1 b - -,c7c5
8/1q1r1ppk/1p1rnn1p/8/1Q2p3/2P1B2P/1P2BPP1/R3R1K1 w - -,a1a6
r3k3/5p1p/P7/4p3/2R1P3/8/1r4P1/R5K1 b q -,b2b6
2r2rk1/1p3pbp/pq2b1p1/4p3/P2nP3/3Q2P1/1PN2PBP/R1B2RK1 w - -,c2e3
r1bqk2r/pp1pnpbp/2n3p1/2p1p3/4P3/2PP2P1/PP2NPBP/RNBQ1RK1 b kq -,e8g8:d7d5
8/b2r4/8/7R/1P3p2/2PK3R/5k2/8 w - -,d3e4
1r2k2r/2q2ppp/pnB5/2p1P1BQ/R7/8/1P3PPP/5RK1 b k -,c7c6
r3k2r/p2p1p1p/4p1pb/4q3/2Q1P3/2PP1RN1/1P3PPP/2R3K1 w kq -,c1a1
rn1qk2r/2p2ppp/bp2pn2/p1Pp4/3P4/P1B2P2/1P2P1PP/R2QKBNR w KQkq -,b2b4
r1bq1rk1/2pp1ppp/p7/1p1PN3/1b6/1PPP4/1P3PPP/R1BQK2R b KQ -,f8e8
rnb1qrk1/ppp2p1p/3p1bp1/3Np3/2PPP3/5N2/PP2BPPP/R2QK2R b KQ -,f6d8
1q3r2/r5bk/3pb1pp/ppnNpp2/4P3/P1P1N1PP/1P2QPBK/3RR3 w - f6,e4f5
r2qk2r/1b1nbppp/p1p1pn2/Pp1p4/2PP4/1QN2NP1/1P2PPBP/R1B2RK1 w kq -,c4c5
8/4k2p/4pnp1/4Bp2/7P/1b3N2/6PK/8 w - -,h2g3
3rrB1k/p4p1p/1n6/2p2B2/3p1P2/1P4RP/P5P1/5RK1 b - -,e8f8
5rk1/3q2p1/2np1r1p/2p1pb2/1p6/2PPB1PP/P3QPBK/1R3R2 w - -,g2c6
r2q1rk1/1pn1p1bp/2p3p1/p3Pp2/P1PPN3/4PQ2/3B2PP/2R2RK1 w - f6,e5f6
rn1qkb1r/pp3pp1/5p1p/3P4/P1p3b1/2N2N2/1P3PPP/R2QKB1R w KQkq -,f1c4
8/6k1/3P2p1/2p3P1/4p2p/4b3/R3B1KP/4r3 b - -,e3g5
r1b1k2r/bpp1qp2/p1np1n2/4p3/2N1P1pp/1BPP4/PP3PPP/R1BQRNK1 w kq -,c1e3
3r2k1/p2q1pp1/1pprpbp1/8/3PQ3/P1PR1BP1/1P3PKP/3R4 w - -,f3e2
1r6/2rB3p/2P2kp1/4p3/4Pp2/8/2R2PPP/5K2 b - -,b8b4
2R5/6kp/p5p1/8/2P3K1/8/PP1r3P/8 w - -,c8b8
r3n1kr/4ppb1/p2p2p1/qppP1P1n/2P1P2P/2N1B2R/PP1QN3/1K4R1 b - -,g6f5
8/4kp2/3N2p1/6Pp/1P1nP1bP/8/5KB1/8 w - -,e4e5
rn1q1rk1/pb2bppp/1p1ppn2/2pP4/2P5/2N2NP1/PP2PPBP/R1BQR1K1 b - -,e6e5
8/5p1p/1n2pn1k/pN3p2/PrpP4/5P2/BP4RP/2K5 b - -,b4a4
8/2R5/4p1kp/r1p5/2P2PK1/6P1/8/8 w - -,c7c6
4r1k1/pb2qp2/1p1b2p1/3p3p/3Nn2P/1P2P1P1/P3QPBK/B3R3 w - -,d4f3
1k1r1b1r/1pqb1ppp/p3pn2/8/P2N4/2PB4/1P2QPPP/R1B1R1K1 w - -,d3a6
8/8/5n2/7k/5N1p/4K1PP/8/8 b - -,h5g5
2n1k2r/p2b4/2np1pp1/qNp1p2p/2P1P2P/Q2P1N2/Pr3PP1/2R1KB1R w Kk -,a3a5
3r4/pb3pk1/1p1p2pp/2pP4/4rN1P/1P3PP1/P3P3/4RRK1 b - -,e4e3
r1bqkb1r/ppp1pppp/2n5/1QnP4/2P5/P7/1P3PPP/RNB1KBNR b KQkq -,b7b6
1rb2rk1/2q2p1p/p1pbpQp1/P2pn3/7B/3B2N1/RPP3PP/4R2K b - -,e5d7
r1b2rk1/ppq1bppp/4pn2/2n3N1/2BN4/8/PPP1QPPP/R1BR2K1 w - -,d4b5
rnbqk2r/1p3ppp/p2bpn2/8/P1BN4/4P3/1P3PPP/RNBQ1RK1 w kq -,h2h3
r1r5/4kppp/2pR4/p1nPp2P/1p4P1/PP3P2/2P1B3/1NKR4 b - -,e7d6
r4rk1/1bp2ppp/ppnbp3/7q/P2P4/4PNP1/1BP1B2P/1R1QR1K1 w - -,b2c1
r2q1rk1/1b1nppbp/p2p1np1/1p6/3NP3/P1NBB2P/1PPQ1PP1/R4RK1 w - -,e3h6
2R5/1r3k1p/6p1/8/P7/6P1/P4PKP/8 b - -,f7g7
8/1k6/p1p5/4p1p1/2B3nB/4b3/PP6/1K6 w - -,h4e1
3RRbk1/1p3r1p/5rpB/2P5/5PP1/3p4/6K1/8 w - -,g2f3
8/5kp1/3rnp2/2p3p1/1r3p2/1PR2N1P/R5P1/6K1 b - -,d6b6
r2q1rk1/pp1n1ppp/3bpn2/3p4/4P1b1/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,h2h3
6rk/p1R1R1p1/r6p/5Q2/q1Np4/2nP2P1/P4P1P/6K1 w - -,c4e5
r6r/2bqkb2/p1nn1p1p/1pp1pPp1/2PpP1P1/3P1BN1/PP4KP/R1BQN2R w - b6,b2b3
1r4k1/p2n1pb1/2p2qp1/4p2p/3pP3/3N1P2/PP2Q3/K1R3R1 w - h6,c1c4
5k1b/3q4/7p/1p5N/4QPP1/1P5K/8/8 b - -,h8c3
r4rk1/1p2b1p1/p2p4/P2P3p/R1n1N2P/4B1P1/5P2/4K2R b K -,c4e3
r4rk1/pppbppbp/6p1/4P1N1/2PP2P1/4K2P/PP6/R4B1R w - -,g5f3
8/5pk1/4p2p/3p4/p2P1RP1/rr6/5PK1/2R5 b - -,b3c3
r4rk1/pp1nqpp1/2p1pn1p/2bp1b2/2P5/1PNP1NPP/PB2PPB1/R2Q1RK1 w - -,f1e1
3r2rk/R5p1/3p4/7p/2P1Pp1b/1P4qP/PB2Q1P1/3R2K1 b - -,g3e3
2rqb1k1/p1N2pbp/1p4p1/8/3p4/3P2P1/P3PPBP/1QR3K1 w - -,c7e8
3r2k1/RP3p2/2Qb1n2/6pp/3Nq3/4P1P1/1P3P1P/2R3K1 w - -,c6d6
2r4r/pknQ1p1p/q3pPpP/1R1p4/2pP4/2P2N2/2PK1PP1/1R6 b - -,b7a8
r4rk1/pp1q1pp1/2n1pb1p/3p3b/4P3/1Q1P1NPP/PP1N1PB1/2RR2K1 w - -,g3g4
1k5r/1q1bbppp/4p3/Rp1p2P1/1Nr1PP1P/8/1PPBQ3/1K1R1B2 b - -,e7b4
2q2rk1/8/2np2pb/2p1p1N1/p3P2P/PrPP2P1/5RQ1/4R1K1 b - -,f8f2
7k/ppp3p1/8/6P1/1P1B2b1/P3R2p/3q1PP1/4R1K1 w - -,g5g6
rn1q1rk1/p4ppp/b1p1pn2/1pb5/1PP1P3/5NP1/P2N1PBP/R1BQ1RK1 b - -,c5d4
1rb1k2r/5ppp/p1n1p3/3pP3/1qp2P2/2N2N2/PPPQ2PP/K2RR3 w k -,d1b1
2r5/3R1pkp/5qp1/2pQ4/2P2P2/5KP1/7P/8 b - -,c8b8
8/R2PBpkp/6p1/8/2p5/2b3P1/P4K1P/3r4 b - -,d1d2
4rk2/pp3p2/2p1q3/4P1Q1/2bP4/7P/2B2RP1/7K b - -,e6d5
r2qr1k1/1ppn2bp/3pb1p1/1PN2p2/p1P1PP2/2NP4/PB4BP/1R1Q1RK1 b - -,d7c5
3r4/5pp1/p1k1p1Pp/1p2R2P/1P3r2/P1P5/2K1R3/8 w - -,g6f7
8/8/p6p/2pp1k2/P4P2/7r/2PK4/R7 w - -,a1e1
2r2k1r/1p1b1pp1/p2q1n1p/3p1B2/1P1P3Q/P1N5/2R3PP/5RK1 b - -,d7f5
3rr1k1/ppq2ppp/2pbn3/4P2n/5P2/3P3P/PPQBN1BK/3R1R2 b - -,d6e5
r1bq1rk1/pp3ppp/2n5/3np3/8/1NP3P1/PPN2P1P/R2QKB1R w KQ -,f1g2
6r1/2RNn1bk/p2p2r1/Np1Pp2p/4Pp2/5P2/PP5P/5R1K b - -,h7h6
8/8/1p3pR1/p1k4p/3p2PP/3Pr3/PP2PK2/8 b - -,e3h3
r1b2rk1/pnq2pp1/2p4p/3n4/1PN5/2PN2P1/P2BB3/R2QK2R b KQ -,c7g3
r5k1/pp3b1p/1np2p2/7r/5P2/2N3P1/PP4BP/3R1RK1 w - -,f4f5
6k1/1p4q1/p1p1p2p/3rPpp1/4PQ1P/1PR3P1/P2r1PK1/4R3 w - -,f4f3
rnbq1r1k/p3b1pp/1pp1p3/3p1p2/2PP1B2/2nBPP1P/PP2N1P1/2RQ1RK1 w - -,c1c3
6k1/p1p1n1pp/b4p2/8/P1rB2N1/6P1/1P2PP1P/3R1K2 b - -,e7c6
r5k1/p2n1ppp/1p2p3/2r5/4N3/P3P3/1P2KPPP/2R2R2 b - -,c5c1
R1b1r1k1/1p1p2pp/2nBpp2/8/8/5B2/2P2PPP/6K1 w - -,c2c4
1r3qk1/1B4pp/pp2p2n/6NQ/8/6P1/5P1P/3R2K1 b - -,g7g6
2bqrrk1/4bp2/p6p/3nN1pn/1p1P4/1N4B1/1P3QPP/1B1RR1K1 w - -,f2c2
8/3bq3/3p2k1/2pP4/p1P1N1pP/P3Q1K1/8/8 w - -,e3g5
5R2/8/8/4P3/pk1K4/1r4P1/5P1P/8 b - -,a4a3
rn1qk1nr/pbp2pbp/1p1pp1p1/8/3PPP2/2NB1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
8/1pk1p3/1p1r1p2/6p1/5PR1/1PK1P3/8/8 b - f3,g5f4
5Br1/5p2/8/8/PR1K4/8/k7/8 w - -,f8c5
6k1/pp2b3/2r1p2p/5pp1/P2P1P2/1rP3P1/1P1R1K1P/R1N5 b - -,b3b6
8/2PK3p/7k/p3b2p/8/1p6/8/6R1 b - -,e5c7
2R5/8/8/8/5K2/2pk4/8/8 w - -,f4f3
r1bq1rk1/1pb2ppp/p4p2/3pn3/3N4/2P1PN2/PP2BPPP/R2QK2R w KQ -,a2a4
r2qr1k1/pb3ppn/1pn1p2p/2p1P1bP/3p1B2/P1PP1NP1/1P1Q1P1N/R3RBK1 w - -,c3c4
8/1p3p1p/p1r4K/k2pP2p/Pb1P4/4B3/2r2PP1/R2R4 w - -,h6h7
4rbk1/1p1b1p1p/p4Pp1/n2P4/P3N3/4B3/RP4PP/3N3K w - -,e4c3
4qrk1/p4pp1/1b5p/8/1r1P2B1/3QP1P1/R4P1P/3R2K1 b - -,e8e7
8/1p2np2/p1p1k3/2Pp2P1/PP1P1K1p/8/7P/4N3 w - -,f4g4
8/7p/3pk1p1/4p3/Ppr1KP2/6PP/8/3R4 w - -,e4e3
5rk1/3Q1ppp/4p3/3pP3/1q3P2/7P/6P1/R6K w - -,a1f1
4k3/7R/r7/4P3/4K3/8/8/8 w - -,e4f5
rn1qkb1r/5ppp/p2p1n2/4pP2/1p2P3/1PN5/1PP1B1PP/R1BQK2R w KQkq -,c3d5
r6k/1pqb2bp/p3pnp1/2N5/2P5/4BN1P/PP1Q1PP1/3R1BK1 b - -,a8d8
8/p3r1k1/2B3pp/2p2p2/3P1r1P/2P2N2/PP3K2/6R1 b - -,c5d4
8/8/1p2R3/4P2K/3pkPr1/8/P5r1/8 b - -,g4g8
Q3b1k1/1pq1n3/2pp1nrb/3Pp3/1PP1Pp2/2N2Pp1/3BB1P1/R4NK1 w - -,a8a5
3rk2r/p1p2p1p/bn4p1/Q1B3q1/2Pb1p2/1P3B2/P5PP/RN3RK1 w k -,c5d4
8/5k2/8/3KpR1P/PP1b4/5p1r/R4P2/8 b - -,f7e7
8/R7/4p1k1/5pp1/8/1r4P1/5PK1/8 w - f6,a7a2
