8/2N1k3/1K2P3/1p5N/1P4p1/8/5r1P/8 b - -,f2h2
8/7p/4b1pk/8/1KP1BP2/5P2/7P/8 w - -,c4c5
r3q1k1/ppp1n1pp/4b3/8/8/P3Br2/1PP2PPP/3RQRK1 w - -,g2f3
1r4k1/1b1r1pbp/ppnpp1p1/1N6/PPPpP3/3P2P1/4NPBP/1R1R2K1 w - -,b5a3
r1r3k1/1p1npp1p/1qbp2p1/p7/P1BQP3/2N2P2/1PP3PP/R2R2K1 w - -,c4f1
r1bqk1nr/1ppp1ppp/2n2b2/p7/4P3/PNB5/1PP2PPP/RN1QKB1R w KQkq -,f1c4
1n6/1p1bkp2/1Pp2n2/2Pp1Pp1/1N1P2P1/2N1K3/4B3/8 w - -,e2f3
6k1/8/p6p/P1NPbpp1/8/1p6/7P/3K4 b - -,b3b2
r1b2rk1/1pRn2p1/p3pn1p/3p1p2/3P1B2/3BPN2/PP3PPP/R5K1 b - -,f6e8
4r3/r2n1kpp/3Bpp2/pP6/3P4/P3R3/2K2PPP/4R3 b - -,a5a4
2r1rb2/p1qN1p1k/1p3Bpp/2nP4/6Q1/7P/P4PP1/3RR1K1 w - -,d7f8
1r3q1k/3b2p1/2p1p2p/2PnQ3/1P5P/3B2P1/5P2/R3B1K1 w - -,a1a7
3q1rk1/4ppbp/3p2p1/1rpP4/5P2/6BP/1PP3P1/R2QR1K1 w - -,g3h4
r5k1/3brpb1/1q1p1npp/1ppP4/p3PB2/PnPB2NP/1P2R1PN/1R1Q3K w - -,d1f1
1r3r2/1pq3k1/p1nbp3/3p1p1B/3P1p2/3QPN1P/PP4P1/2R2RK1 b - -,g7h6
6k1/3nppbp/q2p2p1/3P4/4PP2/6PP/PB1n2BK/Q1rN4 w - -,a1c1
8/1r1b1k2/3q1Pp1/1r1Pp1Pp/p3P3/8/1P1R1QBK/2R5 w - -,c1c2
1rbqr1k1/2nnppbp/p2p2pB/1ppP4/P3P3/2N2N1P/1PPQBPP1/1R3RK1 w - b6,h6g7
r2qr1k1/1bp1bppp/p2p1n2/1p6/P2NP3/1QP5/1P1N1PPP/R1B1R1K1 b - a3,c7c5
r4rk1/pbqn1ppp/1p1bp3/8/3P4/2PB1N1P/P2BQPP1/R4RK1 b - -,a8c8
5r2/6kp/2P5/4nP1Q/3p3K/4q3/5p1P/2R5 w - -,c1f1
8/4k1bp/2b3p1/ppN1P3/8/P4NP1/1P1KP2P/8 w - -,e2e4
3r2k1/3r3p/1p2q1p1/p2p1p2/5Q2/1P1R1PP1/P1R1P1KP/8 b - -,d5d4
8/7p/5kp1/8/3p4/1PbBpKPP/2P1R3/r7 b - -,h7h5
8/6k1/p2p2p1/P1p5/1pP1p3/4N1QP/3n2PK/q7 b - -,a1e5
4b3/p3p2k/1rp1Bq2/3p1P2/PP1P2p1/4K1Pp/2R4P/4Q3 b - -,h7g7
2r3k1/pp1r1pp1/2n4p/3B4/1P3B2/P1R3P1/5P1P/6K1 w - -,d5f3
br1r4/2q2p1k/pp1ppn2/4n1p1/1PP1P3/PN2QP2/1N4P1/2RR1BK1 w - -,b2d3
6r1/3P1R2/5nP1/4k3/7P/8/7K/8 b - -,f6d7
8/7p/1k4p1/1P3p2/5P2/4K3/1R5P/3r4 b - -,d1e1
r3k2r/1b2bpp1/pqn1p3/1pppPn1p/5P2/2PP1NP1/PP1BN1BP/R2Q1RK1 w kq -,g2h3
8/5k2/5p2/2N1nP2/6P1/6K1/8/8 b - -,e5c6
2krr3/1bp1q2p/pp4p1/4P3/1P3N2/P4P2/1BP1Q1PP/4R1K1 w - -,e5e6
4n3/pb1nkp2/2p3p1/1p2p3/1P2P1P1/P3NP2/2P1NK2/5B2 b - -,e8d6
1r1q2k1/p1b2pp1/5n1p/2pp1B2/8/1PB2Q1P/P1P2PP1/4R1K1 b - -,d5d4
r7/4N3/7p/8/5r2/1P3k2/1K5R/8 b - -,f4f6
r1bqkb1r/pp1npppp/2p2n2/8/3P1P2/2NBB3/PPP3PP/R2QK1NR b KQkq -,f6d5
7r/1p1kn2p/4pp2/3p4/1P1N1P2/3P4/6PP/R5K1 b - -,e7c6
r2r2k1/1bq2p1p/1n2p1p1/1pP5/8/4PN2/1bQ1BPPP/2R2RK1 w - -,c2b2
r2qnrk1/1p1npp1p/p2p2pQ/2pP4/4P3/2N2B2/PPP2PPP/R4RK1 w - -,a2a4
4R3/pp1n1k1p/r5p1/8/2pN1P2/2P3P1/P1P4P/7K w - -,e8c8
b4rk1/3nqppp/2pb4/4p3/1p1PN3/1B2P2P/1PQB1PP1/5RK1 b - -,c6c5
r2q1rk1/pb2bppp/1pnppn2/8/2P1PB2/PNN5/1PQ1BPPP/R3K2R w KQ -,e1g1
r4qk1/1b1pnrbp/p5p1/1p3pB1/4P2Q/1PN2N2/1P3PPP/R3R1K1 w - -,a1d1
2rr2k1/pbq1bppp/1pn1pn2/2p5/2PP4/2N1PNP1/PB2QPBP/2RR2K1 b - d3,c6a5
rr4k1/5Np1/2n1b1p1/3pb1B1/8/pP1R4/P1N2PPP/2K4R b - -,g8f7
r1bqkbnr/pp3ppp/2npp3/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq -,g8f6
rn1qkb1r/pp2p1pp/2p1p3/3p3b/3Pn3/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,g2g4
8/6k1/1p5p/2pR2p1/2P2r2/7P/6PK/8 w - -,d5d6
r1bq1rk1/pp1nbppp/4pn2/2P3B1/2B5/2N1PN2/PPQ2PPP/R3K2R b KQ -,d7c5
r1b2rk1/1p2qp2/p2p2pQ/1NpPb3/2P1P3/3B3P/P4PP1/1R3RK1 w - -,b5a3
r4rk1/pp1qppbp/n1pp1np1/8/2PPP1b1/2N1BNP1/PP3PBP/R2QR1K1 b - -,f8d8
2k4r/1qp1np1r/p1n1p1p1/1pPpP2p/3B1PP1/PPPQ2NP/1K6/3R3R b - -,h5g4
8/2R2k1p/1p2p1p1/1r3pBP/p7/P1P5/1P4P1/7K b - -,f7g8
r3r1k1/pp2bp1p/2ppqnp1/4p3/3PP3/P1N1BP2/1PP3PP/3RQRK1 w - -,e1f2
3rr2k/1p1b1q1p/p4np1/2ppR3/8/2PB1PN1/PP1Q2PP/4R1K1 w - -,d2f4
2Nrr1k1/1pR1b1p1/p3pp1p/q2pPb2/3Q4/P5P1/1P2PPBP/2R3K1 b - -,f6e5
r1bq1r1k/pp4pp/2nb1n2/3p1p2/3P4/1QN1PN1P/PP1BBP2/2R1K2R b K -,c8e6
8/1p6/p5p1/2b5/PnB2kP1/1P3r2/3R1p2/3R1K2 b - -,c5e3
r2qkbnr/1ppb1ppp/p1np4/3Pp3/B3P3/5N2/PPP2PPP/RNBQK2R b KQkq -,c6e7
1kr4r/pp6/3q3p/3pR1p1/P1pP1nP1/2P1Q2P/PR4B1/6K1 b - -,d6a3
8/3q4/P5k1/8/1R6/6P1/4BP2/6K1 b - -,d7d2
2r2rk1/1bqnbppp/1p1ppn2/pPp5/P1PP4/4PN2/1BQNBPPP/R4RK1 w - -,a1c1
r2q1rk1/ppp1ppbp/2n2np1/8/2QPP1b1/2N2N2/PP2BPPP/R1B1K2R w KQ -,c1e3:d4d5
5rk1/p1q3p1/8/1p3N2/3P2Q1/1P6/PK3P1b/2B5 b - -,b5b4
5R2/1p6/p3k3/8/3Bb3/PK3p2/1P1r4/8 w - -,d4b6
8/8/5p2/1p3r2/k4Np1/4K1P1/1p6/7R w - -,h1b1
2b5/6p1/2pk3p/2Np4/1P2p3/2P4P/4KPP1/8 b - -,d6e5
1rr3k1/p4pp1/3p3p/3Ppbb1/4P3/R1NK2P1/1PP3BP/7R b - -,f5g4
r1bqkbnr/pppp2pp/2n5/4pp2/2P5/3P2P1/PP2PPBP/RNBQK1NR b KQkq -,g8f6
3rk3/Q3p3/2pp1p2/5b2/8/2B2q2/PPP1R3/3K4 b - -,f5g4
2k5/pp4p1/4bp1p/2p3n1/P3p3/1PB1P1P1/2P1BPP1/3K4 b - -,c8c7
r5r1/pp1bkp2/3Np2p/4P1p1/3B4/P7/5PPP/2K2B1R w - -,d6b7
5R2/8/1P4p1/2K5/4pk2/8/8/1r6 b - -,f4g4
2r3Bk/1p1R2pp/8/8/pp1B1P2/b7/P1P3PP/1K1R4 b - -,h8g8
2r2rk1/1pq2ppp/p1n1pb2/3p4/3P2Q1/P3B2P/1PP1NPP1/1RR3K1 b - -,c6e7
rn1kr3/2q1b1Qp/b1pnB3/p3N3/Pp1P4/8/1PP2PPP/R1B1R1K1 b - -,e7h4
3r2k1/r1n1qbpp/5p2/2pp1P2/p4Q1P/4P3/PP3P2/2RRBBK1 w - -,f1g2
4rqk1/b1pb1pp1/p1n1rn1p/Pp1p1N2/3P4/1B2B1NP/1PRQ1PP1/R5K1 w - -,a1c1
r2qkb1r/pp3ppp/2n1pn2/1Bpp1b2/5P2/1P2PN1P/PBPP2P1/RN1QK2R w KQkq -,f3e5
8/p2R2p1/2N3kp/8/r7/6P1/6KP/8 b - -,a4a2
5r1r/pppb1k1p/3p2p1/2nPppBP/1PP5/6P1/P3PPB1/R3K2R b KQ b3,c5e4
5r2/1p5k/p1pPp2P/4Ppp1/1P1P4/1P3K2/7R/8 b - -,f8d8
r1bq1rk1/pp2ppbp/2n3p1/2p5/2Q5/2P2NP1/PP2PPBP/R1B2RK1 b - -,d8b6
5r2/4bk2/3p2p1/2pPp1Pn/BpP1P1K1/1P2B3/6N1/8 b - -,f7g7
8/8/6p1/5k1p/5N1P/5KP1/r4P2/8 b - -,f5f6
r1b1k2r/1pp3p1/1b1p1pq1/p2Pp2p/P2P3P/2P1P1P1/1P1QN1B1/R4RK1 b kq -,c8g4
8/b7/P7/8/1P2k2p/5p1P/3r4/R3K3 b - -,d2h2
8/K7/1p6/1Pp5/P7/1Pk5/8/8 b - -,c3b3
r2q1rk1/5pbp/p1n1pnp1/3p4/Pp1P4/1B2BQ1P/1PP1NPP1/R4RK1 w - -,f1d1
7r/5p2/pk2bP2/R1p4P/8/2P2B2/P1P3P1/2K5 w - -,a5a4
2r2k2/5R2/3p4/1p2b1p1/2B5/1P4pP/8/6K1 b - -,f8e8
r2qk2r/pp1n1pp1/2pbp1p1/3p4/2PPn3/PPN1P1P1/5P1P/R1BQKB1R w KQkq -,c3e4
2r2rk1/1q1b1pbp/3p4/1pnPp2p/pN2P3/4BP2/PP1QB1P1/2R2RK1 w - -,b4d3
r1r2k2/pp1q1p2/4pnp1/3p3p/3P4/1P1QPBP1/P1R2P1P/2R3K1 w - h6,c2c3
5rk1/6pp/R7/3N1pP1/8/P2n4/1r3PP1/5RK1 b - -,d3e5
2r1knnr/1b2p2p/p2pBppP/5P2/pP1NP1P1/2N5/2PK4/3R3R b - -,f8e6
r4rk1/pb2qpp1/1pB1p2p/3pP3/8/1NP5/PP2QPPP/R3K2R b KQ -,b7c6
r3qrk1/2p2p2/p2p1bp1/n2Pp3/1p2P2P/1PN4R/P1PQN3/2KR4 w - -,c3b1
r1b3k1/1pq1rpbp/p5p1/4p3/Q1Pp4/3P2P1/PR1NPPBP/5RK1 b - -,a8a7
2kr2r1/1pq1pp2/p1npb3/4n2R/P3P3/1NP1BP2/2PQB1P1/R3K3 w Q -,a4a5
r2qkb1r/3b1ppp/p1nppn2/1p6/B3P3/2PQ1N2/PP1N1PPP/R1B1R1K1 w kq b6,a4c2
r2r2k1/pp2nppp/2n1p3/2qpPb2/8/2P2N2/PP1NBPPP/R2QR1K1 w - -,e2f1
2r1r1k1/1q3pp1/p6p/1p6/2nQp3/7P/PPB1RPP1/4R1K1 b - -,f7f5
1r1r2k1/2q2ppp/p1bpp3/8/2P1P3/1R2QB1P/P4PP1/1R4K1 w - -,b3b8
8/1pk1n1pp/p4p2/3bp3/8/1PB2P2/P1PK2PP/3B4 b - -,d5c6
r4rk1/ppqb2b1/4pppp/1P1pP3/P7/2P1QN2/5PPP/RN2R1K1 w - -,b1d2
8/2b1rbkp/6p1/2N2p2/1p1R4/5BP1/5PPK/8 w - -,d4b4
1R5r/2k2qp1/p1pb4/P1n1ppBP/4P3/2P2B2/4QP2/5KR1 b - -,h8b8
5k2/R4p2/6p1/7p/1p5P/5P2/Pr4P1/5K2 b - -,f7f5
r2q1rk1/1pp2pp1/p1p1bn1p/8/4P2B/2PP1N1P/P1P2PP1/R2Q1RK1 b - -,d8d7
2B4k/7p/3p1q2/P2P4/4p3/3bQ1P1/5P2/6K1 w - -,e3c1
8/3k1p2/4pB2/p2pPn2/3n4/3K4/5P2/1Rr5 w - -,b1c1
4rrk1/p1pbqppp/1p6/n2Qp3/3P4/P1PBP1N1/5PPP/R4RK1 b - -,g8h8
1r1r1q2/p2n1pk1/2p2npp/P7/2BBP3/1P2NQ1P/5PP1/R5K1 b - -,f8d6
5rk1/4bpp1/qNp1bn1p/p2p4/8/P3B1PP/1PQ1PPB1/2R3K1 b - -,c6c5
2rq1rk1/p2nbpp1/Pp2p2p/3pPn2/3P4/1N3b1P/1P1BBPP1/2RQ1RK1 w - -,e2f3
2k2r1r/pp2p3/3p2p1/2p1b3/1PPPp1bP/P3B1P1/6B1/1R2R1K1 b - -,c5d4
r5k1/ppr1pp1p/3p2p1/2nP1q2/2P5/4QN1P/P4PPK/1R1R4 w - -,f3d4
r1b2rk1/1p1n1pb1/3q2pp/1P1Np3/P2p4/1Q2PN2/5PPP/2R1KB1R w K -,f3d2
rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq -,g8f6:c7c5:f7f5
1r1r2k1/5p1p/1p2p3/1Pb2p2/2R5/6P1/2R1BP1P/6K1 b - -,g8g7
1r6/4k3/8/p2Rp3/2P1Kp1P/8/2n5/8 w - -,d5e5
3rr1k1/1p3pbp/2pP2p1/P4p2/2BqbB2/4NP1P/P2Q2P1/2R3K1 w - -,c1d1
r5k1/1pp1Rr1n/p2p2Q1/5p2/3P1Pp1/1q4BP/1P4P1/4R2K b - -,g8f8
r2qkbnr/pb3ppp/2npp3/2p5/4P3/3B1N2/PPPN1PPP/R1BQ1RK1 w kq -,a2a3
2q1r3/p2R1pkp/2p3p1/6Q1/1Pb5/P1pN2PP/2P2P2/6K1 w - -,d3e5
rn2kb1r/1q3ppp/p3pn2/2p3N1/1p3P2/3P2P1/PPP1N2P/R1BQ1RK1 b kq -,f8e7
r4nk1/pp1br1p1/4pp1p/3p4/3P4/2RBPN2/PP1K1PPP/2R5 w - -,c3c7
r2qk3/pp1nnpb1/2p1p1p1/3p3r/4P2P/2NP2Q1/PPPB1P2/2KR1B1R b q -,d7f6
r4rk1/5ppp/p3p3/1pR5/1P1P2Q1/1qP5/5PPP/R5K1 b - -,a6a5
1R3n1Q/4qk2/4pNr1/p2pPp2/3n1P2/2p5/P5PP/5K2 w - -,g2g3
rn1qkb1r/p2p1ppp/bp2pn2/2p5/2PP4/P4N2/1PQ1PPPP/RNB1KB1R w KQkq c6,d4c5:c1f4:d4d5
r2q1rk1/1pp1ppbp/p1n2np1/8/P1BP2b1/2N1PN1P/1P3PP1/R1BQ1RK1 b - -,g4f3
r1br1nk1/1pq1bp1p/p5p1/2ppP3/P4P2/2PBBNQP/1P4P1/R4R1K b - -,f7f5
8/5k1p/4NP2/4K3/1n6/8/7P/8 b - -,f7g6
r1bq1rk1/1p2bppp/p3pn2/3n4/3N4/2PB1N2/PP1B1PPP/R2QR1K1 b - -,d8c7
3r2k1/2Q2ppp/2p5/p3Pp2/2P1n3/P5P1/4B1KP/3r4 b - -,d1d2
5r1k/2p2pbp/1q3np1/1r1p1N2/Q2P4/6P1/R3PPBP/2B1R1K1 b - -,g6f5
2r3k1/pp1bb1pp/1q2p3/3pPp2/2rP1P2/P1N1B2P/1P1Q2P1/2R2RK1 b - -,a7a5
1qr4k/6pp/3p4/1Pn1pp2/1Q2n3/4PP1P/3N2P1/BR4K1 b - -,c5d3
2r3k1/pp3pp1/2p2n1p/2npr3/2P5/1PN1P3/1P3PPP/2RRB1K1 w - -,c1a1
r7/1pp1k3/p1p3p1/P6p/NP2PPbP/4K3/2PR4/8 b - -,a8f8
6k1/pp2qp1p/6p1/8/1PR4P/2P2Q2/2r2P1K/8 b - -,c2e2
1r2r3/2k2b1p/2pp1np1/p1p2p2/2P4P/1PKNP1P1/P2R1PB1/3R4 w - -,d3f4:d3b2
3r4/8/n3k3/1p3p2/7R/5K2/3P4/2B5 b - -,a6c5
rnbqkb1r/ppp1pppp/3P4/3n4/3P4/8/PPP2PPP/RNBQKBNR b KQkq -,c7d6:e7d6
r3k1nr/ppqb2pp/2n1p3/2bpP3/5B2/2NB1N2/PP3PPP/2RQ1K1R b kq -,g8e7
3r2k1/n5p1/3P4/4R2p/2P1N2P/p2K4/Pr2R1P1/8 w - -,e2b2
2b2k2/1p3p2/3r1B2/6P1/p3B3/6P1/1P1b1PK1/5R2 b - -,c8e6
3b4/1p3p2/p1p1k1p1/2P1P3/P3KPp1/3N2P1/8/8 b - -,d8a5
r1n2bk1/1p3pp1/5q2/p2r4/P1N2P2/1P3P1B/2PQ3P/3R2K1 w - -,d2d5
r1b3k1/pp1p1rpp/q3p3/4Q3/n1P1B1Pn/8/P2N1P1P/B1R2RK1 b - -,h4g6
8/1R5P/6k1/8/r7/5KP1/8/8 b - -,a4a8
r1bqk2r/pp2bppp/2n2B2/2p5/3p4/2NP2P1/PPP1NPBP/R2QK2R b KQkq -,e7f6
r1bqr1k1/pp2ppbp/1np3p1/n2P4/3NP3/2N3P1/PP3PBP/R1BQR1K1 b - -,e7e6
r2qk2r/1p1bbp2/p1nppnp1/6B1/3NP2P/2N5/PPPQ1PB1/2KR3R w kq -,h1e1
r1b2rk1/1p2bpp1/p3pn1p/q3N3/7B/2N2Q2/PPP2PPP/3RR1K1 b - -,f8d8
r1b1k1nr/pp3ppp/2n5/q3p3/2Pp4/2bP1NP1/P2NPPBP/R1BQ1RK1 w kq -,d2b3
r1rn3k/1pp1bqp1/p2pNn1p/8/1P2PP2/P1N1B2P/Q1P4K/4RR2 w - -,f4f5
1q1rrbk1/1b1n1ppp/3p4/1Np5/NpP1n1P1/1P1B3P/1B1Q1P2/3RR1K1 w - -,d2f4
r3r1k1/1p5p/2p3pb/3n1p2/p1RPp3/4P1P1/PP3P1P/1N1RB1K1 w - f6,e1d2
8/1p1k2B1/4p1Bp/1P1b2PP/3p1q1b/P7/4Q3/5NK1 b - -,f4g5
8/p1r3k1/2q3pp/8/3p4/P2P2K1/1Q3N2/8 b - -,c6c3
4r3/1pp2pkp/3p2p1/p1nPr3/2P1P3/1P1BPR2/P3K1PP/5R2 b - -,e8e7
5r1k/6pp/7b/3BRP2/5r2/8/5PP1/5RK1 b - -,f4f5
8/1p2k3/1rp5/3p4/p2P4/1P2PP2/P4K2/7R w - -,h1b1
1r1nqrk1/2p5/p2p2pb/P2Pp3/1PP1Pn1P/Q7/4NB2/3RKB1R b K -,e8f7
1rk1r3/p1p2ppp/2p5/2N3qn/2PQP3/B2P1PPb/P4K1P/1R2R3 w - -,b1b8
8/p1p1kppp/2p5/3b4/B7/P7/1PP3PP/6K1 w - -,g1f2
2kr3r/1pp5/p1q2p1n/3p3B/2nP1B1P/2PQ4/PP3P2/2K1R2R w - -,e1e7
8/ppp2kp1/1b2p2p/1P3r2/P2P3R/3R4/4KPPP/8 b - -,e6e5
8/1nk1B3/8/1K6/8/8/6B1/8 b - -,b7d6
3r3k/8/6pp/R4b2/2pr4/1PN3P1/P1P3P1/2K1R3 w - -,a5e5
r3k2r/1p1bbppp/p1n1pq2/8/2P5/P1Q1B3/1P2BPPP/RN3RK1 b kq -,e8g8
8/1R5p/3p2pk/3Pp1q1/P7/6Pb/7P/6QK b - -,g5d2
8/2r1K3/pp3Ppk/6Np/7P/2P5/PP6/8 w - -,e7d6
2r3k1/2r2p1p/4p1p1/4b3/2P1B1P1/4B2q/3R1P2/3Q1RK1 w - -,f2f3
r5k1/6bp/6p1/pp6/2Rn4/R1p1N1P1/5P1P/5K2 w - b6,c4c5
rnbq1rk1/ppp1ppb1/6pp/8/2PPp2B/8/PP1QPPPP/2KR1BNR w - -,e2e3
8/6Bp/4k3/1p3pK1/pn6/1P3P2/7P/8 w - -,b3a4
3rr1k1/1bqn1pp1/p2p3p/1p2p3/1P2P3/2P1QN1P/P1B2PP1/2R1R1K1 w - -,c2b3
8/4k1p1/3p2r1/7p/2PRN2P/1r4P1/5K2/8 w - -,d4d5
1r4k1/pbR2pp1/1p2pn1p/4N3/3PP3/3B3P/P4PP1/6K1 b - -,b7e4
2b2rk1/r3b2p/1qn1ppp1/1pN5/1P3P2/1Q3NP1/4BP1P/2R2RK1 b - -,g8f7
r2q1r1k/pp4bp/2npb1p1/2pN4/2BP1p2/2P2N1P/PP1Q1PP1/R4RK1 w - -,f1e1
r2q1rk1/1b1n1ppp/2pbpn2/pp6/3P4/P1NBPN2/1P1B1PPP/R2Q1RK1 w - a6,f3g5
r3r1k1/1p3p1p/1qpp1bp1/p1n4n/P1P1P3/1PN1Q1Pb/1BB2PNP/3R1RK1 b - -,a8d8
1nrqkb1r/4npp1/p2p3p/1p1Pp1BQ/8/N1PB4/PP3PPP/R3K2R w KQk -,a3c2
r7/4bppp/r1k1pn2/3p4/P1bP1B2/2N1P2P/1R2NPP1/1R4K1 b - -,f6d7
2kr1b1r/pb1n1p2/2p1p3/1p2P3/2pPNP1q/2N1Q2B/PP4P1/R4RK1 b - f3,f8e7
6r1/3q2nk/1p1p4/pNpP2B1/P1P1RPp1/1P6/8/4R1K1 w - -,g1g2
r1bqk2r/pp2npbp/3p2p1/2p1p3/3NPP2/2NP2P1/PPP3BP/R1BQ1RK1 b kq -,e5d4
r1b2rk1/1pq2ppp/p1nbp3/2ppN3/3PnP2/PP1BP3/1BPN2PP/R2Q1RK1 b - -,e4d2
rn1qk1nr/pb1pppbp/1p4p1/2p5/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 b kq d3,g8f6
8/pR6/4k3/7p/2r5/P3K3/6PP/8 b - -,c4c3
8/2k5/6p1/7p/P2BKb2/7P/8/8 b - -,f4g5
4rb2/R1R3pk/3p3p/4p3/1rP5/1p2B2P/1P2KPP1/8 w - -,e2d3
8/5N2/4R1p1/p1pp3p/P4k2/2q3NK/2P5/8 w - -,e6g6
8/1P5p/R3p1p1/3pk3/N1rn4/1K6/P5PP/8 w - -,b3a3
1r3r2/2p1qp1k/2Pp2pb/3Npb2/4n2p/1P2P1P1/P2Q1PBP/B1R1R1K1 b - -,e7d8
r1bq1rk1/pppn1ppp/2p5/4p3/1b2P3/3P1N2/PPP1NPPP/R1BQ1RK1 b - -,f8e8
r1r5/4b2k/p4qp1/1b1Ppp2/2p1P2p/2P1BPP1/R5QP/R4NK1 w - -,g2h3
4k3/8/4p1p1/pK4Pn/3PP3/5N2/5P2/8 b - -,h5f4
r1q3k1/ppnrbppp/2p2n2/5P2/4P3/2N1BBPP/PP3QK1/R4R2 w - -,e4e5
r1bqkb1r/pp3ppp/8/1Np1n3/2P5/P7/1P2PPPP/R1BQKB1R b KQkq -,a7a6
6k1/6b1/p2p1pP1/1p1nr3/2q3BQ/2P4P/PP4P1/4RR1K w - -,g4e6
2r3k1/1p2qp2/p5p1/3p3p/3N4/1Pr1P2P/P4QP1/3R1NK1 w - -,f2f3
5k2/1n4p1/3r2Pp/3p4/4nP2/1P2PB2/PK6/3R4 w - -,d1d4
5bk1/1q3p2/5np1/3p4/Np1PpN2/1P2P1P1/5PK1/2Q5 b - -,f8d6
8/3R2pk/8/5p1p/5P1b/8/R5K1/1r6 w - -,a2a5
2r2r1k/2q1b1pp/pp1p4/4p3/1PP1R1N1/P2Q1P2/6PP/3R2K1 b - -,b6b5
rnbq1rk1/4ppbp/3p1np1/1BpP4/8/2N1PN2/PP3PPP/R1BQK2R w KQ -,e1g1
r4rk1/p5n1/3p2q1/2pP1p1p/1pP2PpB/1P1B2N1/P2Q2K1/7R b - -,a8e8
8/5p2/4pk2/3n1p1p/R6P/5KP1/5P2/8 b - -,f6g6
3r1rk1/ppp1nppp/2n5/8/2N5/2P2NP1/PP3P1P/2R2RK1 w - -,c1d1
2rqnrk1/5pbp/ppn1p1p1/3pP3/P2P1B2/4N1PP/1P2BP2/R2Q1RK1 b - -,g6g5
r2q1rk1/pp1n1ppp/4pb2/1Ppn4/2N5/1PN2Q2/1BPP1PPP/R4RK1 b - -,d5c3
6k1/1p3pp1/p1p4p/P1P3q1/1P1Pp3/4P2P/5K1P/5Q2 b - -,g8f8
