2B5/4k2p/2K5/p4P2/2P5/7P/P2b4/8 b - -,d2f4
r2qk2r/ppp2ppp/2n1pn2/3p4/1bPP1Bb1/2N1PN1P/PP3PP1/R2QKB1R b KQkq -,g4f3
2kr4/3b1Pr1/pnpq2P1/3pN3/4p3/1PN3Q1/P4PP1/2R2RK1 w - -,c3a4
r1bq1rk1/1p1nppbp/p2p1np1/2pP4/2P1P3/2N1BPN1/PP4PP/R2QKB1R b KQ -,b7b5
3rrbk1/5p1p/R1RP2p1/3Pp3/1p6/1P3P2/4NP1P/6K1 b - -,d8d7
6k1/6p1/4p2p/1p1PP2K/5R1P/8/r7/8 b - -,a2e2
8/5P2/4R2b/8/2k5/3ppK2/8/8 w - -,e6h6
rr4k1/4pp1p/3p2p1/q2P4/2pbPP1N/1PNb2P1/PQ1B1nBK/1R1R4 w - -,h4f3
1r2r1k1/2nbq1bp/p2p2p1/PppP1p2/2P1nP2/1P1B3P/4NNP1/1R1QBRK1 b - -,b8b7
8/3n4/8/6k1/8/4KB2/6P1/8 w - -,g2g3
2r3k1/3bnpb1/pq1p2p1/1p2n2p/3N1N2/1P4PP/PB1Q1PB1/3R2K1 w - h6,d4e2
7k/2p4p/3p1R2/3Pp3/4Pp2/1q6/3K3P/4RQ2 b - -,b3b2
1r1qr1k1/1p1n1pbp/p1pp1np1/P4b2/NPPPp3/1QB1P3/3NBPPP/R4RK1 w - -,b4b5
rnbq1rk1/1p2p1bp/2p3p1/3p2N1/2PPp3/Pp2B1P1/4PPBP/1R1Q1RK1 w - -,d1b3
1rq5/4b1k1/pB4p1/Pn3b2/1p3Q2/8/1P3PPP/R2R2K1 b - -,b8b7
3rr2k/2pqn1b1/1p5p/pQ3bp1/P2PNp2/2P4P/1P1N1PBK/R3R3 w - -,d2c4
r3nrk1/ppp2ppp/3pb2q/3NP3/2BQ1P2/P7/1PP3PP/R4RK1 b - -,c7c6
8/8/6k1/4B3/5P2/4N2r/p1N1K3/8 w - -,c2b4
3R4/5r1p/1p2k3/4pp2/8/2P1bPNK/1P5P/8 w - -,h3g2
3r4/4p3/2k1P3/3p4/8/7Q/P1q3P1/4R2K w - -,h3e3
r1b1k1nr/pp3ppp/8/3qn3/3Pp3/2B5/PP3PPP/R2QKB1R w KQkq -,d4e5
8/6k1/3rP3/1K4BR/p6P/8/PP1b4/8 w - -,e6e7
3nr1k1/3q2p1/1p1B3p/3P1p2/bP5P/6P1/3QP1BK/4R3 w - -,d6f4
3q1r2/1pnb1pbk/2p3pp/3pP3/1PnP1B2/5NNP/2B2PP1/R1Q3K1 b - -,c7e6
4r1k1/2pq1pb1/2n1b1pp/3Bp3/2PpP1P1/1P3QN1/3B1PP1/r3R1K1 w - -,e1a1
6rk/1p4q1/4R2p/3B1p2/p1P2P2/P2r4/1b5P/R3Q2K w - -,e1h4
3rrn1k/2p2qpp/1p1pbp2/p7/2P1PP2/P1Q3B1/BP4PP/4RRK1 w - -,f1f2
6k1/p4pb1/4b1p1/1N5p/4P3/3r1PP1/P6P/2R3KB b - -,d3f3
7r/1p6/pnpkb3/4p1pp/P1N1R3/1P3P1P/2P1BKP1/8 b - -,b6c4
2rr2k1/1b2qpp1/pp3n1p/2p1p3/3B3Q/P2P1NP1/1P2PPBP/1RR2K2 b - -,b7f3
6k1/p5pp/1pp1b2q/3pP2r/3P1P1r/2P3Q1/P3R1BP/5RK1 b - -,h4g4
1n2brk1/r4ppp/1qp1pn2/pp2N3/P1pPP3/N5P1/1P1Q1PBP/3R1RK1 w - -,g1h1
6k1/R7/5p2/6p1/6Pp/2r4P/5PK1/8 b - -,c3d3
5r1k/pp1P2p1/6q1/2N1p2p/3nP1B1/7P/PP1Q2K1/2R5 w - -,c1f1
6k1/R7/P4r2/1K5P/8/8/8/8 b - -,f6f5
r1bn1r1k/ppp2qb1/3p3p/1P1N1p2/2PPpP2/4P3/P2QN1BP/1R3RK1 w - -,e2g3
r2q1rk1/pb2bppp/1p2p3/2p5/8/P3P3/1PQBBPPP/R4RK1 b - -,e7f6
3r2k1/p4pp1/2p2q2/2P4Q/8/P5P1/5PKP/4R3 w - -,h5f3
3R1bk1/p3pp2/Pp4pp/4n3/1P2P2P/2N5/3r1PPK/8 w - -,d8d2
2b2r1k/1p4qp/pQ3p2/4n3/1P2PN1P/PB4P1/5K2/2R5 w - -,b3e6
2rq1rk1/pb2bppp/1p1ppn2/4n3/2P1PB2/2NBN2P/PP3PP1/R2Q1RK1 b - -,a7a6
rnbqk2r/pp3ppp/2pb1n2/3pp1B1/4P3/1BPP1N2/PP3PPP/RN1QK2R b KQkq -,d5e4
r2qk2r/pp1n1ppp/2pbp3/3n1b2/3P4/3N1N2/PPP1BPPP/R1BQ1RK1 b kq -,h7h6
3r1n2/1p2R1kp/5p2/p4P2/3p4/1P1B4/P1P2P2/1K6 b - -,g7h6
2rqr1k1/1b2ppbp/pn1p1np1/8/Pp1PP3/2NB1N2/1P2QPPP/R1BR2K1 w - -,c3b1
8/8/3bk3/8/2R5/3K4/8/r7 b - -,a1d1
r2qk2r/p1p1nppp/1pn5/3p1b2/3P4/P1PB1N2/2P2PPP/1RBQK2R w Kkq -,e1g1
4rrk1/p3R2p/1p3n2/3p1p2/3P1p2/4P3/PP3PBP/R5K1 w - -,e7e5
6b1/6rk/1p4Np/p4R1P/P1p3PK/5Q2/8/2q5 w - -,g6f8:f3e4
6k1/3q1pp1/3nb2p/3p4/pp1PNQ2/3B3P/PP3PP1/2N3K1 b - -,d5e4
8/7r/8/5p2/4n3/3k2BP/1R5K/8 w - -,g3f4
r6r/p1kn1ppp/n1p5/N6b/P7/4NP2/1P1K2PP/R4B1R b - -,a6b4
1r1q1rk1/p2b2bp/n1p2np1/1p2pp2/2P5/PPN3P1/1B1NPPBP/1R1Q1RK1 w - -,e2e4
2qr1rk1/2n1ppbp/2p1n1p1/p1P5/PpBPR3/5N1P/1P1BQPP1/R5K1 w - -,d2e3:a1e1
8/R4pk1/4P3/p3P1r1/8/8/7K/8 b - -,g5e5
3r1k2/pp3p2/3rb3/2pp2p1/6n1/P1PBP2N/1P1R1PP1/2KR4 b - -,f7f6
2r3k1/pb3pp1/1pn4p/8/2R3q1/5N1P/P4PP1/2R3K1 w - -,h3g4
r2q1rk1/1b3pbp/pp1p1np1/2n1p3/P3P3/2NBB2P/1PPNQPP1/R4RK1 w - -,f1d1
r7/1pR5/3p3k/3P3P/p1PBp1b1/8/PP6/1K6 b - -,g4e2
8/7k/2R5/5K2/p2B4/5r2/8/8 w - -,f5e4
r1b1k2r/pp2qppp/2p1n3/3p3n/3P4/2NBP3/PP2NPPP/1R1Q1RK1 b kq -,e8g8
2rr2k1/p3pp1p/q3n1pb/4P3/2pPR3/5NBP/P1Q2PP1/3R2K1 b - -,d8d5
8/4n3/1ppr1kp1/p7/P2PB1RP/1PK5/8/8 w - -,g4g5:g4f4
3r1r2/2pn1ppk/1p4np/p7/P4pPq/1P1NB2P/7Q/3RR1K1 w - -,d3f4
5k2/R7/2r2pbp/4pN2/6PK/5P1P/8/8 b - -,c6c3
k5r1/5p1r/2R1pP2/3p3p/2pP4/P1P2qPB/7P/2R3K1 w - -,c1b1
3r1r2/p4pkp/2p3p1/4N3/2b2n2/P7/1P3PPP/R3R1K1 w - -,e5c4
1nr1kb1r/1bq2p2/p3p2p/2p1P2p/2Pp1BQ1/1P1B4/PN3PP1/R3R1K1 w k -,g4h5
r4rk1/3qp1bp/1p1p2p1/p1nP4/4B3/1P3P2/P1RQ1BPP/3R2K1 b - -,g7e5
8/6kp/q4p2/8/4pK2/2Q3PP/1P6/8 w - -,f4e4
2kr1b1r/pppqpppp/2n2nb1/8/3P2P1/2N1B2P/PPPQNPB1/R3K2R b KQ -,c6b4
1r6/2r5/R1n3pk/4p1Np/1bBp3P/1P4PK/P2R1P2/8 w - -,d2e2
1r6/p4kp1/2rb1p1p/4p3/2p1R1P1/2P5/PP2RP1P/2B1K3 w - -,e1d1
r4rk1/1ppqnppp/p4b2/3p4/3P1BP1/2PQ1N1P/P1P1RP2/4R1K1 b - g3,e7g6
1nB5/1P6/p2q1k1p/3p2p1/8/4Q1P1/P5KP/8 w - -,e3d4
rn3rk1/3pb1pp/1q2pp2/1BpbN3/P7/2B1P3/1P3PPP/R2Q1RK1 w - -,e5d3
3r4/5kBK/7P/8/3P4/8/8/8 b - -,d8d7
1r3rk1/p1qb1pp1/1n2p2p/2p5/4B2Q/1P2N3/P1P2PPP/2R1R1K1 b - -,f7f5
3qr1k1/pp3pbp/4b1p1/2rN1p2/2B2Q1P/2P2P2/PP4P1/1K1RR3 b - -,d8c8
r1bq1rk1/ppp2ppp/1nnp1b2/1B2p3/4P3/2PP1N1P/PP3PP1/R1BQRNK1 b - -,a7a6
1r2kb2/1p1bpp1p/p2p2r1/3NPp2/8/6P1/PPP2P1P/1K1R1B1R w - -,e5d6
8/pk3N2/8/4p3/P3K3/8/8/2b5 b - -,c1b2
r2q1rk1/5ppp/p3nb2/N1Pb4/1p1P4/4B3/1PB2PPP/R2QR1K1 b - -,a8a7
2rk4/p2b3B/Pp1n1p2/3P2p1/7p/5N1P/6P1/4R1K1 b - -,c8c4
r3rnk1/p1bb1p1p/1p3qp1/2pP4/2P1Pp2/P1NB1P2/3Q1BPP/4RR1K w - -,d3e2
8/3b4/1n1k4/2p1p1p1/2P1Pp1p/1K3P1P/1PN3P1/4BBb1 b - -,d7a4
r5k1/3bq1bp/2n1p1p1/3p4/1r1P4/2NBPN2/3Q2PP/3R1RK1 w - -,d1a1
6k1/3R1rb1/2n3pp/4P3/5P2/1Bp4P/6P1/6K1 b - -,c3c2
r2qk2r/1bpnnpb1/p2pp1pp/1p6/3PPB2/2PB1N2/PPN2PPP/R1Q2RK1 b kq -,e6e5
r1bq1r1k/1ppnb1pp/2n2p2/p3p3/P7/1BPP1NN1/1P3PPP/R1BQR1K1 w - -,d3d4
3B4/8/1pp3p1/p6k/P2bP2p/1P4p1/4KN2/8 w - -,e4e5
7k/R7/7P/p5P1/2r3K1/2P2P2/8/8 w - -,f3f4
r1bq1rk1/ppp1bppp/2np1n2/8/2P1P3/1NN1B3/PP2BPPP/R2QK2R b KQ -,c8e6
rn1qkb1r/p2p1ppp/bp2p3/3nP3/3P4/P2B1N2/1P3PPP/RNBQK2R b KQkq -,d8c8
r2k3r/1pp2p2/1n1p2pp/p2Pb2n/2P4P/4BP2/PP3P2/1NKR1B1R w - a6,b1c3
rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq c3,c8b7:g7g6:d7d6:b5c4:b5b4
4r2k/p1r2p1n/2p2P2/q3pQPp/1p5P/1P1B4/P1P5/1K3R1R b - -,h7f8
8/p4k2/1p6/5r1p/3n4/1PP3K1/7P/3R4 w - -,d1d4
6kr/7p/p4pp1/1p1rp3/8/4BQ2/PP3PPP/6K1 b - -,d5d6
5k2/1p2bpp1/2p1p3/2q4P/p3B3/8/PP4K1/3Q4 b - -,c5g5
2k4r/pp1r1p2/3B3p/Q1P3p1/3P2b1/P3q3/1PR1NnPP/4KB1R b - -,h8e8:f2d3
r1b1k2r/3nppbp/p1pp1np1/q7/2pPP3/1PN1BP1N/P2Q2PP/2R1KB1R w Kkq -,b3c4
r3k2r/pp3ppp/2nbpn2/q6b/3P2P1/P1N2N1P/1P2BP2/R1BQ1RK1 b kq g3,h5g6
1r3k2/1p4RR/8/2r5/5P2/6K1/6P1/8 w - -,g7b7
r5k1/pp4p1/1b2R2p/3P1rN1/8/2B1P3/PP2K3/R7 b - -,f5g5
r4rk1/1bq1ppbp/pp1n2p1/2pPp3/PPB1P3/2N1B2P/2P1QPP1/1R2R1K1 b - b3,c5b4
4n3/2k2p1p/2p3p1/ppN1K3/3P2P1/1PP3P1/P4P2/8 w - -,c5e4
2r1k2r/pp1bppbp/3p4/2q2p2/4PP2/2N5/PPPQ2PP/1K1R1B1R w k -,e4e5
1N6/6k1/R3R3/6p1/2P1p3/6rP/p3K3/8 w - -,e6e7
8/1pp5/3p3k/3Pb2p/1PPp3P/3B2P1/5P2/3K4 w - -,d1c2
r1bq1rk1/2p2ppp/p2b1n2/1p6/3P4/1BP2PP1/PP5P/RNBQR1K1 b - d3,c8b7
3r4/pp2kppp/2p3b1/8/3NP3/2P5/PPK3PP/4R3 w - -,b2b4
2R5/8/4p3/5p1k/2P5/3B2P1/3n1PK1/2r5 w - -,c4c5
r1bq1rk1/pp1pppbp/2n2np1/8/3pP3/N1P3P1/PP2NPBP/R1BQK2R w KQ -,c3d4
6k1/5p1p/1n4p1/B7/6P1/4P3/7P/6K1 b - -,b6c4
r2r2k1/1p2qppp/2pb4/2n1p3/p3P3/2P1BQ2/PPB2PPP/3R1RK1 w - -,d1d2
8/p5pk/1b2N2p/8/1p4R1/1P4P1/P2K3P/1b6 b - -,g7g5
6rk/8/p6P/1p6/3P1p2/2P5/3BK1Q1/8 b - -,g8g2
r1b2rk1/1p1nqpb1/p2p1npp/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQR1K1 w - -,c1f4
8/p1pR4/1p6/1P2k1p1/3n4/P4PK1/7P/8 w - -,d7d4
r1bq1rk1/p5b1/1p1N3p/2Ppn1p1/1P6/3B2B1/P2Q2PP/1R3RK1 w - -,d3c2
2r3k1/p4p2/2q2R1p/2p1r1p1/2Q1p3/1P4P1/P1P2P2/2BR2K1 b - -,c6f6
2q2rk1/4r2p/3n2p1/3Pb3/BB2p3/6P1/P3R2P/3Q1R1K w - -,h1g2
6k1/B6p/pQ2p1n1/1p3p2/2b2p1b/PP3P1P/2P3PK/3r4 w - -,b6b8
r1br2k1/p2nqpp1/1ppbpn1p/8/2PPp3/1PNB1N2/PBQ2PPP/3R1RK1 w - -,c3e4
r2qrbk1/3b1pp1/pp1p1nnp/2pP4/P6B/2N1P2P/1PQNBPP1/4RRK1 w - -,h4g3
1r6/6bk/p2p2q1/7p/2P5/4p2Q/PP6/3R3K w - -,d1d5
r3B1k1/4qpbp/4b1p1/3pp1Pn/N7/1PQ2P2/P1P4P/1K1R3R w - -,e8c6
5rk1/p2Rq1p1/b1p4p/2p1p3/1P4Q1/4P1B1/P4PPP/6K1 b - -,e7f6
8/7p/nk1N1pp1/4p3/8/5KP1/5P1P/8 w - -,d6e4
r2q1r2/pppb2bk/3p1npp/3Ppn2/2P5/2NB2N1/PPQB1PPP/R4RK1 b - -,f6g8
2r2k2/2q1bpp1/7r/pp2pP2/2npN2p/PN1B3P/KPP5/3R2Q1 w - -,g1f2
r7/1p3k2/4pp2/2Pp1b1r/p2P1bpP/P7/1P1R1BN1/2K3R1 b - -,f4d2
q1r3k1/1r3pb1/6pp/5b2/1B6/P3RN2/1P1Q1PP1/3R2K1 w - -,b2b3
rnbq1k1r/pp3pbp/3p1np1/1QpP4/5B2/2N2N2/PP2PPPP/R3KB1R w KQ -,b5d3
r2r2k1/pq1n1pp1/2pBp2p/2b5/Q7/2P2N2/PP3PPP/3R1RK1 w - -,b2b4
r4rk1/1pqnbppp/2p5/2Pnp3/2NP4/1P3BP1/1B3P1P/R2QR1K1 b - -,a8a1
r2qrbk1/1p1n1bp1/5p2/1Bp5/p2pP2B/5P2/PPPQ3P/1KNR3R b - -,e8e7
8/p2n4/6k1/1ppP4/4N1P1/8/PP6/6K1 w - b6,d5d6
2rr2k1/1b3ppp/pp1p1qn1/4p3/P2bP3/1NN2BP1/1PP1QP1P/R2R2K1 w - -,d1d3
6k1/4p1bp/3p2p1/8/1qb3P1/1N2QP2/2P2K2/3R4 b - -,e7e6
r5k1/1pR1pq2/1Q3pp1/p2p4/3N2b1/3P2P1/PP2PP2/4K3 w - -,f2f3
rnbqk2r/pp3pbp/3p1np1/2p1p3/4P3/1P4P1/PBPPNPBP/RN1QK2R w KQkq e6,e1g1
8/5pk1/R1P5/8/2r1pp2/7P/3K1P2/8 b - -,c4c5
1n3rk1/6p1/r5qp/p7/1p2Q2R/4B3/PPP5/2KR4 w - -,e4d5
2r1r3/3qb1p1/2n3k1/3B3p/p1Pp1Bb1/P7/6QP/R4RK1 w - h6,h2h3
2r2r1k/1p4bp/5np1/p5B1/Nq1pp1P1/1b3N1P/1P2BP2/Q1R2RK1 w - -,f3d4
8/8/3N4/8/p7/2nk4/5K2/8 w - -,d6b7
2r1k1r1/1p2pp2/p2pn3/7p/5Pb1/2BB2P1/PPP4P/2K1R1R1 w - -,g1g2
3r4/p2nkp1p/3b1np1/1B2P3/P7/4P3/1B2NP1P/2R3K1 b - -,d7e5
8/5r2/bp3k1R/p3p1p1/p3Pp2/2P2PP1/5K2/2N5 b - -,f6g7
5qk1/2p3pp/p1P1p3/2r5/5P2/P1r1P3/3Q1P1P/3RK1R1 b - -,c5c6
6r1/8/2p5/3p4/1P2pk2/7r/P1KRbP2/4R3 w - -,e1e2
3b2k1/p2b2pp/3p4/3qp3/1p2r1p1/1P2B1P1/P1Q1NP1P/R5K1 w - -,a1d1
r1bq1rk1/ppp2ppp/2n2n2/3p4/3P1N2/2PB4/PP3PPP/RN1Q1RK1 b - -,d8d6
3rq2k/ppQ5/5p1p/8/1P3N2/P6P/5PP1/6K1 b - -,e8d7
r2qr1k1/1pp2ppp/pnnb2b1/1B2p3/8/2PP1NNP/PP2QPP1/R1B1R1K1 w - -,b5c6
R7/7k/8/5K2/4PP2/7p/8/7r b - -,h3h2
2rq1rk1/5pbp/p1nP2p1/1p5b/4P3/1BN1Q3/PP1R1PPP/R5K1 w - -,f2f3
R7/4k3/2p5/p3pp2/2Nn2p1/6P1/r4PK1/8 b - -,e5e4
2r2rk1/2q2ppp/p2bb2n/1p1p4/2nB1P2/PNN2QP1/1PP4P/1K1R1B1R w - -,f1d3
r1bq1rk1/1p3pbp/3ppnp1/1R6/3BP3/2N3P1/P1PQ1PBP/5RK1 b - -,f6e8
8/8/3B4/3p1k2/3Pb3/R7/5K2/6r1 b - -,g1g2
r1bqk2r/pp1n1ppp/2pb1n2/4p3/2QP4/5NP1/PP2PPBP/RNB2RK1 b kq d3,e8g8
2r2k2/r1pRRpp1/1p1p2b1/3P4/p5Pp/7P/PP2BNK1/8 w - -,e2d3
r2r2k1/4qppp/npbNp3/p1n1P3/2P3R1/P3Q3/1B2BPPP/5RK1 b - -,a6c7
r1b1k2r/pppn1qpp/2nb4/3pP1B1/8/1NP2N2/PP2BPPP/R2QK2R b KQkq -,c6e5
2r2rk1/1pqn1pbp/p1b1p1p1/4P3/1P5P/P2B1N2/1B2QPP1/R3R1K1 w - -,f3g5
8/4nk1p/2p2p2/ppBp1P2/6PP/1PPP1K2/8/8 w - -,f3f4
r1q3k1/4rp2/p3b2p/1p1P2pP/2p5/N7/PbB1QPP1/3R1RK1 w - -,a3b1
r3r3/ppq2pk1/2p1b1pp/3nP3/8/3B1NNP/PP3PP1/2Q1R1K1 w - -,e1e4
r1bq1rk1/p2nbppp/2p2n2/1p1p4/3P3P/2NB2Q1/PPP1NPP1/R1B1K2R w KQ b6,h4h5
r1b1r1k1/pp2qp1p/2pb1np1/5p2/2BP4/P1N1PN2/1PQ2PPP/1R1R2K1 w - -,d4d5
2rqrb1k/p4p2/1p3p1N/3bp2Q/2n1N3/P2B4/5PPP/3RR1K1 w - -,h6g4
3r4/7p/p5k1/4P3/2p5/8/PP2R1KP/8 w - -,e5e6
r4rk1/pp2p2p/3pb1p1/2pPn3/2P1N3/1P2RP1P/P5P1/3R2K1 w - -,d5e6
8/4p2k/1nr1p1p1/6B1/p7/R5PP/4PP1K/8 b - -,c6c2
rn1qkbnr/ppp4p/4p1p1/4Q3/3pP3/2N5/PP3PPP/R1B1K1NR b KQkq -,d4c3
1r2r1k1/bpq2ppp/pn3n2/4pPP1/1P2B3/2P2Q2/P2N3P/R1B2R1K b - -,f6e4
5r2/p1kn4/2p1Q1p1/4P2p/2p4P/q1N5/2PK2P1/5R2 w - -,f1d1
8/8/p7/7p/p1kb4/4p2P/P3K3/4B3 b - -,d4b6
1k1r3r/6b1/2Q2p2/1NBp3p/7P/3q4/5PP1/6K1 b - -,d3b1
r1bq1r1k/pp4pp/2n5/3pp3/1p1P4/1Q1B1N2/PP1R1PPP/4K2R w K -,d4e5
3Q4/p1p3kp/1p2p1p1/8/1Pq2r2/1N1nr3/P5PP/3R1R1K w - -,b3d2
6R1/P7/8/4p3/5npp/r3Bk2/5P2/6K1 b - -,f4e2
r2q1bk1/2p2ppp/1pPpr3/p2P4/5B2/8/PPQ2PPP/R3R1K1 b - -,e6e1
r2q1rk1/1p3b2/pN4pp/2PpBp2/1P2nP2/8/P5PP/2RQR1K1 b - -,d8h4
r1bq1rk1/ppp1n1bp/3p2p1/3PppN1/1PP1Pn2/2N2B2/P4PPP/R1BQR1K1 b - -,h7h6
r4rk1/pb1nq1pp/3b4/1Pp1p3/4p3/1P6/PBQ1BPPP/R3K1NR b KQ -,g8h8
4r1k1/1p6/3q2bp/1p1Prpp1/p2Rn2P/P3BQP1/1P3PB1/3R2K1 b - -,e4f6
8/p5p1/Pr1nBk2/3P4/2pK4/8/1P6/5R2 b - -,f6e7
3r4/2Qnb1pk/5p1p/4pq2/1p6/2P2NBP/5PP1/3R2K1 w - -,c3b4
r2q2k1/pp1b1r2/2p1pb2/2Pp1p1p/PP1P1PpP/3QP1P1/3BB1K1/1R3R2 b - -,a7a6
2r3k1/1n2qbpp/B4p2/p1r1p3/1p2P3/1P1QP1PP/8/R1B1R1K1 w - -,c1d2
2kr2r1/pppqnpQp/2n5/b2p4/3P1Nb1/P1NBB3/1PP2PPP/R3K2R w KQ -,g7f6
4r3/rbqn1pbk/2pp1npp/1p2p3/3PP3/2PQBNNP/1PB2PP1/R5K1 w - -,a1a7
r1bqk2r/2pnbpp1/pp1ppn1p/8/P2P1B2/2P1PN1P/1P1NBPP1/R2QK2R b KQkq -,c8b7
8/4p3/p1np1kp1/2p5/P1P1P1PP/8/3N2K1/8 w - -,d2f3
rq3rk1/1bp1bppp/1p2pn2/1P2n3/2pP4/6P1/2QNPPBP/1RB2RK1 w - -,d4e5
r4k1r/1b2pPb1/pq6/2p1n1p1/1p2P1n1/6NP/PPPNQ1B1/R1B2R1K b - -,g4f6
8/5p1p/p3pNpQ/4P3/2P2P2/6kP/q5r1/3R3K w - -,h6g5
8/8/5R1P/3k4/1Pn1pP1r/P3P3/4K3/8 w - -,e2f2
r5k1/4p2p/4b1p1/2n2p2/3N4/2P5/1B4PP/R5K1 b - -,a8a1
r2qr1k1/1b1n1pp1/p1p1pb1p/1p6/P2PN3/3BPN2/1PQ2PPP/2R2RK1 b - -,f6e7
5r2/8/2k5/2P1R2p/6bP/6P1/5N2/6K1 b - -,g4f5
5rk1/pprb2bp/4p1p1/3p4/1n1P1PPP/1PN5/P4BB1/2RR2K1 b - -,f8c8
r1br2k1/p1q1ppbp/1p4pB/n1p5/3PP3/2PB4/P2QNPPP/2R2RK1 b - -,e7e5
1r1rbbk1/1pqnn2p/p3pN2/4Pp2/2P5/1PN1B2R/P3Q1BP/2R4K b - -,d7f6
rn1qk2r/pp3ppp/2p1pnb1/8/1b1P2P1/1BN1Q2P/PPPBNP2/R3K2R b KQkq -,e8g8
r3rnk1/1q4pp/pppbb3/3p1p2/1P1P4/P1BBPPP1/2Q4P/4RRNK b - -,b7f7
r2r4/1p1n1p1k/2p4p/p1q1pP1b/7B/1PP4P/P2Q2B1/R3R2K w - -,h4d8
r3r1k1/p1pq1ppp/1p4n1/3P1b2/1nP1N3/P7/1B3PPP/RB1QR1K1 b - -,b4a6
r1b4r/1ppq1k2/p2p1pnB/3NnN2/4P3/6Q1/PP4PP/R4RK1 b - -,h8e8
6k1/3R3p/p5p1/1pbN1n2/8/1P6/P3KrPP/3R4 w - -,e2d3
3r4/p1R5/1p4p1/1P2kp2/P7/2P3P1/4K1B1/8 w - -,c7a7
4k3/5p2/2p2P2/8/1bN3p1/6P1/5P2/6K1 b - -,b4c3
rnbqk2r/p1p2ppp/4p3/1p1nP3/1bpP4/2N2N2/PPQB1PPP/R3KB1R b KQkq -,b4c3
4rr1k/7p/Rp1pnb1q/1PpBpp2/2P2P2/3P2P1/3B3P/3Q1R1K b - -,e5f4
r4r2/1bp3kp/pp1bqnp1/3p4/3PpP2/2N1P3/PP2B1PP/2BQRRK1 b - -,b7c8
1rbq1rk1/p2n1pbp/2np2p1/1p2P3/2p1PPP1/4BN1P/PPP3B1/RN2QRK1 b - -,d6e5
8/pr5p/3kp1pb/3p3r/3P1P1P/7R/PP2N3/1K3R2 b - -,g6g5
2rqrbk1/pb3pp1/1pn2n1p/2p1p3/2PpP3/PP1P1N2/1B1NBPPP/1QR2RK1 b - -,g7g6
2k5/2qr1p2/pnp2npr/1P2p2p/4P2P/2NB1P2/1PP2QP1/1K1R3R b - -,a6b5
r2q1rk1/1p1nppbp/2p2np1/p2P4/8/1P1P2P1/PB2PPBP/RN1Q1RK1 b - -,f6d5
8/5kpp/3Qpb2/pq3b2/P7/1BP5/1K6/3R4 b - a3,b5e2
r2q1bk1/6p1/p2p3p/1ppb1P2/Pn4P1/R7/1P1N1PP1/1BBQr1K1 w - -,d1e1
r1bqk2r/ppp3b1/2np1Bpp/4pp2/1PP5/2NP2P1/P3PPBP/1R1QK1NR b Kkq -,d8f6
2rr4/4bpk1/1p4p1/pN1p3p/2pP2n1/P3PBP1/1P3PP1/K1R4R w - -,c1c2
1k6/5R1P/4Np2/p3p3/1p4K1/8/7r/8 w - -,e6c5
2rr4/4bpk1/1np1p2p/pp2P1pP/3P2P1/P1PBB3/1PK5/3RR3 w - -,e3c1
2kr4/ppb5/2p5/8/2P3R1/P2B4/KP3q1r/1RBQ4 b - -,c7e5
8/4p3/4k3/1R4P1/6Kp/P2R3P/2r5/2b5 b - -,c2c4
