1Q6/7p/4k3/4q1p1/4p3/3rp1R1/6PK/8 w - -,b8e8
6r1/5q1k/Q1R2b2/5p2/4pP2/1P4P1/P5K1/4B3 b - -,f7h5
6k1/6np/5q2/3p2p1/3P4/R3P2P/4N1K1/8 b - -,g7f5
r2q1bk1/2p4p/6p1/1NpPp3/4P1b1/4B3/3Q2PP/2R3K1 w - -,e3c5
8/5ppk/7p/1pN2b2/1P6/1PP1Q1KP/4R1P1/1q3r2 b - -,f1h1
r1b2rk1/2q2p1p/1p2pnp1/3p4/1P1Q4/2P1R3/P1B2PPP/R4NK1 b - -,f6h5
rn1qkb1r/pp2pppp/2p2n2/3pNb2/2PP4/6P1/PP2PP1P/RNBQKB1R w KQkq -,c4d5
1r4k1/3qr1p1/p1p2p1p/1n1p1B2/1P5N/1Q4PP/5P2/B2R2K1 b - -,d7e8
rnb2rk1/4ppbp/pq1p1np1/2pP4/4P3/2N2N2/PP2BPPP/R1BQK2R w KQ -,e1g1:f3d2
6k1/1p2q2p/1n1N1pp1/2p1r3/3Q4/1b2P1P1/5PBP/1R4K1 w - -,d4d3
rn3rk1/4qp2/pp2p3/2b1N1p1/2B1b1Q1/4P2P/PP3PPK/2RR4 w - -,g4e4
3qk2r/1bpn1ppp/1p1ppn2/8/1PPP4/4PN2/1B1QBPPP/r3K2R w Kkq -,b2a1
1b1r4/1p3ppk/1p1q1n2/1Q1ppN2/P6p/3P2PP/1PR1PPB1/6K1 b - -,d6d7
2b2rk1/2q2pbp/p3p1p1/8/2P1B3/6P1/P2NQP1P/1R4K1 b - -,f8d8
8/8/3b2pB/7p/1p2k3/1P5P/P1K3P1/8 b - -,d6c5
8/3k4/3p1p2/PKp3p1/4P1P1/2r5/8/1R6 w - -,b5b6
1r2n3/2pr1p1k/1pR1p1pP/pP2P1P1/P1RB1K2/4P3/8/8 w - -,f4e4
r7/1nn2k1p/2Np2p1/p1pP1pPP/2P2P2/1P6/2BK4/R7 w - -,a1h1
r1b2rk1/p1p1nppp/1p6/2bp4/3N1P2/N1PB1R2/PP4Pn/R2Q1KBq w - -,f1f2
6k1/1p3pb1/p7/5PBP/PPr5/3p1R2/8/7K b - -,c4d4
3r1bk1/3b4/1p1r1p1p/p2p2p1/3N4/2P1P3/1PNR1PP1/3R2K1 w - -,c2a3
rq2r1k1/pb3ppp/2pb1n2/1p2n1B1/4P3/2N2NP1/PPQ1BP1P/R2R2K1 b - -,e5f3
8/1pk2p1p/p1b1pnp1/8/8/1N1B1P2/PPP2KPP/8 b - -,f6d5
r2q1rk1/pppb2bp/3p1np1/3Pp1Nn/2P5/2N1B1PP/PP3P2/R2QKB1R w KQ -,d1d2
1r3bk1/p1q4p/6P1/1Ppp4/6Q1/4P3/3B1PP1/2R3K1 b - -,h7g6
8/pp3rkp/6p1/3p4/2p5/2P5/PPB5/1K1R4 b - -,h7h5
2rqkb1r/1p1n1ppp/p3p3/4N3/Q4N2/1P2P3/P1bP1PPP/R1B1K2R w KQk -,c1b2
r4rk1/pb1qnpbp/1pnpp1p1/2p5/3PPP2/2P1BNP1/PP2N1BP/R2Q1RK1 b - -,c5d4
2r1k2r/ppq1ppbp/2np1np1/6B1/4P3/2N2N2/PPP1QPPP/R2R2K1 b k -,f6d7
4kr2/4pp2/p2p1n2/6p1/P2P4/3r4/3nNPPP/3RK2R b - -,f6e4
8/4n3/1p4p1/6P1/P1pk1P1P/8/5K2/1B6 w - -,h4h5
8/P7/4pk2/8/r7/4B1P1/5PK1/8 b - -,f6f5
6k1/5pp1/pQ2pn2/4Bb1p/Np6/1P4PP/P1q1rPBK/R2r4 w - h6,a1d1
8/5pk1/6p1/5nNp/7P/6P1/4R2K/5r2 w - -,h2g2
r1b2r2/p4pk1/2pR3p/8/P2p3p/4P3/1P4PP/3R2K1 w - -,d1d4
6k1/Qp2qpp1/2p5/3n4/8/P3PP1p/1P3P1P/3N2K1 w - -,a7d4
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/P1B1P3/2PPBN2/1P3PPP/RN1QK2R b KQkq -,d8e7
r1b2rk1/pp2pp1p/6p1/2P1n3/8/2P5/P3BPPP/1RBR2K1 b - -,e5c6
r2q1rk1/pb2ppbp/1pnp1np1/2p5/2P1P3/2NPBNPP/PP3PB1/R2Q1RK1 b - -,f6d7
r1r3k1/5ppp/p2pbn2/1p2p3/2P1P3/2RBNP2/PP4PP/3R2K1 b - -,g8f8
6r1/2R1bk2/p2p4/P4n2/5Np1/6P1/1P2RB1n/4K3 b - -,h2f3
7r/p1p1kppr/1p6/3pP1P1/P2P4/2P3R1/2P5/5RK1 w - -,f1f7
2k4r/1pp2pp1/p1p2np1/8/4P1P1/2NP1q2/PPP3Q1/R5K1 b - -,f3e3
4nrk1/2pr1ppp/1pR1p3/p3P3/3P4/P4N2/1P2KPPP/2R5 b - -,d7e7
rnq1k2r/ppp2ppp/3bpn2/4N2b/2BP4/1QN1P3/PP3PPP/R1B1K2R w KQkq -,e1g1
2r4k/p4p1p/bp4q1/n1rPpR2/2P1P3/P1RB4/3Q2PP/6K1 w - -,d2f2
r2qk2r/ppp2pp1/2n2np1/b2p4/3P2P1/P1NQ3P/1PP1NP2/R1B1K2R w KQkq -,c1g5
5rk1/p2p1pp1/1b1P3p/3BPQ2/P7/6P1/4qPKP/1R6 b - -,e2d2
2r2rk1/p4p1p/1p2pp2/2b5/2N5/1P2P3/P4PPP/3R1RK1 w - -,d1d7
2b5/5pk1/3n1q1p/1pbBN1p1/2p2P2/P5PP/1P1QR1K1/8 w - -,f4g5
3r1rk1/1p4pp/pN1bb3/3p1p2/4n3/1P2PBP1/PB3P1P/2RR2K1 b - -,d6c5
r6k/pppqp1bp/2n2rp1/3n4/3PB1b1/1QP2N2/PP2N1PP/R1B2RK1 b - -,g4f3
8/1R6/1P3pk1/7p/8/5PKP/1r4P1/8 w - -,b7b8
8/r4p2/3R4/k1pQ4/1p6/1Pq2P1P/6PK/8 w - -,d6c6
4r1k1/1p3p2/2q3p1/3R3p/2P3pP/1P4P1/3Q1P2/6K1 b - -,c6f6
r3r1k1/p1q1bppp/2bp1n2/2p1pP2/2PnP3/1PN3P1/PB1N2BP/R2QR1K1 b - -,h7h5
r2r3k/pp3Qp1/2p5/2q1P3/6P1/5KBP/PP6/3R3R b - -,d8f8
2rr2k1/2q1bppp/p3pn2/1pP1N3/3P4/8/PB2QPPP/1BR3K1 b - -,f6d5
2rr1bk1/pbq2p1p/1p2pnp1/3nN3/3P4/P1N4Q/1PBB1PPP/2R1R1K1 b - -,d5c3
5rk1/4pr1p/2Np2p1/q6n/2p5/1P2QP2/6PP/4RRK1 b - -,a5c5
1q2r1k1/prp2pbp/2pp2p1/4n3/3BP3/1PN4P/P1P1QPP1/1R2R1K1 b - -,b7b4
4k2r/1b3p2/p2Rp2p/1p6/4p3/P1r3P1/2PR2PK/5B2 b k -,e8g8
r4rk1/pp2qpp1/2p1p2p/4P1bP/3PN1P1/3Q4/PPP5/1K1R3R w - -,h1f1
r2q1rk1/pp1nbpp1/2p1pn1p/3pNb2/2PP4/1P4P1/PB1NPPBP/R2Q1RK1 b - -,d8b6:a8c8:f5h7:d7e5:a7a5
8/5p2/3R1kp1/4p2p/7P/4nPK1/6P1/8 b - -,f6g7
r4rk1/1pp1qpbp/2n1b1p1/p2np3/4N3/P2PP1PP/1PQ1NPBK/1RB2R2 b - -,a8d8
r5k1/1p2qpp1/2p2nn1/2p5/p1P5/1P1Q2P1/P2BrPBP/3RR1K1 b - -,e2e1
r2qkb1r/4pp1p/p1np1np1/1pp5/4P3/2P2Q1P/PPBP1PP1/RNB1R1K1 w kq -,d2d3
5rk1/rpq1b1pp/nNp1bp2/p3pn2/2P5/PP2PNPB/1B2QP1P/2RR2K1 w - -,b6d5
8/1R6/8/pk1K4/7r/8/8/8 b - -,b5a4
8/1b3q1k/pp1Bpbpp/4p3/2P1Pr1P/1P4Q1/P2R1NK1/3B4 w - -,d1f3
r1b1k2r/pp3pbp/1qn1p1p1/1B1n2B1/N2P4/1Q3N2/PP3PPP/R3K2R b KQkq -,b6a5
8/5k2/R5p1/6P1/5PK1/8/8/5r2 w - -,a6f6
6k1/4Q1n1/5K2/3p3p/4b3/8/8/8 b - -,g7f5
r4r2/1ppnqp1k/3p1b1p/p3pPp1/2P1Pn2/PP1P1N1P/1BQ1BP2/2K3RR w - -,e2f1
2k5/8/p1KP2p1/p4p1p/5P1P/1P3P2/8/8 w - -,d6d7
3r2k1/pp3pbp/2p3p1/4n1Q1/4N3/6PP/PPP1q1B1/R6K b - -,d8d4
8/4rpk1/2R1bp1p/pp6/5P2/P3b2P/1P2PpB1/3R1K2 b - -,e6c4
3r1rk1/1bp1qppp/pp6/8/Q2Pp3/2R1P3/PP2BPPP/5RK1 b - -,d8d5
r1b2qk1/1p1n2b1/p3p1pp/2p1P1N1/2Pn4/2NB4/PP4PP/R1BQ3K w - -,g5h3
Rn6/1r2qnk1/1p1p2pp/1PpPp1p1/2P1P1P1/5P1P/4NNK1/Q7 b - -,g7h7
k6r/pp4Q1/2p5/3p1N2/q7/P1PP1R2/1P1K4/6Br b - -,a4b3
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,c5b6:e8g8:f6e4:d7d6
8/8/3Bbpk1/6pp/3R4/1p3P2/1P2K1nP/8 w - -,d6g3
8/7p/1R2k1p1/p2p4/3Bp1PP/2P1K3/r7/8 b - -,e6f7
8/6pk/2R4p/1P1BnP2/3pp1q1/8/P2BPP2/5K2 w - -,f5f6
5rk1/4bppp/8/1p1nP3/2bpBP2/8/1P1B1NPP/4R1K1 w - -,f2d3
5rk1/p5pp/1p3p2/2prp3/4R3/2P4P/PP2RPP1/6K1 b - -,g8f7
6r1/6pR/1pp1k3/p7/P2K4/8/1PP5/8 w - -,c2c4
r1bqk1nr/p4pbp/1pp3p1/2p1p3/P3P3/3P1N1P/1PP2PP1/RNBQ1RK1 b kq a3,a7a5
r2qkbnr/1p1bpppp/p1np4/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,b5a4
rnbq1rk1/1pp1ppbp/3p1np1/p7/3P4/5NP1/PPP1PPBP/RNBQR1K1 w - a6,a2a4
4r1k1/1p3pp1/2p2b1p/4N3/1P1r4/1b4P1/5P1P/R3RBK1 w - -,e5d7
r4rk1/pp4pp/1n4b1/2pq1P2/1b1P1P2/1n1B2N1/1P4NP/R1BQ1R1K b - -,g6f7
2q1k2r/1ppbn1bp/r3ppp1/8/3PN3/B1P3PP/P1Q2PB1/R4RK1 w k -,a3e7
1r2n1k1/5pp1/3p3p/pP2p3/P3P3/5P2/2rRB1PP/3R3K b - -,c2c3
6k1/1pp2qpp/2nrbb2/3npp2/Q1P2P2/P3P1P1/1B2N1BP/2R2RK1 b - -,d5e3
1r1q1rk1/5ppp/n2ppb2/p2P4/2b1P1P1/P3BNNP/2PQ1P2/1R1R2K1 b - -,b8b1
r1bqkb1r/1p1n1ppp/p2ppn2/2p5/4P3/2P2N2/PP1P1PPP/RNBQRBK1 b kq -,f8e7
6k1/pB3p1p/P3p1p1/8/3b1P2/6PP/4R2K/r7 b - -,g8f8
rn3rk1/p4pp1/1qpb1nbp/1p2p3/3PPP2/PP4PP/1BNN2B1/2RQR1K1 w - -,g1h1
5k2/p7/3R4/2pP3p/2P1pP1P/4P3/P1r5/4K3 b - -,c2c4
r3r3/1p3p1k/p1n3bB/2PR4/8/5B2/P1qQ2PP/3R2K1 w - -,d2f4
RQ6/5p2/p1r2qpk/Pp2p2p/1P1pP2P/3P2P1/5PK1/8 w - -,b8f8
r4rk1/pb1qn3/1ppp2pb/3Pp2p/2P1P1nP/6B1/PPQNB1P1/1K1N1R1R b - -,c6d5
1k3br1/4pN1p/8/1P1b4/p1Rn4/6P1/PP1N3K/4R3 w - -,c4d4
2rnr1k1/p4p1p/2q2np1/1p1p4/1BpP4/P1Q1PP2/1P4PP/R3RNK1 w - -,c3c2
3k4/6p1/4bp1p/pB6/P1p1P3/8/1P3KPP/8 b - -,d8c7
8/8/6K1/P2n4/5kp1/8/1PPN4/8 w - -,d2f1
8/2p5/1p1pk1p1/1P5p/2P1PP1B/2b4P/4K3/8 b - -,c3b4
r1bk3r/pp1n3p/3pp1p1/1BpP4/4KP2/2P2N2/P4q1P/R1BQ1R2 b - -,e6d5
rn1qk2r/1b2bp1p/p2p2p1/1pn1p1P1/1P2P2P/2N3NB/P1P2P2/R1BQK2R b KQkq b3,c5e6
3r1rk1/1pQn1p1p/1q4p1/5N2/1p2P3/7P/PPP5/1K1R2R1 w - -,c7f4
3r2k1/1p2bpp1/p3p2p/7P/3B4/2P5/PP3PPR/1K6 b - -,d8d5
8/8/8/1pk5/8/2p3p1/4Kb2/3B4 b - -,c5c4
r4rk1/pp1n1ppp/2p5/3p3b/1b1P1B2/1PN3P1/1P2PPBP/R4RK1 w - -,e2e4
r1b1k2r/pp2bppp/3qpn2/8/2BN4/1P6/P1P2PPP/R1BQ1RK1 b kq -,e8g8
r5k1/1p3pp1/5n1p/2r5/8/P3P3/4BPPP/1N3RK1 b - -,a8c8
2rb1r1k/R1p2B2/1p1pPn1q/1P1Pp2p/2P2pp1/R4P1P/2Q2BP1/7K w - -,c2f5
r1br2k1/pp2nppp/2n5/2Pq4/3p4/P4N2/1P1NPPPP/R2QKB1R w KQ -,a1c1
r1rq2k1/4bb2/3ppp2/1p4p1/1P2PP2/P1R3B1/B2Q2P1/2R3K1 b - -,c8c3
2b4k/3Nrrb1/2P1p3/pB1pP1p1/3P4/5pPP/1PR2P2/R5K1 b - -,h8h7
5r1k/p4p1p/1n6/2pr4/3pBP2/1P4RP/P5P1/2R3K1 b - -,d5h5
4rrk1/pp4pp/1qp1bpn1/3Pp3/3P4/1BP1PN1P/PP2Q1P1/R3R1K1 b - -,e6d5
8/8/4P3/8/2nk2Pp/5p1P/3B4/3K4 b - -,f3f2
r1bq1rk1/pp1nppb1/3p2pp/8/3PP2B/2NQ1N1P/PP3PP1/R3R1K1 b - -,a7a6
r2qkb1r/pp3ppp/2n1pn2/3p3b/3P4/2PB1N1P/PP3PP1/RNBQ1RK1 w kq -,f1e1:c1f4
rn1qkb1r/pp1n1pp1/2ppp1b1/6Pp/3PP2P/2N1BN2/PPP1QP2/R3KB1R b KQkq -,d6d5
r1b2rk1/p3npbp/1qnpp1p1/1pp2P2/4P1P1/2PP3N/PP1N2BP/R1BQ1RK1 b - -,e6f5
4r1k1/5ppp/2pNb3/4Q3/r3P3/8/2q2PPP/3R1RK1 b - -,e8f8
r2qk2r/pb1nbp1p/1p2p1p1/4p1N1/3P4/2PB3Q/P2B1PPP/R3R1K1 w kq -,g5e6
2k2b2/1pp3pp/p3b3/2p1pN1P/4P1P1/1P3P2/PNP2K2/8 b - -,g7g6
3r2k1/2q3b1/2p3pp/1pPr1p2/3p3P/2Q2NP1/1P2RP2/2R3K1 w - -,c3d3
1r3rk1/1q3pp1/2pR4/2n4p/p1B1PQ2/K3N3/1Pp3PP/7R w - -,f4e5
3k4/2R5/2PP4/3p4/7r/8/2K5/8 b - -,h4g4
r1bqr1k1/1pp2pp1/3p3p/pnbPp3/8/2BPP1PP/PP1N1PB1/R2Q1RK1 b - -,c8f5
3r2k1/5p2/4pPp1/pr2N2p/4pP1P/1P6/1PP3P1/1K2R3 w - -,e1e4
8/pp6/1k6/3q4/5Q2/8/PP1p3P/5K2 w - -,f4b4
4rk2/3b4/1pr2pp1/p2p3p/3B1P2/2P2K1P/PP2R1P1/4R3 w - -,e2e8
8/1R3pk1/3N2p1/p6p/P5nP/r5P1/5PK1/8 b - -,g4h6
3bk3/7p/1P3p2/1RB5/7P/5K2/2r5/8 w - -,c5d6
8/2r1pk2/3p1pp1/3P3p/1RnBP2P/2P2KP1/5P2/8 b - -,e7e5
2rrq1k1/p4ppp/1b2pn2/1N6/Np6/1P2P3/P3QPPP/2RR2K1 b - -,d8d5
3r1rk1/2q2pp1/4n2p/p1b1PN2/3BQ3/2pR4/1P4PP/5R1K w - -,b2c3
r3r1k1/qb2ppbp/pp2nnp1/3pN3/1P1P4/1QN1P2P/P3BPPB/1R3RK1 b - -,a8c8
3R4/2p5/2N4k/8/3br2p/P7/2P5/1K6 b - -,d4f6
r3r2k/ppp2pp1/2np2b1/4p3/1PB1P1Pp/2PP2N1/P4PK1/R6R b - -,h8g8
r2r2k1/p1qn1ppp/4p3/2b5/PpN5/4B1P1/1P2PPKP/2RQ1R2 w - -,d1b3
2rq1rk1/pb1n1pp1/1p2p2p/4P3/3P4/3BQ3/P2N1PPP/2R2RK1 b - -,d8g5
r1bqk2r/pppnbppp/4pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,e2e3
3r1r1k/1bp3pp/pn6/1p1P2q1/1P2N3/PB2b3/1BR3PP/3QR2K b - -,g5f4
r1bk1r2/1p1n2pp/p1nNpp2/3pP3/3P1P1P/3B1N2/PP1K2P1/R6R b - -,f6e5
r1bq1rk1/pp2ppbp/2n2np1/3P4/3N4/2N1B3/PPPQBPPP/R4RK1 b - -,f6d5:c6b4
1r2r2k/6pb/3b1n1p/pP6/P1BPpP1q/2P5/3BQP1P/R3R1K1 b - -,b8c8
r5k1/pb1r1pp1/1pp1pq1p/8/2PP4/4Q1P1/PP1R1PBP/3R2K1 b - -,a8d8
6Q1/8/2q1p3/p1P1pk2/4rp2/PP6/6P1/2R4K w - -,g8h7
1r1r4/1p1bQpkp/p2p2p1/4q3/2PN3P/1PnR2P1/4PPB1/R5K1 w - -,e7e5
1r1q1rk1/p2n1ppp/4p3/2bn4/2N5/4PN2/P1QB1PPP/R4RK1 w - -,f1d1
1rbq1rk1/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1PP/1PP1NPB1/R2Q1RK1 b - -,b7b5
2r2rk1/ppqb1pbp/3p1np1/3B4/PP2PP2/R1NQB3/2P3PP/5R1K b - -,f8e8
2r3k1/p4p2/3q1bp1/1PNr3p/PP1pQ2P/6P1/5P2/1R1R2K1 w - -,d1d3
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1NQPPP/R3K2R b KQ -,c8b7:a7a5
3rR1nk/4bp1p/6pB/2p3P1/P1B4P/8/8/6K1 w - -,e8d8
6k1/6p1/3p1p2/3P4/p3PpK1/8/r1rN2R1/3R4 w - -,g4f4
r1b2rk1/ppp2ppp/5n2/4Q3/3P3q/2NB4/PP3PPP/R3R1K1 b - -,c7c6
8/7p/p7/3P1k2/2PB1b2/7P/P3K3/8 b - -,f5e4
r7/ppR3N1/8/3pPk2/3P1p2/3P4/PP6/4K3 b - -,f5g4
8/4K3/3P4/2kn4/6N1/8/8/8 w - -,e7d7
1n2B3/5Qpk/4n2p/5p2/1q6/p5PP/P5NK/8 w - -,f7e6
rn3rk1/p4ppp/4p3/3q4/P2N4/4P3/3Q1PPP/R1R3K1 b - -,b8d7
r1bq1rk1/pp1pbppp/2n2n2/2p1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 w - -,f1e1
r3r2k/1ppbqppB/7p/p1n1n3/2P2P1P/P3R1P1/1PQ2K1N/4R3 w - -,e3e5
r1bqrnk1/pp2bppp/4pn2/4N3/3P4/2N5/PPB2PPP/R1BQR1K1 b - -,a7a6
2rq1rk1/1p2ppbp/p2p2p1/P1n5/NnB1P3/1P2B3/1P3PPP/R2QR1K1 b - -,c5a4
6k1/p4pp1/bp2p2p/4N3/4BPPb/8/PPPK3P/8 b - -,h4f6
rnbqkb1r/pp3ppp/2p1pn2/8/2pP4/5NP1/PPQ1PP1P/RNB1KB1R w KQkq -,c2c4
r1b2rk1/1pq1npbp/p1n1p1p1/2p5/4P3/N1P2NP1/PP2QPBP/R1BR2K1 b - -,e6e5
r2qkb1r/1b1n1p2/p5pp/3np3/1p4PP/1N2BPN1/PPPQ4/2KR1B1R b kq -,d5e3
r1bbrnk1/3q1p1p/pp1B2p1/2P1Pp2/PP6/3B1N2/6PP/R3QRK1 b - -,f8e6
r2q4/pp2b1k1/2n3r1/3Bp3/6Q1/6P1/PP2PP1P/2R2RK1 w - -,g4e4
8/p1r5/1p4kp/5R2/3P2p1/1P4P1/r6P/5RK1 w - -,f5f4
r4rk1/pp1np1b1/3pp1p1/8/2q1P1P1/2N1BP2/PPPQ4/2KR3R w - -,f3f4
2kr3r/p1pqn2p/1pn3p1/3p1pB1/3P4/P1PP1QN1/5PPP/1R3RK1 b - -,h7h6
6k1/1p1n2bp/1q2p1p1/p2pP3/P1pP2Q1/R1P4P/1P2N1PK/2B2r2 w - -,h3h4
2r3k1/pp3pb1/6p1/7p/3Np1nP/1PnNP1P1/PB3PK1/2R5 b - -,e4d3
2R5/5pk1/2p1p3/4P1p1/8/4P1P1/2r2PK1/8 w - -,g2f3
5k2/1p2bpp1/7p/1N2r3/p1P4P/P5P1/4KP2/2R5 w - -,e2f1
4k3/1p2bq2/5pQp/p1p1p1p1/P1P1P3/1P1R1P2/4K1PP/8 w - -,g6f7
r1bqk2r/ppp2pp1/2n2B1p/3p4/Qb1P4/2N2N2/PP2PPPP/R3KB1R b KQkq -,d8f6
8/5pk1/6p1/PR5p/7P/r5P1/6K1/8 w - -,b5c5
r1b2rk1/pp4p1/2p1p2p/4Rpnq/2PP4/PP1Q4/1BB2PPP/5RK1 b - -,c8d7
6k1/1p1r1pp1/p7/2p1P3/8/1PP4P/P1q2R2/5QK1 b - -,c2c3
2k5/2p4R/1p1p4/1P1Pb3/4pp2/n6P/4KP2/8 w - -,h3h4
3R4/7p/1r4k1/1P2pp2/3Npb2/1R6/3r1P1P/6K1 w - -,d4c6
rnb1k2r/ppp2ppp/8/3pP3/1bP1nB1q/4P3/PP2KPPP/RN1Q1BNR w kq -,g2g3
r2qk1nr/ppp2ppp/2B5/3p4/1b1P4/2N2P2/PP3PPP/R1BQK2R b KQkq -,b7c6
2kr4/pp3p2/4p2p/1b5r/3PN3/P1q2PP1/2P4P/3RK2R w K -,e4c3
r1b1kb1r/pp3ppp/1qn1p3/1B1p4/3N1P2/2P5/PP3PPP/RN1QK2R w KQkq -,e1g1
r3k2r/pp1b1pp1/1qn1p2p/2pp4/3P4/2PBPNP1/PP1Q1PP1/R3K2R w KQkq -,e1g1
r3kbnr/ppqn1bpp/2p5/1P3p2/Q1PPp3/4P2P/PB1NB1P1/RN3RK1 w kq -,b5c6
5r1k/p5pp/1p6/3B4/1P2n3/6P1/P4P1P/4R1K1 b - -,e4f2
2nr1rk1/ppqb2pp/5p2/4p3/2PN4/1P2Q3/P2RBPPP/3R2K1 w - -,d4c2
2R5/5p2/4p1p1/ppk4p/2B1p3/1P2P1P1/5PK1/1r6 b - -,c5d6
2rb3k/1pr2p1p/p2p1qp1/P2Pp3/2N1P3/2RQ4/1P3PPP/5RK1 w - -,f1c1
5rk1/6p1/3p3p/2pPpbnq/1pP3P1/1P2P2P/Q2NK3/4NR2 b - g3,f5g4
5nk1/3r2pp/q2p4/1b1Pp1P1/4N3/Q5P1/5PB1/1R4K1 w - -,a3a6
8/r7/3p1kp1/P1p4p/2P5/7P/5P2/1R3K2 w - -,b1a1
8/pbr4p/1n3kp1/8/8/1P3P2/P3RKPP/3R4 b - -,b6d5
4r1k1/1R1brq1p/2p3p1/3p4/3Q2P1/7P/PP3PB1/5RK1 b - -,f7g7
5r1k/6p1/p3R2p/1p3P2/4Q3/1P4PK/q6P/8 w - -,f5f6
6k1/5pp1/5q1p/3Qp3/8/6P1/4PPKP/8 w - -,h2h4
3R1b2/5pk1/4p1p1/7p/2B2n2/8/3K3P/8 w - -,d2e3
6k1/1r1b1pb1/2p5/3pp2p/3P3B/1PR1P3/r4PP1/1B1R2K1 b - -,a2b2
r5k1/1b1N2pp/q3pp2/1p1p4/p1nPnP2/P4N1P/2R1PPB1/2Q3K1 b - -,a6d6
r4rk1/1bq1bppp/pp2pn2/4p3/4P3/2P2N2/PPBNQPPP/R3R1K1 b - -,b6b5
5r2/2pk3p/1p1pn1p1/p2B1n2/5P2/1P3KP1/1B5P/3R4 w - -,d1c1
1r4k1/3bpp1p/6p1/R4P2/P3P1P1/4Q2P/8/q4BK1 b - -,b8b1
r4rk1/1bqn1pbp/pp1pp1p1/4n3/NPPNP3/4BP2/P3Q1PP/1BR2RK1 w - -,d4b3
4Q3/8/8/p1k5/8/5K2/P2q4/8 w - -,e8e3
