8/8/6p1/P7/P2K1k2/5r2/7p/R7 b - -,f3a3
3r2k1/1pq1rpb1/2pp1np1/p4b1p/2P2N2/1PQ1P1PP/PB1R1PB1/3R2K1 w - -,c3c1
r3r1k1/p4pp1/1pNn1b2/3q4/1P1p1B2/3Q1PP1/P1R1P3/5RK1 w - -,f1d1
r1bqr1k1/ppp2pp1/2np1n1p/4p3/2P5/1PP2NPP/P1Q1PPB1/R1B2RK1 b - -,c8e6
r2qr1k1/1b1nbppp/ppp5/3pB2n/3P4/2NBPN2/PPQ2PPP/2RR2K1 b - -,g7g6
1k6/8/1P6/5r2/2PK4/5bp1/5p2/R4B2 w - -,d4e3
r2q1rk1/1bp3bp/3p4/p1p1pp2/2PB1P2/3P1N1P/PP1QN1P1/1R3RK1 b - -,c5d4
rnb2rk1/1pq1bppp/p2ppn2/8/3NPP2/2PB4/PP1N2PP/R1BQ1RK1 w - -,d1e2
2k2qr1/pp1b3r/4p3/3pn3/P1pPpN1p/2P2P1P/R1PQ2P1/5R1K w - -,d4e5
r1bq1rk1/1p1nbppp/2pp1n2/p3p3/P2PP3/2PB1N2/1P1N1PPP/R1BQ1RK1 w - a6,f1e1
rn1q1r2/1bp1bpkp/p2ppnp1/1p6/3PP3/2PBBN1P/PPQN1PP1/R3R1K1 b - -,b8d7
r2q1r2/ppp3k1/5pn1/2P3p1/3PQ1P1/2N5/PP6/2KR3R w - -,e4b7
1rbq1rk1/1pnnppbp/p2p2p1/2pP4/P1P1PP2/2NB1N2/1PQ3PP/R1B2RK1 w - -,c1d2
r2r2k1/1R3p1p/3bpp2/8/8/p4NP1/R4P1P/5BK1 b - -,a8c8
r2q1rk1/ppbb2pp/2p1pn2/2Pp1p2/PP1Pn3/2N1PNP1/2Q2PBP/1RB2RK1 b - a3,a7a6
r4qk1/p2b1p1p/1pp1p1p1/2b1P3/8/2PB1Q2/P4PPP/1R2R1K1 b - -,a7a5
r1br2k1/pp5p/4ppp1/q1pPb1B1/4PP2/2P4P/P2QB1P1/2R1K2R b K f3,f6g5
4r1k1/4q1bp/pr1p2p1/2nP1p2/2R1PPn1/2N2N2/1PQ3PP/2B2RK1 w - f6,h2h3
4br2/2p1qpkp/1r3np1/4N3/p2P4/4PQ1P/BPR3P1/2R3K1 b - -,c7c6
r1b2rk1/ppq1ppb1/2n2npp/2p5/2B1P2B/2P2N2/PP1NQPPP/R4RK1 b - -,f6h5
8/2k5/p2r2np/2pP2p1/2B2pP1/5P2/1P2K2P/R7 b - -,g6e5
3n1r2/p5rk/1p1p2np/1Pp1b3/2P1Pp1p/P2P1N1N/3B1PR1/6RK w - -,g2g4
8/7k/1p1p3b/p2Pp3/P2pP3/1P1R2P1/5rBP/7K b - -,h6e3
rn1q1rk1/pp1bppbp/5np1/1B1p4/3P4/2N1BN2/PPP1QPPP/R3K2R w KQ -,e1g1
1qr5/1b2k1r1/pp2pp2/2b2p2/2P2P2/P3PNPP/1B2QK2/2R3R1 w - -,c1d1
rnb2rk1/pp2ppbp/6p1/q7/3PP3/4B3/P2NBPPP/R2QK2R b KQ -,f7f5:f8d8
1rb1k2r/2p1nppp/p4b2/Np1q4/4p3/4P1P1/PPQ2PBP/RN3RK1 w k -,f1d1
rnbqkbnr/pp2pppp/3p4/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq c6,g1f3
8/1p6/7p/2P3p1/3k4/P2r1P2/3p1K1P/3R4 w - -,f2e2
r5k1/1pq3pp/p1n1pr2/P1Np4/1P1PpP2/2P3P1/2Q4P/R4RK1 b - b3,a8f8
r3k2r/ppq1ppBp/2n3p1/2N2b2/2P3n1/3B4/P1P2PPP/R2Q1RK1 w kq -,g2g3
q7/4n1kp/4pNp1/2Q1P3/1p5P/6P1/1P6/6K1 b - -,a8a1
2b4k/pp3r1n/4pPBR/3p4/8/8/PP3PPP/6K1 b - -,f7f6
r1b2rk1/ppq2ppp/3bpn2/3pN3/1n1P4/1P6/PBP1BPPP/RN1Q1RK1 w - -,c2c4
5k2/4q3/1p3r2/1B1Q4/1p4pp/1Pb3P1/P4P2/3R2K1 b - -,h4g3
6k1/3bB2p/p1pn2p1/1p6/3P4/5B2/PP4P1/6K1 b - -,d6f5
8/3K1k2/4p3/4P1b1/3P2P1/8/p7/B7 w - -,d7d6
4r1k1/ppp2ppp/3p3b/2nPrP2/2P4q/3B2N1/PP3PQP/3R1RK1 w - -,b2b3
7r/1bq2p1k/pp2pPrp/3pP1pQ/1b1Nn1P1/1PN1R1B1/1PP4P/4R2K b - -,c7d7
8/p4k2/P7/4PK2/1N3P2/2p5/3n4/8 w - -,e5e6
2r5/5pkp/3p2p1/3Pp1b1/1q2P1P1/p3NPPK/P3Q3/4R3 b - -,c8c3
r4rk1/5pp1/1p2p2p/p3n3/Pb1p4/1N1P1qPR/1PRB1P1P/3QK3 b - -,e5d3
1q2k2r/4p2p/1r1p2pb/p1pPp1P1/P1Q1P2P/RpP5/1P2NP2/5RK1 b k -,h6g7
r1n4k/P1pq2r1/1nNp1b2/3Pp3/4Pp2/5P2/R4B1P/2R2QNK b - -,g7h7
6k1/2N3bp/rn4p1/2p1pp2/p1Pp4/1P5P/P4PPB/2KR3R b - -,a6a5
rr4k1/1p2q1pp/2p3b1/p2n1p2/P1BPp3/2P1P2P/1RQN1PP1/R5K1 b - -,g8h8
r1bqk2r/5ppp/p1np4/1p6/4PpPP/N1P5/PP3P2/R2QKB1R w KQkq -,d1d5
8/6k1/p2p2p1/n1p1p1b1/P3P2p/B1PB4/5P2/5NK1 w - -,d3a6
4rnk1/1bqrbpp1/1pp1p2p/p1n1P3/2PN3P/1P2N1P1/PBQ2PB1/3RR1K1 w - -,e1e2
r2q1r1k/6pp/2bp3b/p2Np3/R3B2P/2P3P1/1P3P2/3Q1RK1 w - -,a4a3
r1bq1rk1/pppp1ppp/2n5/8/2P1P3/2N2N2/PP1Q2PP/2KR1R2 w - -,c3d5
r2qkb1r/pb1pnppp/1pn1p3/2p5/4PP2/3P1NP1/PPP3BP/RNBQK2R w KQkq -,e1g1
rn1q1rk1/4bppp/bpp1pn2/p1Pp4/1P1P1B2/P1NBP3/5PPP/2RQK1NR b K -,a5b4
4r1k1/5p1p/Q3pnp1/2p1N3/7P/1P4P1/P2q1P2/4R1K1 w - -,a6e2
1r2rbk1/5ppp/1qbp1n2/p1p5/2PpPPP1/R2P2NP/1P4B1/2BQ1RK1 b - -,f6d7
8/8/p2p4/2p1p1k1/B1P1Pp2/P2P1P1b/5K2/8 b - -,g5f6
6k1/5pb1/1pn1p1p1/p1p1P1P1/R4P2/3r4/1P1B4/4KR2 w - -,a4a3
8/p1r1k3/1p2pp2/2r4p/3R1P1P/2P1R1P1/P2K4/8 w - -,d2c2
r3r1k1/1pqn1pbB/2p1b3/2P3Pn/1p6/P3B2P/2Q1N3/1NKR3R b - -,g8h8
6k1/1p3n1p/p3r3/3bpq2/2r1N1P1/B1P1Qp2/P1K5/4RR2 b - -,f5g6
8/2k2pp1/1p2pn1p/p7/2P2PP1/PP3B1P/5K2/8 w - -,f2e3
8/8/p1k1p2p/5p2/3K1P1P/2R3P1/2P5/4r3 b - -,c6d7:c6b5
8/3k2pp/np2pp2/3p4/1PnP4/2N1PPP1/2N1K2P/8 b - -,a6c7
8/5pkp/6p1/p5B1/Pb4P1/3n1BPK/8/8 b - -,d3c5
3k4/3P1pp1/8/4bPp1/2pqP3/1p5P/1P2Q1B1/2K5 b - -,d8d7
2k3n1/1p3p2/p1b1pB2/4PB1P/3p2r1/P1p2N2/2P2PP1/3R1K2 b - -,e6f5
r2q1rk1/pp1n1ppp/4pb2/3n4/8/1P1B1PP1/PB1N1P1P/2RQ1RK1 w - -,b2a3
4r3/p6R/8/P1b3B1/4k2P/3p4/6K1/8 b - -,c5e3
3b4/p2r1p1p/1k2p3/2p2p2/P7/1P2P1P1/2RNKP1P/8 w - -,d2c4
3r1r2/1b2b2k/4qn1p/pNpp1pp1/P4P2/1PQ1P1P1/1B4BP/2R1R1K1 w - -,c3a5
r4rk1/p1qn1pb1/bppp2pp/4p3/2NPPn1B/1PP2N2/P4PPP/1BRQR1K1 b - -,a6c4
r1bq1rk1/1ppnbppp/3p1n2/p2Pp3/2P1P3/2NB1P2/PP2N1PP/R1BQK2R b KQ -,c7c6
1r6/p2bkp1p/2p1p3/2Pp2P1/Nr1b4/1P3BP1/P6P/2R1R1K1 w - -,g1g2
1kr4r/pp1bb3/2np1q1p/4p1p1/2N2n2/2P2N2/PPB1QPPP/R2RB1K1 w - -,e2f1
r7/4k2p/2bpr1p1/1p3p2/3R3P/2P3P1/1P1RBKP1/8 b - -,a8d8
r1b1k2r/p2n1ppp/1qp5/4b3/2P2B2/N2QP1P1/PPN4P/R4RK1 b kq -,d7c5
r1br2k1/pp3ppp/1q2n3/3p4/3N4/P3P3/1P1QBPPP/2R1K2R b K -,c8d7
3q1rk1/1pN2bb1/3p3p/6p1/1P6/3B2P1/r3PP1P/1RQ2RK1 b - -,d8d7
2Q5/8/5k2/P2Q4/2K1B3/8/5r1P/8 w - -,d5d4
rn1k1b1r/2q2P1p/4Q1p1/1b4B1/1p6/8/PPP3PP/R3K2R b KQ -,f8e7
1r1qr1k1/1ppbppbp/3p1np1/p2n4/P1PP4/BP2P1P1/4NPBP/2RQ1RK1 w - -,c4d5
8/3n4/3p2k1/2pP2p1/r1PpPpP1/5P2/2R3K1/1N6 w - -,g2f2
rnbqkb1r/pp2pp1p/5np1/8/1pPp4/5NP1/P2PPPBP/RNBQ1RK1 w kq -,d1a4
5rk1/2R1npp1/4p1np/3pP3/1B4r1/P4N2/2P4P/5R1K b - -,f8c8
2rr2k1/p1qnbppp/2p1b3/4p3/N3P3/1P2B1P1/P1Q2P1P/R2R1BK1 b - -,c7b7
1q1r1k2/3bbppp/3p1nn1/1p1P4/1PrB1P2/1N4PP/2N1Q1B1/2RR2K1 w - -,b3a5
r3k2r/p1p2pp1/1bb4p/2pqPP2/3p3B/5N2/PPPQ2PP/R4RK1 w kq -,b2b3
2k5/2p2r2/1p4p1/p2p1b1p/P2P1B1P/2P1KP2/R5P1/8 w - -,f4e5
8/8/8/3pk3/p3r1pp/2P5/P2R1PK1/8 b - -,e4f4
8/3n4/1p1p3p/pP2ppk1/P1PP4/5K1P/4N3/8 w - -,f3g3
8/1p3k1p/4bBn1/1PP2pP1/3Qp3/8/q3B1PP/6K1 w - -,e2f1
1r6/p1p1k3/P2p4/3PnR1B/1P2P3/4K1P1/8/8 b - -,b8b4
6k1/3n1pp1/3P3p/5P2/p7/3R4/1PqB2PP/R6K b - -,c2d3
3rrbk1/2qn1pp1/1pp2n1p/p3pN2/4P3/2P3NP/PPQ2PP1/2BR1RK1 b - -,g8h7
8/3r4/8/8/4pk2/1R6/4K3/8 w - -,b3b8
r5r1/pp1nk3/2pq2pp/5p2/3P4/1N2PR1Q/PP4PP/1R5K w - -,h3h6
8/pp2r1qk/3p1b2/2p2P2/2Pp2Pp/1P5P/P3Q2N/4R1K1 w - -,e2d1
r2qr3/1pn2pbk/p2p1npp/2pP4/P3PPb1/2N1B1N1/1P1QB1PP/R4RK1 w - -,e2f3
r1b2r2/p1p4p/2p2kp1/2N2p2/4p3/1P4P1/P1P1PP1P/R4RK1 b - -,f8d8
r1bq1rk1/pp1pnpbp/4pnp1/2p5/2P2N2/1PN1P1P1/P2P1PBP/R1BQ1RK1 b - -,e6e5
6k1/p5p1/n1n1p2p/3pPp1P/2pP4/6P1/Nb1N1PK1/7R w - -,h1b1
2r1r1k1/p3pp1p/1p1p1np1/3P4/1qP2P2/3Q2P1/P3RPBP/2R3K1 b - -,c8c7
r1rq2k1/pp2ppbp/2np1np1/8/2PNP3/1PN1BP2/P5PP/R2Q1RK1 w - -,d1d2
r1bq1rk1/pp1pn1bp/2n1ppp1/2p5/2B1PB2/P1NP4/1PP1NPPP/R2Q1RK1 b - -,d7d5
3k3r/1p3pp1/p2p4/3Nn3/1P2BN1q/4P1n1/PQ6/R1BKR3 w - -,e4g2
1R6/5k1p/3p1pp1/3Pp3/4PnPQ/7P/5P1K/1Bq5 b - -,h7h5
3r1r2/6k1/5pp1/1pq1p1Np/p3P2P/PbP3Q1/5PP1/R3R1K1 w - -,g5h3
5R2/4R3/6k1/5b1n/p1B5/5p1r/K7/8 w - -,f8g8
3r2k1/5p1p/4pnp1/2pq4/7P/1P3NP1/P3QP2/4R1K1 w - -,g1g2
1R6/p5pk/2r3bp/2N2p2/2NPp3/2n1P1P1/P4PP1/6K1 w - -,a2a3
r1b2r2/1p2q1kp/p3pnp1/2P1N3/B2Qp3/8/PPP2PPP/2KR3R w - -,h2h4
6r1/1k2r2p/2pR1B2/8/3P2P1/2PK2P1/8/8 b - -,e7e1
1r1n2k1/2R2p2/1p5p/3BP1p1/2PbNp2/7P/5PPK/8 w - -,e4f6
3r2k1/2R2p2/p3p2p/1p4p1/8/4P1P1/PPR1K3/3r4 b - -,g8g7
2B5/6k1/p7/b3P3/5P2/1P2nK2/P6r/8 b - -,e3d5
3r2k1/5pbp/p1n1p1p1/1pPb4/3q4/8/PP1QBPPP/R2R2K1 w - -,e2f3
8/8/8/R4pp1/4k2p/7P/3r4/6K1 w - -,a5a4
2b5/2r1qpk1/1Qp3p1/1pNp3p/3P2P1/4PP1P/R5K1/8 b - -,h5h4
3n4/p5k1/1p3p1p/2pBP1p1/8/2P5/1P1B2PP/6K1 b - -,f6e5
8/1R4p1/6kp/2N1p3/8/6PP/r3n3/6K1 w - -,g1f2
3r1b2/3r1pp1/2k5/1nppPP2/8/p1P1NPK1/PB1R4/1R6 w - -,b2a1
r2r2k1/pp6/2b1p1p1/n5NP/3pN3/PP6/5P2/2R1K2R w - -,h5g6
1r3k1r/1q3P1p/p4b2/2p2p2/2BnNP2/2P1Q3/PP4PP/2KR3R w - -,d1d2
r5k1/3n1ppp/q3pb2/1npb4/1pN4P/3PB1P1/1P1NPPB1/2RQ2K1 b - -,f6d4
r3k2r/pp2b1pp/4ppN1/3p4/6PP/P3BP2/1PPR4/4K2R b Kkq -,h7g6
r1bq1r1k/pp4pp/1bpp4/4p3/1PB1Pn2/2P2N1P/P4P1K/R2R1QN1 w - -,d1d2
r3nr1k/bp2qppp/p1n3b1/1P2p3/4N3/3BPN1P/PB2QPP1/2RR2K1 b - -,a6b5
n3r1k1/p4q1p/1b2p2P/3pP3/Q2P1p2/4K1P1/P5B1/2R5 w - -,g3f4
rn1q1rk1/p3bppp/2p5/3nPR2/Np6/1P1B3P/2P1N1PB/1Q5K w - -,b1e1
4rk2/1N3pp1/4rbp1/1p1p4/8/6PR/PP3PK1/5R2 w - -,f1c1
r7/2b1k1pp/4p3/5p2/P5PP/4B3/R4PK1/8 w - f6,g2f3
5rk1/pp4pp/4P3/3p4/1r1q4/3Q2N1/P5PP/5RK1 w - -,d3d4
4r3/1p4pp/p1b1k3/2Q3PP/3R2K1/4P3/7R/q7 b - -,a1g1
r1b1r1k1/1p3p1p/p2p2p1/3P3n/P2b1P1q/2N2Q1P/1PB3PK/R1B2R2 w - -,c1d2
6k1/5p2/q5pp/2b1P3/1r2N3/3Q1P2/4K1PP/3R4 b - -,b4b2
3r4/1p4k1/1p1r3p/3pnp2/3Rp3/1PP3PP/1P2BPK1/4R3 b - -,e5c6
2b5/p7/1p1Bnk2/5p1p/2B5/1P2KPP1/P7/8 w - -,b3b4
r2q1rk1/pb2ppbp/1p3np1/3n4/3P4/1BN2N1P/PP3PP1/R1BQR1K1 w - -,d1e2
rnb2rk1/pp2ppbp/5np1/3p4/1q6/2N1BN2/PPPQPPPP/1K1R1B1R w - -,a2a3
3rr1k1/1b1q3p/p4ppQ/2p1p1n1/PpP1P2N/1P3N1P/1B3P1K/4R3 w - -,f3g5
5rk1/p2rqpbp/bpp1n1p1/4p3/4P1P1/4QBP1/PPPN1PK1/R1BR4 w - -,d2b3
1r4k1/4pp1p/5bp1/2R1N3/4NnP1/7P/q4P1K/1r2RQ2 b - -,f4e6
r2q1rk1/pp1b1ppp/2n1p1n1/3pP3/1b1P3P/N4N2/PP2BPP1/R1BQ1K1R w - -,h4h5
4r1k1/p7/1pb5/6P1/2pPpN2/2P1P2R/6K1/2n1B3 w - -,h3h6
1r1q1rk1/pp3p1p/2pp1bp1/7P/2n5/2N1P3/PPQ1BPP1/R3K2R b KQ -,c4e5
1r3rk1/1bppqpp1/2n2n1p/4p3/1p2P3/1B1P1N2/1PP1QPPP/R1B2RK1 w - -,h2h3
3r1b2/pp5k/2p1p3/4Pp2/1P2pPp1/P2qP1P1/1BR5/4Q1K1 w - -,e1e2
3R1r2/1p4kp/p2N1p2/4n3/8/1P5P/P5P1/6K1 w - -,d6b7
8/8/1R2k1p1/r5P1/P3KPP1/8/8/8 b - -,e6f7
8/1bk1b1p1/5p1p/1p2pP2/1P2P1PP/5K2/2BB4/8 b - -,b7c6
7r/1pq1bk2/p1b1p3/3pPp1p/1PrN1B2/2PR1Q2/6PP/4R2K b - -,c7c8
r1bqkb1r/3n1ppp/p1p1pn2/1p1p4/2PP4/1P1BPN2/P2N1PPP/R1BQ1RK1 b kq -,b5c4
r3r1k1/pp3q1p/2p2Bp1/2Nb1p2/P2Qp3/2P4P/5PP1/R2R2K1 b - -,b7b6
1k5r/ppn1q3/2p2bp1/3n1pN1/7P/PQ2P3/1P2BP2/1KB4R w - -,g5f3
8/1k4p1/p7/2PPN3/2P2PP1/2K5/8/r7 b - -,a1f1
3rk2r/1pq1bpp1/2ppbn1p/p1n5/2P1PP2/2N1B1NP/PP1QB1P1/3RK2R b Kk -,e8g8
1R6/6pp/1b1p4/1P1B1k1P/2K2p2/8/8/2r5 w - -,c4b3
3R2k1/2q2pp1/p3bn1p/1pp1p3/1P2P3/2Q2P1P/P1N1B1P1/6K1 b - -,c7d8
1Q6/3qr2k/2p3pp/3pR3/p1pP2Pn/P1P2P2/1P2K3/3N4 b - -,g6g5
r1br2k1/pp2qpbp/2p1nnp1/4p3/P1B1P3/4B2P/1PPNNPP1/R3QRK1 b - -,f6h5
8/5Pk1/q2KP3/2R5/3N4/8/8/8 w - -,d6e5
8/1p2n1pp/4k3/1R1pP3/8/r4N2/6PP/6K1 w - -,b5b7
4r3/5k1n/6pP/1p2qp2/8/5pQ1/R6K/8 w - -,a2a7
8/4k3/8/4PK2/7p/7P/5Nb1/8 b - -,g2f1
r2r2k1/5ppp/p2N2q1/1pp1P3/7b/1PP3P1/1P1R1P2/R2Q2K1 b - -,h4e7
r1bq1rk1/pp2n1bp/3p2p1/2p1ppB1/2PnP3/2NP1NP1/PP1Q1PBP/R4RK1 b - -,d4e6
8/p3r3/1pp4P/6Pk/2P5/6R1/5K2/8 w - -,f2f3
5k2/5p2/p3p1p1/3pP3/3N2PP/1P1nRN2/P4PK1/b2r4 w - -,d4c2
3rr1k1/1p3pbp/p1npbnp1/q1p3N1/2P2B2/2N1P2P/PP1QBPP1/R4RK1 w - -,g5e6
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/2N2N2/PPQ1PPPP/3RKB1R b Kkq -,c5d4
7k/4p3/2qp1p2/8/P3P3/1Q4P1/5P1K/8 w - -,b3b4
r4nk1/1bq1bpp1/pp2p2p/2p1P3/P7/2NP2B1/1PnNQPPP/R2R2K1 b - -,c2a1
r1b1qrk1/ppp1nNpp/3pPp2/3Pn3/2B5/P7/1P1Q1PPP/RN2K2R w KQ -,f7e5
r2r3k/6p1/2p2n1b/2P2P2/1p6/1B3Q1P/P7/4R1K1 b - -,f6d5
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,f8b4
1Rb3k1/p4ppp/2r5/2n1p3/8/P1P3P1/2R1PP1P/6K1 w - -,c2d2
3r2k1/1p3rp1/7p/pq1p1p2/3R3P/5K2/PP1Q4/6R1 b - -,b7b6
4r1k1/pp4pp/2p1r3/1Pbp1p2/P1n5/2P1PPP1/2N1R2P/2BR3K b - -,g8f7
1R6/6k1/7p/5P2/6P1/8/6K1/5r2 b - -,f1f4
8/4k3/p5pp/1p2K3/1P1RP1PP/1r6/3p4/8 w - -,d4d2
B4n2/5pk1/4p3/2p5/2K5/2P2P2/3r1P1P/R7 w - -,c4c5
8/6R1/6k1/p4rp1/P2B3p/1PP4P/1r3PP1/6K1 b - -,g6h5
4rnk1/pp2rpp1/1bp4p/4P3/3P4/2PB4/P2BR1PP/4RK2 w - -,d2c1
b2r1rk1/p3npb1/1pnNq1pp/1Npp4/5B1P/3PP1P1/PP3PB1/1RQ2RK1 w - -,b5c7
r3k2r/1p1q1pp1/p1n1p1p1/3p2b1/Q2P4/2PB1NPP/PP3P2/4RRK1 b kq -,g5e7
7k/6bP/1B1p2P1/p7/P1P1p3/1P4R1/6RK/4q3 w - -,g2f2
8/8/6p1/2Q5/8/K7/3q1p2/6k1 b - -,g6g5
8/R4pk1/6p1/3Bn2p/2p4P/6P1/2r5/5K2 w - -,a7c7
8/2r4p/2b1R3/pp1p4/5k2/5BPP/P4K2/8 b - -,f4f5
8/5kp1/1B6/p3R3/Pb3P2/3r1K2/7P/8 w - -,f3e4
rn2brk1/pp4pp/2pnp3/3p1p2/2PP4/1P1BPN2/P2N1PPP/R4RK1 b - -,b8d7
2qr2k1/pbr2ppp/8/1p2pn2/3Pp1QP/1PP1N1P1/P4P2/1NR1R1K1 b - -,f5d4
4r3/ppp2kp1/2n1p1np/2Pp3N/3P4/PP3r2/4RPPP/4R1K1 w - -,g2f3
2r2k2/5p2/4p3/7p/2P4R/3K2P1/5P2/8 b - -,c8c5
7r/p3knR1/bp1r1p2/n1p1pP1p/2P1P2P/2P5/P2NBB2/2KR4 w - -,d1g1
8/4kp1p/6p1/3P3P/1p6/r5P1/P2K1P2/1B6 w - -,h5g6
1rb2rk1/8/1NRp2pp/p2Pp1b1/1p2P2q/3QB3/PP4PP/1K5R w - -,e3g5
r3kb1r/pp1b1ppp/1qn1pn2/2p5/3P4/1P2BB2/P1P1NPPP/RN1Q1RK1 b kq -,f8e7
3n4/8/1p1k1p1p/1P6/2B2pP1/3N3P/4K3/6b1 w - -,d3f4
r4rk1/pbpnqppp/1p2pb2/8/2PP4/4BN2/PPQ1BPPP/R4RK1 w - -,a1d1
r1bq1rk1/1ppnnpbp/3p2p1/p2Pp3/1PP1P3/B1N2NP1/P4PBP/R2Q1RK1 b - -,a5b4
5rk1/5p2/p1bp1Qpp/2q5/2PRP3/7P/6P1/5RK1 w - -,f6d6
5n2/R3n2p/4k1p1/4p3/1p2P1NP/1P6/P1K1N3/7r w - -,a7a6
8/2p3pp/4k3/N1p5/3K1P2/P5P1/6bP/8 w - -,d4c5
r1b2rk1/ppq2ppp/4pn2/2b3B1/8/3B1N2/PPP2PPP/R2Q1RK1 w - -,f3d2
r1bq1rk1/pp2bppp/2np1n2/2p1p1B1/2B1P3/2NP1N1P/PPP2PP1/R2QK2R w KQ -,g5f6
5rk1/4R2p/pp2p1p1/2p1b3/2P1N3/5P1P/PP3P2/1K6 b - -,f8f3
r3qrk1/2pn1ppp/p1Nbpn2/1p4B1/3P4/6P1/PP1NPPbP/R1Q2RK1 w - -,g1g2
8/5b2/8/1p2p3/7P/p1N5/1k1K4/8 b - -,a3a2
r1b1qr2/pp1n1pbk/3p2pp/2pPp2n/1PP1P3/2N1BNPP/P4PB1/2RQ1RK1 w - -,c3b5
2k2br1/pB1r1p2/1n1p2n1/q4NPp/2pP3P/2P3BN/P2QR2K/1R6 b - -,c8b7
