8/2n5/2N5/1k4p1/6K1/1p6/1P6/8 w - -,c6d4
rnbq1rk1/ppp2pbp/3p1np1/4p3/4P3/2N2N1P/PPPPBPP1/R1BQ1RK1 w - e6,d2d4
5rk1/3qp2p/2pp2p1/1Nn5/2P1pP2/6PP/5K2/QR4N1 w - -,b5c3
2R5/3k1p2/1rp3pp/8/1PK5/5P1P/5P2/8 w - -,c8f8
2r5/3bqp1k/1b1p3p/3Ppp2/1p2B1PP/pPr1PQ2/P4P2/1K4RR w - -,g4f5
5r1k/2p5/1p4p1/p1pQR2p/2P2Bq1/6P1/2P2P1P/r5K1 w - -,g1g2
2r3k1/b1p1nr1p/p2p1ppq/8/2B1PP2/B1Q3PP/PPR4K/3R4 b - -,g8g7
1rb1kb1r/p3pppp/2n5/q2p4/2pPn3/2P1PN2/P2BBPPP/RN1Q1RK1 b k -,b8b2
8/6k1/3KpR2/6P1/4rP2/8/8/8 b - -,g7g8
6k1/1p3p2/1b1r4/6p1/PR2p3/2P2pP1/2K2P1P/2N5 b - -,e4e3
r3k2r/1b1nq1bp/p1n1p1p1/2ppPp2/Pp1P1P2/1P2NNQ1/1BP1B1PP/R4RK1 b kq d3,c5d4
3r4/6kp/6p1/1p2rb2/1R6/2N2R2/PK4PP/8 w - -,f3f2
5rk1/pp3pb1/4q2p/1Bpp2p1/3p4/5PP1/PPPQ1P2/R5K1 w - c6,b2b3
5r1k/p5pp/8/6P1/1p3q2/1P6/P1P3QP/R6K w - -,a1d1
B2k1b1r/p4ppp/4p3/8/2P5/5PP1/PP1pK3/R7 w - -,e2d2
r1bqk2r/p2pppbp/2p3p1/4Pn2/3Q4/5N2/PPP2PPP/RNB2RK1 w kq -,d4e4
r1b2b1r/5kpp/p2pNn2/qp6/4P3/2N5/PPPQ1PPP/2KR3R w - -,e6f8
1rbq1rk1/pp2ppbp/2n2np1/2pp4/5P2/N1PP1NP1/PP2P1BP/R1BQ1RK1 w - -,f3e5:a3c2
8/8/4k1np/8/3B3P/8/4KP2/8 b - -,g6h4
r1b1kb1r/pp2pppp/1qn5/3p4/3PnB2/2P2N2/PP3PPP/RNQ1KB1R b KQkq -,c8f5
4r1k1/R4pp1/7p/3qP3/1pp2B2/3b4/1P1Q2PP/6K1 w - -,a7a1
r2rn1k1/4qpp1/2p3b1/p5Pp/PpB1P2P/1N3P1R/1P3Q2/2R2K2 b - -,e8d6
r1bq1rk1/pp3ppp/2n2n2/2bp2B1/8/5NP1/PP2PPBP/RN1Q1RK1 w - -,b1c3
8/ppp2pb1/7p/3k4/2N5/2P3P1/PPK2P2/8 w - -,c2d3
rn1q1rk1/pp2bppp/2ppbn2/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQ -,h2h3
rr6/1ppkn3/p1pb1p2/4p1pp/PPN1P3/1R1PBP1P/2P1KP2/R7 b - -,e7g6
5rk1/4np2/3Np1p1/p1r1P1Pp/1p6/PP6/1KP2R1P/4R3 w - -,d6e4
2r3k1/7p/p5p1/1pBpb1Pn/1P5P/PR4q1/2P1Q3/5R1K b - -,g3h4
r2qkb1r/pp2pppp/2np4/3nP3/3P2b1/PQ3N2/1P3PPP/RNB1KB1R b KQkq -,d5b6
rn1qk2r/pbppbppp/4pn2/1p4B1/3P4/5NP1/PPP1PPBP/RN1Q1RK1 b kq -,e8g8
r5k1/pprq1pbp/4p1p1/1R6/3P4/4PP2/P3QP1P/1R5K w - -,e2b2
1kb4R/p7/1ppb1pp1/2p5/P1P2qP1/3P4/1PQ5/1K6 w - -,c2g2
rn2qrk1/ppp2ppp/8/8/1bBPn1b1/2N1B3/PPQ1NPPP/R3K2R b KQ -,b8d7
3k1r1r/2qp2pp/1pbNpp2/p3n3/8/Q4B2/PPP3PP/2KR1R2 w - -,d1d4
5R2/8/2r1pp2/5k1p/5P1P/3KR1P1/1r6/8 b - -,c6b6
8/1p6/1p3k2/2p1R2p/P1P3rP/1P2p2K/8/8 w - -,e5e3
8/3Q4/1k1p2p1/2pP3p/2P5/7P/8/2q4K w - -,h1g2
3r4/Q2b4/3ppr1k/2p2pNp/3n1P1P/3q2P1/6B1/1R3RK1 w - -,b1b7
r1b2rk1/2q2ppp/p1nppbn1/8/1pPNP3/1P6/PB1QNPPP/2R1RBK1 b - -,c8b7
rn3rk1/1b3pbp/p2q2p1/2pp4/P7/4BB2/1PPN1PPP/R3QRK1 b - -,b8c6
5k2/p5p1/1p1b3p/8/1n3PP1/1B6/3B2PK/8 w - -,d2b4
3rk2r/p2bbp2/2q1p1p1/np1pPn1p/3P1N1P/P1N3P1/1PB2PK1/R1BQ3R w k -,h1e1
8/4kpQ1/4p3/4Pp2/4r3/5KP1/8/8 w - -,f3g2
8/5p2/5N2/2bk1P1P/8/1Kpr2P1/1P2R3/8 b - -,d5c6
3rrbk1/1bqn1p1p/ppn1p1p1/2p1P3/2P4P/PP3NP1/1B1NQPB1/R3R1K1 w - -,d2e4
7r/4bpk1/1q2p1br/p3P3/P1Q1B1R1/1Pp3p1/2N2P2/5RK1 w - -,g4g3
2r1r1k1/1b3pb1/pp4pp/2npP3/5P1N/2P1B3/P5PP/1B2RR1K w - -,e3d4
1qr3k1/1p4b1/pB1p3p/Pb1P1Qp1/4N3/R4P2/6PP/6K1 b - -,c8c1
r4bk1/1p3nr1/pB1p4/P2Pp3/N3Pp1p/2RN1PnP/1P6/2R1K3 w - -,d3f2
5k2/1p3p1p/p1n2B2/P2p4/2r5/1NP2P2/1P1K3b/4R3 b - -,c4f4
r1bqnrk1/pp3pbp/n2p2p1/2pPp3/2P1P3/P1N5/1P1NBPPP/1RBQK2R b K -,f7f5
8/5pk1/1p1rp1pp/p7/PnP1B3/1P2P1P1/4K2P/5R2 w - -,e4b1
6k1/1q3b2/2p2Qp1/2Pp3p/3P3P/6PB/5P1K/8 w - -,h3e6
2rqkb1r/5ppp/pB1p4/3Pp1P1/8/P1P4P/2PQ1P2/R1N1K2R b KQk -,d8b6
r2q1rk1/3n1ppp/1ppppn2/p7/2PPb3/1PB3P1/PQ2PPBP/3RNRK1 b - -,e4g2
r1k1bb1R/p1p2pp1/1pp5/4PnN1/6r1/2N5/PPP2K2/R1B5 b - -,f8c5
2r2rk1/pp3pbp/4p1p1/8/q2P4/3RP1PP/PB3P2/1R2Q1K1 b - -,a4c2
8/1R4b1/6kp/8/3pPp2/7P/6P1/6K1 w - -,g1f2
8/4qp1k/1p5p/1n1p1P2/2rP1QP1/2p4P/2R1NK2/8 w - -,f4f3
1R6/8/5n2/6K1/4k3/3r4/8/8 b - -,d3f3
r2q1rk1/2pbbppp/p2p4/1p1Pn3/P2N4/2N2P2/1PP3PP/R1BQR1K1 b - -,b5b4
r1bq1r2/4bpk1/p3p2p/1pNn1p2/P2P4/5N2/1P1QBPPP/R1R3K1 b - a3,b5b4
6k1/3bbppp/5n2/2n1p3/1q2P3/5NNP/1PB1Q1P1/r1B1R2K w - -,e2d2
4r3/1b3p2/p3n2k/1p1pPB1p/1Pp2P1P/4K3/1P2N3/6R1 w - -,f5c2
r2qk2r/1p2bpp1/pnn1p3/3pPb1p/3P1P2/P1N2N1P/1P2BQP1/R1B2RK1 b kq -,a8c8
r5k1/pp4bp/6p1/2p5/2Np1rb1/P2P4/1PP3KP/R1R3N1 w - -,c1f1
6Rb/rp5r/5k2/2PPp3/8/5b2/P7/1R2KB2 w - -,g8f8
r1br2k1/4qppp/p2p4/1p2p3/1n2P1n1/1BN2N2/PPPQ1PPP/3RK2R w K -,a2a3
8/3r2kp/1R3bp1/8/3pB1PP/3P1P1K/8/8 b - -,f6d8
r3r2k/p5bp/Q3ppp1/2Bp4/5P2/1PP3Pq/1P5P/K2RR3 b - -,a8d8
1r3k2/pp3pp1/2p4p/8/2b5/P5P1/1P1RPPBP/6K1 w - -,f2f4
r2qk2r/p2pppbp/1pn1b1p1/1N2P1B1/4B3/8/PPP2PPP/R2Q1RK1 b kq -,g7e5
r2q1rk1/p1pb1p1p/2p3pB/2b1PP2/3Np1Q1/2P5/PP4PP/R4RK1 b - -,f8e8
2q2r2/1r2ppkp/2p3pn/p2bP1N1/1ppPNQP1/2P2P1P/PP2R2K/4R3 w - -,e4f6
8/8/p2b1k2/3p1pp1/1p1P2Pp/1P1K1P2/P2B2P1/8 w - -,d2e1
r3kbnr/1pp3pp/p1p2pb1/4N3/4P1Pq/5Q1P/PPPP1P2/RNB2RK1 w kq -,e5g6
6k1/8/5P1p/7K/6P1/8/8/8 w - -,h5h6
1r3k2/2RB1p2/1p1np1p1/p2p2P1/P2P1K1P/1P2P3/8/8 w - -,f4e5
2r4k/5p2/5Np1/p1n5/1pP1p3/4P2P/P4PP1/3R2K1 w - a6,g2g4
3r1rk1/5pb1/5np1/p5Np/Pp2b3/4BR1P/BP4P1/4R1K1 w - -,f3f6
2r3k1/2Pqb1pp/r7/1p2P3/p2p1B2/5P2/PPR2P1P/3QR2K b - -,d7f5
8/p3k2p/1npr2p1/2Rp1p2/3P4/1P6/P3BPPP/5K2 w - -,f1e1
r4rk1/pp4b1/1qp1N1p1/4pb2/2B5/8/PPP2PP1/R2QK2R b KQ -,b6b4
2kr3r/1pq2pb1/p2pp1p1/7p/4QP2/1B4P1/PPP3PR/2K4R b - -,d6d5
r5k1/pp2r1p1/2pn1p2/3p1qp1/P2P2P1/1P1QPP2/5NP1/4RRK1 b - -,f5d7
r1b1k2r/pp3ppp/2n2n2/2b5/8/1qN1PN2/PP3PPP/R1B1KB1R w KQkq -,a2b3
2q5/8/8/6R1/3kPR1P/6P1/5P1K/8 w - -,g5d5
6r1/pp2k3/4b3/3pN1p1/3P1pP1/P6q/1P2QP1P/4R1K1 b - -,e7d8
r4rk1/pp2bppp/2n5/2Pq4/Q2pN1b1/6P1/PP1NPPBP/R4RK1 b - -,d5h5
1r3rk1/1p2ppbp/1qbp2p1/2n5/1pPNP2P/1P4P1/PB1Q1PB1/R3R1K1 b - h3,c5e6
4r1k1/6b1/3p2pp/1N3p2/P2p1P2/8/4PPKP/1R6 w - -,g2f3
r1r3k1/pp1qp1bp/1n2N1p1/8/2bP4/BB6/P4PPP/2RQR1K1 b - -,g7f6
8/1q3pkp/1rp1p1p1/p2rb3/P1RPQ3/6P1/1PR2P1P/6K1 w - -,d4e5
8/p7/r3k3/1p5p/3PP3/7P/P1R2KP1/8 b - -,a6a3
1qr2rk1/4ppbp/bp4p1/p1n1p3/P1PN1P2/1P2BB2/3R2PP/1R1Q2K1 w - -,d4c6
1r2r1q1/p1kb4/1p1p1p2/n1pPpPp1/2P1R1Pp/2PB1P1P/P1QB3K/R7 b - -,g8g7
rr4k1/4ppbp/3p2p1/q1pP4/4P3/P1N3PP/1P1Q1PK1/1RR5 b - -,b8b3
rnbqk2r/pppnbppp/4p3/3pP1B1/8/2NP4/PPP2PPP/R2QKBNR w KQkq -,g5e7
6k1/p2p1p1p/1p4p1/2bP4/2K2P2/2P3P1/P1qBR1BP/8 b - -,c2a4
8/p1pp2k1/2p5/3rr1Pp/R7/1P4P1/PK1R1P2/8 w - -,d2d5
2r5/3n2p1/4k3/2B1Pp2/2RP4/5K2/8/8 w - -,c4c3
r1b1k2r/3ppp2/p4n1p/qPp3p1/8/2P1P3/P2Q1PPP/2R1KBNR w Kkq -,b5a6
8/2p1qkp1/3p1p1p/8/3P2QP/5RK1/6P1/4r3 w - -,g4h5
8/2k4p/1R3p2/6q1/3BP3/3K2PP/p4P2/8 w - -,b6f6
r4rk1/pp1n1pp1/4p1bp/1NP5/Pbp1P2B/5P2/1P4PP/R2K1B1R w - -,f1c4
5bk1/pb1q1ppp/8/2p5/1n2B3/1PB3P1/P3QP1P/4N1K1 w - -,e4b7
r1r4k/pp4p1/1b5p/3B4/1P6/2P5/P2K1n1P/R1B1R3 b - -,c8d8
1B6/7p/5np1/3kpp2/7P/4K1P1/5P2/8 b - -,f6g4
5r2/pp1rN1k1/3p4/2p1n3/4P3/P6P/1PP2PP1/3RR1K1 w - -,e7f5
1rbqr2k/5np1/3p3p/2PPp3/5P2/3QBP2/6BP/3RR1K1 w - -,c5c6
4n3/p2r1k2/1pp5/5Ppp/2P5/1Pq4P/P3Q1NK/8 w - -,e2e6
r3kb1r/ppq2pp1/2n1pn2/3pN2p/3P2b1/1P6/PBPNBPPP/R2Q1RK1 b kq -,f8d6
2b2rk1/r1q2pbp/pN1p1pp1/P1pPn3/1p2P3/3B4/1PPN1PPP/R2Q1RK1 w - -,d2c4
5rk1/5pp1/4p2p/8/Q2b1q2/8/PP3PP1/5RK1 w - -,b2b4
2rq1rk1/pb1nb1p1/1pn1p2p/2pp1p2/Q2P4/2P1PNB1/PP1N1PPP/1BR2RK1 b - -,e7f6
r3k2r/pp1n1pp1/2p1p1p1/q3P3/P1BPQ1P1/7P/1P1b1PK1/R1BR4 b kq -,d2c1
3k4/pp4pp/5p2/3p4/R4b2/3PrPN1/1P4PP/2K4R b - -,e3e4
2brk2r/2q2pp1/1bp5/1p1PpP1p/1P4n1/3P2PP/2PB2B1/R3QRNK b k -,c6d5
3rq1k1/1bp2pp1/p3r2p/2Bnp3/1P6/P1PP1N1P/4QPP1/R3R1K1 w - -,e2c2
1r1q2k1/1r2bppp/4p3/8/3P4/3nP3/4QPPP/R1B2RK1 w - -,e2d3
3r2k1/6p1/2p1Pp1p/1pBn1P2/r7/2P2R1P/6P1/4R2K w - -,f3d3
3r2k1/1bqnr1bp/pppN1ppn/4p3/PP2P3/B1P2N1P/2BQ1PP1/R3R1K1 w - -,c2b3
3r4/r5p1/pp6/6k1/2P1R3/7Q/Pq3PPP/4R1K1 b - -,a7f7
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/P1B1P3/2NP4/1PP2PPP/R1BQK1NR b KQkq -,g8f6:g8e7
N5k1/3bb1pp/p3p3/2Nn1p2/3P4/P3P1P1/1r3PBP/5RK1 b - -,e7c5
r1bqr1k1/1ppn1pb1/3p3p/p2Pp1pn/2P1P3/2N2NB1/PP2BPPP/R2QR1K1 w - -,f3d2
3r4/pp4pk/7R/2P4n/3p1r2/3K1NP1/PP6/6R1 b - -,g7h6
8/1p6/2p1p1P1/8/p2n4/3B2K1/1k3P2/8 b - -,a4a3
2r3k1/1b3p2/1p2r1pq/p1ppP3/3P2n1/1P1B1NP1/P2Q1PK1/2R1R3 w - -,d2h6
rnb2rk1/ppp1p1bp/1q1p1np1/8/3P4/2N2NP1/PP1B1P1P/R2QRBK1 b - -,c8g4
8/5pk1/6p1/2R1N2p/p4N1P/2P2P2/Pn4PK/3r1n2 w - -,h2h3
r1bqrbk1/ppp2pp1/5n1p/2Ppn3/Q7/P1N1PN2/1P1BBPPP/3RK2R w K -,f3e5
8/6r1/5p2/2p1k1b1/2p1P2p/2P4R/1P2RPK1/8 b - -,g5c1
r2nrk2/2R3p1/1R2p2p/p1PpPp2/P2N4/2P2P2/6PP/6K1 w - -,d4b5
r1b1k2r/pp2ppbp/2n3p1/6B1/3P4/8/P2NPPPP/2R1KB1R w Kkq -,e2e3
r1bq1rk1/3nbppp/p1p1p3/2ppP3/2P5/3P1N1P/PP3PP1/RNBQR1K1 b - -,d7b6
1rr3k1/1q2pp1p/3p1bp1/1p1P4/p7/P1PQR3/1PB2PPP/4R1K1 w - -,f2f4
4r1k1/4P1p1/6P1/R6p/2p5/2P5/1Kp5/8 w - -,a5d5
3q1rk1/1b6/1p2p2p/p2pPnn1/P7/BP1B1p1P/2P2QP1/3R1NK1 b - -,f3g2
2qrr1k1/3b1pbp/3p2p1/p1nP4/1p1N1P2/6PP/PP3BB1/1Q1R1RK1 w - -,g1h2
r5k1/ppqbnrpp/2n1p3/3pPp2/3P3P/P2B2Q1/2PBNPP1/R4RK1 b - -,a8f8
r3R1k1/p4ppp/2pq4/3p4/N5B1/1P1Q2Pb/PB3P1P/2b3K1 b - -,a8e8
r1q1k2r/pp1nbpp1/2p2n2/2P1p2p/4P3/1PN1B1P1/P3NPKP/R2Q1R2 w kq -,b3b4
r3k2r/p2bqppp/1p1pp3/6P1/1n1PQ3/3BP3/PPP1NP1P/R3K2R b KQkq -,a8c8
b3r1k1/5ppp/np1rp3/p1pp4/2PP2N1/P1P3P1/1R2PPBP/R5K1 w - -,c4d5
8/8/6kP/6P1/3K4/1pP5/8/8 w - -,d4d3
2rqnrk1/1b2b1pp/4pp2/p1p5/PpNnPP2/3PBNP1/1PQ3BP/R4RK1 w - -,e3d4
b2r1Bk1/3P1p1p/p3pp2/5q2/3Q4/5P2/4B1PP/2R3K1 b - -,g8f8
8/8/1p4k1/p5p1/2P2bK1/4p3/PP6/4R3 w - -,e1d1
2r2b2/5k1p/1n3p2/pB6/P1pPbN2/2P1B1P1/7P/R5K1 w - -,d4d5
6k1/5p2/p6p/3p1N2/4r3/4RK2/8/8 w - -,e3d3
1q4k1/5p2/2p1bQp1/7p/7P/1P2N1P1/3rPP2/R5K1 w - h6,f6c3
8/p1p3k1/2Bp4/1P5p/2PbK3/8/7P/8 b - -,d4g1
8/8/5pk1/7r/6p1/4B1P1/r4PK1/4R3 w - -,e1h1
5k2/5n2/p7/3B1b2/P1p3r1/1pB1K3/8/5R2 b - -,f5g6
8/1p6/2p5/p1p1k3/2R5/P4KP1/1PPr4/8 b - -,e5d5
8/7R/4kp2/8/4PK2/1r3P2/8/8 b - -,b3b5
6k1/3b3p/r3p1pP/1n1pPpN1/pBpP1P2/2P5/1KP3P1/R7 w - -,b2a2
3q1bk1/5p2/pp1p1Pn1/1p1P1Q1p/8/PP5B/2P4P/4R1K1 w - -,g1h1
6k1/2r2pp1/N2p3p/4p1n1/2r5/P4PP1/3R2K1/2R5 w - -,a6c7
8/1r2bpkp/1p2b1p1/1P2p3/2P1P3/4B3/4B1PP/R5K1 w - -,a1a6
r2qnrk1/1p1n2b1/p2p2P1/2pPp1p1/P1P1P3/2N1B1Q1/1P2B3/R4RK1 b - -,g7h6
r4nk1/1p3pp1/2pRp2p/4P2P/p1P2P2/P5PB/1P3K2/8 b - -,a8a6
1r5r/1q1kb2p/2ppn1p1/p3p1P1/2Q1P2P/PPN1B3/2P5/2KR1R2 b - -,h8f8
2r5/2r1k2p/Rp1pp1p1/1Pn5/2p1PP2/2R3P1/P3K1BP/8 w - -,a6a3
rn1q1rk1/pbppb1pp/1p2p3/5p2/2PP4/2PQ1NP1/P3PPBP/R1B2RK1 w - f6,d4d5
r1b1k2r/1p1pbppp/pqn1pn2/8/4P3/1NN3P1/PPP2PBP/R1BQ1RK1 b kq e3,e8g8
2kr1br1/pp3p2/2p3pp/q2P3n/PnB5/2N1BP2/1P2QP1P/3R1R1K b - -,f8d6
1rr5/p1p1kp2/2R3p1/4P2p/5P2/6K1/1P1R2PP/8 b - -,b8b4
8/5r1k/1pQ4p/p2p1p2/5q2/P6P/5PP1/3R2K1 w - -,c6b6
2q3k1/4bp1p/P3p1p1/1Q1p4/5P2/5N2/6PP/6K1 b - -,e7c5
8/7p/3n2k1/2p2p2/R6P/8/4r1B1/6K1 b - -,g6f6
r1br2k1/p4ppp/3Qpq2/3pn3/8/2N3P1/PP2BP1P/R1B2RK1 w - -,d6b4
6k1/B6p/2b5/7p/8/7P/6PK/4b3 b - -,h5h4
5rk1/3R1p2/6pp/P4n2/1P2RQ2/1q3N1P/1r4P1/6K1 b - -,b3a4
q1r3k1/pb1rb1pp/1pn1p3/1Bpp1p2/3P1B2/1QP1PN1P/PP3PP1/2RR2K1 w - -,f3e5
8/6p1/1p3pk1/4p1n1/PP2q3/6Q1/3N3K/8 b - -,e4b4
5rk1/1p2bppp/p3p3/2NpP3/1P1P2P1/P3nN2/6KP/R7 w - -,g2f2
3r1rk1/2n1b1p1/bp2p1qp/p1ppP3/PP3P1P/2P1BQP1/3N2BK/R1R5 b - b3,a5b4
6r1/2k3P1/2p5/4P3/4K3/2R5/2p5/8 w - -,c3c2
r1b1r1k1/1p1n1pbp/2pp2p1/q1n5/p1PNPP2/2N2QPP/PP3B2/3RRBK1 w - -,d4c2
r2q1rk1/4pp1p/1p1pb1p1/2nN4/p1PbP3/5P2/PPRQB1PP/5RK1 w - -,d2d4
8/pp3p2/4kp1p/2P5/3P2P1/1P3bKP/P4P2/8 b - -,f3e4
r1bq1rk1/1p3pp1/2n1p2p/p7/2Pp1bP1/PP1P1NN1/5PBP/R2QR1K1 w - -,g3h5
r4rk1/1p1q2bp/2p5/2P1pPp1/4Q1P1/P1N4p/5P1K/R3R3 b - -,h7h5
8/5Q2/4p3/p1Pqp1k1/3r1p2/PP6/6P1/4R2K w - -,f7g7:c5c6
r2qnrk1/1p1b1pbp/3p2p1/p1nPp1PP/4P3/2N1BB2/PP2NP2/R2QK2R b KQ -,b7b5
8/7r/7P/p1p1kp2/7R/1P3K2/P7/8 w - a6,a2a4
4k3/4Np2/p7/3pQ1P1/4PB1p/7K/q7/8 b - -,a2a3
8/ppp3k1/8/8/6r1/2K5/P1P3P1/8 w - -,a2a3
r1bqk2r/pp1nbpp1/2pp1n1p/4p3/3PP1P1/1BN2N1P/PPP2P2/R1BQK2R b KQkq -,b7b5
8/8/6p1/8/7k/8/6K1/8 b - -,h4g4
3n1R2/1pk4p/1Np3p1/2P5/1P6/P3r1K1/7P/8 w - -,f8f3
8/2k3p1/P5K1/6p1/5PP1/4b3/4B3/8 b - -,e3f4
rn1q1rk1/pbp2ppp/1p2pn2/3pN3/2PP4/2N3P1/PP1QPPBP/R3K2R b KQ -,b8d7
r1nq1rk1/1ppbb1pp/4p3/3pNp2/pPPPn3/P5P1/1B1NPPBP/R2Q1RK1 b - -,c8d6
1n4b1/p7/1k2p3/1p2P3/3KP1P1/P4N2/2B5/8 b - -,b8c6
rqbr2k1/pp2bppp/3pp1n1/4P3/N2P4/BP4P1/P3QPBP/2RR2K1 w - -,h2h4
r1r5/5p2/p3pk2/1p1p2p1/P2P3p/R1PK3P/1P3PP1/4R3 w - -,a4b5
1r1r4/p4ppp/2R5/1B2p1k1/P2Pq1n1/1R4P1/5P1P/2Q3K1 b - -,g5h5
k1r4r/1b1p4/p1q1p1p1/1p4N1/2n1PP1p/bBP5/P1RBQ1PP/4R2K w - -,h2h3
8/8/6p1/1p2kpp1/bP4P1/2p1KB2/8/8 w - -,f3c6
1rb1k2r/p3pp1p/p5p1/2qP4/8/5P2/PPP3PP/R1Q1K1NR b KQk -,c5d5
4nk2/pp3p2/4p3/2q1P1p1/2p2Q2/P1P3P1/2r2PBP/3R2K1 w - g6,f4d4
r2q1rk1/ppb1n1pp/2n1bp2/2p1p3/P1NpPP1N/1P1P2P1/2P3BP/R1BQ1RK1 b - -,a7a6
3r1rk1/8/1pppq2p/5pp1/2P1Pp2/3Q2P1/PP4P1/4RR1K w - -,g3f4
1r1qk2r/1p1bppb1/p2p1np1/2p1n2p/P1P1P2P/2NPBPP1/1P1QN1B1/R3K2R w KQk -,e1g1
4r1k1/3n1pbp/3p2p1/1p1P4/1Pp2P2/q1P2Q1P/6PK/1B1RB3 w - -,h2h1
8/7p/8/2kp2p1/4p2P/4K1P1/8/8 b - -,g5h4
r4k1r/3q1pp1/2Q3n1/3p4/3N2bp/4BN2/PP3PPP/R4RK1 b - -,d7c6
r2r2k1/pp3pp1/4bb1p/3p4/3B4/2P2N1P/PP3PP1/3R1RK1 b - -,f6e7
8/8/p4k2/3n1p2/5Ppp/1N4P1/PP2K2P/8 w - -,b3c5
2r5/2r1kpp1/4p2p/4P3/1ppR1P2/6P1/1P1KP2P/R7 w - -,a1a4
5n2/6pk/3P4/pQ2P1bq/4p3/6P1/PP3B1P/3R2K1 w - -,d1e1
