8/4kp1p/p5p1/3Pp3/bP4P1/7P/4BPK1/8 w - -,e2a6
6r1/1p3k2/p1p2p2/2Pp1n2/3P2PP/PP1K1p2/8/5BR1 b - -,f5h4
3r4/4kppp/pp1pp3/2r3P1/2P1PP1P/1P6/PK1R4/3R4 w - -,a2a3
1rbqk2r/pp2ppb1/3p1np1/2p3Pp/2P5/1PN1PQ1P/PB1P1PB1/R3K2R b KQk -,f6d7
r2r2k1/3b2p1/Bp1qnp2/3p2p1/PR1P2N1/6P1/3Q1P1P/2R3K1 w - -,a6b5
6k1/5p2/3p3p/p2P2p1/1pB5/2b1P1P1/P2r1P1P/1R3K2 b - -,a5a4
r4rk1/p1q1bppp/1p2p3/2p1N1P1/2BPb2P/4P3/PPP1Q3/1K1R2R1 b - h3,e7d6
r4rk1/1pn2ppp/2pb4/1q3p2/pP1P4/P3P1P1/2Q1NPBP/R4RK1 b - -,c7d5
8/1k6/8/2K5/P1N3r1/1P6/8/8 b - -,g4g5
8/8/5pp1/3N1k1p/7P/6PK/2n5/8 b - -,f5e6
rn1qk2r/p3npp1/1ppbp2p/3pNb2/P2P4/1QP2NP1/1P2PP1P/R1B1KB1R b KQkq -,f5e4
1k5r/1p2r1p1/1bpp4/1p2n1Pb/4PR1P/6PB/PPPN2K1/5R2 b - -,b6e3
r7/1p3p1k/1P2p1pp/3pP3/4P3/7P/1R4P1/r3BK2 w - -,e4d5
8/4kn2/5p2/2N1p1pp/8/6PP/5PK1/8 b - -,f7d6
8/7p/3k2p1/R4p2/p3r2P/6P1/5K2/8 b - -,d6c6
1k1r3r/1p1qn1pp/pb3p2/1nN1pP2/1P2P3/3P1N2/3BQ1PP/1R3RK1 w - -,d3d4
6k1/1p3p2/p1p4p/4q1p1/1b2P1Q1/1P4NP/1P3PP1/3r2K1 w - -,g4d1
5r2/2P5/3K4/8/6bk/7p/2R5/8 w - -,d6e5
8/p2K4/6r1/1R6/2pPk3/P1P5/1P6/8 b - -,e4d3
4r3/1kp2p2/1p2rqpp/pP1p4/3P3n/1QP2PN1/1P4PP/1K1R2R1 b - -,f6d8
8/8/6p1/3p2Pp/3Pp2P/1k2P3/3K4/8 b - -,b3b2
8/pp1b3p/3k1pp1/2rP4/2PK4/P7/4B1PP/5R2 b - -,f6f5
8/6k1/R6p/p5p1/1b4P1/1P3K2/8/8 b - -,b4c3
4r3/1p3pk1/2b1r1pp/p1Pp4/P4R1P/1P1RPNP1/5K2/8 w - -,f2e2:f3d4
r1b1r1k1/1pp2pp1/3p1n1p/p3nP1q/NbPN4/P3P1P1/1PQ3BP/R1B2RK1 b - -,b4c5
3N1nk1/p7/1p4p1/3Pp3/4P1n1/2Q2pq1/PPBK4/8 w - -,c2d3
2rr2k1/7p/1q4p1/1p2p3/3n1p2/3R3P/PB3PP1/3RQ1K1 b - -,b6f6
3q1nk1/1p1r1pp1/p1p1r2p/PnP1pN2/1P2P3/5NP1/3RRPKP/1Q6 w - -,d2d7
7r/p7/1p4k1/2pp2p1/6P1/P1Pb2KP/1P1B1R2/8 b - -,a7a5
8/2p1kpp1/p7/3n3p/2N1K3/7P/PP3PP1/8 b - -,e7e6
8/1q2pk2/3p1n1p/2pP1P1P/2P2P2/4R3/6QK/8 b - -,f7f8
4n3/p1r5/8/2pRpk2/2P5/1P3K2/P4N2/8 b - -,e8f6
5bk1/5p2/2r5/2P1pq2/1B2P1p1/P1R3P1/5P2/6K1 w - -,e4f5
r1b1n1k1/1p2rppp/pq2p3/4Q1PP/3N1P2/2R2B2/PPP5/1K1R4 b - -,f7f6
1r2k2r/5ppp/pBn1pn2/8/PbBP4/1pN1P3/1PbN1PPP/2R1K1R1 w k -,a4a5
1kr5/1p2n3/p1b1pN2/3pP3/7p/P2BQ2P/2R2PPK/q7 w - -,d3h7
6k1/Rp3p2/6p1/8/1r6/1P3R1P/6P1/4r2K w - -,h1h2
r3k2r/1p1b1ppp/pq2p3/2npP3/5P2/2NBP3/PP2Q1PP/R4RK1 w kq -,a1c1
1r4k1/p4p1p/2n3pP/1Bq1p3/6P1/1PPQ1P2/2P5/1K1R4 w - -,b5c6
rnbq1rk1/pp2bppp/5n2/2Pp4/2P5/3B1N2/PP3PPP/RNBQ1RK1 b - c3,e7c5
2kr3r/1p6/pq3p2/2p1p3/4Pp1p/2PP1Q2/1P3PPP/3R1R1K w - -,d1d2
rnbqkb1r/p3pppp/3p1n2/2pP4/1pP1PP2/8/PPQ3PP/RNB1KBNR b KQkq f3,g7g6:d8c7
2r3k1/p7/4r3/3p2PQ/2q2B2/4P3/3R1PK1/8 w - -,d2d4
8/p5b1/1p6/1P1B3P/P1p5/1k6/8/3K4 w - -,d5e6
r4rk1/2pb2p1/pp3b2/3Pp2P/2P2pq1/2PN2n1/PQ1BP1BP/R3R2K w - -,h2g3
r2qk2r/pp2npb1/2n1p1p1/3pP2p/3P2B1/2N5/PP3PPP/R1BQ1RK1 w kq h6,g4h3
r4rk1/1pp3p1/p2bpq1p/4p3/4P3/2N2P2/PPPQ2PP/1K1R3R b - -,b7b5
8/3K4/4p3/2P2p1p/2PPpP2/4P3/3B1bk1/8 b - -,h5h4
5k1r/r3b3/3p1pP1/2q1p3/ppB1Q3/8/PPP4P/1K1R3R w - -,g6g7
r2q1rk1/p3nppp/bp2p3/3n4/2NP4/5B2/PP2NPPP/2RQ1RK1 b - -,a8c8
4r1k1/3q1ppp/1p6/p1p1n3/P1PpBPb1/1P1P2P1/2QB3P/4R1K1 b - f3,e5g6
r4r2/p1pb1p1p/1p1p1kp1/3P4/2P2P2/PP1BR1P1/3P1K1P/4R3 b - -,a7a5
4r1k1/1bqrbp1p/p2p1np1/1p2pP2/3BP3/P1NB2Q1/1PP1R1PP/5R1K w - -,d4e3
4k3/7p/2pPn1p1/1p2P3/1P4KP/4B3/8/8 b - -,h7h5
1r1r2k1/1bq1bpp1/pp1p1n2/4P1Bp/P3P3/1NN4P/1PP1Q1P1/4RRK1 b - -,d6e5
r3k2r/pp1nnppp/1b2p3/3pP3/PP6/2P1BN2/4KPPP/RN5R w kq -,e3d4
8/p4pkp/4pnp1/1p6/5N2/2q3P1/P4P1P/3Q2K1 w - b6,g1g2
8/8/1p2pp1p/pPp1kp2/2B4P/4K1P1/P4P2/8 w - -,f2f3
5k2/2p5/2bpn1pp/p1p1n3/2P1N1P1/P1NP3P/1P4B1/7K w - -,e4d2
8/1R4pk/1R5p/8/r5rP/6PK/8/8 w - -,b7b8
4kb1r/p2n3p/r3p1p1/3p1p2/N2Pn2B/1P2PN2/P4PPP/R3K2R b KQk -,a6c6
5k2/1R6/8/5PK1/1P6/8/8/7r b - -,h1h2
7R/4pk2/5pp1/7p/4PP2/6P1/4P1K1/r7 b - -,f7g7
5rk1/p3bppp/4p3/8/P1q5/2Pr1PP1/3BQ1KP/RR6 w - -,d2e1
5rk1/2R2bp1/R4p2/4p2p/7P/4P1n1/5KP1/8 b - -,g3f5
7k/6pp/N1p5/1p2p3/4P3/8/PPb3PP/6K1 w - -,a6c5
4rr2/pp4kb/5p2/3n1Pp1/3P2P1/7Q/P2R3P/6K1 b - -,e8e3
8/4k2p/8/p2PP1pP/2Bn1pP1/2b5/5BK1/8 w - -,h5h6
1r3rk1/pb2qppp/4pb2/1p6/2pPB3/2P1QN2/PP1R1PPP/4R1K1 w - -,d4d5
8/3R2pk/2B2bpp/4P3/5rP1/2n2P2/3R2K1/8 b - -,f6e5
1k5r/pp3b2/2p1PP2/8/1P1p1b1P/P7/5K2/4R3 w - -,e6f7
r1b1kb1r/1pqnpp1p/p2p1np1/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R w KQkq -,g2g4
r1bq1rk1/1p2bppp/n2p1n2/p1pPp3/P1P1P3/1P6/3NBPPP/R1BQNRK1 w - -,c1b2
2k2r2/2rp1p1p/pp2q1p1/4Q3/1PPR4/4P1P1/P4P1P/3R2K1 w - -,e5g7
8/6kp/5p1b/pbNP4/6p1/1P1N2P1/P3K2P/8 b - -,g7f8
r2q1rk1/1p1b2p1/4pb1p/p3Bp2/2P1p3/P1Q1P3/1P3P1P/2KR1BR1 b - -,f6e5
8/3k3p/3b4/1p4P1/5r2/2p2P1P/P1R2K2/8 b - -,b5b4
r4rk1/1ppbqppp/1p1p1nn1/1B2p3/3PP3/2P2N1P/PP3PP1/R1BQR1K1 w - -,d4e5
r1r1n1k1/p3qp1p/1p1pn3/2p2PP1/2P2P2/1PQ2b2/P4B1P/3RR2K w - -,c3f3
r3r1k1/pb1n1qbp/1pp1n1p1/4pp2/QPP1P3/P1N1BNPP/5PB1/3RR1K1 w - -,e4f5
3qr1k1/1pp2p1p/rn4p1/p7/2b1PP2/2P1B1P1/PQ4BP/3RR1K1 b - -,d8e7
8/5p2/3p2p1/2kP3p/2p1KP2/rrP1R1P1/2R4P/8 w - -,f4f5
3rr1k1/1p1nqpbp/p1p1pnp1/3p4/2PP4/1PNBP2P/PB3PP1/2RRQ1K1 b - -,f6h5
r6k/p6q/3p3r/2p1pR1N/1p4P1/1P1P3P/1PP2Q1K/8 b - -,a8g8
8/1Rp2k2/5p1p/p7/8/P3n1qP/1P4B1/6RK b - -,f7e7
r2qk2r/1b1p1pbp/ppn1p1pn/2p5/P1B1PPP1/2NP1N1P/1PP5/R1BQ1RK1 b kq g3,h6g8
8/8/5k2/1K6/1P6/8/1r6/4R3 b - -,b2b3
8/b1p2k1p/p4r2/5N2/2p1Pp2/1PP5/PB2RPPK/3r4 w - -,h2h3
2rr2k1/pp3pp1/1bn1q2p/4p3/6b1/PQB1P1P1/1P1N1PBP/2R1R1K1 b - -,e6g6
1k1r3r/p1q3b1/1p1p4/2pb3p/1P2P3/P1P2Q2/5RBP/4R1K1 w - -,e4d5
6k1/1p4p1/1P2p2p/4P3/1Qp5/3q4/6PP/5K2 w - -,f1f2
5rk1/6p1/4pqn1/p2p4/Pb1P3p/5N1P/4QPPB/2R3K1 b - -,f6f5
5k2/3R4/6pb/3N2r1/2p5/3n3P/P1B4K/8 b - -,g5f5
rnb1kb1r/pp2pppp/3p1n2/q1pP4/2P1P3/8/PPQN1PPP/R1B1KBNR w KQkq -,f1d3
r2q1rk1/ppp1npbp/3p1np1/3Pp3/4P1b1/2P2NPP/PP1N1PB1/R1BQ1RK1 b - -,g4d7
r2k1b1r/pp1n4/2p1bp1p/4p1pP/2P1P1P1/2N1BP2/PP1N3R/2KR4 w - -,b2b3
5R2/8/6kp/8/7p/4KP2/r5P1/8 w - -,f8g8
5R2/r4p1k/P4n1p/6p1/4pN2/4P2P/5PPK/8 w - g6,f4e6
r2qkb1r/1b3ppp/p1n1pn2/1pp5/3P4/2NBPN2/PP2QPPP/R1B2RK1 b kq -,c5d4
2n5/6bp/k3p1p1/PN1p4/B7/2PK4/5PPP/8 w - -,b5c7
4R3/8/8/8/3p4/4rk2/3K4/8 w - -,e8f8
8/3R3p/1p6/k1p5/p1P5/K7/3N1rPP/8 b - -,b6b5
2r3k1/2r4p/5np1/p3p3/2p5/1PNRP1P1/P6P/2R3K1 w - -,b3c4
3r2k1/p5pp/5p2/3rp3/1nN5/1PR3P1/P3RPKP/8 b - -,d5d3
N4bnr/pp1k1p1p/2n1pq2/3p2p1/8/3B1QBP/PPP2PP1/R3K2R b KQ -,f6f3
4r1k1/p1n1P2p/1b6/3p1B2/Q2q1p2/P4R2/4K3/8 b - -,d4e5
1qrr3k/pp4pp/6b1/2P5/3RPp2/P1Q5/6BP/1R5K b - -,d8d4
7k/1r4p1/p2r3p/2pPpP2/1pPn2bq/1P2Q2N/P5RK/6R1 w - -,g2g4
r1bqk1nr/ppp2ppp/2p5/2b5/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,d1d8
r1b2rk1/1pp1qp1n/n2p2pb/p2Pp2p/2P1P3/2N2P2/PP2BBPP/R2QRNK1 b - -,h5h4
5k2/6n1/pr5p/8/4BP2/1P3K2/P3R2P/8 b - -,f8f7
2rq1rk1/1p1bppbp/3p1np1/p1nP4/2PN4/1PN1BB1P/P2Q1PP1/2R1R1K1 b - -,f8e8
3R4/p1p4p/4k3/2p2p2/5B1K/2P2P2/r5rP/8 w - -,d8e8
r3kn2/p5b1/qpp1p1P1/3pn3/3P1B2/1QP2N2/PP6/2K3R1 w q -,f3e5
r4r2/pppqn1bk/3pn1pp/1P2pp2/P1P5/BQNP2Pb/3NPP1P/1R2R1KB b - -,a8b8
8/3Kr3/8/1R6/1p4p1/5kP1/8/8 w - -,d7e7
8/6k1/p4pp1/1P2n3/1P2P3/1r5P/6P1/R4K2 b - -,a6b5
8/2p1k2p/p2r2p1/1pp1p1P1/4P2P/1PPPK3/1P6/7R b - -,e7f7
8/pR6/4B2k/1P2n2p/1bp1P3/5p2/P3K3/8 w - -,e2d1
3r1rk1/pp3pp1/2n2n1p/5q2/2PppQ2/PP4P1/1B2PPKP/R3RN2 b - -,f5f4
2r1rbk1/1b1n1ppp/p2pp3/qp4P1/4PP2/P1N1B3/1PP2QBP/3R1R1K w - -,f4f5
5k2/p2n1p2/4p3/2q1P3/1p4pp/4R3/P4PPP/1B2R1K1 w - -,g1f1
4r1k1/6b1/3p1qp1/p2P3p/1pN3Q1/8/PPP4P/1K1R4 w - -,g4g2
2r2rk1/pp2bpp1/4p2p/q2nP3/4Q3/1P6/PB1N1PPP/R2R2K1 b - -,f8d8
r7/8/6p1/PR6/2p3pP/2P1k3/1P4K1/8 w - -,g2g3
3r1k2/2b2b2/2p2pp1/2n1p2p/qPNpP2P/3Q1PP1/2N5/BRK5 w - -,b4c5
1r6/q4ppk/P2Qp2p/BbppP3/8/R6P/5PPK/8 b - -,b5a6
r1b1kb1r/3n1ppp/pqn1p3/1pPpP3/5P2/P1N1BN2/RPPQ2PP/4KB1R b Kkq -,f8c5
3r2rk/pp1b1q1p/2p2n2/2P2p2/3NpPnQ/1PN3PP/P7/3RRBK1 b - -,f6d5
r1bqk1nr/pp3pbp/N2pp1p1/4P3/2Pp4/5N2/PP1B1PPP/R2QKB1R b KQkq -,b7a6
4r1k1/5p2/7p/1b4p1/2n5/3q4/P4PPP/1BRR2K1 w - -,b1d3
1b3r2/1r3pkp/2Rp1qp1/7P/3PPpQ1/2PB4/5P2/5RK1 w - -,f1a1
r2qk1nr/1bpnppbp/p2p2p1/1p2P3/3P1P2/2NB1N2/PPP1Q1PP/R1B1K2R b KQkq -,g8h6
4r3/pbqp1Npk/2n1Pr2/7Q/5P2/1N2b3/PPP3P1/R4R1K b - -,f6h6
r3n3/1q1b2kp/1p1p2p1/3Pp3/1P2P3/2R2PP1/5B2/2Q2BK1 w - -,f3f4
3r1rk1/pp2qppp/2p2n2/3Pn3/2P2B2/4P2P/P4PP1/2RQKB1R w K -,d1d4
r1bq1rk1/1pn2pp1/1bpp1n1p/p3p3/1PPP4/P1N1P1PP/4NPB1/R1BQ1RK1 w - -,a1b1
rnbq1k1r/ppp2pp1/4p2p/3pP3/3Pn1Q1/2P5/P1PB1PPP/R3KBNR w KQ -,f1d3:h2h4:d2e3:g4f4
r1bqr1k1/pp3ppp/2n1pn2/8/2Np4/5NP1/PP2PPBP/R1QR2K1 w - -,f3e5
