5R2/3PK1r1/8/7k/6p1/8/8/8 w - -,e7f6
3r4/8/p1R5/4p3/1P2k1p1/8/r4P2/5KR1 b - -,d8d1
rn1q1rk1/2p2ppp/8/p1PPp3/4P1b1/P3BNb1/1PQK2P1/R4B1R b - -,b8c6
rn1qkb1r/pbpppp1p/1p3np1/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq -,f1g2
r2r4/1pR2np1/p4Pk1/4pNp1/P3P3/1N1Pp3/1P2K3/8 w - -,f6g7
8/pp5p/1qk3p1/3p4/1P3Q2/P5PP/6K1/8 w - -,a3a4
r1bq1rk1/3n2bp/pP1p2p1/3Ppp1n/4P3/2N2PP1/1PBQ1B1P/R3K1NR b KQ -,d7b6
2r2k2/4b3/4p1B1/Qp3p1P/1N2b3/P1P5/1P3q2/1KR5 w - -,b1a2
8/5B2/8/2n5/kp3B2/8/2K5/8 w - -,f4d6
1r4k1/3qbpp1/bnn1p2p/2ppP2P/4rPP1/1pPP1NB1/1P1Q1NBK/1R2R3 b - -,e4e1
5b2/8/p7/Pk6/1P2R1P1/1K4r1/2N5/8 w - -,c2e3
1n5k/4rpp1/p1p3bp/Rp6/3Pp2P/PB2P3/1P1N1PP1/6K1 w - -,a3a4
8/2Rn1kp1/1p1P1n2/5PKB/2P1p3/4N3/8/1r6 b - -,g7g6
r7/N3np2/PpN2k2/2pP4/2P3P1/1P3K2/8/8 w - -,f3f4
2q3k1/2p1bp2/2n1b2p/1p4p1/1P1p4/2P1PN1P/4BNP1/Q5K1 w - -,e3d4
r1bq1rk1/p4ppp/1pnppn2/2p5/2PP4/P1PBP3/4NPPP/R1BQ1RK1 w - -,e3e4
rn2kbnr/pp3pp1/1qp1p1bp/3pP3/3P1NP1/2N1B3/PPP2P1P/R2QKB1R b KQkq -,g6h7
2q2rk1/1p2n1p1/p3Npnr/3pP2p/5P1P/2PB2Q1/PP3RPK/4R3 b - -,c8e6
5k2/1R6/5p2/p4N1p/4n1PP/8/rP3PK1/8 b - -,a5a4
1r1q1rk1/1bp1npbp/1p1pp1p1/p3P3/3P1Pn1/2PQ1N2/PP1NB1PP/R1B2RK1 w - -,f3h4
2r4k/1p1qb1pp/5pb1/3np3/p3N3/P2PP1P1/2Q1BP1P/2BR2K1 w - -,c2b2
r1bqk1nr/pp3nbp/2pP4/2p1pp2/6P1/2N1BP2/PP1QN2P/2KR1B1R b kq g3,g8f6
R7/8/4pk2/5p2/6p1/6P1/5PK1/1r6 b - -,b1e1
r2qk2r/pp3p2/1bb1p3/1P1pPn1p/P4p2/2P2N2/5PPP/R1BQ1RK1 w kq -,b5c6
r1b2rk1/1pq1bppp/p2ppn2/4nP2/3NP3/P1N1B3/1PP1B1PP/R2Q1RK1 w - -,g2g4
rq1b1rk1/3n2p1/1p1p2p1/p2Ppp2/P1P5/BN6/1P3PPP/R2QR1K1 w - -,b3d2
4brk1/2p3r1/2pp4/p7/4Pp2/1P3Q2/1PP1N3/1K6 b - -,e8d7
r4rk1/pb2bppp/1p2p3/n1p2q2/3P4/1P2P1P1/PB3PBP/R2QNRK1 w - -,g3g4
2r1k2r/p1q2ppp/2pb3n/8/Q2PP3/3B4/PP3PPP/R1B1K2R w KQk -,e4e5
1r2qrk1/ppnbp2p/3p1npb/2pP1p2/2P5/2N2NP1/PP2PPBP/1RQR2K1 w - -,c1h6
r1b1r1k1/1p3pbp/1qpp2p1/2n5/2PNP3/1PBn1PP1/2Q1N1BP/1R3R1K b - -,d3b4
5rk1/6p1/3pp3/4b3/bN2P3/2P5/NPK4P/3R4 w - -,b2b3
7K/8/2k4P/8/8/3R4/8/6r1 b - -,g1h1
8/2p2pk1/4p1p1/7p/2qP3P/4Q1P1/5P2/6K1 b - -,c4d5
rnbqk2r/ppp3bp/1n2pppB/3P4/4P3/2N5/PP1Q1PPP/R3KBNR b KQkq -,e8g8
8/4b3/7k/6NP/5PK1/8/8/8 w - -,g5e4
1r1qnrk1/1p3pbp/p2p2p1/2pPN1P1/P3P3/2N1BP2/1P2Q2P/R4R1K b - -,g7e5
8/p7/2p1k1p1/3b4/3p3p/1P1P3P/P1P2NPK/8 w - -,f2d1
4r1k1/5p1p/2R3P1/qP1P4/P7/5Q1P/3b1B2/5K2 b - -,h7g6
r1b3k1/pp4pp/2nq4/4P3/4p3/5P2/PP2NP1P/R2QR1K1 b - -,d6e5
2r1r1k1/5ppp/p1p5/1pq5/2P2R2/6Q1/PPP2PPP/2KR4 w - -,g3d3
8/8/p1r1bk2/1p2p3/P1P2p2/1P3P2/7N/3RK3 w - b6,a4b5
r4r1k/3bq1pp/2p1p1nb/1pPpPp2/pP1P4/P2BP1PQ/3BNR1P/R5K1 b - -,h8g8
6k1/1p3p1p/3b4/1P1Pn3/B1R4P/6P1/5P2/6K1 b - -,e5c4
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4P3/3P2P1/PPPN1PBP/R1BQK1NR b KQkq -,f8g7
r1bq1rk1/4bpp1/1p1p3p/2pPp1n1/P3P3/2PB3P/3N1PP1/R1BQ1RK1 b - -,c8d7
Q6R/8/6k1/7p/3B3r/6K1/8/8 w - -,a8g8
3N4/p4p1k/1np3pP/8/2Pb2p1/1P6/P2B1r2/2K2R2 w - -,f1f2
2q2rk1/pp2bpp1/1n2p1p1/n2pP3/3P3P/1P2BNP1/P3BP2/3Q1RK1 b - -,a5c6
r1b2rk1/2q1bppp/p2ppn2/1p2n3/3NP3/2N1BP2/PPP1B1PP/3RQRK1 w - b6,a2a3
8/8/7p/4ppkP/6r1/4PK2/7R/8 w - -,h2b2
r3r3/pb2ppkp/1pqp2p1/8/5R2/2P2N2/PPQ2PPP/3R2K1 w - -,c2b3
1kr4r/pp1b1pb1/1q2p3/1Nn4p/2BN1P2/4P3/PPQ3P1/1K1R1R2 w - -,c2e2
r3qrk1/4bppp/1p6/p3p3/npQ5/3PBNP1/1P2PPKP/R4R2 w - -,c4c2
rnbq1rk1/pp2p1bp/2pp2p1/8/3PN3/2P2NP1/PP3PBP/R2Q1RK1 b - -,b8d7
r1b1k2r/1pq2ppp/p2ppn2/2b1n3/N2NP3/3BB2P/PPP2PP1/2RQ1RK1 b kq -,c5a7
3nk2r/1q2b1Rp/2pp2p1/p3p1P1/N1Q1P2P/PP2B3/2P5/2K5 w - -,g7g8
4r3/2n5/p2p1k1n/P1p1b1N1/6p1/8/1P2RBPP/4R1K1 w - -,g5e4
4r3/5ppk/p5b1/1p2P3/n5P1/Q2qBN1P/PP3PK1/5N2 w - -,a3d3
2r2bk1/7p/p1r2pp1/2P5/2R3P1/3RB2P/5P2/6K1 b - -,f8e7
2r1r1k1/1b1q1pp1/p1p1p2p/2R5/P2PB3/2Q1P3/1P3PPP/2R3K1 w - -,e4c6
2b5/1p1rkn1Q/1P4p1/N1RP1p2/4P2P/5Pq1/6B1/6K1 w - -,c5c8
rnb2rk1/pp2qpp1/2p1p2p/3p4/2PP4/4PN2/PP1Q1PPP/2R1KB1R w K -,f1d3
1Rb1k1r1/5p2/p3p3/7p/2q5/4B2P/3Q2P1/6K1 w - -,b8b4
2r3k1/p2Rb1pr/4pnQ1/q1P5/2p2B2/2N1PP1P/PP6/1K4R1 b - -,f6d7
r1bq1rk1/pp1pbppp/2n2n2/2p1p3/4P3/P1N3P1/1PPPNPBP/R1BQ1RK1 b - -,d7d6
rnb1kb1r/ppp1pppp/5n2/3q4/2PP4/8/PP3PPP/RNBQKBNR b KQkq c3,d5d8:d5f5
8/7p/p1Q1p1p1/4p1kn/4P3/1PN1q2P/2P3PK/8 w - -,c6c7
8/pp4k1/2pb2pp/5p2/2PP1p2/3K1PnP/PP1B2P1/4N3 b - -,g7f6
r2q1rk1/pb1nbppp/1p1ppn2/8/3P1B2/2PB1N1P/PP1NQPP1/R4RK1 b - -,f8e8
r1b2rk1/4ppbp/1q1p2p1/3P4/N3P1n1/3p2P1/PPQ2PBP/1RBR2K1 w - -,d1d3
2r4r/1p1bkp2/p1nbp1pp/8/2B2P2/P1P2NB1/1PP3PP/1K1RR3 b - -,d6b8
r1bqk2r/pp3ppp/1nnbp3/2p5/8/1BP2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4
1rbq1rk1/1p1nbppp/2pp1n2/p3p3/P2PP3/2N2NPP/1PP2PB1/R1BQR1K1 b - -,d8c7
6k1/3q1p2/2n5/pp1bPppN/5r2/1PpPN3/P4Q1P/3R2K1 b - -,f4f2
r4rk1/pp3pp1/4b2p/2n5/8/2P2P2/P3BBPP/2R2RK1 b - -,a8c8
1rb3k1/4B2p/2p3pP/3pP3/6PQ/1pP5/2qK3R/8 w - -,d2e3
r2r2k1/ppqnbppp/4pnb1/2p5/2PPN3/1B2BPN1/PP2Q1PP/R2R2K1 w - -,d4d5
r2q1rk1/ppp1n1pp/2n5/3p1b2/2P2B2/2PP1N2/P2QB1PP/R3K2R w KQ -,d3d4
1R6/3k1p2/1p1r4/3bB1P1/p3B3/6P1/1P1b1PK1/8 w - -,e5d6
rn1q1rk1/pbp2ppp/1p3n2/3p2B1/3P4/P1Q2P1N/1P2P1PP/R3KB1R b KQ -,b8d7
8/5pk1/1r2p3/5p2/3K1P2/6P1/1P2R3/8 b - -,g7f6
r2qkb1r/pp2n1pp/3p1n2/2pP1b2/2P1p3/2N5/PPN1PP1P/R1BQKB1R w KQkq -,f1g2
8/5k2/1nNb1ppp/5p2/2pP4/2P2P1P/3BKP2/8 b - -,f5f4
r4rk1/pp1qnp1p/2np2p1/2pNp3/1PP5/P2P1NP1/1R2PP1P/3Q1RK1 b - -,e7d5
6k1/5pp1/4p2p/1p6/r3P3/2B1KP2/b5PP/R7 w - -,e3d2
3k4/7R/2K5/3P4/8/8/3r4/8 w - -,h7h6
8/pp3ppp/4k3/7r/3p1R1P/P2K1P2/1PP2P2/8 b - h3,h5f5
r1b2rk1/pq2ppbp/5np1/1N1n4/1P6/Q3PN2/P3BPPP/R1B2RK1 b - -,c8d7
2r1n1k1/3bbpp1/p1rp3p/4p3/q3P3/B3QPP1/P2RN2P/3R1B1K w - -,a3b2
q5k1/6b1/p2prn1p/Pp2p3/1PpP4/2PbRPNP/6KN/2B1Q3 w - -,h2g4
r1b1k2r/ppp1qppp/2n1pn2/3pN3/2PP4/2N3P1/PP1QPP1P/R3KB1R b KQkq -,d5c4
4r3/1p2r2k/1pbpq1pp/2p5/P1PpPPpP/1P1P2P1/2Q1R3/2B1RK2 b - -,e7f7:e6f7
8/5k2/8/3K1N2/4P3/8/1b6/8 b - -,f7f6
r1b3k1/pp4p1/1b1p3p/3P3q/2p1r2n/5P2/PP1Q2PP/2RKNB1R w - -,g2g4
3rr2k/6p1/p4N2/3P3p/5QpP/2N1Pn2/PP1p1q2/1K1R4 b - -,e8f8
3rr1k1/1p4bp/p1npbpp1/q5Bn/4P3/2N2N1P/PP2BPPQ/2RR2K1 w - -,g5d2
r1b1k2r/p2n1ppp/4p3/qp1pP3/N2Q1P2/2P5/PP4PP/R2BK2R w KQkq -,a4c5
r1bqk1nr/pp1pppb1/6p1/2p4p/3nPP2/2NPB1P1/PPP1NKBP/R2Q3R b kq -,h5h4
r1bq1rk1/1p2ppbp/n1n3p1/p7/P1NpP3/BP1P1NP1/5PBP/R2Q1RK1 w - -,f3e1
8/3k2p1/4p3/5n1p/1PN2P1P/5KP1/8/8 w - -,g3g4
rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P5/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,f8e7
r1b2rk1/2qnbppp/pp1ppn2/8/2PP1N2/P1N1BB2/1P1Q1PPP/R4RK1 b - -,c8b7
r2qk2r/pppb1ppp/2np1n2/8/2PN4/2b3P1/PP2PPBP/R1BQ1RK1 w kq -,b2c3
8/pp2qkpp/5p2/2PQ4/8/P1P4P/6P1/6K1 b - -,f7f8
4rrnk/p1p4p/2ppbpp1/8/4PP2/1P1B3P/P1Pq2P1/1N2RR1K w - -,b1d2
5k2/B3bpp1/4p2p/8/1r6/2r4P/P4PP1/1RR3K1 b - -,b4b1
r2q1rk1/3nbpp1/3pb3/4p1P1/pp2P1n1/1N1BB3/PPPQN2P/1K4RR w - -,b3c1
8/8/8/6p1/3k1pP1/3B4/3K4/8 b - -,d4d5
r3k2r/p3bp2/bnn1p1p1/q1ppP3/3P1PB1/2P1B3/P1QNNR1P/R5K1 b kq -,a5a4
2Q5/5kp1/5p2/q7/3P1P2/P1n2NP1/6K1/8 w - -,c8c5
3r4/5kp1/r3p3/p1pq1p2/PnNB4/RQ1P1PP1/4P2P/1R4K1 b - -,c5d4
3k4/pp4r1/2p5/4R2p/5n1P/1B3P2/PP6/2K5 w - -,c1d2
2r2rk1/2q1ppbp/2bp1np1/pp6/4PP2/P1N1BB1P/1PPQ2P1/3R1RK1 w - -,f1f2
r1bqr1k1/ppb2ppp/5n2/3pn3/NP6/P3P1N1/1B2BPPP/R2Q1RK1 w - -,a1c1
1r4k1/2r1qp1p/p3p1pP/3pP1P1/3P1Q2/P1N5/1P3R2/3B2K1 b - -,c7b7
8/p3p3/1p1pk3/1P3p2/P2R4/2r1B1P1/4K3/8 w - -,d4d3
r2q1r1k/pb1p2p1/1pn2b1p/2p3N1/2B2P2/4B3/PPP3PP/R2Q1RK1 w - -,d1d3
4kbr1/1p1b4/p4p2/R1p1B3/4P1qp/1PQ1N3/2P2PP1/6K1 b - -,g4e4
2r3k1/3n3p/p2p2pb/1p1P1p2/1PP2P2/N4R1P/P3Q1P1/4qBK1 b - -,e1e2
2r2rk1/3nqp1p/2p2bp1/p3p3/Pp2PPQ1/1P2B1NP/1P4P1/3R1RK1 b - -,c8d8
br2nbk1/1r3p2/p2pp1p1/q5P1/2p1PB2/P1N2P2/NPPQ4/KR1R4 w - -,d1h1
r3r1k1/p2b1pbp/2p3p1/2Pp1q1n/1P1B4/2N2PP1/P2QB2P/3RR1K1 w - -,a2a3
r5k1/1p2r1pp/3bp3/pP1q4/2QPp3/B3P1P1/5P1P/R1R3K1 b - -,d6a3
R7/P5k1/8/8/r5P1/7K/8/8 b - -,g7h7
r5k1/7p/rn1p1p1P/2pP2Pp/ppP2P2/1P6/PK4B1/R6R w - -,g2f3
r2q1rk1/pb2bppp/1p6/2Pp1P2/4n3/PP1BPn1Q/1BPN3P/R4RK1 w - -,d2f3
3q3k/1p1rb1n1/r2p1p1n/1NpPp1pP/P1P1P1P1/R3N3/6K1/2BQ1R2 w - -,g2g3
4Q3/6pk/3p3p/2p5/1p1q1r2/1P2R3/2P5/1K6 w - c6,e3e1
6rr/ppnkbnp1/2p1pp2/3pP2p/1P1P3P/1NP2NB1/P2K1PP1/R6R w - -,b3c5
1r1r2k1/4qpp1/1pbp2n1/4p3/1pP1P2p/PB1RQP1P/4N1P1/3R2K1 w - -,a3b4
rnbqkb1r/ppp1p3/3p1n1p/5pp1/3P4/2N1P1B1/PPP2PPP/R2QKBNR b KQkq -,f8g7
2B5/7p/2p2k1R/2P2Np1/5n2/P7/1r3r2/6K1 b - -,f6e5
2rr4/pp2kpp1/2n1pnp1/8/5BP1/2P2P1P/PP2BK2/R2R4 b - -,f6d5
8/8/7p/4K2P/2k5/8/8/8 w - -,e5f6
3q1r1k/1R4b1/3pQnpp/1B1P1p2/1P3P2/2r4P/6P1/R1B3K1 w - -,c1d2
8/3k2pp/2RN2b1/4p3/2P5/4P3/3K2PP/8 b - -,d7c6
r4rk1/4npp1/pb2p2p/1p6/1P6/2N1P3/PB3PPP/R2R2K1 b - -,e7c6
r5k1/p7/1p1pN2p/3P1r1n/5p1b/7P/PP4B1/3R1RK1 w - -,d1c1
8/6p1/5pk1/1R5p/2b4P/5PK1/r5P1/8 w - -,b5b1
r1bqkb1r/pp4pp/2p1pn2/3p4/2PPp3/1P2P3/PBQN1PPP/R3KB1R b KQkq -,f6g4
4rrk1/pbq2pb1/1p4p1/4p2P/2p1P1Q1/P1PnB1N1/1P2RPB1/3R2K1 b - -,b7c8
8/8/5p2/1kpK2p1/2R5/1P3P2/1b6/8 b - -,f6f5
8/4R1pk/1p4rp/p1p2Q2/P7/2q3P1/5PKP/8 b - -,c3f6
8/1p3kp1/3r3p/2bpR3/8/6P1/PP2R2P/7K w - -,e2d2
r1r1n1k1/1q3p1p/2pp2p1/p7/3NP3/1P2QP2/P2R2PP/2R3K1 w - -,e3c3
8/3r1pp1/6k1/1R6/7P/pP4P1/2P2P2/6K1 w - -,b5a5
1rr2k2/3np1bp/p2pbpp1/1P6/N3P2P/1P2BP2/P1RKB1P1/2R5 b - -,c8c2
r3k2r/1p1bbppp/p2qpn2/4n3/2PN1P2/2N1B2P/PP2B1P1/R2Q1RK1 b kq f3,e5c6
r4qrk/2p2p2/3bpp1p/p7/1pRPP3/1P2QNP1/1PR2P1P/5K2 w - -,e4e5
rnbqk2r/pp3ppp/2pb4/3p1p2/3P4/4P1P1/PPPN1P1P/R2QKBNR w KQkq -,f1g2
6k1/6pp/P1pb4/8/1P6/2NQ3P/6P1/q3r1BK w - -,d3c4
r2qk2r/pR1b2pp/5p2/3Bp3/2Pn4/3PP1P1/3N1P1P/3Q1RK1 b kq -,d4e6
rnbqk2r/ppppp1bp/5np1/5p2/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,e8g8:d7d6
2b5/p1k5/4BR1p/3pP3/1KpP4/8/2r4P/8 b - -,c8e6
7r/pk2n1pp/1n3p2/2RbN3/4R3/6P1/PP2PP1P/6K1 w - -,e4g4
2kr3r/pp1q2nP/2p5/3p1Q1R/4pP2/8/PPP1N3/2KR4 w - -,f5d7
8/7p/1p1nk1p1/p3pp2/8/1P2KPPP/PN6/8 b - -,b6b5
5r2/5rk1/1R2p3/6PP/2b1pR2/4P1K1/5P2/8 b - -,f7f5
2r3k1/1b2p1b1/p3q1rp/5p2/1P1PpB2/4Q3/5PPP/RN3RK1 b - -,c8c4
3r2k1/3rqpp1/1R3n1p/1Q2p3/3p4/6PP/4PPK1/3R4 w - -,f2f3
1R6/5ppk/8/4p2p/1N1b4/P1r2P2/4K1PP/8 w - -,b8a8
2Q3k1/4p3/4Pbpp/3P1p1q/2P2P1P/6P1/4NK2/8 b - -,g8h7
1r3k2/p1r3pp/2p5/2P5/1P2B3/6P1/P4P1P/1R4K1 b - -,h7h6
r3brk1/b3q1pp/2p1p3/p2pP3/NPn5/P1P2N1P/4Q1P1/R4RBK b - -,e8h5
r7/6pp/8/pKP1k3/8/4p1PP/1p6/R7 w - -,a1b1
4rbk1/1p2nq2/pN3n1p/B1pPp1p1/4P3/5pPP/PP1Q1P2/4RNK1 w - -,f1h2
6k1/1R3p1p/p3p1p1/4qr2/2Pb4/6P1/3R1P1P/1Q4K1 b - -,e5c5
rn1qk2r/pbpp2bp/1p2pnp1/5p2/2P5/1PNPPN2/PB3PPP/R2QKB1R w KQkq -,g2g3
8/r2nk2p/p2p2p1/n2Pp3/P1p1P1PP/2P1N3/2B5/R4K2 w - -,f1e2
2r2rk1/pp1qppbp/2n3p1/3pP3/3P4/1R2Bb1P/PP1QBPP1/2R3K1 w - -,e2f3
2k4r/ppp1qp2/2n1b2p/4P3/1PP3p1/P3QN2/4BPPP/3R2K1 w - -,f3d4
1rbqr1k1/5p1p/p1pp2pQ/1p6/nP2PN2/5P2/P3B1PP/3R1RK1 b - -,a4c3
3rr3/1p4k1/6pp/1NPpp3/7P/6R1/3NnPP1/R5K1 w - -,g1h2
rnr1nbk1/pp1b1p1p/4p1p1/3pB3/PP6/1NPP2P1/5PBP/RN2R1K1 b - -,b8c6
r4rk1/pp1qn1b1/4P1pp/5p2/P1p5/2N2NP1/2PQ2BP/3R1RK1 b - -,d7d2
1r1q1r2/p5k1/3N2p1/2pnp2p/2Nn4/5P2/PP1Q2PP/1K1RR3 b - -,f8f6
8/8/4p3/6k1/6P1/2K5/8/8 b - -,g5g4
2Bq4/5nkp/3p2p1/2pb4/8/4N3/1r3PPP/Q4RK1 b - -,d8f6
8/2pr4/pp2pkb1/7p/1PR5/4N1P1/P1P4P/2K5 b - -,f6e5
5Q2/8/3p2q1/2pPp3/2P1P3/3K2k1/8/8 b - -,g3g2
3r1rk1/pp3qb1/n1pp3p/2n3pb/2P2p2/1PN1PPP1/PB1R1NBP/2Q1R1K1 w - -,e3f4
6rk/p6p/8/3Q3N/2nP2R1/7P/4q1PK/8 b - -,g8g4
1k1r3r/p1q2pp1/QpP4p/2p1N2n/7P/2P3P1/PP4B1/R3R1K1 b - -,h5f6
7r/ppq2pk1/6p1/3P2b1/3NQ3/5R1P/6PK/8 w - -,g2g3
8/3bb1k1/4p3/1p2p1np/4Pp2/1N1B1PP1/1P1NK3/8 w - -,e2f2
8/8/8/1R3p2/P4k1p/7P/KPP3P1/3r4 b - -,d1d2
3r3r/1p2kp2/1np3p1/p1n3Pp/P3PN1P/1PN1R3/1KP5/3R4 w - -,d1f1
6k1/7p/8/pPp2p2/P7/1rN3P1/5P1P/5RK1 b - -,b3c3
r1r3k1/pb1pqppp/1p2pn2/8/1nPP4/1Q3NP1/1P2PPBP/RNR3K1 w - -,b1d2
rnbqkb1r/pp2pp1p/2p2np1/8/2PP4/5N1P/PP3PP1/RNBQKB1R w KQkq -,b1c3
r1bqk1nr/1p2ppbp/2np2p1/p1p5/2P5/P1N3P1/1P1PPPBP/1RBQK1NR w Kkq a6,e2e3:g1f3
8/2pk4/3n3p/p1KP4/1p6/8/P3R3/8 w - -,e2e6
6k1/5pp1/7p/7P/8/6b1/3NK3/8 b - -,g7g6
5rk1/p4ppp/Bp2pn2/8/NPRP4/P3P3/5PPP/6K1 b - -,f6d7
1Q6/p2q1k2/5p1P/3p4/2pPnB1r/P1P5/2P3K1/R7 w - -,b8c7
2r1k3/1R4p1/2P5/3Pp3/6b1/3B4/7P/6K1 w - -,d5d6
r2r4/p3k2p/2p1p3/8/2P2p2/5K2/PP3P1P/R2R4 b - -,e6e5
5bk1/5r2/2R1p2p/3p2pP/2p5/4NP2/5KP1/8 b - -,f7e7
8/8/4p3/4Pk1p/2r5/5KP1/4R3/8 b - -,c4c5
5rk1/1pNq1rb1/pPnpb1n1/P1p1p2p/2P1P3/3P2p1/2QB2BP/1R2NRK1 b - -,e6h3
r1q2rk1/pp2ppbp/n1p1b1p1/3n4/Q2P4/2N2NPP/PP2PPB1/R1B2RK1 w - -,g1h2
r3kb1r/pp1q1pp1/2p2np1/2n1P3/P5P1/1QN1P2P/5PB1/R1B1K2R w KQkq -,b3b1
r1r3k1/1p3ppb/3Bpn1p/1Bn4P/8/2P2PN1/PP4P1/2KRR3 b - -,a8a2
1r2k2r/4b3/q2pp1p1/2n3P1/p3PpQp/2N4P/NPP5/KR3R2 w k -,f1f4
3r1bk1/5p1p/1R1p1np1/2pPp3/2P1P3/2N3PP/5P2/5BK1 b - -,d8a8
8/5p1p/8/4Kp2/5PkB/6P1/8/8 w - -,e5f6
1r6/p1p3pp/N1k1p1b1/3pP3/8/5P2/PP1K2PP/2R5 b - -,c6b7
1r4k1/p1q2p1n/2Np1npb/1rpPp2p/4P2P/PPB2PP1/4QNK1/1R5R b - -,b8b7
5rk1/1bq3pp/p2bprn1/1p1p4/3p1P2/1B1P1NP1/PPPBQ2P/R4R1K w - -,f3d4
q2r2k1/p4pbp/4bnp1/2nNp1B1/2P5/6PP/PP2NP1K/R2Q1R2 b - -,e6d5
3k4/ppp3R1/r2P2bp/4B3/8/5P2/2PK2P1/8 b - -,g6e8
8/4pBkp/4P1p1/2p2p2/7P/6b1/8/7K w - -,h4h5
6rk/1p1R3r/2p5/p3pp2/8/P3K1P1/1P3P2/1B6 w - -,d7d6
2q3k1/5p2/4p1p1/7p/QpnbPB2/5PP1/2B2K1P/8 w - -,f2g2
rn1qk2r/p3nppp/1pp1p3/3p4/1b1PPB2/2N1QP2/PPP3PP/2K2RNR b kq -,e8g8
4rr2/1bpn2kp/pp4p1/3P4/1P1RN1P1/P4P2/B5P1/5RK1 b - -,d7e5
