kb5R/pp3b1p/1P6/P2K4/5p2/5P2/8/8 w - -,d5e4
2q4k/6p1/6np/p4pB1/5P1P/P4B2/1R1K4/7R b - -,h6g5
r1bqkb1r/pp3ppp/2np1n2/2p5/2B1PB2/2NP1N2/PPP3PP/R2QK2R b KQkq -,f8e7
2r1r1k1/1pbnqBp1/2p2p1p/p3p3/P2PPPP1/2N1B3/1P3Q1P/R2R2K1 b - -,e7f7
6k1/3q1pp1/p1R5/1pb1p3/1Nr3P1/P1P5/2P1QP2/6K1 w - -,c6a6
8/p7/8/kp1p4/2pP3P/P1P5/BPK1Q3/q7 b - -,a1a2
r4rk1/p4ppp/4pn2/q1b5/1p6/1Q2PN2/PP1BKPPP/R4R2 w - -,f1c1
8/6n1/2k5/1pb1p1p1/1NPp1pP1/1K1P1P2/3BP3/8 b - -,c5b4
r5rk/2bn3p/2p1p3/p1Pp1p1q/3P4/RP1BPR2/3B1QPP/7K w - -,f3h3
r2q1rk1/p1pb2pp/1bp2p2/3pP3/3n1P2/1N2B3/PPPQ2PP/R4RK1 w - -,e3d4
r1bqkb1r/pp3ppp/2n1pn2/8/3P4/2NBBN2/PP3PPP/R2QK2R b KQkq -,f8e7
8/5k1p/5pp1/3P3n/5PN1/q1r1QKPP/2R5/8 b - -,c3e3
8/3R3k/6pp/pp3p2/4p3/1P2PnPP/1P3PK1/2r2B2 b - -,h7g8
1r1q1rk1/1pnbppbp/2np2p1/p1p5/2P2N2/P1NP2PP/1P1BPPB1/1R1Q1RK1 w - -,f4d5
8/1r6/3B2p1/5p2/4kP2/6KP/8/8 b - -,e4d5
2brr3/2p3pp/ppkb1p2/2p5/4P3/P4PB1/1PP1N1PP/2KR3R w - -,d1d2
1r6/r2n3k/1p1p1qpb/p2Pp2p/2P5/PP1BB3/5QPP/1RR4K w - -,f2d2
r1b2rk1/1pqp1ppp/p3p3/8/2PQP3/8/PP2BPPP/R2R2K1 b - -,f7f6
2r2k2/pr2bpp1/4p2p/8/NP6/2n1B2P/P4PP1/1R3RK1 w - -,a4c3
b7/8/7K/2k5/2p1p3/2N1P3/5PP1/8 w - -,h6g5
8/1r1r2k1/1p1P4/2pR1p2/1p2p3/8/5PPP/3R2K1 w - -,d5f5
2r5/4pk2/6p1/1p5p/2nR1P2/1PBK4/2P4P/8 b - -,c4a3
rn1qkb1r/pb1p1ppp/5n2/1ppP4/4P3/5NP1/PP3P1P/RNBQKB1R b KQkq e3,f6e4
q2r2k1/2Q2ppp/3Bpn2/8/p3b3/2R3P1/1PP2PBP/6K1 w - -,g2e4
r1b2rk1/1p1n1pp1/2pbpq1p/p2p4/2PP4/1QNBPN2/PP3PPP/R4RK1 w - -,a1d1
4r1k1/pp2rpp1/4n2q/2ppP2p/5P2/1PPB1P1P/P2Q4/2R3RK w - -,d3b5
r3n1k1/1bp1PNbp/6p1/p5B1/qp5Q/5P2/2P3PP/4R1K1 w - -,h4c4
1rbq1rk1/ppp1npb1/3p2pp/8/3P1B2/2PBNQ2/P1P2PPP/R4RK1 w - -,h2h4
6k1/5q2/1p1p2rp/pPpP2B1/N1P1Q2P/8/1P5K/6R1 b - -,h6g5
4R3/8/2r5/2kpp3/8/1p2KP2/1P6/8 b - -,c5c4
rr4k1/4bp1p/bn2q3/3p1p1Q/p1pP4/1nP1BN2/1P4PP/1R2RBK1 w - -,e3f4
8/6r1/3P2p1/p4b1p/P3pk2/8/8/5KR1 b - -,g7b7
r2qk2r/pp1n1pp1/2p4p/4p3/1b2PPP1/4B1QP/PPP3B1/R4RK1 b kq f3,d8e7
4N3/5k2/7R/2pP2K1/8/6P1/r2n4/1q6 w - -,e8d6
6k1/6bp/1p4p1/8/5PP1/3R3P/1r6/7K w - -,h1g1
1r3r2/2nbqpbk/p2p2pp/2pPp2n/2P1P3/P1NBN1PP/3B1P2/R2QK2R b KQ -,e7d8
r2qnrk1/2nb1pb1/pp1pp1p1/2pP4/P1P1P1P1/2N2PN1/1P5Q/R1B1KB1R b KQ -,f7f6
2q1r1k1/1b1N1nb1/3Pp1p1/p3p3/1B6/PP1R4/4QPP1/3R2K1 b - -,a5b4
r1bq1rk1/pp1nppbp/2pp1np1/8/2PPP3/P1NB4/1P2NPPP/R1BQ1RK1 b - -,e7e5
r2q3r/pp2pkbp/3p2p1/2pPP1B1/5Pn1/2N5/PPPQb3/2KR3R w - -,d2e2
8/8/6k1/5R2/6P1/r4PK1/8/8 b - -,a3a1
r7/8/4N3/3k1K2/2R5/8/8/8 w - -,c4c1
r2r2k1/pp1bq2p/3p1ppB/1PpPbP2/4PR1P/2N3P1/1P1Q4/5RK1 b - h3,g6f5
2r2k1r/2q1ppb1/8/1R5p/6n1/2N1B3/1PP3PP/R3Q2K w - -,e3g1
5k2/8/1K1Pp2p/1P5B/8/8/p7/8 w - -,d6d7
r2q1rk1/pp3pp1/2nbpn1p/3pNb2/3P1B2/2N3P1/PP2PPBP/2RQ1RK1 b - -,d6e5
r3k2r/pp2qp2/1np1b1p1/3p3p/3P4/2NBP1P1/PPQ2PP1/1KR4R b kq -,e8c8
8/8/8/1KPB2p1/1P2Rb2/2k5/5q2/8 w - -,e4c4
r3k2r/pb1nbp2/1qn1p3/1p1pP2p/2pP2p1/P1P5/1P1N1PPP/RBBQNR1K w kq -,e1c2
r1bqkbnr/pp1ppppp/8/2p5/3nP3/2N5/PPPPNPPP/R1BQKB1R w KQkq -,f2f4
r5k1/4Bpb1/2p3pp/4p3/3nN1P1/3R1P2/1PP4P/1K6 b - -,f7f5
3r2k1/4n1pp/8/4q3/3P4/6PP/6BK/5R2 w - -,d4e5
6k1/4bp1p/3p2pQ/3np3/1P2P3/2r2BPP/1q1NRPK1/8 b - -,d5b4
1r2rbk1/1bq2ppp/ppnppn2/8/P3PP2/1NN1BB2/1PPQ2PP/3R1R1K w - -,g2g4
r2q1rk1/pp1n1pp1/4bn1p/2bp4/7B/P1NBPN2/1PQ2PPP/R3K2R b KQ -,a8c8
3q4/pbr1brkp/1p2pnp1/3nN1B1/3P3Q/3B1R2/PP4PP/5RK1 w - -,e5f7
3r1rk1/1b3ppp/pnnpp3/1pp5/2P1PP2/1PqP1NP1/P1N2RBP/R2Q2K1 w - -,a1c1
1r3rk1/1p1qppbp/p1p3p1/B1Pn2P1/2NPR2Q/7P/PP3P2/4R1K1 w - -,a5c3
r1b1k1nr/p1pp1ppp/2p5/2b5/4P3/4BP2/PPP2P1P/RN2KB1R b KQkq -,c5e3
8/8/2k1p2R/6p1/6P1/r4PK1/7P/8 b - -,c6d6
7k/2p3r1/3pp2p/8/P1NPbP1P/1PQ1R1P1/1K6/7q w - -,c3d2
r7/2k1n1pp/1p2bp2/2p1p3/p1P1N3/PPR1P3/5PPP/3B1K2 w - -,b3a4
1k1r3r/1b2bppp/1p2p3/1N1n4/1P6/B4PP1/2R2PBP/R5K1 b - -,d8c8
1k6/7p/6p1/pr3p2/7P/5KP1/R4P2/8 w - a6,f3f4
r1r3k1/1bqnbppp/pp1p4/3PpP2/4P3/1P2BB2/P3N1PP/2RQ1RK1 b - -,c7d8
r2q1rk1/pbpn1ppp/1p1b1n2/3p4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,c7c5
r4b1r/pp3k1p/2p2pp1/5q2/2P5/2N5/PP2QPPP/R3R1K1 w - -,g2g4
r4rk1/1q2bppp/ppbpp3/4n3/P1P1PP2/1PN1B1P1/6BP/2RQR1K1 b - f3,e5d7
8/5k2/R5p1/6Kp/4n3/6P1/8/8 w - -,g5h6
4k3/1p2P1K1/2p2P2/8/8/7B/Pr6/8 b - -,b2f2
2b3k1/q3pr1p/3n1p2/2NP2p1/1r6/1P1BQ2P/2R2PP1/2R3K1 b - -,b4b8
r4rk1/1p1b2bp/p1n1p1p1/3p1p2/3Pn2q/2PB3P/PPNNQPPB/3R1RK1 b - -,a8e8
2r4k/6p1/pp1pRn1p/3n4/P1N5/3P2P1/1P1B1P1P/6K1 b - -,b6b5
3r1rk1/1p5p/p3p3/2Pbqpp1/PPB1p3/1Q2P3/5PPP/3R1RK1 w - -,b4b5
rnbqk2r/ppp1bppp/5n2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,f1d3:g1f3:c4d5
4r3/1p2r3/2pk2bp/p2p1pp1/P2P2PP/2R1PP2/1P2NK2/7R w - -,h4g5
r2q1rk1/1b1nbppp/pp3n2/3p2B1/2pP4/P1N1PN2/1P3PPP/1BRQ1RK1 w - -,f3e5
5r2/pp3pkp/5n2/6p1/8/1Q2P2q/PP3PbP/2R1KB1R b K -,f6e4
8/5kbR/4p3/2p2pP1/1r3P2/r7/P1R5/2K5 w - -,c2c5
2r1r1k1/pp3p2/1qn2pbp/3B4/1P6/P4N1P/Q4PP1/2R1R1K1 b - -,e8e1
r1bq1rk1/pp2bppp/2n1pn2/2p5/2Pp4/1P1PPNP1/P4PBP/RNBQ1RK1 w - -,e3d4
6k1/2R5/7p/1p6/P1r5/7P/5RPK/8 b - -,c4c7
2r5/pnrpkpp1/1p2p2p/4P3/1PP2P1q/P2B2P1/2Q4P/R4RK1 b - -,h4g4
r1b3k1/ppq2ppp/5nn1/2Pp3r/8/1BP5/PP2QPPP/R1B1RNK1 b - -,c8d7
2bq4/1p3pk1/1P4p1/2Qp3p/P2N1P2/4P2P/6PK/8 w - -,c5c7
2q5/5pk1/p1rp2p1/3Q3p/7P/1P2P1P1/P2R1PK1/8 w - -,d2d4
1r6/7k/2Qp2p1/2pP2PP/8/8/1rK5/8 w - -,c2c1
1rq3k1/1r2ppbp/3p2p1/1b1P4/P1n5/6PP/2QBPP2/1RR2BK1 w - -,b1b5
5bk1/5p2/1p1p1np1/2n1p2p/1BP1P3/3PN1PP/1R3PK1/r3N3 b - -,f8h6
r7/1p2r1pk/3p2np/2p1pp2/P1P5/3PPPPq/3B1R1P/1R1Q2K1 b - -,f5f4
8/8/6p1/B2r1bk1/1pNp4/1P1Bp3/P1P4P/4K3 b - -,g5g4
r3b3/pp3qbk/4p1pp/3pPr2/3P1P2/2N1B1R1/PP1Q3P/6RK b - -,a8c8
1rr3k1/5p2/3np1p1/1p1p1q1p/pP1P4/P1P4P/3QRPP1/2R1N1K1 w - -,d2d3
8/1ppk4/p1nn2p1/3B1p1p/P4R1P/1PB3P1/1KP2P2/6r1 b - -,g1d1
4rr1k/2R3pp/1pQn1q2/p7/2P1pP2/P4NP1/1P5P/4R1K1 w - -,f3g5
r1q1k2r/1p2bpp1/pnp1pn1p/4N3/3P1B2/2N5/PPP1QPPP/3RR1K1 w kq -,c3e4
r4rk1/1p1q1p1p/nB4p1/3P4/2R5/b5P1/5PBP/3QR1K1 w - -,d1f3
r5k1/5pp1/2p1p2p/1pPq4/1P1P4/1RQN3P/r4PP1/1n4K1 w - -,b3b1
r4rk1/1b1p2bp/p5p1/q1pP1p2/1n2n3/N5P1/PP1NPPBP/R1BQ1RK1 b - -,b7d5
r1bq1rk1/1p2b2p/p3pnB1/3p4/nP1P1B2/2P2N2/P2NQPP1/2K3RR b - -,h7g6
3rk2r/pb2ppb1/1pp4p/6p1/4P1n1/2N3B1/PPP2PPP/R3KB1R w KQk -,f1e2
2rb4/8/6k1/3R2P1/1p1Pp2p/1P2R3/q4PK1/8 b - -,d8g5
5r1k/4qpp1/1p5p/p3pQ1P/PnBbP3/1P4P1/3R1PK1/2B5 b - -,e7c7
5rk1/3b2pp/4pp2/pprpP3/3R1P2/PBP5/1P4PP/R5K1 w - -,e5f6
r4rk1/4n1p1/np1pp2p/p2p1pP1/3P1P1P/2P2N2/PP1N1P2/R3K2R b KQ -,e7g6
8/5k1b/3P4/4R3/1r3P2/4K3/8/8 b - -,b4b3
rn2k2r/1p1q1pb1/p7/4p1Pp/3pB1b1/6N1/PPPB1P1P/R2QK2R w KQkq -,f2f3
r2q1rk1/1b2bppp/p7/1ppnN3/P7/1N1P3P/1PP2PP1/R1BQR1K1 b - -,e7d6
1r4k1/2rqnpp1/Rp2p2p/1Pp1P1nP/2Pp1PP1/3P2Q1/3N2BK/R7 b - f3,g5h7
4rr2/1b1p2kp/pqnP1pp1/nppBP3/8/2N2N2/PP3PPP/R2QR1K1 b - -,f6e5
r1r3k1/3b1pbp/3pp1p1/pPBP4/1PQ1P2q/2N4P/4BPP1/R4RK1 b - b3,e6d5
4k3/7p/pb1P2p1/4N3/4Pp2/3P3P/P5P1/7K b - -,e8d8
8/7k/8/6Q1/3q2K1/5P1P/8/8 w - -,g4h5
r7/pp2pr1k/2p2qNB/2n5/2n1P3/5PQ1/P2R3P/4K1R1 w - -,h6f4
6Q1/3k1p1p/p2p4/1q1r1P2/4r3/P1B5/1P4PP/6RK b - -,d5f5
3r1rk1/1q3p1p/R2Bpbp1/7n/5P2/3B3Q/1PP3PP/5R1K b - -,f8e8
r2qnrk1/4bppp/3pb3/2n3P1/4PB2/Pp6/1P1QN2P/1KNR1B1R w - -,f1g2
r1b1r1k1/ppq2pp1/2pb1n2/3pN2p/1P1Pn3/P2BP1N1/1BQ2PPP/R4RK1 b - -,e4g3
3R2k1/1r2q2p/4ppp1/Q7/p4PP1/P7/1PP5/K7 b - -,g8g7
r2q1rk1/1p3ppp/pPR1p3/P2pPn2/3P4/3N1N2/3Q1PPP/R5K1 b - -,b7c6
r1bqkb1r/1pppnp1p/p1n3p1/4p3/B1PPP3/5N2/PP3PPP/RNBQK2R b KQkq d3,e5d4
8/p5p1/1b2k2p/1P1pP3/1PrP1p2/2BQ1P2/3RK3/6q1 b - -,g7g6
3k4/2n5/1p2pp1p/6p1/qQpP4/P3P3/4NPPP/5K2 b - -,a4b4
r4rk1/2qbbppp/4n3/1P6/4N3/1QB3P1/5P1P/R3RBK1 b - -,a8a1
2r2rk1/pp3pqp/4pR2/8/3Q4/8/PPP3PP/1K1R4 w - -,b2b3
r4rk1/3n2bp/1q2pnp1/3pp3/1P2P3/p2P4/3NBPPP/B1RQ1RK1 b - -,b6b4
2r3k1/5p1p/3Rb1p1/5p2/2P2P2/p3rB2/P5PP/5RK1 w - -,f1c1
r1bq1rk1/ppp3pp/2n5/2b1Np2/2Pp4/1P4P1/PB1NPPBP/R2Q1RK1 b - -,c6e5
r3k2r/pp2bpp1/2p1pn1p/q3Bb2/2BP4/2N4P/PPP1QPP1/R4RK1 b kq -,e8g8
1r2n1k1/1r3p1p/3p2p1/2pN4/1P2P3/5P2/1R4PP/1R4K1 b - -,c5b4
2rq1rk1/pbpn1ppp/1p1bpn2/4N1N1/3P4/3B4/PPP1QPPP/R1B1R1K1 b - -,c7c5
r3r1k1/p1qn1pbp/1pb1p1p1/2p5/3PP3/1QPB1NB1/P4PPP/2R2RK1 b - -,c7c8
8/5p2/p4kp1/4p1b1/4P2p/1Nr2P1P/P3RPK1/8 w - -,e2b2
1knrr3/p4p1p/Pp1p1b2/1N3p2/1PPB1P2/8/6PP/2RR2K1 b - -,f6d4
r1bq1rk1/1pp3bp/5pp1/p2n4/N2p4/PQ1P2P1/1P1BPPBP/R4RK1 b - -,c8e6
2r1k2r/2q1bpp1/p4B1p/3b1p2/1pP3P1/5P2/PP1Q3P/2KR1B1R b k -,d5c4
rnbqkbnr/pp1ppppp/2p5/8/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -,d7d5
3rk2r/1bqpbppp/p3p3/n7/Pp2PP2/1N1QB3/1PP1B1PP/R4RK1 w k -,e3d4
1qb2rk1/5pp1/p4n2/2b2nNp/2Q2P2/1P5P/P4R2/3R2KB w - -,c4c5
2r1k1nr/1p1b1p2/p3p2b/3pP1Bp/3N4/P2B3P/1q1N1PP1/R2Q1RK1 b k -,b2d4
rnbqkbnr/pp2pppp/8/3p4/3P4/6P1/PP2PP1P/RNBQKBNR b KQkq d3,g8f6
r2q1rk1/pppnbpp1/2b1pn1p/8/3P4/1QN2NP1/PP2PPBP/R1BR2K1 b - -,f6d5
4k3/2r1br2/p1p1Q3/Pq1p2P1/1n2pP2/4B3/1PP4P/3R1BK1 b - -,b5a5
r3kb1r/1bq2ppp/p3pn2/8/NnBN4/4P3/1P3PPP/R1BQ1RK1 w kq -,b2b3
1r1qnrk1/1b1n1p1p/1p1p2p1/pP1Pp3/4P3/3NN1PB/P3RPKP/2RQ4 w - -,f2f3
1R2qrk1/p3p2p/3p1npQ/2pP1pN1/8/2P3P1/P1b1PPBP/2R3K1 b - -,e8b8
4r1k1/3qpp2/3p1bp1/Nr1N4/3nP3/R2P4/1P1Q2PP/5R1K b - -,f6g7
1n3k1r/2q1bp2/b2p1p1P/p1pPpN2/PrN1P1B1/1PR4Q/1P3P1P/2K4R b - -,a6c4
rnq1k2r/ppp1ppbp/3p1np1/5b2/2PP4/1QN2N1P/PP2PPP1/R1B1KB1R w KQkq -,g2g4
rnb1k2r/1pp1qppp/p3p3/2bpP3/5B2/2PBP3/PP1N1PPP/R2QK2R w KQkq -,a2a4
3r4/1r2q1pk/p2p1pnp/1p1B4/3RP3/2P3QP/PP1R2P1/7K b - -,g6f8
3r4/1b3pk1/5qp1/p7/2BR4/1PQ5/P5PP/7K w - -,d4f4
4R3/6p1/2p2p2/p1B4k/2P4P/P1P2P2/rr2PK2/8 w - -,c5f8
1r4k1/2q2pp1/2p1pnp1/p1P5/1r1RPP2/1PQ3P1/1PB4P/2K1R3 b - -,b4b5
8/1R6/8/6Kp/pb3P2/1k5P/8/3r4 w - -,g5h5
r2qkb1r/p1nn1ppp/1p2p3/3pP3/2pP2Q1/2P4N/PP1N1PPP/R1B2RK1 w kq -,d2f3
8/5B2/3k2pp/1p3p2/3PnP2/4K1PP/8/8 b - -,g6g5
3r2k1/pq3pbp/1pn1p1p1/2p1P3/5P2/2P1BNP1/PP1Q3P/4RK2 w - -,d2e2
2r5/2P1kp2/4p3/p2r2pp/P2N4/4P3/2R2KPP/2R5 w - a6,d4c6
8/5p1p/4k3/p5K1/1pnB3P/4P3/6P1/8 b - -,b4b3
3R4/r4kp1/8/1p2PP1P/1np3p1/r3N3/p5K1/R7 w - -,e5e6
8/5p2/4b1p1/n4k1p/3Q3P/2P2P2/6P1/6K1 w - -,g2g4
1r2rbk1/1pqbpp1p/2pp1np1/p1nP4/P1PN4/BPN1P1PP/5PB1/2RQ1RK1 w - -,f1e1
r3brk1/pp3ppp/8/3pN3/3P4/8/PP3PPP/3R1RK1 w - -,e5g4
8/8/R4nk1/4r1p1/R7/8/5P1K/8 w - -,a4a3
r1br2k1/1n2qp2/p3p2p/1p2P3/1P2N2P/3p1N2/P2Q1P2/3R1RK1 b - -,e7f8
8/5k1p/p2rn1p1/R1B2p2/Ppp2P2/8/1P2KP1P/8 b - -,d6d5
8/8/2bk4/5N2/8/P7/3K2P1/8 b - -,d6e5
2r1r1k1/1q1n1ppb/p6p/1p2p3/4P1PN/1QPPB2P/1P3P2/R3R1K1 w - -,b3a3
r4rk1/p2b1pp1/2n2q1p/1p1p4/2pP4/4P3/PPQNBPPP/R3R1K1 w - -,e2f3
r1b1q1k1/pp5p/2p1n1p1/5P2/4p1P1/1P4Q1/PB5P/3R1R1K w - -,g3e5
4r1k1/4P1b1/3BKp2/7p/P1P4P/1p6/8/6R1 w - -,g1b1
8/1p2B3/p1p3k1/5rPp/1P2RP1P/1r6/5P2/6K1 b - -,b3h3
r4rk1/1pp1nppp/p2pbq2/4n3/3NP2P/2N1QP2/PPP3P1/2KR1B1R w - -,g2g4
r2qk2r/pbp1pp1p/1p4pb/n7/3PP3/2PB4/P2Q1PPP/R3K1NR w KQkq -,d2h6
4r2k/6p1/q3pp1p/8/3P1Q2/1N6/5P2/6K1 b - -,e6e5
6k1/1r1K1p2/4n1pp/R3B3/2p3PP/8/8/8 w - -,d7c6
3rr1k1/2qnbp1p/pp1p2p1/3Pp1N1/2P2nQ1/1P6/PB4PP/1B2RR1K b - -,d7f6
rq2k2r/3nppbp/b2p1np1/pNpP4/P1N1P3/8/1P3PPP/R1BQKB1R w KQkq -,f1d3
r3r1k1/ppp2ppp/2n2b2/5b2/2BP4/qP2BN1P/3Q1PP1/2R2RK1 w - -,c1a1
3qr2r/8/1p3bk1/p1pBp1p1/P1N1PpR1/2BP1N1P/1P2RP1K/8 b - -,d8d7
r3r1kb/1bqnpp1p/p2p1np1/1pp5/3PPB2/2PB1N1P/PP1QNPP1/R4RK1 w - -,d4d5
2r3k1/p3qppp/1p2pn2/8/2PQ4/5N2/PP3PPP/3R2K1 w - -,f3e5
1rbq1rk1/pppn1pb1/3p2p1/5p1p/2P4P/1PN3PN/P1QPPPB1/R3K2R w KQ -,a1c1
8/5pk1/4pn1n/8/3P2p1/3NP1P1/1R2BPK1/1r6 b - -,b1a1
8/1pB2n2/p2p1k2/P2PpNp1/1P3bP1/3K3P/8/8 b - -,f6g6
r1bq1rk1/1p2ppbp/p1np2p1/2p2n2/2P5/1PNPP1P1/PB2NPBP/R2Q1RK1 b - -,c8d7
5r2/pn1k4/1p6/4pPP1/1P1p4/8/P7/4RRK1 b - -,d7d6
2r2rk1/p1nbbppp/1qn1p3/1pp1P3/2P1N3/P2P1NP1/5PBP/R1BQR1K1 b - -,f8d8
5r2/5Rk1/p1pq2p1/1p2r2p/3pP3/1P1P2PP/P1P2QK1/5R2 b - -,f8f7
2r2rk1/pbq1bp1p/1p2p1p1/3pP3/4nQPP/PP3N2/1BPN1P2/1KR4R w - -,f4h6
rn1qkbnr/p3pppp/2p1b3/1p6/2pP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq b6,f3g5:a2a4
rq3rk1/2p2ppp/p1p1pb2/8/P1pPN3/6P1/1PQ1PP1P/R2R2K1 b - -,b8b4
8/1k1b4/6pB/p1p5/8/2P1P3/8/3K4 w - -,d1c2
8/1N6/Pn6/4p1pk/3p2P1/3P1K2/8/8 b - -,h5g6
3r2k1/5pp1/1p2p2p/pN5B/2P1P3/P2r2PP/5K2/4R3 b - -,d3d2
1r6/5pk1/5b2/p1Rp1q2/P2Pp3/1r2P1P1/5P2/3Q2KR b - -,b3b1
r3k2r/bpp1q1pp/p1p1bp2/4p3/1PN1P1n1/P2P1N2/2P2PPP/R1BQ1RK1 w kq -,d1e2
8/3b2r1/3P1k2/1p2n3/1P6/P4p2/1Q3P2/7K w - -,b2d4
r4rk1/pp1q2bp/6p1/3p1b2/1n1Pp3/4B1PP/PP2RPBK/R2QN3 b - -,f8f7
8/4q2k/3n2p1/3Q4/P1pN4/5P2/1PPK4/8 w - -,a4a5
2q5/p3k3/1p1Rb3/2p1P2p/2P3pP/1P3pP1/P4P2/2B2BK1 w - h6,c1g5
r1b1qrk1/pp1n1pbn/2p3pp/4p3/2P1P2B/2N2N2/PPQ1BPPP/3R1RK1 w - -,d1d6
r6k/1p2P1p1/7p/8/3pP3/p7/3R2PP/6K1 b - -,b7b5
r1bqkbnr/1p3ppp/p1n1p3/2p5/4PP2/3P1NP1/PP1PN1BP/R1BQK2R b KQkq -,c6b4:d8d3
r1r3k1/1p2ppbp/p2pbnp1/q7/P1PBP3/1PNQ4/4BPPP/R4RK1 b - a3,f6d7
3n2k1/p1q2p1p/2p3pB/4p3/2Q1P3/1PP3P1/P5KP/8 w - -,h2h4
r1bqrk2/3n1p1p/1pp1pnp1/p2p4/P1PP4/1PN1PN2/2Q1BPPP/R2R2K1 b - -,c8b7
8/5pk1/6p1/Pp6/1Ppq2nQ/6PP/8/5K2 w - -,h4g4
2r1r1k1/p5p1/qpn1n2p/2pp1p2/P2P1P2/2PPBN1P/3Q2P1/R4R1K w - -,f1b1
2rr2k1/1bq2pbp/p1pp1np1/2nPp1B1/P1P1P2N/4Q1NP/2B2PP1/2R1R1K1 b - -,d8e8
3r3r/pp2kp2/2ppb1p1/7p/2P1PN2/1P3PPP/P2R3K/3R4 b - -,a7a6
1rbq1rk1/2pnppbp/3p2p1/np6/3PP3/1PN1BNPP/P4PB1/2RQ1RK1 b - -,b5b4
r4rk1/2nb1p1p/3q2pQ/2pPp2P/2p1P3/P1N2P2/6P1/1NKR3R b - -,f8b8
r4nk1/N4ppp/4p3/4P3/2qr4/b1P1QR2/P5PP/5RK1 w - -,c3d4
2r1k2r/1b2qppp/pn2p3/1pn5/8/2N2NP1/PP1QPPBP/R1R3K1 b k -,e8g8
8/1k6/1pp1p3/p3P3/P1PPq3/1PK5/5Q2/8 w - -,c3d2:c3b2
6k1/1p1b2r1/p1q5/2Pprp2/PP5Q/2P3NP/6P1/R4R1K b - -,d5d4
8/8/5k2/6pp/P7/2n3P1/2B2P2/6K1 b - -,c3e2
8/1R2k3/5p2/4p3/8/r4PK1/8/8 b - -,e7e6
r1bqr1k1/1p1n1pbp/3p1np1/p5N1/1PP1p2P/PQ2P3/1B1N1PP1/R3KB1R b KQ h3,h7h6
6k1/4p2p/2p1Pbp1/Bp6/8/PR2P3/5PPK/3r4 b - -,d1d6
r1bq1rk1/pp4bp/2n2ppn/2pp4/5P2/2PP1NP1/PP4BP/RNBQ1RK1 b - -,c8e6
3q3r/4rpk1/3p2p1/pBnPN2p/1p2PR1P/4Q3/PP4P1/5RK1 b - -,d6e5
2R5/p5bk/7p/4p1p1/8/1P1rB1PP/P5K1/8 w - -,g2f3
