8/4r1kp/2R1P1p1/1N6/4n3/7P/6P1/6K1 b - -,e7b7
8/2p5/4kbR1/2P5/8/1p1K4/8/8 w - -,d3c4
r1r4k/1pq1bp1p/p2p1npB/4p2n/4P3/1PN2N1Q/1PP2PPP/2RR2K1 b - -,c8e8
r4rk1/pppb1pp1/1n1qp2p/4P3/3P4/1BPQ1P2/P3N1PP/R4RK1 b - -,d6e7
8/1p6/1N1p4/P2Pp2k/4Pp2/5Pn1/6P1/2Q3K1 b - -,g3e2
r3b1k1/4qpb1/3n2p1/1p1Pp2p/p3P3/P1r2QP1/1PNN1R1P/5BK1 w - -,f3c3
3r2k1/RB3b1p/5p2/4p1p1/8/5P1P/4K1P1/2B5 w - -,b7a6
4r1k1/1b2q1np/1N1pPnp1/2pP4/1p6/1P2NBR1/7P/r2Q2K1 w - -,d1a1
1r3rk1/5ppp/pB1R4/2P1p3/1P6/8/1P4PP/2K5 w - -,b6a5
3r1r1k/pp2q1b1/4n1p1/3pPp1p/3PpP2/P1N3Q1/1P2B1PP/3R1R1K b - -,h8h7
r1b2k2/8/3pr1pp/2p5/2P2nP1/1P3N2/3R1K2/1B3R2 b - -,e6f6
2r4k/1b2qppp/pp1p1n2/8/4P3/1P4PB/PB2QP1P/5RK1 w - -,h3c8
2r1k2r/4bppp/p3bn2/q2p2B1/1N5Q/N1P5/P4PPP/1R2R1K1 w k -,a3c2
8/6k1/2R5/6pp/8/1r5P/6K1/8 b - -,h5h4
8/2p2p1p/3p1k2/5bp1/1KP5/4PP2/B5PP/8 b - -,c7c5
r7/2p2kpp/3b4/p3p3/2N5/P2PP1P1/1PR1P1K1/8 b - -,f7e6
3r1r2/5Pk1/5p2/1pPBb2p/1P1R4/5QPq/5P2/3R2K1 w - -,d4h4
r2qk1nr/pp3ppp/2n1p3/8/1b1P2b1/P1N2N2/1P1BBPPP/R2QK2R b KQkq -,b4a5
8/8/6k1/K6p/P1Q5/2P4P/6q1/8 w - -,c4g8
2r2rk1/p4ppp/bp2qn2/4p1B1/2P5/PPN3P1/1Q2PPBP/R5K1 w - -,g5f6
3r3k/pbq3bp/1p1r1pp1/1Pp1p3/P1Q1P3/2P1B1P1/5PBP/1R1R2K1 w - -,g2f3
2r3k1/1p3p1p/4b3/3p4/5Q1P/1P1qP1P1/P5B1/5RK1 b - h3,c8c3
8/8/P2R1pk1/1r1p2p1/3P4/4P1K1/8/8 b - -,b5a5
r1b1r1k1/pp2q1pp/2p5/2n2p2/2PNn3/4Q1P1/P1N1PPBP/R2R2K1 w - -,d4b3
r4rk1/1pq1bppp/p1bppn2/8/3BPP2/2N3Q1/PPP1B1PP/R4R1K w - -,a1e1
2r1r1k1/1b1nbpp1/np5p/3p4/3P1BP1/PR1NP3/4NPBP/3R2K1 b - -,e7d8
r2qkbnr/ppp2ppp/2n5/3p4/3P2b1/2PB1N2/PP3PPP/RNBQK2R b KQkq -,f8d6
rn1qkbnr/ppp2ppb/4p2p/4N3/7P/6N1/PPPP1PP1/R1BQKB1R w KQkq -,d2d4
2r3k1/6p1/p1q1prp1/1p1pR3/3Q1P1P/P1P3P1/1P4K1/4R3 b - h3,g8f7
1r1bk1nr/3b1ppp/n2Np3/pp2P3/1PB5/P4N2/1B3PPP/R3K2R b KQk -,e8f8
2R5/p7/6k1/8/4r1p1/3N1p1n/PP3P1P/3K4 b - -,g6g5
5b1k/4rb1p/1p3N2/1Ppp4/8/1P1R2PP/r5B1/5RK1 w - -,f6d5
r2r2b1/pp2kpp1/2p1p2p/4qP1P/2B1P1P1/5Q2/PPP5/2KR3R w - -,a2a4
7r/pr1qk1b1/3pbpp1/Q1p1p2p/2P1PP1P/3PB1P1/P5B1/1R3RK1 b - f3,g7h6
8/3Kn3/4Pk2/8/3P4/8/8/8 b - -,e7d5
5r1k/1pq3pp/6b1/p1p5/2Pp1bPQ/PP6/2N3B1/2R2NK1 w - -,h4e1
3r3k/pp2qppn/1bp2r1p/4p3/4P3/1BP2R2/PP2QPPP/R1B3K1 w - -,c1e3
r3r1k1/pp1n1pp1/2p2n1p/2P1pP2/1q6/1PQ3PP/P2N1PB1/2R1R1K1 b - -,a7a5
8/1p2kp1p/p6r/1p4p1/2b1p3/2R1P1P1/2N2P2/R5K1 b - -,h6d6
8/8/6P1/5K2/1p6/5pB1/4k3/b7 w - -,f5e4
5r1r/1b1kbp2/pq1pp2n/1p4N1/1P1pP3/P2P3P/2PB2B1/1R1Q1R1K w - -,d1e2
r1bqk2r/1p2npb1/2n3pp/p1p5/3pP3/P2P1NP1/1P2NPBP/R1BQ1RK1 w kq -,d1c2
8/2B5/6p1/1p5p/2b5/P1P4k/8/4K3 w - -,c7d8
1rrnk2b/Rn1Q1p2/7p/2pBpPpN/4P3/2PPB3/6PP/5RK1 b - -,e8d7
r1bqr1k1/pp3pbp/3p1np1/2p1n3/2P1P3/P1N1B1PP/1P1N1P2/R2QRBK1 w - -,b2b4
5k2/1p3pp1/p3n3/4N2P/3r4/1P3pP1/P1R2K2/8 w - -,c2c8
r1bq1rk1/1pp1ppbp/p1np1np1/8/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,a1b1
r2q1rk1/1pp2ppp/p2pbn2/2n1p3/2P1P2N/2P1BPP1/PP2Q1BP/R3K2R b KQ -,d8d7
2r2q1k/1bN3bp/1Bnp2p1/5p2/1PP2P2/5B2/6PP/1R1Q3K w - -,c7e6
br1r2k1/5pp1/pp1ppqn1/4n3/1PPRP3/P3QPPp/1N2B2P/1NR4K b - -,e5c6
8/1q4pk/7p/3p4/2pQ4/5P1P/1P4P1/7K b - -,b7f7
5r2/p2k1p2/1pn2Rp1/1R2P1p1/8/P6P/1P4P1/6K1 w - -,b5d5
1r6/p2r1ppp/2k1p3/1PP5/1P5P/R5P1/1R2KP2/8 b - -,c6b5
rnbq1rk1/5pbp/2pp1np1/1p2p3/4P3/2NP2PP/PP2NPB1/R1BQ1RK1 w - -,b2b4
r4rk1/1p2qpbp/1Q4p1/5b2/2NP4/8/PP2BRPP/R5K1 b - -,a8a6
8/p4p2/1pNbpkp1/1P5p/r2Pp3/4P1PP/1R3PK1/8 b - -,g6g5
6rk/2p4n/1p1p1p2/1P1P1q1p/2P2P2/4Pp1P/1B4rR/R4Q1K w - -,f1f3
r1r4k/7p/4N3/p6p/P1nP4/1P1K1P2/1P4R1/8 w - -,b3c4
r3k2r/1b3pbp/pn1p1np1/1p2p1B1/2q1PPP1/PNNR4/1PP1Q1BP/2K4R b kq -,c4c7
1r3rk1/4bpp1/ppn1p2p/1Np5/P1P1P3/5NP1/1P3PP1/3R1RK1 w - -,b5a3
5rk1/b4qpp/p3b3/3p4/1PpB4/P3PpP1/1Q3R1P/3R2K1 b - -,a7b8
r1bqr1k1/ppp2pbp/2np2p1/2n5/2PNP3/2N1B3/PP1QBPPP/2R2RK1 w - -,f2f3
8/4np2/1p1Np1k1/4P1r1/4R3/7K/8/8 w - -,d6c4
r2qr1k1/p4pp1/2pb1n2/3p3p/6b1/1P2PNN1/PB3PPP/R2Q1RK1 w - h6,h2h3
2r5/p1r5/Pp1k4/2pp1p1p/1P1P2pP/3KP1P1/2R2P2/2R5 w - -,b4b5
r1bqk2r/pp2bppp/4p3/2ppn2n/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQkq -,f3e5
1r1q1rk1/4p1bp/1n1pp1p1/2pP4/4P3/2N1BP2/PP2Q1PP/1R3RK1 b - -,d8d7
6k1/6p1/2q2p2/2P4p/1p1PR2P/4Q1P1/r7/6K1 b - -,g8h7
5r2/8/3Qp1k1/4BqPp/PP6/8/1KP5/8 w - -,e5f6
2kr3r/1p2ppb1/p1np3p/3NnPp1/8/6BP/PPPK1PP1/R4B1R w - -,c2c3
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2NB1N1P/PP3PP1/R1BQK2R w KQ e6,d4d5
r2qk2r/pp2bppp/2p1pn2/5bB1/2BP4/5N2/PPP1QPPP/R3K2R w KQkq -,a1d1
rn3rk1/1p2bppp/3pbn2/qN2p3/p1P1P3/4BP2/PP1Q2PP/R1N1KB1R b KQ -,a5d2
8/5p2/p5pk/2p5/1Q6/7N/3K1P2/8 b - -,c5b4
4rn2/p5kp/1p4p1/3pPbP1/3P4/2P1K1Q1/PPq5/4R2R b - -,c2b2
r1bq1rk1/1p2ppbp/2pp1np1/p7/PnPP4/2N1P3/1P1NBPPP/1RBQ1RK1 w - -,f2f3
8/5p2/3k1p2/8/1R5P/4P1P1/rp3PK1/8 w - -,b4b8
4r3/5kp1/1pp2n1p/p7/3PPp2/P1NK1P2/1P3BnP/5R2 b - -,g7g5
4rrk1/ppq3pp/3bbp2/1Pp5/P1PpPPnP/R4QP1/1B4B1/2R2NK1 b - -,h7h5
2rqnk2/pp4p1/3bR3/5P1p/7P/1Q6/PPP5/1K1R4 w - -,b3d3
3rb1k1/p5p1/1p1Pp1np/3p1P2/7q/6N1/PP1Q2PP/1B3RK1 b - -,g6f8
5k2/5p2/r1p1p1p1/1r2P2p/p1RP1P2/4K1P1/PP6/1R6 w - -,e3d3
1r3rk1/3b1pbp/p2q1np1/1p1pn3/1P6/PQN1P3/3BBPPP/R1R1N1K1 w - -,e1d3
1r1r2k1/2q2pbp/p3b1p1/Pp2p2n/2p1P3/2P1BP2/1PBNQ1PP/R3R1K1 w - -,e2f2
2r1B1k1/pp2q1np/2b2p2/3pP3/3N1P2/4P2P/P1Q3P1/R3R1K1 b - -,g7e8
8/5bk1/p5p1/1pR5/1P1N4/P1P1K3/8/5r2 w - -,c5c6
r1bq1rk1/1pp2pp1/p1np3p/P2Np1b1/2B1P3/3P3P/1PP2PP1/R1BQR1K1 b - -,g5c1
8/1p6/pB6/P6p/8/P3Rb2/3K2k1/7r w - -,e3e7
1b3r2/p3Qpk1/1p4p1/3R2Np/7P/1P2P1P1/Pq3PK1/8 b - -,b2f6
r3kb1r/1bq2ppp/p2ppn2/1p6/1n2PP2/1NNBB2Q/PPP3PP/R4RK1 b kq -,f8e7
r2q1rk1/pbpn1ppp/1p1p1n2/4p3/2PPP3/2PB4/P2N1PPP/R1BQ1RK1 w - -,a2a4
r1b1r1k1/p1p2pp1/3p3p/2p1q2n/2B1P3/2N1QP1P/PPP3PK/3RR3 w - -,f3f4
8/1p3k2/5b1P/2Pp1B2/b2P4/5K2/5B2/8 w - -,f3e2
8/1p2r2p/p3k1p1/4B3/2RP3P/P5P1/1P1b1P2/6K1 b - -,e6d5
r1bq1rk1/pp2npbp/3p2p1/2p1p3/3nPP2/2NPBNPP/PPP3B1/R2Q1RK1 b - -,c8e6
2brr1k1/p2q2b1/P7/1ppPp1p1/3BPp2/3P2P1/Q4PBN/1R1R2K1 b - -,c5d4
8/p1p2p1R/kp6/3pPprP/P2P4/2P5/2P3QK/2q5 w - -,g2e2
3n1k2/3b3p/1q2r1p1/1p4P1/1P6/2Q5/P5BP/2R1R2K w - -,c1d1
4Rr1k/pb4pp/1p1b1q2/7Q/2BP2P1/PP3p2/1B3K1P/8 w - -,e8f8
r1bq1rk1/4n1pp/3p4/1p1Ppp2/p3PP2/PN4P1/1P1Q2BP/R4RK1 w - -,b3c1
8/8/1p2p3/4k2P/P5K1/5R2/8/2r5 b - -,c1c4
2rqk2r/1p2bppp/p1n1pn2/3pN3/3P1B2/2N1P3/PP2QPPP/R4RK1 w k -,e5c6
1r1q1rk1/ppn1ppbp/3p1np1/2pP2B1/2P1P3/2N4P/PP2BPP1/R2Q1RK1 b - -,a7a6
r1q2rk1/pp2ppbp/n1p1bnp1/P2pN3/R2P3N/1QP3P1/1P2PPBP/2B1R1K1 w - -,c3c4
1r5r/4kppp/2qbp3/8/P7/2PQ1P2/4KP1P/R1BR4 b - a3,h7h6
5k2/4p2b/3pPp2/3P1P1Q/P7/4N2P/1q2K3/8 w - -,e2f3
4r3/1p1k4/p1p1n1p1/4Q3/Pq1P2pP/8/8/5R1K w - -,d4d5
8/8/3bB3/p1p2pkp/1pP4P/3NK3/PP4b1/8 b - -,g5h4
8/6k1/7p/5KPP/1p6/8/2B5/8 w - -,g5g6
7k/1ppqb1pp/2np4/r2Q4/5BpP/pPP5/P1P2P2/2KR3R w - -,d5d3
2kr1b1r/1p3pp1/p1n5/8/3p1P2/1P4p1/PBPP1NBP/2K3R1 w - -,h2g3
r1q2rk1/pp1bppbp/2np1np1/2p5/2PP4/1PN1P1P1/P3NPBP/R1BQR1K1 b - -,a8b8
r2q1rk1/pb3pbp/1p2Pnp1/8/4P3/3BBN2/P2Q1PPP/2R2RK1 b - -,f7e6
r1bq1rk1/pppnppbp/3p1np1/8/2PPP3/P1N2N2/1P2BPPP/R1BQK2R b KQ -,e7e5
r2qkbnr/pp1n1ppp/2p5/3p4/8/5BPP/PP1PPP2/RNBQK2R w KQkq -,e1g1
2R5/3n1pk1/6p1/3Nn1Pp/3r1p1P/2N5/4K3/8 w - -,c8d8
1R6/5kp1/4pp2/1pBb4/p1rP4/P1P2P2/1K4P1/8 b - -,d5c6
br4k1/p4ppp/4N3/q2nP3/2p2PB1/2n5/P1QB2PP/5RK1 w - -,e6g5
r2qk2r/pp2bpp1/n1p1pnp1/8/2PP4/2N2B1P/PP3PP1/R1BQ1RK1 b kq -,a6c7
7r/4kp1p/4b2b/4p3/3nN3/2pB4/P4PPP/3RK2R b - -,c3c2
8/p6p/r3b1p1/2p5/B2k1p2/1P3P2/P1R3PP/6K1 w - -,g1f2
1n1q4/rN3pkp/p3p1p1/1p2P1P1/3P4/2PQ4/5PP1/R4RK1 b - -,a7b7
1k1rr3/pp4p1/3n4/3pPpq1/P4n1p/1P5P/N1Q3P1/K1R1RB2 b - -,d6e4
r1bq1r1k/6pp/1npp1b2/p3p3/NPP1Pp2/PQ1B1N2/3K1PPP/R1R5 w - -,a4c3
4r1k1/2p1rppn/p7/1p1P3p/3N1b1P/2P2B2/PPK2P2/3R1R2 b - -,h7f6
r2qk2r/ppbbp3/5p2/4nP1p/PBNnP1p1/3P2P1/6BP/R2QNRK1 w kq -,c4e5
2r3k1/q2r1pp1/4b3/P3p3/3p4/4PBP1/3Q1P2/RR4K1 w - -,e3d4
r4rk1/pp1nppbp/2p3p1/q2p1b2/2PPn3/1P2NNP1/PB2PPBP/R2Q1RK1 b - -,f5e6
3r4/1p3p2/1P2n1kp/1R1p2p1/3rp3/4N1P1/5P1P/3R2K1 w - -,d1d4
6R1/8/8/1P1P1p2/5k2/5p2/r5PK/8 w - -,g8g3
1r4k1/6p1/2Nn1p1p/3P3P/2p2P2/2P5/p3rKP1/1q2R3 w - -,e1e2
8/8/4R3/p6P/8/4bk2/r7/3K4 b - -,a2d2
2rq1rk1/pp2ppbp/6p1/1bPBn3/4P3/2P1B3/P2QNPPP/R4RK1 w - -,a1b1
2r1kn2/1pB5/r3pp2/1p1p1p1p/1P1P3P/P1R1PKP1/5P2/2R5 w - -,c3c5
r2q1rk1/pp1nbpp1/2p1p1p1/2Pp4/3PnP2/1P4P1/PB2P1BP/RN1Q1RK1 w - -,b1d2
6k1/5pp1/4p3/p3P2p/1p1R1P2/PP4PK/2r5/8 b - -,b4a3
4n2k/7p/p5p1/Pr1pP3/1B2p3/2P5/1P3PP1/4R1K1 w - -,f2f3
8/p3pp1p/5kp1/r1pR4/2P5/6P1/5P1P/6K1 w - -,f2f4
7r/3pk3/4p3/2rn1p2/1pN2P2/1P3KP1/2PR4/4R3 b - -,d5f6
1n1r1qk1/p2P2pp/1p2bp2/1Br1p2P/P3P3/3RN3/1Q3PP1/3R2K1 b - -,e6f7
r1r4k/3n1p1p/2qpnb1B/4p3/1pB1P3/1N1Q4/1P5P/1K3RR1 w - -,c4e6
1r1k1B2/2b4p/p1B2pp1/8/1P2p1P1/P2bP3/5P1P/2R3K1 w - -,c1d1
3r4/p1qk1bp1/Qnp2b1p/4rP2/3pP1P1/3N1N2/P2B3P/1R2R1K1 b - -,d7e8
2r3k1/6pp/N2p2b1/1P1n4/2p5/P1B3R1/6PP/6K1 b - -,d5c3
r4rk1/p1p1nppp/1pnq4/3pN3/3P4/P1PP4/5PPP/1RBQR1K1 b - -,f7f6
8/6pk/7p/p2q1p2/4rP2/1P1pr1P1/P1R2Q1P/5RK1 w - -,c2d2
6k1/5p2/1B1p2p1/3B1nPp/1P3P2/p2R3K/Pbr1r2P/7R b - -,b2c1
rn3rk1/ppq2pp1/2pbbp1p/8/2PP4/3BB3/PPQ1NPPP/R3K2R b KQ -,d6b4
r2q1rk1/pp3pbp/2p2np1/2n1p1B1/P1B1P3/2N5/1PP2PPP/R2QR1K1 b - -,h7h6
r1br2k1/1pq2ppp/8/1p6/3p3Q/2N2P2/1PP3PP/2KR1R2 w - -,d1d4
2rq1rk1/p2nbppp/bpp1pn2/8/2PPp3/1P3NP1/PBQN1PBP/R4RK1 w - -,d2e4
6k1/3bqrpp/2p1p3/prP2p2/NP1Q4/P7/5PPP/R3R1K1 b - -,e7f6
2r3k1/3nBppn/q2P4/1p3P2/p1pp4/3P3P/PPQ3B1/6RK b - -,d7e5
r1bq1rk1/pp3p1p/n2n2p1/2pPb3/4PB2/2N3PN/PP4BP/R2Q1RK1 b - -,d8e7
4rrk1/pppb2bp/3p4/3P1Np1/2P1q3/PP2PRP1/1B3Q1P/5RK1 b - -,f8f5
8/1r3k1p/R3npp1/3Np3/4P2P/5P2/5KP1/8 b - -,h7h5
r3kb1r/ppqb1ppp/4p3/n2pP3/3P1P2/2PB3P/P3N1P1/R1BQ1RK1 b kq f3,g7g6
r4rk1/2q1bppp/p3p3/1p1b4/3B4/P4P2/1PPQB1PP/R4RK1 w - -,d2c3
8/1p6/2k1pb2/1p3p2/6p1/1PNK2P1/1P2RP2/2r5 b - -,e6e5
R7/3k1p1p/6p1/8/4P3/2p1bP2/4K1PP/3n4 b - -,c3c2
r1b1rnk1/1pq2pb1/p1p2npp/4p3/1PP5/P1N1PN2/1BQ1BPPP/2RR2K1 w - -,c4c5
1r3rk1/1p4bp/p3pnp1/2pqP3/Pn3P2/5N2/1PP1Q1PP/R1B2RK1 w - -,e5f6
r4rk1/2qnbppp/p1p5/2P1p3/N7/6P1/PP1BQPKP/R3R3 w - -,a1c1
r4rk1/3qppbp/p3bnp1/2Pp4/3B4/4PB2/P2N1PPP/R2Q1RK1 w - -,a1c1
2r1r1k1/pp1n1ppp/8/q7/3pP1P1/2PQBP1P/P7/R3K2R w KQ -,e3d4
rn1q1rk1/1b1pbppp/pp2pn2/8/2Pp4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,d1d4
3nb3/n3k3/2p2p2/N1PP1P1p/BN3KpP/8/8/8 b - -,e8d7
3rqrk1/ppp3pp/2n5/8/2P1p3/P1BBP3/1P1Q1P1P/2KR3R w - -,h1g1
3r1rk1/qp2pp1p/p1npb1p1/6N1/2P4P/1PQ3P1/P2RPPB1/2R3K1 b - -,a7c5
1r3brk/1p5p/pN1p1nq1/3Pp2n/QP2Ppp1/5P2/P2NKBPP/2R1R3 w - -,e1g1
4n3/2r5/4knp1/1pP1p3/3pP3/6NP/6K1/R1R5 b - -,e8g7
8/6p1/3k1p1p/1p1p3P/p4PP1/1bP5/3K4/R7 w - -,a1e1
3R4/8/4k3/4p3/3p4/3K1P2/1P6/5r2 w - -,d8e8
r2k3r/1b3ppp/5n2/1B2p3/pB2n3/8/PPP3PP/2N1RRK1 w - -,c1d3
2rr2k1/1qp2pp1/p6p/1p1b1Q2/3P4/P1N2P2/1PP1R1PP/1K1R4 b - -,b5b4
5r2/1p6/p2p2p1/3P4/1PPkpp2/2R5/1P1K2PP/8 b - -,g6g5
2nb4/3k4/1p2p3/1P1pPp2/K2P1P2/N7/4N3/8 b - -,d7e8
r1bq1rk1/pp4b1/2p3p1/4n3/3B1p2/2P4P/PP4B1/RN1Q1RK1 b - -,f4f3
r4r2/1pp1q1kp/2bp2p1/pN2p3/PnP1P3/1P3P2/3QB1PP/3RR1K1 w - -,e2f1
4r1k1/1RPR3p/3B2pb/p4p2/3pq3/6PP/5rQ1/6K1 w - -,g2f2
rr4k1/p4pb1/B3p2p/nR3p2/3P3B/2P4P/P2R1PP1/6K1 b - -,b8b5
8/3k1n1p/R1Nb2p1/1r3p2/8/1P2PP2/4K1PP/4B3 w - -,c6d4
2r3k1/pb3pp1/1q6/3pP3/1pr5/2R2N2/PP1Q1PPP/5RK1 w - -,c3b3
2r2rk1/4qpb1/p2pp2p/3b2p1/1P1P2P1/3BRN2/PP3PP1/1K1Q3R b - -,c8b8
8/8/3n4/pp6/3k2p1/1P6/P3K3/3N4 b - -,d6e4
r3r1k1/pp1n2pp/2p2p2/2bpP3/4PP2/1P4PP/1P4K1/RNBR4 b - e3,d5d4
8/7p/1p1n2p1/p1k2pP1/P4P1P/1Pp1K3/8/3B4 w - -,h4h5
r3k2r/pp1n1ppp/2pbp3/3p1b2/1P1P1P2/2P2NP1/1P2BP1P/RN3RK1 b kq -,d7f6
r1bq1rk1/3nbppp/p3pn2/1p1p4/3P4/1Q1BPN2/PP1BNPPP/R4RK1 b - -,d7b6
r4k2/3R1p2/p7/1p2R3/P1P1p1p1/8/1P3r2/2K2B2 b - -,f2f1
1rb1nrk1/1p1nqpb1/p2p3p/2pP2p1/P3P3/2N2NBP/1P3PP1/R2QRBK1 b - -,d7e5
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2:c2c4
1nbr1rk1/p1q2pbp/Pp4p1/1Pp1p2n/4P3/2P2NP1/1BQNBP1P/R2R2K1 w - -,d2c4
3rk3/1p3p2/2b1p3/p3P3/3q1P1r/PRpBQ2P/2P2KP1/6R1 w - -,e3d4
8/4ppk1/3p4/1qn5/Np3PQb/1P5P/P5PK/8 b - -,g7f8
8/2p5/1pKb3p/p4BkP/P5P1/8/8/8 w - -,c6b5
8/3P4/pk6/5R1P/3r4/1p4P1/7K/8 b - -,d4d7
r4rk1/p2qppbp/R4np1/3p4/2nP1B2/1QN2NP1/1PP2P1P/R5K1 b - -,f8c8
8/p3kpbp/1p4p1/3B4/8/2P4P/PPK2PP1/8 b - -,f7f5
r2r2k1/1bqnbppp/p3pn2/1p4B1/3NP3/P1N5/1PB1QPPP/R2R2K1 b - -,d7f8
rnbqkb1r/5ppp/pp1ppn2/8/2PNP3/P1N3P1/1P3P1P/R1BQKB1R b KQkq -,c8b7
3rr3/pkpp1p2/bnp5/5Qp1/1qP5/1P6/P1KN1PPP/3R1B1R w - -,f5g5
2r3k1/p4ppp/4p3/3p4/n2N4/r3P1P1/N2R1PBP/6K1 b - -,a7a5
1q2r1k1/1p1n1pbp/1P1pb1p1/1Np2p2/2P5/3PP1P1/r3NPBP/1R1Q1RK1 w - -,b5c7
8/8/2N3p1/p1k2p1p/5b1P/1P6/P1K5/8 w - -,c6e7
2r1rn2/1p3kpp/p1pbpp2/8/2PP4/1P1R3P/PB1N1PP1/4R1K1 b - -,e8d8
3q4/Q7/3k1p2/1p6/1pbNP3/5KP1/8/8 w - -,a7a6
8/7p/p5p1/1p2k3/1P2P3/Pb2K1P1/7P/5B2 w - -,f1h3
r1bqkb1r/ppp2pp1/2n2n1p/3p4/3Pp3/1P4PN/P1P1PPBP/RNBQK2R b KQkq -,c8f5
8/1b1r4/p4pkp/1p3N2/5Q2/1P5P/P7/1K6 w - -,f4g4
