8/PR4p1/6k1/r1p5/8/1P5P/6K1/8 w - -,g2f3
3r1rk1/pp3pp1/2p5/4pP1p/4Bn2/1PP2Pq1/P1Q3P1/3R1R1K w - -,d1d8
r5k1/3q1pp1/4pb1p/3r4/3P1P2/6P1/3RQB1P/1R4K1 w - -,b1b4
r3kb1r/ppq2ppp/2n1pn2/5b2/8/2N2N2/PPPB1PPP/R2QKB1R w KQkq -,a2a3
2rq1rk1/p4pbp/Bp2p1p1/2nb4/3N4/BP2P2P/P3QPP1/2R2RK1 b - -,c8c7
r4rk1/pbqn1ppp/1p1ppb2/8/2PP4/1PB2NP1/P3QPBP/2RR2K1 b - -,a8c8
8/2pbkpp1/1p1p2n1/pP1P2K1/2P1P3/8/P3B3/3N4 w - -,d1e3
8/ppp1kp2/1bp1n3/4P3/4N1P1/2Pr4/PP3PKB/5R2 b - -,e6c5
3r4/p2P2pk/5n1p/1p2N3/1P6/5pPP/8/3R2K1 b - -,h7g8
1r1q1rk1/1bpnppb1/2Rp2pp/3N2B1/1p1PP3/5NPP/PP3PB1/3QR1K1 b - -,h6g5
8/5p2/6k1/pb2K2p/5R1P/6P1/8/8 w - -,f4f6
3rr1k1/ppp2pp1/1b1q4/1P5p/4pBN1/PQ3PP1/N6P/R4K1R b - -,d6d4
r3r1k1/1p1nbpp1/1qp2nb1/p2p3p/3P1B1P/P1N1PBN1/1P1Q1PP1/3RK2R w K -,f4g5
N1b3k1/1p4bp/3p2p1/p2P4/2P1q1P1/3N3P/PPK1p3/3R3R w - -,d1e1
2rqkb1r/1p3ppp/p3pn2/2n5/2N5/4PP2/PPQ1BP1P/R1BR2K1 b k -,d8c7
3r2k1/p2rbppp/1p1npn2/8/NP1P4/P1N1B3/5PPP/2RR2K1 w - -,a4b2
r1bq1rk1/3nppbp/1pp2np1/p2p4/2P5/PP1PPN2/1B2BPPP/RN1Q1RK1 w - -,b1d2
n1bq4/4p1k1/1n3rp1/2pP4/4NN1p/1P1B3P/2PQ2P1/4R1K1 b - -,b6d5
5rk1/7p/4p1p1/1R6/1P1b1B2/6P1/5P1P/6K1 w - -,b5b8
4r3/2p2pkp/1pp2np1/4R3/5P2/2N5/PPP3PP/2K5 w - -,e5e8
r4rk1/5pp1/4p3/1N6/4qP1p/P5nP/5QP1/1R3RK1 w - -,f1e1
2n4r/1kp3B1/pp6/4pPN1/2Pb3P/PK6/4b3/4R3 b - -,h8g8
2kr1r2/pp2b3/2n1bp2/1BPnp1pp/1PN5/P1P2N1P/3B1PP1/3RK2R w - -,g2g3
8/6k1/6p1/1p2ppP1/1R1rP3/P3K3/8/8 b - -,d4b4
rnbqkb1r/ppp1pppp/5n2/8/2pPP3/8/PP3PPP/RNBQKBNR w KQkq -,e4e5:b1c3
8/4k1p1/2p1p2p/p1Pn3P/P2P1bP1/3B4/1B2K3/8 b - -,e7d7
r1b3k1/1p2qrbp/p1n1N2p/2NpP3/1P6/P2B4/4QPPP/2R1R1K1 w - -,e6g7
r1bqr1k1/p1p1bppp/2pp1n2/8/4P3/2PB3P/PP1N1PP1/R1BQ1RK1 w - -,d2f3
1r1b2k1/5p2/RnBp1n1p/1P1Pp3/N3P1p1/5P2/5BPP/6K1 b - -,b6a4
r1b4r/1pp2nkq/3p1pn1/P2Pp1pB/2P1P1P1/5P2/3B1K1N/R2QR3 b - -,g6f4
8/6p1/5kBp/1bB1p2P/1P6/4K3/1b6/8 b - -,b2c1
3rk2r/1p2bpp1/2p1pnn1/R5p1/2pP2P1/2N1P2P/1P1B1PB1/3R2K1 w k -,a5a7
2r3r1/pp2bk2/2bp1n1p/N3p3/5p1N/2P4P/PP3PPB/3RR2K b - -,f6e4
r1b2rk1/pp3ppp/2q3n1/8/3P4/1BPQ2bP/PP2NP2/R3K2R w KQ -,e2g3
1r6/2q2pbk/1p4pp/2p1p3/P1P1P3/1Qn1BN1P/5PP1/1R3K2 b - -,c3b1
2rqk2r/1b1nbp2/p1p1p2p/1p4pn/P2PP3/3B1NB1/1PQN1PPP/R4RK1 w k -,a1d1
8/p6p/3p2pk/1Pp1q1n1/2P1P1Q1/P7/5rB1/6RK b - -,f2f4
5r2/1knr1pp1/4p2p/p7/PN6/1R2P2P/6P1/2R3K1 w - -,b4d5
rn1qkb1r/pbp2ppp/1p2pn2/3pP3/3P4/3B1N2/PPP1QPPP/RNB1K2R b KQkq -,f6e4:f6d7
r3kr2/1p1bb1p1/1q2p3/3pPn2/pP5P/1P1B1N2/2NQ1P2/R4RK1 b q -,f5g3
1q3bk1/pb3p2/1prr2pp/n2N4/4BNQ1/1P4P1/P4P1P/3RR1K1 w - -,h2h4
6k1/p4R2/1p3p1p/3r1P2/1P1P4/P5P1/7P/6K1 w - -,f7f6
r2qnk1b/2nb4/pp1pppQ1/2pPP1p1/P1P1N1P1/5PN1/1P6/R1B1KB2 b Q -,d6e5
5rk1/2q4p/pn2p1p1/2p1P1Q1/2P5/2P1Bb2/P1B4P/5RK1 b - -,b6d7
R7/5pk1/1p1P2pp/2n5/b2N3P/r5P1/5PB1/6K1 w - -,g2d5
6k1/4p1bp/5rp1/2B5/P1P5/6P1/2PN3P/5KQq w - -,f1e2
rn1r2k1/pb3npp/1p2p3/4P3/2N2p1q/B1PB1P2/P1Q3PP/R4RK1 b - -,b8c6
q3k3/1p5p/2pQnpp1/2P1p3/1P2P2P/5NP1/4KP2/8 b - -,a8a6
1rbq1rk1/pp2b1pp/2n1n3/2p1p3/5p2/2NP2P1/PP1BPPBP/R1Q1NRK1 b - -,e6g5
3nk3/5p2/q4P1B/3pP3/2p3r1/2P5/2B3p1/4Q1K1 w - -,h6e3
rn2k2r/p1pp2pp/1p2p3/2b5/2P1P3/P4qP1/1P1Q1N1P/R1B1KBR1 b Qkq -,e8g8
1r6/4k2p/4b3/6p1/p1p1Pp2/2P2P2/P1R4P/2K2N2 b - -,a4a3
8/8/p1r1rk1p/Pp1R2pP/2p2P2/2Pp4/1P1K4/5R2 b - -,e6e2
2r1r3/p6R/2n2P2/2P5/4k3/4p3/P1R5/2K1B3 b - -,c6d4
6k1/5p1p/r1prpnp1/1p6/3P2qP/PQR2NP1/1P3P2/2R3K1 w - -,b3b4
2r5/R4pk1/4p1pp/3pP3/3P4/6P1/Pr3P1P/5RK1 b - -,g6g5
rn1qkb1r/pbp1pppp/1p3n2/3p4/8/3P1NP1/PPPNPPBP/R1BQK2R b KQkq -,b8d7
3r3r/2q2bQ1/p1p1kP2/1pP1p1p1/7p/P6P/1P2B1P1/5R1K w - -,g7g5
r2q1rk1/1b2bppp/p4n2/np1pN1B1/2pP4/P1N3P1/1PQ1PPBP/2R2RK1 w - -,c1d1
8/8/4kP2/4P3/3P4/2pK3p/8/8 w - -,d4d5
r2q1rk1/p1pn1ppp/1ppb4/4p3/2P1P3/3P1N2/P1P2PPP/1RBQ1RK1 w - -,g2g3
2k5/2p4p/1p1p2p1/p7/PbPB1P2/1P1Q1K1P/6P1/2q5 w - -,d4e3
8/rB6/P2R4/b4p2/P1p2k2/3p4/8/3K4 w - -,d6d4
8/6p1/5k1p/PR5P/5KP1/r7/8/8 w - -,b5b6
7k/5pb1/4p3/4P3/5P1P/6Q1/r1pK1P2/8 w - -,g3b3
r1bqk2r/pp2bp1p/1n2p3/3pP1p1/1n1P4/5N2/P2N1PPP/RBBQ1RK1 w kq -,d2b3
r3nr1k/2qbbn1p/pp1p1pp1/2pPp3/P1N1PPP1/2P3QP/1P5N/R1B1RBK1 b - f3,e5f4
6k1/4pp1p/rpqp2p1/2n5/R1P1PP2/P4K2/1QPN2PP/R7 b - -,a6a4
rnbqnrk1/1p2bppp/p2p4/2pPp3/P3P3/2N2N2/1PP1BPPP/R1BQK2R b KQ -,f7f5
1r3b1k/2R3pp/4qp2/2p5/4N3/1PPQ2P1/1P3P2/6K1 b - -,e6b6
rn1qkbnr/ppp2ppp/4p3/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,c1f4
8/1N1nk1pp/p3p1b1/8/pP2p3/2N5/5PPP/6K1 w - -,c3a4
r3k2r/1bqnbp1p/p2ppnp1/8/R2NP3/2N1B3/1PP1BPPP/3QR1K1 w kq -,a4c4
r1b2rk1/p1q2pp1/1p1bn2p/2p1p3/4P1QP/2P3P1/PP1N1PB1/R1B1R1K1 w - -,g4h5
r6k/5pb1/p1qp2p1/1prNp2p/2PnP1P1/1P2B2Q/P4P1P/3R1RK1 b - g3,b5c4
r2qkb1r/p4ppp/npp1pn2/3p4/3PP3/5N2/PPPN1PPP/R1BQK2R w KQkq -,e4e5
2r5/1p1n2p1/4k3/QP1p1p2/3P3q/3BP3/5PP1/1R4K1 w - -,g2g3
1rb2rk1/1pq2pbn/p2p2p1/2pPn3/P3P2p/R1N1BP1P/1P1QB1P1/5RKN b - -,f7f5
rn1q1rk1/pp3pbp/4p1p1/1N1b4/8/2N1B1P1/PP2PP1P/R2Q1RK1 b - -,a7a6
r2qk2r/4ppb1/2bp1np1/2p3P1/2P5/P3PN1P/2B5/B1R1QRK1 b k -,f6h5
3rr1k1/1bqnbppp/pp3n2/2p1p1B1/P3P3/N1PB1N2/1PQ2PPP/R3R1K1 w - -,a1d1
8/3b4/8/4kPb1/p3p1Bp/2P1N2P/P2K4/8 w - -,f5f6
r4rk1/1p2bq1p/6p1/p1p5/2P1B2n/PPB1PpRb/1Q1N1P1P/2R3K1 b - -,h3e6
8/8/7p/1r2p1k1/4R3/3K4/7P/8 b - -,b5a5
4r3/3n4/5k2/3B3R/1p1KP3/8/2P5/8 w - -,h5f5
r1bqk2r/pp2bpp1/1np1p2p/8/3P2P1/2P1PN2/P1QBBP1P/R3K2R w KQkq -,a2a4
rnbq1k1r/pp4pp/2p2b2/3p1p2/2BP4/2N2N2/PPP1QPPP/R3K2R w KQ d6,c4b3
r2qrnk1/4bppp/1p1p1n2/1PpPp3/1P2P3/4BP2/3NB1PP/R2Q1RK1 b - -,f6d7
3r2k1/5ppp/4pn2/p1b1q3/P6Q/2NrPP2/1P3P1P/R1B2RK1 b - -,c5b4
k4r2/2R5/p1p5/1p2N3/3P4/P1P5/1P4r1/K7 b - -,f8f1
r4rk1/1pqn1ppp/2p1p1b1/p1n1P3/P1B1PP2/1PN5/4Q1PP/R1BR2K1 b - -,a8d8
6k1/p7/2prn1p1/5p2/1PR5/P3BP2/7P/6K1 b - -,d6d3
r2q1rk1/p3bppp/1pp1p1b1/8/8/1PBPQ1N1/1PP2PPP/R3R1K1 w - -,e3f3
1r4k1/4pp2/6p1/2pPp3/q1N1Pb2/P4P2/1PR1QP2/5K2 w - -,c2c3
r3k2r/2qbbp2/p1p1pnp1/6B1/3Q1p1P/2N5/PPP3B1/2KRR3 b kq -,c6c5
r1bqkb1r/pp3ppp/1nn1p3/3pP3/3P4/1B3N2/PP3PPP/RNBQK2R b KQkq -,f8e7
7k/6p1/2n4p/pRr5/P1P5/7P/6K1/8 b - -,c5c4
8/3R4/8/p7/Pk1p2p1/2r1n1P1/4PKBP/8 b - -,b4a4
4r1k1/p1q1rppp/3b1n2/1pp1p2b/8/PP1P1NPP/1BP1RPB1/2Q1R1K1 w - b6,c2c4
r1q3k1/pp2nrp1/4Qp1p/3P4/P5N1/2P4R/5PPP/R5K1 b - -,c8e6
1rr3k1/p3pp1p/6p1/qN2Q3/2P5/1P4P1/P3PP1P/R5K1 w - -,e5e7
5Q2/7k/8/1p2q2P/7K/2p5/8/8 b - -,e5e6
r4k2/pp2r1b1/3p1nB1/2pPp3/2Pq4/P5RP/3BQP2/1R2K3 b - -,a8b8
r2qn1k1/p2r2bp/1pRp2n1/1N1Pp1p1/1P2Pp2/5P2/P2Q1BPP/2RB2K1 b - -,g6e7
8/p2rkpp1/2p1p2p/1b2P3/5P2/4N1P1/PR3K1P/8 w - -,f2f3
6n1/2R5/5pk1/5rp1/4N2p/5P1P/4K1P1/8 w - -,c7c5
6k1/2b1rp1p/6p1/8/2B5/1P2PQ1P/P1q1KPP1/3R4 w - -,d1d2
8/6k1/1n2q1p1/3nP3/p1p1QP2/P5N1/5P2/3R2K1 b - -,c4c3
6k1/1pr3p1/p5r1/P1Np2np/1P1P1p2/1Q2PPqP/5RP1/R4K2 b - -,g5h3
1r3rk1/4b1n1/2pqp3/pp1n3p/3P1pP1/PP1N1Q1P/1BR2P2/4RBK1 b - -,h5g4
2r3k1/1p1b2pp/2qnpb2/3p4/3P1P1P/1QP2BP1/r2B3R/1R2K1N1 b - -,c8a8
2r2rk1/1bq1bp1p/pp1ppnp1/8/PP1NPP2/2NP4/3BQ1PP/2R2R1K b - -,c7d7
r3b1k1/5pb1/1n4p1/1p1P3p/1PpNPR1P/8/r1B1N1P1/1R4K1 w - -,g1f1
8/4bk2/3R2p1/4Nb1p/1p6/1P6/P5PP/7K b - -,f7g7
r1bn1rk1/pp1p1pp1/1bpN3p/3PP2q/2B5/2PQ2B1/P4PPP/R3R1K1 b - -,b6c5
2kr1b1r/1ppb1pp1/p7/1P1P3p/Q1P1q3/3p1N2/P4PPP/R2B1RK1 w - -,f1e1
rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -,b8d7:f6e4:c8f5:g7g6:e7e6:c7c6:c7c5
1r2r1k1/2p2pp1/2p5/p1N1p1q1/Pb1PPn2/1N2BPPb/1P3Q2/2RR2K1 b - -,b4c5
8/1R3bpk/p3r2p/4p3/8/2B4P/1P3PPK/8 b - -,h7g8
r1bq1rk1/1pp2ppp/2n2n2/p1b1p3/2Pp2P1/PP1P1N1P/1B1NPPB1/R2QK2R w KQ -,e1g1
7Q/kpq2p2/p1n1p2p/5p2/4rn2/5N1P/P4PP1/1RR4K b - -,f4d3
r4rk1/p1n1q1pp/p1b1p3/2PpPp2/3Q1N1P/2P3B1/P1P2PP1/R4RK1 w - -,c3c4
r2q1rk1/3nppbp/b2p2p1/1BpP4/P3P1n1/2N2N2/1PQ2PPP/1RB2RK1 b - -,h7h6
r2qkb1r/pp1n1ppp/2b1pn2/2p1N3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,c6g2
r1rn2k1/pp3pbp/2b1p1p1/2Bp1n2/PP6/1NPP2P1/5PBP/RN2R1K1 w - -,b4b5
2b2r2/3n2rk/4Q3/p2Pb3/1pp1Pp2/5P2/PPBBN2P/7K w - -,d2f4
3rr1k1/ppn2ppp/2p5/3b2P1/2BP4/P3B1RP/1P3P2/2R2K2 w - -,c4d3
8/5R2/8/1r4p1/4k3/6PP/6K1/8 b - -,b5b2
r1rq2k1/2p1np2/1p2n1p1/pN1p3p/3P4/PP2P2P/1QR1BPP1/2R3K1 b - -,c7c6
r1bq1rk1/p2nbppp/1p2pn2/2pp4/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 w - -,c1b2
r3r1k1/pp2qpp1/2p4p/8/3Pp3/3Q1P2/PP4PP/4RRK1 w - -,f3e4
r6r/pR3ppk/2n2q1p/3bN3/2pP4/2P3P1/P4PBP/3QR1K1 b - -,d5g2
r2q1rk1/1b2npbp/p2p1np1/PppPp3/4P1P1/1PP1BNNP/2B2P1K/R2Q2R1 w - -,c3c4
r4rk1/1pp1qppp/p1pb1n2/4p3/3PP3/5N1P/PPP2PP1/R1BQR1K1 b - -,f6d7
1r5k/2q3p1/pp2Qr1p/3R4/2P3P1/5p1P/P4P2/4R1K1 w - -,e6e5
r2qr1k1/1p1nbppp/2p5/p1nPp3/2P1P3/P1N2N2/1P1B2PP/1R2QR1K w - -,e1g3
5rk1/5pnp/2NP2p1/2QP1b1q/2P2P2/8/r5BP/4RR1K w - -,c6e7
1r1q1rk1/1p2bppp/p2p1n2/2pNpP2/P1PnP3/6N1/1BPP2PP/R2Q1RK1 b - -,b7b5
4r1k1/1p5p/6p1/4nq2/p1P2p2/2Q4R/PP4PP/4R2K w - -,c3d4
r3k2r/pp2bppp/2n1pn2/q7/3P2b1/2N1BN2/PP2BPPP/R2Q1RK1 w kq -,f3e5:h2h3
r3kb1r/ppqn1ppp/2p1pn2/2N2b2/2QP4/5N2/PP1BPPPP/R3KB1R w KQkq -,c5d7
3r2k1/1q3ppp/p3p3/3n4/2pN3Q/P3P2P/1PR2PP1/6K1 b - -,d8c8
2rk1b1r/pp4p1/4p3/3p4/3n4/P1N5/1P3PPP/R2BK2R b KQ -,f8d6
r3r2k/6Rp/p3p3/1p1pPp2/3P1q2/6R1/PPQ2P1P/6K1 b - -,f4h6
r7/6pp/4k3/2B2p2/2P1p3/3R1KPP/5P2/8 w - -,f3e3
8/2p5/1bR1Brpk/pP5p/P1P3P1/7K/8/8 b - -,b6d4
1r2qbk1/1rnb4/p2p2pp/1ppPp3/2P1PpPP/1PNB1P2/P1QB4/K1R4R b - -,c7a8
2r3k1/5p1p/pb3qp1/1p1BP3/6r1/2PQ4/P1R2PPP/4R1K1 b - -,f6e7
1rk5/4Rp1p/2Ppn1p1/4b3/B3P1PP/1P2BP2/5K2/8 b - -,e5f6
6k1/p4p2/1p2p1pp/4n1q1/1PB5/P3PP2/4QP1P/7K b - -,g5h5
1rb1k2r/1pqnbppp/p1p2n2/2Ppp3/N2P4/4PN2/PPQ1BPPP/R1B2RK1 w k -,b2b4
r2q1rk1/1p2bppp/p1npbn2/4p3/4P3/1NN1B3/PPPQBPPP/R4RK1 w - -,f1d1
r1b2r2/1pp3kp/pn3pp1/8/3pPP1P/2N5/PP4P1/2KR1B1R w - -,d1d4
r4r1k/ppp3p1/3pb2p/2b4P/2N1PpPB/1PP2P2/P7/R4R1K b - g3,f4g3
5rk1/4q1pp/2p5/1p2p3/r1n2B2/2PQ2P1/P3RP1P/4R1K1 b - -,e7f7
r3k2r/pp1nqpp1/1n1bp1p1/2p5/3PP1P1/P1N2Q1P/BP1B1P2/R3K2R w KQkq -,d2e3
r1b2rk1/pp4pp/2n1pq2/2np4/5P2/2N2NP1/PPPQ3P/2KR1B1R b - -,f8d8
r1b1k2r/pp2p1b1/3p1n1p/5pp1/2NN4/4P2P/PPP2PPB/R4RK1 b kq -,c8d7
6rk/p6p/1p2b3/5p2/1N3b2/7P/P5B1/4R2K b - -,e6c4
8/6r1/3p3k/1P2p3/2P1P2P/7P/5pBK/8 b - -,h6h5
1r5r/p1p1kp1p/b1Bnpp2/1p6/PPpP4/4P1P1/3N1P1P/2R2RK1 w - -,a4b5
3r1rk1/1p4p1/p3pq2/7p/PP1bb3/R3N1BP/4QPP1/4R1K1 b - -,d4c3
4r2r/1P3k2/2N1bpq1/pQ3np1/8/1p2NPPp/7P/2R2RK1 w - -,e3c4
r4rk1/1q2p1b1/pp5p/n1p1Npp1/2N2n1B/2P5/PP3PPP/R3RQK1 w - -,h4g3
r2qk1nr/pp2bppp/2bp4/4p1B1/4P3/2NQ1N2/PPP2PPP/R3K2R w KQkq -,g5e7
8/3K1p2/p7/R2P1k1p/7P/6P1/P2r4/8 w - -,d5d6
7q/1Q1K4/P5p1/6k1/8/8/8/8 b - -,h8h3
8/4kp2/3p4/2p5/P1P2p1R/1PK2P2/6rP/8 b - -,g2f2
5bk1/6p1/1q1p3p/p2Ppp2/8/1B3P1P/2QB2PK/8 w - -,b3a4
3r1rk1/ppp3pp/2nbq3/2nN1p2/2P2P2/3BP2P/PPQB2P1/R4RK1 w - -,a1e1
r1bq1rk1/pp3ppp/3bpn2/3pN3/1P6/P1P3P1/3NPPBP/R1BQ1RK1 b - -,d6e5
2b2rk1/r4ppp/pR2p3/1pB1b1P1/4P3/P4P2/2P4P/1K3B1R w - -,c5f8
r1bqk1nr/ppp2pbp/2np2p1/4P3/8/1P2P3/PBP2PPP/RN1QKBNR w KQkq -,g1f3
r2qr1k1/pb1n1pp1/1pp2b1p/3p4/1P1P4/1QN1PN2/P3BPPP/R4RK1 w - -,f1c1:b4b5
6k1/3n1p1p/8/1Rp1pq2/r2pN3/3P2P1/2Q4P/6K1 b - -,a4a1
5rkr/p2q3p/2n3pQ/2p2N2/1p5R/3P2P1/PPP4P/5RK1 w - -,f5e3
r1bqkbnr/1p1p1ppp/p1n1p3/8/2B1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,d1e2:e1g1:a2a4
2rq1rk1/pp1b1pbp/2n1pnp1/2p5/2P5/2N1PNP1/PB1PQPBP/R2R2K1 b - -,d8e7
r2q1rk1/4npbp/1pn1b1p1/p1ppp3/P7/1PNPP1P1/1BPN1PBP/R2Q1RK1 w - -,c3b5
r3r1k1/1pp3pp/1p1p4/3P1B2/1PPB1P1n/P7/6P1/R3R1K1 b - -,h4f5
4k2r/5ppp/3qpb2/Q2nN3/8/7P/PPR2P2/1K6 w - -,a5b5
7k/p4p2/5qp1/2n4p/2pr1P1P/P3Q3/8/1B2R2K b - -,f6h4
6rk/1p6/p3n2p/2PR4/1P1P4/P6B/7P/7K b - -,e6f4
4r1k1/1q1r1pb1/p5p1/1p1bn1Np/5Q1P/1P3P2/P4BP1/3RRB1K w - -,d1c1
3b4/8/1Pp5/p2k3p/P4N2/5K2/8/8 b - -,d5c4
3r3k/2Q4p/p5pb/1p1P4/7q/1P6/P5BP/5R1K w - -,c7f7
2q3r1/r4pbk/pp1p3n/3Pn1Q1/P1p1P3/2N3B1/1P2BPP1/3RR1K1 w - -,g5e3
r4rk1/2p1q1np/1p1p1npb/pP1P1p2/P2Pp3/4P1P1/2QNBP1P/R1B2RK1 b - -,a8e8
r1bq1rk1/pppn1pbp/2np2p1/4P3/8/1P2PN2/PBPNBPPP/R2Q1RK1 b - -,d6e5
r2q1r2/2nbp1kp/3p1pp1/pPpP4/4P3/2N2N1P/1PPQ1PP1/1R2R1K1 b - -,c7b5
r1b1kbnr/pp2pppp/4q3/8/3Q4/2N5/PPP1BPPP/R1B1K2R b KQkq -,g8f6
1k1r3r/ppq2pp1/3bpn1p/2p5/3P3P/2P3PN/PPQN1P2/2KR3R w - -,d2e4
8/1p3p1p/4pBk1/4P3/6N1/7P/6R1/2q2BK1 w - -,g4e3
rn1qk1nr/pp2bppp/2pp4/4p3/4P3/2NP1BP1/PPP2P1P/R1BQK2R b KQkq -,g8f6
r6r/p2knpbp/6p1/3pp3/5B2/N1P5/PP3PPP/2KR3R w - -,f4e3
1b1r2k1/pp1rnpp1/4p2p/1PR5/P2P4/5NP1/1B3P1P/2R2K2 w - -,c5c4
2r3k1/1pq2pb1/p2p3p/3Pp1p1/1P2Pn2/6B1/PQr2PPP/R2R1NK1 w - -,b2b3
r6k/qp2Nr1p/2pQ1pp1/p1n1p3/P3P1P1/1P5P/2P2P2/3RR1K1 w - -,g4g5
2r1r1k1/3q1pp1/p4n1p/2pp4/8/P1Q1P1N1/1P3PPP/2RR2K1 w - -,c3d3
b2r2k1/2nq3p/p2p2pb/2pP1p2/P1B4P/1QP2N2/4RPPB/6K1 b - -,d8c8
3rr1k1/p4pbp/n5p1/2Bn1b2/N7/5NPP/PP2PPB1/R3R1K1 b - -,f5d7
2r3k1/Q4p1p/6p1/4P3/2r5/5P1P/5P1K/8 b - -,c4f4
4r3/1p2pQk1/p5p1/3p2q1/P3p3/7P/6P1/5R1K b - -,g7h6
3r2k1/1ppqb1pp/1n3p2/8/p2p4/Pr1P2P1/4PPBP/BRQ1R1K1 w - -,g2b7
8/3k2K1/8/6pP/6P1/2p5/8/8 b - -,c3c2
rr4k1/5p1p/b3p1p1/p2p4/5P2/1B5P/1RP3P1/3R3K w - -,b2a2
5nk1/ppq1brp1/2p1b2p/2p2p1P/2PP4/5NP1/P3QPB1/1R2R1K1 w - -,d4d5
N2b3r/1p2kppp/1pb5/3p4/P2P4/8/1P3PPP/R4RK1 w - -,b2b4
1r4k1/2R2ppp/4p3/p1p5/8/2P3P1/P4PKP/8 b - -,h7h6
r1b1qrk1/1p1n2pp/2pB1b2/2Pp4/3Pp1N1/1P4PP/P4PB1/R2Q1RK1 b - -,f8f7
8/6k1/8/P1pPp1n1/2P2p2/6p1/6K1/8 b - -,g5e4
1r3rk1/ppn2ppp/2p5/q2p4/1P1P4/P1NQP1P1/5PP1/R4RK1 b - b3,a5b6
