8/2k4p/3R1r1P/2P5/PK6/8/8/8 b - -,f6f4
r2qk2r/pp3ppp/2n1Bp2/8/1b1pP2Q/8/PPP2PPP/R1B1K1NR w KQkq -,e1f1
1r4k1/3r1pp1/1P5p/2pnP3/3pBP2/5K2/5P1P/1R1R4 w - -,e4d5
rn2k2r/pp2bppp/1qp1pn2/3p4/4P1P1/P1NP1Q1P/1PPB1P2/R3KB1R w KQkq -,a1a2
r1b1r1k1/ppqn1p2/3b2pp/2pPp3/2P4P/1Q3NN1/PP2RPP1/1B2R1K1 b - -,h6h5
1r2r1k1/1bq1p1bp/pn1p1np1/2pP1p2/2N5/1PNQ2P1/P3PPBP/1RB1R1K1 b - -,b7a8
2R5/8/2n5/1k1p4/8/1K6/2P5/8 w - -,c8c7
1R6/7k/5pnp/2K5/2B1PP2/8/7P/3r4 w - -,b8b7
6k1/pq3pbp/1p2p1p1/3bN3/1P1PnQ2/P2B3P/1B3PP1/6K1 w - -,d3e4
rnb1k2r/pp2ppbp/6p1/2P5/6n1/2P1BN2/PP1N1PPP/R2K1B1R b kq -,b8d7
r1bq1rk1/3n1pbp/p1ppp1p1/5P2/2P1P3/2NBB3/PP2Q1PP/3R1R1K b - -,d8e7
r2q1rk1/pp1n1ppp/2pbpn2/3p4/4P3/3P1NPP/PPP2PB1/R1BQ1RK1 w - -,d1e2
r1bq1rk1/pppnnpbp/6p1/4p3/2P1P1P1/2N1B2P/PP1Q1P2/R3KBNR b KQ -,d7f6
6k1/pb1n3p/n1p5/P3r1p1/1NP1pp2/P7/1N2BPPP/1R4K1 w - -,b1d1
4k2r/1b2bpp1/2p1p2p/r1BnP3/p1B1N3/6P1/PPR1KP1P/2R5 b k -,f7f5
r5k1/pp1bbppp/8/4p3/1n2P3/N3B1P1/PP3P1P/R1r2BK1 w - -,a1c1
r1r3k1/1Nq3pp/p3pb2/3p3P/1p2PP2/3QB3/1PP5/1K1R3R b - -,c7b7
rr4k1/1Npnqppp/p1p3b1/3pp3/4P1P1/2PP1P1P/P1P2BK1/1R1Q1R2 w - -,b1b3
1R6/7k/3p1r2/4q3/4bNpP/1p2P1K1/3Q4/8 w - -,b8b3
2q1k2r/np1bbpp1/p1r1p2p/3pP1PP/3P1PB1/2B2NK1/PP1Q4/2R4R w k -,d2d3
2q1r3/2k2p2/1p1p1Pp1/2pPn1Pp/2P5/2P4P/3QBK2/1R6 w - -,d2b2
r1b1r1k1/p7/2p3pb/2p1pp1p/3pPnPq/1P1P1P1P/P1P1N1K1/R1BQ1N1R w - -,c1f4
1kr4r/1bqp4/p1n1p1p1/1pb2p2/3pPP1p/1BPP3N/PP1BQ1PP/R4R1K b - -,d4c3
r2q1Bk1/1b1n3p/5bp1/p1pPpp2/PpP5/5N1P/1PB2PP1/RQ2R1K1 b - -,d8f8
r1bqr1k1/1p3ppp/p2b1nn1/3p4/8/1P2PN2/PB1N1PPP/R2QRBK1 b - -,d8e7
r1b2rk1/pp3ppp/4pn2/2qPN3/2Nn4/1P1B4/P4PPP/R2Q1RK1 w - -,d5e6
r3k2r/ppq2pp1/2pnpnp1/3p2N1/3P1P2/2PB2PP/PPQ2P2/R3K2R b KQkq -,e8c8
r1q2rk1/pb2b1pp/5p2/2p2P2/4p1QN/PP2P3/1BP4P/3R1RK1 b - -,c5c4
8/8/4p1kp/8/6p1/P3N1Pn/2R3K1/r7 w - -,e3g4
2rqnrk1/5pp1/p2p3p/1p1Pp1b1/4B1P1/P3B3/1PP2P1P/3QRR1K w - -,d1d2
1r1qn1k1/1pnb1pbp/3p2p1/1P1Pp3/N3P3/Q2BB2P/4NPP1/2R3K1 w - -,a3b4
2B1r2k/2p4p/p2P1ppb/4p3/8/2B2bP1/PP3P1P/R2R2K1 b - -,e8c8
k1r5/1pq2pp1/p2p1b1p/2nP4/1Q4P1/2P4P/PPN1r3/1K1R1B2 w - -,f1e2
r1b1k2r/ppq1bppp/2nppn2/1Bp5/5P2/1P2PN2/PBPP2PP/RN1Q1RK1 w kq -,b5c6
4n3/3Nkp1p/6p1/q1p5/8/4P3/2Q4P/3b1K2 w - -,c2d1
3q2k1/5pp1/2p4p/8/1Q6/P5P1/4r2P/4R1K1 b - -,e2a2
3rq1k1/1bp2pp1/p3rn1p/2B1p3/1P6/P1PP1N1P/4QPP1/R3R1K1 b - -,f6d5
6k1/1p3bpp/2nN4/5p2/2P2Q1P/1P3PP1/3p2BK/4q3 w - -,f4f5
8/8/6P1/p7/k1K5/4p3/8/8 w - -,c4d3
4b3/7p/2n2pk1/2B1p1p1/3pP3/3P1PP1/1R3K1P/8 w - -,b2b6
r3kb1r/pppqn1pp/2n1bp2/4p3/Q1N5/3P1NP1/PP2PPBP/R1B2RK1 b kq -,e7d5
r2q1rk1/1p4pp/3p4/1Bp1pn1b/2P3P1/P1QP1P2/R6P/2B2RK1 b - g3,f5d4
r5k1/pbp1r2p/1p1p1n2/3P2n1/5R2/2P1P3/P5B1/2KQ2B1 b - -,a8f8
2r1r1k1/p3qpp1/2p2n1p/2Np4/8/1P3QP1/P1R1PPKP/3R4 w - -,e2e3
2rr2k1/pb4pp/1qn1pp2/1BRn4/3P4/BP3N2/3Q1PPP/2R3K1 b - -,c6e7
8/7p/5pp1/2k5/8/2b1KN1P/6P1/8 w - -,e3f4
3q1nk1/bp3pp1/p1p4p/P3p3/1P2P2P/2Pr2P1/4QP2/1R2BB1K b - -,d3d6
8/pnk1bp2/1p2p1p1/7p/1P3P2/2PK1BP1/P4B1P/8 b - b3,a7a6
1rbq1rk1/1pp1npbp/p2p1np1/3Pp3/2P1P3/2N1BP2/PP1QN1PP/2R1KB1R w K -,g2g3:c3d1
1r1r2k1/4pp1p/6p1/1p3b2/1P1Q4/1R4PP/4PPB1/5RK1 b - -,d8d4
3q1rk1/4bppp/p1r1p3/6P1/1p1B1P2/1pNB4/1PP2Q1P/1K2R3 w - -,c3e4
3r4/3P3p/2r2k2/p2Rp1p1/1bB1Pp2/1P3PP1/2R3KP/8 w - -,c2a2
1r3r1k/1b2np1p/p7/1p2ppPR/6P1/2P1N3/PPB2P2/R3K3 b Q -,b7f3
8/1R5p/4k1r1/8/6K1/P4P1P/7B/2r5 w - -,g4h4
r3k2r/1p1b1p2/p1npp3/5P1p/4Pbp1/1N1B4/PPP3PP/R4RK1 w kq -,f1f4
r3rbk1/1p4pp/2pq4/p2bN3/Pn1P4/B1N3P1/3QRP1P/1R4K1 w - -,b1e1
6R1/2k1K3/3Rp3/3r1b2/8/8/8/8 w - -,d6a6
r1bq1rk1/1p4b1/p2p2n1/1P1Pp2p/P3P3/B3Q1Pp/4NP1N/R1R3K1 b - -,h5h4
r3k2r/1bqnbp1p/pp1p1np1/4pP2/P3P3/1NN1BB2/1PP1Q1PP/3RK2R b Kkq -,a8c8
2q3k1/5pp1/2p5/1p1prPP1/3Pn2P/4Q3/8/4R1K1 w - -,d4e5
r4rk1/pp5p/4P1p1/3pRP2/3q4/6Q1/PP5P/5R1K b - -,a8e8
r4rk1/3q2bp/4b1p1/1pppnp2/p3PN2/2PP2R1/PPBB2PP/R1Q4K w - -,f4e6
2kr3r/1pp1q3/1n2p3/p2pP2p/P5P1/1P6/2PQBPP1/R3R1K1 b - -,h5g4
r4rk1/1p3ppp/p2pbn2/2q5/4PQ2/2NB1R2/PPP3PP/R6K w - -,a1f1
2r1r3/2PQbpkp/1B2p1p1/2Pp4/8/4P1P1/5P1P/6K1 w - -,g1g2
1r4k1/1pqb1pnp/p2p2p1/P2Pr3/2p1PPP1/2N4P/1P1Q4/R3RBK1 b - f3,e5e8
2rqk2r/pp1bbppp/4p3/3pP3/1nnP4/2N2N2/PP3PPP/RBBQ1RK1 w k -,c3e2
3rb1k1/1p6/p2p4/P2PpqbQ/1PN5/5P2/2R3P1/2R4K w - -,c4d6
3r2k1/1p2npp1/p1q3np/3b4/8/2N4P/PP1Q1PP1/R3RBK1 b - -,c6b6
8/7p/p2k2p1/3n1p2/PpK2P1P/8/P2N4/8 b - -,d5f4
8/5p1p/2pk2p1/rp6/3P3P/2K1P1P1/1R3P2/8 b - -,a5a3
2rqk2r/pb1nbppp/1p1ppn2/8/1PPP4/P1NB1N2/5PPP/R1BQR1K1 b k b3,e8g8
8/7p/5k2/1p2r3/1R6/6KP/5P2/8 b - -,f6e6
rn1q1rk1/pp1n1pbp/4p1p1/1B1p4/3P4/1QN1P3/PP1B1PPP/R3K2R b KQ -,b8c6
2b5/4b1k1/3p3p/2pP2p1/2PpB1PP/5PK1/3B4/8 w - -,h4g5
r5k1/7p/1Q2bq2/1p1p1pp1/8/1B1P4/1PP3PP/5RK1 b - -,f6e5
r6k/1pq2p2/3p1Pr1/p2Pp2p/4Q2P/3BB3/PP6/1K1b3R w - -,h1d1
2r3k1/1b2p2p/3p2p1/1p2N3/8/3P2P1/pr3PBP/R3R1K1 b - -,b7g2
1r1r2k1/pR3pp1/P5np/8/2p5/B2p2P1/5P1P/5RK1 w - -,a3c5
r1bq1rk1/pp1n1nbp/2pp1pp1/4p3/2PPP2B/2N2N2/PP1QBPPP/3R1RK1 w - -,b2b4
rnb1r1k1/ppq3bp/2pp1np1/4pp2/2PP4/1P3NP1/PBQNPPBP/R4RK1 w - e6,d4e5
6k1/Q3pp1p/6p1/P1p5/8/5PP1/P3q1KP/8 w - -,g2g1
8/8/3r4/R2bk2p/2Bp2p1/6P1/4K3/8 b - -,e5e6
1n3rk1/1pp2pp1/7p/3P4/1qPpP3/3Q4/4B1PP/1R4K1 b - -,b4c5
rn1qk2r/pp2npbp/2ppb1p1/4p3/1PP1P3/2NP2P1/P4PBP/R1BQK1NR w KQkq -,g1f3
rn1q1rk1/ppp2pp1/3bpn1p/3p1b2/3P4/4PNB1/PPPNBPPP/R2QK2R w KQ -,c2c3
r1bqk2r/pppp1ppp/2n1pn2/8/1b1PP3/P1NB4/1PP2PPP/R1BQK1NR b KQkq -,b4a5
rn3rk1/1p2bppp/2bNp3/p7/P1B5/BP2P3/5PPP/R2R2K1 b - -,b8a6
1r2r1k1/2qb1pbp/pn1p1np1/N1pP4/4PP2/2N3PP/1P4B1/R1BQ1RK1 w - -,f1e1
4rr1k/pp1q3p/2nnpp1Q/3p4/3P4/2N2N2/PP2RPPP/4R2K b - -,c6d8
5rk1/p2nb1pp/2Qpb3/6p1/4N2P/2P1q1P1/PP2N1B1/R2K3R w - -,e4d2
3qr1rb/R7/R3pnkp/4p1p1/1B2P1Q1/1PNP3P/2P3P1/6K1 w - -,a6e6
8/pk1p1r2/4p1p1/Q1p1Rr2/2Pq1P1p/1P5P/P5P1/4R1K1 w - -,e1e3
2r5/4kp2/pR4p1/1b6/4pP1p/P3N2P/5KP1/8 w - -,f4f5
1r1q1rk1/p2bp1bp/2np1np1/1p6/3NP3/2N1BP2/PPP3P1/2KRQB1R b - -,c6e5
2r3k1/3Rbr2/1p2q1p1/p2Q1p1p/P1P1pB1P/1P2P1P1/6K1/3R4 b - -,e6d5
1r2n1k1/2r2qpp/5p2/p3pP2/B1p1P3/P1P3R1/K2Q3P/6R1 b - -,f7e7
8/8/7p/r2k1p1P/P3P3/3K4/8/R7 b - -,f5e4
r6r/3k1p2/p2p1n1b/2p1p2p/2P1P1p1/2N1R3/PP1P1PPP/R1B3K1 w - -,e3e2
3r2k1/pp3pb1/2p3pp/2P1p3/2BnPn2/P1N1B2P/1P3PP1/3R2K1 w - -,g1f1
6N1/7k/1r6/5K2/8/6R1/7p/8 w - -,g3h3
r1b1k1nr/1pq1bp1p/p2pp1p1/4n3/4P3/NNP5/PPB1QPPP/R1B2RK1 b kq -,g8f6
r2qk2r/pp3pbp/2np1np1/2p1pb2/2P5/1P1P1NPP/PB2PPB1/RN1Q1RK1 w kq -,e2e3
8/8/8/1N2k3/3p4/5bp1/8/4K3 b - -,f3c6
6rk/pn2qp2/1p1p4/3Pp2p/1P2PnP1/P7/1Q3BPP/2r1RBK1 w - -,e1c1
8/8/p4k2/p5R1/5p1P/4p3/6P1/r2BK3 b - -,a1a2
rn2k1r1/pb2qp2/1p1p1n1p/2pP2p1/2P1p2P/P1P1PP2/3N1BP1/R2QKB1R w KQq -,h4g5
7r/1p2bpk1/2p3p1/3pPq2/p2P1P2/P6r/3R2QP/2BR3K w - -,d2a2
r4rk1/1npq3p/1p3pP1/p1bPp3/P1P1P3/3B4/3BQP1P/R4RK1 b - -,h7g6
r5k1/4ppbp/3p2p1/q1nP4/b1p5/r1P1B1P1/Q3PPBP/1N2R1K1 w - -,a2a3
8/5pk1/4p3/q5P1/P3Q2P/4P3/5PK1/8 w - -,e4c4
r3kb1r/pp1n1pp1/1qp1pn1p/3p1b2/2PP4/1QN1PN2/PP1BBPPP/2R2RK1 b kq -,f8e7
r2q1rk1/3nbppp/bpp1pn2/p2pP3/2PP4/1PNQ1NP1/P4PBP/R1B2RK1 b - -,f6e8
8/8/1p6/p7/n7/k2B4/8/1K6 b - -,b6b5
r1bqrbk1/1p3p1n/p2p2p1/3Pn1Pp/3NNB2/1P5P/P4PB1/R2Q1RK1 b - -,c8d7
5r2/3kp2p/Pr1p1pp1/1NpP4/2P5/1R5P/3B1PPK/8 w - -,a6a7
1r2r1k1/3b1ppp/1qn2n2/1p2p3/p3P3/P2BQN1P/1P3PP1/2RR1NK1 b - -,c6d4
r1bq1rk1/p1pn1pbp/2pp2p1/8/N3PP2/1PPB4/P1QB2PP/4RRK1 b - -,d7b6
8/1b6/3p2p1/p1p1k1p1/2P2pP1/PPK2P1P/6B1/8 w - -,c3d3
r3k2r/pp2qpp1/2p1bn2/2b5/8/BPP3Q1/4PPBP/RN3RK1 w kq -,a3c5
2r2rk1/pp3p1p/3p2p1/2nPp3/4PbPP/4BP2/PPB2K2/2RR4 b - h3,c8c7
1n3r1k/5nb1/3p2pp/1PpB4/4N3/4P3/1P3P1P/2BR2K1 b - -,f7e5
8/5pk1/6p1/6P1/r2KPP2/1R6/8/8 w - -,d4e3
r1bqk1nr/pp3ppp/2n5/1Bbp4/8/1N3N2/PPP2PPP/R1BQK2R b KQkq -,c5d6
8/8/6p1/1p6/p1k5/P1P2Kp1/1n2N3/8 w - -,f3g3
1nr1k1nr/2q1bppp/p1b1p3/1p1pP3/1P1N4/1RPBBN2/P2Q1PPP/5RK1 b k -,b8d7
r5k1/7p/p1RB1pn1/1p6/1P6/P3P3/4KP1P/8 w - -,d6c5
r1bq1rk1/pppn1pbp/5np1/3pp1B1/2P5/N2P1NP1/PP2PPBP/R2Q1RK1 b - -,h7h6
2rq2k1/pp3pp1/3b2P1/5P1p/Q5nP/8/PPP5/1K1RR3 b - -,g4f6
4b1r1/7k/p3R3/4Ppq1/4pr2/1PP1R1PP/P7/4QNK1 b - -,f4f1
5rk1/p2q1ppp/Bp6/3p1b2/3P4/1P2Q1P1/P4P1P/4R1K1 b - -,d7c6
5k2/p2r2pp/1pR1p3/4P3/3P4/4P3/PP4PP/6K1 b - -,f8e7
2r2r2/p1qbppkp/3p2p1/1p1B4/4P3/5P2/PPPQ2PP/2KR3R w - -,h2h4
1r1b1rk1/1bq2ppp/p2p4/2n1pP2/2PpP3/1P3NP1/P2QRNBP/R5K1 b - -,a6a5
8/p1k4N/1pp1p1PR/4P3/1P6/P1n1K3/3r4/8 b - -,d2g2
r5k1/pp1r1ppp/2n3q1/3p4/3B4/P1PQ4/1P3PPP/3R1RK1 w - -,d3g6
2r2rk1/1bpnqppp/pp2pn2/8/Pb1P4/1PN1PN2/1BQ1BPPP/R2R2K1 b - -,c7c5
8/4R3/8/1P6/1P3p2/1K3k2/4p3/5r2 w - -,b5b6
r1b1kb1r/pp3ppp/2n1pn2/2Pq4/8/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,d5d1
6k1/4qp1p/p2p2p1/3Pn3/bPN2QP1/5B1P/5PK1/8 w - -,f4e3
r4rk1/pbqnppbp/1p4p1/2p5/2BPP3/B1P2N2/P3QPPP/R2R2K1 b - -,a8d8
r1q2rk1/pppb1pbp/5np1/4p3/2Pn3N/1PN1P1PP/PB3PB1/R1Q1K2R b KQ -,f8e8
2kr1b1r/2pbnp1p/p5p1/qp2p3/4N3/1B2B3/PP2QPPP/R1R3K1 w - -,e4d6
r1bq1rk1/1pp1p1bp/2np1np1/p4p2/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f1d1
4r2k/1p1b3p/5b2/1N1p4/1R3P2/P7/2NK3P/8 b - -,f6e7
1R6/q3ppkp/2pp2p1/5PP1/2P1P3/r1rn1Q1P/3R2B1/6K1 w - -,g1h2
1rb2rk1/1pqn1ppp/p1pb1n2/P7/2Bp4/2N1PN1P/1PQ2PP1/R1BR2K1 w - -,f3d4
r1b2rk1/5p2/5bpp/pppBp3/4P3/P1P2N1P/1P1K1PP1/3R3R b - -,a8b8
r1bq1r1k/1pp3bp/8/p2pNpp1/3Pn3/1Q4P1/PP2PPBP/R2R1NK1 b - -,c7c6
6k1/6p1/p2Q4/1p1pP3/7p/P3b2P/KPP3P1/2q5 w - -,d6d5
5k2/5p2/7Q/4P3/5PK1/3q4/8/8 b - -,f8g8
r1b1k2r/p3qpp1/1pp1p2p/4P3/3Pn3/1BP2N2/P2Q1PPP/R4RK1 w kq -,d2d3
2r3k1/2q2ppp/r3p3/pR6/3PQ3/P3P2P/5PP1/5RK1 b - -,g7g6
4r1k1/4r2p/p4pp1/1p1n1P2/3P2P1/PP2p3/3BR2P/4R2K w - -,d2c1
8/8/8/1K6/6pp/5r1k/8/2Q5 w - -,c1h1
3q1rk1/3b2n1/4p3/3pR1Pp/3P1N2/1p1B2P1/1P1Q1P2/6K1 b - -,d8b6
r1r3k1/2qnpp1p/pn4p1/1p1Pp3/3R1P2/2PB4/PB1Q2PP/5RK1 w - -,f4e5
1r3r2/2q2bpk/5p1p/1pp1pn1P/p2pPnP1/P2P1Q2/1PPB1PB1/5RRK w - -,g4f5
r1bqr1k1/1p1nppb1/p1pp1npp/6B1/1PPP4/2N1PN2/P1Q1BPPP/R4RK1 w - -,g5h4
1r2qrk1/1p1bp1b1/p2p2pp/n1pP1p2/P1P3n1/1PNQ2PN/3BPPBP/1R3RK1 w - -,g1h1
4r1k1/3Qrp1p/p6B/1pq2pPP/4p3/2P2P2/PP6/K2R4 w - -,d7d2
3r1rk1/1p2bppp/p1qN1n2/2P5/1P1QpB2/P5Pb/4BP1P/R3R1K1 b - -,b7b6
r1r5/4p1kp/p2p2p1/3P1p2/4n3/5N2/PP3PPP/R3R1K1 w - f6,e1e2
r1bq1rk1/p3npb1/2p3pp/3p2B1/8/2N3P1/PPQ1PPBP/R4RK1 w - -,g5e3
8/1k1p4/1p3n2/3Pp1p1/1P2P1P1/4KB1r/2R5/8 w - -,c2g2
rnbq1rk1/pp2bppp/2p1pn2/4N3/2pP1B2/6P1/PP2PPBP/RN1Q1RK1 b - -,f6d5
7k/2R3p1/7p/pp6/2p5/P6P/1r3PP1/7K b - -,b2f2
5rk1/R4p2/1pR2Ppp/1Pp1r3/2Pp4/3P2P1/8/6K1 b - -,f8b8
3rrbk1/1pp2pp1/p1q4p/5P2/2P1p2N/1P1n2QP/PB3PP1/3RR1K1 w - -,b2a1
r1b1k2r/pp1n2pp/2n1pq2/2bp4/5B2/2NB1N2/PPP2PPP/R2QK2R w KQkq -,f4g3:f4g5
2r1r1k1/Qbq2pbp/3p2p1/1p1P3n/2p1P1N1/2B2PP1/1P5P/1R2RBK1 w - -,c3g7
r1b1k3/pp1n1pp1/5nr1/q2p3p/P2Pp3/Q1N1P1P1/3NBP1P/R3K2R w KQ -,c3b5
r1b2rk1/2nnppbp/p2p2p1/P1pP4/1qN1P3/2N5/1P2BPPP/R1BQ1RK1 b - -,b4b7
r4rk1/pbp3pp/1p2p3/8/2Pnp3/2N3P1/PP2P1BP/2R1R1K1 w - -,c3e4
Q7/2qnr1pk/1p3p1p/p3p3/P4P2/1P4P1/2P1RBKP/8 w - -,a8e4
3r4/1p3k2/1n2npp1/p1pr3p/8/P4P1P/1PR3PN/3R1KB1 w - -,d1d5
2b2rk1/p1p2ppp/2pp4/7r/4P3/1PP1q3/P4PPP/R3RNK1 w - -,f1e3
7k/8/pp3p1p/2PP4/1P2np2/PN2Q2P/6P1/7K b - -,f4e3
3R2b1/2kP4/1p2B2r/p5N1/P2p2Pp/1P5P/2PK4/8 b - -,c7d8
8/pp3p2/4q3/1k1r4/1P1p4/5R2/P3P1Q1/5K2 w - -,g2f2
5rk1/2qbbppp/p1npp1P1/7P/5P2/3Br3/NPPQ4/1K1R3R w - -,d2e3
r2qkb1r/pp1b1ppp/4p3/2ppnn2/5P2/1P2P3/PBPPB1PP/RN1Q1RK1 w kq -,b2e5
8/R3ppk1/3b2p1/8/P1r1B1P1/5P2/6K1/8 b - a3,g7f6
6k1/5pb1/p3r3/8/2p5/2p4P/P4RPK/3R4 b - -,e6b6
r1bqk2r/pp2ppbp/2n3p1/2p5/3PP3/2P1BN2/P4PPP/1R1QKB1R b Kkq -,e8g8
3rr1k1/Rp4pp/2pR1p2/1bn5/1B2P3/6P1/5PBP/6K1 w - -,b4c5
3r2k1/3r1p1p/pp4p1/4p3/2Pp4/1P2bRN1/P3K1PP/4R3 b - -,f7f5
rnbqk2r/pp3ppp/2pbpn2/3p2B1/2PP4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,b8d7
4k3/p2n1p2/bpr3p1/4pn2/2P1p3/P3B3/2P2PP1/2KR1B1R w - -,e3g5
1r2r1k1/2pb1qpp/5p2/b2QP3/p1P2BP1/6NP/PP3P1K/4R3 w - -,d5a5
nr3rk1/pp1bppbp/1q1p1np1/2pP4/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,a1b1
r1b1kb1r/ppp2ppp/4p3/3Q4/3P4/5N2/PPP2PPP/R1B1K2R b KQkq -,e6d5
r1b1kb1r/1p3ppp/pqnppn2/8/4P3/1NNB4/PPP2PPP/R1BQ1RK1 w kq -,c1e3:g1h1:a2a4
R6q/2N2r2/2Np1kn1/3Pp1b1/4P1p1/5pP1/3n1B1P/6QK b - -,f7f8
6k1/5p2/3Pr1p1/1Qn1P2p/2p4q/pnP3p1/6R1/4RBK1 b - -,a3a2
1r3b1k/p1B5/2R3pp/4p3/2P1B3/6P1/Pn3P1P/6K1 b - -,b8e8
rn1qkb1r/pbppnp1p/1p2p1p1/8/4PP2/2N2NP1/PPPP2BP/R1BQK2R b KQkq -,f8g7
r2qr1k1/1b1n1pbp/1n1p2p1/1p1Pp3/1pp1P1P1/2P2NNP/P1B2P2/R1BQR1K1 w - -,c3b4
rn1q1rk1/pbpp1ppp/1p2pn2/8/1bP5/2NP1NP1/PP2PPBP/R1BQK2R w KQ -,e2e4
r4rk1/pp3pbp/2n3p1/2pqp3/8/2BP2P1/PPN1PP1P/R2Q1RK1 b - -,f8d8
5r1k/1p4p1/2b4p/8/p7/P3q3/1P2B1PP/2R1Q2K b - -,f8e8
r4rk1/5ppp/p4n2/2qPp3/2P5/8/R1Q1BPPP/5RK1 b - -,e5e4
r3k2r/pp3pb1/1qp1b2p/2n1P3/4Pp2/N1PB1N2/PP3Q1P/3RK2R b kq -,e8c8
