8/7p/4ppk1/5p2/3q3P/5RP1/5RBK/8 w - -,f2f1
r3k2r/ppq1bppp/2n1pn2/1B1p1b2/3P4/1QN1PN2/PP1B1PPP/2R1K2R b Kkq -,e8g8
r3k2r/ppq2ppp/2n2n2/2bpp3/4P1b1/PP1B1N2/1BPN1PPP/R2QK2R w KQkq -,e1g1
r4rk1/1p2bpnp/p1npb1p1/q3p3/P1P1P3/1PN1B1PP/3QNPBK/3R1R2 w - -,c3d5
8/R3b3/5kP1/1BpPp3/2P1n3/4K3/3B1r2/8 w - -,g6g7
8/1kp5/p7/1p6/1N2b2r/P7/1KPR4/8 w - -,d2e2
r3kb1r/pp3p1p/2n3p1/1B1p4/8/8/PP3PPP/R1B2RK1 w kq -,f1e1
r1b2rk1/p1p1nppp/1pn2q2/2bpP3/2BN1P2/2P1B3/PP4PP/RN1Q1RK1 b - -,f6h6
5r2/p3q1k1/1p2P3/2p2Qp1/P7/6R1/1P3P2/6K1 w - -,g3g5
8/8/3K2k1/5NP1/8/8/8/8 w - -,d6e5
8/4b3/2p1p3/1rP3pR/4Nk2/5P1P/6PK/8 b - -,e7c5
r3r1k1/1p1n1pp1/1np4p/3pBb2/1b1P3P/2N3P1/1P1NPPB1/2R1R1K1 w - -,e5f4
1rb1kb1r/2qp1ppp/p3pn2/1pp5/2PnP3/1PNP1NP1/PB3PBP/R2Q1RK1 b k -,f8e7
rnbq1rk1/ppp2ppp/5n2/3B4/1b2Pp2/2N2Q2/PPPPN1PP/R1B1K2R b KQ -,g7g5
2r3k1/pp2bppp/1n2pn2/qb1p4/3P1B2/P2BPN2/1PQN1PPP/5RK1 w - -,c2b1
3k2r1/r3bppp/2qp1n2/p3RB2/np3P1B/1Q6/PPP3PP/1K1R4 w - -,b3f7
r1bq1rk1/p3ppbp/1pp3p1/4P3/3pNB2/3P3P/PPP2PP1/R2QR1K1 w - -,d1d2
8/kpR4p/p7/8/n1N5/5K2/2P3P1/1r6 w - -,c7h7
1r3rk1/4p2p/2Rp2p1/pp1P1q2/8/1P2RPP1/P2Q2KP/8 b - -,b8b7
8/R4pk1/6p1/p6p/7P/4P1P1/r4PK1/8 b - -,g7f6
1b2r1k1/2Q2pp1/p4q1p/8/5B2/P3P2P/5PP1/3R2K1 w - -,c7d7
4b3/p1p1k3/1p6/1B1p4/3b3P/2P1P1p1/PP3KN1/8 w - -,f2f3
rnbqkbnr/pp3p1p/3p2p1/2pP4/5B2/2N5/PP2PPPP/R2QKBNR b KQkq -,g8f6
2r1r1k1/1R3p1n/p2p4/P4pPq/3N1n2/6Q1/2P3K1/7R w - -,g3f4
8/2N3k1/1p4n1/1R5p/4P1p1/8/P2b2K1/8 w - -,b5b6
r2q1rk1/pp3pbp/2bp1np1/2p2P2/1nP1P3/2N2N2/PP4PP/RBBQ1RK1 w - -,f5g6
r1bqk2r/pp1n1ppp/4p3/2bpP3/3B1P2/2N5/PPPQ2PP/R3KB1R b KQkq -,c5d4
5rk1/5pp1/p7/4n1p1/PP1p4/5Q1P/2qB4/3R3K w - -,f3f1
r1b1k2r/2qnbpp1/p2ppn1p/1p6/3NPP2/P1N2Q2/1PP2BPP/2KR1B1R w kq -,f1d3
8/7p/4N2k/5p2/1n6/6P1/3K4/8 b - -,h6h5
8/1p2q1k1/3pPrp1/2p4p/2P5/P3Q2P/5P2/4RK2 w - -,e3e4
1n3r2/6k1/pbp1Qppp/2P1p3/4PP1P/4B1P1/B6K/4q3 w - -,e6e7
8/4pp2/5kp1/R7/P2rBbP1/5P2/8/5K2 w - -,a5a7
8/8/1p3p2/6p1/P1r5/3R1kP1/8/5K2 b - -,f3g4
1k1r3r/pp2R3/6p1/1PpB2P1/5PP1/7p/1PP5/1K6 w - -,e7b7
n1b5/6k1/5pp1/2pq4/7p/1P1B3P/2PQ2P1/4R1K1 w - -,e1e7
6q1/4K3/8/3pPP2/8/k7/8/8 b - -,g8g7
8/2b5/p7/3p1k1p/PP1P2p1/2B2P2/6K1/8 w - -,b4b5
r2qr1k1/pb2ppbp/1pnp2p1/1N6/2P1P3/4BP2/PP1QN1PP/3R1RK1 w - -,b2b3
6k1/p3qpb1/2p2n1p/1p4p1/2nQP2B/2N4P/PP2BPP1/6K1 w - -,e2c4
8/2n5/p2k1p2/1p1P2pp/1N2P3/3K4/P5PP/8 w - -,d3d4
rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -,g7g6:e7e5:d7d5
1rb1r1k1/1p2qpbp/p2p2p1/5p2/2PP1N2/2Q1P1P1/P4PBP/1R3RK1 b - -,c8e6
1n1q2k1/pp2ppbp/6p1/1B1pP3/3P4/2r1B2P/PP3PP1/2Q3K1 w - -,c1c3
4k3/4b3/3p3p/3Pp1p1/4P1P1/3K3P/5B2/8 w - -,d3e3
4r1k1/5pp1/pp1q1b1p/8/1P1np1B1/P6P/5PP1/2QRR1K1 w - -,g4e2
r1bqkb1r/pp3ppp/2n1pn2/2p5/3PP3/3P1N2/PP2NPPP/R1BQKB1R b KQkq -,f8e7
2rkn2r/1b1p1ppp/p3p3/8/PP6/2R2PB1/4B1PP/R5K1 w - -,c3c8
3r2k1/pp3pp1/4p2p/8/1PrPR3/P3R1P1/5P1P/6K1 w - -,e3d3
q4rk1/p4pbp/1n1p1np1/1b6/1pp1PP1N/1P4P1/PBQ4P/2RNR1K1 w - -,b3c4
rnb2rk1/pp2bppp/4pn2/3qN3/3p4/2P5/PP2BPPP/RNBQ1RK1 w - -,c3d4
rnb2rk1/pp2pp1p/6p1/q1P1N3/8/2n1P3/PP1Q1PPP/R3KB1R b KQ -,a5c5
6k1/5p2/4p1p1/2P4p/P4P1P/4Q3/2q3K1/8 w - -,g2f3
8/3k1p2/6pp/p2b4/1r6/2K3R1/1PB3PP/8 w - -,b2b3
8/4p3/4k3/1R4PK/2r4p/P4R1P/8/2b5 w - -,g5g6
3rr3/p1q1n1bk/bpn4p/4p1p1/4P1P1/B1PP1N2/PP3NB1/2QRR1K1 w - -,c1e3
8/8/4K1k1/8/8/2n4R/1p6/8 w - -,h3g3
8/p3p3/3p1kbp/p2Pq1p1/8/P1N2PP1/1P1Q1K1P/8 b - -,g6f7
8/1r3k1p/p1nBp1p1/1pPq1P2/3p4/1P5P/P3Q1PK/4R3 b - -,e6e5
r4rk1/p3pp2/1p4pp/n2PP3/1B3P1b/8/q3BP1P/1R1Q1RK1 b - -,f8d8
3r4/1p2k3/2b4p/P1Ppp1p1/8/6P1/3R3P/1R4K1 w - -,b1b6
r1br2k1/p3pnbp/1pp1p1p1/8/4N3/2P4P/PP2BPP1/R1B1R1K1 w - -,a2a4
1r4k1/1q3ppp/2p1p1b1/brPpP3/1N1P4/P1Q4P/R2N1PP1/5RK1 b - -,a5b4
r1bq1rk1/pppnn1bp/3p2p1/3Pp3/2P1Pp2/2N2P2/PP1NBBPP/R2Q1RK1 b - -,g6g5
r1q1r1k1/pp1nbpp1/2pp1n1p/4p3/1PP4N/1QNP2P1/P2BPPKP/1R3R2 w - -,h4f5
5r1k/p4p1p/1p1Qnqp1/8/8/5b2/PPB2PPP/R3R1K1 w - -,g2f3
4k1r1/Nr1n1p1p/4pp1B/2b5/1p6/6P1/1P2PP1P/R1R3K1 b - -,e8e7
r2qr1k1/ppbn1pp1/2p1pn1p/5b2/1PNP4/PQ3NP1/1B2PPBP/R4RK1 b - -,f5e4
8/5K2/8/5P2/8/7k/8/6q1 w - -,f5f6
6k1/pp3p1p/3nq1p1/P1pQ4/2P5/4P1NP/5PP1/6K1 b - -,e6d5
8/8/8/4p1r1/8/5KP1/3k4/R7 b - -,d2d3
r4k2/1p3ppn/2p2bp1/2Pp4/1P1p1PBP/3P1NP1/4P3/1R4K1 w - -,g1f1
R7/2rbb3/3p1p1k/2nP3P/2N1PKP1/2P5/2B5/8 w - -,a8h8
r5k1/p1q2p1p/2p2b2/2P2p2/1PB1p3/PQN1P2P/3r2P1/5RK1 w - -,c3e4
3r1r2/pkpb2pp/1p4q1/1PnNP3/3N3Q/8/P1P3PP/3R1RK1 w - -,f1e1
r3k1nr/1bqnbppp/p2pp3/1p6/3NPP2/P1N1B3/1PP1B1PP/R2Q1RK1 w kq -,d1e1
rnbqkb1r/pp1p1p2/4p2p/3nP3/3p3R/6B1/PPPN1PP1/R2QKBN1 b Qkq -,b8c6
r1bqk1nr/pp2ppbp/2n3p1/2pp4/3P1P2/4PN2/PPP1B1PP/RNBQ1RK1 b kq -,g8h6
Q7/5k1p/p5p1/4pp2/1PP5/3q2P1/5PKP/8 w - -,a8b7
r1bqk2r/1ppp1pp1/p1n1pn1p/8/3PP2B/P1P2N2/2P2PPP/R2QKB1R b KQkq -,g7g5
r3kb1r/ppp1p2p/n2p2b1/3Pq3/2P3B1/2N4N/PP3PP1/R1BQ1K2 b kq -,f8g7
8/1p2k3/3q1n2/p2P4/7P/2PB2P1/P3Q1K1/8 b - -,e7f8
r4rk1/3qbppp/2p1p1b1/1p6/3PP3/pPN2PP1/Pn2QBBP/R1R3K1 b - -,f7f5
8/p1k3p1/1p3p2/1P1R4/r7/1nP1BP2/5KP1/8 w - -,d5h5
4k2r/pp1bppbp/3p1np1/4n3/3NP1PP/2q1BP2/PPP5/1K1R1B1R w k -,b2c3
2r2b2/p1q3pk/1p2Q2p/8/2PP4/7P/PB4P1/5R1K w - -,d4d5
8/2r4p/3k2p1/1p4P1/4RP2/2PK4/PP6/8 b - -,c7a7
2K5/1P6/8/3p1Q2/3P4/5k2/q7/5q2 b - -,f3e2
rn1kqb1r/pppb2p1/5p1p/3P1p1Q/2B1p3/2N2P2/PPP3PP/2KR2NR w - -,h5e8
1rb1r1k1/2p5/p2p1q1p/6p1/2PpPp2/1P3P1P/P3QNP1/R3RK2 w - -,c4c5
1r5r/2p2kp1/1b2bp2/p6p/2p2B1P/P1N3P1/1P1RPP2/5RK1 b - -,h8g8
1rq3k1/2pbrppp/3p2n1/1p1P3B/1P2P3/5Q1P/P5PK/1RB2R2 w - -,c1b2
2bq1rk1/1ppn2bp/3p2p1/3Pp3/2P1Nn2/1P2B1PP/r1B2P1K/1R1Q1RN1 b - -,f4h5
1r6/8/2B5/8/3k2p1/6P1/6K1/8 w - -,g2g1
2n1q1k1/2R1r2p/1p3Qp1/3P1p2/3B1P2/7P/6PK/8 b - -,e8f8
8/5pk1/qp4p1/2p1P2p/2Pp1P2/3Pn1P1/1Qp1KN2/8 w - -,f2e4
k3r2Q/1p6/p7/1b6/5pB1/8/4PpK1/8 w - -,h8h5
3r2k1/6p1/3n2Bp/p1N2p2/5P2/P3P3/4K2P/8 b - -,d8c8
r1b1nrk1/1p2qpbp/p2p2p1/2pPn3/P7/2N1P2P/1P1NBPPB/R2Q1RK1 b - -,f7f5
rnb1kb1r/1p3ppp/p2ppB2/8/4PP2/qNN5/P1PQ2PP/R3KB1R b KQkq -,g7f6
r1r3k1/pp3ppp/2nb1n2/3pN3/3P4/1P2N1P1/1BP1KP1P/R3R3 b - -,c6d8
r3r1k1/2q1b1pp/pp2p3/4Pp2/2nB4/P2N4/1PP1QPPP/3RR1K1 w - -,f2f4
r1b3k1/ppq2pp1/5n1p/2p2N1r/4P3/PBQ2P2/1R5P/6RK b - -,c8f5
r1bq1rk1/1pp1bppp/p1n3n1/6N1/3p4/1BP4P/PP3PP1/RNBQR1K1 w - -,g5h7
4r3/1p1P1k2/p1p2b2/3q4/8/5R2/6Q1/6BK b - -,d5d7
5k2/1p3p1Q/3p4/3P4/P3B3/KP6/6qp/8 b - -,g2g1
8/Pk6/8/5p2/3B1Kp1/8/2b2P1P/8 b - -,b7a8
8/1Q5p/p5pk/4p3/2P2q2/1P1K1B2/P7/8 w - -,b7e4
r1bq1rk1/pppnbpp1/4pn1p/3p4/3PP3/2NQ1NB1/PPP2PPP/R3KB1R b KQ e3,d5e4
2r5/8/R3p3/4kp2/7P/8/P4KP1/8 b - h3,c8c2
r1bqk1nr/p3ppbp/1pp3p1/2p5/4P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq -,e7e5
2r5/p5pp/1p1k1p2/3Pn3/3K4/P5B1/1P4PP/4R3 w - -,g3e5
r4rk1/pp2bppp/2nqpn2/8/3P2b1/2N1BN2/PP1QBPPP/2R2RK1 b - -,a7a6
8/4k3/6R1/p1p3p1/1nB3P1/1P4P1/1K6/4r3 b - -,e1g1
8/4Rk2/5P2/5K2/5P2/8/8/r7 b - -,f7f8
4r1k1/1p3p2/p2p3p/P2P2p1/R1p1r3/4P1P1/1b1B1PKP/5R2 w - -,a4b4
r4rk1/ppp2pp1/2nb3p/3Npq2/3pP3/2PP2PP/PP3PB1/R4RK1 w - -,e4f5
4B3/8/1K2pk2/1R4p1/P4p2/3n2P1/3r4/8 w - -,g3f4
8/7N/2p1p3/2Pk4/r1b5/5RKP/8/8 b - -,d5c5
r1b2rk1/2ppqppp/p4n2/np2b3/8/1PN1PN2/PBP1BPPP/R2QK2R b KQ -,c8b7
rb2r1k1/pp1q2p1/7p/3p4/3B4/1P4P1/P2Q1P1P/2R1R1K1 w - -,e1e8
r2qr1k1/1p3pbp/p2p2p1/P1pPn2n/2P2B2/2N2P2/1P2BP1P/R2Q1K1R w - -,f4g3
rq3kb1/4N1br/2p2pQ1/p1B2P2/P1n1P3/3R4/1P3RPP/6K1 b - -,b8h2
r4rk1/p2bppbp/n4np1/q1P5/2Q2B2/2N2N2/PP2PPPP/R3KB1R w KQ -,f3d2
r1b2rk1/pp2ppbp/6p1/3P4/1qP2B2/1Nn1P3/P1Q2PPP/2R1KB1R w K -,c2d2
r2q1rk1/3n1ppp/bp2pn2/p7/P1PN4/4P3/1B2BPPP/R2QK2R b KQ -,d7c5
2r2rk1/p2b1qp1/4p2p/1p1p4/3BRPP1/2PB4/PP4QP/1K2R3 b - -,d5e4
8/7R/p3p1p1/4k3/4N3/4nPK1/r5PP/8 w - -,h2h4
4b2r/2q3kr/p2bp1n1/3p1pBB/2pP4/2P2QP1/P1N2PKR/1R6 w - -,b1h1
r1n1k2r/1R1b1pp1/p1p1p3/q1B1P2p/2PPB1n1/5N1P/2Q2PP1/1R4K1 b kq -,g4h6
2r1k2r/p2qp1b1/1p2b1p1/2ppP3/1P4P1/P4PB1/2PQN3/R1R3K1 w k -,d2d3
7R/P2k1p2/K7/2P5/6p1/7p/2P5/r7 w - -,a6b6
1r3rk1/pn1bq1b1/1p1p3p/1PpP1p2/P4Pp1/3P1NP1/2QB2BP/4RRK1 b - -,e7f7
4r3/1p3k1p/p2b4/3P1pp1/1P1B4/P5PP/2RRrPK1/8 b - -,e2d2
5nk1/p2rq1pp/Rn2r3/2p1Bp1P/2P2P2/3PP1Q1/4B3/3R2K1 b - -,f8g6
8/2p2n2/2p2P2/2Pk3p/1P3K1P/8/8/4B3 b - -,d5e6
8/8/P5p1/5p2/4p2p/4Pk2/RPr5/4K3 w - -,a6a7
r4rk1/2pbn1pp/1p2qp2/2p1pN2/4P1P1/P2P3P/1PPBQ3/R3KR2 w Q -,h3h4
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B2PP3/5N2/PPP2PPP/RNBQ1RK1 w kq b6,a4b3
2rq1rk1/1b1nppbp/1p1p2p1/8/pPP1PP2/2N3P1/P2Q3P/1RB1RBK1 b - -,b7a6
8/8/5p2/1R3kpp/1p6/1Pb3P1/R5KP/3r4 b - -,f5e4
2R5/1pk1b1pp/2n1p3/4P1P1/8/8/Q2r1qBP/1R5K b - -,c7c8
r7/pp5k/7p/3P2r1/5Bb1/1B6/PPP2bpK/4R3 w - -,e1a1
r1br3k/pp3p2/4n1pp/2P5/1PBpN3/8/P4PPP/2R1R1K1 b - -,h8g7
4r1k1/3p3p/6p1/p2p1rN1/7P/3QN1P1/qp1B1P2/2R2K2 w - -,c1b1
3R4/8/2rk4/4pp2/6p1/4K1P1/5P2/8 b - -,d6e7
6k1/5p1p/4p1pb/4P3/r7/3K4/1B3PPP/5R2 w - -,b2c3
1r3rk1/2nqppbp/p2p2p1/1ppPn3/P1P1PN1P/2N1B3/1PQ1B3/4K1RR w - b6,a4b5
r3kb1r/pp1qp1pp/2p5/3n4/8/8/PPP1QPPP/RNB2RK1 w - -,c2c4
4r1k1/r5p1/1p4pp/NR6/8/4P1P1/5PKP/8 w - -,a5c4
r2q1rk1/pb1nbpp1/1p2p2p/2pp4/2PPn2B/2NBPN2/PP2QPPP/R2R2K1 w - -,h4g3
4r3/3r1k2/1pR4p/3q1Pp1/3p2P1/5Q2/PP4K1/5R2 w - -,c6h6
7r/1p3b2/3n1k1P/1P1p1p2/4pp2/R1N3r1/1KP1B2R/8 b - -,f4f3
rnbq1rk1/pp2npbp/2pp2p1/4p3/2P5/1PN1P1P1/P2PNPBP/R1BQ1RK1 b - -,f7f5
2q1rbk1/pp3p1p/6pP/8/3PP2Q/4P3/P3B1P1/5RK1 b - -,c8c2
r4rk1/1bppq1pp/p7/1nPPp3/8/P5P1/1BQ1PPB1/2RR2K1 w - -,a3a4
2r4r/B1R5/4bpk1/1p2p1pp/8/5P1P/6P1/1R4K1 w - -,c7c8
r1bqkb1r/3ppp1p/p1p2np1/2p5/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,f8g7
3r4/5Bp1/8/1p4P1/1k6/2p1K3/1bR4P/8 b - -,b4a3
3q1rk1/1p2ppbp/r1npbnp1/1NN5/2P5/1B2B3/PP2QPPP/3R1RK1 b - -,a6a8
6k1/6pp/p7/1p2p3/1Pbp4/1N4KP/PP1Q2P1/5q2 w - -,b3c5
4r1k1/3b1p2/pq3P1p/6p1/1p1p3P/3P1Q2/PP1B2P1/2R3K1 b - -,b6a5
r3k2r/pp1n1ppp/2p5/2b2qB1/8/1B3P2/PPPQ1P1P/2KR3R w kq -,h1e1
r4rk1/pp2qppp/2pb1n2/3p3n/2PP1P2/P1N1PN2/1P2Q2P/R1B2RK1 b - -,g7g6
r2q1rk1/1p2bppp/p2pbn2/4n3/4PB2/1NN5/PPP1B1PP/R3QR1K b - -,b7b5
rn1q1rk1/3npbbp/1p3pp1/2Pp4/1P1P1B2/2NB3P/5PP1/2RQK1NR w K -,d3b5
2r3k1/3bP2p/3p2p1/3P4/1p1N1Q2/1P1K1P2/qP5P/3R4 b - -,a2b2
r1bq1rk1/4ppbp/p2P2p1/3p4/8/4BQ1P/PPP2PP1/3RKB1R b K -,d8d6
1r2rnk1/3bqpbp/pB1p2p1/3Pp2P/1PP1PnP1/2N2PN1/1KBQ4/3R3R w - -,b6a5
1r4k1/pQ3pbp/5rp1/8/4p3/1B3P2/PPP3PP/2KR3R b - -,b8b7
r6r/p1p1k1bp/1p2ppp1/3n2B1/3P4/6P1/PP2PPBP/1R3RK1 w - -,g5d2
1Q6/5k1p/1p2p3/pP1p4/3b2NP/6BK/8/2q5 w - -,g4e5
r3k2r/ppqnbppb/2p1pn1p/8/4P3/1P3NP1/PBPNQPBP/R3R1K1 b kq -,e8g8
6k1/q3pp2/PnBp2p1/Q1pP3p/4P2P/1P4P1/5P2/6K1 b - -,g8g7
4k3/1p1n1p1p/p1p3p1/P3PP2/2P1KP2/7P/5B2/8 b - -,d7f8
r1q2r1k/4Rp1p/3p4/1p1Q3p/3p4/3P4/PP3PP1/4R1K1 w - -,d5d4
2q1r1k1/1b2Bppp/1nn1p3/2R1N3/8/1P2P3/4QPPP/R4NK1 b - -,e8e7
r2r4/2p2p1p/2p3p1/1kN5/p3PP2/K3B2P/6P1/2R5 w - -,c1b1:c1c3
r1b4r/pp1nknb1/2p2pp1/4p2p/4P3/2N3BB/PPPN1PPP/2KR3R w - h6,f2f3
r3qrk1/4bppp/2bpp1P1/p1n5/Pp1BP2P/1B3PN1/1PPQ4/2KR3R w - -,g6h7
8/6pp/3Bn1k1/4Pp2/1R3P2/2r4P/6P1/6K1 b - -,h7h6
r1b2rk1/p5pp/1b1Q4/1p1Pp3/3n4/4B1P1/PP3P1P/R4RK1 b - -,d4f3
8/1p1kpr1p/3p2p1/p1r5/P1PKR3/1P3P1P/4R1P1/8 w - -,d4c3
1r4k1/p3bp1p/2p1b1pB/8/3r4/P2B3P/1PP2PP1/1R2R1K1 w - -,h6e3
rnbqk2r/pp2bppp/3ppn2/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQkq -,e8g8
2r3k1/2q2pp1/1p2pb1p/3p4/QPr5/1R2P1PP/2P2P2/2R1N1K1 w - -,a4a6
r2qk2r/ppp2ppp/2n1bP2/2b5/2pp4/5N2/PPP2PPP/RNBQR1K1 w kq -,f6g7:f3g5
2kr3r/pppbqppp/4pn2/4Q3/6P1/1PP5/PBP3BP/2KR3R b - -,c8b8
4r3/pp4p1/2p4p/4Pk2/Pb3P1P/1r2PK2/1P3N2/3R2R1 b - -,e8e7
8/4q3/p2p2rk/1pp2Q1B/7P/3P2P1/PPPb3K/5R2 b - -,g6e6
3brr1k/pp1q1ppn/2n4p/2p2P2/2PpP3/1P1P3Q/P5NP/R1B1NRK1 w - -,g2f4
4r1k1/1p5p/p2q4/2QPrbp1/1P2Pp2/1B3R2/P5PP/4R1K1 b - -,d6c5
1r6/7k/p3Q1p1/4P2p/1p3P2/6P1/P1q2K1P/3R4 w - -,f2e1
r1r3k1/p4pb1/4p1pp/q1Pp4/N2n4/PP3B1P/5PP1/2RQR1K1 b - -,a8b8
8/8/8/1R4n1/6k1/4K3/8/8 b - -,g5e6
3r4/5R2/6p1/4k3/2r5/8/PKP5/5R2 b - -,d8b8
1r4k1/pp2bpp1/4pnp1/N2n4/3P4/P2B2P1/1P1B1P1P/2rR2K1 w - -,d1c1
r4rk1/p3q1pp/1p2p3/2p5/4QP2/2P5/PP4PP/R4RK1 b - -,a8e8
3bkr2/1p3pQp/3pb1p1/1pqN4/1N6/4P2P/PP4P1/3R2K1 w - -,d1d3
8/2B3k1/5pp1/1B6/P6p/1r5P/6PK/8 b - -,b3c3
b1rq1rk1/p4pb1/Pp1n2pp/2pPp3/4P3/1PNBB3/5PPP/R2Q1RK1 b - -,f7f5
5bk1/ppp5/3p2pp/3P4/2P2NP1/2Nb4/PP3K1r/4R3 w - -,f4g2
3Q4/5p2/p2p3k/2pP4/5p1P/8/P7/2K1q3 w - -,c1c2
3r2k1/1p3pp1/p2qpnp1/8/1nP5/1P3NN1/P3QPPP/4R1K1 b - -,d6d3
2r1qrk1/1p1bppbp/p2p1np1/n2P4/2P5/1PNQB1PP/P3NPB1/R4RK1 b - -,b7b5
r2r2k1/1p4p1/p1n2p2/2p1p1qp/8/PPB1PP1P/1QP3PK/4RR2 w - h6,e1e2
2rqr1k1/2pn1pp1/1p3n1p/p2p4/3P4/4B1P1/PPQ1PPNP/2R2RK1 w - -,c2f5
rrb3k1/2q1ppbp/3p2p1/2pP4/P3P3/1P3P2/3BB1PP/1R1Q1RK1 w - -,e2c4
1r6/5k2/pp4p1/3N2p1/PP1KP3/8/6P1/8 w - -,g2g4
r4rk1/pp4pp/1q2p2n/1bb1Pp2/2Q2P2/1P4P1/P3N1BP/R1B2R1K w - -,c4c2
1r1r2k1/4bppp/p1p1pn2/8/2P5/1N2P1P1/PB3P1P/R4RK1 w - -,f1d1
r5k1/pp2qr1p/n1pp2p1/7n/1PPNP1b1/P5P1/2QN1PB1/R4RK1 w - -,c2d3
rnbqk1nr/pp3pbp/4p1p1/1B1p4/3P4/2N2Q2/PPP1NPPP/R1B1K2R b KQkq -,c8d7
