8/3N3p/6b1/p1p3P1/8/2P2kP1/1P1K4/8 b - -,f3g3
q1r1r1k1/1b1nbpp1/pp1ppn1p/4P3/2PN1P2/1PN2B2/P3QBPP/2R2RK1 b - -,b7f3
2rr2k1/pp1bpp1p/5npb/3P4/qn2P3/2B2QPP/P2N1P2/R1R1NBK1 b - -,d7e8
8/8/P5R1/1K5p/8/7k/4P3/r7 b - -,h5h4
k7/1p6/pQ3p2/7p/8/2P4P/PP2r1q1/1KR5 b - -,g2e4
3r2k1/1bq3pp/ppn1pr2/2bp4/P2NnP2/2P1BBN1/1P4PP/R2Q1RK1 w - -,d1e1
8/6k1/1R5p/6p1/2P1K1P1/6P1/3r1P2/8 w - -,f2f3
4r1k1/6bp/3n1N2/4rP2/1P2n1PB/4R3/5NK1/4R3 b - -,g7f6
B6k/p1R1B1p1/7p/1p2pN2/4P3/1P5P/1r3KP1/8 w - -,f2g1
2R5/8/8/1k3p2/4p1p1/1P1nB1r1/3K4/8 w - -,c8b8
4k2r/2rnbppp/p2pp3/N7/PN2nB2/5P2/1PP3PP/R2R2K1 b k -,g7g5
5bk1/5p2/6pp/3Np3/p7/5P1P/P5PK/8 w - -,d5b6
r1bqnrk1/ppp1npbp/3p2p1/3Pp3/2P1P3/2N1B3/PP2BPPP/R2QNRK1 b - -,f7f5
7r/8/pB1nk3/1p2p3/2p5/P1P3P1/4KP2/3R4 w - -,e2e3
4nk2/1R5p/3pb3/1P2ppp1/2N5/5PP1/4PK1P/8 b - -,e6c4
4b3/8/8/2P2k1p/1KB4P/8/8/8 b - -,f5g4
r4rk1/p2b1ppp/8/2ppPPq1/3p4/5QN1/PPP3PP/R3R1K1 b - -,a8c8
r2qr1k1/1p2bpp1/2p2n1p/p2p1Q2/3P1B2/6P1/PP2PPBP/1R1R2K1 w - -,f4e5
r2qkbnr/p2ppppp/1p6/2pP1n2/2P5/5PP1/PP1B1P1P/RN1QKB1R b KQkq -,g7g6
2rq1rk1/p2nbpp1/Pp2p1bp/3pPn2/3P4/1N3N2/1P1BBPPP/R2Q1RK1 w - -,a1c1
rnbqkb1r/4pppp/2p2n2/ppPp4/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,g7g6
5k2/1p1b1p2/1r3p1p/3p4/p2P3N/P6P/2PK1PP1/4R3 b - -,b6e6
4q1k1/1b4pp/pB1pNr2/2pP4/1P3P2/P4p2/3QnP1P/R4R1K w - -,f4f5
3r1r2/1qnbpp1k/p2p2p1/2pPbPPp/P1B1P3/1PNQBR1P/7K/5R2 w - -,e3f4
1r3r2/p1pkb3/P1p2p1p/R1P1p3/1P1P1NP1/2K4P/8/R7 w - -,f4g6
5rk1/pbpq1pp1/5n1p/8/3P1Q2/2PB1N2/P5PP/5RK1 b - -,c7c5
1r1r3k/1p4pp/p3Bb2/7q/2P2P2/1R1pQ3/1P5P/5R1K b - -,h5e2
r1b2rk1/3qbpp1/1p1p2np/3P4/p1P1N3/8/PP2BBPP/2RQ1R1K b - -,d7d8
1rr3k1/2qb1pbp/3p2p1/1pp1nPPn/4P3/1PN1N2P/P5BB/2RQR1K1 b - -,f7f6
r1b3k1/4qpb1/1r1p2p1/p1p1p1np/2P1Pn2/BP1BQN1P/P4PPN/1R2R2K b - -,g5e6
3r1rk1/1p2qppp/p1p3P1/1n6/3P4/1PNB2QP/P3N1P1/5RK1 b - -,h7g6
2kr1b1r/pbq2ppp/1p6/n1p1P3/8/2PB1NB1/P1Q2PPP/R4RK1 b - -,b7f3
r3r1k1/pp3ppp/4q3/2Rn4/2QP4/4B3/1P3PPP/5RK1 b - -,a8d8
r3n1k1/4qp2/b1p1p1pp/1p1rP3/p2PN3/2PQ1KP1/P1B2P1P/3R3R w - -,d3e3
3rk3/3nbpp1/1p4p1/p2p4/N2P1B2/P2K2P1/1P3P1P/2R5 b - -,g6g5
1rb1r1k1/1pp2pp1/p6p/5P1n/P1p1P2P/2P5/2N2PB1/R3R1K1 b - -,h5f4
8/p7/1b1rkpp1/4p2p/8/5P2/P1R1K1PP/2R5 b - -,d6d4
8/8/R6p/1r2kp1B/3n3P/6P1/5PK1/8 b - -,f5f4
r2r1k2/p7/1p2bQ2/1B6/1q1P4/8/1P4PP/3R2K1 b - -,e6f7
2b1rrk1/p1q2pp1/1p1b3p/2p1N2n/2B1Q3/1P2P3/PB3PPP/3R1RK1 w - -,d1d6
2r3k1/3R1p1p/8/r3P2P/1p3Pp1/1Pp5/8/6RK w - -,g1g4
4Q3/6p1/1k5p/1p3P1P/p7/P2q4/8/5K2 w - -,f1e1
8/p2q1n1k/1p4pp/8/3B4/4QP2/P1r3PP/4R1K1 w - -,e3f4
2rqrbk1/pb3ppp/4p3/n1p5/PpP1P3/3P2P1/1B1NQPBP/3RR1K1 w - -,e4e5
8/p3kp2/1p3p2/3R4/2Ppr2P/P1b3P1/5PK1/5B2 w - -,h4h5
r1r3k1/3qppb1/nnp3p1/p2pP1Pp/P2P3P/1P2BP2/3QNK2/RB5R b - -,c6c5
r4rk1/pp4pp/1bp4n/3pP3/3P4/4B1P1/PP1RN2P/2R3K1 b - -,h6g4
r1bq1rk1/ppp3bp/2np2p1/4pp2/2PP4/1PB2NP1/P1Q1PPBP/R4RK1 w - -,d4e5
r1bqkb1r/3n1ppp/p3pn2/1pp5/P2P4/2NBPN2/1P3PPP/R1BQ1RK1 b kq a3,b5b4
r1bq1rk1/p2n2bp/2p1pPp1/3p2B1/8/3B1N2/PPP2PPP/R2QR1K1 b - -,d7f6
rn1qk2r/pp1bppbp/3p1np1/1Bp5/2P1P3/2N2N2/PP1P1PPP/R1BQ1RK1 w kq -,d2d4
br3rk1/3nppb1/6p1/q1p3N1/2R1P3/3N2PP/PP3PB1/3QR1K1 b - -,b8d8
r4rk1/1bq1ppbp/3p2p1/2pP4/n3PP2/3B1N2/1PP1QBPP/3R1RK1 w - -,c2c3
r1bq1rk1/pppp1ppp/n7/8/2P1p1Q1/P3P3/1P1P1PPP/R1B1KB1R b KQ -,d7d5
8/2R2pkp/1p1ppb2/5p2/2P5/n7/6PP/6NK b - -,b6b5
3r2k1/p4pp1/7p/3Q4/1P6/6P1/5PKP/2R5 b - -,d8d5
8/8/2k2p2/2Np2pp/P1nP4/2N1Pb2/5P1P/4K3 w - h6,c5b3
5k2/1p1r1p1p/3p2p1/1RbN4/4PP2/1P3K2/6PP/8 w - -,d5f6
8/3k4/5p2/1P2Br2/2P2P2/1P5p/7P/6K1 w - -,e5b8
2r2k1r/3B1p2/pq5p/1bbP2p1/1p1N1B2/6P1/PP1Q1n1P/2R1R1K1 b - -,b5d7
2k3rr/pbqnbp2/1pn1p2p/2ppP1p1/8/P1PP1NPP/1P1BQPB1/R3RNK1 b - -,h6h5
rn1qkb1r/pb1n1ppp/1p2p3/2ppP3/8/2PP1N2/PP1NBPPP/R1BQK2R w KQkq -,d3d4
1r1q1rk1/1p2p1bp/p1np2p1/5bN1/3P4/1P2B1P1/P4PBP/R2Q1RK1 b - -,d6d5
r1bq1r2/2pn1pk1/1p1p1np1/p3P2p/2P1P3/2N2P2/PP1QN1PP/2KR1B1R b - -,d6e5
8/8/4Qp1p/5r1k/7n/6K1/P7/8 w - -,e6e2
2rrn1k1/pq2bppp/1pnpp3/8/2P1P3/1PN2NP1/PB2QP1P/R2R2K1 b - -,e7f6
r4r2/pb1q1pbk/1pnpp1pp/2p5/1PP1PP2/P1NP2PP/3B2B1/1RQ2RK1 w - -,f4f5
rnbq1rk1/pp1pp1bp/2p3p1/8/2PPB3/6P1/PP2NP1P/R1BQK2R b KQ -,d7d5
8/5p2/R6P/3k1K2/8/8/7r/8 b - -,h2h5
r3k2r/1p2p3/p2p1b1p/2n2N2/2B1P1Rp/2P2P2/PP6/1K1R4 b kq -,e8d7
3Qb2k/1B4bp/1p6/8/2Pp1qp1/B7/PP2rPP1/5RK1 b - -,h7h5
1r1qbbk1/5p1p/Bn1p2p1/p2Pp3/1p2P3/1P2BP2/P2QN1PP/2R3K1 b - -,b6d7
r1bqr1k1/pppn1pbp/2np2p1/4pP2/2P1P3/2NP2P1/PP2N1BP/R1BQ1RK1 b - -,c6d4
r4rk1/1ppb1ppp/p3p3/4Nq2/P2P4/1n4P1/1P2PPBP/R1R1Q1K1 b - -,b3c1
8/3Q1pk1/B5p1/8/4n3/6p1/5q1P/7K w - -,d7h3
r1b1r1k1/ppq3b1/2p1p1pp/4Np1n/2PP4/1P2B1P1/P1Q2PBP/2RR2K1 b - -,g8h7
6k1/1p4b1/2np2qp/4p3/6r1/PN1P4/1P1Q2PB/5RK1 w - -,f1f3
2r1k2r/pp1qbppp/1n2p1b1/3pP3/2nP1PP1/1BN1B3/PP3Q1P/R3NRK1 w k -,e1g2
8/7p/1p2k1p1/p4pP1/2PP1b2/1P1K1N2/P7/8 b - -,f4c1
r4rk1/ppqnbpp1/4pn1p/2P4P/4N3/3Q1N2/PPPB1PP1/1K1R3R w - -,d2c3
N1k2r2/pp1bn1p1/2n1p2p/2qpP3/5B1P/3B1NP1/PP3PK1/3Q3R b - -,c8b8
6k1/pp1r1pp1/4np1p/2br4/4R3/2B2NPP/RPP2PK1/8 b - -,d5d1
rn1qkb1r/pp2pppp/2pp1nN1/8/2PP4/2N5/PP2PPPP/R1BQKB1R b KQkq -,h7g6
6k1/2p5/1b1pq1p1/1p6/1P5Q/5PB1/6KP/8 w - -,h4d8
4r3/2kn4/p5N1/1pp3P1/4Pp2/1P6/P3K3/3R4 w - -,e2f3
r4rk1/1bq1bppp/pp1ppn2/8/2PNPP2/1PNQ4/PB4PP/R4R1K w - -,a1d1
3r3r/1kq2p2/bnpb1P2/pp2p3/7N/2P3Pp/PPQBB2P/2KRR3 w - -,h4f5
3rq3/p1r2npk/1p3p1p/1P5P/P1P1bN2/6R1/1Q2B1P1/5RK1 b - -,f7g5
2r1k2r/pb1p1pbp/1p2p1p1/8/2PnP3/1PNBBP2/P2K2PP/2R4R b k -,e8e7
1r1qbr2/p3p1kp/3pP1pR/7n/2pN2P1/2N1QP2/PPP5/2KR4 b - -,h5f6
8/p5pk/1pp1R1np/2P5/3P4/P2B3q/1P3P1P/4R1K1 b - -,h3d3
r1b2rk1/1pp1b1pp/2nppnq1/p4p2/2PP4/1PN1PN2/PBQ1BPPP/R4RK1 w - -,a2a3
8/8/5R2/6p1/4P2p/4kP2/6PK/1r6 w - -,e4e5
5rk1/2rp2pp/pp1nN3/5p2/2P2P2/1P4P1/P4K1P/3RR3 b - -,d7e6
8/p7/1pq1p2k/3n1pp1/3P4/P1PN1PP1/6K1/7Q b - -,h6g7
6k1/p1p2pp1/2p1b2p/8/3QP3/2P3P1/1q5P/5RK1 w - -,h2h4
5rk1/Rb3ppp/1p6/1Nn5/1P6/4N1P1/4rP1P/1R4K1 b - -,b7e4
4r2r/2pk4/1p1np3/p2p1p2/P2P1N2/2P4R/2K2PP1/3R4 b - -,d6e4
r3k2r/1bqnbppp/2n1p3/p1ppP3/1p3P2/2PP1NPP/PP1BN1B1/2RQ1RK1 w kq -,g3g4
r4rk1/pp2nppp/1q1b4/3P1b2/1n3p2/1BN2N2/PPP3PP/R1BQ1R1K b - -,a8d8
r1bqr1k1/pp3pbp/2n2np1/2ppp3/6P1/1P1PP2P/PBPNNPB1/R2QK2R b KQ -,d5d4
3k4/2p5/2P2Nq1/p2R2P1/6K1/1p6/8/8 b - -,d8e7
8/6k1/5p1p/3pPB2/1P6/P1n2K2/7P/8 w - -,e5e6
4r3/3p1p2/2pk2pp/pr1p4/6BP/1PRN2P1/P2K1P2/8 b - -,e8b8
R7/8/8/2pk1p2/P2b1P1p/4p2P/4K1R1/5r2 b - -,f1a1
r1bqkb1r/pp2pp1p/2np1np1/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq d3,c5d4
2kr3r/bpp1q3/3p1p1p/PB2p2n/4P1bB/2PP1NP1/5P2/R2Q1RK1 b - -,c7c6
2rqr1k1/1bpn1pp1/pp1b1n1p/4p3/P3P3/2P2N1P/1PQN1PPB/2R1RBK1 b - -,c7c6
2krr3/1pp2bpp/p7/2q1PpP1/n2pnP1P/N6R/1PPB1QB1/K3R3 w - -,e1e4
3r4/3p4/1R1P3p/p1pN1p1k/2B1nP2/4Pb2/P6P/4K3 w - -,d5e7
8/1r2k2p/3n2p1/2b2p2/R2N1P2/1P2P3/6PP/3KB3 w - -,d1c2
1rb1n1k1/4qp2/pr1p2p1/2pP3p/2BbPPP1/1PN3BP/R2Q2K1/4R3 b - -,d4c3
R7/5kpp/3p4/4p3/1p1p4/2b2P2/5BPP/5K2 w - -,f1e2
r2rn1k1/2q2p1p/p5p1/1p1Rp3/2p1P3/2P1BP1P/PP2Q1P1/3R3K w - -,e2f2
4k3/1pp3p1/p1p4n/2P1P1pr/6Pp/R4N1P/P4P1K/8 b - g3,h4g3
6k1/pp3ppp/5n2/8/4pP2/2P1P1P1/P4K1P/R1Br4 b - -,f6g4
rn2k2r/1b3ppp/p2bpn2/1p6/8/2NNP3/PP1BBPPP/R2R2K1 b kq -,b8d7
r2q1r2/p3bkpp/bpQ1pn2/3p1p2/3P1B2/2N3P1/PP2PPBP/R2R2K1 w - -,c6a4
8/2b5/4k3/2P4p/1N3p2/3KpP1P/8/8 b - -,e6e5
3r1k2/5pp1/1p4p1/pB1P4/1b6/4R1P1/PP5P/5K2 b - -,b4c5
6k1/1B3p2/4n1pp/b3p3/8/5K1P/4N1P1/8 w - -,g2g4
8/8/6p1/1p1rk2p/p5PP/P1R1KP2/1P6/8 b - -,e5f6
1r4k1/1p1r2bp/2n1p1p1/p1Pnp1B1/2N5/PP6/4NPPP/2R2RK1 b - -,g7f8
r3r1k1/ppp2ppp/2b5/4P1B1/2n2P2/2N5/PP4PP/R4RK1 w - -,f1f2
2b2rk1/1p1nppbp/r2p2p1/1N6/p1P1P3/2B2P2/PP2B1PP/2R1K2R b K -,d7c5
r4rk1/1p3ppp/2n1b3/pNB1p1q1/P4n2/2P2P2/1P2B1PP/R2Q1RK1 w - -,g2g3
2k2rr1/1bq1nN2/pp1pP3/2p1Pp2/2P5/PP2P1p1/4B2P/2RQ1RK1 w - -,e5d6
2r3k1/pp2bppp/8/3qPp2/1n1P4/1R2B2P/P1r2PP1/R2QN1K1 b - -,c2a2
r4rk1/1bqnbppp/pp1p1n2/2pPp3/2P4N/1PN1P1P1/PB3PBP/2RQ1RK1 b - -,g7g6
6k1/5ppp/1r2b3/4Q3/P7/3q2P1/3pBP1P/5RK1 b - -,d3d6
5R2/3q2rk/6rp/p1pPp3/PpPbQ2B/1P6/8/5R1K w - -,h1h2
6k1/7n/4pp1P/2p3q1/4P3/6Q1/P3N1K1/8 b - -,g8f7
2rr2k1/pb3p1p/1qp3p1/1p1nb3/1P2N3/4PB2/P3QPPP/R1B2RK1 w - -,c1b2
2r1k2r/1p2bp2/p1bppp2/5P2/Pq2P2p/2N1QB2/1PP3PP/1R3R1K b k -,b4c5
r1bq1rk1/ppnnppbp/2pp2p1/8/2PPP3/P1N1BN1P/1P2BPP1/R2Q1RK1 b - -,e7e5
8/7p/p3k1p1/2P1P3/1r3PPP/r7/2R2K2/8 w - -,f4f5
8/1p1R4/p7/P6p/1P1Pk3/7r/2K5/8 b - -,h5h4
1r5k/1P2q3/6p1/5pP1/4p2r/8/2Q2P2/1R3BK1 b - -,h8h7
2rr2k1/p2q2pp/bpp5/5p2/1QPp4/4P1P1/P4PBP/R1R3K1 w - -,b4a4
1r4k1/p2bB2p/3p2p1/3Pp3/4P1P1/6r1/PP6/1K3B1R w - -,e7d6
r1b3k1/p6p/1pn1pbp1/8/3p1P2/P7/1P1N1P2/R1BR2K1 b - -,e6e5
rnbqr1k1/ppp2ppp/3p1n2/4p3/2PP4/P1P1P1N1/5PPP/R1BQKB1R w KQ -,f1d3
4Nbk1/p4ppp/1p6/3p4/Pn1P1B2/1P4P1/4nPBP/6K1 w - -,g1f1
3rr1k1/5ppp/1pn5/p1q1p3/2P5/PP2QN2/4KPPP/R2R4 w - -,d1d8
r3k2r/pppbqp2/2n3pp/4p3/2B1P3/2P2NQ1/PP3PPP/R3K2R b KQkq -,e8c8
3kq1r1/6r1/2p1pb2/1pPp1ppp/pP1P1P2/P3PNP1/4Q1RP/5KR1 b - -,d8c7
r1bq1rk1/p4pp1/2p2n1p/3p4/1b6/2NB1Q1P/PPP2PP1/R1B2RK1 w - -,c1f4:c3e2
1qrrn1k1/1b1nbppp/pp1pp3/8/2PNPPP1/1PN5/P3QBBP/2R1R1K1 w - -,g4g5
5b2/2kb4/p2p4/3Pp1B1/2N1P1p1/1P1K2P1/8/8 b - -,d7b5
8/pp5k/3p4/2pKbb1N/7R/2PP1r2/PP1Q1r2/R7 w - -,d2g5
5rk1/p4ppp/2p1r2n/2PpP1q1/3B2P1/5P2/PP2N1QP/R4K2 w - -,g2g3
3Q1k2/1q5p/4p1p1/2p1P1P1/1p5P/1P4PK/P7/8 b - -,f8f7
3r2k1/pb1rq1pp/1pn1p3/1N2Pp2/2Ppn2P/1P4P1/PB3PB1/2RRQ1K1 b - -,d4d3
8/8/P7/6pp/1K6/6kP/8/8 w - -,a6a7
6k1/p5p1/1p1rppp1/8/8/1P6/PBb2PPP/2R3K1 w - -,f2f3
r1bq1rk1/pp1n1ppp/2pb1n2/3pp3/4P3/3P1NPP/PPPN1PB1/R1BQ1RK1 b - -,d8e7
3r4/p4pp1/4p2p/1pkrR3/5PP1/P1P4P/1PK1R3/8 w - -,b2b4
3r1r1k/pp1qn1bp/2np2p1/8/4pP2/1QN1B1P1/PP4BP/R4RK1 w - -,c3e4
8/1p2k3/2p5/2P2pp1/6b1/1r2N1P1/2R2K1P/8 w - -,e3g4
4R3/6k1/8/p7/8/1KP5/P2rp2P/8 w - -,c3c4
r1bk1Bn1/1p4pr/8/pP6/2P5/8/P2P1PPP/RN2K2R w KQ -,e1g1
r1b2rk1/ppq2pp1/4pn1p/2bnN1N1/8/2PB4/PP2QPPP/R1B2RK1 w - -,g5f3
2r2R2/2P3pk/4r3/4p2q/2Q1p2p/B3P1nP/6P1/3R2K1 w - -,d1e1
r2q1rk1/pb2bppp/1pn1p3/2pn4/8/PP1PPN2/1B2BPPP/RN1Q1RK1 w - -,b1d2
2br1r1k/p5p1/1p4Rp/n1p1nP2/2P4q/2PB3P/P1Q2BP1/R4NK1 b - -,h4e7
5rk1/1p2pp2/p1b2np1/4p3/2P5/1P3P2/R5K1/4R3 w - -,e1e5
8/1R3p1p/4k1p1/3n2P1/3B3P/4PP2/3r4/5K2 b - -,d2h2
2br2k1/5pp1/5n1p/p1N5/P2p2P1/5B1P/4PP2/1R2K3 b - -,c8e6
6k1/1b1n1ppp/p3p3/3p2P1/8/2B4P/PP3PB1/6K1 b - -,f7f6
r6r/5pp1/pp1k3p/2p2P2/P7/3P2K1/1P5P/4R3 b - -,h8e8
1R6/3r2kp/6p1/3ppP2/1P6/2P1q3/5QPP/6K1 b - -,e3c1
R3b3/p3k3/4p2p/4Np2/2P2P2/P5K1/8/2r5 w - -,a8a7
5r1r/1p2k3/1npR1p2/p1n1p1pp/P3P1PP/1PN1PN2/1KP5/3R4 w - h6,g4h5
7k/p1R2pp1/8/3pP2p/r5N1/7K/1r6/6R1 w - -,g4h2
2rq1k1r/1p3pp1/p7/P1b5/N2pnPPp/8/1PP4P/R1BQ1B1K w - -,d1f3
r3r1k1/2qnbppp/b2ppn2/p1pP4/PpP1P3/1P2B3/2QNBPPP/RN2R1K1 b - -,e7f8
5q2/8/2R5/2R5/7k/6P1/8/6K1 b - -,h4h3
2r5/8/p7/PN6/1K1k4/1P6/8/8 b - -,a6b5
r1bq1rk1/p2nb1pp/1pp1p3/2Pp1p2/3PnB2/2NBPN1P/PP3PP1/R2Q1RK1 w - -,c5b6
8/1b3R2/8/8/7K/5P2/6r1/6k1 b - -,b7a6
8/7p/4p1p1/4k3/1P2Pp2/2K5/5r1P/R7 w - -,b4b5
8/2p5/3k1pB1/p1p4p/1p2PPbP/P1P5/1P1K4/8 w - -,d2d3
8/1R6/4p1kN/1P2P3/1r3Bp1/6P1/r4PK1/8 b - -,g6h5
8/8/p4r2/1p6/3bk1pP/R5P1/P2K4/3B4 b - -,f6f2
r4k2/6pp/q7/2Q2p2/1P1n4/3R1P2/7P/1K4R1 b - -,f8f7
R3n3/5k2/1P3P2/4K2p/4B3/8/P3r3/8 b - -,e2b2
2rq1rk1/p4ppp/bp3n2/3P4/1p1PPP2/3B4/P1QN2PP/2B2RK1 w - -,c2b1
r4rk1/p3q2p/1p1b4/2pPn1p1/4P3/1PBN2P1/P1Q3BP/R5K1 b - -,e5d3
r4r1k/bppq2pp/p1np1p2/4p3/3PP1nB/1QP2N2/PP3PPP/3RRNK1 b - -,a8b8
r2qkb1r/1b3ppp/pn1ppn2/1p6/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w kq -,d4b3:d2f2:h2h4
2rB2k1/1p2ppbp/p5p1/3Pn3/q1p1P3/2P2P2/PQ2BP1P/2RR2K1 b - -,c8d8
3rr1k1/1bqn1p1p/pp1p1npQ/2pPp3/2P1P3/2N2N1P/PP3PP1/3RRBK1 w - -,f3g5
4r3/p2k4/1p1r4/1P6/P1RR1P2/6Pp/5K1P/8 w - -,f2f3
r1bqk2r/1p2n1b1/p2p1pp1/2pPp2p/4P2P/3PB3/PP1NBPP1/R2QK2R w KQkq -,a2a4
r4qk1/p2b2bp/1p1n4/1n1P1p2/1P3Pp1/2NQ2P1/4NBBP/5RK1 w - -,f2d4
5B2/8/2n5/1p6/b7/2K5/8/1k6 b - -,b1c1
r1bq1r2/1pp2pk1/p2p1n1p/4p1p1/4P3/1BPPP1BP/PP2Q1P1/R3K2R b KQ -,c8e6
4rnk1/2qr2bp/1pb1p1p1/p1p1P1PP/P1P2PQ1/1P1p2N1/3B3R/3B1RK1 b - -,d7d4
8/pkp3r1/4p3/2p1r3/2R5/1P4PK/P1P2R2/8 b - -,e5e3
1r1r1qk1/2R2n1p/1p1N2p1/p2P1p2/4p3/1PB1P1PP/4QPK1/3R4 b - -,f8d6
5bk1/5q2/Rr2p2p/2Qb1p2/1r2p3/6B1/3N1PPP/3R2K1 w - -,c5a5
6k1/p4p2/8/2P5/P2p1pP1/8/2P2P2/4rNK1 b - -,e1c1
r3rnk1/pp1qbppp/2p1bp2/2P5/1P1P4/3BB2P/P3NPP1/RQ3RK1 b - -,f6f5
4r3/2p4k/p5pp/2P2p2/PP6/2b1B1PP/3p1P2/3R2K1 w - -,g1f1
5k2/R7/8/3r2BP/4b3/6K1/8/8 w - -,g3f4
r4rk1/ppqb1pp1/1bp3np/3n4/3N4/2P2QNP/PPB2PP1/R1B1R1K1 b - -,a8e8
3q2k1/2nP1p2/1p4p1/p1p1Q2p/2P1NP2/1P4P1/P5KP/8 b - -,c7e6
8/8/1KBk4/P2P4/1b6/8/8/8 w - -,a5a6
2r2rk1/2qn1ppp/1pb1p3/4P3/1b2PB2/2NR2P1/2Q2PBP/3R2K1 w - -,c3d5
