8/4kp2/1b4p1/4Pr1p/2R4P/6B1/6K1/8 w - -,g3f4
r1bnr1k1/bpp2pp1/p4q1p/1P1Np3/P3Pn2/BBP2N1P/5PP1/R2QK2R b KQ -,f4d5
8/1R3k1p/5np1/8/5NPP/r4PK1/8/8 b - -,f7e8
2k2rnr/ppqb2b1/2n1p1Pp/3pP3/1Pp2B2/P1P2NP1/2B2P2/RN1QK2R b KQ -,d7e8
r3r1k1/pp5p/2pn1pp1/2Rp4/3P4/1P2PN1P/P4PP1/2R3K1 b - -,d6e4
bq5r/3n1kp1/p7/3ppP2/2p1n3/6BB/PP2Q2K/2R3R1 w - -,g3e1
6r1/6pk/1p4Np/p1pbRP1P/P5PK/2q5/5Q2/8 b - -,d5f7
r2qkb1r/pppnpp2/5n1p/3p1bp1/3P3B/2N2P2/PPPQP1PP/R3KBNR w KQkq g6,h4f2
5rk1/ppp3p1/7p/3q2b1/2p5/2P1P1PP/PPN1Q2K/R7 b - -,d5d3
6k1/5pb1/1r1Pb1p1/1p4N1/2p1B2R/3p2P1/PP3P2/2K5 b - -,b6d6
2kr3r/1p6/pppqnp2/4p1p1/1P2P2p/2PP4/1P1QNPPP/3R1R1K b - -,c6c5
r1bq1rk1/pp2bppp/2np1n2/2p1p3/P3P3/2PP1N2/BP1N1PPP/R1BQ1RK1 w - -,d2c4
8/1p3rk1/2p3p1/4R3/2P5/1P5P/P4PK1/8 b - -,g7f6
3rr1k1/2p1bppp/1nn5/p1N1pq2/2P5/3P1N2/PP1BQPPP/R3R1K1 w - -,c5e4
r6r/1p1bk3/pq2p1pp/5p2/3b3P/P3B3/BPP2QP1/4RRK1 b - -,d4e3
r4r1k/p4pn1/1p1n2p1/3Pp1Pp/P1P4P/4B2B/5P2/3R1RK1 w - -,c4c5
1r4k1/pb4p1/4R2p/1ppp3P/6P1/3P4/PPP2rBK/R7 w - -,a1f1
r1bqk2r/1p1n1ppp/pn1pp3/8/3P4/1QN1P1P1/PP1B1PBP/R3K2R b KQkq -,d6d5
r4rk1/1q2bppp/p1p5/3pP3/Q7/1N2B3/PPb2PPP/R2R2K1 w - -,d1c1
8/4bpk1/P3p1pp/8/R4P2/B3P2P/r4PK1/8 b - -,e7a3
4k2r/2r1bp1p/2p1p1p1/4P3/1Pp2P2/4B3/P5PP/2R2RK1 w k -,c1c4
5rk1/4p1bp/2pp1pp1/6B1/2P1P3/1P1R4/r4PPP/1R4K1 w - -,d3d2
2nrrn2/ppb2kpp/2p2p2/3p1B1P/P2P4/1P6/1KPBNPP1/4R2R w - -,f5d3
r4rk1/2q1bppp/p1ppbn2/4p3/4P3/1BN1BQ1P/PPP2PP1/3RR1K1 w - -,d1d2
8/3p1p2/1p1k1n2/p2PpPp1/4P1P1/P3KB1r/1P6/6R1 w - g6,f5g6
r2r4/pp2n3/4k1p1/2p5/2P3Q1/2P1K3/q5PP/3R1R2 b - -,e7f5
r2r2k1/pp2qpbp/1n4p1/8/2P5/1Pp1BB2/P1Q2PPP/3R1RK1 w - -,c4c5
8/1p3kbp/p1b3p1/8/P5P1/1P3p1P/3RrB2/3R2K1 b - a3,g7c3
8/5Qq1/2p3pk/3p4/6Np/6P1/5P1P/1n4K1 b - -,h6h7
q1r3k1/7p/rB4p1/P3p1n1/2pP4/R5P1/2Q2P1P/R5K1 w - -,d4e5
1b3rk1/1p1q1pp1/2p1b2p/1n1nB3/QP1PN1P1/7P/4NPB1/5RK1 w - -,e4c5
r4rk1/5qb1/bpQ2n1p/1N1Ppp2/1R6/8/PB3KPP/4RB2 w - -,c6e6
8/3r1ppk/4q2p/1Q1p4/3R3P/4P1P1/5PK1/8 b - -,d7d6
3Rk3/2r3p1/4p3/4Pp2/1p3Prp/8/PPP3PP/3R2K1 b - -,e8e7
r1b4k/p3n1rp/1p2qp1b/3pp3/5PP1/1NPB3P/PPQ3N1/1K1R1R2 w - -,c2f2
8/8/4k1p1/1B2ppBp/8/2r3P1/5PK1/8 w - -,b5e2
1n3rk1/3P4/4R3/4p2p/4N2P/6P1/7K/8 w - -,e6e5
r3rnk1/ppbqn1pp/2p2p2/2Pp4/3P2N1/1P1Q1N1P/P2B1PP1/R4RK1 b - -,d7f5
1rbqr1k1/1p2bppp/3p2n1/p1pPp3/PnP1P1P1/4BNNP/1P1QBP2/1R3K1R b - -,g6f4
8/5pk1/2p1p3/4Pn2/2K5/4r3/8/Q7 b - -,e3e4
r1bqk2r/1p3pnp/p2p1bpB/2pP4/P3P3/2N2B1P/1P3PP1/R2QK2R w KQkq -,e1g1
3r2k1/p4p2/2n1p2p/1pb1P3/2p2q2/1PP2N1P/P3Q1B1/5N1K w - b6,b3c4
3r3k/pQ1q2b1/2p2n1p/4Bbp1/8/PB3P2/1P4PP/4R1K1 w - -,b7b4
1r1q1r1k/pp4bn/3pb3/1P1Npn1p/P3B1p1/B1NPPpP1/5P1P/1RRQ2K1 w - -,c1c2
r1b4k/8/3Np1B1/4b3/P2p1B2/1p4KP/8/1R3R2 b - -,e5g7
6bk/r5p1/1p3p1p/2n1pP2/4P1PP/2B5/3R4/3R2K1 w - -,d2d8
5r2/1pp2kp1/pn1p2p1/8/2P5/PPN2P2/5PKP/4R3 w - -,c3e4
r1bqr1k1/1p3pbp/p1p2np1/2Pp3P/3P1B2/2NpPN1P/PP3P2/R2Q1RK1 w - -,h5h6
r2q1rk1/6b1/p1npp2p/5ppB/1pPP2P1/1P3P2/P2Q1P1R/K2N3R w - -,d1b2
8/p2r3p/n4pk1/5N2/1p4P1/5P2/PP3K2/2R5 b - -,h7h5
3r1rk1/pb1n2pp/1p1q4/2pP4/P1P1R1P1/1Q3N1P/1B4P1/1R4K1 b - -,d7f6
2q2rk1/ppr4p/3p2p1/P1bP1PP1/2Q1PB1n/R5NP/1PR5/3K4 w - -,b2b4
2rr2k1/p3qp2/1n2p1pp/2p1P3/6QP/P4b2/1P3PP1/1BR2RK1 w - -,g2f3
r1r3k1/3nqp1p/1p4p1/3p4/PbpPn3/4PN2/1BB1QPPP/1R3RK1 w - -,b2a1
r4r2/1p2q2k/2ppb1pp/p1n4n/2P2P2/1PN4P/P1QNPPB1/3R1RK1 w - -,e2e3
r3rbk1/p1p2p2/5npp/4p3/2q1P3/p4PPN/1BP2Q1P/R3R1K1 w - -,b2a3
1r6/p6k/6pb/2p1p2p/2PpP3/3P2Pq/P1N2R1P/4Q1K1 w - -,e1f1
6k1/1R5p/5pp1/p6r/5P2/3K2P1/P6P/8 w - -,h2h4
6k1/2pn1r1p/1p1p4/p3p3/P1P1Prp1/1NR5/1P2RPPP/6K1 b - -,g8f8
3qr1k1/7p/3p2p1/p2P3n/P3Q3/1p6/1P4PP/R3RNK1 b - -,e8e4
r2qr1k1/1pp3pp/p1pb4/5p2/2N1b1n1/1P2PNP1/PBPP1P1P/R2Q1RK1 w - f6,d2d3
r1bq1rk1/ppp1ppbp/1n4p1/8/1n6/2NPB1P1/PP1QPPBP/2R1K1NR w K -,e3h6
3r1rk1/2p3pp/b1n1p3/p3Pp2/1p3B1P/1BP1R3/PP3PP1/2K4R b - -,g8f7
1kbrr3/p3qp2/1p1p1pn1/2pP3p/4PP1P/P1Q1R1P1/1P1N4/1K2RB2 w - -,b1a1
r3r1k1/1p3pp1/2pqpnn1/p6p/P1PP4/1P1R1BPP/2Q1NP2/3R2K1 w - h6,h3h4
1rbq1rk1/p3bppp/3ppn2/2p5/1p1nP1P1/2PP2NP/PP2NPB1/R1BQ1RK1 b - -,b4c3
r2qrbk1/5pp1/p1npbn1p/1pp1p3/4P3/2PPN2P/PPB2PPN/R1BQR1K1 w - -,h2g4
2r2rk1/2q2pp1/4p2p/1N2P2n/4nb2/P3BP2/1PP4P/4RRK1 w - -,b5c7
5r2/1bp3pk/p7/1pP4p/1P2R1Pq/4R3/2PQ1P2/6K1 w - -,d2e2
5rk1/5rbp/1p1qbp2/p2Np1p1/P1PpP1B1/1P1Q2PP/5PK1/3RR3 w - -,g4e6
rn1qkb1r/ppp2ppp/4pnb1/8/2pP2P1/2N1PN1P/PP3P2/R1BQKB1R w KQkq -,f3e5
2R3nk/6r1/p3Q1p1/1p2P2p/4q3/P5R1/1P3P2/6K1 w - h6,c8f8
2br1k2/p1p4p/2B5/8/2P2bnp/1P6/P2NR3/2KR4 b - -,f4g5
8/1pk2r1q/5P2/2ppn1Q1/5R1P/P5RK/1P6/8 b - -,e5d7
2n1k3/1p5p/p1p2p2/2Bp1P2/6PP/1PPP4/8/6K1 b - h3,e8f7
8/1p4p1/p3kp2/2b5/P1p1KP1B/2P5/5P2/8 b - -,f6f5
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq -,c7c5
r1bqr1k1/b1p2pp1/p2p1nnp/P3p3/4P3/1BPP1N1P/5PP1/R1BQRNK1 w - -,f1g3
r5r1/pp6/2kBQ1np/3pP3/1P6/2b5/P4PPP/6K1 w - -,d6b8
r5k1/q3bp2/4pQp1/7p/2N3PP/4P3/5P2/3R2K1 w - -,f6f4
2r3k1/r2q2pp/3bpp2/pp1b4/1PpPpPN1/P1P1P2P/1BQ3P1/R4RK1 w - -,g1h1
r4r2/pbppq1k1/n4np1/1p3pBp/2PP1N1P/2Q2P2/PP4P1/2KR1B1R b - -,a8e8
r1b2rk1/pp1nqpp1/2p4p/4P3/2R5/3BPN2/PP3PPP/3Q1RK1 b - -,d7e5
3br2k/1p1b3p/p1p1p2q/2Pp1P2/PP1P1N2/4PR1P/2B2Q1K/8 b - -,e6f5
r1b1qrk1/1pp1b2p/3pnn2/1P2ppp1/2P2P2/2NPP1P1/4N1BP/1RBQ1RK1 b - -,e8h5
3q1rk1/6bp/2rpbnp1/p1p5/1pN4N/2PP2P1/PP5P/R1BQ1RK1 w - -,d1a4
2Rr4/p3qpkp/1p4p1/r2p4/P2P4/4P2P/2Q2PP1/2R3K1 w - -,c8c3
2kr3r/pp1nqp2/2b1p2p/2ppP1pP/3P4/2PB1NQR/P1PK1PP1/1R6 w - -,d3b5
8/6k1/6p1/7p/5P2/1q6/1P3R2/5K2 w - -,f1g2
r1bqk2r/pp3ppp/2n2n2/2bp4/8/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,a2a3:e1g1
r1b1kbnr/ppqn1pp1/2p4p/4P3/2B1P3/2N2N2/PPP3PP/R1BQK2R b KQkq -,d7e5
r4rk1/p4pp1/3bp2p/1p1n4/2pPN1PP/2P5/PP2KP2/R1B3R1 b - -,d6e7
r1b2r2/ppqn1pkp/2pp1np1/8/3NP3/2N5/PPP1BPPP/R1Q2RK1 b - -,d7c5
r1b2rk1/1p2npbp/1qnp2p1/p1p1p3/2P5/P2PPNP1/1PQ1NPBP/R1B2RK1 b - -,h7h6
1rbq1rk1/p3bppp/2p2n2/3pp3/4P3/P1NB3P/1PPB1PP1/1R1Q1RK1 b - -,c8e6
1r4k1/5p2/q2p1bpp/2pPp3/1r2P3/1N5P/P1Q2PP1/1R2R1K1 b - -,f6g5
4r1k1/2p3p1/3p3p/2rP1P2/5PP1/p1p1NK2/2R5/8 w - -,c2a2
3r1rk1/1p3qbp/pNppbnp1/P1n2p2/2P2N2/4P1P1/1PQB1PBP/R4RK1 b - -,f6d7
1rr1n1k1/3n1pbp/q3p1p1/2p5/p1Pp4/B2PP1P1/P2NBP1P/1RRQ2K1 w - -,b1b8
2k3rr/bppq4/p2p3p/3Pppp1/1PP5/3PPN2/P5PP/R2QR2K w - -,a1c1
2r2r1k/5ppp/pq1b4/1p1p4/5P2/PN4Q1/1PP3PP/3R1R1K w - -,d1d5
r5k1/1p3pbp/p1p1rnp1/2P1p3/4P1P1/2N1BP1P/PP2K3/2R4R w - -,h1d1
6k1/1pr1pp1p/1B2bbp1/1B6/4P1n1/PqN3Q1/1P1r1PPP/1RR3K1 w - -,g3c7
r4r1k/1pq3pp/p1p2p2/5b2/1PBRPP2/6Q1/P5PP/5RK1 b - -,f5g6
8/1p4k1/p1p2pq1/2P4p/1P5P/P5Q1/6PK/8 w - -,g3c7
3r2k1/6p1/4Qp2/q1p5/1p2P3/1P3PP1/PB4K1/8 b - -,g8f8
7k/2pB4/5p1p/p2P4/1b2PPK1/1P6/P2R3P/8 b - -,b4d2
4kb1r/1p1bpp2/p2p1p1p/2rN4/3NP3/8/PPP2PPP/1K1R3R b k -,h8g8
8/8/p1K1k1pp/1p1nP3/3B2P1/P7/8/8 b - -,h6h5
r2qk2r/1p3ppp/p1n1pn2/3p4/N2P1b2/3QPP2/PP2N1PP/2R2RK1 w kq -,e2f4
6nk/p7/1p1r1bPp/8/8/7P/1p6/1B2RRK1 w - -,e1e2
7k/8/8/pR6/1p5P/1r4PK/8/8 w - -,b5a5
1rr3k1/5pp1/R1bbpn1p/1pp5/8/2NP2P1/1P1NPPBP/2R3K1 b - -,c6g2
8/8/6p1/2p3kp/3b1R2/6PP/1pK5/8 b - -,d4e5
RRbr4/2q2p1k/p5p1/P1r1p1Qp/2p1P1P1/2P4P/4BP2/6K1 b - g3,c5a5
1r3Bk1/pp3pb1/3N2p1/q2pP2p/3P4/6Pb/P4P1P/R2QR1K1 b - -,g7f8
R7/6pk/P6p/5P1P/5K2/8/8/r7 w - -,f4e5
7R/kp6/p7/2pN4/P1P1r2p/5n2/1P6/2K5 w - -,b2b3
r1b1kb1r/1ppq1ppp/4pn2/p7/4P3/2NP4/PPQ1BPPP/R1B1K2R b KQkq -,e6e5
r5k1/pp4b1/1q2p3/3pPbP1/2p4Q/2N5/PPP2r2/2KB2RR w - -,g5g6
3q1r1k/1pp4p/p2p2p1/3Ppr2/1PP5/5P2/P4QPP/2R1R1K1 b - -,f5f4
r4r2/2pbppkp/1q1p1np1/n7/3PP3/N1N2P2/PP1Q2PP/R3KB1R w KQ -,a3c4
8/R7/6k1/6Pp/P6P/8/6r1/4K3 w - -,a7a6
4k3/2Q2pp1/1p2p2p/pq1p4/3P4/P3P2P/1P1K1PP1/8 w - -,c7c8
5r1k/3R4/1p6/1P6/2B1pr2/6K1/4Rb2/8 w - -,g3g2
2b1r1k1/3r1pp1/1bp4p/1p6/1P2PP1q/2NQ3P/6PK/1RB2R2 w - -,d3g3
r4rk1/p1n1q1pp/1ppbb3/3p1p2/2PP4/P1NBP2P/1PQN1P2/1K4RR b - -,a8c8
6k1/2q3pp/pr2p3/2P1p3/5P2/6PK/2Q4P/3R4 b - -,b6c6
2r3k1/p1qrbppp/4bn2/2p1p1B1/N6P/P5P1/1PQ1PPB1/2RR2K1 b - -,c5c4
8/4k3/1p6/1N3B2/2KP4/8/1r6/8 b - -,b2f2
2r5/pp2pp2/3p1k2/3P1p1r/5P1P/2P5/PP3K2/3R3R w - -,d1d4
rnbq1rk1/pp3ppp/8/B2Nn3/3P1P2/p7/6PP/R2QKBNR b KQ -,d8a5
5k2/3b3p/3p1np1/2pP1p2/1pP2P2/1P2QN1P/6P1/q4BK1 w - -,f3d2
1r1q1rk1/1bp2pp1/p1np1n1p/1pb1p3/4P3/P1NPBN2/BPP2PPP/R2Q1RK1 w - -,c3e2
1kr3r1/pp1bbp1p/3ppp2/7q/3NP3/2NRQ1P1/PPP2P1P/1K4R1 b - -,h5h2
5r1k/pp1q1nbp/3p4/3Qn3/6p1/4N1B1/PP2BPPP/3R2K1 b - -,f8c8
5rk1/4r2p/pp1pp1p1/2q3P1/2P2P2/2RQ4/PP2KR2/8 w - -,d3e3
r1bqk2r/pppp1ppp/2n2n2/b3P3/2B1P3/2P2N2/P4PPP/RNBQK2R b KQkq -,f6g4
8/q2b2k1/p2p1rp1/Pp2p2p/1Pp1P3/2P1b1PP/2Q2RB1/5RK1 b - -,g7f7
6k1/1p2pp2/1Q1pb1pq/8/P3PP1P/6n1/P1PN4/2K4R w - -,h1e1
r4rk1/p1nq1ppp/1b6/1p1pP1B1/1P6/PQ3N2/5PPP/2R2RK1 w - -,f1d1
8/5p1k/2p3pP/2q1p3/1pN1P2P/1P1P1P2/6r1/1K1R3R w - -,d3d4
2rqr1k1/1p1p1ppp/p1n1pn2/8/2P5/P1BBP3/1PQ2PPP/R3K2R b KQ -,e6e5
4k2r/1b2bppp/p2qn3/1p1pN3/8/1B6/PP2QPPP/3RR1K1 b k -,e8g8
1R6/5bk1/8/8/3K2B1/1p5P/8/8 w - -,g4d1
2r3k1/1b3p1p/1p2p1p1/p2p1n2/P1r2PP1/2P2B1K/N1PR3P/4R3 b - -,f5d6
rnbqk1nr/pp1pppbp/6p1/2p5/5P2/5NP1/PPPPP2P/RNBQKB1R w KQkq -,f1g2
r1nb1k2/3r1ppp/1p2p3/p1p1P3/P1P1NPP1/2B1P3/1R2K2P/2R5 w - -,c1c2
rnbqk1nr/2p1ppbp/p2p2p1/1p6/3PP2P/2N1BP2/PPP3P1/R2QKBNR b KQkq h3,g8f6
5b2/8/3p1k1p/R2Kp1p1/1rP5/1p2B2P/1P3PP1/8 b - -,f8e7
r3r1k1/1p1b1ppp/3ppn2/p1n3B1/2P5/P3PP2/1P1N2PP/2KR1B1R w - -,c1b1
2kr3r/pppq1ppp/2n2n2/4p3/1b6/1QNPBBP1/PP2PP1P/R3K2R w KQ -,e1g1
3rr1k1/3qb1pp/2n5/p1n1pp2/1p3pN1/2P4R/PP1BQ1PP/1B2R2K w - f6,g4e5
rn2kb1r/pp2pppp/1qp2n2/3p1b2/2PP1B2/1Q2P3/PP3PPP/RN2KBNR w KQkq -,b1c3
Q7/5kp1/5p2/P4n1r/4pP1r/4P1RP/2P4K/8 w - -,a8b7
3rr1k1/ppq2pb1/2p2np1/4p2p/Q1PnP3/P1N1B1P1/1P3PBP/R3R1K1 b - -,f6d7
2r3k1/1p3ppp/p1bqn1r1/P2p1N2/8/2P1BPP1/1P3Q1P/R3R1K1 b - -,d6d8
8/7p/4k1p1/3p2P1/3Kb2P/4P3/4B3/8 w - -,e2g4
r2q1rk1/p2nbppp/1p2p3/3b4/3N4/1P1BP3/PB3PPP/R2Q1RK1 w - -,d1e2
1rq3k1/Q2bb1pp/3p1pn1/1p1Pp3/2p1P2P/2P1B1P1/1PBN1P2/R5K1 w - -,c2d1
r3k2r/pp1n1pbp/2p1bp2/8/8/1P3N2/1BPPN1PP/R4K1R w kq -,e2g3
r2qr1k1/1b3p1p/pb1p2p1/1p1Pp2n/n1P1P3/1Q2BP2/NP1N2PP/1R2RBK1 w - -,e3b6
2rqk2r/1b1nbpp1/4pn1p/p2p2B1/Pp1P1N2/4PN2/1P3PPP/1BRQ1RK1 w k -,g5f6
4k1r1/3b3R/p1pp2P1/P1p1b3/2P1BB2/1P1K4/8/8 w - -,f4e5
6k1/5pp1/7p/2B1P3/p3P2P/n3P1P1/1Nb3K1/8 b - -,a3b5
2brr1k1/ppq1bp1p/2p1pn2/5p2/NPPP4/P5P1/2Q1NPBP/R4RK1 w - -,a1d1
r5k1/3R2bp/2n3p1/1p6/1Np3P1/4B3/1P3P2/1B4K1 b - -,c6b4
8/8/8/pK3k1P/P7/4B3/8/4b3 w - -,e3b6
8/8/6K1/r5N1/3npk2/p7/R7/8 w - -,g5h3
r2q1rk1/3nbpnp/p2p2p1/2pPp3/2P1P3/2N1BN2/P3QPPP/RR4K1 w - -,b1b3
6k1/5p1p/1r3bp1/1p6/5Q2/2Pq2P1/P4PBP/R5K1 w - -,a1c1
r7/5pkp/pR4p1/P7/1P2p3/1N2P3/4K1Pb/8 b - -,h2c7
r3kn1r/5pp1/pp2pb2/7p/5P2/2B1RN2/PPP3PP/5R1K b kq -,a8c8
1rr3k1/1p2qppp/p1n1bn2/3p4/Q2N4/2N1P3/PP2BPPP/2R2RK1 b - -,e6d7
r2qk2r/1p1n1pp1/2p2np1/p1bpp3/2P5/P2P2P1/1P1NPPBP/R1BQ1RK1 w kq a6,c4d5
6k1/pp2ppb1/1n4pp/8/P3P2P/3r1N2/1P2NPP1/2R3K1 w - -,a4a5
8/8/3k2N1/5p2/3b4/5BP1/5PK1/1r6 b - -,b1b2
1r6/3Rppk1/pp6/r7/PbP4p/1P3B1P/5PK1/3R4 w - -,d1d4
r2qr3/1b1n1pk1/p2p2p1/1pp3Pp/2n1PP1P/2N3N1/PPP2QB1/1K1R3R w - -,h1f1
5r1k/1P5p/p2P3N/3b4/1n2B2P/b5P1/4N3/4R1K1 w - -,e2c3
r4rk1/2nqb1pp/4p3/p3P3/p1pN1PP1/2P5/4Q2P/R1B2RK1 w - -,e2c4
2r2rk1/1bq2pbp/pp1ppnp1/4n3/1PP1P3/1NNBB2P/P3QPP1/2R2RK1 w - -,c4c5
2rq1rk1/p2nbppp/bp2p3/3pP3/4PB2/2N3P1/PPQ2PBP/R2R2K1 b - -,g7g5
1r3nk1/4qrp1/2Bbbp2/1P6/2pPPN2/2B3Pp/5Q1P/R4RK1 w - -,f4e6
b5k1/4qppp/4p3/3n4/8/3B1N1P/P4PP1/2R3K1 w - -,c1c8
5kr1/R4p2/4pQpp/3pP3/3P4/2P5/2q1KPPP/8 w - -,e2e1
8/8/ppbn4/8/P3pp1k/1PP5/3NBP2/4K3 b - -,a6a5
4r1k1/1b3pb1/1q5p/1pRp2p1/1P2P1n1/3B1NP1/3NQPP1/6K1 b - -,d5e4
1r2k2r/1bqnbpp1/p2ppn1p/8/1p1NPP1B/4Q3/PPPNB1PP/2KRR3 b k -,d7c5
2n1r1k1/1q1r1pb1/1p2p1pp/p1n1P3/2P4B/1PN2N1P/P3Q1P1/2RR3K w - -,d1d7
2b2r1k/6pp/2p5/p1Pp1p2/R2P1P2/2P2P2/4B2P/6K1 b - -,f8e8
4r1k1/pp3Np1/7p/3p4/1PPB2P1/5R1P/4bP2/q5K1 w - -,d4a1
7k/2p1r2p/1p6/1P2q1p1/r7/2Q1R1P1/2R4P/6K1 b - -,e5c3
1r4k1/4b3/p2p2p1/n1p1pp2/P3P2p/B1PP4/2B2P2/3R1NK1 w - f6,d1b1
4r1k1/ppn3pp/5qp1/2bp4/5PQ1/2P3N1/PP1B2PP/5RK1 w - -,g1h1
8/4b3/1p5p/1kp1p1p1/p3Pp2/PPKP1P1P/6P1/4B3 b - -,e7f8
rn1qkbr1/1b1p1p1p/p4p2/2p5/Pp1pP2N/6P1/1PPN1PBP/R2Q1RK1 b q -,b8c6
rnbqk2r/1pp3bp/3p1np1/p3pp2/2P5/2N1PN2/PP1PBPPP/1RBQ1RK1 w kq a6,a2a3
6k1/1b4p1/1p4p1/p1b1p3/2PqPp2/1P3P1P/2R4K/4NN1B w - -,c2g2
r2q1rk1/2p1bppp/p1n5/1p2Pb2/8/1PPpBN2/1P3PPP/RB1Q1RK1 w - -,e3d4
5r2/1k3pp1/p3pn1p/4B3/PpP5/1P6/2B2bPP/3R1K2 b - -,f2c5
