8/5kb1/1p5p/5PP1/P7/4B3/2K5/8 w - -,g5h6
8/7p/2R1p1k1/3nP3/3P4/2p3P1/5PK1/r1B5 w - -,c1e3
3rrb1k/p1q5/3n1pp1/1p1Bp3/2p5/2P1Q1P1/PP3P1P/2BRR1K1 w - b6,e3f3
8/p6p/1p1kppp1/8/1PPK1P2/6P1/P6P/8 b - -,d6c6
2b5/R3nk2/1r1p2pp/2pPp3/1pP3P1/1P1BKP2/5N2/8 b - -,c8b7
8/5pp1/7p/7P/5PP1/2kpK3/8/8 w - -,g4g5
4k2r/p1rR1pbp/1p2p1p1/4P3/B1P3P1/8/PP3PP1/4R1K1 b k -,c7d7
rnbqkb1r/pp3ppp/2p2n2/8/2Q5/5NP1/PP2PPBP/RNB1K2R b KQkq -,b8a6
2kr3r/1p2pp1p/pqp1b1pQ/3n4/3P4/PP3PP1/2P1N1BP/R3R1K1 b - -,d5c7
2b4k/1pp1q1pp/p7/2p1pP1N/4P3/1P1P2QP/P5P1/7K b - -,c8d7
6k1/5p1p/4p1p1/1p1bP3/p2P1KP1/P2R1B1P/5P2/2r5 b - -,d5c4
r5k1/4pp1p/3p2p1/N2Pn3/1P1RP3/2P3PP/1nQB2K1/q7 w - -,d2c1:a5b3
8/4kp2/r1pbp1p1/3r4/1P1R1P1p/P2K2PP/1B3P2/3R4 w - -,d3c4
r1bqkb1r/pp1pnp1p/2n1p1p1/2p5/3PP3/2N3P1/PPP1NPBP/R1BQK2R b KQkq d3,c5d4
3r1bk1/5ppp/5n2/pp2NN2/4nB2/P1q4P/2Q2PP1/R5K1 w - -,c2a2
r2r1qk1/1p3p1p/3Pb1p1/p3R3/2P5/2Q5/P3BPPP/R5K1 b - -,b7b6
r4rk1/pb1q2bp/1p4p1/n1pp2B1/2P1B3/5N2/P4PPP/2QR1RK1 w - -,e4d5
r1b1k2r/pp1nqpp1/2p1p2p/3n4/2BP4/2N1PN2/PP3PPP/2RQK2R w Kkq -,e1g1
3k4/R7/3K4/8/2N5/8/8/2r5 b - -,c1c4
4rbk1/2q2ppp/p7/1p1p1NP1/3Q1R2/8/P1P4P/1KB5 b - -,e8e2
8/7p/5k2/1R4p1/p1K5/P2B3P/1p5r/8 w - -,b5f5
1rr2k2/4bppp/8/pR2RP2/2B5/P1P3P1/N1b4P/K7 b - -,e7a3
8/8/5pk1/1r6/R1K2B2/8/8/8 b - -,b5h5
2r4k/4bp1p/1n2q1p1/1p1pP3/p2P4/P3BQP1/1P3P1P/1N3RK1 w - -,f1c1
r3kbnr/pp4pp/2n5/2P1p1N1/8/2P1B2p/PP2bP2/RN1K3R w kq -,d1e2
8/7p/2R1P1p1/1p3kB1/pb5P/8/4r1PK/8 w - -,h2h3
4k1nr/3p1p2/p3p3/2q3P1/PNn4p/6P1/4QPB1/R3R1K1 b k -,h4g3
r4rk1/1b1nnppp/pq2p3/1p6/3P4/1Q2PN1P/N3BPP1/R4RK1 w - -,b3d3
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5NP1/PPPP1PBP/RNBQK2R b KQkq -,f8g7
4r1k1/2R3pp/p1Q2n2/1p1p1pq1/4B3/1P2P2P/PB3PP1/6K1 b - -,e8e4
5k2/4r2p/r5p1/2p1N3/1n2R3/8/PP3PPP/3R2K1 w - -,a2a3
8/6n1/6P1/1pPk4/1P6/2P2KBp/8/8 b - -,d5c6
r3r1k1/1bqn1ppp/pp1p1b2/5P1Q/1PPNN3/P2n4/1B4PP/1BR2RK1 w - -,d4e6
8/8/1B6/P7/3pkp1R/2b5/r5P1/3K4 w - -,b6c7
8/5p2/8/4P1Bp/3k1K1P/r4P2/8/8 w - -,g5f6
r3r1k1/2p2pb1/ppn1b1q1/4p1p1/4PnP1/2PNBP2/PPQ4N/R2R1BK1 w - -,d3f4
3r4/p2r3p/R1nppk2/1p3p2/1P3P2/2P1N2P/1P1R2P1/6K1 b - -,c6b8
8/7p/prk5/2p2P2/R3p3/KP2PP2/3R3P/2n5 w - -,b3b4
r5k1/3R2pp/1p2n3/8/8/2P2r2/P4P1P/4R1K1 w - -,e1e6
r2k3r/1ppb2b1/2nppq1p/p5pQ/3P4/2PB1NP1/PP1N1PP1/2K1R2R b - -,d8c8
rnbqr1k1/1p3ppp/2pb1n2/p2pp3/P3P3/3P1NPP/1PPN1PB1/R1BQ1RK1 b - a3,b8d7
1r1r2k1/pp2ppbp/2n1b1pn/2p1PP2/4N1PN/1QP4P/PP4B1/R1B2qK1 w - -,g1f1
rb1qk2r/1p3pp1/p1p1pn1p/2P5/3P3Q/3R1N2/PP3PPP/R1B3K1 w kq -,d3b3
r3kb1r/pp2pppp/3q1n2/2pPn3/2P5/5b1P/PP2BPP1/RNBQ1RK1 w kq -,e2f3
8/5k2/7R/4P2P/4K3/8/4r3/8 w - -,e4f4
1r3bk1/1PR5/3p4/2pP4/pn2B1P1/8/6K1/1R6 w - -,e4f5
r4rk1/2pn2pp/4p3/1P4P1/pq1pNB1P/3P4/2P1QP2/1K1R3R w - -,b1a2
3r2k1/5pp1/q3p3/2Qn4/1pR5/5PP1/1P2PK2/2N5 b - -,a6a1
2r1k2r/nq2bp1p/pp1ppp2/8/1PPNP3/5QP1/P3NPKP/2RR4 b k -,h7h5
8/5pK1/7p/7P/8/4k1p1/7b/5q2 w - -,g7h6
R7/5Qpk/1p5p/2p5/4qP2/8/P2K1P1P/4r3 w - -,f7g8
8/5k2/6p1/1r4P1/3RKP2/8/8/8 w - -,d4d7
r4rk1/ppqn1pp1/6p1/2pn4/P7/B1P2N2/4QPPP/R4RK1 w - -,e2c4
r3r1k1/1pbnq1p1/p1p1pp1p/P7/1PPP4/2BR1N2/4QPPP/4R1K1 b - -,e7f7
r2Bq1k1/1p3p1r/p1n1p1p1/3pP2p/bP3P2/P1RBQN2/6PP/4R1K1 b - -,e8d8
r1bq1rk1/1pp1bppp/p1nppn2/8/3PP3/P1NBBN1P/1PP2PP1/R2QK2R b KQ -,b7b5
8/5kp1/b1p4p/2P5/1p1P2P1/5NKP/r3p3/6R1 b - -,b4b3
rnbqkb1r/pp4pp/2p2n2/3p1p2/3P4/2N3PN/PP2PPBP/R1BQK2R b KQkq -,f8d6
4k1nr/5p2/p2qp3/3p2P1/P1n3N1/8/4Q1B1/1R2R1K1 b k -,d6g3
1r4k1/2p2p1p/1r2p3/4Pp2/3P4/2PB2P1/3n1P1P/R1R3K1 w - -,a1a2
r3rbk1/1bq2ppp/p2p4/npnPp3/P1p1P3/2P1BNNP/1PB2PP1/R2QR1K1 w - -,a4b5
1r6/4kppp/1n2pn2/8/2PP1B2/8/5PPP/2N1R1K1 b - -,b8a8
1R3B2/2r2k1p/6p1/1p2pp2/p1b1P3/P1bNKP1P/2P3P1/8 b - -,f5f4
r1bq1rk1/pp2npbp/2pp2p1/3P4/2PpP3/3B3P/PP1N1PP1/R1BQ1RK1 w - -,d2f3
r1b2rk1/4pp1p/2p3p1/1p6/2B5/5P2/PPP3PP/2KR3R w - -,c4b3
8/8/2P5/4K3/8/4kp2/8/8 w - -,c6c7
2r5/3rkppp/1q1p4/pP2p3/2b1P2P/1P4P1/3RQP2/3R2K1 w - -,b3c4
r3k2r/1pqbbppp/p1nppn2/2p5/4PP2/2NPBNPP/PPP3B1/R2Q1RK1 b kq -,h7h6
r2q1rk1/pp2ppbp/2np2p1/8/2PNP1b1/2N1B3/PP1Q1PPP/R4RK1 w - -,a1c1:c3e2
rnb1k2r/ppq1bppp/2p2n2/8/NP1NP3/2P2Q2/P5PP/R1B1KB1R w KQkq -,c1f4
rnb1k2r/pp4pp/2pq1n2/3p1p2/3P4/5NP1/PPQ1PP1P/RN2KB1R w KQkq -,f3e5
8/B5p1/3p1p2/1k1PpP2/3nK3/8/8/8 b - -,b5c4
rn1qkb1r/pb3ppp/1p2pn2/2pp4/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 b kq -,d5c4
r2q1rk1/pb1n1pp1/2pb1n1p/1p2p1N1/3P4/P1NBP3/1PQ2PPP/R1B2RK1 w - -,g5e4
4r2k/1p2r2p/5qp1/R7/P7/1Q2p2P/1P4P1/4R1K1 w - -,e1e2
1r2k2r/p3npbp/bqnpp1p1/2p5/1p2PP2/2PPB1P1/PP1QN1BP/R2N1RK1 w k -,g3g4
4r1k1/2q2p1p/6p1/p1PQr3/4pN2/6P1/P4P1P/4R1K1 w - -,d5d2
4R3/5p2/5r1p/3kp3/8/6N1/1PPK1p1P/8 w - -,d2e2
6k1/2r2ppp/p5n1/1p5r/4N3/P1Pp4/1P4PP/3R1R1K b - -,h5d5
r3kb1r/pp1b1ppp/4p3/1BppP3/q7/2P5/PP1N1PPP/R3K2R w KQkq -,b5a4
2br2k1/p3bp2/1rN1p1pp/8/2P5/6P1/P2R1PBP/3R2K1 b - -,d8d2
8/5nk1/p6p/2Q5/5PPP/5K2/4r3/8 b - -,e2h2
r1bqk1nr/pp3ppp/1bp5/4p2Q/B3P3/2P5/PP3PPP/RNB2RK1 b kq -,d8e7
1r3r2/p2qn1k1/2pp1pp1/4p2p/2P5/R2PPNPb/Q4P1P/R5KB b - -,e7c8
Rn6/1rq2nkp/1p1p2p1/1PpPp1p1/2P1P1P1/2N2P2/Q4NKP/8 w - -,a2a1
6k1/p4pp1/4pn2/2N5/5rPp/1P5P/q4PB1/5QK1 b - -,a2c2
2r3k1/qp1bp2p/3p1bp1/2nP1p2/1B1N3P/P3P1P1/3Q1PB1/1R4K1 b - h3,a7a6
6k1/5p1p/6p1/np2q3/2pN4/2P4P/5PP1/1Q4K1 w - -,b1b5
8/4k1b1/4P1pp/8/1p6/8/1P2R1PP/5K2 w - -,b2b3
8/8/8/4kp2/3r4/2K5/8/5R2 b - -,f5f4
8/2k5/1p3p2/p1pPn1p1/N1P2nP1/PP2KP2/8/5B2 w - -,e3e4
1rbqk2r/2p2ppp/p3p3/1pbnP3/P1pN4/6P1/1P2PPBP/R1BQ1RK1 b k -,d8d7
r4rk1/p4pbp/1nqp2p1/4p1Pn/1Q1pP3/5N2/PPPB1P1P/1NK1R1R1 b - -,f8c8
r1b1kb1r/pp1n1p2/2p1pqpp/8/2BP4/2N1PN2/PP3PPP/2RQK2R b Kkq -,f8g7
1k5r/2p2ppp/B3n3/N5P1/8/3nBPK1/P1b4P/7R w - -,a5c6
5r2/3b1qkp/6p1/3P4/1R1Q2P1/2P2B2/1P4K1/8 b - -,g7g8
1r4k1/p4ppp/1n2p3/2BnP3/PP6/5N2/5PPP/R4K2 b - a3,a7a6
3q1r2/4npbk/6pp/pp2p3/1P1pP1Q1/P2P3P/B2B1PP1/2R3K1 b - b3,a5a4
r1bqk2r/1p2bppp/2np1n2/4p3/p1P1P3/4BP2/PP4PP/RNNQKB1R w KQkq -,f1d3:f1e2
1r1q1rk1/1p2bppp/p2p1n2/2p1pP2/P1PnP3/2N3N1/1BPP2PP/R2Q1RK1 w - -,c3d5
3rrnk1/R1b2ppp/3q4/1ppP3b/8/BPP1pPPP/5QBK/2N2R2 w - -,f2e1
r2q1r1k/pppb1pbp/2np2p1/8/2n1PPP1/2N4P/PPP1N1B1/R1BQ1RK1 b - -,f8e8
1rr5/p1qb2kp/3p1pp1/2p1p3/2PnPP2/1P1Q2PP/P2RN1B1/5RK1 w - -,e2c3
r3r1k1/1p1qbpp1/2p2np1/p1n1p3/3pP2P/PP1P1BP1/2P1QPK1/2BR1N1R w - -,h4h5
r2r2k1/pp3p1p/3P1bp1/4p1Bn/8/1BNP1b2/PPP2P1P/R3K1R1 w Q -,c3e4
2kr1br1/ppn2p1p/1q2p3/3pPp2/5P1N/1NP3P1/PP2Q2P/2KR3R w - -,c1b1
r1r3k1/p2nqppp/bpp1p3/3pNn2/2PP1P2/1PN1P3/PQ3PBP/2RR2K1 w - -,c3e2
8/8/1P2p3/4Pk1p/1K4p1/8/1R4PP/7r b - -,h1d1
8/5k2/p5p1/2N1PP2/Pr4P1/4BK2/8/8 b - -,g6f5
r2r2k1/pp2bppp/4p3/3pB3/3P4/1PPR4/P4PPP/4R1K1 b - -,b7b5
2rq1rk1/1p3ppp/2nbpn2/p2p4/1P1P1P2/P1NBP2Q/3B2PP/2R2RK1 w - a6,b4b5
r5k1/p1R2ppp/bp2rn2/3pN3/1B1Pn3/1P4P1/P4PBP/R5K1 b - -,e4g5
r2qrbk1/pp1n1ppp/2p2n2/4p3/4P3/1P3NPP/P1P1QPB1/R1B2RK1 b - -,d7c5
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/1P2PN2/PB2BPPP/RN1QK2R b KQ d3,c5d4
2r3k1/p1r2ppp/1p2pn2/7q/3P1P2/3QP2P/P4PK1/1B1R3R b - -,c7c3
r3k2r/1b2bpp1/pq6/1pN4p/1Pp1P3/P3n1P1/2P1Q1BP/R4RK1 w kq -,e2e3
2r1kb2/3b4/p2p3p/4p2R/1p2P1n1/2PqBQ2/PP2N3/1K1N4 w - -,b1c1
8/8/4k3/P2b1pp1/1P1p3p/3B1P2/4K1P1/8 b - -,g5g4
3qk3/rp2bp2/n1p1p1p1/p2pPn1r/3P3p/2P1BN1P/PP1NQPP1/1R3RK1 w - -,a2a3
5k2/4ppbp/3p2p1/p7/N1rnP3/1P1KBP2/P5PP/8 w - -,d3c4
r1q2rk1/pbppb1pp/np2pn2/3P1p2/1PP5/P1N3PN/4PPBP/R1BQ1RK1 b - b3,e7d6
r7/ppkn1pp1/2p1r3/2b1p3/4P3/2N1P2P/PPPKB3/3R3R w - -,e2c4
8/5p1p/4b3/pB2kp2/P2R4/r3PpKP/6P1/8 w - -,g3f3
r3rqk1/5p1p/6pQ/p2pP3/3BnR2/6P1/P5KP/3R4 w - -,h6h4
rnbqk1nr/ppp1p1bp/3p2p1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq -,g8f6
r3k2r/pp1nppb1/2pp1npp/q7/3PP2P/2N1BP1R/PPPQB1P1/R3K3 w Qkq -,a2a3
r2q1rk1/pbpp2pp/1p2pb2/3P4/2P1p3/6P1/PP1BPP1P/2RQNRK1 w - -,d2c3
1r1r2k1/2q2ppp/p1b1pb2/1p6/5P2/1P2B1P1/P1P1Q1BP/3R1R1K w - -,f4f5
r3k2r/pp1nbppp/2n5/q1p1p2P/3pPP2/3P1QP1/PPP2N2/R1B1KB1R w KQkq -,c1d2
r1b2rk1/1pqnbpp1/2pp3p/p3p1n1/P1BPP3/1P3N2/1BP1QPPP/R2NR1K1 b - -,g5f3
r7/4r1kp/1n1n2p1/p2p1PP1/3P4/q3P1NQ/2R5/4R1K1 b - -,g6f5
r1bq1rk1/p4pbp/2pppnp1/2p5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 w - -,e4e5
r6k/p1R4p/6pb/2N1p1n1/8/6P1/P3BPK1/8 b - -,h6f8
3qr1k1/1pp2ppp/1p1pbn2/1P2p3/r3P3/P1P2Q1P/1B1P1PP1/R3RBK1 w - -,d2d4
8/8/B2k4/4p2b/1P5P/8/5K2/2b5 w - -,a6b7
r3rbk1/6pp/p2p4/3P3P/1qpR4/4BQ2/PPP5/1K5R w - -,e3d2
rnb1kb1r/pppp1ppp/8/4P3/2P1n2q/P7/1P2PPPP/RNBQKBNR w KQkq -,c1e3
r3r1k1/1pb2pp1/4b1n1/pQ6/P2qp3/BP2N1P1/5P2/2RB1RK1 b - -,a8c8
r5k1/1pR1b1r1/1n2P2p/1B3p2/7p/P7/1P2R1PP/6K1 w - -,g1f1
2kr4/ppbn2p1/2p1Q1pr/2P2p2/1P1P1P2/4P1N1/P2B1KP1/8 b - -,c8b8
8/pp6/4k3/4b1p1/7p/5P1K/PPR5/8 w - -,h3g4
rnb1r2k/pp2N1bp/6p1/2q3B1/2p3n1/5N2/PP1QB1PP/2KR3R w - -,d2d6
8/5p2/1p1k2p1/2p2r1p/7P/2N1pBP1/6K1/8 w - -,g3g4
6r1/5R2/p1kpPP2/8/1pPb4/1P3K2/P6P/8 w - -,f3e4
rn1q1kr1/1p2bppp/p4n2/3N2B1/Q5b1/5N2/PP2BPPP/3R1RK1 b - -,g4d7
rnbqkb1r/pp3ppp/4pn2/3p4/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq d6,c4d5:c1g5
r2qkb1r/1pp2ppp/p2pbn2/8/4PP2/2N1B3/PPP1BP1P/R2QK2R w KQkq -,d1d3
1r2n3/2bk4/pp3p2/4p1p1/P3N3/2B1P3/1P2KP1P/2R5 b - -,d7e6
7k/6p1/3bpp2/1p6/1p1Pb3/4P3/r2BKPPP/1R2N3 w - -,b1b3
2rqkb1r/pp1n1ppp/2n1p3/1B1p1b2/Q2P1B2/2N1PN2/PP3PPP/R4RK1 b k -,a7a6
rnb2rk1/ppq1ppbp/3p1np1/2pP4/4P3/2P2N2/PPQ1BPPP/RNB2RK1 b - -,c8g4
r6k/p6p/6p1/1pP2p2/3pn3/3N2P1/q5NP/2RR3K w - -,c5c6
6k1/2R3p1/7p/1N2Kp2/4b1r1/8/8/8 w - -,b5d4
3r4/ppk4r/2b1p3/2PpPp2/3P4/P2B1K2/2P2P1P/R5R1 w - -,g1g6
1q1r2k1/pb2bpp1/1p1ppn1p/2r5/2P1P3/1P1B1N2/PBQ2PPP/3RR1K1 b - -,b8a8
5R2/2p1r3/1pB2kp1/1P3p1p/4nK1P/6P1/8/8 b - -,f6g7
8/5r1k/5PP1/p4K2/1p1p4/1P6/P7/8 b - -,h7g8
2b2rk1/3q1pbp/pr1P4/1p2p3/4B3/N2Q4/PP3PPP/R2R2K1 b - -,f8d8
4rr2/p4pk1/6pp/4R3/4Q3/3PP1P1/q1P4P/5RK1 b - -,e8e5
3b2k1/r2q1p2/pp4p1/3pBb1p/P2P3P/6P1/1PQ2PB1/2R3K1 w - -,c2c6
r4r1k/4R1pp/p7/1p3pq1/8/P1Q5/1P3PPP/3R2K1 w - -,c3e5
4rrk1/1q4pp/3n4/2pNp3/ppP1P2b/3P4/P4PQP/BR1R3K w - -,f2f4
r1bq1rk1/1ppnn1bp/p2p2p1/3Ppp2/PPP1P3/B1N5/3NBPPP/R2Q1RK1 b - -,a6a5
r1bqk2r/p3bppp/1nn1p3/1p1pP3/2pP4/1PP5/P1BNNPPP/R1BQ1RK1 w kq -,b3c4
rnb1qrk1/pp2p1bp/2pp1np1/5pB1/2PP4/2N1PN2/PP2BPPP/R2Q1RK1 w - -,d1b3
r1bq1rk1/ppp2pp1/2nppn1p/8/2PP4/P1B2N2/1P2PPPP/R2QKB1R w KQ -,e2e3
2r3k1/1n3pp1/p3pP2/7p/P1N5/1Pp5/5PPP/3R2K1 b - -,b7a5
r2q1rk1/p1n2pbp/3p2p1/1ppP1b2/6P1/PQ2PN1P/1P2BP2/R1B1K2R b KQ g3,f5e4
2r2r2/1pq1p1kp/3p1pp1/7P/3B4/1P6/Pp4Q1/1K1R1R2 b - -,c7c6
r4k2/4p2p/3p1pp1/P1pPb1B1/4P3/P5P1/5PKP/1R6 w - -,g5d2
5r2/p4kpQ/1p2p3/3b1rR1/2p4R/2P5/q1P2PPP/2B3K1 w - -,g5f5
2r2b1r/p2k1ppp/4bn2/3pp3/8/2N3P1/PP2PPBP/R1BR2K1 b - -,f8c5
2rq1rk1/3n1pbp/p2p2p1/npp1p3/P3P3/2PPBN1P/1P3PP1/R2QRBK1 b - -,d8c7
2r5/6bk/R1b1p1pB/3pPqN1/3P4/6PQ/5PK1/8 b - -,h7g8
3r4/4n3/1R3k2/6pp/3P4/1N3KP1/5P2/8 b - -,f6f5
r3r1k1/1p2qp2/2pp2p1/pPn3Pp/2P1PPb1/2N5/P2Q2BP/R5RK b - -,e7e6
1q4k1/2p2n1p/2Pp1n2/3Pp1p1/4Pp2/1rB2P2/2Q2NPP/R5K1 w - -,h2h3
8/8/8/1B2k3/P6r/8/2K1N3/4b3 b - -,e5e4
1r6/p3p3/2p2bpk/7p/N7/3B4/PPP3PP/7K b - -,f6b2
1r1q1rk1/p3ppbp/bp1p1np1/2pPn3/2P1P3/1PN3PP/P1QN1PB1/R1B2RK1 w - -,a2a4
6k1/5rpp/p1pprp2/1p6/P1P5/1KBqN1R1/1P6/6Q1 w - b6,a4a5
2kr1b1r/ppp4p/4pp2/q3nb1B/3P4/2N5/PPP1NPPP/R2Q1RK1 b - -,h8g8
r1b1rnk1/1pq1ppbp/p2p2pB/2pP1P2/P1P1P1P1/2N2R1P/1P1QB3/R5K1 b - -,f8d7
8/Q6p/4p1k1/1P4p1/4Pp2/1P3PP1/P2r1R1P/q5K1 w - -,g1g2
1q2r3/1pbr2kp/p5p1/3p1p2/P7/1P1R2P1/3QPPBP/2R3K1 w - -,d3d5
8/3R1pk1/5r1p/3B2pK/8/6PP/6P1/8 w - -,d7f7
r2q1rk1/pppn1ppp/8/3p1b2/2PPn3/3B1N2/P1PB1PPP/R2QR1K1 b - -,c7c6
6k1/1p6/4p3/1B1pP1pp/Pp1K3P/1P1R2P1/1rr5/7R b - h3,g5g4
2b5/5p1k/2pP3p/1p3P1N/2p3P1/r1P2K2/7P/3R4 w - -,d6d7
4r1k1/5pp1/7r/1P1PqP1P/4p1B1/4Q3/7P/4R2K b - -,e5d5
r3kb1r/3bpppp/p7/1p1n4/3N1B2/2P4P/PP3PP1/R3KB1R w KQkq -,f4g3
8/4bp2/r1R1k1p1/8/4P2p/p4P1P/R3K1P1/2B5 b - -,a6c6
Q7/1P1R4/3K2k1/8/8/5b2/8/1r4q1 b - -,g1b6
rn2kb1r/ppq2pp1/2p1pnp1/2Pp4/3P4/1QN1P2P/PP3PP1/R1B1KB1R b KQkq -,b8d7
4rrk1/1ppqn1p1/p2p2np/3PpP1N/2P3P1/1P2QN1P/1P3P2/2R1R1K1 b - -,e7f5
rn1qkb1r/1b3ppp/p4n2/1ppp4/5P2/2NP1NP1/PPP3BP/R1BQ1RK1 b kq -,f8e7
r2q1rk1/pp1bb1pp/4p3/2Pn1p2/5B2/5PP1/PPQNP1BP/R4RK1 b - -,d5f4
rr6/p2kpp1p/3p2p1/2p5/R3P3/1P2K3/P4PPP/2R5 w - -,a4a5
4r2k/p2r1qpp/1p3p2/2p1p3/P2n3P/1P1P1PQ1/2P1NP2/2R1RK2 b - -,d4f5
8/8/8/8/2np4/1k1K4/1pB5/8 b - -,b3b4
8/5pb1/2k3pp/1p6/1B1P4/2PK4/5PPP/8 w - -,c3c4
4q1k1/5p2/2p2Rp1/2P5/3p3r/7P/5PK1/Q7 w - -,a1a3
8/2p5/p1r5/4Pkp1/R2K4/P1B5/bP3P2/8 w - -,a4b4
8/p3p1k1/1pn2p2/2p2Pp1/2Q5/3rq3/P4RKP/4R3 b - -,e3d4
r4rk1/pp4pp/1b2p3/4n1B1/4N1nq/PQ5P/BP3PP1/R4RK1 b - -,h4h5
r1b3k1/1pp3bn/3P2rp/p2Pp1q1/1PN1P3/P1N2Pn1/5BPK/R2Q1B1R w - -,f2g3
2r1n1k1/3q2bp/R3p1p1/3pP3/3N1B2/1P6/2PQ2PP/6K1 b - -,e8c7
brr3k1/2q1bppp/pn1ppn2/N7/1PP1P3/2N1B3/2Q1BPPP/RR4K1 b - -,b6d7
r1b1kb1r/pp1nppp1/2q4p/2p5/2NPp2B/4P3/PPP2PPP/R2QKB1R w KQkq -,d4d5
r5k1/3Q1pbp/3pq1p1/2p5/P4P2/5N2/bP4PP/2B2RK1 w - -,d7b5
2r2rk1/5p1p/p1np4/4pb2/1Pp2P2/4N1P1/P3B1P1/2RR2K1 b - -,f5d3
6k1/4prb1/1p1p4/2p2P2/P4npB/2P5/1P5R/4R1K1 b - -,f4h3
3r2k1/5ppp/1pp3n1/8/N7/P7/1P3PP1/4R1K1 b - -,b6b5
r1bq1rk1/1p1nbppp/p2p1n2/2p1p3/B2PP3/2P2N2/PP2QPPP/RNB2RK1 w - -,d4d5
1n1r2k1/3n1pbp/1N1R2p1/1pp1p3/4P3/2P1B1PP/1P3PB1/6K1 w - -,g2f1
3qr1k1/Q4ppp/1b6/3r4/P4P2/4P3/1P4PP/R1B2RK1 w - -,a7a6
