r7/P2k1p2/3p2pp/3K1p2/7P/R4PP1/8/8 b - -,d7c7
1rbq1r2/pp3pbk/3pp1pp/2p5/P2nPP2/2NPB1P1/1PPQ1RBP/R6K b - -,b7b6
r1bqk1nr/pppp1ppp/2n5/1B2p3/1b2P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,b4c3
rr4k1/2q2pp1/p4n1p/2pPb3/2P1p3/Q5PB/P2BRP1P/5RK1 w - -,d2c3
3b4/3k4/K7/8/3n4/8/8/8 b - -,d7c6
r2qnrk1/pp1n1pbp/3p2p1/2pPp3/P3P3/2N1BB2/1PPQ1PPP/R3R1K1 w - -,g2g3
8/8/5Q2/2Pk1p1p/4p2P/6P1/6K1/3q4 b - -,d1f3
4r1k1/pp2qp1p/6p1/8/1QP5/4Pb2/PPN1K2P/3r1B1R w - -,e2f3
rn4k1/pp6/2pbpr2/3p3p/2PPp1pq/1P2P2P/P3QPP1/R1BB1R1K b - -,f6f3
rn3rk1/pbp2ppp/1p2pn2/3p4/1qPP4/5NP1/PPQ1PPBP/RN3RK1 w - -,c4d5
3r2k1/pq3ppp/2prpn2/4N3/P1RP4/1P6/2Q2PPP/2R3K1 b - -,d6d4
8/6nk/p7/3p4/3P4/4KN2/1PR3P1/3r4 b - -,g7f5
2r3k1/6p1/pn3b1p/1q1p1P2/4p3/1B4Q1/PP4PP/3R3K w - -,h2h3
r7/4kp2/2n1p1p1/1p1pP2p/1P1P3P/pNK5/5PP1/R7 w - -,b3c5
1r4k1/1q3p1p/p2pr1p1/2p5/2Q5/1P2P2P/P2R1PP1/2R3K1 b - -,b7b4
8/p2r1p2/1p1Pp3/4k1p1/6P1/1P1RNn2/P4K2/8 b - -,e5e4
rnbq1rk1/pp3pbp/3ppnp1/2pP4/2P1P3/2N2NP1/PP3PBP/R1BQK2R b KQ -,e6d5
6R1/kb3p2/1p3q2/p1r1p3/P2p3P/6Q1/2B2PP1/4R1K1 b - -,c5c2
r1bq1rk1/pp2ppbp/2n2np1/8/2NP4/B4NP1/P3PPBP/R2Q1RK1 b - -,c8e6
3qrr2/3b1pbk/3pn1p1/1p5p/2pPPp2/2P2N1P/1PBN1PP1/R2QR1K1 w - -,a1a6
1r4k1/8/4R1PP/7K/8/8/8/8 w - -,h6h7
1rr1b3/1p2kp1p/p2np1p1/2R5/P4P2/1B1N2P1/2P4P/2K1R3 b - -,c8c5
4r3/7P/p6K/1kP5/8/8/8/R7 b - -,e8c8
rr1q2k1/4ppb1/5np1/1NpP3p/P1p1PP2/6PP/1P1NQ1K1/RR6 w - -,d2c4
1rq3k1/5pp1/p2Rb2p/Q7/8/1P4PP/P4PB1/6K1 w - -,d6a6
3r1rk1/1bq3pp/2pp1n2/p1n1p1B1/2P4Q/2R2N2/PPB2PPP/3R2K1 w - -,g5e3
5r1k/2nqN1bp/r4np1/2pP2B1/P7/2N2P2/1P1Q2PP/3RR1K1 w - -,g5h6
8/3k1R2/2rP4/8/7P/2p5/4K3/8 b - -,d7e8
8/1p6/p3kpp1/P3p3/1B5P/Pb4P1/5K2/8 b - -,b3d1
r1bq1rk1/pp1n2bp/4p1p1/2ppNp2/3PnB1P/2P2NP1/PP2PPB1/R2Q1RK1 b - h3,d7f6
2N1qr2/2n1p1k1/p2p1bpp/P1pPp3/1rB1P2P/1P1Q2P1/RR3PK1/6N1 b - -,e8c8
5rk1/1p3p2/p2p2p1/3Pp3/1P3r2/2P3R1/1Pq3PP/K2Q1R2 b - -,f4f1
6k1/3n1pbp/p2rb1p1/4q3/1P1NP3/Q1R4P/P3B1P1/K2R4 b - -,d6d4
8/1p3k2/1Bp3p1/p6p/Pb2P1p1/2p1N3/1P2KP2/8 w - -,b2b3
r2q1r2/1p1nppkp/2bp2p1/p7/P2QP3/1BN2P2/1PP3PP/R4RK1 b - -,g7g8
r3k2r/1bpp1p2/1p2pq2/1B1n3p/3Pp3/P2Q1PP1/1P1N3P/R3K2R w KQkq -,d2e4
1rr3k1/R4p1p/1p3np1/1Rpp4/3P2P1/2PPN2P/5P2/6K1 b - g3,c5d4
8/5p2/2k1p3/4Pn1p/p4K2/P4P2/1P3B1P/8 w - -,f4g5
r2qrnk1/pbp2ppp/1p1bp3/3nN3/3P4/P2BP1B1/1PQN1PPP/2R2RK1 b - -,c7c5
2b5/5p2/pp1r1k1p/1B2p3/1P3p2/2P2P1P/P1K1R1P1/8 w - -,b5d3
r3k2r/ppqbbppp/2ppnn2/2P5/3pP3/2N1BN1P/PPQ2PP1/2KR1B1R w kq -,c5d6
8/3R1pk1/4r2p/6pB/4K3/6PP/6P1/8 w - -,e4d4
6k1/1p3p2/p1p5/2Pp2P1/PP3R2/1r4Pp/3nrN1P/3R3K w - -,h1g1
4r1k1/2r1p2p/p1npbpp1/2p5/2P1PP2/1P2B3/R3B1PP/3R2K1 b - -,e8b8
8/8/6Bp/2k1p3/1pp1P1P1/6P1/2K2r1P/2N5 w - -,c2b1
1r3rk1/nq2bppp/p3pn2/1pp5/2P5/2N1P1P1/P2PQP1P/BR1RN1K1 w - -,d2d3
2r5/1p4k1/pPpPp1p1/P1PpPqp1/3K1p1r/3Q1P1P/6P1/1R2R3 w - -,d3f5
4r1k1/1ppqrp1p/1bnp1pb1/pN1N4/2PP2P1/P6P/1P1Q1PB1/R4RK1 b - -,e7e6
6k1/5p2/3q2n1/1p1r1B2/p6P/P4QP1/1P6/K4R2 b - -,g6e5
r2r4/1pR3P1/p5kn/4pNp1/P3P3/1N1Pp3/1P2K3/8 w - -,f5e7
r2qr1k1/ppp2ppp/2nb4/4p3/4P3/P1PP1bPP/2Q2PB1/R1B1K2R w KQ -,g2f3
5n2/1p2ppk1/3p4/4r1p1/1PP1P1P1/4QP2/q3BK2/3R4 w - -,e3c3
2r2rk1/1pqb1ppn/pB1p3p/3Pp1b1/4P3/1QNB3P/PP3PP1/R3R1K1 b - -,c7b8
r1bqk2r/p2p1ppp/2nbp3/1ppnP3/8/2P2N2/PP1P1PPP/R1BQKB1R w KQkq -,e5d6
2r1k2r/2Q2ppp/1pbbpn2/1Bp5/2PP4/8/PP3PPP/RNB2RK1 b k -,c8c7
r1b1k2r/p1q1bpp1/2pp3p/4p3/2nPP1n1/2Q1B1P1/1PP1NPBP/R2NK2R b Kkq -,c4e3
r5k1/7p/p2NPp2/P2P4/1p3PP1/6K1/1Prp4/3R4 b - -,g8f8
5k2/2r2p2/p3p3/Pp4p1/1P1Kb1P1/4N3/4B3/3R4 b - -,e4b7
rn3rk1/p2qbppp/2p5/3nB3/1p1PN3/1B6/PP3PPP/R2QR1K1 b - -,f7f6
8/1b4pk/p1q1np1p/8/2P1p3/2Q1B3/PP3PPP/5BK1 b - -,c6a4
3r2k1/5pp1/1p1q2n1/4p3/PP2p2p/1Q2P2P/1B3PP1/2R3K1 b - -,d6f6
r3kbnr/Nppb2pp/3q4/1B6/2P1p3/8/PP1P1PPP/R1BQK2R w KQkq -,b5d7
8/6B1/p5n1/3k1p2/3P4/1P2K3/8/8 w - -,g7f6
r1b2rk1/2q1bppp/p1npp3/6P1/1p2PP1P/1N1PBQ2/PP2N3/1K1R3R b - -,c8d7
6k1/r4p1p/2B1pnp1/2p5/1pN4P/1n1PP1P1/1P3PK1/3R4 w - -,c6f3
2R2b2/5k2/2P2p2/6pp/3B4/6PP/r4P2/6K1 b - -,a2c2
2r4r/6pp/R1np2k1/1p6/3BP3/1P6/6P1/1N3RK1 b - -,h8e8
r4rk1/1bqp1pbp/p1n1p1p1/2p5/2P1B3/1P2PN2/PB1Q1PPP/3R1RK1 b - -,g7b2
r2q1r1k/4p1bp/1p1n1pp1/2pP3n/4P2Q/2N1BP2/BP3P1P/4RRK1 b - -,d8c7
6k1/qr3p2/2QP2p1/p3p2p/2p5/2P3P1/P3R2K/5B2 b - -,b7b1
5r1k/ppR2B1p/6p1/8/1r1N3P/2b5/P4PP1/2R3K1 b - -,c3d4
r1bqkb1r/pp1npppp/2p2n2/6N1/3P4/8/PPP2PPP/R1BQKBNR w KQkq -,f1d3:f1c4
r1q2rk1/pp2ppbp/2np1np1/8/4PPb1/1NN1B3/PPP1B1PP/R2Q1R1K w - -,e2g4:e2f3
rn1qk1nr/pbp2ppp/1p1p4/3P4/2P5/5N2/PP1Q1PPP/RN2KB1R b KQkq -,g8f6
r1bq1rk1/ppn1p1b1/2pp3p/5ppn/2PP4/1P1BPNN1/PBQ2PPP/R4RK1 b - -,h5g3
3n2k1/1p3pp1/p2r1q1p/Q2pNb2/2pP4/2P1P3/PK2BPPP/7R b - -,d6b6
r2r2k1/1pq2pbp/p1p1bnp1/Q3p3/1PPnP3/1NNBB3/P4PPP/2RR2K1 b - -,a8c8
8/1P1k4/K4pp1/8/R6P/p5P1/1r6/8 w - -,a6a7
r2qQ3/p1k1b2R/2p3B1/1p1nP3/2pP4/P1P3P1/5P2/R3K3 b Q -,d8e8
2r2rk1/1pq1n1p1/p2ppb1p/4p3/1P1PP3/2P2N1P/1B3PP1/1R1Q1RK1 b - -,e7g6
r3kb1r/1p1b1p2/p1nppp1p/2q5/P1B1PP2/2N5/1PPNQ1PP/R3K2R b KQkq -,c6a5
5rk1/pp3pb1/7p/1n1r4/6PN/4R2P/PP1N1P2/R5K1 w - -,d2e4
1rbqkb1r/1pp2ppp/p1n1pn2/6B1/2pP4/2N2NP1/PP2PPBP/R2Q1RK1 b k -,f8e7
2r2rk1/1p2qpp1/p3pnp1/n2p4/P7/2P1P3/3PBPPP/RN1Q1RK1 w - -,b1a3
1q4k1/5pp1/pr1pbn1p/4p3/2N1P1P1/Q4P2/PP1RB2P/1K6 b - -,e6c4
r1bqk2r/1p1n1ppp/p2p1b2/2pP3P/P3P3/2N2P2/1P2BP2/R1BQK2R w KQkq -,f3f4
2r1rbk1/1p1n1ppp/p1p1pn2/q7/2PP4/PP1B1QN1/1B2RPPP/4R1K1 w - -,h2h4
r3r2k/Q3nqpP/5p2/1b3P2/p1pBp2P/8/PP4B1/2R2RK1 w - -,a7c7
8/5pk1/1p6/2b3pp/8/6PP/2r2PK1/R4R2 w - -,a1c1
2r2r2/pp2ppkp/6p1/3n4/3P4/6P1/P2NPPKP/2R2R2 w - -,d2e4
5rk1/2pq3p/6p1/2bPp3/R5P1/1P5P/P2Q2B1/7K b - -,d7e7
1r2n1k1/ppq3pp/3b4/2p1n3/2PpBB2/3P2PP/PP2Q1NK/R7 b - -,e8f6
r3q1k1/p2b2np/2p1prp1/3p4/Q4P2/2NB4/PPP3PP/3R1RK1 b - f3,e8f8
r1br2k1/pp2bppp/2n1pn2/q1p5/3P4/P1N1BB2/1PP1NPPP/RQ2K2R w KQ -,d4c5
8/8/4k3/pR2r3/P1K5/8/8/8 b - -,e5e4
1n4k1/2p5/b5p1/NrRP2q1/6Np/5P2/2Q1n1PP/7K w - -,c5c7
r2q2k1/1b2p1b1/pn2Pr1p/1p1p1p2/3PnN2/N1P5/2B1QPPP/R1B2RK1 b - -,a8c8
5k2/6p1/8/N3PP2/5P2/1K1b4/8/8 w - -,b3b4
1qr2rk1/3n1pp1/pb1p1nP1/1p2pP2/2P1b3/2N1BN1B/PP2Q3/2R1R1K1 w - -,f3g5
r2q1rk1/1pp1bppp/1N6/pP1b4/3p4/P2P2P1/4PPBP/R1BQ1RK1 b - -,c7b6
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P1NP1/PPP2P1P/RNBQKB1R w KQkq d6,b1d2
r3q2k/pp2Nr1p/1n1P1p1Q/2n5/4pP2/3B4/PPP2P1P/2KR2R1 b - -,e4d3
5rk1/pb2q1pp/1pp1p3/4Pp2/3r4/1P2P1P1/PQ3PBP/3R3K w - -,b2d4
3r2kb/4q2p/pnbp2p1/1p2p1P1/4PrNP/P1NR3B/1PP1Q3/2KR4 b - -,h8g7
6k1/pb3rbp/8/1p1qp1p1/2pP1rP1/2P2NQP/PP2BR1K/5R2 w - -,g3g1
r1b2rk1/3nq1pp/1pp1pn2/p2p1p2/P1PP4/1P1N1NP1/4PPBP/R2Q1RK1 b - -,c8a6
4bk2/8/1r2P1p1/3p4/R1pP3P/5B2/P1K5/8 w - -,a4a8
5rk1/2q3pp/p2rpn2/4B3/2p5/1P4PP/P1P1Q1B1/R5K1 w - -,g1h2
8/1kn2pp1/p1p2r2/2R2P1p/PP6/3KN2P/5P2/8 w - -,d3e4
8/2p1kp2/1p6/5PRp/2P5/2K5/PP3r2/8 b - -,h5h4
r1br1nk1/1pq1bpp1/2pp1n1p/p3p3/2P1P2N/P1NPB1PP/1P3PB1/R2Q1RK1 w - -,b2b4
6k1/1p1b1pbp/2pq2p1/pP2p2n/P1PnP3/2N1BNPP/3Q1PB1/6K1 w - -,c3e2
4r2k/1n4bp/pp4q1/5pNQ/2p4P/P1Pn2B1/2B3P1/5R1K w - -,h5f3
r1b1k2r/3nbpp1/p1q1p2p/1pppP3/3P1B2/2P2N1P/PP1NQPP1/R4RK1 w kq b6,d4c5
r1bq1rk1/1p2ppbp/p1np1np1/8/P3PP2/2NB1N2/1PP3PP/R1BQ1RK1 b - a3,a8b8
3b4/R4p1p/1n2p3/1Pk3p1/P3b1P1/4P2P/5PB1/6K1 b - -,e4g6
2rr2k1/1bq1bppp/p1npp1n1/8/R2NP3/1PP2NP1/1B2QPBP/4R1K1 b - -,c7b6
2r2rk1/1p3ppp/p2qpn2/3p4/1n1PP3/2N2N2/PP3PPP/1Q1RR1K1 b - -,d5e4
2q1r1k1/r4pb1/1p4p1/p1p2nNp/PnPp1B1P/3P1NP1/1P1Q1P2/R3R1K1 w - -,b2b3
8/3kbpnq/4p2p/p2pP3/P2P1P2/2K5/5B2/4N1Q1 b - -,e7b4
4R3/ppp2pk1/6p1/7q/1b2R3/4KP2/1P4Q1/4r3 w - -,e3d3
8/3nN1k1/1p1P3p/p1p1p1P1/P3P2K/1P6/8/8 b - -,g7f7
5bk1/2q2pp1/4rn1p/2p1p3/2B1b3/2P4P/1P2QPP1/R1B1R1K1 b - -,e6e8
r3Q3/1p4p1/1k1K2B1/8/8/5RP1/1r6/8 b - -,b2d2
r3r3/pp4kp/2n2q2/5p2/1PP1pPp1/P5P1/3R3P/R2Q2K1 w - -,a1c1
r1bqnrk1/pp4bp/3p1n2/P1pPp1p1/2N1Pp2/2N2P2/1PPBB1PP/R2Q1RK1 w - -,d2e1
8/2r2p1k/1p2nn1p/pB1pN1PP/P2P4/4P3/5P2/6RK b - -,h6g5
3q1Q2/1pk3pp/2p1Bn2/8/8/3p2P1/PP3P1P/6K1 w - -,f8d8
2rq1rk1/pb2bppp/1pn1pn2/8/2PP4/2N2N2/PB1QBPPP/R4RK1 w - -,a1c1
rn1qkb1r/ppp2pp1/4p2p/3p1b2/3PnB1P/4PP2/PPPN2P1/R2QKBNR b KQkq -,e4d2
6rk/pp2n1Rp/2p2r2/3pNp2/3P4/1P2P3/P3KP1P/6R1 w - -,e5f7
r1b2rn1/2p1qpbk/3p1npp/p2Pp2P/P1N1P3/2P1B1N1/2B2PP1/R2QR1K1 w - -,a1b1
r4r1k/8/1pp3q1/p2pP2p/1n3Pb1/1N4Pp/1P1Q1P2/R1B2BK1 b - -,h5h4
r2q1rk1/pp1bppbp/1n4p1/n2P4/3N4/1PN3P1/P4PBP/R1BQ1RK1 b - -,b6c8
r1br2k1/ppq1bppp/2n1pn2/2pp4/4P3/2PP1N2/PP1N1PPP/R1BQRBK1 w - -,d1c2
3r1r1k/1b3pb1/p5p1/1pq4p/2p1P3/2P2R1P/PPQN1NP1/4R1K1 b - -,f7f5
r3k2r/1p2p3/2np1pp1/p1p3N1/2P3n1/P2P2P1/1P2PPB1/1R2R1K1 w kq -,g5e6
r2b1rk1/2qp1ppp/ppb2n2/5N2/4P3/4BP2/PP2B1PP/2RQ1RK1 b - -,c7b8
3rr1k1/pp6/5b1p/q1pPpPp1/6P1/1PP1Q3/P2R2B1/R5K1 w - -,g2e4
r2qkbnr/pp4pp/2p1p3/3pPp2/8/4P3/PPPNQPPP/R1B2RK1 b kq -,d8c7
r1b3k1/1p1rbppp/pqnppn2/6B1/3NP3/1N3P2/PPP3PP/2KRQB1R b - -,b6c7
8/4nN2/4P1kP/6p1/6P1/4R3/3p1r2/3K4 w - -,e3e2
r5k1/1pr1ppbp/n2p2p1/p7/P1P1PP2/1P3NPB/5K1P/3R1R2 w - -,f1e1
1r3r1k/pp1b2pp/3n1n2/5p2/3P1N2/3BPN2/PP2KP1P/R5R1 w - -,f3e5
3q1r2/Q5r1/2BkPb2/8/P1pP4/2P3p1/1P6/R4RK1 w - -,a7c5
R4nk1/6b1/2pp4/8/P1PPr2P/5NpK/3B4/8 b - -,c6c5
r5k1/p4p2/1p1P2pp/2p1q3/Q7/7P/P5P1/3R2K1 b - -,e5e6
r3qrk1/p2n2pp/1p1p1n2/2pp1p2/2P5/P1PNPP2/6PP/R1BQ1RK1 w - -,c4d5
6k1/5rp1/bpBq3p/2nP1p2/4p3/2Q5/1B3PPP/R5K1 w - -,c3b4
rnbqk2r/pp1pnpbp/4p1p1/2p5/2PP4/4P1P1/PP2NPBP/RNBQK2R b KQkq d3,c5d4
8/P5pk/1P1n4/3R1p1p/7P/2P3P1/r4PK1/8 b - -,d6e4
3q1k1r/pp1nppb1/4rnp1/2p5/7p/2NPB1P1/PPP1QPBP/2KR3R b - -,h4g3
2r3k1/p3bpp1/b2Np3/7p/Pp1n4/4BPPq/1PQ1PR1P/3R2K1 w - -,c2e4
2r1kb2/5p2/p2ppPp1/7r/2PN1P2/BP1RR2P/6b1/1K6 b - -,h5h4
rn5r/1bq1bpk1/4p1p1/p1p1P2p/P1Pp1P2/1P1N1B2/3B2PP/R2Q1R1K w - -,a1b1
rnbqk2r/ppp1ppbp/5np1/3P4/3P4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,f6d5
1R2Q3/p3q1rp/6pk/3p3n/3P1pb1/3n4/P2B2PP/5R1K w - -,e8e7
3r3k/p1q3pp/2b5/1QB2p2/4p3/1BPnP3/P4PPP/3R2K1 w - -,b5a6
4rrk1/3qn1b1/3pb1pp/1p2p3/1P1n2P1/2NPQN1P/1B3PB1/R4RK1 w - -,f3e1
r5k1/2p3pp/p3np2/2p1P3/Np1b4/1P4P1/P5KP/3R1R2 w - -,e5f6
2r1r3/1b2npbk/p1n3pp/1p6/4BN2/1P3N1P/P2B1PP1/2R1R1K1 w - -,d2e3
6k1/pp3pp1/2r1p1bp/8/2PP4/1P3P2/rB1R2PP/4R1K1 w - -,g1f2
3q1rk1/1b1nbp1p/r3pBpP/3pP3/p1pP1QN1/P5PB/2P2P2/R3R1K1 w - -,a1b1
r2qkb1r/pp1npppp/2pp1n2/8/2PPP1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2
6k1/5pp1/7p/p2bP3/5BPP/P7/2p2K2/3r2R1 b - -,g8h7
7r/1pk2pp1/1npr3p/p2PpP2/n3P2P/R1P1N1P1/6B1/1R4K1 b - -,f7f6
2b5/2p2rk1/p1Pp2p1/1p1Pp1r1/1P2P1N1/P3RPKn/2N5/7R b - -,c8g4
3r2k1/2q2p1p/p2b2pB/1p1Rp3/4P3/2P2N1P/Pn3PP1/3Q2K1 w - -,d1e2
4r3/1p2r3/p1pn1k2/PnNp1p1p/1P1P2pP/3BPPP1/5K2/2R1R3 w - -,f3f4
r3kb1r/ppqnpppp/2p2n2/8/3P4/2P2NN1/PPQ2PPP/R1B1K2R b KQkq -,e7e6
8/5r2/p2K2k1/5b2/4Q1pp/1P6/1P5P/8 w - -,e4a8
r1bq2k1/pp5p/2p2pr1/4p3/3pP2R/3P4/PPPQNPP1/2KR4 b - -,c8g4
r3r1k1/1p3p2/4bnp1/p6p/1PP1p3/P3N2P/4BPP1/2RR2K1 b - -,a5b4
8/3rk3/3r1p2/R2P2p1/4p3/1P1R4/6PK/8 w - -,d3d4
5rk1/pR3ppp/2rNpn2/3pQ3/3P4/2q2P2/P5PP/4R2K b - -,c6d6
r1b1q2k/1p2b1pp/2n1pr2/1PNp1p2/3Pn3/P4N2/1B2BPPP/2RQ1RK1 b - -,c6a5
1r3rk1/2p3p1/2npp2p/1pb4P/p2pPP2/P2P1NB1/1PP3P1/R4RK1 b - -,b5b4
8/4k3/r7/2B3P1/4K3/5R2/8/8 b - -,e7e8
2r1r1k1/1pp3pp/p3q1bn/P2R1p2/4pQ1P/2B3PB/1P2PP1K/3R4 b - -,e6f7
r1bq1rk1/p3bppp/p2p1n2/2p5/1nN1P3/2N5/1PP1BPPP/R1BQ1RK1 b - -,f8e8
