k5r1/2p5/p2p3B/3P4/2P5/2R2KN1/8/r7 w - -,h6c1
1r1bq1k1/p4pp1/2p5/2Pp2P1/1p1B1Pp1/1P1BP1P1/P4K2/7Q w - -,h1h7
q3r1k1/5pbp/pr1p2p1/2pPn3/2B5/1P6/P1QB1PPP/3RR1K1 w - -,c4f1
3r1n1k/5Rp1/1Q2p2p/p7/8/1B3P1P/Pq4PK/8 b - -,b2d2
3r2k1/1b1r1ppp/p1Npp1n1/1p6/4PP2/2N2BP1/PPPR3P/3R2K1 b - -,b7c6
5k2/p4p2/7p/4PP1p/2p5/P1R5/1r1r2PK/4R3 w - -,c3g3
7q/1b1k1p2/p2pp1p1/8/1p1P4/1PP3P1/1P2NP2/1N1RK3 w - -,c3b4
rn1q1rk1/pp1nppbp/4b1p1/2P5/2N5/4PN2/PP2BPPP/R1BQ1RK1 w - -,f3g5
2rq1rk1/1bp1bppp/p3pn2/1p6/1n1P1B2/5NP1/PP2PPBP/RNQR2K1 w - -,b1c3
1k1q1r1r/1p1nb2p/p1p1npp1/P1Ppp3/R2P2P1/1N1BP1BP/1PQ2P2/4K2R w K -,a4b4
r1bq1rk1/p3bppp/2pppn2/2p5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 w - -,d1e1
1k3b1Q/1p1n2p1/p2p4/P1pPp1P1/6q1/4P3/KPP5/4B3 w - -,g5g6
2r2rk1/1p2b1pp/5p2/p1p1PP2/8/Pb2B1P1/1P4BP/R4RK1 b - -,f6e5
8/8/8/4K3/5p2/1p1k4/5P2/6R1 b - -,f4f3
2kr3r/p1p2p2/2p1p3/2b1P1p1/8/1PB4P/P1P3P1/R4R1K w - -,f1f3
r4rk1/pb1pqppp/n3pn2/8/P2Q4/2p2NP1/1P1NPPBP/R4RK1 w - -,b2c3
2r2knR/1b3p2/p1q5/1p2p1B1/3rP3/1P1R4/P1P1Q1B1/1K6 w - -,e2d2
3r1rk1/2q1bp1p/p1bp1np1/1p2pP2/3BP3/P1N2BQ1/1PP3PP/4RR1K w - -,d4e3
3r2k1/pB3p1p/P3p1p1/q7/3b1P2/2p1nQPP/8/1R2R2K w - -,b7e4
r1bqrbk1/p1p3pp/1pp1np2/4p3/P1N1PP2/1P1P4/2P1N1PP/R1BQ1R1K b - f3,e5f4
r4rk1/1bqnppbp/pp1p2p1/2p5/P2Pn3/NQP1PN2/1P1BBPPP/2RR2K1 w - -,d2e1
3r2k1/ppqnbppp/n1p1p3/4P3/1PP2B1P/5N2/P1Q1BPP1/4R1K1 w - -,a2a3
2b1rrk1/p3qpbp/1pn3p1/2pp1P2/3PnN2/2PBPQ2/PP4RP/R1B2NK1 b - -,c8f5
8/1p3k2/p7/r4P2/5KN1/1P5p/2P2Rb1/8 w - -,f4g3
8/5pk1/4p1p1/1R4Pp/1p1P3n/1Pr5/P2R1PK1/8 w - -,g2f1
5rk1/6b1/3pN1p1/1qp4p/5B1P/3P2P1/2Q1PP2/r4RK1 b - -,f8a8
r2qrbk1/2pn1p1p/bp1p1np1/pN1P4/3Q4/1P2N1P1/PB2PPBP/R4RK1 w - -,d4c4
4Q3/p1p1nppk/8/b2r3p/3PbP1q/P3B3/R5PP/6RK b - -,h4f6
r4rk1/pbqnppbp/1p1p1np1/8/4P3/1NPBBN1P/PP3PP1/R2QR1K1 w - -,e3f4
1r6/6p1/2kb1p1p/1pp4P/2P2P2/1P4P1/1BK1R3/8 b - -,b8d8
r1b1k2r/1p2nppp/p1n3q1/3Np3/4P3/4B3/PPP2PPP/R2QKB1R b KQkq -,e7d5
3rr1k1/p3qpp1/2pb4/5p2/N2P2n1/3bP1P1/P3QPB1/1RR3K1 w - -,e2d3
rnbq1rk1/ppbp1ppp/2p1pn2/3P4/1PP5/P1N1P3/4NPPP/R1BQKB1R b KQ -,e6d5
rnb1kb1r/2qn1ppp/p2pp3/1p6/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq -,h2h4
3r1rk1/2p2ppp/1p2n3/p2nP1q1/P1N5/1P1PP2P/2Q3P1/4RRK1 w - -,g1h2
r1bqk2r/4bpp1/2p1pn1p/3p4/p3PB1P/2N1Q3/PPP1BPP1/2KR3R w kq -,e3g3
8/8/R4p2/2Bkn3/p1r3p1/4K3/5P1P/8 w - -,c5e7
r4rk1/1q1bbppp/p2pp3/4n2Q/3NP3/1BR1BP2/PP4PP/3R2K1 b - -,a8c8
1r2k2r/3bnp2/1q2p1pb/3pP2p/p2P1P2/2P1NBP1/3Q1BKP/R4R2 w k -,c3c4
r1bqkb1r/ppp2ppp/2np1n2/4P3/8/4PN2/PPPPB1PP/RNBQK2R b KQkq -,d6e5
r1b2rk1/ppp1qppp/2nppn2/8/2PPP3/P1B2N2/1PQ2PPP/R3KB1R b KQ e3,e6e5
r1b2rk1/1pq2ppp/p1n1pn2/2b5/1PB5/P1N1PN1P/4QPP1/R1B2RK1 b - b3,c5a7
8/8/4k3/2p1p3/4K3/NPP2Pb1/8/8 b - -,g3h4
6k1/1R3pp1/1p2p3/2r1Pq1p/8/P3Q1P1/1Pr2P1P/4R1K1 w - -,e1f1
r5k1/pb1n4/7b/1p1p1B2/2p5/6B1/PP4PP/R2q1R1K w - -,a1d1
r5rk/p3q2p/Q2n1p2/2nN4/3N4/2P2P1b/P2BB2P/R5RK b - -,e7e5
r1bqr1k1/pp1nbp2/2p2n1p/3p2p1/3P3B/2NBPN2/PPQ2PPP/R4RK1 w - g6,h4g3
r2r2k1/pqn1b1pp/2n1pp2/2p5/Q1P5/2BPNNP1/4PPKP/R4R2 b - -,a7a5
r1b1kb1r/1p1n1p2/p2ppp2/7p/4PP2/qNN5/P1PQB1PP/3R1RK1 b kq -,f8e7
r2n2k1/1p3pb1/pP4qp/1b4p1/NR1pP3/3P1P2/1B1Q2PP/4N1K1 b - -,d8c6
r2qk2r/pb1n1ppp/2pbp3/1p1n2P1/3PN3/4PN2/PPQ1BP1P/R1B1K2R b KQkq -,d6e7
5r2/pp3pk1/6p1/3PP3/7q/2p2Q2/2Nb2PP/5R1K b - -,h4e7
rnbqk2r/1p1pppbp/p1p2np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,b7b5
1rb1r1k1/p1n2pbp/2p1p1p1/2N5/3P1B2/1P3N2/P4PPP/R3R1K1 b - -,e6e5
r2qk2r/ppp1pbb1/2n3pp/2Pp4/3P1PPB/1P1B1N1P/P1Q5/R3K2R w KQkq -,d3g6
2r2k2/5p2/1np1b2p/pp2p3/4P1P1/PPN1K2P/2P1B3/3R4 b - -,f8e7
2rq1rk1/5ppp/p1n2n2/1p1p4/Nb6/1P1QPP2/PB2N1PP/2R2RK1 w - -,b2f6
2r2rk1/5qpp/p2Rp3/1pb5/1Pp2P2/P3P1P1/2Q4P/R5K1 w - -,b4c5
rn1qk2r/1bpp1ppp/1p2p3/p1bPP3/2P1N1n1/P4N2/1P3PPP/R1BQKB1R b KQkq -,d8e7
r7/1p1Rrp1k/1p4pp/4P2P/PP3P1P/5K2/8/3R4 b - -,a8e8
2q5/5pk1/p2b2p1/1p1pP3/7r/n2NP1P1/P2Q1PK1/1B3R2 w - -,d3f4
r4rk1/p1qb1pbp/6p1/1pp1pn2/2Q5/2PP1NP1/P3PPBP/2BR1RK1 w - b6,c4b3
3r4/7p/5k2/pBbP1pp1/2P1r3/P1R1p1P1/4K2P/5R2 w - -,b5a4
8/2P1K3/3n4/3Pk1p1/6P1/8/8/8 b - -,d6c8
r3r3/p2n1k1p/2pq1p2/5p2/3P1N1Q/8/P1P3PP/4RR1K b - -,f7g8
r2q1rk1/pb1n1ppp/4pn2/2bp4/2P5/P2BPN2/1B1NQPPP/R4RK1 b - -,a8b8
r4rk1/1q2p1bp/1n1p2p1/2pPn3/4P3/1PN3P1/P1QN2KP/R1B1R3 w - -,d2f1
r2q1rk1/p1p2ppp/1p2pn2/3b4/1Q1P4/Pn3NP1/1P2PPBP/1RBR2K1 b - -,a7a5
8/3n4/p1k5/5Nbp/PP3N2/1K4PP/8/8 w - -,f4h5
8/5p2/5kp1/3p2r1/3N1n1r/P1P2P2/1P1R3P/4R2K b - -,h4h3
4r3/2p5/3p1k2/P1n2Pp1/p3P1p1/2P3N1/R5P1/5K2 w - -,f1f2
2rb2k1/p2b2pp/3p4/q2Pp3/1p2P1p1/2N1B1P1/PP1Q1P1P/R5K1 w - -,c3e2
3q1rk1/r2nppb1/p1p3pp/PpN1Pb2/3P3B/1BP4P/1P2Q1PN/5RK1 w - -,c5e4
8/r4pkp/3R2p1/4P3/5P2/4PK2/7P/8 b - -,g7f8
R7/5k1p/P1K3p1/8/8/7P/r4bP1/8 w - -,c6b5
2rqbrk1/1p4p1/p3p1p1/P2pPnQp/1PnP4/4NN2/4BPP1/R1R3K1 b - -,c4e3
rn3rk1/p1q1ppbp/1p4p1/2p3B1/3PP1b1/Q1P2N2/P3BPPP/3R1RK1 b - -,b8d7
r1bq1rk1/4bppp/p1np4/1p2p3/4PP2/2PPB1P1/P3N1BP/1R1Q1RK1 w - b6,a2a4
5rk1/p3b2p/1p6/6p1/1P2N3/2PRB3/P3K1Pr/8 b - -,h2g2
r3r3/pkpn3p/1pbpNnp1/2P5/3P4/2PB2Q1/P6P/2K1R3 w - -,c5d6
6k1/1R3p1p/6p1/1b6/6P1/1r3BK1/7P/8 w - -,g3g2
2r2rk1/1p2bppp/p2pbn2/q7/4PB2/2NB4/PPPR2PP/1K1Q3R w - -,c3d5
4nbk1/3q1p2/pp5p/3p2p1/3P1n2/2N1NP1P/PP1Q1BP1/6K1 b - -,e8f6
r3q2k/pb5p/1pp1p1r1/4Ppb1/3P1N2/4P3/PPQ3BP/R4R1K b - -,g5f4
rn1qkb1r/pb1p1ppp/1p2pn2/8/2PP4/1P3N2/P2N1PPP/R1BQKB1R b KQkq -,d7d6
8/5k2/8/3rPP2/8/8/3p3R/3K4 w - -,e5e6
rn1qkb1r/pp3ppp/2pppn2/8/3PP3/2N5/PPP1QPPP/R1B1K1NR b KQkq -,d6d5
r7/5k1p/2R2pn1/1p6/1p1B1P2/P3P3/4K2P/8 w - -,c6f6
r1b2rk1/p1q2pp1/1np2b1p/2Q1p3/4P3/1BN2N2/1PP2PPP/R4RK1 b - -,b6d7
3B4/8/6p1/1p5p/2b5/P1P3k1/8/4K3 w - -,d8c7
5k2/R7/p2p2B1/P3p1B1/1n6/8/1r6/5K2 b - -,b4c6
4r1k1/5ppb/1p2pq1p/1Pn5/8/2rNQ1P1/2P1RPBP/1R4K1 w - -,e3e5
2r4r/1p4k1/1p2pbn1/3p3p/P2P1B2/1P3B1P/6P1/2RR2K1 w - -,f4c7
3k1r2/pp3p2/4p2R/3pPbrP/2pP4/2P4R/P3B1P1/6K1 w - -,h3h2
r3kb1r/3b1ppp/pq1p1n2/1p2pP2/4P3/1NN5/PPPQ2PP/1K1R1B1R w kq -,g2g4
r5k1/5p2/5bpp/2B5/5PP1/1Bn5/7P/4R1K1 w - -,c5d6
8/p1n3p1/1p3k2/3p3P/P7/1PK2N2/5r2/7B w - -,c3d4
3r1r2/p3qp1k/2p1nR1p/1ppbP1p1/6PP/3P2B1/PPP2Q2/4RNK1 b - -,c5c4
8/2p3k1/1p6/p1pPNP2/P1P1nK2/8/8/8 b - -,e4d6
r4b2/1p3k1p/p2p1p1P/3P1R2/2P1p1p1/4B3/PP1K1P2/8 w - -,f5f4
5k2/2r2ppp/BN2r3/8/8/1P4P1/P6P/5R1K w - -,b6d5
8/2B1k2p/1p2p1p1/1Pb5/4P3/4P1PP/5P2/6K1 w - -,g1f1
3r1k2/5ppp/pp1P2n1/2p1Q3/P4bB1/2N4P/1P3PP1/R5K1 b - -,f4e5
8/4Np1k/3r1Pp1/p2P3p/1p6/8/PP4PP/3R3K b - -,h7h6
8/6p1/5p2/PR2pk1p/r6P/4PKP1/5P2/8 w - -,b5c5
r1b2rk1/pp2qnbp/n2p1pp1/1NpPp3/2P1P3/5N1P/PP1BBPP1/2RQR1K1 w - -,f3h2
3r2k1/3q1pbp/2n1b1p1/1p2p3/1P2Pn1P/4NNP1/2BB1P1K/1Q2R3 b - -,e6g4
8/2P5/8/1K6/8/p7/k7/8 w - -,c7c8q
1q1b1rk1/r4ppp/Bpb3n1/2p1p2Q/P3P3/1PN1BP2/6PP/2RR2K1 w - -,a6c4
5rk1/6p1/7p/1p1qp3/1P1n4/P3Q1P1/5N1P/3R2K1 b - -,f8f3
8/p6p/4p3/3k4/3p4/3K1P2/PPR3P1/6r1 w - -,c2f2
r5k1/p1b2p2/1p4pB/2pb3n/P7/2P5/1P2QK2/R2R1N1q b - -,h1h4
r2q1r1k/pp2R1pp/1b1P1p2/2pb4/Qn3BP1/5N1P/PP3PB1/3R2K1 b - -,d5g8
2q2rk1/R4p1p/pp2p3/6P1/7Q/2b1BP2/P4P1P/6K1 b - -,b6b5
2r3k1/5rpp/pq1p4/1p6/1NnRpP2/P5Q1/1PP3PP/3R3K b - -,e4e3
r1bqk2r/ppp2pnp/2np1bpB/3P4/8/5N2/PPP1BPPP/RN1Q1RK1 b kq -,g7f5
6k1/2R2pb1/4p1p1/7p/r2P4/4B1PP/5P1K/8 w - -,c7c8
r3k2r/pp1bnpb1/6p1/2n1p3/1P2P1Pp/q1PPB3/P4NBP/R2Q1RK1 w kq -,e3c5
1k1r3r/p1q2ppp/Ppp2n2/8/1P1P4/2n2B1P/3Q1PP1/2R2RK1 w - -,d2c3
1r3rk1/p4pbp/3p1np1/1QpP4/5B2/4PN1P/1P3PP1/R4RK1 b - -,b8b5
b5k1/p2nbppp/Pp2p3/1Pp1P3/2P1NP2/3r2P1/3N2BP/4R1K1 b - f3,a8e4
4r2k/1pbbr1pp/2pp1p2/8/1PP2P1q/2Q1P1RP/4B1PK/2BR4 b - -,d7f5
1k3r2/6R1/8/KP6/8/8/8/8 b - -,f8h8
r1b1r1k1/ppqn1pb1/2pp2pp/4p2n/2PPP3/2N1BN1P/PPQ2PP1/R2R1BK1 w - -,a1c1
r1bq1rk1/p3ppbp/1p1p1np1/nPp5/3PP3/P1P2N2/3N1PPP/R1BQKB1R w KQ -,f1d3
8/p4k2/1pB2np1/2p5/P1P4P/2P1R1PK/3r4/8 b - -,d2d6
rn1qkb1r/pb3ppp/3p1n2/2pP4/P1p5/2N2N2/1P3PPP/R1BQKB1R w KQkq -,f1c4
r2qk2r/pp4pp/2bP1p2/3np3/3Q4/2P2N2/PP3PPP/R1B1K2R w KQkq -,d4d3
5k2/Rp6/2p3p1/4P3/2PKPbb1/1P5p/8/7B b - -,h3h2
r1b1kb1r/1p1n1ppp/pq2pn2/3p4/3P1B2/2NBPN2/PPQ2PPP/R4RK1 b kq -,f8e7
r3k2r/ppp1qnbp/2n1p1p1/1P2p3/2Q5/2N1PN2/P1PP2PP/R1B2RK1 b kq -,c6b8
r3k2r/pp1bq1pp/5p2/nB2p3/Qb2P3/4BN2/PP3PPP/R4RK1 b kq -,a5c6
r1b1r1k1/1p2bppp/2p2n2/p3q3/R3PP2/2N1B2P/1PP3P1/3QRBK1 b - f3,e5c7
rnbqk1nr/pp2ppbp/2p3p1/8/2BP4/2N2N2/PPP3PP/R1BQ1RK1 b kq -,g8f6
8/8/8/5k2/3Kr3/8/3Q4/8 w - -,d4d3
4rr2/pp1q2k1/2n1pnpp/2pp1P2/P5PN/1P1P2Q1/2PN3P/4RRK1 b - -,e6f5
5rk1/rp1nppbp/pN1p1np1/P1pP1q2/2P5/R4NPP/1P2PPK1/2BQ1R2 w - -,g3g4
5R2/1p1r4/p7/4nk2/1B6/1P6/P5PK/8 b - -,f5e4
4b3/1p4p1/p2kN2p/n2p1B2/8/2P3P1/P1P4P/2K5 w - -,e6g7
8/2p2kr1/1pqp4/p3p3/P1P1PnPb/1PP2n2/1K1N4/1R1Q3N w - -,d1f3
rnbq1rk1/pp2ppb1/3p1n1p/2p3p1/2PP3B/2N1PN2/PP2BPPP/R2QK2R w KQ -,h4g3
rn3rk1/pbpp1pb1/1p2pqpp/8/3PP3/2PB1N2/PP1NQPPP/R3K2R w KQ -,e1g1
r1bqkb1r/pp1pnppp/2n1p3/2p5/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq -,f1g2
3r4/p2bkp2/1p1N2p1/P1p1P2p/5P2/4K1P1/7P/2R5 b - -,h5h4
8/8/7p/5p2/4kP1K/7P/8/1n6 b - -,e4f4
6k1/1r3pp1/4r3/1P6/P2Pp2P/2N2b2/5P2/R1B3K1 b - -,b7c7
r2r4/1p2kpp1/3bb3/1pn1p2p/4N3/P1P3PP/1P2NPB1/2RR2K1 b - -,c5e4
r1r3k1/1p2ppbp/1pb3p1/2q5/4B3/2N1P3/PPQ2PPP/R1R3K1 w - -,e4c6
8/5k2/6p1/R3K1P1/7r/8/8/8 w - -,a5a7
r1bq2k1/ppnn1rbp/2p1p1p1/3p1p2/2PP4/BPNBPNPP/P3QP2/R2R2K1 w - -,a3d6
4k3/pp3r1p/4p2q/3r4/2Qb4/8/PPP5/1K1R4 w - -,d1e1
4rrnk/p2b2b1/1p4pp/2pPqP2/P1P5/4B2P/2Q3PN/3BRRK1 b - -,d7f5
r3r1k1/pp2qp2/3p2p1/1PpP4/1n2B1Pp/P3Q2P/1P1N4/2K1R1R1 b - -,b4d5
r2q1rk1/1bpnbppp/pp1p1n2/4p1B1/P1BPP3/2N2N2/1PP2PPP/R2QR1K1 w - -,d1d2
2r1r1k1/4bpp1/p3p1q1/1pP1B2p/5P2/PP2R1PP/4Q2K/2R5 w - -,b3b4
r4rk1/1bqp1p1p/p4np1/8/5b1Q/1NPB2R1/PP3PPP/1K1R4 b - -,c7e5
r2r2k1/pppbbppp/2n1p3/8/3P4/4PNP1/PP1N1PBP/R1R3K1 b - -,a8c8
r3k2r/1p3ppp/p1nq1n2/5N2/3pP3/P2B4/1PP2P1P/R2QK2R b KQkq -,d6f4
5r2/1p6/5r2/p1k5/P1B2PRP/1P3K2/8/8 b - h3,c5d6
2r1k2r/pp1b1ppp/4p3/q2pP3/1P1b1P2/P1NPQ3/6PP/R4RK1 w k -,e3d4
r2q1rk1/1b4pp/p2p1n2/3Pppb1/P1P5/1N3P2/4BBPP/R2Q1R1K w - -,a1b1
1k2Q3/1pp5/p2r1p2/3n3p/6q1/8/P2B1RP1/6K1 b - -,b8a7
r1bq1rk1/bpp2ppp/p1np1n2/4p3/PPB1P3/2PP1N2/3N1PPP/R1BQ1RK1 b - b3,c6e7
1r1q1rk1/1ppbppbp/p1np1np1/8/2PP4/2N2NP1/PPQ1PPBP/R1BR2K1 w - -,e2e4
r3r1k1/ppb2p1p/2p2ppB/5NP1/2nP4/2P4P/qP1Q1P2/2KR2R1 w - -,g5f6
8/5pk1/6p1/ppp4p/4q3/1PP1P2P/P2Q1PP1/6K1 w - -,f2f3
2b5/2q2p2/k3p2b/1p1pPp2/pP1N1Prr/P1PpQ3/5R2/1K2BR2 w - -,e3d3
3rr1k1/p3qpp1/2pb1n2/1p5p/2nBP3/P1N3PP/1PQ2PB1/R2R2K1 w - h6,a3a4
rnb1k2r/ppp2ppp/5n2/8/1bpNP3/2N2P2/PP4PP/R1B1KB1R b KQkq -,b4c5
8/4kp2/6p1/3BK2p/4PP1P/6P1/8/3b4 b - -,d1g4
2r1r1k1/pq3p2/7Q/1bp5/2B3P1/5p1P/PP3K2/4R2R w - -,h6g5
rn1qkb1r/pb3ppp/1p2pn2/8/2Np4/5NP1/PP2PPBP/R1BQ1RK1 w kq -,d1d4
2rr2k1/pp2bppp/1q2b1n1/3p4/3N4/4PBBP/PP1Q1PP1/R2R2K1 b - -,e7f6
8/4qpk1/1bp2np1/1p2p2p/1P2P2P/1BP2PP1/3R2K1/1Q6 w - -,b1d1
3r3k/4q1p1/Q4p1p/3r4/P7/2B2PRP/6PK/8 b - -,d5g5
r1b2br1/1p1n3k/p2p1nqp/P2P1p2/NQPBpP2/R5PP/4N1BK/6R1 w - -,b4b2
8/5k2/1p1p4/pPp1b2p/P1P1Pp2/3P1P2/6K1/4B3 w - -,g2h3
6kr/p4rn1/3p3q/2pP1p1p/1pP2PpB/1P1B2N1/P2QR3/6K1 b - -,h6g6
8/8/8/3kp3/8/2K5/8/8 w - -,c3d3
8/1p3p2/p1p5/P4PpP/1PkP4/7r/2K1R3/8 b - -,g5g4
r1b1kb1r/ppp2ppp/5n2/1N2p3/8/2N3P1/PPnP1PP1/R1BK1B1R b kq -,c2a1
r4rk1/1p1qb1p1/p1nppn1p/4p3/1P2P3/P1N1BN1P/Q4PP1/2RR2K1 w - -,c3a4
6k1/p6p/1p1qprp1/2p5/2PpQP2/1P5P/P5P1/5RK1 b - -,f6f7
r1bqk2r/pppn1ppp/4pn2/b2p4/3P1B2/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,a7a6
3r2k1/pp5p/4p1p1/3r4/3P4/3R3P/PP4P1/3R3K b - -,e6e5
8/8/3KB3/4r3/3k4/7P/8/8 b - -,e5h5
rnbq1rk1/p1pp2pp/1p2p3/5p2/1bPPn3/2NBPP2/PPQ1N1PP/R1B1K2R b KQ -,b4c3
8/8/p3kR2/6PP/7K/8/8/r7 b - -,e6e5
2rr2k1/p1b1qpp1/2p1p2p/3n4/3P4/P2N2PP/1P1BQP2/2R1R1K1 b - -,c7b6
3B1bB1/6p1/3p1k1p/3np2P/6R1/3r2P1/5P2/6K1 b - -,d5e7
5rk1/5ppp/8/1R1N4/1p6/1Pb1P2P/r4PP1/5RK1 b - -,a2b2
3r3r/p1kq4/1pbppppp/n1p5/P1P1P3/2PPB1P1/R1Q2PBP/4R1K1 w - -,e1a1
b2r1bk1/5pp1/ppq1p2p/4Pn2/P2N4/2N2P2/1P2QBPP/3R2K1 b - -,f5d4
rn1q1rk1/1bp2pbp/1p1p1np1/p2P4/2P5/P1N2N2/1P2BPPP/1RBQ1RK1 b - -,b8d7
r1b3k1/pp5p/2p3p1/2p3q1/2PbP1N1/3B4/PP3QPP/3RR2K b - -,d4f2
r1r3k1/qb1nppbp/3p1np1/P2P4/1Pp1P2N/2N3P1/2QB1PBP/1R3RK1 w - -,g2h3
6k1/4Qp1n/8/4pP1K/p1q5/6P1/5P1P/8 b - -,g8g7
2bq1rk1/1ppn2bp/3p2p1/2nPpp2/1PP1P3/2NNBP2/4B1PP/Q4RK1 b - -,c5b3
3rQ3/6pk/3r3p/5KbP/6P1/8/8/8 w - -,e8e4
rnbqkb1r/pp2pppp/5n2/8/2pP4/2N5/PP3PPP/R1BQKBNR w KQkq -,f1c4
2r1k2r/4b1Rn/3pPp2/4p3/2q1P2P/1p2B2B/PP3Q2/K2R4 b k -,c4e4
r1b1kb1r/1p2pppp/pBnp1n2/8/4P3/5N2/PPP2PPP/RN2KB1R w KQkq -,b1c3
r1bqkb1r/1p1npp2/p1p3pp/2Pp3n/3P4/2N2N2/PP1BPPPP/R2QKB1R w KQkq -,e2e4
8/4N3/p7/kp1PPpp1/P3b3/1P2K3/6P1/8 w - -,d5d6
r4rk1/pp3ppp/4pn2/2qp4/2P5/1P1QP3/P2N1PPP/R4RK1 w - -,c4d5
7k/1b4b1/p6p/1pp3p1/3pPP1n/1P3PNq/P2RQ3/5RK1 b - -,h3g3
6k1/1p2rn1p/p2p1qp1/P1pP1p2/2P4P/2P2BK1/3Q1P2/1R6 b - -,g8g7
6k1/pp2r3/3Q4/3PR2p/2q4P/5PK1/PP6/5R2 b - -,e7e5
8/3k2pp/1p2pp2/pPb5/P1K3P1/4P2P/1B3P2/8 b - g3,d7d6
2r2r1k/pb3p1p/1pn1qPp1/1N1p1R2/3P4/P6Q/1P4PP/3R2K1 w - -,h3h6
r1bq1rk1/pp1p1n1p/4p2b/5p2/3Q1P2/2N5/PPP3PP/1K1R1BNR b - f3,h6g7
r3kbnr/pp1b2pp/1qn1pp2/3pP3/2pP4/N1P2N2/PPQ1BPPP/R1B1K2R b KQkq -,g8e7
8/p5b1/3kp3/6r1/PP2R3/3K2P1/4N3/8 w - -,g3g4
r1bqk1nr/ppp1bppp/2n5/3p4/3P4/P1NB4/1PP1NPPP/R1BQK2R b KQkq -,e7f6:c8g4
8/2R2pBr/4p1bP/4P3/p2k4/1K6/2p5/8 w - -,b3a4
3k4/p4Q2/1p1qRn2/3n4/3P3P/8/PP3PP1/2r2BK1 b - -,d6b4
