8/4B3/pK6/1p3k2/1P5p/2P5/1P6/5b2 w - -,e7h4
r1bq1rk1/pp3pbp/6p1/2Pp4/3pn3/2N1B2P/PP3PP1/2RQKB1R w K -,e3d4
r1b2rk1/p4ppp/2pq1n2/3pp3/6P1/2PBPN2/PP3P1P/R2QK2R w KQ -,g4g5
r1r3k1/p2q1pbp/1p2p1p1/n2P4/1Q2P3/4BN2/P4PPP/3R1RK1 w - -,e3d4
3k4/3bpr2/7p/p1pP1pp1/8/1P1B1P1P/6P1/1KR5 w - -,c1c5
3R4/5pkp/qp2p1p1/2p1P3/7P/P5P1/1P3P2/4R1K1 b - -,a6b5
2r3k1/R5p1/3B1p1p/2Pb1P2/5PPK/8/8/8 b - -,d5c4
r3k2r/pp2b1p1/2p1p2p/5p1P/2PPn3/4BN2/PP3PP1/2K2R1R b kq -,e7g5
r1bq1rk1/3nbppp/1pp1pn2/p7/P1pPP3/2N2NP1/1P2QPBP/R1B2RK1 w - -,f1d1
8/1B2pp2/p4kp1/2R4p/6bP/1P4P1/P3rP1K/8 w - -,c5c6
6k1/1p1n1pp1/p5p1/3p4/3q4/P3PP2/1P2N1PP/6K1 w - -,e2d4
1b1r2k1/1b3ppp/5q2/pN6/P1P5/3N1P2/6PP/4RQ1K w - -,c4c5
2rr2k1/1p2qppp/4bn2/pPb5/N1p5/P3PP2/1B1QN1PP/R4R1K w - -,d2c1
5r2/5p1p/3p2p1/1R1Pk3/8/6KP/6P1/8 b - -,h7h5
r2q1rk1/p2n1ppb/2p1pn1p/1p5P/3P1B2/1B4N1/PPP1QPP1/3R1RK1 b - -,d7b6
7r/p1qk1p1p/Q3p1p1/3pb3/3N4/2P3P1/5P1P/1R4K1 b - -,h8b8
8/p7/2R5/1P1pB3/1k1N2pp/3P4/PK3q2/8 w - -,c6c2
8/1p3kp1/7p/p4P2/P2Bp1P1/1P5K/3bP3/8 b - -,d2e1
1r6/3R4/2B1p1kp/1P3pp1/1n6/4PP2/5P1P/6K1 b - -,b8b6
6k1/1p1r3p/p7/3pbpB1/P1p5/2P1Q2P/1P3KPq/R7 b - -,d5d4
r1br2k1/pp6/2pN1P2/2Pp2P1/1P6/6K1/P5B1/3n1R2 w - -,f1d1
rn2k1nr/pbpp2pp/1p6/5B2/2P5/5PP1/P2Bq2P/R3K1NR w KQkq -,e1e2
r4rk1/p3pp1p/1pn2bp1/8/3P4/1Q2PP1q/PP2BP1P/R1B3RK b - -,f6h4
2r3r1/1p3p2/p1n1k1p1/3p4/5Pp1/1PbPPK2/P3R3/1BB4R w - -,f3g4
3n1b2/5pk1/1q3rpp/1p2p3/p2pP1P1/P2P1NNP/1PQ2PK1/2R5 b - -,f6c6
r1bqk2r/p1pnppb1/1p1p1n1p/6p1/3PP2B/2PB1N2/PP3PPP/RN1Q1RK1 w kq -,h4g3
8/6p1/2Q5/2p1qP2/P6p/8/3K4/6k1 w - -,a4a5
2r3k1/2r1bp1p/bq2p1p1/2npP3/pp1N1P2/3PB3/PPR3PP/2RQN2K w - -,d1d2
1r2q1k1/2pr1p1p/4p1pQ/p2nP3/p2P4/3BPRP1/1P5P/5RK1 w - -,f1f2
5rk1/1Qp2pp1/3p4/1P6/3q4/3r2P1/P4PK1/R2R4 w - -,d1d3
5rk1/pp1bpp1p/3p2p1/q2n4/3Q4/P5PP/5PB1/R3R1K1 b - -,d7c6
r5k1/5ppp/p2Np3/P3b3/1P2P3/2r5/K6P/1R1R4 b - -,h7h5
3rr3/2p1bpk1/1p2n1pp/p1p1P3/P1P5/1P3NPP/1B1RKP2/3R4 w - -,h3h4
3r3r/p3k2p/1p1ppp2/n1p5/q3PN2/P1PQ1P2/6PP/R2R2K1 w - -,d3e3
2r2rk1/2p1bppp/bp1p2n1/p2Pp3/3PP1qP/P3BPP1/1PQ1N1B1/2RR2K1 b - -,g4h5
8/pR6/4k3/1PP5/r7/2K5/8/8 b - -,a4a1
r1b1kb1r/1p1n1ppp/p2pBn2/6B1/3NP3/q1N5/P1PQ1PPP/1R3RK1 b kq -,f7e6
r3k2r/p1qn1pp1/2p1bn1p/1pb1pN2/4P3/1P4P1/PBPNQPBP/R4RK1 b kq -,e8g8
r1r2qk1/1p2ppbp/n2p2p1/nN6/p1P1PP2/P3B2P/1PR2QP1/3R1B1K b - -,a5b3
2k5/5R2/2P1K3/8/8/8/8/4r3 w - -,e6d5
7r/pppk2pp/5p2/5b2/2B3P1/2B5/PPn2P1P/5RK1 b - g3,f5g6
r1bq1rk1/pp1n2p1/2pb3p/4pp2/2PP4/4BN2/PPB2PPP/R2Q1RK1 w - f6,d4e5
r1bqk2r/4bppp/p1np1n2/1p2p3/4P3/2NBN3/PPP2PPP/R1BQK2R b KQkq -,e8g8:c6b4
2k1r3/1pp2qp1/p1np1p2/4rb1p/8/1PP2P1P/PKPQ1BP1/3RRB2 w - -,g2g4
2r2rk1/p1b1nqp1/4p2p/3pP3/1ppP1P1N/6P1/PPQ1B2P/3R1RK1 b - f3,c7b6
r4b2/pp1k4/1qn1bp2/3p3r/3P3P/N3PPB1/PP3RK1/R2Q4 w - -,f3f4
r1bqk1nr/1ppp1pp1/p1n4p/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d2d4
rnbq1rk1/1p2b1pp/p2p4/3Ppp2/2P2P2/2N5/PP2B1PP/R1BQ1RK1 b - f3,b8d7
rq3rk1/1b1n1pb1/p5pp/1p1np1B1/8/Q1P2N1P/PPN1BPP1/R4RK1 w - -,g5d2
8/8/3p1k2/2pP1n1p/1p3PpP/1P2PrP1/1Q5K/8 b - -,f6g6
8/1R1p2k1/1N1r2p1/8/2P2p2/2K3r1/8/8 w - -,c3c2
rr4n1/5ppR/2k1p3/2NpP3/1B6/P4P2/1PP3P1/2KR4 b - -,g8e7
2r2r2/8/1P6/2k2K2/P7/8/1Q6/8 w - -,f5g6
1b2r1k1/p5p1/6n1/3nP3/3P3P/2BN3P/8/3R1R1K w - -,c3d2
2rq1rk1/pp1bb1pp/1nn1p3/3pPp2/3P1P2/P1NBBN2/1P4PP/2RQK2R b K -,c6a5
r4rk1/3p1pp1/ppbNpq1p/2n5/1bP5/5NP1/PP2PPBP/R2Q1RK1 w - -,a2a3
8/1pp4k/2n1p3/3K4/5B2/P7/4r3/5R2 w - -,d5c4
r2qkb1r/pp1n1ppp/2p2n2/3pp2b/2P5/3P1NPP/PP2PPB1/RNBQ1RK1 w kq -,b1c3:b2b3
8/p2k2pp/2r2p2/K3p3/P7/8/3B1PPP/8 b - -,d7c7
r1bqk2r/pppp2b1/2n1pBpp/5p2/3P4/1QP3PN/PP2PPBP/RN2K2R b KQkq -,d8f6
8/4kb1p/4n1p1/1pPBp3/8/PN2KP2/6PP/8 b - -,f7e8
2r3k1/5pbp/p6R/1b4P1/5B2/1P6/1PP4P/1K6 w - -,h6d6
r4rk1/pbq2ppp/1p2p3/n6Q/2P5/2P2NP1/P3PPBP/2RR2K1 w - -,d1d4
1r6/p2bk3/5R2/P2p3p/2pNp3/2P1K1P1/1P5P/8 w - -,f6a6
3R2kb/8/p5p1/4P2p/2r5/4B2P/P5P1/6K1 b - -,g8h7
6rk/p6p/1pQ2P2/6n1/5P2/4q3/P5K1/R2R1B2 w - -,g2h1
7k/p1n1q1rp/1p1pPp2/2pPn2B/P3P3/7Q/1P1B2P1/5R1K w - -,h3h4
r5k1/2b3pp/1pp5/4p3/1BP5/1R3R1P/4r1P1/6K1 b - -,e5e4
r2b1rk1/pb3ppp/1n1p1P2/2pP2P1/2P5/1p1BBN2/qPQ4P/2KR3R w - -,c2e2
8/2Rnkp2/3pp3/p1r5/2P1P3/1P3B2/2K3P1/5R2 b - -,c5c7
2q1b3/1n3p1k/5Bp1/p2P3p/1pN1P2P/1P3Pb1/1QB3P1/7K b - -,e8b5
8/p5p1/4p3/3nP1k1/3q4/6Q1/P1R2P2/2K3Br b - -,d4g4
rnbqr1k1/ppp2pb1/3p1npp/4p3/2P5/1PNP1NP1/PB2PPBP/R2Q1RK1 b - -,c7c6
8/8/4k1p1/1p3p1p/5P1P/PK1R2P1/8/4r3 b - -,e1e4
r3k1nr/pppq1ppp/2n5/3p4/1b1P2b1/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
8/8/2kb2R1/p3p3/2P1P1P1/4BK2/r7/8 b - -,c6d7
2r2bk1/1b3pp1/4pq1p/p6P/3p2Q1/P2P1NP1/4PPB1/4R1K1 w - -,e1a1
r2qk1nr/pp2pp1p/2np2p1/8/4P1b1/2P3P1/P1P1NPBP/R1BQK2R b KQkq -,d8a5
8/2p2k2/p4P2/8/8/1N2K2r/P6p/7R w - -,e3f4
3qk1nr/r2bb1p1/p1np4/2p2p1p/1p3P2/3P1NPP/PPP1NQB1/R1B2RK1 w k -,f3g5
rr4k1/2n1ppbp/q2p2p1/2pPP3/2N2B2/1P4PP/P1Q1RPK1/R7 w - -,a1d1
r3r1k1/p2b1ppp/1ppq1nn1/3p4/1P1P4/2NBPN1P/P1Q2PP1/2R2RK1 w - -,b4b5
8/1p2b1k1/5ppp/1Np1p3/QnP1P3/3rP1P1/5P1P/6K1 b - -,g7f7
5r2/8/3pP3/5k1P/3KR3/8/8/8 w - -,e6e7
2r1r1k1/qp1bb1pp/p4p1n/3P3R/2PN4/1P3Q1P/PB4P1/3R1B1K w - -,f1d3
r1bq1rk1/1p1nppbp/p2p1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,f2f3
rnbq1rk1/1p3ppp/p3p3/2bN4/6P1/7P/PPP1NPB1/R1BQK2R b KQ -,e6d5
1k3r2/ppbq1r2/2p1b1p1/4p1Q1/2PpP2p/3P1P1P/PP2N1B1/1K3R1R b - -,d7e7
3r1rk1/1pp1qppp/p1npbn2/4p3/4P3/2PPPN1P/PPBN1QP1/R3R1K1 b - -,e6c8
1r6/4kp2/4B2p/p7/1P3KP1/P4P2/4R3/8 b - -,f7e6
2rq1rk1/1p3ppp/p1npbb2/3Np3/P3P3/1NP5/1P2BPPP/R2Q1RK1 b - -,c6e7
r4k1r/ppp4p/3n4/1P3bp1/1Ppp4/6P1/1P1N3P/R1BKR3 w - -,e1f1
8/k2b4/5p1p/R7/4B2P/P3K1P1/5P2/3r4 b - -,a7b6
8/p1k1r1p1/1p1np3/1q1pN3/3P4/2P5/PP5Q/1K1R4 b - -,c7b7
r1b1rk2/pp2nPp1/8/2Bpq3/2P5/3B3P/P2Q4/R4RK1 b - -,e8d8
5rk1/p4ppp/2nqP3/3p1p2/1r6/3P1B1P/P5P1/R3QR1K w - -,e6f7
2r3k1/5p1p/3p2p1/1p3b2/p7/P1P1qP2/1P4PP/1BK1R3 w - -,e1e3
2r1r1k1/5pp1/q2p1n2/pbp1pPp1/4P3/PP1PB3/3R2BP/1R1Q2K1 w - -,e3g5
2r5/p3k3/1p4p1/5p1p/P2Pp2P/2r1P1P1/1R1K1P2/3B4 w - -,d1e2
6k1/5p1p/3r2p1/4p3/P1Rr4/1P1n2P1/5PBP/3R2K1 b - -,f7f5
4r1k1/p6p/1p4p1/2pP1p2/2Pq4/3PrQ1P/P5P1/3R1R1K w - -,f3f4
8/2r3p1/p1P4p/4k3/1P4K1/7P/2R3P1/8 b - -,e5d5
2q2r1k/5r1p/p2p4/3Nb1p1/1PPp4/R4PP1/4Q2P/5RK1 b - -,e5g7
2b5/2pqbkp1/p1p1pp1p/2P1P3/1Q1B1P2/1N5P/PP4PK/8 b - -,d7d8
6k1/pp4b1/2r5/3N1q2/3Pp3/4R3/1P3PP1/6K1 w - -,d5e7
1b6/4Rpk1/6pp/8/6P1/5P2/1r2P1KP/8 w - -,h2h3
2r2qk1/7p/b1p3p1/3p1p2/1P2n3/PQ2P1P1/5PBP/2RR2K1 b - -,f8f7
r2qr1k1/p2bbppp/2pp1n2/Pp2n3/3NP3/2N4P/1PP2PP1/R1BQRBK1 w - b6,a5b6
6k1/p1r2pp1/1p2p3/1P2N2p/5P1P/P5P1/3RP1K1/2n5 w - -,e5c6
6k1/5p1p/1P2pbp1/2Q5/1N3P1P/4P3/r5r1/5K2 b - -,a2f2
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R w KQ -,a2a3:a1c1:c4c5:f1d3:h2h3:d1c2
r4q1k/pn1b2bp/1p1p4/2pPp1B1/1PP4P/P1N2rN1/3Q4/R3K1R1 w Q -,g3h5
4r3/2kb1p2/2p1p2R/1pP1P2P/1P1PB3/2K5/8/8 w - -,h6h7
r1b1k1nr/ppppqppp/1bn5/4p3/2BPP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,d4d5
8/8/4p1p1/2B1Pp1p/5P1P/3k1K2/2n5/8 b - -,c2d4
r3k2r/p3bp1p/b1p1p1p1/3pP3/N2q4/1P1P2Q1/P4PPP/R1B2R1K w kq -,c1e3
3r2k1/p3pp1p/1p6/2r3p1/2p1B3/4N1P1/P3PP1P/2R2K2 b - -,b6b5
4r3/r3ppkp/5np1/p1p1N3/P7/2P4P/1P3PP1/R2R2K1 b - -,e8c8
2R5/p1R2k2/q4p1p/r2p2p1/3Bn3/P3PN2/5PPP/6K1 b - -,f7g6
r1bq1rk1/1pp1bppp/p1n1pn2/8/3P4/2PB1NN1/PP3PPP/R1BQK2R w KQ -,e1g1
2qr2k1/1b2bpp1/1pn1pn1p/1N1p4/2Pp4/1P2PNP1/QB3PBP/3R2K1 w - -,e3d4
3n2k1/2qb2p1/p2b1pQp/1p1p4/5P2/1P1N1B1P/PB4P1/6K1 b - -,d7e6
1rr3k1/p4p2/4bp1p/4b3/2pp4/1P3BN1/P1P2PPP/1R1R2K1 w - -,f3e4
1r1q1rk1/6p1/1p1p3p/3Pn1b1/p1PB4/2N2P2/PP2B2P/R4bQK w - -,a1f1
rnbqkb1r/ppp2ppp/5n2/3pN3/3P4/2N5/PPP2PPP/R1BQKB1R b KQkq -,f8e7
r3r1k1/pp1nbppp/1qp1p1b1/8/3P4/2B1P1P1/PP1NQPBP/R4RK1 w - -,d2c4
2r2rk1/1pqnbppb/p1p1p2p/P3Pn2/2BP4/1NB5/1P1NQPPP/R4RK1 b - -,f8d8
7k/pR3B1p/2p3p1/8/1b1rr3/4n3/PP3KPP/2R5 b - -,e3d1
1r1r2k1/RPq1b1pp/Rp1ppp2/1p6/3P4/2P1PQ1P/1P3PPB/6K1 w - -,f3e4
2r3k1/2q2p1p/3pn1p1/4p3/ppr1P1P1/3R1P2/PPPQN2P/1KR5 w - -,c2c3
R7/4qpk1/4r1p1/1pP4p/1P1Qp3/7P/5PP1/6K1 b - -,f7f6
8/2p2r1k/2Pp1n1p/3PqN2/4Pp2/8/2Q3P1/5RK1 w - -,f5d6
8/p4pk1/1p2p3/8/2RPnN2/8/P4P1P/5K2 b - -,e4d2
R1b1r3/1p3pk1/1Qp1q1p1/7p/7P/4P1P1/5P2/5BK1 b - -,e6e7
