3Q4/p4k2/1pp3r1/8/3R4/P6P/1q4PK/8 w - -,d4d7
8/8/p2r4/1p1p1k2/4bp1p/3R4/PP2R3/6K1 w - -,d3h3
3qnrk1/1pr1bppp/2ppN3/p7/P3PB2/2N1Q2P/1PP2PP1/3RR1K1 b - -,f7e6
r2qk2r/pp3ppp/2n1p3/1Bbpn2P/3NbNP1/5P2/PPP5/R1BQK2R w KQkq -,f3e4
8/2nnk1pp/2bp3P/1p4p1/1P2PP2/2N1K3/1B2B3/8 w - -,h6g7
8/7p/1b2p1p1/5p2/5PP1/5KNP/2k5/8 b - -,c2d3
2r2rk1/pp1qppbp/3p1np1/4n3/2PNP3/1PN1BP2/P2Q2PP/R4RK1 b - -,b7b6
4r1k1/ppq1rpp1/8/3pn3/3Q3p/1PP1PPnP/P1N1BKP1/R3R3 b - -,g3f5
4k3/1B6/1Rn3p1/7p/P4p2/1P2K3/6r1/8 w - -,e3f3
4k3/2R4p/5p2/3P1P2/p1K4P/8/1r6/8 w - -,c7h7
2bqr1k1/r4pbp/3p2p1/1p1Q4/N3B3/BP2P1PP/P4P2/2R2RK1 b - -,b5a4
1r2nrk1/1pqn1pbp/p2p2p1/P1pP4/N3PB2/1Q3B2/1P3PPP/R4RK1 w - -,f4d2
2k3r1/8/p1pbr1p1/5p1p/7P/1PP1B1P1/P1K2P2/3R2R1 b - -,d6c7
rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PP1NPPPP/R1BQKBNR b KQkq -,f8b4:e4c5
8/4k3/8/4P2p/3P1K2/3R4/8/r7 w - -,d3b3
r2qr1k1/pp1nbppp/2p5/3pNb2/3PnB2/2N1P3/PP2BPPP/2RQ1RK1 w - -,a2a3
8/1p1k1r2/2p4R/p1R2P2/P7/1P3K2/2P3r1/8 b - -,g2d2
8/8/1b4p1/4k3/6K1/5PNP/5P2/8 w - -,f3f4
2bB4/N1P5/7p/4K2k/6p1/8/7P/8 b - -,c8d7
2rr4/pp3pk1/1nnR2p1/2p4p/4P2P/5P1N/PPP1B1P1/1K1R4 w - -,c2c3
r2q2k1/2p2rbp/1n3pp1/pp1b4/3PNB2/1P3N2/P1Q2PPP/3RR1K1 w - -,c2d3
Q4nkb/5p2/p3b1p1/2P1p2p/1p2N2P/5P2/1q4P1/3RKB1R b - -,f7f5
8/b4rpk/1q5p/1p6/8/2Q2PP1/PP1RP1KP/8 w - -,c3d3
6k1/5p2/p2b2p1/3q4/2p5/P3B1PQ/5P1P/6K1 w - -,h3c8
6r1/pp2kp2/2q2p2/2n5/5Q2/4P3/P1P2PrP/3R1R1K w - -,f2f3
r4rk1/3b1pp1/3p3q/1p1Pn2N/2P1P3/1P4P1/1Q4BP/1R3R1K w - -,h5f4
r2q1rk1/1p1nbpp1/2n1p2p/p2pPb2/P2P2P1/1N2B3/1P2BP1P/R2QNRK1 b - g3,f5h7
8/7p/1p2k3/1R3p2/P3p2P/4P3/5P1K/r7 w - -,b5b6
r2q1rk1/p3bpp1/4p3/1p1nP1pP/2p1N1Q1/8/PPPB1P2/1K1R3R b - -,c4c3
r4r2/pp1q1pkp/1b3npN/3p4/4n3/1N2BQ1P/PPP2PP1/R4RK1 w - -,e3b6
8/1rP2k2/4p3/2K5/6p1/8/8/8 w - -,c7c8q
4rr1k/2R3p1/1pQn3p/p5N1/2PqpP2/P5P1/1P5P/4R2K w - -,g5f7
r1b1r1k1/p3qpp1/2p2n1p/3pN3/3Pn3/2NBP1P1/P1Q2PP1/1R3RK1 b - -,c8b7
r1q1r1k1/1pp2pp1/3p1n1p/8/N7/PQ4PP/5PBK/1RB2b2 w - -,g2f1
r5k1/1prq1pp1/p2p3p/P2P4/1P2R3/7P/5PPK/3QR3 w - -,d1d4
rnb2rk1/ppp2pp1/4pq1p/8/1bBP4/2N1PN2/PP3PPP/2RQK2R b K -,c7c5:f8d8
r1bq1rk1/3n1ppp/p3p3/np1pP3/1b1B1PP1/1NNB4/PPPQ3P/2KR3R b - -,c8b7
8/R7/4pk2/3p4/8/6P1/PPr2P1P/6K1 w - -,a7b7
rn1qk2r/3bp1bp/2p1P1p1/pp6/8/2N2N1P/PPPQ1P2/2KR1B1R b kq -,e8g8
rr4k1/2p1p1bp/p2qpnp1/P2n4/3P4/Q1N1BP1P/1P2BP2/2R1K2R w K -,e3d2
2k4Q/1p1n4/r7/6N1/2P1br2/8/P7/6K1 b - -,f4f8
5rk1/p4ppp/2n1P3/2qp1p2/1r6/3P1B1P/P5P1/R3QRK1 w - -,g1h1
8/8/5kp1/3pR1p1/2pPp1P1/2P1P2P/8/r2K4 w - -,d1e2
1r6/5n1p/p1kPb1p1/1p6/PP2P2P/2P5/4B3/2KR4 b - -,f7d6
2n5/6kp/1p3rp1/p4b2/1PPR4/P2P2P1/4P1BP/6K1 b - -,f6d6
1r4k1/4bpp1/2n4p/3pPq2/2rP4/4BN2/1Q3PPP/1R3RK1 w - -,b2a2
r1b2rk1/pp3p1p/8/5p2/1R6/1P3B2/P1P2PPP/3R2K1 b - -,a7a5
5n2/p4kpp/q3p3/2PpPp1P/1n1N4/1P3P2/3Q1BP1/6K1 b - -,b4d3
rnbqk2r/pp3pp1/4pn1p/2bp4/8/3PP1P1/PP1B1PBP/RN1QK1NR w KQkq -,g1e2
6k1/1r2p2p/4B1p1/8/1p3P2/3R2P1/3p3P/b5K1 b - -,g8g7
5rk1/p1pR1ppp/1p2n3/6q1/4P3/5QP1/PPP1B2P/1K6 b - -,g5c5
r1b1k3/3n1p2/4p3/2NpP1Q1/1q4p1/8/P3RPPP/2R3K1 b - -,d7c5
r3k2r/4pp1p/pq1p2pQ/3P4/1pbN1PP1/7P/PPP5/1K1RR3 b kq -,c4d5
r4rk1/p4pbp/2pqbnp1/3Pp3/7N/2P3P1/PP3PBP/R1BQR1K1 b - -,c6d5
8/1b2r1p1/pP1k3p/P4P2/2R2KP1/7P/8/8 b - -,b7c6
3r2k1/pq1Rbppp/4p3/1Np1P3/5P2/1PB2bPP/P7/3RQ1K1 b - -,d8d7
1r3rk1/pb3ppp/1p6/2ppq3/8/2P1PQ2/PP3PPP/1BR2RK1 w - -,f3f5
r2bk3/2p2p1p/p1N3p1/2BRPn2/5P2/8/PP2KP1P/8 b - -,d8e7
r1bqk1nr/pppp2pp/8/4Bp2/1bPPp3/2N5/PP2PPPP/R2QKB1R b KQkq -,g8f6
r7/ppp1q1kp/6p1/3nrN2/1P3Q2/2N5/1P4PP/R4RK1 b - -,e5f5
3r2k1/1p1r1p1p/5ppb/1N6/Pp6/1B5P/1P3PP1/3R1RK1 b - -,b7b6
8/4B3/6p1/7p/1kr2p1P/5P2/4K1P1/8 b - -,b4b3
5rk1/pq3p1p/p3bp2/3p4/2rR4/2N1P3/PP2QPPP/3R2K1 b - -,c4d4
r3r1k1/bppq1pp1/p1n1bn1p/3pp3/4P3/1BPP1NNP/PP2QPPK/R1B1R3 b - -,a8d8
3rr1k1/ppp2pbp/8/2q2p2/4p1n1/1PPnP1P1/PBQ1RPBP/1N3RK1 b - -,g7h6
r1bqkb1r/1p3ppp/p1n1p3/2pnP3/8/2PP1N2/P4PPP/RNBQRBK1 b kq -,a8b8
r7/2b2kp1/2p2n1p/1pP2N1P/pP1Prp2/P7/2K2BP1/3R3R w - -,h1e1
2r1r1kb/p4p1p/1pqp1npB/4P3/6P1/2P2PN1/PP1Q2P1/2R1R1K1 b - -,d6e5
2r3k1/3Nnp2/bq2p1p1/p6p/3PB2P/P1p3P1/2Q2P2/3R2K1 b - -,b6b2
8/p5kp/1p1pBqp1/3P4/P1Pp4/4b2Q/1P3r1P/5R1K w - -,f1f2
6R1/6p1/8/4k3/4p3/5r2/4K3/8 b - -,f3g3
8/6k1/8/6P1/5PK1/2bN4/8/8 w - -,f4f5
r1b1r1k1/ppp1qpb1/2n3pp/4p3/4N3/1QP1B1P1/PP2PPBP/R2R2K1 b - -,g8h7
6k1/5p1p/p4n2/8/p1R5/1r3BP1/1P3PKP/8 b - -,a4a3
r2r2k1/2q1bppp/p1bp1n2/1p3P2/1P6/1NN1BQ2/1PP3PP/R2R2K1 w - -,f3g3
2r3k1/1nr1qpb1/p2p2pp/2nPp3/Pp2P3/4B1NP/1P2QPP1/2RBR1K1 w - -,e2d2
1R6/8/8/2P1n3/8/2r1k3/6K1/8 b - -,c3c4
8/r4p1k/2R1p1p1/1r2P3/1P3bpP/2B5/P1K2P2/3R4 w - -,c2b3
r2r2k1/pp2ppb1/1q4pp/2Rb4/1P1P4/Q3PN2/4B1PP/5RK1 b - b3,b6d6
8/5p2/3bk1p1/7p/3BP3/5PP1/2bN1K1P/8 w - h6,h2h4
5r2/1p1qk1b1/2np4/p1p1p3/2P1B1Pr/P2PPP1p/1P1B4/1R1Q1RK1 b - -,g7h6
4q1k1/pr5n/1r1p1npp/2pP4/b1P1pPBP/Q1B1P2N/P2K4/6RR b - -,f6g4
8/7p/1K6/1P6/8/6Q1/4pp1P/5k2 w - -,g3d3
6k1/1p1r2pp/2p1qp2/B3p1n1/4P1P1/1P1r1P1P/P1R2K2/2R1Q3 b - -,d3f3
r1bqk2r/ppp2pbp/1nn3p1/3Pp3/8/2N1PNP1/PP3PBP/R1BQK2R b KQkq -,c6e7
r3r1k1/pppq1pbp/2Np2p1/8/2P1PPb1/2N1B3/PP4PP/R2Q1RK1 w - -,d1d3
2r1r1k1/q2b3p/p2b1p1p/1p6/2PN4/1P1B1Q1P/PB4P1/3R3K w - -,f3d5
8/5p2/1ppb1kp1/4p2p/1PP1P3/5P1P/2N2K2/8 b - -,f6g5
2r1k2r/3bpp1p/p2p2p1/3P4/pnP5/5N2/1P1KBPPP/R1R5 b k -,a6a5
r1b1kb1r/pp1n1p1p/2n1p3/3pP1NP/8/3B1N2/Pq1B1PP1/R2QK2R w KQkq -,a1b1
8/1k2P3/1pb5/p6p/P1K2B2/1P5p/7P/8 w - -,c4d4
7R/5kp1/8/8/4PPK1/r6p/8/8 b - -,a3a4
8/7p/1p1kp1p1/p1p5/P1PrPp2/2R2P2/1P2KP1P/8 w - -,c3b3
8/1Qp3bk/4b2r/1PP1npq1/3R2p1/P5P1/5PBN/3R2K1 w - -,a3a4
3r2k1/6n1/pp3p1p/3n1B2/2pP1p2/P1P2P2/3BR1PP/6K1 w - -,f5e4
r2r2k1/1p1bBppp/pR2p3/3Pn3/7P/2P2B2/P4PP1/3R2K1 b - -,d7a4
3r2k1/p5pp/bb2Rp2/3P4/2p2B1P/P1P2B2/5PP1/6K1 b - -,a6b7
1rq1r1k1/1pp2ppp/p2p4/2bPn3/Pn2P3/1P3PPP/1B1QN1BK/R4R2 b - -,a6a5
8/3N1k1p/3p3Q/p1pP2p1/P3P3/8/1P1q1KP1/8 w - -,f2g1
5b2/1p1n4/p4k1p/4p3/3p1P1R/1P1P2BP/1P4PK/2r5 b - f3,e5e4
8/5R1k/6pP/1r4P1/6K1/8/8/8 b - -,h7h8
4r1k1/2qb1pb1/3p1np1/6N1/1PnPP3/1BB3NP/1p3Q2/4R1K1 b - -,e8e7
2r2rk1/pp4pp/3bq2n/5p1b/3Pn3/2B1PN1P/P2QBPPN/4RRK1 w - -,d2b2
5rk1/1br3b1/1p1q2p1/1QpPp2p/2P1Pp2/3N4/5PPP/1R1BR1K1 b - -,f8f6
6k1/5p2/2q3pp/pp1R4/3Q3P/Pr2P1P1/5PK1/8 b - -,g8h7
2r2rk1/4b3/p2n4/3PnpN1/4p1P1/BNp5/P6P/3RR1K1 b - -,c3c2
1kr5/p3r2p/1p2pp2/1P1q4/P1pP3P/2Q2NR1/5P2/R4K2 w - -,a1e1
8/1p6/p3p3/3pNnpk/1P1P1r2/1P3P1P/5K2/2R5 b - -,f5d4
2r2rk1/p1pb1p2/3n2pb/1p1Pp2p/4P1q1/1P2P1N1/P1Q1BRPP/3N1RK1 b - -,g4g5
6n1/p1r2pk1/1p1q2p1/3pr1Q1/3P4/P2B1P2/1P3KP1/4R3 w - -,d4e5
r1b2rk1/pp1p1ppp/3bpn2/5q2/Q1N5/2P2B2/PP3PPP/R4RK1 w - -,c4d6
8/8/1r2pkp1/1p1p3p/1P5P/2P2PP1/1K6/R7 w - -,b2c2
3rr3/6k1/pp2n1p1/2p1np1p/2P1p2P/NP2P1P1/P3BPK1/3RR3 w - -,a3b1
5rk1/5p1p/1R4p1/3P4/5P2/5NP1/1b3K1P/2n5 w - -,f2e3
8/7p/5k2/1p3P2/pP1N1PP1/P3K3/7P/5b2 w - -,g4g5
r2q1rk1/2pnbppp/2p1p3/p2p4/3PP3/1P3Q1P/PBP1NPP1/R3R1K1 w - -,a2a3
r1bqkb1r/pppnpppp/3p1n2/8/3P4/5N2/PPPNPPPP/R1BQKB1R w KQkq -,e2e4
2r1r3/pbq1ppkp/1p4p1/3p2P1/2PNn2Q/1P6/P3PPBP/2RR2K1 b - -,e4d6
2q3k1/2r2pp1/pprppb2/4P3/bPP2P1p/P2B3P/Q4BP1/2R1R2K b - -,d6e5
2rr4/1b3pk1/1p5N/p3n1q1/3bp3/P3P1B1/1P2BPP1/1R1RQ1K1 b - -,g5h6
5rk1/p2b2pp/1p1Pp3/5p2/3P4/3N4/P4PPP/1R4K1 b - -,f8d8
3r1rk1/pb4p1/1p2R2p/n1p2P2/2P3nq/2PB4/P1Q3PP/R1B2NK1 w - -,c1e3
2r1r1k1/1p1q1pb1/pn4p1/6np/3P1N2/2NQ2PP/PP3PK1/1RBR4 w - -,h3h4
8/6R1/4k3/6K1/6P1/8/6r1/8 w - -,g5h6
6k1/2p2p2/p2p2p1/3P2P1/2q2PK1/P1b2Q2/4r3/2B4R b - -,c3d4
4R3/6pk/p1b1N1p1/1p4Pp/3P2rP/P1P5/1P3K2/8 w - -,e8c8
rnbqkb1r/1p2pppp/p1p5/3p4/2PPn3/2N1PN2/PP1B1PPP/R2QKB1R b KQkq -,e4d2
5n1k/1pq4n/2p1pr2/P7/3PBPR1/7P/6PK/1Q6 w - -,b1e1
8/8/R7/P4k1p/1r3P2/6PK/8/8 w - -,a6a8
r4r2/ppp3k1/7p/1P6/1Ppp1B2/5NPb/1P2Kn1P/R7 b - -,f2d3
2r1r1k1/4b2p/p3p1pB/1p6/2n5/PN3P2/1PP3PP/2KR3R w - -,b3d2
r1bq1rk1/1p1nppbp/p2p1np1/2pP2B1/2P5/2NBPN2/PPQ2PPP/R3K2R b KQ -,a8b8
r4rk1/p1p3pp/2Qbbq2/4p3/8/2NP4/PPP2PPP/R1B1K2R w KQ -,c3e4
r2q2k1/pp3pp1/2p2n2/3p1P2/P2Q1PPn/2N5/1PP1R3/6KB w - -,g4g5
8/PK1B2r1/4Pk2/5P2/8/8/1b4p1/3R4 b - -,g7g8
r1b1r1k1/pp3pbp/2p3p1/3qn1B1/3NpQ2/7P/PPP1BPP1/2KR3R w - -,d4b3
6k1/p4qpp/3p1r2/1ppP2RP/2P2P2/6K1/3BQ3/8 b - -,b5b4
8/3R3p/p5k1/1pr5/3K4/1P4P1/P6P/8 b - -,c5c2
R5k1/5rb1/3p2Np/2r1p3/2n5/6P1/5P1P/3K3R b - -,g8h7
r2r2k1/ppn3p1/4pb2/2p4Q/Pq1PB3/1P1R2P1/1B3P2/5RK1 b - -,c7e8
8/8/2k5/2P5/8/3p3R/4b2P/4K3 w - -,h3h8
8/5pkp/R5p1/1p1q4/3N4/2n3PP/1R3P1K/8 w - -,d4e2
r3k2r/2q1bpp1/p3p1p1/1pPp4/2n5/1QB1PPP1/PP2B2P/1KR4R w kq -,b3d1
b3r1k1/Q1pp2pp/4qn2/P3np2/1BP5/3B1PP1/2N4P/5RK1 w - -,c2d4
2bRrk2/1p3p2/2p2np1/2n2P1p/3RP3/6PP/5BB1/7K w - -,f2e3
r3k2r/ppq2ppp/2n1b3/3pPp2/1P1p1P2/P4N2/2P3PP/R1BQ1RK1 w kq -,c1b2
r2q1rk1/ppp2ppp/2n2b2/8/3P4/P3Bb2/1P2BPPP/2RQ1RK1 w - -,e2f3
1k1r3r/pb3ppp/N7/8/2n2P2/2P1n3/PP4PP/R4RK1 b - -,b7a6
2r2k1r/pp1b1ppp/2n1p3/2qpP3/3p1PQP/P6R/1PP1N1P1/2KR1B2 w - -,d1d2
2rqkb1r/1b3ppp/pn1ppn2/1p6/4P1P1/1NN1BP2/PPPQ3P/1K1R1B1R b k -,f6d7
2r2r1k/3q1np1/2pp1b1p/1p2pp2/1PP4P/1Q1PP1P1/3B1PBK/1R3R2 w - -,c4b5
8/2p1n1p1/3p1k2/8/p1P1BP2/5KP1/PP6/8 b - -,e7c8
r4rk1/pbq2pbp/3p1np1/1P1Pp3/2n5/1BN4P/PP3PP1/R1BQNRK1 b - -,c7c5
rnbqk2r/ppp1bppp/3p1n2/4p3/2P5/3PPN2/PP2BPPP/RNBQK2R b KQkq c3,c7c6
r2q1rk1/1p4pp/p2pNb2/P1pP1b2/6n1/5N2/1PP3PP/R1BQ1RK1 b - -,f5e6
r1b1k2r/pp2ppbp/1qn2np1/3p4/3P1B2/1QPB3P/PP2NPP1/RN3RK1 b kq -,c8f5
2b5/2p1k1pp/p1p2p2/K1P1P3/8/6P1/P3P2P/1N6 b - -,f6f5
4b3/6k1/8/7P/PK2p3/8/8/3B4 b - -,e8a4
4R3/R7/1r1pk3/6p1/1P2pb1p/2P4P/4KPP1/8 b - -,e6f5
2r5/8/1p2k1p1/pP4p1/P1N1P1P1/2K5/8/8 b - -,c8c7
8/b7/5kp1/8/7P/5BP1/6K1/8 w - -,g3g4
1nr3r1/5q1k/pp4pp/3pnp2/P2N4/2PB1Q1P/1P3BR1/R6K w - -,f3d1
r4rk1/5pb1/p2p1nq1/3Pp1NR/1p4n1/8/PPP1B1Q1/1K3RB1 w - -,e2g4
3rr1k1/p1q2pp1/1p3n1p/2pp1b2/7Q/2P1PB1P/PP1N1PP1/3RR1K1 w - -,d2f1
2r3k1/1p2q1pp/p1r5/P1p1p3/2RpPp2/1P1P1P1P/2P3P1/R3Q1K1 b - -,e7g5
2R5/1P6/8/2k1p3/2N2b2/8/6K1/1r6 b - -,c5d4
4r1k1/5ppp/b7/p2r2q1/2pB4/P1P5/5PPP/R2Q1RK1 b - -,a6b7
rn1qkb1r/pp2pppp/2p2n2/3N1b2/2BP4/8/PPPB1PPP/R2QK1NR w KQkq -,d5f6
5rk1/5pbp/8/3RB2p/2p5/2P4P/1r3PP1/4R1K1 w - -,e5g7
2rr2k1/pb1nqppp/1p1bpn2/4N3/2pP4/1P6/PBQNBPPP/2RR2K1 w - -,b3c4
2R5/pr1r1p1k/4p1p1/3Q3p/R2p3P/3B2P1/5PK1/8 b - -,e6d5
2n5/5pp1/5k2/6p1/5PP1/3BK2P/8/8 w - -,f4f5
r2q1rk1/4bppp/bpn5/2npP3/8/P4N2/1R1N1PPP/1BBQR1K1 b - -,a6d3
3qr1k1/1p1r2bp/p1pBp3/4Pb2/PPQ2p2/5BP1/3R3P/4R2K w - -,c4f4
6k1/8/P1R5/5pp1/8/2N1KbP1/8/5r2 w - -,c6g6
5rk1/2qRn1b1/4p1p1/1Qp1p3/2N1P2p/6P1/4BP1P/6K1 b - -,c7c6
7n/6pk/1p5p/p2pNQ1P/P2q2P1/1P3P1K/8/8 b - -,h7g8
rnbqkb1r/2p2ppp/p3pn2/1p2p3/3P4/1BN2Q2/PPP2PPP/R1B1K1NR b KQkq -,e5e4
k1br4/1p1n1p2/p4qp1/2pP4/6P1/2N5/PP3Q2/K3R3 w - -,f2g3
r1bqkb1r/ppp1n3/3p1n1p/3Pppp1/2P1P2P/2N3P1/PP3PB1/R1BQK1NR b KQkq h3,g5g4
2kr4/1pq3Np/p1b1p3/8/4n3/8/PPP1QPPb/R3R2K w - -,g7e6
r3nnk1/1r2b1pp/3p1p2/1q1PpP1Q/p1p1P3/2P1BN1P/RPB2P1K/R7 b - -,a4a3
8/R1b4p/1pk1p1p1/5r2/PB1PKP1P/6P1/8/8 w - -,b4e7
r4rk1/pp1nbppp/2p1pn2/q7/3P4/1P1BNQ2/PBP2PPP/R3R1K1 b - -,f8e8
3q1r2/7k/3p1rn1/1ppP2p1/4N3/7P/1P4Q1/2B1R2K w - -,c1g5
r1bqk1nr/1p3ppp/p1n1p3/2bp4/4P3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq -,g8f6:g8e7:c6b4
r1bqkbnr/pp3p1p/2np2p1/2p5/4PB2/3P2P1/PPP3BP/RN1QK1NR w KQkq -,g1f3
2r2rk1/5ppp/1p2q3/1R6/pp2P3/4P1P1/PP1Q3P/2R3K1 b - -,c8c1
4k3/3p1p2/3Rp1r1/1p5p/r3bP1B/2P3P1/2P1R2P/6K1 w - -,d6b6
r3k2r/pp1n1p1p/1qpbbp2/3p4/3P2p1/4P1P1/PPPNNPBP/R1Q2RK1 w kq -,e3e4
r5k1/3b1r1p/2p2qp1/p1Pp4/R2Pp3/6PP/P3QPB1/5RK1 b - -,d7c8
r1bq1rk1/5p1p/pn1p1npb/3Pp3/4P3/2N5/1P1N1PPP/R1BQRBK1 w - -,d2b3
r2qkb1r/pb1p1pp1/1p2p2p/3nP3/3P4/P2B1N2/1P1N1PPP/R2Q1RK1 w kq -,f1e1
r5k1/B3ppbp/6p1/3p1b2/8/4PN2/P4PPP/3R2K1 w - -,a7c5
8/3nkp2/1p5R/5p1p/rP5P/6P1/4R1K1/8 b - -,e7d8
rnbqk1nr/pp1pppbp/6p1/8/2PpP3/5N2/PP3PPP/RNBQKB1R w KQkq -,f3d4
rn1qk2r/pp2bpp1/2p2n1p/3p1b2/8/3P1NP1/PP1NPPBP/R1BQ1RK1 w kq -,f1e1
r3r1k1/3b2b1/2N3pq/3P1P2/4N3/3P1Q1p/4P2P/1R2R2K b - -,g6f5
3r1rk1/p1p2p1p/bpn1q1p1/1R6/5PPQ/2PB3P/P1P1NR2/6K1 w - -,f4f5
1r3b2/5Q1k/1P4pp/4p3/4P2P/2q1B1PB/5P2/6K1 b - -,f8g7
2br2k1/2q2ppp/p1p1p3/P1NnP3/1rpP1PP1/5R1B/1Q5P/R5K1 w - -,b2f2
1r3rk1/1b1p1ppp/p1n1pn2/q7/4P3/P1NB1PN1/1PP2QPP/R4RK1 b - -,c6e5
8/p5k1/1p5B/2p4p/P7/6PK/1Pq5/3rQ3 b - -,g7f7
1r2k3/4pp1p/R5p1/8/4P3/7P/4KPP1/8 w - -,a6a7
6Br/7P/3p1pK1/5P2/p3P3/1p1kb2R/8/8 w - -,g6g7
r1b1r1k1/3n3p/1Rpq1np1/3p1p2/3P4/2NBP1NP/2Q2PP1/5RK1 w - -,c3b5
2r2r1k/pb4pp/1p2p3/2ppPp2/3P1P1q/2P1P3/PP1Q1RBP/R6K b - -,g7g5
r1bq1rk1/ppp1n2p/3p1bp1/3P1pN1/1PP1Pp2/2N5/P3BPPP/2RQR1K1 w - -,g5e6
r1b2rk1/1p2q1bp/p2p2p1/P1pPn2n/4Pp2/2N4P/1P1NBPPB/R2Q1RK1 b - -,e7g5
2r3k1/5pp1/6r1/1p1pRp1p/5B1P/2P3P1/1P3P2/6K1 b - -,c8d8
2r5/3kb2p/1n2pp2/p1Pp2p1/P5b1/1P2P1B1/4NPPP/R3NK2 b - -,c8c5
r7/8/8/8/3kb3/6KR/8/8 w - -,g3f2
r1bqrbk1/1p3ppp/2p2n2/p2Pp3/2P5/2N3PP/PB1QPPB1/2R2RK1 b - -,f8c5
8/p1rnk2p/5pp1/3Bp3/2N1P3/2P2P1P/P1K2bP1/1R6 w - -,c4a5
6k1/b5p1/8/B4p1p/2R2P2/r3pKP1/7P/8 w - -,a5c3
r1bqkb1r/1p3pp1/p1n1p3/2ppPn1p/P4P2/2N2NP1/1PPP2BP/R1BQ1RK1 b kq -,c5c4
8/7k/7p/p5p1/2R2nRP/1r6/5P2/6K1 w - -,h4g5
rnb1kb1r/ppp2ppp/4pq2/8/2P5/2PB4/P2P1PPP/R1BQK1NR b KQkq -,f8d6
3r1rk1/pb2npb1/1pn1q1pp/1Npp4/2N2B1P/3PP1P1/PP3PB1/1RQ2RK1 w - -,c4d6
r1bq1rk1/pppn1pbp/5np1/4P3/2pP4/3B1N2/PP3PPP/R1BQ1RK1 w - -,e5f6
2rq1r1k/p2b2bp/2npp1pn/1pp2p2/4PPP1/2PP3P/PP2N1BN/R1BQ1RK1 w - -,g4g5
7r/4k3/1p1pnppr/p3p3/P1P1P2P/1PKB2P1/7R/7R b - -,e6d4
r4r1k/pb1nq1pp/1pp1p3/3p1p2/1PPPn3/4PN2/PQ1NBPPP/R1R3K1 b - -,a8c8
3q1r1k/4bbpp/2Q1Rp2/p2r4/PpN5/1P1P2NP/2P2PP1/4R1K1 b - -,f7e6
2b1r1k1/p4pp1/1p1q3p/8/3BP3/1n1P2PP/5PB1/Q3R1K1 w - -,a1a4
1r2r1k1/2qb1pp1/p1p4p/8/B3n3/BPbQ3P/P4PP1/3R1RK1 w - -,d3d7
r2qkb1r/ppp2ppp/2bp1n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,f1e1
6k1/4bpp1/2n1p2p/2p1P3/r1n4P/1N2BNP1/5P2/1R4K1 w - -,e3c5
r1bqk2r/p3npbp/1p1pp1p1/2p5/4PP2/2NPBN2/PPP3PP/R2Q1RK1 w kq -,d1e1
r1bq1r2/1p2n1bk/p1np2pp/2p1pP2/8/3PBN1P/PPPQNPP1/R3RBK1 b - -,g6f5
r1b2rk1/1pn1q1bp/p2p2p1/P1pPnp2/8/2N1P1BP/1P1NBPP1/R2Q1RK1 w - f6,d1c2
