8/7k/R6P/P1r4K/6p1/7P/8/8 w - -,h5g4
3r4/8/8/1p6/2p1N1B1/4K2P/P5k1/8 b - -,d8d3
2r3k1/2qn1pp1/1p3n1p/p2pN3/3P3B/Q1P1RP2/P5PP/6K1 b - -,d7e5
1R4k1/6p1/1P5p/1r6/p2K4/P7/7P/8 b - -,g8h7
1r6/3nkpp1/p3b2p/2p1p3/NpP1P3/1P3P2/P2RBKPP/8 b - -,b8c8
8/5bkp/3N2p1/5p2/8/5BP1/1r3PPK/8 w - -,d6f7
rnbqk2r/p1p2ppp/1p2pn2/3p4/3P1P2/2N2N2/PPP2PPP/R2QKB1R w KQkq -,f3e5
1k1r4/2p5/7p/4R1p1/8/3P4/4PP2/1qQK4 b - -,b1c1
r5k1/1qpn2p1/1p1p1r1p/p2b1p2/7N/2Q2PP1/PP2P2P/2RR1BK1 w - -,e2e4
rnb1kb1r/pp3ppp/2p1p3/q2p2B1/2PPn3/4PN2/PP1N1PPP/R2QKB1R w KQkq -,g5f4
3r1rk1/p1q2ppp/2n2n2/2pp3b/6P1/2P2N1P/PP2BP2/R1BQ1RK1 b - g3,h5g6
5rk1/p2n3p/3qp1p1/2pp2b1/1r3PP1/1P1P1Q1P/P3N1B1/3R1R1K w - -,d3d4
r4rk1/ppq1bppp/2n2n2/2pp2B1/3P2b1/2P2NP1/PP2QPBP/RN1R2K1 w - -,d4c5
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/2P5/5NP1/PP1NPPBP/R1BQ1RK1 b - -,b7b6
8/1p6/p1b3k1/P1Bq2pp/1P3p2/7P/2Q3PK/8 b - -,g6g7
r5k1/3R3p/5p1p/ppb5/2p5/P3PNP1/1P2PK1P/8 w - -,d7d5
3r1nk1/5qpb/pp5p/3n1p2/2pPN3/P1P2P2/2BBR1PP/4Q1K1 w - -,e4g3
2r1qrk1/1ppbnpb1/p2p1np1/P2Pp2p/N3P3/3BBP2/1PPQ2PP/R1N1K2R w KQ -,b2b3
8/8/8/P5pk/1R5p/2r5/6K1/8 w - -,b4a4
8/r5k1/2R1p2p/3pP2p/3P1PK1/8/6P1/8 w - -,g4h5
8/1pR5/5k2/1P1r4/P5p1/6P1/7P/6K1 b - -,d5d4
r2q1rk1/pp2pp1p/6p1/n1pP3P/4P1b1/5N2/P2QBPP1/1R2K2R b K -,g4f3
r1bqr1k1/ppp1ppbp/1nn3p1/8/8/2NPBNP1/PP2PPBP/R1Q1K2R w KQ -,e3h6
2q3k1/5p2/p2Q2p1/3P2np/2Pb4/8/4RP1K/2N2b1B b - -,f1e2
4r1k1/1p3p1p/p2Rb1p1/5p2/5P2/1NP5/PP4PP/7K w - -,h2h3
6k1/7R/2n1N1P1/1p5P/4K3/8/8/7r b - -,h1e1
r2qr1k1/pb1nbppp/1p2pn2/6B1/3P4/3B1NN1/PP2QPPP/3RR1K1 b - -,e7b4
r1b2r1k/2qn1pbp/p1pp4/4p2p/1PP1P3/PNN1B2P/2Q2PP1/2R2RK1 w - -,f1d1
3r4/1p3kp1/p1pnppp1/P6r/1n1PP2P/5PP1/1P1R1K2/2NR1B2 w - -,c1b3
r3kb1r/ppqnpppp/2p5/8/2NP4/2Q5/PPP2PPP/RN3RK1 b kq -,e7e6
3r4/1p4pk/1N1p1q1p/1P1P4/6Rn/7P/5p2/2RQ1K2 w - -,d1d4
r3r1k1/1p3ppp/p3qn2/8/3R4/P1N1Pb2/1P2Q1PP/5RK1 w - -,f1f3
6k1/5p2/6p1/4P3/p4PP1/b1B1p3/b6K/4N3 w - -,h2g3
1r4nr/2p2ppp/2k5/2b5/8/2P2K2/PP4PP/RNBR4 b - -,g8f6
r1bqk2r/1p2bppp/p3pn2/4n1B1/3N4/2N5/PPP1B1PP/R2QK2R w KQkq -,d4f3
3r2k1/2b2p1p/3r2p1/ppnpN3/3R3P/P1P1B1P1/1P3PK1/4R3 w - -,e5f7
5r2/3R4/4bPpk/4P3/3r3p/7P/1PR3PK/8 w - -,d7d4
r4rk1/ppp3pp/5b2/8/2P5/1P1NRb2/PB3P1P/R5K1 b - -,f6g5
2r5/pp3Rpk/4P1np/3N4/3Nn3/8/PPP1K2b/8 b - -,h2e5
1r5k/6pp/4p1nn/3pQ1N1/2b3P1/2P4P/5RB1/3R3K b - -,g6e5
r1bq1rk1/p2n3p/2p1pbB1/3p3Q/5P2/2P5/PP1N2PP/R1B2R1K b - -,h7g6
r3rk2/1pq2p2/2p5/p3p1Q1/P3P3/3R3P/NPP2PP1/4b1K1 w - -,g5h6
4r1k1/1p1n1r1p/pn3p2/2pp1b2/5P1N/BP2P3/P3B1PP/2RR2K1 b - -,f5e4
r2qr1k1/pb1n1ppp/1pp2n2/3p4/2PP4/P2BPPN1/6PP/R1BQ1RK1 w - -,g3f5
1rb2nk1/ppq2nb1/6p1/P4p2/2pr4/2N1N1P1/1P3PB1/R1BQR1K1 w - -,d1c2
r2q1rk1/3nN1pp/p4n2/1p6/3Bp3/6P1/PPP2PBP/R2QK2R b KQ -,d8e7
8/8/r6p/P4k2/R4P2/7K/5P2/8 w - -,h3h4
r2r2k1/pp2bppp/2nq1n2/2p1p1N1/6b1/N1PP1PP1/PP2Q1BP/R1BR2K1 b - -,g4f5
3r1k2/5p2/pn2q1pp/1pp1P3/2n1b3/5N1P/P1Q2PP1/1B2R1K1 w - -,c2e4
r2qk2r/pp2bp1p/2n1b3/3pP1p1/3P1p2/P7/1P2NPPP/R1BQNRK1 b kq -,d8d7
6k1/1p3p2/2pp1qp1/5r1p/p1P5/P4B1Q/1P1R2N1/5K2 w - -,g2e1
r2qkb1r/ppp3pp/4p3/3pPb2/4nB2/5P2/PPP1B1PP/RN1QK2R b KQkq -,e4c5
5rk1/6pp/p7/1p1p4/3B1b2/3R3P/PPP3P1/6K1 w - -,d3c3
2q1kbnr/3b1pp1/p2p3p/1p1B1PP1/3QP3/2N5/PPP4P/2KR2R1 w k -,g5h6
r4rk1/3qb1pp/2p1pn2/2Pp1p1b/1PpP1P2/2N3P1/2QBP1BP/R4RK1 w - -,c2b2
2rr2k1/4ppbp/1R2n1p1/p7/P1PP4/4BN1P/4KPP1/3R4 b - -,c8c4
7k/7p/8/2pRp3/4P3/6P1/2r4P/6K1 b - -,c5c4
r1b1k2r/1p2bppp/pqnpp3/2p5/2P1PBn1/2NP1N2/PP2BPPP/1R1Q1RK1 b kq -,e8g8
6k1/5p1p/pq2b1p1/4p3/2p1P3/2PnbP2/RPB3PP/Q6K b - -,e6c8
1q2r1k1/p4p1p/1p1b2p1/8/4p3/1P1bP1P1/PBQ2P1P/2RR2K1 w - -,d1d3
r4rk1/pp1b2pp/1qn1p3/3pPp2/1P3P2/P1PBN3/6PP/R2Q1RK1 w - -,f1f3
r4rk1/1bq1bppp/p2p1n2/1pnNpP2/2P1P3/5N2/PPB1Q1PP/R1B3RK b - -,f6d5
3R4/5pk1/1R2nbp1/p1p3p1/2P1P3/5KP1/P4P1P/8 b - -,f6d8
5r2/2k5/7r/4p3/2P4p/2KR1B2/2P4P/8 w - -,c4c5
r1b1r1k1/ppqnbppp/2pp1n2/4p1B1/P2PP3/2N2N2/BPP2PPP/R2QR1K1 b - -,h7h6
5rk1/p1P5/3p2q1/1NbPp2p/4P3/1R3P1b/2KN4/R3B3 b - -,g6f7
6k1/6p1/p1rnpq1p/P2p4/1p1P4/1P2Q2P/4NPP1/1R4K1 b - -,d6b5
r3k2r/nppb2pp/p2bpN2/3p4/1P1P1P2/P7/1BP1B1PP/RN1n1RK1 b kq -,g7f6
8/p1p2k1p/8/2p2p2/5B1K/2P2P2/P3r1rP/R7 w - -,a1d1
2qrr1k1/1N3pp1/pQ3n1p/3pp3/bP2P3/2B2P2/3R2PP/2R3K1 b - -,c8b8
7r/7P/p7/3p3P/4k3/1P3R2/P7/3K4 w - -,f3f7
rn3rk1/5ppp/b3p3/R2n4/3P4/6P1/1P1NPPBP/1N3RK1 b - -,b8c6
8/2N2k2/2Pp1p2/p2P3P/P5r1/1PpK4/2P5/8 w - -,d3c3
1rb5/1pn1rkpp/p1pR1p2/5P2/PP2P3/1NN3PP/5K2/3R4 w - -,b3a5
5rk1/R4npp/4Q3/3P4/2P1pp2/1q4P1/5P1P/5BK1 w - -,a7e7
r1bk1b1r/1p1B1ppp/pq1p1n2/2pP4/5B2/N1P2P2/PP2Q1PP/2KR2NR b - -,c8d7
4rqk1/2n2p1p/p2p1Bp1/5r2/P1Qp1P2/7P/6P1/3RR2K w - -,f6d4
r3k2r/pb1n1p1p/1pqPp3/2pn2p1/8/2PB1NP1/PP2QP1P/R1B2RK1 b kq -,d5f6
r4rk1/2q1bppp/p3p3/P2b4/1p1P1nn1/1Q3N2/1P1N1PPP/R1B1RBK1 w - -,b3d1
8/p3r1k1/4pbp1/2p5/P3QP2/2PqN2R/1P1r4/5R1K w - -,e4d3
5k2/2q1r3/3p1rn1/p2Bpp2/1pP2P1p/1P4P1/P3RQ1P/5R1K b - -,h4g3
r2q1rk1/1p1bppbp/p2p1np1/n1pP4/2P1P3/1PN3P1/P1QN1PBP/R1B2RK1 b - -,b7b5:a8b8
2b5/3np1k1/pr4pp/1p6/4N3/7P/PP3PP1/3RR1K1 w - -,e4c3
3q1r2/r1pn1pkn/3p2pp/p2Pp3/1P2P1P1/P3P2P/R1R2QBK/6N1 w - -,h3h4
8/p4pk1/Pr6/6p1/1p6/1R4P1/4K3/8 w - -,e2e3
r2qr1k1/1p2ppbp/2bpn1p1/p3N3/2P1P3/1PN1B3/P1Q1BPPP/1R3RK1 b - -,d6e5
rnbqkb1r/pp3ppp/2p2n2/4p1N1/4p3/1B1P4/PPP2PPP/RNBQK2R b KQkq -,f8c5
r1bqkbnr/pp1p1ppp/4p3/8/3pPP2/2N5/PPPP2PP/R1BQKB1R w KQkq -,c3b5
r2q1rk1/pb1n1ppp/1pp2b2/2P1p3/3P4/5NP1/PPQ2PBP/R1B2RK1 w - -,d4e5
r3k2r/pppb2pp/2nbpq2/3p4/3P4/P1N2NP1/1PPQBP1P/R3K2R b KQkq -,a7a6
7B/7p/7P/2k5/2p2n2/1p6/1P1K4/8 w - -,h8g7
8/p7/2p1k3/1pP1ppn1/1P2P2p/1P2P2P/4KN2/8 w - -,e4f5
8/2R3p1/5p1k/r2B3p/7P/3nP1P1/5PK1/8 w - -,d5b3
r2q1rk1/1b2np1p/pp2p1pb/4P3/2PN2Q1/3B4/PB3PPP/3RR1K1 b - -,d8c7
rnbqk2r/ppp2ppp/3ppn2/8/2PP4/2PBP3/P4PPP/R1BQK1NR b KQkq -,b8d7:e8g8:e6e5
6k1/7p/2P1Q1p1/p4p2/7P/6P1/2q2P1K/8 b - -,g8g7
5n2/1b4k1/r2R1p1p/1qP1r3/1P3N2/2Q2P2/6PP/3R2K1 b - -,a6d6
8/8/3k2K1/1r1P2p1/1p3p2/3R1P1P/6r1/1R6 b - -,g2g3
r2qrbk1/1pp2ppp/p1n1p1b1/3p4/1PPP4/PQ2PN1P/1B1nBPP1/R2R2K1 w - -,f3d2
4r3/5p2/3p2pp/3Pp1k1/1NP1PbP1/p2K1P2/N3b1P1/8 w - -,d3e2
r3r1k1/1p3ppp/pq1n1nb1/2bp4/3N1B2/2P2PNP/PP2B1P1/2QRR1K1 w - -,b2b4
r2r1nk1/1pp1q1pp/p1n1bp2/2b1p3/2B1P2N/1PP4P/PB1NQPP1/3R1RK1 b - -,e7f7
r1b2rk1/pp4p1/7p/2pB1p2/4n3/5N2/PP2RPPP/5RK1 b - -,g8h7
r5k1/ppq1ppbp/2bp1np1/8/2r1P1PP/1NN1BP2/PPPQ4/1K1R3R w - -,h4h5
8/5B1p/5pp1/p1k5/8/2K2PP1/1P4P1/5b2 b - -,f1g2
r1b1kb1r/1p3ppp/p1n1pn2/2P5/2p5/5NP1/PP2PPBP/RNBR2K1 w kq -,b1d2
r1b2rk1/pp2ppbp/2nq2p1/2p5/3PP3/Q1P2N2/P3BPPP/1RB1K2R w K -,d4d5
r1b1r1k1/q2n1pbp/1pp1pnp1/p2p4/P1PP4/1P2PNP1/1BQ2PBP/1N1R1RK1 w - -,f1e1
r1bqkb1r/ppp1p1pp/1n6/4Pp2/1n1PB3/P3B3/1P3PPP/RN1QK1NR b KQkq -,f5e4:b4d5
r1br2k1/pp3ppp/2n2q2/4p3/8/2PB1N2/PP3PPP/R2Q1RK1 w - -,d1c2
3rr1k1/5pbp/p2p1np1/1q6/1p3P2/3QB1PP/PP4BK/1R1R4 b - -,b5d3
8/1pr1k3/p2Rpp2/P1P3Pp/1PP3b1/6P1/1K4BP/8 b - -,f6g5
r1bqr1k1/1p3pbp/n2p2p1/2p1n3/NPPNP3/P3B1PP/2Q2PB1/R3R1K1 w - -,d4b5
rn2r1k1/3n1pbp/p1pQb1p1/8/2p1PPP1/2N4q/PPN1BB1P/3R1R1K w - -,f1g1
4rrk1/pbq1bppp/1p1p1n2/2pP2N1/4P3/P5P1/1PQ2PBP/R1BR2K1 b - e3,h7h6
6k1/5p2/6p1/p4q2/2Q4P/5P2/6K1/8 b - -,f5d7
r2n2k1/rp3p2/4Q1N1/7p/P2p4/4P2P/1R3PP1/1R4K1 b - -,d8e6
3r2k1/pp1r1ppp/2p1pn2/8/2PP1q2/1PQ5/PB3PPP/R3R1K1 w - -,c3g3
r5k1/3b1ppp/1b1Np3/p2n4/7P/P4BB1/1PR2PP1/6K1 b - h3,a8d8
1r6/7k/p5pp/2pq1p2/P3p2P/1PQ1P3/5PP1/5RK1 w - -,f1c1
8/p7/p1k2p1P/r1P5/8/2R4K/8/8 b - -,a5b5
3r2k1/pR3ppp/1b2p3/1p2N3/1P6/6P1/P3PPKP/8 b - -,d8d2
2r3k1/p2q1rp1/1p1B3p/2nP4/6Q1/P3R2P/5PP1/4R1K1 w - -,g4g3
2rq1rk1/1b4pp/3ppb2/ppn1n2P/4PB2/P1N3QR/1PP1NPB1/3RK3 b - -,b5b4
r1bq1rk1/6pp/pp2pp2/8/Pb1PN3/5N2/1P2QPPP/R2R2K1 w - -,e2c4
6nr/2p5/3b4/1p2pPk1/1P1pP1P1/P2P2KP/2R5/R7 b - -,g8f6
8/pN3pkp/2p3p1/8/8/r3P1P1/1n5P/2R2BK1 w - -,e3e4
8/p6p/8/1pN2KP1/7k/P7/8/1n6 w - -,a3a4
r1bq1rk1/1p1n1pp1/p1p2b1p/3p4/1P1P4/2NBPN2/P4PPP/2RQK2R w K -,e1g1
4rr1k/p4pbp/3p2p1/2pP1QP1/1p3P2/7P/PPP4K/2B1RR2 b - -,g6f5
3rk2r/1p2bppp/2p1p3/p1P5/2P1n3/P4N2/1P1B1PPP/R4RK1 w k -,d2a5
1r4k1/3n1p1p/2p1p1p1/2Pp2P1/pr1P1P2/1PK5/P4N1P/1R1R4 b - -,a4b3
3rk2r/pp2ppbp/q3bn2/2PPnp2/5N2/2P1B1PP/PP1Q2B1/3RK1NR w Kk -,d2e2
3n4/1pk2pp1/7p/8/PR5P/1P2K1P1/1r2N3/8 w - -,e2f4
8/2b2k1p/p3p1p1/1pB5/4KPP1/1P5P/P7/8 b - -,c7b8
r4k2/5ppp/p7/1p1np3/3N4/4P1P1/PP3PKP/2R5 w - -,d4f3
8/8/2P1kp2/1K1p1n1P/3P3P/3N1p2/8/8 b - -,f5d4
3r2k1/2R2p2/pN1p1q1b/3Pp1pp/P3B3/B7/4Qn1K/1R3N2 b - -,f6f4
2r3k1/pq3r1p/3p1bp1/1b3p2/4P3/1N1QB3/PPP3P1/2KR3R w - -,d3d5
2kr1b1r/ppq2pp1/2p1pn1p/7P/3P4/5N2/PPPBQPP1/2KR3R b - -,f6d5:d8d5
2r2r1k/1pqbbppp/p1nppn2/8/4PP2/2N1BNQ1/PPP1B1PP/R4R1K w - -,g3h3
4Q1k1/7p/2r2qp1/2p5/8/2P4P/6P1/3R3K b - -,g8g7
1r3rk1/pbpp2pp/2n1pn2/P1p2p2/3P3q/2PBPP2/5RPP/R1BQN1K1 w - -,a1a4
r2q1b2/p1pbnp1k/2p1pBp1/2NpP2r/3P2NP/5Q2/PPP2P2/1K4RR b - -,d8e8
3q1rk1/2pbbppp/2n1p3/1BPp4/3Pn3/2N1PN2/3B1PPP/Q4RK1 b - -,e4d2
r5k1/pp4bp/5pp1/8/5P2/2P5/PP2K1P1/R1B2N1r w - -,c1e3
r7/3k2pp/pRR1p3/4bp2/8/6P1/P4P1P/6K1 b - -,a8e8
r2q1rk1/pp2npb1/2npb1pp/2p1p3/P1N1P3/2PP1NP1/1P3PBP/R1BQ1RK1 w - -,d1e2:f3d2
5rk1/R5b1/2p4p/3p4/3P4/6r1/P1N3P1/5RK1 w - -,f1f8
5rk1/6p1/p3p2p/1pRq4/7P/3NQ1P1/1P2P2K/8 b - -,d5d7
rnbq1rk1/ppp1ppbp/5np1/8/7P/3P1NP1/PP2PPB1/RNBQK2R w KQ -,b1d2
1k1r3r/ppqb1n1p/2n1p1pP/3pP1P1/8/2P4B/P3QP1N/R1B1R1K1 b - -,d5d4
5rk1/3nq1bp/p2nppp1/Pp4P1/1P1Pp2P/1Q2P3/3NBP2/2B1K1R1 w - -,e2g4
1r4k1/5p2/4p1p1/2Q5/2BR4/4P1P1/2q2P2/1R4K1 b - -,b8b1
2k5/5pNp/3p1QpB/1bnPp3/1bq1B1P1/7P/1P3P2/6K1 w - -,e4g2
r2q1rk1/pp1bppbp/n1pp2p1/3Pn3/1PP2B2/2N1P2P/P1QNBPP1/R3K2R w KQ -,c2b3
2k4r/p3bp2/PpB1p3/4P1p1/2nP4/2P3P1/5P1r/R1B1R1K1 b - -,c4a5
r1rb2k1/1qpn3p/3n1pp1/3Pp3/pp2P3/3BBP2/PPRNQ1PP/2R3K1 b - -,f6f5
r2q1rk1/pp3pp1/1n2pn1p/2b3B1/8/1B3N1P/PPP1QPP1/R4RK1 w - -,g5h4
4r1k1/p2r3p/1p3pp1/8/1b6/1P2BN1P/P1R2PP1/6K1 w - -,e3d4
5kr1/p4p2/3Pp1p1/6Pp/5P1P/2r5/1KP5/3R4 w - -,b2c3
1n3rk1/1b1qppbp/3p1np1/1PpP4/2B5/2N1PN2/1P1B1PPP/Q3K2R w K -,a1a2
2rqk2r/1b2b1pp/p2ppP2/1pn1n2P/4PB2/P1N4R/1PP1NPB1/R1Q1K3 b Qk -,e7f6
6k1/7p/6p1/p1p1p3/P1Pr4/1P2R3/6PP/6K1 b - -,e5e4
r1bqk2r/ppp2pp1/1bnp1n2/4p2p/2P1N2P/P5P1/1P1PPPB1/R1BQK1NR w KQkq -,e4c3
2r2nk1/1pq5/p5p1/3P1p1p/4pP1P/4N1P1/1Q4K1/4R3 w - -,e1d1
4r1k1/pp5p/b7/3p1p2/8/2P2P1P/P4P2/4R1K1 w - -,e1e8
8/rb2r1kp/pR2n1p1/P2pPp2/1Np2P2/4P1P1/R6P/5BK1 w - -,b6d6
3rr1k1/2pb2b1/1p4np/pP4p1/3P1p2/N1P4P/1P1N1PBK/R3R3 w - -,d2c4
rn1q1rk1/1p3ppp/p2p1bn1/P1pPp3/2P1P1QP/2N1B1PB/1P3P1K/R4R2 w - -,c3a4
r1b1rk2/1pp2p2/2P3pp/pP2P2n/P4PqN/8/5QBP/R4RK1 b - -,b7c6
8/8/q4kp1/3p1p2/1K1P1P2/1PQ1P3/8/8 b - -,g6g5
2kr4/1p1bbQ2/pqnpppr1/8/4PP2/1NNB4/PPP3PP/R4R1K b - -,d8g8
2b2k2/5p1p/4p1p1/3pP3/1p1N1P1P/1P1P1KP1/n7/5B2 b - -,f8e7
r1b1r1k1/ppp2p1p/2np1p2/2b1p3/2P5/P3PN2/1P1P1PPP/R1B1KB1R w KQ -,b2b4
2r1r3/6pk/1bpN1q1p/p4bp1/P2P4/BB5n/3Q1P1K/2RR4 b - -,b6c7
8/8/3k4/4p1K1/6P1/8/8/8 b - -,e5e4
r1q2rk1/pbp1bpp1/4pn1p/8/1p1PN3/6P1/PPP1QPBP/R1BR2K1 b - -,f6e4
rnb2rk1/p4pbp/3p2p1/qN1Pp1N1/Pp2n3/6P1/1P3PBP/R1BQ1RK1 b - -,e4g5
4r3/2q4k/pr3ppp/1p1pP3/1P2bQ2/1NP4P/1P2R1P1/4R1K1 b - -,f6e5
r4r2/4q1k1/1nn1p1pp/p2pPp2/1ppP1P2/2P2N1R/PP1Q2PP/R4NK1 w - -,f3h4
8/P4k1p/1r2pbpP/5p2/2B5/3R1P2/1P4n1/1K6 b - -,b6b2
3rrnk1/p1q3bp/1pb2pp1/2pNp3/8/PP1P2P1/1BPN1PBP/R2Q1RK1 b - -,c6d5
b2r2k1/p2r2pp/1p1NppB1/2b1P3/8/1P5R/PB3PPP/3R2K1 b - -,h7g6
