8/8/1Kp5/2P5/2k3r1/8/3R4/8 w - -,d2d6
8/7R/4k3/3p4/2r5/5KB1/8/8 w - -,h7h6
5rk1/pp1q1p2/6pp/8/5B2/7P/PP4P1/3R1R1K w - -,d1d7
8/8/5p1k/3p4/4b1PP/4K3/8/3B4 b - -,e4g6
1rb1k2r/4bpp1/p1qp1n2/1p2p3/4P2p/2Q1BP2/PPP1N1PP/1K1R1B1R b k -,c6b7
6k1/6B1/2qp1pp1/p3p3/P5PP/4K3/1PpQ1Nn1/6R1 w - -,e3e2
r1b2rk1/ppq1ppbp/6p1/n7/3P4/1QP2N2/P3BPPP/R1BR2K1 w - -,b3b4
2b1rbk1/pn2qp1p/1pN1p1p1/8/PP1P1B2/2Q1P1P1/5PBP/2R3K1 b - -,e7f6
r1r3k1/3bppbp/1n1p1np1/2pP2B1/1q2P3/1PNN1P2/P2QB1PP/2R2RK1 b - -,b4a5
8/3k1p2/6p1/4P2p/1B5P/3rbP2/4R1PK/8 w - -,b4e1
rnb1k2r/ppppq1bp/4p1pQ/8/2P5/P2P4/1P3PPP/R1B1KBNR w KQkq -,h6f4
r2qr1k1/ppp2pbp/2n1b1p1/4p3/3P4/N1P1PN1P/PPBQ2P1/R4RK1 b - -,g7h6
8/8/7k/4R2p/4p1pP/5r2/5PK1/8 w - -,e5e4
2r3k1/2q3p1/4pp2/p6b/2pPPN2/P4PP1/3Q2K1/2R5 b - -,h5f7
5rk1/pp4p1/2p1r1qp/P2bBp2/1P1Pp3/2Q1P3/5PPP/2R2RK1 w - -,c3c5
3r1rk1/2q3pp/1Nn1bp2/p1P1p3/1p6/P1pPP1P1/5PBP/2RQ1RK1 b - -,c6e7
3r1rk1/1b2nppp/p3q3/1pb1pN2/1Pp1P1P1/2P2QP1/P1B2P2/R1B1R1K1 b - b3,c5b6
8/1R6/4p1kp/4P3/2p5/r5P1/5K2/8 b - -,g6f5
8/p4k2/1pp2bp1/2p1p2p/2P1P3/1P3NPP/P1P2K2/8 b - -,f7e6
8/1r2k1q1/2bbp3/3p1p2/2pP1P2/2N1P3/RP2BK2/Q7 b - -,g7h6
r2r2k1/pb2b1pp/np2p3/1NppP3/2P2q2/PP3P2/1B2Q1PP/1BRR2K1 w - -,c4d5
rnbq1k1r/1p3ppp/p3p3/1NPn4/3P4/Pp3N2/5PPP/R2QKB1R w KQ -,b5d6
4rrnk/p5b1/1p4pp/2pP1b2/P1P5/2q1B2P/3Q2PN/3BRRK1 w - -,h2f3
8/3k3p/p7/1p1Kp3/6r1/6P1/Pb1B3P/2R5 w - -,c1c2
5rk1/pbq3bp/1p1r1pp1/1Pp1p1B1/P3P3/2P3P1/4QPBP/1R1R2K1 w - -,e2c4
8/5pk1/2N1p1p1/P7/1bpP4/4PKP1/8/8 b - -,b4d6
r4r2/pp1q2kp/2np1bp1/2pQ4/2P1PBP1/7P/PP4B1/R4RK1 b - -,a8d8
3r2k1/2pqnbbp/1p1r1pp1/pPp1p3/P1P1P1PB/3PNP1P/2Q1K1N1/R2R4 b - -,d7e8
4k3/1q2bp2/p3p1pp/P2rP3/1pRNQ3/1P4PP/5P2/6K1 w - -,h3h4
6k1/6pp/5r2/2p5/8/2N5/PP1R2K1/R1B1q3 w - -,d2d8
r1bqkbnr/pp1ppp1p/6p1/1B6/3pP3/3P4/PPP2PPP/RNBQ1RK1 b kq -,f8g7
rnb3r1/pp2kppp/2p4n/8/4Pp2/3B1N1P/PPPRN1P1/2K4R b - -,b8d7
1nnr1rk1/1pq2pp1/pp1p3p/1P1B4/P1N1PpbN/2PPQ3/6PP/R4RK1 w - -,e3f4
8/5p2/1r4kp/8/R3NK2/8/8/8 w - -,a4a8
2k4r/1p1r1p2/pRb1p2p/Q3P1p1/2Pq4/P2B2P1/5PP1/3R2K1 w - -,b6c6
2r3k1/R4ppp/p1p1b1n1/2npp3/1B6/3P2PP/P1PN1PB1/6K1 b - -,c5d7
r1r3k1/pp2pp2/2np2p1/2n3Np/q3PPbQ/P2RB3/6PP/1BR3K1 w - h6,e3c5
2rq1k1r/1p3pp1/p4n2/P1b5/N2p1PPp/8/1PP4P/R1BQ1B1K b - -,f6e4
5rk1/pq1bppbp/3p2p1/3n1P2/1prNP2Q/4BR2/PPP3PP/4R1K1 w - -,f5g6
r3r1k1/5pbp/3Bb1p1/2R1P3/2P5/p4N1P/PqP1QPP1/3R2K1 w - -,f3d4
2r4k/1b1n2rp/p3p3/2ppPp2/8/1P1R1N1R/P1P2PPP/7K b - -,c8g8
1r3rk1/4bpp1/2p4p/5R2/p1P5/1P4R1/P3N1PP/q1Q3K1 b - -,a1c1
r1bq1rk1/1p1nnpp1/2p1p2p/p2pN3/Q1PP4/B1P1P3/P4PPP/R3KB1R b KQ -,d7e5
8/8/3k2K1/4R3/5P1r/8/8/8 w - -,g6g5
4k3/8/2pPn1p1/1p2P2p/1P5P/4BK2/8/8 b - -,e8d7
r1bqr2k/5pbp/p2p2p1/1ppPp3/n3P3/2P1BQNP/1PB2PP1/R3R1K1 w - -,c2a4
8/3R4/8/8/8/1K6/3kp3/2r5 b - -,d2e3
2r3k1/3R1p1p/3Np1p1/P7/5P2/2b3P1/6KP/8 b - -,c8a8
6k1/4r2p/2q3p1/pp6/6Q1/2p2RP1/5P1P/6K1 w - -,g4f4
3r3k/6p1/1Q3p1p/7P/6n1/4r3/8/5K2 b - -,d8d1
2q5/1b4kp/pp2pb2/5pp1/P1BPp3/1PN1P1P1/5P1P/5QK1 w - -,f1e2
1r3rk1/3q1ppp/1n2b3/2bpP3/2pN4/6P1/1P2QPBP/R1BR2K1 w - -,c1e3
r1b1r1k1/1p2ppb1/pq1p3p/3P2p1/3N4/1PP3B1/1P3PPP/R2QR1K1 w - -,h2h4
R7/5k2/2rB1p2/2P2P2/5K2/8/2b5/8 b - -,c2d3
2r4k/ppnR2b1/4P2p/1Bp2pp1/4P3/P4PP1/5B1P/6K1 b - -,c7b5
r1b1k2r/2qnbpp1/p2ppn1p/1p6/4PP1B/1NN3P1/PPP1Q1BP/2KR3R b kq -,e6e5
4k3/1r1nb2p/p1p1ppp1/8/1PP2P2/P2NB2P/4K1P1/3R4 w - -,g2g4
r1bqk1nr/pp2ppbp/2n3p1/1B1pP3/3p3P/2N5/PPP2PP1/R1BQK1NR w KQkq -,d1d4
8/4k3/8/4PR2/2r2P2/8/3pK3/8 b - -,c4d4
1r6/1r3p2/RP2k1p1/1R6/3Pp1K1/8/5PP1/8 b - -,e6d6
1r3n1k/2p2rp1/4p2p/3pP2P/1qbP4/1p2Q1N1/1R3PP1/1B1R2K1 b - -,f8d7
r2q1rk1/p1b1n1pp/bpn1p3/2ppPp2/8/P1PP1NP1/1P1NBP1P/R1BQ1RK1 b - -,d5d4
8/1p2pkbp/3p1pp1/1N6/rp3P1B/8/2P3PP/1R4K1 b - -,g7h6
2rq2k1/3n2p1/p1br1B1p/2pNpP2/1pPnP2P/1P2Q1NB/P2R4/5RK1 b - -,d7f6
8/3k1p2/2b1p1p1/3nP2p/5P2/3B2PP/3B1K2/8 w - -,d3c4:g3g4
8/5pk1/2p3b1/1q1p4/p2P4/P1P2PQ1/1r5P/R2B2K1 w - -,h2h4
2q4k/4QRpn/p1p4p/1p1pP3/3P2P1/7P/1P5K/8 b - -,c8g8
8/8/4p1kP/8/8/4K2P/8/8 w - -,e3f4
8/5pk1/1R5p/2pP4/2PbB1pP/3Pq1P1/6QK/3b4 b - -,d1f3
2bqk2r/rp3ppp/p1np1n2/4p3/4P3/1NNB1P2/PPP1Q1PP/2KR3R b k -,e8g8
2rqk2r/pb1nbppp/1pn1p3/3pP3/P2p3P/2PB1N2/1P1N1PP1/R1BQR1K1 w k -,c3d4
r1b2rk1/ppq2p2/2pb1npp/3nN3/N2P1P2/1B5P/PP3QP1/R1B2RK1 b - -,g8g7
r1bqrbk1/1pp2pp1/p1n1pn1p/3pN3/3P1B2/2PBP2P/PPQN1PP1/R4RK1 b - -,d8e7
rnbq1rk1/pp2pnbp/2pp2p1/3P1p2/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 b - -,e7e5
8/8/1q3nkp/2p2pp1/p1P1p3/P1Q3PP/1P2NK2/8 b - -,b6b8
r1bqkb1r/pp3ppp/2n1pn2/3p4/3p1B2/4PN2/PPP1BPPP/RN1Q1RK1 w kq -,e3d4
8/r4kbp/6p1/1p1N1p2/P7/6P1/3RKP1P/8 b - -,b5a4
4r3/4k3/6R1/8/4BK2/8/8/8 w - -,e4d5
5k2/pp3p2/2p1p2p/6bP/8/2P5/PP1K4/6R1 w - -,d2e2
2r2rk1/pp2qpp1/1n2pn1p/8/3P3B/1QP2b1P/P3BPP1/2RR2K1 w - -,e2f3
rr6/3bqn1k/2p1p1p1/ppPpPp1p/3N1P1P/PPQ1P1P1/6R1/2RB2K1 b - -,f7d8
8/1k6/2Q5/3K2B1/8/8/8/8 b - -,b7b8
5N2/2p3p1/1p1knp2/8/5PPP/4K3/8/8 w - -,f8g6
8/8/4P3/4R3/p4P1k/8/r6p/7K b - -,a2d2
r3k1r1/ppqb1p2/2n1p3/3pPn2/5P2/P1pQ4/2P1N1PP/1RB1KB1R w Kq -,h1g1:e2c3
8/5k1p/R5p1/p7/8/8/Pn3P1P/6K1 w - -,a6a5
4r1k1/p6p/1p4p1/3R4/5PP1/2N2q1P/PPP5/6RK w - -,h1h2
r1b1r1k1/pp4bp/2n3p1/4pp2/2PqPP2/3pN1P1/PP1Q2BP/1RB2R1K w - f6,b2b4
4r1k1/1r4bp/p2qp1p1/1p1nN3/2pPRP1B/2P3P1/P1Q4P/4R1K1 w - -,g3g4
r4rk1/p3p2p/2p1q1pP/1p2P3/2pP1RP1/2P5/P4QK1/5R2 b - -,f8f4
r1br2k1/1pq2ppp/p2bpn2/8/1P3P2/P1N1P3/1BQ1B1PP/R4RK1 w - -,a1c1
2N2rk1/1r2p1bp/3p2p1/1P3p2/4n3/4B1P1/q3PPBP/1R1Q1RK1 b - -,f8c8
rnbqk1nr/1p1pppbp/p5p1/8/2PpP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f3d4
r1bqkb1r/1p2pppp/p1np1n2/8/2B1P3/2N2N2/PP2QPPP/R1B2RK1 b kq -,c8g4
6k1/5pp1/2B1p2p/pQ6/Pb3B2/2qb2PP/5P1K/8 w - -,b5b6
8/6pk/7p/p7/6P1/K7/1pR5/6r1 w - -,a3b2
8/8/1p1k1p1p/pb2pBpP/6P1/bP2PP2/P2B4/3K4 b - -,b5a6
4r3/6Pk/p2p3P/2p2q2/1pPb3N/1P1p4/P5R1/7K w - -,h4f5
4r1k1/p1n2q2/1p6/3P1Np1/2p1Pbpp/2B2r2/PPR2PQP/4R1K1 b - -,f7h5
1k2r3/ppp1qp2/2nr4/1B1p2p1/Q2P3p/2P1PPP1/P3RKP1/1R6 b - -,h4g3
1k1r4/1p3q2/pn1b1p2/2pPp1pP/2P1N2p/3P1Q2/PP3PP1/R1B1R1K1 w - -,c1g5
2kr4/p3n1pp/1p2bp2/4p3/8/2PrBPP1/PP3K1P/2N1R2R b - -,d3d7
5r2/p2r2b1/2p1b2k/2B1p1pP/1p2P3/1PpB1P2/P1P3K1/R4R2 b - -,f8b8
1r1r2k1/p4pp1/2bNpq1p/2p5/2P2P2/P4nQ1/1P1R2PP/1BK4R w - -,g2f3
5b2/5pk1/p1B1n1p1/6P1/2K2P2/1N2P3/8/8 b - -,f8d6
3rr3/2Q3kp/1p6/8/8/1P4P1/3p1P1P/6K1 b - -,g7g6
r1b1q1rk/pp2n1p1/2p2n1p/2PpNp2/3P4/B2Q2P1/P3PPBP/1R3RK1 b - -,g7g5
4r2k/1p3rp1/2p2bRp/3pBp1P/pP1P1P2/2P2R1P/P5K1/8 b - -,h8h7
1r2kn1r/4q1bp/p2pp1p1/1p1b1nN1/4NP2/P2B4/1PPBQ2P/2KR2R1 w k -,d2b4
r3brk1/1pnqnpp1/p2p2P1/2pPpN1P/P3P1Q1/R1N5/1PP2P2/4K2R w K -,g4h4
3q2k1/4bpp1/Qp2p2p/n7/3Pb3/P4N2/1B2BPPP/6K1 b - -,d8c7
rnbq1rk1/pp3ppp/4pn2/2Pp4/5P2/3B1N2/PPP2PPP/RN1Q1RK1 b - -,d8c7
8/8/7K/5k1P/8/7r/8/6R1 w - -,g1f1
7r/8/2pnkp2/4p1pP/1Pp1P3/7P/PK1N4/3R4 w - -,d1e1
2r3rk/pp1np2p/3p1p2/3P1P2/q1nB1Q2/2P5/P3B1PP/R4R1K b - -,d7e5
8/8/5K2/3pPP2/8/k7/8/6q1 b - -,g1g8
8/4kppp/r1r1p3/3n4/p7/P3B3/1PR2PPP/2R3K1 b - -,e7d7
2q1rr1k/1p4pp/pP4b1/P1p2p2/2Ppnb2/4PBPP/5P1K/1R1QNR2 w - -,e3f4
rn2kbnr/p1pq1pp1/bp2p3/3pP2p/3P1P2/5N2/PPPBN1PP/R2QKB1R w KQkq h6,d2e3
r3kb1r/pp3pp1/2n1p2p/4P3/2q2B2/5N2/PP3PPP/R1Q2RK1 b kq -,c4c1
5k2/pb3pp1/1p2pn1p/2b1N3/2P5/1P1B4/PB3PPP/5K2 w - -,f2f3
r1b1k2r/1p3pp1/p2p4/4nP2/7p/2P1B3/P3N1PP/3R1RK1 w kq -,d1d6
8/2b5/2P3Bp/1Pk3p1/6K1/6P1/8/8 w - -,g6d3
8/3k1p1p/R5p1/2P5/8/2r4P/5PP1/6K1 w - -,a6a7
r2r1b2/1q3ppk/4pn1p/4N3/2pP1BR1/2P4P/3Q1PP1/4R1K1 w - -,d2c2
5bk1/1pr5/p2p2qp/3Pp1p1/4P1QN/7R/P4PP1/6K1 b - -,g6g7
r4rk1/2q2pp1/2pbb2p/Np1n4/1PpP3P/2P2N2/2QB1PP1/2K1R2R b - -,d5f4
5rk1/1p1b2pp/1q2p1r1/p2pR3/1P1N1P1P/2P1Q1P1/P6K/4R3 w - -,a2a3
rn2kb1r/pp2pppp/2p2n2/3p4/2PP3N/1PN5/1Pb1PPPP/R1B1KB1R w KQkq -,a1a3
1r4k1/p1r1q1pp/Bnpb4/B2b1p2/4p3/2N1P3/PPQR1PPP/3R2K1 b - -,f5f4
r3r1k1/1p2bppp/1p6/pP1q4/P2p4/3P2P1/4PP1P/R1BQ1RK1 w - -,e2e4
8/2q2k1p/2Nbn1p1/3p1pP1/Q4n1P/8/1PP5/1K2R3 w - -,c6d4
8/2n1bb2/2k2p2/pp2pPp1/2p1P1P1/2PB1K2/1PN5/2B5 w - -,d3f1
3q2k1/r4pp1/2p1n2p/p1p1PR1P/2Pp2R1/1P1P4/P7/4Q2K b - -,g8h8
1r4k1/5p1p/1B3np1/8/p1B3P1/P1b2P2/7P/3R3K w - -,d1d8
8/1p6/2p1bk1p/2P2n2/1P3p2/5P1P/1N3K2/5B2 w - -,b2d3
6rr/p2bkpp1/1p2p3/3pP3/1R1N1R2/2PB3P/PnPK2P1/8 b - -,b2d3
r2q1rk1/1b1nppbp/p1np2p1/1p4P1/4PP2/PNN1B3/1PP1B2P/R2QK2R w KQ -,e1g1
rnbqk1nr/p3ppbp/2pp2p1/1p6/3PPP2/P1N1B3/1PP3PP/R2QKBNR b KQkq -,b8d7
r5k1/2q1n1bp/2p1Q1p1/1pB1p3/4P3/P1N3P1/1P4BP/5bK1 b - -,g8h8
8/7p/6p1/3k1p2/2nB4/7P/4KPP1/8 w - -,d4e3
8/4Npkp/b1P3p1/p7/3b4/1P3R1P/4p1PK/3rR3 w - -,e1e2
1r3rk1/p2nppbp/2pp1np1/q1P5/1p1P1P2/1QN1BB1P/PP3PP1/R4RK1 w - -,c3a4
r2qk2r/pbppnp1p/1p2pp2/b7/2PP4/1QN1P3/PP1N1PPP/R3KB1R w KQkq -,b3c2
3r2k1/2qrnpb1/1p2p2p/p1p1P1pP/P1P3P1/2PBRN2/2Q2P2/4R1K1 b - -,g8f8
3rr1k1/1pp2pp1/2q4p/p2nn3/P3B3/BPP3P1/2Q3PP/3R1RK1 w - -,c3c4
8/8/5bp1/5k1p/5R1P/5K2/8/8 b - -,f5e6
3n4/3r4/2p2kp1/2PPppp1/R7/5PPP/B5K1/8 b - -,c6d5
r1b1nrk1/pp1n1pbp/1q4p1/1N6/Pp1p3Q/3P1NP1/4PPBP/R1B2RK1 w - -,c1b2
rnb2rk1/ppp1qppp/4pn2/3p4/2PP4/5NP1/PP1QPPBP/RN2K2R w KQ d6,c4d5:e1g1
5r2/pp2q1nk/1np1b2p/5p2/1b3N2/1P1QNBPP/PB5K/3R4 b - -,e6d7
3r4/2r1k1pp/2n1b3/p1NRPp2/1p3P2/4N1P1/PP5P/1K1R4 w - -,c5e6
1rbqnrk1/2n1ppbp/3p2p1/2pP4/1p2PBP1/5N1P/1PP2PB1/RN1QR1K1 w - -,a1a2
4r1k1/pp3ppp/r3bn2/2b4q/3NP3/P2Q1PP1/4NKBP/R6R w - -,h1d1
2r5/2r1pkn1/p2p1p2/5q2/1p2NPR1/1P5Q/P1P5/1K2R3 b - -,g7e6
1r1q2nk/5pbp/3P4/3P4/N1P2p2/1p3n1P/3RQBP1/6K1 w - -,g2f3
2rq4/p1r1npk1/1pn1p1p1/1Q1pP2p/3P1N1P/P1R2NP1/1P3PK1/2R5 b - -,g7g8
2rq2k1/rp1Nnpp1/p2np2p/3pNb2/1Q1P4/P3P2P/1P2BPP1/2RR2K1 b - -,c8c1
3r2k1/4n1p1/2br1p1p/1pN1p3/2p5/2P3PB/PP3K1P/3RR3 w - -,d1d6
2q5/p3p1kp/6p1/1Q6/8/1P2PP1P/P4PK1/8 w - -,b5e5
1k1r2r1/ppp5/5q2/8/3PQ1p1/2P1R3/5P1K/6R1 w - -,h2g2
2r1k2r/1bp1n1qp/pp6/4Ppp1/2P5/1PB2P2/P5PP/RN2QRK1 b k -,h8g8
2r2rk1/1p1nbppp/pq1pb3/4p1P1/4P2P/1NN4B/PPP2P2/R2QK2R w KQ -,d1e2
8/1p6/p5p1/4k3/P2R4/4p1KP/6P1/8 w - -,d4d8
r3kb1r/ppqn1ppp/2p1pn2/3p1b2/2PP4/1QN1PN2/PP1B1PPP/2R1KB1R b Kkq -,a8c8
1k1r4/3P3r/pp2pp2/1B2b1p1/6P1/P7/1PR2P2/1K1R4 w - -,b5c6
3r4/1p2k1p1/p3p2p/3qnp2/3N1R2/1P2K3/2P3PP/3Q4 b - -,g7g5
r1br2k1/p3n1bp/1p2ppp1/2pP4/2P1P3/3BBP2/P2N2PP/2R1K2R b K -,c8a6
2rq2k1/1p2rppp/p1nRb1n1/8/4PB2/1NP1Q1P1/PP2B2P/5R1K b - -,d8e8
2r2rk1/npp1qp2/p3b1pp/8/PP1N4/7P/2Q2PP1/1BR1R1K1 b - -,e7f6
8/2r1kpp1/2n1p2p/2PpP3/7P/Q7/2P2PP1/6K1 b - -,c6e5
rn1qkb1r/1p2pppp/p1p5/2Pp1b1n/3P4/2N2N2/PP1BPPPP/R2QKB1R b KQkq -,h5f6
r4rk1/1p2bpp1/n2n2p1/B1p5/1p6/1P2P2P/P1B1NPP1/R2R2K1 w - -,e2f4
3k4/8/2B1n2R/2n2rp1/P1N2p2/8/5KPP/8 w - -,c4d6
r3r1k1/ppqn1pp1/2pb1n1p/3p4/3P2bB/2PB1N2/PPQN1PPP/4RRK1 w - -,h4g3
r3qrk1/1ppb2bp/1n1p2p1/3Ppp2/1PP1n2B/2N4P/2QNBPP1/1R2K2R w K -,d2e4
4r1k1/5q1p/1N1Qb1p1/2p5/4Pp2/5P2/6PP/4R1K1 b - -,c5c4
r2r2k1/5ppp/b1p3q1/p2nR3/3B4/P1P2PP1/5QBP/R5K1 w - -,a1e1
r2q1rk1/pbpnbppp/1p2pn2/3p4/2P5/1PN1PN2/PBQPBPPP/R3K2R w KQ -,c4d5
2rq1rk1/pp1n3p/3p2p1/1N1Pbp2/2P1pB2/1P4QP/P4PP1/2RR2K1 b - -,e5f4
r1bqr1k1/ppn2ppp/2pb1n2/3p4/2PN1Q2/2N3P1/PP2PPBP/R1BR2K1 w - -,f4f3
r7/6k1/3p1rp1/4p1Q1/8/qpP5/3R4/1K5R w - -,g5h6
2r3k1/1b3ppp/pp3n2/3PqN2/P3p3/5P2/1P4PP/3RQB1K w - -,f3e4
k2r4/p2q1pp1/1pNPp1p1/8/4P3/1Q5P/PP3Pr1/1KR5 w - -,c6d8
5kr1/1b2rp2/p6p/2pp3P/5RB1/8/PPPK4/5R2 b - -,g8g7
rnb2rk1/1pq1ppbp/p2p1np1/2p5/3PPB2/2PB1N1P/PP3PP1/RN1Q1RK1 w - -,b1d2
r1b1k2r/pp2q1pp/2n1pn2/3pNp2/3P1P2/2PB4/PP1N2PP/R2Q1RK1 b kq -,g7g6
r2q1nk1/1p4r1/p3p3/P5pp/1P1PRp2/1Q3P1P/6PB/5R1K b - -,g7d7
rn1r2k1/ppq2ppp/2bbpn2/8/3P1B2/1BN1QP2/PP2N1PP/R2R2K1 b - -,b8d7
8/8/k5R1/p7/3KP3/5rP1/5P1P/8 b - -,a6b5
2rq1rk1/pp1nbpp1/2p1p2p/P3P2b/3P3n/1N3N2/1P1BBPPP/2RQR1K1 b - -,h5f3
2r3k1/1bb2pp1/7p/pB1p4/P2P4/4QP1P/2R1KPrq/1R6 b - -,c8f8
rnbqr1k1/p3ppbp/2pp1np1/1p6/3PP1P1/2N1BP2/PPPQ3P/2KR1BNR w - b6,h2h4
3r4/ppk1r1p1/2p1pp1p/7P/2PPn3/3NPNnR/PP4P1/2K1R3 w - -,c1c2
1rb3kb/2q4p/1p1p1nr1/pPpP1p2/N1P1pP2/R3B2P/1PQ1B1P1/6RK w - -,c2d1
4r3/p1b1r1k1/Ppp4p/5np1/4N3/2PR1PP1/1P4K1/2B2R2 b - -,e8d8
8/5R2/4P3/3p3p/4kP1P/1P6/P1r5/4K3 b - -,e4d3
3q2k1/r3rbb1/1np2pp1/ppN5/3P4/1P1Q1N2/P2B1PP1/3RR1K1 b - -,b5b4
8/6p1/7p/p4P2/K7/3B2kP/3b4/8 w - -,d3f1
8/8/1p1p2k1/2PPN2p/1P2r3/3R3P/5PK1/8 b - -,e4e5
2b2rk1/1p1p3p/r2Qp3/p6q/2P1N1nP/6P1/PP1R1PB1/5RK1 w - -,d6e7
r1bq1rk1/4bppp/p2p1n2/1p2P3/P2QP3/2N1B3/1PP1B1PP/R4R1K b - -,d6e5
r4rk1/5ppp/bpp5/p2q4/Pn1PN3/8/1P3PPP/1BRQR1K1 w - -,e4c3
1R6/p4k2/2q3pQ/2Pr1b1n/4N3/3N1P2/P1P3PP/6K1 b - -,h5g7
r1b1q1k1/ppp3bp/n5p1/4pr2/2P5/2NB1N1P/PP3PP1/R2QR1K1 b - -,f5f8
8/6pk/p7/1p2r1P1/2p4P/P7/1PPb1RN1/1K6 b - -,c4c3
8/4K3/8/2Pk1p1p/b4P1P/8/P7/8 b - -,a4d1
3k4/1p6/1Pp4p/p1Pb4/P6P/2K2P2/8/7B b - -,d8e7
8/8/5k2/5b2/1NPK4/1P6/1P6/8 w - -,d4d5
