8/8/p5R1/1kp5/8/7r/1K6/8 w - -,g6g4
r3k2r/1p2ppb1/pq1P4/3Q2B1/5P2/1P6/1PP3BP/1K1n3R w kq -,d6d7
8/7p/p2k2p1/1r3p2/K1P5/1P6/P3R1PP/8 b - c3,b5c5
2b3R1/2k2rp1/2p2pN1/2p2P2/p1P3P1/1P6/P4K2/8 w - -,g8e8
4r1kr/p4qp1/4p3/3nB2p/4QP2/6R1/6PP/2R3K1 b - -,h8h7
2kr1b1r/qp1b1ppp/p1n1P3/3NP3/3p4/3B4/PP2Q1PP/R1B2R1K b - -,f7e6
4rbk1/1b1q1p2/p2p2p1/2r3Pp/3BPQ1P/1P2RN2/8/3RK3 b - -,d7e6
r3R2k/6pp/2bP2q1/1pp5/4NR2/7P/1P4P1/3Q2K1 b - -,g6e8
8/6k1/B4Np1/6n1/8/6P1/5P1P/6K1 b - -,g7f6
r2qkbnr/pp1npppp/2pp2b1/8/3P2P1/5N1P/PPPNPPB1/R1BQK2R w KQkq -,f3h4
r5k1/2p2rpp/p4b2/3R4/Np2R3/1P6/1PP2PPP/6K1 b - -,a6a5
6Q1/2kr3p/3p4/p4P2/np3P2/8/PPP4P/1K2b3 w - -,f5f6
1r3rk1/1q3pb1/6p1/Q1R1n3/4PBPp/7P/P1PN4/2K2R2 b - -,e5c6
1r4k1/1P2R3/p2p4/2pP4/1n1b2P1/5B2/8/1R5K b - -,d4g7
rn1q1rk1/pb2bppp/1p1ppn2/6B1/2P5/2N1PN2/PPQ1BPPP/R2R2K1 b - -,a7a6
r2q1rk1/pp2bppp/1nn1p3/3pP3/3P2b1/1B2BN2/PP1N1PPP/R2Q1RK1 w - -,b3c2
1rr5/2pnnk1p/1pb1p1p1/p7/P1NPP1P1/1N1BK3/1P5P/R1R5 b - -,f7g7
2rq1rk1/pb2Bpp1/1p1pp2p/2n5/2P1n3/2N1PN2/PP3PPP/1BRQR1K1 b - -,d8e7
8/1p6/p2k4/P7/8/1r4Pp/R4K1P/8 b - -,d6e5
rnb1rbk1/1p2qn1p/p1pp1pp1/8/P1PNPP2/1PN1B3/3QB1PP/R4RK1 w - -,e2f3
8/Rb1B3p/6k1/2n2p2/P3p1pP/1nN3P1/5P2/5K2 w - -,a4a5
4rbk1/7p/pnNp1Bp1/2pP4/6P1/1q3Q2/5PB1/R5K1 b - -,b3c2
6k1/2p3p1/3p1p1p/8/3Pq2P/2P3Q1/4r1P1/5RK1 w - -,f1f3
5r2/5n2/1qp3pk/3p1bN1/1rB2P1p/p1Q5/P5PP/4RR1K w - -,g5f7
8/p4ppk/2PQb2p/8/2pB4/1p3P2/3q1KPP/8 w - -,f2g3
2kr1q1r/pb1p2pp/npp4n/2b1Pp2/2P2P2/P3N1PN/1PQB2BP/2KR3R b - -,g7g6
3rr1k1/1bp1qpb1/1p3npp/p1n1p3/P3P2B/1NP1NP2/1PB3PP/R2Q1RK1 w - -,d1b1
2r1r1k1/1pp2pp1/1p1q3p/8/2QP4/4P3/P4PPP/R1R3K1 w - -,c4b5
r3kr2/3npp1Q/1qp3p1/3nP3/p2PN1b1/1p3N2/PPP3PP/2KR1B1R w q -,c2b3
5r1k/6p1/6Pp/p7/1p3q2/1P5P/P1P3Q1/4R2K b - -,f4f5
k7/1p5q/p7/P1P5/8/1P5p/K6Q/8 w - -,h2d6
8/5p1k/4bQ2/1p3p2/2r2P2/2P3K1/8/8 b - -,b5b4
8/2b1B3/p7/8/8/7p/P1k5/6K1 w - -,e7c5
3q1rk1/3b1pb1/3p3p/2p1P1pP/3p1P2/P2P2P1/1r3BB1/2RQ1RK1 b - -,d6e5
3r2k1/2p1qppp/2n5/prn1p3/4P3/2P2PPN/1PQN2KP/R2R4 b - -,e7e6
r4rk1/pp3ppp/1b2N3/4n3/4N1nq/PQ5P/BP1B1PP1/R4RK1 b - -,f7e6
r1b2rk1/p1q3bp/1p1p3n/2pPppp1/1PP1Pn2/P1NN1P2/2Q2BPP/2RR1BK1 b - -,g5g4
r2q1nk1/3r2pp/2Rp4/3Pp1P1/4N3/Q5P1/4bPB1/2R3K1 w - -,a3e3
8/1p2k1p1/p3bp1p/3pn3/4P1P1/1Pr2P1P/P1NR1KB1/8 w - -,f3f4
1k1r4/1q2b3/pp6/4PQn1/P2p4/2N5/1PP3PB/R5K1 w - -,c3e2
k4rr1/pp1b1pp1/2n1p2p/3pPn1P/q1pP1B2/P1P2NP1/2PQBP2/R4K1R w - -,f1g2
rn3rk1/1p2ppbp/2p2np1/qP1P4/p2P4/2N1PQ1P/PB3PP1/2R1KB1R b K -,c6d5
1q2Nk2/4r1b1/p5Q1/n1p4P/2P2p2/P3P3/K3B3/1R6 b - -,b8e8
1Qr2bk1/1p3qp1/3pb3/1N2p3/4Pn1p/5P2/PP6/1KNR1B2 w - -,b8a7
1rnr1k2/5ppp/3p4/p3p3/PpB1P3/2PK1PP1/1P5P/2RR4 b - -,c8b6
4rnk1/1q3ppp/3b1n2/3p4/P2Pp3/2B1P3/R1Q1BPK1/5R2 b - -,b7d7
2rr2k1/4Rp1p/N1p3p1/8/3bn3/5N2/P4PPP/5RK1 b - -,e4c3
4k3/1p2P2R/p1p5/3r1r2/1P4K1/4R3/8/8 b - -,f5e5
r2qk2r/pp2ppbp/3p1np1/2pPn3/2P1PN2/2N1B3/PP3K1P/R2Q1B1R w kq -,f1e2
2r2r1k/p4pp1/2b1p2p/4P2P/2Pq1B2/b1np2PQ/P2N1P2/R3RBK1 w - -,f4e3
1rbq1rk1/p3ppbp/2np1np1/8/1pp1PPP1/3PBN1P/PPP1N1B1/R2Q1RK1 b - -,c8a6
8/p2r1kb1/2bP2p1/2P3Bp/r6P/6P1/P4P2/3RR1K1 w - -,d1d3
2N2k2/1Bp4p/1p2p1p1/1Pn3N1/8/4P3/5PPP/b5K1 w - -,b7f3
r2q1r1k/1Qp3pp/3b4/p3p3/8/P2PP1P1/1PRNP1K1/2R5 b - -,d8g5
2r1r1k1/1pqn2pp/p3pp2/2Pp3b/PP1P4/2Q2N1P/5PP1/R1b1RNK1 w - -,a1c1
2qr1b1k/5bpp/1p3p2/Qp6/4P2N/P5P1/3B1P1P/4R1K1 w - -,a5c3
3r2k1/pp4p1/4npb1/3q4/7p/P1Q4P/1B2BPP1/2KR4 b - -,d5g5
r1b2rk1/4npp1/p1pp1q1p/1p2p3/3PP3/2P1NNPn/PPB2PKP/R2QR3 b - -,h6h5
2q3k1/5pb1/7p/pNp1P3/P1P3b1/1P1Q3P/8/3R2K1 w - -,d3d8
5k2/1R3ppp/p1p5/4P3/r4P2/3BK1P1/7P/8 b - -,a6a5
r4rkb/1q2pp1p/2Np1npP/1p1P4/1Pp1P3/2n1B2Q/2B2PP1/1R3R1K w - -,b1a1
r1b1q1k1/p1p2rpp/4pn2/1pPp1p2/3P1P2/2PP2P1/P5BP/1RBQR1K1 b - -,a7a5
r5k1/1p2qpp1/2p1pn1p/4N3/2PP4/1PQ4P/r4PP1/3RR1K1 b - -,e7a3
qr4k1/r3pp1p/3p1bp1/2pP4/2P1P3/6PB/P4P1P/R2QR1K1 w - -,a1b1
r4rk1/pp3pbp/2n3p1/q2Nn3/5B2/1P4P1/P4PBP/2RQ1RK1 w - -,b3b4
b2r3k/p2r2p1/Pp3p2/3np3/2B5/1P2N2P/2P2PP1/3RR1K1 w - -,e3d5
r5k1/3npp1p/1pbp2p1/8/1PP1P3/1R2BP2/r5PP/1R3BK1 b - -,g8f8
r3kbnr/pp1n1pp1/1qp1p2p/3pPb2/3P4/2P2N2/PP1NBPPP/R1BQ1RK1 b kq -,c6c5
2r3r1/pp4qk/3bppbp/3p1p2/3PnPPQ/P2BNR2/1PP1N2P/6RK b - g3,g7f7
1q6/p2knppQ/b3p2p/3pP2P/2pP2B1/P1P1B3/5PP1/6K1 b - -,b8g8
2r3k1/pp3pp1/4p2p/2rnN2P/8/8/PPPR1PP1/1K5R b - -,d5c3
8/6k1/7p/6pP/6P1/1r3PK1/3R4/8 b - -,b3a3
r4n1b/pppq1krp/3p1p2/5PP1/2n1P3/2N2N1Q/PPPB4/2K3RR w - -,c3d5
8/8/1p4k1/2p5/1r3pK1/5P1P/1P2R1P1/8 b - -,g6f6
8/p1r1kp1p/1b6/4PpPP/2p5/R4K2/2r1B3/3N4 b - -,e7e6
1qr1kb1r/5ppp/p2p2b1/1N2n3/5B2/P5Q1/1PP1B1PP/3RR1K1 w k -,b5c3
1r5r/3k1p1p/3pp1p1/2nP4/p1PN4/4R3/1PRK1PPP/8 w - -,d5e6
1r2r3/pp3Qbk/2qP2pp/2p1p2n/2P1P3/5NPP/P4PB1/2RR2K1 b - -,e8d8
r2r2k1/ppq2ppp/4pn2/2b5/5P2/2PQ4/PPN3PP/R1B2R1K w - -,d3e2
r1b2rk1/pp1np1bp/6p1/2pP4/2P1B3/q3B3/P2Q1PPP/2R1K1NR w K -,g1e2
r4rk1/1p2ppnp/2bp1Pp1/p1q5/2P1P3/2N5/PP1QB1PP/R4R1K b - -,e7f6
r1b1kb1r/pp2pppp/2n2n2/1B1p4/1q1P1B2/2N1P3/P3NPPP/R2Q1RK1 b kq -,e7e6
3r1b2/2kn1p2/B1p1p3/p1NpPP2/3P4/Q7/1PPq4/1K5R w - -,c2c3
6k1/5pp1/1B6/3pn3/Bp6/5P1P/Pb4P1/6K1 w - -,g1f1
r1q1r1k1/2p2ppp/p7/1pbbP3/8/2P3N1/PP2QPPP/R1B1R1K1 w - -,c1f4
2r2rk1/1p6/p2p1n1p/P2Pqpp1/2P1n3/B7/1P2B1PP/2RQ1RK1 w - -,d1d3
5rk1/1q3ppp/1r2pb2/Qp6/PPp1P3/8/4BPPP/2RR2K1 w - -,d1d7
2kr1b1r/pbp3pp/2np3q/2p1Pp2/2P2P2/PPQ2N2/2K3PP/R1B2B1R b - -,c6d4
b4k2/6pp/4pq2/NP1r1p2/P4P2/4Q1P1/4P2P/2R3K1 b - -,f6d8
r4rk1/1b3ppp/p3pq2/4n3/P4Q2/3B1PP1/1PPN1K1P/R6R b - -,e5d3
1r5k/1P3ppp/4p3/4b3/Q7/2rp1P2/6PP/1R3R1K w - -,f1c1
5rk1/Q5bp/1p5q/5b2/2r1R3/2P3P1/PP3PB1/R5K1 w - -,e4c4
3r4/5p2/pp3kp1/2pP1n1p/5P1P/PPNR2P1/8/5K2 b - f3,f6e7
1q3rk1/4ppbp/3p1np1/5b2/Q1R5/1P4P1/P3PPBP/3R2K1 w - -,d1c1:c4b4
8/1p3k1p/pbpnRqp1/5p2/P2p1P2/3P1BP1/1PPB2KP/5Q2 b - -,f6e6
r2q1rk1/1p1nppb1/p2p2p1/2pP3n/2P1PPNP/2N5/PP2Q3/R1B1K2R w KQ -,h1h3
8/7p/2k4P/P1B5/1P4p1/3K4/r4P2/8 b - -,c6b5
3r4/p2r1kpp/np2np2/3N4/2P2P2/1P2B3/P5KP/3RR3 w - -,f4f5
8/pp3kpp/2b5/5p2/8/1P2KPP1/P5BP/8 b - -,f7f6
r1b1r3/1pqn1p1k/2pp2pp/pP6/2P1n3/N3PN2/PQ2BPPP/1R3RK1 w - -,f1d1
2r3k1/1R6/6PK/8/8/8/8/8 b - -,c8a8
r4r2/1bq1ppkp/p5p1/Pp1p4/1Q6/2P1P2P/1P2BPP1/R4RK1 b - -,a8c8
8/7B/8/4k1P1/8/4n1P1/4P2K/2r5 w - -,g3g4
r1b2rkb/ppp1q2p/3p4/3Ppp1P/2P5/2NB1P2/PP1Q3P/R4RK1 b - -,e7h4
8/4k3/1p4p1/pB1p1p1p/Pn3P1P/1Pr1P1P1/1R2RK2/r7 b - -,c3c1
r1bqnrk1/pp4bp/n2p2p1/2pPpp2/2P1P3/P1N5/1P1NBPPP/1RBQK2R w K f6,b2b4
r2q2k1/ppr2pb1/4bnpp/1BB5/8/2N2P2/PP4PP/R2Q1RK1 w - -,d1d8
2rq1rk1/4b1p1/p1nBp3/1pPp1pp1/1P6/PQ2P3/2R1NPPP/3R2K1 w - -,d6e7:d6g3
8/1p1b1n1k/pP4pp/3p1p1P/3P2P1/4B3/1PB2PK1/8 w - -,g2g3
r4rnk/1pqb2bp/n2p2p1/p1pPppB1/2P1P2P/PNN5/1P2BPP1/2RQ1RK1 w - f6,h4h5
r1bq1rk1/ppp1npbp/2np2p1/3Np3/2P1P3/1P3N2/PB1PBPPP/R2QK2R b KQ -,c6d4
r4rk1/pb2bppp/1pn1p3/3q4/3P4/2P2N2/P1B2PPP/R1BQR1K1 w - -,c2e4
6k1/1b4n1/p1p4p/Pp1qPpp1/1P2pP2/2B1P1PP/3Q3N/6K1 w - -,d2d5
6k1/2n2pp1/p7/2B5/1Pp5/3n1P1p/3bN2P/R6K w - -,c5d6
1r6/p1q1b1kp/3p1np1/2pPp3/2P1Pp2/P6P/2QBKPP1/1R1B4 w - -,e2d3
rnbqk1nr/pp2bppp/4p3/2Pp4/4P3/3B4/PPPN1PPP/R1BQK1NR b KQkq -,g8f6:b8d7
rn1q1rk1/pb2b1pp/1pp1p3/3pN3/2PPpBQ1/2N1P2P/PP3PP1/R4RK1 b - -,f8f5
8/5p2/4p3/1p6/pP1pk3/8/3K4/8 b - -,d4d3
r2q1rk1/pb3ppp/1p1ppn2/8/2PPN3/P2n1N2/1P2QPPP/R2R2K1 w - -,e4f6
r1b2rk1/1p4pp/p3p3/2b2pq1/2P1B3/5Q2/PB3PPP/3R1RK1 w - f6,b2c1
8/8/1pr3k1/p2R4/5Pp1/5K2/PP6/8 w - -,f3g4
2k4r/ppnr1p2/2p1pn1R/8/P1PP4/1P2BP2/2K1B3/7R b - -,h8h6
3r3k/3r2p1/4Nn1p/1R2pPn1/P1P5/6K1/6B1/R7 w - -,e6d8
8/5p2/3k3p/pp3p2/2pP4/P1KbP1P1/3N1P1P/8 w - -,d2f3
3q1r2/r3bpkp/p5p1/4N3/1PB1b3/P3P2Q/6PP/2R2R1K b - -,e7f6
rr6/5b2/2pp1k1p/p4p2/3P1NpP/2K1P1P1/P1P2P1R/6R1 b - -,f7a2
q2r2k1/1b2bppp/3ppnn1/8/Np2PP2/1P1QB1PP/P3N1B1/2R3K1 w - -,e3d2
rq3rk1/1p2bpp1/pBnpbn1p/P3p3/4P3/2NQ1N2/1PP1BPPP/R4RK1 w - -,a1a4
r1bqk2r/pp1nbpp1/3p1n1p/2p1P3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,d7e5
q4rk1/1b2bp1p/p3pp2/2n5/Pp6/1N2PN2/1PQ1BPPP/R5K1 b - -,b7e4
8/2br4/p3k3/1p1p1p2/1PrB1P2/P3P2K/8/2RR4 w - -,d1g1
r1r3k1/1p2bppp/3p1n2/q2bp3/2P1P3/P3BP2/3QB1PP/R4RK1 w - -,c4d5
2r3k1/pp2bpp1/8/4P1qp/8/3P4/2N2QP1/2KR4 w - -,d1d2
8/1p3kp1/2nbp3/3p3p/p2P3P/P4NP1/1Bb2P2/5BK1 w - -,f3e1
r1bq1rk1/1p2ppbp/p1np2p1/8/2P5/1PB2NP1/P3PPBP/R1Q2RK1 b - -,g7c3
r3k2r/3nnppp/p1b1p3/1p2P3/2pB4/5N2/PP3PPP/R2BK2R b KQkq -,e7g6
2B5/4bk1p/5p2/1bn2P1p/2RKP3/2B3P1/2r5/8 w - -,c4b4
r1b3k1/ppq4p/1nnbprp1/1B1p2B1/3P4/P4N1N/1P3PPP/R2Q1RK1 b - -,f6f7
7n/8/1p6/1kpP2P1/p3N3/2K5/8/8 b - -,h8g6
r3r1k1/pp1qbppp/2n2n2/3p4/N7/4BBPP/PP2PP2/2RQ1RK1 w - -,f3g2:g1g2
r1bqr1k1/pppn1ppp/1n1p1b2/3N4/4P3/1B2BN1P/PPPQ1PP1/2KR3R b - -,b6d5
8/5pkn/2q5/3Q1P1p/2B2P1P/6PK/8/8 b - -,c6d5
r2qk1nr/1bpnppb1/p2p2p1/6Np/Pp1PP2P/2N1B3/1PPQ1PP1/R3KB1R w KQkq -,f1c4
r1b2rk1/4bppp/pn2pn2/4q3/3N4/2N1B3/1PP1B1PP/R2Q1RK1 w - -,e3f4
3r2k1/5pbp/2b3p1/1pN5/2n5/1N5P/1P2RPPK/2B5 b - -,g7e5
4n2B/8/3p4/2pP1pk1/2P1p3/1b2P3/5K2/5B2 b - -,e8f6
r7/3k1b2/6p1/2pq3p/7R/1P3Q1P/P4PP1/6K1 w - -,f3e2
4rr2/1pp2kp1/p4p1p/3Rp2P/8/2P3K1/PP4N1/4R3 w - -,e1d1
2r2rk1/1p3pp1/p2p1n1p/b1q1p3/3nP3/2N4P/1PPB1PP1/R2QRNK1 w - -,b2b4
8/8/1p6/p1p1p3/P1PbPp1p/1P1N1P2/6Pk/5K2 w - -,d3c1
5rk1/2p3qp/1p1p2pR/pP1Pp1P1/2P1P3/5r2/P1KBQ3/7R w - -,h6h7
bn3rk1/2p2ppp/8/4N3/1P2n2b/NB6/1P3PPP/2B1R1K1 w - -,g2g3
8/8/p5k1/P5p1/1PpB1PK1/2P5/r7/8 b - -,a2d2
r1b2rk1/pp1n1pbp/1qp1p1p1/3p4/2PP4/1Q3NP1/PP1BPPBP/2RR2K1 w - -,b3b6
1kbB3r/8/3b3p/3p2p1/3P4/PR4P1/5P1P/4R1K1 b - -,b8a8
3rkbnr/ppp2ppp/2n5/4P3/2B3b1/4PN2/PP3PPP/RNB1K2R b KQk -,c6e5
4b3/4b3/7p/2pPk1p1/1pP3B1/1P2K2P/5N2/8 b - -,e8g6
5rk1/1p2p2p/p3R1p1/3p4/1B1N4/P2n2P1/5PKP/2r5 b - -,f8f2
2r2r1k/p2B3P/1p5R/2bpP3/3p4/3n4/PP6/1K1R4 w - -,d7c8
br2r1k1/2q2p1p/pp1p2p1/2n1b1P1/Pn1BPN2/1PN5/2PR1QBP/5R1K b - -,b8c8
3r2k1/pp3ppp/2q1pb2/8/b3PB2/PP3Q2/5PPP/1R1B2K1 b - -,a4b5
r3r1k1/1p4bp/p2p2b1/3Pp1B1/2P5/q5NP/3Q1PPK/2R2R2 w - -,g5h6
3rr1k1/1p2b1pp/1np1p3/p1p1P3/P3NP2/5NPP/1PP5/R3R1K1 w - -,g1f2
2r5/2P4k/p3p1p1/1p2P3/3R4/7P/P5PK/8 w - -,d4d7
8/R1r1b1k1/3p4/3Ppnp1/6N1/7P/5BPK/8 b - -,e7d8
1qr1r3/1b1n1p1k/pp1pp1nb/8/2PNP2p/1P2NP2/P2Q1BP1/3RRB1K b - -,d7f6
r3r1k1/1b3pPp/p3p3/6q1/8/2N5/PPQ4P/1K1RR3 w - -,e1g1
r3k2r/2qbpp1p/pn1p2p1/1p1Pb1B1/1P2P3/7P/2PQBPP1/1R1NR1K1 w kq -,f2f4
r5k1/3q2bp/4ppp1/2pb4/8/2B2N1P/1PP2PP1/3QR1K1 w - -,d1e2
6k1/p2qppbp/3p1np1/8/3P4/1Q3BP1/PP3P1P/2B3K1 b - -,h7h5
5rk1/R3Kp2/8/5P2/p1r4p/P6P/8/3R4 b - -,c4e4
2k1r1r1/pp3p2/8/n4n2/2pP4/P1P1BB1p/2R2K1P/7R w - -,e3f4
2rr4/p4ppp/2k5/8/2PR4/5P2/P4P1P/3R2K1 b - -,d8d4
8/8/5k1p/4N1p1/6P1/r4pKP/3n1P2/4R3 w - -,e5d7
8/8/3k4/1r3p2/8/2p1P1P1/5PK1/2R5 b - -,b5c5
8/r6k/p1p2rp1/PpNq4/1P1PpP1P/4P1R1/4Q2K/8 w - -,e2g2
8/8/P3R2p/6pk/8/r7/5K2/8 w - -,e6b6
6k1/5p2/2b2b1N/8/p7/2r1BPP1/5K1P/3R4 b - -,g8h7
r1b2rk1/p4ppp/1pp2n2/2n1p1B1/P3P3/2N5/BPP2PPP/R3R1K1 b - -,f8d8
r1r3k1/pp3ppp/2n1b3/q2NPp2/4n3/1B2QN2/PPP3PP/1K1R3R b - -,a5c5
1k1r4/1n5p/5R1p/4p3/1PB3P1/2N2P2/3r4/2K5 w - -,f6h6
2b2rk1/2R2pp1/p2p4/nr6/1p1P4/1P1q1BP1/PB2RPQ1/6K1 w - -,c7c1
2kr3r/pppqn1pp/2n2p2/3p3b/3P1B2/3B1P2/PPPQN1PP/2KR3R w - -,h1e1
2r5/p7/P1r1pkpp/R1pnRp2/1p3P1P/1P1P2P1/2PN1K2/8 w - -,d2f3
2r1r3/1p3nkp/3ppqp1/pPn5/2BQ1PP1/4N3/PP5P/1R3RK1 w - -,d4f6
4r3/p2b4/1p4k1/3Pn3/5Q2/5p2/PP3P2/6K1 b - -,d7f5
r1b2rk1/pp2q1b1/2p2np1/2n2p2/1PPNp2p/P1N1P1PP/2Q2P2/1RBR1BK1 b - -,c5e6
5k2/2b1qPp1/2Q1P1p1/p7/8/1P4PK/4B3/8 b - -,g6g5
rnb1kb1r/pp3p2/3p1qpp/2p1p3/3PP3/2PB4/PP2NPPP/RN1Q1RK1 w kq -,b1a3
r1bqkb1r/p2p2pp/2p1p3/3nPp2/4N3/8/PPP2PPP/R1BQKB1R w KQkq f6,e5f6
4r1k1/p1rbqpp1/1ppn4/3p2b1/1P1P4/PNR1PPp1/3B2QP/1R3BK1 w - -,h2g3
rn1qk2r/pp2bppp/3p1n2/2pPp3/2B1P3/1PP2Q1P/PB1N1PP1/R3K2R b KQkq -,e8g8
2rq1rk1/1p2bppp/p2pb3/3Np3/2P1P3/3QB3/PP3PPP/R3R1K1 w - -,b2b3
2r1r3/pp1q2kp/4npp1/3P4/4PP2/1Q4P1/6BP/B3R1K1 b - -,e6c5
2r2rk1/1b1q1pbp/p2ppnp1/1p1PP3/1Q6/1PN3P1/P2N1PBP/2R1R1K1 b - -,d6e5
r2q1rk1/pp1n1ppp/2p2n2/5p2/PbBP4/2NQP3/1P3PPP/R1B2RK1 b - -,g7g6
r2r2k1/3P1pp1/2B1n2p/8/1p6/P3BP2/8/3R1K2 w - -,c6a8
r2r2k1/p1q2ppp/1p2p3/1P2n3/P2NQ3/b3P2P/5PP1/R4RK1 w - -,a1a3
2br2k1/rpqn1pbp/3Np1p1/pP4P1/2Pp1p2/B2P4/P5BP/1R1Q1RK1 w - -,b5b6
2b1rr2/2pnq2k/1p1p2pn/pP1Ppp1p/P1P5/N1Q1PP2/1B4PP/3BRRK1 w - -,a3b1
7k/1K6/8/2P1Q1P1/1Pq4P/8/8/8 b - -,h8g8
2r1r2k/5p1p/3q3n/3p4/1P6/2PB2RP/P4Q1K/4R3 w - -,f2d4
4r3/3r2kp/p5p1/1p6/3p1R2/P5P1/1PP3KP/5R2 w - -,f1d1
1n1r2k1/1b3ppp/pp5r/3P1B2/P2PR2q/1pN4P/3Q1PP1/2R3K1 b - -,h4f6
8/8/8/4k1p1/5p2/5PK1/3r4/R7 w - -,g3h3
r1bq1rk1/bp3p2/p1np1n1p/4p1p1/4P2B/1NPB4/PP1NQPPP/R4RK1 w - g6,h4g3
5rk1/pp1b1r1p/1q2p1p1/3p1n2/3P4/2N3P1/PP1QRPBP/3R2K1 b - -,b6d6
r1bq1rk1/1p1n1pbp/2pp1np1/p3p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 w - a6,c1e3:d4e5
5k2/5p2/4p3/2r1P1p1/6Pp/5P1P/4RK2/8 b - -,f8e7
3r1r1k/1pq1bpp1/2p4p/2P1pP2/pP1p2P1/1Q1P3P/5PB1/R3R1K1 w - -,a1a4
r3k1nr/pppq1p1p/2n3b1/1N6/3P2p1/8/PPP3PP/R1BQKB1R w KQkq -,c1f4
3k3r/p1prbpp1/1p2b3/2p1P2p/6P1/P1N2PBP/1PP3K1/3RR3 w - -,c3e2
8/ppb4k/2p2p1p/2P3rq/PP1PPRp1/6N1/3Q1P1P/5R1K b - -,h5h3
r5k1/4ppb1/3p3p/2pP2pP/4P3/P1NR4/1r3PP1/4R1K1 w - -,a3a4
6k1/BR6/r7/3N4/2PK3p/1P3r2/8/8 w - -,a7b8
