1R6/8/5p2/3pk3/7P/3r3P/5K2/8 b - -,d3h3
6k1/1pp2p1p/p3b1P1/8/3rP3/1P3P2/P3B1P1/1K5R b - -,h7g6
r3r1k1/1pp3pp/4N1b1/p2Pb3/P1QP4/2N2q2/KP6/6RR b - -,g6d3
2B5/4k3/5p2/p7/1p6/1PR5/PKP5/3r4 b - -,b4c3
8/p4pk1/2P2bp1/4q3/2Q5/6P1/P5KP/5R2 w - -,c6c7
r2q1rk1/pppb1pbp/2np1np1/8/2P1P3/2NB1P2/PP1QN1PP/R1B2RK1 w - -,b2b3
2rqr3/5pkp/2n3p1/p1Qn4/8/P3PBP1/1P5P/1R1N1RK1 b - -,d5e3
r1b3qk/4Q2p/p7/1p1Np3/4P3/1N1P4/PP4PP/6K1 b - -,c8g4
r3k2r/2qnppb1/2p1bnp1/1pPp4/p2P2p1/2NNPP1P/PPQ3B1/R1B1K2R w KQkq -,h3g4
r4rk1/1bq1bpp1/1p2p2p/p1nnP3/8/P4NN1/1PQ2PPP/RBBR2K1 b - -,g7g6
r2r2k1/1p2bppp/p1nqpn2/7b/QP1P4/P1N1BN1P/4BPP1/R4RK1 w - -,f1d1
3r3k/1q5p/3r1Npb/Q1p2p2/3pP3/PP1R3P/5PP1/3R3K w - -,e4e5
8/4r1kp/R5p1/p1pB4/2P4P/1P4P1/P2b1K2/8 w - -,a6c6
r5k1/4pp1p/2Pq2p1/r1pP4/3bQP2/5B1P/6P1/1R3R1K w - -,f1e1
8/p2r1ppk/2p1p3/R2b2p1/3P4/1P3P2/P4KPP/3R4 b - -,h7h6
r1bq1rk1/pp3ppp/2n1p1n1/2PpP3/1b4Q1/2NB1N2/PPPB1PPP/R3K2R b KQ -,b4c5:d8c7
r2qk2r/1b3pp1/p1pbpn1p/8/2PP4/3B1N2/P3QPPP/R1B2RK1 b kq -,a6a5
r2q1rk1/pp3ppp/4p1n1/2bpP3/7n/2PB1N2/PP1B1PPP/R2Q1RK1 w - -,f1e1
1R6/5pkp/3p1np1/P3p3/r2bPP2/7P/2PR2PK/8 w - -,f4e5
r4rk1/p2bppbp/1p4pn/8/4q3/1QP1BN2/PP3PPP/R3KB1R w KQ -,b3c4
2r2rk1/1bqn1p1p/p2p2pb/1p1P4/2PN4/PP3N2/2Q1BPPP/3R1RK1 w - -,g2g3
6rk/p1Q5/7P/2pP1q2/2P1n3/8/PP3P2/K3R3 b - -,e4f2
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,f8b4
r1bqk2r/ppppnpbp/2n3p1/8/2Pp4/1P2PN2/PB3PPP/RN1QKB1R w KQkq -,f3d4
2r2rk1/p3npp1/bp2p2p/8/2PN4/8/PP2BPPP/R4RK1 w - -,b2b3
1r4k1/3bpp1p/1q1n2p1/2pPp3/2P1P3/1r1QNB1P/5PP1/R3R1K1 w - -,d3d2
5rk1/pb1Q2p1/4p1Pq/2b4p/5p1N/7P/P6K/4R3 b - -,h6g5
r3r3/5pk1/p1pq1bp1/1p1p4/P5N1/2PQ3P/1P2RPP1/R5K1 w - -,a4b5
8/8/1K4p1/2r5/2P1k2p/7P/2R3P1/8 b - -,c5c8
2r1r1k1/5p1p/pR1p2p1/2nq4/4p3/2P1B1QP/1P3PP1/R5K1 b - -,e8e6
3rr3/2pn2kp/p2pnpp1/6P1/1p2P1NP/1Pq2P2/P1P5/2BRQR1K w - -,e1f2
3r4/R1pk1ppp/5n2/1b6/8/4PB2/2r2PPP/3NK2R w - -,a7b7
r2qk2r/pp1nbppp/2ppbn2/4p3/2P5/1PN1P1P1/P2PNPBP/R1BQK2R w KQkq -,e1g1
1q3rk1/pp1bppbp/3p1np1/8/2rNP1PP/2N1BP2/PPPQ4/1K1R3R b - g3,f8c8
1r3rk1/pb3q1p/n2p2p1/1p1Ppp2/1P2P3/6PB/PQRN1P1P/2R3K1 w - -,f2f3
5bk1/pp3p2/2p1b1pp/q3p3/2P1P1P1/1PN4P/P3QPB1/3r2K1 w - -,c3d1
r1qr2k1/1b3pbp/4pnp1/1pn5/N4B2/3Q1N1P/PP3PP1/2R1RBK1 w - -,d3b5
rnbqkb1r/pp2pppp/5n2/2p5/2N5/5N2/PP1PPPPP/R1BQKB1R w KQkq -,g2g3
2r2r2/p2bq1kp/2pp2p1/4p3/2P5/PP2N3/1R3PPP/3Q1RK1 b - -,c8d8
2r1r1k1/p4pp1/1p3q1p/1Pp5/2Ppnb1P/5N2/PQ3PB1/3R1R1K w - -,f1e1
r1b1kb1r/ppn1pp2/2p1nP2/q2pP2p/3P4/2NB1N1P/PPPQ1B2/1K1R3R b kq -,c7a6
8/8/4bp1p/2pk1p2/5P2/3KP1PP/8/3B4 w - -,d1f3
8/2bk2p1/2p1p1Pr/1pPpP3/1P1P1PK1/8/5B2/R7 b - -,h6g6
2r3k1/p1rnqpp1/1p2p2p/1Ppb4/2N5/P2PP2P/1QR2PP1/2R2BK1 w - -,a3a4
1r1q1rk1/1pn1ppbp/p2p1np1/2pP2B1/2P1P3/2N4P/PP2BPP1/R2Q1RK1 w - -,a2a4
8/3B2p1/2Pk2p1/8/5K2/4P2P/8/5r2 w - -,f4e4
3R2k1/P7/8/8/1b6/4K3/r7/8 b - -,g8f7
1r4k1/5ppb/2Pp1n1p/1p1Pp3/4P1P1/1R1B1P1P/2Nq4/4Q1K1 b - -,d2e1
r1b2b1r/p1p2kp1/2P2n1p/1p2p3/8/5P2/PPPP1P1P/RNB1KB1R b KQ -,a8b8
2rq1rk1/p4pbp/1pn3p1/3P4/5B2/1P4P1/P3PP1P/2RQ1RK1 w - -,c1c6
r3k2r/pb1nqpp1/1pp1p2p/3pP2N/3P2PP/P1QB1P2/1PP5/2KR3R b kq -,g7g6
3qr1k1/5pbp/rpp2np1/p2p1p2/3P1N2/2P1PPQ1/PP4PP/R2NR1K1 b - -,a6a7
1r4k1/2pqnpbp/2n1p1p1/r1Pp4/R2P1PP1/2N1B3/2Q2PBP/3R2K1 b - -,c6b4
2k2r1r/ppp1p1bp/1n1qp1p1/3p4/2nP1P1Q/1BP2N2/PP4PP/R1B2RK1 w - -,b3c2
6k1/1p1b1p2/p5p1/4Q1P1/1q1P3K/1P3B2/P6P/8 w - -,h4g3
7k/p5bp/8/8/8/4P3/PP3PPP/5K2 b - -,g7b2
6r1/p4p1p/8/3r1k2/8/3p1P1P/PP1B1P1b/2RKR3 b - -,g8g2
8/8/2k5/7R/PP1br3/1K6/8/8 w - -,h5h6
8/5pk1/2q1pbp1/8/Pp1P4/3QPNP1/P4PK1/8 b - -,c6a4
r4k2/p1n3bp/4bpp1/1pp5/8/2P2N2/P1B1RPPP/4K2R w K -,c2d3
8/3Bk3/2P5/2r5/5K1p/7P/8/8 b - -,e7f6
6k1/5p2/p7/Pp1KPq2/1P1Q4/8/8/8 w - -,d4g1
r3k2r/1b1Qb1pp/p1np4/1p1p4/3P4/P4N2/1P3PPP/RNB2RK1 b kq -,e8d7
4r3/2Pk2p1/5P2/R1K3Pp/1p3B1P/8/2b5/8 b - -,g7f6
2kr3r/pbqn2pp/1pp2p2/8/3PBb1B/5N2/PPQ2PPP/2R2RK1 w - -,h4g3
8/8/8/5R2/2P1pp2/1K2k3/6r1/8 w - -,c4c5
r2qk2r/pp3ppp/3bbn2/3p4/3n4/1P2P3/PB1N1PPP/2RQKB1R w Kkq -,e3d4
1k4rr/pbpn1p2/1p1pq3/4p1pn/Q1PPP2p/2P1NP1P/P4BP1/2KRRB2 b - -,g8d8
5rk1/4pp2/r2p4/3P4/P1NqPP1p/5Pp1/1PQ1N2P/5R1K b - -,d4c5
r2qr1k1/ppp1bp1p/2n1b1p1/8/3P4/2NBPN1P/PP1Q2P1/R3R1K1 b - -,e7f6
r6r/2pkbpp1/p7/1pPp3p/3P2bP/4B3/NPP2P2/R1K4R b - -,a6a5
r7/5pk1/2nN2pp/P7/2N5/6P1/2R2PKP/2b5 b - -,c1g5
2r5/8/1p4k1/1PbR4/4pr2/8/3R1PK1/5B2 b - -,c8f8
1q2rr2/7k/1p3bpp/pNp1pp2/P1B1P3/2BP1NPP/1P3PK1/4RR2 w - -,e1e2
r2qk2r/bpp2pp1/p1np1n1p/4p3/NP2P3/P1PP3P/R3NPP1/2BQK2R b Kkq -,d6d5
8/2n5/2kp4/3b2p1/3Q1p2/5P2/4PK1P/8 w - -,d4c3
1q1r2k1/pb1nbpp1/1p2pn1p/1N1p4/3P4/PP4P1/1B2PPBP/1QrRN1K1 w - -,d1c1
1r6/8/1P6/4kp2/1R4p1/2P1K3/8/8 w - -,b4b5
r2q1rk1/1bpnbpp1/3p3p/p2Pp2P/Np2P3/5NPB/PPPQ1P2/1K1R3R w - -,d2e3
1rbr2k1/2N3pp/3p4/1pnPp3/1PB1Pp1P/2P2P2/6P1/R3K2R w KQ -,c7b5
rn2k2r/p3ppbp/b2p2p1/q1pP4/8/2BQ1NP1/PPP1PPBP/R3K2R b KQkq -,a6d3
rn1qk2r/pbpp2pp/1p2p3/5p2/2PPn3/P1P1PN2/2Q2PPP/R1B1KB1R w KQkq -,f1d3
r5k1/pp2qppp/2p2n2/8/2Q5/4PN1P/PP3PP1/R2r2K1 w - -,a1d1
8/1p6/1Pk4p/P3R3/2P1p3/5p2/4r3/5K2 w - -,e5e6
8/k7/3np3/1P6/p2P4/5P2/4N3/6K1 b - -,d6b5
4r1k1/4rp2/p3q1p1/1p2p3/5n1P/P1P1N1Q1/1P1R4/1B3bK1 w - -,b1f5
8/8/8/3pk3/2b4B/5p2/5K2/8 b - -,e5e4
r4rk1/1p3pbp/p3b1p1/6B1/1n6/2N2N2/PP3PPP/3RR1K1 w - -,g5e7
6k1/5p2/2N5/2PP4/1P2n1pp/4R3/P2r4/7K b - -,e4f2
