1r6/7p/8/N2k4/P7/4B2P/5P1K/8 b - -,b8b4
8/3k1p2/p3p1p1/rb2P2p/2B2P1P/P1RK2P1/8/8 w - -,c4b5
r7/p1Q2k2/1p3n1r/8/4b3/2P5/PPN5/1K1R4 b - -,f7f8
rn2k2r/pbq2ppp/2p1p3/1p1nP1B1/2pP4/2P5/P1QNBPPP/1R3RK1 b kq -,b8d7
3r4/2q1b1kp/p1npprp1/Pp2p3/4P1N1/1NP4Q/1P1R1PPP/R5K1 b - -,f6f4
7R/2p2r2/2kp1p2/2p2P2/2P2P2/1K6/8/8 w - -,h8e8
r1bq1rk1/ppp2ppp/3b4/2n1p3/4P3/5NP1/PPP2PBP/R1BQ1RK1 w - -,f3d2
r4rk1/1bp1q1bp/1p4p1/2np1p2/3P4/1Q3N1P/P3BPPB/R3R1K1 w - -,d4c5
r2qrbk1/p4ppp/2b2n2/2pp4/2N5/1P4P1/PBQ1PPBP/R4RK1 b - -,d8e7
8/1k6/2r5/p7/8/1K2Q3/8/8 w - -,b3a4
8/7p/8/4b3/3kp2R/8/7P/5K2 w - -,f1e2
1r2kb1r/p1q2ppp/b4n2/1pp1p1R1/4P3/P2Q4/1PPN1P1P/1NKR1B2 w k -,d2f3
2r1k2r/2q1pp2/b2p1n2/p5N1/1p2PN1p/5P2/PPPQ4/1KR3R1 b - -,c7c4
1rbq1rk1/1p2ppbn/p2p2p1/3PP1Np/3B1P2/1P4PP/P2Q2BK/2R2R2 w - -,g5h7
r2q1rk1/2p2pp1/p2n1n1p/1pb1p1B1/4P3/1PP2Q2/P1B2PPP/RN2R1K1 w - -,g5f6
2kr3r/pppb1p1p/5p2/8/8/5B2/PPP2P1P/2K1R2R b - -,h8g8
2r3k1/6p1/5p1p/7P/6P1/2NR1P2/r1K5/6R1 w - -,c2b3
8/1p1R4/p1p4p/2P2K2/2kP4/7r/P7/8 b - -,h3a3
4R3/5rpk/qp6/2pb2p1/3p4/3P1P2/2PQ2PP/6K1 w - -,d2g5
r1q3k1/1pp2ppp/3p1n2/p5Br/2Pb3P/1PN2QP1/P3PPK1/R4R2 b - -,d4c3
3k4/2p5/5Nq1/ppP3P1/4R1K1/8/8/8 w - b6,e4e5
8/8/3k1p2/3qpQ2/8/4P3/6PK/8 w - -,f5f6
1k5r/1p6/p6r/3p1R2/P7/1n3B2/1P3P1P/3R3K w - -,f5d5
5b2/1pr5/p1nk4/3p2BB/8/1P4PP/P7/1K1R4 w - -,h5f3
6k1/pb1n2p1/1p1pQ2p/2q5/2P5/8/P5PP/3R3K b - -,g8h7
8/8/5k2/3R2p1/6Kp/5PP1/5b1P/8 b - -,h4g3
r2q1rk1/pp2ppbp/2np2p1/4n3/2P3b1/1PN1P1P1/P3NPBP/R1BQ1RK1 w - -,f2f3
r3brk1/pp4pp/2pb1n1q/3pNp2/3P4/1P2P1P1/PB2QPBP/2R2RK1 b - -,f6e4
1r2k2r/p1pq2pp/Q1nbpn2/8/3pP3/5N2/PP1N1PPP/R1B2RK1 w k -,a6e2
r7/3bk1pp/2p5/1p3p2/3R1P2/1B3P2/1P2PK1P/8 b - -,c6c5
r2qkb1r/ppp2ppp/2n2n2/4p3/4P3/2N2B2/PPP2PPP/R1BQ1RK1 b kq -,c6d4
r4rk1/1bpnqpb1/pp1pp1pp/7n/P1NP4/2P1PNBP/1P2BPP1/R2Q1RK1 w - -,g3h2
r2q1rk1/1p2ppbp/p2pbnp1/8/3BP3/2N1Q3/PPP1BPPP/3R1RK1 b - -,b7b5
1rbqk2r/pp3pbp/3p1np1/2p1p3/3nP3/3PB1PP/PPPQNPB1/R3K1NR w KQk e6,c2c3
1rbQ2k1/6qp/3bp3/p1p5/2B5/2P1B3/P5PP/R6K b - -,g7f8
r1b2r1k/2q2ppp/p1p1pn2/8/2B2B1P/5N2/PPP1QPP1/1K1R3R b - -,c7f4
r2q1rk1/3bb1pp/2n1p3/2ppP1PP/2n2PB1/p1P2N2/P3N1K1/R1BQ3R b - -,c6a5
r1n2rk1/1p1bqppp/n1p1p3/2PpP3/1P6/1QNP1NP1/5PBP/3R1RK1 b - -,c8a7
1r1qk2r/p1nbb1pp/5p2/1pp2P2/3n4/2NPN3/PP1BP1BP/R2Q1RK1 b k -,e8g8
5b1k/7p/3p4/1p1Qp3/1P3p2/4B1P1/4q2P/3N2K1 w - -,g3f4
6kr/ppp2bpp/8/3pr3/1B6/3P4/P1P2PPP/2RK3R w - -,h1e1
8/4k3/p2b4/1p1P2PP/5pK1/1P1B4/8/8 w - -,h5h6
rnb1k2r/pp3ppp/2p2n2/3p4/1b1P4/2NB4/PPPB1PPP/R3K1NR b KQkq -,e8g8
r4r2/2nq3k/1p1p2pb/p1pPp2p/P1P1P2P/1PN3P1/4QNK1/3R1R2 b - -,f8f7
5rk1/prp2ppp/3qp3/8/2RP1P2/P7/4PP1P/3Q1RK1 w - -,d1c1
rnb2rk1/ppp2pp1/1b2pq1p/3P4/1P1P4/P1N5/2P1NPPP/R2QKB1R w KQ -,d1d3
4R3/1pk3p1/3p2B1/2pP4/6P1/4b3/PPP4r/3K4 b - -,e3d4
8/5k2/1R3pp1/7p/5P1P/6PK/4r3/8 b - -,e2e6
3k4/1b1p4/1p5p/p1pP1Bp1/PnP5/2N1P3/1P4PP/6K1 b - -,d7d6
r3k2r/pp3p2/2bppp2/7p/1B2QPnP/P7/1PP3P1/2KRN2R b kq -,c6e4
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/P1N2N2/1PQ1PPPP/R1B1KB1R b KQkq -,b4c3:b7e4
rnbqk3/pp3p1p/4pn2/2pp4/1b1PP1r1/2N1BQ2/PPP2PPP/R3KBNR b KQq -,c5d4
r1q1nrk1/3n1p1p/1pbp2p1/p2NpPb1/2P1B3/PP2PRN1/1B2Q1PP/R5K1 w - -,a1f1
5k2/pp2p3/b6Q/8/5KP1/8/4r2P/8 b - -,f8f7
8/4k3/1P2p1pp/2p5/Nr1b2PP/1P3P2/2K5/3R4 b - -,e6e5
8/R5p1/5pkp/3r4/8/6P1/5P1P/5K2 w - -,h2h4
8/4p3/2r2k1p/prP2P2/1pR2K2/1P5P/8/2R5 b - -,b5b8
1R1nk3/2q5/p2p4/P1pPp2p/2P1P1rb/3BN3/1Q2K3/8 b - -,c7a5
8/3r1p2/7p/1k2p2p/p4P2/K1R3P1/8/8 w - -,f4e5
r4r2/1q3pkp/pp4p1/2pN2PR/2PpP3/1P1P4/P3Q2P/5RK1 b - -,g6h5
r1rq2k1/1p3pbp/2b1pnp1/4N3/pB1PP3/P4PP1/1Q4KP/1RR2B2 w - -,c1d1
2r5/pk6/6p1/3bP2p/2rQ1P1P/6P1/P7/6K1 w - -,d4d5
3r1rk1/1pq1bpp1/p1n3p1/2Pp4/1P2p1P1/2P5/5BBP/R2QNRK1 w - -,f2g3
rn1qkb1r/1b3ppp/pp1ppn2/8/2PQ4/2N2NP1/PP2PPBP/R1B2RK1 w kq -,f1d1:c1g5:b2b3:e2e4
rnbqk2r/pp2bppp/4p3/4p3/3P4/2PB1N2/P4PPP/R1BQK2R w KQkq -,f3e5
r2q1rk1/ppp1ppbp/2n1b1p1/3n4/3P4/2N3P1/PPN1PPBP/R1BQ1RK1 b - -,d5c3
2r5/p7/1p2kp2/PR6/3P4/1K1n4/3B4/8 b - -,b6a5
3kq1r1/3bn2R/1p1p2pQ/p1pP1pP1/P1P1pP2/1PN1P3/3KB3/8 b - -,d8c7
r2q1r2/pp1n2kp/5ppN/3p2P1/3P1P1P/3Q1R2/PP6/R5K1 w - -,a1e1
8/q4pk1/1p3n1p/p3Q1p1/1P4P1/4P2P/4BPK1/8 w - -,f2f4
8/8/8/p7/1pP1k3/1Pr1p3/PR2K3/8 w - -,e2d1
8/pp3k2/6p1/3p1pR1/3P1n2/1B3P2/PP6/1K5r w - -,b1c2
1k6/p4R2/1p2B3/2pK2p1/2Pp1b2/8/PP3P1r/8 w - -,d5c6
2r1rk2/pqn1ppbp/1pbp1np1/1P1P4/2P2B2/P1N2B1P/4QPP1/2R1R1K1 w - -,d5c6
rn3rk1/p1q1bpp1/1Pp1pnp1/3p4/3P1P2/1QN1P1P1/PP1B3P/2R1KB1R b K -,a7b6
rnb1kb1r/2q2ppp/pp1p1n2/4p3/P3PP2/2NB1N2/1PP3PP/R1BQK2R b KQkq -,f8e7
5k2/p4r2/6rp/4Q3/1P4P1/6K1/8/8 w - -,g3h4
4r3/8/6R1/1pk4p/4PK1P/2PB3b/8/8 b - -,e8f8
2r1k2r/pp1b1ppp/2nqpn2/3p4/3P1P2/2NBPN2/PP4PP/R2QK2R w KQk -,e1g1
k1r5/2BR4/1K6/P7/8/8/8/8 w - -,d7e7
8/5k1p/6p1/1p3P2/2r1PKP1/P7/1rpR4/2R5 w - -,d2h2
1q3rk1/3n1ppp/1p1bb3/1Q6/5B2/2NP1P2/1PP1N1PP/5RK1 w - -,f4d6
r1b2rk1/ppp2pb1/5qp1/3Rp2p/2B1P3/2P2N1P/PP2QPP1/R5K1 b - -,f8e8
2rr2k1/4qp1p/2pR2p1/1pP5/1P2pP2/4Q2P/5P1K/3R4 w - -,d6d8
8/2k5/8/4p2R/P1K3p1/2P4P/6r1/8 b - -,g4h3
8/8/8/4kp2/5R2/4P1K1/4qP2/8 w - -,g3g2
2r2rk1/pb1q1pp1/1p2p2p/n1bP4/P1P1N3/5BB1/Q4PPP/2RR2K1 b - -,f8e8
Q7/1pr2k2/4p2p/3pP1pP/5pP1/P1q2P2/2P1R3/2K5 b - -,f7e7
3qk2r/3nbppp/rpn1p3/p1ppPP2/3P4/2P2N2/PP2N1PP/R1BQK2R w KQk -,f5e6
8/8/2p5/4r1pk/7p/2PR1K2/1P6/8 b - -,g5g4
r5k1/7p/1Bb3p1/8/P3N3/3r4/3N1P2/R5K1 w - -,a4a5
r1bqk2r/1p3ppp/p1n1pn2/3p4/1bPP4/1PN2N2/PB2BPPP/2RQK2R b Kkq -,f6e4
1r2k2r/6pp/4pp2/2Bp1b2/3P4/1N5P/1R3PP1/R5K1 b k -,e8f7
r2q1rk1/ppp1bppp/2np1n2/4p2b/P1B1P3/3P1N1P/1PP2PP1/RNBQR1K1 w - -,c2c3
2r1k2r/1bqnbpp1/pp1p1n2/4pP1p/1PPNP3/2NB4/P2BQ1PP/4RRK1 w k -,d4c2
r1bqkb1r/pppn1ppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3
1n6/2qrbpk1/pp2p1p1/7p/P1p2Q1P/1P1N2P1/4PPB1/3R2K1 w - -,f4c4
3r2k1/p4p1p/2q1p1p1/2p5/2P5/2Q1P1P1/P4P1P/2R3K1 w - -,c3f6
8/p6k/4p1p1/p7/2n5/2bp3P/5P1K/R1B5 w - -,a1a2
r4rk1/3q1pbp/1p2b1p1/p1p5/PnPp1B2/1N1P1Q1P/1P2RPP1/R4BK1 b - -,e6f5
r2qkb1r/pp2ppp1/1np2n1p/4N1Nb/8/6P1/PPQP1PBP/R1B1R1K1 w kq -,g5e4
rq1r2k1/p2nbp1p/bp2pnp1/2p1N3/2NP4/BP1BP3/P1Q2PPP/2R2RK1 w - -,e5c6
r1b4r/1pk1bppp/p1np3q/8/2P1Pp2/5N2/PP1BB1PP/R2Q1K1R b - -,h8d8
2k5/R7/1p5r/2pP3p/5p2/5P1B/P6K/8 b - -,c8b8
2rqkb1r/1p1b1pp1/1n2p2p/p2pP2N/1n1P4/1P1BBN2/P4PPP/R2Q1RK1 b k -,c8c3
5r2/8/3k3p/5B1P/1PK3P1/8/8/8 w - -,b4b5
8/8/6p1/5kBn/7P/5b1K/8/8 w - -,g5e3
8/3n2p1/3P2k1/rq3p2/1B5R/5P2/6P1/1R5K w - -,b1e1
rn1q1rk1/p3b1pp/bp3p2/3pN3/2pP4/6P1/PP1BPPBP/R2Q1RK1 w - -,e5g4
8/R4pk1/4p3/p3PPP1/8/6K1/8/6r1 w - -,g3h2
5k2/p3pp1p/1p4p1/2p5/P1P5/2b3P1/3RPP1P/3K4 b - -,c3d2
8/4k1p1/p1P2p2/2K1pP1p/8/3r2PP/2R5/8 w - -,c5b6
1k6/p1p1n3/1p1b4/3p1bR1/1P1Pq3/2P5/PK1B4/5Q2 w - -,f1d1
2kr3r/1p1bb1pp/1qn1p2n/p1p1Pp1N/2PpBPP1/P2P1N1P/1P6/R1B1QRK1 w - f6,e5f6
r2q1rk1/pb2bppp/1p2p3/2ppP3/4nP2/1P1BP3/PBPN2PP/R2Q1RK1 w - c6,d1e2
rnbqkb1r/pp3ppp/1n1pp3/4P3/3P4/1B6/PP3PPP/RNBQK1NR w KQkq -,e5d6
r2q1rk1/pp2ppbp/3pbnp1/8/2PBP3/2N4P/PP2BPP1/R2QK2R w KQ -,e1g1
1r2r1k1/5p1p/p3p1p1/bq1p4/N3P3/7Q/1PP3PP/R2R2K1 w - -,e4d5
1r4rk/6R1/p2p1p1n/2pP1P2/2p1B2P/5PQ1/P5RK/q7 b - -,a1e5
r3kbr1/2qb4/p1n1ppp1/3p4/2pP2B1/2P3P1/P1N2P1P/R1BQ1RK1 b q -,f8d6
5r2/R4pk1/6p1/2p3r1/5R1p/1B2PP2/PP3P2/5K2 w - -,f4h4
8/6kp/6p1/1R6/1p6/1Bb2b2/P4PpP/6K1 w - -,b3d5
6k1/3b1pp1/7p/2pp3n/1p6/1N3P2/6PP/5RK1 b - -,c5c4
3r2k1/4q1p1/2n4p/1p1np3/1Pb1Q3/P5PB/1B3N1P/4R1K1 b - -,d8f8
r2qr1k1/pbp1bppp/1pN1nn2/1N1p4/3P1B2/1P4P1/P3PPBP/2RQ1RK1 b - -,d8d7
5rk1/8/2qp2p1/p4rPp/P1Pbp2P/5P1Q/6K1/2R1NR2 b - -,c6a4
8/8/1bPkp3/5p1p/p4P1P/8/6K1/3B4 b - -,a4a3
7k/3bn3/p5p1/1p2p1q1/1P6/2P1PQ2/P1B3PP/5NK1 b - -,d7c6
3rbr1k/q6p/2pp1b2/p3p3/N1P1PpB1/P6P/1PQ2P2/1K1R3R w - -,h1g1
2krr3/p1ppqpbp/bnp5/4P1p1/2P1Q3/1P6/PB1N1PPP/2KR1B1R w - -,e4h7
4k3/P6p/5p2/2B2P2/8/3p2RP/5KP1/r3b3 w - -,f2e3
3r4/2p2pk1/ppn1p1pp/3r4/P2P4/5N1P/1PPR1PP1/3R2K1 b - -,b6b5
r4rk1/1p1q1bb1/5p2/pNp2P1p/P2P1p1Q/5R2/1P4BP/R5K1 b - -,d7f5
r3r1k1/p4p1p/1nN1pbp1/2B5/4P3/6P1/P4PKP/2RR4 b - e3,h7h5
3rr3/7p/pk1pp1p1/6P1/P2Nb3/2R5/1P5P/2K2R2 w - -,b2b4
r7/5pk1/2r3pp/p2NR3/8/2Pb3P/P4PP1/3R2K1 b - -,d3c4
2bqr1k1/Qppn1ppp/1n6/1P2p3/1bPp4/3P1NP1/2N1PPBP/5RK1 w - -,c2b4
3rr1k1/p4ppp/bp1q4/2np4/3N4/4P1P1/PP1R1PBP/2RQ2K1 b - -,c5e4
3Qr1k1/1pp2qpp/p7/5p2/4n3/BP2P2P/P1R2PP1/6K1 w - -,d8c7
2rq1r1k/pp2p1bp/2npbnp1/3N1p2/2P5/1P3NP1/PB2PPBP/R1QR2K1 w - -,c1d2
r2q2k1/1b2p1b1/pn2PrNp/1p1p1p2/3Pn3/N1P5/2B1QPPP/R1B2RK1 w - -,g6f4
r5kr/pR3pb1/n2p2pp/2qPn3/8/2N2N2/P1PBQPPP/4R1K1 w - -,f3e5
r3kb1r/pp4pp/2q2p2/7R/b1p1Q3/2P1PNP1/PP2NPP1/R3K3 b Qkq -,e8f7
2kr1b1r/2q2pp1/2p1p2p/p1n1P3/PpPB1P1P/6N1/1PQ3P1/2KR3R b - f3,f8e7
r1b1r1k1/3n1pbp/p2q2p1/1p1P2B1/B3p3/2P5/P3NPPP/2QRK2R w K b6,a4b3
6k1/p3R3/1b4p1/5r2/2P3R1/5K2/8/8 w - -,f3e4
8/1r3pk1/3p1q1r/p2P1B1p/P3P2P/4Q1P1/8/5R1K b - -,h6h8
4rrk1/1Bq3pp/p2p4/1p2p3/5nP1/6B1/PPPQ3P/1K1RR3 b - -,c7b7
8/6kp/R7/6P1/1P3KP1/8/1r6/8 b - -,b2b4
6rk/rq5p/2nP1b2/p1PQ1p2/R2N1P2/2P4P/6P1/R5BK b - -,c6d8
2b2rk1/3q1pp1/2p2n2/2Pp2b1/Q2Pp1n1/4P1P1/P2BNPB1/1R2N1K1 w - -,e2f4
5rk1/4R3/7p/2PK4/1p1P1p2/pP6/P6P/8 b - -,f4f3
8/8/2n5/2kp4/8/2K5/2P5/R7 w - -,a1b1
1r2r1k1/2p2ppp/1n1p4/p1b5/4qB2/P3P3/1P2QPPP/2RB1RK1 b - -,b6d5
6nk/p2r2b1/1p1B2pp/5P2/8/1p5P/4B3/4RRK1 b - -,d7d6
8/4ppk1/6pp/1p3r1n/p3R3/2P2P1R/qP1Q1P2/6K1 w - -,e4e7
3r1r1k/p1pq3p/1pb3p1/n7/P2P4/2PB2N1/2Q2PpP/R2R2K1 w - -,d3e4
5n2/4K3/7P/1kP5/8/8/8/8 b - -,f8h7
1r1q3r/5pbk/3p2n1/6p1/1p5p/1bPQ3P/1PN1BPPB/2KRR3 w - -,c3c4
R6R/3k2r1/1p1p4/p3pp2/P1P5/1P6/4KPrP/8 b - -,d7c6
6k1/5np1/8/5K2/8/7P/6R1/8 b - -,g8h7
rnb1k2r/pp3ppp/3qpn2/2b5/2B5/5N2/PPPN1PPP/R1BQ1RK1 b kq -,e8g8
8/1q4kp/pr2Bbp1/2pP4/R1Prp3/4Q1PP/R4P1K/8 b - -,h7h6
r2k1b1r/1ppn2pp/4bp2/p3pn2/2P5/PP2P3/1B1NNPPP/R3KB1R w KQ -,e2g3
8/8/5kp1/5pR1/7P/6K1/6P1/7q w - -,g3f3
6k1/6p1/4Kp1p/6rP/8/8/8/7R w - -,e6e7
3r4/3Qb1kp/2R3p1/1p4r1/3PB3/4P3/PP3PP1/2R3K1 b - -,d8d7
r1b3k1/pp3rpN/2nqp2p/3p4/3P2n1/3B2P1/PP2NP1P/R2Q1RK1 w - -,h2h3
3q1rk1/p1r1npbp/4p1pn/3pP3/3P3P/1QNBBP2/PP3P2/R3K2R w KQ -,h4h5
8/r3kp1p/2rp2p1/1P1np1P1/p3Nn2/R4P2/PP5P/1K3B2 w - -,b5c6
2n5/1b2nk2/6pp/pN1p1p2/P2P1B1P/3BPP2/5KP1/8 w - -,f4h6
1k1rr3/p1p2ppp/Bpnq3n/1Q2p3/P2P4/2P1PP2/3B1P1P/1R3RK1 b - -,h6f5
rnb1k2r/1p3ppp/2p5/4P2q/p5n1/2QN2P1/P3PPBP/RN2K2R b KQkq -,f7f6
r3kbnr/pppqp1pp/2n2p2/3p1b2/3P4/P3PNB1/1PP2PPP/RN1QKB1R b KQkq -,g7g5
8/p3kp2/2ppb1r1/2b1p1q1/2P1P3/1P4NP/P5KR/3B1Q2 w - -,d1g4
2kr1b1r/pppb1pp1/5n2/4n1Np/7P/2P1B1N1/PP2BPP1/R3K2R b KQ -,f6g4
3n4/1b1rb1kp/p4p2/4pPP1/1p6/1N2N2B/PPP1R2P/1K6 b - -,d8f7
2r1bnk1/1p6/1q2pPpQ/3p4/5P2/1p4R1/PP4PP/R6K b - -,c8c7
rn3rk1/pbppq1pp/1p2pn2/5p2/1bPP4/2N2NP1/PP1BPPBP/2RQ1RK1 b - -,d7d6
3r1rk1/1p1qbpp1/2p1p2p/p3P2b/P1QPBP2/2N1R1PP/1P6/R5K1 w - -,e3d3
r1b2r1k/1p2b3/2n1p1qp/5p2/p1Pp1P2/P2P1NN1/1P3QBP/R3R1K1 b - -,e7f6
2r5/1p2kppp/1p2pn2/8/2P5/1P3N1P/P2R1PP1/5K2 w - -,f3e5
4k3/1KP5/2r5/8/8/8/1p6/3R4 w - -,c7c8q
4qr1k/1p4pp/pPr3n1/2pQp3/4N1b1/2N3P1/1PP2P1P/3RR1K1 w - -,d1d2
2r5/1q2kpp1/p3p2r/1p4Qp/8/P7/1P3PPP/R3R1K1 b - -,e7f8
8/5k2/1r6/1p1pPK1p/p2P4/2P5/8/1R6 w - -,f5g5
rnqr2k1/pp2ppBp/2p3p1/3p3n/2P5/1P1P1NPb/P2NPP1P/R2QR1KB b - -,h5g7
5q1k/3r4/p2N2pp/1pP2b2/8/3Q4/PP4PP/5RK1 w - -,d3d5
r3k2r/pp2b1p1/2p1Bnpp/8/Pn1PPB2/2N2P1P/1P4P1/R4RK1 b kq -,g6g5
3r3r/P1p1k1pp/R4p2/8/1b1BP3/8/2q2PPP/2n2Q1K w - -,a6a1
2rq4/4r2Q/p4k1p/8/2P1B2N/6P1/5n1P/1R4K1 w - -,h7g6
r1bq1rk1/1p3ppp/p1nbpn2/3p4/3P4/2NBPNB1/PP3PPP/R2Q1RK1 b - -,d6g3
r2q1rk1/pppn2bp/4p1p1/3pPp2/5P2/1P2P3/PBP1B1PP/R2Q1RK1 w - f6,c2c4
3b4/5pk1/1P2p1p1/p3P3/Np3P1p/1P5P/5BPK/3Q1q2 b - -,f1d1
r4rk1/1bqn2pp/p1p1p3/N4p2/3PB3/RP2P3/5PP1/Q4R1K w - f6,e4f3
2rq1rk1/1B2bpp1/Q3b2p/4N3/1P1p4/2nP2P1/3NPP1P/1R3RK1 b - -,e6d5
7R/8/8/1p1p1p2/1k6/3K4/8/8 w - -,h8f8
2kr4/pp1n1p2/2p1p2p/4r1pP/6P1/4RP2/PPP1K3/3R1B2 b - -,e5e3
2r1k2r/1pqnbp1p/p2p2p1/3Pp1P1/2n3QP/2N1B3/PPP2P2/2KR1BR1 w k -,f1c4
8/6K1/4k2P/6B1/8/8/6R1/1b5r w - -,g2e2
rn1qk1nr/1bp2pbp/pp1pp1p1/8/P1BPP3/2N2N2/1PP2PPP/R1BQ1RK1 w kq -,c1g5
r5k1/1R3pbp/ppqN1np1/8/P7/1Bp3BP/1P4P1/5QK1 b - -,c6c5
r1b1r1k1/1pq2pbp/2pp1np1/p3N3/P2BP3/2N3PP/1PPQ1PB1/R3R1K1 b - -,d6e5
2r1r1k1/1p3pbp/2np2p1/p1nN4/2Pp1P2/1P1B1PP1/PB1R1K1P/2R5 w - -,d3f1
2r4k/2rn1q1p/1p1b2p1/p1pPp3/4P3/1P1QB1PB/P1R4P/2R3K1 b - -,f7g7
1brqk2r/pp1n1ppp/2p2n2/2PpP2b/1P6/3BPN1P/P1QN1PP1/R1B2RK1 b k -,d7e5
4r1k1/pp1q1r1p/5Rp1/3pn3/7P/2P1P3/PP4R1/2Q2NK1 w - -,f6f7
3rr1k1/p5pp/8/3Bpb2/3n4/2N3P1/PPPR3P/2K1R3 b - -,g8h8
8/6pk/8/4Qp1p/3P1P2/3q2P1/5PKP/8 w - -,h2h4
rn1qkbnr/1b1p1ppp/p3p3/2p5/1p2P3/2NP1NP1/PPP2PBP/R1BQK2R w KQkq -,c3e2
8/3k4/5R2/r4pB1/5K2/8/8/8 b - -,a5d5
6k1/pp5p/2p3n1/3pP1p1/3P1PQr/1P2K1N1/P5P1/5R2 b - -,h4g4
1r2r1k1/2pn2p1/pbpp1p1p/B7/P3P1P1/1P1N1P2/K1P3P1/3R1R2 w - -,a5e1
3r4/p4k2/1p3b2/2p5/2P3K1/4B3/P4P2/2R5 b - -,f6d4
rr4k1/5p1p/3bbqp1/1npp4/p4N2/P3P1N1/1PQB1PPP/1R2R1K1 w - -,f4e6
1r4k1/1b3ppp/pp2p3/6P1/2P5/1P1r1N2/P2P2PP/R1R3K1 w - -,c1c3
