6r1/8/1k6/1p6/6P1/P2R3K/8/8 b - -,b6c6
5rk1/pp1b2pp/2pb1n2/3p2B1/1P5N/P2P2P1/6BP/4rR1K w - -,f1e1
7k/pp2p2b/2np4/8/8/8/PPPK1B2/3N4 b - -,h8g7
r1bqk2r/1pb2ppp/p7/3np3/2N5/PP2P3/1B3PPP/R2QKB1R b KQkq -,f7f6
8/8/p5R1/1b6/2p5/2K2k2/5p2/8 w - -,g6f6
r4br1/p1kq3p/3ppP2/1p1nn1BB/2p5/2P1N3/PP2Q1PP/R4RK1 w - -,g5h4
8/3n2p1/p2k1p1p/1p2p3/4PP2/1PNK2P1/P6P/8 w - -,f4f5
6q1/1p1b1r1k/3Pp1np/2Pp1p2/3Q1P2/6P1/1B2B2P/R5K1 b - -,d7c6
3r1rk1/pbqnbppp/1p2pn2/2ppN3/2PP1P2/1P1BPN2/PB2Q1PP/3R1RK1 b - -,f6e4
r1b3k1/2p3b1/p2p1n1p/3P2pP/8/1P3B2/P2KN3/6RR w - -,g1c1
2r3k1/p1r2p2/1pb1pnpp/3p4/P2P2PP/2PB1N2/2R2P2/R5K1 w - -,f3e5
r3r1k1/pb3pp1/2pqnn2/8/1p2B3/4RN2/PPQB1PPP/5RK1 w - -,f1e1
2r2rk1/p1qbppbp/1p1p1np1/n7/2P1P3/1PN1BP2/P1NQB1PP/R4RK1 w - -,a1c1
2r1r1k1/ppqn1pb1/4p1p1/3pP1B1/2nP3Q/2P2B2/4NPP1/1RR3K1 w - -,g2g3
2r1k2r/pp1n1ppp/4p1b1/2qpPn2/2P2B2/5N2/PP1QBPPP/R4RK1 b k c3,d5c4
8/3b1pp1/3k3p/4p3/1PP1P3/2K2P2/6PP/8 b - -,d7c6
r1bq1rk1/ppp1pp2/1n3np1/6Np/7P/2NP2P1/PP1QPPB1/R3K2R b KQ -,c7c6
6k1/3n1p1p/2b1p1p1/pp1pP3/N2P1P2/1P6/P3BKPP/8 w - -,a4b2
3rr3/2pn2k1/p2pnpp1/6Pp/1p2P1NP/1P1R1P2/P1P2Q2/q1B2R1K w - -,g5f6
2rq1r2/6bk/1p4pp/p1p1p3/3nP3/1PBP1PKP/PQR5/4NR2 w - -,c2g2
8/5pk1/1pQ1p3/3nPP1r/Pp6/5KP1/1P6/8 w - -,f5e6
rnbqk2r/ppp1ppbp/6p1/3p4/2PP1B2/2P5/P3PPPP/R2QKBNR w KQkq -,c4d5:e2e3
r3k1r1/pp3pBp/2p5/3n4/8/4P2P/PP3PP1/R3K2R w KQq -,g7e5
2r1r1k1/3npp1p/4b1p1/p3P2q/PB1QPP2/1P6/3R2BP/R5K1 w - -,b4a3
3r1rk1/p2q2bp/np2bpp1/2pp4/3P1B2/2N3P1/PP2PPBP/2RQ1RK1 b - -,c5d4
4r2k/pp1r2pp/4q3/1P2p3/3bB3/3R1PP1/2R1P1KP/1Q6 b - -,g7g6
2bq1rk1/5pp1/np4r1/1NpPp2p/1PP1P1nb/3Q3N/3BB1PP/1R3R1K w - c6,b5a7
5rk1/2n1p1b1/p2p2p1/1p1P2P1/3N2n1/PP6/2PR2B1/5KB1 w - -,f1e2
r5k1/4q1p1/6Qp/pr6/3R4/1P6/P3PP2/5RK1 w - -,d4g4
r2q1rk1/3pb1pp/ppn1p3/5p2/2P5/1PN3P1/PB1Q1PKP/R3R3 w - -,a1d1
2r3k1/1b3ppp/8/pNrpb3/P3p3/1P2P1P1/R4PBP/3R2K1 w - -,a2d2
r5k1/p3qppp/1p3n2/8/2P1p3/P4N2/1PQ2PPP/4R1K1 b - -,a8e8
8/p1kn2Q1/3qp3/8/7P/2p1P1P1/5PB1/3n2K1 w - -,g2e4
r1b2rk1/pp1p1ppp/1qn1pn2/8/4P3/PNB5/1PP1QPPP/R3KB1R b KQ -,e6e5
8/1p1rrpbk/1Q1Nq1pp/p3P3/Pn2RB1P/8/5PP1/4R1K1 w - -,b6a5
4k1Q1/7p/6b1/4Bp2/1p1N1P1P/3Pn3/2P3PK/4q3 b - -,e8e7
r3r1k1/p4ppp/1n1B4/4p3/Q1b1q3/2P1PN2/P4KPP/3R3R w - -,a4a5
2r3k1/2q2pp1/Qp2pb1p/8/1PrP4/1R4PP/2P2P2/2R1N1K1 b - -,f6d4
2r2rk1/p1pnq1bp/1p1n4/3Pp3/1N2Ppp1/PP1N1P2/1BQ3PP/3R1RK1 b - -,e7h4
r2qkb1r/p1nn1ppp/1p2p3/2ppP3/3P1NQ1/2P5/PP1N1PPP/R1B1K2R b KQkq -,d8c8
2r2bk1/1p4p1/5p2/B3p2p/4P2P/1P1RPKP1/P1r5/R7 b - -,c8a8
r3r1k1/pq1n1ppp/2p1bn2/Q1N5/4P3/5B2/PPP1NPPP/1K1R3R b - -,d7c5
r1bq1rk1/1p1n1ppp/p3p3/3p4/3P4/2N1P1P1/PP1Q1PBP/R4RK1 w - -,a1c1
r4rk1/1b1nqpbp/pNn3p1/1p2p3/4P3/3BBN2/PP2QPPP/R3R1K1 b - -,d7b6
2r1r1k1/1pq2pp1/p2p3p/2nB1P2/3QpP2/8/PPP3PP/1K1RR3 w - -,c2c3
r1b1kb1r/2q2ppp/p1p1pn2/8/Pp2P3/3BB3/1PP2PPP/RN1Q1RK1 b kq -,c6c5
r5k1/1p1n1ppp/4q3/rnp1p3/P2pP3/1R1P1PP1/2Q2NNP/R5K1 b - -,b5d6
3rr3/pp4pk/2p1p1Np/5p1P/2PP4/4P1n1/PPK3P1/4R1R1 w - -,g6e5
8/5k2/8/2PK2p1/3R2P1/8/8/2r5 w - -,d5d6
3r3k/p4ppp/1pn1rb2/8/3p1B2/1P4PQ/P4P1P/3R2K1 w - -,h3f5
r1b2rk1/pp3pbp/n1pp2p1/6P1/2P1P3/2N5/PP3PP1/R1BqRBK1 w - -,e1d1
r5k1/1p3pp1/4pb1p/2qP3P/p1pn2P1/P4B2/1PQ2PK1/1R2R3 w - -,c2e4
2bq2k1/r2n1p1p/3p2p1/p1pP2rn/NpN1P3/PP1B1Q1P/5PP1/R3R1K1 b - -,d7e5
1K6/1P6/3k4/7p/8/8/2R5/6r1 w - -,c2a2
8/1R6/6kp/6p1/pP2R1P1/P5K1/3r1r1P/8 w - -,e4e6
6r1/1bk5/1pn1Qp1p/1B1p2r1/3Pp2q/R1P4P/1P3PP1/4R1K1 w - -,b5f1
q3brk1/2p2pp1/5b2/2PpN1p1/3P4/1QN1R1PP/5P2/6K1 b - -,c7c6
r7/3q4/5k1p/Pp1p1p2/1PrP4/4P3/5PB1/3QR1K1 b - -,a8g8
r1bqkbnr/p3pppp/n2p4/2pP4/1pP5/P4N2/1P2PPPP/RNBQKB1R w KQkq -,a3b4
r5k1/4bp1p/1p1qp3/5p2/1PP5/1Q3N2/1R3PPP/6K1 w - -,g2g3
rn2kb1r/2qp1ppp/pp2pn2/8/2PN4/1P4P1/P3PPKP/RNBQ1R2 w kq -,c1b2
8/5p2/2p2kp1/p1Pr3p/2R4P/5KP1/P4P2/8 b - -,f6e6
1r6/8/7p/7P/2K3k1/8/1p6/1R6 w - -,c4c3
2kr1b1r/p1Pp2pp/2p1qp2/4P3/5B2/1PN5/P1Q2PbP/2KR3R b - -,d8e8
8/2p3pp/1n1p1k2/8/pP1KP3/P2N3P/6P1/8 b - -,g7g5
8/1Q6/p3r1k1/8/6K1/8/P7/8 w - -,a2a4
8/1k6/8/2RN4/3K4/8/8/7r w - -,c5c7
r2q1rk1/1b1nbppp/1pp1pn2/p3N3/2PPp3/1PN3P1/PB3PBP/R2Q1RK1 w - -,c3e4
r1r3k1/1q3pbp/2b2np1/1p1Pp1Q1/pB6/P4P2/BPP1N1PP/2RR3K b - -,c6d5
8/8/6k1/8/4R2K/6rP/6P1/8 b - -,g3g2
3qr2k/1b1rbpp1/p3pn1p/1p2p3/3B1P2/P1NB2RQ/1PP3PP/5R1K w - -,d4e5
1r1r4/2q2pk1/1p1pbnnp/p1p1p1p1/P1PPP3/2P1NPP1/3R1B1P/1R1Q1B1K w - -,h1g1
1r1r3k/4npp1/7p/3nP3/1pR1b1P1/1B2BN1P/1PP2K2/3R4 b - -,e4f3
r3r1k1/5pbp/2pp2p1/p7/PP1PPpb1/3R1N2/1P3PPK/3BR3 b - -,a5b4
3rr1k1/1pq2pp1/2p2n1p/p4P2/3P4/1P1QN3/P2R2PP/5RK1 w - -,e3c2
r2q1rk1/pb2n1pp/1p2ppn1/8/2P2P2/P1Q3N1/2B3PP/R1B2RK1 w - -,c1b2
r5k1/pp4pp/2p1b2q/3pP3/3P1r2/2P3Q1/P4PBP/R4R1K w - -,f2f3
r1r3k1/pp3ppp/2nb1n2/3p4/3P4/1P2NNP1/1BP1KP1P/R3R3 w - -,f3e5
r1b2rk1/ppqnbppp/2pp1n2/4p3/3PP2N/2P3P1/PPQ2PBP/RNB2RK1 b - -,d7b6
r4rk1/2qnbppp/1p1p4/1QnP4/p1N1pP2/4B3/PPP1B1PP/3R1RK1 w - -,c4a3
5b1k/8/4pPQ1/4P3/1p2N2K/5q1P/1n6/8 w - -,e4g5
r1br2k1/bp1n1p2/p2p1qpp/2pPp3/4Pn2/1PP2NNP/PBB2PP1/R2QR1K1 w - -,c3c4
8/5k2/4bb2/3R3p/pB5P/5P2/4P3/6K1 b - -,e6d5
r2r2k1/2pb1qbp/3n1pp1/np2p3/p3P3/1PPBB1NP/P1QN1PP1/R2R2K1 b - -,d7e6
r1r3k1/pp2pp2/3p2p1/3P1n2/5PB1/2P5/PP5P/R3R1K1 b - -,c8c7
r1r2q2/1p2ppbk/2bp2p1/p1n4p/2P1P3/1PN1BPP1/P1RQ2BP/4R1K1 b - -,f7f5
4R3/8/8/6K1/7P/5p2/5k2/7r b - -,h1g1
2r2qrk/1ppn1ppn/1b1p3p/pP1PpP2/2P1P1R1/P4P1P/2NB2RK/2QB4 b - -,f8e7
r4rk1/p5p1/1p2p2p/2q1np2/2P2Q2/1P6/P1B2PP1/R4R1K b - -,e5c6
8/5p2/6p1/bk1p1p1p/3P1P1P/1P2BP2/2K5/8 w - -,e3d2
5k2/5p2/4p3/4P1p1/7p/1P2RP1P/1rr1NKP1/8 w - -,f2f1
2b1r1k1/5pp1/1R3nn1/2pp4/5P1p/2PP2PP/P4BB1/4N1K1 b - -,h4g3
4r1k1/8/3bn1N1/pp2pR2/1n1pP3/3P2P1/1P1N3P/3R2K1 b - -,b4d3
3k4/5p1p/1p2r3/2r5/2PR2P1/4N2P/5PK1/8 b - -,d8c7
8/4k3/R6p/1p2Np2/5K2/8/1r4PP/8 w - -,a6h6
5r1k/2p4b/p2p2qB/3N4/2p1r3/P6P/1P1Q1P2/2KR4 w - -,h6f8
8/4k2B/8/1R3K2/r5rP/8/8/8 w - -,h4h5
2rk1n2/pp1qbQ2/6p1/2pn2Np/3pN3/P2P4/1PPB2PP/4R1K1 w - -,d2f4
3q1rk1/pp6/2p1n1p1/4p2p/1PP1Pp2/P2BbP1P/2Q1N1P1/R6K b - -,d8h4
r4rk1/2p2p1p/4p1p1/p1n5/3R4/NPn4P/1NP2PP1/4RbK1 w - -,g1f1
6r1/pp1k2P1/3Pp3/5p1B/r6P/3R4/2P2n2/1K4R1 w - -,d3g3
4Q3/1p4pk/3q3p/1P6/3n4/P4pP1/5P1P/5BK1 w - -,f1d3
3r1rk1/2p2ppp/bp3n2/2b1p3/2PqP3/PR4P1/3NQPBP/2B2RK1 w - -,g3g4
7Q/5K2/4q3/2k5/8/8/4p3/8 w - -,f7e6
r1b2rk1/pp2q1bp/2p3p1/4pp1n/1PPnP3/P1N2NPP/2Q2PB1/2BR1RK1 w - -,f3d4
4B3/2k5/pp6/6p1/PPK2bP1/2P5/8/8 b - -,f4d2
8/2pk2b1/pp2R1np/6p1/1PPp4/P2N3P/3B1PP1/6K1 b - -,d7e6
r1b2rk1/pp2R2p/n1p2p2/6pq/2P5/1N1B3P/PP1Q1PP1/2KR4 b - -,f8f7
8/5k2/p3p3/P2pP3/2pBr2b/1pP2Kp1/1P6/7R w - -,h1a1
2b5/2Q3bk/6p1/3Pp2p/P3p3/4N3/5PPP/q4BK1 b - -,c8f5
1k6/1p1r4/p2p4/1q2n1QP/4P3/1BP3P1/PP3r2/1K1RR3 w - -,d1d5
r2b1rk1/3p1pPp/6b1/nRN1P3/3p4/6P1/P2Q3P/5RK1 b - -,f8e8
b4rk1/3R1p1p/p2Q1qp1/8/P3p3/1B5P/2P2PP1/6K1 b - -,f6g5
8/5k2/3b4/pp1p2qp/2pP1p2/P1P1nPP1/1P1Q3B/5N1K w - -,f1e3
3rqrk1/3b2b1/1p1n3p/p1pPp3/P1P1p2N/1P4PP/3BQ1BK/4RR2 b - -,d6f5
8/2p5/2N1k1pp/1P3p2/2P1p3/2b3P1/4PP1P/5K2 w - -,c6b8
1r1r2k1/3bnpp1/p6p/3p2b1/3N1N2/P4BP1/P2R1P1P/3R2K1 w - -,d4e2
3r2k1/1R4p1/2r1p2p/Pp2pp2/8/2bP1NP1/5P1P/R5K1 w - -,a1c1
4Q3/k1p4p/8/2P5/5P2/7P/2q3PK/8 w - -,e8c6
8/4k3/1pr1p3/8/PR5P/5K2/8/8 w - -,f3g4
8/8/8/7k/1p5P/1P1KN2b/1PP5/8 b - -,h3e6
r2q1rk1/1p3ppp/p1pbbnn1/3p4/PPPPp3/1QN1P3/1B1NBPPP/R3K2R w KQ -,b2a3
5K1n/6pk/8/6Q1/8/8/8/8 b - -,h8g6
r7/3q2k1/3p1pp1/pr2p2n/P1PpP3/3P1PP1/6RP/3Q1NK1 w - -,c4b5
8/1p1k2bp/4r3/PpP1p1p1/5pP1/1R3P1P/5B2/5K2 w - -,b3b5
6k1/R7/5K2/5P2/8/8/5r2/8 w - -,a7a1:a7a8
r1b2rk1/p3qpbp/2pp2p1/2p5/4PBn1/2NP1N2/PPPQ2PP/R4RK1 w - -,h2h3
rnbqkbnr/ppp1pppp/3p4/8/3P1P2/8/PPP1P1PP/RNBQKBNR b KQkq d3,g7g6
3r1rk1/1bq1bppp/p1p1pn2/np2N3/2pPPPP1/P1N1B3/1P2Q1BP/3R1RK1 w - -,g4g5
5k2/8/p5p1/1p1B1bP1/3P4/1PQ5/q7/4K3 b - -,f5d7
8/p7/8/2P1k3/P3p2p/2Rb2rP/3K4/7R b - -,e5d4
r3r1k1/pp1n1pb1/2bPpqpp/8/8/BPN1RN1P/1P3PP1/R2Q2K1 b - -,a7a5
r2qk1nr/1p3ppp/p3p1b1/2bpP3/3N4/1P6/1PP1BPPP/R1BQ1RK1 w kq -,c2c3
8/5kr1/1p1p1p2/3P1P2/P2p3R/2bB2p1/6K1/8 w - -,h4h8
2rr2k1/pp2ppb1/2n1bnpp/q7/4P3/2N1BNPP/PP2QPB1/R2R2K1 w - -,d1d2
r4b1r/p3nkpp/N1p2p2/8/5P2/1P6/PBPP2pP/R3K1R1 w Q -,g1g2
r5k1/7p/3p2p1/1PpNn3/2PbPpPq/PQ3P1P/5PK1/5R1R b - -,h7h5
8/4k2R/4p1p1/6p1/1p6/1P6/2NK1P2/1r6 b - -,e7f6
2kr2r1/1b3pQ1/pn2q3/1pppP3/3P1B1P/1P4P1/P5BK/R4R2 w - -,g7h7
r1bqr1k1/1pp2pp1/2n4p/p1b1p3/2PpP1P1/PP3N1P/1B2PPB1/R2Q1RK1 w - -,d1d3
1q3rk1/r5pp/2np3b/p2N3Q/1pP2P2/1P1bN3/P5BP/R4R1K w - -,f1d1
3rk3/p4pp1/n1p4r/1p4p1/1P4P1/P1R1P2P/4KPB1/1R6 b - -,d8d6
rn1qkbnr/pb1p1ppp/1p2p3/2p5/4P3/2P3P1/PP1PNPBP/RNBQK2R b KQkq -,g8f6
7r/2q1k1p1/1b1r4/p1nBpP1p/PpP5/1P4PP/2Q4K/3R1R2 w - -,f5f6
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NP3/2N2P2/PPPQ2PP/2KR1B1R w kq -,h2h4:g2g4
1r2k2r/p3bpp1/q1p1p1bp/2PpP3/3P1P2/B1Q3P1/P5BP/R4RK1 w k -,g3g4
3r4/5k2/3pp3/2p2p1p/2P3q1/3Q3P/PP3RP1/6K1 b - -,g4g5
rn2r1k1/p7/1p4Q1/2b2pP1/8/2N5/PP4KP/5R2 b - -,g8f8
r1b1r1k1/ppp4p/n4n2/5p2/8/1PNN2PB/PKP4P/3R3R b - -,c7c6
r1b2b1r/1pkn1ppp/2p5/p1n1p1B1/2P1P3/1PNB1P2/P5PP/2KR2NR w - -,g1e2
rnb1kb1r/pp3ppp/1q1ppn2/8/2PNP3/5P2/PP4PP/RNBQKB1R w KQkq -,b1c3
r1b1kb1r/ppqp1pp1/2n1p1n1/2p5/N1P1P3/1P3NP1/PB1P1PB1/R2Q1RK1 b kq -,e6e5
6k1/1N3ppp/P2p1r2/2pP4/8/1P1n3B/2r2b1K/1R3R2 b - -,f2d4
4r1r1/p6q/kpn1p1p1/3pP2n/b1pP1PBB/P1P2R2/2PQ3R/3N3K b - -,h7f7
8/NpBn3k/4p1pP/3pP3/p1bP1P2/8/3K4/8 w - -,c7d6
r1bqk1nr/pp2ppbp/2np2p1/8/2PNP3/2N5/PP3PPP/R1BQKB1R w KQkq -,c1e3
r2qk2r/pp3pb1/2n1p3/3pPp1p/3P4/2N5/PP3PPP/R1BQ1RK1 w kq -,c1e3
3Q4/8/3p3k/pP2p3/P2pP1p1/3Nb1P1/q5K1/8 w - -,g2f1
r1b1kb1r/p1ppqp1p/2p3p1/3nP3/8/6P1/PPP1QP1P/RNB1KB1R w KQkq -,c2c4
2B5/2b5/8/2p1kpp1/3p3p/1P1K3P/3N1PP1/8 w - -,d3c4
r4r2/1bqnppkp/5np1/p2pP3/PppP4/4QNNP/1PP1BPP1/R4RK1 b - -,f6g8
r4rk1/1b2ppb1/1qp2n1p/pp2N1p1/2pPP2P/2N3P1/PP1Q1PB1/3RR1K1 b - h3,g5g4
4k3/2Q4p/p3qp2/8/2p5/7P/PP1B1P2/6K1 b - -,e6h3
5r2/6kp/p2pBrp1/P1pP4/1pPq4/1P5P/4QPN1/5K2 w - -,f2f4
r1bqr1k1/1ppn1nbp/3p1pp1/p2Pp3/1PP1P3/P1N2N2/3BBPPP/2RQ1RK1 b - -,a5b4
8/ppk3r1/n1p2R2/8/8/P1N5/1PP3PK/8 b - -,a6c5
3rk2r/2qnppbp/p5p1/1pppP3/3PNPn1/2P2N2/PP1BQ1PP/R4RK1 w k -,e4c5
r4rk1/pp2qppp/2pb1n2/3p3n/2PP1P2/P1N1P3/1P1NQ2P/R1B2RK1 w - -,d2f3
8/5pk1/6p1/3K3p/8/2Q5/4r1PP/8 b - -,g7g8
1r2nk2/Rp1bq3/1P1p2p1/3P1pPp/4pP1P/1Q2P3/1B2B3/4K3 b - -,f8g8
2rr2k1/p4ppp/1p1np1q1/8/3PP3/P1N5/1P2QRPP/5RK1 w - -,h2h3
8/4k3/7p/p4Kp1/1pB3P1/1P3PP1/n7/8 b - -,a2c3
5nk1/2Q2pp1/4p3/6p1/p2q2P1/3r3P/PPR2PBK/8 b - -,f8g6
r4rk1/1ppq1pp1/1b1p1n1p/p3n3/P2NP3/1NP2P2/1PQ3PP/R1B2R1K w - -,d4f5
1B1b4/2p1k3/3p4/1P1Pp3/4P1K1/8/8/8 b - -,e7d7
4r1k1/1p3r1p/p2qp3/2p2pP1/2P2P2/4Q3/PP1R3P/4R1K1 b - -,d6c6
3k4/3bpr2/1p5p/2pP1pp1/P7/1P1B1P1P/6P1/1KR5 w - -,a4a5
r1b2rk1/pp1nppbp/2n3p1/2q5/2Q1P3/2N2N2/PP2BPPP/R1B2RK1 w - -,c1e3
2r2bk1/p6p/1nqr2p1/1npp2B1/1p4N1/7P/BP3PP1/2QRR1K1 w - -,c1f4
r1bqr1k1/1p1n1pp1/2pb1n1p/p2pp3/P3P3/2PPNN2/1PB1QPPP/R1B2RK1 b - -,d7f8
8/8/6p1/Kp3p1p/b2k1P1P/2RB2P1/8/8 b - -,d4c3
r3r1k1/1b3p2/p6p/1p1p2p1/3qn3/4Q1N1/PPB3PP/R3R1K1 b - -,d4e3
r2qkbnr/pp1n1ppp/2p1p1b1/8/2BP4/5NN1/PPP2PPP/R1BQ1RK1 b kq -,g8f6
4rrk1/1p2q1b1/2p1p1p1/2N1P3/pPQP2p1/P5P1/6KP/2R2R2 b - -,f8f5
2Q2k2/4q2p/p2p2pK/P4P2/7R/1P6/4r3/8 b - -,e7e8
rqb2rk1/1p2bpp1/p3pn1p/8/2PN3B/3B4/PP2QPPP/R3R1K1 b - -,f8d8
4r1k1/6pp/1p1nqp2/p4R2/2pP2P1/2P4P/PP1Q2K1/5R2 w - -,f5f4
r1b1k2r/p2nbpp1/2p3np/8/Np2P3/1B2BN2/PPP3PP/R4RK1 w kq -,f1f2
8/p1r2p2/3k2p1/1Kp5/1nP2p1p/5B1P/4RPP1/8 b - -,c7c8
3r2k1/p4p1p/1q4p1/4p3/3p4/1P3P2/P2Q2PP/2R3K1 b - -,b6a6
4R3/1p5r/p1p3p1/P4kP1/4nP1P/1P2B3/2K5/8 b - -,e4g3
rr4k1/2pqbppp/8/1p1pPb2/2nP4/2P2N1P/2B1QPP1/R1BR2K1 w - -,c1g5
r2qkbnr/pp1n1ppp/2p1p1b1/8/3P1B2/3B1NN1/PPP2PPP/R2QK2R b KQkq -,g8f6
2kr3r/pp2n1pp/q4p2/2pppP2/4P3/1P1P2P1/P1P3QP/1KBR3R b - -,d8d6
r2q1rk1/pb2b1pp/1pp1p3/3pnp2/2PPn3/1P4P1/PBQNPPBP/R2R2K1 w - -,d4e5
r2q1rk1/pb1pppbp/1p4p1/8/2P1n3/2N1Q1P1/PP3PBP/R1B1R1K1 b - -,e4c3
r1b1k2r/pp3ppp/2n1p3/2qp4/1PP1n3/P3P3/2QB1PPP/R3KBNR b KQkq b3,c5e7
8/1p3rp1/2p4p/p3p2P/P1k5/2P1KPP1/8/1R6 w - -,b1c1
r5k1/pp5p/2p1rbp1/5p2/8/1P2P1P1/P1R1NP1P/3R2K1 w - -,d1d7
1b6/5k2/1p1P4/2p1pK2/P1N5/8/8/8 w - -,c4e5
2r1k2r/3bbp1p/3ppp2/2q5/1p1NPP2/pP1Q1B2/P1P3PP/1K1RR3 b k -,c5b6
rn1qkb1r/pp2pppp/2p2n2/3p1b2/3P4/5PPN/PPP1P1BP/RNBQK2R b KQkq -,h7h6
4r1k1/2r2ppb/1ppqp2p/p7/PN1PP1P1/1B3P1P/1P3QK1/2RR4 b - -,d6b4
1r2r1k1/q3bppp/p2p4/2nPp3/n1N1P3/4BP2/P2QB1PP/1R1R2K1 w - -,d2a5
6k1/5ppp/p3p1n1/1p1QP3/8/5N2/PP3PPP/6K1 b - -,e6d5
rnbqkb1r/pp1ppp1p/1n2P1p1/2p5/2B5/1P6/PBPP1PPP/RN1QK1NR b KQkq -,f7f6
r1b4r/1p5p/p3P2k/6P1/P4b2/BQ1BN3/5PPq/2R1RK2 b - -,h6g5
8/p7/8/3K4/Pk6/8/8/8 b - a3,b4a4
r1bq1rk1/pppnnpbp/3p2p1/4p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,a1b1
8/5ppk/8/3PRp2/Pp4p1/4P2r/1P4K1/8 b - -,f5f4
r2q1rk1/3n1ppp/p3p3/1pb5/1P2Q3/4PN2/P4PPP/R1BR2K1 b - b3,c5b6
6k1/2n2pbp/2p1n1p1/1pP1p3/1P2P3/5NP1/1B3PKP/3N4 b - -,c7a6
4r1k1/2R5/1p1pNBr1/p2P1p1p/P1P5/2P2KP1/8/8 w - -,f6d4
6k1/5p1p/2qpp1p1/p7/nrP1P3/1r3P1P/1P1RN1P1/1RQ3K1 w - -,c4c5
2q2b1k/1ppb1r2/n2p1np1/3Pp1Pp/1PP1Pp1P/5P2/N2NBB2/Q4K1R b - -,f6g4
2r2rk1/pb1qbp2/1p5p/3p2p1/1P1Nn3/P2RB1P1/4PPBP/3QR1K1 w - -,d1b3
Q4bk1/5p1p/6p1/3N4/1p1q4/6PP/5PK1/8 w - -,a8b7
r1bq1rk1/1pn2ppp/1p2pb2/3P4/8/P1N2B2/1P2NPPP/R2Q1RK1 b - -,e6d5
8/8/R5k1/2Br2p1/5p1p/1PP4P/5KP1/8 b - -,g6f5
rnbqk2r/ppp1bppp/1n6/4p3/8/2N1P1P1/PP1PNPBP/R1BQK2R b KQkq -,e8g8
6B1/2n4p/8/5p2/Pp2pP1b/4P3/1kp1N1KP/8 w - -,g8h7
3r4/1n4pp/p1kbRn2/1p1p4/1PpB4/8/P1B2PPP/3R2K1 b - -,c6c7
8/ppp2n2/3k4/2p2K2/4P3/1P6/P1P1N3/8 w - -,e2c1
r1bq1rk1/bpp2ppp/2n2n2/p2pp3/P3P3/2PP1N2/1PQNBPPP/R1B2RK1 b - a3,f8e8
q4r2/1pnb1pbk/2p3pp/3pP3/1P1P4/n3BNNP/2BQ1PP1/R5K1 b - -,a3c4
3k4/pR6/2p5/6p1/1P1pN1q1/P6p/4R3/5K2 w - -,e4c5
8/6kp/4p3/2Pn4/Q7/P7/2r2PPP/5RK1 b - -,c2c3
r1bq1rk1/ppp2p1p/1n2p1p1/3Pb3/4P3/1PN3P1/P4PBP/R1B1QRK1 w - -,d5e6
