7Q/3k4/p3q1p1/r3B3/2P2P2/7P/6PK/8 w - -,h8b8
2r1rnk1/pb1q1pb1/1ppP2pp/4B2n/1PBP4/PQN1PN2/5PPP/1R1R2K1 b - -,b6b5
r2q1rk1/p1pp2pp/n1b1pn2/2P1Np2/2P5/3BPP2/P5PP/1RBQ1RK1 w - -,c1a3
3r4/2k3pp/3bRB2/Ppnp4/2p5/6P1/P1B2P1P/3R2K1 b - -,g7f6
2rqkb1r/1p1n1pp1/p2pbn1p/4p3/4P1P1/1NNQ3P/PPP2PB1/R1B1K2R w KQk -,f2f4
6k1/2PR3p/p3rpp1/5p2/7r/2Q5/P5P1/7K w - -,h1g1
2n5/3k4/3P4/4BK2/6N1/8/8/8 w - -,g4f6
r2qk1nr/pp1nppbp/6p1/2pp4/3P1P2/1P6/PBPN1PPP/R2QKB1R w KQkq c6,d2f3
2kr1b1r/ppp2ppp/5n2/3P1b2/2B5/P4P2/1P1NN1PP/R3K2R w KQ -,e2c3
r2q1rk1/ppp1ppbp/2n2np1/8/4P1b1/5NP1/PPPN1PBP/R1BQ1RK1 w - -,h2h3
1r5r/R1nk1p2/3p2pp/1ppPp2P/4PPP1/1P6/2P2KN1/R7 b - -,g6h5
k1nr3r/ppq1bpp1/4p2p/3pP2P/b1pP1B2/PnP1QNP1/1P3PB1/1R2RNK1 b - -,c7d7
2rq2k1/3r1pp1/pp2p3/4P3/bPP3Rp/P1RBQ2P/6P1/7K b - -,a4d1
3k4/1p1bpr2/7p/2pP1pp1/P7/1P1B1P1P/6P1/1KR5 b - -,b7b6
r1bqr1k1/1pp1npp1/p2b1n1p/3p4/3P4/P1N2NP1/1PQ1PPBP/1RB2RK1 w - -,c2d1
r4r1k/bpp3p1/p1npq2p/4p3/2P5/3PNNBP/PP1Q1Pn1/2KR3R w - -,f3g5
1k3r2/2p1bppp/Pp1r3q/1n1pB3/3P2B1/2R2Q2/1P3PPP/2R3K1 w - -,g2g3
r1b2r2/pp3k1p/2nB1p2/3p2p1/2pP4/2P2N1P/P1PK1PP1/R3R3 b - -,f8d8
rnbqkb1r/1pp2ppp/p3pn2/8/2B5/4PN2/PP1PQPPP/RNB2RK1 b kq -,c7c5
4r1k1/ppq1rpp1/2p1b2p/8/1P2B3/6P1/P1QRPP1P/3R2K1 w - -,e4f3
8/8/p7/1p1k1ppp/2PN3n/PP1K1P2/5P1P/8 b - -,b5c4
2r1r1k1/1b3pb1/pp1p1npp/2nP2q1/P3p3/1PN1Q2P/1BP1NPP1/2R1RB1K w - -,e2f4
r1r3k1/p2q1pp1/4b2p/2pp4/8/4P3/PP1QBPPP/2R2RK1 b - -,a7a5
3r4/1p2r2p/p1p2kp1/P1Rb1p2/3P1P2/2N1P3/1P3K1P/4R3 b - -,e7d7
r5k1/1pr1ppb1/1p1pbnpp/n7/3P1B2/P1PB1N1P/1P1N1PP1/R3R1K1 w - -,d3g6
2r2r2/1q2ppbk/1n1p2pp/p1pP4/PnB1PP2/2N1B3/1P2Q1PP/2RR3K w - -,b2b3
6r1/2k2p1p/p2Rp3/P1P5/5p2/2P2P2/4K2P/8 w - -,h2h4
3br2k/pp1r2p1/2bppnqp/8/4PR1P/1BNQB3/PPP3P1/1K3R2 w - -,d3e2
r1b2rk1/pp3ppp/2n1p3/2qpP3/5P2/5RP1/PPP1N1KP/RNQ5 b - -,b7b5
r1bqr1k1/1p2bppp/p5n1/2pPp1P1/P1P1P3/2N4P/1P3P2/R1BQKBR1 b Q -,g6f4
r4rk1/1pp4p/3pN1n1/p2Pbp2/2P1p2q/P7/1P2NPKP/R1BQ1R2 w - -,f1h1
r4rk1/pp1bppb1/2np1np1/q6p/2PNP3/2N1BP1P/PP1QB1P1/R3K2R w KQ -,d4c6
b3k3/3n3n/p7/2p2QBq/Np2P2P/8/PPP5/2KR4 b - -,h7f8
rnb2rk1/pp3pp1/2p4p/8/1bPPNp2/8/PP2B1PP/R1BK3R w - -,c1f4
8/3k4/8/8/4b3/pK6/8/8 w - -,b3a3
3rr1k1/p3q1pb/2p1p2p/2pp4/1nP2PP1/1P1P2BB/P4Q1P/3R1R1K w - -,f4f5
r1bqk2r/1p2bppp/p1n2n2/4p3/3pN3/2P1P1P1/PP3PBP/RNBQ1RK1 b kq -,e8g8
r1r3k1/5q1p/4bppb/1p6/P1p1Pp2/B1PB3P/P1Q1N1P1/1R3RK1 w - -,e2f4
rn1q1rk1/1p2ppbp/1n4p1/p1Pp4/3P2b1/1PN1BN2/P3BPPP/2RQK2R b K -,b6c8
8/6k1/6p1/4p1P1/1r5P/4R2K/5P2/8 b - -,b4b5
2rr2k1/1b2qpp1/pp1pp1np/2n5/2PNPP1P/PPN3P1/6B1/2RQR1K1 b - f3,e7f8
8/p1bn1kpp/4p3/2p2p2/N1N2P2/1P2P3/P4KPP/8 w - -,f2e2
rnbq1rk1/pp3ppp/3bpn2/3p4/3P4/2N1P1B1/PP3PPP/R2QKBNR w KQ -,f1d3
r3r1k1/2p1n1pp/pbp2p2/1p3P1N/P7/1PB5/2P2PPP/R3R1K1 w - -,c3f6
r1bqk2r/pp2npbp/2np2p1/2p1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1 w kq -,b2b4
6k1/6pp/p7/1p1b1p2/1P6/8/PKP5/2R5 b - -,h7h5
3rq2k/5pnp/pp4p1/2b1n1P1/2PNQ2P/4P3/PB6/2R2RK1 b - -,h8g8
2r2b1k/1q1b1ppp/3p2n1/4p2N/p2BP3/P4PQ1/1PB3PP/3R2K1 w - -,d4c3
r2qkb1r/1p1n1ppp/5nb1/2p1p3/pP2P1P1/P6P/1BPN1PB1/R2QK1NR w KQkq -,g1e2
r4rk1/2q1bppp/p4n2/1pp2n2/3p1P2/3P1N2/PPPQ1BPP/R2N1RK1 b - -,e7d6
B7/5pk1/1p2p1pp/4b3/3q4/1P4PP/4QPK1/8 w - -,e2f3
2r2rk1/pp2qppp/2npbb2/2p5/2P5/4PN2/PPQBBPPP/R4RK1 w - -,f1d1
2r1nrk1/5p1p/3p2pQ/p2Pp1P1/1qb1P2P/2N3N1/RP1K1P2/7R w - -,h1a1
2bk4/1p6/p1p5/P2pKN2/1P1P2p1/2P3Pn/2B2P2/8 b - -,h3f2
6k1/p1p4p/1p1p1Qp1/3Pr3/2P5/1P4R1/q4P1P/6K1 b - -,a2b1
6k1/1P3pp1/4bb1p/p7/4Q3/P3P3/1r4rP/3R2K1 w - -,e4g2
8/1p5p/p1p3p1/P1PpkP2/1P6/2P1K2P/6P1/8 b - -,e5f5
r3rbk1/pp3p1p/2p3p1/2n1B3/4P2q/1PN5/2Q1BPPP/3R1RK1 b - -,e8e5
r3k2r/bpp1q3/p1p1bp2/4p1pp/PPN1P1n1/3P1N2/2P1QPPP/1RB2RK1 b kq -,e7d7
1r6/p7/1b2r2k/2nR2p1/1KP1p3/P3Pp1P/3B4/1R3B2 w - -,b1d1
r2r1nk1/b1q1n1pp/1pp1bp2/p3p3/P1N1P3/1N4P1/1PPBQPBP/R2R2K1 w - -,d2e3
4q1k1/p1n2pp1/8/R6p/KP6/1Q3PbP/6P1/8 w - -,a4a3
4r3/pb3p1Q/1p2k1p1/2p5/3p4/1P1P3P/P1P2KP1/8 b - -,b7d5
1r4r1/4p2k/n6p/1qpPp3/N3Pp2/P4P1P/1P2R2K/2RQ4 b - -,g8g3
qrr3k1/5ppp/p3pn2/N3n3/3NPb2/PB3P2/6PP/3RQ1BK b - -,h7h5
5r2/8/Pk6/8/4B1Np/4Kp1P/8/8 w - -,e4b7
2rr4/pp3k2/4b3/4p2p/3N1b1P/4N3/PPP3P1/1K1R1R2 w - -,g2g3
r4rk1/1ppbqpp1/p2b2np/3Pp2n/4P3/P1N2N1P/1PQB1PP1/R3RBK1 b - -,a8c8
r1q2rk1/pp1nppbp/2p3p1/8/2QPb3/4PNP1/PP3PBP/R1B2RK1 w - -,c1d2
4r3/r5bk/p3PpN1/2pQ1P2/7P/6P1/1P2R2K/1q6 b - -,b1f1
8/4rk1p/2prp3/1p2R3/p1nP1PB1/P1P5/KP6/4R3 w - -,e5e2
8/p7/1p1p4/5pk1/2P4p/3Qp2P/P3K1P1/6q1 b - -,g1g2
8/4kn1p/1pb5/2p1Pp2/2P5/1PN1K2P/P7/3B4 b - -,f7e5
8/8/3n4/2n1N3/p7/P3b3/2Rk2PP/1K6 b - -,d2e1
5r1k/6pp/1p3p2/1q1Q4/8/P5PP/1r3P2/4RRK1 w - -,d5b7
8/8/1P6/2k1bpR1/3n2p1/8/5PK1/8 w - -,g5g6
8/5rpk/p3p1pp/1pB1Pb2/3P3P/PP3Q2/5RPK/2q5 w - -,c5b4
1q1kn3/p1n3b1/3p2Q1/2pPp1P1/2P1P3/2NB1K2/Pr6/R1B5 w - -,c3b5
r5k1/pb4pp/2N1pr2/1pR2p2/1P1P1B1q/4P2P/5PP1/1Q3RK1 w - -,f4g3
6k1/6p1/Q2bq3/3b3p/2pp1p2/1P3P2/P2N2PP/2B2K2 w - -,d2c4
rn1q1rk1/pp2bppp/4p1B1/3pP3/P2P4/4Q3/1P1B1PPP/R3NRK1 b - -,f7g6
1rbq2k1/p3pp1p/n5p1/2N5/1P2Q3/P5P1/3rPPBP/2R2RK1 b - -,c8f5
1r3rk1/6bp/2q3p1/p2p4/b2Pp3/4P1P1/P2R2BP/1RQ1N1K1 b - -,g7h6
N2q2k1/1p3pbp/p3b3/3n1p2/3p4/8/PP2B1PP/2RQ1R1K w - -,e2c4
2r3k1/r4pp1/P2P2p1/R3p3/1B6/6P1/5P1P/6K1 b - -,c8a8
8/8/R7/5k1p/6pP/3r4/6K1/8 w - -,a6h6
5nk1/1p2q1pp/2p1p3/3n4/r5B1/1QB3PP/rP3P2/3RR1K1 b - -,e7f7
r1b1k2r/ppppqpQ1/5n1p/2b1p3/2B1P3/2NP4/PPP2PPP/R1B1K2R b KQkq -,h8g8
r2q1rk1/pp3ppp/2p2n2/4bb2/2Q1P3/2N3P1/PP3PBP/R1B1R1K1 b - e3,f5e6
r1b2rk1/2pp2bp/5qp1/3P1p2/p1p2N2/P5P1/NPP2P1P/1KQR3R w - -,c2c3
8/4k3/5p2/4nP2/5K2/6P1/3N4/8 w - -,f4e4
r1bq1rk1/pp3pb1/4p1pp/2pnN3/3n4/3P1NP1/PPP2PBP/R1BQR1K1 w - -,c2c3
8/1b2R3/k7/1p2K3/pP1p4/P1P1p2Q/5q2/8 w - -,h3e6
r2r4/4bppp/2k1n1b1/2ppP3/p5P1/B1P2N1P/P4P2/R2R1NK1 w - -,f1e3
1k6/1P3p1r/1b2p1p1/p7/P1KP1R2/7P/6B1/8 b - -,b6c7
5r1k/1p4pp/p7/3PP1b1/2Q1p3/2N5/1PK1N2P/R4q2 b - -,f1a1
r2q1k1r/pb1nbpp1/1p2p3/2p5/Q2PP2p/P1PBB2P/4NPP1/R3K2R b KQ -,a7a6
8/8/4R1r1/P2K3p/1B4n1/2Pk4/8/8 b - -,g4e3
2R2bk1/4pp1p/6p1/4P3/bp6/4KPP1/NP2B2r/8 w - -,a2b4
3r2k1/1bn1b1p1/1qn2p2/p1p2B2/1pP5/3P1Np1/PP3P1P/2QRRNK1 w - -,f1g3
2r2rk1/p1qpbppp/bpn1pn2/2p5/2PP4/4PNP1/PPQN1PBP/R1B1R1K1 w - -,d4c5
r3kb1r/3n1pp1/1q2p2p/pn1pP2P/R2P1B2/1NPQ2R1/3N1PP1/4K3 b kq -,b5a3
8/8/pr3R1p/4P1p1/1p1K2k1/6P1/P7/8 b - -,b6b8
rr4k1/5pp1/2Q2b1p/p3pq2/8/p3B2P/1P3PP1/3RR1K1 w - -,b2a3
4r3/p4k1p/1pp3p1/3p4/3P1nP1/2PBbPB1/PPK4P/4R3 b - -,f4d3
8/4k3/8/3P4/4p2P/P1P3K1/5PP1/1b6 w - -,g3f4
r3r3/1kpqbppp/N2p1nb1/Q1p1p3/4P1P1/3PBN1P/PPP2P2/2KR3R b - -,a8a6
rn2kb1r/ppq2pp1/2p1pnp1/3p4/2PP4/2N1PPP1/PP3K1P/R1BQ1B1R b kq -,b8d7:f8d6
2b2rk1/3n2r1/4Q3/p2Pb3/1pp1Pp2/5P2/PPBBN2P/7K b - -,g8h7
8/pp1bkp1p/3ppp2/2r2Pb1/4P3/P1NR2P1/1PP4P/1K3B2 w - -,h2h4
8/8/4k2p/6P1/8/pK6/1b6/8 w - -,g5h6
1rbq2k1/p1r1pp1p/3p2pb/3P1n2/2P1RNP1/8/P2Q1PBP/B3R1K1 b - -,f5g7
rq3rk1/1p1bbppp/p1n1p3/3nP3/8/P2B1N2/1PQ2PPP/R1B1RNK1 b - -,g7g6
8/6p1/p3pk2/8/p1P2P1P/P3RbK1/6P1/6r1 w - -,g3f3
4n1k1/2q1r1b1/p2p2pp/P1pr4/R4P2/5N1Q/1P5P/2B2R1K w - -,h3g2
1rq2n2/p1r4k/6p1/2pB1pPp/1p3P1P/4Q3/PPP2R1K/4R3 w - -,f2e2
8/4b1pp/2p1B3/pnk1p3/8/3K2P1/P2N1P1P/8 w - -,e6g8
r2q1rk1/ppp2pbp/2b3p1/2N1p3/8/P2PnPP1/1PQ2PBP/2R1R1K1 w - -,f2e3
2kr3r/pp3pp1/2pbn2p/3q1B2/8/2B4P/PPQ2PP1/R4RK1 w - -,f1d1
2r1r3/p1pbq1kp/1p1n2p1/3p4/P4P2/NPP2P2/3QPKBP/R4R2 b - -,d6f5
r4r2/p1p2q1k/1p1p2pp/3Pp2P/2P1P2b/2P1pPN1/P3Q1K1/3RR3 b - -,h4g3
2r3n1/p3rpk1/1p1q2pp/3pR3/3P2P1/P2B1P2/1P1Q1KP1/4R3 w - -,d2e3
4r3/6p1/2p1r2p/p2p3P/P4P2/2PB2P1/k2P1K2/1R6 w - -,b1b6
1r4k1/r4pbp/3R4/5p1n/3P4/p3BNP1/R4PKP/8 b - -,h5f6
8/p4pk1/6p1/7p/7r/P1R2P2/3K2P1/8 b - -,h4h2
1rbbr1k1/3nq1np/3p1pp1/p1pPp3/PpP1P1P1/1P1BN1NP/2Q2PK1/2BR3R b - -,g8f7
r1bqrbk1/pp1n1pp1/3p1n1p/2pP2B1/8/2NBPN2/PPQ2PPP/R4RK1 w - -,g5h4
rq2r1k1/1b1n1pbp/3ppnp1/P2P4/1Pp1P3/2N2NPB/2QB1P1P/1R2R1K1 w - -,d5e6
8/7p/p3pkrR/P2b1p2/8/1PrB4/2P2KP1/4R3 w - -,h6g6
4r3/5k2/p1pn1p2/2pp1bpQ/P6N/1PqPP3/2P1K3/2R4R b - -,f7e7
3N3r/5Q2/pP1q1ppk/5b2/3Pp3/P3P3/5PpP/1RR3K1 b - -,h6g5
4brk1/pr2ppbp/2p3p1/q1BpN3/3P4/1P3P2/P1P1Q1PP/R3R1K1 w - -,e2e3
r1r3k1/1b1nq2p/1p1bpnp1/2ppNp2/p1PP4/1P2PP2/PB1N1QPP/1BR1R1K1 b - -,f6h5
2kr4/1p2r1p1/2qbp1Qp/p6P/2PR2PB/8/PP6/1K1R4 b - -,a5a4
1r4k1/p4ppp/1p2b3/8/P5n1/6P1/1PP2P1P/R3R1K1 b - -,g8f8
8/1p1r2p1/p6p/P1p5/4pk2/2R5/1P2K2P/8 w - -,c3c5
r1b1k2r/1pp1q1p1/3p1pn1/p7/2PQ3p/P3P2P/1P2BPPB/R3K2R w KQkq -,b2b4
1r3rk1/2qnbpp1/p1n1p2p/1pp1P3/2PpQ2P/1B1P1N2/PP1BRPP1/R5K1 b - -,d7b6
r1b1k1r1/2q1bpp1/p2pp3/1pn3P1/3BPPpP/PNN5/1PP1Q3/2KR3R w - -,h4h5
2n1k1nr/1q1b1pp1/1p5p/pP1pP3/P2N4/N2BQ3/5PPP/R5K1 b k -,d7e6
r2qr1k1/5pb1/p1ppb2p/1p2n1pn/2P1P3/1PN1NP2/P2QBBPP/2R2R1K b - -,h5f4
4r1k1/1p2qppp/p2R4/4n1P1/2r1P3/1N5P/PPP3Q1/1K5R w - -,h1d1
6k1/5p2/p4qp1/np1R3p/8/1P3PbP/P3Q1P1/5K2 w - -,e2d1
r3k1nr/pp1q1ppp/2nb4/2p1p3/3pPP2/3P1N2/PPP1Q1PP/R1BN1RK1 b kq -,g8e7
8/8/8/5k1K/3B2n1/6P1/8/8 b - -,g4h2
r1bqkbnr/p1p2p1p/2pp2p1/8/4P3/3B4/PPP2PPP/RNBQK2R w KQkq -,e1g1
r2q1rk1/pp2b1pp/2pppn2/4p3/P3P3/2PP3P/1P2QPP1/RNB1R1K1 b - -,f6d7
5rk1/pb1n2bp/1p2r1p1/2p2p2/2P1P3/4B3/P2NBPPP/2R1R1K1 w - -,e4f5
2qR4/2P2kb1/1p1Qb2p/5p2/4r3/6P1/2N2P1P/6K1 b - -,c8a6
2rq1rk1/1b1nppbp/1p4p1/pP1p4/N2Pn3/3BPN2/PB3PPP/2RQ1RK1 b - -,e4d6
r1bq1rk1/pp1n2pp/2pbp3/3p1p2/2PPn3/2N1PNP1/PP3PBP/1RBQ1RK1 w - -,d1c2
2r5/pp2kp1p/4p3/3n1pr1/P1q5/2P2QN1/7P/R2R3K w - -,d1d3
8/p7/5N1p/Pk4p1/1n2K3/6PP/5P2/8 b - -,b5a5
2rr2k1/2q1bpp1/pP5p/3npb2/1p6/3N1P1P/1PP2BP1/R2RQBK1 b - -,d5b6
1r1q1r2/3b2kp/2np1pp1/p1p1p3/Pp1nPP2/1P1P2PP/2PQNRBK/5RN1 b - -,d8e7
8/5pk1/6p1/5r2/1P1prq2/P2Q2Rp/4PP1K/5R2 w - -,h2h3
4r1k1/3q1r1p/R2p2p1/1ppNb1B1/4P2P/1PPP1p2/3K1n2/3Q3R w - -,d1f1
r1b1qrk1/pp3nbp/n2p1pp1/1NpPp3/2P1P3/5N1P/PP1BBPP1/2RQR1K1 b - -,e8e7
r1b2knr/1p3pbp/6p1/1B1Pp3/Pp1pP3/2q4P/3N1PP1/RQB1K2R b KQ -,g7h6
5k2/2q5/1n4p1/Q1b5/1p1p1P2/3P1B2/2P2BK1/8 b - -,f8g7
r1k2b1r/pppn1ppp/4bn2/4p1B1/4P3/2NB1N2/PPP2PPP/2KR3R b - -,h7h6
r4rk1/p2bp2p/3p1ppb/2p5/3BPP2/1P6/P1PRN1PP/5RK1 w - -,d4e3
2r2rk1/pb3ppp/1p2pn2/2B5/2B2P1q/PP2P3/3NQ1PP/2RR2K1 b - -,c8c5
r1bqk2r/1p3ppp/p2p2n1/2pPp2B/2P1P2b/2N3B1/PP3PPP/1R1Q1RK1 b kq -,h4g3
r1bnqrk1/4n3/p2P2pp/1p3p1P/5P2/1NB5/PPP1B1Q1/2KR3R b - -,c8b7
8/7p/8/8/2kRpp1p/2P4P/1r3PP1/5K2 b - -,c4c3
8/6R1/5rpp/3p2k1/6P1/3Bb3/8/4K3 w - -,d3e2
rqbr1nk1/pp3ppp/3ppb2/4P3/N2P4/1P4P1/PB2QPBP/2RR2K1 b - -,f6e7
8/6kp/pq1bp1p1/1p1p1p2/3P1P2/P1P1P1P1/1KQ4P/1N6 b - -,h7h6
2b5/5k2/pPp3p1/3p2K1/1P3P2/P7/5B2/8 b - -,c8b7
r1b2rk1/2qpbppp/ppn1pn2/8/2PNP3/1PN3P1/PB3PBP/R2Q1RK1 b - -,c8b7
2r3k1/2q3p1/5p1p/8/3PP3/1Rp4P/2Q3P1/7K b - -,c7c4
8/1bB3kp/p5p1/8/4P3/3B4/Pb4PP/7K w - -,h1g1
5r2/6bk/3N2pp/8/6b1/1N3BP1/5P1P/4R1K1 b - -,g4f3
8/5p1p/2p1k1p1/pp1q4/P4QPP/2P1P3/5P2/6K1 w - -,g4g5
1r4k1/pp5p/n5p1/2pPb2P/2P1P3/P1N5/1P4K1/R1B2B2 b - -,e5d6
3qnrk1/2n1p1bp/3p1ppB/1bpPP3/1rB5/1P3NNP/3Q1PP1/2R2RK1 w - -,h6g7
8/8/p7/1k3p2/1Pp2Bp1/P1K3P1/8/5b2 w - -,f4b8
1rb1rqk1/5p1p/p4np1/1ppPp2n/N1P1P1P1/PR2PB1P/3N2K1/3Q1R2 b - -,c8d7
1k1r2r1/pp3p1p/6P1/3pq3/3R4/1P2P2P/P1Q2P2/R4K2 b - -,g8g6
5k2/5p2/2N3p1/1P6/K7/2R4p/6q1/8 w - -,b5b6
rn1q1rk1/pb2bpp1/1pp1p2p/8/3P4/P1nBPN2/1PQ2PPP/R1B2RK1 w - -,b2c3
r7/pbr3p1/3n2kp/1p1pR3/1P1P1P1P/2P1N1P1/P7/2R1B1K1 w - -,e5e6
r1b2rk1/p1q1bppp/2pppn2/8/4PP2/2NB4/PPP1Q1PP/R1B2R1K b - -,f6d7
1n1rk2r/1p1bbp1p/pN1ppp2/7q/2B1PP2/1N6/PPP2Q1P/1K1R2R1 w k -,c4e2
r2qkbnr/pp1n1pp1/2p1p2p/3pPb2/3P4/4BN2/PPP1BPPP/RN1Q1RK1 b kq -,g8e7
6k1/1p3p2/5Pp1/p2qr2r/7R/4R3/5Q2/6K1 w - -,h4h5
8/6k1/1p4p1/5b2/2Pp3p/3Pp3/1B4PP/6K1 w - -,b2d4
r2q1rk1/1p2bppp/n1pp1n2/p3pb2/2P5/P1NPPN2/1PQ1BPPP/R1B2RK1 w - -,f1d1
8/7p/6p1/4k3/5P2/4KP1P/8/8 b - -,e5f5
5r2/1b4k1/1p4q1/p2pP3/1p3R2/3QP3/P4PBK/2r5 w - -,d3g6
2r3k1/q4ppp/4p3/1pp1P3/3p4/1b1P3P/3NBPP1/2Q3K1 w - -,d2b3
8/5p1k/1pp1b1p1/p3p1qp/2PbP1P1/1P1QN2P/P3BPK1/8 b - -,a5a4
4r3/pbp2kp1/np1p3p/5P2/2nN1R2/2P1P3/P5PP/2B1R1K1 w - -,d4e6
r2qk2r/ppn1bpp1/2p1pnp1/8/1PPPNB2/P4N1P/5PP1/R2Q1RK1 w kq -,e4c5
3q1k1r/1b2b1pp/pn2p3/5p2/4N3/2P5/1PBBQPPP/R5K1 w - f6,e4g3
r3r2k/6pb/2q4p/4p3/B1p1P1P1/N1bp1P1Q/R4B1P/4R1K1 b - -,a8a4
8/4b1pp/p3kp2/1n2p3/1PK1P3/2B2P2/2N2P1P/8 w - -,c3d2
8/8/3k4/5BP1/P4K2/8/3b4/8 w - -,f4g4
1qr2r2/3b1p1k/p4bp1/1p2p2p/2P1P3/1P3P2/P2QB1PP/2R1R2K w - -,d2d7
1r1q1rk1/p1n1ppbp/3pb1p1/1Pp5/P7/5NP1/1PQBPPBP/R4RK1 b - -,a7a6
rn1qk1nr/pp3pbp/2ppp1p1/8/3PPPb1/2N2N2/PPP1B1PP/R1BQK2R w KQkq -,e1g1
r4rk1/pp1q1pp1/2pbpn1p/8/3P4/1QN2BP1/PP2PP1P/2R2RK1 w - -,f1d1
5rk1/3n2pp/1rp1p1b1/p3P3/3B4/PP2P1NP/5PK1/R1R5 b - -,c6c5
5k2/8/3p2p1/3Q3p/1p2P3/1Pq4P/P5B1/7K w - -,d5d6
5k2/pp3pp1/2pq1n1p/3p1Q2/3P4/2PB2P1/PP3PKP/8 b - -,d6d8
8/1p6/p1b1k3/7R/PP2n3/4K2P/5p2/8 w - -,h5h6
2rr2k1/5p1p/1q3np1/p1ppQ3/8/1PRbP1P1/P2N1PBP/4R1K1 b - -,d3f5
8/4K3/5pp1/R4b1k/7P/8/7P/8 w - -,a5a4
r1bq1rk1/pp2n1bp/5np1/2pPpp2/4P3/2P1B1PP/PP1NN1B1/R2Q1RK1 w - -,e3c5
2r3k1/p4pbp/1qPB2p1/2P1p3/Q2p4/6PP/P4PK1/4R3 b - -,b6c6
1r2r3/1q3bk1/3b1p2/2p5/P1Qp2p1/1N1R4/1PPB1P2/1K1R4 w - -,c4b5
r1b1k2r/ppp2pb1/2n1p1p1/4P2p/3qpP2/1PN3Q1/PBP3PP/3RKB1R b Kkq -,d4b4
6k1/3b2pp/p4p2/5P2/1p2P1P1/1Pp2BNK/P1Pb4/8 w - -,f3e2
1R6/pp3rk1/2p5/4P1N1/2n5/5P2/PP6/1K6 b - -,f7e7
8/2k4p/r1b1pPpP/3p4/pRpP1K2/P1P3P1/5P2/8 w - -,b4b8
r4q1k/1ppbnr1p/p2p1b2/3PppBP/2P1P3/2N2P2/PP1QN1R1/2KR4 b - -,f6g5
r1bqk2r/pp1p1ppn/4p2p/2b1n3/6Q1/2N5/PPP2PPP/R1B1KBNR w KQkq -,g4g7
8/5p2/4k3/1PR1r3/1K6/8/8/8 b - -,e5c5
rn5r/pp2kpp1/1qp4p/3p1b2/3Pn3/2NBPN2/PP3PPP/1R1QK2R w K -,d3e4
3rk3/1Q3R2/p2q1pp1/6p1/8/1P4P1/P4PK1/8 b - -,f6f5
3k4/R7/2B1r1N1/2K5/7p/3P2b1/4b3/8 w - -,a7d7
8/5r1k/p2pR2p/5p2/P1pb1P2/5P1P/6RK/8 w - -,e6d6
1r1k4/Rp1b1p1p/4p1p1/4P3/1PpN1P2/1P2K2P/6P1/8 w - -,b3c4
r2q1rk1/p1pb2bp/2np1pp1/2p3B1/2P1P3/2N2N1P/PP3PP1/R2QR1K1 w - -,g5e3
