8/R2pk3/1p2p3/1P4p1/2P5/1PK3Pr/8/8 w - -,a7b7
1r6/3k1p1p/4p1p1/p2pP3/NrnP1P2/8/R5PP/R5K1 w - -,a4c5
7b/rp3p1p/1Nn1p1k1/p1P2p2/P3p3/2P5/1P2KPPP/3R4 b - a3,h8g7
r6r/pppb2k1/3p1q2/P1PPp1nB/4P3/2NN4/1P4RQ/7K w - -,h2h4
1r4k1/5R2/5PP1/8/8/1K1n4/4p3/R7 w - -,b3c3
r2qk2r/pp1bppbp/2np1np1/2p5/4P3/2PPBPP1/PP2N1BP/RN1QK2R w KQkq -,e1g1
rn1qk2r/pp1bppbp/3p1np1/1B6/2PNP3/2N1B3/PP3PPP/R2QK2R b KQkq -,b8c6
7R/8/1RP5/5nr1/5p2/KP6/6k1/8 b - -,f4f3
r1b2rk1/1pq3pp/p2bpn2/3p4/3B1P2/5BP1/PPPQ3P/R2N1RK1 b - -,c8d7
r3r1k1/ppq2pb1/2pp1n2/6Q1/2PP4/2N3P1/PP4PN/1K1R3R b - -,f6e4
2r1k2r/1b3ppp/pn2p3/1pqpP3/3N1P2/1P4P1/P1PQ1RBP/R5K1 b k -,c5c3
8/2K1k3/3p3p/1P4r1/4R3/8/7P/8 b - -,e7f6
1rbq1rk1/1p2npbp/3p2p1/p1pNp3/2Pn4/P1NP2P1/1P2PPBP/R1BQ1RK1 b - -,e7d5
7k/6pp/p2p2r1/Pp2p3/1P3P1r/2P3qP/4Q1P1/5RRK b - -,g6h6
1k6/1p5p/1q4p1/8/1nRR1p1P/bB3P2/P3N3/1K6 b - -,b4c6
rnb2rk1/1p2ppb1/p2p1n1p/q1pP2p1/2P4B/2NBPN2/PP3PPP/R2Q1RK1 w - -,h4g3
rn1q1rk1/pbp2ppp/1p1pp3/8/2PPn3/2B1PN2/PP2BPPP/2RQK2R w K -,e1g1
2rq1rk1/1p4bp/p2p1np1/P2Pn3/2N5/R6P/1PQB1PP1/4RBK1 b - -,d8c7
4r1k1/4rqpp/2p2n2/1pPpR3/1P1P4/2N4P/Q5P1/4R1K1 b - -,e7e5
3n4/8/1k6/3K4/8/3B2B1/8/8 w - -,g3h4:d5d6
2rr2k1/1b1nbppp/ppqpp3/8/1PPBP3/2N2P2/P2QB1PP/2RR2K1 w - -,d2e3
8/8/7p/2b2Np1/pk4P1/5P2/P1K5/8 b - -,c5f8
8/5p2/5kp1/2b1p2p/2B1P3/1P1K1P2/6PP/8 b - -,f6e7
r1b1r1k1/pp1nqpp1/1np4p/4p3/3P4/1BN1PN2/PPQ2PPP/3RR1K1 w - -,a2a4
8/pp1r2p1/7p/4pk2/P1Nb4/1P6/2K2PPP/3R4 w - -,f2f3
8/1p3p1p/1N2k1p1/4b3/4K3/P5P1/2N4P/8 b - -,f7f5
r3k2r/1ppqn1bp/p2pb1p1/4n3/2PN4/2N1B2P/PP1QBPP1/R3K2R w KQkq -,d4e6
8/8/1p4p1/1Bp1k3/5pKP/2N1p3/5r2/8 b - -,f2g2
8/8/1p1npkp1/p2p3p/1n1P1PPP/1P3P1B/1P1K4/6B1 w - -,h3f1
r1b1kb1r/1pq2ppp/p1n1pn2/2p5/2BP4/4PN2/PP2QPPP/RNBR2K1 w kq -,b1c3
2kr3r/ppq2pp1/2pnpnp1/3p2N1/3P1P2/2PB2PP/PPQ2P2/2KR3R b - -,d8e8
r1bq1rk1/ppp1ppbp/2n3p1/4P3/5Pn1/2N2N2/PPP3PP/R2QKBBR b KQ -,f7f6:d8d1
r1bq1rk1/pppn1pbp/3p2p1/4p1Pn/3PP3/2N1BN2/PPP2P1P/R2QKBR1 w Q -,d1d2
3qrrk1/pp1bb1pp/2n1p2n/3p4/N2P4/P2B1NB1/1P3PPP/2RQR1K1 b - -,h6f5
r4rk1/1pq1bppp/p1n1b3/8/4Q3/1N2B1P1/PP2PPBP/R4RK1 b - -,a8d8
r6k/1R4p1/2p2p1p/p6P/2P5/Pn3P2/5KP1/5B2 b - -,a5a4
4r1k1/1pp3pp/5p2/p2P4/2PRr1P1/4PR2/PP1K3P/8 w - -,d4e4
8/1p3p1p/1np3p1/3k4/p2P1B1P/Pb1B1P2/1P1K2P1/8 b - -,d5e6
8/ppb4k/8/5pN1/5n2/7P/PP5P/5R1K b - -,h7g6
8/6pk/2q3rp/2b5/1p6/1P2p1B1/2P1Q1PP/R6K b - -,c6e4
r4rk1/3b1pbp/pq1p1np1/2pPn1B1/4P3/R4P2/1P1QBNPP/3NK2R b K -,d7b5
r2q1rk1/p3bpp1/2p1pn1p/2pp1b2/2P5/1P1P2P1/PB1NPPBP/R2Q1RK1 w - -,e2e4
r1bqkb1r/pppn1p1p/3p1np1/4p3/3PP1P1/2N4P/PPP1NP2/R1BQKB1R b KQkq -,f8g7
r7/p2br1bk/2p2nqp/2P5/Q2Np3/2N2pPP/P4K2/2BRRB2 b - -,f6h5
rn1qk2r/1p2bpp1/p2pbn1p/4p3/4P3/2N2N1P/PPP1BPP1/R1BQ1RK1 w kq -,a2a4
rnbqr1k1/pp2bppp/3p4/2pP3n/2P5/2N2PB1/PP1NB1PP/R2QK2R b KQ -,h5g3
6k1/2Qn1q1p/1p2r1p1/3N1p2/3P4/4P3/6PP/4R1K1 b - -,g8g7
4rn1k/1P1b1pqp/p7/2pprP2/3N2Pp/3BP2R/PP3Q2/1K3R2 b - -,e8b8
4k2r/p4ppp/2N3b1/8/6P1/P6P/1r1b1PB1/R4RK1 b k -,a7a6
1r1q1rk1/pp2pp1p/1np3p1/8/3N4/1Q1P1BP1/PP2PP1P/2R2RK1 b - -,d8d4
1k1r4/p5p1/1p4pp/3pP3/3P1r1P/5P2/6PR/R1K5 w - -,a1a4
5r1k/1p4b1/p1pQp3/P3Pbp1/1PP2pB1/5P2/1B1R2KP/1q6 w - -,g4f5
r5k1/1p6/pP2rbpp/4p3/4p3/4B1P1/P4P1P/R3R1K1 b - -,f6g5
r1b2rk1/pp2p1b1/5q1p/2pPp1p1/2B5/6B1/P1PQ1PP1/1R2R1K1 b - -,f6d6
3r2k1/pp1r1pb1/2p3p1/2n2N2/4P3/2P5/1PB3PP/3RR1K1 w - -,d1d7
r2qk2r/2pb1pb1/p1npp2p/1p4p1/3PP1P1/2N1QPN1/PPP3P1/2KR1B1R b kq -,e8f8
r2qkb1r/pb1n1ppp/1pn1p3/2p1P3/2Pp1B1P/N2P1N2/PP2QPP1/2KR1B1R b kq -,a7a6
r3k2r/pp1n1pp1/1bp3bp/4p3/2P1N3/1P4P1/PB2PPBP/R1R3K1 b kq -,e8c8
8/8/2r2p2/p1k1p1p1/P2p3p/1PrR1P1P/1KP3P1/3R4 b - -,c3d3
5r2/Q5b1/3q2k1/6N1/5PPP/4B1K1/8/8 b - -,g6h6
r1bqr1k1/1p1n1pbp/p2p2p1/2pP3n/P7/2N3PP/1P1NPPBK/R1BQ1R2 b - -,a8b8
Q6k/3q3p/p2b2r1/1pp5/3p1Pn1/3P4/PPPB3N/R6K b - -,h8g7
2r2r1k/pp1q1nbp/3p4/3Rn3/6p1/1Q2N1B1/PP2BPPP/5RK1 b - -,c8c5
4k2r/1bq2pbp/pp2p3/3p1p2/P1rN4/1QP1P1P1/1P3PBP/R4RK1 w k -,f1d1
rnbqkbnr/pp2pp1p/6p1/2pp4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq c3,d5d4
8/1p3b1k/1P1B1K2/p2pP2p/n2P4/5pr1/4B3/7R w - -,e2b5
6k1/2p1pp1p/6p1/8/8/1R2P1P1/3r1P1P/6K1 b - -,d2c2
5Q2/pppkr1pp/6qn/8/4p3/1P2P2P/PB1P2P1/5RK1 w - -,b2a3
r1bq1rk1/3nbppp/p2pp3/1p6/3BP1PP/2N2P2/PPPQ4/2KR1B1R w - b6,g4g5
3r4/pp1bk2p/1q2pprn/7Q/8/1BN5/PP1R1PPP/3R2K1 w - -,h5e2
4r2k/6pp/4rp2/1N1pq3/2p4P/3b1P2/3R1QP1/2R4K w - -,c1d1
1q2rnk1/p4pp1/1pR1p2p/4P3/1P6/4b3/PB2QPPP/1B1r2K1 w - -,e2d1
3rbrk1/1p2b1pp/p1nqp3/4N3/3Pnp2/P3BN1R/BPQ2PPP/R5K1 b - -,f4e3
2R1r1k1/p1q3b1/r1n1p1p1/3pPpPp/P1pP1N2/B1P3PB/2Q2P2/1R4K1 b - -,c7c8
8/p7/P1pk4/1r4p1/4K3/4P3/8/R7 w - -,e4d4
r4rk1/p1qpp2p/1p4pQ/4n3/2P1P3/1P5P/P3N1P1/R2R2K1 b - -,c7c5
8/3n1pk1/8/5P1p/4KP1P/6P1/B7/8 b - -,d7f6
2rqr1k1/1b1n1pp1/pP3b1p/3p4/5B1P/PQ3NP1/1P2PPB1/2R1R1K1 b - -,c8c1
r2r4/p1q4k/2R3pp/2n1p3/Q1P1N3/6P1/PP3PKP/5R2 b - -,c5a4
3qr1k1/1b1rbpp1/p2ppn1p/1p6/4PP2/P1NB3Q/1PP1R1PP/5RBK b - -,e6e5
r1bq1rk1/pp3ppp/2n2n2/8/3pN3/P2B4/1PP2PPP/R1BQ1RK1 b - -,c8f5
2b3k1/2p1q1p1/p3Pr2/1pN1Rr1p/1P1R4/4QP1P/6P1/7K w - -,e5f5
8/4qppk/2R1b2r/1Q1p4/3P3p/4P1P1/1P3PBP/6K1 w - -,b5c5
r7/pq3pbk/2p1b2p/2B1p1pP/2P1P1P1/1P2QP2/1P6/1K1R1N2 b - -,a7a5
1r3rk1/1bp2pbp/1p1pp1p1/p2nP3/3P1PBq/2PQ4/PP1N2PP/R1B2RK1 w - -,d3h3
5R2/7k/8/1r2p1KB/4Pp2/8/6P1/8 b - -,b5b2
r2qkb1r/2p2ppp/p2p1n2/1p3P2/4P1b1/2NQB3/PPP2PBP/R3K2R w KQkq -,e4e5
r2q1rk1/p3n1pp/n1p1bp2/1p6/2pPP3/4B1P1/PPQN2BP/R4RK1 w - b6,a2a4
r2q1k1r/p2b1ppp/1p3n2/2ppNQB1/3P4/4P3/PP3PPP/R3K2R w KQ -,f5f3
3r1rk1/1p1b3p/3p4/2n2p2/P1P2Nq1/1PQ2R2/2B3PP/R5K1 b - -,g8f7
r2q1rk1/pp2bppp/2npbn2/2pNp3/P3P3/3P1N2/BPP2PPP/R1BQR1K1 w - -,c2c3
1r1qr1k1/p4pp1/4bn1p/2pp4/5Q2/1PPB2NP/P4PP1/R3R1K1 w - -,b3b4
r2qr1k1/2pp1pbp/1p4p1/pPnP4/3N4/BPn1P1P1/5PBP/R2Q1RK1 w - -,d1c2
r4rk1/p2bbppp/2n1p3/P2p3n/2pP1B2/1pP1PN1P/1P1N1PP1/RB3RK1 w - -,f4h2
r2q1rk1/pp2b1pp/2p5/3pBb2/P4P2/8/1PPQN1PP/R4RK1 b - -,e7f6
3k4/2p5/1pK5/7p/p1P2P2/Pn1B4/1P6/8 w - -,f4f5
rn1qk2r/ppp2ppp/1n1p4/8/2PP3b/3B2P1/PP2Q2P/RNB2RK1 b kq -,h4e7
1r1r2k1/1q2b1pp/bp3p2/p1pnpP2/P1P1P3/1PR1BB2/5QPP/4R2K w - -,e4d5
rnb2rk1/1p1q1pbp/pn2p1p1/6B1/2BPN3/5N2/PPP1QPPP/2KR3R b - -,b6c4
5k2/1pp5/1b1pn1p1/p6r/2KPP3/5NB1/PP3PP1/3R4 b - -,e6g5
7k/p3q2p/4b3/2B1P3/1P2p3/5rr1/P6K/R2R4 w - -,c5e7
r7/1p1k3r/6bp/3pPpp1/1bpP4/8/PP2B1PP/RN3RK1 w - -,a2a3
3r1bk1/1R3pp1/2r1p2p/1p2p3/P3N3/3P2P1/5P1P/R5K1 w - -,a4a5
r2qrnk1/p4ppp/np1b4/2pPN3/5B2/P1N4P/1P3PP1/R2QR1K1 w - -,e5c6
8/8/8/b3kPP1/2B3K1/2P5/8/8 b - -,a5c3
rnbqk2r/ppp1npbp/3p2p1/3Pp3/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,h2h4
8/2r2kbp/R4pp1/1p6/1P1Bp3/2P3P1/5P1P/5K2 w - -,a6b6
r4rk1/1p1Bb1pp/1q2p3/p2p4/Q2P2P1/P1N1Pn2/1P5P/R4RK1 w - -,g1g2
6k1/pp3pp1/5b2/3r2P1/2q1pQ2/2P1P1B1/1P6/4R1K1 b - -,f6e5
b7/6nk/4p1pp/B1b1Pp2/3N1PP1/7P/2Nr3K/8 w - -,a5d2
6k1/4R3/1r6/5KP1/8/8/8/8 w - -,g5g6
4r1k1/7r/p1Q1p3/3pR3/3P2qp/2P2p2/PPK2P1P/4R3 b - -,h7e7
5rk1/8/3p4/3P3p/R1P1P2P/1P4p1/1r4P1/4R1K1 w - -,e1f1
5rk1/1bp2pbp/1p4p1/P3p1q1/1PB1Pn2/7P/3N1PP1/RQ2R1K1 w - -,c4f1
5k2/pp3p2/8/2Pr2p1/1PR5/P5P1/5PK1/8 b - -,f8e7
r1b1r1k1/pppn1pbp/2n2qp1/4p3/2N5/1P2PNP1/PBP2PBP/R2Q1RK1 b - -,f6e7
8/1b1R2kp/pn6/1p1P2q1/1P6/PB2b3/6PP/3QR2K b - -,b6d7
rnb1qrk1/ppp2pbp/5np1/4p1B1/4P3/3B1N2/PPPN1PPP/R2Q1RK1 b - -,h7h6
2r3k1/p2q2pp/2p5/3pPb2/1pnQ1N1P/4P3/PP3P2/2K3RR b - -,c8e8
8/1R3pk1/P4b2/6p1/2B4p/r5P1/4K2P/8 b - -,h4g3
8/3r2k1/1r6/4p3/4B3/2R1KP2/8/8 w - -,c3c5
4r3/3nRkb1/pp4pp/2pP1p2/2P2P2/5K1P/P2B1NP1/2R5 b - -,e8e7
4k3/5p2/3Q4/8/4P3/5P2/4K3/2q5 b - -,c1c3
8/6k1/R7/5BP1/8/p4K2/Pb6/4r3 w - -,a6a7
r1b1k2r/2q1bppp/p1nppn2/1p6/4PPP1/1NNB4/PPPBQ2P/R3K2R w KQkq b6,g4g5
8/1p3p1p/4k1p1/p2pP3/2r2PP1/P2K4/1P5P/5R2 b - -,a5a4
8/8/2NP3k/1p5p/p3p3/P4rP1/1PBpK2P/8 b - -,f3f7
8/8/R5k1/6P1/7K/8/8/1r6 b - -,g6g7
r2r2k1/5ppp/p5q1/1p1p2bb/3N2P1/PQ2B2P/1P2BP2/3R2K1 w - -,g4h5
8/1p2k3/2pp2r1/p3nb2/P1P3B1/1P3PK1/5N2/3R4 w - -,d1d2
2n5/4pk1p/4p1p1/2KpP3/1P3P2/P1R3PP/3rB3/8 w - -,e2a6
1r6/5pkp/4p1p1/1P1q4/3bPQ2/6P1/7P/1R1R3K b - e3,d5d8
3r4/5k1p/1n2ppp1/3n4/1pRB1P2/6PP/PP3KB1/8 w - -,d4b6
8/7p/5Rpk/1p6/1r4qn/5P2/7P/5R1K w - -,f3g4
2q4k/3n1ppp/8/1Q6/8/6P1/5P1P/4R1K1 b - -,d7f6
8/8/1kp1pp1p/2bp4/5r2/1P1R1NP1/P4P1P/5K2 b - -,f4f5
8/8/3k4/4pb2/2B5/1N6/5K1P/8 b - -,d6e7
r3k3/4bp2/1pq1p1p1/1N1pP1Pp/R2P1Q2/1pP5/1R3P1P/7K b - -,a8a4
rn1q1rk1/pp2npbp/2p1p1p1/8/3Pp3/2N1BB1P/PPPQ1PP1/R4RK1 w - -,c3e4
r1b2rk1/pp3ppp/5n2/2qp4/3Q4/5NP1/PP2PPBP/R4RK1 b - -,c5d4
7r/7P/6b1/k5N1/5K2/p7/8/2R5 w - -,f4e5
r3r1k1/5p1p/p1N2bp1/8/1PR1p3/4P3/P3K1PP/7R b - -,g8g7
1r4k1/5pp1/2p1p2p/R1PpP2b/1r1P4/7P/3N1PP1/4R1K1 w - -,g2g4
r1r3k1/1p1bn1bp/3p1pp1/1P1Pp3/2q1P2P/4B1P1/1R2NPBK/1Q3R2 b - -,c4a4
5Nk1/1R4p1/P2Kp2p/1P1p3P/3P2P1/3b4/r7/8 w - -,f8e6
rnq2rk1/ppp1ppbp/3p1np1/5b2/2PP4/1P3NP1/PB2PPBP/RN1QK2R w KQ -,e1g1
4r1k1/2pR1pp1/pb5p/4P3/1q3B1P/2r1PQ2/6PK/5R2 b - -,b4c4
4k3/1pp1P3/p4Rp1/2P1p1P1/1P2Kn2/2N4p/P7/8 b - -,h3h2
4r3/rpq3k1/1P2pp2/2Pp1bpp/1Q1P4/5N1P/P4PP1/4R1K1 b - -,c7b8
r1b2rk1/pp1nqppp/2n1p3/2pp4/3P4/2PBPN2/PP1N1PPP/2RQ1RK1 b - -,e6e5
2rq1rk1/pb1nbppp/1p1p4/3np3/P1B1P3/1P3N2/2P1RPPP/R1BQ2K1 w - -,c4d5
8/1k6/4p1p1/P1KpPp2/5P1P/2n1B3/8/8 b - -,c3e4
6k1/6p1/1p3n2/p2pnq1p/P2b1B1P/1P3PP1/6K1/3QN3 w - -,d1d4
r1bqr1k1/p4pb1/1pP3pp/2Nn4/3p4/3P2PP/P2BPPB1/1QR1R1K1 b - -,b6c5
5rk1/2Q3p1/3P2q1/p1p5/2P3pp/2B1p3/2P1B2P/6K1 w - -,d6d7
r5k1/2nnp1bp/p2p2p1/NppP4/P3Nq2/8/1PP1QPPP/3R1RK1 b - -,d7e5
8/3nB1p1/6k1/2p5/8/2P1R1K1/5PP1/3r4 b - -,g6f5
4n3/2b3rp/p1k2p2/2Pp1PpP/PPbBp1P1/4P3/1R1R1K2/8 w - -,d2d1
rn1qkb1r/pp3ppp/2p1pn2/3p4/3P1B2/3QP3/PPPN1PPP/R3K1NR w KQkq -,g1f3
r3k2r/1p1bbpp1/p2p1nn1/2pPp2p/PqP1P3/R1N1BNPP/1P1Q1PB1/4K2R w Kkq -,g2f1
5r2/pB1Qn1k1/3P2p1/8/P2b4/2q3P1/5P1P/1R4K1 b - -,f8f2
3r2k1/p2r1pbp/1p4p1/2pP2Pn/P3q2P/1P1R4/4NQ1B/3R2K1 b - -,d7d5
3k3r/1p2rn2/2p4P/2P5/8/1P1B4/1K2p3/4R2R b - -,h8h6
r2qkbnr/1pp3pp/p1np4/4p3/B7/2Pb1N2/PP1P1PPP/RNBQR1K1 b kq -,f8e7
2rq1rk1/pp1n1ppp/2pb4/5p1P/2PP2n1/1P2P3/PBQNB3/R3K2R w KQ -,e2g4
2rrb1k1/pq3ppn/3p3p/3PpPP1/1Pp4P/P4B2/1B1Q1K2/4R2R w - -,b2c3
2r3k1/R2n1p1p/3b1np1/3p4/P2B4/3NP2P/r4PP1/1R3BK1 w - -,g2g4
5nk1/1p1bb1pp/1q2p3/pP1pP2P/P1rP4/2NQB3/4B1P1/R4K2 b - -,b6c7
2r2rk1/1q2bppp/1p2p3/pN1pN3/P2Pn3/2PQPP1P/6P1/2R2RK1 b - -,e4d6
1r3rk1/1pqn1pbp/p1npp1p1/2p5/2PP4/Q3PN1P/PP2BPP1/1RBR2K1 w - -,c1d2
8/p4p1p/2bk2pP/3p2P1/5K2/P3P3/2B2P2/8 w - -,c2d3
6k1/1p3pp1/7p/p1B5/r7/1bP3PP/5P1K/1R6 b - -,b3d5
r2q1rk1/2pnbppp/p2p4/1p2p3/1P2P1b1/2PP1N1P/1P1N1PP1/R1BQR1K1 b - -,g4h5
3r2k1/1rq2pp1/4p2p/p3N3/1nP1Q3/6P1/1R2RP1P/6K1 b - -,b7b6
2rr2k1/pp1n1pp1/q3p2p/2p2b2/P1PP4/2P1B1PP/4QP2/R1R2BK1 w - -,a4a5
r4rk1/1bqnbppp/pp1ppn2/8/2PNP3/1P1B4/PB1NQPPP/3R1RK1 w - -,f2f4
8/pp6/2p2k1p/3p3P/3r2P1/6K1/PP6/5R2 b - -,f6e6
3q1rk1/1p1n1pp1/1bp4p/3p1b2/2nP3N/1Q2B1P1/P4P1P/R4RK1 w - -,h4f5
r2qr1k1/p1nnppbp/1p1p2p1/2pP4/P1P1P3/2N1B3/1P1QNPPP/1R3RK1 b - -,a7a6
2r5/pp6/5k2/5p1p/3P4/P5P1/1P6/1K5R b - -,f6g5
2rr2k1/1bq1bppp/p1n1p3/2P5/2p1PPP1/P3B2P/5QB1/1R1N1RK1 w - -,e4e5
4r3/pp1nrkp1/2p4p/4p3/1PP1R1PP/3P1NK1/P7/4R3 b - -,e8d8
3r2k1/1p3pp1/1P3b1p/8/1q6/p3B3/1n1N1PPP/1RQ3K1 w - -,c1f1
r2q1r1k/2p1b1np/p1np2p1/1p1Np3/B3P1Q1/2P4P/PP3PP1/R1B1R1K1 w - b6,a4c2
8/5pkp/2R1p1p1/pp6/1P6/P2r2P1/3r1P1P/1R4K1 b - b3,d3a3
2kr3r/Rbqn1p1p/3N2pB/2p1p3/1pP5/1P1B4/4QPPP/5RK1 b - -,c7d6
rnbq1rk1/1p3pb1/p1pp1npp/4p3/1PP5/2NP1NP1/P3PPBP/1RBQ1RK1 w - -,a2a4
8/8/5k2/7P/3R2P1/2r3K1/3p4/8 w - -,g3h4
r4rk1/bpqb1ppp/p4n2/3N1P2/8/1P1QP3/PB2B1PP/3R1R1K b - -,f6d5
r1bqk2r/1ppnbppp/p4n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1e2
8/1R1k3p/6p1/6Pn/4P2P/5P1K/7B/2r5 b - -,d7e6
8/5n1p/2pnbkp1/1p2p3/1P2PpB1/2N4P/1KPN1PP1/8 b - -,e6g4
8/2p3k1/2PpK3/1p1P2P1/8/2r5/2B5/8 w - -,c2b1
r2q1r2/p5k1/1p1p2p1/2pPp1b1/1PP1P1Q1/P1NN1p2/7R/4BB1K w - -,e1g3
r1b1k2r/pp2npp1/2n1P2p/3p4/8/2B2NP1/PP3P1P/R3KB1R b KQkq -,e8g8
rn2Qrk1/p1p1b1pp/1p2p3/3p1p2/2PP4/2BN2P1/PP2PPKP/R4R2 b - -,f8e8
rnbr2k1/1p2bp1p/3q1np1/pPNp4/B7/P3P1N1/1B2QPPP/2R2RK1 w - -,e3e4
r2qk2r/2p2bpp/p1nb1p2/1pp1p3/3PP3/2P1BN1P/PPQN1PP1/R4RK1 b kq -,c5c4
2n5/1Q3p2/1p2kp2/4p3/6P1/2q2N2/P3PPK1/8 b - -,c3c4
r1br2k1/4n2p/pp1qpbp1/3n1p2/1P1P4/PB1NBN2/4QPPP/2RR2K1 b - -,c8d7
2r2rk1/2q1ppbp/p5p1/Pp6/n7/2P1BQ2/1P1N1PPP/R4RK1 w - -,a1a2
8/8/3BK1p1/p4p1p/4kP2/7P/6P1/8 b - -,a5a4
3r4/3PR1pk/1q3p1p/p1n5/5P2/1p2P2P/3Q2PK/R7 b - -,a5a4
7r/1p1n2p1/4k3/QP6/3PpP2/8/5PBq/1R3K2 b - -,h2f4
2R5/5r2/8/8/8/8/3p2K1/3k4 b - -,f7f5
2r1k2r/3bnpbp/q1n1p1p1/p1ppP3/5P2/P1PP1NPP/3BN1BK/R2Q1R2 w k -,d1c2
1Qq3k1/1b4p1/pp6/8/2p4P/4P3/P1B2pP1/5K2 w - -,b8c8
2bq1rk1/5pbp/pr1p1np1/1pp5/2P2B2/2N3PP/PP2PPB1/2RQ1RK1 w - -,b2b3
4r1k1/1b4p1/pbp5/1p1pr1p1/1P1PPN2/2P1R3/P1B3P1/R5K1 w - -,f4g6
3r1r2/pp1bn1bk/1q4pp/n1p1p3/2N5/1PPQN1P1/PB1P1PBP/R2R2K1 b - -,d7b5
8/8/1Pk5/p1B1K3/8/8/8/8 b - -,a5a4
3r3k/5pb1/p4q1p/1p3p1B/2pr1P2/7P/PPR5/1K2Q1R1 b - -,d4e4
1kb3r1/pp3p2/2pb1q1r/8/3PB2p/PNR5/1P2QPP1/1KR5 b - -,g8e8
8/1p1k1n1p/2p3p1/N7/P7/1P5P/5qP1/Q6K b - -,f7d6
r2qr1k1/1b3pp1/pB1p1n1p/np1Pp3/2p1P3/P1P2N1P/1PBN1PP1/RQ3RK1 b - -,d8b6
2rrq1k1/pb3ppp/1ppp1nn1/3Pp3/1PP1P3/P4BP1/1B1Q1P1P/R2RN1K1 w - -,a3a4
1rbq1rk1/1pn1ppbp/p2p2p1/2pPP3/P1P2P2/1RN3PP/1P2Q1B1/2BR2K1 b - -,b7b6
r2qk2r/pp1n1pp1/3p2n1/2pPp2p/2P1P2P/2N3P1/PP3PB1/R1Q2RK1 b kq h3,d7f6
r3r1k1/pb1q2pp/1pp1p3/3p1p2/2PPn3/NP2P1P1/PQ3PBP/R2R2K1 w - f6,a1c1
2r3k1/1q4p1/4pp2/R2p4/2bP4/4N1PP/5P2/3Q2K1 w - -,g1g2
rnbqkbnr/pp3ppp/4p3/3P4/3P4/8/PP3PPP/RNBQKBNR b KQkq -,d8d5
