4n3/4P3/8/7k/5K1p/7P/8/8 w - -,f4f5
5rk1/p1Q2ppp/1r6/3p2q1/8/1P6/P1P2PPP/R4RK1 b - -,b6g6
r2q1r2/1b1nnpkp/pp4p1/2pp4/4P3/2PB1NN1/PP1Q1PPP/R3R1K1 b - -,d5e4
2r2nk1/2rq1pp1/1p2p2p/n2pP2P/Q2P2N1/P4NP1/1P2RPK1/R7 w - -,a4b4
1r1q1rk1/p1p2ppp/2p5/3pPb2/3Q1P2/2B5/PPP3PP/R4R1K w - -,d4a7
r3k2r/1p2bppp/p1n1pqN1/2Pp4/1P3B2/2P5/P2QBPPP/R4RK1 b kq -,h7g6
7k/1Q6/3q2p1/7p/7P/6P1/5PK1/8 b - -,h8g8
3qr1k1/pbrn3p/1ppb2p1/3p1p1n/3P4/2N1PNP1/PP2QPBP/2RRB1K1 b - -,d7f6
4rbk1/5ppp/1q1p4/r1nQp3/1pP1P3/1P4PB/5P1P/1RB2RK1 w - -,c1e3
2R5/5pkp/p2r1bp1/P7/1P6/2PK1N1P/5PP1/8 w - -,f3d4
3r2k1/p5pp/1p1q4/4pp2/1bP5/PP2PP2/6PP/Q1B2BK1 b - -,b4e1
3q2k1/1p4pp/1N6/pB1pp3/3b2b1/P3Q3/1PP3PP/2K4R w - -,e3g3
8/6Np/5p2/4kP2/6KP/8/8/4b3 w - -,g7h5
r4rk1/1b2q1pp/pn1bp3/2n2p2/PpBN4/1P2P3/1BQN1PPP/R4RK1 w - -,c4e2
5r2/8/1n1b2k1/1BpPprp1/p1P1K2P/R4PR1/3B4/8 b - -,d6e7
r3q2k/pppnp1b1/2b1Q1pp/5rB1/5PP1/2N5/PP2P2P/3RKBR1 b - g3,f5f7
8/6k1/6p1/6P1/1p1nN3/1P1p1B2/5P2/5K2 w - -,f3d1
r1r3k1/3qpp1p/2b3p1/ppp5/2P1P3/PPR2P2/3Q2PP/1R1B2K1 w - -,d2d7
6k1/pp2b1pp/2p1p3/2PqP3/1P6/P5BP/6P1/3Q3K w - -,d1c2
2r3kr/p1n2p2/2P1pbp1/q1P4p/2p1BP2/6P1/P3QB1P/1R3RK1 w - -,e2c4
r3rbk1/1q1n1ppp/p2p1n2/1b1Np3/1PN1P3/3QB3/P3BPPP/2R2RK1 b - -,f6d5
r1b2rk1/pp4pp/2n5/q3p3/2NPp3/4QN2/PP3PPP/R2K3R b - -,e5d4
6k1/p6p/1p1p1r1b/3N2p1/1PP1p3/P3PrPP/7K/3R2R1 b - -,f6f7
r2qkb1r/pp3ppp/2pNb3/2n5/Pn2PB2/2N2P2/1P4PP/R2QKB1R b KQkq -,f8d6
6k1/Qb2qpp1/4p2p/2pr4/2N5/6P1/PP2PP1P/5RK1 b - -,d5d7
1r3rk1/2qb1pb1/3pp1pp/2n1n3/3NPN2/2P1B1PP/2Q2PB1/RR4K1 w - -,b1b4
r3r1k1/p2p1pb1/np4p1/1N5p/1P6/4BqP1/P2Q1P1P/2RR2K1 w - h6,a2a3
q3r1k1/pb1r1n1p/1pn2b2/2p1pp2/2P5/P2P1NPP/1BQNRP2/2R2BK1 w - -,c1e1
3r1B2/7r/3P4/1p2pRp1/p1p1Pnk1/2P1K3/6P1/5R2 b - -,a4a3
2r2b1r/pp1n1k2/1qp1ppb1/3p1n1p/2PP3P/2N1B1N1/PP1QBPP1/R4RK1 w - -,g3f5
1r4rk/p1q5/1p6/4p1Bp/1PP3BP/P5Q1/8/3R2K1 b - -,h5g4
1r1qr2k/p4p1P/5n1b/2Npp3/1p3P2/6P1/PP1QN1BP/2R1R1K1 w - -,d2c2
8/4n3/5kp1/bN1p3p/5P2/3BPKP1/8/8 w - -,d3b1
6k1/r2pb1r1/Pq2p1p1/8/3RQP2/3B2P1/1PR3K1/8 b - -,d7d5
r1bqkb1r/1p1n1ppp/p1n1p3/2ppP3/3P1P2/1RN1BN2/P1PQB1PP/4K2R b Kkq -,c5c4
3r2k1/np1b1p2/rn2p1p1/1p1pP1Pp/1P1N1P1P/1RP5/P1NK4/R4B2 b - -,b6c4
1r2k2r/4bpp1/p4n2/2q1pPB1/2p5/P1P5/1P5P/1NKRQ2R b k -,h8h5
8/3n4/1p1P2p1/1Prkpp1p/P1N5/3K2P1/7P/2R5 w - -,c4e3
r7/1r1pkp1p/4pp2/1B6/nR6/4P1P1/1P3P1P/1K5R b - -,a4c5
1n4k1/3q1r2/4QPp1/4B2p/1Pp2P2/8/6PP/2R4K w - -,e6c4
r1bqk1nr/pppn1pbp/3pp1p1/8/2PPPP2/2N5/PP4PP/R1BQKBNR w KQkq -,g1f3
r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P2B/1PN5/P2NBPPP/R2QK2R b KQ -,c8d7:d8e8
4r1k1/pp3p2/2p1q2p/4P1r1/2bP1Q2/2P1R2P/P1BR2P1/7K b - -,c4a2
8/1p6/1pk2n2/4pBp1/PPP1P1P1/1K4P1/8/8 b - -,f6e8
1R6/1P4k1/1r3p2/8/4p1P1/8/3K1P2/8 b - -,b6b3
N5nr/pb1k1p1p/2n3p1/2pp3P/5B2/5N2/PbP1BPP1/R3K2R w KQ -,a1d1
r1bq1rk1/1pp1bppp/p7/BP6/2P5/3P1Q2/P4PPP/RN3RK1 w - -,a2a4
7r/1pQnkp2/p2p2qr/3Pp3/PB2P3/5RP1/1P3KP1/4R3 b - -,h8h7
8/8/1p5p/p1b5/2P1k1p1/1P4P1/1Bp1KP2/8 b - -,h6h5
1rbr2k1/1p3ppp/pNq2b2/3p4/8/4Q1P1/PP3P1P/2RR1BK1 b - -,c6e8
1b6/6p1/1p3k2/2pPpP1p/1PP1K2P/2B3P1/8/8 b - -,b8d6
2r2rk1/p2qppbp/1p1p2p1/5n2/1QPp4/1P1P1NP1/P1N1PP1P/R4RK1 b - -,b6b5
8/4k3/1p3pP1/p7/2r5/P5R1/KP2P3/8 b - -,e7f8
3qrrk1/2p2pnp/1p4p1/1PpPP3/2P3Q1/3B1R2/6PP/4R1K1 b - -,d8a8
3qnrk1/rp4bp/2p3p1/p1P2p2/P2P4/2B1PQN1/6PP/1R3RK1 b - -,e8c7
8/8/1k6/2p5/P7/1K4p1/3b1p2/5B2 w - -,f1g2
r5k1/2p3b1/3nb3/p1Q1p1qp/7N/P4p2/2B2P2/R2K3R b - -,a8d8
2rr2k1/1b1nbppp/pq2p3/1ppnP3/7P/PP1P1NP1/1B1NQPB1/2R1R1K1 b - h3,d7f8
r2q1rk1/pp2bppp/2n2n2/2P5/N2pb3/6P1/PP2PPBP/R1BQNRK1 w - -,e1d3
3r4/p4k1p/4Rnp1/8/3N4/2P2P2/PP4P1/1K6 w - -,e6a6
1r1q1bnr/Q1pk1ppp/3p2n1/4P3/5P2/2P5/PP4PP/RNB1K1NR b KQ -,d6e5
3rbbk1/2q2p1p/1p2pnp1/p1P1p3/4P3/NPQ1BPP1/6BP/R5K1 w - -,a1c1
4r1k1/1p3pp1/2p2nbp/p7/P2RP3/1PN2PP1/6BP/6K1 b - -,g8f8
8/8/k1p2p2/2Pp2p1/3P2P1/P3NP2/3Kb1P1/8 b - -,e2b5
rnbq1rk1/ppp2ppp/4pn2/3p2B1/1b1PP3/2NQ1P2/PPP3PP/R3KBNR b KQ -,b4e7
Rnq2rk1/5pbp/1p1p1np1/2pPp3/4P3/2N2Q1P/1PP2PP1/2B1KR2 b - -,c8b7
r1bqr1k1/pp3ppp/2pN1nn1/8/2PPp3/1P3NP1/PBQ2PBP/R4RK1 w - -,d6e8
1r4k1/pp1R4/7p/2P5/8/6r1/P1P4P/7K w - -,h2g3
r1bqr1k1/1pbn1ppp/p2p1n2/2pP4/4P3/2NB1N1P/PP3PP1/R1BQR1K1 w - -,a2a4
r7/1p3r1k/p2pb1pb/q1pNp2p/2P1Pp2/1P1P3P/P3QPPN/3RR2K w - -,e1f1
rn1qr1k1/pp3pbp/3p1np1/2pP4/2P3b1/2NB1N2/PP3PPP/R1BQ1RK1 w - -,h2h3
1r1q1rk1/1b2pp1p/2np2pN/p1p2PP1/np2PB1P/3P2N1/PbP2QB1/1R3RK1 b - -,g8g7
8/p2pkp1p/bp2p3/2r5/3NPP1n/P1PP2P1/1K1R2B1/8 b - -,h4g2
2kr1b1r/p1pn2pp/8/8/1pPq2Q1/7P/P2P2P1/RN3RK1 w - -,g4d4
r7/p3k1pp/1q1rp3/2p2p2/2P2P2/2Q3P1/PPK4P/1R3R2 b - -,e7f7
4Q3/1k1r2b1/3p2p1/1P1P4/5PP1/3K4/8/8 b - -,d7c7
3k4/p4pn1/1p2p2p/1B5p/1P6/P1R3P1/3r1PK1/8 w - -,b5a6
2r2rk1/p2q1ppp/1p1ppn2/6Q1/3P4/P1PR4/1P3PPP/2B2RK1 b - -,d7d8
r2qkbnr/ppp2p1p/2np2p1/4N3/2P1P1b1/2N5/PP1PBPPP/R1BQK2R b KQkq -,g4e2
2k4r/p1p3pp/2p1bp2/b1P1p3/8/1P1N2P1/PB2PP1P/5RK1 w - -,b3b4
rn2kb1r/pp2pppp/1qp2nb1/3p4/2PP3N/7Q/PP1NPPPP/R1B1KB1R b KQkq -,b8d7
2b5/8/8/PR6/3N2pk/1P2K3/r7/8 w - -,b3b4
4kb1Q/p4p1p/4r3/8/1p5P/1PNq2P1/P1nP1PK1/2B4R w - -,c3a4
2r1b1k1/p3q3/3R1rp1/1pPR2Q1/4p3/8/P4P2/6K1 b - -,g8g7
2R5/p2bkppp/1p6/b3p3/3n4/3PBB2/P4PPP/1R4K1 b - -,d4f3
8/p6p/1pk1p1p1/8/1BnPP3/3K2bP/P5P1/8 w - -,d3c4
8/6R1/8/1b2pk2/5p2/8/2r1r2P/3R2K1 b - -,f5f6
r1b2rk1/p2n1pp1/1pp1p2p/4N3/1qPP4/6P1/PPQ2PBP/R3R1K1 b - -,d7e5
5bk1/4np2/1p4pp/4P3/2rN1P2/P5P1/3BN2P/6K1 b - -,e7d5
8/6pk/5p1p/3P4/3N2b1/P4pP1/r3P2P/3R2K1 w - -,e2f3
5r2/8/7k/1R4p1/7p/8/5PK1/8 w - -,b5a5
r1b2rk1/pp1nqpbp/3p1np1/PPp1p3/2PP4/2N1PN2/1B2BPPP/R2QK2R w KQ -,d4e5
r1bqnrk1/2ppbppp/p7/1p2P3/8/1Bp5/PP3PPP/RNBQR1K1 w - -,b1c3
r3r3/1p1nkpp1/3p1n2/qNbPp1Bp/p1P5/P1R2P2/1P1Q2PP/4KB1R w K -,f1d3
rnb1k2r/p3nppp/1qp1p3/1p2P3/P1pP4/2N2N2/1P3PPP/R2QKB1R b KQkq -,e8g8
r2r4/p4k1p/8/3pn1p1/4p1P1/1P2P2P/P2R1K2/3R1B2 w - -,d2d5
2rq3r/pp1pkppp/2n1pn2/2b5/4P3/2N5/PPP2PPP/R1BQKB1R w KQ -,f1e2
r1br1nk1/ppq3p1/3bpp1p/4N2Q/3P4/2PB4/P2B1PPP/R3R1K1 w - -,e5g4
8/R4pk1/2p3p1/2Pq3p/3rp2P/P3Q1P1/1P3PK1/8 b - -,d4d3
r2qkb1r/1p3p1p/p1np2p1/2pbp3/P1B1P2P/3P4/1PP2PP1/R1BQK2R w KQkq -,c4d5
1rbq1rk1/4npbp/ppnpp1p1/2p5/P2PPP2/N1P1BNP1/1P4BP/R2Q1RK1 b - -,c8b7
2r1kb2/1bq2pp1/p2pp2r/8/2pQPPn1/P1N3B1/1PP4P/1KNR3R w - -,d4d2
6Q1/3nk3/3q1p1p/3Pp1p1/2P1P3/4P2P/6PK/8 b - -,d6b6
r1bqrnk1/pp2bpp1/2p1p2p/3nP3/3PQ3/2NB1N2/PP3PPP/R1B2RK1 w - -,f1d1
8/8/2N2k2/6pp/2B5/5KP1/4P3/7r w - h6,e2e4
3r4/1bq3k1/2np1pp1/2p4r/1pP1PPNp/1P6/1QN3PP/3RR1K1 b - -,d8f8
r1b2rk1/pp1n2pp/2pbp3/3pNpnq/2PP4/1P2PPP1/PBQ3BP/R2R1NK1 w - -,h2h4
2b2rk1/3Nppbp/p2n2p1/3P4/8/4B1PP/Nr3PB1/2R2RK1 b - -,c8d7
4b3/R5pk/3p3q/2p1p2p/2P1P3/3P3P/6Q1/6K1 w - -,g2f2
r1b1k2r/1p1n1pb1/p2pp1pp/q7/n2NPPP1/2N1B2P/PPPQ4/1K1R1B1R w kq -,c3a4
r5k1/3bppbp/q5p1/3PP3/1Pp2P2/pB2B3/4Q1PP/5RK1 b - -,c4b3
4r3/1ppb1kr1/3p1qp1/p5R1/PnP1PP2/1PN2B2/3Q4/1K5R w - -,h1g1
8/5R1N/6p1/7k/4p2P/5bP1/2r5/5K2 b - -,h5g4
8/5R2/6p1/k4p1P/1p3P2/6r1/1K6/8 b - -,a5a4
r1bqk2r/1pp1nppp/p2p4/2bPp3/3P4/2P3P1/PP2NPBP/R1BQK2R b KQkq d3,e5d4
r1q3k1/1b1n1ppp/p2bpn2/8/N2N4/3BP2P/1P1BQPP1/2R3K1 b - -,c8e8
r1b1k1nr/pp2ppbp/n5p1/1N1q4/3p4/2P1BN2/PP3PPP/R2QKB1R b KQkq -,g8f6
2kr1r2/Qp6/p1p1qp1p/4P1b1/1P6/P6P/6PB/1R1R2K1 w - -,a7a8
1q1rrbk1/1p1n1ppp/p1bpp3/8/P3PP2/1P2B1PP/N1PRQ1BK/3R4 b - -,d7c5
8/5R1k/2p2P1p/1p6/4NKP1/2p4r/7P/8 b - -,h7g8
r1bq1rk1/4bppp/2p1pn2/p2p4/2P5/1P4P1/P1Q1PPBP/RNB2RK1 w - a6,b1c3
r4r2/pp3P1k/2p1P1pB/4b3/P3P3/8/1P4K1/R4R2 w - -,f1h1
r4rk1/pp1nbppb/1qp1pn1p/3p4/2PP1BP1/1Q3N1P/PP1NPPB1/R4RK1 w - -,c4c5
rn2k2r/pp2np1p/2p2qp1/4p2B/3pP3/3P2QP/PPPN1PP1/R3K2R w KQkq -,h5d1
8/3k3P/3nR3/6N1/1p1p4/1K3PP1/4P2r/8 b - -,d6f5
1rbqk2r/p2nppbp/1p1p1np1/2p5/P2PP3/2N1B1PP/1PP1NPB1/R2QK2R b KQk -,e8g8
2rr2k1/p2bppbp/2np1np1/1pq5/4PPP1/2N2B1P/PPP1N2K/1RBQ1R2 b - -,b5b4
8/4kp2/1p2pnpp/p1r1N3/4PP1P/P3K1P1/1P1R4/8 w - -,d2d3
k2r3r/pb3ppp/2p2n2/1qbp4/1P6/6P1/P1Q1PPBP/1RB2RK1 w - -,b4c5
r4rk1/p1q2pbp/1pp3p1/P7/3pP3/3N1Q1P/1PP2PP1/R2R2K1 b - -,a8e8
r1bqk1nr/2p1npb1/p2p2pp/1p1Pp3/P3P1P1/2N1BN1P/1PPQ1P2/R3KB1R b KQkq a3,b5b4
r2q1B1k/ppp4p/3p1p2/2b1p3/2n1P1b1/5N2/PPP2PPP/R2Q1RK1 w - -,f8h6
6k1/4R3/p1p3pp/8/1Pr2PK1/P6P/8/8 b - -,g6g5
1Q1r4/P7/8/8/3BP2b/2P2p2/2K3kp/1R6 b - -,f3f2
8/2p5/3kp3/4p1r1/PP2P2p/1K3P2/8/2R5 w - -,c1h1
2kr1b1r/pppn1ppp/2b1p1q1/8/3PNQ2/5P2/PPP3PP/2KR1BNR w - -,h2h4
1Q6/p4pk1/3p1qpp/1pp5/2p3bP/2P2R2/PK3PP1/4R3 b - -,g4f3
1r5k/1Pp4p/2Pp1r2/p3p3/1P4nP/B3Pp1n/1R3P1P/5R1K b - -,a5b4
r1b1kb1r/pp2np1p/2n1p1p1/2pq4/3P4/2N2NP1/PPP2PBP/R1BQ1RK1 b kq -,d5d8
3R4/p5p1/2k2p2/7p/5P1P/2B1pnP1/PPr5/5K2 w - -,c3e1
r1bqk1nr/ppp2pbp/2n3p1/4p3/2B5/2N1PN2/PPPP2PP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/pp4np/3p1n2/2pP1p2/2P2P2/P1N3N1/1P1Q2BP/4RRK1 b - -,c8d7
1r3k1r/5q2/3Rp1Qp/1Bn1P3/p1P5/8/1P5P/2K3R1 w - -,g6f7
r1bqkb1r/1p1npppp/p4n2/3pN3/3P4/3B4/PPP2PPP/RNBQK2R b KQkq -,g7g6
r1bq1rk1/pp2bppp/2n2n2/2pp2B1/8/2PBPN2/PP1N1PPP/R2Q1RK1 w - -,b2b3
8/1r6/6P1/8/2p4K/3k2P1/1P4R1/8 b - -,d3e4
8/7p/6p1/8/3N2P1/7P/1p3P1K/2k5 b - -,b2b1q
8/5k2/p1Nb4/P2Pp1p1/2K3P1/7P/8/8 w - -,c4c3
8/5pp1/6k1/8/6P1/5K2/5P2/8 b - -,g6g5
3r3r/2k2p2/1pp2p2/p3pP2/R1P4p/3NnPbP/PP4P1/1KR2B2 w - -,a4a3
3r2k1/p4p1p/6p1/1p6/3bpB2/1P2P1P1/P1R2P1P/6K1 b - -,d4b6
1r6/1p2k2p/2pRb1p1/p1P2p2/P4P2/1PK1P1P1/7P/5B2 b - -,e6d7
5k2/1p3r2/p4nQP/8/P7/1P6/6K1/8 w - -,g6g5
8/r1R3kp/6p1/3Np3/3bP2P/5PP1/6K1/8 b - -,a7c7
r5k1/pb3ppp/5n2/4p3/2Q5/2N1BPPq/PP2P2P/R5K1 w - -,c4b4
5rk1/5pp1/7p/pBQp4/P2P1b1P/5P1b/2R2P1q/4K3 b - -,h2g1
8/8/p7/1p1b4/5Bp1/P7/1P3k1K/8 w - -,f4g3
3rr1k1/qp3pp1/1bp2nn1/3p3p/pP1N1P2/P2PPQPB/7P/B3RRK1 b - -,a7a6
8/R4pkp/1R2p1p1/1Pr1p3/P1r2P2/2n4P/1P4P1/7K w - -,b2c3
r3r1k1/2p2q1n/pp1p2pb/5pp1/P2P4/2P1P2P/1P1N1PQB/4RR1K w - -,f2f4
5nk1/2b3pp/r1p1b3/pp6/3Pp1P1/P1P1P3/1PNKN1B1/5R2 b - -,e6g4
r1b1k2r/1pqp1ppp/p3pn2/6P1/1b2P3/2N1BN2/PPPQ3P/R3KB1R b KQkq -,f6e4
8/5kp1/1nr2p1p/4p3/4P1PP/4NP2/8/1R4K1 b - h3,g7g6
5bk1/6p1/1pn2n2/pN1ppq1p/P2P1B1P/1P3PP1/8/3QN1K1 w - -,d4e5
5r1k/p2R3p/4R1p1/1P5r/8/1P3P2/P5P1/6K1 b - -,h5b5
r1bqk2r/pp2npb1/2n3pp/2p1p3/3pP3/P1PP1NP1/1P2NPBP/R1BQ1RK1 b kq -,a7a5
6k1/4bpp1/p2rq2p/1p6/8/1P1QB1P1/P4P1P/3R2K1 w - -,d3c2
1k4r1/ppq2pp1/2n1p2p/2p1PP1P/2P1Q1P1/2B5/PP6/1K1rR3 w - -,e1d1
8/2k3p1/pp2r3/n2p1p1p/P1rPp2P/R1P1P1P1/3BKP2/1R6 b - -,g7g6
3Q4/5q1k/p1p4P/3pPpp1/8/1P5P/1P3PK1/8 b - -,f7e6
r1qr4/p2bbpk1/Pp1p2np/1NpPp3/2P1P3/1PR3PB/5P1K/R2Q2N1 b - -,h6h5
3r3k/6p1/p5Pq/1p3Q2/8/1B1p2P1/PP4K1/8 b - -,d3d2
7r/1Nk5/P1p5/4Pp2/1p6/1P4K1/8/R7 b - -,c7b6
4k3/p4p2/6P1/3nP1P1/n1p3B1/2B5/1K6/8 w - -,b2c2
8/8/8/3n1k1N/5pRP/3P1P2/4P2K/2r5 w - -,h5f4
r2r2k1/ppq2ppp/5nb1/P1p5/2B5/1QP2N1P/5PP1/R3R1K1 b - -,g6d3
1r3rk1/pp1qb1pp/2n2p2/3npb2/4N3/P2P2P1/2NBPPBP/1R1Q1RK1 b - -,b7b6
2r1qrbk/1p1np1bp/p1p3p1/P3Np2/1PPP4/5pP1/1B2P1BP/1QR2RK1 w - -,e2f3
1QK5/8/8/3p4/2qP4/8/8/5k2 w - -,c8d7
3r4/4k2p/3pnpp1/8/2r1PP1P/2P1R1K1/6B1/3R4 b - -,d8c8
1r6/4k1p1/p2ppn1p/P7/2BPP3/2P5/6PP/5RK1 b - -,f6e4
2kr4/ppb2ppp/4p3/5r2/P1PP1P2/4BK2/5P1P/R2R4 w - -,f3e4
r4rk1/pb2ppbp/qn1p1np1/2pP4/2P5/1QN1P1PP/PB1N1PB1/R4RK1 b - -,b7c8
8/2bk4/3npp1p/1p1p4/1P1P1PPp/N1PN4/6K1/8 b - -,d7c6
3r1k2/5bp1/8/5P2/7p/4P2P/PPBp1K2/3R4 w - -,a2a4
6k1/2p5/1p1n4/1P1P4/2Pp1r2/3R3B/6KP/8 w - -,g2g3
r4rk1/pp3ppp/4pq2/3P4/1n6/1Pn1PN1P/P3BPP1/R3QRK1 w - -,f3d4
r2q1rk1/pp3pbp/1np1pnp1/8/1P1P4/2N1PP2/PB2BP1P/R2Q1RK1 b - -,b6d5
q2r4/5rk1/7p/N1p3p1/P4p2/4pnP1/4NP1P/Q1R4K b - -,g7g8
2rq1rk1/3n1pbn/p2p2p1/3Pp1Pp/Np2P2P/5Q1B/PP1B1P2/2R2RK1 b - -,c8c1
r1bqkbnr/1p1p1p1p/2n3p1/p1p1p3/2P5/P1NP1N2/1P2PPPP/R1BQKB1R w KQkq a6,g2g3
6k1/2p2ppp/4p3/3bP1PP/4pB2/1p2P3/rK3PB1/7R w - -,b2c3
r5k1/1q3ppp/2p2bn1/p1Pp1b2/P2P1P2/1rB3P1/3Q2BP/R3NRK1 b - f3,b7a6
8/1r4k1/5np1/8/R6P/2K5/8/8 b - -,b7d7
3r1rk1/1pq1nppp/p3p3/8/2P2P2/5bP1/PP1N1Q1P/R2R2K1 w - -,f2f3
2r2r2/4p1kp/p4pp1/Pb1p4/1RpPn3/4P2P/1RP2PP1/1N3BK1 w - -,c2c3
r1b1r1k1/pppnqpb1/7p/4p1p1/1P2Pn2/2P2NB1/P1QN1PPP/R3RBK1 b - -,d7f8
q7/7k/6p1/7p/p6P/Q5P1/7K/8 b - -,a8e4
8/6p1/2R1k2p/p6P/P3K1P1/4P3/8/r7 b - -,e6f7
2r2r1k/q2b3p/3n1p1P/3Pp1p1/pb2P1P1/3Q4/NP1NBP2/1K1R3R b - -,b4c5
r1bqkb1r/1p2pppp/p1np4/4P3/Q5n1/2N2N2/PPP2PPP/R1B1KB1R w KQkq -,f1b5
5k2/pr6/1r1p1qp1/2pP3p/2P1pP1P/4P1R1/P2K3R/B7 w - -,a1f6
4rrk1/1ppb1npp/8/pPQ5/P4P2/6qP/1B3RB1/2R2K2 b - -,c7c6
rn1q1rk1/pbp3pp/1p1pp3/5p2/2PPn3/2PNP3/P1Q1BPPP/R1B2RK1 b - -,b8d7
4b1k1/2qR1ppp/1p2p3/p3P3/nPP5/P3QNP1/6BP/6K1 b - -,e8d7
r1b1kb1r/1p3ppp/p3p3/q3n3/3NB3/2P1BP2/PP4PP/R2QK2R b KQkq -,a5c7
