8/3R1pk1/6pp/8/6PP/5BK1/8/4r3 b - -,g7f8
r2qkbnr/4n1pp/p2pbp2/1p1Np1B1/2P1P3/N7/PP3PPP/R2QKB1R w KQkq -,g5e3
2kr3r/1b6/pp1bp2p/2p1n1p1/P2pP3/NP1P4/2P1B1PP/R1B2R1K b - -,b7c6
r1r5/pp2p2p/3p1np1/3Pk3/1P2P3/4K3/P3B1PP/R1R5 w - -,e2f3
r1bq1rk1/5ppp/p1pb4/1p1n4/3P4/1BP5/PP3PPP/RNBQR1K1 b - -,d8h4
2brr1k1/p1q1bpp1/2nppn1p/1pp5/4PB2/2PP2NN/PPB1QPPP/R3R1K1 w - -,a1d1
2k2b1r/pp3p2/4pp1p/2pr4/3P4/5N2/PPP2PPP/R3K2R w KQ -,a1d1
3rk2r/1p1bbp1p/pNnppp1q/8/4PP2/1N6/PPP1BQ1P/1K1R2R1 b k -,c6b8
8/3b3p/1p1kn1p1/3p4/1P1K1NPP/5P2/2B5/8 w - -,f4e6
r4rk1/2q2ppp/ppn1pn2/2pp4/Q2Pb2N/2P1P1P1/PP1NBPP1/R4RK1 w - -,f1c1
rn3rk1/1p2ppbp/2pn2p1/1p3b2/3P4/1PN1PN2/PB2BPPP/R2R2K1 b - -,b5b4
r2q1rk1/pp1n2pp/2p1bb2/4pp2/5P2/1P2P1P1/PB1PN1BP/R2Q1RK1 w - -,f4e5
4r1k1/2q3n1/1p2r2p/pPbQPpp1/2N5/2P3P1/1P2RB1P/4RK2 b - -,e8d8
5r2/p7/P2kp3/3p2pp/3P4/4KBP1/P6P/2R5 b - -,g5g4
2k1r3/2pbnppp/ppp5/8/4P3/2N2P2/PPP1NKPP/3R4 b - -,e7g6
r3kb1r/pp3pp1/2p1p3/2nnP1Bp/2NN3P/8/PP3PP1/R4RK1 w kq -,f1d1
rn2k2r/pq2bppp/2p1pn2/N3N3/P2P4/B3P3/5PPP/RQ3RK1 b kq -,b7c7
3r2k1/5p2/bp2p1pQ/p1prq3/P5NP/2P3PB/1P3P2/R5K1 b - -,e5g7
4r3/pp3pk1/3p4/2pP2P1/2Pb4/1P1n2K1/P2B2R1/5R2 b - -,e8h8
r3k2r/ppqn1pp1/2pbpn1p/7P/2BP4/5Q2/PPPBNPP1/2KR3R b kq -,e8c8
8/1p1r4/p1p3R1/P5P1/2K2Pk1/1P6/5Bn1/8 b - -,g2f4
5q2/r2b1nk1/2pP2p1/2N1Rp1p/1P6/5QPP/2BR2K1/8 b - -,f7e5
r2r1bk1/p4p1p/1pp1bnp1/4p3/2P1P3/P1N1BP2/1P2BKPP/R2R4 b - -,f6h5
2k5/3r2Qp/1q3pp1/1Pp5/P3P3/8/5PPP/2R3K1 w - -,g7g8
r1bq2kr/pp1n1pp1/4p2p/4P3/4N3/5N2/PP2QPPP/R2R2K1 w - -,a1c1
r1b1r1k1/p2p2pp/2pR1B2/1pq1P3/3R4/1P6/1PP1QPPP/1K6 b - -,g7f6
1r5r/1p1k2p1/2nb1q1p/1p2pp2/p6N/P2PP1P1/QP3PBP/2R2RK1 w - -,a2d5
3b4/8/p7/2B1kb1p/2p2N2/P1P3KP/8/8 b - -,h5h4
q3brk1/4bppp/1pP1pn2/1P1p4/5B2/r3PN2/PQ1N1PPP/R3K2R w KQ -,e1g1
2r1k2r/p2n1pp1/p3p1n1/1q1pPbP1/2pP3p/2P5/RP1N1BPP/R2BQ1K1 w k -,a2a6
2bkrr2/p5p1/1p1P3p/2p5/2P2P2/P7/3RBKPP/3R4 b - -,f8f4
3rq1k1/1p1bb1r1/p3p3/2npPp1p/P1pN1BpP/2P1PPP1/RPB5/3QR2K b - -,g4f3
8/2k5/6p1/Np1p1p1p/1Pbb1P1P/4P1P1/3K4/8 w - -,e3d4
5k2/5pp1/2p3rp/1p6/n2PP1P1/1R3PB1/7P/6K1 b - -,f8e8
1b2r3/1r3pkp/2Rp1qp1/6RP/3PP1Q1/2PB1p2/5P2/6K1 b - -,b7a7
2r2rk1/pp2ppb1/1q2b1p1/2ppPn1p/3P4/1PP1PRPP/P3N1BK/R1BQ4 b - -,b6c7
4k3/R7/5pp1/7p/7P/5KP1/p4P2/r7 b - -,e8d8
8/R7/1p4p1/1P4rp/3NK3/7k/8/8 w - -,a7a3
3r4/2q1b1kp/p1npprp1/Pp2p3/4P1N1/1NP2P1Q/1P1R2PP/R6K b - -,f6f4
r1b2rk1/pp1n2bp/2p3q1/4ppNn/2P4P/2N1B1P1/PP3PB1/R2QR1K1 b - -,d7f6
3r1bk1/p4p1p/6p1/2pbP3/2p2PP1/Pq2BN1P/1P2Q3/3R2K1 w - -,d1e1
2rq1k1r/1p3pp1/p1b2n2/P1b4p/N2p1P2/6P1/1PP3BP/R1B1QR1K w - -,e1e2
rnbq1rk1/p3bppp/2pp1n2/1p2p3/4P3/1BN2N1P/PPPP1PP1/R1BQ1RK1 w - b6,a2a3
r1b1k2r/pp3pbp/2n1p1p1/q7/3pP2P/P1P1BN2/3Q1PP1/R3KB1R w KQkq -,c3d4
6k1/p1p5/2n2r1p/2pRpnp1/8/1PP3P1/P4P1P/4R1K1 b - -,f6d6
2rrq3/1b3pk1/pp2pnpp/4N3/1P3Q1P/3P2P1/4PPB1/2RR2K1 b - -,b7g2
r1br2k1/1pq1npbp/1n4p1/N3p3/P7/4N1P1/1P1QPPBP/R1B2RK1 w - -,d2e1
5nk1/1p1q1p2/p5p1/P1QP3p/7P/5BP1/5P2/5K2 b - -,g8g7
rnbq1rk1/ppp1ppbp/1n4p1/4p3/3P4/1B3N2/PPP1QPPP/RNB2RK1 w - -,d4e5
5r2/3kb3/2RNp1p1/pp2P1Pp/3r4/6P1/nP3P2/4R1K1 w - -,d6b5
8/5Q1k/4p3/1N1pPp1p/r2n1P1P/P3n3/K1P2qP1/8 b - -,h7h8
3r1rk1/1b2np1p/p5p1/1p2q3/2p1PN2/2P3P1/PPQ3BP/3RR1K1 b - -,f8e8
r2q2k1/bp4pp/p3b2r/3n1p2/3Qp3/PPN1P1P1/1B2BP1P/2R2RK1 w - -,d4d2
6k1/2pN1pp1/4p2p/1p1b1n2/1Pp2P2/2P4P/2Q2K2/qN6 b - -,f5d6
b2b4/r4k2/6p1/6R1/2P1p2P/3NP2B/4K3/8 b - -,e4d3
8/p5k1/8/3q2KP/1P3R1P/8/8/8 w - -,g5g4
1b3rk1/pp3ppp/2nrp3/1PR5/3P4/P4NP1/1B3P1P/5RK1 b - -,c6e7
r2qr1k1/pp2bpp1/2p2np1/P2n4/3P4/2N3PP/1P3PB1/R1BQ1RK1 w - -,c1g5
rnbqk2r/ppp3pp/3p1n2/5pB1/2PP4/2P2NP1/P3P1BP/R2QK2R b KQkq -,e8g8
8/8/1n6/4pp2/8/3K1k2/8/1N6 w - -,b1c3
4k3/1p5p/3b2p1/3Pr3/3RPr2/1PP5/4K1PP/R7 w - -,e2d3
8/2r5/2Pp4/4kp2/2R2p2/5P2/4K3/8 b - -,d6d5
7K/7P/4R3/3k2q1/p7/8/8/8 w - -,e6g6
r3kb1r/ppqnpppp/2p2n2/8/4N1b1/3P1N2/PPP1BPPP/R1BQ1RK1 w kq -,f3d4
2b2r1k/2p1qr1p/p1Pp1bRQ/1p1Pp3/1P2B3/5PR1/P6P/7K b - b3,f6h4
1q1r1rk1/1p1n1ppp/p1pbpnb1/8/2PP4/P1N1BBN1/1P1Q1PPP/2R2RK1 w - -,b2b4
2r1rk2/2qnp3/p2pQ1p1/1p1P4/3bB3/1PP3PP/P7/2R4K w - -,e4g6
6k1/2p4p/2bq2p1/1pN1p3/1P6/2P3QP/5PP1/6K1 w - -,g1h2
2qnnk2/1p1r3p/r7/p1Pp1ppQ/P2P4/4RP2/1P4PP/4R1K1 w - -,h5e8
5rrk/1bq2p1p/pp2p1p1/3pPP2/1b1Nn1P1/1PN1RQB1/1PP4P/4R2K w - -,f5f6
8/3r1pk1/1R3p2/1pB1p2p/1P2P2P/2n2P2/6PK/8 b - -,d7c7
r1bqk1nr/ppn1ppbp/3p2p1/2pP4/2P1PP2/2N5/PP2B1PP/R1BQK1NR b KQkq -,e7e5
8/R7/7p/1r3kp1/3K4/6P1/7P/8 w - -,a7h7
8/1b6/1p1k3p/p3p1pP/6P1/bPBBP3/P3K3/8 b - -,b7c6
R7/8/8/5r2/4k3/1KB5/8/8 b - -,f5c5
2b2qk1/1p5p/p2p1pp1/2PPn3/2PN3Q/4P2P/P3B1P1/6K1 b - -,d6c5
2r3k1/5ppp/4p3/p7/1p1R4/1P2PP2/P4P1P/6K1 w - -,d4d7
r2q1rkb/ppn1p2p/3pPn1P/2p2pp1/8/2N3P1/PPP1PPB1/R1BQK2R w KQ -,e2e4
r6k/ppp3p1/4br2/2P1p3/3qB3/2R5/PPQ2PPP/5RK1 b - -,c7c6
8/7p/R5p1/3k4/6PP/8/p5K1/r7 w - -,h4h5
7r/6k1/1p4p1/p1P1p3/P2rP1q1/3PP3/2Q1Kp2/R4R2 w - -,e2d2
8/6kp/p1p1Bpp1/8/r7/8/2R5/6K1 b - -,h7h5
r2q1bk1/1b3ppp/1pp1rn2/5N2/p2P4/P5P1/1PQ2PBP/R1BR2K1 b - -,d8e8
5rk1/6b1/2nq3B/1p1p1p1Q/2pP3P/2P4B/1P3P2/4R2K b - -,g7h6
8/6k1/2KN2p1/5p2/8/8/5R1P/3r4 b - -,g7f6
r1bqkb1r/pp2pp1p/2np1np1/2p5/4P3/2PP1NP1/PP3P1P/RNBQKB1R w KQkq -,f1g2
2b2nk1/2R1qppp/1p1p1n2/pP1p4/P2P4/1Q1BP3/3NNPPP/6K1 b - -,e7c7
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 b - -,f8e8:d6d5
2R5/8/8/2b5/1p1k4/8/P3K3/8 w - -,e2d2
2b1r1k1/1p3p1p/2p1nbp1/r2p4/P2P4/2N1PN2/4BPPP/RR3K2 b - -,e6c5
5rk1/r1qbnpbp/p3p1p1/1pppP3/5P2/P2P4/BPPBNQPP/R4R1K b - -,a6a5
1r2r2k/5Bpp/R2p4/6q1/1P2p1P1/7P/Q4PKB/b7 w - -,f7e8
r3k2r/1bp2pp1/pbnp1q1p/1p2p3/P2PP3/1BP2N2/1P3PPP/RN1Q1RK1 w kq -,b3d5
3r2k1/pb3pp1/1p2pn1p/2q5/8/P2BPN2/1P2QPPP/5RK1 b - -,b7f3
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq e6,b1c3
5rk1/3b2b1/p3p3/2R1P3/1P1N2p1/2N1P1P1/P7/2K5 b - -,f8c8
r2q1rk1/1bppb2p/ppn1p3/5ppn/1PPP2P1/P1NBPP2/2QBN2P/R4RK1 b - g3,h5g7
r1bqk2r/1ppp1ppp/p1nb1n2/4p3/B3P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,c2c3
2r2k1r/p4ppp/1pnPp2n/4P3/q1PpQ1P1/P4N2/3BKP1P/R1R5 w - -,c4c5
6k1/4Rp2/3p3p/2pP1P2/2PbB1pP/3P2P1/6QK/2qb4 b - -,g8g7
8/6pk/3p3p/3Pp3/2P4R/6K1/4r3/8 w - -,c4c5
r2qr1k1/1pp2pbp/nn1pb1p1/1N1N4/1PP1PP2/pQ4PP/P4BB1/3RR1K1 w - -,e4e5
8/7R/8/8/8/4K3/1pr5/2k5 b - -,b2b1q
3r4/pp2p1k1/2p1n1p1/4n1p1/3rP1P1/1PN1K3/P3BPP1/2R4R w - -,g2g3
8/5pk1/6Pp/2p1p3/p1pb2PP/Pr4q1/1P1R4/3R1Q1K b - -,f7g6
r1b2rk1/p2n2q1/2p1p2p/3pP1p1/8/1N1BB2P/PP3PP1/3Q1RK1 w - -,e3d4
r1b1k1nr/pppp1ppp/2n3q1/2b1p2Q/2B1P3/2N2N2/PPPP1PPP/R1B1K2R w KQkq -,h5g6
rn1qkb1r/1bp2ppp/p3pn2/1p6/P1p5/1P3NP1/2QPPPBP/RNB2RK1 b kq -,c4b3
8/P1k5/5K1p/6p1/6P1/1N6/8/7b b - -,c7b7
rn4k1/1b2prNp/pq4p1/1p3p2/2Pp4/1P1B4/P3QPPP/R1B2RK1 b - -,g8g7
1R6/3r1kp1/7p/1p5P/3n4/1r2R1B1/5PPK/8 b - -,b3e3
r3r1k1/3R1pp1/p1Q1p3/3n4/8/5qB1/5P1P/4R1K1 b - -,a8c8
2r4r/k4p2/ppb1pP2/n2pP2p/1R1P1Kp1/P2B4/2RN3P/8 w - -,c2b2
r2r4/pbb2pkp/1pn1p1p1/4P3/Q4P2/2P2B2/P5PP/3R1R1K b - -,c6a5
1r4k1/p1q1ppbp/6p1/8/8/QP3P2/PBb3PP/K2R3R b - -,c2d1
8/8/R1pk1p2/5K2/1P2P3/P7/8/1r6 b - -,b1f1
r2q1k1r/1p4p1/p1pb1n1p/4p3/3PP1b1/1PN1BN2/1PPQ2PP/R4RK1 b - -,d8c7
3Q4/5pk1/p3p1p1/7p/PP2qP2/6K1/6PP/8 w - -,d8d2
5r2/1r3kp1/3p1p2/1pp1n1p1/p3P1P1/P2PN2P/1PP2R2/R5K1 b - -,f7e6
7r/1b2r1k1/p1pb1qn1/Pp1p2p1/1P1Pp2p/1N3PP1/N1Q1R1BP/4R1K1 w - -,f3e4
rn3rk1/p2bppb1/1pq3pp/2p5/3PP3/Q1P1BN2/P3BPPP/3RK2R w K -,e1g1
2r5/2rk1p2/4pBp1/4P2p/2pK1P1P/1bR5/8/R7 b - -,d7c6
r1r3k1/1p2ppbp/1q1pb1p1/pNn5/2P1P3/1P2BP2/P2QB1PP/2RR2K1 b - -,b6d8
5rk1/pp6/8/3RRrpp/5p2/5N1P/PPP2PP1/6K1 b - -,f5e5
4r3/8/5kp1/5pp1/1pN5/3B2PP/5K2/8 w - -,d3c2
r2q1rk1/pp2b2p/1npn2p1/3p1p2/3P4/2N1PP2/PPR1BBPP/3Q1RK1 b - -,e7h4
8/8/8/8/B2P3k/2P1NK2/r7/8 w - -,a4c2
r4b1r/2k2ppp/p1n2n2/1p2p3/2p1P3/2P1BP2/PPN1N1PP/2KR3R b - -,f8e7
5rk1/1p5p/3p2p1/2n5/2P1P1B1/4Q2P/6P1/q2R2K1 b - -,a1f6
r1b1k2r/pp1nppbp/2p3pB/q1p5/4P3/2PP1N2/PP3PPP/RNQ1K2R b KQkq -,d7e5
5r1k/p2q2pp/4p3/1pBnP3/8/1Q5P/PP4P1/3R2K1 b - -,f8f5
r4rk1/pp4p1/2qp2N1/2n5/4P3/3PB1R1/bP1Q4/1KR5 w - -,b1a2
8/ppp2p1B/4k3/5p2/5K2/P6b/1PP2P2/8 b - -,e6f6
2r5/8/p7/Bp1K4/P7/1P6/4k3/8 b - -,e2d3
4k3/8/1p6/2P3p1/1P2Krp1/R7/P7/8 w - -,e4d5
rnbq1rk1/pppp2pp/5n2/4pP2/1b4P1/2NP4/PPP2PBP/R1BQK1NR b KQ -,c7c6
r3r1k1/ppqbppbp/4n1p1/2Pp3n/P2P3B/1N1B1N2/1PQ2PPP/R3R1K1 b - a3,b7b6
8/8/1K2k3/p4p1P/2P2n2/1P3B2/P7/8 w - -,a2a4
2r2rk1/1p1b2pp/p1q1p3/n3Bp2/3P4/2PB4/P2Q1PPP/R3R1K1 b - -,f8f7
2r1r1k1/1bqn1pbp/1p2p1p1/p2P4/NP2B3/P4Q2/1B3PPP/R2R2K1 b - -,d7e5
1r2qrk1/pp2p1b1/2ppPn1p/5pp1/3P4/1Q4P1/PP1BPPBP/2R2RK1 w - -,b3d3
8/8/8/4rkp1/8/5N1P/6PK/8 w - -,f3e5
r1q1rbk1/p2n1p1p/bp1p1np1/2pP4/P3P1P1/2N2N1P/1P1B1PB1/2RQR1K1 w - -,b2b3
r1b2rk1/ppqnnpbp/6p1/2P1p3/2Pp4/3P1NP1/PB1NPPBP/R2Q1RK1 w - -,d2b3
7Q/p2bk3/2n1r3/2P5/8/8/P3p2P/4K3 w - -,h2h4
8/R5k1/5p1p/6p1/6P1/p7/6K1/r7 b - -,g7g6
2r2rk1/1bq1bppp/pp1ppn2/8/N1PR4/1P3NP1/P1Q1PPBP/2R3K1 w - -,d4d1
1r4r1/5p2/4pk2/1p1p2p1/1P1P3p/R1PK1P1P/6P1/R7 b - -,f6f5
5k2/3r4/5p2/1pP4p/1P2q3/1Q1p3P/3R2P1/7K w - -,b3c3
1r3rk1/p2bq1bp/n1n1p1p1/1pp1Pp2/5P2/2P1BNPP/PP3QB1/3NRRK1 b - -,f8c8
4r1k1/R7/2pRN1K1/p7/8/8/PP3r2/2n5 b - -,f2b2
r2qkb1r/pp1n1ppp/2pNpnb1/8/3P1BP1/P1N2B1P/1PP2P2/R2QK2R b KQkq -,f8d6
r5k1/5pp1/1R1Np2p/3bP3/p7/4KP2/6PP/8 w - -,b6b1
4r2k/p1B3pp/5n2/1B6/3R3b/8/P5K1/8 b - -,e8c8
2r2k2/5pp1/4pn1p/1q6/p1pP4/5R1P/PR2QPP1/6K1 b - -,b5c6
1Bq2rk1/pp1bpp1p/2n3p1/b1p4n/2P5/P2P1NPP/4PPB1/1RQ2RK1 w - -,b8f4
8/6k1/1q2ppp1/7p/8/2Q3KP/6P1/8 b - -,g6g5
1R6/5kp1/p2pp3/2n4P/q3bP2/4Q3/8/1KN5 w - -,b1b2
5k2/2r2p2/3pP1p1/3P1nP1/1p6/1Bq5/P1P4Q/1K3R2 b - -,f8g8
3Q3k/2N3b1/1P4pp/8/8/7P/4p1P1/4q1BK b - -,h8h7
8/8/8/2P3p1/1p1p4/3P1k2/3K1P1r/5R2 w - g6,c5c6
r5k1/r4pp1/2nqp1p1/ppNp1n2/1P1P4/P1P2P2/3QN1PP/2R1R1K1 b - -,a5b4
r3qrk1/p1pn2b1/2Bpb1p1/4p1B1/P2P2PR/1P6/5P1P/R2Q2K1 w - -,d4d5
8/1p2ppk1/3p2p1/3P3p/P1r1B2P/2b3P1/2P2P2/1R4K1 w - -,e4d3
3rr1k1/p4pp1/1pp2q1p/3bnB1P/6Q1/P3B3/5PP1/2RR2K1 w - -,g4h3
r3r1k1/ppq2ppp/2pbpn2/5b2/2BP3N/2P4P/PP2QPP1/R1B2RK1 w - -,c1e3
rnb2rk1/ppq1ppbp/3p1np1/8/4P3/2P1BN1P/PP1NBPP1/R2Q1RK1 b - -,b8c6
r4k1r/pp1q1ppp/3Np2B/3pP3/1b1P4/5Q1P/PP3PP1/R5K1 w - -,h6g7
r1bqr1k1/1p1n1ppp/2pp1n2/p3p3/1bPP4/2N2NP1/PPQBPPBP/3R1RK1 w - -,a2a3
r7/3P4/5N2/1p4p1/7p/5k1P/7K/4R3 b - -,a8a2
r1bqk1nr/pppn1pbp/3p2p1/4p3/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq c3,g8e7
4r3/8/6p1/R3bk1p/4p2K/2B1P3/8/8 w - -,c3d4
2rr2k1/pp3pp1/5n1p/2q1p3/4P3/PbNR2PP/1P3PB1/1QR3K1 b - -,c5a5
8/1p4kp/5p1p/2n2B2/p1R1P2P/P4PP1/1r4K1/8 w - -,g2h3
r2q1rk1/1b2ppb1/p2p3p/1p1N2pn/1P2P3/3Q1NB1/P1P2PPP/1R2R1K1 w - -,b1d1
rnbqk2r/pp3ppp/3ppn2/2pP2B1/2P5/2P5/P3PPPP/R2QKBNR w KQkq -,e2e3
r1bq1rk1/1p3pbp/2n3p1/p1pnp3/P7/2PP1NP1/1P2QPBP/RNB2RK1 w - -,b1a3
8/p6p/4kp2/6B1/2P1rP2/1K6/7P/8 w - -,g5h4
8/4k3/1R4p1/1p2Pp1p/p4P1P/Pr4P1/5K2/8 w - -,f2g2
6k1/4pq1p/1p1rprp1/2p5/3pR2P/1P1P1P2/2PQ2P1/R5K1 b - -,g8g7
4k3/p1p3p1/2p4p/8/Q2P4/1P1q3P/P4P2/5K2 w - -,f1g1
r5k1/5pp1/p2Rb2p/4p3/1rP1P3/1P2R2P/2B3PK/8 w - -,c4c5
8/PQ3pk1/7p/4p1p1/8/6PP/2K5/4q3 b - -,e1e2
1r3rk1/5ppp/1q2pP2/3b2P1/p2N4/1P2R2P/2PQ4/1K1R4 w - -,d4f5
3q2r1/1p1nnk1p/4p3/1p2P3/3Q2p1/4B1P1/5PBP/2R3K1 w - -,c1d1
r3r1k1/1p3pbp/1np3p1/3nq3/p3N3/P3P1P1/1PQ2PBP/R1B1R1K1 w - -,a1b1
2b4k/2b5/p4p2/np1P4/2p1Pn1P/2P5/PPBK2r1/R3RN2 w - -,d2c1
8/b3Q1pk/6p1/8/5qPp/5B1P/P4PK1/8 b - -,a7b8
r4rk1/p1B2pp1/R4bbp/1p6/8/4Q3/Pq1N1PPP/4R1K1 b - -,f6d4
