8/1B6/5kp1/4p2p/Pb3r2/6K1/4R3/8 w - -,b7c6
8/3b1pk1/3p1p2/3P3p/1r2P3/1p2NP2/3K2PP/2R5 b - -,b4a4
r6k/1b5p/1pp1pNrq/3pPp2/P2P1Ppn/1P2P1R1/3RB2P/3Q3K b - -,h6g7
2r5/8/1B2k3/4pppp/P7/2n5/1KP3PP/2N1R3 b - -,c3a4
2r4k/p2q2pp/1r6/1p3p2/1QpPp2P/4P1P1/PPR2P2/1KR5 b - -,h7h6
rnbq1rk1/ppp1npbp/3p2p1/8/2PN4/6P1/PP2PPBP/RNBQ1RK1 w - -,b1c3
r2q1k1r/2p1bp2/p1pp1Ppp/8/2P1P2B/2N2b2/PP3PPP/R2QK2R b KQ -,e7f6
8/p4r1k/1p5p/n7/2pNRp2/2Pn1P2/1P4rP/R1BK4 b - -,d3f2
r4r1k/5p1p/1qnpb3/1p2P1Qp/1p1p4/P2P1N2/4BPPP/R5K1 w - -,g5f6
8/7p/p5k1/2R2p2/8/2PN1K1P/8/r7 b - -,a6a5
4rr1k/2R3pp/1p1n1q2/p3p3/2P1QP2/P4NP1/1P5P/4R1K1 w - -,e4c6
r2qkb1r/pp3ppp/2n1bp2/3p4/3P4/2N3P1/PPP1NP1P/R2QKB1R b KQkq -,f8d6
6k1/5r1p/p1b2bp1/6q1/2PprNP1/P5Q1/1B1P3P/2R2RK1 b - -,f6e5
1r3rk1/8/R3p1p1/3b3p/1pNb1P2/1P5P/2PBR1P1/7K w - h6,d2e3
1rbqnrk1/p3b1p1/3p3p/2pP4/2p1NBP1/1P5P/P1Q3B1/R4RK1 w - -,b3c4
r6k/1bq2p1p/3Pp1r1/2p2p2/7Q/P2BN3/1b3PPP/3RR1K1 b - -,c7c6
r1q3k1/ppp1nr1p/3p4/1Q1Pp1p1/4Pp2/2N2P1P/PPP2KP1/R5R1 b - -,a7a6
r4rk1/4ppbp/q2p1np1/1p1P3P/1PpNP3/2n1B2Q/2B2PP1/1R3R1K w - -,h5h6
2rq4/4bkp1/Q1p1pp2/3p3P/2nP4/2N1B3/PPP2P2/2KR4 w - -,d1g1
1r4k1/qn3ppp/r7/2RR4/3QP3/P4P2/4NKPP/8 b - -,a6a4
3r4/1p3pbk/bPp1p1pp/2N1P3/3PP3/r6P/3R1BP1/2R3K1 w - -,d2b2
rnbqkb1r/pp2pp1p/2p2np1/8/2BP4/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,f8g7
1rb5/4pqk1/p1n3pp/P3n3/1P2NP1Q/2P5/6PP/R4RK1 b - -,e5g4
5k2/7R/p2R3P/3n4/3P4/2P5/P1K2P2/1r5r b - -,b1c1
rn2kb1r/pp2ppp1/2p2n2/6N1/3P4/8/PPPBNP1P/2KR3R w q -,d2f4
rnbqkb1r/ppp1pp1p/6p1/6B1/2PPp3/8/PP2PPPP/R2QKBNR w KQkq -,d4d5:d1d2
r5k1/pp3ppp/8/5P2/4n3/B1PNP3/5P1P/n4RK1 b - -,a1c2
8/7p/4p1k1/8/1P1N4/p5KP/1r6/5R2 b - -,a3a2
r6r/1p4p1/p2pk2p/4np2/4n3/4B1PB/PP2PP1P/R4RK1 b - -,a8c8
r2q1rk1/pbp1ppbp/1pnp1np1/8/2PPP3/P1NB1N2/1PQ2PPP/R1B2RK1 b - -,f6d7
4Q3/p5k1/1pn2p1p/3p3p/2r5/8/P4PP1/6K1 w - -,e8d7
8/2p5/2k1pp2/pp5R/8/2PK1PP1/2P5/r7 w - -,c3c4
2kr1b1r/pppq2pp/1nn2p2/4p3/6b1/1P1P1NP1/PB1NPPBP/R2Q1RK1 w - -,a2a3
8/4k3/R3p1p1/3K3p/5P2/4P2r/8/8 w - -,a6e6
r1bqrnk1/1p2ppbp/p2p2p1/2pPn3/2P1P3/2N1BN1P/PPQ1BPP1/R2R2K1 w - -,f3e1
8/1pB5/p7/7p/PPP3k1/4bpP1/8/5K2 b - a3,g4f5
r3r1k1/1p3ppp/pbn2q2/3Q4/6b1/1NP2N2/PP2BPPP/4RRK1 w - -,e2d1
2n5/8/4Bp1p/p1k1p1p1/Pp2P1P1/1P1K1P1P/8/8 b - -,c8e7
1rr5/5kp1/R3p3/2Pp1pp1/1q1P4/6QP/5PP1/R5K1 w - -,g3e5
r2qrbk1/4nppp/p1bp1n2/1pp1p3/P3P3/1BPPNN1P/1P3PP1/R1BQR1K1 w - -,e3g4
2r2n1k/6r1/p3pQ1p/2p5/4R3/P6P/1P3PP1/6K1 b - -,h8h7
r3qb1r/ppkn2p1/2p1pp2/7P/3PP1Q1/P1P1B3/5P2/R3KB1R w KQ -,a3a4
r1bq1rk1/p3bppp/1pN1p3/3n3Q/P1BP4/8/1P1B1PPP/R2R2K1 b - -,d8e8
2k4r/1p1rbp1p/1p2p3/3p1p2/2P5/5B1P/PP3PP1/R2R2K1 w - -,c4d5
rn1k3r/p1p4p/1p1ppnp1/6N1/2PP4/2PB2Q1/P6P/R3K2b b Q -,h8e8
6kb/1p3p1p/1Bp2np1/p4q2/P7/2P3PP/1P3PNK/4Q3 b - -,h8g7
2rr2k1/5p1p/1qN1p1p1/1p6/nQ6/4P3/4BPPP/2R2RK1 b - -,c8c6
r2qk2r/1bpnnpb1/pp1pp1pp/8/P1BPPB2/2N2N1P/1PPQ1PP1/R4RK1 b kq -,e8f8
1r2r2k/1bp1q1pp/1p1ppn2/3P1p2/1PP2P2/4PB1P/1B3QP1/2RR2K1 b - -,b7a8
8/5k1p/3K2p1/2P2p2/3B4/r7/p4PPP/Rr6 b - -,a3d3
r7/5pk1/bnpNpPp1/p3P2p/2pP1P1q/PpP5/3Q2BP/4R1K1 b - -,g7h7
4r1k1/2q4p/r3pbp1/2Bp4/2pP1P2/Pb2QB2/1R4PP/1R4K1 b - -,f6e7
r4rk1/pb1n1ppp/1ppqpn2/8/2PPN3/1P3NP1/P1Q2PBP/R2R2K1 b - -,f6e4
rnbqkb1r/pp3ppp/5n2/3p2B1/3p4/2P2N2/PP3PPP/RN1QKB1R w KQkq -,f1b5
2R5/pr4pk/4p2p/3pP3/P2Pq3/6P1/1PQ2K1P/8 b - -,b7f7
8/p4k1r/1p2bB2/1P1pP3/P1p2K2/2P5/8/6R1 b - -,f7e8
5Q2/pp5p/4p1k1/1b2Pqp1/6N1/P6P/1P4PK/8 w - -,f8g8
r2r2k1/1p1bQp1p/1q2p1p1/1N1Pb3/2B1P3/3R4/P4PPP/5RK1 w - -,d3f3
4q3/6Q1/pk2p1p1/1b1pP1Bp/3P4/1P4NP/1n3PPK/8 w - -,g5e7
2rq2k1/pQ1N1pp1/4p3/6p1/5nP1/3P3r/PPP2P2/2R1R1K1 w - -,d7e5
2r3k1/6pp/3r4/p2pp3/2q1p3/2P4P/P2Q2P1/1RR4K b - -,d6f6
2r1r3/1p3kbQ/p3p1p1/q3p3/2BN2b1/8/PPP5/1K5R w - -,h1f1
1R5k/6b1/p5p1/4p2p/4p3/8/5PPP/6K1 b - -,h8h7
3n4/p4pkp/1p4p1/2p5/8/2P2NP1/P3PP1P/6K1 w - -,e2e4
3r2n1/1Q2bpkq/1R6/P1p1P1p1/7r/3pN2P/1P1B1PP1/2R3K1 b - -,d8d4
rn1q1rk1/pbpp2pp/1p2pb2/5p2/2PPn3/P1N2NP1/1P1BPPBP/R2Q1RK1 w - -,a1c1
8/7p/pp1R4/2p2p2/P3rP2/2k1P2P/4K3/8 w - -,d6b6
8/1p3ppk/p5bp/3r4/1P3B2/Pq1p2P1/5P1P/2Q1R1K1 b - -,b3a2
3r4/6pk/2R1nb1p/3r4/Pp1p2P1/B2R1NP1/6K1/8 w - -,a3b4
r2qr1k1/p4pp1/2pb1n1p/8/8/2NP1Q2/PPP2PPP/R1B2RK1 b - -,d8c7
1r4k1/6pp/R1pn4/3P4/3b1B2/6r1/B4PK1/8 w - -,f4g3
2r2rk1/1p3pbp/pnn3p1/4p3/3p4/Nq1P1NP1/PP1BPP1P/R4RK1 w - -,a2b3
8/pp4kp/3p4/2pPn3/2P1B1b1/1P6/P4RKP/8 b - -,a7a6
r2q1rk1/pp3p1p/1npb1np1/5p2/PPBP4/4PQ2/N4PPP/R1B2RK1 w - -,c4b3
1r2q1k1/p3ppb1/8/2B4p/2B3nP/1P3QP1/P5K1/3R4 w - -,b3b4
r2qk2r/pp1nbppp/2p1pn2/8/3P4/2NBBQ1P/PPP2PP1/3R1RK1 b kq -,e8g8
6r1/1R4P1/4K3/2kp4/1p6/8/8/8 b - -,d5d4
8/pp6/2p1pkpp/8/6P1/1PP4P/P2r2P1/R5K1 w - -,a1f1
5r1k/2R1R3/3p3p/3P4/2P2p1P/5P2/2r3PK/8 b - -,f8a8
1rb2rk1/p3ppbp/1pn2np1/2p4q/2R5/1P1P1NP1/PB1NPPBP/3Q1RK1 b - -,c8b7
1r2r2k/p4pbp/3p4/5N1p/1nP1P3/1P2B1P1/3R1PK1/7R b - -,e8e4
1r3rk1/1p3p1b/3N4/p2B3P/P1PRP1p1/1P6/5P1P/6K1 w - -,e4e5
8/5kpp/p1R1pp2/2P1n3/1P3rP1/P7/3K4/2B5 w - -,c6a6
r4rk1/2b1q2p/p4pp1/3Rp3/4P3/PP3Q2/1B3PPP/2K4R w - -,h1d1
8/8/4b3/2k5/3n2P1/6K1/3BB3/8 w - -,e2d3
r3r1k1/pp2qpb1/2p1bn1p/4p3/4P1pP/2N1B3/PPP1QPP1/R2R1BK1 b - -,f6h5
8/6r1/8/1p2R3/p1k2PK1/8/PP6/8 w - -,g4f3
r3r1k1/1pp2pp1/p1bpn2p/8/4P3/4BPPP/PPP2K2/3RRB2 b - -,a6a5
8/2R2p1k/5bp1/7p/8/5qP1/5PKP/8 w - -,g2f3
2br4/1pk3p1/p4p2/2N1p2p/1P6/2P2PPn/1PB4P/2K1R3 b - -,h5h4
5q1k/b5rp/p4p2/4p2r/1p2P3/1P1N1NPb/P1Q4P/3RR2K b - -,h3c8
r1bqk2r/ppp2ppp/4p3/4P3/1bB1n3/2N5/PP2nPPP/R1BQ1RK1 w kq -,d1e2
r7/6k1/R4bp1/5p2/1P2p3/Pb2P1P1/5P2/5BKR b - -,a8c8
3r1k2/1p3q1p/p1nN2r1/8/8/8/PP3PPP/2RR2K1 w - -,d6f7
3r4/3rn1p1/n3kp2/p1ppp2p/2P1N2P/1P2B1P1/3RPK2/3R4 w - -,c4d5
r1bq1rk1/pp3ppp/2p1pn2/P2n4/2pP4/2P1BNP1/2Q2PBP/R4RK1 w - -,f3e5
2r1r1k1/3bRp2/6pQ/ppP4p/8/1P1q2P1/5PBP/4R1K1 w - -,e7e8
rn3k1r/p3nppp/1p1Pp3/2p1P3/q2P2Q1/P4N2/2PBbPPP/R3K2R b KQ -,e7f5
r2q1rk1/1ppb1ppp/3p1n2/p2Pp3/2P1P3/2NQ2P1/PP3PBP/R4RK1 w - -,f2f4
1r6/7p/8/6p1/1PKp1k2/7P/3R2P1/8 b - -,f4e5
4R3/5p1k/2N5/2PP4/1P5p/3n1K2/P2r2p1/8 w - -,e8e4
r5k1/1p1bbq1p/3n2r1/p2Pp1p1/P3P3/1PN1BPP1/6Q1/2R1RBK1 b - -,a8f8
1r1q1rk1/1p1b1pbp/n2p2p1/2npp2P/p1P1P1P1/P1N1B3/1P1NBP2/R2QK1R1 w Q -,e4d5
8/2rkb1p1/R2p1p1p/2pPpP2/1pK1P1PP/3PB3/1P6/8 b - -,e7d8
k7/1p6/p7/4q3/8/2P5/PP6/2KQ4 b - -,e5h2
8/4kp2/6p1/1N5p/p1n1PK1P/5P2/8/8 w - -,b5c3
8/1p6/p1p5/P1P1p1kp/2B1P3/5KPb/2P5/8 b - -,h3g4
rnb2rk1/1pq1b1pp/p3p3/8/6p1/2N2Q1P/PPPB1PB1/3R1RK1 w - -,f3g4
r4rk1/pb3p1p/1p3qp1/2pP4/2B2P2/2bQB3/P5PP/1R3RK1 w - -,e3c5
3r2k1/3n1pp1/2pBp2p/1pP5/1P2N3/8/1b3PPP/3R2K1 w - -,d1d2
6k1/5rp1/p1r1p3/1p1p2p1/6P1/P6P/2PRR1B1/7K w - -,e2e5
4k3/np1r1p1p/p4pp1/P7/2R5/1P2P1P1/5PKP/7B b - -,a7c6
r3N1k1/1p1qbppp/1Pp1n3/2p1p3/4P3/3P2P1/1N3PKP/1R1Q1R2 b - -,a8e8
1r1r4/4qpbk/p1R3np/3P1Q2/2N1p3/1B6/PP3P1P/3R2K1 w - -,b3c2
4r1k1/pp3ppp/3p1q2/2bP1b2/2P4P/8/PP1BBPP1/3NRK1R b - -,f5c2
5b1k/4q3/p2p4/1p5p/1QbpNp2/P3rP1B/1P4PP/2R4K w - -,b4d2
8/1p2kppp/4p3/1p6/3n4/2P5/P2N1PPP/5K2 b - -,d4f5
8/4pk1p/p1p1b1p1/2R5/P2r4/5B2/1PP2PPP/6K1 w - -,a4a5
r1k5/2p2ppn/r2p1Qb1/2p3bp/2N1PBP1/P2P3P/1PP5/2K2R1R b - -,g5f6
r1bqkbnr/pp4pp/2np4/2p1pP2/2P5/2N2N1P/PP1P1PP1/R1BQKB1R b KQkq -,g8f6
rn1qk2r/pbp2ppp/1p2p3/3pP3/1b1P4/2NB1N2/PPPQ1PPP/R3K2R w KQkq d6,a2a3
r1b2rk1/pp1nqnbp/2p2pp1/4p3/4P2B/2N2N1P/PPPQBPP1/R2R2K1 w - -,e2c4
r1bqrnk1/1p3pbp/p4np1/3pp1N1/PP6/2NP2P1/3BPPBP/R1Q2RK1 w - -,a4a5
r5k1/p4rpp/3PQ3/5p2/8/P3P1P1/1q3P1P/3R2K1 w - -,d1d4
r2q1rk1/pp2bp1p/2b1p1p1/2p1Pn2/4N1Q1/1P4P1/PBPP1RBP/R5K1 b - -,c5c4
R7/8/5k2/p2r1pp1/2n5/1N5P/P5K1/8 w - -,g2f3
r4r2/2qb1pkp/pp3Np1/2p5/1PB5/8/P2Q2P1/R5K1 w - -,f6d7
8/pp6/6k1/6p1/1P3nB1/P3b1BP/3r4/5R1K b - b3,d2d3
8/1p3rkp/5b2/5Q2/p5P1/P6P/1PR2P2/1KB2q2 b - -,f1h3
r3k2r/pp3p2/2p1npp1/4p3/1PP5/8/P1P1NPPP/3R1RK1 w kq -,g2g3
rnb2rk1/pp2ppbp/2q3p1/8/1QB2B2/2P1PN2/P4PPP/2R2RK1 b - -,b8a6
1rq2r1k/5pb1/1Rn1b2p/2p1n1p1/2NpPB2/1P1P2PP/6BK/3QNR2 w - -,b6b8
8/pp2bkp1/1r2qn2/3pppB1/8/5P2/PP2QP1P/2R1R1K1 b - -,e7d6
2r3k1/6pp/2p1b3/2PnPp2/5P2/r1BK4/1R1N3P/2R5 b - -,c8d8
2r1b1k1/1p2q1pp/2p1nr2/pP1BNp2/2P5/PQ2P1P1/5P1P/R2R2K1 w - -,b5c6
1rbr4/pp2n1k1/3N2pp/2P1pp2/1P6/2P3P1/P2R1PBP/3R2K1 b - -,g7g8
3r4/p2rppk1/1p1q2p1/7p/7P/P1QP2P1/2R1PP2/2R3K1 b - -,d6f6
r3k2r/ppp3pp/1q2pn2/3p4/4n3/3N1Q2/PPP1N1PP/2KR1B1R b kq -,e8g8
r1b1r1k1/1pqnbppp/2pp1n2/p3p3/P2PPP2/2N1B1PP/1PP1N1B1/R2Q1RK1 b - f3,b7b6
8/6p1/4Kp1p/5P2/6P1/3k3P/8/8 b - -,d3e4
2rqr1k1/1ppb1pbp/3p1np1/3P4/p2NPP2/6PP/PP4B1/2RQR1BK b - -,c7c5
r4rk1/pp2bppp/2n1bn2/q1ppp3/Q7/P1PP1NP1/1P1NPPBP/R1B2RK1 w - -,a4c2
rr4k1/6p1/1qp4p/2np4/1p5P/1Q6/PP2RPP1/K1NR4 w - -,b3e3
r2q1rk1/pb2bppp/2n1pn2/2pp4/1p2P3/2PP1NN1/PPQ2PPP/R1B1RBK1 b - -,a7a5
8/1B6/p1RP1k1p/r4bp1/5p2/8/P4KPP/8 b - -,a5a2
2r2rk1/4bppp/p3p3/qp1b2P1/2nQ4/P4P2/NPP1B2P/1KBR2R1 w - -,g1g3
2r5/6pp/1p2kp2/p1b1p3/P7/1P2PPP1/1B3K1P/2R5 b - -,c8d8
r1n1k2r/p3b1pp/2ppqpb1/4p3/3PP3/BP3NNP/P4PP1/R2QR1K1 b kq -,c8b6
7r/p1k4p/2p2Rp1/5p2/4p2P/2P1P3/PP3PP1/2K5 b - -,a7a5
rq2r3/p2b1pkn/3p2p1/1ppPn2p/4PQ1P/2N2P2/PP2BNP1/R3K2R w KQ -,g2g4
1rq2rk1/p4pp1/2n1pnp1/1p1pP1N1/8/2PQ3P/PP3PP1/R1B1R1K1 b - -,f6d7
r1q1k2r/ppnnp1bp/6p1/4Np2/2Pp1P2/6Q1/PP2N1PP/R1BR2K1 w kq -,e2d4
4rrk1/1b3ppp/p7/1p2q3/2p1PP2/2P1Q3/P1B3PP/2RR2K1 b - f3,e5e6
r5k1/pp2rpp1/7p/RpPp1b2/1P6/4P2P/5PP1/4RBK1 w - -,f1b5
r1bq1rk1/1pbn1ppp/p1p1pn2/3pN3/P2P1B2/2PBPN2/1P3PPP/R2QK2R w KQ -,f3g5
r4r2/pp1n1pk1/1qp3p1/2P1p2p/3P2n1/1P2P1P1/P2NQ1BP/R4RK1 b - -,b6c7
2rq1rk1/pp3ppp/3bpn2/7b/1n1P4/P1N1BN1P/3QBPP1/R2R2K1 w - -,d1b1
r3n1k1/1q1nbppp/2p1p3/2Pp4/3P4/r1N1PPB1/2Q1N1PP/1R3RK1 b - -,b7a6
r1n2r2/4q1bk/1p1p1n1p/1bpPPp2/P1P5/RQ4P1/6BP/1RB1N1K1 w - -,c4b5
r1b1kb1r/pp1n1p1p/2p1p3/q2p2p1/2PPn3/4P1B1/PPQN1PPP/RN2KB1R b KQkq -,h7h5
2r1n1k1/4rpbp/p1P1p1p1/BqRp4/1N1P4/4P1P1/3Q1P1P/R5K1 b - -,b5c5
rb2k2r/1pq2ppp/p7/3Q4/8/7P/PP3PP1/R1BR2K1 b kq -,c7h2
4k3/1r4p1/2nB4/1p3p1p/5P1P/1P6/P1KR2P1/8 b - -,b7a7
6k1/7p/1pN1p1p1/3p4/1P2nPP1/P1r4P/7K/R7 w - -,c6d4
rnb2rk1/1p2bppp/3p1n2/q3p3/p1P1P3/2N1BP2/PP1NB1PP/R2QK2R b KQ -,c8e6:e7d8
8/5r1k/3p2pp/2b1p3/4P3/5PPP/q1PQ2K1/5R2 b - -,a2c4
