8/8/8/4kppp/3N4/1pP2PP1/1P5P/2K2n2 w - -,c1d1
8/5k2/1ppn2p1/6P1/P3KP2/8/2B5/8 w - -,e4d4
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R w KQkq d6,e1g1:b1d2
6k1/1bB3pp/p3pp2/1pb5/2p1PP2/P1P2P2/1P2N1KP/8 b - -,c5e3
8/8/1PpR2pk/1r5p/1P3P1P/6P1/6K1/8 b - -,b5b6
2b2rk1/5pbp/p1Q3p1/4p2P/2B1P3/2N2P2/PP4q1/1K1r3R w - -,h1d1
1rq2rk1/1p3pbp/p1bp1np1/2p1p3/2P1P3/P1NP2PP/1P1BQPBK/1R3R2 b - -,b7b5
4rk2/1pnR2pp/p1p5/2Pn4/P7/1B3KP1/2P4P/6B1 b - -,e8e7
rn2k2r/pp2qp2/2p2n1p/3p2p1/3P2b1/2NBP1P1/PPQ2PP1/R3K1NR w KQkq -,g1e2
8/5p2/P2p4/2bP4/3kB3/5K2/5P2/8 b - -,d4e5
8/4kpp1/2K1p3/p3P1P1/8/1r6/p6P/R7 b - -,b3b2
r3k2r/pp1n1ppp/2pb4/q4p1P/3P1N2/2PQ1PnR/PP2B1P1/R1B1K3 b Qkq -,g3e2
r1bqk2r/ppp2ppp/8/3nP1R1/3Np3/8/PPPQBP1P/R3K3 w Qkq -,g5g7
1r2b3/2r1k2p/1NB1pp2/P2pP3/1P1P2P1/5P2/3N1K1P/2R5 w - -,b4b5
2k1n1r1/1pp2Npp/p1p5/6b1/6P1/2P4P/PP3P2/3R2K1 w - -,f7g5
r1bq1rk1/pp3pp1/3p1n1p/2p5/2BpP3/2PP3P/PP2NPP1/R2Q1RK1 b - -,d4c3
r7/3n1kp1/1p2bp2/p2pp3/P2P4/1NP2PP1/1PBK4/7R b - -,a8e8
2q1k1r1/3nbp2/1p2n3/3BP3/3P2p1/PR4P1/5P2/2BQ2K1 w - -,c1b2
r1r3k1/p2bppbp/3p2p1/q1nP4/1R2P1nN/2N3P1/1P1B1PBP/1Q3RK1 w - -,c3e2
8/1P6/4Bkp1/4b2p/8/5K2/8/8 w - -,e6d7
5k2/1p2bp1p/p3bnp1/3rQ3/Pq1BN3/5B2/1PP3PP/3R3K w - -,e5b8
1rb1r1k1/1p2qpbp/p2p1np1/1N3p2/2PP4/4P1P1/P1Q1NPBP/1R3RK1 w - -,b5c3
r4rk1/1bqn1ppp/p3p3/1p2b1BQ/3N4/1BP4P/PP3PP1/3RR2K b - -,f8e8
R7/4rpk1/5rp1/7p/3Rp2P/4P1K1/5PP1/8 b - -,f6f5
1r3rk1/3b2np/p2p2p1/n1pP1p2/1qP1pP2/4P1P1/P1QN1R1P/3NRBK1 b - -,d7a4
r1r1b3/p5k1/3pqp1p/3N4/1p2P3/3Q4/PPP3PP/1K3R2 w - -,d5f6
5k2/1R6/6p1/1p4P1/4PP2/1r3K2/8/8 w - -,f3f2
8/5b2/1kpn1p2/p3pPp1/Pp2P1Pp/1P1B3P/1NPK4/8 b - -,c6c5
8/5pkp/5pb1/2r5/R2N4/5P2/5KPP/8 w - -,h2h4
2r3k1/1p2ppb1/1q1p1n1p/pNr1n1p1/P3P2B/N1P5/1P2QPPP/R3R2K w - -,h4g3
r3kbnr/1b1p1ppp/p1q1p3/8/Pp2P3/1N1B4/1PP1QPPP/R1B2RK1 b kq -,f8d6
r4rk1/pp1bbppp/2n1p3/3q4/3P2n1/P2BBN2/1P1N1PPP/2RQ1RK1 b - -,g4f6
8/8/1p1p4/3P3P/2P2k2/1R2b3/4B2r/3K4 b - -,h2h1
R7/8/6k1/6p1/5p2/1r3K1P/8/8 w - -,f3g2
5r1k/1p3p2/1bp1r3/p2n1N1p/P1BPR2P/5P2/1P3KP1/3R4 b - -,f8d8
r1br2k1/pp2qpp1/2p2n1p/8/2BPp3/2R1P3/PPQN1PPP/3R2K1 w - -,c4e2
5n2/1pq4k/2p2B1p/p1P2b2/2Q1np2/1P3r1P/P6K/3R4 w - -,d1d8
8/2qk1p1r/p2p3p/2p1pNr1/4Pn1Q/2P2P2/P1P2P1P/1R1R3K w - -,f5e3
r2qk2r/3n1ppp/p3pb2/3p4/3P4/1PQ2N2/P4PPP/R1B2RK1 b kq -,e8g8
rn2kb1r/p2q1pp1/bp2pn1p/3p4/2PP4/1Q1B1N2/PP1B1PPP/RN2K2R b KQkq -,f8e7
r4rk1/1p1b1p2/p1nP2N1/P1p3np/5R2/2NB3P/1P4P1/R5K1 w - -,g6f8
3r2k1/p4pp1/1p4p1/2p5/4r1P1/1P2PN1P/Pq3PK1/3R1R2 w - -,d1d8
2n1r1b1/p1k1n1Rp/8/4R3/4P3/1P4P1/P4P1P/6K1 w - -,f2f4
8/8/P3R3/r1p5/2P5/4p3/1K1k4/8 w - -,e6d6
r5nk/1p1b3p/3p1b2/1NpPp2q/p1PnPp1P/P4P2/KP6/1N1QBBR1 b - -,h5f3
rnbq1rk1/pp2ppbp/2p3pn/3pP3/3P1P2/4BN2/PPP1B1PP/RN1QK2R b KQ -,f7f6:b7b6
2r3k1/5pbp/3pp1p1/4r3/R7/4NPP1/4PK1P/3R4 b - -,g7f8
4r1k1/1p3p2/5b1p/3R3p/p7/2P2P2/1P3PK1/2B5 b - -,e8e5
r4bk1/2qb1p1p/2p2np1/p3p3/P2pP3/1P3NPP/2Q2P2/2R1RBK1 b - -,f8b4
rnbqk2r/pp1p1ppp/2p2n2/4P3/1b1P1p2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,f6d5
3r1rk1/1pq1p1bp/p3bpp1/2Ppn3/3BPQ2/2N3P1/PP3PBP/2RR2K1 b - e3,d5e4
2r5/p5k1/3Bq1pp/8/Q1Pb4/5BP1/P5KP/8 w - -,c4c5
6Q1/6p1/p3R2p/P6k/8/4R1PP/2b4K/1r1q4 w - -,g8f7
4b3/7k/pp1qp1pP/4Np1n/2P4P/4Q3/PP3P2/2KB4 b - -,h5f6
r6r/pp3kp1/2p1p2p/5pBP/2PP4/8/PP1R1PP1/2K4R b - -,h6g5
4k1r1/1b3p2/4pp2/1P1qn3/4Q3/3p1P2/1P4PP/R2RBK2 b - -,d5d7
2r2nk1/6pp/3bpr2/p2p4/1qPP1p2/1P1Q3P/2R2PP1/3B1RBK b - -,d5c4
3q1b1k/1r2n1rp/1p2RQ2/p1pp1p1B/P1P2P2/3P3P/1P1B3K/6R1 b - -,d5d4
rnbq1rk1/pp3ppp/4p3/2bn4/3N4/6P1/PP2PPBP/RNBQ1RK1 w - -,d4b3
r1bqk2r/1ppn1ppp/3p1n2/8/1bPB4/1P3NP1/4PPBP/RN1Q1RK1 b kq -,a8a1
4rrk1/pp4pp/1qp2pn1/3Bp3/3P4/2P1PN1P/PP2Q1P1/R3R1K1 b - -,c6d5
7k/6p1/7q/p2p4/2PPb1Q1/2R4P/Pr4P1/5NK1 w - -,c3g3
r1b1k2r/pp3p1p/2p2p2/q7/2PP4/4p3/P1P1B1PP/R2Q1K1R w kq -,d1d3
5n2/4kp2/3p2p1/1r2p1P1/1pN1P3/1Pr2P1R/2P5/3K3R b - -,f8e6
3Qn1k1/4B3/2p5/6pq/2P1r3/P5b1/1P4RP/R6K b - -,e4h4
r1r3k1/pq1n1ppp/1p2pn2/1Nb1N3/2Q2B2/4P3/PP3PPP/2RR2K1 w - -,e5d7
r2qr1k1/pp1n1pbp/3p2p1/2pP4/2P5/5N1P/PPQB1PP1/4RRK1 b - -,a7a6
r3brk1/1pp1q1pp/2n5/p3pp2/2P1n3/PP2QNP1/1B2PPBP/3R1RK1 w - -,f3e1
1krb4/8/3pQ2P/2qNp3/ppn1P3/3RP3/PPP4R/1KN3r1 b - -,a4a3
1rr5/q2k2p1/2pp1p2/2b1pPPb/ppPnP3/3PB1K1/PP3QB1/2RNR3 b - -,c8h8
kn1r3r/1b1qbppn/1p2p2p/pP1pP2P/P1pP1BN1/2P2NP1/4QPB1/R3R1K1 w - -,f4c1
2r3k1/p2RBp1p/6p1/P7/3b4/8/5PPP/5K2 b - -,c8c4
8/1p1q1kp1/p4p2/2P5/1P1rp3/1R3Q1P/6P1/6K1 w - -,f3h5
4r2k/1bpn2p1/pb4p1/1p1p1rN1/3Pp3/2P3R1/PPB1NPP1/R5K1 w - -,g5h3
2rqk2r/p2bbppp/1pn1pn2/2P5/1PQ5/5NP1/P2BPPBP/RN3RK1 b k -,b6c5
2r4r/pp6/1np1pkp1/1P2N2p/3P1P2/P1R1PK2/6P1/7R w - -,b5c6
r2r2k1/q3b1pp/b1p1pp2/p1pnp3/N7/BP1P1N2/P1P1QPPP/R3R1K1 w - -,a3c1
3rr3/1p2b1kp/p1pp1p2/7p/2P1PPN1/1P3KP1/PB1R4/7R b - -,h5g4
8/p6R/1pn2kNp/4Pp1P/b7/4P3/8/4K3 b - -,c6e5
8/8/6pp/1N2k3/6KP/8/8/8 b - -,e5f6
5rk1/1r1pq1pp/ppn1pn2/5p2/2PP1N2/5PP1/PP2B2P/R2Q1RK1 w - -,d1d2
5R2/kp1r4/p1n5/2R1p3/8/1P4r1/P6K/8 b - -,g3g6
6k1/2p1p2p/4p1p1/p1p1P3/P2rP3/P3KP2/6PP/2R5 b - -,d4a4
5k2/p4r2/1p2p1Qp/7P/2P5/1P4PK/P5r1/8 b - -,g2a2
8/1R6/5pkp/6p1/2P3P1/1p3PK1/1r4P1/8 w - -,b7b6
1r3rk1/p1qn2b1/1p1p1n2/2pP1p1p/P1N1pP2/1QP3P1/1P2NBKP/R4R2 w - h6,c4e3
r3k2r/ppqnppb1/2pp1npp/3P4/4P1P1/2N1B2P/PPP1QP2/2KR1B1R w kq -,f1g2
rn4k1/4ppbp/1p2b1p1/1pp5/P1P5/1K2P3/3N1PPP/5BNR w - -,a4b5
r2r4/1pqbppk1/p1np2p1/7p/2P4P/1P2QNP1/P3PPB1/2RR2K1 w - h6,c4c5
3r4/1k1r2p1/p1p1npb1/PpP3p1/1P2P1P1/2RNKPNP/8/5B2 b - -,d7d4
r1b2rk1/1pq1bp1p/p1p1p1pB/4P3/2P1B3/6P1/PP3P1P/R2QR1K1 b - -,f8d8
r2q1rk1/ppp2pbp/1n1p2p1/3Pp3/2Pn4/1PN1B1P1/P2QPPBP/R4RK1 b - -,d4f5
r3r2k/ppq2pp1/2pb3p/3bN3/3P4/P1QB2P1/1P3PP1/2R2RK1 w - -,f2f4
3r1rk1/4pp1p/1p4p1/p1pP2N1/1nP2Pq1/1Q2P3/5KB1/1R3R2 b - -,h7h6
8/1p1b1rk1/p2P2n1/2PK4/6p1/2R3P1/4N3/8 w - -,e2d4
rnb2rk1/pp4pp/3qpb2/2pp1p2/3P4/1QP1P1P1/PP1NNPBP/R4RK1 b - -,b8c6
1r3rk1/4ppb1/pp1pn1pp/5q2/PPP5/Q3P2P/4BPPB/1R1R2K1 b - -,f8c8
r1bq2k1/ppp1b1pr/3p2Np/8/4P3/2NPP2P/PPPQ2P1/R4RK1 w - -,c3d5
r4r1k/1p1n2pp/p1np2q1/3bpp2/1PN5/P2PPP2/1BQ1B1PP/R4RK1 w - -,e3e4
6k1/6p1/2p3p1/p4bPp/3P3P/PK1NR3/7r/8 w - -,d3e5
4k3/5R2/8/2p1K3/p1Pp4/P7/2P5/8 b - -,e8f7
1qr3k1/1r1npp1p/b2p2p1/2pP4/P1Nb1P2/1P4PP/2QBP1BK/1R2R3 b - -,b7c7
2r1Q3/5pk1/p5pp/1p5P/6P1/P1q2P2/2P4R/1K1R4 w - -,e8d7
8/r4p2/2p3pp/8/P2k1KP1/1P1B4/2P4P/8 w - -,h2h4
6k1/3qnppn/pb2p3/1p6/3pP3/P2P2BP/1P1QNPB1/6K1 b - -,e7c6
r3r1k1/1ppn1pbp/3p2p1/p1n5/4P2q/1NP4P/PPB2PP1/R1BQR1K1 w - -,b3c5
r1bq1rk1/pp2bppp/2pp1n2/8/4PB2/1PNP1N2/1PP3PP/R2Q1R1K b - -,c8g4
r2q1rk1/pp1nppbp/4b1p1/2p5/2NP4/2P1PN2/P3BPPP/2RQ1RK1 b - -,b7b5
2k2b1Q/pp2qp2/6bp/3pr3/3N4/2BP3P/PPP5/2K2R2 b - -,e5e3
r2qk2r/pp1n1ppp/2p2n2/2bppb2/4P3/3P1NP1/PPPN1PBP/R1B1QRK1 b kq e3,d5e4
r1bqkb1r/pp1pnppp/2n1p3/4P3/2P5/2N1Q3/PP3PPP/R1B1KBNR w KQkq -,f1d3
r2q1r1k/5p2/3p2pp/p1pPn1bn/PpB1P3/1P3P2/2R2BPP/3Q1RNK w - -,g2g3
r5k1/2q1bp2/2r3p1/n1pQp2p/Pp6/3PB1P1/3NPP1P/1RR3K1 b - -,a8d8
8/8/1R3k2/5pp1/r4PP1/4P1K1/8/8 b - -,f6f7
r6k/1pp4p/1p2pq2/1P2p3/P1N1Pp1n/2P2N2/4QPrP/R4R1K w - -,f3h4
1r3rk1/ppnbq1pp/2n2p2/4p3/1b6/2N2NP1/1BQPPPBP/R1R3K1 w - -,e2e3
5rk1/7p/p5pb/p2p4/2bBr3/2P2NP1/1P1R2P1/R6K w - -,d2f2
4b3/8/4P3/3B3k/2NP4/4b1pp/8/7K b - -,e3d4
1q4k1/5p1p/4p1pP/4P1P1/2Q1BP2/2p2K2/P7/4b3 b - -,g8f8
r1r3k1/1p2pp1p/np2b1p1/3N2B1/3b2P1/7P/PP2PPB1/R1R3K1 b - -,e6d5
4r1k1/8/3p1qp1/2PP1p2/p4Q1R/7P/6P1/R6K b - -,f6a1
1r2r1k1/1p1b1pb1/p2p2p1/q1pP3p/4PPn1/N1N2B2/1P6/R1BQ1RK1 w - h6,g1g2
r3qrk1/4bppp/p1N1p1b1/1pB2nP1/5Q2/2P4P/PP3PB1/R3K2R w KQ -,c6e7
r2q1rk1/pb1nbppp/1p1ppn2/2pP4/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 b - -,e6e5
r5k1/4pqbp/1p1pN3/2nPnp2/p7/P3BP1P/1PRQB1P1/6K1 w - -,e6g7
rnb2rk1/2pq1pb1/pp1ppnpp/8/P1BPP2B/2N2N1P/1PP1QPP1/R3K2R w KQ -,a1d1
r2qr1k1/2p3np/1p1p2p1/p2Pp1b1/2P1B3/PP2B1PP/3Q1P1K/2R2R2 b - -,g5e3
8/6k1/3p4/3Pb3/4K1R1/8/8/5r2 b - -,g7f6
r7/3pq1pk/1pnN2p1/4pp2/1PP2P2/1K2PP2/3Q3P/3R4 w - -,f4e5
2r1k2r/pp1bbpp1/1qn1pn1p/2pp2B1/3P4/2PBPN2/PP1N1PPP/RQ3RK1 w k -,g5h4
4r2k/ppp3p1/4Qb1p/3P4/q7/P2RB2P/6P1/7K w - -,e6f5
2q1n1k1/2pbb1pp/1p1p4/3Pp3/1PP2r2/1QN2N2/4BPPP/5RK1 w - -,c4c5
2rr2k1/2q2pp1/2pbp3/p2n3p/PpQP3P/3RP1P1/1P2NPB1/2R3K1 w - -,d3d2
1R6/p4rp1/6K1/3p3P/3P4/1p3P2/k7/8 b - -,f7c7
r7/1pkn2pp/2p2p2/4pn2/2P5/1PN1P1PN/R4PKP/8 b - -,a8a2
8/5pk1/1p1r2p1/2pPpP1p/2P1B2P/3P3K/P2b4/6R1 b - -,d2h6
1r4k1/r3q2p/4n1pQ/p1pbP3/P1pp1Pp1/7R/1PP1NR1P/2B3K1 w - -,h3g3
r3r3/5k2/Rp4p1/1P1pn3/1B2p3/2P4R/2P2PP1/6K1 w - -,a6b6
r3rbk1/1b4pp/p4qp1/2pPB2n/1pP5/3B3P/PP1NQ1P1/2R1R1K1 b - -,h5f4
rn1qk2r/p1b1nppp/1pp1p3/7b/3P1B2/1QPN2N1/PP3PPP/R3KB1R b KQkq -,h5g6
r3k2r/ppbnqppp/2p2n2/4p2b/P1N1P3/1P3NPP/2P1QPB1/R1B1K2R b KQkq -,d7c5
2r2b1r/pp1n1k2/1qp1pp2/3p1b1p/2PP3P/2N1B3/PP1QBPP1/R4RK1 w - -,a1c1
8/4k3/1np3pp/2N1K3/PP3P1P/8/8/8 b - -,b6c4
3q1rk1/2rnbppp/p1b5/P1p1P3/1pN2P2/1P1P3B/1BQ4P/3R1RK1 b - -,f7f5
r4rk1/p4ppp/1np1p3/q7/2b1P3/2P2BP1/P1Q2P1P/R1BR2K1 w - -,c1e3
1r3qk1/1r1nppb1/p2p2p1/3P3p/P1b1P3/2N1B2P/2Q2PP1/2RBR1K1 w - -,c3e2
r1bqkb1r/5p2/p2pp3/1p5p/3nPBp1/1B6/PP1NQPPP/R4RK1 w kq -,e2d3
3R4/8/8/8/8/2k5/3pK3/7r b - -,h1e1
r3r1k1/2pb2qp/1p1p2p1/pPnP1p2/2P1Pp2/P1Q4P/2BN2P1/4RRK1 w - -,c3g7
2q1n1k1/4bp2/r2p2p1/2pPPb2/1p3P1P/1P3NP1/1B3KB1/R1Q5 b - -,e8g7
2r3k1/q3pp1p/r2p2p1/3P4/P2PP3/3Q4/R5PP/R5K1 b - -,a6a5
3b1r1k/3r2pp/R2P4/2pQ1pP1/3n3P/8/PPP5/1K2R3 w - -,d5c5
3q1rk1/pbrn1p1p/1pp2b1B/3p2p1/3P1Q2/2N3PB/PP2PP1P/2R2RK1 w - -,f4g4
8/p1p2kpp/1p1p4/1P1P1p2/P1PNnP2/4q1P1/1Q4KP/8 b - -,e4c5
8/2RnB3/3Pk2P/4p1p1/3r4/6K1/5P2/8 b - -,d4d1
2rk2nr/1p1n1ppp/p3bb2/8/3N4/1NP5/PB3PPP/R3KB1R w KQ -,d4e6
r1b2rk1/1pq1ppbp/2n3p1/p7/2P1NP2/P2PpNP1/1P2P1BP/1R1Q1RK1 b - -,f8d8
6k1/p4p2/1p2p2p/3bPp2/1P2nP2/P3P3/2N3BP/6K1 b - -,e4c3
3rqrk1/1pp3bp/n1b3p1/p4p2/2P1p3/PPNnP1P1/2Q1NPBP/BR1R2K1 b - -,e8e7
r1bq1rk1/1p1nppbp/p2p2p1/2p5/3nP3/2NPBNPP/PPPQ1PB1/R4RK1 w - -,f3h2
r4rk1/pp3pbp/4bnp1/8/3q1P2/2NN4/PPPQB1PP/R3K2R b KQ -,f8d8
8/5p1k/p2Q2p1/2Bp2b1/P2P1P2/6KP/8/4q3 w - -,g3g2
r1b2rk1/pp1qpp1p/2n2bp1/2p5/Q7/3PBNP1/P3PPBP/1R3RK1 w - -,a4b5
8/2b5/7p/p2b1ppk/1pN1p3/1P2P2P/P2N1PP1/4K3 w - g6,e1d1
r1b2rk1/pp2bppp/1qn2n2/1Q6/3p4/2N2NP1/PP2PPBP/R1B2RK1 w - -,b5b6
1r1r4/1p1b2pk/pQp1q2p/P2pPp2/1P3P1P/4PBP1/4K3/2R3R1 w - -,b6c5
2r2r2/5pkp/1n2pq2/p7/1p1PB3/5P2/PP1Q1P1P/2R4K w - -,c1g1
1rbq1rk1/2p1npbp/3p4/1p1Pp1p1/4Pn2/2P1BNN1/1PB2PPP/R2QR1K1 b - -,e7g6
r2qk2r/pp1n1ppp/2p2n2/2bp3b/8/1QNP1NPP/PP2PPB1/R1B2RK1 b kq -,c5b6
r2q1rk1/2p2ppp/pbnpbn2/1p2p3/4P3/2PP1N1P/PPB2PP1/RNBQR1K1 b - -,h7h6
1r2nrk1/2q1bppp/1n6/R1pp1N2/1p6/1P1PP1P1/1BP3BP/3Q1RK1 w - -,f5h6
rnbqkb1r/pp3ppp/4p3/2P5/3Pp3/8/PP3PPP/R1BQKBNR w KQkq -,c1e3
8/7k/R6P/Pr4p1/6K1/7P/8/8 b - -,b5c5
r2qkbnr/1p1b1ppp/p1npp3/2p5/4PP2/2N2NP1/PPPP2BP/R1BQK2R w KQkq -,e1g1
r2qk3/pppnnp1r/3p2p1/3Pp2p/2P1P2P/6P1/PP1NQPB1/R4RK1 b q -,f7f5
6k1/2p2pp1/4q2p/2P1P3/p2Q2P1/PrBP3b/3K4/R7 w - -,d4a4
1k2r3/1pp5/p1pb1p2/5Pp1/4P2p/P2R4/1PP3PP/3N2K1 w - -,d1c3
r2qk2r/1bpnn1b1/pp1p2pp/5p2/3P1P2/N1PBBN2/PP2Q1PP/3R1RK1 w kq -,e3f2
r4k2/pp3p2/2p1b3/4p1R1/2PnB2p/3PN2P/PP6/7K w - -,g5e5
3q1k2/2p2pnn/2Bp2p1/3Pp1P1/4P3/r3P2N/2R4K/6Q1 w - -,c2b2
3rr1k1/1pq1bp1p/p3pnpB/P1p5/2Nn4/2NP3R/1PP2PPP/3QR1K1 w - -,d1d2
8/5kp1/5PRp/7P/7r/5PK1/8/8 b - -,h4h5
r5k1/pp2qp2/1b2pp1p/8/bnB1N2B/2Q1P3/PP3PPP/3R2K1 b - -,a4d1
4r1k1/2Q4p/p5p1/2P2p2/1P2q3/5NKP/6P1/8 w - -,c7d7
r2r2k1/1p2bpp1/1q2pnp1/pNn5/P1P5/1P4N1/1BQ2PPP/3R1RK1 w - -,b2e5
r5k1/4q1pp/1R2p3/3n1p2/2rP4/4PP1N/1Q5P/1R4K1 w - -,b6b8
r2r4/pp1nppk1/2p2qp1/2R4p/1P5P/2QP2P1/P3PPB1/5RK1 w - -,c3f6
r3kb2/1p1b1p2/p2p1n1p/q1pPp3/P1P1PP1R/2N3r1/1P2B3/R2Q1KN1 w q -,f4e5
4r3/1b4kp/p4bp1/B7/4P3/3B4/PP4PP/R6K w - -,a1c1
rr1kb3/5qp1/2p4p/p1Q1PN2/P1Pp2P1/1P1P4/7P/1R3R1K b - -,f7a7
1r3rk1/1q2ppnp/3p2p1/1P6/1Q2P1n1/1P6/2RR1PPP/1B3NK1 b - -,b7b5
2k3r1/1pp2p2/p1nn2p1/5q1p/P4Q1P/1P2R1P1/1BP1BP2/1K6 w - -,f4f5
6k1/p1P2p1p/6p1/2p2P2/7q/2P5/P3r2P/B4RK1 w - -,c7c8q
2rq1rk1/pp2ppbp/n4np1/3P4/2p1P3/P1N2b1P/1PQ1BPP1/R1B2RK1 w - -,e2f3
rqb3k1/3nBpbp/3p2p1/1NnPp3/PQ2P3/5N2/2B2PPP/5RK1 b - -,g7f8
r3qr1k/2pnb1pp/1p1pQ3/p7/2Pp4/5NB1/PP1R1PPP/R5K1 w - -,f3d4
2r3k1/pppq1ppp/7r/8/3p4/P2P2P1/1P1RPPKP/2RQ4 w - -,d1h1
8/8/p3kp1R/6PP/5P2/1P5K/r7/8 b - -,e6e7
