8/5K2/7P/7R/4k3/8/8/6r1 b - -,g1f1
2k1n1rr/2q2p2/2n1p3/pp1pP2P/b1pP1BP1/2P5/2PQB2N/R5RK b - -,c7e7
r3k2r/pp1nqpp1/2pbpnp1/8/2BP2P1/P1N1PQ1P/1P1B1P2/R3K2R b KQkq -,f6d5
2kr2r1/pp3p1p/2pbpnb1/5p2/2PP1P2/1B2B2P/PP4P1/R3R1KN b - c3,g6h5
3r3k/7p/p2p2p1/P2Pp2n/5r2/B4P2/7R/1B4RK b - -,f4f3
r1bqk2r/1p1p2bp/p3p1pn/2p1Pp2/P1Bn1P2/2N2N2/1PPP2PP/R1BQ1RK1 b kq -,h6f7
r2qr1k1/1b1n1ppp/pp3b2/1Ppp4/P2Pn3/4PNP1/1BRN1PBP/3Q1RK1 w - -,d4c5
8/6k1/6p1/3r2P1/KP3R1P/8/8/8 b - b3,d5f5
r1b2rk1/1p2npbp/p1n1p1p1/3p4/Pq2P3/2NBBN2/1PPQ1PPP/R4RK1 w - d6,e3h6
2rr2k1/1q3ppp/npp1pb2/p7/2PPB3/P1Q1B1P1/1P3P1P/2RR2K1 w - -,c3b3
3r1r1k/pb3ppp/1p2p3/2q1P3/5B2/6Q1/P4PPP/R2R2K1 w - -,d1d6
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP3/1BN1BP2/PPPQ2PP/R2R2K1 b - -,e5c4
r3r1k1/p4pp1/1np1q2p/1pQp4/1P1P4/P3PN2/5PPP/R1R3K1 b - -,a8c8
3Q4/1br2p1k/2q1p2p/p1N1Rp2/PpBPn3/3R3P/1P3PP1/6K1 w - -,e5e4
r2r2k1/ppq3np/n1pbb1pB/5p2/3Q4/2N2NP1/PP2PPBP/1R1R2K1 w - -,d4f6
8/6k1/5p2/P6p/5PqP/2Q5/7K/8 b - -,g4e2
2rq1rk1/p2p1ppp/1p1Pp3/2bnP3/4R3/5N2/PB3PPP/R2Q2K1 w - -,d1d3
3rr1k1/pp1n1ppp/1qp3b1/4n3/4P3/1PN2PB1/P1Q1B1PP/2R2R1K b - -,h7h5
r1b2rk1/2q3bp/p7/2p2p1n/1pP1p1n1/4B1PN/PPB1QP1P/R3RNK1 w - -,a1d1
4k3/p5Qp/1p4pP/8/1P1p1q2/P2P4/5P2/6K1 w - -,g7g8
r2qr1k1/pppn1pbp/3p2p1/8/b1P1P3/1N4PP/PPQB1PB1/R3R1K1 b - -,d7c5
2r2rk1/4ppbp/q5p1/4P3/1p1Q1Pb1/1Bp5/1PR2BPP/4R1K1 b - -,g4f5
1r3rk1/1p4bp/pN1p4/P1pPnp2/4n1Pq/4P3/1PQ1BPPB/R4RK1 b - -,f8f6
r1bq1rk1/pp2p1bp/n2p2p1/2pP1p1n/2P5/2N1PN1P/PP2BPPB/R2QK2R b KQ -,f5f4
r2q1r2/p2pbppk/1pn5/2pQ4/8/4PN2/PP3PPP/R1B2RK1 w - -,e3e4
6r1/p1r1kp2/bp1Np3/5p1p/1PPR3P/PK4P1/5P2/3R4 w - -,d1e1
8/1p6/p1p1bk2/2P2p1p/3P4/P3B1PP/1P4K1/8 w - -,e3f4
2r2k2/1p3pp1/1p4bp/r1n5/2Pp4/P2P2PP/5P2/2BRRBK1 w - -,e1e5
5r2/3qb1pk/p7/1p6/3p4/P2R2NP/1P3PK1/2B2R2 b - -,b5b4
r4rk1/p1p4p/2pp2p1/8/2PR4/1P4P1/P4P1P/4R1K1 b - -,c6c5
1k1r4/p4p1p/1pn3r1/1QNqR3/3p1P2/6P1/PP5P/2R3K1 b - -,d5f3
2r1r1k1/1p3ppp/p4n2/3Nq3/1P6/PQ3B1P/5PP1/3R2K1 w - -,d5f6
2r3k1/1b3p2/p4PpR/1p2p3/4P1P1/P1N5/1P5P/7K b - -,c8c4
8/5p2/1k4p1/2p2p1p/7P/1PK1P1P1/R4P2/3r4 b - -,b6b5
5rk1/r6p/1q2n1pb/2p1PpN1/1pPp1P1P/3P4/1P1B3K/1R1Q2R1 b - -,h6g5
2R5/8/1k2B3/1p2K3/2p5/1r6/8/8 b - -,b3b4
r1bqk2r/p1ppbppp/2p5/3nP3/6Q1/3B4/PPP2PPP/RNB1K2R b KQkq -,e7f8
r2r2k1/4n1pp/1p2q3/3p1p2/2bP4/2B1P1P1/1Q3PBP/2RR2K1 w - -,c1a1
3r2k1/5p2/N1r1b1p1/1p1pPpPp/p4P1P/P1P3K1/1P1R4/3R4 w - -,a6b4
r2r2k1/5ppp/1pp1n3/4p3/4P3/2Q5/PP1N1PqP/1K1R3R w - -,c3e3
8/8/8/2pk1K1p/7P/1P4P1/8/8 w - -,g3g4
8/1p2p3/p2pkp2/P7/1PP1P1R1/2K3P1/1r6/8 b - -,b2e2
1k4rr/pbpn1q2/1p1p4/5Q2/1P1NP2p/P4P1P/1K1R2PB/6R1 b - -,f7g7
4rrk1/2q1p1bp/2npb1p1/p1p2pB1/2P1P3/PPN4P/3Q1PP1/3RRBK1 w - -,e4f5
1rb2rk1/p5pp/2pqpbn1/2pp4/2P5/2NP1N2/PP2QPPP/R1B2RK1 w - -,g2g3
2r4k/4qp1P/p3p3/1p2n1p1/3pN3/1Q6/PP3PP1/2K4R w - -,c1b1
rn2kb1r/ppq2pp1/2p1pnp1/3p4/2PP2P1/1Q2P2P/PP1N1PB1/R1B1K2R b KQkq -,b8d7
r1b1nrk1/5pp1/pqpQ3p/8/2B1P3/2N2P2/PPP3PP/2KR3R w - -,d6d4
3r4/2k2pp1/p1p1np2/8/3P4/2P2NP1/P3KP1P/1R6 b - -,d8d5
2k2r1r/pp2p3/3p2p1/5bB1/1PPpR2P/P5b1/6B1/1R4K1 w - -,e4e7
rn1qk2r/pp2bppp/2p2n2/3p2B1/3P4/2NQPN2/PP3PPP/R3K2R b KQkq -,b8d7
r1b1k1nr/pp2ppbp/2n3p1/q7/3P4/4BN1P/PP3PP1/RN1QKB1R w KQkq -,d1d2
5k2/p4ppp/bb6/3r4/P7/2R1P2P/5KP1/8 b - -,d5d2
r2qk2r/1p2nppp/p1npbb2/4p3/4P3/1NNB2Q1/PPPB1PPP/1K1R3R b kq -,a8c8
6r1/p5rk/1pR2b1p/4pp1n/1P6/Pb2BNPP/5PBK/3R4 w - -,d1d6
rnbqr1k1/p1p2ppp/1p3n2/3p4/1b1P4/2NBP3/PP1BNPPP/R2Q1RK1 b - -,c8b7
8/5k2/p4p1p/p1bPp1pP/2N1P1P1/5P2/2K5/8 w - -,c2b3
5rk1/p4qbp/3pR1p1/1p1P4/1Pp2B1n/6P1/P1N1QP2/6K1 b - -,h4f5
8/1p4k1/p4pp1/P1n1p2p/1RN1P2P/2P2PK1/4r1P1/8 b - -,e2c2
7r/5k2/3p2p1/3N4/3K2RP/8/8/8 b - -,h8a8
3k4/p2Pr2p/1p1R4/2p5/2q3p1/P5P1/1P1R1PN1/6K1 b - -,e7e6
8/8/p1p5/PbP2p2/1P4k1/4K1B1/7P/8 b - -,b5a4
2rqR1k1/pb3p2/1p3bpB/8/2nP4/P1PQ1N2/2B2PP1/3R2K1 b - -,d8e8
r3k3/1r1n1pp1/1p2p2p/p7/7P/3NKPP1/PP2P3/2RR4 b - -,a8d8
6k1/2q2p1p/2bp2p1/4p1b1/1rB1P3/2N5/2P1QPPP/5R1K w - -,c4d5
r5k1/1p1nrp1p/1q1p2pb/3P4/pP1pPP2/P2B1Q1P/3B1P2/1R2R2K b - -,a8e8
r1bq1rk1/pp1p1pbp/n5p1/2pP4/8/P2BPN2/1P3PPP/R1BQK2R b KQ -,d7d6
6k1/p3qpp1/1p1r4/8/8/5PP1/PPR2QK1/8 w - -,c2e2
2r3k1/6pp/p4p2/2bqpR2/3N4/2P3Q1/1P4PP/6K1 b - -,c5d4
r3r1k1/5p2/2p3pb/1p1b1n2/p2P4/P1B2N1p/1P3PPP/R3RBK1 b - -,h3g2
8/3n1pk1/2p1p1pp/2PpP3/3P3P/3Q1NP1/q4PK1/8 w - -,d3d1:f3h2
R7/1r2bpkp/p3p1p1/8/1nBN4/1P2P1PP/5P1K/8 b - -,e7c5
2r2rk1/1p2bppp/p1n1pn2/8/1q1P1Bb1/2N2N2/PP1QBPPP/2RR2K1 w - -,a2a3
5r2/p1r1n2k/bp1b1p1p/3pp3/8/3PRNPP/PPPR1BB1/6K1 w - -,f3h4
r4r1k/1bbn2pp/4qn2/2p1p3/2NpP2N/1P1B2P1/PB3P1P/R2QR1K1 w - -,g1g2
4K3/8/1p1p4/2k5/R7/8/8/8 b - -,b6b5
r1b2rk1/p5q1/2pbpn1p/3p2p1/3P4/1N1BBN1P/PP3PP1/3Q1RK1 w - -,f3e5
8/8/5bp1/8/2k1K2P/3pB3/8/8 b - -,f6h4
5k2/2n2p1p/3p2p1/8/8/PB5P/6P1/7K w - -,a3a4
8/7k/7N/5PP1/5K2/1b6/8/8 w - -,h6g4
5k2/4bp2/7r/N1p1R3/3n4/P7/1P4P1/6K1 w - -,a5c4
2r1k1r1/1pq5/p5pp/3R1p2/5P2/6P1/Q4K1P/4R3 b - -,e8f8
1q4k1/p1n2p1p/1p5Q/2n2P2/8/6P1/P5BP/2R3K1 b - -,b8d8
3r1rk1/p3ppb1/1p2b1pp/1q6/3P2P1/P1Q1B2P/1P3PK1/2NR1R2 b - -,d8c8
8/5p2/1p4pk/7p/P4R1P/6P1/r7/6K1 w - -,f4b4
r3r1k1/1ppq1bp1/3p3p/p2P1p2/3Q1NPP/1P3P2/P1P5/1K1RR3 b - g3,f5g4
r2qk1nr/1bpnppbp/p2p2p1/1p6/P2PPB2/2NB1N1P/1PP2PP1/R2QK2R b KQkq a3,b5b4
r1bqkb1r/p4ppp/1pn1pn2/2pp4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b kq c3,c8b7
b5k1/B4ppp/n3p3/1p6/3N1P2/3N3P/3K4/1r6 w - -,d2c2
2r2b1k/5p1P/5P2/7P/1p1Q4/2q5/PKP5/2R5 w - -,d4c3
3r3k/1p3p1p/1nnq1bp1/pB4N1/P2p3Q/8/1P3PPP/3RR1K1 b - -,f6g5
8/4r1p1/5pkp/3Bb3/2P1Pn2/7P/5BP1/1R5K w - -,c4c5
8/5b1p/2pq1kp1/p3p3/Pp2Q3/1P1N3P/2P2PPK/8 w - -,h2g1
1r3rk1/3Q1ppp/6n1/p1N1p3/2R4P/3PP1P1/1q3PK1/5R2 b - h3,b2e2
5R2/1r4p1/4k3/2B1pp2/1P3r2/2P3R1/K7/8 w - -,a2b3
r1bq1rk1/pp3ppp/2nppn2/b1p5/2PP4/P1NBP3/1PQ1NPPP/R1B2RK1 b - -,h7h6
r1b2rk1/ppp1q1pp/n2pp3/8/2PN4/2R3P1/PP2PPBP/3QK2R w K -,e1g1
3k4/2n5/1p2pp1p/6p1/q1pP4/P1Q1P3/4NPPP/5K2 w - -,c3b4
6k1/1pbr2p1/p1p1q3/4pN2/1P6/2PPB3/1P2QK2/7R b - -,e6f5
r1q1rbk1/pb1n1ppp/1p1p1n2/2pP4/P3PB2/2N2NPP/1P3PB1/R2QR1K1 b - -,f6h5
r1bq1rk1/pp2ppb1/2np1npp/2pP4/2P4B/2N1PN1P/PP3PP1/R2QKB1R b KQ -,c6e5
2R5/p5k1/2p3p1/3Pr3/6R1/P2Qp3/2K1B1q1/8 b - -,g2h1
r4r1k/1p1bn1q1/p6p/P2PP2P/2N2p2/R7/3QB1P1/5RK1 w - -,d5d6
q3k2r/1p3ppp/p1p1p3/2bpP3/8/1Q1bP2P/PP3PP1/R3K2R w KQk -,b3d3
r3k2r/ppq1bppp/2b1p3/2ppP3/8/2PBP1P1/PP1N1PP1/R1Q2RK1 w kq -,f2f4
4r3/pp2r1k1/2p1P1p1/4R1N1/1P6/P4R2/8/6K1 w - -,g1f2
3r2k1/p2r1pp1/b2bpn1p/q3p3/2pPP3/2P1QNPP/P4P2/B1RR1BK1 w - -,d1e1
r1b2n1r/4qk1p/2p2bp1/1p2pp2/p1pP4/P1N1PNPR/1PQ1BPP1/2K4R w - -,d4e5
r1r3k1/pp1b1ppp/3qpn2/3pN3/3P4/2NnP2P/PP2QPP1/R1R3K1 w - -,e2d3
r2q1rk1/5pbp/pp4p1/3bp3/P7/3QB2P/1PPN1PP1/R2R2K1 w - -,c2c4
r5k1/1R3p2/p4n2/P2r4/3p1q2/7P/1P2QPP1/5NK1 w - -,e2c4
1qr1r1k1/1p3pbp/p1npp1p1/2n5/2P1PP2/P3B2P/1PRNNQP1/2R4K w - -,e3c5
8/5pk1/3p2p1/p1q5/P4R1P/6P1/5N2/6K1 b - h3,d6d5
2r2rk1/1b2ppb1/5np1/p3B1N1/3QP2P/q1N2P2/2PRB3/2K3R1 w - -,c1b1
r4rk1/pp1q1p1p/2p5/5p1R/3P4/1B2P3/PPQ2PPP/5K2 b - -,g8h8
3r2k1/1bprq1p1/1p4np/p1p5/P1P1pP2/1PB1P1PP/2Q2R1K/5BR1 w - -,f1e2
8/8/8/4k1p1/8/7P/6PK/8 w - -,h2g3
r1b1r1k1/ppq2pbp/3p1np1/2pPn1B1/2P5/2NB1P2/PP2N1PP/R2Q1RK1 w - -,e2g3
5r2/3R1pkp/2N2bp1/2pP4/5Q2/q5P1/5PKP/8 b - -,a3d3
