8/8/2pk1p2/R4b1p/3r3p/5P2/1N4PK/8 b - -,f5e6
r2q2k1/1p1n1r2/p1b1p2p/P2p1ppn/1P1P4/1QNBP2P/5PPB/R4RK1 b - -,h5f6
1Q3nk1/3q4/2p2p2/1p3N2/4PPpp/2P5/P5PK/8 b - -,h4h3
1b2r1k1/3q1n1p/pPn1r1p1/2R2p2/2Np4/BQ1P1N2/2P1PR1P/5K2 b - -,h7h6
r3kb1r/ppq1pp1p/2n2np1/3pN3/3P1P2/2Pb4/PP2N1PP/R1BQK2R w KQkq -,d1d3
1r4k1/5ppp/4pn2/1p6/3p4/5B2/2P3PP/3R3K b - -,e6e5
2r5/5kpp/1p2pb2/pP1p4/3PpP2/1P2P3/1B4PP/2R3K1 b - -,c8c1
2rr4/pb2qpkp/1p1p2p1/4p3/2PnP3/2N2P2/PP3QPP/3RRBK1 w - -,d1d2
8/1k5p/8/ppp4P/8/P7/1P3RP1/1r4BK b - -,b5b4
r1b1k2r/1p1nbp1p/1qn1p1p1/p2pP3/P2P1P2/5NP1/1P2N2P/R1BQKB1R w KQkq -,e2c3
r1b1r1k1/2q4p/pn1p1Rpb/1pnP4/2p1P3/2P1B1NP/PPB1Q1PN/1R4K1 b - -,h6e3
3q1rk1/1b1n1p2/pp1r2p1/3PR2p/P2P4/1QN2B1P/5PP1/4R1K1 w - -,e5e7
rn1qkb1r/ppp2ppp/4pn2/3p2B1/3P4/3bPN2/PPP2PPP/RN1QK2R w KQkq -,d1d3
r1bq1rk1/pp2bppp/2n1pn2/2pp4/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,d1c2:e4e5
2r3k1/rp2q3/4p1pp/pNPpPp2/P7/6P1/P6P/2R1RBK1 b - -,a7a8
r4rk1/1ppnqppp/p1n1b3/2b1p3/4P3/1P1B1N1P/PBPNQPP1/3R1RK1 b - -,f7f6
8/5pk1/4p2p/4P1p1/P3R1P1/R5P1/1rr2PK1/8 w - -,a3f3
4Q3/1p4k1/6p1/1P1q3p/7P/6P1/5P2/6K1 w - -,b5b6
6k1/5b1p/6p1/pNp1qp2/P7/1P5P/2PQ1PP1/6K1 b - -,e5a1
r3r1k1/p4p1p/bp4p1/2p1B3/4P3/2P3P1/PP3RBP/3R2K1 b - -,e8e5
8/5p1p/4b1p1/k3K3/4B3/4P2P/1R3rP1/2q5 w - -,b2f2
r3kb1r/pp3ppp/n3pn2/1N1p4/1q6/3BBQ1P/PPP2PP1/R4RK1 w kq -,c2c4
rnbqk2r/pp4pp/4pn2/3p4/2pP4/P1P2N2/2P2PPP/R1BQKB1R w KQkq -,f3e5
2k4r/2b5/p1p1r1p1/2B3Pp/1P3p1P/2P2P2/P1KR2R1/8 w - -,g2e2
r2qrbk1/3n1p2/2p1p1pp/p2pP3/1PbPN2P/P5PB/2QB1P2/2R1R1K1 w - a6,b4a5
8/p3k3/Np3bp1/1P1R3p/3PPK1P/r5P1/8/8 b - -,f6g7
r2q1rk1/pbpnppbp/1p1p1np1/8/3PP3/2NBBN1P/PPP2PP1/R2Q1RK1 w - -,d1e2
3Q4/5ppk/1p2pn1p/1Nq5/1p6/PP2P2P/5PP1/6K1 w - -,d8d3
3n4/5pQ1/1p2k3/pB1p3p/3Pb3/P4N1P/1P3PPK/2q5 b - -,e4f3
5rk1/p2b2pp/1p2p1Q1/nP1pP3/P2B3q/6PP/3N1P2/2R1R1K1 b - -,h4d4
8/4p1k1/1q1pPp2/r1pP2p1/6P1/rP6/P1RRQP2/6K1 w - -,e2e4
8/4r2p/1p4p1/p3Pp2/P3q3/2R5/3Q2PP/k4K2 w - -,c3a3
1nrq4/bR1b1k2/r3pn1p/p5p1/2N1PB2/2R3P1/1P2QPBP/6K1 w - -,c4d6
8/p2k4/1p3ppp/1P6/3n2P1/P2PKP2/6P1/8 w - -,e3d4
rn1q1b1r/pp3kpp/2p1pp2/7P/1nPP2P1/N3BP2/PP4B1/R2QK2R b KQ -,c6c5
4Q3/4b1k1/2N1p2p/3p1p1B/8/7P/1q6/5K2 b - -,b2c1
r1bqr1k1/ppp3pp/2nb1p2/P1p1p3/2N1P2N/3PB3/1PP2PPP/R2Q1R1K b - -,d6f8
8/3Q1p1k/4p3/1N1pPp1p/r2N1P1P/Pn2n3/K1P2qP1/8 b - -,b3d4
7k/6p1/2N2n1P/1pPp2p1/1P1P4/5QP1/3q1PK1/8 b - -,g5g4
r2q1rk1/p1n1b1p1/1n1Np2p/2pbP3/1p3BBP/5NP1/PP2QP2/R2R2K1 w - -,b2b3
rn1qkb1r/1p3ppp/p3bn2/3pp3/4P1P1/1NN5/PPP2P1P/R1BQKBR1 w Qkq -,e4d5
4k3/8/3KN3/5bP1/8/8/8/8 w - -,e6g7
7k/1p1q2b1/2p4p/p1P1n1p1/4Q3/8/PP1N2B1/5RK1 w - -,d2c4
3b2k1/6r1/p7/P1R4p/1p1NP1bP/1P1K2B1/8/8 w - -,g3e1
6rk/5R2/p2R3P/6r1/6PK/2P5/5P2/8 w - -,f2f3
r1bqk2r/1p2bppp/p1n1p1n1/2p5/3pPPP1/3P1N2/PPPBN1BP/R2QK2R b KQkq -,e6e5
8/1R4kp/6p1/8/4KP2/1B4r1/P6r/8 b - -,g7f8
3b1nk1/6pp/p7/1p6/5B2/1P4PB/1PP1q3/1K3R2 w - -,f4d6
3qb1kr/p3np2/1pnBp2p/3pP1pP/3P4/P1NB2R1/3Q1PP1/4K3 w - -,a3a4
1n1rr1k1/5p1p/p2P1Pp1/5b2/2pR4/2Q2P2/P3n1BP/5R1K w - -,c3c4
8/8/5k2/2p5/1n2K3/3p3B/7P/8 b - -,f6g5
3k4/5q2/p2p3b/1p1Pp2P/2p1P1Q1/1PP2P2/P4K2/8 b - -,d8c7
8/5K2/8/2p2p2/2k5/3pQ3/8/8 b - -,f5f4
6k1/1b4p1/p1q4p/4pp2/P2r3P/2NPQPP1/1P4K1/4R3 w - -,c3e2
8/8/3k4/8/1R6/1P6/7r/2K5 b - -,d6c5
5rr1/4q1bk/bp2p2p/p2pP2n/1P4p1/3N2P1/P2BPRBP/1Q3RK1 b - -,h7h8
8/5q2/6k1/7p/7P/1p3QP1/7K/8 w - -,f3d3
6k1/8/4p3/4Pr2/R7/2P1n3/6P1/6K1 w - -,a4e4
r1bqnrk1/3np2p/pp1p2p1/2pP4/P3NB2/5N1P/1bPQBPP1/1R3RK1 b - -,b2g7
6k1/1b6/p2bp1p1/1p1pN2p/1P1N3P/P5PK/1q6/3R1R2 w - -,e5g6
5r1k/2R3pp/1q1BB1bn/8/Q1p1P3/8/1P4PP/3R3K b - -,b6d6
r4rk1/pp3pbp/4p1p1/1BpP4/5Pnq/2N1Q2P/PP3P2/R3K2R w KQ -,e3f3
1r3k2/2qnppb1/3p4/1prP2p1/8/1B1Q2B1/RPP2PP1/R5K1 w - -,d3e3
8/1R4pp/4p1k1/3pPp2/3P4/p4PKP/r7/8 w - -,b7b6
r3nrk1/1p2qp1p/p2p2p1/P1nPp3/NRN1P3/4Q3/2P2PPP/R5K1 b - -,c5a4
4q1k1/1p2b2p/4b3/1p1pBp1n/3P2p1/3NP1P1/r4PQP/5RKB w - -,h2h3
2rrb1k1/2q1nppp/pp1pp3/8/2P1P3/P1N3Q1/1P1R1PPP/3R1BK1 b - -,e6e5
1r3rk1/2q2ppp/p1nbpnB1/1p1p4/PP1P3B/2P2NNP/5PP1/R2QR1K1 b - -,h7g6
r3k3/1bpnqpb1/pp1pp1p1/7r/P2PPP1p/2N1B2P/1PPNQ1P1/4RRK1 b q -,e8c8
rnbq1rk1/pp2ppb1/6pp/2p5/3P3B/2P1PN2/P3BPPP/R2QK2R b KQ -,b7b6
8/1R3p2/4pbk1/4R2p/7P/6P1/6K1/2r1B3 b - -,f6e5
8/2R5/k7/2K5/5B2/8/1r6/8 w - -,c7f7
r1bq1rk1/pp2bppp/4p3/2P5/2p1PBn1/PnN2NP1/1P3PBP/1R1Q1RK1 b - -,b3c5
1r6/5p2/4p3/3k3P/3P4/2p1K1P1/5P2/7R w - -,e3d3
1q4k1/1b3ppp/5b2/1Np1r3/NpP1p2P/1P4Q1/2B2P2/3R2K1 b - -,e4e3
2r2k2/1r2pp1p/1pbp1Pp1/1Pn5/2P1P1P1/5B2/7P/2RR2K1 w - -,b5c6
2k5/1p1r2p1/4R2p/2p4P/2Pr1B2/1P2K3/6P1/8 b - -,d4d3
r4rk1/3q1pbp/2bppnp1/pp6/1n1PPP2/1QN1BN1P/PP4P1/1BR2RK1 w - a6,f1d1
2rq1rk1/p2nbppp/bp2pn2/2Pp4/2P1P3/1P3NP1/PBQN1PBP/R4RK1 b - -,d5c4
r2qk2r/pp1bbppp/2n1pn2/8/P1B5/2N1PN2/1P2QPPP/R1B2RK1 b kq -,e8g8
8/3b4/3k3p/p2p1p2/3P3P/2K3P1/P3B3/8 b - -,d6c7
4bk2/rB6/1Rp1p3/2PpP2q/3P1p1p/4P2P/6QK/8 w - -,b7c6
6k1/2B3p1/8/p7/Pb6/3nK2P/6P1/8 b - -,d3c5
r7/3n3p/1p1k2p1/p1rp1p2/5P2/1PR3N1/P3PP1P/2R3K1 w - -,c3c5
8/5k2/4p3/4P3/5P2/5KR1/8/r7 w - -,g3g2
1r3bk1/1bq2pp1/1np4p/1p1pP3/r2P4/4Q2N/4BPPP/1RB2RK1 b - -,b7c8
8/4k3/3p4/3Pp3/4P2r/1p2K3/1P5p/7R b - -,e7f6
8/7R/4p2p/4k1p1/7r/6PP/7K/8 b - -,h4h5
3nqr1k/1p4p1/p1ppB2p/P3p2P/1P2P1P1/2P1QP2/5RNK/8 b - -,d8e6
8/8/6p1/5p1p/1pk2P1P/6P1/4K3/8 b - -,c4b3
8/8/1pk5/2p3R1/8/1KP5/8/7r w - -,g5g6
r1b1r1k1/1p3pbp/6p1/1P4q1/3P4/BQ4P1/5PBP/1R3RK1 b - -,g7d4
8/1pR1p2p/4Pbpk/1P3p1q/3B1P2/7P/r2Q2P1/6K1 w - -,d2a2
4r1k1/6pp/1B3p2/3p4/p1r5/R3P3/4NKPP/8 w - -,e2c3
r1q2r1k/6bp/pp3pp1/n1pnp3/BP6/P2P1NB1/2P3PP/R3QRK1 b - b3,a5b7
rnb1k2r/pp3pp1/4p2p/4P3/8/8/PP1N1PPP/R3KB1R b KQkq -,e8e7
1k3r2/p1r4p/1n1qp3/8/2p4Q/N3P1P1/PP3PBP/2n2R1K b - -,c1d3
1r2nrk1/1pqb1p1p/p1npp1p1/8/1PP1PP2/2Q1N1P1/P1N3BP/2R2RK1 w - -,e3g4
r4rk1/pbq1bppp/1pnppn2/8/P3PP2/1NNBB3/1PP3PP/R2Q1R1K w - -,c3b5
2b2k2/1r2ppqp/3p4/p1pP1P2/2P5/3BQ2P/P4P1K/4R3 b - -,g7f6
r2q1r2/1npb1p1k/1p1p2p1/3Pp2p/1PP1P1nP/2NN2P1/3Q1PB1/2R2RK1 w - -,c1a1
6k1/1b4pp/1pNbp1r1/1P6/3P3P/1B2n3/P2R4/1KB5 b - -,e3d5
8/3b1K2/2n4k/8/8/8/8/8 b - -,h6g5
r2q1rk1/1bp1bpp1/p1np1n1p/P3p3/1pN1P3/1B1P1N2/1PP1QPPP/R1B2RK1 b - -,c6a7
7k/1b2r2p/p1q2pp1/1p1p2b1/3P4/P2QPBP1/1P4KP/3NR3 b - -,c6c1
3rrbk1/1pp2pp1/p1q2n1p/4pP2/2P4N/1Q2B2P/PP3PP1/3RR1K1 w - -,e3c1
r2q1rk1/ppp1b1pp/2n5/3p1p1b/3Pn3/2PB3P/PPQ2PPN/RNB1R1K1 b - -,e7d6
3r3k/1p5P/3p1pb1/p2Pp1q1/2n1P1P1/P1N2P2/KP6/3Q3R w - -,d1b3
3r4/R1R2pk1/p3p3/1p5p/4PKp1/3r2P1/PP6/8 b - -,g7g6
rnb2rk1/2q1ppbp/2p2np1/ppPp4/3P4/2NBPN2/PPQB1PPP/R4RK1 w - -,h2h3
3rnrk1/1p3p1p/2bp2p1/p1q5/2P1P3/2N5/PP1QB1PP/3R1R1K b - -,e8g7
r5k1/1p3ppp/2p1r3/p7/5Q1P/Pq2BBK1/5PP1/6NR b - h3,b3a3
r4rk1/5pp1/1qbp1b1p/p3p3/1p1PP2P/4Q1PB/PP2NP2/1K1RR3 w - -,h3g2
r1b2b1r/1p2kp1p/1p4p1/1B1p4/8/2P1pP1N/PP2K1PP/R6R w - -,h3f4
r2qk1nr/ppp2pp1/2nbp3/3p3p/3P2b1/4PNB1/PPPNBPPP/R2QK2R b KQkq -,h5h4
4r3/2pr4/1p1p1pk1/pP3Npp/P2RP3/1nP2PP1/5KP1/4R3 w - -,d4c4
r4rk1/5pp1/1B2p3/P1R5/2Q3P1/2PR4/2P1KP1b/7q b - -,h1c1
5r2/p3q1k1/1p1rbpp1/2p1p2p/4P2P/1P1PNRP1/P3P2K/2Q2R2 b - -,d6d4
8/5b2/8/1p2p3/4N2P/p7/1k1K4/8 w - -,e4c3
8/5k2/6R1/8/6RK/1r6/5rP1/8 b - -,f2f4
4k2r/2qnn1b1/r3pP1p/pp1p2pP/2pP2N1/P1P2N2/1P1BQPP1/R4RK1 b k -,d7f6
r1bq1rk1/1ppn2bp/3p1np1/pP1Ppp2/2P1P3/B1NB4/P3NPPP/R2QK2R b KQ -,f5e4
r1bq1rk1/pp2bppp/2nppn2/2p5/4P3/1BP2N2/PP1PQPPP/RNB1R1K1 b - -,b7b6
5rk1/p5q1/4p1p1/5bPp/1P1pQP1P/R2N2K1/1P1r4/2R2B2 w - -,e4e1
r4rk1/pp1qbppp/2n5/2p1Pb2/2Pp1B2/1Q1P1N2/P3BPPP/R4RK1 w - -,a1b1
8/8/1K6/8/5Q1p/8/8/7k w - -,f4f3
4r2k/p4b2/1p1R1q1p/4r1pP/6B1/P4P2/1PQ3P1/3R2K1 b - -,f6g7
r5k1/2R3p1/5p1p/1p2p3/1P2n3/4P3/4KPPP/4N3 b - -,a8a2
r5q1/p5p1/3Q2k1/3p2P1/2p1pR2/2P5/P4PP1/4K3 b - -,g6h5
3r1rk1/5pnp/4p1p1/1N1p4/1p2P3/1P6/P4PPP/2R1R1K1 w - -,b5d4
r1n1brk1/1p2qpbp/p5p1/4p1B1/3NN3/1P4P1/P2Q1PBP/2R2RK1 b - -,f7f6
1k6/6p1/7n/5p2/1P3P1p/1R3P1P/8/7K w - -,b3e3
8/8/8/5n2/6pk/2N4p/5K2/8 w - -,c3e4
2rq1r1k/pb5p/1p2p1pb/3n1p2/3P1n2/PBN2PP1/1P1N1B1P/3RRQK1 b - -,d5c3
8/p4n2/1p2bk2/5p2/1R5P/r1P2P2/P3R1PK/8 w - -,g2g4
2r2rk1/1bqpbppp/ppn1p3/6B1/2P1P1n1/P1N2N2/1P3PPP/R2QRBK1 w - -,g5e7
r3k2r/1p1b1p2/pBnppbp1/7p/4PPn1/P2B1N2/1PP3PP/R2NR2K b kq -,a8c8
1r4k1/5pp1/7p/p2n4/8/7P/2qNQPP1/3R1K2 w - -,d1a1
r3kb1r/3ppp1p/n4np1/q1pP4/8/2N1PN2/PP3PPP/R1BQK2R w KQkq -,e1g1
2r2rk1/4bpp1/p3bn1p/q2p2B1/1N1N3Q/2P5/P4PPP/1R2R1K1 w - -,d4c6
1k6/1b5R/4r3/2K5/8/8/8/8 b - -,b8a7
1n3rk1/1p5p/p3p1pb/3pP3/3P4/3B2P1/PPN1K2P/1R6 b - -,b8c6
5rk1/1p3ppp/pB2pnb1/8/R3PP2/1Pb3P1/1P3KBP/8 w - -,b2c3
r2q1rk1/1b2bppp/p3p3/1P1pP3/8/1Q2PB2/3B1PPP/R1R3K1 b - -,a6b5
8/5pkp/p1pb4/1p2r3/P3pK2/2P2p2/1P3P2/R4R2 b - a3,f7f5
3r2k1/R1R5/8/1p1p1p2/1P1P1P2/4n1Pp/8/6K1 b - -,e3g4
2bqrbk1/1p1p1ppp/2p1r3/p2Qn3/2P5/1P2P1N1/PB2BPPP/R4RK1 w - -,d5d4
8/5pkp/3N1np1/3Pp3/4P3/7P/rq3PP1/1R2Q1K1 b - -,b2c2
r1br2k1/ppp2pb1/6pp/2pN2n1/2P1P3/5B1P/PP3PP1/R1B1R1K1 b - -,g5f3
r1bq1rk1/pp3ppp/5n2/3p4/1n1p4/2NBPN2/1P1B1PPP/R2QK2R w KQ -,d3b1
3r3Q/3r1k2/2p1pp2/p5p1/1pPq4/1P3R1R/P4PP1/6K1 w - -,h3h7
3r2k1/b2r1p1p/4q1p1/4p3/1P2P3/3P3P/4Q1P1/2NR1R1K b - -,a7d4
1k1r3r/1p2qp2/4b3/1pP1P1p1/2p3Pp/2Q2P2/PP3NP1/1K1RR3 b - -,e7c5
2r2bk1/2qr1p1p/3p2p1/p3p3/2B4P/1P2P1P1/P2RQP2/3R2K1 w - -,h4h5
r1b1k2r/2p2pb1/pp1p2p1/2q1Pn1p/5P1P/1P3N2/1BPQB1P1/1K1R3R w kq -,f3d4
3r2k1/1p2bppp/p1rp1n2/3Pp3/P1N5/1P3P2/3QB1PP/5K2 b - -,c6c5
r2n1n2/ppq2bpk/2p2p1p/P3pN2/4P3/1N2Q1PP/1PP2P2/R4BK1 w - -,h3h4
8/8/5k2/p1P5/8/7r/PK2R3/8 b - -,h3h5
3r2k1/p3r1pb/npp1pn1p/8/4P3/2N1BPP1/PP4BP/3R2K1 w - -,d1d8
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/2B1P3/2NPBN1P/PPP2PP1/R2Q1RK1 b kq -,e8g8
3r4/3q1pk1/ppp3r1/4PRp1/1P1P1n2/P3BQ1P/6P1/5RK1 w - -,f3e4
8/5p2/2k3p1/B2pPp1p/P1pP1n1P/2P3K1/5PP1/8 b - -,f4d3
r4rk1/2pbnpbp/pp1q2p1/2pPp3/2P1P3/P1N1QNP1/1P3PBP/R2R2K1 w - -,g2f1
rnbqk2r/pp1p1ppp/2p2n2/2b1p3/2B1P3/P1NP4/1PP2PPP/R1BQK1NR b KQkq -,e8g8
r1bq1rk1/1pp2p1p/pn4p1/8/3NP3/1QN4P/PP3PP1/3R1RK1 b - -,d8e7
2r1q1k1/6pp/3p1n2/PN1pbp2/1P2p3/R5PP/4QP2/4R2K b - -,d5d4
3qr1k1/1b1n1pbp/p5P1/1p1P4/1P2p3/2RBB2Q/6PP/5R1K b - -,h7g6
4r1k1/5p1p/6p1/1P1p2rn/3N4/5PqP/3Q2P1/1R1R1K2 w - -,b1b2
1r6/3k3p/3p1bp1/p2b1p2/3P4/P1K2P2/4NBPP/4R3 w - -,e2c1
8/p4N2/8/R7/1P3pk1/P3n3/r7/3K4 w - -,d1c1
rn1qk2r/pbp1bppp/1p2pn2/3p4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w kq -,c2c3:b2b3:e2e4:f1e1
2kr3r/ppqn1pp1/2pbpn1p/7P/3P4/4NN2/PPPBQPP1/1K1R3R w - -,e3c4
2rq1bk1/1b1r1p1p/ppnp2p1/3B2N1/5B1P/3Q2P1/PP2PP2/2RR2K1 w - -,d3f3
2rr2k1/p4ppp/1p2pq2/3n4/3P4/1PPQ1PB1/6PP/2R1R1K1 w - -,d3d2
r4rk1/ppp2ppp/6n1/1N6/8/2R5/PPP2PPP/R5K1 b - -,c7c6
3r2k1/pq2ppbp/6p1/1P6/1P1r1n2/4QN2/6PP/Rb3NBK w - -,a1b1
2k5/p1p2p1p/3p2r1/bp6/6NK/1P4N1/P7/5R2 w - b6,f1f7
4b3/ppp5/8/5k2/8/5NP1/PPP2K2/8 w - -,f3d2
2r3k1/2rn1ppp/bq2p1n1/3pP3/Pp3PP1/1P2bQ2/1B1NN1KP/2RR1B2 w - -,f4f5
r2q1r2/5pkp/3pb1p1/4p2n/1pP1P3/1BbP1Q1P/2N2PP1/1RBR2K1 w - -,c1b2
r3r3/2pk1pp1/5b2/1pPp3p/p2Pb2P/2P1B2R/1P1KNP2/R7 w - -,e2g3
r4rk1/pp1b1ppp/4pn2/q2P4/3P4/1QP3P1/P2N1PBP/R3R1K1 b - -,e6d5
1n3rk1/p1qbbnpp/3p4/3Q4/2B5/2N5/PP3PPP/R1B2RK1 b - -,d7c6
8/pk6/4R3/1P1P4/2K5/8/8/3r4 w - -,c4c5
2rq1rk1/pp2ppb1/3p2p1/3N3p/2n1P1bP/4PN2/PPPQB1P1/1K1R3R w - -,e2c4
8/4R3/pr3n1p/2pP2p1/2B2pP1/1Pk2P2/5K1P/8 w - -,e7c7
3rr1k1/1pq3pp/2ppP3/p1P1n1b1/NP2Pp2/P7/2Q1B1PP/3R1R1K b - -,a5b4
r1b2rk1/pp2pp1p/6p1/q1n1N3/2P5/2P1P3/P2Q1PPP/2R1KB1R b K -,c5e4
5rk1/4Qp1p/2Bp2p1/3Pn3/2q1P3/7P/6P1/5R1K w - -,f1f6
r1b2rk1/pp1n1ppp/4pn2/q2p4/1bPp1B2/2NBP2P/PPQN1PP1/R4RK1 w - -,e3d4
8/p2r4/3R3p/2PKp3/5kP1/8/P7/8 b - -,d7e7
4r1k1/1bpq1ppp/p2p1n2/1pb1rQB1/4P3/P1NB3P/1PP2PP1/4RRK1 w - -,f5d7
2bqrr1k/ppp3np/3p2p1/1P6/P1P5/3nN1P1/3NQPBP/R4R1K b - -,d3c5
2brr1k1/2p1qppp/3p1nn1/pN4B1/2PQP3/P4P2/4B1PP/R2R2K1 b - -,d8d7
2r3k1/3Rpp1p/p5p1/1p4b1/4P3/2NK4/PPP3PP/8 b - -,f7f5
8/1p1Bn3/1kpB4/5Pb1/1PP1P2p/3K4/7P/8 w - -,h2h3
2rr1bk1/pp3ppp/q3b3/3p2N1/nP1Q4/4P1P1/P4PBP/B1RR2K1 b - -,a4b6
r2r2k1/1Rqb1pb1/2n1p2p/p1N5/3P4/P2BQN2/5PPP/3R2K1 b - -,c7d6
r1b2rk1/2q1bppp/pn1ppn2/8/3NPP2/1BN1B3/1PP3PP/R2Q1RK1 b - -,c8b7
8/5pp1/1R1n3k/1nR2P1p/3r2P1/p4P1P/P7/6K1 b - -,f7f6
r4rk1/pppqbppp/2b5/2npP3/5P2/2NB4/PPP3PP/R1B1QR1K w - -,f4f5
r2q1r2/1b2p2k/p4p1b/1ppN1PpN/4P1P1/3P1R1P/PPP3KQ/R7 b - -,b7d5
8/p2q2bk/2R4p/1Q1p4/4r3/4N2P/PPP2PP1/7K b - -,e4e6
3r4/1p2bp2/p1p2pk1/5Rp1/1P1B2P1/2P5/1P3P1P/6K1 w - -,f2f4
r2q1rk1/1b2pp1p/1npp2pb/p2nP3/1p1P1P2/P4NBP/1PPQ2P1/R1N1KB1R b KQ -,c6c5
8/5k2/1r6/4PK2/8/5P1p/8/6R1 w - -,g1h1
1q6/4n1k1/prn1b1pp/2p1p3/2PpP1N1/3P1NPP/P2Q2B1/2R3K1 b - -,e7g8
2b5/8/p1n1p3/4kpp1/P1B4p/1P3P1P/5KP1/1N6 w - -,f2e3
2kn4/ppp4p/2n1p3/3p2q1/3P4/P1PQ4/1PKN2r1/4RR2 b - -,h7h5
r2qrbk1/1bnn3p/4p1p1/pp1pP3/3P1N2/P1N1B1P1/1P1Q1PB1/R3K2R b KQ -,b5b4
r7/1p3pk1/2p2np1/p3p3/2P1P2P/bP2PK1B/P7/3R3N w - -,h1g3
2r1r1k1/pp1bqppp/2pbp1n1/3pP3/2PP4/1P1B1N2/PBQ2PPP/R4RK1 b - -,d6a3
8/5pkp/3P2p1/8/3q4/6Q1/5P1P/5K2 w - -,h2h4
3r1r1k/1p3ppp/p2p1n1q/2p1nP2/P1P1P3/2N1N3/1PP1QR1P/6RK w - -,e3d5
r4rk1/1q2bpp1/2n1pn1p/pp1p4/2pPPB2/P1P2N1P/1PQN1PP1/R4RK1 b - -,b5b4
r6r/pp2k1pp/2ppBq2/4p3/4P1Q1/P7/1PP2PPP/R3K2R b KQ -,f6e6
8/8/1p2kp1p/pP5P/P4pP1/3pbb1K/8/3B4 w - -,d1f3
rn1qkbnr/pp2pppp/2p5/8/3PN1b1/5N2/PPP2PPP/R1BQKB1R w KQkq -,f1c4
3Q4/pr1p2kp/2pBp1p1/5q2/2Pp4/PP6/2P2PPP/6K1 w - -,f2f4
r1bq1rk1/1p2pn1p/p1n2ppb/8/PP1pPP2/NQ1P1N1P/4B1P1/R1B2RK1 b - -,b7b5
8/2Q5/4p3/4k1p1/1p1q3p/1P5P/P5P1/7K b - -,e5e4
r2qr3/pp1n2bk/3p2pp/1P1Q1p1n/4p2N/B1NP2P1/P3PP1P/1R3RK1 b - -,d7b6
r1b1nrk1/1pq3b1/n1pp2pp/3Ppp2/1pP1P2B/P1N2P2/3NB1PP/1R1Q1RK1 w - -,a3b4
4rqk1/2nb3p/1p1p1bp1/p1pP1p1n/P1P5/2N2N1P/1P1BBPP1/4RQK1 w - -,e2d1
rnb1k2r/pppnqp2/4p1pp/3pP3/3P2QP/2N5/PPP2PP1/R3KBNR b KQkq -,a7a6
8/5pk1/8/5PPK/8/R5P1/8/1r6 w - -,a3a7
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PPP3/1PN2NP1/P1QB1PBP/R2R2K1 b - e3,d5e4:c6c5
4r3/p7/2p5/2Pk1pPp/1p1p2bP/1K1P4/P2N4/2R5 b - -,e8e2
1br3k1/p3nppp/Qpr1pn2/3q2B1/1P1P4/P4N1P/5PP1/2RR1NK1 w - -,c1c6
