8/5b2/4p3/3k2Kp/5P2/7B/8/8 w - -,g5f6
r4r1k/p2p4/bp5p/3P1B2/1qnQ4/6P1/P4R1P/R5K1 b - -,h8g8
1q3bk1/p2n1p1p/PpbP2p1/2p5/5P2/2P2P1P/1P1Q2P1/4R1K1 w - -,e1d1
4r1k1/5b2/1RB5/6B1/3P1p2/6P1/3r4/6K1 b - -,d2d1
8/5p2/5k2/P6R/1r6/5PKp/8/8 w - -,g3h3
8/4ppkp/6p1/1ppRp3/8/5P2/PPP3PP/1K6 b - -,f7f6
8/6kp/6p1/8/2Q5/1P2P1P1/P4PPK/3q4 w - -,c4d4
r3k2r/pp1n1pp1/2pbp1p1/5Q2/2PP4/5N2/PP3PPP/R1B1R1K1 b kq -,g6f5
2b2rk1/7p/1pr1p1p1/p1npR3/5P2/2P3PB/PPN4P/2KR4 w - -,c2d4
8/2p2q1k/1rp1r1pp/4p3/1nR1N1QP/1P4P1/P4PK1/3R4 b - -,b4d5
r1bqrbk1/1p3p1p/pn1p1np1/2pP4/P3P3/2N1N1PP/1P3PB1/R1BQR1K1 b - -,a8b8
r2qkb1r/1p1n1ppp/p1n1p1b1/2ppP3/3P2P1/2PB1N1P/PP2NP2/R1BQ1RK1 w kq -,c1e3
r1b2rk1/4bppp/p2ppn2/8/1pN1PPP1/3PB2Q/4qN1P/R3R1K1 b - -,e2c2
1r6/pb1pkprp/1np1pp2/8/P2P4/1BR1P1P1/1P1N1P1P/1R4K1 b - -,g7g5
8/2P3k1/5p2/bp1Np1pP/4P3/1K3P2/8/8 b - -,a5c7
8/5k2/2p1b3/2P1B1pP/3P4/2KB4/8/2n5 w - -,d3g6
3r4/p3q2k/1p4n1/2p1pR2/3p4/2P1Q1P1/PP4BP/7K w - -,e3f2
r4rk1/pp1nppbp/2n3p1/2P5/6b1/1PN1PN2/1B2BPPP/3R1RK1 w - -,f3d4
r4rk1/p1q3bp/2p1bnp1/2Pnpp2/1P6/2NN1P2/P2BB1PP/2RQ1RK1 w - -,d1a4
1rbq1rk1/3n1pb1/2npp1pp/8/4PN2/2P1B1PP/4NPB1/R2Q1RK1 b - -,d7c5
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 b - -,b8d7:b8a6:e7e5
4k1r1/1p1b4/p6b/R1p1B3/8/1P2N2p/2P2PP1/6K1 w - -,g2g3
6k1/pp3pp1/5n1p/8/2Pq4/1P3pP1/P3QNKP/8 w - -,e2f3
4k3/7p/pp1p4/2pP4/P4PP1/8/1P6/6K1 w - -,g1f2
rqn1k2r/3b1pbp/p2p2p1/1p1Pp3/1Q2P1n1/3BBN2/PPN2PPP/R3K2R b KQkq -,g4e3
3r1r2/2R3R1/p7/1b1pBk1p/1p1P3P/1P3P2/P7/6K1 b - -,b5d3
r1bqk2r/ppp1npp1/3p4/3P2p1/2B1R3/8/PP2QPPP/4R1K1 b kq -,c8e6
2r2rk1/1N4pp/8/p2pP1n1/8/1P3pP1/P4P1P/2R1RK2 w - -,b7d6
r3k2r/pp3p2/2pQB2p/3n2p1/6P1/2P5/P1P4P/5R1K b kq -,f7e6
4k3/1p3pp1/p1n1p3/3pP3/1P1P1BP1/n4N1r/P3KP2/1R6 w - -,b1b2
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/2N2NP1/PP1BPPBP/R2Q1RK1 w - c6,e2e3
r1bqkbnr/ppp1pp1p/2np2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,f8g7
8/1R2pk1p/3p2p1/1P2r3/1Pr5/6P1/R4P1P/6K1 w - -,a2b2
3rrbk1/1p1q1p1p/p2p2p1/P1pP4/1nN2B2/4PP1P/1P1R1P2/3Q1K1R b - -,d7f5
6k1/p5pp/2pR2q1/2p5/2P2r2/8/P2Q2PP/6K1 b - -,g6b1
8/2R1kp2/4p1p1/6Pp/P7/r1b1P2P/5PK1/6N1 b - -,e7f8
6k1/1r3pp1/7p/2p1P3/1pB1Rn2/7P/1P3PP1/6K1 b - -,f4e6
8/5Q2/B2N3p/3Ppbk1/6p1/1Pq5/4K3/8 b - -,c3c2
rn2kb1r/pp3pp1/q1p1p3/3pPnBp/3P3P/2N4Q/PPP1NPP1/R3K2R w KQkq -,e1c1
8/r2n2p1/3kb2p/1P3p2/p1pp1P2/P2N1B2/1P1K2PP/2R5 w - -,d3b4
r3kb1r/1pp1pppp/p1nq1n2/7b/3P4/2N2N1P/PPP1BPP1/R1BQ1RK1 w kq -,c3a4
4b3/8/5k2/4p3/4N1K1/5B2/7P/8 b - -,f6g6
r4rk1/1bqnbppp/p1npp3/8/Np2PP2/PN1BBQ2/1PP3PP/4RR1K w - -,f3h3
2rr2k1/1b4p1/p2p1p2/4q2p/1Pp1PP1P/P1N1R1P1/3R4/3Q2K1 b - f3,e5e6
5R2/5p2/P4kp1/7p/4p2P/r5P1/4KP2/8 w - -,f8a8
2rq1rk1/p3bpp1/2n1b2p/1p1pPp2/3P3P/5NP1/PP1BNP2/R2Q1K1R w - -,f1g2
3r2k1/b4p2/p4p2/P1p1pb2/2N5/1P4Pp/4K2R/6B1 w - -,c4b6
1rb2rk1/2p1npb1/3p1q1p/1P1Pp1p1/4Pn2/2N1B3/1PB2PPP/R2QNRK1 b - -,e7g6
r3k1r1/1b1p1pBp/1q2p3/1Bb1N3/pn2nP2/8/PP2Q1PP/R2N1R1K b q -,a8d8
1r3k2/r4p2/1n1b3p/1BpPp1p1/p1P1P3/4R1P1/3B1PKP/R7 b - -,f8g7
3r1rk1/p5pp/3p2b1/2pP1pP1/2N1P3/1pP1R2P/1P6/1K1R4 b - -,f5e4
2k1r3/5ppr/1pp5/p2p4/6Rp/2PRP2P/PP3PP1/2K5 w - -,d3d4
7k/3Q2b1/3p3p/3PqP1P/1p6/1P3P1K/P2p4/8 w - -,d7c8
5rk1/1b3pp1/pp1qpn1p/4N3/Q2P4/P1N3P1/1P3PP1/3R2K1 b - -,f8d8
6k1/2bb1Np1/p5P1/1p3p2/1P1B4/P7/6PP/6K1 w - -,h2h3
r2qk2r/pp1bppbp/2np1np1/8/3NP3/1BN2P2/PPP3PP/R1BQK2R w KQkq -,c1e3
1r2b2k/p3r2p/2p1pqp1/1p1nN3/1P1PR2P/P5P1/3Q1PB1/4R1K1 w - -,e5g4
3R4/pp2kppp/8/1Bb1Pp2/4n3/4P3/1P3PPP/4K2R b K -,e7d8
r4rk1/pppb1ppp/8/3pPP2/2q1n3/6NP/PPP3P1/R1BQ1R1K w - -,c1f4
2r3k1/Bp3ppp/8/P3p3/8/6P1/4PK1P/RNr5 w - -,a7e3
8/2p2r2/1pkpn3/p3p3/2P1PrP1/R3RNKp/1P5P/8 b - -,f7g7
r3kb1r/pp1qpppp/2n2n2/3p4/6b1/1Q1P1NP1/PP2PPBP/RNB2RK1 b kq -,g4f3
r3rq2/1b1n2kp/pp2p1p1/3p4/3P4/1PN2N1P/P2Q1PP1/R3R1K1 w - -,e1e3
3r2k1/p1r2ppp/Qp1b1q2/3P4/1B6/P5P1/3R1P1P/5RK1 w - -,f1d1
r1bq1rk1/pppnbppp/5n2/3p4/3P1B2/2N2N2/PP2PPPP/2RQKB1R w K -,e2e3
3r1r2/1b3pkn/1q1p2p1/p1pPp2p/1pB1P2P/1PP2PN1/P2Q2P1/R4R1K w - -,f3f4
r1b1k2r/ppp2ppp/2n5/3qp3/8/3PnNP1/PP1NP1BP/R1BQK2R w kq -,d1b3
r2r2k1/pp1q1ppp/4p3/4P3/1b1P2Q1/3R1N2/P4PPP/R5K1 w - -,d4d5
rnb2rk1/1pqpppbp/5np1/p1P5/8/P2BPN2/1PP2PPP/RNBQ1RK1 w - a6,e3e4
7r/4kp2/2bppp2/r4P1p/1pB1P2N/pPb3P1/P1P2K1P/3R1R2 b - -,c6e4
2R5/p1p1k1p1/1p1r1p2/3p1n2/3P4/P1P1NP2/1P2NKP1/1b6 b - -,f5e3
4rk2/6pQ/3pq3/1p2p3/5b1p/2P4P/1P3PP1/R4RK1 w - -,a1a7
1r4k1/3q1ppp/nr1Bp3/3pP3/p1pP2P1/P3QP1P/8/2R2RK1 b - -,b6b3
2rn1rk1/p1q3pp/3bp3/3p4/P1pPbP2/2P1N1PB/3Q3P/R1B1R1K1 b - a3,c7f7
5k2/8/4KP2/2p1N3/2P5/8/4r3/8 b - -,e2e4
2r3k1/R5P1/Pp2p3/8/7r/6R1/8/7K w - -,h1g1
r2r1k2/pp3p1p/2p2p2/5N2/7P/1P6/P2n1PP1/2RR2K1 b - -,d8d7
1r4k1/2r1ppb1/bn1p2p1/2pP3p/Qp2PN1P/3PBPP1/2R1B2K/2R5 b - -,b6a4
r1b2rk1/1pq3p1/p1nnp2p/3p4/N2P4/3B1N2/PP3PPP/2RQ1RK1 b - -,d6f5
3r4/pp3pk1/2p2Rpp/4n1N1/1q2P3/4Q2P/PPP1B1P1/6K1 w - -,f6f7
5r2/6p1/8/3kpK2/R6p/P6P/6P1/8 w - -,f5g4
2r1b1k1/1r3pp1/p2R3p/q2NPp2/2pQ4/6P1/PP1R3P/6K1 w - -,d5e3
1rq2r2/1p2ppbk/3p2pp/p1p5/P1PnPP2/2NPQ1K1/1P2N1B1/R4R2 w - -,g2h3
2r3kr/1p4b1/p1Q1b3/4ppB1/4N2P/5P2/PPP4R/R3K3 b Q -,c8c6
r3r1k1/6pp/p1bb4/2N5/1p6/4B3/PPP2PPP/R3R1K1 b - -,e8e3
5rk1/p1r1qp2/1pn1p1pb/3pPnNp/3N1P1P/P1P4Q/1P3BP1/2R1R1K1 b - -,c6d4
4r3/3nq1kp/p2Brnp1/1p3p2/2pR4/2P2P1P/PPB2P2/3Q1RK1 b - -,e7d8
8/7p/3k1ppb/3p1P2/3PpPBP/r5K1/P1RnN3/8 w - -,g3g2
8/8/2k2p2/6p1/2p1Pp1p/2P2P1B/4K3/8 w - -,e2d2
8/5nkp/1N1p2p1/2p2p2/5P2/2P3Pb/2r5/1R2B1K1 b - -,h3g2
8/4k1p1/1pn1pp1p/p3P3/2P1K1PP/PP3N2/8/8 b - -,e7d7
2r5/4k1p1/4P2p/5n2/8/1N6/4KB1P/8 w - -,b3c5
8/1rk2bq1/2pb1p1p/3ppP2/p1pP2PN/P1P5/1P2RQ1P/5N1K w - -,h2h3
8/8/8/3n2k1/2pP1pp1/2P5/3B1PK1/8 b - -,g5h4
r2q1rk1/pppnnppp/3b4/3P2N1/3P1p2/2NQ4/PPP3PP/R1B2RK1 b - -,e7g6
r1b3k1/2p2ppp/p1qp1n2/1pb1r3/4P3/P1NB1Q1P/1PPB1PP1/R4RK1 b - -,c8b7
8/3R3p/4pkp1/5p2/8/bP2PBP1/P4P1P/2r2K2 w - -,d7d1
4rrk1/1bqn2pp/pp6/2pPb3/3nNN2/3P2PB/PP5P/R1BQ1RK1 b - -,d7f6
8/1p3pr1/1k3r2/pP1R3p/P5n1/8/6P1/R6K w - a6,b5a6
6r1/1pk4p/2p3p1/p1Pn3n/2NN1P2/PP6/5K1P/4R3 w - -,d4e6
5k2/5P2/1B1b2Pp/3P3P/2p5/2K5/8/8 b - -,f8e7
rnbq1rk1/pp2nppp/3b4/2p1p3/3pP3/2PP1NP1/PP3PBP/RNBQR1K1 w - -,b1a3
r1b1k2r/p2nppbp/3p1np1/q1pP4/Np2PB2/1PP5/P2NBPPP/R2Q1RK1 b kq -,e8g8
8/1R2qppk/p3p1bp/2r5/2PQ4/5P1P/6P1/3R2K1 b - -,e7g5
1q1r2k1/5pp1/4pn1p/2p5/8/p3P1PB/Nr1RQP1P/2R3K1 w - -,d2d8
r3r1k1/1b1n2q1/5pp1/3pn3/1p1B4/1N1BQ1R1/P1P4P/1K4R1 b - -,d7f8
6k1/p7/1pp4p/3P2p1/8/5Pn1/PP3K2/3RR2q b - -,h1h2
5rk1/Np1r1p1p/1n1pp1p1/8/3nPP2/P2B3P/1PP3PK/1R3R2 w - -,a7b5
r2r2k1/1pb2p1p/p1n1bqp1/8/Q3N3/2P2N2/PP3PPP/3BRRK1 b - -,f6f4
rnbqkbnr/3ppppp/p7/2p5/Pp2P3/2N2N2/1PPP1PPP/R1BQKB1R w KQkq -,c3d5
8/p4n1p/7K/6P1/4k3/4N1P1/5P2/8 w - -,h6h7
2rq2k1/p2pb1pp/1p2p3/3N1r2/3P4/5N1P/PP3PP1/R2QR1K1 b - -,f5d5
rnb2rk1/p1p1bppp/1p2p3/3q4/3P1B2/P4N2/1P2PPPP/2RQKB1R b K -,c7c5
6k1/5pp1/p3P2p/3q4/1P1Bb3/P6P/1Q4PK/8 b - -,f7f6
r1bq1rk1/pppn1pbp/3p2p1/4p3/1PP3n1/2NP1NP1/P3PPBP/1RBQ1RK1 b - b3,f7f5
8/1q4k1/r2pQp2/2p1p1pp/R2bP3/1P3PP1/P1R3KP/8 w - -,c2c4
2k4r/2p2ppp/p7/3r1b2/2p2N2/4bP2/PP3KPP/2R4R w - -,f2e3
r4rk1/3b1pnp/3p1Rp1/2pPq3/ppP1P1P1/1P1B3P/P2Q2K1/5RN1 w - -,d2f2
3r4/5pk1/1Nn3p1/2p5/Pp2P3/1P1BKP2/2P5/8 w - -,d3b5
r2qrbk1/5p1p/p1bp1np1/2n1p3/PPQ1P3/5NN1/2B2PPP/R1B2RK1 b - b3,d6d5
2r1rbk1/pbqn1pp1/1p1p1n1p/4p3/3PP3/P2B1N1P/1P1NQPPB/3RR1K1 w - -,d4e5
r1bq1rk1/p3bppp/1p2pn2/2p5/3P4/2PBBN2/PPQ2PPP/R3K2R w KQ c6,e1c1
4q1k1/p1n3bp/1P1rr1p1/2p1Np2/2P4P/2B3P1/4RP2/2Q1R1K1 b - -,a7b6
1Rr1r1k1/p1Pq1pp1/5b2/3p4/P2P3p/4B1P1/5P1P/2RQ2K1 w - -,b8c8
8/5kp1/p1b1p3/2B1P2p/5P2/1Np3P1/2Pn2r1/2R1K3 b - -,g2h2
6k1/1R3p1p/1p2p3/5p2/8/2r3P1/2P2P1P/6K1 w - -,b7b6
8/7p/5kp1/3p4/3P1P1P/4KPP1/4B3/1b6 w - -,e2d3
rn1r2k1/pb3npp/1p1pp3/4P3/2NP1p1q/B1PB1P2/P1Q3PP/R4RK1 b - -,d6e5
r1b1k2r/1pq2pp1/p1pb4/4pP1p/2P1P1n1/3BB3/PP4PP/RN1Q1R1K w kq -,e3g1
r1b4r/b2pkppp/2n1q3/1p2p3/1P2N3/2P1BB2/5PPP/R2Q1RK1 b - -,a7e3
2R1n3/4kppp/N3p3/p7/P7/1P4P1/3r1P1P/6K1 b - a3,e8d6
r2q2k1/pp4bp/n1ppr1p1/5p1n/2P2B2/2NQ2P1/PP2PPBP/R4RK1 w - -,f4e3
r2q1rk1/1p1n1pp1/p2p1b2/6p1/3BP1P1/7P/PP3PB1/R2QR1K1 w - -,d4f6
8/1b4k1/1p1Bp3/p3P3/6p1/3PqPQ1/1P6/6K1 w - -,g3f2
r7/5rk1/6p1/N3p2p/1p1b4/1P5P/P3RPP1/5RK1 w - -,a5c6
8/P6k/2q5/8/1p1p4/1P4P1/4b1K1/Q7 w - -,g2h2
r4rk1/1q1nbppp/8/8/Rp1Nb3/4PN1P/1P1B2P1/Q4RK1 w - -,a1d1
r2qkb1r/5p1p/p1npb3/1p1Npp2/4P3/N1PB4/PP3PPP/R2QK2R b KQkq -,f8g7:e6d5
r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1B2/2N1P3/PP3PPP/2RQKBNR w Kkq -,f1e2
8/2Q4p/1p3qbk/p1p3p1/2P1Bp2/1P4PP/P4P2/6K1 w - -,e4g6
r1bqkbnr/pp1p1ppp/2n1p3/1Bp5/4P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,b5c6
6k1/pp1q4/2p1rPpp/2np4/3Q4/1BBP1b2/PPP4P/R4RK1 b - -,e6f6
r4rk1/pp1n1bpp/3q4/2p2p2/2PPn3/3N1NP1/P1Q2PBP/R3R1K1 w - -,a1d1
1rb1k1r1/3p1p1p/2n1pp2/qp6/8/P1N1P3/1P1Q1PPP/2KR1B1R w - -,c3e4
r1b1k2r/2qp1pp1/p3p3/1pb4p/3BPPn1/2NB4/PPP3PP/R2Q1R1K w kq -,d4c5
6k1/5pb1/6pp/2rp4/1r6/5N1P/1P1R1PP1/3R2K1 b - -,b4b2
8/8/p7/2p4b/B7/2k5/5K2/8 w - -,f2e3
1rb1r1k1/1p3pb1/p2P2P1/2p4p/P3p1n1/2N1BRN1/1PB1Q1Pq/R4K2 b - -,e4f3
8/pb1rkpp1/1p1rp2p/8/2P2q2/3BR3/PPQ1RP2/1K6 b - -,d6d4
1n2r1k1/p7/1p1qpp1p/8/8/1P6/PB2QPPP/4R1K1 w - -,b2f6
2r2rk1/1p1n1pbp/pqb1p1p1/4P3/1P5P/P1BB1N2/4QPP1/R3R1K1 w - -,c3b2
1q2rbk1/5pp1/5n1p/2pp4/1p6/3Q2NP/1PPB1PP1/R5K1 b - -,b8e5
r2q1rk1/1p2b1pp/5p2/3bp3/p2p4/PnB1PNP1/1P2QPBP/1R1R2K1 w - -,e3d4
r2qk2r/p1pbb2p/2p1n1pB/3pPp2/8/1N1B2Q1/PPP2PPP/R4RK1 w kq -,g3h3
8/8/1ppk3p/1p6/8/PPP3P1/4R2P/3K1r2 w - -,d1c2
r2qr1k1/pp1n1ppp/2pb1n2/3pp2b/2P1P3/1P1P1NPP/PB1N1PB1/R2Q1RK1 b - e3,d5e4
6r1/2r1kp1p/3ppp1b/1pq5/4P3/5BP1/5P1P/1R1Q1RK1 w - -,d1b3
8/5R2/8/6p1/4k2p/r6P/5PK1/8 b - -,a3b3
r1q1r1k1/bb3ppp/5n2/1p1p1N2/1Pn1PB2/2N3PP/4QPB1/R2R2K1 w - -,c3b5
8/p5pk/1pr4p/8/1P1Qp1q1/P3P1P1/5R1P/6K1 w - -,g1g2
r2qkb1r/pb1n1ppp/1p2pn2/2pp4/2PP4/1P2PN2/P3BPPP/RNBQ1RK1 w kq -,c1b2
r5k1/pp2rppp/2pq1p2/2Nn4/1P1P4/1Q2P3/P4PPP/2R2RK1 b - -,f6f5
3r4/6k1/6p1/5p2/8/1B2pRbP/3r2P1/2R3K1 b - -,e3e2
8/p1bN2k1/2p4p/2P5/6p1/4KP2/8/8 w - -,f3g4
5rk1/5p1p/5Qp1/8/q7/2P2P2/PP5P/1KR5 b - -,f8a8
3r4/2n1k1p1/p3pp2/2N4p/1P3P2/P5P1/7P/2R3K1 b - -,c7b5
2r5/3R1rk1/qpn3p1/4pp2/8/2P3P1/1P3Q1P/4R1K1 w - -,e1d1
Q1b2nk1/5qpp/1p1b1p2/8/1p1PrP2/5N1P/PP4PB/2KRR3 b - -,c8b7
r1bqr1k1/1p2bppp/2P3n1/p2p4/P2P4/2NBPN1P/2Q2PP1/R4RK1 b - -,b7c6
r1bq1rk1/pp1nppbp/2p2np1/3p4/2PP4/3BPN2/PP1N1PPP/R1BQ1RK1 w - -,e3e4:h2h3
8/pp1rkpp1/4p2p/2p1P3/2P2P2/1P1RK1P1/P6P/8 w - -,d3d7
3R4/8/p5r1/6k1/2p4p/2K5/P7/8 w - -,d8d1
5k2/5ppQ/2b3np/1p6/p7/P5P1/1q2BP1K/6N1 b - -,b2a3
3r4/r4pkp/p2pbqp1/2p5/1p2P3/1P1Q4/P3NPPP/3RR1K1 w - -,d3e3
r1bqr1k1/ppp1bppp/1nnp4/8/2PP4/2N1BN1P/PP2BPP1/R2QK2R b KQ -,e7f6
6k1/3Q1pp1/6q1/8/2P1r2p/1P4bP/5BP1/3R3K w - -,d7d2
6k1/6p1/5qp1/p2P2Rp/1p2Q2P/8/P2r1PP1/6K1 b - -,f6f2
7k/5qp1/7p/p6n/P5Q1/1P2NP1P/5PK1/8 w - -,g4c8
7r/2p1qpk1/3p2pp/3Pn3/1p3QP1/4P2P/rPP2R2/2KR1B2 b - -,h8b8
8/6pk/5q1p/1p6/p4PQ1/P2r3P/1P3R1K/8 w - -,g4e2
rnbq1rk1/pp1p1pp1/4pn1p/2b5/2P4B/2N2N2/PPQ1PPPP/R3KB1R b KQ -,c5e7:b8c6:b7b6
8/8/7R/2k3p1/6P1/1B3P2/Pr4rK/8 w - -,h2h1
5n1k/5r2/7p/3P1q2/2p1p1RQ/6P1/7P/7K w - -,g4f4
rn1q1rk1/pp3pbp/3pbnp1/2p3N1/2P5/2N1P2P/PP2BPP1/R1BQ1RK1 b - -,b8c6
6k1/1r4p1/p1rb4/P2q1p1p/1p1Pp3/1P2P1P1/R6P/1Q2BRK1 w - h6,f1f2
3r2k1/1q3p2/4p2p/p1Ppn1p1/P5P1/2P3P1/3NQP2/R5K1 b - -,b7c7
8/1p2rbkp/p1n2pp1/8/2p5/2N3PP/PP3PB1/3R2K1 w - -,g2c6
8/2k2p1p/2P3b1/6p1/3r4/1R1P2KP/4B1P1/8 w - -,e2f3
r4qk1/pp6/4ppp1/4P1Np/2PQ4/2p5/P5PP/3b1RK1 w - -,e5f6
8/p7/1p2k1p1/nP2P1P1/P2KP2B/8/6P1/8 b - -,a5b3
8/3bkp1p/8/pp1p1pP1/3P1P2/P2B1P2/3K3P/8 w - -,d3c2
r1b1kb1r/ppq2ppp/2np1n2/2p1p3/4P3/2P2NP1/PP1PQPBP/RNB2RK1 w kq -,h2h3
r2qk1nr/pbpn1pb1/1p1pp2p/6p1/2PP4/2N1PNBP/PPQ1BPP1/R3K2R b KQkq -,g8e7
6r1/5r1k/pp5p/2p2Pn1/2Pp3P/1P6/P4R1B/5R1K b - -,g5e4
4r1k1/3RBb2/5P2/8/p1p5/P7/1PPK4/8 b - -,g8h7
6k1/pp1b1pp1/7p/4n3/4q3/2P1N3/PPQ2PPP/4N1K1 b - -,e4f4
4r1k1/pp3p1p/4r1p1/2q1n3/2Pp3Q/6PP/PP3PB1/R2R2K1 b - -,c5c4
8/6bp/4k1p1/1pp5/2p5/5KP1/1P1R3P/8 b - -,c4c3
4Q3/1p4pk/5R1p/p7/8/2Pr3P/1q3PP1/6K1 w - -,e8e4
b4bk1/5pn1/1p2p3/2ppP2p/3P1P2/2P2NN1/1P1B1K1P/8 w - -,f4f5
r1bqr1k1/1p1n1pbp/p4np1/3pp3/3P4/1PNBPN1P/PB3PP1/R2Q1RK1 w - e6,d4e5
8/2p1k1b1/3p2p1/1r1Pp1Pp/p1p1P3/P1P5/1P2K2P/2B2R2 b - -,b5b8
8/4B1pp/4b3/Pkp1Pp1P/8/4K3/5PP1/8 w - -,e7f8
6k1/5p2/4p1p1/7p/3QB2P/4K1P1/1q3P2/8 b - -,b2a3
1n1k4/6p1/2P1p2p/3BP2P/5PP1/3K4/8/8 b - -,e6d5
r1r3k1/5pp1/p2Bpn1p/n2p4/1q1P2P1/3b1N1P/PP3PB1/R2QR1K1 b - -,b4d6
r1q1r1k1/pp1bpp1p/4n1p1/3NQ3/2P5/1P4P1/P4PBP/3R1RK1 w - -,f1e1
2rr2k1/4bppp/p2p1n2/Np2p3/2b1P3/3B1P2/PPP1N1PP/R4R1K b - -,c4d3
r7/3k4/1pR3Pp/2pPK3/2P5/2P5/p4r2/R7 w - -,g6g7
r1bqk2r/pp1nbp2/2n1p1p1/3pP2p/2pP1P2/2N1BNQ1/PPP3PP/2KR1B1R w kq -,h2h4
2kr1r2/1pp1bpp1/p2qp1b1/n3N1Pp/3PP2P/2PB4/P1Q2P2/1RB1K2R w K -,c2a4
2rr1k2/p1qn1p2/1p4p1/1PpQPn1p/8/P1N2N2/5PPP/R3R1K1 b - -,f8g7
2kr3r/2p1bppp/p3b3/1p2P3/8/1B1n1N2/PP3PPP/R1BR2K1 w - -,c1g5
