1B6/8/2b2b2/7p/4k2N/6K1/8/8 b - -,c6a4
r4rk1/2pq1p1p/1pnpnbp1/p3p3/P1P1P3/2P1B1N1/1PQ2PPP/1R1RN1K1 b - -,c6e7
rn1q1rk1/pbpp2bp/1p2pnp1/5p2/1PPP4/P1N1PN2/2Q1BPPP/R1B1K2R b KQ b3,a7a5
1qrr2k1/pb2bppp/1pn1pn2/3p4/2PP4/PP1BQN2/1B1N1PPP/2RR2K1 w - -,h2h3
2rq2rk/pp3p1p/4pb2/n2p1p2/3P3P/2P2NP1/PP3PN1/R2QK2R w KQ -,g2f4
r3k1nr/pp3pp1/2n1p2p/q2pP2P/3P4/P1b3N1/1P1B1PP1/R2QK2R w KQkq -,d2c3
3r4/1p3k2/p4pQ1/4p3/8/6RP/Pq3PPK/8 b - -,f7e6
4rr1k/ppqn2pp/2nb1p2/2p5/4N1b1/PQ1PBNP1/1P3PBP/R3R1K1 w - -,e4d6
r1bqkb1r/1ppn1ppp/p1p5/4p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq -,b2b3:b1d2
8/8/2kpB3/4p3/2K1P3/8/P7/4b3 w - -,e6d5
8/p6r/3P1bk1/2PQ1p1r/4pPpP/R5P1/1q2B1K1/7R w - -,d5a2
r4rk1/ppqbbpp1/2n1pn1p/8/2BP4/P1NQBN2/1P3PPP/3R1RK1 b - -,a7a6
r3k2r/pp2pp1p/np4p1/1N6/4P3/1P3B2/Rb2KPPP/7R b kq -,b2e5
r1b1r1k1/1pp2pp1/p4q1p/b1p5/3PP3/2N2N1P/PP3PP1/R2QR1K1 w - -,d1a4
6k1/7p/6p1/5p2/2PBK3/r7/pr3PPP/R7 w - f6,e4e5
r4rk1/1pq2pb1/p1pp1npp/4N3/2P4B/2N1P3/PPQ1bPPP/2RR2K1 w - -,c2e2
r3kb2/1p5r/6bp/1p1pPpp1/2pP4/2P5/PP1NB1PP/R4RK1 b q -,b5b4
3r4/7p/2k5/pp2Pp2/1b3P2/1P5P/P3KB2/1N6 b - -,b4c5
3k4/p7/2P1p3/b3Pp1p/3P1N2/5K2/P4P2/8 b - -,d8c7
7k/1p1rp2p/pq3npb/n2p1p2/P2P4/BP1QPPP1/6BP/N2R2K1 w - -,a3c5
8/r7/5p2/4pk2/PR1p3p/2P5/3K2PP/8 b - -,f5e4
4r1k1/p6p/1p2r3/5Q2/2PR4/6P1/PP2q2P/5R1K b - -,e6e4
r1b1k2r/p1p1qppp/1bp5/3p4/4P1n1/1NPB1QP1/PP5P/R1BK3R w kq -,d1c2
1r3rk1/2q2pb1/3p1ppp/n1pP4/1p6/1PN1P3/P2Q1PPP/3RNRK1 w - -,c3a4
3B4/1q4bk/3p2p1/P2b1p2/3P4/4QPP1/1PR2RK1/2r5 b - -,g7h6
6k1/7p/2bP1pp1/8/1B3PP1/3p3P/1b1N3K/8 w - -,h2g3
r1b1r1k1/2p2pbp/p5p1/1p1P4/4NB2/1BP4P/PP3P2/R6K w - -,e4c5
2r3nk/3q3p/p1rpbppb/4p3/Pp1pPP2/1P1P1BPN/1RP2RKP/3Q2N1 b - -,c6c5
1r1q1rk1/Q1p2ppp/3b1n2/8/2Bn4/2N2P2/PP3P1P/R1B2RK1 b - -,d4f3
r1b1kb1r/1pqn1ppp/p2ppn2/8/2PNP3/1P1B4/P3QPPP/RNB2RK1 b kq -,b7b6:f8e7
2r2rk1/4q1bp/p3p1p1/PbnpPp2/1Q1B1P1P/1P2NB2/2P3P1/R4RK1 b - -,b5f1
rnbq1rk1/pp2ppbp/6p1/2p5/3P4/2N1P3/PP2BPPP/R1BQK2R w KQ c6,d4d5
r5k1/1b1nqppp/pp3n2/3p4/3P4/PQNB4/1P1N1PPP/5RK1 b - -,a8e8
8/8/3kp2p/p1p2p1P/PrP2P2/5K2/5P2/3R4 b - -,d6e7
r4rk1/1b1pnq1p/pp1pp2n/5pp1/2PPP3/P1N4P/1PBQ1PPN/R4RK1 b - -,f5f4
2r1br1k/pp4pp/1q1bpn2/3N4/3P4/3B1N2/PPR2PPP/3QR1K1 b - -,f6d5
6rk/ppp1qp1p/1bn2nr1/4p3/4P1PB/1NP2Q2/PPB2PP1/R4RK1 b - -,g6h6
8/2b5/p1k5/P1p2p2/2P2Np1/4P3/5KPr/1R6 b - -,h2h8
4qr1k/6bp/6p1/p1QB1p2/2P2P2/2n3PP/3R4/5RK1 w - -,g1f2
r1b1k2r/pp3ppp/2nN4/2b1p3/6n1/5NP1/PP2PPBP/R1BR2K1 b kq -,c5d6
8/2R5/5k2/2p1p3/p1p5/P1P5/1P1K2r1/8 w - -,d2e3
1r3rk1/1pp1npp1/p2pqn1p/4p3/4P3/2PPRNNP/PPQ2PP1/R5K1 w - -,f3h4
3r1k2/1b4q1/4Q1Bp/p2p4/1p4Pb/8/P6P/2RN3K w - -,d1b2
r4r1k/4p2p/b2q4/2ppNp1n/1p6/1P1P3P/PP2NRPQ/R5K1 b - -,h8g8
r4rk1/1ppqb1pp/1nn1bp2/p3p3/8/PPNP1NP1/1B2PPBP/2RQ1RK1 w - -,f1e1
3r1rk1/1p6/p2Pqpp1/3p2p1/1P1Pp1P1/4Q2P/6B1/R4RK1 w - -,b4b5
8/p1n1k3/6p1/P1N4p/1PrP3P/5BP1/4PPK1/8 w - -,d4d5
4r1k1/5p1p/n7/2pK2B1/p7/P5P1/1P3P1P/3R4 w - -,d5c6
r2q1rk1/ppp3pp/2n1p3/3nbp2/2NP2b1/6P1/PP2PPBP/R1BQ1RK1 w - -,c4e5
2rr2k1/1bqn1ppp/pp1ppb2/8/1PP1PP2/B1N3P1/P3Q1BP/2RR2K1 w - -,c3a4
r1bq1rk1/1pn1ppbp/p2p1np1/2pP4/4P3/2N2N1P/PPP1BPP1/1RBQ1RK1 w - -,a2a4
2n5/2q5/R4k2/1ppBpp1r/6pP/2PP4/1P1Q1P1P/6K1 b - -,f6g7
3r1rk1/1p2bppp/q4n2/p1pP1P2/PnN5/1PN1BQ2/6PP/3R1RK1 b - -,b4c2
8/8/B5p1/5p1p/5K1k/5P2/8/8 b - -,g6g5
7k/7p/p5p1/P1ppb3/1P2rq2/4n1PP/4RB2/4QB1K b - -,f4f3
8/1pq4k/p3Q1p1/2p5/2P5/5PP1/PP4K1/8 w - -,f3f4
r2qk2r/pp1n1pp1/2pbpn1p/3pN3/3P4/2PQPN2/PP3PPP/R1B1K2R w KQkq -,e5d7
8/4bk1p/1p1npn2/p2p1pp1/3P4/3BPPP1/PP1BK1NP/2r5 w - -,d2c1
4k3/7R/4p3/2K1B2P/1p3P2/1P5r/2n5/8 w - -,c5d6
rnbq1rk1/pp3pbp/3p2p1/2pP1p2/5N2/2P1P3/PP1N1PPP/R2QKB1R b KQ -,b8d7
8/4k1p1/1p1p2bp/1Prnp3/4P3/3B2P1/3N3P/4R1K1 w - -,d2c4
7R/8/8/4n3/5k2/r7/3K4/8 w - -,h8h4
r2qknr1/1p2b3/p3p2n/3pP3/3P1Ppp/P2NB3/1P1QB1P1/2R2RK1 w q -,d3c5
8/5p2/2Q2kp1/4q2p/7P/6P1/6K1/8 b - -,f6g7
r4rk1/p1pnqppp/1p2pn2/7b/3P4/PQP1PN1P/4BPP1/R1B2RK1 w - -,a3a4
r1b2rk1/5ppp/p1p1p3/8/2p2P2/2N5/PPPK2PP/R6R w - -,c3a4
2kr4/pp1n1p2/2p1p2q/3pPPbQ/3P4/8/PPP1BB2/1K3R2 w - -,h5f7
1r1qnrk1/pppb1pbp/3p2p1/8/1PPpP1P1/P2B3P/2QPNP2/R1B1K2R b KQ -,d8h4
r1bqk2r/pp1p1ppp/2n1pn2/2p5/2PP4/2bBPN2/PP3PPP/R1BQK2R w KQkq -,b2c3
r3k1nr/1b2bpp1/pqn1p3/1pp4p/3pPP2/3P1NPP/PPP1Q1B1/R1BN1RK1 w kq -,d1f2
2r1k2r/3b1p1p/p2PpbpB/7q/5Q1P/2p2N2/PPB2PP1/2K1R3 w k -,b2b3
6k1/pp4pp/1n2pq2/3p4/3P4/1P2Q3/P4PPP/2N3K1 b - -,b6d7
r2qk1nr/pp1nppbp/3p2p1/2p5/2PP4/2N1Pb1P/PP2BPP1/R1BQK2R w KQkq -,e2f3
1r1qr1k1/pp2bpp1/1n2p1bp/NB1pPn2/3P4/1Q3N1P/PP1B1PP1/2R2RK1 b - -,e8f8
3q1r1k/3r2p1/1p1p1p1p/p2Pp3/2Pn1PB1/1P4Q1/1P4PP/3R1RK1 b - -,d7e7
6k1/p5p1/1p6/n1b2p2/2p2P2/2P1BR1P/r3B2K/8 w - -,e3c5
r1bq1rk1/ppnpppbp/6p1/2p1P3/2Bn4/2NPBN2/PPP2PPP/R2QR1K1 b - -,d7d5
5kr1/1p3p2/p7/q1P5/8/5Q2/6PP/1R5K w - -,c5c6
r2qnrk1/1bpn1pbp/1p1p2p1/p2Pp3/P3P3/2N3PP/1PP2PBN/R1BQR1K1 b - -,f7f5
3r3r/p3k2p/1p1ppp2/n1p5/q3PN2/P1P1QP2/6PP/R2R2K1 b - -,a5c4
r5k1/5ppp/8/1b6/1Pp5/P1R5/7P/2K5 w - -,c1d2
r3rbk1/1pq2ppb/2p1p2p/p1npB3/2P5/PP1P2P1/1Q1NPPBP/2R1R1K1 b - -,c7e7
r4r1k/p2q2p1/1pnQ4/1Np1npp1/8/3P2P1/PPP4P/R1B2RK1 b - -,d7d6
2r1b1k1/1p2qp1p/p3rnp1/P1p1p1B1/2P1P2P/R2B4/1P3PP1/2Q1R1K1 w - -,d3e2
rn1q1rk1/p5pp/1p2p3/2pb1p2/3P4/P3PP2/1P1Q2PP/R1B1K1NR w KQ -,g1h3
rnbqr1k1/ppb2p2/2p2np1/2Pp4/1P1P3p/P1NBPPN1/2Q4P/R1B2RK1 w - -,g3e2
3B4/3n2p1/p1pk1p1p/2pp1P2/2P2PP1/1P2K2P/P7/8 b - -,d7f8
rnbqk1nr/ppp1b1pp/3p4/3PN3/2P1Pp2/2NB4/PP3PPP/R1BQK2R b KQkq -,d6e5
r4r1k/pb1nqpp1/1ppbpn1p/3p4/3P4/1PPBPN1P/PB1NQPP1/2R2R1K b - -,a8c8
6k1/5p1p/5p2/1p1b1P2/3p1BPK/1P1N3P/1P4r1/8 w - -,f4h6
r1b2rk1/1p1n1pp1/p3p2p/q7/3Q4/P3PN2/BP3PPP/2RR2K1 b - -,b7b5
r2qr1k1/pp3pbp/2ppb1p1/2n5/2P1P1n1/1P2N1P1/PBQN1PBP/R4RK1 w - -,e3g4
rnbq1rk1/ppp1bpp1/5n1p/3pN3/3P1B2/2NB4/PPP2PPP/R2QK2R w KQ -,e1g1
5rk1/1pQbq2p/r3p1p1/p2PN3/8/P7/1P3PPP/R3R1K1 b - -,a6d6
r1bqr1k1/ppp2pbp/1n4p1/n2Pp3/4P2N/2N3P1/PP3PBP/R1BQ1RK1 b - -,a5c4
rnbq1rk1/pp2ppbp/3p1np1/2p3B1/3P4/3BPN2/PPPN1PPP/R2QK2R w KQ c6,c2c3
r1b2rk1/1p1p1ppp/p1nQpn2/8/1qN1P3/2N5/PPP2PPP/1R2KB1R b K -,b7b5
1nr2b2/p1r2pkp/6p1/2pnp3/2P5/B3PB1P/P4PP1/1R1R2K1 w - -,f3d5
r4r1k/2p1qp1p/p3p3/8/3PbQ2/8/PPP3PP/R4RK1 w - -,f4e4
r2q1rk1/1bp1bppp/p1n2n2/1p1pp3/4P3/2PP1N2/PPBNQPPP/R1BR2K1 b - -,f8e8
r4rk1/1p2bppp/p1n5/4p3/4b3/1N2B3/PPP1BPPP/3R1R1K w - -,c2c3
8/1p5k/2p4p/p1b1pN2/P1P5/6PP/6K1/8 w - -,g2f3
3r2k1/p4pp1/1qb1p2p/2p5/3rPQ1P/1PNn2P1/2R1BP2/1R4K1 w - -,f4e3
8/1R5p/3k2p1/8/P7/4K3/8/7r w - -,a4a5
6r1/p1r1p2p/1p1pkb2/5p2/P1P2P2/1P2BbP1/R4K1P/2R5 w - -,f2f3
r1b1k1nr/p4p1p/3P1q2/1N1p4/1Pp3p1/3p4/P4PPP/R1BQ1RK1 b kq -,a8b8
8/3n4/8/2pK1P2/1pP2N1p/pP6/P4k2/8 b - -,f2f3
6k1/5p1p/4p1pP/p3P1P1/2pq1P1b/5Q2/P5K1/1B6 b - -,d4c5
8/3r1k1p/1p3P2/p1p1pKP1/P1P1P3/1P1p4/8/4R3 w - -,f5e5
rn2q1k1/pp2b3/3p2pQ/4p1P1/4P3/2N1B3/PPP2P2/2KR4 w - -,c3d5
r2q1rk1/1p3ppp/p1n1bn2/2bp4/P7/1PN1PN2/1B2BPPP/2RQ1RK1 b - -,d8b6
rn1qkb1r/1bp2ppp/p3pn2/1p6/8/1P3NP1/2QPPPBP/RNB2RK1 w kq -,c1b2
3r4/1pp2p2/pb3p1k/4pnrP/1P2P3/2P3N1/1P2KP2/5RR1 w - -,g3f5
r1bqk1nr/pp1p1pbp/4p1p1/2p5/2BnP3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,f3d4
1R3rk1/p4bq1/4Q3/3pN3/2pp4/8/P5PP/6K1 w - -,b8f8
1r4k1/3P1p2/3K1Q1p/1q6/6PP/2p2P2/8/8 b - -,b5b6
6R1/8/8/1pr1K1P1/2k5/5P2/8/8 w - -,e5f4
2r3k1/5p2/1p2p1np/1q1rb1p1/QB1pN3/3P4/2P2PPP/R1R3K1 w - -,c2c4
r7/3B1pk1/1p1p1rp1/1P1Rp2p/n3P2P/Pp2KPP1/1P1R4/8 b - -,a8a7
r1b1k2r/1pq1ppb1/p4np1/2N4p/3Q4/1B2BP2/PPP3PP/2KR3R b kq -,e8g8
7k/pR3B1p/2p3p1/8/1b1rr3/8/PP3KPP/3R4 b - -,d4d1
3rrbk1/pb1p1p2/nq4p1/1p1pP2p/3N1P2/1N4P1/PP2Q1BP/3RR1K1 b - -,f8b4
r4rk1/1b1nqppp/pp2pn2/2p1N3/PbBP1P2/2N1P3/1P2Q1PP/R3BRK1 b - -,c5d4
rnbq1rk1/1p3p1p/p2p1bp1/2pP3n/P3P3/2NBBN1P/1P3PP1/R2QK2R b KQ -,b8d7
4r3/2q3bk/7p/1pn1pp2/1B1NR3/7P/2Q2PP1/R5K1 b - -,f5e4
3r1rk1/1b2bpp1/ppq1pn1p/6B1/P1BP4/2N5/1P3PPP/3RRQK1 w - -,g5h4
r3nr1k/p3N2p/5pp1/q2RP3/7P/Ppp2NQ1/1Pb2PP1/2K4R b - -,c3b2
r4rk1/ppp1qp2/1n2p1pp/4P3/b2P4/2PQ1PN1/P1B3PP/R4RK1 w - -,c2b1
2r2rk1/p3qppp/1pn1p3/2ppP3/3P1P2/2P2NP1/PP1Q1KP1/2R2R2 w - -,d2c2
r2q1rk1/5pbp/p1n1p1p1/1p1bP3/2p2P2/P1P1BN2/1PB1Q1PP/R4RK1 w - -,a1d1
5k2/1q3pp1/4pb2/p2r4/1r1P4/3RB2P/1P1Q1PP1/1R3K2 b - -,a5a4
r3rb2/p2n1p1k/2pqb1pp/2n1p3/4P1P1/1PN1NQ1P/1BP2P2/R3RBK1 w - -,e3c4
1r2k2r/2pnbpp1/pqp1p1b1/3p2Pp/3PPN1P/1PN5/P1PBQP2/2KR3R b k -,e8g8
r3kb1r/pp3ppp/1q2p3/nb1pP3/3P4/4BN2/PP2BPPP/1R1Q1RK1 b kq -,f8e7
B2r2k1/5pbp/p2p4/4pQ2/1Pq5/p5P1/P3KP1P/R6R w - -,f5d3
1rr1q1k1/3b1pp1/2n1p2p/2B5/1p2BP2/P7/1P1Q2PP/R2R2K1 b - -,b4a3
1q3k2/1P4p1/2Nr1p2/1Qp1p3/4P1Pp/2B2P1b/5K1P/8 b - -,d6c6
r1b1k1r1/1ppnqp2/p2p4/3Pp2p/2P1Pnp1/2N1Q2P/PP3PPN/R3RBK1 w q -,h3g4
r1b2rk1/1p1nqpbp/p2p1np1/2pP4/5B2/2N2NP1/PPQ1PPBP/R4RK1 w - -,a2a4
2rqrnk1/p3bpp1/1p3n2/3p3p/2pP1N1P/2N1PP2/PPQ2BP1/2KR3R w - -,g2g4
r3kbnr/1bqp1ppp/p1p1p3/4P3/8/2NB4/PPP1QPPP/R1B1K2R b KQkq -,c6c5
r1b2rk1/pp2bppp/4pn2/qN2N1B1/P1p5/1n4P1/1P2PPBP/R2Q1RK1 w - -,e5c4
5k2/5pb1/BBr3p1/P6p/5n2/1P3P1P/3R2P1/6K1 b - -,g7c3
2R5/p4kp1/3b3p/8/2p2P2/2Pn2PP/PP2K3/8 w - -,c8c4
2r3k1/p2q1p2/1p4p1/8/PbNpP1Pp/3P4/4QPKP/R7 w - -,h2h3
r1b2rk1/2qnppbp/p1pp1np1/1p6/2PPP3/2N1BN1P/PPQ1BPP1/R4RK1 w - -,a1c1
r4rk1/pp2q1bp/2nppnp1/2p5/2P5/P1N1P2P/1P2BPP1/R1BQ1RK1 w - -,a1b1
1rb1r1k1/p1qn1pbp/1p4p1/4p3/2pP4/B1P1P1P1/P1QN1PBP/1R1R2K1 b - -,e5d4
rn2kb1r/pp3ppp/1qp2n2/3P1b2/4p3/1NN3P1/PP1PPPBP/R1BQK2R b KQkq -,c6d5
4r1k1/pb4pp/1p2pb2/3p4/3B1P2/P1P5/1P2BKPP/3R4 b - -,g8f7
r5k1/1q3p2/p3p1p1/Bp2Pn2/2p1NPQb/P2r1R2/1P5P/4R1K1 w - -,f3d3
r2q1k1r/ppb2ppn/5n1p/4pN2/B2p3P/1PPP4/P3QPP1/R1B2RK1 b - -,g7g6
4rb2/1p1k1p2/p1p5/3r1p2/2RP1K1P/P3P1P1/1PR2P2/8 w - -,f4f3
4rr2/1pqn1pk1/p3p1p1/3pP1Qp/7P/2PB2P1/PP3PK1/2R1R3 b - -,b7b5
6k1/pb3p2/1p2p1pp/8/3PPPP1/q2B1K2/P1Q4P/8 b - -,b7a6
3qr1k1/p3pp1p/bp4p1/3nQ3/P7/1P3B1P/3B1PP1/4R1K1 b - -,d5c7
r1b2rk1/1pp3p1/p2pnp2/6p1/4P2N/2P1P2P/PPB3P1/3R1RK1 w - -,h4f5
r1b2rk1/ppq1ppbp/2n2np1/3p4/3P4/2PB1N1P/PPQ2PP1/RNB1R1K1 b - -,f6h5
8/8/8/2p5/k1K5/8/8/8 b - -,a4a3
4r2r/ppp2pk1/6p1/6P1/5P2/1P1B1b2/P1PR4/2K1R3 w - -,e1e8
2r3k1/5pp1/1Rn1pb1p/2Pp4/3P4/1RNK1N2/5PPP/r7 w - -,b3b1
r1b2rk1/1pqnbppp/2pp1n2/p2Pp3/2P1P3/2N1B3/PP1NBPPP/R2Q1RK1 b - -,f8e8
1n1q2k1/4rp1p/p1p3p1/1p2b3/1P2PP2/B2r2P1/2R3BP/2Q2RK1 b - f3,e5d4
4B3/2p5/3p4/1P1b2p1/P2k2K1/8/8/8 w - -,g4g5
rn1qkb1r/ppp2ppp/4pn2/3p4/3P1Bb1/3BPN2/PPP2PPP/RN1QK2R b KQkq -,f8d6
8/3N1pk1/4n1p1/4P3/1B5r/8/5K2/8 w - -,b4e7
r1bq1rk1/1p1n2b1/p1p4p/1PPpppp1/P2P4/2N1PNP1/2Q1BPP1/R4RK1 w - -,b5c6
r3k3/3b4/4p1p1/7p/1B2P2P/P4P2/5KP1/3R4 w - -,f2e3
2q2k2/1b3ppp/2r5/1NR5/Q2Pp3/4P1P1/P4P1P/6K1 w - -,a4b4
r2q1rk1/ppbn1ppp/2p2n2/3p4/1P1P4/P1NBPQ1P/3B1PP1/R3K2R w KQ -,g2g4
2kr3r/ppq2ppp/1npb4/3n3b/2NP4/3BBN1P/PP3PP1/2RQR1K1 w - -,e3d2
8/8/5k2/7R/5K1p/r7/8/8 b - -,a3a4
6k1/8/p1R3K1/P1Pp3p/3P3P/3r4/8/8 b - -,g8f8
r4rk1/1bqnbp1p/p2pp1p1/6Pn/NpP1PP2/1P2N3/PB2Q1BP/3R1RK1 b - -,e6e5
rnbqk2r/ppp1ppbp/3p1np1/8/2P1P3/1P3N2/PB1P1PPP/RN1QKB1R b KQkq c3,c7c5:e8g8
r1b1r1k1/1pqnbpp1/2pp1n1p/p7/P1BBP2N/2N4P/1PP1QPP1/3R1RK1 b - -,d7c5
2rq1rn1/1b1p2kp/p3p1p1/1pb2p2/3pPP2/1B1P2N1/PPPBQ1PP/R4R1K w - -,e4f5
5r1k/p1r1q1p1/4p2p/2p2p2/2P1nP2/1P1R2P1/P5QP/2BR2K1 b - -,f8b8
r4r1k/1b2qp1p/p4p2/1p2pP2/1b2P2Q/1NN2R2/P5PP/2R4K b - -,f8g8
8/6p1/1kp4p/8/1P3P2/r5PP/1R4K1/8 w - -,g3g4
1r5k/p5b1/1p1q2p1/1Pp1p1P1/P1P1B2p/1n1PB3/4Q2P/5RK1 w - -,e2g4
2kr3r/p4p2/1qp2P1B/7p/3Pp1b1/8/PPQ3BP/R4R1K b - -,h8h6
r4rk1/pp1nqppp/2pbpn2/3p3b/2PP4/1P1BPN1P/PB1N1PP1/R2QR1K1 b - -,d6a3
2b5/1p2ppkp/1q1p2p1/p2P4/4P3/1P4PP/P4PB1/3Q2K1 w - -,d1c2
r4rk1/pq1b1p1p/2pP2pn/2Q1R3/5P2/2N5/PPP3PP/2K2B1R w - -,f1c4
1r2k3/1p1Rbppp/1p2p3/r7/3R4/1PN3P1/1P3P1P/6K1 w - -,g1g2
8/8/4k1p1/7p/3K2PP/1p3P2/1Nb5/8 b - -,e6d6
8/B7/6k1/5R2/6P1/4n3/5pr1/7K w - -,a7e3
r2qk2r/pp1n1ppp/2pbpn2/3p1b2/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 b kq -,e8g8
r1bq1rk1/ppp1npbp/3p2pB/4p3/3nP3/2NP2P1/PPPQ1PBP/R3K1NR w KQ -,h6g7
r4r1k/1p1nb1pp/p1q5/P3p3/5p2/1QP1BN1P/1P3PP1/R4RK1 w - -,e3b6
r4rk1/1pqn1pb1/p2p1npp/2p1p1B1/4P3/N1PP1QPP/PP3PB1/2R1R1K1 w - -,g5e3
6k1/4Bpbp/6p1/3p4/8/4PN2/r1b2PPP/3R2K1 w - -,d1c1
3qkb2/1b3pp1/p2pp2r/1p5P/2rBPP2/P1N5/1PPQ4/2KR3R w - -,d2e2
