8/8/4p3/1k1p2Bp/3P3P/3K4/8/6b1 w - -,g5f6
8/5pbp/1npk2p1/1p6/3Pr3/PpP1P1P1/2K1RP1P/4R3 w - -,c2b3
rnq2k1r/pp1n1pb1/3P2pp/2p5/4NP2/8/PP4PP/R1BQKB1R b KQ -,f8g8
2q1rk1r/pp2bp1p/5p2/2pR4/2P5/2N5/PP2QPPP/4R1K1 w - -,d5d3
8/2R2b2/3r1k1p/5B2/5KPP/8/8/8 b - -,d6d4
8/6pk/3Qn3/4p2P/2P1P2q/P4P2/6B1/6K1 b - -,h4e1
2k4r/1p1rbppp/p1n1p3/P2pP3/bB1P2P1/P2B1N2/3K1P1P/RR6 w - -,b1b2
r1b1k2r/1pp1qppp/p1np1P2/8/P1B1P3/2P1bN2/1P3PPP/RN1Q1RK1 b kq -,e3f2
rnbqkb1r/pp3ppp/5n2/3p2B1/3Q4/2N2N2/PP2PPPP/R3KB1R b KQkq -,f8e7
8/5k2/8/5p1R/5Prp/5K2/8/8 b - -,f7e6
2rq1rk1/3nppbp/p1np2p1/1pp5/4PP2/2PPN1PP/PP4B1/R1BQR1K1 b - f3,e7e6
5b2/5kpp/5p2/1p1N4/3B4/1P2R1P1/5P2/2q2BK1 w - -,d5c3
8/1p6/p3k3/P3n1p1/2PB3p/2Pb3P/5K2/5B2 w - -,f1g2
r2q1rk1/p1p1bppp/2pp1n2/8/2P5/1P2P3/PB3PPP/RN1Q1RK1 b - c3,f6e4
8/b4p2/4k1p1/pp2p2p/4PPnP/1PN3P1/P5K1/3N4 b - -,b5b4
r1b1k2r/pp2ppbp/2n2np1/2qp4/5B2/2P1PN2/PPQN1PPP/R3KB1R w KQkq -,f1d3
r2qr1k1/2p1bppp/p1n2n2/1p1bp1B1/8/1BPP1N2/PP2QPPP/RN3RK1 w - -,f3e5
k2r1r2/pp6/5p1P/3p3P/1q1P1Q2/1Pp5/P1B5/K4R1R b - -,d8d6
r1q4r/pp3kpp/2p5/2b1Pb2/PnQ5/2N4P/1P4P1/R1B2R1K b - -,f7e8
6k1/p4p2/2pb1p1p/8/1rP1N3/8/P4PPP/4R1K1 b - -,d6e5
r2qkb1r/1p1bpp2/p1np1p1p/8/3NP3/2N5/PPPQ1PPP/2KR1B1R w kq -,f2f4
r1q1kb1r/1p2p2p/p1p1bpp1/2P4n/3pP2N/1QN3B1/PP3PPP/R3KB1R w KQkq -,f1c4
r2q1rk1/pB1b3p/3pp3/2p1b3/2P2PPp/2NPP3/PP1B4/1R1QK3 b - f3,a8b8
3r4/4r1k1/p2b2pp/1p3P2/2pq4/P4Q1P/5RP1/5RK1 b - -,e7f7
8/4ppkp/P2p2p1/r1bP4/2B5/6P1/3R1PKP/8 b - -,a5a4
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/P1N5/1P1NPPPP/R2QKB1R b KQkq -,b4c3
r2q1rk1/p3bppp/2p1p1n1/2PpPb2/1P1N4/7P/PBPN1PP1/R2Q1RK1 b - -,d8c7
4rrk1/1b2n3/p2p4/1P3pq1/1PnP4/2N5/2B2PP1/R2QR1K1 w - -,f2f3
r1bq1rk1/p2nbppp/2p2n2/1p2p3/4P3/1BN1B2P/PPPN1PP1/R2QK2R b KQ -,a7a5
2r2rk1/p3ppbp/2q1n1p1/2PR4/8/4BB2/P1Q2PPP/4R1K1 b - -,c6c7
r2qkbnr/pp1b1ppp/2n1p3/8/Q2NP3/5N2/PP1P1PPP/R1B1KB1R b KQkq -,c6b4
8/p1r2pk1/4n1p1/1P1R3p/2P5/2NK2PP/8/6b1 w - h6,c3e2
r1b2rk1/p2q2bp/1p1p2p1/3Ppn2/4B1P1/1Q1NB2P/PP3P1K/R4R2 w - -,e3d2
5k2/8/8/5K2/6N1/8/4R3/6r1 b - -,g1f1
r2q1rk1/pp2ppbp/3p1np1/5PB1/4P3/1N6/PQP1N1PP/R4R1K b - -,f6e4
2q2rk1/2r1ppb1/p2p2p1/1p1P3n/3B2p1/1PN2P2/P1PQ4/1K1R3R w - -,d4g7
7r/p5k1/1p2qp2/2p3pb/3pPp1r/1P1P3P/P1P2NQ1/5KRR b - -,b6b5
7R/8/3KP3/2P3k1/3P4/5r1p/8/8 b - -,f3f4
1r1r2k1/2p3pp/p7/2q1pQ2/P7/3P1PP1/6NP/5R1K b - -,c5d5
7k/p5b1/2p5/2P1p3/1PN1Pp1p/P4Q2/qB3P2/5K2 b - -,a2c4
1r3bk1/1r3q1p/RP4p1/4p3/3pp3/6P1/3BPP1P/1QR3K1 b - -,f7d5
1r1q1rk1/2p1bpp1/p1npbn1p/P3p3/1pNPP3/1BP2N2/1P3PPP/R1BQ1RK1 b - -,e5d4
r2r2kb/pbp1pp1p/1pn3pB/4Pq2/4NQ2/1P3N1P/1PP2PP1/3RR1K1 w - -,f4f5
2r2bk1/pp1q1bpp/5p2/3p4/3P4/1B3Q1P/PP1B1PP1/4R1K1 w - -,e1e3
2b1rr1k/1p4pp/pqn1pn2/2Rp4/3P4/P2BBN1P/1P3PP1/3QR1K1 b - -,b6b2
4r3/3k2P1/1p2R2p/2pPK3/2P5/2P5/p4r2/R7 b - -,e8g8
r7/p4k1p/2p2Pr1/3p4/2p1pR2/4K1P1/PPP4P/4R3 w - -,e1f1
2rr2k1/pp3pp1/7p/3p1b2/3P4/8/PP2BPPP/R1R3K1 w - -,g1f1
8/3k4/7R/8/2N5/8/4K3/r7 b - -,d7e7
1q4k1/5r1p/3pp1p1/1bp5/3b4/1P1N2P1/P2QPP1P/2R2RK1 w - -,b3b4
5bk1/1p4r1/3p1q2/3Pppn1/7p/1R1B1P2/5BP1/2Q4K b - -,h4h3
R7/5k2/8/5p2/1r5p/8/5PK1/8 w - -,a8h8
2kr3r/pppnb1pp/2n2p2/4p3/1P2P3/2P2NP1/P4P1P/R1B1RBK1 w - -,c1e3
2r2rk1/pp1R1pp1/4p1b1/4P1qp/6P1/6QP/Pb3PB1/4RNK1 w - -,f2f4
2k5/R6p/3p2p1/p2P1p2/2P4r/P2K4/7P/8 b - -,h4h2
r4rk1/pp4b1/4pnB1/3p4/5q2/4R3/P3Q1PP/3R2K1 w - -,e3e6
1r4k1/1r2bp1p/1p1pnqp1/pP2p3/4P3/1P2BPP1/P2R1QKP/3R1B2 b - -,f6g7
8/3r2pk/p7/P5R1/8/4B3/5PK1/3b4 b - -,d1b3
2r1r1k1/6p1/3qp2p/1pp2p1Q/8/1P1PR1P1/1Bn2P1P/3N2K1 w - -,b2e5
8/5p2/5k2/8/5N1P/5PK1/r5P1/1R3b2 b - -,f1c4
R7/8/5p2/8/5PPK/1k6/p2r4/8 w - -,h4h5
r3k2r/ppp1np2/2n1q1pb/3p3p/3P3P/P2BPP2/1PQBNP2/R3K2R b KQkq -,e8g8
8/4k3/1p6/8/p3K2P/1r4P1/3R1P2/8 b - -,a4a3
2r1k2r/p1q2ppp/bp2p3/2npP3/8/2Q1BN2/PPP2PPP/R3R1K1 w k -,c3a3
rn1qk1nr/pbpp1ppp/1p2p3/8/1b1PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,f1d3
r3k2r/1p1bqpp1/1bpp1n1p/p4P2/P1BpPB2/1N1P4/1PP3PP/R2Q1RK1 b kq -,e8g8
r5k1/2r4p/3p2p1/3P4/4PpP1/1P3P2/P2NK3/5Q1b w - -,a2a4
r3r1k1/1p2qpbp/2bB2p1/p1n4n/2P1P3/2N3PP/PPQ2PB1/3RR1K1 b - -,e7e6
1r3r1k/1p5p/p2p1bp1/2qQp3/P1PpBPP1/1P3R2/4P2P/5RK1 b - -,c5d5
r4rk1/p4n1p/2pP2pb/4p1q1/4P3/1PN2P1b/P3NQB1/3R1RK1 b - -,a8d8
1r6/5p2/6k1/P7/4K1p1/8/7p/4R3 b - -,b8e8
3rk3/6pp/8/2p2R2/1pB1p3/1Pb5/2P1KPPP/8 w - -,e2e3
3n4/5p2/1R1B1Pkp/3K2p1/P7/7P/r7/8 w - -,b6a6
r1b1k2r/pp3pb1/2pp1np1/q3p1Bp/2PnP2P/2NP1PP1/PP1QN1B1/R3K2R b KQkq -,d4b3
8/8/8/5k2/8/4r1P1/1R4K1/8 w - -,b2b5
2n3k1/pp1bbp2/2p3p1/2B4p/4P2P/1P1N2P1/P4PK1/5B2 b - -,g8f8
7K/4Q3/8/6p1/8/3q4/2p2k2/8 w - -,e7g5
r1b2rk1/1pq1npbp/p5p1/n1p1p3/P3P3/N1PPBNP1/5PBP/1R1Q1RK1 b - -,f8d8
3q1rk1/rb1nbppp/p2pp3/1pp5/2P5/PPB1PNP1/2QP1PBP/2R1R1K1 w - -,a3a4
1r6/8/6p1/4kp2/P3p3/1pP4P/5K2/1R6 b - -,e5d5
r4rk1/1p3ppp/p1nqpn2/3p4/3P4/2NQPN2/PP3PPP/2R2RK1 w - -,a2a3
2kr2r1/1p4qp/p1nbpp2/3p1p2/3PnN2/2P1BN1P/PP3PP1/R1Q1R1K1 w - -,f3h4
1r6/1r1bbk1p/2p1ppp1/3q4/p2PN3/2Q2PBP/PPR3P1/R5K1 b - -,b8d8
rnb3nq/ppp2k2/6p1/4Pp1r/2P2Q2/1N4P1/PP2P1B1/RN3RK1 w - -,b3c5
8/3n4/4k1pp/3Np3/1P2K1P1/7P/8/8 w - -,d5e3
3k4/1p3p1p/p1p3p1/P1n5/4P3/1PK1NP2/6PP/8 b - -,d8e7
8/p6p/1r6/3nkp2/8/P3PPK1/1P2R2P/8 b - -,b6b3
5rk1/1p5p/p2p2p1/2pN4/2P1P3/1P4P1/P2r4/4R2K b - -,d2a2
6k1/pp3r1p/2nQ2p1/1N3p2/8/1PP5/KP1R1P1P/4q3 b - -,g8g7
4b3/8/2p1k2p/2P5/2N5/4KP2/8/8 w - -,e3d4
r1r2bk1/1q3b1p/1n4p1/3p1pP1/pp1P1B1P/3Q1N2/PP3P2/2R1RBK1 w - -,d3b5
1R4k1/7p/5pp1/3Pp3/p3P3/4BP2/1Pn1qPKP/R7 b - -,g8f7
rn1q1rk1/pp2bppp/4pn2/3p4/8/1QNP2P1/PP2PPBP/R1B2RK1 b - -,d8b6
8/2q3p1/5pkp/2PQR3/1P6/4P2P/r5P1/4rRK1 w - -,f1e1
6k1/p1p3b1/bp1p3p/8/2PP4/2P3KP/PN1B4/8 b - -,g8f7
6K1/8/8/kp6/3Q4/8/2q5/8 w - -,d4a1
8/2nr2k1/p4pp1/1pB4p/1P5P/5qP1/5P1K/2Q1R3 b - -,c7d5
r2q1rk1/pp1n1pp1/2pbpnp1/3pN3/2PP4/1P2P2P/PBQN1PP1/R4RK1 b - -,a8c8
4r3/1pr1p1k1/p2p2pp/2qPnp2/4R3/1BP3RP/PP1Q1PPK/8 w - f6,e4h4
Qr1k3r/2pnp3/7p/2p1p1p1/4Nq2/3P2R1/4PP1P/3RK3 w - -,a8d5
r3kb1r/1p1bpppp/1pp2n2/7q/8/6P1/PPQPPPBP/R1B1NRK1 w kq -,d2d4
3r2k1/1p1r1p1p/2p2bp1/2Pn1q2/2QPN3/4BP2/PR3PKP/3R4 w - -,e4d6
2r3k1/4bppp/p2pq3/6P1/1r2PB2/8/1PPRQ2P/2K1R3 w - -,e2d3
3rrnk1/ppqb1p2/4pN1p/2p5/5b1P/2P1Q1N1/PPB2PP1/R3R1K1 b - -,g8h8
1r2R3/2q2Brk/3b1Qpp/p1p5/P1P5/6P1/7P/5R1K w - -,f7g6
r4rk1/pp1bppbp/3p1np1/q7/1nP1P3/2N1B3/PPN1BPPP/1R1Q1RK1 w - -,c2a3
R7/8/2r5/4BK1k/8/8/8/8 w - -,e5d4
1r4k1/p2r1pp1/3qb2p/2R5/3N4/2QpP3/1P3PPP/3R2K1 w - -,b2b4
r4rk1/1b2qppp/p3p3/1p1pP3/3NnPP1/1P1B3R/1PP4P/2KRQ3 b - -,f7f5
2rq1rk1/pb2b1p1/2n1p2p/5p2/2Pp4/1Q3N2/PP1N1PPP/1BR2RK1 b - -,c8b8
2r5/p2k2pp/1p1prp2/8/1PPK4/P3R1P1/2R2P1P/8 b - -,e6e3
3rr1k1/4qp2/4p1pQ/1PP1R3/3p4/8/5PP1/4R1K1 b - -,d4d3
1q3r1k/4n1bp/6p1/3Q4/2P2P2/7P/3RNBK1/8 w - -,d5e4
1r1qkb1r/pp2nppp/2n1p3/2p5/2P1b3/1Q1P1N1P/PP3PP1/RNB1R1K1 w k -,d3e4
6k1/1b6/p3p3/1p2Pr1p/2pP2p1/6P1/PPN3P1/4R1K1 w - -,e1f1
8/8/5kpp/5p2/7P/3Pn1PN/8/6K1 b - -,g6g5
8/1Pb2pk1/4p1p1/4P2p/5P2/3B2K1/8/8 b - -,g7h6
6k1/6pp/1K6/P4p2/1R2p3/8/r4P1P/8 b - -,a2f2
5r2/6pk/7p/5q2/P4N2/3Q2RP/7K/8 w - -,f4e6
r1b2r1k/1p4q1/2p2b2/5B1p/p1Pp2P1/P4N1P/2Q2P2/1R3RK1 w - -,f5c8
8/3k1n2/1P3P2/2K5/7p/5N2/6p1/8 w - -,f3g1
rn1q1rk1/pb2ppbp/1p1p1np1/8/P2P1P2/2P2N2/1P1NB1PP/R1BQ1RK1 b - -,e7e6
8/1p2PR1p/p7/8/P3r1K1/1P3p1P/5k2/8 w - -,g4f5
1r1r2k1/R4ppp/3b1n2/4N3/1p3B2/6P1/1P2PPKP/4R3 b - -,g7g5
1rbq1rk1/6bp/p1p5/3p1pp1/3P4/1NN3P1/PP1Q1PP1/R3R1K1 b - -,f5f4
rnb2rk1/1p2ppbp/p4np1/qN1N4/2P5/6P1/P2BPPBP/R2QK2R b KQ -,a5d8
r5k1/4bppp/p1R1q3/1p1pN3/3PnB2/PQ4P1/1P3P1P/6K1 b - -,e4d6
rnbq1rk1/ppp2ppp/3b1n2/3p4/3P4/P1NB4/1PP1NPPP/R1BQK2R w KQ -,e1g1
r4r1k/p3q1bp/1p2p1p1/4p1N1/2PB4/1P1Q4/P4PPP/R3R1K1 b - -,e7g5
r5k1/5pbp/1qn1pnp1/1p1p2P1/1P3P2/r1NPPQ2/3BN2P/1RR4K b - -,f6d7
3n4/4k3/1p2B2p/p4KpP/2P2bP1/8/P3R3/8 w - -,e6d5
1rb4r/1p6/5k2/1P2Rp2/2Pp1Pqp/3P1Q2/6BK/5R2 w - -,g2h3
r4rk1/p5pp/1q2p3/1p2Q1b1/2p5/2P4P/PP1N1PP1/3R1RK1 b - -,g5d2
r1b2rk1/1p2qpbp/2pp2p1/p1n1n3/2P1PP2/1PN1B1PP/P2QN1B1/1R3RK1 b - -,e5d3
3r1rk1/pbp2ppp/1p1q4/n3n2Q/P1p1PR2/3PB2P/BPPN2P1/R5K1 w - -,f4h4
2rqk2r/5ppp/p3p3/3n4/1pnbNPPP/8/PPP2B2/1KQR3R w k -,f2d4
r2qkbnr/p2b1ppp/2n1p3/1p1pP3/3P4/p1PB1N2/5PPP/RNBQK2R w KQkq b6,e1g1
6k1/1p5p/2pp2p1/p4b2/2q1PQP1/8/1P5P/2K2R2 w - -,c1d2
6k1/5p2/3R1P2/2PN2bp/6r1/p2K4/8/8 w - -,d6a6
8/5pk1/8/4K1P1/5P2/6r1/8/4R3 b - -,g7g6
r2qk2r/pb1nbppp/1p3n2/2pp2B1/3P4/2NBPN2/PP3PPP/2RQ1RK1 b kq -,e8g8
3r2k1/p1p3p1/2p3q1/3n1p2/3PrP1p/3Qp1P1/PP2P2P/2R1BRK1 w - f6,g1h1
6k1/5p1p/2n1qbp1/p1Bp1p2/P2PrP2/1P4P1/3R3P/3Q1R1K w - -,h2h4
4r2r/p7/1p6/3kp1p1/PP1p1pP1/3P1P2/2P2KB1/4R3 w - -,e1b1
1r1q1rk1/5pbp/6p1/2p5/1p1nNPn1/3P2P1/1PP2QBP/R1B2RK1 w - -,f2d2
2b3k1/2p1rp1p/3r2p1/1p1P2q1/P1B1p3/1PQ3P1/K2R1P1P/3R4 w - -,c4b5
