8/8/r5k1/8/1R4PP/6K1/8/8 w - -,b4d4
r1bqkb1r/pp3ppp/2n1p3/2npP3/5B2/2N2N2/PPP1BPPP/R2QK2R b KQkq -,f8e7
5b2/3r2kp/1BbP1pp1/p7/2R2P2/4r3/P5PP/3R1BK1 b - -,c6b5
r4b1r/1pkBp2q/1np5/p2PP1Bp/2p4Q/2N5/PP3RPP/3R2K1 b - -,c7d7
r1bqk2r/4npbp/pp2p1p1/2pp4/P1BNPP2/3P4/1PP1N1PP/R1BQ1RK1 b kq -,d5c4
1br1r1nk/5qpp/2p5/p1B1pp1P/N1Pp4/1P1P2PQ/P3RPK1/4R3 w - -,f2f3
4r1k1/pp6/6pp/2p5/4P1nP/1Pb1p1P1/P1P1R1BN/6K1 b - -,g4h2
r4rk1/1pqnppbp/p2p2p1/3P4/P1p1PP2/2P2Q1P/1PB3P1/R1B2RK1 b - -,d7c5
2q2r2/1r2P2k/5Ppp/2n5/Pp6/6Q1/1P4PP/4R2K w - -,g3d6
6k1/3R1N2/8/pr4p1/5bP1/8/2P4P/7K w - -,d7a7
rr4k1/2nnppbp/1q1p2p1/1NpP4/P3P3/5NP1/1PQB1PKP/R6R w - -,b5c7
r4r2/2pq1pkp/1p1p2p1/pPnP4/P2QPp2/8/1PB3PP/R4RK1 b - -,f7f6
r4rk1/4q2p/p2p2p1/2P1p1b1/b2pP1N1/3P2QP/P3N1P1/R4R1K b - -,f8f1
5rk1/1p5p/3p2p1/2qPp3/P5PP/8/3Q1R2/6K1 b - h3,f8f4
8/8/8/3K4/8/2k5/Bpn5/8 w - -,a2b1
r1br2k1/pp5p/2nq1np1/8/2Pp4/3B4/PP3PP1/R1BQK1NR b KQ -,c6e5
r1b2rn1/1p4k1/p2qp1p1/2Np1p1p/3P1P2/4PBP1/PP1Q2P1/R3K2R w KQ -,c5d3
r3r3/pbqnnpkp/2p3p1/1p2p3/4P2N/P4Q1P/1PP1NPP1/R3RBK1 w - -,e2g3
4r2k/p1R1B1bp/1p6/5p2/1P2p3/3n3P/P4PB1/5K2 b - b3,g7e5
r3r1k1/p1pq1p2/P2p1bpp/1p1Pp3/2Q5/2PP1N2/1P3PPP/R3R1K1 w - -,c4b3
3r2k1/p1r1qpp1/B3n2p/2P5/3p4/Q3P1P1/P1R2PP1/2R3K1 w - -,e3d4
r2q1rk1/2p2pb1/1p1p1npp/2PP4/7B/2N2N2/2B2PPP/1R1Q1K2 b - -,b6c5
r1bqkb1r/pp3ppp/2n1pn2/3p4/3p1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQkq -,e3d4
r1r5/n2Nppk1/2p3p1/1p1PP3/1qn3Q1/6P1/P4PB1/2R2RK1 w - -,e5e6
r2q1rk1/2p2pb1/3p3p/2pP2pn/B7/5NB1/4NPPP/1R1Q1K2 b - -,a8b8
4k3/ppp3pp/2nb4/6B1/3p4/5N2/PPP2PPP/6K1 w - -,g5d2
8/1np4R/1pk4p/2p3p1/2P3P1/3r1P2/5BKP/8 b - -,d3d6
7Q/5p2/4k3/p4N1p/P3K3/8/3p3q/8 w - -,h8e8
2r3k1/1p1n1p1p/b3p1p1/4P3/5P2/NB4PP/PP3K2/3R4 b - -,d7c5
r2qk2r/p1nnbppp/1p2p3/2ppP3/3P1NQ1/2P5/PP1N1PPP/R1B2RK1 b kq -,g7g6
r4rk1/p2bqppp/2p2n2/2bn4/3N1P2/2NQ4/PPP3PP/1KBR1B1R w - -,c3d5
3q4/1bp1rpbk/1n1p2pp/1B1Pp2P/4P1nN/1Q2B1N1/1P3PP1/R5K1 b - -,g4e3
8/1p2k3/5pp1/1N1Pn2p/4P2P/4K1P1/r7/3B4 w - -,b5c3
8/3k1p2/1p2p1p1/p3P2p/1nPKBP1P/P5P1/8/8 b - -,b4a6
4r1k1/2p3p1/3p3p/p1rP1P2/2p5/4NPP1/2R2K2/8 w - -,g3g4
r1b1k2r/p3bppp/1qpppn2/8/4P3/1BN5/PPP2PPP/R1BQR1K1 b kq -,e6e5
8/5pkp/2n5/p3PKP1/P7/3B4/8/8 b - -,c6d4
3r1rk1/ppq1bppb/2p4p/3nN3/Q2P1P2/P5P1/1P4BP/R1B1R1K1 b - -,a7a6
rn1q1rk1/pb1p1ppp/1p2pn2/2p5/2PP4/PP2PN2/1B1Q1PPP/R3KB1R b KQ -,d7d6
2r1r1k1/p2n1pp1/4pn1p/1qP2b2/R1NP4/Q4BB1/5PPP/4R1K1 b - -,e6e5
r4rk1/p3pp2/1p4pp/n2Pb3/1R6/4BB2/q4PPP/3Q1RK1 w - -,d5d6
r4r1k/1bp1q2B/pp2p3/2n1R1p1/2Pp3Q/8/PP3PPP/R5K1 w - -,e5g5
1rbqk2r/pp2npb1/2npp1pp/2p5/2P4P/2NP1NP1/PP1BPPB1/R1Q1K2R w KQk -,a1b1
8/7p/np2p1pk/1p6/1Pr1N3/P5P1/5PK1/3Rn3 w - -,d1e1
6r1/1R4bk/5pp1/3Q3p/3P3P/3qB1P1/5P2/6K1 b - -,d3d1
r1b2rk1/p2nqppp/1pp1pn2/3p4/1bPP4/1PN1PN2/P2BBPPP/R1Q2RK1 b - -,c8b7
b3n1k1/2p1Nppp/4q3/p1n1B1P1/p3r2P/5N2/5PB1/3R1QK1 b - -,e6e7
4qrk1/5ppp/p2R4/Pp2n3/1P2P3/1B4QP/5PP1/6K1 b - -,e5c4
4r1k1/1p3pbp/pB4p1/P4q2/2P5/1P1Q1PP1/6KP/3R4 b - -,f5h5
6r1/3k1p2/rnp1p3/p1RpPn1p/Pp1P4/1P1P3P/4NBPK/5R2 w - -,e2f4
r1b2rk1/2qnbppp/p2p4/nppPp3/4P3/2P2N2/PPBNQPPP/R1BR2K1 b - -,d7b6
8/6k1/6p1/1r4P1/2R4K/8/7P/8 b - -,b5b7
6k1/6pp/p1p2p2/3b4/2N5/P1R2P2/6PP/1r4K1 w - -,g1f2
4r3/1R4pk/p6p/4p3/1Bb5/7P/1P3PPK/8 b - -,h7g8
2rqr1k1/3n1pp1/2p2np1/ppPpp3/5BP1/1PNQPN1P/P4PK1/R4R2 w - -,f3e5
3r1n2/1p4kp/5p2/p4P2/3pR3/1P1B4/P1P2P2/1K6 w - -,e4e7
2b5/8/2P5/3R4/7P/2k1NrP1/8/6K1 w - -,d5d8
7r/5pp1/1nk1p3/pp6/4N3/PP3P2/2P2KP1/3R4 w - -,d1d2
2r2rk1/1p1qnpb1/p2p3p/3Pp1pP/4P1P1/2N5/PP1NQP2/R4RK1 b - -,b7b5
8/5p1p/p2r2p1/1p2k3/8/1R4P1/P3KP1P/8 w - -,e2e3
r3k2r/4qppp/p1pp4/2n1p3/2N1P3/5Q2/PPP2PPP/R3R1K1 w kq -,a1d1
r1br2k1/pp3p2/1q2p1p1/nN1pP1Pp/1b1P4/4PN2/P3BQ1P/1R3RK1 b - -,a5c6
3r2k1/1p3p1p/pq2b1p1/1p1p3P/1QnNp3/4P1P1/5PB1/R1R3K1 b - -,b6d6
1r1r2k1/p4pp1/6p1/6n1/3p2Pq/2P1Q3/P2R1PB1/2R2K2 w - -,d2d4
r1q1k3/1b2bp2/pp1p1n2/2n1p1rp/P1B1P3/1NN5/1PP1QPPB/R4RK1 w q -,f2f4
r1bq1rk1/1p3nbp/2p2pp1/p2p4/P4P2/1N1P2PP/1PPBR1B1/1R1Q2K1 w - -,d1e1
8/b4p2/2k1p3/p1P1PpPp/Np1rrP1P/1PpR1R2/P1P5/3K4 b - -,a7c5
8/5pk1/1pp2np1/p1b1p2p/4P2P/2P3N1/PP3PP1/3N2K1 b - -,c5e7
2kr4/1pp1bpp1/p1p1n3/7r/4P3/4BNP1/PPP2P2/3RR1K1 w - -,d1d8
1rbqk2r/pp3nb1/3p4/2pNn2p/4P3/2PP2pP/PP2Q1B1/R1B2RK1 b k -,f7g5
5n2/6k1/2K1p3/4R1P1/8/8/B2r4/8 w - -,e5a5
5rk1/2q2ppp/1n2p3/rPppb3/P7/1RN1P3/2QN1PP1/R4K2 b - -,f8a8
1b6/p4p2/6r1/3kp3/R3N3/1P1K4/P7/8 b - -,f7f5
2b1qr2/5npk/p3p2p/2Q1Pp2/P4P2/4P1P1/B1r1N1P1/5RK1 w - -,c5c2
8/4kp2/1p6/3pPK2/3P1N2/7p/1P4bP/8 b - -,b6b5
R3n3/3k4/3p3q/2p5/8/2P3QP/6PK/8 w - -,g3g4
r1r1n2k/3b3p/3pq1p1/5p2/2P1P3/2Q2P2/3NBBPP/R5K1 b - -,h8g8
6k1/p3qr1p/1p2p1p1/2p5/2PpQP2/1P3R1P/P4KP1/8 b - -,e7f6
8/8/kP2r3/PR6/K1P5/8/8/4b3 b - -,e1a5
8/8/6p1/P6p/1Q5P/6PK/3p4/1kq5 b - -,c1b2
r1bqr1k1/2p2ppp/p1np1n2/1pb1p3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1
R7/3b4/3p1k1p/1p1P2pP/1P2pr2/R3K3/2P5/8 w - -,e3d4
2rk3r/1p1n1ppp/p2Bpn2/2Pp1b2/3P4/4PP2/1P4PP/R3KBNR w KQ -,b2b4
r2q1rk1/pp2n1b1/2ppPnpp/4p3/1PP1p3/2N2B2/PB3PPP/R2QR1K1 w - -,c3e4
3r1rk1/1B2nppp/8/2P1pb1q/8/2P2PP1/PP1NQ2n/R1B1K2R w KQ -,h1h2
r4rk1/pb3pp1/1ppq1nNp/8/2BP4/4P3/P1Q2PPP/R4RK1 b - -,f8e8
r3kb1r/pp1b1ppp/2B1pn2/8/Q1pq4/6P1/PP2PP1P/RNB2RK1 w kq -,f1d1
8/8/8/1pp1R3/1k3P1p/r6P/5KP1/8 w - -,f4f5
5k2/5n2/8/3P2p1/2R2pNp/7P/r5P1/6K1 w - -,c4c8
1r2nk1r/ppqnbpp1/2p3p1/2Ppp3/3P4/2NBP1PP/PPQB1P2/1KR4R w - -,b1a1
r1b1qbk1/pp3r2/n2p2pp/2pPp3/2P1PpPP/1P3P2/P1QBBN2/1K1R3R b - -,a8b8
r2k3r/3b2pp/2p2p2/2Ppq3/1B1N4/P3P3/5PPP/3Q1RK1 b - -,d8e7
6rk/8/5b1r/1p2p3/5p2/1PBP1Q2/P1R2KPq/5R2 b - -,f6h4
r1bqr1k1/pppn1pbp/3p2p1/3P4/BPP1p3/P1N1P3/1B2QPPP/R3K2R b KQ -,e8e7
k2r4/1b1r2pp/pq6/1p3R2/1P1Pp3/2Q1N3/P5PP/3R2K1 w - -,f5c5
r5rk/1pb3qp/3p1p2/p2p1P2/P2Pp3/1RP1B3/1P2QP1P/5R1K w - -,f2f4
3r4/p4kpp/1p6/2b2p2/4n3/1Pn1PN2/PB3PPP/2R2K2 w - -,b2c3
r1bqr1k1/1pp1npb1/3p2pp/p2Np3/2P5/P2P2P1/1P1NPPBP/1R1Q1RK1 w - -,b2b4
1r2r2k/p4p2/3p3p/2p5/1qP1BpQ1/6P1/P3P2P/2B3K1 w - -,e4d3
r2qr1k1/p6p/2n1pbp1/2pp4/8/1PP3QP/P2B1PP1/1B1RR1K1 w - -,d2h6
1k1r3r/pp2q1pp/2pb4/3p4/3Pn3/3BBnPP/PPQ2PN1/1KR4R w - -,h3h4
8/2q1n1bk/r3r1pp/p1p1Np2/Pp1pPP2/1PnP2NP/2QB2P1/4RRK1 w - -,e5c4
r1b2rk1/pp1nqpp1/2p1p2p/8/2BP4/P1N1PQ2/1P3PPP/R4RK1 w - -,a1d1
rnbq1rk1/pp2p1bp/2pp2pn/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,a1b1:e2e4
5qk1/Q2n2b1/1p1Pp1pp/2p1P3/2P5/PP4B1/3NK1P1/8 b - -,g7e5
1r1qr1k1/2p2pbp/2n1p1p1/pbR5/1p1PP3/1P2BPPP/P2QN1B1/3R2K1 b - -,b5e2
6k1/2q3pp/pr2p3/2p1p3/1P3P2/6PK/2Q4P/3R4 w - -,b4c5
3r1rk1/6b1/p3p3/1p3p1R/2pP1P2/P1P1BK2/1P6/6R1 b - -,f8f7
3r2k1/ppp2ppp/2n5/1N2q3/8/2P2Q2/PP3PPP/1K5R w - -,b5a3
3k4/pp3p2/3pb2p/3p1r1P/1P1P3P/2P2BK1/P7/4R3 w - -,e1b1
r2q1rk1/1b2ppbn/p2p2p1/3Nn1Pp/1p1BP2P/1N3P2/PPP2Q2/2KR1B1R b - -,a6a5
2r5/4kp2/1p1pp3/p3n3/P3P3/1PP3r1/3KBRP1/7R w - -,e2f3
kbR1r3/pp2r2p/5q2/1P1P3P/2Q2pP1/R7/5B2/1K6 b - -,e7e1
1k6/p5p1/2n5/1pp3rP/P5NR/2P2p2/1P1r1P2/1R3K2 b - a3,b5a4
8/6pk/1Q2p2p/3pq3/2r1p3/4P2P/1R3PPK/8 w - -,g2g3
1k6/2p3pp/p1p1qp2/2P5/PP1p1B2/7P/2PnrPP1/Q2R2K1 b - -,d2c4
4b3/4k3/3n4/p1N1p1p1/1p2Pp2/1P3P2/P2KB3/8 w - -,c5d3
2kq4/1ppr4/p3p2Q/P1Rb1p1p/1P1Pp1pP/2R1K1P1/4PP2/8 b - -,d8e8
1r1q1rk1/1p2n1bp/3pb1p1/2p1pp2/1NP5/2NPP1P1/5PBP/1RBQ1RK1 b - -,c5b4
2r2k2/3n1p2/p3p1p1/3pP3/3N3P/1P3N2/Pb3PP1/4RK2 b - h3,f8e7
r1bqk1nr/ppp1nppp/3p4/3Pp3/2P1P3/P1P5/5PPP/R1BQKBNR b KQkq e3,f7f5
r1bqkb1r/pp3ppp/2n1p3/2ppPn2/3P3P/2P3PB/PP2NP2/RNBQK2R b KQkq -,g7g6
r3k2r/p4ppp/2p5/2b1Pp2/8/1P6/2P2PPP/RN3RK1 w kq -,a1a6
r1bqr1k1/5ppp/pn1b1n2/1p1p4/3Pp3/1PN1N1P1/PB2PPBP/2RQ1RK1 w - -,d1d2
2R5/5k2/4pp2/3p4/3N1P2/2P1K3/8/4r3 w - -,e3f2
r1bqkb1r/1p1n1ppp/p5n1/1Bp4N/3pPp2/3P4/PPP3PP/RNBQ1RK1 w kq -,b5a4
7k/r7/1qPp2Rp/3PpP2/r3P3/1NQ5/1K6/8 b - -,b6f2
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4PP2/2PP2P1/PP1NN1BP/R1BQ1RK1 b - -,c8e6
r2qr1k1/1pp3pp/1nn1bb2/5p2/pP1P4/B1N1PQP1/P1N3BP/3R1RK1 b - -,b6c4
r1b1kb1r/1p3pp1/pqn1p2p/2npP3/6QP/2NB1N2/PPP2PP1/2BR1RK1 b kq -,c8d7
3r1rk1/6p1/6Pp/p2pR3/5p2/1PP2P2/1P2RP1K/8 b - -,d8d6
r7/4Bp2/6bk/1R1P3p/r4R2/2P3P1/P2K4/8 w - -,f4a4
6k1/1b4pp/1p4r1/p1b1p3/2PqPp2/1P3P1P/2R3QK/4NN1B w - -,g2g6
8/1p4k1/3P3p/1q1P4/8/5QPp/5P1K/8 w - -,h2h3
2k5/pp6/8/3Pp1r1/4K2p/8/PP3RPP/8 w - -,d5d6
1r2qr2/3b2pk/3p1p1p/1p1BnP2/pp2PN2/P1P3P1/4Q2P/2KR3R w - -,c3b4
2k5/p4q1p/1p4rn/3p2p1/2pP4/P1P2P2/1P1b1QP1/4KN1R w - -,f1d2
1qr2rk1/pp3pbp/2p1p1p1/2Pn4/8/1Q2PB1P/PP1B1PP1/2RR2K1 w - -,e3e4
r4qk1/2b1n1pp/p1n1b3/1pp1p1B1/P1NpP2N/1P1P2P1/2P1Q1BP/R5K1 w - b6,a1f1
r2qrnk1/1b2bp2/p3p2p/1p1pP1p1/3P1B2/7P/PP2QPPN/1BRR2K1 w - g6,f4e3
r4rk1/ppbqnppp/2n5/3p4/3N2b1/2P2NP1/PP3PBP/R1BQR1K1 b - -,c7b6
r2qk1nr/pp2bppp/2n1p3/3pPb2/3P4/2P5/4NPPP/RNBQKB1R w KQkq -,e2g3
3r1r2/1p1qnpk1/p4pp1/2pPb3/P1B5/2N2Q1P/1P3PP1/R4RK1 w - -,f1d1
3rr1k1/pb1n1pp1/3Pq2p/8/Q7/5NP1/P3PpBP/2R2RK1 w - -,f1f2
r1b1kb1r/pp3ppp/2n2n2/4q3/4p2N/2N3P1/PP1BPP1P/R2QKB1R w KQkq -,d2f4
r2q1rk1/pppn1pbp/3p2p1/3Pp3/2PnP3/2N1B2P/PP2BPP1/R2QK2R w KQ -,d1d2
n4k2/3bbn2/p1Np4/B1pPp2p/B1P1Pp2/P4P2/5NP1/5K2 b - -,e7d8
6k1/3r3p/1p1p1q2/p1nR1p2/1PP1pPr1/P3Q3/6PP/3R1BK1 b - -,a5b4
r4rk1/pp3pp1/2n2q1p/8/3pB3/P4Q2/1PP2PPP/R4RK1 b - -,f6f3
8/1b1q4/1p4kp/6p1/P1P2p2/4QN1P/6P1/6RK b - -,d7h3
