2R5/8/8/8/7k/6p1/3r4/7K b - -,h4h3
rn3rk1/p5p1/1pp1b2p/q4p2/3Pp3/P1P1Q3/2P1B1PP/1RB2RK1 b - -,a5d5
rn1qkb1r/1b3ppp/p2ppn2/1pp1P3/P7/3P1NP1/1PP2PBP/RNBQ1RK1 b kq -,d6e5
8/p2n4/P7/2pBk1p1/4P3/2P2K2/8/8 b - -,d7f6
r6r/pk4pp/1np2p2/2Bp1b2/1P1N4/2P1P3/1P3KPP/R6R b - -,f5d7
2r1r1k1/1pqnbppp/p2pbn2/P3p3/4P3/1NN1B1PP/1PP2PB1/R2Q1RK1 w - -,f2f4
1k5r/pp2bppp/1q2p3/4P3/Q2P4/Pp2B3/1Pr2PPP/1R1R2K1 w - -,d1d3
6k1/p1p2p1p/1p3Bp1/8/6P1/3r4/Pp4P1/1R4K1 b - -,h7h6
r2qk2r/pp2p1bp/2bp2pn/2p2p2/4PP2/2NP1N2/PPP3PP/R1B1QRK1 w kq f6,f3g5
6k1/3rb1p1/pp2pn1p/2p1p3/P1P1P3/4BP2/1P1RB1PP/6K1 w - -,g2g3
3r1r1k/p3b2p/3p1pp1/1PpRn3/P1P2B2/1B6/6PP/5RK1 w - -,a4a5
5rk1/6q1/p1Bbp1p1/2p3Bp/1pPp3Q/4N3/PP4PP/3R2K1 b - -,d4e3
r4r1k/1p4pp/pqn5/3pbb2/3P1P2/P5PP/1P2N3/R1BQK2R w KQ -,d4e5
rn1qk2r/pbpp2pp/1p2P3/5n2/1bPP4/2N2P2/PP4PP/R1BQKBNR w KQkq -,c1f4
6r1/3k1p2/rnp1p3/p1RpPn1p/Pp1P1N2/1P1P3P/5BPK/5R2 b - -,g8h8
2r2rk1/1bqnbppp/pp1p1n2/3pp3/1PP5/PQN3P1/1B2PPBP/R2RN1K1 w - -,c4d5
8/p3k3/1p3p2/3P1P2/5K1B/P1P5/6r1/8 b - -,g2a2
k2r3r/pp3p1p/2p5/2qp1Q2/8/4P3/PP3PPP/K2R3R w - -,d1d4
5b2/5kp1/2R4p/2p2n2/2N5/1P6/2rB1K1P/8 w - -,c4e5
r1bqr1k1/pp1nppbp/3p1np1/2pP4/P1N1PBP1/2P2P2/1P1Q3P/R3KBNR w KQ -,h2h4
8/7k/3N3p/6p1/1p2P3/8/1Bn2P2/6K1 b - -,c2e1
bn3rk1/3pqp1p/5np1/1NpP4/2B1P3/6b1/1PQ2PPP/2B1K2R w K -,h2g3
2k4r/1Bq2p2/2p1p2p/Q1P3p1/8/P5P1/5PP1/3R2K1 b - -,c7b7
8/1p3R2/1pr3pk/p4p1p/PnBPp2P/1P2P1P1/5P2/6K1 b - -,b4d3
8/3Q3R/5p1k/1p5p/1P6/1PP3KP/6P1/2q4r b - -,h6g5
r5k1/5p2/1nr3b1/1qNp2p1/pn1P4/4P1B1/1Q3PP1/R1R1N1K1 w - -,e1d3
8/5p2/4bk2/1B4p1/3NPn2/2r2P2/2R2KP1/8 b - -,c3c2
1k1r4/1pp1bp1q/p1p1n3/4P2p/8/1NB2QP1/PPP2PK1/4R3 w - -,f3e4
rnb1kb1r/pp1p1ppp/4pn2/q1p5/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,f6e4
7r/8/3k1p2/p2Bb3/P6p/2p3P1/2K4P/7R w - -,d5f3
r2r4/p3Rkpp/1np1p3/1p2P3/1P2P3/PB2BP2/2K3PP/3R4 b - -,f7e7
8/7p/1p1k1p2/1P1p1p1B/P3bP2/r5P1/3R1K1P/8 w - -,h5d1
r1bqr1k1/p2nbpp1/2p2n1p/1p2p3/4P2N/2NBB2P/PPP2PP1/R2QR1K1 b - -,d7c5
6k1/1p1r3p/3P4/6R1/5pP1/p1r4q/P7/Q2B2K1 b - -,g8f8
8/8/7p/5p2/6p1/P4kP1/r6P/4B1K1 w - -,g1f1
2k3r1/1pq2p2/p2Qb3/4n3/4P3/2N4P/PPP3r1/2KR3R b - -,c7d6
1rb2r1k/1p3p1p/p2qp3/6p1/4N1Pn/2PP3Q/PP4BP/4RR1K b - -,d6e7
5r1k/2q4p/Qn1p2p1/3rppPn/1p5P/1P2P3/3N1P2/3RKNR1 w - -,e3e4
8/7k/7P/7K/8/8/8/8 b - -,h7h8
1rq2rk1/pb3pbp/1p1pp1p1/1Pp1nn2/2P5/P1NPP1P1/2QBNPBP/1R3RK1 w - -,e3e4
q2r2k1/B4ppp/Q2bp3/3n4/5P2/1P1P4/6PP/2R4K w - -,c1c6
r4qk1/5r1p/p2p1np1/P1pP2B1/1pNb1PP1/3Q4/1P5P/R4R1K w - -,d3f3
r6r/3kbp2/1pp1p1p1/p2nP2p/3P1P2/P2RBNP1/1P3KP1/2R5 b - -,a5a4
4r1k1/2p2ppp/1p1p4/8/2P4P/1p3N2/PPn2PP1/2R3K1 w - -,a2b3
r7/4R1pk/1Bpp3p/P4P2/5bP1/2P5/1PP4P/1K6 b - -,f4h2
rN3bk1/5p1p/2NP2p1/pp2B3/1P4P1/P4P2/7P/6K1 b - -,a5b4
4k2r/1R3pp1/p1rbp2p/4p3/P7/2NP4/1P3PPP/R5K1 w k -,c3e4
rq3kr1/1N2bp2/1B2p2p/N3n1p1/pn2P1P1/5P2/1PP2Q1P/1K1R1BR1 b - -,a8a5
r3k2r/5ppp/p2bpB2/2p5/8/2N5/PqP1QPPP/R4RK1 b kq -,g7f6
rn1qkb1r/pp2pp1p/2p2np1/3p1b2/2PP1B2/5N2/PPQ1PPPP/RN2KB1R w KQkq -,c2b3
8/6Bp/2n1k1p1/pp3p2/2r4P/P2RKPP1/1P6/8 b - -,b5b4
r1b1k2r/1p1nbppp/pqn1p3/3pP3/3P1P2/P4NPB/1P5P/R1BQK1NR b KQkq -,e8g8
r1bqrnk1/pp2bppp/2p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/4RRK1 b - -,g7g6:f6e4
8/7p/R2k4/7P/1pP1pK2/1P6/P3r3/8 b - -,d6c5
r1b1rbk1/1pq2pp1/1np2n1p/p3p3/P3P2N/1BN1B2P/1PP1QPP1/R3R1K1 w - a6,e2f3
r1b2rk1/1p1nq1pp/3b1n2/p2pp3/2PP4/1P1N2P1/PB1N2BP/R2QR1K1 b - -,e5e4
8/k7/4N3/8/PK2n3/8/8/8 b - -,e4d6
8/2n2B2/3kp3/N2b1p2/P4Pp1/1PK3P1/7P/8 w - -,c3d4
8/8/3bpnk1/1Bp1p3/2P1P1P1/1P3K2/3B4/8 b - -,f6h7
r4rk1/1p1n1pbp/p3p3/4qPB1/8/1PN4P/P3Q1P1/2R2RK1 w - -,e2e5
2q1nrk1/r3n1bp/2p2pp1/1pN5/p1bP3N/P1P3QP/1PBB1RP1/4R1K1 w - -,d2f4
6k1/7p/4p3/2qb4/3B4/4R1PP/Qnr2P2/5BK1 b - -,c5d4
r3k1r1/ppqnbp2/1np1p2p/4P2P/1PP2P1p/P6P/4Q1B1/RNB2R1K w q -,b1c3
r1bqk2r/p3npbp/1pp1p1p1/2p5/4P3/2NPB3/PPPQNPPP/R3K2R w KQkq -,e3h6
8/5ppp/8/8/1k4P1/pb6/3RPP1P/1K6 b - -,g7g6
r4rk1/pppqnpb1/3pb1pp/1P2p3/2Pn4/2NP1NP1/P3PPBP/1RBQR1K1 w - -,f3d4
r4rk1/2p4p/1n1b2p1/1P6/p1PpRn2/5pPP/P1B2P2/1RB3K1 w - -,c1f4
r5k1/pb2qp1p/np1p2p1/2pP1P2/Q7/2N1r1P1/PP2P1BP/R4RK1 w - -,f1f2
2rq1rk1/pp2ppbp/2n2np1/2pb2N1/2N5/P2P2PB/1P2PP1P/1RBQ1RK1 b - -,d5c4
5r1k/1p5p/2pN1p2/R7/8/5KR1/PbP4r/8 b - -,h7h5
r1b1k2r/1pqp1pb1/p1n1p3/7p/3N4/1NP3P1/PP1QPPB1/R4RK1 w kq h6,d2g5
5R2/4k3/3p4/3r1p2/2p5/4K3/6P1/8 w - -,f8c8
3r2k1/3r1ppb/2pPpn1p/ppn1B3/1bN1P3/1P4PP/NP2RPB1/R5K1 w - a6,a2b4
r2qr2k/1pp3pp/1n3pb1/pP1n4/P5P1/BBPP3P/3N1P2/R2QR1K1 w - -,e1e8
rn1r2k1/pb3pbp/1p2p1p1/q1p1P3/3P4/2P1BN2/P2QBPPP/3R1RK1 b - -,b8c6
8/1Q2k3/1p1q1p2/6p1/8/6RP/6PK/3r4 b - -,e7d8
2r3k1/1q3Q2/3P2p1/p4pNp/b4BnP/P7/1PP3P1/1K2R3 b - -,b7f7
5r2/8/8/3bk1K1/6R1/8/8/8 b - -,d5e6
8/4R3/4nPk1/1p4p1/4N3/8/4qNKP/8 b - -,e6f4
3r2k1/5pp1/1p1r3p/p3n2P/4P3/2RPK1R1/PP6/5B2 w - -,f1e2
6k1/1bpq1p1p/pp4p1/4b3/P1B1pN2/2P1P2P/1PQ2PP1/6K1 w - -,g1f1
8/5pk1/4p3/4Pp2/5P2/3KB1rp/7R/8 b - -,g7g6
3bR3/Bp1r1pk1/p3p3/6p1/3P2n1/P4N2/1P3PK1/8 b - -,g4f6
1r3rk1/5p1p/p3b1p1/3p4/qP1Q4/P3R1P1/5PBP/3R2K1 w - -,g2f1
7r/5kp1/B2p1n2/p2Pp2P/1p2P3/5K2/PP4R1/8 b - -,h8h5
3r1rk1/p1qb1p2/1pp3pp/2p1p3/3BPnP1/2NP1Q1P/PPP4N/R4RK1 b - -,c5d4
r5k1/p4rb1/1p4pp/4p3/7Q/2q1B3/P3RPPP/R5K1 w - -,a1c1
2r3k1/3n1pp1/p3pn1p/1p1q4/3P1B2/PQ3P1P/P4PK1/1B4R1 w - -,b3d3
r3k2r/3bqppp/p1p1p3/2bpP3/1PnN1P2/P1N5/2P3PP/R2Q1RBK b kq -,c5a7
5k2/1p3p1p/1p1b1Pp1/3P4/6N1/7P/r5P1/2R3K1 b - -,a2a8
4r1k1/5pp1/5n1p/2R5/q1NP4/Pr3Q2/5PPP/5RK1 w - -,f3f5
3rr1k1/1pq2pp1/2p1pnp1/p1N5/3P1P1b/2P2RN1/PP4PP/2QR3K b - -,d8d5
rn1r2k1/pp3ppp/2pq4/8/P1Q1p3/2P5/4NPPP/R4RK1 w - -,c4e4
r5k1/5p1p/pq4p1/np2b3/3N4/1P5P/PB3PP1/R2Q2K1 w - -,d1g4
3rrbk1/3n1pp1/q6p/p1p5/P2pP3/3P2NP/3BQPP1/3RR1K1 w - -,d1b1
rnbq1rk1/pp2bppp/4p3/8/2BP4/2n2N2/PP3PPP/R1BQ1RK1 w - -,b2c3
r1b1kb1r/1pqn1ppp/p7/2pn4/2N5/4P1P1/PP3PBP/R1BQK2R w KQkq -,d1d5
4k2r/p2Bbppp/1p6/4B3/3P1Q2/8/Pr3P1P/R3K2b b Qk -,e8d7
2kr1b2/1p4p1/5p2/p1pq3p/1n1pbP1N/NP1P2Q1/PBP3PP/1K2R3 b - -,e4h7
6k1/2p5/2p3pb/p2pP2p/6bP/P2N1rP1/1PP2NR1/1K6 b - -,g4c8
r2q2k1/5pp1/4p2p/2Qb4/p2P4/3R1P1P/6P1/R5K1 b - -,a8c8
r1b4r/pp1nkp1p/3bpq2/1B3p2/8/2P1P1Q1/P2NNPPP/1R2K2R w K -,f2f4
1q2r2k/1p1RBpb1/p3p1pp/2P1P3/P2P2P1/7P/1Q4K1/8 b - -,b7b5
6k1/1p5p/p3q3/3P1p2/5P1B/8/P5K1/8 w - -,d5e6
3rr1k1/1pq2p1p/2pb1np1/p1n1pP2/2Pp2P1/PP1P3P/1B1NQPB1/R3R1K1 w - -,b3b4
3bk2r/1Q3ppp/p1p1p3/4P3/8/4P3/PP5P/2R1KB1q w k -,b7c6
r1bqkb1r/3npp1p/p2p1np1/1PpP4/8/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,f8g7
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,g8f6
r2qr1k1/1p1n1pb1/2p3pp/2P5/PpBp1P2/1N5P/1P4P1/R2Q1R1K b - f3,d7f6
8/2R1p2r/3pk1p1/2p5/4R3/8/3KP3/8 b - -,e6f6
2q3k1/5rbp/1R3pp1/1pr1p3/3pP3/3P2PP/1Q3PBN/1R4K1 b - -,c5c2
8/6bp/1n1kp1p1/3p4/P2N4/1BP5/3K1PPP/8 w - -,a4a5
2kr4/1p2qp2/p1b1p3/3p2r1/7Q/3BR3/PPP2PP1/4RK2 b - -,d8g8
r1q1r1k1/5pp1/pppn1n1p/3p4/PP1P3N/1R1NP2P/2Q2PP1/2R3K1 b - -,d6c4
8/8/4k3/8/2K5/8/1P6/8 w - -,c4c5
r1b1k2r/pp1pn2p/2n2p2/2p1p1p1/2B1P3/3P2B1/PPP2PPP/RN2K2R w KQkq -,b1c3
2r2k2/p4ppp/1p2p3/3p4/P1b3n1/2P3P1/3KPPBP/1R2R3 w - -,f2f3
2r1r1k1/3n1ppp/pq6/3p4/Pp1P4/1Pp1PN2/2Q2PPP/R1R3K1 b - -,g7g6
r1b1k2r/pp3ppp/4pn2/8/1BB1n3/5N2/PP3PPP/3RK2R b Kkq -,c8d7
r3r1k1/2pqbppp/p2p4/npnP1b2/3B1N2/1BN5/PPP2PPP/R2QR1K1 b - -,e7g5
1r1q1rk1/pB3pbp/1p4p1/2p1p3/2P2B2/3P2P1/P3PP1P/1R1Q1RK1 b - -,b8b7
r1bq1rnk/ppp3pp/2np1b2/3Npp2/P1B1P3/3P1N1P/1PP2PP1/R1BQR1K1 w - -,a4a5
r3r1k1/1pp2ppp/2np2n1/p1b2P2/P3PP1q/2PQB3/1P1NB2P/R4R1K b - -,c5e3
2kr3r/1p3bp1/2p2p2/p3pP1p/2P1P1n1/1P2b2P/P1B1N1P1/1RB2R1K w - -,f1e1
2r2r2/R4pk1/Q3p1p1/3qP2p/3P4/7P/5PP1/1R4K1 w - -,a6d6
8/5p2/p5p1/Pp2k1p1/1P1p2P1/3K3P/5P2/8 b - -,e5d5
1k1rq2r/1pb2ppp/p1p5/PP6/2PpP3/1R3N1P/4QPP1/1R4K1 b - -,a6b5
1r2r3/2p3bk/1p1p2pp/3Pp3/qPPnN3/3Q1P2/1R3BPP/2R3K1 w - -,f2d4
8/4bk1p/8/2p1PNn1/1pP5/4p1PP/1B6/3K4 b - -,f7e6
rnbqk2r/ppp1bppp/4pn2/3p4/4P3/2NP4/PPP1QPPP/R1B1KBNR w KQkq -,g1f3
r3k3/1pp1q3/p2p1nnr/3Pp3/1Q2Ppb1/8/PPP2NPP/2K1RBNR b q -,e8c8
5k2/7p/2pr4/pp1b1P2/4p2P/1P2K1P1/P3B3/3R4 w - b6,g3g4
rn2kb1r/pp3ppp/1qp1pn2/3p4/2P3b1/5NP1/PPQPPPBP/RNB2RK1 b kq -,b8d7:f8e7
r3rbk1/1p3pp1/2p5/pq2n3/3p3p/P2P2PP/1P1BPPB1/1RRQ2K1 w - -,g3g4
2kr1b1r/pp2nppp/n1p1b3/4P1N1/P1p2B2/2N5/1P2PPPP/R3KB1R b - -,e7d5
8/5ppp/2k1p3/2P5/2nP4/r3B3/4KPPP/1R6 b - -,e6e5
2r1k2r/1q1b1p2/1b2pPn1/3pP3/pPpP1Bp1/P5Pp/3QN2P/1R1R1NK1 b k -,h8h5
2R5/5p2/3k2pp/pr3P2/3nP1PP/PP6/KP6/8 b - -,d6e5
5rk1/q3p1bp/3p1Pp1/1p1P2B1/nP3P2/7P/3Q1NP1/4R2K b - -,e7f6
r2br1k1/5p1p/2R3p1/p2b4/5B2/4P2P/5PP1/3R2K1 w - -,d1d5
r3k2r/4bp1p/1p3n2/pqpPpPB1/8/6P1/1P4BP/R2Q1RK1 w kq a6,f1e1
5rk1/pp3ppp/1r2p3/3nP3/5P2/3R2PP/PP4BK/3R4 w - -,g2d5
8/8/1r3kp1/1p1pp2p/1P5P/2PK1PP1/8/R7 b - -,f6f5
r1r3k1/1b2bp2/1p2n1p1/p2pPp1p/qP1P1P2/P2QNNP1/3B3P/RR4K1 b - -,b7a6
r4rk1/pbq2pp1/1pn1p2p/2b5/8/PPBBPN2/5PPP/RQR3K1 b - -,f8c8
r1b3k1/1pqnrppn/3p3p/p1pPp3/2P1P3/P1NB1N2/1P2QPPP/2RR2K1 w - a6,c3b5
8/2k5/p7/P1P5/3r4/4Nr1P/5P1K/2R2R2 w - -,h2g2
2r1k1r1/1b2qp1p/p3p3/2bpPp2/1p3P2/1P1Q1N1P/1PP3P1/R3BR1K b - -,d5d4
r2r2k1/pp2ppbp/2bp1np1/q7/3BP3/2N2B1P/PPPQ1PP1/3R1RK1 w - -,d4f6
r2q1rk1/p2nb2p/np1Np3/1N3pp1/3P1B2/PQ6/5PPP/1RR3K1 b - -,g5f4
r1b1kb1r/p3pppp/2pp4/q7/3P4/2n2N2/PP3PPP/R1BQ1RK1 w kq -,b2c3
2rq1rk1/b4pp1/3p1n1p/1p2p3/1P1nP3/PbNBN2P/1B1Q1PP1/R3R1K1 b - -,d8d7
r1bq1rk1/ppp3bp/2n2np1/4pp2/2P5/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,c1a3
6k1/5rBp/p1b3pP/1p1p2b1/3P4/1BP5/PP6/4R1K1 w - -,b3d5
2R5/8/3K4/2p5/3k4/8/8/8 b - -,c5c4
r4rk1/4ppbp/b2p2p1/q1pPn3/4P3/2N3P1/PPQ2PKP/R1B1RB2 w - -,c1d2:c1g5
6r1/4k3/5p2/7R/6PP/3Bb3/2K5/8 w - -,d3f5
r4r1k/5ppp/2N1p3/p7/q2P4/1bR3P1/5P1P/2Q1R1K1 w - -,c1b2
8/2R5/8/6p1/8/3bk3/2p5/4K3 w - -,c7e7
r2qkb1r/ppp2ppp/4bnn1/8/2Q5/2N2N2/PP2PPPP/R1B1KB1R w KQkq -,c4b5
r5k1/1pp1rppp/p4q2/3PnP2/3pNQ2/6P1/PPP4P/1K1RR3 b - -,f6b6
r2n1rk1/pppqbpp1/3pbn1p/3Np3/2PPP3/5NPP/PP3PBK/R1BQ1R2 b - -,e5d4
1r2r1k1/6pp/p4p2/2pp4/n7/1RPbPN2/P4PPP/2R1B1K1 w - -,c1d1
rnbqk2r/pp2ppbp/5np1/3p4/3P4/2N2N1P/PPP2PP1/R1BQKB1R w KQkq -,f1b5:c1e3
r1b2rk1/ppN2pb1/5n1p/4p3/2P1P2q/4B3/PP1QBPP1/R4RK1 w - -,c7a8
5k2/1p3p2/1p5p/5b2/2BN4/5p2/6rP/2R3K1 w - -,g1h1
r4rk1/1pq2ppp/p3p3/P1p1p3/R2nP3/1P1PB2P/2P2PP1/3Q1RK1 b - -,a8c8
4k3/4b3/6p1/6P1/3P3P/pPBK4/8/8 b - -,e8d7
2rr1bk1/p1q2ppn/bpn1p2p/2ppP2P/5BN1/2PP1NP1/PP1Q1PB1/R3R1K1 b - -,c6e7
r2q1r1k/1b2Qp1p/3p1p2/2pP1N2/1p6/4P3/5PPP/1R3RK1 w - -,e7b7
2r1r1k1/pb2bp1p/1p2p1p1/q7/2nP2N1/P1PQ1P2/2B3PP/2BRR1K1 w - -,c2b3
r1bqr1k1/pppn1pbp/5pp1/8/2BP4/4PN2/PP3PPP/RN1Q1RK1 w - -,b1c3
8/R4pk1/6p1/2prp3/P4PpP/1PQ3P1/5K2/7q w - -,c3e3
5r1k/6b1/2R3p1/p6p/3pN3/1P3P1P/P5P1/6K1 b - -,f8d8
r2qkb1r/1p1bpppp/p1np1n2/1Bp5/P3P3/5N2/1PPP1PPP/RNBQR1K1 w kq -,b5f1
3r4/1pp2r1k/2n3bp/p1q3p1/3pP3/1P1N1P1P/PB4P1/2RR2K1 w - -,d3c5
r5k1/pbqnrpbp/1p1p1np1/2p5/2P1PP2/1PBB1NN1/P1Q3PP/4RR1K b - -,a8e8
8/8/1p5p/p3kP2/P2r2P1/1P2KB2/2P5/8 b - -,d4f4
b1r2rk1/pq4pp/4p3/3nBp2/3Nn3/P5P1/Q3PPBP/2R2RK1 b - -,b7f7
6k1/2q3b1/p1r1b2p/2N2p2/Q5pP/5P2/2PB2P1/2K4R b - -,e6f7
r1b5/p2r1pkp/Rp4p1/4n3/2pN4/2P3P1/P2PP1BP/1R4K1 w - -,a6a5
1q1r1k1r/1b1p2pp/p1nPpp2/1pP5/5B1Q/1N6/PP3PPP/R2R2K1 w - -,d1d3
4r3/6P1/p7/1p3n2/4kP2/1P1pp3/P5RP/2RK4 b - -,e8g8
r2nr1k1/2p1qpp1/1p1p1n1p/4p2b/pPP5/P1QPPN1P/4BPP1/B1R1R1K1 b - -,d8e6
3q2k1/5b2/2p2p1Q/6p1/1p2R3/1P6/5PP1/6K1 b - -,c6c5
1r5k/5PR1/2P4P/1PK5/4b3/8/6p1/6R1 b - -,e4c6
1n1qnrk1/r3bppp/pp1pp3/6N1/2P2B2/2N3P1/PP1QPPKP/R2R4 w - -,g5e4
r5k1/pp3pNn/2p2n1p/8/2Pq4/4RQPP/PP4P1/R5K1 w - -,g7f5
8/4p1k1/1r3b1p/p5p1/P7/2P1PBP1/1P1R1PP1/5K2 b - -,f6e5
r4rk1/1ppqb1p1/p3bn1p/2N2p2/1P1np2N/P2P2P1/2QBPPBP/2R2RK1 b - -,e7c5
8/8/2k2Bp1/5p2/5K2/5P2/1P1n4/8 w - -,f4e3:f6c3
r1bqk2r/1p2ppbp/p5p1/2Pn4/5P2/2N2N2/PPP3PP/R1BQ1RK1 b kq -,d5c3
8/8/3Kp3/1pB5/1n6/2k5/8/8 w - -,d6e6
rn3rk1/pb2ppbp/6p1/q3p3/5Pn1/B1N2N2/PPPQ2PP/2KR1B1R w - -,c3d5
r1bqr1k1/1p3pbp/p2P2p1/2n1p3/PBP2P2/N7/1P1Q2BP/R4R1K b - -,c5b3
r1b1kb1r/1p1n1ppp/pq2pn2/3p4/3NP3/3BB3/PPPN1PPP/R2QR1K1 b kq -,f8c5
r4rk1/1b3ppp/1q2pn2/p2p4/Pn6/2N1N1P1/1P2PPBP/R1QR2K1 b - -,a8b8
q4r1k/2P1p2p/8/PPpp1Q2/3bnP2/8/4B1PP/4BR1K w - -,f5e6
1r6/1p2k3/3ppp2/1Pp1n1p1/2PPn3/4P1P1/N7/2RR2K1 b - -,e5g4
3q1nk1/1pr3p1/p1p1pr1p/P7/1n1PQP2/1N4P1/1P5P/1BR2RK1 w - -,c1c5
8/1q3pk1/6p1/4b3/8/P1p1B1P1/2Q2P1P/6K1 w - -,e3c1
1rB4k/pP4bp/2p3p1/2qp4/Q3bp2/8/P2R2PP/5R1K b - -,g7e5
4q1k1/1R3p2/p1p1p1pQ/3pP3/P1b5/2P5/2P2PPP/2K5 w - -,h6f4
2r5/1p3ppp/p3k3/4p3/Pr1pP2P/R4PP1/1PPR4/2K5 b - -,c8c4
rnbq1rk1/p2p1ppp/4pn2/2p3B1/2P5/P1Q5/1P2PPPP/R3KBNR w KQ -,e2e3
6k1/2r1ppb1/pN1pn1p1/Pr5p/1Pp1q3/2P1P2P/4QPPB/2R1R1K1 w - h6,e2c2
2rqk2r/1b2ppb1/p2p1npp/1pn5/3NP1P1/PBN1BP2/1PPQ3P/2KR3R w k -,b3a2
8/5p2/p2p1p1k/1p1P3P/5P2/P1N1K2P/1Pb5/8 b - -,h6h5
3r3r/pp1k1b1p/2Np2p1/2p2p2/2P2NnP/1P2P3/Pb1R1PP1/2K2B1R w - -,c1b2
1r1q1rk1/1p1bbp1p/p3p1p1/4N3/3PBP2/4R3/PP4PP/2RQ3K b - -,e7f6
rnr3k1/7p/p7/1p1pb1B1/3p4/8/PP3PP1/R3KB1R w KQ -,f1d3
8/6k1/p2p1p1p/5Q2/5R2/8/5KP1/q7 w - -,f4g4
r2qkb1r/4pppp/p1p2nb1/1p1pn3/2PP2P1/1PN1P2P/P3BP2/R1BQK2R w KQkq -,d4e5
r2q1rk1/pb2bpp1/1pp1pn1p/3n4/3P4/2NBPNB1/PP2QPPP/2R2RK1 b - -,c6c5
r4rk1/4qp2/p2bNnpp/2np4/8/2N1P3/PB1QBPPP/2RR2K1 b - -,f7e6
r1bq1rk1/pp3ppp/2n1pn2/2p5/2BP4/P1b1PN2/1P3PPP/R1BQ1RK1 w - -,b2c3
r1bq1rk1/pp2bppp/2np1n2/2p1p3/4P3/N1P2NP1/PP1PQPBP/R1B2RK1 w - -,a3c2
