8/2N5/8/p2p3p/PkpR4/5qNK/8/8 b - -,h5h4
r3nrk1/1pqn1p1p/p2p2p1/2pP4/P2bP1P1/2N3B1/1P1NQP1P/R4RK1 w - -,g1h1
8/1pNn1kp1/p2p2p1/7r/2P2P2/PP4K1/5P1P/4R3 b - -,h5c5
r4r2/1q2ppbk/3p1npp/p1pP4/PnB1P3/2N1B3/1P2QPPP/2R2RK1 w - -,f2f4
rn2k2r/ppq1ppbp/3p2p1/3pP3/3P1Pb1/P2BBN2/1PP3PP/R2Q1RK1 b kq -,e8g8
rnb1kb1r/pp1p1ppp/1q2pn2/2pP4/5B2/1PP2P2/P3P1PP/RN1QKBNR w KQkq -,e2e4
3r1rk1/ppq3p1/2nbpn1p/2ppp3/2P5/1P1PP1PP/PBQ1NPB1/R4RK1 w - -,a2a3
r5k1/pqpn1rpp/3p4/1p1PppR1/2P4P/P3PP2/1PQB1P2/2K3R1 w - -,g5f5
1r1q1rk1/pppb1ppp/2np1n2/8/2PN4/2P3P1/P3PPBP/1RBQ1RK1 w - -,c1g5
r1bq1rk1/3nbppp/p2p4/npp5/3pP3/1PP2N1P/P1B2PP1/RNBQR1K1 w - -,c3d4
1r5k/3b3p/3p1r2/1P1Pbpp1/1qB5/1P3R2/4N1PP/2R2Q1K w - g6,c1d1
3qk2r/r3npb1/bpn3pp/p1pp4/P6P/2PP1NP1/1P1NQPB1/R1B1R1K1 b k -,e8g8
1rb1r1k1/5pp1/p6p/3P3P/1qP1p3/1PQ1NnP1/1KB5/3R3R b - -,b4c5
rn1qkb1r/4pppb/p1p2n1p/1p1pN3/2PP2P1/1PN1P3/P4P1P/R1BQKB1R w KQkq -,f1g2
3q3r/5pk1/3P1p2/1P3P2/1pn4p/4Q2P/2PR2P1/5RK1 w - -,e3d4
1r4k1/1p4bp/1RB2pp1/p3P3/P1br1P2/2N3P1/7P/1R4K1 b - -,f6e5
rqb1k2r/pp1p1ppp/2n1pn2/1Nb5/2P1P3/2N5/PP2BPPP/R1BQK2R w KQkq -,e1g1
4nr2/2p2qk1/3p1np1/1QPPp3/4P3/4R1PP/2R2PK1/8 b - -,f6e4
r1bqkb1r/5pp1/p1ppp2p/8/4PP2/2N5/PPPQB1PP/2KR3R b kq -,f8e7
r3k2r/1pq2pbp/p1np1np1/4p3/2P1P1b1/2NBBN1P/PP2QPP1/R4RK1 b kq -,g4f3
br2nrk1/2q2ppp/p1npp3/Pp6/4PP2/1N3B2/NPPQ1RPP/3R3K b - -,b5b4
2r3k1/5pp1/7p/8/2n5/1RR3P1/PBr1PPKP/8 b - -,c2e2
8/5k1p/4pp2/4P1p1/3K4/4P3/6PP/8 b - -,f7e7
r3r1k1/1bqn2bp/p1p2Pp1/1p6/5PP1/2NB3P/PPQB4/2KR3R b - -,d7f6
6k1/pr1q1p2/R7/1prp2Q1/4b3/4P1P1/5P1P/R4BK1 b - -,e4g6
r4rk1/2pq2pp/1p1p2b1/2p5/1PP5/P5Q1/1B3PPP/4RRK1 b - -,f8f7
2n1r1k1/5pbp/1p2b1p1/2p1p1P1/N1P1P2n/4B3/PP2BP2/2KR2N1 w - -,c1c2
8/1p2kp1r/3p4/1q5p/3QP3/3P4/6PP/5R1K w - -,h2h3
8/5rp1/2p4p/pp2p2P/P1k5/2P1KPP1/8/2R5 w - b6,c1a1
r4r1k/pp2n1bp/2b2pp1/4p3/2B5/BP2P3/P2N1PPP/2R2RK1 b - -,f8e8
8/q3PP1p/4Q3/6kp/8/6P1/6K1/q7 w - -,e6d5
r4rk1/1p1bbp1p/1qn3p1/3p4/p2P4/P1BB1N1P/1P1Q1PP1/R4RK1 b - -,e7f6
3r3r/k3qpbp/1p1p1np1/PPn1p3/2P1b1PP/4BP2/3QN3/R3KB1R w KQ -,a5b6
5bk1/p2r2pp/1p3P2/3p2R1/3Q1K2/1P2P3/PB4q1/8 b - -,g2f2
b3r3/R4pk1/6p1/2N3n1/2P5/1P6/P4KP1/5B2 b - -,a8c6
r1r3k1/1b2bp1p/pq2pnp1/1p1pB3/3P4/2NBP2P/PP3PP1/2RQ1RK1 b - -,b7c6
1r6/5pp1/1P2p1kp/2Bn4/R7/7P/2P2PP1/6K1 w - -,a4a6
8/8/8/8/p7/P2k4/2p5/3K4 w - -,d1c1
2r2r1k/ppq3bp/4Bn2/2p1N1Nn/2P1Pp2/BP4P1/P1Q2P1P/3R2K1 w - -,e5f7
r3k2r/ppp3pp/2p1pn2/2b5/4P3/5P2/PPP3PP/RNB1K2R b KQkq -,e8c8
8/8/6p1/8/6pk/3r4/4R1K1/8 b - -,g6g5
3r2k1/pb3rpp/3Bp3/2Pq4/Ppp3R1/8/1P2QPPP/2R3K1 b - -,h7h5
2r1r1k1/2b2ppn/p6p/Pp3P2/1P1p2PP/5P2/1N1B1R2/2R3K1 w - -,b2d3
8/1p1r3p/3R1pk1/2B1p1p1/4b3/2P3P1/1K3P1P/8 b - -,d7d6
2r2bk1/1q1b1p2/2p3p1/p2p3p/Pn1P1N1P/1P2B1P1/3Q1P2/1BR3K1 w - -,g1h2
4k3/2p3p1/1p2p1p1/p2p2B1/P1b1r3/2P4N/2PK1PP1/R7 b - -,e4e2
2r5/2rbkppp/p3p3/2p5/8/1PR1K1P1/P3PPBP/2R5 w - -,f2f4
r2qk2r/pp1nbpp1/2p1pnp1/3p4/2PP4/2NBP3/PP3PPP/R1BQ1RK1 w kq -,c1d2
6k1/2R1Nb2/5p2/4p2p/4P2P/3r1P2/6PK/8 b - -,g8g7
2q1rrk1/pp4bp/6p1/2p1pp2/3pP2Q/1P1P1R2/P1PB2PP/5RK1 b - -,f5f4
r1bqr1k1/1pp2pbp/3p1np1/p2P4/4P3/1N3PP1/PP4BP/R1BQ1RK1 w - a6,g1h1
r2q1rk1/pp1b1ppp/2n2n2/3p4/1b6/2N1PN2/PP2BPPP/R1BQK2R w KQ -,e1g1
1r1q1rk1/3bppBp/2np1np1/pp6/4P3/P1N4P/BPPQNPP1/R3K2R b KQ -,g8g7
8/4kr2/7p/1pp5/2n1Pp2/5K1B/4P2P/2B5 b - -,b5b4
8/8/8/1p6/1kb3R1/4r3/1K6/8 b - -,e3e2
r1b4r/1p1n1pk1/2pb2p1/p2p2q1/N2P4/P2NP1P1/1P1Q1PB1/2R1R1K1 w - -,d3f4
3rr1k1/pp3p1p/2p2np1/q3b3/3PPpP1/2P2Q1P/P3NPB1/3RR1K1 b - -,e5c7
b1r2rk1/4qppp/p2p4/3BpP2/1p6/1N6/PPP2QPP/R4RK1 b - -,a8d5
r2r4/pp2kppp/3Nbn2/8/1nN5/8/1P2BPPP/1K1RR3 w - -,e2f3
8/1p1q1pbk/p5p1/3p1b1p/1Q1P3P/P3B1P1/1P3P1K/5B2 b - -,h7g8
r2q1rk1/2p3pp/p4b2/n2p1p1b/P1pP4/2P2N1P/1PB1QPP1/R1B1R1K1 w - -,c1e3
2k4r/1p1rb3/p1p5/2P1p1pp/4R3/2P1B1PP/P1K2P2/7R b - -,e7f6
r1b2r1k/pp2q2p/2n3Q1/4n3/5p2/2P2N2/P1P3P1/R1BK1B1R w - -,g6h6
2r1r3/Q4pk1/5qp1/p3p1Np/Pp5P/1N6/1PP4R/1K6 w - -,h2f2
2r2rk1/p3q1bp/1pn1p1p1/3pP3/3P2P1/4B1N1/PP1Q3P/R4RK1 b - -,e7h4
5r2/R5kp/6p1/8/P6P/1p2PrP1/q4PQ1/5RK1 b - -,g7h8
6k1/2q2pb1/1r2b1p1/1pp1P3/3pB2R/5NP1/PP1Q1P2/2K5 w - -,d2a5
2rqk2r/3b1ppp/3Qpn2/6B1/2n1P3/2N2P2/PPP3PP/1K1R3R w k -,d6b4
1r3rk1/5p1p/p1p1p1p1/4P3/3P1q2/5R2/PP4PP/2RQ3K b - -,f4e4
r6k/1q4p1/2p2pbp/4p3/p1PnP1P1/Q3N2P/P4PBK/3R4 b - -,b7b6
2r5/p7/2p1k3/1pn1bp2/2p3PP/2N2B2/PPKR1P2/8 b - -,c5d3
3rkr2/2b1q2n/2p1b3/2P1p2p/P1B1P1p1/4B3/6PP/RNQ2R1K w - -,b1d2
r1bqr1k1/p3ppb1/3p2p1/1p2n2n/3NP2P/2N1BP2/PPPQ4/2KR1BR1 w - b6,f1b5
1r2r1k1/b4pnp/4b1p1/8/p1P1P1P1/3N3P/5PB1/B1R2RK1 w - -,g2f3
b2r2k1/2p2pp1/2nq3p/1p1np3/8/1BBP1N2/QPP2PPP/4R1K1 b - -,f7f6
2rb1n1k/pp3rpp/bq2pp2/n2pP3/P2P1P2/1P2BNN1/2BQ2PP/RR4K1 w - -,c2d1
r1b1kb1r/ppq2pp1/4p1n1/2p1P2p/2Pp1BnP/3P1NP1/PP1NQPB1/R3K2R w KQkq -,e1g1
r5kb/ppnb1q1p/3p2p1/2ppr1B1/3PP2Q/6P1/PP2NPB1/2R1K2R b K -,e5e8
r2qk2r/pp2ppbp/3p2p1/3Pnn2/2P5/2N5/PP1BBPPP/R2Q1RK1 b kq -,a8c8
2r1r1k1/pp2ppb1/n1p1q1p1/3p1n1p/2PP4/BP1NPNPP/P3QPK1/2R1R3 w - h6,g2h2
5R2/7k/5K2/5P2/8/5r2/8/8 b - -,f3f1
8/8/5kp1/2n1p1Np/4P2P/6K1/8/8 w - -,g5h7
rn1q1rk1/pp2bppp/4bn2/2pp4/3P4/2N1BNP1/PP2PPBP/R2Q1RK1 b - -,c5d4
1r1r3k/pq3p1p/b1np1bp1/6PP/1p1PP3/5RNB/PP1Q4/2R4K w - -,g5f6
6k1/p4p2/1b6/7p/3N3q/2P1P3/PP2QKP1/8 w - -,f2g1
2r2k2/6bp/4Q1p1/p4p2/qp1P3P/3R1Pn1/1B6/6K1 w - -,e6c8
3r1r1k/pp1b2pp/8/1PqpN3/P4p2/5P2/3Q2PP/1R1R3K b - -,d7f5
3k4/6R1/4P3/2p2p2/4r1p1/2K5/P7/8 w - -,g7d7
r1r3k1/1p1nppbp/3pb1p1/q7/p1P1P3/2N1BP2/PPRQ2PP/2R2BK1 b - -,d7c5
8/8/6kp/r7/3RK1P1/5P2/8/8 w - -,f3f4
r1b1k2r/pp2ppbp/2nq1np1/3p4/8/1NP2NP1/PP2PPBP/R1BQ1RK1 w kq -,b3d4
2r1r1k1/1b3pp1/pq3n1p/2pp4/5Q2/1P2PN2/P1R1BPPP/3R2K1 w - -,f3e5
1r1q1rk1/1p3p1p/pNn1bR2/2Pp2Pp/8/1N6/PP1Q2PP/2R3K1 b - -,g8h8
2rqr1k1/1b2bp2/p2p1np1/1pnPp1Bp/4P3/1P3NNP/P4PP1/1R1QRBK1 w - -,d1d2
8/1p5k/p1p2P1P/P1P3K1/1P6/5rB1/7P/8 w - -,g3f4
8/5pkp/5bp1/8/1r6/5NPP/3R1PK1/8 b - -,h7h5
1r2r2k/p4q1p/5pp1/4p2N/1P4RQ/2P5/1P3PPP/4R1K1 b - -,g6h5
r2q2k1/2pn1rb1/3p2n1/pN1Pp3/2P1P1p1/1N3pP1/5B1P/R2QR1K1 w - -,b3a5
r2q1rk1/pp2bppp/2np1n2/2p1p3/2PP2b1/2N1P1P1/PP1QNPBP/R1B2RK1 b - -,f8e8
2r3k1/1p2ppbp/1p2b1p1/8/3PN3/4P3/PPn1BPPP/2R1B1K1 b - -,c2e1
r4rk1/pp2ppbp/n1p3p1/qn6/N2PPB2/PP3QPP/5PB1/R2R2K1 w - -,e4e5
1k1r1r2/p1p2Bp1/1pnq2Q1/1R2pp2/P7/2PP3P/2P2PP1/1R4K1 b - -,a7a6
r1q2rk1/2p3pp/p1p1bb2/4pp2/QP6/P2P1NP1/1B2PPBP/4R1K1 w - -,f3e5
1r3rk1/3qnpbp/3pp1p1/1pp5/1P1nP3/P1NPB1PP/3Q1PB1/1RR3K1 b - -,f8c8
3r1rk1/ppR2ppp/1q6/3B4/3p1Q2/1P4P1/P3PP1P/5RK1 b - -,d8d5
8/3k1p2/4p1p1/p1bpP2p/1p5P/1N1P2P1/P4PK1/8 b - -,c5b6
8/6k1/6p1/5pK1/7P/6P1/8/8 b - -,g7f7
1r6/p2pkp1p/2p1r1p1/3p4/8/1P1N1BP1/P4P1P/R4K2 w - -,a1c1
r5k1/3p4/p1b1p3/1p1nPp1q/5PrB/P7/1PPQ2P1/3RRBK1 w - -,h4g5
rn2kb1r/1p1q1ppp/4p3/nN1pP3/P2P4/5N2/3B1PPP/R2QK2R w KQkq -,e1g1
8/8/3p1kp1/2p2b1p/2P2P1P/3p4/R4KB1/4r3 b - -,e1c1
rn1q1rk1/ppp2ppp/5n2/3pB3/1b4b1/4PN2/P1PPBPPP/RN1Q1RK1 b - -,b8d7
2r2rk1/6b1/R4n1p/p2p2p1/1p4Pn/6NP/PPP5/1KBR3B b - -,c8c5
r3r1k1/pp3ppp/2p4q/3nP3/4Rnb1/6N1/PPB2PPP/2Q2RNK b - -,g4e6
2r2rk1/p1qnbpp1/1p2p2p/1Pp5/P1P1P1b1/2B2NP1/4QPBP/1RR3K1 w - -,h2h3
8/1N2npk1/4p3/8/1P6/4K3/8/8 w - -,b4b5
2k5/p2b2p1/1p3q2/4p1R1/1PPpPp2/3P1r2/5P2/2K3Q1 b - -,f3f2
r2qrbk1/1b1n1p2/p1pp1npp/1P2p3/3PP3/1P1B1NN1/1BPQ1PPP/3RR1K1 b - -,a6b5
r4rk1/3bbppp/pq1pp3/4n2Q/1p1NP3/1B2BP2/PPP3PP/2RR2K1 b - -,b6b7
r1b1k2r/1p1nbppp/n1pp4/q2Pp3/2P1P3/1PN1BP2/3Q2PP/1RN1KB1R w Kkq -,c3a2
2r2n1k/p2q2p1/4p2p/1p1pPp1Q/2rP3P/3R2R1/PP2NPP1/6K1 w - -,e2f4
1qr5/pb3k2/1p1p1n1p/3NbP2/1P3B2/3Q4/P1R1N1KP/3R4 b - -,f6d5
rnbq1rk1/ppn2pbp/3p2p1/6B1/2B1Q3/2P2N2/PP3PPP/RN3RK1 b - -,d8d7
6k1/3npp2/3p1bp1/1q6/Np2P2p/1P2BP1P/P5P1/4Q1K1 w - -,e3f2
r3qr2/ppp1k3/2nb3N/4p2Q/3pP3/1P1P3P/1PP2PP1/R4RK1 w - -,h5g4
3q1rk1/rp3ppp/p1npbn2/4p3/2P1P3/1NNBQ3/PP3PPP/R2R2K1 b - -,d8b8
r4rk1/1p3pp1/1npqbp1p/p7/Pb1PPN2/1BN3P1/1P3P1P/R2Q1RK1 w - -,f4e6
1R6/p5rk/5p2/2p4p/4Pn2/2P3P1/P3bP1P/4R1K1 w - -,b8f8
r2qk2r/pp1b3p/6p1/1B1pnn2/8/N1P5/PPQ2PP1/R3K1NR b KQkq -,d7b5
rn1q1rk1/pp1bppbp/3p1np1/8/3NP1P1/2N1BP2/PPP4P/R2QKB1R w KQ -,d1d2
r4rk1/pBp1pp1p/1n2b1p1/1N2b3/8/6P1/PP2PP1P/R1B2RK1 b - -,a8b8
r1bqk2r/p2p1pbp/2p1p1p1/2p1Pn2/4N3/5N2/PPPP1PPP/R1BQR1K1 b kq -,e8g8
2rr2k1/pp3pp1/1n2b2p/2bp2q1/P7/1NNQ2P1/1P2PPBP/2R2RK1 w - -,b3c5
r2q1rk1/p5bp/bpn2pp1/2p1pPB1/4P1n1/5NP1/PPPR2BP/RN2Q1K1 b - -,d8c7
2br2k1/1p3pp1/2p4p/1p1n4/8/1PNB1P2/1PP3PP/3K3R w - -,c3d5
r4rk1/ppn2pb1/3p1qnp/2pP2p1/8/2N1BPP1/PP3PBP/R2Q1RK1 w - -,a2a4
rnbqr1k1/p4pbp/3p2p1/1NpP4/Q3n3/3B1N1P/PP3PP1/R1B2RK1 b - -,e4f6
rn1qkb1r/ppp1pppp/5n2/1B1P4/3P2b1/8/PPP2PPP/RNBQK1NR b KQkq -,b8d7
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1P3/2P2N1P/PP1P1PP1/RNBQ1RK1 b kq -,e7e6
r2q1rk1/pb3p1p/1p3bp1/n2pN3/3P4/2NB4/PPQ2PPP/3R1RK1 b - -,a5c6
r1bq1rk1/p2nbpp1/2p1pn1p/1p6/3P3B/2NBPN2/PP3PPP/2RQK2R b K -,c8b7
r1b2rk1/pp2ppbp/2p3p1/3P4/2P2n2/2N2N1P/PP3PP1/2RR1BK1 b - -,c6c5
r2n3k/3qp1b1/p2p1rpp/2pP2N1/4QP2/7R/1PP3PP/2B2RK1 w - -,c1d2
r1bqk1nr/pp4pp/2n1pp2/3pP3/1b1P4/P4N2/1P1N1PPP/R1BQKB1R b KQkq -,b4a5
r4rk1/Np2bbpp/3p2q1/2n2p2/4pP2/BP2P1PP/P5BK/R2Q1R2 w - -,a3c5
r3k2r/p1qn2p1/2p2n1p/4pb2/PQ2P3/2N5/1P3PPP/R1B2RK1 w - -,e4f5
8/1pp3r1/1k1b3R/p5n1/2BP4/1P6/1P2KB2/8 b - -,g5e4
6k1/4p1bp/5rp1/2B5/P1P5/6P1/2PNK2P/6Qq b - -,f6e6
5k2/5p2/8/3R4/4N1nP/1r4P1/2r2P2/3R1K2 w - -,d1d2
8/5pk1/6pp/3r4/7P/1R3KP1/8/8 b - -,g6g5
r2q1rk1/pb1n1ppp/1p2pn2/2Pp4/2P5/PPQ1PN2/1B3PPP/R3KB1R b KQ -,d7c5
1r4k1/5p1p/6p1/2P5/4P3/7P/B5P1/6K1 b - -,b8c8
r2q1rk1/1p2bpp1/2n3p1/2Np4/1pn2B2/P1Q1P3/4NPPP/2R2RK1 w - -,a3b4
r2q1rk1/pp3ppp/2pbpn2/7b/2PPR3/5NPP/PP3PB1/R1BQ2K1 w - -,e4e1
r4rk1/pp2ppbp/2n3p1/2pq2B1/2PP2bP/4PN2/P3BPP1/R2Q1RK1 b - -,d5d7
2r3k1/5r1p/5pp1/1b6/1p2P3/1P1R1Pq1/1PPQ4/1NK4R w - -,d3d8
2r1r1k1/1p1q2bp/p1p1pnp1/3Pp3/PP2P3/B1NQ4/5PPP/2R2RK1 w - -,d5d6
8/4p3/n5k1/1qpPp2p/N1R1Pp2/PP3PrP/7K/3Q4 w - -,a4c3
4r1k1/1p3pbp/pB4p1/P6q/2P5/1P1Q1PP1/3R2KP/8 b - -,g7f8
r1b1k1r1/pp1nbp2/1qn1p3/2ppP1pp/3P4/1PPB1N1P/PB1N1PP1/R2Q1RK1 w q -,g2g4
2b1r1k1/1R3pp1/7p/1pp2P2/2p1Pn1P/2P2B2/2N2P2/4R1K1 b - -,c8b7
8/1b3rpk/1p2p2p/3p1q2/QR5P/2r1PPB1/P2R2PK/8 w - -,b4f4
2r1rbk1/2qn1pp1/2p4p/pp1npP2/6P1/PP3Q1P/1BPN1PB1/R3R2K w - -,f3g3
3R4/1r3pkp/3R2pn/8/8/5PP1/6K1/8 b - -,b7c7
8/p3kp2/1p3p2/b2R4/2Ppr2P/P5P1/5PK1/5B2 b - h3,a5c3
r2qk2r/pbpn1pbp/1p1p1np1/4p3/2PPP3/1PN2NP1/P4PBP/R1BQR1K1 b kq -,d8e7
r1b3q1/pp2RNk1/2p4p/P6n/5p2/7P/QPP2PP1/6K1 w - -,f7h6
4r3/4Rbk1/5pp1/7p/4P2P/4BPK1/6P1/8 w - -,e7c7
5r2/ppnrk1pp/1b2p3/4B3/P7/1R4PB/1R3P1P/6K1 b - -,g7g6
r3rbk1/1pq2pp1/5n1p/p1p1pN1b/2PnP3/PPB3PP/1Q1N1P2/R3RBK1 w - -,f5e3
r1bqkb1r/p2p1p1p/5np1/2p5/2PpP3/8/PP3PPP/RNBQK1NR w KQkq c6,f2f3
4r1k1/pp1r1p1p/1nb2np1/3pq3/3R4/1BN1PPP1/PP3QNP/3R2K1 w - -,g3g4
rnbq1rk1/1p2p2p/2p1nppb/p2pP3/P2P4/1BN2NBP/1PP1QPP1/1K1R3R b - -,f6f5
8/8/6p1/7p/R6P/1r4k1/8/6K1 w - -,g1f1
r4rk1/pbqn1ppp/2p1p3/8/2NPB3/RP2P3/5PP1/3Q1R1K w - -,d1a1
2r3k1/1p2Bpbp/p5p1/2P3N1/P2n4/R6P/5P2/5K2 b - -,d4f5
1r1q3Q/5k2/2bp4/p1p1pP2/2P1P3/3P4/1P5P/6RK w - -,g1g7
2k1b3/pp3r1p/2pq1bp1/5p2/3n3P/2N1P1P1/PPQ2PB1/1K1R4 w - -,e3d4
6k1/bpp2pp1/p3rn1p/P3pN2/1P2Pq2/B1P4P/2Q1RPP1/6K1 b - -,f4g5
r1bq1rk1/p2nnppp/1p2p3/4P3/2Bp4/5N2/PPQN1PPP/R4RK1 w - -,c2e4
2r3k1/1q2npp1/pp2p2p/4N3/1P6/P3P2P/4QPP1/2R3K1 w - -,c1c8
1rq1r1k1/p1pb1pb1/2pp1np1/7p/4P3/2NQB1PP/PPP2PBK/1R2R3 b - -,c6c5
r1b2rk1/pp2bppp/1qnppn2/8/4PP2/1NN5/PPP1B1PP/R1BQ1R1K b - -,b6c7
3rr1k1/p3pp1p/2bp2p1/qp6/3QP2P/1B6/PPP2PP1/R3R1K1 b - -,e7e5
