8/p7/5K1p/1kP3r1/2R3P1/8/P7/8 w - -,c4f4
r1b2rk1/pp3p1p/4pnp1/2P5/2B5/4P3/P2N1PPP/1R3RK1 b - -,f8d8
rn1qr1k1/ppp2pp1/1b3n1p/3P4/2B3b1/1NNQB3/PPP2PPP/R3K2R b KQ -,b8d7
R7/3r1pk1/4p1p1/1b5p/2N1P3/4KP2/B2b2P1/8 w - -,c4d2
8/Q4bk1/4qpp1/4P2p/7P/5BP1/p4PK1/8 b - -,e6e5
5r1k/Pb2N1pp/4p3/R2n1p1q/8/1p3NP1/1P2PPBP/3R2K1 w - f6,a5b5
8/2k3p1/1p2p1r1/p1p1Pn2/P1P2K1p/2P2P1P/1R4P1/4B3 w - -,b2d2
r3r1k1/5ppp/b2p1qn1/2pP4/5P2/4B1PP/1PB5/1R1QR1K1 w - -,b2b4
8/7p/1r2k3/5p2/RBP1P3/1P6/6P1/5K2 b - -,f5e4
r1br2k1/pp3ppp/2pp1q2/4n3/2PN4/2R3P1/PP1QPPBP/3R2K1 w - -,h2h3
r1bqk1nr/pp2ppbp/3p2p1/3Pn3/2P5/5N2/PP2BPPP/RNBQ1RK1 b kq -,e5f3
8/5pk1/4p1p1/2R1K2p/3P1P1P/4P1P1/8/5r2 w - -,e3e4
5rk1/pb3ppp/1PN1p3/R2n3q/8/1p3NP1/1P2PPBP/3R2K1 w - -,c6e7
1r4k1/4bpp1/6bp/1p6/1P1RN3/1qP5/1P2QBPP/6K1 b - -,e7f8
r1b2rk1/ppppnppp/2n5/b3P2q/8/1QPB1N2/P2N1PPP/R1BR2K1 w - -,c1a3
2Q3n1/4bpkq/1R6/P1p1P1p1/2r5/3pN2P/1P1B1PP1/6K1 b - -,h7e4
6k1/p4pb1/1p2p1p1/3nPPN1/6P1/P4BBK/1P1r4/8 b - -,g7h6
8/6k1/6p1/3B1p2/5P2/p1b1P1P1/5K2/8 b - -,g7f6
4rr2/2p3pk/p1n1qn1p/1p3p2/4pP1N/1PPPQ2P/1P1N2P1/4RRK1 w - -,d3e4
2r4r/5ppp/1k2pn2/1p3PB1/1b1P4/3B4/1P4PP/R4RK1 b - -,f6d5
4k3/1r5p/3p1Rp1/pP2p1P1/P1p1P3/2P1K3/7P/8 b - -,e8e7
2kqQ3/r1p2p2/4p1p1/4R2p/1P1P1P2/2P4P/8/6K1 w - -,e8f7
r1b3k1/1p1n1rpp/1q2pb2/pB1p4/P4BQ1/2P5/1P1N1PPP/1R3RK1 w - -,g4g3
2k1r1nr/1p1bbppp/pB2p3/3pP3/2q4P/1NN2P2/PPP2QP1/1K1R3R w - -,d1d4
2r5/5npp/4k3/pprRp3/4P3/6B1/PPPR2PP/2K5 w - -,g3f2
r1b1kb1r/pp3ppp/1q2p3/3pP3/1n1P4/4PN2/PP2B1PP/R1BQK2R b KQkq -,c8d7
1n5r/1k2bb2/p1p2p2/1pPp1Bp1/1P1PP1P1/2N2P2/5BK1/R7 w - -,f2g3
2rq1rk1/pb2bppp/1p2pnn1/8/B2P4/P1NQ1NB1/1P3PPP/R3R1K1 w - -,a1d1
R7/1pqnbp1r/1p1ppkp1/8/3PPN1p/1QP2P1P/6P1/1R4K1 w - -,a8a2:a8g8
8/3b4/1pnk4/p2p2p1/3P3r/1P2KP1P/P2R2P1/4R3 w - -,e1f1
8/q5pk/3Np2p/1P2P3/b7/6QP/6PK/8 w - -,g3d3
8/6R1/p3p1k1/8/1pq2p2/7P/1Bp3P1/4R2K b - -,g6h6
2k1rb1r/ppp3p1/2npP2p/7N/8/2P5/PP1N1PPP/4RRK1 b - -,c6e5
5B2/7p/p3kp2/2p5/3p4/1P2KP2/2bN3P/8 w - -,e3f4
rnb1kb1r/pp2npp1/4p2p/2qp4/4P2B/P1N5/1PP2PPP/R2QKBNR w KQkq -,f1b5
8/5pk1/1p6/p5p1/8/P2R1P2/r5PP/6K1 w - a6,d3b3
5b2/2r4p/3pk1p1/1r1pp3/p7/P1P1BPP1/1P1R3P/3R1K2 w - -,f1e2
3rr1k1/4qpp1/p2b3p/1p3Q2/2pPB3/P1N1P2P/1n4P1/R4RK1 b - -,g7g6
r2q1rk1/1p1nbpp1/2p1pn1p/4N2P/3P1P2/p5N1/PPPBQ1P1/R3R1K1 w - -,b2b3
7Q/r1kb4/p3p2p/4P1p1/1p5P/5B2/1PPK2P1/q3R3 b - -,a1b2
r1bq1rk1/5ppp/2np1b2/p2Np3/1pP1P2P/6P1/PPN2P2/R2QKB1R b KQ h3,c8e6:c6b8:a5a4
2r5/pp2k2p/5pp1/3R4/3N2b1/P4P2/1P4PP/4K3 b - -,g4d7
rn1q1rk1/pp2ppbp/2pp1np1/8/2PPP3/2N2B1P/PP3PP1/R1BQ1RK1 b - -,d8b6
8/8/8/3k1Npp/8/5K1P/6P1/8 w - -,f5g7
1r1q1rk1/3n1pbp/b1n1p1p1/1p1pP3/1P1P3P/2N3P1/4NPB1/1RBQ1RK1 w - -,c1g5
4b3/8/1p3k1p/1P1p1p1n/1K3P2/3BP1P1/4N3/8 w - -,b4c3
2r3k1/5p1p/6p1/p3q3/PbnpQ3/2p2PP1/4P1KP/R1BR4 b - -,e5e4
rnbqk2r/pp2ppbp/2p2np1/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR w KQkq -,g1f3
3q3k/p5pp/2Q5/5p2/4p3/1nP1P2P/P4PP1/6K1 b - -,b3c1
r5qk/p1nbpr1p/3p1ppb/2pP1P2/2P1P3/P1NB3P/4Q1PB/R4RK1 w - -,a1b1
8/8/8/1pR2p2/1r2k3/7P/3K4/8 b - -,f5f4
8/5k2/7P/1pp2P2/p7/P1PK4/7P/8 b - -,f7f6
2rqk2r/1b3p2/np1p1n2/p1NPp2p/2P3pP/P1N3B1/1P1QBPP1/R4RK1 b k -,a6c5
r4k2/1p5r/pBp4p/2N2pp1/4p3/1P6/1PP2PPK/3R4 w - -,c5d7
r3kb1r/ppq3pp/2b1pp2/4P3/5B2/2PB4/P4PPP/R2QR1K1 b kq -,e8c8
3r4/5pk1/p7/7N/2P5/2K3P1/r6P/4R3 b - -,g7f8
1r3rk1/2pbn1pp/1ppq1p2/4p3/4P1PN/3P3P/PPPBQ3/R3KR2 b Q -,b8a8
r1b1k2r/1pq2pbp/pn1ppnp1/P7/3N4/2PBB3/1P3PPP/R2Q1RK1 w kq -,a5b6
5rk1/pp3ppp/3p4/3Pp3/4q1B1/2r1B3/P3K2P/R5QR w - -,g4f3
1R6/5p2/1p1N2k1/4r2p/8/pr6/6PP/5RK1 w - -,b8g8
r2q1rk1/p2nbppp/b3pn2/1N1p4/P4B2/3N2P1/1P2PPBP/R2Q1RK1 b - -,h7h6
r3k2r/4n2p/p2p1bp1/q1pPp3/PpP1p3/5P2/P1Q1N1PP/1K1R1B1R w kq -,f3e4
6k1/5p2/3p2pP/1p2p3/1Pn1b2P/2P3Q1/4qBBK/8 b - -,e4g2
r3rbk1/1pR2bpp/1p6/4BP2/p2p4/P2P2PP/1q4B1/4RQK1 b - -,a8a5
2kr4/1p1q1p2/2n1b3/p1p5/3p1Qp1/3P2B1/PPP3BP/5RK1 w - a6,a2a3
rnbq1rk1/ppp3bp/3p1pp1/8/2PNP1n1/2N5/PP1BBPPP/R2QK2R b KQ -,f6f5
3r2k1/1b4p1/p1q4p/1p2p2P/1B1bP3/1P3Q2/1P6/1B3R1K b - -,c6e6
r7/5k1p/p1nBp1p1/1pPq4/3p1P2/1P5P/P5PK/3R1Q2 b - -,f7g8
8/5k2/4p1p1/3p1p1p/1P1r3P/P4RP1/2K2P2/8 b - b3,d4c4
8/5kp1/5p1p/2p5/p1n1PPPP/Pb1B1K2/8/2B5 w - -,d3c4
8/2B2p1p/6p1/2b3P1/p3kP1P/8/K7/8 w - -,c7e5
3r1k2/5p2/2b1pn1p/1p6/p7/P2N1P2/BPP2K1P/6R1 b - -,c6b7
4n3/6p1/2k1Np2/1p2pPP1/1P2P3/3K4/8/8 b - -,c6d6
8/5K2/r3RP1k/8/8/8/8/8 b - -,a6a8
3r1R1k/p5p1/7p/8/Q2p1P2/3R1BPq/1P5P/5n1K b - -,d8f8
2r1k2r/1pqb1pp1/3p1b1p/p2PP3/P7/2P1B3/1PN1Q1PP/3R1RK1 b k -,f6e5
5rk1/4p1bp/1p2p1p1/8/8/2P1P3/4BPPP/R5K1 w - -,a1b1
4kb1r/pp4pp/q4p2/n2n4/3P4/2rpBN2/P2N1PPP/R2Q1RK1 b k -,c3c6
r1bq1rk1/pp3ppp/2n1pn2/2p5/2BP4/P1P1PN2/5PPP/R1BQ1RK1 b - -,b7b6:d8c7
r4rk1/ppp3pp/2nb1p2/4p1B1/2N3b1/2PP2P1/P1P2PBP/R3R1K1 w - -,c4d6
2bqk2r/r1pnnppp/p3p3/8/Pp1P4/3Q1NP1/1P2PPBP/RN2K2R w KQk -,e1g1
4r3/1p1n1k1n/p2p2p1/2pB1p2/2Pb1P2/1PN3KP/1P1B4/4R3 b - -,f7f8
2r2rk1/pb1n2pp/1p1np3/3p1p2/1PPq4/PN1B1P2/6PP/2RQNR1K b - -,d4e3
6k1/1R6/5pN1/1P5p/2P2P2/6nP/2r5/4K3 b - -,c2c4
5r2/1pknq1r1/p2p2P1/2pPpR1B/P1P1P3/2N3P1/1P3Q2/2K5 w - -,g3g4
8/5p1k/p3p1pp/7P/6P1/p2K1P2/r2B4/7R b - -,a2b2
3r2k1/5p1p/2R3p1/r2p4/pb1P4/2N3P1/1P3PKP/4R3 b - -,d8b8
r1bq1rk1/pppnppbp/1n4p1/2Q5/3PP3/2N1B3/PP2BPPP/R3K1NR w KQ -,c5a3
r1b2rk1/p1q1pp1p/2p3p1/3n4/N2Q4/5PP1/PPP4P/2KR1B1R b - -,a8b8
8/3k3p/3nNB2/1p3P2/p3P3/n2K4/5P1P/8 b - -,d7e8
5k2/1p3pp1/2p3rp/p1n1PP2/P2q4/1P1NR3/2P2Q1K/8 b - -,c5d3
r1bq1rk1/pp1n1pbp/3p1np1/1B6/3P4/2N2N2/PP3PPP/R1BQ1RK1 b - d3,d7b6
rnbqk2r/pp2bpp1/3p1n1p/4p3/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r4r1k/1pqb2pp/p2p1p2/b2Q4/P2BPP2/3R2PP/1nP3B1/5R1K w - -,d4b2
4r2k/3n3p/2p4b/p1p1p3/2PpR2P/1P1P4/P4PP1/3R2K1 w - -,e4e2
r1q1rbk1/p1p2ppp/np3n2/3p4/QP1P4/P1N1PN2/3B1PPP/R4RK1 b - b3,c7c5
8/6n1/1p2pkp1/pB1p3p/3P1PPP/1P3P2/1Pn1K2B/8 w - -,h2g1
r2r2k1/1q3ppp/pp2pn2/2p1B3/P1P2P2/3PP1P1/4Q1KP/R2R4 w - -,e2f3
rn1qk2r/pb1pbppp/1p2pn2/2p5/4P3/1PN2Q2/PBPP1PPP/2KR1BNR w kq -,d1e1
5k2/q4Bp1/3Q4/7p/4PP2/2b5/1r4P1/2R2K2 b - -,f8f7
rn2r1k1/pq3ppp/1p2p3/8/1B1b4/1Q1N2P1/PP2PP1P/2R2RK1 b - -,b8c6
2kr1b2/pp3p2/5P2/3p4/4q3/2B3Q1/PP2P3/3RK3 w - -,d1c1
8/pB2k2p/1p1rb3/4pp2/PP6/4P2P/5PK1/2R5 b - -,d6d7
2r2br1/pp3k2/2bp1n1p/4p3/5p2/1NP2N1P/PP3PPB/3RR2K w - -,f3h4
R7/2kr2R1/4p3/4p1Pp/2p1P2P/1pPr1P2/1P2K3/8 w - -,a8a7
r2rnk2/1p3pp1/2p4p/p4P1P/P3PN1Q/6R1/1q3P2/R5K1 w - -,a1e1
6k1/r4pb1/4p1p1/3n3p/1B6/P5P1/3Q1P1P/6K1 w - -,b4c5
r2qr1k1/3bbp1p/p1np1p2/1p1N1P2/5PP1/3B4/PPPQ3P/1K1R3R w - -,h1g1
8/p2R2k1/7p/3PN1p1/5n2/7P/r7/7K b - -,g7f6
6k1/p2r2b1/1p1r1npp/2p1pp2/P1P5/3PP1P1/4BP1P/1R1RBK2 w - -,f2f3
8/8/8/2p1Bp1p/6pP/2Pb2P1/2r1kPK1/R7 b - -,d3e4
r2r2k1/pp2npp1/2n1p2p/2qpPb2/8/2P2N2/PP1N1PPP/R2QRBK1 w - -,h2h3
2qrk2r/4b3/pp1pp3/5p2/2PNnPpp/1P1RP1P1/P3Q2P/3RB1K1 b k -,h4g3
r2r3q/5p1k/1p1pp1p1/pPn1b2p/4P3/1P2BP2/P2R1QPP/3R1B1K b - -,d8d7
5b2/4pk2/1pp1p1p1/1p1nP2p/3PBP1P/1P4P1/3BK3/8 b - -,f8g7
r4rk1/2p2ppp/1ppp1q2/4n3/4P3/P5BP/1PP1QPP1/3R1RK1 b - -,f8e8
1r2r1k1/pp1nn1pp/2pp1p2/q3pPP1/2P1P2P/2PP4/P1Q3B1/1RB2RK1 b - -,g8h8
r4rk1/pp4p1/3qbn1p/1N1pb1B1/8/3B3P/PP3PP1/R2QR1K1 b - -,d6b8
1nr2k2/p1r2pp1/1ppb2p1/4p3/PP1P4/4P1P1/2R2P1P/2R1BBK1 w - -,d4e5
r2q1rk1/pb1n1ppp/1p1bpn2/3pN3/2PP1P2/1P1B4/PB1N2PP/R2Q1RK1 b - -,f6e4
8/6p1/4p2p/p1PkP3/brR5/3BK3/P5PP/8 w - -,c4c3
3r4/p3kp1p/b3p3/8/2pP1P2/P1R2P2/5K1P/5N2 b - -,d8d4
r1bq1rk1/ppp2ppp/1bnp1n2/4p3/1PB1P3/2PP1N2/P2N1PPP/R1BQK2R w KQ -,c4b3:a2a4
8/p1r5/R3b3/4k1pp/4B3/1P2KP2/P5PP/8 w - h6,g2g3
r2q1rk1/ppp2pbp/6p1/n3p1N1/2bPP3/2P1B1P1/P4PBP/R2QR1K1 b - -,c4a6
rn1q1rk1/2ppbppp/p3pn2/8/NpPPb3/1P3NP1/P3PPBP/R1BQ1RK1 w - -,a4c5
2kr4/1pp2ppp/p2rpn2/8/2P3q1/1R6/P1B2P1P/1Q3RK1 w - -,b3g3
3rk2r/pp3pp1/1npbp1bp/q7/2pB2P1/2NnQN1P/PP2RPB1/R5K1 w k -,d4g7
1r1r4/pp1b1Nk1/n1p1pqPp/P1P2p2/7R/3R2P1/1P2QP2/1B4K1 b - -,a6c5
4b3/ppk5/2np1bp1/2pB1p2/2N5/2P2N2/PP3PP1/2K5 b - -,c6e7
r1bqk2r/1ppn1ppp/p2b4/2p1p3/2N1P3/1P1P1N2/P1P2PPP/R1BQ1RK1 b kq -,d8e7
Q7/4q1kp/pp1Nnpp1/2P1p3/1P1n4/P4N1P/5PP1/2R3K1 b - -,d4e2
3k3r/2rb1pp1/1pn1p2p/p1qpP2P/P4Q2/2PB1N2/1P3PP1/2R1R1K1 b - -,c5e7
2R5/4r1kp/1p2r1p1/pB1pNpb1/Pq1P4/1P5P/1B3PPK/3Q4 b - -,g5f4
3b4/1p3k1R/p2P4/P1p1p3/2P2p2/2B1r3/3K2P1/8 b - -,f7e6
r2qk2r/1p2ppb1/p2p3p/4nPp1/3n4/2N3BP/PPP1BPP1/R2QK2R w KQkq -,e2d3
r1bqk2r/ppppbppp/2n5/8/2BPn3/5N2/PP3PPP/RNBQ1RK1 w kq -,d4d5
2r2r1k/pb1Q2pp/1pn2bq1/8/8/2PBBN2/PP3PPP/2KR3R b - -,g6g2
1r3rk1/3p2bp/p1n1q1p1/2p5/4p3/P3B1P1/1P2PPBP/R2Q1RK1 b - -,d7d6
3r2k1/pp2bp2/2n1p2p/4P3/2p2q2/1PP2N1P/P3Q1B1/5NK1 b - -,e7c5
8/ppp2k1p/5p2/3p2p1/2nP2P1/P1P5/1P2R1PP/6K1 b - -,a7a5
r4r1k/1bp1qp2/1p1p1n1Q/p2PpB2/2P1P1pP/PP6/5P2/R4RK1 b - -,h8g8
rr3nk1/1p2qpp1/p2p1PPp/n1p1p2P/2P1P1Q1/2PP3B/5B2/1R2K2R b K -,e7f6
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/2PP4/P1N1PN2/1P3PPP/R1BQKB1R b KQkq -,d8d7
5b2/pp3knp/2pn1ppB/3p4/3P1NP1/1PPb3P/1P2KP2/4N3 w - -,f4d3
2b2nk1/2q2pb1/2p3pp/1pP1p3/1P2Pn2/1N3N1P/5PPK/B2Q1B2 b - -,g6g5
3r2k1/p4pp1/3P1b1p/8/N2p4/1P6/P4PPP/5R1K w - -,a4c5
r4r1k/ppp1q1b1/6pp/4pp2/P1b5/1QP1P3/1P1N1PPP/R3R1K1 w - -,d2c4
8/1p6/p1p1k1p1/P1P1np2/1P1r4/1K2R1P1/2B5/8 w - f6,b3c3
2r3k1/3p2p1/4p2p/pb3p2/1r1p4/1P1P2R1/1NP1RP1P/K7 b - -,a5a4
8/8/4k2R/8/4p1PN/5pK1/8/7r b - -,e6d5
8/1R6/p2Br1p1/2Pk3p/P3p3/6PP/8/4K1b1 w - h6,b7d7
8/2p1q1k1/P6p/Q2Pp1p1/4Pp1n/1r3P2/1r2BP1P/R3K1R1 b - -,b3b5
rn1qk2r/pbpn1ppp/3pp3/1p6/4PP1b/3P2P1/PPP3BP/RNBQ1RK1 w kq -,g3h4
r3rbk1/2nq2p1/3p3p/pp1P1p2/4N3/P4N1P/1P1BQPP1/R3R1K1 w - f6,e4f6
r2q1rk1/1b2npbp/p2p1np1/P1pPp3/1pP1P1P1/1P2BNNP/2BQ1P1K/R5R1 b - -,b7c8
8/4p2k/1B3b1p/4n2r/1P2R3/8/3NKP2/8 b - -,h7g6
r2qr1k1/4bppp/pn1p1n2/2p4b/P2PP3/5N1P/2BN1PP1/R1BQR1K1 b - -,a6a5
r4rk1/p1p3p1/2p2q1p/2bp4/3N4/2P1B3/PP1Q1PPP/5RK1 w - -,b2b4
2r2b2/7k/2p1p1pp/8/1nnPP3/2N1B1NP/5PP1/R5K1 b - -,c8c7
r2qkb1r/pp1b1p1p/4p1p1/n7/3P4/1QPB1N2/P4PPP/R1B1K2R w KQkq -,b3c2
6k1/1p4p1/p1n1p1pp/P2pP3/1q1P2PP/5N2/2Q2PK1/8 b - -,b4f8
r2q1r2/1bp1n1bk/1p1p3p/3Pp1p1/1PP1N1P1/7P/2Q1BP1B/2R2RK1 b - -,h7h8
