8/2Q5/pp4pk/3q1p2/P3r2P/5R1K/1P6/8 b - -,e4h4
5R2/8/8/p3k3/5p2/1r6/1P3K2/8 w - -,f8e8
8/p1R5/1p5p/2p1k1r1/8/6KP/PPP5/8 w - -,g3f2
3rr1kb/2p1p2p/p3qp1P/1p2PBB1/2nP4/2P5/P1Q2P1K/3RR3 b - -,e6f7
4rrk1/1pq1nbpp/p1pb1p2/3pn3/P2NP3/2NPB1P1/1PPQ2BP/R4RK1 w - -,e4d5
r1bqkb1r/pppp1ppp/2n5/4p3/2BPn3/5N2/PPP2PPP/RNBQ1RK1 b kq d3,e5d4:d7d5
r3q1k1/2pn1pbp/p2p2p1/3P4/n7/2P1N2P/1P2QPP1/R1B3K1 w - -,a1a4
1k6/8/1pB1bp1p/p7/1P5P/P1R1K1P1/5P2/3r4 w - a6,b4a5
r4rk1/pp1np1b1/3nb1qp/P2p1pp1/1P1P4/3NPPP1/1B1NQ1BP/R4RK1 b - -,a8c8
3r4/p1p2p1k/1p5p/5p2/n1PB4/1Nn2PP1/P6P/4R1K1 b - -,c7c5
7r/8/p2pk3/1pp2R2/4P1P1/1P1P3p/1PP2K1P/8 b - -,a6a5
r2q2k1/2p2p2/p1n3p1/1pb3p1/2b1P1P1/2P2Q1P/PPB2P2/R1B1K1R1 b Q -,c6e5
r4rk1/p2n1p1p/2p1p1p1/q2n2bP/1p1P2P1/2P2Q2/PPK1NP1B/1B1R3R w - -,h2d6
8/p3r1pk/1q3P1p/1p6/3r4/8/PP4PP/4RR1K w - -,f6e7
8/5pk1/1n2p1p1/3pP3/6PP/N3PNK1/8/8 w - -,h4h5
8/p7/8/PPp5/4k3/1PK1p3/3r4/2N5 b - -,d2d1
r2q1rk1/ppp1npb1/2n3pp/1B2P3/3PN1P1/4B2P/PP3P2/R2QK2R b KQ -,d8d5
1r1q1r2/1p2npbk/2npb1pp/p1pNp3/2P5/P1NP2PP/1P1BPPBK/1R1Q1R2 b - -,f7f5
r1bqr1k1/bpp2pp1/3p1nnp/p7/N1P5/PP2B1P1/2N1PPBP/R2Q1RK1 b - -,a7e3
3r2qk/pp2p3/2p2bpp/5r2/3PQp1P/5N2/PPP2PP1/1K1RR3 b - -,g8d5
8/6r1/2R5/1P1p3p/3k4/p4PP1/P2K3P/8 b - -,h5h4
r7/1b5R/1p1k4/1P1pb3/P1p5/4p3/N3K3/3B4 b - -,a8b8
3r1rk1/p2nbpp1/1qppb2p/4p3/4P3/2N1Q1B1/PPP1BPPP/3R1R1K w - -,e3c1
1r4k1/p2R2p1/1q4rp/2p1P3/3nN3/P4P2/3Q2PP/5RK1 b - -,d4f3
r1b1kr2/3p3p/1pp1p3/1p6/8/P7/1PP2PPP/2KR1B1R w q -,f2f3
2b2rk1/Rr2p2p/6p1/1p2p3/1Pn1NP2/6PP/7K/2B2R2 w - -,a7b7
rn3rk1/pp2bppp/2p1pn2/3p1b2/2PP4/1PN2NP1/1P2PPBP/R1BR2K1 b - -,f5c2
5k2/4p2p/7K/1nB2b2/p7/5P2/6PP/8 w - -,g2g4
8/1p6/2p5/p1k4p/2P2RbP/PP1BK3/8/3r4 b - -,d1h1
8/R4pp1/4k3/1P6/PP1K3P/8/5q2/8 w - -,d4e4
rn1qk2r/pb1p1ppp/1p2pn2/2p5/1bPPP3/2NB1P2/PP4PP/R1BQK1NR w KQkq c6,d4d5
2r1k2r/1p3pb1/p3p1pp/q1npP3/1P1N1P2/2P5/PB1Q2PP/R4R1K b k -,c5e4
r4r1k/p1q3b1/bpn4n/2p1p1N1/4P3/6PP/PPPR2B1/RN2Q1K1 w - -,g5e6
2r1rbk1/1bqn1p1p/p2pp1p1/6P1/1n2PP1P/1NN1B2R/1PP1Q1B1/3R2K1 w - -,h4h5
2rr2k1/4bpp1/p1p4p/PpN1P3/3P4/6P1/1P3P1P/R2R2K1 w - -,b2b4
8/1p1n3p/p2kp1p1/P4p2/1PPN1P2/3K3P/6P1/8 w - -,d4f3
3rr3/1ppq1ppk/p1nbbn1p/4p3/P1PpP3/1P1P2NP/2B1QPPN/R1B1R1K1 w - -,c2d1
k3r3/ppp1qp2/2nr4/1B1p2p1/Q2P4/2P1PPK1/P3R1P1/1R6 w - -,a4b3
rn1qkbnr/pb1ppppp/1p6/2p5/4P3/1PN5/PBPP1PPP/R2QKBNR b KQkq -,b8c6:e7e6
8/R7/4p3/8/4k1K1/4r3/8/8 w - -,a7a4
1r6/8/8/4p1R1/4k1p1/4P1P1/5K2/8 w - -,g5g4
r2r1bk1/1q1n1pp1/p3b2p/nppNp3/2P1P3/1P2NPP1/P1Q4P/R1B1RBK1 b - -,a5c6
1r1q1rk1/p3bppp/b1n2n2/2p1pN2/1p2P3/1P4PP/PBP1NPB1/R2QR1K1 b - -,c6d4
1kn5/pp1b4/4pq2/1PQp4/P4B2/3B2P1/5PK1/8 b - -,e6e5
5r2/p4pkp/q2pnR2/4p3/b1PpP1PQ/3P3P/P3r1B1/5RK1 b - -,e6f4
5R2/8/8/3pk1p1/2b1p1B1/4P1P1/1r6/6K1 b - -,b2b1
3Q4/1p3pbk/6p1/2B4p/q2P3P/6P1/5P2/6K1 b - -,a4c6
r3r1k1/1ppq1pbp/p2n1np1/3P4/P3p2N/4B1PP/1P1QPPBK/2RR4 w - -,e3d4
1qrr1nk1/5pp1/pp1ppn2/7p/2PNP3/1PN1QPPP/P2R2K1/3R4 w - -,a2a4
2r3k1/1p1rqpp1/p1bppn1p/P7/2P1P2B/1P3B1P/3Q1PP1/3RR1K1 w - -,d2b2
1r3rk1/pbqnBpp1/4p1n1/2p1P2p/2PpN2P/3P1NP1/P3QPB1/1R2R1K1 b - -,g6e7
4rbk1/1r3p1p/p2p1PpP/q2PpnP1/2p5/2N1BP2/PPRQ4/2K3R1 b - -,e8b8
8/pB4pk/7p/7q/3P1Q2/4r3/PP4P1/6K1 b - -,e3e1
2kr3r/pp3p1p/2b1p3/4Q3/8/qP1B4/2P2PPP/R4K1R b - -,a3b4
8/6kp/4rp2/7R/2P2R1K/6PP/5P2/7r b - -,g7f8
r1bq1rk1/bp3ppp/p1n5/3N4/3pN3/6P1/PP2PPBP/2RQ1RK1 b - -,g8h8
1r2k3/2pr1pp1/7p/p7/2R5/1PNP2PP/P3PPK1/8 w - -,c4c5
r7/PR1n3p/2pk1pp1/3p4/1P1P4/1K1B1P1P/6P1/8 b - -,f6f5
1r3r2/2qbppkp/p1p3p1/2Pp4/5P2/1P4P1/P3P1BP/R2Q1RK1 w - -,e2e4
r1bqkb1r/1ppn2pp/2n1pp2/pB1pP3/3P4/2P2N2/PP1N1PPP/R1BQ1RK1 b kq -,c6a7
1r1q1rk1/5bbp/p2p4/1p1nPp2/2P5/1P5Q/PB2B1PP/3R1R1K w - -,c4d5
r4rk1/pq3ppp/1p2pn2/2b5/2P1bB2/1P3NP1/P2RQPBP/3R2K1 w - -,f4d6
5rk1/r3npb1/4p1pp/ppN1P3/2pP2P1/2P2R2/PP1B3P/5RK1 w - -,f3h3
3nr3/ppk3pp/2p2p2/2B1p3/1P2P3/P5NB/1KP4P/8 b - -,g7g6
r1bqk2r/pp1pppbp/2n2np1/8/2P1P3/2N5/PPN2PPP/R1BQKB1R b KQkq e3,e8g8:d7d6
6k1/pQ3pbp/6p1/4P3/5P1q/4P2P/P2r2B1/5RK1 b - -,g7f8
r2qkb1r/1pp1pppp/p4nb1/2nP4/2B2BP1/2N2N1P/PPP1QP2/2KR3R w kq -,f3e5
r2qk2r/pb1nbppp/1p1ppn2/2p5/3P4/2PBPN2/PP1NQPPP/R1B2RK1 w kq -,e3e4
6k1/1p1r1pp1/pbn1p2p/4P3/2R4P/P1Br2P1/1P1NRPK1/8 w - -,d2e4
r2q2k1/pb1pb1p1/4p2p/n3N3/2p1Nr2/2P5/PPQ1B1PP/1K1R3R w - -,e2f3
8/1p3k2/p3p2p/3qQp2/P2Pp3/1P2P1KP/5P2/8 w - -,e5c7
1kr5/pp4pp/4p3/P2pP3/7q/5B2/6PP/Q4RK1 b - -,h4c4
2b4r/4bp1p/pk2pp2/2p5/B1P5/2B3P1/PP3P1P/2KR4 b - -,h8g8
8/8/6p1/3bR3/5BkP/6P1/2p2K2/3r4 w - -,h4h5
rnb5/pp2R3/2pp2kp/3P4/5N2/8/PP1rNPPP/R5K1 b - -,g6f6
8/p7/6p1/1p1pk3/1P4PP/P2R4/2r5/5K2 b - -,e5e4
8/8/7R/2N1b3/2B5/2n2b2/1k3P1P/6K1 b - -,e5d4
8/3r4/6R1/2P1p2p/2K2k2/P7/1P6/8 w - -,g6f6
2rr2k1/p4pp1/2q1p2p/2p5/8/2Q1PN1P/2R2PP1/1R4K1 b - -,c6e4
6k1/1pp3p1/p7/3Rrrbp/4N3/P1N1pP2/1P2R1KP/8 w - -,d5e5
rn1qk2r/pp3pb1/2p1p3/3pPp1p/3P1P2/2N5/PPP2BPP/R2QK2R w KQkq -,e1g1
2rqrbk1/1b1n1ppp/pp1ppn2/8/1PP1PP2/2NBB3/P2NQ1PP/2R2RK1 w - -,a2a3
r1bqk2r/ppppb1pp/2n1pn2/8/2P1p3/2NP2P1/PP3PBP/R1BQK1NR w KQkq -,d3e4
8/p2n4/1p2pk2/1Pp2p1p/2P1nP2/P3NNP1/4K2P/8 b - -,e4c3
2r3k1/3b1ppp/1b1p1n2/1p1Pp3/1P2P3/r1q2N1P/2B1QPP1/1RRN2K1 b - -,c3c7
8/1b1Bkppp/8/4p3/3nP1P1/PPr1BP2/7P/1K1R4 w - -,e3d4
r3kb1r/pp1n1pp1/1qp1b2p/3p1n2/2PPpB2/4P2P/PP1N1PP1/RNQ1KB1R b KQkq -,b6d8
8/1p5R/1P2kp2/p1n4p/4pnP1/2P5/PK6/7R w - -,g4h5
1r2kb1r/5pp1/bpp1p3/3pPn1p/3p1P2/1NP2N2/PP3KPP/R1B4R w k -,f3d4
6k1/5ppp/4p3/3n4/3N4/4P3/5PPP/5K2 b - -,e6e5
r2q1rk1/ppp2pp1/2n1bb1p/2Pp4/1P1P2Pn/2N1BN1P/P2QBP2/1R3RK1 w - -,f3h4
4bk2/2q1r2p/p3pNp1/3p2Pn/5P2/P7/1PPQ3R/K3R3 b - -,c7c4
6k1/5ppp/1b6/8/1Bp2P2/4P3/3K2PP/8 w - -,e3e4
8/3R4/3p2p1/p2P2P1/2Pk3P/7r/3K4/8 b - -,h3h2
7r/ppk1rR1p/3p4/2pP4/2P5/3P4/PP4PP/6K1 w - -,f7e7
b2qr1k1/3p1ppp/pnr2n2/1p1p1N2/1b3B2/PP1Q2P1/2R1PPBP/1NR3K1 b - -,b4f8
r4rk1/2q1bppp/p1N2n2/1p5b/1PpP4/4B3/1PB2PPP/R1Q1R1K1 w - -,c6e7
r4rk1/2p2ppp/p2p1n2/P3n3/4P3/2P3PP/2BB1PK1/R3R3 b - -,f6d7
6k1/5pp1/1p6/1B5p/P7/1nN2P2/2b3PP/4K3 b - -,b3c5
3r1rk1/1b4b1/pq4p1/1p2n3/4B3/PP1Pp1N1/4Q1RP/1N3R1K b - -,f8f2
4r3/5k2/p1QRb1p1/4P3/2P2Pp1/P1N3p1/6Pq/5K2 b - -,h2h7
2r1kbr1/2q2p1p/b2ppp2/p3n3/P3P3/2R3NP/1BP1RPB1/3Q2K1 b - -,e5c4
5rk1/pppqn1b1/3p1rpp/3Pp3/2P1P2R/5NN1/PP3PP1/2RQK3 w - -,e1e2
4k3/8/2p5/1p1p4/1P1P3R/2P1NK2/3r4/8 b - -,d2d3
r4rk1/pb3ppp/4qn2/1pP2N2/3bP3/2N3PP/PBQ2P2/3R1RK1 b - -,d4c3
6k1/4rq1p/1p1p2p1/pPpP4/P3P3/6P1/4Q1KP/4R3 w - -,e2b2
1k1r4/1pp2p2/p5r1/2p1qN2/2P1P2p/B1PPPQbP/P5P1/3R2K1 b - -,e5c3
2k1rb1r/p1ppq2p/b1p3p1/3np3/2P5/1P4P1/PB1NQP1P/2KR1B1R w - -,f2f4
4rrk1/2p3b1/p2p3p/3n1qp1/Pp1PR3/5N1P/P1Q2PPB/4R1K1 w - -,g2g4
rnbqk2r/pp3pbp/2p3p1/3p4/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1e2
rn1qkb1r/pp2pppp/2p5/3p1b1n/3P4/4BNP1/PPP1PP1P/RN1QKB1R w KQkq -,b1d2
r1bq1r1k/ppp3bp/3p1np1/3Pp1B1/1PPnN3/2N3P1/P4PBP/R2Q1RK1 w - -,f2f4
8/p1p4p/8/2p1Rp2/2k2B1K/2P2P2/r5rP/8 w - -,e5f5
r1bq1rk1/pp3pbp/2n1p1p1/2pp4/4PP2/2NP1N2/PPP3PP/R1B1QRK1 w - -,e4e5
2r5/p4p1p/4p1p1/2kp4/8/1Pr2P2/P1PRRKPP/8 b - -,c8c6
8/p1p3r1/1nkp3p/2p4N/2P1R1PP/5K2/P7/8 b - -,g7f7
8/4k3/4R2P/np2p1N1/3p4/5PP1/2K1P2r/8 b - -,e7d7
r1b1k2r/1p1pppbp/p5p1/3nP3/1q1n4/P2B1N2/1P3PPP/RNBQ1RK1 b kq -,b4b6
3Q4/7k/p7/P4P2/1P2K3/7q/8/8 b - -,h3g2
8/8/3k4/8/2K5/2B5/4R3/2r5 b - -,d6d7
r2qr3/bppb2k1/p1np3p/4ppp1/3PP3/2P1PNB1/PPB3PP/R2QR1K1 w - f6,e4f5
3rr1k1/p4ppp/1pP2n2/4p3/4PPn1/2PB4/1B2K1P1/2R1R3 b - -,e5f4
r1bq1rk1/pp1pppbp/2n3p1/1B1nP3/3p4/2P2N2/PP3PPP/RNBQR1K1 w - -,c3d4
r5k1/1p1b2qp/p2bp1p1/3p4/3n4/P1N2PP1/1PBQ1P2/R3R1K1 w - -,g1g2
5qk1/2bb2pp/p2p4/2pPp3/2P1P3/4B1P1/P5BP/1Q4K1 w - -,b1b7
1r1rn1k1/2p1qppp/1pQ5/p2Pp3/P3P3/5PPB/7P/2RR2K1 w - -,d1d3
r1b2rk1/2q1bppp/p1np4/3npP2/1p2P1P1/3B1N2/PPP4P/R1BQ1R1K w - -,e4d5
rr6/3kb3/3p4/p1pPp1pp/2P1P3/P3N2P/6P1/1R1R2K1 w - -,e3f5
r3kb1r/pp1npppp/8/1B1p1b2/3P4/2P5/PP3PPP/R1B1K1NR b KQkq -,f7f6
7r/4p1k1/1p1qnpP1/p2Pp3/1P6/P5P1/2BQ3P/5RK1 b - -,e6d4
rnb1k1r1/ppq1n2Q/4p3/3pPp2/3p4/P1P5/2P2PPP/R1B1KBNR w KQq -,g1e2
6k1/R3pp2/3p3p/3P2p1/4P3/1q3PP1/6PK/8 b - -,e7e6
7Q/1p2qk1p/p1p3p1/5p2/3Pn2P/1P3BP1/P4PK1/8 b - -,e4f6
1rbr2k1/4qpbp/pp1p1np1/2p1P3/PnP2P2/1PN1B1PP/3QN1B1/3R1RK1 b - -,f6e8
2r5/1p3pk1/5Rpp/6Q1/3qp1P1/4N3/PPP4P/6K1 w - -,f6d6
r4rk1/pppq2pp/2n2p2/3p4/3P1n2/2P2N2/PPQN1PPP/R4RK1 w - -,h2h3
2r2rk1/pq2ppbp/1p1pnnp1/2p5/P2P4/2P1PN1P/1P1NQPPB/R3R1K1 w - -,e1c1
2rr2k1/p3ppbp/bpn2np1/1N6/2P1P3/B4P2/PP2N1PP/R3KB1R w KQ -,e2c3
1r1q1rk1/1ppn2bp/p2p2p1/3Ppp2/1PP1P3/P1N1B1P1/3Q1PK1/R4R2 b - -,f5f4
rq2r1k1/3b1pb1/1n1p1npp/p1pPp3/4P3/NBP3BP/1P1N1PP1/R2QR1K1 b - -,a5a4
8/1pr1p2p/p1bp2pk/5p2/P2QPP2/7P/qR4P1/2R4K b - -,a2f7
r1b2rk1/pp1n1pp1/2nNp2p/3pP3/1q1P3P/3B4/2P1NPP1/R2Q1RK1 b - -,d7e5
2r2rk1/3b1pbp/1q2p1p1/pPN5/P2P4/1Q4PP/5PB1/R3R1K1 b - -,f8d8
8/2P5/8/1K6/8/p7/Pk6/8 b - -,b2a2
8/6k1/6P1/6K1/8/8/8/8 b - -,g7g8
r1bqkb1r/pppp1p1p/2n2np1/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq d3,e5d4
8/6b1/1p1k2p1/pn1pN1P1/5P2/8/2K3B1/8 w - -,e5g6
8/8/p1p1kR2/3p3p/rP1Bb3/2P4P/7K/8 b - -,e6d7
r5k1/1p4p1/5p2/p3rNnP/Pn3K2/3pP2B/1P6/R6R w - -,h3g2
r4rk1/pb1n1pp1/1qp1p2p/3nP3/1b1PN3/3B1N2/1PQ2PPP/R1B2RK1 w - -,c2e2
2r2rk1/pp1nppbp/6p1/3P4/4N3/2BnN2P/PP3PP1/R2R2K1 b - -,g7c3
rnb2rk1/pp3ppp/2p5/2bPn3/5B1q/2NB1P2/PPP1N1PP/R2QK2R w KQ -,f4g3
4q2k/1p2r1p1/p1p2p2/3p2rp/3P2Pn/Q3PP1P/PP2R3/3R1N1K w - -,e2f2
4R3/1pp4k/p7/P4Np1/4PnK1/7P/8/2r5 w - -,g4g5
rn2kb1r/pp3ppp/2p1pn2/5b2/1q1P1B2/1BN5/PPP1NPPP/R2Q1RK1 b kq -,f8e7:b4b6
r1bqk1nr/p2pppbp/2p3p1/8/2P1P3/8/PP3PPP/RNBQKB1R w KQkq -,b1c3
8/8/2rk2pR/3Pp3/4Pp2/P4P1P/6PK/8 w - -,d5c6
r2qk2r/1ppbbppp/p1np1n2/8/B1PNP3/2N5/PP3PPP/R1BQ1RK1 b kq -,e8g8
5qk1/R4pb1/1r1p1np1/1brPp2p/2p1P3/2P2NNP/1PBQ1PP1/R5K1 b - -,g7h6
3k4/pb1P4/1p5p/2p3p1/2P2r2/P3rBK1/3R2PP/3R4 w - -,d2e2
8/8/1Npk3p/p5p1/2bP4/4K2P/2P3P1/8 b - -,c4f1
r5kr/1p6/p1n1q1p1/3nPpPp/5Q2/4R3/PP1B1PB1/R3K3 w Q -,f4c4
1r1q1rk1/pp4bp/1n1pb1p1/2p2p2/2P1n3/1PN3P1/P1QN1PBP/R1B2RK1 w - -,d2e4
1r3rk1/pPpbq1bp/3p2p1/3Pp3/2P3P1/B3QP2/P5B1/R4RK1 w - -,c4c5
r1bqr1k1/pp1nbppp/2p2n2/3p4/3P4/2N2NP1/PPQBPPBP/R4RK1 w - -,f1e1
r3r3/pp1b2bk/4nppp/1P2p3/P2pPP1N/3P2P1/2RB2BP/5RK1 b - f3,e8c8
5r2/1p5p/p1k1n1p1/8/8/2P1RpKP/PP3P2/8 b - -,f8f6
r1bqk2r/ppp2ppp/2n4n/2b3N1/2BpP3/8/PP3PPP/RNBQ1RK1 w kq -,g5f7
r1q1kb1r/1ppnppp1/p4np1/3P2P1/2B2B2/2N4P/PPP1QP2/2KRR3 b kq -,h8h3
1r1q1bk1/3b1r2/3p1nn1/pP1Pp2p/2N1Ppp1/1Q1N1P2/1P2BBPP/2R2RK1 w - -,b5b6
2b2rk1/4pp2/pq1p1bp1/3P4/r2N4/2P1R1Q1/P3B1PP/5R1K w - -,d4c6
8/ppnk4/7p/3PP3/1P3pPn/1K1R3R/8/4r3 b - -,f4f3
2r2rnk/3bqpb1/2p3pp/Pp5n/3pP3/1Q1P1NP1/6BP/RRBN2K1 b - -,c6c5
8/5k2/pBp2p2/P2r2pp/2b5/5P1P/1R4P1/4K3 b - -,c4d3
8/8/8/3R4/1r6/K1b5/2k5/8 b - -,b4b6:b4c4
2r5/7p/1p1B2k1/4P1b1/1K1N2b1/P5R1/7P/8 b - -,g6h5
r3r1k1/1pqb1pbp/p1n2np1/2p1p3/2N1P2N/1PP2PP1/PB2Q1BP/R4RK1 b - -,g6g5
5nk1/6pp/3qp3/2pp4/b1P5/3PP1P1/3NQ1BP/6K1 w - -,d3d4
6k1/1p3pb1/2n3p1/4P2p/2b1NP2/2PrB3/1P4BP/R5K1 w - -,g1f2
8/7R/3k1p2/6p1/6P1/5b1P/5b1K/8 w - -,h7f7
5rrk/1pp5/1q5p/pPbP2B1/4Q1pP/8/P3RP2/3R1K2 b - -,h6g5
1R6/8/3rk3/4pp2/6p1/6P1/5PK1/8 w - -,b8b5
5r1k/p5pp/Bb4r1/4n1q1/PP3p2/2P2P2/4Q2P/R1B2R1K w - -,c1d2
5B2/1Pk5/5pp1/3K4/7P/6b1/8/8 w - -,b7b8q
2r2rk1/pp3ppp/2n2q2/3p1b2/4n3/1NPBPN2/PP4PP/R2Q1RK1 b - -,f6h6
4rrk1/pp3qp1/2p4p/4p3/nP2Q3/P4PP1/1BR1P1KP/4R3 b - -,a4b2
1r2r1k1/4bpq1/1p2pnp1/3p4/1PP2P2/2N1Q1PR/4BPK1/7R w - -,e3e5
r1bq1rk1/pp2ppbp/3p1np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 b - -,a7a6:d8a5:f6d7:d8c7:c8e6:c8f5:a8b8
8/p1p5/1p1P1k2/2P4n/PP4p1/4K3/6B1/8 b - -,f6e6
3rr1k1/pbp2ppp/1p2p3/4R3/3P4/PP6/1BP2P1P/R5K1 w - -,c2c4
r4rk1/ppp2ppp/4b3/1P6/P1q5/4B3/5PPP/2RQ1RK1 b - -,c4e4
r3k3/1p1b1p2/pqn1p2p/3pP3/5P2/2P3rN/PP1Q2P1/R2K1B1R b q -,c6e7
4rqk1/3r1pbp/1p4n1/pPp1pRB1/P1PpP3/3Q2P1/4P1NP/5RK1 b - -,e8e6
1r4k1/p6p/4p3/1pRbRp2/7P/P4P2/8/6K1 w - -,g1f2
r2r2k1/1bqn1pp1/4pb1p/p1pn4/PpN4P/3P1NP1/1PQBPPB1/2RR2K1 b - h3,b7c6
4k3/7p/3b2p1/3Ppp2/P2pP3/4r1P1/2R2NKP/8 b - a3,f5e4
2k1b2r/1p1n1p2/p3p3/4p1b1/4P1P1/3N2B1/PPP3B1/3K1R2 b - -,f7f6
1Q6/3q2k1/5b2/p1pP1pNp/P1P4P/5KP1/8/8 w - -,g5e6
2r3k1/4bp2/4p1p1/q1N4p/2QPPP1P/p5P1/2R2K2/8 b - -,c8c6
4Q3/6kp/3q1p2/ppnP1p2/2p5/2P2B1P/6P1/7K b - -,d6d7
8/5k2/4p2p/8/5P1K/8/2B1b3/8 b - -,f7f6
2r3k1/8/8/7p/1PN2PpP/bK1N4/P4P2/8 b - -,c8d8
r1bq1rk1/ppp1ppbp/2n3p1/1P6/2Pp2n1/3P1NP1/PB2PPBP/RN1Q1RK1 b - -,c6b8
