8/8/5pk1/8/5R1P/5PK1/1r4P1/8 w - -,g3h3
r1b2rk1/5ppp/p3p3/3n1N2/2p5/P1P2P2/2PB2PP/2K1R2R w - -,f5d6
1rb2rk1/p4pb1/1qn1p1p1/3pP1Bp/2pP2nP/2P2NPB/P4P2/R1NQR1K1 b - -,b6b2
r2qkb1r/pp1np1pp/2pp1n2/6B1/2BP2b1/2N2N2/PPPQ2PP/R4RK1 b kq -,d8b6
r5k1/1p2bppp/8/2P1P3/1p1Rn1b1/4PNP1/6BP/2B3K1 b - -,a8a1
8/pp4pp/2bkpp2/4P3/3K1P2/P7/BP4PP/8 b - -,f6e5
2b1rk2/5p1p/5Kp1/3p4/1R1N3P/1P3P2/2P3P1/8 b - -,c8a6
r1b1r1k1/1p1n1ppp/7q/1P1p4/N2Pnb2/1Q3N2/PBR1BPPP/4R1K1 w - -,e2d3
6k1/p1R5/6p1/1p5p/4Pr1P/1P6/P5PK/8 w - -,c7a7
r1b2rk1/ppqnppbp/2p2np1/8/3P4/1BNN4/PPP2PPP/R1BQ1RK1 b - -,d7b6
8/5qbk/8/5p1p/pn4p1/P2RP3/1rN2PPP/3Q2K1 w - -,c2b4
r1q2rk1/ppp1n1bp/3p1np1/1PP1p3/5p2/2NP1NPb/P2BPPBP/1RQ2RK1 w - -,c1a3
3rk2r/p4ppp/q1p1p3/2PnP3/2bN4/P5P1/5PBP/R2QR1K1 w k -,d1g4
2r2rk1/1pqb2pp/p1nbpn2/3p4/3P4/2NBBN1P/PP3PP1/2RQ1RK1 w - -,c3a4
5k2/5p1p/pn1r2p1/5r2/P2P4/2PBKP2/4R2P/2R5 b - -,f5a5
2r3k1/5p1p/2B1pqp1/8/P7/1b4PP/5P2/R1Q3K1 w - -,a1a3
1r3rk1/1bqpnppp/pp2pn2/8/P2P4/Q1P2N2/1P1N1PPP/2R1RBK1 b - -,e7g6
1r1qk2r/2p2ppp/Qpnb4/3p4/2pP1B2/P4NP1/1Pb1PPBP/R4RK1 b k -,d6f4
6k1/1p3pp1/3q4/1B1P1b1p/4pP2/r1r1P3/1R1Q1KPP/4R3 b - -,c3e3
2r2rk1/5ppp/p2Pp3/1p6/3P1P2/PQBqP3/5R1P/R6K w - -,a1c1
2q2rk1/3b1pbp/1p1p1np1/3Pp3/1NN1P3/1P4PP/5PB1/Q4RK1 b - -,d7h3
r1b3k1/1pqrbppp/p1nppn2/6B1/3NP3/1N3P2/PPP3PP/2KRQB1R w - -,g5e3
3r2k1/R4R2/4p1p1/1p2Pn2/5P1p/5b2/PPP5/1KN5 b - -,h4h3
6k1/1p3p2/6p1/1Ppnr2p/7P/R3PbP1/4N2K/3B4 w - -,e2c3
8/7p/3n4/6P1/5k1P/3K1p2/7N/8 b - -,d6e4
6k1/3P4/2K5/p3b3/8/1b4P1/7P/8 b - -,b3a4
r1b4r/1p1k1ppp/p2p2n1/1N2p3/2P1n3/P4PB1/1P2P1PP/2KR1B1R w - -,b5d6
2r5/4kp2/p3b1pp/n1p5/1P2N3/1P2P2P/2B1KPP1/1R6 b - -,c5b4
8/6k1/R6p/p2r4/6PK/8/8/8 w - -,a6a7
4r1k1/bp6/p3p3/2pnP1Pp/3pR2Q/3q1P2/PP1B1P1K/R7 b - -,d3d2
3rr2k/p5R1/1p3p2/8/7p/P1PB1n1P/2P2P2/6RK b - -,f3g1
r5k1/p3ppbp/3p2p1/N2N4/2P1P1b1/4B3/Pr3PPP/R4RK1 b - -,g8f8
r1bq1k1r/1p2b1p1/2n1pp2/p1PpPn1p/P4Q2/1N3N1P/1PP2PP1/R1B1KB1R b KQ a3,g7g5
r3kb1r/1bq2ppp/p2pp3/npn3P1/3NPP2/P1N1BB2/1PPQ3P/R3K2R w KQkq -,d2f2
2R2r1k/6pp/5q2/pp1B4/1b6/1P4P1/P1Q1PP1P/6K1 w - -,c8f8
8/p1k2p2/3N4/K3n1p1/1P1nP3/8/8/3B4 w - -,d6e8
r2qk2r/4Nppp/p1bppn2/1p6/4P3/1B6/PPP2PPP/R1BQR1K1 b kq -,d8e7
2r1r1k1/1b1nqppp/1p1pp3/p3P3/1nPP4/1PN2NPP/3Q1PB1/3RR1K1 w - -,c3b5
8/2R4p/4k1p1/3p2B1/Kb1P4/2p5/1r3P2/8 b - -,b4d6
1qrrnk2/1p3pPp/1P1p4/1P1np3/7P/5P2/3QB1P1/R2R2K1 b - -,e8g7
r2qr1k1/pb2bppp/1pn1pn2/3p4/2PP4/PP1B1N2/1B1NQPPP/R4RK1 w - -,a1c1
1r4rk/3p3p/2bPpp2/Q7/3qPR2/P5P1/6BP/2R4K w - -,a5c3
1r3r2/p1n1p1bk/3p2pp/1Ppq1p1n/P7/3Q1NPB/3BPP1K/3R1R2 w - -,d3d5
2r3k1/3q1pp1/2pP4/rp2p1p1/n3P3/1BB1QPPn/1P4KP/R2R4 b - -,a5a8
5qk1/4rp2/Q3p1p1/2p1P3/2Pp4/3B2R1/5PP1/3b2K1 w - -,a6a5
r1b2rk1/pp4p1/3p1n2/q1p2PB1/2P1p3/P1P3QN/6PP/R4RK1 b - -,f6e8
8/5k2/1qr1p1p1/p2p1p1p/b2P1P1P/P2BQ1P1/1P1R2K1/2R5 b - -,c6c1
rn1q1rk1/1ppbbppp/p3pn2/8/P1QP4/5NP1/1P2PPBP/RNB2RK1 b - -,d7c6
1r1r3k/6Rp/3pQ3/n4BP1/4Pp1P/1p3P2/1P6/4K1q1 w - -,e1e2
r2q1rk1/p4pb1/bp4pp/2pP4/4B3/2P4P/PP1N1RP1/R2Q2K1 b - -,f7f5
8/3K2k1/r4R1p/2b5/4B3/5N2/8/8 b - -,g7f6
rnbqkbnr/pp2pppp/3p4/2p5/4P3/P7/1PPP1PPP/RNBQKBNR w KQkq -,b2b4
r1bqk2r/ppb2ppp/2pp1nn1/4p1B1/2N1P2N/1BPP4/PP3PPP/R2Q1RK1 b kq -,g6f4
r1bq1rk1/3n1ppp/p3p3/2bpP3/1p1B1P1P/2N5/PPPQ2P1/1K1R1B1R w - -,c3a4
6rk/1p2q3/p1p1nb1r/2Pp1p1n/PP1PpP1P/R6P/5QNK/3RB2B b - -,e7c7
r4rk1/pp1nqpbp/2pp1np1/4p3/P1BPP3/2N1B2P/1PP1QPP1/R4RK1 w - -,d4e5
4rq1k/1ppn1p1n/6R1/r3PN2/1p1Pp2Q/1B5P/PP3PP1/6K1 w - -,g6h6
8/r4p2/4pKpk/p7/R1Pp4/8/8/8 w - -,c4c5
r1bqk2r/ppp1p1bp/2n2np1/3p1p2/3P4/1QP3P1/PP1NPPBP/R1B1K1NR w KQkq -,g1h3
r2qb3/4k3/1p1p1p2/pNrPn1p1/P1P1PpPp/2R2P1P/1QR1B1K1/8 b - -,a8b8
r3kb1r/2q2p1p/p1p3b1/2ppp3/6N1/4P1N1/PPP2RPP/R2Q2K1 b kq -,e8c8
r2r1bk1/3n1ppp/1qnpb3/p5P1/2P1PN2/1PB3NP/6B1/R2Q1R1K b - -,d7e5
6rk/1p3p1p/2pN4/p1P1P3/5n2/5r2/PP6/1R3B1K w - -,d6f7
5k2/6p1/p3n2p/3pB3/B1p3Pb/2P4P/PP4K1/8 b - -,f8e7
2kr3r/pppqbp1p/4b1pB/3pP3/1P3Q2/P2P1N2/5PPP/R4RK1 w - -,a3a4
8/R7/6k1/1p6/4p3/pr4P1/5PK1/8 b - -,b5b4
r4r2/1pP3bk/2bp2p1/6q1/P2P1p2/1Q3R2/1P1BN1PP/R5K1 w - -,f3g3
8/1p6/p1r2k1r/3bp2P/P4p2/1P3PN1/2P2R2/R3K3 w Q -,g3f1
8/5pk1/4b2p/R4P2/3p4/p2P2P1/4BK1P/r7 b - -,e6b3
4rbk1/pp3p1p/2np2p1/2pq4/Q7/N1P2N2/PP3PPP/R5K1 w - -,a4b5
rn1k2nr/ppp3bp/4bpp1/4p3/2P1P3/2N2N2/PP1B1PPP/R3KB1R w KQ -,a1d1
1r4k1/3q1p1p/2b1pBp1/p1PpP2P/1p1P2P1/3Q4/P4PK1/7R w - -,d3e3
8/1b1k1p2/p2p2p1/3N4/1P1KP3/8/P4b2/7B w - -,d4c4
r2q1rk1/ppn1ppbp/2ppbnp1/3P2B1/2P1PP2/2N2B2/PP1Q2PP/R3K1NR b KQ -,c6d5
7k/1R1R4/p1p3p1/8/4prBK/1P6/P4r2/8 w - -,h4g5
r2r2k1/2qnbpp1/1pp1b2p/2P1p3/1P2N3/4B1P1/2Q1PPBP/3R1RK1 b - -,a8a2
2r3k1/3r1pp1/5b1p/1R2nPP1/3Np3/2P1B3/1P6/1R3K2 b - -,h6g5
r3r1k1/4q1p1/2p3np/4N3/3Ppp2/4P3/2Q2PPP/1RR3K1 b - -,g6e5
3r4/Rpkn1p1p/2p1b1p1/2P1p3/1PN5/2K3P1/4PPBP/8 b - -,e6c4
4r3/n2kb2Q/2p1p2p/NpPp2q1/1P1P1R2/8/7P/5R1K b - -,e8g8
rn1qkbnr/1b1p1ppp/p7/1p2p3/3NP3/2NB4/PPP2PPP/R1BQK2R w KQkq e6,d4f5
4q3/5pk1/3b3p/2pP1QpP/1pPp2P1/1p6/P2P1N2/3K4 w - -,a2b3
1q1rkb2/1b3pp1/p3p2r/7p/NnBN1Pn1/1P2P3/1B2Q1PP/2R2RK1 w - -,b2c3
1rbqkb1r/ppp3pp/2n1pn2/3p1p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w k -,c1f4
r1bq2k1/2b2p1p/p4p2/2PpR3/8/2NB4/P4PPP/1R1Q2K1 b - -,c7e5
3rr2k/1pq2b1p/p5pb/4pp2/2P5/1N1B1P2/PPQ3PP/3R1R1K w - -,c4c5
4r1k1/7p/P5p1/3n1p2/3Np3/6P1/5PKP/r1R5 w - -,c1a1
2b2rk1/2n2ppp/2n2b2/1pp1P3/8/5N2/1PB2PPP/2BNR1K1 b - -,f6e7
8/b3B1k1/4p1p1/pBn4p/1p2PN2/1P2K1PP/P7/8 b - -,c5b3
8/8/1pk5/4K3/pPP5/P7/8/8 w - -,e5e6
rn1qkb1r/1b3pp1/p2ppn2/1p4P1/3NP3/2N1B3/PPP2PB1/R2QK2R b KQkq -,h8h1
6k1/2p2pp1/8/2P1b1Pp/pP6/P7/2p1KPP1/2BrR3 b - -,d1d5
5r2/1R6/8/8/2k2P2/5K2/1P6/8 b - -,c4d5
2rq2k1/p3rppp/2p1p3/4Q1Pn/2BP4/P7/1P3P1P/2RR2K1 b - -,g7g6
r2r4/7k/6pp/pP2Pn2/P1p2P2/3p4/5P1P/3R1B1K b - -,a8c8
2rr1bk1/pp1q1pp1/5n1p/n2p4/3P4/P1NQBB2/1P3PPP/3R1RK1 w - -,f1e1
r1b1r1k1/pp3p1p/6pR/2p5/q7/P2B2Q1/1PP2PPP/2K4R w - -,h6h4
3r1rk1/1p2bp1p/2b1p2P/4P1p1/1q1P2Q1/1p1B2R1/5PP1/5RK1 w - -,g4h5
kr5r/p1p4q/Q1P1p3/1RRn1pp1/1bnP3p/4P1P1/P2B1PBP/6K1 w - -,b5b7
3r1rk1/1pqn1ppp/2pbpn2/p7/2PP4/1PBQ1NN1/P4PPP/3RR1K1 b - -,d6b4
5rk1/6p1/p6p/8/3RQ1n1/4n1P1/q3PP2/2R3K1 w - -,f2e3
r2q1rk1/pp2nppp/2n5/2b5/QP1p4/5NP1/P2BPPBP/1R2K2R b K b3,c5b6
5r2/4Qpkp/3R2p1/8/4Pq2/7P/6P1/7K w - -,e4e5
5r2/ppb4k/4prp1/2PpRnqp/3N4/2PQ3P/PPB2BP1/5RK1 b - -,c7e5
r2qkb1r/pp3p2/2n5/4pR2/8/1N2P1p1/PPPN3P/R2Q2K1 w kq -,h2g3
1r1r1bk1/1n3ppp/1Bqpn3/p3p3/P1P1P3/2N2P2/Q5PP/1R1R1BK1 b - -,d8c8
r5k1/p1Rb2p1/3p3p/Pr1P1p2/3P4/4B3/5PPP/R5K1 b - -,d7e8
6k1/5pp1/3p3p/1p1PqN2/1P2P3/p2n3P/4Q1PK/8 w - -,g2g3
r5r1/1pp1kp2/p2b1p2/4p2p/4P3/3B1PPb/PPP1N2P/2KRR3 w - -,d3c4
r4rk1/pp3p2/2n2Q1p/q1P2bp1/4p3/4P1B1/PP2NPPP/R4RK1 b - -,f5g6
r4rk1/pp2bppp/4p3/1P2B3/4P3/Pb3P2/4B1PP/R2R2K1 w - -,d1d7
rr4k1/p4p1p/2R1p1p1/B7/1P1b4/8/1PR1KPPP/8 w - -,e2d3
5rk1/q5pp/r4n2/p1pPp3/Pp2P3/8/1P1NQ1PP/R4R1K w - -,a1c1
8/8/3pk3/4p1n1/6r1/2P5/1P3KNr/R5R1 b - -,e5e4
1k2r1r1/pppqbpp1/3p4/3P4/2P2P2/1P1QP1Pp/PB3R1P/4R1K1 b - -,d7g4
5r2/6k1/pP4q1/P1p1p1Bn/2PpB1QP/3P4/5r2/1R4K1 b - -,f2f5
8/8/3kP1p1/6K1/6Bp/7P/8/6r1 w - -,g5h4
2b2r1k/r3Npbp/p2p2p1/q1pBn1B1/Pp2P3/6P1/1PP2P1P/1RQ2RK1 w - -,f2f4
5rk1/1b2qppp/pp1bp3/3nN3/P1rP4/1Q3BB1/1P3PPP/5RK1 w - -,e5c4
r3r1k1/1p2qpb1/p5pp/1n1ppn2/N7/3PP1P1/PPQB1P1P/2R1NRK1 w - -,c2b3
r4kr1/5p2/b1pNp3/8/P7/5p2/2P2PPP/3RR1K1 w - -,g2g3
4r1k1/4P1p1/1pp1R2p/p4R1P/P7/8/4K3/1r6 b - -,c6c5
r1bq1rk1/pp4pp/2pbp3/3pNp2/1PPPn3/2Q3P1/P3PPBP/1RB2RK1 w - -,c3c2
3q2k1/1p3p1p/5bp1/pP1p1n2/3P4/P2QB2P/4NPP1/6K1 w - -,e3f4
3r2k1/1prq2bp/3Pp1p1/p3P3/P3Q3/B4R2/6PP/3R2K1 w - -,d6c7
4r3/1p3k1p/p4bp1/3p1p2/3P1P2/2B5/PP3KPP/2R5 w - -,f2f3
r3kb1r/pp2p1pp/1q4p1/2nn4/2B5/4P2Q/PP1N1PPP/R1B1K2R b KQkq -,e7e6
4r2k/2p4p/1p1p3b/p2P1NP1/2P2P2/5K2/P1R1n3/8 b - -,e2g1
1k6/p7/5p2/2p5/p7/2Pn4/1P1r1P2/1R1N1K2 b - -,b8c7
rn2kb1r/2qp1ppp/p3p3/1p1bP3/3N4/5B2/PPP2PPP/R1BQ1RK1 w kq -,f3d5
r1r3k1/1b1p1ppp/p3pn2/1p2n3/3NP1P1/P1P1BP2/2P4P/1K1R1BR1 w - -,b1b2
r3r3/1n1n1pkp/6p1/p2p2P1/2pP4/P1q1PPN1/4R1QP/4R1K1 w - -,g2h3
r1bqr1k1/1p3pbp/p2p1np1/2nP4/P1p1PP2/2N4P/1PB1N1P1/R1BQ1RK1 w - -,e2g3
6k1/p1p3p1/8/1b6/3B4/P6P/6P1/6K1 w - -,d4a7
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/2N1BP2/PPPQB1PP/R4RK1 b - -,a7a6
8/4k3/5p1R/2p3Q1/1p1b2P1/1P1q4/8/7K w - -,g5g7
r2qk2r/pp2bppp/4p3/3bN3/3P1B2/3R4/PP2QPPP/2R3K1 b kq -,e8g8
2q2rk1/2p2p1p/p1np1pb1/1rb1p3/B3P1P1/2PP1N1P/1P1N1P2/R2Q1RK1 w - -,a4b5
r6r/p1p1kp2/np2p1pp/n2pPP2/3P2P1/P1P1B3/2PN3P/1R3RK1 b - -,a8g8
5r2/7k/p2p1bRp/2p2p2/Pn3P2/4BP1P/7K/6R1 b - -,b4d5
6rk/1pp1qp2/p2p1n2/4p1rp/1P1PP1p1/2P3N1/1P1Q1PPP/3RR1K1 w - -,d4e5
2kr3r/1bp2ppp/p1q1pn2/1p2P3/8/P1NB1P2/1PPQ2PP/R3K2R b KQ -,f6d7
8/1q6/k1b1p1p1/PpPpPpPp/1K1P1P1P/Q2B4/8/8 w - -,a3a1
3r3r/1pk2pp1/2p4p/p1N5/P5n1/6P1/1P2PPbP/R1R3K1 w - -,g1g2
7k/8/p4r1p/2R2p2/8/4P3/4K1P1/8 b - -,h8g7
r2q1rk1/pp3ppp/2npbb2/4p3/4P3/2N2N2/PPP1BPPP/R2Q1RK1 w - -,c3d5
3r4/1p3kpp/p2b4/3KP3/6P1/P3B2P/1P6/8 w - -,e5d6
r1bq1r2/pp1pnpbk/2n1p1pp/2p5/2P1N3/3P1NP1/PP1BPPBP/R1Q2RK1 b - -,d7d6
2r4r/pp3p1n/3pk1p1/3Np3/2NnPP2/8/PPPR3P/2K4R w - -,c4e3
1rbq1rk1/2pnnpb1/pp1pp1pp/8/P1PP4/1PN2NP1/4PPBP/1RBQR1K1 w - -,c1a3
r3r1k1/1pqbbppp/p1npp1n1/5P2/4P3/1NNBB1Q1/PPP3PP/4RR1K b - -,e7h4
r1r3k1/p1qn3p/1pp1bpp1/4p3/1PN1P3/R1QP3P/2PN1PP1/1R4K1 b - -,c8b8
1Rr4k/6p1/3p4/4pPbp/2q1Q3/5P2/6PP/3R3K b - -,c4c7
8/3k1p2/r1nP2p1/4P3/P4P2/6P1/8/R6K b - -,d7e6
r4rk1/ppp1np2/2n1q1pb/3p3p/3P3P/P2BPP2/1PQBNP2/R3K2R w KQ -,f3f4
3r1rk1/1pp2ppn/pb3q1p/8/2Q2B2/6NP/P4PP1/1R3RK1 w - -,c4e4
2k2r1r/pp2b3/1qn1p1pp/3pP3/3P2P1/P1B1Q3/1P1N1P2/R4RK1 b - -,g6g5
8/8/8/3k4/5K2/8/6rp/7R w - -,f4f3
r4rk1/2qb1ppp/4p3/p7/4n3/Q2N1P2/PP2BBP1/R3K3 w Q -,f3e4
br3rk1/2q2ppp/3bp3/2n5/B1PN4/4BP2/1P3QPP/R4RK1 w - -,g2g3
2kr4/ppp3pp/5p2/4r3/7R/8/PP3PPP/5RK1 w - -,h4h7
4rrnk/p1q2Nbp/1p1pP1p1/2pn2B1/P4P2/3B3P/1P3QP1/4RRK1 b - -,f8f7
3r4/7p/p2pk2n/1p1Rp1P1/4Pp1P/P1PR4/1PK5/8 b - -,h6g4
r3k2r/ppqb2pp/4pb2/2Bp3P/3n4/3B4/PP3PP1/2RQ1RK1 w kq -,c5d4
8/8/p3b2p/1pr1PBpk/8/6K1/1P6/5R2 b - -,e6f5
8/4kp2/8/7K/4P3/5P1Q/8/3q4 b - -,d1d6
r1bq1rk1/2p1bpp1/p1np1n1p/1p2p3/4P2B/1BPP1N2/PP3PPP/RN1QR1K1 w - -,b1d2
r2bkr2/5p2/p1b1p2Q/4qp2/1R6/3B2NP/2P2PP1/1R4K1 b q -,d8c7
2r5/2Pk4/1r2ppp1/1pR3p1/1P2p1K1/7P/5PP1/2R5 w - -,h3h4
4r1k1/pp4p1/6p1/3p2Pp/3PqbbP/4N3/PP1QBP2/6KR w - -,e2g4
2br4/p3ppkp/2p3p1/1p1qP3/r4P1N/2PPR2P/P1Q2RP1/7K w - -,d3d4
2q1rbk1/1p3ppp/1P2p1b1/3n4/2Np4/1Q2PB1P/1B3PP1/2R3K1 w - -,b2d4
r1b1k2r/ppp1qp2/2np1n1b/4p3/2B1PPpp/2PPB3/PPNNQ1PP/R4RK1 b kq -,c8d7
r2qnrk1/3nbppp/bpp1p3/p2pP3/2PP4/1PNQ1NP1/P4PBP/R1B2RK1 w - -,h2h4
7r/p4ppp/2n1kp2/3N4/4p1b1/8/PPP2b1P/2KR2NR w - -,g1e2
5r1k/ppp3p1/4p1P1/3pP2p/2P1nB1P/4P3/PPK5/6R1 w - -,c4d5
2rn2r1/1p2q1pk/p1p4p/P1bp1p2/1P1PpP2/2P1B1PP/2Q4K/1R2R3 w - -,b4c5
2r4k/N1r3pp/1n1b1p1q/1Q1p4/3P1Pb1/1P2PN2/P4PBP/2R3RK b - -,c7c1
4rrk1/p4ppp/2p4n/2PpP3/3B2Pq/2N2P2/PP4QP/R4K2 b - -,e8e6
r3k2r/4qppp/p1pp1n2/1p2p3/6b1/1P1PPN1P/PBP2PP1/R2QK2R b KQkq -,g4h5
8/5kp1/4p3/3p3P/4rrP1/2P3Q1/2K5/8 w - -,g4g5
8/8/8/R4p2/4pk2/8/3r1P2/5K2 w - -,f1e1
4rrk1/pbp3pp/1p1p1q2/3P4/2PN1p2/2Q2n2/PP3PPP/4RRK1 w - -,d4f3
n3r3/2r2Nkp/6p1/pPBpN3/3P4/1PP5/4pKPP/4R3 w - -,e1e2
2rq1rk1/pb2bppp/2n1pn2/1ppp4/5PP1/3PPN1P/PPP1N1B1/R1BQ1RK1 w - -,e2g3
rnb2rk1/ppq1ppbp/2pp1np1/P7/3PP3/2N1BN1P/1PP2PP1/R2QKB1R b KQ -,e7e5
q3n3/4r1p1/1p2kpB1/b1p1p3/2P1P1QN/6PP/5P1K/8 b - -,e6d6
rnbqkb1r/1p1p1ppp/p3pn2/8/2PN4/P5P1/1P2PP1P/RNBQKB1R b KQkq -,d8c7
5r2/1kp5/1n1q4/1P1r1p2/5Pp1/6Pp/2Q2R1P/2R2BK1 w - -,c1a1
2rqk2R/1b4b1/pn4p1/4p1P1/n2pP3/2P3N1/P2Q4/1NKR1BB1 b k -,g7h8
r1bq1rk1/pp2ppbp/2n3p1/8/3PN3/2P3P1/P4PBP/R1BQ1RK1 b - -,a8b8
2rr2k1/pbp2pp1/1p2pn2/4R3/3P3P/6Q1/P1PN1PP1/R5K1 w - -,c2c3
1q3rk1/3nbppp/1n2p3/r2p4/8/PQN1P3/1B2BPPP/R4RK1 w - -,f1b1
8/8/R7/p1p5/2r1k1p1/2P3K1/8/8 b - -,a5a4
r2r1bk1/1p6/2pp3p/p5p1/P1P1BB2/1P4Pb/4RP2/3R2K1 w - g6,f4c1
4r3/1p1nrp1k/p1qp2p1/2P3Pp/4PP1P/P1P1RQ2/2N1R1K1/8 b - -,d6c5
r2q1rk1/pp1nbppb/2p1pn1p/3p4/2PP1P1N/1P4P1/PB1NP1BP/R2Q1RK1 b - f3,f6g4
8/1P1n4/5k1p/3K4/8/8/8/8 b - -,f6e7
6r1/P3p2p/1N1p1k2/5p2/2R1b3/4K3/P6P/8 b - -,e4b7
8/1p5p/1p3kp1/pPr1p3/P2bRP2/6P1/6KP/4R3 w - -,f4e5
5k2/6p1/6K1/6P1/7P/2n5/8/8 w - -,h4h5
3r2k1/1r3p1p/4pbp1/pp6/2pPRP2/P1P4P/NP4P1/4R1K1 w - -,g2g3
8/3k2K1/3r2p1/6B1/4R1P1/1b6/5P2/8 b - -,b3c2
8/nP1r1kpp/5p2/2B1p3/4P2P/2P2PP1/R7/6K1 b - -,a7c6
r1r1n1k1/1p1bppbp/1q1p2p1/3P4/pn2P3/1NN1BQPP/PP3P2/R3RBK1 b - -,b6d8
r1b1k2r/pp1n1ppp/2p1pn2/q7/1bpP4/2N1PN2/PPQB1PPP/R3KB1R w KQkq -,f1c4
2r2rk1/1p2bppp/p5q1/2n1pR2/6P1/1P2B3/1PP1Q1BP/2KR4 w - -,f5e5
6r1/p4p2/5k2/4p3/P1p1P2p/2P2P2/3K2P1/5R2 w - -,f1f2
6rk/1P1b1pq1/2p1pbn1/3p1p1p/3P1Br1/5NP1/3QNP1P/R3R1K1 b - -,g6f4
rnbq1rk1/p4ppp/1p2pn2/3PN3/1p1P4/6P1/PP2PPBP/RN1QK2R b KQ -,e6d5
2r2rk1/p3qp2/1pn1p1pb/2ppPnNp/3P1P1P/P1P4Q/1P3BP1/2R1RNK1 w - -,f1e3
r4rk1/p2b1pbn/1qpN1np1/8/3Np2p/1Q2P3/PB2BPPP/2RR2K1 w - -,b2a3
3nr1k1/1p3r1p/pP1q2pQ/P2bp3/3p4/3P2PB/4NP1P/1R3RK1 w - -,f2f4
