5r2/4RPk1/6p1/4Q3/5P1p/1q5P/6PK/8 b - -,g7h7
r1r1q1k1/5pp1/1p1n1n1p/b1pp4/P1P5/1Q1R1NP1/PBN1PPKP/5R2 w - -,c2a3
1r4k1/4bpp1/2p4p/p1n1P3/P3P1P1/NP3P2/4K2P/3RN3 w - -,a3c4
1r1q2k1/2nN2b1/3p2p1/2p5/P3P3/6P1/1pQ2PK1/R1B4R w - -,a1b1
b2r2k1/p2q1pp1/1n2p2p/4P3/7P/P5P1/1Q3P2/2R1NBK1 w - -,b2e2
4r3/p3rpp1/1p1kP2p/n1p5/P1P2P2/B1PK4/4R1PP/4R3 b - -,e7e6
8/5p2/4k3/5P2/3b2K1/3N4/4P3/8 b - -,e6e7
rn1qkb1r/pp2pppp/2p2n2/3p4/6b1/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq -,f1g2
r1bqk1nr/ppp1ppbp/2np2p1/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,c8g4:e7e5
4k3/4P2p/3p2p1/1N6/2P4P/3R2P1/2r1BK2/1q6 b - -,e8e7
1r1q1rk1/5pb1/Q2p2p1/1Bpb4/5P2/7P/PP1B3P/R3KNR1 w Q -,f1e3
8/5R1p/1p1b2pk/p4p2/P3p3/4P2P/5PP1/6K1 w - -,g1f1
r3k1nr/pppq1pbp/2np2p1/4p3/2P5/1PN1P1Pb/P2PNPBP/R1BQ1RK1 w kq -,c1b2
8/8/6p1/5k1p/3bp2P/6P1/2R5/1r2BK2 b - -,e4e3
2r1nrk1/1pqbbppp/p1npp3/2p5/4PPP1/3PBNNP/PPP3B1/R2Q1RK1 b - -,b7b5
8/PR6/2N2k2/1Pb5/7p/r6P/8/5K2 b - -,c5a7
1r3k2/1pRRrp2/p5pp/8/8/P2K4/6PP/8 b - -,e7d7
2rr1k2/p4pbp/2bp1np1/qp2p1B1/4P2P/P1N2B2/1PPQ1PP1/3RR1K1 b - -,h7h5
r4rk1/5pb1/1qppbnpp/4n3/1p2P2B/P1N5/1PQNBPPP/3R1R1K w - -,a3b4
8/8/p4k2/1p2p3/1P2P1K1/P1NP4/2b5/8 w - -,c3d5
3qrk2/p3p1bQ/3p4/1prN1bp1/2n1P1p1/3B1P2/PPP5/1K5R w - -,h7f5
8/3q2pp/6k1/8/3P1P2/b4K2/7P/1Q6 b - -,d7f5
4r1k1/4rppp/3p4/pp1PbP2/3pRN2/6P1/PPP4P/2KR4 w - -,f4d3
4rnk1/5qbp/1pb1p1p1/p1p1P1PP/P1Pr1PQ1/1P1p2N1/3B3R/3BR1K1 w - -,h5h6
r4k2/6pr/p1q1pp2/1p1p1n2/3PnPNp/bPPQ3P/P1R1N1P1/4BRK1 b - -,a8c8
5k2/3npp1p/1N1p2p1/2pP4/4PP2/1PB3P1/5K1P/8 b - -,d7b6
r5k1/1q2pp1p/1n1p2p1/1PpP4/R3P3/1P4P1/5P1P/Q4BK1 w - -,a4a6
r4r1k/4npb1/p6p/1pN1P1p1/2n5/5NBP/P4PP1/1R2R1K1 b - -,f8c8
6R1/3R4/4rk2/p1r2pp1/1pP1p3/1P4PP/P3B3/6K1 w - -,e2h5
r3r1k1/2q2ppp/pn1p4/2pP4/1pN1PP2/1P1Q2P1/P6P/4RRK1 w - -,e4e5
3br1k1/1R4p1/8/2B1p2p/pp2N3/6PP/Pn6/6K1 w - -,c5b4
1k1r3r/p3qb1p/1p6/1PpP1pp1/Q3p3/2N1P2P/P2R1PP1/K1R5 w - -,a4c4
r4rk1/1pq2pbp/p1npbnp1/2p3B1/P1P1P3/2NB4/1P1QNPPP/R3K2R w KQ -,e1g1
r3k2r/pppq2b1/2npb3/1B6/Q3P1pp/2P4P/PP1N2P1/R3BRK1 w kq -,h3g4
6k1/ppp1r3/b3pQB1/3q4/7P/6P1/5P2/4R1K1 b - -,d5d6
1r4r1/2k2b2/2pbpp1p/3p4/p1pP1PqN/P1P2R2/1P3QPP/R4NK1 w - -,g1h1
8/Bp5p/p3k1p1/5nb1/8/P6P/1P1R1PK1/1r1N4 w - -,d2d3
r1bqr1k1/2pp1pp1/p1nb1n1p/1p2p3/4P3/1BPP1N2/PP3PPP/R1BQKN1R w KQ -,h2h3
rnbqkb1r/p2p1ppp/4Pn2/1pp5/2P5/5P2/PP2P1PP/RNBQKBNR b KQkq -,f7e6
1B6/p5pk/1p2Rp1P/2p2K2/P1n5/2P2P2/5r2/8 w - -,f3f4
3q1rk1/2pbbppp/2n1p3/1BPp4/3Pn3/2N1PN2/3B1PPP/Q3K2R w K -,e1g1
r3k2r/pp3ppp/2nbpn2/7q/3P4/P3BN2/1PQ1BPPP/1R2K2R b Kkq -,h5g6
6k1/K5p1/1p3p2/8/PP2Pp2/5P1p/5P2/8 w - -,a7b6
r1bq1rk1/bpp2pp1/p1n2n1p/3pp3/4P3/1BPP1N2/PP2QPPP/R1B1KN1R w KQ -,f1g3
r4rk1/pb1nbppp/1qp1p3/8/1p1PBB2/4PN2/PP2QPPP/R4RK1 w - -,f3e5
8/3P4/1B2N1k1/6bp/8/3r1KP1/8/8 w - -,f3e4
r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq -,c6e7
r7/2b2kpp/p7/1p1N4/8/P2P3P/6P1/1R5K b - -,c7d6
3r4/6P1/8/1k6/2p3R1/8/8/6K1 w - -,g7g8q
8/5pp1/pR3nkp/1b6/3N4/4P1BP/5PPK/1r6 w - -,d4f3
8/4k3/R2p4/3Pp2p/4P3/5P2/p2BK3/r7 w - -,d2b4
8/2Q1bpkp/1p4p1/5r2/1P3P2/1P3R1P/1P5K/r7 b - -,e7b4
2r3k1/Bp2bp1p/4p3/4Q1P1/1Pr1N3/P5P1/4KP2/R2R3q b - -,c4e4
6r1/8/4R3/4p1P1/P5k1/1P3RP1/4rPK1/8 b - -,g4g5
2rq1rk1/1b1nbp1p/pp1p2p1/4p1Pn/2PNPP1P/2N1B3/PP2BQ2/2R2RK1 w - -,d4c2
3r3k/2p3p1/4q2p/4p3/p2rP2P/P1QP1pP1/3K1P2/2RR4 b - -,d4e4
8/2kb4/4p2R/2PpPp2/2n2P2/p6P/4K3/2N5 w - -,e2d3
r3kb1r/1p1n3p/1pb1ppp1/3p4/3P1B1P/P3PN2/1P2BPP1/2R1K2R w Kkq -,g2g4
r1b2r2/ppp1q1pk/4p2p/2PpPp2/8/3BPQ2/PP1KN3/6RR w - -,e2f4
r1bqk2r/1p1nbppp/p2ppn2/8/2PP4/P1N1B2P/1P3PP1/R2QKBNR w KQkq -,g1f3
3r4/1p5R/3kp3/p4pb1/3P2p1/2B1P1P1/PP2K3/8 w - -,h7h5
r2qkbnr/pppb1ppp/2np4/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,e1g1
6k1/1p1b3p/p2pN2b/P1pP4/2P5/3B4/1P5P/5K2 w - -,f1e2
1qr1r1k1/2pn1pbp/pp1p2p1/3Pn3/1P1NPBP1/P1R2P2/2Q1N2P/2R3K1 w - -,c3c7
r5k1/ppP2rpp/4Q3/4P1b1/3Pp3/2N1q3/1P2N1PP/R3K3 w Q -,c7c8q
2R5/4p1k1/3b2p1/6Pp/3p1P1P/2p1r3/5N2/3K4 w - -,c8c4
8/3q1n2/4p1pk/p2pPpRp/PrbN1PP1/2N1Q2P/2P5/7K w - -,g4f5
r1bq1rk1/pp4bp/2p2np1/3p1p2/1nPPp3/BPN3P1/P3PPBP/RQ1RN1K1 b - -,d8a5
r2q1rk1/pb2bpp1/1p1p3p/8/1n1NP3/3Q1NB1/PP3PPP/R3R1K1 w - -,d3d2
5b2/5k2/Q3p2r/5b2/1p6/5K2/PPP2PP1/8 w - -,a6c6
8/ppk1b2p/2n2pp1/4p3/4B3/1P2BP2/1PPK2PP/8 b - -,b7b6
5q2/7k/p6p/1p1p3N/3Pn1P1/1P2P3/P5Q1/6K1 b - -,a6a5
r1bqkb1r/1p3ppp/p1n2n2/2pp4/3P4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,c8g4
r6r/1p2k2p/1npRnpp1/p3p3/P3P1PN/2N1P2P/1PP5/2KR4 w - -,h4f3
b4r2/5p1k/2p2Qpp/1p6/nP2P2P/2P5/B1q2PP1/R5K1 w - -,a2f7
8/7p/1p1p2pP/1PnP1P2/2P5/p7/3kBK2/8 b - -,g6f5
5rk1/5p2/p3q1p1/1p2p1b1/2r1P2p/P1PN3P/1P2QRP1/5R1K w - -,f2f3
5k2/5ppp/4p3/1b1pP3/1b1P2P1/1B3N1P/1n3P2/2N3K1 b - g3,b2d3
1R6/4rkp1/1pqn1pp1/2p1p3/2P1P2N/2b3PP/Q4PBK/8 w - -,a2b3
r1bqr1k1/p4pp1/3b3p/n1p5/8/3P2N1/PPPB1PPP/RN1Q1RK1 w - -,d1f3
r1b2rkb/q6p/p1pp2p1/Pp2np1N/3NP3/1PP3QP/5PP1/2BRR1K1 b - -,f5e4
rrn5/3q1kbp/b2p1p2/1p1PpPp1/1Q2P1P1/1PN1B2P/P1R5/2R2BK1 b - -,g7f8
8/5B2/7p/2R2pp1/1p1r1k2/8/P5PK/8 w - -,f7e6
rn1qkbnr/1b3pp1/p7/2ppPN2/1p6/3P1N2/PPP4P/R1BQKB1R b KQq -,d8d7
3r3k/5p2/2B3p1/6b1/1p1p4/3N1P1P/1P3P2/4R1K1 w - -,e1e8
2r2rk1/4p1bp/2n2pp1/p2N4/1p2P3/1P2BPP1/P6P/1K1R1R2 b - -,f6f5
8/5p2/5kp1/1pr4p/5K1P/5P2/PR6/8 w - -,b2d2
r2q1r1k/3b2pp/2p1p1nb/1pPpPp2/pP1P4/P2BP2Q/3BN1PP/R4RK1 w - -,g2g3
R1q2rk1/2pbbpp1/2np1n1p/1p2p3/1P2P3/2PPBN1P/3NBPP1/3QK2R b K -,c8a8
2rr2k1/pb2q1pp/4p3/b3Bp2/2Ppn3/PP1N2P1/2Q2PBP/R2R2K1 b - -,a5c3
1rn2rk1/1p1qn1p1/3p3p/PPb2p2/2P1p3/B1N1P1P1/3Q1PBP/R4RK1 b - -,d7e6
2rB4/6kp/1p2p3/2n1bp2/8/5PP1/P2R3P/7K b - -,e5c7
r1bqr1k1/1ppp1ppp/p2b1n2/4n1B1/4P3/2NB3P/PPP1NPP1/R2QK2R b KQ -,h7h6
8/8/5k2/7P/6PK/3R4/2rp4/8 b - -,c2b2
6k1/1p2qr1p/r2pbppb/p1p1n3/P1P1PP2/1PN3B1/2B3PP/3RQRK1 b - -,e5c6
r3kb1r/ppn2p2/1qp1p1pn/3pP1Np/3P4/2PQ3P/PP1N1PP1/R1B2RK1 b kq -,f8e7
1r5k/3R1Bpp/2Q5/pp2q3/8/b3P3/5P2/5K2 w - -,d7d5
8/4kP2/1p4P1/4N3/P7/8/1pK5/2b5 b - -,c1h6
rn1qk1nr/pp2bppp/2pp4/4p2b/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq -,g2g4
r1bq1rk1/ppp2ppp/8/2b5/2p5/2P4P/PP1P1PP1/RNBQR1K1 w - -,d2d4
r4rk1/2pqn1p1/pb1p3p/3Ppp2/1P6/BQN1PPP1/2RP2KP/R7 w - f6,f3f4
r1bq1rk1/pp3ppp/5n2/2p3B1/1bBn4/2N5/PP2NPPP/R2Q1RK1 w - -,c3e4
r1bqkb1r/1ppn1ppp/p3pn2/8/2Q5/5NP1/PP1PPPBP/RNB2RK1 b kq -,b7b5:c7c5
2r1r1k1/5p2/2n2qpp/pp2p1b1/3pP3/P2N2N1/1PP2PPP/R2QR2K b - -,b5b4
2rq1rk1/pp1bppbp/3p1np1/8/2nNP3/1BN1BP2/PPP1Q1PP/R2R2K1 b - -,c4b2
3bn1rr/3knpq1/p3p1p1/Pp1pP2p/1PpP1BPP/2P2N1N/3Q1PK1/4R2R w - -,g4g5
r1q2bk1/1b3p2/r1n3p1/1Np4p/2PpPP1P/6P1/1B2Q2K/1BRR4 w - -,d1d3
8/5p1p/1N1k4/PK3pp1/8/1P3B1P/5bP1/8 b - -,d6c7
8/r4p2/P1k3pp/8/1RP1K3/1p5P/5PP1/8 w - -,b4b3
4r1k1/p4ppp/3q4/2pp4/4nPP1/1NP2Q1P/PP5K/3R4 b - -,e4g5
5r2/6pp/3b4/pp1k1PPP/2pp4/3P4/PP1B2K1/5R2 w - -,g5g6
7b/pp3r1k/3r2pP/2pp1pp1/6N1/1P6/P2B1P2/1K2R2R w - -,g4e5
Q7/p1q3r1/4pk1p/2p4P/2P1p1p1/1P1R1PP1/P3K3/8 w - -,f3e4
r1b4r/2k2ppp/p1p2n2/1pb1p3/4P1P1/2NB1P2/PPPB3P/2KR3R b - g3,c8e6
5rk1/4br2/3NQnq1/p1p1p1pp/4R3/PP2BP1P/6P1/3R2K1 b - -,e7d6
2b2rk1/p4p1p/3p1b2/2p4p/qnP1P3/1R1P4/P2Q1R1P/5B1K w - -,f2g2
6k1/1Q3pp1/p2K3p/P2P4/2P2qP1/3B3r/8/8 w - -,d6c6
4r2k/1p4b1/2p3qp/p1P3p1/Q3N1n1/5RP1/PP2R1B1/6K1 b - -,e8d8
2r3k1/7p/1RB1p1p1/1P3p2/P4P2/2p1P1P1/4K2P/8 b - -,c8d8
7k/p1q5/6pp/5p2/1B6/4P1P1/PP3K1P/3R4 b - -,h8h7
r6r/pp3kp1/2n4p/2b5/3ppP2/4P1PB/PP1B3P/R4RK1 w - -,f1e1
8/5p2/4P1p1/5r2/4k3/6K1/R6P/8 b - -,f7e6
8/5pk1/3pq3/1Q1p4/1NNP1Pp1/2n1P1Pp/7P/6K1 w - -,b5b7
3n1rk1/pp2ppbp/6p1/1Q6/5BP1/qbP1PN1P/P4P2/3R2K1 w - -,a2b3
1R2r3/2P2ppk/2Qn3p/p7/8/6PP/5PB1/4q1K1 w - -,g1h2
2rqk1nr/1p3ppp/p1npb3/4p1b1/2P1P3/2NB4/PPN2PPP/R1BQ1RK1 b k -,g5c1
2r2rk1/p1n2qpp/3bb3/2pp1p2/2P4P/P2BP3/1PQNNP2/1K4RR w - -,e2f4
r2qk2r/1p2bppp/p1np1B2/4p3/2b1P3/2N2N1P/PPP2PP1/R2QK2R w KQkq -,f6e7
2rr1bk1/p4p1p/3P2p1/8/2p2B2/3b3P/P2R2P1/2R1N1K1 b - -,f8d6
r3r1k1/pp1q1p2/6p1/2pPpb1p/2Pp3P/3P1PP1/PP1Q2B1/R3R1K1 w - -,g2f1
1r1r4/R2k1pbp/6p1/8/1n2P3/1N4P1/4BP1P/2R3K1 b - -,d7e8
8/p2r1k2/2pR4/2P1p2p/P3Pp2/5p1b/1R3BrP/7K w - -,d6d7
8/2k4p/bp1r1pp1/n1n1p3/P3P1P1/3p1P2/1R5P/1RKB4 b - -,a5c4
r1bq1rk1/pp2ppbp/1npN2p1/8/3P1BP1/1B3N2/PPPQ1P1P/2KR3R b - -,e7d6
r2q1rk1/1b1npp1p/p2p1npb/1p6/3NP3/P1NB3P/1PPQ1PP1/2KR3R w - -,d2h6
r2q1rk1/1p3ppp/p1n2bn1/3p4/5B2/P1N1P2P/1P2QPP1/1BR2RK1 b - -,g6f4
8/3Pbk2/8/B1N3Pp/8/5KP1/8/3r4 b - -,f7g6
6k1/1p3b2/8/4p1qp/1P2P1p1/8/2Q2PNP/2b2BK1 b - -,c1d2
6r1/4bp2/2p1k2r/p1p1P3/2PpR2p/1P3RpP/PN1PK1P1/8 b - -,g8g5
4r1k1/2q2pp1/8/1Q3Ppn/8/7P/1PP2PP1/3R2K1 b - -,e8b8
8/P1N5/2b2k2/4n1p1/4p3/3p2P1/2P1BP2/1K6 w - -,c2d3
r1bqkbnr/pp1p1ppp/2n5/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,f8d6:g8e7
r5k1/3n1ppp/p1pq3r/3p4/N3PPQ1/1P5P/P5P1/2R2RK1 b - -,d5d4
r7/pp2p1k1/3p1b2/2pPq1pQ/2P5/4P2R/PP4P1/5RK1 b - -,a8g8
5k1r/5p1p/p1p1p1p1/4Pn2/4R3/1P3P2/P2rNP1P/2R3K1 w - -,a2a4
1r4k1/5p2/3P3p/2Q5/2p2K2/R5P1/4qP1P/5b2 b - -,b8e8
r4rk1/1p3p2/6pp/pB1p4/P6q/2P2Q2/5PPP/R3K2R w KQ -,e1g1
r2qk1nr/1bpp1ppp/pp2p1n1/3P4/2P1PP2/2N2N2/PP1Q2PP/2KR1B1R b kq -,g8h6
1n5r/4kp2/p3p2p/2N5/2P4P/6P1/PP1RP3/6K1 b - -,h8c8
5nk1/1P1b1pb1/R2p2p1/3P2Pp/2Q1PP2/7P/6B1/1q5K w - -,h1h2
r2q1rk1/3bppb1/p2p1np1/8/Pp2P2Q/1PN5/1P2B1PP/R1B2R1K w - -,c3d5
2q3k1/1p2ppbp/p2p1np1/3P4/8/4BP2/PP1QB1PP/6K1 w - -,g1f1
1r3rk1/1ppq1nbp/3pp1p1/p2P1p2/PNP2P2/1P2P1P1/1BQN3P/R4RK1 b - -,g7b2
rnbq1rk1/p3b1pp/1pp1p3/3p1p2/2PPn3/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f3e5
5k2/1p3pp1/p1bN1n1p/8/2P2P2/2PBQ2P/1KP3q1/8 w - -,e3c5
5r2/2ppk2p/1p2n1p1/p2BBn2/5P2/1P3KP1/7P/3R4 b - -,d7d6
rnb1k2r/1pq1bppp/p2ppn2/8/2PNP3/6P1/PP3PBP/RNBQ1RK1 w kq -,d1e2
5r2/5k1p/2N3p1/2P1Bp2/r7/7P/1R3PP1/6K1 b - -,f8c8
1rb1k2r/p4p2/2p2n1p/n2qp3/N5p1/2PP2P1/PP2Bb1P/R1BQ1KNR w k -,g1f3
