8/3k4/3b2R1/p3p3/2P1P1P1/4BK2/r7/8 w - -,c4c5
r3kb1r/1pn2ppp/2pqpn2/p7/1P1P2b1/P1N3P1/2P1NPBP/1RBQ1RK1 b kq -,a5b4
8/6k1/2p1p1b1/1pPpPpQp/3r3P/4P3/6PK/8 w - -,g5f6
r1bqr1k1/1p2npbp/2n3p1/pQ2p3/P2pP3/B1N2NP1/3P1PBP/1R3RK1 w - -,c3d5
4R3/2b2k1p/p1p4q/1pNn1bp1/P2P1p2/2P3P1/1P3P1P/R1BB2K1 w - -,e8e1
5b2/1pkr1pp1/p4n1p/2P1r3/5B2/8/PP1R1PPP/3R2K1 b - -,d7e7
r3k2r/1b3ppp/3qpn2/4n3/4PBPP/5P2/PPP5/2KR1B1R w kq -,d1d6
r4rk1/bp1q1ppp/p1np1n2/4p3/8/PQNPP1PP/1P3PB1/R1B2RK1 b - -,a8b8
2r1rbk1/1pq2p1b/2p2npp/pNn5/4P3/PP2N1PP/1BQ2PB1/2R2RK1 b - -,c7e7
rnb2b1r/1p3p2/p3pk1p/4pN2/8/1P6/P2Q2PP/4KB1R b K -,e6f5
r5k1/2q3pp/1nb2B2/2p2p2/3p1P2/1P1P1NQ1/2P3PP/5R1K w - -,f1e1
r3k2r/pp1nqppp/2p1pn2/3p4/1bPP4/1P1BPN2/P1Q1KPPP/R1B4R b kq -,e6e5
1qrr3k/pp4pp/4p1b1/2Pp1p2/3P4/P2QPP2/6BP/1R1R3K b - -,f5f4
3r1rk1/p1q4p/1pn2pp1/4p3/2b1P2B/1NP1Q3/P1PR1PPP/3R2K1 b - -,d8d2
2r4r/1p2kp2/1np3p1/p1n1p1Pp/P3P2P/1PN1RP2/1KP1N3/3R4 w - -,f3f4
3k4/R7/p7/2KP4/8/8/1r6/8 b - -,a6a5
5b2/1kp3R1/2p4P/4p3/p1p1P3/P1P3p1/1PN3r1/3K4 w - -,g7g6
8/6p1/4p1b1/p2kP2p/1p1p1P1P/1PbN1NP1/P3K3/8 w - -,f3g5
r1bq1r2/1p1nbk2/p3Q1p1/7p/3P4/1BP4R/P4PPP/R1B3K1 b - -,f7g7
brr3k1/2q1bppp/4p3/1B1pP1P1/1PnQ1P2/4B1R1/N1P4P/1KR5 w - -,b5c4
r1b1kb1r/1pqnpp1p/p2p1np1/2p5/B3P3/2PP1N2/PP2QPPP/RNB1K2R w KQkq -,e1g1
1R6/3k4/6K1/5r2/1p5P/6n1/8/8 b - -,f5f4
8/2R5/4rbkp/6p1/7P/5P2/4PK2/8 b - -,f6d4
4rk2/p4p1p/1p3Pp1/2pPB3/2Pn4/8/P4KPP/4R3 w - -,e5d6
r5rk/3n1pbp/p7/1p1RpP2/8/PN2B1Q1/1Pq3PP/5RK1 w - -,d5d7
r6r/p2bbkpp/1p6/2Pp1p2/1P1Pp2P/4B1P1/P2K1P2/R6R b - b3,d7b5
r5k1/p2qrpbp/np1p1np1/2pP4/P3P3/2N3P1/1P3P1P/R1BQRNK1 w - -,f2f3
2r5/3R4/pp2k1rp/4pn2/1bP1Np2/1P6/P4P1P/3R3K b - -,f5d4
7r/5pk1/3n1qp1/p2Pp3/1p2P3/3BQ2R/PP4P1/6K1 w - -,h3h8
r2qr1k1/2p3pp/p1n1bp2/1pnpP3/8/1B3N1P/PPPNQPP1/R4RK1 w - -,e5f6
2r1k1nr/pp2bp2/2q1p1p1/3BP2p/P1pP1P2/1pP5/1B1NQ1PP/R4RK1 b k -,c6d5
rnbqk2r/pp3ppp/2p1p3/3p4/1bPPn3/2N2NP1/PP1BPPBP/R2QK2R b KQkq -,b4c3
2rq1rk1/1p2bpp1/p1npbn1p/4p3/2P1P3/N1N1B3/PP1QBPPP/R4RK1 w - -,f1d1
r2r2k1/pp1bppbp/2n2n2/1N4pq/5B2/Q1N3PP/PP2PPB1/R3K2R w KQ -,f4e3
r5k1/2p3pp/1pPp4/3Prq2/1PP5/2Q2pR1/5P1P/5RK1 b - -,a8f8
1r1r2k1/4bpp1/Q1R1p2p/p6q/3P4/1P2B2P/P4PP1/2R3K1 b - -,h5f5
r2r2k1/1bp1qp1p/1p3np1/p2p2N1/P7/2P1P3/1PQ1BPPP/R4RK1 b - -,d8d6
2bq1r2/r4pk1/p1p3p1/3p1p1p/3PnQ1P/5B1N/PPP2PP1/2KR3R w - -,f3e4
rnbqr1k1/pp4bp/3p2p1/2pPnp2/2P2B2/1PN5/P1B1NPPP/R2Q1RK1 w - f6,d1d2
r1b2rk1/pp1n1pp1/2p2n2/3p1q1p/5B2/2PN1P2/PPPQ2PP/R3RBK1 b - -,b7b6
3k1b1r/p5p1/1p3p1p/5B1P/3P4/2PK4/PP6/6R1 w - -,a2a3
3r4/p3k3/2q1p1r1/2p1p3/2P1Pp2/2PQ1RP1/P4RKP/8 w - -,d3b1
2qr1rk1/1b2bppp/p1N1p3/1pnpP3/5P2/P1P1B3/1P1QBNPP/4RRK1 b - -,b7c6
3r4/2r2p1p/p2k1p2/2n1p3/2P2PB1/4P1P1/1R4KP/1R6 w - -,f4e5
r3r3/2k1pp1p/3p2p1/2pPP3/P1Nb1P1P/1P3R1K/3R2P1/8 b - -,f7f6
r1br2k1/pp2ppbp/2n1p1p1/q7/2P5/2N1P1P1/PP1B1PBP/R2Q1RK1 w - -,d1e2
r2qr1k1/p1p2ppp/bpn1pn2/8/PPpP4/B1N1P3/4BPPP/R2QK2R b KQ -,a6b7
3r2k1/4qp2/5bp1/3P3p/3p3P/3Q2P1/5PB1/2R3K1 w - -,g2f3
8/5k2/2p1bp2/1pPp2P1/p2P1K1N/P1P5/8/8 b - -,f6g5
r1b1kb1N/pp4p1/1np1pn1p/8/2q5/8/PPBBQPPP/R4RK1 w - -,c2d3
4r1k1/p1pb1r1p/1p4q1/2p1Ppp1/P1P5/1P4PP/2PNR1QK/4R3 b - a3,f7e7
4rk1r/1b1q2n1/1p3bp1/1P1p1p2/P1pP1P2/2N1PNP1/Q5B1/2R2RK1 w - -,g1f2
3rr1k1/p1p2pp1/1p1b3p/8/7P/2BB1bP1/PPP2P2/R3R1K1 w - -,a2a4
3n3r/8/2p1pkp1/2P2pp1/2BP4/5PPP/6K1/R7 b - -,h8h7
1bk5/1p3pr1/1Pp1q3/2Pp2p1/3P2P1/P3PQ2/6R1/4BK2 w - -,e1g3
r3kbQ1/p4p2/3p4/1PpPpq1r/5pN1/8/P1P2PK1/R4R2 w q -,f2f3
r2qrbk1/1bpn1p1p/p2p2p1/1p6/3NPB2/1PP2PN1/1P4PP/R2QR1K1 w - -,d1d2
r1bqrnk1/p3bppp/2p2n2/1p1p2B1/3P4/2NBPN1P/PPQ2PP1/2KR3R w - b6,g2g4
2krr3/ppq2pp1/4p2p/2bnN2P/8/6P1/PPPBQP2/1K1R3R b - -,c5d6
7R/2k2r2/1p1b2R1/2p5/1p1p4/1P1P2PP/5P1K/8 w - -,h2g2
1r3rk1/1p1b3p/p2p1pp1/2pPq3/PnP1P3/1PN2B2/3Q2PP/3R1RK1 w - -,c3a2
r2qkb1r/3n1ppp/p1p1pn2/1p1p1b2/2PP4/1PN1PN1P/PB2BPP1/R2QK2R w KQkq -,f3h4
r6r/ppp1nkb1/3q3p/3P2p1/8/5N2/PPP1QPPP/2KR3R w - -,h1e1
r5k1/1p3np1/p4b1p/q1pPpp2/8/1R2P3/1B2QPPP/2R3K1 w - -,b3b7
2b1r1k1/5p2/r1pp2p1/1p5p/PPnNPP2/6PP/8/3RRBK1 b - a3,a6a4
r5k1/bp1b1p1q/p1pprR1B/8/1PPpP2Q/P2P2PP/6B1/5RK1 b - -,e6f6
8/5k2/5p2/8/p3K3/8/4R3/r7 w - -,e4f3
r3r1k1/1bq1bppp/p2pn3/1p4PP/2nNP3/P1N5/1PP3B1/R1BQ1RK1 w - -,d4f5
r3r1k1/1bqnbppp/pp1ppn2/8/2P1P3/1PN1QNP1/PB2RPBP/R5K1 b - -,a8c8
8/1pr5/1p2k1p1/4pp1p/1PP1P2P/2K5/P1B2RP1/8 b - -,f5f4
8/p2n3p/1k1b2p1/1p6/2p1P3/2P1N2P/P2K2B1/8 w - -,d2c2
rnr3k1/4qppp/pp2p3/1P1pP3/P1nP4/1R1N1N2/2Q2PPP/2R3K1 b - -,a6b5
r1bqkb1r/ppp2ppp/2n5/4p3/8/P1P1PN2/3P1PPP/R1BQKB1R b KQkq -,e5e4:f8d6
3r2k1/pp2p1b1/1np3pp/4q3/3rN2P/1P4P1/P3QPBK/4RR2 w - -,e2c2
rnbq1rk1/ppp2ppp/1b2pn2/8/3P4/5NP1/P1QNPPBP/1RBR2K1 b - -,c8d7
r1bqk1nr/pp3ppp/2npp3/2p5/1bPP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,f1d3
2r1rnk1/p2qb1pp/Bnp1bp2/3p2P1/1p1P1B1P/4PN2/PPQ1NP2/2K3RR w - -,g5f6
6k1/1q3pp1/p1b2b2/1p3P1r/4rB2/P1P1N1QP/1P2RR2/5K2 w - -,g3h2
8/2r1pp1p/pp1p1kr1/3P1p2/PR3P2/1P3KP1/2P4P/2R5 b - -,c7b7
5r2/3p1p2/p1b1p3/4k1r1/4P3/3R1P2/PKP5/4RB2 b - -,g5g1
3r1r1k/1pp2bpp/5p2/pPbqpP2/6PP/2P3Q1/P4P2/R1B1RBK1 b - -,d5d6
4rrk1/3n2bp/q1p2np1/p3p3/4P2Q/PpNPBN1P/1P4P1/3R1RK1 w - -,g2g4
4k3/6p1/p2P2p1/1p6/2P3B1/3n4/P4r1P/1K1R4 b - -,b5c4
8/4r2p/8/p1p2kQ1/3B3P/P1P1p1P1/1P4K1/2b5 b - -,f5e6
8/7p/3p1kp1/2rP1p2/5P2/4PKP1/7P/3R4 b - -,h7h6
4k3/R3r3/5p2/p4P1K/8/8/8/8 w - -,a7a8
2rr2k1/1q3p2/2nnp2p/p2p2p1/P2P2P1/2PQ4/3N1PP1/R1B1R1K1 b - -,c6e7
r1b1k2r/pp2ppbp/1qn3pn/2p5/2PP4/2B1PN2/P3BPPP/RN1Q1RK1 b kq -,c5d4
8/3N1k2/1R6/8/1P4p1/1r3bP1/5K2/8 w - -,d7c5
5b1r/pp3k1p/2r2pp1/nq6/3P3N/2npBQ2/P2N1PPP/R3R2K w - -,d2e4
1k2r2r/1pq2pp1/p2b3p/1b1Pp3/4B1P1/4B2P/PPP2Q2/2KR3R w - -,c1b1
rn1qkb1r/p3pp1p/2pp1np1/1p6/4PP2/1BN2b1P/PPPP2P1/R1BQK2R w KQkq -,d1f3
8/8/3k1p1p/pK5p/P1p1PP2/6P1/8/8 w - -,b5c4
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3NP1/P2PPP1P/RNBQKB1R b KQkq -,c7c5:b7b6:f8e7:d5d4:a7a5
r1b1k2r/pp1nbpp1/1qn1p2p/3pP3/3P1P2/3B1N2/PP2N1PP/R1BQ1RK1 b kq -,h8g8
r5k1/1b1qr2p/2pN2p1/p1Pn1p2/2B4Q/4pP2/PP4PP/2R1R1K1 b - -,b7a6
rn3rk1/pp1b1p2/3Pp1p1/q1p5/4P1pP/2P2N2/P2Q1P2/R3KB1R w KQ -,f3e5
8/1p4p1/5k2/p7/Pr2B2p/3K1P1P/6P1/8 w - -,f3f4
r1bq1rk1/ppp1n1b1/3p2pp/3PppN1/1PP1Pn2/2N2B2/P4PPP/R1BQR1K1 w - -,g5e6
r2r2k1/pp2qp2/2p3pp/2n1p3/P3P3/2P1NP2/1PQR1KPP/3R4 b - -,d8d2
r1b2rk1/ppq2pbp/4p1p1/2pnN3/3nNP2/3P2P1/PPP2BBP/R2Q1RK1 b - -,b7b6
r2k1b1r/ppp1nppp/2p1b3/4P3/6P1/2N2N2/PPP2P1P/R1B2RK1 w - -,f3g5
2r1k3/1pbn1pp1/p1p1pn2/2Pp3r/1P1P1Pp1/2B3P1/1P1NP1BP/R4RK1 w - -,e2e4
r2q1rk1/p1p2ppp/2p1pn2/3p4/1bPP4/2N1PQ2/PP3PPP/R1BR2K1 w - -,c1d2
8/7p/3p2p1/2p1k3/2R5/1P5r/P3KP1P/8 w - -,b3b4
rnbqk2r/pp4pp/2pbpn2/3pNp2/2PP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,f2f4:f1e2
r1bqk2r/ppp1npbp/2n3p1/4p3/2Pp4/3P1NP1/PP1NPPBP/1RBQ1RK1 b kq -,a7a5
r1r3k1/1q3p1p/pn2p1p1/Qp1p4/3Pn3/PP1BP3/4NPPP/R1R3K1 w - -,f2f3
3r1rk1/1p2ppbp/p1q3p1/4P3/3B1P2/1P3R2/P5PP/3RQ1K1 b - -,d8d5
6k1/6p1/r3p2p/b2pPp2/P1pP1P1P/R3K1P1/1r2N3/R7 b - -,a6b6
3q1rk1/4pp1p/b5p1/2n1P3/1R1N4/1Pp3PP/2Q2PB1/6K1 b - -,c5d3
r7/5kpp/2p2p2/4p3/P1n1P3/2P1B1P1/5P1P/R5K1 w - -,g1f1
2k2rr1/p4p2/Ppn1p3/2qpP3/b7/P1pQ2B1/2P1BPPP/2RR2K1 b - -,c6e7
r5k1/pp3p2/7p/4pb2/2B2p2/2P4P/PP1r1PP1/2K4R w - -,c1d2
rnbq1rk1/pp1pp1bp/5np1/5p2/3B4/1P3NP1/P1P1PPBP/RNQ2RK1 w - -,c2c4
2rr4/p3k1bp/5pp1/1p2p3/6P1/1BP4P/PP2KP2/3R3R w - -,h3h4
3r1rk1/pp1bqppp/1bn2n2/3p4/1P1N4/PN2P3/1B2BPPP/R2Q1RK1 w - -,d4f3
r2q1rk1/pppn1pbp/3p4/3Pp1p1/2P1Pn2/2N1BBPP/PP3P1K/R2Q1R2 b - -,f4g6
rnb2rk1/p1p2pp1/1p2pq1p/3p4/3PP3/2PB1P2/P1PQ2PP/R3K1NR w KQ -,h2h4
5r1k/4q1bp/3pb3/RBr2p2/1PN2p2/2P5/4Q1PP/5RK1 b - b3,c5d5
6k1/rp1bb2p/pq2p1p1/2P1p3/3pN3/3P2P1/P3PPBP/1R4K1 w - -,c5b6
r4rk1/1q1bbppp/2np1n2/1p2p3/p2PP3/4BN1P/PPBN1PP1/2RQR1K1 w - -,d1e2:c2b1
r2q1bk1/pp3r1p/2n1bpp1/3Np3/1P2P2P/1Q3NP1/P4PB1/R2R2K1 w - -,a2a3
5rb1/p3n1Rp/2n1k3/7R/4PPPP/1P2K3/P7/8 b - -,e6f6
2rr2k1/pb2bppp/1pn1pn2/3P4/2P2q2/P4N2/1B1N1PPP/1BRQR1K1 b - -,e6d5
4k2Q/p1r2q1p/1p2b3/3p1p1p/5P2/3P2P1/1Br1P1B1/R5K1 b - -,e8d7
r3k1nr/pp2b1pp/2n5/2P1p1N1/8/2P1B2p/PP2KP2/RN5R w kq -,b1d2
3rr1k1/1bq1npbp/p2p2p1/np2p3/3NPPP1/1P2B1N1/P1PQ2BP/3R1RK1 w - -,d4e2
3r2k1/1b1qbppp/pp1Pn3/4P2P/3p1B2/6P1/PP1RQPB1/6K1 w - -,g2b7
2kr1b1r/1p1n2pp/p1p1ppb1/2Pp4/1PPPP3/5PP1/3N2BP/R1B1K2R b KQ -,g6f7
r2q1rk1/1b4pp/1pp1pb2/P3p3/P3P3/5N2/2PQ1PPP/1N1RR1K1 b - -,a8a5
3r2k1/p7/np1R1n1p/2p1R1p1/P7/2P1BN2/5PP1/6K1 b - -,d8d6
r5k1/8/4p1q1/4bp2/8/7R/2Q1PP2/5K2 w - -,e2e3
r2q1rk1/pb2p1bp/1pn1p1pn/8/2P2p2/2N2B2/PPN2PPP/R1BQ1RK1 w - -,d1e2
8/3k1pp1/p2br3/3p3p/5P2/3K4/PP1BR1PP/8 w - -,g2g3
2r2r2/1p1Rnpk1/pBn4p/4p1p1/6P1/1B6/PPP2P1P/R5K1 b - -,c8b8
rnb1k2r/1p2qpp1/2pb1n1p/p3p3/P3P2B/1BP2N2/1P3PPP/RN1QK2R w KQkq -,b1d2
r1b2rk1/pp2bppp/4pn2/q7/2nR4/2N1P1B1/PPQN1PPP/4K2R w K -,d2c4
r3k2r/pppbq1pp/2n1p3/3pN3/3P4/P3Q3/1PP2PPP/R3KB1R b KQkq -,c6e5
r1bqkb1r/1p1p1ppp/p1n1p1n1/8/4P3/1NN1B3/PPP2PPP/R2QKB1R w KQkq -,d1d2
8/1b1k4/pPp5/8/1P1K1B2/P7/8/8 b - -,c6c5
8/8/5K2/3R1p2/6r1/5k2/3B4/8 b - -,f5f4
r3k2r/pbq1npbp/1pn1p1p1/2pp3P/4P3/3P1NP1/PPPN1PB1/R1BQR1K1 w kq -,f3g5
rn1q1rk1/1b2bppp/1pp1pn2/p2p4/2P5/1P1P1NP1/PBQ1PPBP/RN3RK1 w - a6,a2a3
r1bqr1k1/5p2/p2p1bp1/npnP4/2p1PP1p/P3BNN1/1PB3PP/1R1QR1K1 w - -,e3c5
r1b5/2p1b1k1/p1Pp2q1/1p1Pp1n1/1P2P1pp/4Q2P/P2BN1P1/5RNK w - -,e2c3
r7/p2kb2q/bpp1p1RP/3pPn2/3P2Q1/2N5/PPP2P2/2KR4 b - -,a8h8
r1bqk2r/pp1n1p2/2pbp2p/3P1p2/3P4/1QN1PNP1/PP3P1P/R3KB1R b KQkq -,c6d5
3r1rk1/ppq2pp1/1np2bp1/8/3Nn3/Q3P1P1/PP2BPKP/2RRB3 b - -,f6d4
2rqkbr1/pp3p1p/2n1p3/3p1p2/3P1BnP/2P2NPN/PP2QP2/R3K2R b KQ -,d8b6
4rr1k/1pqb3p/p4p1Q/3Bp3/2P2P2/8/PP4P1/R3R2K w - -,f4e5
r2q1r1k/ppp1npbp/2npb1p1/3Np3/2P1P3/3PB1P1/PP2NPBP/R2Q1RK1 b - -,f7f5
6k1/1p1r3p/6p1/8/P3R3/2P3P1/1P5P/6K1 b - -,g8f7
4Q3/6q1/3r1k1p/Pp1p1p1B/1r1P4/4P3/5P2/4RK2 b - -,d6e6
r3k2r/pp2pp1p/2n4b/2p1P2p/5Pb1/2P2N2/PP4PP/RNB1K2R w KQkq -,e1e2
3r2k1/1p2qp2/2p3p1/p1b4p/P1B5/1R2P1Pb/1P2QP1P/2B3K1 w - -,f2f3
r4rk1/Rpqbppbp/1np3p1/4P3/5P2/1PN1BN1P/1PP2QP1/4K2R b K -,b6d5
6k1/5Rn1/ppqp1rpp/2p5/P1P2PP1/1P1Q1N2/7P/5RK1 b - -,g8f7
8/2R5/1p5p/1P3ppk/P1B5/5nP1/3r4/5K2 w - -,c4e2
7q/1pn2k2/8/1PPpb1p1/R4pP1/3B1P1r/5BK1/6Q1 w - -,b5b6
8/6k1/6p1/4npP1/4p2P/8/5KN1/8 b - -,e5g4
r4r2/p1q1ppkp/3p1np1/2pPn1Q1/1p2P2N/6PP/PPP1bPB1/1R2R1K1 w - -,e1e2
8/4R3/2PP3k/3K1b2/PP4r1/2r3pp/8/6R1 w - -,d5e5
6k1/5p2/6p1/PR5p/1p2r2P/6P1/5PK1/8 b - -,g8g7
6k1/1p6/2b3pp/2B5/p5P1/R1P4P/7K/5r2 w - -,h3h4
3r1r2/pp2q1k1/n5pp/3pPp2/P5P1/1P6/4Q1NP/4RRK1 w - -,g4f5
8/Rrk2p2/Qp1p1Pp1/2pPn2p/2P5/4q3/4B3/6K1 w - -,g1f1
8/8/6p1/5k1p/PR5P/3K1PP1/r7/8 w - -,b4b5
2r1k2r/1R1np1bp/p1qp2pn/8/P2PQP2/5NN1/6PP/2B2RK1 w k -,f1e1
r2q2k1/ppbr2p1/4b1Bp/3p4/8/1P4P1/P1Q2P1P/2BR1RK1 w - -,f1e1
6k1/pp4pp/1n2p3/3pPpP1/P2P1Pq1/1P1N4/5K1P/2Q5 b - -,g4h3
1r3bk1/2r2p2/2p1p1p1/2PpP1Pp/1p1PPN1P/pP2K3/P1R5/2R5 w - -,f4d3
3nn1k1/pp3qbp/b1p3p1/2P2p2/8/B1N1P1PP/P1Q1NPBK/8 w - -,e3e4
6k1/5p1p/4p3/4P1p1/2R5/2P3P1/4rPKP/8 w - -,c4g4
rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/6P1/PP2PP1P/RNBQKBNR b KQkq -,e6d5:d7d6
2r5/1p1k4/p3pPn1/q2pP3/3P4/P3B1pP/1P2B3/2Q3K1 w - -,c1d1
r5k1/3ppn1p/8/6p1/n2N4/2PK2B1/P1P3PP/1R6 w - -,d4f5
r1b2rk1/pppn1qp1/2nb3p/3pP3/1P6/1QPB1N2/P2N1PPP/R1B2RK1 b - -,d7e5
8/R4B2/3r3p/4k1p1/3n4/6PP/5PK1/8 w - -,f7h5
2r1bk2/3n2pp/R1N1pp2/8/2PB1P2/4P3/5KPP/8 b - -,e8g6
rnb1k2r/pp1p1ppp/1qp2n2/2b1p1B1/2B1P3/2NP4/PPP2PPP/R2QK1NR w KQkq -,d1d2
r2r2k1/pQ3ppp/4p1b1/4N3/3P1nPq/2P2B1P/P2R1P2/2R3K1 b - -,a8b8
2r5/1p3kpp/2bnNp2/3p1P2/3Bp1P1/6KP/8/R4B2 b - -,g7g6
4r2n/3k4/2p5/1pBppp1p/1P3P1P/P1R1P1P1/5K2/8 w - -,f4e5
r3k2r/pp1qbpp1/4p2p/3pP2P/1n1P1P2/3QB3/PP4P1/RN3RK1 w kq -,d3e2
r4rk1/pp3pp1/1q2b2p/4p3/2B1P1nP/2P2N2/PP2Q1P1/R3K2R w KQ -,c4e6
r2q1rk1/5pbp/1n2pnp1/p7/3P4/1BN1BQ1P/PP3PP1/R4RK1 b - -,a5a4
1k6/p1r4p/1p6/1P2Q3/P1r2PK1/7P/7P/8 w - -,e5e8
2r1r1k1/p2nbp2/1q4p1/1Bn3Pp/3NP1bP/2N3B1/PPQR4/1K5R b - -,e7f8
r4bk1/7p/p2p2p1/3n1p2/1p2bq2/1R3N1P/PB1Q1PP1/2R3K1 w - -,d2d4
6r1/5p2/4p2k/2n1Pp1p/2Pp1P1P/qp1P2P1/1R4K1/1Q1N4 b - -,a3a8
2r3k1/p3qppp/1p4n1/3p1b2/Q7/P3P1B1/1P2BPPP/2R3K1 w - -,c1c8
r2q1rk1/pb2bpp1/1p2pn1p/4N3/1n1P4/PBN1B3/1P3PPP/R2QR1K1 b - -,b4d5
r1bq1rk1/ppp2pb1/5npp/4p3/4P3/2PB1N2/PP3PPP/R1BQR1K1 b - -,d8e7
5k2/3n1p1p/p1RN2p1/2n5/6P1/2N1K3/Pr3P1P/8 b - -,a6a5
7k/1r2K2P/8/5B2/8/8/3R4/8 w - -,e7f6
6k1/1p4p1/p1b5/8/1PP1Pr2/P2Q4/5rPP/4R1K1 w - -,d3g3
1r5k/1p1q3n/p5RQ/2pp2p1/3p4/6P1/PPPN1PP1/6K1 b - -,b8e8
r1b2rk1/b4ppp/p1N5/3Q4/4n1qP/B3P1P1/5PB1/R3K2R b KQ -,e4g3
2r3k1/p2bq1p1/2p2r2/3p1p1p/N3n3/1P2P1P1/P1Q2PBP/2RR2K1 w - -,a4c5
2r4r/1p1kbp2/pq1p2p1/3Pp2p/5P2/1N6/PPPQ2PP/1K1R2R1 b - -,e7f6
2rr2k1/2qnbppp/p1npp3/1p6/N1P1PP2/1P2BN2/P2Q2PP/2R2RK1 w - b6,c4b5
rnbqr1k1/pp3ppp/2pb4/3p1n2/3P1B2/P1NBP1N1/1P3PPP/2RQK2R b K -,f5g3
4k3/1N6/p3PBp1/1b3p2/1p6/8/PPq1r3/K2RR3 b - -,c2d2
r2qk2r/pppnb1pp/2p1bp2/N3p3/3PP3/5N2/PPP2PPP/R1BQ1RK1 b kq -,a8b8
8/p2rk2p/1p2ppp1/8/5P2/PP6/2R3PP/6K1 b - -,e6e5
