3R4/6pk/2p4p/5r2/8/6P1/4PPKP/8 w - -,f2f4
8/1rR5/4N3/8/2K2p2/6k1/8/8 b - -,b7c7
r1b1r1k1/1p1nqpb1/2p1p1pp/p2p4/PnPP4/1QN1PN1P/1P3PP1/2RRBBK1 w - -,c3a2
2n2rk1/1b1r1pq1/p3p3/1p5p/8/1B1pB1QP/PP3PP1/2R2RK1 w - -,c1c5
8/pB3pkp/P4rp1/2R1Q3/8/6PK/5q1P/8 b - -,g7h6
8/p7/3kbp2/PP5p/1K2BP1P/8/8/8 b - -,e6d7
8/8/p7/P7/2p5/k1B1K3/8/8 w - -,e3e4
2rq1rk1/b2n1pp1/4b3/3Np3/B1p1P2p/p1P2Q1P/PP4P1/1KBR1R2 w - -,f3h5
8/5p1k/6p1/1p2p2q/4Qn2/2P1R2p/1P3K2/8 b - -,h5d1:h5h4
r6r/pb3kpp/1n6/2bp1P2/8/2N1B3/PP2BP1P/2KRR3 b - -,c5e3
8/5pkp/3p1n1r/p1pPq2r/1p2PR1P/1P1B2P1/P3Q1K1/5R2 w - -,f4f5
5r2/1P3ppp/4p3/4P3/2PR2PP/1P2nPk1/8/2K5 b - -,g3f3
3k4/R2b4/4p2p/3pP1nN/2pP2B1/8/2PK1P2/1r6 w - -,f2f3
2k4r/pp1rbppp/2p1p1b1/3qP3/3PB2P/2R2P2/PPQ2BP1/1KR5 w - -,h4h5
r3kb1r/pp1q1ppp/3ppn2/8/3RP3/8/PPP1QPPP/RNB3K1 b kq -,d7c6:d7c7
r1bq1rk1/ppp2pbp/1n1p1np1/8/2PN4/1PN3PP/P3PPB1/R1BQ1RK1 b - -,d6d5
r3k2r/3q2p1/p1n1pb1p/3p4/3P4/5NP1/PP3P1P/1BRQ1K1R w kq -,b1g6
8/6p1/5pP1/5P2/3k1P2/1pp5/n2K4/1B6 w - -,d2d1
r1bqr1k1/pp2b2p/2n2ppB/2n1p3/B1NpP3/3P4/PP1NQPPP/R4RK1 w - -,a4c6
r1b1k2r/pp1n1pb1/2p2qpp/3p4/1P1P4/2N1PN2/P3BPPP/R2Q1RK1 b kq b3,a7a6
r1r3k1/1p2ppbp/pqn3p1/3p4/PP1P1B2/2P2B1P/R4PP1/Q4RK1 b - -,e7e6
r1br2k1/p3bpp1/2p1p2p/5q2/3PN3/5N2/PP1Q1PPP/R4RK1 w - -,d2e3
8/6k1/2Kp2rp/8/1P5R/8/7P/8 b - -,g7f6
r4rk1/1pqn1p2/2p1pn1p/p6P/1bPP4/3Q1N2/PP1B1PP1/1K1RR3 w - -,d2h6
q1r3k1/1b3pbp/1N2rnp1/p3B3/2p3P1/4pP2/P1Q1B1PN/1R3RK1 b - -,a8a6
rnbq1rk1/pp2b1pp/5n2/2p2p2/2Pp4/1P1P2PN/PB1N1PBP/R2Q1RK1 w - -,f1e1
8/5p2/N2k2n1/1p1P2p1/2pK4/2P2PP1/2R5/1r6 w - -,a6b4
8/8/3kp2p/1p1n2p1/1PpP4/5PP1/N3K2P/8 w - -,e2d2
1r4k1/2p1qpp1/p3b2p/4P3/1ppQ1P2/6P1/P3PK1P/R2R4 b - -,c4c3
1r6/6k1/p3p3/3p1bn1/7R/R7/6BK/2r3N1 b - -,c1c4
7r/1rpk1pp1/p1p1b2p/4P3/2P5/P2PB3/2K3PP/3RR3 w - -,d1b1
8/5kpp/5p2/1p2pP2/1br5/1Rp1N1PP/2P1K3/8 b - -,c4d4
rr4k1/5ppb/1bp1p2p/p2p2PP/1q6/1P6/PB2PPB1/2QR1RK1 w - -,g5g6
8/3nkp2/2bpp1p1/p5P1/4PP2/1P2K3/2P3B1/3N4 w - -,d1b2
4R3/8/8/6P1/5K2/8/3kb3/6r1 w - -,e8e2
2r3k1/1b2bp2/pp2pn1p/4q1p1/2P1p3/1PN1N1P1/P1Q1PPBP/3R2K1 w - -,c3a4
2R5/6pk/p1p2r1p/1r2p3/8/1P3P2/P5PP/2R3K1 b - -,b5d5
8/8/3k1b2/8/5PP1/1N1K4/8/8 b - -,d6d5
2r1r3/3QP1kp/R5p1/2p2P2/3b4/1P6/2KB2q1/4R3 b - -,g2f2
2b3k1/2pr2pp/1pp2p2/p1b1qN2/P1P1P3/1P1rBQ1P/5PP1/1R2R1K1 b - -,d7d8
4k2r/6pp/r1bB1p2/3R1p2/8/8/1PP3PP/1K5R w k -,h1e1
8/P4R2/4k1P1/6K1/8/8/8/6r1 w - -,g5h6
5r1k/2p3b1/p2pq2p/1p2pn2/2P1Q3/1P4P1/P4PK1/2B1R2R b - -,e6f6
r1b2q1k/ppp1n2p/3r2p1/1B3p2/5B2/2Q4P/PP3PP1/R3R1K1 b - -,d6f6
r2nr3/pp1q1k1p/5pp1/2BP1b2/3N4/1Q4P1/4PPBP/4R1K1 b - -,f7g7
1k5r/ppp3pp/4rn2/qN6/1bQp4/5P2/PP4PP/2KR3R b - -,h8c8
7k/2r4p/3r4/p1pP2R1/P1K1p3/4P3/7R/8 w - -,h2b2
2r5/5R2/kp2p2p/1q2P2P/2pQ4/p1P5/P7/K7 w - -,f7a7
r4r2/1p1bppkp/p5p1/3n4/8/2P2N2/PP3PPP/RN1R2K1 b - -,d5b6
1k1r1r2/1p1b4/p1pnpq1p/2RnN1p1/1P1P4/PQ2BB1P/5PP1/1K2R3 b - -,d6f7
r3r1k1/1b1q1ppp/pp2p3/6P1/1bPpPP2/3B4/PB1RQ2P/5RK1 w - -,d2d1
2r5/p3k3/6Q1/3p1p1p/4qB1P/8/5PPK/8 w - -,g6d6
8/3k4/1K6/1P6/8/2R5/8/3r4 b - -,d1g1
4nr2/pp2q1kp/2n3p1/3p1pQ1/7N/P2B4/1PP3PP/5R1K w - -,h4f5
2r3k1/pp1rp1bp/3p1p1n/4nPp1/2PNP1b1/1P2K1P1/P3NBB1/2R4R b - -,h6f7
rn1qk1nr/1b3ppp/4p3/pp1P4/2p1P3/1PB2N2/5PPP/R2QKB1R b KQkq -,g8f6
2kr1r2/pp2bpp1/2p1p2p/3nN3/3P2P1/P2bB2P/1PP2P2/1K1RR3 w - -,d1d3
r3rnk1/ppNb1pbn/3p4/3Pp1pP/4P2q/4BP1P/PPPQN1B1/R4K1R b - -,f7f5
2R5/5pk1/pN4p1/1P2r3/6P1/7P/KP6/8 b - -,a6b5
2r2rk1/1p2qpp1/p1p2b1p/8/P1QpN3/4P1P1/1P3PKP/2RR4 w - -,e4f6
2q1rbk1/3b1p2/r4n1p/np2p1p1/2p1P3/N1P1B2P/1PB1QPP1/R3RNK1 b - -,a5b7
r2q1r2/p3b1k1/1pn2pp1/3pP2p/3P4/P2QNN2/1P4PP/R4RK1 b - -,f6e5
r3q2k/5nr1/1pRp4/1PnP1p2/1Q2pP2/6pP/1N6/1R3B1K b - -,e4e3
8/6Bp/6kP/1p1b2p1/1P3p2/4K3/8/8 w - -,e3f2
8/5pkp/6p1/1pP1Q3/6P1/4n2P/P2q4/7K b - -,g7f8
3rk2r/1pp1qpb1/p1n1pn1p/3pP1p1/3P4/2NQ1P2/PPP1NBPP/2KR3R b k -,f6d7
1rB5/pP5p/4Rbpk/2p5/5p2/2q5/P4QPP/7K b - -,h6g7
r3k2r/1bq1bppp/ppnppn2/8/2P2Q2/BPN2NP1/P3PPBP/R2R2K1 b kq -,c6e5:a8d8
r7/2R5/3P4/1pB4k/p3p3/8/PPK1b3/8 b - -,e2g4
r3r3/p3bkpp/1pb1qn2/1N1p4/Q7/PP2B1P1/4PP1P/1R3RK1 w - -,b5d4
7k/1bp2prp/1p1pqp2/2p5/2P1PP1R/2QB4/P1P3PP/7K w - -,f4f5
5k2/1p4p1/1p5p/1Pp5/P3Q3/2P1K2P/q5P1/8 b - -,a2b2
8/Q7/2p5/3p4/1k1P3p/2q4P/4K3/8 b - -,c3c2:b4b3
2b2rk1/r4pb1/2nQ2pq/2p5/4P3/P4PP1/1P2B2P/R3K1NR b KQ -,g7b2
8/3r2k1/6p1/3rp3/6RP/3P1pP1/5P1K/3R4 b - -,g7f6
2r5/1b1r1k2/p1p1p1p1/4B2p/3PP1PP/4KP2/PP6/2R4R b - g3,c8g8
8/5p2/5k2/R5p1/1r5p/6PK/7P/8 b - -,b4e4
2r5/p4kpp/5p2/n7/4PP2/P7/2p1RKPP/2B5 w - -,e2e3
3rr1k1/1b4p1/p2p1p2/4q2p/1Pp1P2P/2N1RQ2/P2R1PP1/6K1 w - -,f3e2
1rb3k1/p4ppp/1q2p3/1pb3PB/4QP2/6rP/PP4N1/n1B2RNK w - -,e4e1
r1br2k1/pp3pbp/2p3p1/6N1/P1qN1p2/2P4P/1P3PPK/R3QR2 b - -,c6c5
8/1pbk4/8/2p4R/P1Pr1Pp1/3p4/1P3P1P/2KR4 b - -,c7f4
8/1pk5/2p1Np2/2P3b1/1P4r1/1K1R4/P6r/3R4 b - -,c7b8
rn1qkb1r/pb3ppp/1p1ppn2/2p5/3P1B2/2PBPN1P/PP3PP1/RN1QK2R b KQkq -,b8d7
2kr3r/pppb2pp/2nb1p2/5n2/4N3/3B1N2/PPPB1PPP/2KRR3 b - -,d6e7
8/1p4R1/p1p1K3/P6k/1r6/8/8/8 w - -,e6d6
1r3rk1/p4ppp/qnb1p3/4P1P1/2pP4/P1Nn4/3BB1PP/R2Q1R1K w - -,e2f3
1r4k1/2pn3p/p5p1/P1PPp3/5p1P/1q3P2/3B1QP1/3R2K1 w - -,d1c1
2b3r1/p1q1n3/1p2k3/2p1p3/2P1B3/1P5Q/P5P1/3R2K1 b - -,e6f7
1r4k1/2q2p1p/p2pp1p1/2n5/2PRPN2/1r5P/1P2QPP1/1R4K1 w - -,e2c2
3r1b1r/ppkn1n1p/2p1bpp1/2P1p3/1P2P3/2N1BN1P/PR2BPP1/2KR4 b - -,f8h6
2rr2k1/4qpp1/p2p3p/3Pp3/B1p1Pnb1/4RN2/PPQ2PPP/R5K1 b - -,c8c5
r1bq1rk1/4bppp/p2p4/1p6/3Qn3/1B6/PPP2PPP/R1BR2K1 w - -,d4e4
r2qr1k1/ppp2pb1/6pp/3P1b2/2Q5/7P/PPP3P1/RNB2RK1 w - -,g2g4
8/5b2/p4N1p/P7/6k1/4K3/8/8 b - -,g4f5
8/8/1kp5/3r3R/4bKpP/4P3/8/8 w - -,h5d5
2r1rbk1/1q1b1ppp/p7/3n4/1P1N4/P1p2NBP/2Q2PP1/R3R1K1 w - -,e1e8
8/1p1q2bk/p1n3pp/5b2/P2p1B2/5NPP/1PP3BK/4Q3 w - -,f3e5
r3rnk1/pp3ppp/2p1b3/q7/3P2P1/2PNP1BP/P2Q1P2/R3K2R b KQ -,f8d7
k3r3/p2b1n1r/Pp2pp2/3p4/2pPnB2/2P1RNP1/2P2PB1/4R1K1 b - -,f6f5
rnbqk2r/pp1pppbp/6p1/1N6/2PpP1n1/3B1N2/PP1B1PPP/R2QK2R w KQkq -,b5d4
r1bqkbnr/pp3ppp/2n1p3/2pp4/3PP3/2P2N2/PP1N1PPP/R1BQKB1R b KQkq -,c5d4:g8f6:d8b6
r3k2r/p3npb1/1ppR2pp/B3p1Pn/2P4P/4PQ2/PP3P2/2K2BR1 b kq -,b6a5
r6k/5p2/p2r3p/1p6/5n1P/6Rb/PPPR1P1P/6K1 w - -,d2d6
8/2p1k3/4P3/2p2P2/1p6/1P3Kbp/1B6/8 b - -,g3f4
r2qk2r/ppp1bpp1/1n2p2p/3nP3/3PB3/P4N2/1P3PPP/R1BQR1K1 w kq -,e4c2
4r1k1/1b3p2/pq2p1p1/1p1r3n/8/P1BB3Q/1PP1R1PP/5R1K b - -,d5g5
r1k4r/pp1Qp2p/5Rp1/1b6/3P4/8/PPP3PP/R1B3K1 b - -,c8d7
6rk/5Q2/2n2P1p/ppqp1P2/4p2P/P1P5/1PB1K3/5R2 b - -,c6e5
r2q1rk1/1p1b1pb1/2pp1npp/2nPp3/2P1P1P1/p1N1BQ1P/PP1N1P2/1K1R1B1R w - -,b2b3
2rq1rk1/1b6/p4n1p/3P1ppP/1p1Q4/1P2P3/PB2BP2/R3K1R1 w Q -,a1d1
8/kbp2Q2/8/p1r1pB2/1p1qP2P/6K1/1P3P1P/R7 b - -,d4b2
3q1rk1/rp2nbpp/2n2p2/b3p3/P1NpP3/1Q1P1NPB/3B1P1P/R3R1K1 w - -,e1c1
8/8/4p3/2n1p2p/4P3/p3K1P1/Nk6/8 w - -,a2b4
8/8/PR3pkp/6p1/6P1/r7/5K2/8 w - -,f2g2
r1b3k1/pp3pp1/5n2/2p3p1/3q2P1/6PP/PPP3BN/R1Q4K b - -,c8e6
8/p1NR1p1k/3pn1p1/6P1/2b1P2p/4BKbP/P5B1/3r4 w - -,d7f7
8/p2q2bk/1pp4p/6p1/2P5/1PNb1Q1P/P5P1/4B1K1 b - -,g7d4
8/6K1/4k3/5R1P/5pP1/r7/8/8 b - -,f4f3
r2qk2r/p2Bbppp/1n1p1n2/p1pPp3/4P3/2N4P/1PPN1PP1/R1BQK2R b KQkq -,f6d7
8/8/2R1pk2/b4p2/5P2/5K2/8/8 b - -,a5d2
1r1b2k1/p4ppp/q1p1p3/1rPnP2P/2RQ1PP1/1P1N4/PBR5/1K6 b - -,d8e7
1r3rk1/5ppp/RP3n2/2Pppb2/3P4/2N1P2P/1P1K1PP1/7R w - -,c5c6
rr6/2p3bk/4p2p/p2p1ppP/2bP4/2PNP3/3K1PPN/R6R b - -,c4d3
2r3k1/4bppp/pqr1pn2/3p4/2pP1B2/P1N1P2P/1PQ2PP1/2R2RK1 w - -,f1d1
8/ppN4p/3r1kp1/8/8/2P3PP/4RKB1/8 w - -,c7e8
7k/p3b1pp/bp3n2/3p1p2/3PpN2/4BPP1/PP2q1BP/2Q3K1 b - -,e2c4
2k1nrr1/ppq5/2pbp3/3p1p2/3PP1pB/2P2P2/PPQN2P1/2KR3R b - -,f5e4
6k1/2p3p1/1b5p/1p1n4/5p2/1PP5/1P3PPP/r1B1RNK1 w - -,b3b4
r2qkb1r/pp1n1ppp/2p1p1b1/3p4/2PPn2N/2N1P3/PP2BPPP/R1BQ1RK1 w kq -,g2g3
2k4r/pp3pp1/2prpn1p/4N3/2PP3P/8/PP2RPP1/2KR4 b - -,h8f8
2r3k1/5ppb/p1q2P1p/Pp6/1P1B4/5Q1P/6PN/5BK1 b - -,c6f3
3q1rk1/pp2n1b1/b2p3p/7n/P2PNP1P/2B1P1p1/1Q3P2/R1N1K2R b KQ -,e7f5
3n4/pr2kp2/R1p3p1/2P1P3/2K3BP/7P/8/8 w - -,c4d4
8/3n1p2/1p1ppk1p/2r2P2/P1PKP1Pp/8/4B3/7R w - -,h1h4
8/4rk2/R4Np1/p5P1/5P2/5K2/3n4/8 w - -,f3g4
2rr2k1/2qnbpp1/pp1p1n1p/P3p3/1PP1P3/4BQ1P/N2N1PP1/R1R3K1 w - -,a5b6
r4r2/pppq2kp/2nb2p1/3Np3/2Q5/4P1B1/PPP2PPP/2KR3R w - -,h2h4
6kr/2r5/p3p1p1/1p2P3/3B1PP1/P1P5/1P2K1Qq/6R1 w - -,e2f3
r1r3k1/4pp1p/3p1np1/q1pP4/2R1PP2/pP2B1NP/Pb4P1/3Q1RK1 b - -,a8b8
3qr2k/1p1n1ppb/2r4p/p3pN1P/P2p4/3P2N1/1PPbQPPK/R6R w - -,e2d2
3rr1k1/1b3pn1/pnpp2p1/1p6/2P1PP2/2N3P1/PPN1B2P/3RR1K1 w - -,c4b5
2r3k1/6q1/pr1n2p1/2pP1p1p/2P1pP1P/2b3P1/R1N1BQR1/7K b - -,a6a5
5k2/1Brn3p/P5pP/5pP1/1P2p3/8/3K1b2/5R2 b - -,e4e3
5n1k/2N3pp/5p2/Pr2p3/8/5P1P/5P2/R5K1 b - -,b5c5
6k1/1R6/5p1p/1p2p2P/1Pb1P1P1/4K3/8/8 b - -,g8f8
7k/5pbp/r1rp2p1/4P3/1p1p1P2/3P1R1P/1P4B1/R5K1 w - -,f3f1
1r2r3/5pkp/2p1p1p1/1p1n4/p2P4/P1P2BP1/1P3PP1/1K1RR3 w - -,e1e5
4r3/5rkp/2bq1pp1/2pN4/ppP1PP2/1P1P1BP1/P2Q3P/3R2K1 w - -,d3d4
r4rk1/p3ppbp/1p1q2p1/3p4/2pP4/2P1PN1P/PP3PP1/R2QR1K1 w - -,e3e4
8/p2r2pp/1p1bk3/4p3/1PP1R3/2K1NP1P/P5P1/8 w - -,f3f4
r2qk2r/1p3pp1/2p3p1/p2np3/1B1P2P1/1Q1BPP1P/PP3K2/R6R b kq -,d8h4
7k/pppr2b1/6pp/5p2/P1N1p3/2P1P3/1P3PPP/4R1K1 w - -,g1f1
r6r/3bkp2/p2p1npb/Np2p2p/P3P3/2N2P2/1PP2BPP/R2R2K1 b - -,a8b8
4r1k1/3n1p1p/p3p1p1/2q5/3pP3/5PPB/PrRQ3P/2R3K1 b - -,d4d3
8/2r1pk2/3p1p2/3P3p/6p1/2q3P1/4RPPK/3Q4 b - -,c7b7
1r2qrk1/1ppb2b1/p2p1np1/2PPpp2/4P3/1P2BPPp/P2QB2P/2R2RKN w - -,c5d6
8/5k2/1r2pqp1/b2p3p/P1pP1P2/1r4PB/4R2P/3R2QK w - -,g1g2
3k3r/3p2pp/p7/3bp3/1p2P1n1/2P2n2/PP2KPqP/R2Q1R2 w - -,d1d5
r1b2rk1/1pp1q1bp/2n3p1/p3pp2/2P5/1PB2NP1/PQ2PPBP/3R1RK1 w - a6,e2e3
r1b2rk1/3p1ppp/1pn1pn2/p1q5/2P5/P1Q1PN1P/1P3NP1/R3KB1R w - a6,b2b3
3r4/p2rnkpp/4bp2/3pp3/8/2B1P1PP/PP1R1P1K/3R1B2 b - -,d8b8
r3r1k1/1bqnbppp/p1pp1n2/1p2P1B1/4P3/PBN2N2/1PPRQPPP/5RK1 b - -,d6e5
r4rk1/pb4pp/1p1qp3/8/4pP2/6P1/PPP1QB1P/R3R1K1 w - -,a1d1
3B4/8/8/1p5p/1Pp1n2P/2P2k2/2K5/8 b - -,f3e2
2r4k/1p4p1/1PnR1p1p/p1PB3P/4PPP1/8/6K1/8 b - -,c6b4
1r3k2/5p2/p1npb1p1/1pp4p/2P1PP2/1P4P1/P2N3P/1R3BK1 w - -,g1f2
8/5R2/1k4pp/p7/P7/3q3P/5p2/2K5 w - -,f7f2
8/6p1/4q2p/8/3k3P/2p5/P5PK/3Q4 b - -,d4c5
rnbq1r1k/p4ppp/1p1N1b2/3p3Q/5B2/6PB/PP3P1P/R3R1K1 b - -,c8h3
6k1/5pp1/3p1b1p/5P2/pr2P2P/3p2P1/1P6/1KNR4 w - -,c1d3
8/4kp2/3p4/1r1P1Pp1/1P1R2P1/1K6/8/8 w - -,b3a4
r3kn1r/1p4b1/p2p1npp/2pPp3/2P1P1qN/2N3P1/PP1BQP2/R3K2R w KQkq -,e2g4
5rk1/1R3ppp/p7/8/N3n2n/4QN2/PP2K1q1/R7 w - -,e2d3
r1bq1rk1/1ppnbppp/p3pn2/8/2pP1B2/2N1PN1P/PPQ2PP1/R3KB1R w KQ -,f1c4
1k5r/1p5p/3p2p1/1P2pp2/P1N1n2P/6P1/1P3P2/1K1R4 w - -,f2f3
8/4p3/R2b1k2/8/2p1BP2/3nK3/8/8 w - -,e4d3
5k2/4p2p/P2p1p2/3PnP2/8/4q3/6RK/r2B1R2 w - -,g2g3
r2qr1k1/2p2ppp/p1n1bb2/1pNnp3/8/1B1P1N2/PPP2PPP/R1BQR1K1 b - -,e6g4
2r2bk1/p4p1p/6p1/2n1R3/p7/2P3PP/5PK1/R7 b - -,a4a3
r4rk1/p3bppp/b1n1pn2/q1pp4/2P5/1P2PNP1/PB1NQPBP/R4RK1 w - -,f1c1
r1b2k1r/1p1nq3/p1n3p1/3pPpPp/3N1Q2/4R3/PPPB1P2/R3KB2 b Q -,f8g8
8/pp3pkp/3P2p1/P5q1/1PBp4/3P1P1b/4QK1P/8 b - -,g5h4
2r2rk1/pbp4p/3pp1q1/5pp1/1P1P4/P2QPPP1/6NP/2R2RK1 b - -,a7a6
8/R3bp1p/1p2k3/8/1rN3p1/3PP3/5PKP/8 b - -,b6b5
3r1rk1/3n2pp/p2Np3/2p1Pbq1/P3pR2/4P3/1BP1Q1PP/3R2K1 b - -,d7b6
8/3k4/3pN3/2pPp1p1/2PbP2p/rp5P/6P1/1RK5 w - -,e6d4
8/8/7p/k1prp1p1/1pR5/1P2K3/2P3PP/8 b - -,a5b5
r4rk1/2nq1p1p/1p1p1bp1/2nPp2P/p3P1P1/2N1BPN1/PP1K3Q/R6R b - -,a8a7
4k3/4p3/3pPp2/3P1Pp1/1p2K1P1/1B6/P7/2r5 b - -,e8d8
8/p3kp2/1p4p1/2pBP1P1/2P1K3/8/r2BR3/r7 b - -,a1f1
2k2r1r/ppq1b2p/1np1ppb1/3pP2p/2PP4/3N1N2/PP1QBPPP/R3R1K1 w - -,d3f4
3r1rk1/pp2pp1p/1qp3p1/N2p4/1P6/4P1P1/P2Q1PBP/2R3K1 w - -,a5b3
8/8/3K2p1/5p2/5N1k/8/5R1P/4r3 b - -,e1d1
8/4k3/4b2p/3n3P/6PK/8/R7/6r1 w - -,a2a7
r4rk1/4ppbp/1n1p1np1/1p1P4/1Pp1P2P/4B3/q1B1NPP1/1R1Q1R1K b - -,f6d7
3r1rk1/1p2qppn/bN1p2np/3P4/P2Bp3/7P/1PB2PP1/2RQR1K1 b - -,f7f5
r1q3k1/7p/2pb2p1/p1Np1bp1/3P4/1PQ2N1P/P4PP1/4R1K1 b - -,g5g4
r1bq1rk1/pp2bppp/4p3/3pP3/4BB2/2P5/PP1N1PPP/R2QK2R b KQ -,d5e4
r1bqk2r/pppp1pbp/2n2np1/1B6/3NP3/4B3/PPP2PPP/RN1QK2R w KQkq -,b1c3
5rk1/6B1/R6p/pr1p2p1/1p2n1Pn/6NP/PPP5/1K1R3B b - -,g8g7
8/p1r2k2/6p1/1pn1PpNp/2bR1P1P/8/2P5/2KN4 b - -,f7e7
5r1k/2p1r1p1/1p1p3p/p2P1q2/2QPp3/P3R1P1/1P2RP1P/6K1 b - -,h8g8
5rk1/2r2p1p/p5pb/1p1pN3/1P1PnPPq/P4R2/1B2Q2P/5RK1 w - -,e2g2
rn3rk1/pbq2pbp/2p1pnp1/1p2N1B1/3P4/1BN5/PPP2PPP/R2QR1K1 w - -,g5f6
r1bqk2r/1pp2ppp/p1np1n2/2bNp3/2B1P3/P4N2/1PPP1PPP/R1BQK2R w KQkq -,c2c3
R7/P5k1/8/4K2p/7P/6P1/8/r7 w - -,e5d6:e5d4
4r1k1/5bp1/1P1Qqp2/8/1P4Pp/7P/3R1KN1/8 b - -,e6e4
2rr2k1/p5pp/8/n2pN3/2p2P2/P3P3/1P5P/2RR2K1 w - -,c1c2
r4rk1/5p2/p1b3p1/2b1R1Pp/1pB2B1P/8/PPP5/1K1R4 b - -,c5f2
5rk1/pb1rqppp/1p6/3p4/3Bn3/1P2P1P1/P3QPBP/2R2RK1 b - -,e4c5
rnbqrnk1/p6p/1p2p1pQ/1P1pPpbP/2pP4/2P5/P1B2PP1/RNB1K2R w KQ -,c1g5
4r3/1p6/6k1/2R2p1p/1P6/6P1/3QqP1K/8 w - -,d2f4
r4rk1/pbpn1ppp/1p4q1/3p4/3P1B2/1QP1P3/P3BPPP/R3K2R w KQ -,e2f3
1r2k2r/4b1p1/4p3/4P1P1/1ppB3P/4P2K/PR6/6R1 b - -,b8a8
r3k2r/pp2ppbp/3pb1p1/q1n5/2P1P3/2N1BP2/PP1QB1PP/2R1K2R w Kkq -,b2b3
8/1pk5/2p1b1p1/KPP2p1p/5P1P/6P1/4B3/8 w - -,e2f3
r4rk1/1ppbqppp/p7/8/3pP3/1B3Q2/PP3PPP/R3R1K1 w - -,e4e5
r4r2/p4p1k/1p1Pb2p/n1pNp1p1/4PqN1/5P2/PP2B1K1/2RQ1R2 b - -,e6d5
r2qk2r/pppn1ppp/5b2/3p1b2/3P4/1QN1P3/PP3PPP/R3KBNR w KQkq -,c3d5
rn1qkbnr/pp3ppp/2p5/3p1b2/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,e2e3:c1f4:c1g5:g2g3
