8/2R1pk2/8/6pp/5rN1/6K1/5P1P/8 w - -,g4e3
r6r/2b1kppp/pp2p3/nP6/P7/2P1B1P1/4NP1P/R2R2K1 w - -,e2d4
r2q1rk1/pp2bppp/2n1pn2/2pp3b/4P1P1/2PP1N1P/PP1N1PB1/R1BQ1RK1 b - -,h5g6
8/4bp2/p1p1k3/1p1P2p1/3PK1Pp/1P2BP2/P5P1/8 b - -,c6d5
8/5bk1/5ppp/p3p3/1p1pP1P1/1N1P3P/PP4K1/2q5 w - -,b3c1
2kb3r/1pr1qp2/p1p1p1p1/P1PpPnNp/3P1B1P/3Q2P1/1PK2P2/R6R b - -,e7f8
r2r2k1/ppq2pb1/2n1bnpp/2p1p3/P1N1P3/2P2NP1/1PQ2P1P/R1B1RBK1 b - a3,d8d7
1q2r1k1/2pb1ppp/p1p1p3/P7/3P4/Q1N3P1/1r2PP1P/1R1R2K1 b - -,b2b1
r1k1r3/pb3ppp/5n2/1Q2b1B1/8/8/PPP2P1P/2KR4 b - -,e8e6
rq2kb1r/pp1b1p2/2nppn1p/1N4p1/4P1P1/2N1B2P/PPP2P2/R2QKBR1 w Qkq -,f1g2
r1bqk2r/pp2bppp/2npp3/2p1P3/3P4/2PB1N2/P1P2PPP/R1BQR1K1 b kq -,d6d5
r2r2k1/p1pbbpp1/2p1n2p/Q7/8/3PN3/PP3PPP/3R2K1 b - -,d7e8
2Q5/p3r2p/1p3pk1/5r2/8/1P4K1/P6P/8 w - -,c8c2
r2qrbk1/pb1n1ppp/1p1ppn2/8/3P1B2/2PB1N1P/PP1NQPP1/R3R1K1 w - -,e2f1
r4r2/1kp1bpp1/1pb5/p1p1PnNp/P3N3/1P1R3P/1BP2PP1/4R1K1 w - -,e5e6
r1b1k2r/ppppnppp/2n3q1/b3P3/8/1QPB1N2/P4PPP/RNBR2K1 b kq -,g6h5
8/1p1R4/2p2kp1/P7/4p3/8/1K6/5r2 w - -,d7d8
r2qk2r/4n1bp/p4pp1/nppP4/6b1/2P2N2/P1BN1PPP/R1BQ1RK1 w kq -,h2h3
6k1/1pq2pp1/7p/1p3b2/3Q2P1/5P2/1PP2R1P/rNK5 b - g3,c7a5
4r1k1/3R1p1r/P4Bp1/4p2p/7P/8/5PP1/6K1 b - -,h7g7
1r4k1/p2r3p/6p1/3P4/3RB2P/5P2/P5P1/7K b - -,b8b2
b1r2rk1/2p2ppp/p7/Bp2n3/4P3/6PB/PP3P1P/R3R1K1 w - -,h3c8
1r4k1/2qnbppb/5n1p/2pp4/6P1/2BP1N1P/1Q2PPB1/4RNK1 w - -,b2a2
4r2k/1b5p/p7/1p6/1Pp5/P2r1PP1/4pKP1/1BR1R3 b - -,d3a3
3rqr1k/ppp1b1p1/2n1Pn1p/4B3/2B5/P6P/1PP1QPP1/R2R2K1 b - -,c6e5
8/p6p/4k3/3rn1p1/2p3P1/3bRPK1/P7/4RB2 b - -,e6f6
1Q6/4kp2/2p4r/p1Pr3P/Pp2K1p1/1P6/2P5/8 w - -,b8c7
2rqkb1r/1b1n1p2/p6p/1p1Pp1p1/8/1N6/PPP1QBPP/2KR1B1R b k -,f8g7
3qkb1r/1b1n1ppp/pn1pp3/1p4P1/3NP3/2PBBP2/P1P2Q1P/2KR3R b k -,d8c7
2rq1rk1/pb1nppbp/1pp2np1/3p4/2PPP3/1PN2NP1/PBQ2PBP/R4RK1 b - e3,d5e4
8/8/3Q4/5k2/1P6/8/1K6/4q3 b - -,e1e3
r1b1k1r1/1pq1bp2/p2pp3/4n1pR/4P1P1/2N1B3/PPPQBP2/2KR4 b q -,c7a5
4rnk1/5q1p/pQpB1b2/3ppBp1/2p3P1/P1P5/1P3PP1/4R1K1 b - -,f8e6
rnb1kbnr/ppq1pppp/8/8/3P4/1B6/PP3PPP/RNBQK1NR b KQkq -,c8g4
7R/1r5P/8/p3p3/P3k3/3p4/5K2/8 b - -,b7c7
r2q1rk1/1p2ppbp/p1n1bnp1/2p5/P1Np4/3P1NP1/1PPBPPBP/R2Q1RK1 b - -,e6c4
rn2kb1r/pp2pppp/2p1bn2/3q4/8/NP3NP1/2QPPPBP/R1B1K2R b KQkq -,b8d7
r1b2rk1/pp1nbppp/2n1p3/1NppP3/3P1P2/4BN2/PPPK2PP/R4B1R w - -,d4c5
k4n1r/p4pp1/3Nbb1p/1B1p4/3P1P2/4PN2/P4rPP/1R4K1 w - -,b5c6
8/2B5/p3k3/1p5K/1P6/8/8/8 b - -,e6f5
1qrr1bk1/1b3p1p/pp1ppnp1/4n3/P1PNP3/1PN2P2/1Q3BPP/2RR1BK1 w - -,d4c2
8/8/2p3p1/1p4K1/1P2k2P/P7/8/8 w - -,g5g6
8/7p/1K4p1/P3r3/6Pk/1R5P/8/8 b - -,e5e6
6k1/1p6/p6b/P1P2pB1/1q5P/8/6P1/2R4K w - -,c5c6
8/8/R7/6p1/6P1/p3Pk1P/r7/6K1 b - -,f3g3
r4rk1/1p4bp/2p3p1/p1q5/P1PpB1b1/1P1Q1PP1/4R2P/4RNK1 b - -,g4d7
r3k2r/4bp2/1pp1p1p1/p2nP2p/3P1P2/P2qBNP1/1P4P1/2RR2K1 w kq -,d1d3
r1bqk2r/1pp1nppp/p2p4/2bPp3/8/2P3P1/PP1PNPBP/R1BQK2R w KQkq -,d2d4
2r5/1p2kbn1/5pp1/p3p3/2P3P1/1P1BBP2/P6P/3R2K1 w - -,d3e4
8/1p4pk/7p/p1p1Q3/P1Pn1P1P/6P1/2q1BK2/8 b - h3,d4e2
1r3k2/3Rbp2/1qB1n1pr/1P2PQ1p/1P1p4/5P2/5NP1/5RK1 w - -,f5d3
8/2k5/8/1PP5/8/2N1PK2/1r2B3/8 w - -,c3d5
3r2k1/4nbpp/3q4/3p4/p1p2N2/2P1Q1P1/P4PBP/3R2K1 b - -,a4a3
r2r2k1/2p1qpp1/p1p2n1p/1p2b3/4P2B/1QP2N2/PP3PPP/3R1RK1 b - -,e7c5
2r1r1k1/5pp1/2q1p1np/1p1pb3/4P1Q1/1PNR2P1/PB3P1P/3R3K w - -,e4d5
4r3/3n4/1p1Ppkp1/1P3p1p/PpN5/6P1/5K1P/3R4 w - -,d1b1
rnb1kb1r/pp1p1ppp/5p2/8/3q4/2N1P3/PPP2PPP/R3KBNR w KQkq -,e3d4
2r1n1k1/1p1b3p/p3p1p1/2rp4/P4P2/3B3P/1PP1N1P1/R4R1K b - -,e8d6
2k3r1/1p1nb3/1p2p3/4P1r1/1P1pN2p/8/P6P/4RR1K w - -,e4g5
1r1q1k2/pr2ppb1/3p1np1/1p1P3p/2P2P1P/1P4PB/P2BQ1K1/2R1R3 w - -,f4f5
r1nq2k1/pp3r1p/3p2p1/1B1Pp1Pn/1P2Pp2/5P2/P2Q1BP1/2R1R1K1 w - -,c1c3
2r2bk1/2PR3p/4p1p1/8/8/p2p3P/5PP1/5RK1 w - -,f1a1
2rr2k1/1pqn1pbp/p1b1p1p1/4P1N1/1P3P1P/P2B4/1B2Q1P1/R3R1K1 b - f3,d7b6
r1bqk2r/pp2pnbp/2p2pp1/3n4/2BP4/3N1N2/PPP2PPP/R1BQ1RK1 w kq -,a2a4
r4rk1/1b1n2pp/pp1q4/2pp1p2/3Pn3/1P1BPN2/PQ2NPPP/R2R2K1 b - -,d6f6
8/5k2/6p1/2bPp2p/4P3/rp1N2P1/6K1/1R6 b - -,c5d4
r1r3k1/3qppb1/nn4p1/p1ppP1Pp/P2P3P/1P2BP2/3QNK2/RB5R w - -,e2f4
8/6p1/4k2p/8/3KPP2/rp1R2P1/7P/8 w - -,d3d1
4rrk1/pbb3pp/6n1/1p1q1p2/1B1p4/1P1P1N2/P1P1BRPP/4RQ1K b - -,f8f6
2rq1rk1/pb1nbppp/1p2pn2/3p4/3P1B2/1PN2NP1/P1Q1PPBP/R4RK1 w - -,c2b2
1r6/pp3p2/2ppbk2/4n2R/4P1p1/1NP3P1/PP2BP2/2K5 b - -,c6c5
b1r5/4rpkp/ppnqp1p1/4P3/P1P2Pn1/1PN1QN1P/6P1/2R2BK1 w - -,e5d6
3r4/p4p1p/2kpr1p1/2p5/2b1PBPP/P1P2P2/3R1K2/1R6 b - h3,d6d5
6k1/1p4p1/p1p4p/8/8/1PR4P/1P1r2P1/6K1 w - -,c3e3
8/1p3R2/b1p5/2P5/1k1p1p2/5Pp1/3K2P1/8 w - -,f7f4
4r1k1/3q1pp1/8/p6p/Pb4P1/1P1p1PBP/1Q4K1/3R4 w - -,b2f2
rn1qkb1r/pp2nppp/2p1p3/3pPb2/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq -,b8d7:f5g6:h7h6
rnbqk2r/1p3pbp/p2p1np1/2pP4/P7/2N2N1P/1P2PPP1/R1BQKB1R w KQkq -,c1f4:e2e4
r4rk1/pp3p1p/3ppbp1/8/q3PP2/2BP1R2/PP4PP/R3Q2K b - -,f6c3
1Q6/5k1p/8/6p1/5n1P/8/4r3/3K4 b - h3,h7h6
r3r1k1/2p1bpp1/p4n1p/1p2Q1B1/8/1PPq4/1P1N1PPP/R4RK1 w - -,g5e3
r2q1rk1/pp4bp/1nn1bpp1/1B2p3/2N5/2P2N1P/PP3PPB/R2Q1RK1 w - -,d1e2
R7/P5k1/4P1P1/5K2/8/r7/5P2/8 w - -,e6e7
r2qr1k1/p4pb1/6p1/2pPpb2/Qn3Pp1/N4BN1/1P4P1/R1B2RK1 w - -,f3e2
8/p4pkp/1p3np1/1P6/3QP3/q3NPPK/7P/8 b - -,a3c5
8/8/8/4p3/4k3/2R5/3KN2r/8 b - -,h2h8
r1bqk1nr/1p2ppbp/p1np2p1/8/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2
r6r/3kb3/3p4/p1pPp1pp/2P1P3/P3N2P/6P1/1R1R2K1 b - -,h8b8
1rr3k1/6pp/2npp3/4q1P1/Pp2Pp1P/3Q4/1P3P2/1K1R1B1R b - -,b4b3
4qrk1/rpBbnpbp/3p2p1/1Np1p3/2P5/P2P1NP1/1P2PPBP/1R3RK1 w - -,b5a7
1k6/1r2qp2/1rb1p1p1/pp1pP1Pp/n1pP1Q1P/P1P5/2P1NPBK/RR6 w - -,a1a2
2r5/1p4k1/5p2/2Kp1bp1/P2R4/5PpP/1r4P1/6R1 w - -,c5d6
7r/8/7r/1p1p1pkb/2p3pR/2P3P1/1PK1B3/5R2 w - -,b2b3
8/4bnk1/2n5/1pP1pp1p/1P1p2p1/3P2P1/r2BKP1N/1R3N2 w - -,f2f3
8/6bk/1p1p2q1/3P2pp/1PPNr3/3Q3P/5PK1/3R4 w - -,d4e6
r2qk1nr/p3n1bp/2pp2p1/1B2pp2/4P3/2N1BP2/PPPQ1P1P/2KR3R w kq -,b5a4
2r2rk1/p3bp1p/1p1qp3/3Pn1p1/Q1b1N3/4B1P1/PP3PBP/R2R2K1 b - -,d6b4
2kr4/4R2R/1prp4/5p2/2P2n2/B2PK3/8/8 b - -,f4g6
3r2k1/2q2ppp/1pp1b3/p1n1p3/P1P1P3/5P2/1PQ3PP/2RN1BK1 w - -,d1e3
r3q1k1/p1p3bn/2p1Pppp/3r1b2/3B4/1NQ2N2/PPP2PPP/R3R1K1 b - -,a8d8
3r2k1/1b2rp2/1p2n1p1/p2p3p/3N4/PPR1P1P1/5PBP/2R3K1 b - -,e6d4
r3nrk1/1bqn1pbp/1ppp2p1/p5P1/P2PPp2/2N1B1NP/1PP3B1/R2Q1RK1 w - -,e3f4
r2qkbnr/pp1n1ppp/2p1p3/3P4/8/5bP1/PP1PPPBP/RNBQ1RK1 w kq -,g2f3
r3r1k1/p5b1/b4p2/q1pPN2N/1p2QP2/7P/PP4P1/3RK2R b K -,f6e5
8/p1r4p/1b1R1k2/5P2/1p2B3/1Pp5/P1P5/1K6 b - -,f6g5
4r2k/6rp/2np4/pB2pNb1/R1P2p2/1P6/5PbP/5RK1 b - -,g2f1
1qr1r1k1/3b1ppp/1p1ppn2/p7/1nPP4/NQ4PP/1P2PPB1/2RRN1K1 w - -,e1d3
8/p1p5/1p3k2/6pr/8/P7/1KP2P1P/7R w - g6,h2h3
1k4r1/R5R1/8/1p6/8/1PP5/KP5r/8 w - -,a7b7
8/pq3kpp/1p2pp2/5n2/2QP4/P3P1P1/1P1B3P/6K1 w - -,c4e2
rnb1k1nr/ppb2pp1/2pp1q1p/4p3/1PB1P3/P1NPBN2/2PQ1PPP/R3K2R w KQkq -,d3d4
1brrn1k1/pp4p1/2p1p1p1/P7/4P3/2N1B1PP/1P3P2/R2R2K1 w - -,e3g5
r1bq1rk1/1p1nbppp/p1npp3/6P1/3NP3/2N5/PPP2PBP/R1BQ1RK1 w - -,g1h1
r2qkb1r/pp1b1pp1/2nppn1p/8/3NP1P1/2N4P/PPP2PB1/R1BQK2R w KQkq -,c1e3
4k3/3n4/3PB1p1/7p/1B1b2p1/1P3p2/7P/5K2 w - -,b4a3
r2qkbnr/pp1n1pp1/2p1p2p/3p1b2/2PN4/1P2P3/PB1PBPPP/RN1QK2R b KQkq -,f5h7
r1r2nk1/3qbpp1/b3p2p/ppppP3/3P4/P1P2NN1/1P3PPP/1BRQR1K1 w - -,d4c5
R7/8/8/3B3P/6K1/p3r3/1k6/8 b - -,e3e5
8/pp1r1k2/5p1p/6p1/1P1Pn1Pn/P3P2P/5P2/2RR1K2 b - -,f6f5
r1nr2k1/pb3ppp/2p1pn2/1p6/P3PP2/1P1NB1PP/2P3B1/R3R2K b - -,f6d7
1r5k/2pb4/7p/1p1p4/p1n1PrpP/P1PN4/1PB5/2K1R1R1 b - -,f4e4
6k1/2R5/5pp1/4p2p/r7/3KB1PP/5P2/8 w - -,h3h4
r5k1/p1R2ppp/1n2p3/8/1b1B4/4P1P1/P3BP1P/6K1 b - -,b4d6
5rk1/6p1/6rp/p2pPq2/p1pP1pRQ/3n4/1P1B2PP/5RK1 w - -,g4g6
8/1R4pk/p4p2/P6p/r6P/6P1/5PK1/8 b - -,a4a5
4k1r1/R2n1p1p/p7/P3p3/2K2p2/7P/6P1/3N4 b - -,g8g2
4b3/8/2pk1p1p/1p2r3/1P1KP2P/3B1R2/2P5/8 b - -,d6e7
4kb1r/1p1q1ppp/p3p3/n2pPn2/N2P4/P4P2/1P1BBP1P/2rQK2R w Kk -,d1c1
r4rk1/1pqn1ppp/p4n2/2b1pP2/8/2PB1Q2/PP1N2PP/R1B2R1K b - -,f8e8
r1bqk2r/pp3ppp/1bn2n2/1B1p4/8/1N3N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
5b2/7p/2k2P2/2p5/4K3/r1B4R/7P/8 w - -,f6f7
2rr2k1/1b3pp1/p3p1np/2b1P1q1/Pp2N3/6B1/1P2QPPP/1B1R1RK1 b - -,b7e4
2rrb1k1/1q2bp2/ppnpp1p1/5P1p/1PP1P1n1/P1NBBN1Q/6PP/2R2R1K w - -,f3g5
5r1k/1p3q1p/1bp3p1/p3p3/P1b1P1Q1/2P2NNP/1P3PK1/3R4 w - -,f3e5
4rbk1/pp1r3p/4n3/q2pP1pP/3P1pP1/1P3B2/P1R2BQ1/5RK1 b - -,e8d8
6q1/8/6p1/5pP1/5P2/1p4PK/1k1Q4/8 b - -,b2a1
r2qk2r/1bpnnpp1/p2pp3/1p5p/4P2P/1BNP4/PPPQNPP1/R3K2R w KQkq -,f2f4
r1bqr1k1/pp1np1bp/2p2np1/3p2B1/3P4/2PB1N2/PP3PPP/RN1Q1RK1 w - -,f1e1
r1b1n1k1/4qp2/2p1nbp1/p1P1p2p/PpB1P2P/1Q1RBN2/1P3PPN/6K1 b - -,g8g7
1n1qk2r/4bp2/2p1pp1p/1p2N3/2pP4/2N1P1P1/1P3PKP/3Q1R2 w k -,e5f3
7r/q1r2ppk/1npNp3/p7/P1PP2P1/4Q3/1R3P2/1R4K1 b - -,b6c8
1kbrq2r/pp3p1p/4n3/3pN1P1/2pP4/Q3P2P/PPB5/K4R1R b - -,h8f8
r4rk1/3nq1pp/1pn1p3/2pp1p2/p2P1P2/2P1PN2/PP1NQ1PP/R1R3K1 b - -,f8c8
3r1rk1/5ppp/p4b2/1pq5/5B2/2P2P1P/PP1Q1P2/R3R1K1 w - -,d2e3
6R1/8/2p4p/6P1/2k5/8/6r1/1K6 w - -,g8c8
2r2rk1/1b1p1ppp/pp1npn2/8/2P5/5NP1/PP2PPBP/R2R2K1 w - -,d1d6
3q1rkb/1p3p2/p2ppPp1/4n1Pp/P3PB2/1P4Q1/1P5P/1Nr2R1K w - -,f1c1
8/2q1pk2/2r3pp/prP2P2/1pR1P3/1P5P/7K/2R3Q1 w - -,g1g3
7k/1p3r1p/p5p1/P7/2P2nN1/8/7P/1R4K1 w - -,g4f2
r2qk2r/5ppp/1p3n2/5N2/8/2NBP3/PP1K1PPP/n2Q3R b kq -,b6b5
4rrk1/pp2q2p/1np3p1/3p1p2/3P4/1P2PP2/P2Q2PP/3NRRK1 b - -,f8f6
r7/6PK/8/3k4/8/8/8/8 w - -,g7g8q
r5k1/1p2b1pp/p1q2p2/P3p3/4Q3/2B2PP1/1PP3KP/3R4 b - -,c6e4
2r5/1R3p1p/2k2p2/2P1p3/4P3/8/2n1K1PP/1R6 b - -,c6c5
r3k2r/pp1q1ppp/2n1pn2/2b5/Q1p5/6P1/PP2PPBP/RNB2RK1 b kq -,c6d4
1r4k1/p4ppb/2p1p2p/1r1p3P/3P1qP1/PN5R/1PPQ4/2KR4 b - -,f4d2
4rrk1/1p1b2pp/1qnbpn2/p2p2B1/3P4/P4NN1/1PB2PPP/R2QR1K1 b - -,e8e7
r2q1rk1/pp1nbpp1/2p1pn1p/3p1b2/2P5/1P1P1NP1/PBQNPPBP/R4RK1 b - -,f5h7:a7a5
r1b1rbkq/1p3p2/2p2np1/2P1p1p1/1P2P1N1/5PPP/1NQR1K2/3R1B2 b - -,c8e6
4r1k1/6pp/nq1Pb3/pp3p1P/2p2N2/P5P1/1PQ2PB1/4R1K1 b - -,b6d6
3rr1k1/1p2qppp/2p1b3/p1n1p3/2P1N3/1P1PQB2/P4PPP/3RR1K1 b - -,c5a6
4n3/8/8/k7/p2K4/P2B4/3N4/8 b - -,e8c7
r4k2/1pp1qrpp/1p1pb3/nP3p2/2P2P2/P2BP1R1/1BQ3PP/R6K w - -,a1e1
8/6pk/1p2p2p/3n1q2/6rP/P3B2Q/1P3PP1/5RK1 b - -,f5e4
r2r2k1/pp3p1p/2pn1qp1/2Np3n/1P1P4/P3PP2/2Q1BP1P/R5RK w - -,c5d3
8/6p1/8/3bk3/2p4P/1p2PB2/1K4P1/8 w - -,b2c3
2kr3r/pbpqnpb1/1pn1p2p/6p1/Q1P1N3/3PBNPP/PP3PB1/R4RK1 w - -,f1d1
r1bq1rk1/1pp1bppp/3p1n2/p2Pp3/2P1P3/2NQ1N2/PP3PPP/R1B2RK1 w - -,d3c2
1k1r3r/1ppqn1pp/1b3p2/pN1p4/PP1P4/4P1B1/4QPPP/R4RK1 w - -,f1c1
8/5p2/3r2p1/3P3p/R6P/3kPP2/5K2/8 w - -,a4d4
r1b1kb1r/1pqnpp2/p2p1npp/3P4/3N2P1/2N1B2P/PPPQ1P2/R3KB1R w KQkq -,f2f4
r4rk1/pbp2ppp/3pp3/3q4/1P1Pn2N/P3PBP1/1Q3P1P/R3K2R w KQ -,e1g1
1k6/ppr3pp/5p2/2P1p1P1/4Q2P/3q1B2/PP3P2/K1R5 b - -,d3e4
2rrb1k1/1p2bpp1/pqn1pn1p/8/8/1NN2QB1/PPPR1PPP/4RBK1 w - -,e1d1
q3r1k1/1brnbppp/1p2p3/p2pP3/3Pn3/P2B1NN1/1P3PPP/R1BQR1K1 w - a6,h2h4
rnbq1rk1/1p1p1ppp/p4n2/4p3/1b2P3/1NNB4/PPP2PPP/R1BQ1RK1 b - -,b4c3
r1bqkn1r/1p2bppp/p2p1n2/2pPp3/P3P3/2N5/1PPNBPPP/R1BQK2R b KQkq -,f8g6
8/6pp/b2k4/P3n1B1/8/4KPP1/8/8 b - -,e5c4
2r2rk1/1pn3np/1qp3p1/p2pP3/2P3b1/PPN2NP1/1Q3PB1/3R1R1K w - -,c3a4
1r1q1rk1/2nbppbp/3n2p1/NpBPp3/5P2/2N4P/1PP1B1P1/R2Q1RK1 w - -,a5c6
1r4k1/1q3pp1/4pn1p/p1r5/1p1R4/2P1P3/PP2Q1PP/KB5R w - -,c3b4
rnb4r/4kp1p/pp2pp2/N7/3P4/P3P1P1/5PBP/2R1K2R b K -,a8a7
r7/8/3p1k2/3P4/P4pp1/4b3/R5K1/3R4 w - -,a4a5
3rr1k1/1bq1ppb1/ppnp1npp/2p5/P2P4/2P1PN1P/1P1NBPPB/R2R1QK1 b - -,e7e5
2kr4/1bq1bp1p/p2ppnr1/2n5/PpPNP3/1P1BQ2P/1B1N1PP1/R4RK1 b - -,d8g8
1n3rk1/p4ppp/1q1bpnb1/1p6/3P1P2/2N2QN1/PPP3PP/R1B2RK1 w - -,c1e3
2r1r1k1/1pb2p1p/pN2b1p1/3p4/3Qn2q/3BB2P/PP3PP1/3RR1K1 b - -,c8d8
8/r7/P1Rkpn1p/1B1p2pP/3P2P1/4K3/8/8 b - -,d6e7
r2qbrk1/pp2bppp/2n1pn2/3pN3/3P1B2/2NBP3/PP3PPP/2RQ1RK1 b - -,c6e5
r4rk1/2q1bppp/4p1P1/p6P/1pNB4/1Pn1QP2/P1P5/1K1R3R w - -,d4c3
8/8/B4n1p/P1bk4/2N5/6P1/4PP2/6K1 w - -,c4d2
8/8/R6k/5P1N/6K1/8/8/2r5 b - -,h6h7
8/6k1/2R5/1P6/2p5/4K2p/5P2/6r1 w - -,c6c4
8/4n3/4k2K/3pP3/2pP4/2P5/pB6/8 b - -,e7f5
r2qkbnr/ppp2pp1/4p2p/3pPb2/1n1P3P/3N4/PPP2PP1/RNBQKB1R b KQkq -,f5d3
6kr/2q4p/1p3Q1R/8/P4P2/7P/6PK/8 w - -,h6h5
2r1qr1k/pb1Q2pp/1pn2b2/8/8/2P1BN2/PP2BPPP/2KR3R b - -,e8g6
rn2kb1r/pp2pppp/2p1b3/8/2p1n3/N4NP1/PP1PPPBP/R1B1K2R w KQkq -,f3d4
r1b2r1k/2q3p1/p3p2p/5p1P/1b1pN1n1/7Q/PPPBBPP1/3RR1K1 b - -,b4d2
Nnb2rk1/pp2qp1p/2p5/3p4/3Qnp2/2P5/PKP2PPP/4RB1R b - -,c8e6
2r2b1k/6p1/2q1pp1p/pp1p3b/1PrP1B2/P1P1QP2/4NKP1/2R4R b - -,c6e8
2R2rk1/pn2p1b1/1p2p1p1/4P3/P2PRB1P/5N2/5P2/6K1 b - -,f8c8
4rbk1/5p1p/p4Qp1/8/1P6/3r1bP1/5P1P/3RR1K1 w - -,d1b1
r1bqnrk1/pp3pp1/4p2p/1N1p4/2nP2P1/6QP/P1P1NPB1/1R1R2K1 b - -,c8d7
8/kr2rpp1/ppRR3p/3KP3/1P6/4P3/P5PP/8 w - -,e3e4
6k1/p4p1p/6p1/8/4N3/Pb3PK1/2r3PP/7R w - -,h1b1
4r3/pp2r1pk/2p4p/2NnPP2/1P6/P5P1/7P/4RRK1 w - -,e5e6
r3r1k1/pp3p2/2ppbq1p/6p1/4Pn2/1B3P2/PP3QPP/3RRNK1 b - -,d6d5
4r1k1/p1p3p1/1p6/n2qpPpn/2N1B3/2P2PP1/P6P/R5K1 w - -,e4d5
r4rk1/ppqnbppp/2p1pnb1/6B1/3P4/P1NB2N1/1PP2PPP/R2QR1K1 b - -,d7b6
5k2/1p3p2/3K4/3P3p/6rP/6P1/8/R7 b - -,g4g3
4r1k1/ppq1rpp1/2pb3p/8/3Pp1b1/3NP1P1/PP1Q1PBP/R3R1K1 w - -,d3c5
r6r/pp1qbkpR/5p2/8/b1pNQ3/2P1PNP1/PP2KPP1/R7 b - -,a4c6
2r2rk1/1p3pp1/p7/5n1p/5P2/5N2/PP1R2PP/4R1K1 b - -,f8d8
8/5b2/3K4/2B3P1/P2b4/2k5/8/8 b - -,c3c4
2r3k1/p1r3pp/2pR1b2/5p2/1P2p3/P3P1P1/2Q2P1P/6K1 w - -,c2c4
r3b2k/ppq2p1n/4p2p/2p1P1pP/2P3R1/2BQ4/PP3PP1/2KR4 b - -,b7b6
8/6kp/2Bp2p1/8/1p1N1P2/4K2P/7r/8 w - -,c6d7
8/8/4b3/p4p2/P2p1Pp1/1k4P1/3K4/1B6 w - -,b1c2
r2q1rk1/pppbbpp1/2np1n1p/1B6/3PP3/5N1P/PP1N1PP1/R1BQR1K1 w - -,a2a3
4r1k1/1p1q1pp1/2pp3p/5b2/1PP4Q/2N2nP1/4PP1P/R5K1 w - -,e2f3
1Q3R2/5nkp/5pp1/2P5/1P1P1p1P/5b2/5qPK/8 w - -,f8g8
r1q1kb1r/pppnpppp/3p4/5b1n/2PP1B2/1QN2N2/PP2PPPP/R3KB1R w KQkq -,f4d2
